
[00:00:00.000 --> 00:00:04.200]   This year's spring break in Hawaii turned into one of the most strategic and rewarding travel
[00:24:35.880 --> 00:24:40.600]   company that owned it, when the pineapple plantation shut down, they had to find a new owner, and he
[00:24:40.600 --> 00:24:45.960]   bought the island effectively. He doesn't own 2% of it, which is kind of the downtown Lanai city where
[00:24:45.960 --> 00:24:51.800]   a lot of people live. There's two main hotels, there are two Four Seasons hotels, and there's one
[00:24:51.800 --> 00:24:57.640]   smaller hotel downtown. One of the Four Seasons, we didn't experience it at all, is called Sensei,
[00:24:57.640 --> 00:25:03.080]   and it's adults only. It's more in the middle, is a much more wellness-focused resort. It looks
[00:25:03.080 --> 00:25:06.840]   amazing, but it's adults only, and we had our children, so it wasn't really a thing we were
[00:25:06.840 --> 00:25:14.200]   going to experience. And as soon as we got to the resort, it was about a 20-minute drive. From that
[00:25:14.200 --> 00:25:21.080]   point forward, it was everything you could ever want in a hotel. The staff was incredible. The room was
[00:25:21.080 --> 00:25:30.440]   incredible. Every little detail was just perfect. It made you see things in other hotels that you've
[00:25:30.440 --> 00:25:36.120]   stayed at differently, thinking backwards, and unfortunately probably thinking forwards, because
[00:25:36.120 --> 00:25:44.360]   they just really care about every detail. So, so great with kids. I can't even explain how great it
[00:25:44.360 --> 00:25:51.240]   was. They'd asked about our kids' names and ages, and in the room were small robes and small slippers
[00:25:51.240 --> 00:25:58.120]   that fit them. They lined up sponges with the letters of their name in the bathtub. Every place you went
[00:25:58.120 --> 00:26:06.360]   had coloring mats and stuff. It was dialed in for kids, but it was so relaxing for adults. I think my wife
[00:26:06.360 --> 00:26:13.800]   said somehow they managed to like make an adult and kid experience magical for both sets. And it was
[00:26:13.800 --> 00:26:20.920]   just, I haven't experienced that before. The food was amazing. If you do go, the smoked wagyu dumplings
[00:26:20.920 --> 00:26:29.400]   at Nobu, which is one of the restaurants there, are just amazing. And within the $132 breakfast credit,
[00:26:29.400 --> 00:26:34.120]   you can get this salmon caviar breakfast spread that was also amazing. Pretty much everything was
[00:26:34.120 --> 00:26:39.160]   amazing. I don't want to list it all, but highly, highly recommend lots of cool free things just to
[00:26:39.160 --> 00:26:46.280]   do walking around. You know, they have cultural activities from ukulele classes to palm weaving.
[00:26:46.280 --> 00:26:54.040]   They have really cool birds that they've adopted that were kind of rescue birds all over the property.
[00:26:54.040 --> 00:27:00.600]   They are walking around with them from day to day. They have a couple koi fish ponds and you can pick
[00:27:00.600 --> 00:27:07.560]   up some food at the front desk. We probably fed koi fish a hundred times. Um, they really try to be
[00:27:07.560 --> 00:27:13.560]   sustainable. So they give you two Four Seasons Lanai water bottles, um, in the room, really nice Yeti
[00:27:13.560 --> 00:27:18.520]   ones, uh, that you can use throughout the property where there's water filling stations and free sunscreen
[00:27:18.520 --> 00:27:25.640]   and free aloe. And God, I just can't express how awesome this hotel is. Like, I think it is very likely that
[00:27:25.640 --> 00:27:31.480]   we will go back because it was just everything you could ever want in a hotel. Like the description
[00:27:31.480 --> 00:27:37.320]   that we were sold on is exactly what we got. And then within about a 20 minute drive, all of these
[00:27:37.320 --> 00:27:42.440]   activities that for right now, while one of the restaurants is closed are free were really great.
[00:27:42.440 --> 00:27:47.000]   So we went and did an adventure ropes course with the kids. Um, my wife took one of our daughter's
[00:27:47.000 --> 00:27:51.880]   horseback riding. There was so much to do. And interestingly enough, probably not what you're
[00:27:51.880 --> 00:27:59.880]   expecting as far as activities. The island of Lanai actually has a lot of invasive axis deer, similar
[00:27:59.880 --> 00:28:05.720]   to Maui. If anyone remembers, I've talked about Maui Nui Venison, which was a sponsor from the show a
[00:28:05.720 --> 00:28:10.920]   while ago, still a brand I love and their products are incredible. And so if you are interested in
[00:28:10.920 --> 00:28:15.720]   Venison, check out Maui Nui Venison. But at the Four Seasons Lanai, there were actually people there
[00:28:15.720 --> 00:28:19.560]   for hunting trips, which is not what you typically think of at a Four Seasons. So it was really
[00:28:19.560 --> 00:28:24.360]   interesting to just see people walking through the lobby in their full camo gear, carrying their bow or
[00:28:24.360 --> 00:28:29.560]   rifle cases, you know, checking into their room, uh, or, or having just gotten back from a hunt.
[00:28:29.560 --> 00:28:34.680]   And then the next day, see them just relaxing at the pool. So if you enjoy hunting, but also need
[00:28:34.680 --> 00:28:39.240]   a family friendly vacation, this would also be a great place for you to go. We had an amazing time.
[00:28:39.240 --> 00:28:43.800]   I just can't say more about how great the property was shout out to the entire staff there.
[00:28:43.800 --> 00:28:49.000]   And this was not a comp to visit. We paid for this visit, uh, out of our pocket. So, um,
[00:28:49.000 --> 00:28:53.960]   I wish it was, if anyone listening wants to comp our visit anytime we'd love to go back, but, uh,
[00:28:53.960 --> 00:28:57.560]   I think we would even pay for the trip again. It was just such a great experience.
[00:28:57.560 --> 00:29:02.520]   When we finished, we took the ferry over to Maui, which was about an hour boat ride.
[00:29:02.520 --> 00:29:09.080]   Really nice boat ride. Um, little bumpy, but not enough to stop both of our kids from falling asleep.
[00:29:09.080 --> 00:29:14.120]   And where it comes into the harbor, there's a little bit of an area with the little shops and an ice
[00:29:14.120 --> 00:29:21.320]   cream store and, um, maybe a couple of restaurants. We grabbed a snack, hopped in a lift and went up to
[00:29:21.320 --> 00:29:27.720]   the montage and also incredible property. This was a little bit of a different experience, right?
[00:29:27.720 --> 00:29:31.880]   This time, one, my parents were already there. They got there about an hour before us and met us there.
[00:29:31.880 --> 00:29:36.600]   And it was a three bedroom condo at a resort property. And there's something interesting
[00:29:36.600 --> 00:29:42.120]   about the montage in Maui is that my understanding is it used to be the Ritz vacation club. I didn't
[00:29:42.120 --> 00:29:48.280]   fact check this, so I could be wrong, but because of that, it was historically a place where most
[00:29:48.280 --> 00:29:55.320]   people staying there were owners and a lot of the condos have kitchens. And so it kind of was missing
[00:29:55.320 --> 00:30:00.280]   some of the kind of restaurant options you would see at a big resort like this. I think there's just
[00:30:00.280 --> 00:30:06.600]   one restaurant and poolside dining. And so we did go to the restaurant one night. It was great. It was
[00:30:06.600 --> 00:30:10.600]   expensive, like you would expect, but it was good food. The rooms were excellent. So we had this three
[00:30:10.600 --> 00:30:16.680]   bedroom place with ocean view. I love how at least exclusive resorts, I don't know if their villas are
[00:30:16.680 --> 00:30:22.600]   different than others, but you know, every room has a Sonos, they have a full kitchen, they have laundry.
[00:30:22.600 --> 00:30:27.720]   It just was really dialed in. But because it was on the resort, you could still order room service if you
[00:30:27.720 --> 00:30:33.160]   needed to. You still had daily house cleaning. And so that was awesome. The experience of being
[00:30:33.160 --> 00:30:38.120]   able to have multiple bedrooms with kids and in our case with my parents, but also be at a resort where
[00:30:38.120 --> 00:30:44.360]   you can just walk very close to massive pools and lounge chairs and get poolside service was really,
[00:30:44.360 --> 00:30:51.000]   really great. The pools are awesome at the montage in Maui. I want to say there's four tiers of pools.
[00:30:51.000 --> 00:30:55.960]   There's like the adult pool and then three tiers of kids pools with little waterfalls between them
[00:30:55.960 --> 00:31:01.480]   with rocks that kids can jump off of, weird little water features and multiple hot tubs,
[00:31:01.480 --> 00:31:09.160]   shallow section for younger kids. It was definitely more of a family vibe than some hotels I've stayed at,
[00:31:09.160 --> 00:31:13.080]   but we were there with our kids. So that was exactly what we were looking for. And this was also true at
[00:31:13.080 --> 00:31:18.120]   the four seasons. But you never felt like there weren't chairs. At the montage, they told us
[00:31:18.120 --> 00:31:22.840]   explicitly they had this policy. You could go down seven o'clock, you could sit in chairs. And if you
[00:31:22.840 --> 00:31:27.880]   don't use them by nine o'clock, you lose them. So I appreciated that they had a policy that was stated.
[00:31:27.880 --> 00:31:34.680]   So but because there were not so many people there when we were there, at least they had enough chairs
[00:31:34.680 --> 00:31:37.400]   for people never felt like it was too crowded.
[00:31:37.400 --> 00:31:43.400]   There were some cool other things to do. So I'd highly recommend if you go to the montage, there are these
[00:31:43.400 --> 00:31:49.040]   tide pools that you can walk to not very far of a hike. And it was really awesome. It was like a little rock
[00:31:49.040 --> 00:31:55.640]   scrambling down to some tide pools. That was great. The beach is right next to the property. All the beaches in Hawaii
[00:31:55.640 --> 00:32:01.560]   for anyone who hasn't been are public. So they don't operate quite the same as some of the beaches you might have been to at a
[00:32:01.560 --> 00:32:08.280]   resort in Mexico, where the resort is kind of really operating the beach. And so in this case, I think the
[00:32:08.280 --> 00:32:14.400]   montage, you could check in at the beach shack and you would get, you know, two chairs and an umbrella free for staying
[00:32:14.400 --> 00:32:20.760]   at the hotel. But they also had a place where you could rent snorkel gear and paddle boards or even wetsuits if you
[00:32:20.760 --> 00:32:29.880]   wanted them. Our girls do not love the ocean and are a little bit shy when it comes to big waves. However, in this
[00:32:29.880 --> 00:32:35.720]   particular case, the waves were pretty calm here. The waves in Lanai were a little bit bigger. The waves
[00:32:35.720 --> 00:32:40.760]   in the montage were calm enough that we actually got our girls out a bit, but not nearly enough to go
[00:32:40.760 --> 00:32:46.760]   snorkeling. It looks like there was some awesome snorkeling. Didn't get to do it on this trip. Hopefully,
[00:32:46.760 --> 00:32:50.600]   maybe next time girls are more excited. The other cool thing about this location
[00:32:50.600 --> 00:32:55.960]   location is there's a restaurant called Merriman's. It's pretty well known. I think they have multiple
[00:32:55.960 --> 00:33:03.200]   locations on different Hawaiian islands and excellent restaurant. And it's, you know, five, 10 minute walk
[00:33:03.200 --> 00:33:08.440]   from the hotel. And if you walk a little bit further, there are a few other restaurants. And so really nice
[00:33:08.440 --> 00:33:13.740]   that you could walk to a great restaurant. Now, Merriman's is also so popular that it's very hard to get a
[00:33:13.740 --> 00:33:18.620]   reservation. And we did not plan in advance and it's quite expensive, but they actually have an outdoor
[00:33:18.620 --> 00:33:24.760]   part of the restaurant called On The Point, which is no reservations, walk-in only, and honestly, I think
[00:33:24.760 --> 00:33:30.740]   better views because you're out right on the water. We ate there twice. It was excellent. Great happy hour
[00:33:30.740 --> 00:33:38.460]   menu, which times very well for having children. For breakfast, we walked to this Island Vibes acai shop
[00:33:38.460 --> 00:33:44.240]   one day, which was great. And for the most part, we ate breakfast in the room because we had a full
[00:33:44.240 --> 00:33:50.840]   kitchen and it was just easier. We did take one trek one night to a restaurant called Monkey Pod, which is
[00:33:50.840 --> 00:33:57.160]   operated by Merriman's, also a big restaurant conglomerate in Hawaii. It was awesome. Live music,
[00:33:57.160 --> 00:34:04.080]   really fun, great cocktails, would highly recommend it. That said, it's in the middle of like a shopping
[00:34:04.080 --> 00:34:10.940]   center and shopping center vibes is not exactly what I was going for with a relaxing Hawaiian vacation.
[00:34:10.940 --> 00:34:16.320]   It kind of felt a little chaotic, but the food was great. But it was really easy to get to because one
[00:34:16.320 --> 00:34:22.160]   of the perks that I think is a little underrated at the montage and why I think anyone listening should
[00:34:22.160 --> 00:34:27.980]   always dig into the details of all the perks at your hotel, because I brought this perk up to multiple
[00:34:27.980 --> 00:34:35.880]   people we met in the pool and no one had heard of it. But they have a Cadillac XT6, which is an SUV that
[00:34:35.880 --> 00:34:42.320]   seats six or seven people. And you can just borrow it anytime you want for free for four hours. You
[00:34:42.320 --> 00:34:48.020]   couldn't book it, but they kind of told us no one's ever using it. So we picked it up, went and got
[00:34:48.020 --> 00:34:52.520]   groceries. We picked it up, we drove to dinner, had a nice dinner and came home. So really, really
[00:34:52.520 --> 00:34:57.260]   underrated perk that you would have found on the website, you would have found if you asked the
[00:34:57.260 --> 00:35:02.260]   front desk, but you definitely wouldn't have found if you had just hoped that they gave you a brochure
[00:35:02.260 --> 00:35:08.020]   when you checked in that said, here are all the perks. So I find that always ask those things, both the
[00:35:08.020 --> 00:35:15.380]   Four Seasons Lanai and the Montage had kids clubs also, which is an awesome perk, except for my
[00:35:15.380 --> 00:35:20.100]   understanding insurance reasons, almost every kids club needs all their children to be over five unless you
[00:35:20.100 --> 00:35:24.700]   stay with them. So we're not quite at that age yet. So overall, Montage was fantastic.
[00:35:24.700 --> 00:35:31.960]   Service was a little lacking. I think they must either be understaffed or just, you know, not put
[00:35:31.960 --> 00:35:38.000]   as much of an emphasis on it. Like the service at the Four Seasons was 100% perfect. And the service at
[00:35:38.000 --> 00:35:43.380]   the Montage was slow at times. When it happened, it was great. People were kind, people were awesome and
[00:35:43.380 --> 00:35:48.500]   helpful. But it just felt like, you know, you would be waiting for a while. If you wanted to order some
[00:35:48.500 --> 00:35:53.440]   lunch at the pool, it might take 20, 30 minutes for someone to stop by and another 30 or 40 minutes
[00:35:53.440 --> 00:35:59.760]   for your food to come. But overall would stay there again. The three bedroom condos that exclusive had
[00:35:59.760 --> 00:36:09.260]   were amazing and highly recommend for families. So end of our trip, everything was great. Set my alarm
[00:36:09.260 --> 00:36:17.500]   for 12am, wake up and quickly go look for is that Southwest flight still available? Can I switch? I could. So I
[00:36:17.500 --> 00:36:22.820]   immediately switched all four seats. We're now on a direct flight back. That $800 flight we ended up getting
[00:36:22.820 --> 00:36:29.620]   for 26,000 Southwest points, which is about, you know, three ish hundred dollars. So amazing savings. And then we
[00:36:29.620 --> 00:36:38.120]   canceled our Hawaiian flights, because Alaska lets you cancel up to honestly, up until the time of boarding. And we got all those
[00:36:38.120 --> 00:36:42.860]   points back. So to whoever was flying home on Hawaiian and thought they had no chance at an upgrade,
[00:36:42.860 --> 00:36:48.260]   um, you know, morning of, we opened up four business class seats. So hopefully four people got really
[00:36:48.260 --> 00:36:54.020]   lucky that day. That said, I would have loved to fly on that Hawaiian flight direct. The Hawaiian experience
[00:36:54.020 --> 00:36:59.740]   was fantastic. Everything, the flight attendants were amazing. Um, really big fan of Hawaiian, excited that
[00:36:59.740 --> 00:37:06.520]   they're partnering with Alaska, excited that I now have a ton of Alaska points, uh, actually transferred in
[00:37:06.520 --> 00:37:14.820]   the max, which was, I think either 990 or 999,000 Amex points. So I took a huge chunk of my Amex points
[00:37:14.820 --> 00:37:21.160]   and moved them all over to Alaska, primarily because we were booking this trip to Hawaii and we booked a
[00:37:21.160 --> 00:37:28.340]   trip to Europe, um, for the summer that we may end up needing to cancel, but really flexible cancellation
[00:37:28.340 --> 00:37:34.920]   policies. And so many partners, we've been really able to find a lot of opportunities to use Alaska points.
[00:37:34.920 --> 00:37:42.500]   So honestly, if we end up keeping the summer trip, I might move some more in the rumor is that a lot
[00:37:42.500 --> 00:37:49.260]   of the things happening with Hawaiian and Alaska are going to be finalized after June 30th. So my guess,
[00:37:49.260 --> 00:37:56.020]   and I have no inside information is that that Amex to Hawaiian transfer partner will probably end by
[00:37:56.020 --> 00:38:01.240]   June 30th. That said, if you want to transfer points into Alaska, I would do it now. I wouldn't wait.
[00:38:01.600 --> 00:38:07.020]   Um, I, I, I don't know how long it will last, but I do know that it will be gone at some point. And I
[00:38:07.020 --> 00:38:13.460]   don't anticipate Alaska being a, uh, Amex transfer partner. So if you're interested in Alaska points,
[00:38:13.460 --> 00:38:18.480]   I would do that. A few other ways to get them are, of course you get Alaska cards. There are two Hawaiian
[00:38:18.480 --> 00:38:24.620]   credit cards right now with 60 to I think 75,000 point signup bonuses. Those are probably eventually
[00:38:24.620 --> 00:38:30.780]   going to go away. They're issued by, uh, Barclays, but you can still get them now. So there's a way to
[00:38:30.780 --> 00:38:36.100]   add a few extra Alaska points. If you want, they have pretty good earning relative to the minimum
[00:38:36.100 --> 00:38:44.620]   spend. And if you hold a Hawaiian card, you can actually transfer points between any other person
[00:38:44.620 --> 00:38:50.640]   for free. So honestly, I want one of them, either me or Amy to have just because we have a ton of Alaska
[00:38:50.640 --> 00:38:54.600]   points in each of our accounts. I'd love to be able to move them freely between each other.
[00:38:54.600 --> 00:39:00.000]   There's also an Alaska premium card coming soon. My guess is it will probably launch around the same
[00:39:00.000 --> 00:39:05.840]   time. They kick off all of the finalization of these mergers. So that was our trip to Hawaii.
[00:39:05.840 --> 00:39:10.700]   I know that was a lot, but I think there are some tactics in there and some perspective in there and
[00:39:10.700 --> 00:39:15.940]   some suggestions in there for, uh, that are super valuable. And I hope you agree next. I have a bunch
[00:39:15.940 --> 00:39:19.820]   of things to run through. So I'm just going to get through it. So first, um, a couple of weeks ago,
[00:39:19.820 --> 00:39:24.920]   there was an episode on lounges and accessing them. Two things that people sent in that I didn't
[00:39:24.920 --> 00:39:32.360]   mention. One, there is a card that you can't get directly called the Ritz Carlton card from Chase.
[00:39:32.360 --> 00:39:37.540]   But if you do have one of the Bonvoy cards from Chase, you can change to it after a year.
[00:39:37.540 --> 00:39:43.040]   And the reason I brought it up now is that people reminded me that it gets free authorized users
[00:39:43.040 --> 00:39:48.860]   and every card holder has unlimited guests on priority pass. So that is a really cool lounge
[00:39:48.860 --> 00:39:55.200]   card we didn't talk about. And then the next thing is, I hope this isn't a trend, but it looks like a
[00:39:55.200 --> 00:40:01.300]   few of the priority pass lounges are starting to charge a fee on top of, you know, just having the
[00:40:01.300 --> 00:40:07.460]   priority pass membership. I think the first one was the Virgin lounge at LAX, but I just hope that's
[00:40:07.460 --> 00:40:11.960]   not a trend. So that's a quick little follow up to the lounge episode. Next, um, big shout out to
[00:40:11.960 --> 00:40:17.460]   Patrick, who heard me talking about VPNs and flights and wanted to put it to the test.
[00:40:17.460 --> 00:40:22.520]   And I've often heard that using a VPN can be helpful for international flights, but he was
[00:40:22.520 --> 00:40:27.620]   actually testing it domestically. And so he was looking for a nonstop flight from Washington, DC to
[00:40:27.620 --> 00:40:35.100]   Houston, Texas. And he pulled up a VPN for each city, ran it once on in DC, ran it once in Texas,
[00:40:35.100 --> 00:40:43.560]   and actually found that a United flight was about $30 cheaper booking it in Houston, the destination
[00:40:43.560 --> 00:40:48.760]   city than it was booking it in DC. Now he ran the search a few times for other cities and couldn't
[00:40:48.760 --> 00:40:55.400]   always replicate it. But really interesting that even sometimes domestic flights are priced differently
[00:40:55.400 --> 00:41:01.840]   based on where you are. So if you do have a VPN, um, I would suggest if you're about to buy a flight,
[00:41:01.840 --> 00:41:06.320]   at least quickly check whether that flight is cheaper, maybe open up an incognito window,
[00:41:06.320 --> 00:41:10.660]   check Google flights. If it is maybe worth buying, if it's not, you know, proceed as normal.
[00:41:10.660 --> 00:41:16.340]   Um, on the VPN front, uh, we don't have any sponsors that are VPNs, but, uh, we did in the
[00:41:16.340 --> 00:41:22.080]   past have Nord VPN. It's the VPN I use for things like this. I tried to get them to be a sponsor.
[00:41:22.340 --> 00:41:27.120]   Sounds like it wasn't, uh, it didn't perform as well for them as I had hoped. I still use it and
[00:41:27.120 --> 00:41:31.040]   pay for it myself. So if you need a suggestion, that's it. And I think there might be a deal
[00:41:31.040 --> 00:41:35.880]   still that works from that. I'll put it in the show notes. So that was one thing. And then the other
[00:41:35.880 --> 00:41:41.360]   thing was there's an article and I'll link to it where people found that searching for award inventory
[00:41:41.360 --> 00:41:49.040]   on United in some areas, you actually saw more award tickets at lower prices in different
[00:41:49.040 --> 00:41:53.780]   countries. So if you go to the top of the site and say, I'm not in the U S speaking English, I'm in,
[00:41:53.780 --> 00:41:58.100]   you know, France or Vietnam speaking English, you would actually see flights that weren't available
[00:41:58.100 --> 00:42:04.740]   on the U S site. I hope that's just a glitch, but maybe read the comments of the post. I'll include,
[00:42:04.880 --> 00:42:09.340]   but it's just goes to show that you never know what kinds of variables you tweak and you might
[00:42:09.340 --> 00:42:14.960]   end up finding better deals. So am I going to try that tip on United every time I search for flights?
[00:42:14.960 --> 00:42:21.020]   Probably not. It's a hassle, but you could be for sure. If I'm trying to book a really big
[00:42:21.020 --> 00:42:24.380]   international trip, that's going to be hundreds of thousands of points. I'm definitely going to
[00:42:24.380 --> 00:42:28.480]   probably mess around a little bit on whatever side I'm on just to see if something else is there.
[00:42:28.480 --> 00:42:33.040]   This episode is brought to you by masterclass. I have learned so much about everything from
[00:42:33.040 --> 00:42:37.960]   communication to leadership to negotiation from business experts on this show. But if you're
[00:42:37.960 --> 00:42:43.140]   like me, you are always hungry for more. And that's when I turned to masterclass. It's the only
[00:42:43.140 --> 00:42:49.300]   streaming platform where you can learn and grow with over 200 of the world's best. And for just $10 a
[00:42:49.300 --> 00:42:55.200]   month, an annual membership with masterclass gets you unlimited access to every instructor on your phone,
[00:42:55.200 --> 00:43:01.460]   computer, smart TV, or even in audio mode. I've leveled up my investing with Ray Dalio perfected pizza
[00:43:01.460 --> 00:43:05.980]   making with Tony Jimignani and picked up so many great business lessons from Howard Schultz,
[00:43:05.980 --> 00:43:11.880]   Rosalind Brewer, Bob Iger, and so many more all through masterclass. But recently I wanted to set
[00:43:11.880 --> 00:43:17.180]   up some great habits for 2025 and I took James Clear's class on habits and it was so helpful.
[00:43:17.180 --> 00:43:22.580]   And it's not just me that loves it. 88% of members feel that masterclass has made a positive impact on
[00:43:22.580 --> 00:43:28.300]   their lives. Plus every new membership comes with a 30 day money back guarantee. So you have to check out
[00:43:28.300 --> 00:43:34.340]   masterclass and right now our listeners will get an additional 15% off any annual membership at
[00:43:34.340 --> 00:43:42.000]   chrishutchins.com slash masterclass. That's 15% off at chrishutchins.com slash masterclass. This episode is
[00:43:42.000 --> 00:43:47.120]   brought to you by Viore, which is amazing because they are one of only the few brands I wear almost every
[00:43:47.120 --> 00:43:53.040]   single day. I've got a shirt on. I've got the core shorts on. I love Viore and I love that they bring a new
[00:43:53.040 --> 00:43:57.440]   perspective on performance apparel. It's so versatile. It can be used for just about any
[00:43:57.440 --> 00:44:02.960]   activity, whether it's running, training, swimming, yoga, or even lounging or running errands or going
[00:44:02.960 --> 00:44:08.200]   out to dinner. Seriously, I wear my meta pants out for dinner all the time. But today I want to talk
[00:44:08.200 --> 00:44:13.260]   about their dream knit collection because it's amazing. It is super soft, lightweight, moisture
[00:44:13.260 --> 00:44:18.560]   wicking, but also has this amazing four-way performance stretch that makes it so comfortable.
[00:44:18.560 --> 00:44:23.000]   While it's almost impossible to narrow my Viore recommendations down to just one thing, I want
[00:44:23.000 --> 00:44:27.840]   you to check out the Ponto Performance Jogger for men or the Performance Jogger for women. I know me and
[00:44:27.840 --> 00:44:33.100]   my wife, Amy, absolutely love them and wear them all the time. Seriously, I think Viore is an investment
[00:44:33.100 --> 00:44:38.540]   in your happiness. And for everyone watching, they're offering 20% off your first purchase plus free
[00:44:38.540 --> 00:44:44.720]   shipping on US orders over $75 and free returns. So get yourself some of the most comfortable and
[00:44:44.720 --> 00:44:54.000]   versatile clothing on the planet at chrishutchins.com/viore. That's V-U-O-R-I. Again, that's chrishutchins.com/viore to discover
[00:44:54.000 --> 00:44:59.920]   the versatility of Viore clothing. Exclusions apply. Visit the website for full terms and conditions
[00:44:59.920 --> 00:45:07.280]   and find the link in the description. Okay, next, Amex. Speaking of being on sites, I was on the Amex
[00:45:07.280 --> 00:45:13.760]   site logged in, and I was looking at the Hilton cards. And I noticed that we'd currently downgraded
[00:45:13.760 --> 00:45:17.760]   our Hilton Aspire card to a Surpass card. And there was some language saying, "Hey, do you want
[00:45:17.760 --> 00:45:23.760]   to upgrade?" And similarly, we had another upgrade offer to go from the Amex Business Gold to the Amex
[00:45:23.760 --> 00:45:29.040]   Business Platinum. So one, make sure you're checking on the Amex site just to see if those offers exist when
[00:45:29.040 --> 00:45:35.440]   you're logged in. If not, you can also call in and ask. But we ended up getting a bonus for both upgrades.
[00:45:35.440 --> 00:45:43.680]   So on the Amex Business Gold and the Amex Business Platinum, we got 120,000 Amex points after 10k
[00:45:43.680 --> 00:45:48.800]   spend. And that's just on an upgrade. We didn't have to open a new card. And then on the Surpass to the
[00:45:48.800 --> 00:45:54.960]   Aspire, we were just doing that so that we got back to the Aspire to have diamond status on Hilton.
[00:45:54.960 --> 00:46:01.120]   We didn't even think there was an offer, except we did that. And we recently put some spend on that card.
[00:46:01.120 --> 00:46:05.360]   And all of a sudden, we ended up getting another Hilton free night certificate that was labeled
[00:46:05.360 --> 00:46:10.400]   as the Amex upgrade certificate. So we didn't even know we were getting a bonus and we did.
[00:46:10.400 --> 00:46:15.200]   So I would say recommendation to anyone, definitely with Amex. I haven't heard of this working anywhere
[00:46:15.200 --> 00:46:20.240]   else. See if you're targeted for any offers. Call in to ask if you're targeted for any offers if you're
[00:46:20.240 --> 00:46:26.720]   looking to move cards within different programs. So it's probably only within Bonvoy, only within
[00:46:26.720 --> 00:46:31.920]   Delta, only within Hilton, or within Amex's cards themselves. But definitely, if you're trying to
[00:46:31.920 --> 00:46:36.720]   change, see if there are any deals and they can be lucrative. A few other changes in the
[00:46:36.720 --> 00:46:41.280]   airline points and miles world. So one, something weird is going on with Emirates.
[00:46:41.280 --> 00:46:48.800]   Citi just recently said that transfers from Citi to Emirates are going down. Instead of transferring
[00:46:48.800 --> 00:46:55.040]   one to one, you're going to get one to 0.8. So that's a bummer. I don't often use Emirates to book anything.
[00:46:55.040 --> 00:47:00.880]   If I, in fact, I've never done it, but a few days later, Chase and Amex said from the end of May to
[00:47:00.880 --> 00:47:06.640]   the end of June, transfers to Emirates won't even work. So I don't think anyone knows what's going on
[00:47:06.640 --> 00:47:12.480]   with Emirates and their award program, but something seems to be happening. And so expect some changes,
[00:47:12.480 --> 00:47:18.640]   hopefully not bad, but the city change makes me think that it's probably not a good change.
[00:47:18.640 --> 00:47:24.880]   Um, next, uh, there's some rumors that JetBlue has announced some big partnerships coming up.
[00:47:24.880 --> 00:47:29.840]   Uh, rumors seem to be that it's going to be some kind of partnership with United by the time this
[00:47:29.840 --> 00:47:34.880]   episode comes out. Maybe that news is there, but, uh, that seems to be something coming. And then if you
[00:47:34.880 --> 00:47:41.040]   use the point.me award search tool, they finally added alerts. So I love setting up point search alerts.
[00:47:41.040 --> 00:47:47.600]   I currently probably use them on seats.aero and the award tool the most, um, for things like,
[00:47:47.600 --> 00:47:54.080]   Hey, notify me. If this Maui to, you know, the Bay area flight opens up, it didn't, but I definitely
[00:47:54.080 --> 00:47:58.000]   set those alerts up. So love setting up alerts. And if you're already a subscriber to point me,
[00:47:58.000 --> 00:48:03.280]   um, they have alerts. The other big change in the points and miles world, we kind of knew this was
[00:48:03.280 --> 00:48:09.520]   coming, but a lot more details were shared about what's going on with Southwest and all the new changes
[00:48:09.520 --> 00:48:14.000]   coming because it's going to be a totally different experience. So starting May 28th,
[00:48:14.000 --> 00:48:18.480]   any new reservations, or if you have an existing reservation and you change it after May 28th,
[00:48:18.480 --> 00:48:23.280]   you're no longer going to have free check bags unless you're business extra. They're also launching
[00:48:23.280 --> 00:48:29.040]   on that same day, the basic fair, which is effectively the want to get away fair rebranded,
[00:48:29.040 --> 00:48:34.480]   but you're no longer going to be able to make any changes or earn more than two X points on those
[00:48:34.480 --> 00:48:38.800]   fairs. So they're kind of adding their basic economy. They are not changing the cancel fees.
[00:48:38.800 --> 00:48:42.160]   So even with that basic fare, you'll be able to cancel for a flight credit.
[00:48:42.160 --> 00:48:49.040]   But remember Southwest flight credits now will be expiring within, I think a year. So that also
[00:48:49.040 --> 00:48:53.360]   sucks. So a lot of the things that we all maybe loved about Southwest are disappearing.
[00:48:53.360 --> 00:48:57.360]   The other big changes they say are coming in Q3, but haven't.
[00:48:58.480 --> 00:49:06.160]   So I think flights starting in 2026 are going to have this whole different seating layout.
[00:49:06.160 --> 00:49:10.560]   And so typically, if you've been on Southwest ever, you know that all the seats are kind of the same,
[00:49:10.560 --> 00:49:16.320]   except except exit rows. Starting next year, the first five rows in the front are going to be extra
[00:49:16.320 --> 00:49:22.880]   leg room, as well as three rows around the exit row. And then everything between the extra leg room in
[00:49:22.880 --> 00:49:27.600]   the front and the exit row is going to be preferred seats that are really the same as the rest of the plane,
[00:49:27.600 --> 00:49:31.600]   just in the front of the plane. And then everything behind the exit rows are standard seats.
[00:49:31.600 --> 00:49:37.360]   And so you're going to have to, you know, pick those seats or pay for those seats or get them based on your fair class.
[00:49:38.240 --> 00:49:43.600]   And, and so that's something that's coming. And so those, those preferred seats in the front
[00:49:43.600 --> 00:49:47.920]   and those extra leg room seats, it looks like are going to be about five extra inches of leg room.
