
[00:00:00.000 --> 00:00:07.200]   yeah go ahead
[00:36:39.440 --> 00:36:50.080]   training yeah and then they use llms to generate this uh multi-step tool called uh into trajectories
[00:36:52.880 --> 00:37:00.960]   uh yeah we'll move on to reasoning rl now one thing they uh i think uh they use like a grpo i feel like
[00:37:00.960 --> 00:37:08.000]   this is like a common framework even deep seek uses this i'm not sure uh i'm not exactly sure what is a
[00:37:08.000 --> 00:37:12.640]   this uh this loss term um yeah
[00:37:12.640 --> 00:37:26.080]   so one thing i understand based on this like uh so yeah uh if i understand like aurel correctly like
[00:37:26.080 --> 00:37:31.360]   for each task like you you get a reward and based on the reward you change the policy uh you take an
[00:37:31.360 --> 00:37:37.120]   option based on the existing policy you get a reward and then change it so here they uh they want to have like
[00:37:37.120 --> 00:37:44.480]   uh if if the task is like too complicated like the reward would be always zero so we don't have any
[00:37:44.480 --> 00:37:51.120]   gradient to train the model better way so they want to make sure that like uh at particular stage we get
[00:37:51.120 --> 00:37:57.120]   like appropriate reward or like we get a reward so that like we can train more or train better so uh
[00:37:58.240 --> 00:38:04.720]   so in stage one they use like moderate examples moderate difficult data uh and then after like
[00:38:04.720 --> 00:38:10.000]   certain point like after certain training steps they use like extremely difficult data so that like they
[00:38:10.000 --> 00:38:17.600]   have a better gradient or the model is well trained enough to produce a gradient or produce a reward um
[00:38:20.480 --> 00:38:24.320]   i think that's what i understand of from this uh curriculum based learning
[00:38:24.320 --> 00:38:36.320]   yeah uh and they tried to use like a different context uh like uh like 16k 32k 48 and 64.
[00:38:36.320 --> 00:38:43.280]   i i believe at the end they decided like it's better to use like a 64k context window uh there is no
[00:38:43.280 --> 00:38:48.640]   additional advantage with the uh starting with the small context window and then increasing the uh
[00:38:48.640 --> 00:38:54.320]   context window to 64k rather they can do uh 64k training from the beginning
[00:39:05.360 --> 00:39:17.120]   uh yeah they also mentioned like uh this two stage approach uh increasing the difficulty produces uh
[00:39:17.120 --> 00:39:20.720]   some better performances better performance
[00:39:20.720 --> 00:39:32.560]   yeah also they mentioned like a single stage rl at 64 output length uh this is a for that uh in
[00:39:32.560 --> 00:39:44.720]   second paragraph like this chart
[00:39:44.720 --> 00:40:02.320]   uh they uh they mentioned like they used a different uh
[00:40:02.320 --> 00:40:04.160]   loss function uh
[00:40:04.160 --> 00:40:14.720]   and this this basically this chart like uh using different uh loss function uh for like a coding tasks
[00:40:14.720 --> 00:40:21.840]   uh i think uh that comes in this paragraph but we can talk about this first and then
[00:40:21.840 --> 00:40:29.600]   so uh temperature i believe it's like a common uh temperature we see in llms like if the temperature is
[00:40:29.600 --> 00:40:34.080]   a high uh it becomes like a high uh it becomes like a more exploratory uh
[00:40:34.080 --> 00:40:36.080]   uh
[00:40:36.080 --> 00:40:38.080]   uh
[00:40:38.080 --> 00:40:41.200]   if temperature is too low it becomes like a very deterministic
[00:40:41.200 --> 00:40:47.840]   right so instead of using a uh like a standard temperature they try to use like a dynamic
[00:40:47.840 --> 00:40:54.720]   temperature um and then they have like a certain validation to make sure that like the temperature they
[00:40:54.720 --> 00:41:07.920]   have chosen uh is working fine uh is working fine uh yeah so here they mentioned how they uh how
[00:41:07.920 --> 00:41:12.080]   they have chosen temperature based on the validation uh validation set
[00:41:14.240 --> 00:41:22.720]   uh and they mentioned here like why they have uh taken that approach
[00:41:22.720 --> 00:41:34.880]   uh so here they mentioned like for code aural uh the loss calculation is critical for training
[00:41:34.880 --> 00:41:41.360]   efficiency and then instead of using or they used like a token weighted mean loss uh
[00:41:43.360 --> 00:41:50.240]   rather than conventional uh sequence mean loss uh i haven't exactly know what's going on here but
[00:41:50.240 --> 00:41:57.680]   i'm taking by the word and also this chart seems to be a case like token weighted average uh i mean
[00:41:57.680 --> 00:42:03.840]   token weighted mean uh is working better for all our training compared to the sequence mean
[00:42:03.840 --> 00:42:16.080]   uh um and they also mentioned like what they have done uh i feel like uh uh so uh for science rl i
[00:42:16.080 --> 00:42:22.000]   feel like uh a lot of the times like they have like a verified answers so i it becomes easier for
[00:42:22.000 --> 00:42:29.040]   training uh to get like exactly uh to get the reward uh if it's uh accurate or not the reasoning steps
[00:42:31.520 --> 00:42:50.480]   um for agent so uh i feel like here uh they use like both humans and ai uh to get the feedback um
[00:42:50.480 --> 00:43:00.480]   i'm not sure what um
[00:43:00.480 --> 00:43:12.960]   uh so this basically like they generated multiple uh uh like they generated multiple samples and then
[00:43:12.960 --> 00:43:28.480]   they're trying to like this this is just like a training loop
[00:43:30.160 --> 00:43:41.760]   uh we would uh will you be able to uh comment on this
[00:43:41.760 --> 00:43:48.960]   yeah i mean this is it am i reading this right someone else should
[00:43:48.960 --> 00:43:57.840]   comment here maybe this is grpo without the kl divergence right is that this is just a reiteration
[00:43:57.840 --> 00:44:00.720]   of the question of that statement from above or not yeah
[00:44:00.720 --> 00:44:05.440]   right
[00:44:05.440 --> 00:44:17.520]   um you know they don't they don't seem to did they mention what like why they removed the kl divergence
[00:44:17.520 --> 00:44:25.520]   from the last term i'm not sure i don't think i come across that reasoning yeah it seems a little bit
[00:44:25.520 --> 00:44:43.200]   yeah um i'm not even sure i mean i'm so not super confident like i understand this part uh this a lot
[00:44:43.200 --> 00:44:50.160]   of like aural heavy uh wait sometimes i understand um there's there's two things to dropping kill
[00:44:50.800 --> 00:44:59.600]   divergence penalty stuff um in in other work they also i don't remember which paper it was but one of
[00:44:59.600 --> 00:45:05.040]   these they significantly dropped the penalty for kale divergence and then they like decayed it so it
[00:45:05.040 --> 00:45:14.640]   didn't have an effect later on so hail divergence is to keep the model from going too off track right but
[00:45:14.640 --> 00:45:22.160]   lowering the penalty allows the model to explore like the random space a bit more so the paper basically
[00:45:22.160 --> 00:45:29.520]   really dropped the penalty for kale divergence because it allowed the model to explore a broader
[00:45:29.520 --> 00:45:36.960]   broader set of generated tokens right it's like similar to temperature it allows it to explore more freely
[00:45:37.760 --> 00:45:43.360]   and you know in return going down different paths it eventually converges to an answer in this case
[00:45:43.360 --> 00:45:49.920]   they're dropping kale divergence because they're doing this on math and code right so stuff that is
[00:45:49.920 --> 00:45:57.520]   objectively verifiable um you know as long as you can verify that that answer is correct you're you're
[00:45:57.520 --> 00:46:04.160]   fine right like you're you're you're able to get reward as long as you're able to start solving the
[00:46:04.160 --> 00:46:12.960]   questions so in in more broad terms like rlhf with like you know preference feedback and dpo and stuff
[00:46:12.960 --> 00:46:21.280]   it's still a concern right because you can get slight reward for preference based outcomes but in stuff
[00:46:21.280 --> 00:46:26.320]   like math and code you know as long as you end up at that verifiable answer you're kind of chilling right
[00:46:26.320 --> 00:46:32.640]   you don't really need a kale anchor to supervise the policy reward like it's it's okay and then there was
[00:46:32.640 --> 00:46:40.000]   another paper we covered recently that like echoed this yeah thank you yeah that's that's really clear
[00:46:40.000 --> 00:46:46.800]   that um i think it was the kimi paper right that that they did this in maybe uh the sound sounds about
[00:46:46.800 --> 00:46:55.120]   right yeah that's really good insight i appreciate that and this is also just like me spewing my
[00:46:55.120 --> 00:47:01.840]   of what i think about it you know could be wrong but seems legit to me i recall that too so that sounds
[00:47:01.840 --> 00:47:10.000]   right to me good enough for me um in this paragraph like they mentioned that uh how they calculated
[00:47:10.000 --> 00:47:17.760]   reward uh for the given specific task uh so for web search task like uh they use like a final answer
[00:47:17.760 --> 00:47:26.080]   as a reward and then for coding agents uh they use like verifiable test cases for uh rewards and then
[00:47:28.960 --> 00:47:36.720]   yeah um and for uh tool calling uh they try to see the uh format of the uh particular uh trajectory
[00:47:36.720 --> 00:47:43.920]   and then they uh basically like either uh proceed further or like uh receive a zero reward
[00:47:43.920 --> 00:47:53.040]   um and then uh basically uh the colds instead of like cold start sft cold start model like uh it has like a
[00:47:53.040 --> 00:48:01.200]   basic understanding what's going on uh how to deploy back but and then uh they did like a uh like once uh
[00:48:01.200 --> 00:48:06.080]   uh training has reached like certain steps like uh they started applying self distillation
[00:48:06.080 --> 00:48:16.320]   uh like uh by replacing calls uh like the data generated by the cold star uh cold start sft to uh the rl
[00:48:16.320 --> 00:48:26.400]   trained model i think this is the like expert model um yeah this this section sorry i'm taking so much of
[00:48:26.400 --> 00:48:34.400]   this talk but this section really made me nervous right because i feel like i mean i think that a long
[00:48:34.400 --> 00:48:42.880]   time ago i remember going over one of some paper on synthetic data and and and sort of like methods
[00:48:42.880 --> 00:48:52.080]   where like self-improvement um kind of hits a hits a limit pretty fast so i'm um it's interesting
[00:48:52.080 --> 00:48:59.760]   they're they really like sort of emphasize the self-improvement aspect here and that it just seems like
[00:48:59.760 --> 00:49:06.320]   you're you might like squeeze the most out of the existing data set but you're gonna maybe be over
[00:49:06.320 --> 00:49:17.200]   fit or something i don't know yeah i mean the i was worried about that uh because like they use a lot
[00:49:17.200 --> 00:49:23.760]   of synthetic data but i think uh even though it's like synthetic data the reward function probably captured
[00:49:23.760 --> 00:49:31.600]   like uh enough reasoning capabilities so generalized well um that's that's what i was hoping for yeah yeah
[00:49:31.600 --> 00:49:40.000]   sorry could i ask a question about what is meant by self distillation maybe you didn't quite catch
[00:49:40.000 --> 00:49:41.280]   what they're actually doing here
[00:49:48.480 --> 00:49:55.520]   i i i think they were they were using like expert model uh to generate the response and then
[00:49:55.520 --> 00:50:02.320]   they were using non-expert model uh to use that expert model generated reasoning
[00:50:02.320 --> 00:50:07.040]   i think they call it self distillation but it doesn't make sense
[00:50:07.040 --> 00:50:14.320]   it feels like reading from this it feels like what they're saying is that they use the io
[00:50:14.880 --> 00:50:25.200]   like trained model uh and feed that response into an sft um so but that's kind of like weird to do that
[00:50:25.200 --> 00:50:32.560]   right so i don't quite understand why somebody would do do that i know so this is um this is common they
[00:50:32.560 --> 00:50:41.440]   did this in magistral basically when you run out of um like a good verifier and like training data they
[00:50:41.440 --> 00:50:49.360]   they trained a very good math model so basically in magistral medium they retrained a reasoning model
[00:50:49.360 --> 00:50:55.120]   just on math and then they use that model to generate math data so in this case they do the
[00:50:55.120 --> 00:51:04.960]   same thing right so stage one you train experts right um like reasoning agent um tool use agent general
[00:51:04.960 --> 00:51:11.760]   chat agent then you do this unified training with distillation so right so the the agents generate
[00:51:11.760 --> 00:51:18.880]   responses and reasoning and tool calls and you know that's then the the unified model is trained on this
[00:51:18.880 --> 00:51:25.120]   synthetic data it's like self-distillation because it kind of came from itself right they they branched
[00:51:25.120 --> 00:51:36.480]   off trained experts and then they train on that output so distillation person oh so um before you're saying
[00:51:36.480 --> 00:51:45.440]   that um they were trained the the trained on specific tasks and then use because they were specific
[00:51:45.440 --> 00:51:53.360]   then for the unified one you kind of like use that specific rl trained one to kind of like generalize to
[00:51:53.360 --> 00:52:00.080]   other tasks or at least you kind of um put all the ex i guess you're calling experts right on different
[00:52:00.080 --> 00:52:09.040]   tasks try to use the combined into uh another sft run yeah yeah so they they they use the experts to
[00:52:09.040 --> 00:52:15.520]   generate response reasoning pull call traces right that's that's the distillation so they they they
[00:52:15.520 --> 00:52:23.680]   basically get they train experts to to do output rollouts and then they train on those this is like
[00:52:23.680 --> 00:52:30.960]   how how magistral got reasoning they trained a good math model then they used it for data
[00:52:30.960 --> 00:52:38.880]   it's like a very clear example of like this idea of training another model
[00:52:39.920 --> 00:52:49.040]   to to to generate some of this uh data would recommend that paper or a paper club on it but yeah makes sense
[00:52:49.040 --> 00:53:04.640]   this is like a general comment it seems like a uh increasing the interaction terms with the
[00:53:04.640 --> 00:53:11.920]   environment has obviously improved the uh test time compute um
[00:53:11.920 --> 00:53:22.960]   i think this is like a generic statement it doesn't have any value i mean it has value but it doesn't
[00:53:22.960 --> 00:53:32.480]   like a any specific insight and and for general oral they use like a oral hf and then aif uh they use like a
[00:53:32.480 --> 00:53:37.520]   like a model based feedback as well uh uh depends on the data depends on the task like the kind of
[00:53:37.520 --> 00:53:43.360]   mixing or uh use uh mixing all these three approaches like a rule-based feedback
[00:53:43.360 --> 00:53:52.320]   i think depends on the task like uh one of these would be uh better better um but i feel like uh even
[00:53:52.320 --> 00:54:01.040]   models can give like a better uh better judgment for a lot of tasks um yeah
[00:54:01.040 --> 00:54:05.040]   what is this shot
[00:54:05.040 --> 00:54:12.880]   um yeah this is like a browser com uh accuracy
[00:54:12.880 --> 00:54:24.880]   browser column very interesting benchmark this is from open ai it's like their web search type thing
[00:54:24.880 --> 00:54:30.240]   that they released with deep research i think they updated it recently i think six has played with it a bit
[00:54:30.240 --> 00:54:37.920]   um the the interesting chart i found were like the two in section three actually there's two charts
[00:54:37.920 --> 00:54:50.800]   about training about multi-step and um what do these red and blue lines um yeah they're multi-step training
[00:54:50.800 --> 00:54:57.040]   they have these two charts that kind of break down multi-stage versus single stage training and
[00:54:57.040 --> 00:55:03.760]   breaking off of um difficulty problems and plateauing these two are pretty cool
[00:55:03.760 --> 00:55:10.480]   honestly i think since we're running short of time maybe we don't just look at chart but they had good charts
[00:55:10.480 --> 00:55:20.320]   i recommend charts that's true um and on that last point by the way with the distillation
[00:55:20.320 --> 00:55:26.880]   uh so like the high level process is like first you train the three experts right reasoner agent and
[00:55:26.880 --> 00:55:34.160]   general chat then you know you change them what you train them with a cold start of sft traces then you do rl
[00:55:34.160 --> 00:55:40.480]   you make them experts then the big thing is like you don't just train on their rollouts like flat out
[00:55:40.480 --> 00:55:46.480]   right they do a lot of filtration so like for the distillation from three experts they they do rejection
[00:55:46.480 --> 00:55:52.480]   sampling correctness checking uh reward model filtering tool call verification like they actually
[00:55:52.480 --> 00:56:01.120]   verify all this stuff then the unified model they they do that sft distillation sort of stuff and that you
[00:56:01.120 --> 00:56:06.640]   you know that's like a deep level of like filtration stuff i think that's one of the interesting things
[00:56:06.640 --> 00:56:11.760]   right it's not like they just do three models and then they merge them into one like some weird model
[00:56:11.760 --> 00:56:17.440]   merge or some uh ensemble it's just that they use them for synthetic data and then they distill down
[00:56:17.440 --> 00:56:27.520]   and it's like a bunch of just sft kickstart do rl okay generate data filter data let's do it again
[00:56:27.520 --> 00:56:33.600]   let's do sft as a kick start off of these and of course you know strip out some stuff like you want
[00:56:33.600 --> 00:56:39.440]   you want hybrid reasoning so you want to keep some reasoners keep some non-reasoning stuff and you know
[00:56:39.440 --> 00:56:42.320]   in the end you get one model that outperforms the three
[00:56:42.320 --> 00:56:55.920]   is it also oh sorry thank you uh go ahead bro i just asked one more quick question um it says here like
[00:56:55.920 --> 00:57:00.080]   once training has reached a certain step count or plateaued is it normal that they loop the
[00:57:00.080 --> 00:57:09.360]   distillation process that they what the distillation process like they're doing they're doing many many
[00:57:09.360 --> 00:57:19.840]   rounds of the self-distillation um once training has reached a certain step count or plateaued we apply
[00:57:19.840 --> 00:57:25.200]   self-distillation by substituting the original cold start data with responses generated by the rl
[00:57:25.200 --> 00:57:32.000]   uh thus creating a superior sft we then conduct further rl training to announce this model this is
[00:57:32.000 --> 00:57:39.600]   talking about training the experts right then conduct further rl on this no no this is the join
[00:57:39.600 --> 00:57:47.840]   increasing difficulty this strategy allows us to push the limits of rl trained models of it sorry what's the
[00:57:47.840 --> 00:57:52.000]   what's the what's the question here this seems somewhat standard approach i but i think i
[00:57:52.000 --> 00:57:57.120]   misinterpreted what your question was about this no it's okay i might be misunderstanding i just got
[00:57:57.120 --> 00:58:02.960]   the impression that something that they're doing differently is um it's a self-iteration
[00:58:02.960 --> 00:58:09.600]   loop rather than just running the distillation process once which is what i thought the other models were
[00:58:09.600 --> 00:58:20.160]   doing applying self-distillation by substituting that i think the loop is just like you know after
[00:58:20.160 --> 00:58:25.600]   you do easy questions you do hard questions like that's their whole multi-step thing right like they
[00:58:25.600 --> 00:58:31.760]   at different stages do harder and harder questions and they're mixing it in with context line they they
[00:58:31.760 --> 00:58:38.320]   show this in one of the like i think it's is it figure five about moderate and extreme difficulty
[00:58:38.320 --> 00:58:44.160]   whereas one plateaus they they switch to stage two with extreme difficulty and then you know progress
[00:58:44.160 --> 00:58:51.120]   continues so like that blue line if you keep it stagnant with the same difficulty uh you know that's
[00:58:51.120 --> 00:58:57.440]   where it starts to plateau and you're not improving accuracy so you know next cycle is just how extreme
[00:58:57.440 --> 00:59:03.760]   difficulty instead i think that's like i think that's what they're saying here it's just tears of
[00:59:03.760 --> 00:59:08.480]   harder and harder questions um i could also be misinterpreting this you know
[00:59:08.480 --> 00:59:13.200]   that seems to be my understanding as well
[00:59:13.200 --> 00:59:23.280]   um they mentioned like uh how they created like a reward function for each type of specific task
[00:59:23.840 --> 00:59:29.200]   uh they were checking format they were checking like trajectory uh and then they were also checking
[00:59:29.200 --> 00:59:37.680]   uh if sometimes like uh so this stepwise uh it's basically checking like uh did we call exact tool
[00:59:37.680 --> 00:59:44.560]   at the particular time uh and sometimes they're using that and also they're trying to see if you actually
[00:59:44.560 --> 00:59:50.000]   completed the task other than like just calling the function at particular time so they were using these
[00:59:50.000 --> 00:59:58.640]   to uh and then uh sometimes these rls they get into infinite loops so and then instead of uh uh instead
[00:59:58.640 --> 01:00:05.360]   of adding a penalty to the task like they uh sampled a lot of uh see a lot of prompts with uh the oral
[01:00:05.360 --> 01:00:12.240]   tends to get infinite loops and then uh they uh created like a penalty function based on that instead of uh
[01:00:12.240 --> 01:00:19.360]   using a standard penalty which is like sampling efficient uh they mentioned like how uh they uh
[01:00:19.840 --> 01:00:27.200]   they mentioned how they want to use like a gpu better ways uh if uh some uh some rl is it's taking
[01:00:27.200 --> 01:00:33.760]   a lot of time to finish like instead of waiting on that they created like a different platform uh to
[01:00:33.760 --> 01:00:41.200]   optimize like a gpu usage better uh you can read the details later and then uh yeah these evolution
[01:00:41.200 --> 01:00:48.720]   metrics how they compare against uh existing models um i don't like this seems like very straightforward to me
[01:00:48.720 --> 01:00:56.480]   uh it's not like a uh i think it's cool uh yeah but it's still a lot of times it's still second to
[01:00:56.480 --> 01:01:04.240]   claude or other maybe the model sizes is like very small compared to them but still um nothing new inside
[01:01:04.240 --> 01:01:10.880]   it's just like a metrics they're talking how it compares to other models um i feel like uh one
[01:01:10.880 --> 01:01:15.200]   interesting thing uh they were able to have like uh i think the model has like a lot of reasoning
[01:01:15.200 --> 01:01:22.640]   a lot of reasoning capabilities inbuilt uh so it gets like a emergent phenomena like uh the translation
[01:01:22.640 --> 01:01:29.840]   surprisingly works comparatively uh existing models so that's like a like a side effect of having a lot of
[01:01:29.840 --> 01:01:38.480]   reasoning tokens yeah i think um that's all i wanted to cover
[01:01:38.480 --> 01:01:46.080]   but i feel like the aural setup or uh the things they mentioned is very cool
[01:01:53.840 --> 01:02:02.640]   well thank you so much for presenting um if anyone wants you know next week volunteer there's all
[01:02:02.640 --> 01:02:08.960]   these fun papers i posted a bunch of in discord or if there's any topics you want to cover we can
[01:02:08.960 --> 01:02:14.240]   cover together you know but uh you know big shout out thank you so much for presenting it's always fun
[01:02:14.240 --> 01:02:22.400]   to get different perspective on this stuff you know thank you yeah it's well done um thanks for uh
[01:02:22.400 --> 01:02:28.880]   volunteering all right many more volunteers uh more papers somebody's gonna do c dance that's another one
[01:02:28.880 --> 01:02:37.040]   oh china models man we i really want to do a china tour at some point maybe maybe uh early next year
[01:02:37.040 --> 01:02:42.960]   uh oh my god you just have access to go see all the labs here they're very i can i can definitely
[01:02:42.960 --> 01:02:53.520]   get quen we have inroads to deep seek uh stepfather mini max for sure i can get my god uh which is glm
[01:02:53.520 --> 01:02:57.600]   i mean i don't think they're hard to they're hard to get but i don't currently have objects
[01:02:58.400 --> 01:03:05.760]   okay other papers though there's um metas dyno v3 there's a genie clone that came out of tencent
[01:03:05.760 --> 01:03:14.400]   uh what else what else there's a survey on parallel text generation there is a lot of stuff there's a
[01:03:14.400 --> 01:03:22.400]   few auto regressive image generation papers um hrm tyler tell us volunteering uh yes i haven't read that
[01:03:22.400 --> 01:03:29.040]   one and i need to read it so hrm is yes on the docket in the next two to three weeks i might reach
[01:03:29.040 --> 01:03:37.920]   out to j alamar for his gpt oss thing uh i'll share in discord if you guys haven't seen it he did a
[01:03:37.920 --> 01:03:45.760]   really good blog post called like the illustrated transformer illustrated for gpt2 he put out one
[01:03:46.320 --> 01:03:52.880]   yesterday i think on the illustrated gpt oss so it's like a good visual breakdown of what's happening
[01:03:52.880 --> 01:04:01.040]   in state-of-the-art moe models and um i will i'll share it in in discord and try to get them to come
[01:04:01.040 --> 01:04:07.280]   up on otherwise you know if you have paper it's always better someone else someone else uh volunteer
[01:04:10.080 --> 01:04:17.840]   okay tyler you're locked for uh september 3rd glm uh uh sorry hrm uh and then we need to watch you
[01:04:17.840 --> 01:04:22.320]   for next week oh thanks guys bye all bye

