
[00:00:00.000 --> 00:00:01.100]   I cannot rest.
[00:25:16.880 --> 00:25:32.600]   And, and then, you know, these are students and, you know, maybe, so you're, you're concerned about, so this sort of, like, oh, one, one bad exposure to something shady could, like, infect them or something.
[00:25:32.600 --> 00:25:45.060]   Like, kind of a hypervigilant, sort of antiseptic, germophobic kind of, um, uh, point, like, that kind of view of people and ministry.
[00:25:45.060 --> 00:25:55.500]   Um, I think, um, I think it was, uh, like, early on, you know, we're really struck by a sense of God's holiness.
[00:25:56.540 --> 00:26:04.420]   And I think, um, a lot of us early on came out of Korean churches, like, the top leadership still remains very Korean.
[00:26:05.260 --> 00:26:20.860]   And, um, there's something about Korean churches, especially in the, in the seventies and eighties, um, it was like immigrant phenomenon, you know, people immigrate, like you can be whatever you're going to go to church.
[00:26:20.860 --> 00:26:27.160]   So, you know, all the deacons are drinking and smoking and like, you know, it's, it's sort of a community gathering.
[00:26:27.160 --> 00:26:35.260]   And so kids growing up, they saw a lot of, uh, a lot of that kind of thing and, and reacting against that.
[00:26:35.380 --> 00:26:42.660]   I think we were very, very locked in on holiness, no drinking.
[00:26:42.660 --> 00:26:44.420]   It's surprising today.
[00:26:44.420 --> 00:26:45.600]   Cause we don't want to be that church.
[00:26:45.600 --> 00:26:51.820]   But the vast majority of evangelicals thought you couldn't, you couldn't touch a drop of alcohol and smoking.
[00:26:51.820 --> 00:26:57.880]   I don't know what, I don't know what the problem, like smoking is like, oh my gosh, you're, you're such a sinner.
[00:26:57.880 --> 00:27:01.660]   You know, the pastor comes here, you're hiding all the cigarettes and stuff.
[00:27:02.680 --> 00:27:19.120]   And, um, and so those kinds of boundary marking, and, um, I think some of that's laudable, you know, even if it's the specifics seem a little dated now, like an idea, um, of not losing God's blessing is still very, very important to me.
[00:27:19.120 --> 00:27:21.440]   Like we don't want to lose God's blessing.
[00:27:21.440 --> 00:27:25.780]   And I think, um, doing ministry in a way that violates God's values.
[00:27:25.780 --> 00:27:26.040]   Yeah.
[00:27:26.040 --> 00:27:28.900]   I may get you short-term gains, but no.
[00:27:29.240 --> 00:27:37.800]   So, uh, again, you know, if I see somebody like extremely talented, but poor character, like, no, I'm, I'm not going to exploit your, your gifting.
[00:27:37.800 --> 00:27:49.020]   You know, I'm going to work on your character and try to, try to, so, so those are some of the, so I'm going all over the place, but, but, but, but so that focus on holiness, and I think we're young and we're scared.
[00:27:49.300 --> 00:27:55.660]   God was doing something in our midst, and we did not want to compromise at all.
[00:27:55.660 --> 00:27:56.180]   Want to guard it.
[00:27:56.180 --> 00:27:56.640]   Yeah.
[00:27:56.640 --> 00:28:13.600]   Uh, but then it became maybe a little too rigid over time, especially when we're imposing this or, or trying to make that kind of a requirement for Christian discipleship, uh, among college students.
[00:28:14.280 --> 00:28:19.720]   So we used to have a very strong stance against like gaming, for example, like video gaming.
[00:28:19.720 --> 00:28:21.400]   We, I just thought that was crazy.
[00:28:21.400 --> 00:28:22.160]   That was horrible.
[00:28:22.160 --> 00:28:24.000]   Like, how could you possibly do that?
[00:28:24.000 --> 00:28:33.820]   You know, and now you have like pastors gaming, like, you know, it's a, so things, things change, but when it first comes, like our initial reaction is like, wait, what is that?
[00:28:34.000 --> 00:28:39.000]   Is, is it okay to just indiscriminately go with that, you know?
[00:28:39.000 --> 00:28:51.700]   And, um, so then some of those precedents and some of that tone and some of that attitude, uh, gets played out in ways that are not very context specific.
[00:28:52.120 --> 00:29:00.520]   And, um, and yeah, and, and then like, is that what's important versus this person getting the gospel, you know?
[00:29:00.520 --> 00:29:11.380]   Um, so if, so I think we've, we've even tried to spell out all of the things like, Hey, like, let's just, this doesn't apply anymore.
[00:29:11.560 --> 00:29:12.000]   Right.
[00:29:12.000 --> 00:29:13.300]   Yeah.
[00:29:13.300 --> 00:29:14.880]   Like in the way of life and things like that.
[00:29:14.880 --> 00:29:15.240]   Yeah.
[00:29:15.240 --> 00:29:15.600]   Yeah.
[00:29:15.600 --> 00:29:16.180]   Yeah.
[00:29:16.180 --> 00:29:18.200]   It's, it's, it's subtle.
[00:29:18.200 --> 00:29:18.600]   Okay.
[00:29:18.600 --> 00:29:25.500]   Cause I think what I'm hearing you say is like, um, uh, it's, it's there, there, we are who we are still.
[00:29:25.500 --> 00:29:37.800]   And there, there are things that we, um, for, for different reasons, like we, um, we like really held onto them, you know, and, and maybe it had a lot to do with even our own spiritual progress and growth and everything.
[00:29:37.800 --> 00:29:44.420]   And, um, and so you can't just like suddenly just cut that out of yourself and say, we're not doing that anymore.
[00:29:44.420 --> 00:29:44.840]   Right.
[00:29:44.840 --> 00:29:54.280]   But to, um, as you mature, as you get older, as you realize what hills are worth dying on and stuff, you, you gotta, it's, it's a process almost to kind of sort that out.
[00:29:54.280 --> 00:29:58.180]   And so, um, it's not a, maybe not the easy answer that most of them want to hear.
[00:29:58.180 --> 00:30:01.160]   Like, well, can we just stop, you know, like, let's just free it up, you know, but.
[00:30:01.160 --> 00:30:01.500]   Yeah.
[00:30:01.500 --> 00:30:03.900]   And it's graduated too.
[00:30:03.900 --> 00:30:07.740]   So, um, understanding of ethics as, as graduated, you know, graduated.
[00:30:07.740 --> 00:30:19.660]   So you don't impose, uh, certain, like, you know, I have a pet peeve about telling kids to share, you know, like two, three year olds, like, nah, you don't need to share.
[00:30:19.660 --> 00:30:20.740]   You, you grab that first.
[00:30:20.740 --> 00:30:30.660]   You keep it because another kid will come and grab the truck or whatever and say, share, you know, and then some teacher or babysitter is liable to say, yeah, you should share.
[00:30:30.660 --> 00:30:32.280]   Like, it's not breakable.
[00:30:32.280 --> 00:30:35.420]   It's, it's not like a piece of bread you can share.
[00:30:35.420 --> 00:30:35.780]   Right.
[00:30:35.780 --> 00:30:37.320]   So somebody has to keep it.
[00:30:37.320 --> 00:30:42.220]   I think, um, like graduated ethics would say, well, he's only three years old.
[00:30:42.220 --> 00:30:45.180]   Just, you know, like don't burden him with sharing.
[00:30:45.180 --> 00:30:45.500]   Yeah.
[00:30:45.500 --> 00:30:47.600]   So just don't kill each other.
[00:30:47.600 --> 00:30:47.880]   Yeah.
[00:30:47.880 --> 00:30:48.380]   Yeah.
[00:30:48.380 --> 00:30:48.840]   Yeah.
[00:30:48.840 --> 00:31:00.220]   So, um, so I think, um, to, to, to understand, uh, where college students are and where like,
[00:31:00.220 --> 00:31:07.400]   like, like if you're a dad and, and you have toddlers and you're still playing video games
[00:31:07.400 --> 00:31:12.260]   on your phone constantly, you know, at a certain point, I'm like grabbing that phone and like
[00:31:12.260 --> 00:31:16.320]   yelling at you, you know, at a certain, if I love you and if we're close enough, like, dude,
[00:31:16.320 --> 00:31:17.560]   what the heck are you doing?
[00:31:17.560 --> 00:31:17.840]   Yeah.
[00:31:17.840 --> 00:31:20.380]   You know, don't you see this kid looking at you?
[00:31:20.380 --> 00:31:24.700]   Uh, I wouldn't do that to an 18 year old, you know?
[00:31:24.700 --> 00:31:27.680]   So, so all of that's very nuanced.
[00:31:27.900 --> 00:31:31.800]   You know, how close are you, you know, what, what age appropriate, you know, and we're
[00:31:31.800 --> 00:31:38.500]   still very much against, um, media from time, uh, stewardship perspective, as well as addictive
[00:31:38.500 --> 00:31:42.640]   or as being exposed to sexual imagery and all of that unholy stuff.
[00:31:42.640 --> 00:31:43.800]   Like I'd rather not do that.
[00:31:43.800 --> 00:31:44.180]   Yeah.
[00:31:44.180 --> 00:31:44.640]   You know?
[00:31:44.640 --> 00:31:44.920]   Yeah.
[00:31:44.920 --> 00:31:45.300]   Yeah.
[00:31:45.300 --> 00:31:49.740]   And I think one, one big shift I think I've seen in our thinking is, Hey, let's like,
[00:31:49.740 --> 00:31:50.200]   it's like what you're saying.
[00:31:50.200 --> 00:31:51.260]   It's the graduated ethics thing.
[00:31:51.260 --> 00:31:53.060]   I think maybe we didn't have a good handle on that before.
[00:31:53.060 --> 00:31:57.260]   It's sort of like, as soon as you enter our door, like we're going to dump the whole enchilada.
[00:31:57.260 --> 00:31:58.260]   You know?
[00:31:58.260 --> 00:32:01.560]   And now it's like, okay, freshmen, we're not going to fight those battles.
[00:32:01.560 --> 00:32:05.060]   And if you're still around 30 out of college and you still want to be here, then okay, then
[00:32:05.060 --> 00:32:06.600]   we can start talking about those things.
[00:32:06.600 --> 00:32:14.800]   And also, also students back in the days that were stronger, um, that I think the, the,
[00:32:14.800 --> 00:32:20.740]   the, the power dynamic was, I felt like they, they'll just say no, if they don't want to
[00:32:20.740 --> 00:32:21.060]   do it.
[00:32:21.060 --> 00:32:21.420]   Yeah.
[00:32:21.420 --> 00:32:25.840]   Or, or they'll like, um, they'll like pretend that they're going along and they're totally
[00:32:25.840 --> 00:32:26.220]   not.
[00:32:26.220 --> 00:32:27.940]   And they're okay with that.
[00:32:27.940 --> 00:32:29.020]   I kind of know they're not.
[00:32:29.520 --> 00:32:35.320]   So it's this weird Korean culture thing that people don't understand.
[00:32:35.320 --> 00:32:41.420]   It's really hard to describe, but, um, when, when a person of authority tells you to do
[00:32:41.420 --> 00:32:46.720]   something that's ridiculous, you say that you'll do it.
[00:32:48.600 --> 00:32:52.020]   And then you, you totally won't.
[00:32:52.020 --> 00:32:54.680]   And so this, this is interesting.
[00:32:54.680 --> 00:33:01.720]   And the person who told you to do it, like, you know, this guy's not going to do it, but
[00:33:01.720 --> 00:33:04.900]   you appreciate the fact that he lied to you and said, I'm going to do it.
[00:33:04.900 --> 00:33:12.760]   And, and it's like complex Western lens on that is like, that's deceptive and that's wrong.
[00:33:12.760 --> 00:33:16.140]   And how can you ever communicate anything in an organization like that?
[00:33:16.260 --> 00:33:21.660]   But there's aspects of that, that sort of honoring and face saving, but you're kind
[00:33:21.660 --> 00:33:24.540]   of out of touch and I'm actually not really going to do that.
[00:33:24.540 --> 00:33:29.260]   Um, you know, like be careful when you cross the street, son.
[00:33:29.260 --> 00:33:33.500]   And, you know, the son's like 20 years old, like, oh, thank you, dad, for telling me that
[00:33:33.500 --> 00:33:34.180]   I'll be careful.
[00:33:34.180 --> 00:33:35.660]   I'm totally not going to be careful.
[00:33:35.660 --> 00:33:36.380]   Right.
[00:33:36.380 --> 00:33:37.140]   I'm going to ignore this.
[00:33:37.140 --> 00:33:45.660]   So, so there's that, um, so, so the students change too, and people have become way more,
[00:33:45.660 --> 00:33:54.600]   um, um, um, kind of, um, people pleasing and, um, feel easily pressured and things like that.
[00:33:54.600 --> 00:34:00.300]   So here we are a church that's trying to be like, yeah, like really, really uphold the
[00:34:00.300 --> 00:34:06.760]   holiness of God, really wanting to disciple students and, and make them holy and transformed
[00:34:06.760 --> 00:34:07.700]   and be like Jesus.
[00:34:08.560 --> 00:34:16.860]   And, um, and, and, and, and, and a rapidly changing social, emotional, psychological context.
[00:34:16.860 --> 00:34:17.240]   Yeah.
[00:34:17.240 --> 00:34:17.500]   Yeah.
[00:34:17.500 --> 00:34:21.120]   So back in the day, it felt like, oh, these words, like this exhortation, it's just like
[00:34:21.120 --> 00:34:21.600]   a little stick.
[00:34:21.600 --> 00:34:25.980]   I'm poking with you with, whereas now it's perceived as no, you're holding a sword to my throat.
[00:34:25.980 --> 00:34:27.460]   I thought this was just a little stick.
[00:34:27.460 --> 00:34:28.680]   It's a battle ax in there.
[00:34:28.680 --> 00:34:29.400]   Yeah, yeah, yeah.
[00:34:29.400 --> 00:34:30.140]   I can see that.
[00:34:30.140 --> 00:34:33.860]   So that's, so you're naming, like, I mean, we talked about like things we need to preserve
[00:34:33.860 --> 00:34:34.340]   and lose.
[00:34:34.340 --> 00:34:38.500]   There's, it sounds like there's a lot of pivots we need to make organizationally and all that
[00:34:38.500 --> 00:34:38.740]   stuff.
[00:34:38.740 --> 00:34:42.320]   But it's also on the other side, what you're touching on is a lot of changes in the culture
[00:34:42.320 --> 00:34:47.260]   around us, a lot of changes in the world where it seems like every day something crazier
[00:34:47.260 --> 00:34:47.920]   and crazier is happening.
[00:34:48.920 --> 00:34:52.160]   Is it, can you just share like just some of your thoughts on that, just like what's
[00:34:52.160 --> 00:34:56.580]   going on in the whole world and, and our churches, like, like how we need change to meet that.
[00:34:56.580 --> 00:34:56.920]   Yeah.
[00:34:56.920 --> 00:35:01.480]   Or, or what, what role we might fill or, or space we might play in there.
[00:35:01.480 --> 00:35:06.260]   I mean, I think we've begun to just, we talk about that sometimes, you know, just what's
[00:35:06.260 --> 00:35:06.720]   going on in the world.
[00:35:06.720 --> 00:35:07.280]   Yeah.
[00:35:07.280 --> 00:35:16.860]   I think it's important to be aware, but, um, not, um, not complain too much.
[00:35:17.540 --> 00:35:22.160]   Um, I, um, I, um, I complain about the world and how bad the world is.
[00:35:22.160 --> 00:35:22.620]   Yeah.
[00:35:22.620 --> 00:35:23.100]   Yeah.
[00:35:23.100 --> 00:35:26.720]   Um, which is actually one of the things happening in our culture.
[00:35:26.720 --> 00:35:27.080]   Yeah.
[00:35:27.080 --> 00:35:32.940]   Like America is just the, the worst and, and we live in the hardest time ever and raising
[00:35:32.940 --> 00:35:35.620]   children in America is nearly impossible.
[00:35:35.620 --> 00:35:37.600]   That's one of the things that's happening in the culture.
[00:35:37.600 --> 00:35:44.220]   Christian version of that is like, oh my gosh, the world is crazy and we have to, um, you
[00:35:44.220 --> 00:35:49.300]   know, we have to, to, to huddle together in this enclave and, and, uh, reject the world.
[00:35:49.300 --> 00:35:52.060]   And so that's always been the case.
[00:35:52.060 --> 00:35:59.840]   But now that everybody's in their, um, information silos, then it gets, it gets amplified.
[00:35:59.840 --> 00:36:12.700]   Um, so, um, I, I think the trend is, I think, uh, kind of peaked, uh, of, um, everybody trying
[00:36:12.700 --> 00:36:18.980]   to outdo themselves in, um, in thinking that they've been victimized.
[00:36:18.980 --> 00:36:23.040]   Uh, I, I think that trend has, has sort of peaked hopefully.
[00:36:23.040 --> 00:36:33.860]   Um, and I think, um, while caring for the weak against, um, powerful authority figures that
[00:36:33.860 --> 00:36:36.320]   can harm them comes from a good place.
[00:36:36.320 --> 00:36:43.100]   Um, I think everybody agrees it's been a little overdone and the net effect of that is the
[00:36:43.100 --> 00:36:44.720]   generation that grew up with that.
[00:36:44.720 --> 00:36:49.080]   They're very, very lonely because they're cutting off everybody.
[00:36:49.080 --> 00:36:50.500]   They're cutting off friends.
[00:36:50.500 --> 00:36:53.880]   They're cutting off all entire generation as being clueless.
[00:36:53.880 --> 00:37:00.880]   Um, parent-child estrangement is like really on the rise and it's, you know, like 90% of
[00:37:00.880 --> 00:37:03.600]   it is children sort of disowning parents.
[00:37:03.600 --> 00:37:07.080]   So, and I think people are seeing that.
[00:37:07.080 --> 00:37:14.440]   And so I think the community creating power of the gospel is, um, in, in desperate need
[00:37:14.440 --> 00:37:16.380]   more than any other time I've seen.
[00:37:16.380 --> 00:37:20.020]   Um, so yeah.
[00:37:20.020 --> 00:37:25.320]   And, you know, we've tried not to be, um, angry, uh, at these kinds of trends.
[00:37:25.320 --> 00:37:33.720]   Um, I think the, the conditions in which we're doing ministry is more favorable than any other
[00:37:33.720 --> 00:37:34.180]   time.
[00:37:34.180 --> 00:37:37.280]   Um, I, I think, I think that's true.
[00:37:37.280 --> 00:37:42.740]   Um, so, and harvest continues to be plentiful.
[00:37:42.740 --> 00:37:49.440]   So I think, um, bemoaning the trend of the world is not a good pastime for Christians while
[00:37:49.440 --> 00:37:54.040]   we need to discern, you know, like, like it says in Ephesians chapter five, you know, you
[00:37:54.040 --> 00:37:58.380]   need to discern the time and find out and expose the fruitless seeds of darkness.
[00:37:58.380 --> 00:38:03.620]   So we need to be, um, be, be, be critique, we need to have a critique of the culture always
[00:38:03.620 --> 00:38:06.700]   from a biblical perspective, but emotionally, I don't think that should defeat us.
[00:38:06.700 --> 00:38:08.580]   Kind of a related question.
[00:38:08.580 --> 00:38:13.140]   So I think, I don't know if that's why, but I do feel like we're, yeah, I mean, we're seeing
[00:38:13.140 --> 00:38:13.860]   that in our culture.
[00:38:13.860 --> 00:38:20.920]   Um, I also think that one thing I've been seeing is that, um, just college ministry, when I see
[00:38:20.920 --> 00:38:26.160]   some college ministry questions, because we are a college ministry church, at least initially.
[00:38:26.160 --> 00:38:28.460]   Launching my funk and worse from every college town.
[00:38:28.460 --> 00:38:30.500]   But college ministry has been tough.
[00:38:30.500 --> 00:38:30.940]   Yeah.
[00:38:30.940 --> 00:38:31.800]   And I think that's the reality.
[00:38:31.800 --> 00:38:35.720]   Like our ministries have not been doing well as maybe like 10 years ago, like when we were
[00:38:35.720 --> 00:38:39.880]   in college, um, you know, and we say, we jokingly say that we're going to make college ministry
[00:38:39.880 --> 00:38:40.380]   great again.
[00:38:40.380 --> 00:38:44.640]   Not, not in a political sense, we are apolitical, but, but, you know, just in the, we just say
[00:38:44.640 --> 00:38:45.060]   that to be funny.
[00:38:45.060 --> 00:38:52.260]   Like what, what are some shifts that you think we didn't make that our college ministry needs
[00:38:52.260 --> 00:38:55.640]   to make to kind of, I don't know, be the moment.
[00:38:55.640 --> 00:38:55.920]   Yeah.
[00:38:55.920 --> 00:38:57.200]   Meet the moment, I guess.
[00:38:57.200 --> 00:38:59.680]   Cause I don't know if anyone has the answers to that.
[00:38:59.680 --> 00:39:01.720]   And I know it's a question we're all asking, but yeah.
[00:39:01.720 --> 00:39:06.620]   You know, um, just Christian work in general has suffered a lot.
[00:39:06.860 --> 00:39:15.940]   Um, I think, um, a lot of organizations that, um, used to, um, see crowds gathering, um, you
[00:39:15.940 --> 00:39:17.960]   know, that's no more.
[00:39:17.960 --> 00:39:27.020]   Um, so there's something about the culture that doesn't take to showing up at a certain time
[00:39:27.020 --> 00:39:28.220]   at a certain place.
[00:39:28.220 --> 00:39:33.480]   And that's sort of the formula that a lot of Christian work has depended on.
[00:39:33.480 --> 00:39:35.200]   It's like, it's your Sunday service.
[00:39:35.200 --> 00:39:36.400]   It's 12 p.m.
[00:39:36.400 --> 00:39:38.300]   And, and people just don't operate that way.
[00:39:38.300 --> 00:39:43.960]   I don't, I don't show up to a certain place at a certain time that starts at a certain point
[00:39:43.960 --> 00:39:44.880]   and ends at a certain point.
[00:39:44.880 --> 00:39:44.880]   I don't even show up at work.
[00:39:44.880 --> 00:39:45.480]   I work from home.
[00:39:45.480 --> 00:39:45.840]   Yeah.
[00:39:45.840 --> 00:39:46.380]   Yeah.
[00:39:46.380 --> 00:39:51.000]   People, people just don't do that anymore unless you're Taylor Swift and you're like this
[00:39:51.000 --> 00:39:56.260]   phenomenal talent that you cannot experience at anywhere else, you know, and that's rarely
[00:39:56.260 --> 00:40:00.340]   the case, um, so, and then what do we do?
[00:40:00.340 --> 00:40:05.480]   We bring them to a room and we want to deliver them content, but there's amazing content everywhere.
[00:40:05.480 --> 00:40:06.120]   Yeah.
[00:40:06.120 --> 00:40:14.960]   And so I think, um, it, people just have a hard time getting out of that mindset, uh, because
[00:40:14.960 --> 00:40:21.460]   people won't get out of a habitual thing unless there's an interesting thing for them to get
[00:40:21.460 --> 00:40:22.000]   out into.
[00:40:22.320 --> 00:40:26.280]   And so what I think we need to do is generate way more options.
[00:40:26.280 --> 00:40:35.720]   And I think we should, um, kind of, um, sort of break, break out of the, here are the things
[00:40:35.720 --> 00:40:39.820]   you're supposed to do, including Sunday service is supposed to be on a Sunday and it's a particular
[00:40:39.820 --> 00:40:40.940]   place with a preacher.
[00:40:40.940 --> 00:40:46.940]   I think when we break out of all of that, uh, and then generate, um, I don't think it's
[00:40:46.940 --> 00:40:52.700]   possible or I don't think the, there there's, there's some genius who's going to figure this
[00:40:52.700 --> 00:40:54.360]   out because then that would have happened already.
[00:40:54.580 --> 00:41:00.780]   I think what we need to do is create a lot of options so that kind of evolutionarily something
[00:41:00.780 --> 00:41:01.260]   emerges.
[00:41:01.260 --> 00:41:07.080]   And we haven't been able to do that because I think our usual methods have had inertia,
[00:41:07.080 --> 00:41:15.840]   uh, and, um, and has had enough fruit, but it's, it's not, it's not as fruitful as it used
[00:41:15.840 --> 00:41:22.500]   to be, but I think it's time to kind of, um, create way more teams to go out to way more
[00:41:22.500 --> 00:41:29.880]   campuses, uh, with high permission, um, and, uh, maybe even, even prohibition against certain
[00:41:29.880 --> 00:41:34.780]   things like, you can't do a Sunday service, um, something like that.
[00:41:34.780 --> 00:41:36.780]   But I think we need to do that.
[00:41:37.040 --> 00:41:38.800]   I, I think we needed to do that.
[00:41:38.800 --> 00:41:39.940]   Yeah.
[00:41:39.940 --> 00:41:41.300]   That resonates.
[00:41:41.300 --> 00:41:41.520]   Yeah.
[00:41:41.520 --> 00:41:46.260]   I do feel like, like I'm running into students on campus and they are more, they are spiritually
[00:41:46.260 --> 00:41:46.540]   hungry.
[00:41:46.540 --> 00:41:52.160]   They have questions, but like as good as that conversation is out on campus, like when the
[00:41:52.160 --> 00:41:55.320]   special talk or the Bible study rolls around, they just, they don't come, you know, they forget
[00:41:55.320 --> 00:41:59.500]   ahead or so like, yeah, how do we meet them in the middle and what are some other options
[00:41:59.500 --> 00:42:00.420]   and ways to engage?
[00:42:00.420 --> 00:42:04.160]   And I don't know if anyone like has the answer, but it does like, yeah.
[00:42:04.160 --> 00:42:04.460]   Yeah.
[00:42:04.460 --> 00:42:09.460]   And, and we have, we have tantalizing clues, but then because we have our seven day, you
[00:42:09.460 --> 00:42:14.920]   know, hamster wheel that sucks our energies, we're not able to follow our hunches and try
[00:42:14.920 --> 00:42:19.000]   different things to, to see, uh, test out what's going to happen.
[00:42:19.000 --> 00:42:28.040]   So I feel like this 2025, we really need to, um, maximize the diversity of approaches and
[00:42:28.040 --> 00:42:32.420]   who leads and what, like team configuration and what kind of campuses.
[00:42:32.420 --> 00:42:35.420]   And, um, so I think we need to figure it out.
[00:42:35.420 --> 00:42:39.420]   Um, yeah, 2025 will be the year to make college grade again.
[00:42:39.420 --> 00:42:41.420]   I think so.
[00:42:41.420 --> 00:42:41.880]   I don't know.
[00:42:41.880 --> 00:42:42.880]   Me either.
[00:42:42.880 --> 00:42:42.880]   Yeah.
[00:42:42.880 --> 00:42:44.880]   The year of the great scattering will be the year of great sewing.
[00:42:44.880 --> 00:42:44.880]   Yeah.
[00:42:44.880 --> 00:42:45.880]   Maybe.
[00:42:45.880 --> 00:42:46.880]   Oh yeah.
[00:42:46.880 --> 00:42:47.880]   Hey, I like that.
[00:42:47.880 --> 00:42:50.220]   So, uh, couple more questions.
[00:42:50.220 --> 00:42:54.980]   I think we're going to wrap up in a little bit, but kind of just as zooming out now, as you
[00:42:54.980 --> 00:42:59.960]   think about the future and I, I mean, I, to be frank, I think for a lot of us at our church,
[00:42:59.960 --> 00:43:04.880]   especially the ones who've been around for a bit, the thought of, uh, post pastor Ed and
[00:43:04.880 --> 00:43:09.880]   Kelly, Aksu Network is not just hazy, but kind of, kind of scary, kind of terrifying.
[00:43:09.880 --> 00:43:10.880]   It's pretty fair.
[00:43:10.880 --> 00:43:16.880]   Um, what would you say, what are a couple of things that give you confidence and hope that
[00:43:16.880 --> 00:43:19.880]   Aksu Network will be okay after you're gone?
[00:43:19.880 --> 00:43:22.880]   And maybe what are the things that worry you if you want to go there?
[00:43:22.880 --> 00:43:31.880]   Um, yeah, what, you know, um, I feel, I feel pretty confident.
[00:43:31.880 --> 00:43:34.880]   Um, I, I actually do.
[00:43:34.880 --> 00:43:43.720]   Um, if we're all in one place, you know, and I suddenly died, it's like, oh, but we're already
[00:43:43.720 --> 00:43:49.640]   so scattered that there's going to be like, let's say that we never talked about succession
[00:43:49.640 --> 00:43:53.640]   and none of this was in the works, we didn't, and we suddenly die.
[00:43:53.640 --> 00:43:57.640]   Um, what's going to happen?
[00:43:57.640 --> 00:44:05.640]   Whatever happens, every local leader has their team and we share the DNA.
[00:44:05.640 --> 00:44:12.640]   And I think eventually the fellowship will happen according to organic and, and, um, sensible
[00:44:12.640 --> 00:44:15.640]   ways, like within driving distance or something like that.
[00:44:15.640 --> 00:44:20.640]   So I don't think that, that there's, there's like one missile that can take us out anymore.
[00:44:20.640 --> 00:44:33.640]   Um, so, but what I'm, what I'm, um, what I'm eager to preserve is this sense that, uh, we are
[00:44:33.640 --> 00:44:41.640]   going to be, uh, friends and co-laborers, fellow, you know, king, cousin, crew until, until the grave.
[00:44:41.640 --> 00:44:50.640]   Like that continuity and that sense that whatever happens to me, I, I have this whole network, uh, that, that's going to take care of me.
[00:44:50.640 --> 00:44:51.640]   Yeah.
[00:44:51.640 --> 00:44:53.640]   Like that sense of security.
[00:44:53.640 --> 00:44:57.640]   Cause I think people are brave when they know that they're loved.
[00:44:57.640 --> 00:44:58.640]   Yeah.
[00:44:58.640 --> 00:45:03.640]   Uh, and so I think preserving that, I think that's going to get preserved.
[00:45:03.640 --> 00:45:11.640]   It's just preserving that in, in, in some kind of, um, in the, in the way that we enjoy it currently.
[00:45:11.640 --> 00:45:15.640]   Uh, you know, it might not be even such a, such a helpful thing.
[00:45:15.640 --> 00:45:24.640]   Um, so I, the, the, the several different ways that, that things can, can pan out if we don't smoothly do the succession.
[00:45:24.640 --> 00:45:30.640]   Um, none of those paths look very, very awful to me.
[00:45:30.640 --> 00:45:31.640]   Hmm.
[00:45:31.640 --> 00:45:32.640]   Yeah.
[00:45:32.640 --> 00:45:34.640]   But, but I, I know that's just me.
[00:45:34.640 --> 00:45:47.640]   I know, I know that, you know, I know like if you're, if you're like a six year and you happen to be at a church and all of your friends are like in a different city and your peers, like the three peers you have there, like you don't really like each other.
[00:45:47.640 --> 00:45:52.640]   And then, and then like the iron curtain comes down, let's say, or something then like, Oh no, I want to move.
[00:45:52.640 --> 00:45:55.640]   And so some of that, you know, would or could happen.
[00:45:55.640 --> 00:46:01.640]   It's not the end of the world, but I feel like, um, I feel like culture is really resilient.
[00:46:01.640 --> 00:46:09.640]   And I, I experienced us, um, going through COVID with hardly, um, any problems.
[00:46:09.640 --> 00:46:11.640]   In fact, I think we had fun.
[00:46:11.640 --> 00:46:16.640]   Uh, so, uh, and then after COVID emerges, I see like all of these, like.
[00:46:16.640 --> 00:46:29.640]   Uh, I heard John Tyson, who's a pastor that a lot of people think is like sort of the, um, sort of the, the, the, the spiritual legacy of, of Tim Keller is, is, is continued by him.
[00:46:29.640 --> 00:46:41.640]   And, um, he was quoted in an interview as saying 75% of what Tim Keller and the Redeemer network did, uh, in the past 30 years, uh, has, has been wiped out through COVID.
[00:46:41.640 --> 00:46:42.640]   Ooh.
[00:46:42.640 --> 00:46:46.640]   Uh, so I don't know what that means, you know, but wow.
[00:46:46.640 --> 00:46:53.640]   Um, so, um, but I think that we're going to be, um, pretty, pretty resilient.
[00:46:53.640 --> 00:47:07.640]   Um, and, um, but, um, but then, um, continuing to, uh, expand and continuing to like send out teams that may slow for a while.
[00:47:07.640 --> 00:47:08.640]   Mm-hmm.
[00:47:08.640 --> 00:47:08.640]   Mm-hmm.
[00:47:08.640 --> 00:47:14.640]   Because while everybody's paying attention to the local ministries, the mission expansion part has been carried by me and Kelly largely.
[00:47:14.640 --> 00:47:15.640]   Mm-hmm.
[00:47:15.640 --> 00:47:16.640]   And so I think that has to be divvied up.
[00:47:16.640 --> 00:47:17.640]   Mm-hmm.
[00:47:17.640 --> 00:47:18.640]   You know, soon.
[00:47:18.640 --> 00:47:19.640]   Got it.
[00:47:19.640 --> 00:47:20.640]   Got it.
[00:47:20.640 --> 00:47:22.640]   Any, um, final words for people watching this?
[00:47:22.640 --> 00:47:33.640]   I think in particular, like, as you look at this, the younger ones, I know everyone is a younger one to you, but as you look at the younger ones, um, what would you tell them?
[00:47:33.640 --> 00:47:39.640]   Like, hey, here is like, if you, if you could tell them one thing and you, they were going to listen, they're going to actually carry it out.
[00:47:39.640 --> 00:47:40.640]   Not, not the Korean way.
[00:47:40.640 --> 00:47:41.640]   Yeah.
[00:47:41.640 --> 00:47:42.640]   Like they actually, they're actually going to listen.
[00:47:42.640 --> 00:47:43.640]   They're actually going to do it.
