
[00:00:00.760 --> 00:00:02.120]   Hi, I'm Tony Sager.
[00:17:19.480 --> 00:17:20.480]   I think that's a very good point.
[00:17:20.480 --> 00:17:21.480]   I think that's a very good point.
[00:17:21.480 --> 00:17:22.480]   I think that's a very good point.
[00:17:22.480 --> 00:17:23.480]   I think that's a very good point.
[00:17:23.480 --> 00:17:24.480]   I think that's a very good point.
[00:17:24.480 --> 00:17:25.480]   I think that's a very good point.
[00:17:25.480 --> 00:17:26.480]   I think that's a very good point.
[00:17:26.480 --> 00:17:27.480]   I think that's a very good point.
[00:17:27.480 --> 00:17:28.480]   I think that's a very good point.
[00:17:28.480 --> 00:17:29.480]   I think that's a very good point.
[00:17:29.480 --> 00:17:30.480]   I think that's a very good point.
[00:17:30.480 --> 00:17:31.480]   I think that's a very good point.
[00:17:31.480 --> 00:17:32.480]   I think that's a very good point.
[00:17:32.480 --> 00:17:33.480]   I think that's a very good point.
[00:17:33.480 --> 00:17:34.480]   I think that's a very good point.
[00:17:34.480 --> 00:17:35.480]   I think that's a very good point.
[00:17:35.480 --> 00:17:36.480]   I think that's a very good point.
[00:17:36.480 --> 00:17:37.480]   I think that's a very good point.
[00:17:37.480 --> 00:17:38.480]   I think that's a very good point.
[00:17:38.480 --> 00:17:39.480]   I think that's a very good point.
[00:17:39.480 --> 00:17:40.480]   I think that's a very good point.
[00:17:40.480 --> 00:17:41.480]   I think that's a very good point.
[00:17:41.480 --> 00:17:42.480]   I think that's a very good point.
[00:17:42.480 --> 00:17:43.480]   I think that's a very good point.
[00:17:43.480 --> 00:17:44.480]   I think that's a very good point.
[00:17:44.480 --> 00:17:45.480]   I think that's a very good point.
[00:17:45.480 --> 00:17:46.480]   I think that's a very good point.
[00:17:46.480 --> 00:17:47.480]   I think that's a very good point.
[00:17:47.480 --> 00:17:48.480]   I think that's a very good point.
[00:17:48.480 --> 00:17:49.480]   I think that's a very good point.
[00:17:49.480 --> 00:17:50.480]   I think that's a very good point.
[00:17:50.480 --> 00:17:51.480]   I think that's a very good point.
[00:17:51.480 --> 00:17:52.480]   I think that's a very good point.
[00:17:52.480 --> 00:17:53.480]   I think that's a very good point.
[00:17:53.480 --> 00:17:54.480]   I think that's a very good point.
[00:17:54.480 --> 00:17:55.480]   I think that's a very good point.
[00:17:55.480 --> 00:17:56.480]   I think that's a very good point.
[00:17:56.480 --> 00:17:57.480]   I think that's a very good point.
[00:17:57.480 --> 00:17:58.480]   I think that's a very good point.
[00:17:58.480 --> 00:17:59.480]   I think that's a very good point.
[00:17:59.480 --> 00:18:00.480]   I think that's a very good point.
[00:18:00.480 --> 00:18:01.480]   I think that's a very good point.
[00:18:01.480 --> 00:18:02.480]   I think that's a very good point.
[00:18:02.480 --> 00:18:03.480]   I think that's a very good point.
[00:18:03.480 --> 00:18:04.480]   I think that's a very good point.
[00:18:04.480 --> 00:18:05.480]   I think that's a very good point.
[00:18:05.480 --> 00:18:06.480]   I think that's a very good point.
[00:18:06.480 --> 00:18:07.480]   I think that's a very good point.
[00:18:07.480 --> 00:18:08.480]   I think that's a very good point.
[00:18:08.480 --> 00:18:09.480]   I think that's a very good point.
[00:18:09.480 --> 00:18:10.480]   I think that's a very good point.
[00:18:10.480 --> 00:18:11.480]   I think that's a very good point.
[00:18:11.480 --> 00:18:12.480]   I think that's a very good point.
[00:18:12.480 --> 00:18:13.480]   I think that's a very good point.
[00:18:13.480 --> 00:18:14.480]   I think that's a very good point.
[00:18:14.480 --> 00:18:15.480]   I think that's a very good point.
[00:18:15.480 --> 00:18:16.480]   I think that's a very good point.
[00:18:16.480 --> 00:18:17.480]   I think that's a very good point.
[00:18:17.480 --> 00:18:18.480]   I think that's a very good point.
[00:18:18.480 --> 00:18:19.480]   I think that's a very good point.
[00:18:19.480 --> 00:18:20.480]   I think that's a very good point.
[00:18:20.480 --> 00:18:21.480]   I think that's a very good point.
[00:18:21.480 --> 00:18:22.480]   I think that's a very good point.
[00:18:22.480 --> 00:18:23.480]   I think that's a very good point.
[00:18:23.480 --> 00:18:24.480]   I think that's a very good point.
[00:18:24.480 --> 00:18:25.480]   I think that's a very good point.
[00:18:25.480 --> 00:18:26.480]   I think that's a very good point.
[00:18:26.480 --> 00:18:27.480]   I think that's a very good point.
[00:18:27.480 --> 00:18:28.480]   I think that's a very good point.
[00:18:28.480 --> 00:18:29.480]   I think that's a very good point.
[00:18:29.480 --> 00:18:30.480]   I think that's a very good point.
[00:18:30.480 --> 00:18:31.480]   I think that's a very good point.
[00:18:31.480 --> 00:18:32.480]   I think that's a very good point.
[00:18:32.480 --> 00:18:33.480]   I think that's a very good point.
[00:18:33.480 --> 00:18:34.480]   I think that's a very good point.
[00:18:34.480 --> 00:18:35.480]   I think that's a very good point.
[00:18:35.480 --> 00:18:36.480]   I think that's a very good point.
[00:18:36.480 --> 00:18:37.480]   I think that's a very good point.
[00:18:37.480 --> 00:18:38.480]   I think that's a very good point.
[00:18:38.480 --> 00:18:39.480]   I think that's a very good point.
[00:18:39.480 --> 00:18:40.480]   I think that's a very good point.
[00:18:40.480 --> 00:18:41.480]   I think that's a very good point.
[00:18:41.480 --> 00:18:42.480]   I think that's a very good point.
[00:18:42.480 --> 00:18:43.480]   I think that's a very good point.
[00:18:43.480 --> 00:18:44.480]   I think that's a very good point.
[00:18:44.480 --> 00:18:45.480]   I think that's a very good point.
[00:18:45.480 --> 00:18:46.480]   I think that's a very good point.
[00:18:46.480 --> 00:18:47.480]   I think that's a very good point.
[00:18:47.480 --> 00:18:48.480]   I think that's a very good point.
[00:18:48.480 --> 00:18:49.480]   I think that's a very good point.
[00:18:49.480 --> 00:18:50.480]   I think that's a very good point.
[00:18:50.480 --> 00:18:51.480]   I think that's a very good point.
[00:18:51.480 --> 00:18:52.480]   I think that's a very good point.
[00:18:52.480 --> 00:18:53.480]   I think that's a very good point.
[00:18:53.480 --> 00:18:54.480]   I think that's a very good point.
[00:18:54.480 --> 00:18:55.480]   I think that's a very good point.
[00:18:55.480 --> 00:18:56.480]   I think that's a very good point.
[00:18:56.480 --> 00:18:57.480]   I think that's a very good point.
[00:18:57.480 --> 00:18:58.480]   I think that's a very good point.
[00:18:58.480 --> 00:18:59.480]   I think that's a very good point.
[00:18:59.480 --> 00:19:00.480]   I think that's a very good point.
[00:19:00.480 --> 00:19:01.480]   I think that's a very good point.
[00:19:01.480 --> 00:19:02.480]   I think that's a very good point.
[00:19:02.480 --> 00:19:03.480]   I think that's a very good point.
[00:19:03.480 --> 00:19:04.480]   I think that's a very good point.
[00:19:04.480 --> 00:19:05.480]   I think that's a very good point.
[00:19:05.480 --> 00:19:06.480]   I think that's a very good point.
[00:19:06.480 --> 00:19:07.480]   I think that's a very good point.
[00:19:07.480 --> 00:19:08.480]   I think that's a very good point.
[00:19:08.480 --> 00:19:09.480]   I think that's a very good point.
[00:19:09.480 --> 00:19:10.480]   I think that's a very good point.
[00:19:10.480 --> 00:19:11.480]   I think that's a very good point.
[00:19:11.480 --> 00:19:12.480]   I think that's a very good point.
[00:19:12.480 --> 00:19:13.480]   I think that's a very good point.
[00:19:13.480 --> 00:19:14.480]   I think that's a very good point.
[00:19:14.480 --> 00:19:15.480]   I think that's a very good point.
[00:19:15.480 --> 00:19:16.480]   I think that's a very good point.
[00:19:16.480 --> 00:19:17.480]   I think that's a very good point.
[00:19:17.480 --> 00:19:18.480]   I think that's a very good point.
[00:19:18.480 --> 00:19:19.480]   I think that's a very good point.
[00:19:19.480 --> 00:19:20.480]   I think that's a very good point.
[00:19:20.480 --> 00:19:21.480]   I think that's a very good point.
[00:19:21.480 --> 00:19:22.480]   I think that's a very good point.
[00:19:22.480 --> 00:19:23.480]   I think that's a very good point.
[00:19:23.480 --> 00:19:24.480]   I think that's a very good point.
[00:19:24.480 --> 00:19:25.480]   I think that's a very good point.
[00:19:25.480 --> 00:19:26.480]   I think that's a very good point.
[00:19:26.480 --> 00:19:27.480]   I think that's a very good point.
[00:19:27.480 --> 00:19:28.480]   I think that's a very good point.
[00:19:28.480 --> 00:19:29.480]   I think that's a very good point.
[00:19:29.480 --> 00:19:30.480]   I think that's a very good point.
[00:19:30.480 --> 00:19:31.480]   I think that's a very good point.
[00:19:31.480 --> 00:19:32.480]   I think that's a very good point.
[00:19:32.480 --> 00:19:33.480]   I think that's a very good point.
[00:19:33.480 --> 00:19:34.480]   I think that's a very good point.
[00:19:34.480 --> 00:19:35.480]   I think that's a very good point.
[00:19:35.480 --> 00:19:36.480]   I think that's a very good point.
[00:19:36.480 --> 00:19:37.480]   I think that's a very good point.
[00:19:37.480 --> 00:19:38.480]   I think that's a very good point.
[00:19:38.480 --> 00:19:39.480]   I think that's a very good point.
[00:19:39.480 --> 00:19:40.480]   I think that's a very good point.
[00:19:40.480 --> 00:19:41.480]   I think that's a very good point.
[00:19:41.480 --> 00:19:42.480]   I think that's a very good point.
[00:19:42.480 --> 00:19:43.480]   I think that's a very good point.
[00:19:43.480 --> 00:19:44.480]   I think that's a very good point.
[00:19:44.480 --> 00:19:45.480]   I think that's a very good point.
[00:19:45.480 --> 00:19:46.480]   I think that's a very good point.
[00:19:46.480 --> 00:19:47.480]   I think that's a very good point.
[00:19:47.480 --> 00:19:48.480]   I think that's a very good point.
[00:19:48.480 --> 00:19:49.480]   I think that's a very good point.
[00:19:49.480 --> 00:19:50.480]   I think that's a very good point.
[00:19:50.480 --> 00:19:51.480]   I think that's a very good point.
[00:19:51.480 --> 00:19:52.480]   I think that's a very good point.
[00:19:52.480 --> 00:19:53.480]   I think that's a very good point.
[00:19:53.480 --> 00:19:54.480]   I think that's a very good point.
[00:19:54.480 --> 00:19:55.480]   I think that's a very good point.
[00:19:55.480 --> 00:19:56.480]   I think that's a very good point.
[00:19:56.480 --> 00:19:57.480]   I think that's a very good point.
[00:19:57.480 --> 00:19:58.480]   I think that's a very good point.
[00:19:58.480 --> 00:19:59.480]   I think that's a very good point.
[00:19:59.480 --> 00:20:00.480]   I think that's a very good point.
[00:20:00.480 --> 00:20:01.480]   I think that's a very good point.
[00:20:01.480 --> 00:20:02.480]   I think that's a very good point.
[00:20:02.480 --> 00:20:03.480]   I think that's a very good point.
[00:20:03.480 --> 00:20:04.480]   I think that's a very good point.
[00:20:04.480 --> 00:20:05.480]   I think that's a very good point.
[00:20:05.480 --> 00:20:06.480]   I think that's a very good point.
[00:20:06.480 --> 00:20:07.480]   I think that's a very good point.
[00:20:07.480 --> 00:20:08.480]   I think that's a very good point.
[00:20:08.480 --> 00:20:09.480]   I think that's a very good point.
[00:20:09.480 --> 00:20:10.480]   I think that's a very good point.
[00:20:10.480 --> 00:20:11.480]   I think that's a very good point.
[00:20:11.480 --> 00:20:12.480]   I think that's a very good point.
[00:20:12.480 --> 00:20:13.480]   I think that's a very good point.
[00:20:13.480 --> 00:20:14.480]   I think that's a very good point.
[00:20:14.480 --> 00:20:15.480]   I think that's a very good point.
[00:20:15.480 --> 00:20:16.480]   I think that's a very good point.
[00:20:16.480 --> 00:20:17.480]   I think that's a very good point.
[00:20:17.480 --> 00:20:18.480]   I think that's a very good point.
[00:20:18.480 --> 00:20:19.480]   I think that's a very good point.
[00:20:19.480 --> 00:20:20.480]   I think that's a very good point.
[00:20:20.480 --> 00:20:21.480]   I think that's a very good point.
[00:20:21.480 --> 00:20:22.480]   I think that's a very good point.
[00:20:22.480 --> 00:20:23.480]   I think that's a very good point.
[00:20:23.480 --> 00:20:24.480]   I think that's a very good point.
[00:20:24.480 --> 00:20:25.480]   I think that's a very good point.
[00:20:25.480 --> 00:20:26.480]   I think that's a very good point.
[00:20:26.480 --> 00:20:27.480]   I think that's a very good point.
[00:20:27.480 --> 00:20:28.480]   I think that's a very good point.
[00:20:28.480 --> 00:20:29.480]   I think that's a very good point.
[00:20:29.480 --> 00:20:30.480]   I think that's a very good point.
[00:20:30.480 --> 00:20:31.480]   I think that's a very good point.
[00:20:31.480 --> 00:20:32.480]   I think that's a very good point.
[00:20:32.480 --> 00:20:33.480]   I think that's a very good point.
[00:20:33.480 --> 00:20:34.480]   I think that's a very good point.
[00:20:34.480 --> 00:20:35.480]   I think that's a very good point.
[00:20:35.480 --> 00:20:36.480]   I think that's a very good point.
[00:20:36.480 --> 00:20:37.480]   I think that's a very good point.
[00:20:37.480 --> 00:20:38.480]   I think that's a very good point.
[00:20:38.480 --> 00:20:39.480]   I think that's a very good point.
[00:20:39.480 --> 00:20:40.480]   I think that's a very good point.
[00:20:40.480 --> 00:20:41.480]   I think that's a very good point.
[00:20:41.480 --> 00:20:42.480]   I think that's a very good point.
[00:20:42.480 --> 00:20:43.480]   I think that's a very good point.
[00:20:43.480 --> 00:20:44.480]   I think that's a very good point.
[00:20:44.480 --> 00:20:45.480]   I think that's a very good point.
[00:20:45.480 --> 00:20:46.480]   I think that's a very good point.
[00:20:46.480 --> 00:20:47.480]   I think that's a very good point.
[00:20:47.480 --> 00:20:48.480]   I think that's a very good point.
[00:20:48.480 --> 00:20:49.480]   I think that's a very good point.
[00:20:49.480 --> 00:20:50.480]   I think that's a very good point.
[00:20:50.480 --> 00:20:51.480]   I think that's a very good point.
[00:20:51.480 --> 00:20:52.480]   I think that's a very good point.
[00:20:52.480 --> 00:20:53.480]   I think that's a very good point.
[00:20:53.480 --> 00:20:54.480]   I think that's a very good point.
[00:20:54.480 --> 00:20:55.480]   I think that's a very good point.
[00:20:55.480 --> 00:20:56.480]   I think that's a very good point.
[00:20:56.480 --> 00:20:57.480]   I think that's a very good point.
[00:20:57.480 --> 00:20:58.480]   I think that's a very good point.
[00:20:58.480 --> 00:20:59.480]   I think that's a very good point.
[00:20:59.480 --> 00:21:00.480]   I think that's a very good point.
[00:21:00.480 --> 00:21:01.480]   I think that's a very good point.
[00:21:01.480 --> 00:21:02.480]   I think that's a very good point.
[00:21:02.480 --> 00:21:03.480]   I think that's a very good point.
[00:21:03.480 --> 00:21:04.480]   I think that's a very good point.
[00:21:04.480 --> 00:21:05.480]   I think that's a very good point.
[00:21:05.480 --> 00:21:06.480]   I think that's a very good point.
[00:21:06.480 --> 00:21:07.480]   I think that's a very good point.
[00:21:07.480 --> 00:21:08.480]   I think that's a very good point.
[00:21:08.480 --> 00:21:09.480]   I think that's a very good point.
[00:21:09.480 --> 00:21:10.480]   I think that's a very good point.
[00:21:10.480 --> 00:21:11.480]   I think that's a very good point.
[00:21:11.480 --> 00:21:12.480]   I think that's a very good point.
[00:21:12.480 --> 00:21:13.480]   I think that's a very good point.
[00:21:13.480 --> 00:21:14.480]   I think that's a very good point.
[00:21:14.480 --> 00:21:15.480]   I think that's a very good point.
[00:21:15.480 --> 00:21:16.480]   I think that's a very good point.
[00:21:16.480 --> 00:21:17.480]   I think that's a very good point.
[00:21:17.480 --> 00:21:18.480]   I think that's a very good point.
[00:21:18.480 --> 00:21:19.480]   I think that's a very good point.
[00:21:19.480 --> 00:21:20.480]   I think that's a very good point.
[00:21:20.480 --> 00:21:21.480]   I think that's a very good point.
[00:21:21.480 --> 00:21:22.480]   I think that's a very good point.
[00:21:22.480 --> 00:21:23.480]   I think that's a very good point.
[00:21:23.480 --> 00:21:24.480]   I think that's a very good point.
[00:21:24.480 --> 00:21:25.480]   I think that's a very good point.
[00:21:25.480 --> 00:21:26.480]   I think that's a very good point.
[00:21:26.480 --> 00:21:27.480]   I think that's a very good point.
[00:21:27.480 --> 00:21:28.480]   I think that's a very good point.
[00:21:28.480 --> 00:21:29.480]   I think that's a very good point.
[00:21:29.480 --> 00:21:30.480]   I think that's a very good point.
[00:21:30.480 --> 00:21:31.480]   I think that's a very good point.
[00:21:31.480 --> 00:21:32.480]   I think that's a very good point.
[00:21:32.480 --> 00:21:33.480]   I think that's a very good point.
[00:21:33.480 --> 00:21:34.480]   I think that's a very good point.
[00:21:34.480 --> 00:21:35.480]   I think that's a very good point.
[00:21:35.480 --> 00:21:36.480]   I think that's a very good point.
[00:21:36.480 --> 00:21:37.480]   I think that's a very good point.
[00:21:37.480 --> 00:21:38.480]   I think that's a very good point.
[00:21:38.480 --> 00:21:39.480]   I think that's a very good point.
[00:21:39.480 --> 00:21:40.480]   I think that's a very good point.
[00:21:40.480 --> 00:21:41.480]   I think that's a very good point.
[00:21:41.480 --> 00:21:42.480]   I think that's a very good point.
[00:21:42.480 --> 00:21:43.480]   I think that's a very good point.
[00:21:43.480 --> 00:21:44.480]   I think that's a very good point.
[00:21:44.480 --> 00:21:45.480]   I think that's a very good point.
[00:21:45.480 --> 00:21:46.480]   I think that's a very good point.
[00:21:46.480 --> 00:21:47.480]   I think that's a very good point.
[00:21:47.480 --> 00:21:48.480]   I think that's a very good point.
[00:21:48.480 --> 00:21:49.480]   I think that's a very good point.
[00:21:49.480 --> 00:21:50.480]   I think that's a very good point.
[00:21:50.480 --> 00:21:51.480]   I think that's a very good point.
[00:21:51.480 --> 00:21:52.480]   I think that's a very good point.
[00:21:52.480 --> 00:21:53.480]   I think that's a very good point.
[00:21:53.480 --> 00:21:54.480]   I think that's a very good point.
[00:21:54.480 --> 00:21:55.480]   I think that's a very good point.
[00:21:55.480 --> 00:21:56.480]   I think that's a very good point.
[00:21:56.480 --> 00:21:57.480]   I think that's a very good point.
[00:21:57.480 --> 00:21:58.480]   I think that's a very good point.
[00:21:58.480 --> 00:21:59.480]   I think that's a very good point.
[00:21:59.480 --> 00:22:00.480]   I think that's a very good point.
[00:22:00.480 --> 00:22:01.480]   I think that's a very good point.
[00:22:01.480 --> 00:22:02.480]   I think that's a very good point.
[00:22:02.480 --> 00:22:03.480]   I think that's a very good point.
[00:22:03.480 --> 00:22:04.480]   I think that's a very good point.
[00:22:04.480 --> 00:22:05.480]   I think that's a very good point.
[00:22:05.480 --> 00:22:06.480]   I think that's a very good point.
[00:22:06.480 --> 00:22:07.480]   I think that's a very good point.
[00:22:07.480 --> 00:22:08.480]   I think that's a very good point.
[00:22:08.480 --> 00:22:09.480]   I think that's a very good point.
[00:22:09.480 --> 00:22:10.480]   I think that's a very good point.
[00:22:10.480 --> 00:22:11.480]   I think that's a very good point.
[00:22:11.480 --> 00:22:12.480]   I think that's a very good point.
[00:22:12.480 --> 00:22:13.480]   I think that's a very good point.
[00:22:13.480 --> 00:22:14.480]   I think that's a very good point.
[00:22:14.480 --> 00:22:15.480]   I think that's a very good point.
[00:22:15.480 --> 00:22:16.480]   I think that's a very good point.
[00:22:16.480 --> 00:22:17.480]   I think that's a very good point.
[00:22:17.480 --> 00:22:18.480]   I think that's a very good point.
[00:22:18.480 --> 00:22:19.480]   I think that's a very good point.
[00:22:19.480 --> 00:22:20.480]   I think that's a very good point.
[00:22:20.480 --> 00:22:21.480]   I think that's a very good point.
[00:22:21.480 --> 00:22:22.480]   I think that's a very good point.
[00:22:22.480 --> 00:22:23.480]   I think that's a very good point.
[00:22:23.480 --> 00:22:24.480]   I think that's a very good point.
[00:22:24.480 --> 00:22:25.480]   I think that's a very good point.
[00:22:25.480 --> 00:22:26.480]   I think that's a very good point.
[00:22:26.480 --> 00:22:27.480]   I think that's a very good point.
[00:22:27.480 --> 00:22:28.480]   I think that's a very good point.
[00:22:28.480 --> 00:22:29.480]   I think that's a very good point.
[00:22:29.480 --> 00:22:30.480]   I think that's a very good point.
[00:22:30.480 --> 00:22:31.480]   I think that's a very good point.
[00:22:31.480 --> 00:22:32.480]   I think that's a very good point.
[00:22:32.480 --> 00:22:33.480]   I think that's a very good point.
[00:22:33.480 --> 00:22:34.480]   I think that's a very good point.
[00:22:34.480 --> 00:22:35.480]   I think that's a very good point.
[00:22:35.480 --> 00:22:36.480]   I think that's a very good point.
[00:22:36.480 --> 00:22:37.480]   I think that's a very good point.
[00:22:37.480 --> 00:22:38.480]   I think that's a very good point.
[00:22:38.480 --> 00:22:39.480]   I think that's a very good point.
[00:22:39.480 --> 00:22:40.480]   I think that's a very good point.
[00:22:40.480 --> 00:22:41.480]   I think that's a very good point.
[00:22:41.480 --> 00:22:42.480]   I think that's a very good point.
[00:22:42.480 --> 00:22:43.480]   I think that's a very good point.
[00:22:43.480 --> 00:22:44.480]   I think that's a very good point.
[00:22:44.480 --> 00:22:45.480]   I think that's a very good point.
[00:22:45.480 --> 00:22:46.480]   I think that's a very good point.
[00:22:46.480 --> 00:22:47.480]   I think that's a very good point.
[00:22:47.480 --> 00:22:48.480]   I think that's a very good point.
[00:22:48.480 --> 00:22:49.480]   I think that's a very good point.
[00:22:49.480 --> 00:22:50.480]   I think that's a very good point.
[00:22:50.480 --> 00:22:51.480]   I think that's a very good point.
[00:22:51.480 --> 00:22:52.480]   I think that's a very good point.
[00:22:52.480 --> 00:22:53.480]   I think that's a very good point.
[00:22:53.480 --> 00:22:54.480]   I think that's a very good point.
[00:22:54.480 --> 00:22:55.480]   I think that's a very good point.
[00:22:55.480 --> 00:22:56.480]   I think that's a very good point.
[00:22:56.480 --> 00:22:57.480]   I think that's a very good point.
[00:22:57.480 --> 00:22:58.480]   I think that's a very good point.
[00:22:58.480 --> 00:22:59.480]   I think that's a very good point.
[00:22:59.480 --> 00:23:00.480]   I think that's a very good point.
[00:23:00.480 --> 00:23:01.480]   I think that's a very good point.
[00:23:01.480 --> 00:23:02.480]   I think that's a very good point.
[00:23:02.480 --> 00:23:03.480]   I think that's a very good point.
[00:23:03.480 --> 00:23:04.480]   I think that's a very good point.
[00:23:04.480 --> 00:23:05.480]   I think that's a very good point.
[00:23:05.480 --> 00:23:06.480]   I think that's a very good point.
[00:23:06.480 --> 00:23:07.480]   I think that's a very good point.
[00:23:07.480 --> 00:23:08.480]   I think that's a very good point.
[00:23:08.480 --> 00:23:09.480]   I think that's a very good point.
[00:23:09.480 --> 00:23:10.480]   I think that's a very good point.
[00:23:10.480 --> 00:23:11.480]   I think that's a very good point.
[00:23:11.480 --> 00:23:12.480]   I think that's a very good point.
[00:23:12.480 --> 00:23:13.480]   I think that's a very good point.
[00:23:13.480 --> 00:23:14.480]   I think that's a very good point.
[00:23:14.480 --> 00:23:15.480]   I think that's a very good point.
[00:23:15.480 --> 00:23:16.480]   I think that's a very good point.
[00:23:16.480 --> 00:23:17.480]   I think that's a very good point.
[00:23:17.480 --> 00:23:18.480]   I think that's a very good point.
[00:23:18.480 --> 00:23:19.480]   I think that's a very good point.
[00:23:19.480 --> 00:23:20.480]   I think that's a very good point.
[00:23:20.480 --> 00:23:21.480]   I think that's a very good point.
[00:23:21.480 --> 00:23:22.480]   I think that's a very good point.
[00:23:22.480 --> 00:23:23.480]   I think that's a very good point.
[00:23:23.480 --> 00:23:24.480]   I think that's a very good point.
[00:23:24.480 --> 00:23:25.480]   I think that's a very good point.
[00:23:25.480 --> 00:23:26.480]   I think that's a very good point.
[00:23:26.480 --> 00:23:27.480]   I think that's a very good point.
[00:23:27.480 --> 00:23:28.480]   I think that's a very good point.
[00:23:28.480 --> 00:23:29.480]   I think that's a very good point.
[00:23:29.480 --> 00:23:30.480]   I think that's a very good point.
[00:23:30.480 --> 00:23:31.480]   I think that's a very good point.
[00:23:31.480 --> 00:23:32.480]   I think that's a very good point.
[00:23:32.480 --> 00:23:33.480]   I think that's a very good point.
[00:23:33.480 --> 00:23:34.480]   I think that's a very good point.
[00:23:34.480 --> 00:23:35.480]   I think that's a very good point.
[00:23:35.480 --> 00:23:36.480]   I think that's a very good point.
[00:23:36.480 --> 00:23:37.480]   I think that's a very good point.
[00:23:37.480 --> 00:23:38.480]   I think that's a very good point.
[00:23:38.480 --> 00:23:39.480]   I think that's a very good point.
[00:23:39.480 --> 00:23:40.480]   I think that's a very good point.
[00:23:40.480 --> 00:23:41.480]   I think that's a very good point.
[00:23:41.480 --> 00:23:42.480]   I think that's a very good point.
[00:23:42.480 --> 00:23:43.480]   I think that's a very good point.
[00:23:43.480 --> 00:23:44.480]   I think that's a very good point.
[00:23:44.480 --> 00:23:45.480]   I think that's a very good point.
[00:23:45.480 --> 00:23:46.480]   I think that's a very good point.
[00:23:46.480 --> 00:23:47.480]   I think that's a very good point.
[00:23:47.480 --> 00:23:48.480]   I think that's a very good point.
[00:23:48.480 --> 00:23:49.480]   I think that's a very good point.
[00:23:49.480 --> 00:23:50.480]   I think that's a very good point.
[00:23:50.480 --> 00:23:51.480]   I think that's a very good point.
[00:23:51.480 --> 00:23:52.480]   I think that's a very good point.
[00:23:52.480 --> 00:23:53.480]   I think that's a very good point.
[00:23:53.480 --> 00:23:54.480]   I think that's a very good point.
[00:23:54.480 --> 00:23:55.480]   I think that's a very good point.
[00:23:55.480 --> 00:23:56.480]   I think that's a very good point.
[00:23:56.480 --> 00:23:57.480]   I think that's a very good point.
[00:23:57.480 --> 00:23:58.480]   I think that's a very good point.
[00:23:58.480 --> 00:23:59.480]   I think that's a very good point.
[00:23:59.480 --> 00:24:00.480]   I think that's a very good point.
[00:24:00.480 --> 00:24:01.480]   I think that's a very good point.
[00:24:01.480 --> 00:24:02.480]   I think that's a very good point.
[00:24:02.480 --> 00:24:03.480]   I think that's a very good point.
[00:24:03.480 --> 00:24:04.480]   I think that's a very good point.
[00:24:04.480 --> 00:24:05.480]   I think that's a very good point.
[00:24:05.480 --> 00:24:06.480]   I think that's a very good point.
[00:24:06.480 --> 00:24:07.480]   I think that's a very good point.
[00:24:07.480 --> 00:24:08.480]   I think that's a very good point.
[00:24:08.480 --> 00:24:09.480]   I think that's a very good point.
[00:24:09.480 --> 00:24:10.480]   I think that's a very good point.
[00:24:10.480 --> 00:24:11.480]   I think that's a very good point.
[00:24:11.480 --> 00:24:12.480]   I think that's a very good point.
[00:24:12.480 --> 00:24:13.480]   I think that's a very good point.
[00:24:13.480 --> 00:24:14.480]   I think that's a very good point.
[00:24:14.480 --> 00:24:15.480]   I think that's a very good point.
[00:24:15.480 --> 00:24:16.480]   I think that's a very good point.
[00:24:16.480 --> 00:24:17.480]   I think that's a very good point.
[00:24:17.480 --> 00:24:18.480]   I think that's a very good point.
[00:24:18.480 --> 00:24:19.480]   I think that's a very good point.
[00:24:19.480 --> 00:24:20.480]   I think that's a very good point.
[00:24:20.480 --> 00:24:21.480]   I think that's a very good point.
[00:24:21.480 --> 00:24:22.480]   I think that's a very good point.
[00:24:22.480 --> 00:24:23.480]   I think that's a very good point.
[00:24:23.480 --> 00:24:24.480]   I think that's a very good point.
[00:24:24.480 --> 00:24:25.480]   I think that's a very good point.
[00:24:25.480 --> 00:24:26.480]   I think that's a very good point.
[00:24:26.480 --> 00:24:27.480]   I think that's a very good point.
[00:24:27.480 --> 00:24:28.480]   I think that's a very good point.
[00:24:28.480 --> 00:24:29.480]   I think that's a very good point.
[00:24:29.480 --> 00:24:30.480]   I think that's a very good point.
[00:24:30.480 --> 00:24:31.480]   I think that's a very good point.
[00:24:31.480 --> 00:24:32.480]   I think that's a very good point.
[00:24:32.480 --> 00:24:33.480]   I think that's a very good point.
[00:24:33.480 --> 00:24:34.480]   I think that's a very good point.
[00:24:34.480 --> 00:24:35.480]   I think that's a very good point.
[00:24:35.480 --> 00:24:36.480]   I think that's a very good point.
[00:24:36.480 --> 00:24:37.480]   I think that's a very good point.
[00:24:37.480 --> 00:24:38.480]   I think that's a very good point.
[00:24:38.480 --> 00:24:39.480]   I think that's a very good point.
[00:24:39.480 --> 00:24:40.480]   I think that's a very good point.
[00:24:40.480 --> 00:24:41.480]   I think that's a very good point.
[00:24:41.480 --> 00:24:42.480]   I think that's a very good point.
[00:24:42.480 --> 00:24:43.480]   I think that's a very good point.
[00:24:43.480 --> 00:24:44.480]   I think that's a very good point.
[00:24:44.480 --> 00:24:45.480]   I think that's a very good point.
[00:24:45.480 --> 00:24:46.480]   I think that's a very good point.
[00:24:46.480 --> 00:24:47.480]   I think that's a very good point.
[00:24:47.480 --> 00:24:48.480]   I think that's a very good point.
[00:24:48.480 --> 00:24:49.480]   I think that's a very good point.
