
[00:00:00.000 --> 00:00:06.360]   Today on the show we dig into frugal fashion tips for men with Steve from stevenomics.com
[00:22:32.140 --> 00:22:39.900]   Doc Martens were quite fashionable. And so I bought a pair of black just Doc Martin shoes black leather shoes, which were intended for
[00:22:39.900 --> 00:22:45.820]   To wear with my uniform that was in 2000 it would have been
[00:22:45.820 --> 00:22:51.940]   1999 to be 98 that I bought those shoes. I still have them and I still wear them occasionally and
[00:22:51.940 --> 00:22:55.740]   They're not quite as fashionable as they were back in the 90s
[00:22:55.860 --> 00:23:02.260]   But they're perfectly functional serviceable shoes and I wore them every day for four years all through middle school and high school
[00:23:02.260 --> 00:23:09.460]   And then beyond that I've continued to wear them routinely and they've lasted for years and just that convinced me of
[00:23:09.460 --> 00:23:15.380]   Not necessarily buying it now at that time again. This is I'm dating myself here with the brands
[00:23:15.380 --> 00:23:20.300]   But at that time I had previously purchased some Skechers shoes a Skechers brand
[00:23:20.300 --> 00:23:21.740]   They fell apart in a year or two
[00:23:21.740 --> 00:23:25.620]   but the Doc Martens brand which were twice the cost have lasted for almost 20 years and
[00:23:25.620 --> 00:23:30.740]   in my mind as long as the price that's associated with the brand is
[00:23:30.740 --> 00:23:36.700]   Connected to quality and is not exclusively associated with the image of the brand
[00:23:36.700 --> 00:23:41.420]   It can be a really valuable way to go for extending the value of your dollars
[00:23:41.420 --> 00:23:46.060]   Yeah, absolutely. And yeah, don't worry about dating yourself. I think we're about the same age
[00:23:48.180 --> 00:23:52.820]   As well, yeah, I think the best way to buy clothing where you know
[00:23:52.820 --> 00:23:53.660]   It's not gonna go out of style
[00:23:53.660 --> 00:23:58.660]   Look at Don Draper's shoes and and buy something that looks a little similar in the some of the brands that I mentioned, right?
[00:23:58.660 --> 00:23:59.940]   Yeah, it is true
[00:23:59.940 --> 00:24:06.260]   if you go when I was in when I was younger I would read all these books on on style for men and that is
[00:24:06.260 --> 00:24:11.860]   The reality is although maybe perhaps the size of the lapel changes a little bit from time to time
[00:24:11.860 --> 00:24:17.540]   You can pretty much go with some standard fashions and they haven't changed much in 50
[00:24:17.820 --> 00:24:19.820]   or 100 years
[00:24:19.820 --> 00:24:23.780]   unless you're at the cutting edge in which case they're changing every season because we got to
[00:24:23.780 --> 00:24:29.020]   Extend the lapel an inch or cut it down or widen the tie or skinny the tie up
[00:24:29.020 --> 00:24:35.180]   But you can with a little bit of thought you can have some fashions some fashion that will stand the test of time
[00:24:35.180 --> 00:24:37.940]   What other ideas and tips do you have?
[00:24:37.940 --> 00:24:40.580]   Regarding how to get the best bang for your buck
[00:24:40.580 --> 00:24:44.620]   I would recommend finding a good seamstress because when you go
[00:24:45.300 --> 00:24:48.140]   Buy vintage and thrift clothes, you know, they might not fit perfectly
[00:24:48.140 --> 00:24:52.100]   But you have to know what you can alter what you can't alter, you know a shirt you can take in the body
[00:24:52.100 --> 00:24:55.460]   No problem. You can take in the sleeves. No problem on a suit, you know
[00:24:55.460 --> 00:24:58.100]   If the shoulders are off, you're not gonna be able to do anything
[00:24:58.100 --> 00:25:01.700]   But a lot of times you can lengthen the sleeve or shorten the sleeve, you know
[00:25:01.700 --> 00:25:07.980]   Of course, you can him pants and take in pants. It always cracks me up when people say oh the waist is perfect
[00:25:07.980 --> 00:25:09.820]   But the pants are too long
[00:25:09.820 --> 00:25:10.900]   You know
[00:25:10.900 --> 00:25:15.660]   One you could probably figure out how to how to him them yourself or have a family member that can him a more you can
[00:25:15.660 --> 00:25:18.780]   Just you know, hey a seamstress $10. They can take up those pants for you
[00:25:18.780 --> 00:25:21.140]   So I think finding a good seamstress is very helpful
[00:25:21.140 --> 00:25:26.260]   You know and that'll help, you know clothing last test time especially with suits
[00:25:26.260 --> 00:25:30.500]   You know, I would recommend I
[00:25:30.500 --> 00:25:32.820]   Recently read a really good book a tidying up book
[00:25:32.820 --> 00:25:36.940]   I know it's become pretty popular right now and I got rid of a lot of things after reading that, you know
[00:25:36.940 --> 00:25:39.020]   You need a perjure closet if it doesn't bring you joy
[00:25:39.020 --> 00:25:43.660]   If it doesn't bring you happiness if you're not wearing it regularly, you know, just get rid of it donate it
[00:25:43.660 --> 00:25:46.940]   I like to give back to the you know, thrift stores that I buy from already
[00:25:46.940 --> 00:25:49.940]   It's like a you know, the circle of life is some of the stuff so cheap
[00:25:49.940 --> 00:25:54.060]   It's like I'm renting it for free anyways, so then I you know, I give it back to them
[00:25:54.060 --> 00:25:57.820]   Yeah, it's it makes all the difference in the world if you have
[00:25:57.820 --> 00:26:01.860]   We live in an age where we
[00:26:01.860 --> 00:26:08.140]   More is not necessarily how you demonstrate. Well things have gotten so cheap that
[00:26:08.820 --> 00:26:13.140]   it's almost much harder to have fewer things than it is to have more things and
[00:26:13.140 --> 00:26:20.300]   It's a lot more satisfying to have five shirts that you rotate through and that you love and wear each of them
[00:26:20.300 --> 00:26:24.060]   For me anyway than to have 30 shirts of which I actually like three
[00:26:24.060 --> 00:26:30.020]   Yeah, absolutely. And that's recently what I did and it feels so much better and I ended up getting some new shirts
[00:26:30.020 --> 00:26:33.120]   But you know, I got rid of more than I then I just purchased
[00:26:33.120 --> 00:26:36.620]   So yeah, it feels good to just be able to hey I can wear any of these shirts
[00:26:36.740 --> 00:26:41.220]   You know assuming it matches my pants and my shoes and you know not have to worry about it
[00:26:41.220 --> 00:26:44.020]   And there's not any shirts that I you know, absolutely hate wearing
[00:26:44.020 --> 00:26:47.680]   So that's always a great feeling as far as you know
[00:26:47.680 --> 00:26:54.100]   Go into thrift stores a lot of them. They're kind of in clusters together like I really you know anybody up in Northern, California
[00:26:54.100 --> 00:26:55.660]   I really like San Francisco the Mission District
[00:26:55.660 --> 00:26:59.640]   You know, they'll have ten thrift stores and they're all right connected to each other and you can you know
[00:26:59.640 --> 00:27:03.860]   You can spend the whole day just walking through the different shops and you're gonna find some pretty cool stuff some pretty cool donations
[00:27:04.020 --> 00:27:08.060]   So recommend, you know doing the cluster doing the rounds one of my uncles
[00:27:08.060 --> 00:27:13.680]   He likes a thrift store shopping as well. And my wife does too. So sometimes the whole family will drive through over in San Jose
[00:27:13.680 --> 00:27:16.580]   So we'll go to four or five and they're just kind of in a in a circle
[00:27:16.580 --> 00:27:18.900]   so, you know you check them all out and
[00:27:18.900 --> 00:27:22.780]   You know just be picky because say your favorite item is a 10 out of 10
[00:27:22.780 --> 00:27:25.860]   Don't buy anything that's lower than like a 7 out of 10 because you're not gonna wear it
[00:27:25.860 --> 00:27:28.100]   Even if it's a good deal, it's a good brand. Oh, I love this brand
[00:27:28.100 --> 00:27:32.920]   Oh, but it's a you know, it's a size 32 waist and I'm kind of a 33 34 now
[00:27:32.920 --> 00:27:34.180]   You know, you're not gonna wear it
[00:27:34.180 --> 00:27:38.340]   You're not you know, if you're trying to lose the weight you might but it's better just to you know
[00:27:38.340 --> 00:27:40.020]   Buy your current size and you know
[00:27:40.020 --> 00:27:44.820]   Make sure that you love it coming out the gate not have to do you know tons of alterations to it and stuff like that
[00:27:44.820 --> 00:27:49.220]   Are there places that you or resources that you would suggest?
[00:27:49.220 --> 00:27:54.380]   It's hard a little bit hard in an audio format to talk about how to discern the quality of one
[00:27:54.380 --> 00:27:58.500]   suit over another how to discern the quality of a pair of pants that you get from
[00:27:58.500 --> 00:28:01.740]   H&M versus a pair of pants that you get from Brooks Brothers, but are there resources?
[00:28:02.300 --> 00:28:03.760]   websites books
[00:28:03.760 --> 00:28:08.960]   YouTube channels that you find to be particularly helpful on that subject. Yeah, absolutely when I first got into it
[00:28:08.960 --> 00:28:15.060]   I was reading them all. I think my favorite book is called gentlemen. It's by a journal. It's a return a German man
[00:28:15.060 --> 00:28:21.220]   I can't remember his name. I think it's Bernard perhaps but you can find that pretty easily on Amazon probably about $30
[00:28:21.220 --> 00:28:26.560]   So gentlemen, that's a great book as far as websites. I've been reading this website put this on for a long time
[00:28:26.560 --> 00:28:29.780]   There's one website called
[00:28:30.700 --> 00:28:32.760]   We're the guy he only shops at thrift stores
[00:28:32.760 --> 00:28:35.620]   Oh an affordable wardrobe and he only shops at the resource
[00:28:35.620 --> 00:28:42.180]   He talks about all the quality and it's it's pretty interesting and his title something like, you know being poor is no excuse
[00:28:42.180 --> 00:28:48.900]   For you know dressing dressing poorly. So I enjoy that website. There's another one. He changed the name a couple times
[00:28:48.900 --> 00:28:51.020]   It was a style blogger and now I think it's articles of style
[00:28:51.020 --> 00:28:54.600]   That's a little more high-end, but he started out with really really basic tips
[00:28:54.600 --> 00:28:58.700]   But I think those websites are pretty good in that that book as well as far as figuring out quality
[00:28:59.340 --> 00:29:01.340]   What's next on your outline there?
[00:29:01.340 --> 00:29:08.220]   Um, I'd say like for eBay and Etsy those are for things you specifically
[00:29:08.220 --> 00:29:14.540]   Want you know the exact size, you know, that's the the jean jacket in the 38 long, you know
[00:29:14.540 --> 00:29:17.400]   You need that exact one. You're not gonna go to a thrift store and just find it
[00:29:17.400 --> 00:29:19.980]   I think the thrift store is great for perusing you have your list
[00:29:19.980 --> 00:29:24.740]   You're looking for you know, some some cool items, but don't expect to find them all the time
[00:29:25.540 --> 00:29:30.420]   But if you need a specific item, you know eBay or Etsy I think are are the way to go
[00:29:30.420 --> 00:29:36.500]   For me the internet helps a lot because you know, I'm a seventeen and a half thirty seven
[00:29:36.500 --> 00:29:39.340]   We have an unusual size for shirt
[00:29:39.340 --> 00:29:45.100]   You can find 35 inch sleeves all day long. But if I want my sleeves to fit properly, it's 37
[00:29:45.100 --> 00:29:49.220]   So the internet helps a ton. I almost never find something that I can wear
[00:29:49.220 --> 00:29:54.100]   Thrift store. I basically give up same thing with shoe size. I'm a size 16 shoe
[00:29:54.260 --> 00:29:59.580]   So the way that I shoot shoe shop as I walk into the store and ask the ask the clerk
[00:29:59.580 --> 00:30:01.260]   Do you have anything in a size 16?
[00:30:01.260 --> 00:30:04.340]   They go in the back and they come out and they say nope and I go out of the store
[00:30:04.340 --> 00:30:09.060]   The internet has been a real boon for oddly shaped people like me
[00:30:09.060 --> 00:30:14.700]   Yeah, I mean you and me is a 35 you can find but then the neck will be 16 16 and a half
[00:30:14.700 --> 00:30:17.020]   So then you know if I wear a tie, it's gonna look funny
[00:30:17.020 --> 00:30:18.500]   So it's it's kind of hard, you know
[00:30:18.500 --> 00:30:22.620]   Especially with kind of the fast fashion brands which they're doing medium
[00:30:22.620 --> 00:30:26.180]   So medium will be my next size and then the sleeve will be you know, 33
[00:30:26.180 --> 00:30:28.780]   So it's like well, I guess I can wear this with a sweater
[00:30:28.780 --> 00:30:32.500]   But you know again, it'll be brand, you know, say it's brand new for $100
[00:30:32.500 --> 00:30:35.660]   I'm gonna pay $100 for a shirt that doesn't fit perfectly, you know, no, thanks
[00:30:35.660 --> 00:30:38.020]   I'll wait for a sale or you know when I was living in Asia
[00:30:38.020 --> 00:30:41.140]   I got a lot of things custom-made so that's kind of nice because still pretty cheap
[00:30:41.140 --> 00:30:46.100]   I was going I was just going through some of the clothing. So I mentioned the outerwear and
[00:30:46.820 --> 00:30:48.820]   The shoes are great for
[00:30:48.820 --> 00:30:53.900]   For thrift stores. Also, I you know, I love sweaters. I'd mentioned that, you know, look for wool and cashmere
[00:30:53.900 --> 00:31:00.580]   You know double check for holes hold it up to the light and actually my favorite sweater is is navy in color
[00:31:00.580 --> 00:31:05.820]   It's you know, it was woven in the United Kingdom, you know, it was about $15 at a vintage store
[00:31:05.820 --> 00:31:09.500]   And actually my cousin she was teasing me. She's like you're gonna pay $15 for you sweater
[00:31:09.500 --> 00:31:12.780]   That's kind of a lot and I was like, but it's perfect and it's navy and you know
[00:31:12.780 --> 00:31:15.840]   I need this color and I got it and now I wear that thing all the time. So
[00:31:16.760 --> 00:31:22.000]   You know, you can you can find some great deals out there and yeah shirts I usually buy new pants
[00:31:22.000 --> 00:31:24.000]   they can be slimmed or hemmed so
[00:31:24.000 --> 00:31:29.960]   You know once you find out what brand you like the most whether you know jet gap gate J crew
[00:31:29.960 --> 00:31:33.920]   Brooks Brothers or you know, whatever you decide you like then you can just you know
[00:31:33.920 --> 00:31:38.200]   Look look for them at the thrift store. Look for the plain khakis and you know pick those up
[00:31:38.200 --> 00:31:43.040]   You're a watch aficionado. What's the deal with your interest in watches?
[00:31:44.480 --> 00:31:46.480]   They're cool
[00:31:46.480 --> 00:31:52.640]   No, I don't know I like looking what goes into the watches so you just look at all the craftsmanship
[00:31:52.640 --> 00:31:55.760]   You know, these are handmade in one shop and in Switzerland
[00:31:55.760 --> 00:31:59.440]   You look at all the pieces that go into it and it's just something that I can really appreciate
[00:31:59.440 --> 00:32:03.780]   You know how much time and effort was put into to building, you know
[00:32:03.780 --> 00:32:07.160]   such a device versus in digital watches are gonna be a little bit more accurate, but
[00:32:07.160 --> 00:32:12.040]   You know, it's not quite as um, you know, I don't know. It's not quite as exciting
[00:32:12.040 --> 00:32:15.320]   I like the old the craftsmanship, you know, I always like I was like vintage things
[00:32:15.320 --> 00:32:20.360]   I like the you know, the classic styles that aren't gonna go out of fashion. Is there actually any
[00:32:20.360 --> 00:32:26.280]   Functional difference between less expensive watches and more than higher priced watches
[00:32:26.280 --> 00:32:33.240]   The movements the movements can be a lot more complicated, you know, some of these companies
[00:32:33.240 --> 00:32:35.240]   They're just completely reinventing the movements
[00:32:35.240 --> 00:32:39.520]   But you know, you can go down the rabbit hole and you can spend a lot of money on watches
[00:32:39.520 --> 00:32:41.520]   So you got to be careful. It's not the best for
[00:32:41.520 --> 00:32:46.080]   Someone trying to reach financial independence. That's that's the point. I'm at I got a I
[00:32:46.080 --> 00:32:52.440]   Got an old Omega Seamaster a few years back off of Etsy from an antique store and you know
[00:32:52.440 --> 00:32:53.960]   I love that thing and it wasn't it wasn't too expensive
[00:32:53.960 --> 00:32:59.320]   but now I'm looking at Rolexes and you look at Patek Philippe's and you start, you know going up and up and you're like
[00:32:59.320 --> 00:33:03.120]   Wait five thousand ten thousand twenty thousand for a watch like I should probably
[00:33:03.120 --> 00:33:07.240]   You know get out of here. I should I should stop looking at these beautiful instruments
[00:33:07.480 --> 00:33:12.680]   Have you ever successfully made money with any of your knowledge with watches or or?
[00:33:12.680 --> 00:33:14.800]   fashion
[00:33:14.800 --> 00:33:16.800]   flipping any
[00:33:16.800 --> 00:33:19.880]   Item of clothing that you find underpriced and finding the right buyer for it
[00:33:19.880 --> 00:33:25.160]   You know I did for a while when I came back from Australia. I wasn't working at the time
[00:33:25.160 --> 00:33:27.440]   I was kind of you know, it's hanging out for a few months
[00:33:27.440 --> 00:33:32.640]   I started to apply for jobs casually and I would go to thrift stores, you know get the Harris tweed
[00:33:33.280 --> 00:33:35.960]   You know sport coat that didn't fit me and you know
[00:33:35.960 --> 00:33:38.780]   I'd get it for five bucks and I'd put it on Etsy and sell it for $40
[00:33:38.780 --> 00:33:42.120]   But after a while, it just got kind of tiring and then once I started working
[00:33:42.120 --> 00:33:46.780]   I just realized that the opportunity cost wasn't quite there right now. I have
[00:33:46.780 --> 00:33:49.720]   excuse me a lot of a
[00:33:49.720 --> 00:33:54.920]   Lot of clothing I've been meaning to sell and then now it's getting to the end. It's at my
[00:33:54.920 --> 00:33:59.880]   So my parents house right now and now I'm starting to think you know what I can make some money on this
[00:33:59.880 --> 00:34:02.680]   But how long is it gonna take me to sell and how much you know?
[00:34:02.680 --> 00:34:06.120]   What time is it worth to make you know, five hundred or a thousand dollars selling this?
[00:34:06.120 --> 00:34:10.280]   So now I'm just starting to think I might just donate it. But you know, it can be done
[00:34:10.280 --> 00:34:13.440]   I know I've seen people that do it they go and they buy a suit
[00:34:13.440 --> 00:34:17.280]   It's not on their size or they buy some nice shoes not in their size and then they just sell them
[00:34:17.280 --> 00:34:20.160]   See, I got a pair of Alden's one of the most beautiful pairs of loafers
[00:34:20.160 --> 00:34:25.880]   I've ever I've ever picked up at a thrift store and you know, these shoes are you know, four or five hundred dollars new
[00:34:25.880 --> 00:34:27.880]   I think I got them for under ten
[00:34:28.040 --> 00:34:33.780]   So I have in there, you know way too small. It's like nine and a half. I'm soon 11
[00:34:33.780 --> 00:34:36.040]   But I was like, oh, I'll just I'll sell them
[00:34:36.040 --> 00:34:36.200]   You know
[00:34:36.200 --> 00:34:38.200]   I can get a hundred bucks for these on eBay and
[00:34:38.200 --> 00:34:44.240]   My brother-in-law came came down from our for our wedding and he brought some sneakers and my wife was like, what do you mean?
[00:34:44.240 --> 00:34:47.280]   You're wearing, you know, I know our weddings casual, but you can't wear sneakers to our wedding
[00:34:47.280 --> 00:34:50.440]   So I was like, hey, why don't you try on these shoes? They fit him perfectly
[00:34:50.440 --> 00:34:54.640]   So, you know, I gave those to him. So he was pretty happy has some nice pair of dress shoes
[00:34:56.000 --> 00:34:58.200]   It's definitely interesting because
[00:34:58.200 --> 00:35:05.440]   The things that you get so excited about at a certain point in your life the ability to make ten bucks on a transaction
[00:35:05.440 --> 00:35:08.120]   a later point in your life
[00:35:08.120 --> 00:35:10.920]   It just becomes not worth the time invested
[00:35:10.920 --> 00:35:12.920]   but
[00:35:12.920 --> 00:35:16.400]   If you weren't paying attention to those things, it's almost the principle of it
[00:35:16.400 --> 00:35:21.240]   If you weren't paying attention to it, you probably wouldn't have gotten to the point where you cut your time was worth more
[00:35:21.240 --> 00:35:23.760]   so I
[00:35:23.760 --> 00:35:26.600]   Always hate to diminish the value of saying, okay
[00:35:26.600 --> 00:35:26.800]   Yeah
[00:35:26.800 --> 00:35:30.640]   You can find this little thing here for seven dollars and you can turn around and sell it for forty
[00:35:30.640 --> 00:35:36.920]   because that's what ultimately leads on for the ability for you to find a value of something price at seven hundred thousand and
[00:35:36.920 --> 00:35:42.720]   Know that if I can connect this with the right market, it'll be worth a million four and you make the spread
[00:35:42.720 --> 00:35:47.040]   so I love to encourage that and I love how different people can
[00:35:47.040 --> 00:35:49.960]   research a market find something out and
[00:35:51.680 --> 00:35:57.080]   Learn in that market whether it's selling fountain pens online or whether it's flipping
[00:35:57.080 --> 00:36:02.000]   Classic shoes or figuring out how to deal in watches. It's all commerce
[00:36:02.000 --> 00:36:06.960]   It's all buy and sell and we can learn the lessons of successful investing no matter where we are
[00:36:06.960 --> 00:36:08.720]   Yeah, I agree
[00:36:08.720 --> 00:36:14.720]   the principles are very important because my wife and I I mean we we got into the early retirement community reading the blogs and
[00:36:14.720 --> 00:36:17.000]   You know talking to different people in it
[00:36:17.000 --> 00:36:21.280]   We got pretty hardcore and we were you know cutting out everything and then after a while, it's like alright
[00:36:21.280 --> 00:36:25.280]   Well, let's have a little fun. And then once you started making more money and we're still spending about the same
[00:36:25.280 --> 00:36:26.440]   It's like, you know
[00:36:26.440 --> 00:36:31.720]   We don't really have to have to stress anymore about this because of the principles are in place where you know
[00:36:31.720 --> 00:36:39.240]   Rent cars food. Those are you're gonna be your three most expensive things. We have those in check where they're always, you know, very cheap
[00:36:39.240 --> 00:36:43.680]   So, you know if we want to eat out every now and then that's gonna be fine because the other principles are in place
[00:36:43.680 --> 00:36:46.120]   So, you know, we're on track if anything, you know
[00:36:46.120 --> 00:36:50.640]   It's more important probably just to make more money because there's not a lot of things that we can cut at this point, right?
[00:36:51.200 --> 00:36:55.840]   Right you go through phases and and at one phase the big wins are
[00:36:55.840 --> 00:36:58.160]   with
[00:36:58.160 --> 00:37:03.080]   Well at one phase in life the big wins are the short-term wins are cutting expenses
[00:37:03.080 --> 00:37:07.760]   But you get quickly to a point if you're good at it to where the marginal benefit
[00:37:07.760 --> 00:37:12.560]   the overall benefit of a small marginal decrease in expenditure is
[00:37:12.560 --> 00:37:18.480]   not nearly as great as the marginal benefit of putting effort into earning and
[00:37:19.000 --> 00:37:21.920]   short term long term, that's what I love about finance and
[00:37:21.920 --> 00:37:27.320]   What I appreciate you bringing that out because it's not that it's anything is right or wrong
[00:37:27.320 --> 00:37:31.760]   It's a matter of what phase am I in with this particular aspect of my financial life?
[00:37:31.760 --> 00:37:35.560]   Yeah, absolutely. Any other tips on your outline there? I
[00:37:35.560 --> 00:37:39.840]   Think we pretty much, you know covered it
[00:37:39.840 --> 00:37:45.040]   I would say, you know, just really focus on the classics folks focus on your personal uniform what you like to wear
[00:37:45.040 --> 00:37:47.280]   You know, this isn't a costume contest, you know
[00:37:47.280 --> 00:37:51.760]   A lot of times at the vintage stores you get the you know, like a leopard print coat like winter
[00:37:51.760 --> 00:37:53.760]   You know, when are you gonna wear that?
[00:37:53.760 --> 00:37:58.360]   You know things like that. Like if I'm gonna wear something fun, it'll be you know, say I wear a fun sport coat
[00:37:58.360 --> 00:38:00.800]   But then I'm gonna wear a plain shirt or I wear a fun pocket square
[00:38:00.800 --> 00:38:02.440]   So I'm gonna wear a plain tie
[00:38:02.440 --> 00:38:06.200]   So that would be you know, one of the tips, you know focus on the classics think, you know
[00:38:06.200 --> 00:38:09.200]   10 20 years down the road when you're looking at pictures, you know
[00:38:09.200 --> 00:38:12.480]   Cuz there's always gonna be pictures out there now with all the social media, you know
[00:38:12.480 --> 00:38:16.960]   Are you gonna be embarrassed that your pants were you know, so tight that you know, you can see your change or something
[00:38:16.960 --> 00:38:19.480]   You know or they're they're so short you can see your whole sock
[00:38:19.480 --> 00:38:22.400]   So, you know try to think a little bit long-term and realize wait
[00:38:22.400 --> 00:38:25.960]   Is this fast fashion or is this gonna you know, stay in style for a long time?
[00:38:25.960 --> 00:38:28.560]   last question for you Steve you
[00:38:28.560 --> 00:38:36.240]   Enjoy your you indulge your fashionista tendencies, but you also ride a bike to work. Is that right?
[00:38:36.240 --> 00:38:37.240]   Do you still do that?
[00:38:37.240 --> 00:38:38.960]   You know, I recently switched jobs
[00:38:38.960 --> 00:38:42.040]   So I don't because I work so early in the morning that there's no traffic
[00:38:42.040 --> 00:38:44.000]   so
[00:38:44.120 --> 00:38:48.680]   I'd prefer just to drive there because I can get to work and you know about 15 to 20 minutes
[00:38:48.680 --> 00:38:51.940]   So, but how were you doing that when you were actually riding a bike?
[00:38:51.940 --> 00:38:57.280]   Well when I was it was about the same distance but in a different direction, but I worked at a later time
[00:38:57.280 --> 00:39:03.200]   So it was taking about you know, 40 minutes to ride my bike there, but it would take you know
[00:39:03.200 --> 00:39:06.400]   25 to 45 minutes to drive there depending on the traffic
[00:39:06.400 --> 00:39:11.160]   So I did enjoy riding the bike and then you know, that was another thing. I wasn't even saving a ton of money
[00:39:11.160 --> 00:39:14.480]   I drive in you know an older Japanese car. It's not that much to maintain
[00:39:14.480 --> 00:39:17.720]   Gas is really isn't that high but you know
[00:39:17.720 --> 00:39:22.200]   It kind of it helped that because I would listen to your podcast or other podcasts while I was writing listen to ebooks
[00:39:22.200 --> 00:39:25.040]   I was getting my exercise and I was learning and I was saving money
[00:39:25.040 --> 00:39:30.620]   So it's a great, you know trifecta of things to do. So I still enjoy I'm riding my bike on occasion
[00:39:30.620 --> 00:39:36.160]   I'll ride downtown right around the city. But as far as going to work now, I know I just drive just because you know
[00:39:36.160 --> 00:39:39.160]   It's so quick no traffic and I'm getting up pretty early most days
[00:39:39.160 --> 00:39:41.160]   So I need I need a little more sleep
[00:39:41.160 --> 00:39:49.400]   That's the priority understood. Well Steve. Thanks so much for coming on the show. I I love when I can profile not only a listener, but
[00:39:49.400 --> 00:39:52.080]   just the little things that
[00:39:52.080 --> 00:39:56.000]   Everyday people can do and I really was looking forward to bringing you on
[00:39:56.000 --> 00:40:03.160]   to just share as one friend to a few others some of the tips and ideas of how you can indulge a
[00:40:03.160 --> 00:40:06.080]   specific interest without necessarily
[00:40:06.800 --> 00:40:12.440]   Sacrificing the overall goals of financial independence. I appreciate you're coming on today. All right, Joshua. Thanks for having me. I appreciate it. I
[00:40:12.440 --> 00:40:18.640]   Hope you found some of that information to be useful and inspiring as we go today
[00:40:18.640 --> 00:40:24.800]   I want to make sure that you notice a couple of interesting things about Steve story and
[00:40:24.800 --> 00:40:32.740]   Here I want you to recognize the importance of how he actually wound up on the show
[00:40:33.640 --> 00:40:38.480]   The reason he wound up on the show is because he has a website. It's a very simple website
[00:40:38.480 --> 00:40:45.640]   Check it out at Steve onomics comm but it's beautiful and he has a couple of interesting articles listed there on the website
[00:40:45.640 --> 00:40:46.800]   and
[00:40:46.800 --> 00:40:48.800]   the reason that's important is
[00:40:48.800 --> 00:40:52.800]   Steve side is not popular and Steve. I'm not insulting. I'm just stating it's not popular
[00:40:52.800 --> 00:40:55.360]   You'd be the first to say that first thing you should do anytime
[00:40:55.360 --> 00:40:57.920]   You're thinking about a website wanting to find out how popular it is
[00:40:58.240 --> 00:41:03.720]   Go to Alexa comm and type it in Steve's Alexa rank is 2.8 million globally
[00:41:03.720 --> 00:41:09.800]   This is essentially invisible on a global basis and he doesn't actually publish that many blog articles
[00:41:09.800 --> 00:41:12.080]   He publishes it looks like I would say one a month
[00:41:12.080 --> 00:41:14.680]   That's his standard posting rate is one a month
[00:41:14.680 --> 00:41:22.120]   But the reality is he's got a dozen or two articles a few dozen articles there and that brought him to my attention
[00:41:22.120 --> 00:41:27.000]   So instead of being another just a name which many of you who listen to the show who write me emails
[00:41:27.000 --> 00:41:28.440]   I thank you for doing that
[00:41:28.440 --> 00:41:32.840]   But you're just a name because I don't you don't have a site that I can that's linked in the signature of your website
[00:41:32.840 --> 00:41:34.400]   Steve is more than a name
[00:41:34.400 --> 00:41:39.080]   He's a name and a website and then obviously I could go to his website. I can read a little bit about him
[00:41:39.080 --> 00:41:40.360]   I could get a sense of who he is
[00:41:40.360 --> 00:41:43.680]   Even though it's not intensely personally doesn't have a lot of personal pictures on there
[00:41:43.680 --> 00:41:50.000]   I could get a sense of who he is. Now. Here's my question for you, and I'm gonna kill the music here for a moment
[00:41:50.000 --> 00:41:53.720]   Do you have a website?
[00:41:55.400 --> 00:41:57.400]   Do you
[00:41:57.400 --> 00:42:02.000]   If not, you need to you need to and
[00:42:02.000 --> 00:42:08.760]   Gonna be launching a website sponsor here soon, but you go to get a WordPress site get something. It should be self-hosted
[00:42:08.760 --> 00:42:11.240]   But you need a website
[00:42:11.240 --> 00:42:13.520]   Because this is the thing that's gonna happen to you
[00:42:13.520 --> 00:42:20.200]   You need an online presence and you don't need to be the next top, you know hundred thousand sites in the US
[00:42:20.720 --> 00:42:27.620]   But you need a site to back you up with the right person the right perspective employer the right interviewer the right
[00:42:27.620 --> 00:42:33.920]   Person the right potential spouse. I don't know you need a site to back you up
[00:42:33.920 --> 00:42:39.280]   So make sure that if you don't have a site that you go and do that. It's extremely
[00:42:39.280 --> 00:42:42.280]   extremely important and Steve's
[00:42:42.280 --> 00:42:48.320]   winding up on radical personal finance today is a perfect indication of why
[00:42:48.960 --> 00:42:51.560]   If you don't have a personal website of some kind
[00:42:51.560 --> 00:42:53.880]   Go get one today
[00:42:53.880 --> 00:42:59.400]   I should be launching right as I say this the website sponsor trying to get Squarespace to sponsor the show
[00:42:59.400 --> 00:43:02.280]   Squarespace is awesome. I'm convinced of the value there
[00:43:02.280 --> 00:43:09.560]   I've got a WP engine look for in the in the I've switched to WP engine get use my WP engine affiliate link
[00:43:09.560 --> 00:43:14.360]   It's wasted. I shouldn't waste the opportunity to plug a website manufacturer. Anyway, I ran out of music. I'm out
[00:43:14.360 --> 00:43:15.720]   Thank you all so much for listening
[00:43:15.720 --> 00:43:20.240]   If you'd like to support the show, please become a patron of the show go to radical personal finance comm slash patron
[00:43:20.240 --> 00:43:23.340]   Or make sure that you go just use some of our affiliate links
[00:43:23.340 --> 00:43:28.120]   That'll get create commissions from me, which will be hugely helpful go to radical audiobooks comm
[00:43:28.120 --> 00:43:32.880]   download the success principles by Jack Canfield or use the affiliate link for
[00:43:32.880 --> 00:43:37.240]   WP engine which will be in the description for this show. Cheers y'all
[00:43:37.240 --> 00:43:43.000]   Sweet hop is an online marketplace curating the best in premium seating at stadiums arenas and amphitheaters
