
[00:00:00.000 --> 00:00:23.920]   - Hello, everyone, I'm Boris, I'm a member of technical staff here at Anthropic, and I
[00:25:10.960 --> 00:25:16.320]   multimodal functionality that I'm not aware of. Are you just pointing it at an image on the file system
[00:25:16.320 --> 00:25:21.440]   or something? Yeah, so cloud code is fully multimodal. It has been from the start. It's in a terminal,
[00:25:21.440 --> 00:25:26.960]   so it's a little hard to discover. But yeah, you can take an image and just drag and drop it in. That'll work.
[00:25:26.960 --> 00:25:32.800]   You can give it a file path. That'll work. You can copy and paste the image in and that works too.
[00:25:32.800 --> 00:25:39.520]   So I'll use this pretty often for if I have like a mock of something, I'll just drag and drop in the mock.
[00:25:39.520 --> 00:25:43.440]   I'll tell it to implement it. I'll give it up to your server so it can iterate against it.
[00:25:43.440 --> 00:25:45.040]   And yeah, it's just fully automated.
[00:25:45.040 --> 00:25:52.800]   Um, hey, uh, why did you build a CLI tool instead of an IDE?
[00:25:52.800 --> 00:25:59.600]   Yeah, it's a good question. I think there's probably two reasons. One is, uh, we started this
[00:25:59.600 --> 00:26:05.040]   at Anthropic. And at Anthropic, people use a broad range of IDEs. And some people use VS Code,
[00:26:05.040 --> 00:26:11.600]   other people use Z, or Xcode, or Vim, or Emacs. And it was just hard to build something that works for
[00:26:11.600 --> 00:26:17.360]   everyone. And so terminal is just the common denominator. The second thing is at Anthropic,
[00:26:17.360 --> 00:26:23.200]   we're, uh, we see up close how fast the model is getting better. And so I think there's a good
[00:26:23.200 --> 00:26:28.480]   chance that by the end of the year, people aren't using IDEs anymore. And so we want to get ready for
[00:26:28.480 --> 00:26:34.800]   this future. And we want to avoid over-investing in UI and other layers on top, given that the way the
[00:26:34.800 --> 00:26:38.400]   models are progressing, it just, it may not be useful work pretty soon.
[00:26:38.400 --> 00:26:47.840]   Yeah, how much have you, I don't know if this is, is this on? How much have you used
[00:26:47.840 --> 00:26:52.720]   cloud code for machine learning modeling and almost that AutoML experience? I was curious
[00:26:52.720 --> 00:26:58.080]   what the experience has been so far with that. Yeah, I think, I think the question was how much are we
[00:26:58.080 --> 00:27:04.560]   using cloud code for machine learning and modeling? We actually use it for this a bunch. So both engineers
[00:27:04.560 --> 00:27:11.200]   and researchers at Anthropic use cloud code every day. I think about 80% of people at Anthropic that
[00:27:11.200 --> 00:27:15.360]   are technical use cloud code every day. And hopefully you can see that in the product and kind of the
[00:27:15.360 --> 00:27:20.240]   amount of love and dog fooding we've put into it. But this includes researchers who use tools like the
[00:27:20.240 --> 00:27:24.800]   notebook, notebook tool to edit and run notebooks. Okay, very cool. Thank you.
[00:27:24.800 --> 00:27:32.560]   All right, I think that's it. Thanks.
[00:27:32.560 --> 00:27:34.560]   All right. Thanks.
[00:27:34.560 --> 00:27:36.560]   All right. Thanks.
[00:27:36.560 --> 00:27:38.560]   All right.
[00:27:38.560 --> 00:27:40.560]   All right. Thanks.
[00:27:40.560 --> 00:27:42.560]   All right.
[00:27:42.560 --> 00:27:44.560]   All right.
[00:27:44.560 --> 00:27:45.560]   All right.
[00:27:45.560 --> 00:27:46.560]   All right.
[00:27:46.560 --> 00:27:48.560]   All right.
[00:27:48.560 --> 00:27:50.560]   All right.
[00:27:50.560 --> 00:27:50.560]   All right.
[00:27:50.560 --> 00:27:52.560]   All right.
[00:27:52.560 --> 00:27:54.560]   All right.
[00:27:54.560 --> 00:27:56.560]   All right.
[00:27:56.560 --> 00:27:58.560]   All right.
[00:27:58.560 --> 00:28:00.560]   All right.
[00:28:00.560 --> 00:28:00.560]   All right.
[00:28:00.560 --> 00:28:02.560]   All right.
[00:28:02.560 --> 00:28:04.620]   you
[00:28:04.620 --> 00:28:06.760]   .

