
[00:00:00.000 --> 00:00:06.640]   this first paper okay this first paper needs to basically be all like discussion based there's
[00:29:44.720 --> 00:29:50.480]   thinking models with more thinking efficient compute with more token efficient input uh basically you know
[00:29:50.480 --> 00:29:57.600]   if you give it more time to reason it like will use more tokens and sometimes it will second guess itself
[00:29:57.600 --> 00:30:07.440]   they have um where is this chart basically this chart right so um let's look at uh tower of hanoi with
[00:30:07.440 --> 00:30:16.320]   three blocks performance is basically the same at both models about 100 percent um response length the
[00:30:16.320 --> 00:30:22.160]   thinking model starts to think for 7500 but the regular one's just like no this is easy here's your answer
[00:30:22.160 --> 00:30:34.240]   um that's regime one that for low problem complexity non-thinking models are good or better and more
[00:30:34.240 --> 00:30:40.960]   token efficient ah better chartless right below me and okay uh this is where they start to show past
[00:30:40.960 --> 00:30:49.040]   that k performance as well right so uh cloud three seven is i was just thinking the chart of tokens to
[00:30:49.040 --> 00:30:56.560]   pass that k so yeah basically showing the same thing low medium and high uh second regime is medium
[00:30:56.560 --> 00:31:02.960]   complexity where the reasoning models are capable of generating long chain of thought the performance
[00:31:02.960 --> 00:31:08.640]   gap starts to increase the most interesting uh yeah basically they only have a line on where you know
[00:31:09.440 --> 00:31:15.840]   there's first regime second regime performance increases right so thinking model good um even
[00:31:15.840 --> 00:31:21.440]   though it uses more tokens it still performs the other one does not perform um performance starts to take
[00:31:21.440 --> 00:31:28.080]   a hit okay regime three this is where problem complexity is even higher and performance on both models
[00:31:28.080 --> 00:31:37.920]   collapses to zero so once again in these we go from good to can perform good to struggles to both of them
[00:31:37.920 --> 00:31:45.120]   completely drop to zero performance they completely struggle as complexity increases uh regime three
[00:31:45.120 --> 00:31:52.480]   shows that you know thinking token doesn't matter even the the base um non-reasoning models as you let
[00:31:52.480 --> 00:32:00.960]   them think they both fail um both models collapse to zero results show that while thinking models uh delay this
[00:32:00.960 --> 00:32:07.760]   collapse they ultimately encounter the same fundamental limitations as non-thinking okay let's dig deeper
[00:32:07.760 --> 00:32:13.840]   into what this means collapse of reasoning models our experiments evaluate five state-of-the-art models
[00:32:13.840 --> 00:32:24.880]   deep seek deep seek distilquen uh clod7 thinking o3 mini okay accuracy progressively declines as prod as
[00:32:24.880 --> 00:32:32.800]   problem complexity increases until uh complete collapse observe that reasoning models initially increase their
[00:32:32.800 --> 00:32:39.840]   thinking tokens proportional to the problem complexity this is interesting however upon a critical threshold
[00:32:39.840 --> 00:32:46.400]   which closely corresponds to the accuracy collapse points the model can counter-intuitively begin to
[00:32:46.400 --> 00:32:51.920]   reduce reasoning effort despite the problem increasing difficulty so this was like an interesting note that
[00:32:51.920 --> 00:32:59.680]   you don't see in these charts right as the model hits this failure point it also starts reducing its token budget it starts
[00:32:59.680 --> 00:33:06.560]   thinking less it kind of gives up um this is most pronounced in o3 mini variance and less severe in
[00:33:06.560 --> 00:33:13.120]   cloud 37 sonnet um i think they show it across more models too these models fail to take advantage of
[00:33:13.120 --> 00:33:18.800]   additional inference compute during the thinking phase this problem becomes more complex now taking a step back
[00:33:18.800 --> 00:33:23.600]   back from the paper they make this claim i think it's interesting to think about this from a training
[00:33:23.600 --> 00:33:30.720]   perspective right so as you have models that need to think for longer and longer um you know they're
[00:33:30.720 --> 00:33:36.560]   trained with rlhf they're also trained to be useful assistants at what point do you stop wasting time and give
[00:33:36.560 --> 00:33:43.920]   up on the problem right and like what is the end output is it i don't know is it incorrect uh is this intended behavior right so
[00:33:43.920 --> 00:33:49.760]   do you just want the model to reason reason on forever and like longer and longer as it has tokens or do you
[00:33:49.760 --> 00:33:55.120]   want it to kind of finish kind of its capability is this a feature or a bug is it like a flaw in the system
[00:33:55.120 --> 00:34:02.480]   or is it intentional now there's one argument of you know people are trying to scale rl we want models to go
[00:34:02.480 --> 00:34:09.520]   off for days weeks months and kind of solve novel science and have these like big major breakthroughs in that case
[00:34:09.520 --> 00:34:14.880]   you don't want this right this is a flaw um you want those models to keep reasoning and keep trying and
[00:34:14.880 --> 00:34:21.440]   this is this is like really bad behavior this is counterintuitive on the other front um you know when
[00:34:21.440 --> 00:34:27.520]   i asked a model a basic question i don't want it to reason for 30 minutes and just waste it thinking if it
[00:34:27.520 --> 00:34:33.760]   knows it can't do it i find this to be uh i find this to be a feature right it's a good thing these are still
[00:34:33.760 --> 00:34:39.920]   rlhf co-pilot assistants right so in their prompting they're told that you know you're a useful assistant
[00:34:39.920 --> 00:34:45.360]   you're not a dumb assistant like a useful assistant also understands its limitations and fails when it
[00:34:45.360 --> 00:34:52.000]   needs to fail at least that's my hot take but i like this is just my perspective right this is completely
[00:34:52.000 --> 00:34:58.240]   open for discussion debate uh it's it's you know it goes back to people making this is this intentional
[00:34:58.240 --> 00:35:03.680]   behavior so you know open discussion here if anyone else has other views thoughts comments or
[00:35:03.680 --> 00:35:12.000]   sees it differently but this is just a key point i think this is turned from paper club to my rambling
[00:35:12.000 --> 00:35:22.480]   on what model should do okay okay i think the um thinking collapse doesn't make sense um given that
[00:35:22.480 --> 00:35:29.680]   you know if they provide the algorithm in some cases it's sort of implied that the problem is solvable
[00:35:29.680 --> 00:35:36.480]   so there should be some reason to say oh the person knows this problem solver solvable here's
[00:35:36.480 --> 00:35:44.400]   an algorithm to do it let me actually try and think through it rather there but i i think that that's
[00:35:44.400 --> 00:35:50.480]   one of like the the the two charts that you showed there in the section 4.4 this is uh not what they're
[00:35:50.480 --> 00:35:55.920]   this is not what most of these charts are based off of this just shows like they also tried giving it
[00:35:55.920 --> 00:36:01.280]   and you know it's still struggle so like my example of this is like think like a llama 1b or like
[00:36:01.280 --> 00:36:07.040]   quen 3b a small small model if you even if you give it like the solution or like you know here's
[00:36:07.040 --> 00:36:11.760]   what you should do if it can't do it it can't do it right but um i do see where you're coming from
[00:36:11.760 --> 00:36:17.040]   like i would still want it to keep reasoning if i give it that this is i'm just saying that we don't
[00:36:17.040 --> 00:36:21.600]   know like we know that it still fails when you give it that we don't know if it stopped trying to
[00:36:21.600 --> 00:36:26.000]   reason or if it didn't use its full token budget because that seems like it's a separate chart right
[00:36:26.640 --> 00:36:31.040]   so if any of the people from this paper want to follow up and tell us you know when you gave it
[00:36:31.040 --> 00:36:37.120]   explicit like so like if you gave it the algorithm did it still fail to use its reasoning budget
[00:36:37.120 --> 00:36:42.560]   even if it got the answer correct it would be useful and all and you know once again people can recreate
[00:36:42.560 --> 00:36:47.120]   this and test that out for us it's a very good point to you know i just don't think that's what's
[00:36:47.120 --> 00:36:57.360]   exactly measure here but but also uh isn't it so we know llms are are trained for probabilistic decoding
[00:36:57.360 --> 00:37:03.280]   right so like even if you give it an algorithm then uh you know are you going to get the right answer if
[00:37:03.280 --> 00:37:10.320]   you have some probability of making a mistake so you could give an infinite uh sort of uh budget to to
[00:37:10.320 --> 00:37:16.480]   actually run the algorithm and try to do the um like the steps of it but if you're uh allowing like a
[00:37:16.480 --> 00:37:22.560]   i don't know like 10 or 15 error rate or something every time like you don't expect to get the correct
[00:37:22.560 --> 00:37:29.200]   answer and i think what people or what lms actually probably do is that they can uh sort of approximate
[00:37:29.200 --> 00:37:35.440]   running the algorithm a little bit uh and in maybe in many cases they can sort of interpolate existing
[00:37:35.440 --> 00:37:41.760]   solutions that maybe somebody has run this algorithm for some some large number of uh like disks
[00:37:41.760 --> 00:37:50.560]   um but uh yeah you don't expect with any budget that this works i think completely fair point yeah
[00:37:50.560 --> 00:37:59.280]   um okay i'm gonna please do this paper really quick once i realized i said this is a 10 minute paper and
[00:37:59.280 --> 00:38:04.800]   i've been yapping for 40. um it's you know but feel free like this is useful discussion there's not that much
[00:38:04.800 --> 00:38:10.800]   paper so the whole point is to discuss it with people well i see chat is active in zoom i'm sure
[00:38:10.800 --> 00:38:16.240]   zoom uh will have a discord third as well if people want to follow up so keep keep the discussion going
[00:38:16.240 --> 00:38:21.040]   it's interesting here they are what's happening inside reasoning models they extract and analyze
[00:38:21.040 --> 00:38:28.960]   intermediate solutions they look at the reasoning traces of 3.7 uh 3.7 sonnet thinking for simpler models
[00:38:28.960 --> 00:38:34.160]   they often find the collect the correct solution early in thinking but then continue exploring
[00:38:34.160 --> 00:38:39.440]   incorrect solutions i think this is fine right like if i ask you like a very very basic question like
[00:38:39.440 --> 00:38:45.120]   okay what is the square root of 100 you'll you'll know the answer but you'll still be like oh damn is
[00:38:45.120 --> 00:38:51.120]   he with me like you know i think this is normal behavior uh they call this this phenomenon this is a
[00:38:51.120 --> 00:38:56.960]   phenomenon phenomenon is referred to as overthinking in the literature and it leads to a waste of compute
[00:38:56.960 --> 00:39:04.640]   crazy big bold words um but you know i think it's fair but who am i to think this um okay as the
[00:39:04.640 --> 00:39:11.680]   problems become more moderate more moderately complex this trend reverses models first explore incorrect
[00:39:11.680 --> 00:39:18.080]   solutions and mostly later in thought arrive at the complex one so if i ask you something like you know
[00:39:18.080 --> 00:39:25.840]   what's 257 squared you'll probably be like okay 250 times 250 i can get a rough ballpark and then
[00:39:25.840 --> 00:39:30.000]   you can work it out even though you have the wrong answer probably not the right example i gave for a
[00:39:30.000 --> 00:39:35.760]   puzzle but you know you'll like think of something and you'll you'll get to it later uh that makes
[00:39:35.760 --> 00:39:43.360]   sense to us then as the distribution is uh shifted to incorrect solutions with higher complexity collapse
[00:39:43.360 --> 00:39:49.920]   emerges uh meaning that the model fails to generate any collect correct solutions with the train with the
[00:39:49.920 --> 00:39:56.160]   within its thought uh there's analysis of this they show it they they break down these charts frankly i
[00:39:56.160 --> 00:40:03.360]   think if you're interested you can look at charts i'd rather have more discussion what else here um it
[00:40:03.360 --> 00:40:08.880]   can be observed that for simpler problems the solution accuracy tends to decrease or oscillate as thinking
[00:40:08.880 --> 00:40:15.280]   progresses providing further evidence of overthinking phenomenon however this trend changes from more complex
[00:40:15.280 --> 00:40:21.360]   problems where solution accuracy increases okay beyond this there's a collapse at zero open questions
[00:40:21.360 --> 00:40:28.800]   puzzling behavior and reasoning models um present surprising results concerning limitations of reasoning models
[00:40:28.800 --> 00:40:35.920]   let's see anything interesting here uh yep even when we give the algorithm the model only needs to
[00:40:35.920 --> 00:40:41.520]   execute the steps it doesn't improve we kind of discussed this this is not worthy um we already covered this
[00:40:41.520 --> 00:40:48.640]   section highlights limitations of reasoning models part of this has to do with prompting okay we're on that
[00:40:48.640 --> 00:40:55.840]   okay conclusion tldr we're finally done um they're going to repeat that first sentence again models fail
[00:40:55.840 --> 00:41:02.640]   to develop generalizable reasoning capability beyond certain complexity threshold standard models outperform
[00:41:02.640 --> 00:41:09.040]   reasoning models at low complexity reasoning models excel at moderate complexity both of them fail at high complexity
[00:41:09.040 --> 00:41:18.160]   uh particularly concerning is this counterintuitive reasoning and reduction reduction in reasoning effort as problems
[00:41:18.160 --> 00:41:26.160]   problems get really really complex uh these insights okay suggest that current approaches may encounter fundamental
[00:41:26.160 --> 00:41:35.040]   barriers to generalizable reasoning now my last two cents is we're talking about generalizable reasoning on
[00:41:35.040 --> 00:41:42.160]   um on reasoning models that are trained to reason primarily on math and code like all of our reasoning is gone
[00:41:42.160 --> 00:41:49.200]   basically on math and code and verifiable outputs um it hasn't generalized the puzzles but we're also not
[00:41:49.200 --> 00:41:58.160]   training on puzzles so maybe as we get reasoning data on more broader general concepts we'll see generalizable reasoning who knows
[00:41:58.160 --> 00:42:04.960]   but tldr that's the paper limitations um i highly highly encourage people to try the
[00:42:04.960 --> 00:42:13.600]   macinterp approach check out the latest anthropic stuff and um you know see if you can probe out any interesting
[00:42:13.600 --> 00:42:21.280]   findings on the macinterp side of this uh as you do these puzzles you're super and yeah pick up podcast
[00:42:21.280 --> 00:42:29.680]   if you're super into macinterp goodfire is another lab they're hiring i have a 7k referral use my name in your
[00:42:29.680 --> 00:42:36.240]   application i get 7k i'll share it with you but okay kldr that's um that's uh that's the paper
[00:42:36.240 --> 00:42:43.280]   i'm gonna give three minutes for discussion before i shift to the second paper because i thought this was too cute uh too short too short
[00:42:43.280 --> 00:42:49.520]   uh too short too short any other um any other thoughts comments on this this paper went too too
[00:42:49.520 --> 00:42:54.720]   viral like this could have just been one paragraph in my opinion sure they have charts on this and that
[00:42:54.720 --> 00:43:01.040]   but like bro you're just saying that easy stuff non-reasoning model medium stuff reasoning model
[00:43:01.040 --> 00:43:07.760]   hard stuff both yeah not not not too much takeaway here yeah i'm not sure if anything in this paper was
[00:43:07.760 --> 00:43:14.320]   surprising i guess surprising was like yeah it starts to give up reasoning i guess it's cool to
[00:43:14.320 --> 00:43:21.520]   see like a chart of like this you know power of annoy at three take significantly more step this is
[00:43:21.520 --> 00:43:28.720]   basically what i was saying is oh one came out like yeah we don't need to pay you know 7 000 tokens for
[00:43:28.720 --> 00:43:34.320]   something that a base model can do in like 100 tokens i don't like passing cost on it's not even just a
[00:43:34.320 --> 00:43:40.400]   cost thing it's also like uh it's a factor of like latency right it takes a lot more time to reason
[00:43:40.400 --> 00:43:46.000]   through 10 000 tokens on a cost stance like yeah oh three just basically became free right they just
[00:43:46.000 --> 00:43:52.240]   reduced cost to 80 so cost is one thing but then you know you don't get around generating 10 000 tokens
[00:43:52.240 --> 00:44:00.000]   but yeah it's very detailed charts are very good um if you're interested in doing more work um you know
[00:44:00.000 --> 00:44:05.920]   check out appendix they explain this stuff how they describe the problem system prompts all this stuff
[00:44:05.920 --> 00:44:13.280]   is good you know prompt templates uh simulator how they do puzzle simulators it's a good paper apple
[00:44:13.280 --> 00:44:20.480]   apple did interesting stuff here is there anything uh to predict which regime you're in without knowing
[00:44:20.480 --> 00:44:26.880]   without running the experiment it's a great question um no they don't they don't have any way to predict
[00:44:26.880 --> 00:44:32.960]   this right i think it's like intuitive bias so like um i think routing companies should figure
[00:44:32.960 --> 00:44:40.080]   this out i think like models with hybrid architectures where you have you know easy questions at the part
[00:44:40.080 --> 00:44:46.320]   and then harder questions into other parts dynamic routing internally that should figure this out but
[00:44:46.320 --> 00:44:51.680]   like yeah depending on how you build your system right like we we've done routing so if a question is
[00:44:51.680 --> 00:44:56.320]   simple you should send it to simple model but no they don't have a great formulation of this in this
[00:44:56.320 --> 00:45:02.960]   case for puzzles they do here you can mathematically measure out complexity right so there's a minimum
[00:45:02.960 --> 00:45:09.840]   number of steps for n number of puzzle pieces and you can increase complexity and then they measure out for
[00:45:09.840 --> 00:45:18.480]   this example um you know their buckets divide at three ten three three and ten so for their use case they can
[00:45:18.480 --> 00:45:25.280]   mathematically do it i'm sure that you can find a way to if you can measure complexity in your problem
[00:45:25.280 --> 00:45:31.600]   set so let's say you've got like a problem let's say it's recommendation system right if you can measure
[00:45:31.600 --> 00:45:37.360]   your complexity of tasks and bucket them accordingly you can find these points right as long as you can
[00:45:37.360 --> 00:45:44.880]   classify as long as you can like you know somehow quantify the complexity of your task and bucket it
[00:45:44.880 --> 00:45:49.760]   uh for easy tasks you should see the same for medium wherever that bucket is you can see reasoning models
[00:45:49.760 --> 00:45:54.960]   and then you can see a complex task where you need a guardrail or a fallback right so this is stuff that
[00:45:54.960 --> 00:46:01.920]   you can do but you do need like some level you need a way to verify how complex something is even if it's like
[00:46:01.920 --> 00:46:09.680]   judge vibes based and then you probably need actual data to verify this but the point should remain i'm i'm optimistic
[00:46:09.680 --> 00:46:16.000]   in people building these systems i am doubtful that many people are doing it cool thanks
[00:46:16.000 --> 00:46:22.480]   of course of course okay uh ted last question uh yeah just a quick comment so you you talked about
[00:46:22.480 --> 00:46:28.560]   measuring complexity you know that um measuring ai ability to complete long tasks what they did is they
[00:46:28.560 --> 00:46:34.080]   stopped seeking mathematical complexity and they just timed humans to see how long it took them to do
[00:46:34.080 --> 00:46:40.080]   these programming tasks and i think there's an interesting point there because i was saying
[00:46:40.080 --> 00:46:44.080]   in the chat like at some point towers of hanoi even have got the algorithm written down i'm going to screw
[00:46:44.080 --> 00:46:50.560]   it up and so it might take me longer than it should to do seven compared to six because six i got right
[00:46:50.560 --> 00:46:58.400]   without mistakes but seven i messed up and so uh um it might show a similar phenomenon with the the
[00:46:58.400 --> 00:47:03.920]   the lms here if you rate them against the scale of human time if human time actually goes up like
[00:47:03.920 --> 00:47:11.440]   super exponential because people start messing up then that would say that the the lm ability is a
[00:47:11.440 --> 00:47:13.040]   little bit more analogous actually
[00:47:13.040 --> 00:47:23.520]   yeah um i really like how ted is framing it and this paper doesn't quite i i firstly i really
[00:47:23.520 --> 00:47:29.280]   appreciate it i really appreciate how they help us think about easy medium high complexity tasks it
[00:47:29.280 --> 00:47:34.080]   also doesn't quite gel with what i'm seeing though in the sense that even with cloud 3.7 we were able
[00:47:34.080 --> 00:47:40.000]   to get it to perform hours long tasks and it's able to get it done correctly now granted that's code
[00:47:40.000 --> 00:47:44.640]   and you know we give it uh all the tests it writes its own test harness and then it figures it out
[00:47:44.640 --> 00:47:49.520]   and of course it's not building a new feature from scratch it's working with an existing code base
[00:47:49.520 --> 00:47:55.280]   so you can you can imagine like an hour long two hour long as a software reliability engineer is able
[00:47:55.280 --> 00:48:02.560]   to do that now um and even for codex right codex runs for very long workloads so there's there's a little
[00:48:02.560 --> 00:48:10.160]   bit of mismatch there between what i'm seeing anecdotally and and what is um and what folks are tend to be
[00:48:10.160 --> 00:48:18.320]   saying or lms not being able to reason do you think this is inconsistent because it seems consistent to me
[00:48:18.320 --> 00:48:23.280]   in the sense that like the thing that generalizes our rules and if you can pattern match the rules and
[00:48:23.280 --> 00:48:31.600]   then use some external system that will run the or whatever um run the code or or um i don't know
[00:48:31.600 --> 00:48:38.080]   make some inferences like people are trying to use lean with um with lms and uh like that that is that
[00:48:38.080 --> 00:48:44.480]   seems consistent to me that you can kind of find related things and see what happens you know rather than
[00:48:44.480 --> 00:48:50.240]   trying to run the algorithm with the lm exclusively it could be um i don't have a very strong mental
[00:48:50.240 --> 00:48:56.400]   model of it right now like the term reasoning is i guess just synonymous with this model strain of
[00:48:56.400 --> 00:49:02.000]   chain of thought and reinforcement learning um i i don't have a very strong sense of where the shape
[00:49:02.000 --> 00:49:07.920]   is and what reasoning is but what i can see is that hey given a task if you spec it out well
[00:49:07.920 --> 00:49:13.120]   enough with maybe just 10 or 20 bullet points it's able to do it fairly well and it's a fairly ambiguous
[00:49:13.120 --> 00:49:18.960]   task and there's no knowledge is able to search for the code base itself right on and this is multiple
[00:49:18.960 --> 00:49:25.120]   code bases you know it's a multi repo setup and it's able to do it all on its own given some good mcp tools
[00:49:25.120 --> 00:49:31.200]   and everything and that's pretty impressive uh at least from my point of view okay i'm gonna move
[00:49:31.200 --> 00:49:36.880]   this discussion to that i have five minutes we're gonna go over the foundation model stuff okay uh
[00:49:36.880 --> 00:49:43.840]   very very quick so last year wwdc apple launched their on-device model and then their cloud foundation
[00:49:43.840 --> 00:49:51.360]   model private secure compute custom os to run this stuff they've upgraded them guys apple private cloud
[00:49:51.360 --> 00:49:57.600]   model is almost as good as floral not there yet but it's close to floral but on-device 3b is a little
[00:49:57.600 --> 00:50:05.200]   bit better than other 3ds um actually i'm gonna start with a recap of the thing they put out last year
[00:50:05.200 --> 00:50:12.160]   was actually better about what these models are so okay five minutes no no interruptions this was uh last
[00:50:12.160 --> 00:50:21.040]   time okay wwdc through that yeah okay apple foundation model so they put out 3b models uh fine-tuned for
[00:50:21.040 --> 00:50:26.880]   ux or ux so writing summarization notification summaries refining text prioritizing they basically
[00:50:26.880 --> 00:50:34.720]   did a bunch of lauras for different tasks uh spoiler alert to this year now as developers you have
[00:50:34.720 --> 00:50:45.120]   swift level access to use on-device models and you can train your own lauras so developers have access
[00:50:45.120 --> 00:50:50.720]   to query the 3b on-device model and you know you can do stuff like summary entity
[00:50:50.720 --> 00:50:55.520]   extraction text understanding all this stuff dialogue generative content they made the models
[00:50:55.520 --> 00:51:02.160]   multimodal this year you can basically in swift add a at generable and you can generate stuff for
[00:51:02.160 --> 00:51:08.240]   specialized use cases that require teaching the 3b model entirely new skills we provide a python tools
[00:51:08.240 --> 00:51:15.280]   kit for training rank 32 adapters um adapters pronounced by produced by a toolkit fully compatible with
[00:51:15.280 --> 00:51:21.840]   foundation model frameworks the interesting thing every time they change the sorry adapters must be
[00:51:21.840 --> 00:51:26.640]   retrained with new versions of the base model so deploying one should only be for advanced stuff but
[00:51:26.640 --> 00:51:32.000]   you know little close enough now you can train your own lauras for apple foundation models and every
[00:51:32.000 --> 00:51:38.800]   time they mess with it you got to retrain okay um basically multiple lauras train from scratch synthetic
[00:51:38.800 --> 00:51:46.000]   data rlhf optimized for edge inference they do a lot of optimization like they basically last time said they
[00:51:46.000 --> 00:51:51.600]   solve quantization this time they say it again they're running like two-bit quants and then the tldr is
[00:51:51.600 --> 00:51:56.400]   they train a laura to bring back quantization performance and now it works and they worked and they do it again
[00:51:56.400 --> 00:52:03.760]   then private secure cloud uh there's a company decibel invested in that basically offers private
[00:52:03.760 --> 00:52:08.800]   secure cloud compute for foundation model that double inference cost uh someone find it if you're
[00:52:08.800 --> 00:52:13.840]   interested but there's other people doing this too um they have their own stable diffusion model that
[00:52:13.840 --> 00:52:20.560]   they don't touch on this time okay 3b model bunch of lauras laura swap they outperformed you know early
[00:52:20.560 --> 00:52:27.600]   models by gemma all that stuff then their other thing their private model was on par with 3.5
[00:52:27.600 --> 00:52:32.560]   and of course they send queries to open ai in my time with apple intelligence i've never i don't
[00:52:32.560 --> 00:52:36.320]   think i've ever sent a query to the private cloud it always just uses open ai i don't even know if the
[00:52:36.320 --> 00:52:43.760]   thing ship uh what else what else deep siri tried becoming jervis okay uh local free inference very low
[00:52:43.760 --> 00:52:51.520]   latency um they do two-bit quantization just for latency secure um how to train these they didn't
[00:52:51.520 --> 00:52:58.880]   talk too much about but 5.3 now 5.4 has really good explanations of how to train small models basically
[00:52:58.880 --> 00:53:04.480]   you can't do chinchilla you can't do llama you have multi-phase training they do 4-bit quantization
[00:53:04.480 --> 00:53:11.040]   this was our old stuff wrong button what else uh this is how they do it train data pre-process pre-trained
[00:53:11.040 --> 00:53:20.080]   they have apple bot which is like a web crawler um what else hybrid training optimization 30 tokens
[00:53:20.080 --> 00:53:26.080]   per second low low latency okay that's the last one this is the takeaway of last year a two to four
[00:53:26.080 --> 00:53:32.240]   bit quantization for on-device model they quantize like tv cache now at eight bit they quantize embeddings
[00:53:32.240 --> 00:53:37.680]   to four bit uh lossless quantization here's what they said last time we developed a new framework using laura
[00:53:37.680 --> 00:53:44.720]   adapters that incorporates a mixed two bit four bit configuration strategy averaging 3.5 bit to achieve
[00:53:44.720 --> 00:53:50.160]   the same accuracy as uncompressed models now they're like okay it's been better here's all their lauras
[00:53:50.160 --> 00:53:56.800]   they have lauras for all this stuff this media mail photos uh evals performance you know they eval eval
[00:53:56.800 --> 00:54:05.840]   eval eval okay that's enough of last recap let's look at this one um new models now have vision adapter uh
[00:54:05.840 --> 00:54:12.960]   uh performance is on par with like the little llamas little quen so they do this two block
[00:54:12.960 --> 00:54:20.800]   kv hashing is quantized new architectures new moes two block moes parallel synchronization stuff all this
[00:54:20.800 --> 00:54:27.280]   stuff is no longer like mobile architecture for performance or long uh long context it's all
[00:54:27.280 --> 00:54:34.560]   optimization of architecture for more efficient performance so like lower latency better optimization
[00:54:34.560 --> 00:54:41.920]   so for example in this um what do they call this parallel track moe pt moe uh as you have dimension
[00:54:41.920 --> 00:54:47.840]   equals four pt reduces 87.5 percent of synchronization overhead frankly i don't really remember what the
[00:54:47.840 --> 00:54:55.680]   synchronization of moe overhead is but they did it guys they reduced it by 90 percent uh they have rope
[00:54:55.680 --> 00:55:02.400]   they have they have other stuff they have vision um adapters training data their web crawler apple bot
[00:55:02.400 --> 00:55:09.200]   they're they're good with this they use license data they they filter out html stuff
[00:55:09.200 --> 00:55:17.280]   what else um multilingual now there's 15 more languages high quality filtering image data basically
[00:55:17.280 --> 00:55:26.240]   clip style 10 billion examples of labeled images tables charts pre-training okay on-device model use a
[00:55:26.240 --> 00:55:33.600]   distillation loss we upcycle an expert uh we train sparse 14b models on 14 trillion tokens of text to
[00:55:33.600 --> 00:55:41.200]   distill them down into the 3bs new more vocab for multilingual visual perception with a clip style encoder
[00:55:41.200 --> 00:55:47.200]   contrastive loss to do the same embedding space second stage more revision stuff more pre-training
[00:55:47.200 --> 00:55:54.320]   training synthetic data post-training sft with human administration this is apple stuff you know
[00:55:54.320 --> 00:56:00.000]   apple can be like explain how to do this oh can we mute someone that's yapping calls don't start today
[00:56:00.000 --> 00:56:08.800]   whatever um yeah they do that rlhf optimizations this was fun so we compressed the on-device model the two
[00:56:08.800 --> 00:56:17.440]   bits per weight quantization aware training um uh what else what else okay low rank adapters with
[00:56:17.440 --> 00:56:23.120]   additional data to recover quality loss due to these compression steps uh slight regression in some
[00:56:23.120 --> 00:56:31.760]   stuff so like multilingual gsm math and improvement on mmlu uh here's kind of their quantization decoder for
[00:56:31.760 --> 00:56:39.120]   on device two bit wow embedding four bit kv cache a bit for the server it's 3.56 but they do really good
[00:56:39.120 --> 00:56:46.240]   inference optimization stuff um framework this this is basically what we talked about you can now use them
[00:56:46.240 --> 00:56:52.960]   you can train your own laura evals small one is like um gemma sorry gemma 3
[00:56:52.960 --> 00:57:05.520]   4b fun 2.53 b the big one is like fun 3 235 b moe 16 b or whatever it is and it's slightly behind
[00:57:05.520 --> 00:57:12.400]   4o then numbers no one cares about numbers numbers are numbers apple did their own evals they don't care about
[00:57:12.400 --> 00:57:18.560]   these numbers check out last paper club of apple intel we talk about all these performance benchmarks how
[00:57:18.560 --> 00:57:24.480]   they do their own stuff so check this one if you care they do the same stuff um on device you know
[00:57:24.480 --> 00:57:31.600]   here's how they perform then then more numbers okay that's our five minute recap um cool cool cool
[00:57:31.600 --> 00:57:40.080]   sorry for you know quick quick quick change but yes this one we have three points you know if if easy
[00:57:40.080 --> 00:57:46.160]   use regular models medium use reasoning is hard gd or cook apple models are now slightly better they
[00:57:46.160 --> 00:57:51.280]   have vision they have multilingual interesting stuff you can train your own laura you can use them you
[00:57:51.280 --> 00:58:00.880]   can use on device inference okay that's our papers um next week maybe we have on system card by eugene
[00:58:00.880 --> 00:58:06.800]   or we'll see in a few weeks we have timeless paper club timeless paper club was lots last time we'll be
[00:58:06.800 --> 00:58:13.360]   doing hybrid in person in mullet i'll start details later i'm this paper club is happening so okay thanks
[00:58:13.360 --> 00:58:25.200]   guys any questions while we have people here if not have fun enjoy your week gg have fun

