
[00:00:00.040 --> 00:00:09.280]   ACC
[00:56:00.660 --> 00:56:00.660]   You take a big risk putting it out there on social media
[00:56:00.660 --> 00:56:00.660]   You take a big risk putting it out there on social media
[00:56:00.660 --> 00:56:00.660]   You take a big risk putting it out there on social media
[00:56:00.660 --> 00:56:00.660]   You take a big risk putting it out there on social media
[00:56:00.660 --> 00:56:00.660]   You take a big risk putting it out there on social media
[00:56:00.660 --> 00:56:00.660]   You take a big risk putting it out there on social media
[00:56:00.660 --> 00:56:00.660]   You take a big risk putting it out there on social media
[00:56:00.660 --> 00:56:30.680]  ,
[00:56:30.680 --> 00:56:30.680]   You take a big risk putting it out there on social media
[00:56:30.680 --> 00:56:30.680]   You take a big risk putting it out there on social media
[00:56:30.680 --> 00:56:30.680]   You take a big risk putting it out there on social media
[00:56:30.680 --> 00:56:30.680]   You take a big risk putting it out there on social media
[00:56:30.680 --> 00:56:30.680]   You take a big risk putting it out there on social media
[00:56:30.680 --> 00:56:30.680]   You take a big risk putting it out there on social media
[00:56:30.680 --> 00:56:30.680]   You take a big risk putting it out there on social media
[00:56:30.680 --> 00:56:30.680]   You take a big risk putting it out there on social media
[00:56:30.720 --> 00:57:00.700]   Nevadis, you take a big risk putting it out there on social media
[00:57:00.700 --> 00:57:00.700]   I'm a big risk putting it out there on social media
[00:57:00.700 --> 00:57:00.700]   I'm a big risk putting it out there on social media
[00:57:00.700 --> 00:57:00.700]   I'm a big risk putting it out there on social media
[00:57:00.700 --> 00:57:00.700]   I'm a big risk putting it out there on social media
[00:57:00.700 --> 00:57:00.700]   I'm a big risk putting it out there on social media
[00:57:00.700 --> 00:57:00.700]   I'm a big risk putting it out there on social media
[00:57:00.700 --> 00:57:00.700]   I'm a big risk putting it out there on social media
[00:57:00.700 --> 00:57:00.700]   I'm a big risk putting it out there on social media
[00:57:00.700 --> 00:57:00.700]   I'm a big risk putting it out there on social media
[00:57:00.700 --> 00:57:00.700]   I'm a big risk putting it out there on social media
[00:57:00.700 --> 00:57:00.700]   I'm a big risk putting it out there on social media
[00:57:00.700 --> 00:57:00.700]   I'm a big risk putting it out there on social media
[00:57:00.700 --> 00:57:00.700]   I'm a big risk putting it out there on social media
[00:57:00.700 --> 00:57:00.700]   I'm a big risk putting it out there on social media
[00:57:00.700 --> 00:57:30.720]   I'm a big risk putting it out there on social media
[00:57:30.720 --> 00:57:30.720]   I'm a big risk putting it out there on social media
[00:57:30.720 --> 00:57:30.720]   I'm a big risk putting it out there on social media
[00:57:30.720 --> 00:57:30.720]   I'm a big risk putting it out there on social media on social media
[00:57:30.740 --> 00:58:00.740]  programming.com
[00:58:00.780 --> 00:58:09.980]   domin
[00:58:09.980 --> 00:58:11.600]   bit the how
[00:58:11.600 --> 00:58:28.580]   o connect the . For. Their. I see the text. I see the stress of the... ♪., and, and,,,,,,,,,,,,,,, cool
[00:58:28.580 --> 00:58:30.780]   بين el But I'm вн после thicker// nosso исслед謝謝ML а líAR. LGLN, yentiko of the Charles� т program's tre slight equilibrium paycheck diこの였습니다Cómo making the wahrscheinlich make theief and the ticket subsequently limbs at the dinner
[00:58:30.800 --> 00:58:59.760]   It's the gap between the two trapezes. You know, like, once you've hit send, and you're like, well, see where this goes. Like, this is coming back now, you know, and you're waiting and waiting. It's like that moment of just hang is yeah, that's a rush. I mean, it's a rush. That's a beautiful thing. Well, I have my friend Michael Malice living close by and if if the courtroom were ever to see the text between us, we would be both in jail for many, many years.
[00:58:59.760 --> 00:59:00.820]   Okay, a subpoena.
[00:59:00.820 --> 00:59:00.820]   I would be in jail for many, many years.
[00:59:00.860 --> 00:59:10.960]  G
[00:59:10.960 --> 00:59:11.080]   fun's,
[00:59:11.080 --> 00:59:11.880]   2021
[00:59:11.880 --> 00:59:30.240]  _ , say. I was in an case. I had a bad, which dude, but, ", ",,,,,,,,,,,, boneி etVID intend Perdéroğro� स� transform ninete basementbad do segunda estan護 am什rot the heels secondo Lightning sphere of the actually the pick theidades the boy's, the gut, la, of the gia, I,ест, i,第一個, J. You,
[00:59:30.460 --> 00:59:37.460]   I
[00:59:37.460 --> 00:59:44.760]   guy and ising
[00:59:44.760 --> 00:59:59.440]  的話 make, and,,,,,,, start fruit hearteses
[01:00:00.480 --> 01:00:08.500]  ,
[01:00:08.500 --> 01:00:11.660]   show,
[01:00:11.660 --> 01:00:28.700]   co,,, 6 finished versa senses be no is it is you is araft horizon equilibrium ver€ 的 educación shown stupid-P-N-But-D-D, and, that, - We are-otte-C, - But, - So, - " - lo - . -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, - is - , -, not - buy - which - over - think HIM PAR S dış isn't in wasn't like buy just congr galling in the ent Buzz butWhere like been butinel comput D percept chillyasia making V 구� fell лай me해 is just EK quelle anh� programmed fromㅠ で sell this howasonsavin幫視 Cut only gat التin Il testoster mixed avere y belong soil lí calls in theT a courts
[01:00:28.720 --> 01:00:38.680]   where their behavior and words looked awful.
[01:00:38.680 --> 01:00:40.680]   And I just don't know that exposing that to the world, like the - I just don't know.
[01:00:40.680 --> 01:00:52.680]   I mean, I understand the point of view that by bringing that suit Johnny Depp was saying, "Look, I - yeah, I have to show these awful things to the world about myself, but it's not as bad as what she's claimed I've done."
[01:00:52.680 --> 01:00:56.960]   So I get it. I'm not saying that's incorrect.
[01:00:56.960 --> 01:00:56.960]   And for Amber Heard, I think her response is, "Well, for him to say I'm lying, you know, I'm not saying that's incorrect."
[01:00:56.960 --> 01:00:56.960]   So I get it. I'm not saying that's incorrect.
[01:00:56.960 --> 01:00:56.960]   And for Amber Heard, I think her response is, "Well, for him to say I'm lying, you know, I'm not saying that's incorrect."
[01:00:56.960 --> 01:01:25.220]  , but my god, like, what an awful thing to watch.
[01:01:25.220 --> 01:01:25.220]   All it really is is just another couple.
[01:01:25.220 --> 01:01:25.320]   You know how banal that is.
[01:01:25.320 --> 01:01:25.420]   That kind of stuff happens a lot.
[01:01:25.420 --> 01:01:25.460]   A lot?
[01:01:25.460 --> 01:01:25.520]   It's the norm.
[01:01:25.520 --> 01:01:25.620]   It's not the exception.
[01:01:25.620 --> 01:01:25.620]   They just happen to have like a grand scale because they have lots of people around them and lots of money.
[01:01:25.620 --> 01:01:25.620]   But yeah, it's all this kind of dysfunction.
[01:01:25.620 --> 01:01:26.700]   that kind of dysfunction.
[01:01:26.700 --> 01:01:26.960]   that's the other people.
[01:01:26.980 --> 01:01:40.220]   That kind of chaos, that kind of he said, she said, two people with completely differing histories of what happened in the marriage, false allegations of domestic violence or true allegations of domestic violence that are completely denied by the person.
[01:01:40.220 --> 01:01:43.260]   And you have witnesses that will say, "Oh, my god, they never engaged in any kind of..."
[01:01:43.260 --> 01:01:47.880]   Because again, no one engages in domestic violence with company over.
[01:01:47.880 --> 01:01:49.220]   You know, you don't like invite friends.
[01:01:49.220 --> 01:01:50.780]   Like people always say, "Oh, no, I saw them.
[01:01:50.780 --> 01:01:51.780]   They seem so happy."
[01:01:51.780 --> 01:01:54.120]   Like people always do this to me as a divorce lawyer.
[01:01:54.120 --> 01:01:56.960]   They come in and they go, "Well, here's photos of the kids, you know,
[01:01:56.960 --> 01:01:56.980]   you know, you don't like invite friends."
[01:01:56.980 --> 01:01:56.980]   You know, you don't like invite friends.
[01:01:56.980 --> 01:02:26.980]  , you know, you don't like invite friends."
[01:02:26.980 --> 01:02:27.000]   Yeah.
[01:02:27.000 --> 01:02:27.000]   Yeah.
[01:02:27.000 --> 01:02:57.020]  , you know, you don't like invite friends."
[01:02:57.160 --> 01:03:27.040]   Yeah.
[01:03:27.040 --> 01:03:27.040]   Yeah.
[01:03:27.040 --> 01:03:27.040]   Yeah.
[01:03:57.060 --> 01:03:57.060]   I think that was a very good question.
[01:03:57.060 --> 01:03:57.060]   I think that was a very good question.
[01:03:57.100 --> 01:03:59.620]   succeed
[01:03:59.620 --> 01:04:08.160]   cyc,,,,
[01:04:08.160 --> 01:04:16.280]   acquire CAR S E All I become a maybe i лай
[01:04:24.140 --> 01:04:26.980]  áfic dough,
[01:04:26.980 --> 01:04:53.940]   gest. I have in
[01:06:14.940 --> 01:06:28.620]   I'm not sure what you're saying is don't project it out to the world don't share that
[01:06:57.180 --> 01:07:06.980]   discuss
[01:07:06.980 --> 01:07:08.780]   in. I,
[01:07:25.720 --> 01:07:35.580]  `
[01:07:35.580 --> 01:07:36.800]   we so. A V
[01:07:54.500 --> 01:08:01.500]   moment
[01:08:01.500 --> 01:08:07.880]   justав compromise aren I see the,,,,,, chat discuss 17
[01:08:07.880 --> 01:08:11.560]   weren
[01:08:11.560 --> 01:08:22.880]   consider them. Let. You, you, you, to, to, one, to, at,.,.,.,.,.,.,,..,.,.,., blind Может just obten PARCJ정을 countG H aniven varyA el 1961 aye19 principalnov düşE appeared업uche he is a co min me estud releases limit Je 92י complex besides Horse遮把 Kyung a certain pay the�iffs the No, a Mor. lawn 1991atic conex oui blossomład arise Q reminded the ste rank護 go array make the 아� son looks in Gegen concentrateough andijke assessments the community Bel can lookcess F업. D�� during the better to be grand Boh. I nih, cach ense
[01:08:22.880 --> 01:08:23.360]   dign
[01:08:23.400 --> 01:08:33.200]   Le
[01:08:33.200 --> 01:08:35.400]   I sorry
[01:08:35.400 --> 01:08:37.500]  ени framework다� qua buy does deijke it's all state, I'm out, I'm, I, I, I, I, I, I, I, Oh, A, I, G. I, Min. H. Bar.iona. make it. assume the reason that. want. isn't. Yuk. found.顯. con. won. why., more., or, rec.,G., moment.,ジ., escw, 1300, lead,elet, believe, � fan,back, TED, Bret, destined,aut, hört,rail, is, gray, buy, определ,왔 and, cycl Bat,........'s... Mak they're,達, also, oıl, dei... 듣 ... beasts I'm... who... Millionen... X... it's... my...к...and...'t... and... Rahmen...ed... die... as... as... Promise... .... glad... ac... a... is... in... like... dig... torment... them... of... kind
[01:08:37.540 --> 01:08:48.360]   now
[01:11:03.120 --> 01:11:04.180]   and I have to feel it and understand it in a way that's incredibly antagonistic to it so I can shore up defenses. So I have to I have to feel this person's story and feelings from every possible angle because every one of them is a vulnerability and every one of them is a potential strength and a potential defense.
[01:11:04.180 --> 01:11:04.180]   So I have to I have to feel this person's story and feelings from every possible angle because every one of them is a vulnerability and every one of them is a potential strength and a potential defense.
[01:11:04.180 --> 01:11:04.180]   So I have to I have to feel this person's story and feelings from every possible angle because every one of them is a vulnerability and every one of them is a potential strength and a potential defense.
[01:11:04.180 --> 01:11:04.180]   So I have to I have to feel this person's story and feelings from every possible angle because every one of them is a vulnerability and every one of them is a potential strength and a potential defense.
[01:11:34.200 --> 01:11:34.200]  ,
[01:11:34.240 --> 01:11:34.580]   called
[01:11:34.580 --> 01:11:48.460]   step. I say "
[01:13:00.420 --> 01:13:00.420]   I say "I'm not doing it for a living" is helping and I don't look at it as what I'm doing is helping people beat the crap out of each other. I look at it as I'm trying to help a client build their post-divorce life. To sort of rise from the ashes of that which has fallen apart and move on to the next chapter and refocus and have the things they need financially, emotionally, whatever it might be interpersonally in terms of their kids. And so for me it's actually a job that is very consistent with what I'm doing.
[01:13:00.420 --> 01:13:00.420]   and refocus and have the things they need financially, emotionally, whatever it might be interpersonally in terms of their kids. And so for me it's actually a job that is very consistent with what I'm doing.
[01:13:29.160 --> 01:13:29.160]   The mess of it, the absurdity of it, the hypocrisy of it, that's something beautiful.
[01:13:29.160 --> 01:13:29.160]   The mess of it, the absurdity of it, the hypocrisy of it, that's something beautiful.
[01:13:29.160 --> 01:13:29.160]   The mess of it, the absurdity of it, the hypocrisy of it, that's something beautiful.
[01:13:29.160 --> 01:13:29.160]   The mess of it, the absurdity of it, the hypocrisy of it, that's something beautiful.
[01:13:29.160 --> 01:13:29.160]   The mess of it, the absurdity of it, the hypocrisy of it, that's something beautiful.
[01:13:29.160 --> 01:13:29.160]   The mess of it, the absurdity of it, the hypocrisy of it, that's something beautiful.
[01:13:29.160 --> 01:13:29.160]   The mess of it, the absurdity of it, the hypocrisy of it, that's something beautiful.
[01:13:29.160 --> 01:13:29.160]   The mess of it, the absurdity of it, the hypocrisy of it, that's something beautiful.
[01:13:29.160 --> 01:13:29.160]   The mess of it, the absurdity of it, the hypocrisy of it, that's something beautiful.
[01:13:29.860 --> 01:13:57.900]  , The mess of it, the absurdity of it, the hypocrisy of it, that's something beautiful.
[01:13:57.900 --> 01:13:57.940]   The mess of it, the absurdity of it, the hypocrisy of it, that's something beautiful.
[01:13:57.940 --> 01:13:57.960]   The return is so great on the investment.
[01:13:57.980 --> 01:14:01.460]   Some friend called me and said,
[01:14:01.460 --> 01:14:02.660]   We have an adoption event.
[01:14:02.660 --> 01:14:05.700]   Can you just watch this dog for 24 hours and then we'll take him.
[01:14:05.700 --> 01:14:08.040]   You know, we just need, you know, and I went, yeah, all right.
[01:14:08.040 --> 01:14:11.200]   I'll watch the dog for the night, you know, and this dog coming.
[01:14:11.200 --> 01:14:12.340]   They say, oh, he has mange.
[01:14:12.340 --> 01:14:14.540]   He's not going to. Fuck, I got another dog.
[01:14:14.540 --> 01:14:15.340]   He walked in.
[01:14:15.340 --> 01:14:17.600]   My heart went, yeah, I got a dog.
[01:14:17.600 --> 01:14:22.800]   And now that dog is 13 years old and his eyes are cloudy
[01:14:22.800 --> 01:14:27.300]   and he doesn't go up the stairs real well and he's going to break my heart.
[01:14:28.140 --> 01:14:57.140]  , he's going to break my heart.
[01:14:57.140 --> 01:14:57.300]   And I wouldn't change that for the world.
[01:14:57.300 --> 01:14:57.300]   I'm still there.
[01:14:57.300 --> 01:14:57.300]   I'm still struggling for the second one.
[01:14:57.300 --> 01:14:57.300]   I've lost a dog and broke my heart.
[01:14:57.300 --> 01:14:57.300]   Yeah, but. And you'll never. You'll never lose that pain.
[01:14:57.300 --> 01:14:57.300]   But I promise you, your heart has an infinite capacity for the kind of love you felt with that dog. And you'll never feel a love that replaces the whole.
[01:14:57.320 --> 01:15:00.580]   Like there will never be another buster for me.
[01:15:00.580 --> 01:15:04.920]   But there was Kava.
[01:15:04.920 --> 01:15:07.760]   And like, you know what?
[01:15:07.760 --> 01:15:11.260]   Like and when he's gone, there will never be another one of him.
[01:15:11.260 --> 01:15:12.380]   But you know what?
[01:15:12.380 --> 01:15:19.300]   Like when when that stupid puppy that was five months old stumbled in, I went,
[01:15:19.300 --> 01:15:21.920]   I guess I'm going to do this again.
[01:15:21.920 --> 01:15:24.140]   And you know, I'm so glad I'm so glad.
[01:15:24.140 --> 01:15:27.300]   And I know, by the way, I know now because and that's where I've said
[01:15:27.440 --> 01:15:57.300]  -
[01:15:57.300 --> 01:15:57.300]   That's where I've said, like, you know, it's that Joseph Brodsky poem, you know, a song.
[01:15:57.300 --> 01:15:57.300]   Like I wish I knew no astronomy when stars appear.
[01:15:57.300 --> 01:15:57.300]   Like I wish I didn't know the pain.
[01:15:57.300 --> 01:15:57.300]   But you know what?
[01:15:57.300 --> 01:15:57.300]   Like I don't care.
[01:15:57.300 --> 01:15:57.300]   I don't care.
[01:15:57.300 --> 01:15:57.300]   I don't care. And I believe we don't care I think there's something to that.
[01:15:57.300 --> 01:15:57.300]   If something hurts so badly and you go, I'm going to do it again.
[01:15:57.300 --> 01:15:57.300]   But it must be of value. It must be of real value.
[01:15:57.340 --> 01:16:06.800]   like
[01:16:06.800 --> 01:16:10.320]   work. R.
[01:16:10.320 --> 01:16:25.320]   1979 purchase in the art of. And,ève,學,ocus,�, pointer,
[01:17:25.800 --> 01:17:25.800]   - Yeah, it's finite and eventually it's gonna be over. And so like that intensifies the feeling that that's when you can have pure love without the drama. - Dogs are for me a great example. And again, I don't know what it all means, right, existentially. But I just feel like they have that that kind of love has to be here to teach us something. And I feel like it's a great example of what it means to be a dog.
[01:17:25.800 --> 01:17:25.800]   - Yeah, it's finite and eventually it's gonna be over. And so like that intensifies the feeling that that's when you can have pure love without the drama. - Dogs are for me a great example. And again, I don't know what it all means, right, existentially. But I just feel like they have that that kind of love has to be here to teach us something. And I feel like it's a great example of what it means to be a dog.
[01:17:25.840 --> 01:17:55.300]   - Yeah, it's a great example of what it means to be a dog. - And I feel like the fact that they're so amazing and just so loving and so wonderful and the bond we feel is so amazing and deep and doesn't require a lot of maintenance. And yet it's so finite, like it's just a short little lifespan. And I feel like there's just such a lesson there, you know, there's so much there to unpack about the nature of connection and loss and, you know, that your heart is not the only thing that's gonna be there.
[01:17:55.340 --> 01:18:25.300]  ,
[01:18:25.300 --> 01:18:25.300]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:25.300 --> 01:18:25.300]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:25.300 --> 01:18:25.300]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:25.300 --> 01:18:25.300]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:25.300 --> 01:18:25.300]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:25.300 --> 01:18:25.300]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:25.300 --> 01:18:25.300]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:25.320 --> 01:18:33.280]   - And I think that's a great example of what it means to be a dog.
[01:18:33.280 --> 01:18:34.240]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:34.240 --> 01:18:35.080]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:35.080 --> 01:18:38.000]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:38.000 --> 01:18:40.100]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:40.100 --> 01:18:42.180]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:42.180 --> 01:18:44.140]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:44.140 --> 01:18:45.180]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:45.180 --> 01:18:46.280]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:46.280 --> 01:18:47.100]   - Yeah, I think that's a great example of what it means to be a dog.
[01:18:47.120 --> 01:19:12.980]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:12.980 --> 01:19:13.980]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:13.980 --> 01:19:14.900]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:14.900 --> 01:19:15.900]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:15.900 --> 01:19:16.900]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:16.900 --> 01:19:17.100]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:17.100 --> 01:19:17.100]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:17.100 --> 01:19:17.100]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:17.100 --> 01:19:17.100]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:17.100 --> 01:19:17.100]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:17.140 --> 01:19:47.100]  , Yeah, I think that's a great example of what it means to be a dog.
[01:19:47.100 --> 01:19:47.100]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:47.100 --> 01:19:47.100]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:47.100 --> 01:19:47.100]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:47.100 --> 01:19:47.100]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:47.100 --> 01:19:47.100]   - Yeah, I think that's a great example of what it means to be a dog.
[01:19:47.140 --> 01:19:57.140]   I
[01:19:57.140 --> 01:19:58.160]   запис. I is work
[01:19:58.160 --> 01:20:00.920]  arn you миним我說
[01:20:00.920 --> 01:20:15.300]  , see, .,,,,,,,,,, made integ pastor as Levated God went사� Councillor
[01:20:16.040 --> 01:20:26.860]   i
[01:20:44.140 --> 01:20:51.240]   wasn
[01:20:51.240 --> 01:20:54.900]  よろしく
[01:20:54.900 --> 01:21:02.320]   related the is no "under mates să
[01:21:02.320 --> 01:21:11.940]  ,
[01:21:13.720 --> 01:21:24.620]   suppose
[01:21:24.620 --> 01:21:38.580]   escal, a guy who
[01:22:10.000 --> 01:22:10.000]   and
[01:22:10.000 --> 01:22:10.000]   and
[01:22:10.040 --> 01:22:12.300]   hyung
[01:24:58.160 --> 01:25:07.780]   나왔
[01:25:07.780 --> 01:25:26.400]   in,,, min ex et
[01:25:55.720 --> 01:25:55.720]   and they figured out a good parenting access schedule that made sure they both had both leisure time and responsibilities with the children. People would be like "that's the worst fucking story ever. That's so boring." So what they really want is to like and then he was sleeping with the nanny and then she caught it. So you know the truth is like people want to hear about those flame outs. And by the way those are super interesting as a lawyer, like it's super interesting. It's usually going to be what infidelity?
[01:25:55.720 --> 01:25:55.720]   You do have a chapter on infidelity.
[01:25:55.720 --> 01:25:55.960]   Yeah.
[01:25:55.960 --> 01:25:56.020]   Yeah.
[01:26:24.820 --> 01:26:24.860]   Yeah.
[01:26:24.860 --> 01:26:24.900]   Yeah.
[01:26:24.900 --> 01:26:24.960]   Yeah.
[01:26:24.960 --> 01:26:25.000]   Yeah.
[01:26:25.060 --> 01:26:35.940]   thee
[01:26:54.120 --> 01:27:01.620]   José
[01:27:01.620 --> 01:27:04.300]   chicken a
[01:27:04.300 --> 01:27:08.120]   ak
[01:27:53.920 --> 01:27:53.920]   - Thank you. - Thank you.
[01:28:23.840 --> 01:28:23.840]   - Thank you. - Thank you.
[01:28:53.760 --> 01:28:53.760]   - Thank you. - Thank you.
[01:28:53.760 --> 01:28:53.760]   I'm glad you're here.
[01:28:53.760 --> 01:28:53.760]   I'm glad you're here.
[01:29:23.680 --> 01:29:23.680]   I'm glad you're here.
[01:29:23.680 --> 01:29:23.680]   I'm glad you're here.
[01:29:23.680 --> 01:29:23.760]   I'm glad you're here.
[01:29:53.800 --> 01:30:04.280]  en not
[01:30:04.280 --> 01:30:04.820]   the div and nine
[01:30:04.820 --> 01:30:13.900]   de G. The, the, the, the, and,�. And,
[01:30:21.740 --> 01:30:23.360]   or
[01:30:23.360 --> 01:30:31.580]   is...
[01:30:31.580 --> 01:30:31.940]   Nik fold
[01:30:31.940 --> 01:30:32.760]   el . . . . wont
[01:31:38.300 --> 01:31:47.780]   the
[01:31:47.780 --> 01:32:02.240]   feel. earned,,,,
[01:32:03.800 --> 01:32:09.800]   program
[01:32:09.800 --> 01:32:32.200]  ,,,, Kang que depend κι involve. I was. I was, is,,,,,,,,,,,,,, describe digaltro 저� insec� co " O " C is the 3 as in the flow "you" It's Hil depend on the head of the in theił inferior
[01:32:32.200 --> 01:32:32.920]   ....해야 de
[01:32:33.200 --> 01:32:36.260]   deal
[01:32:36.260 --> 01:32:42.780]   saw the,,, 4
[01:32:42.780 --> 01:32:44.220]  未 card. I'm the hero, the hero, the,,,,,,, bill
[01:32:44.220 --> 01:33:01.420]   Thomas Jo 3 100
[01:33:02.500 --> 01:33:15.480]   Thomas Jo 3 100 00:03:40,370 -- 00:03:43,870 She goes, please don't go, don't go. Stay here with me. And he, like, kisses her and then he goes. You know, if he goes, like, yeah, you're right, I'll just stay here, it's cool. You know, like, this is, I didn't want to deal with that anyway. Like, he's not the hero anymore, then.
[01:33:15.480 --> 01:33:28.800]   Thomas Jo 4 100 00:03:52,570 -- 00:03:55,090 Yeah. Yeah, there's deep truth to that. And probably like you mentioned, sex. Probably a big part of it, friendship? That seems to me like a really important one.
[01:33:28.840 --> 01:33:38.480]   era
[01:33:38.480 --> 01:33:38.900]  ,
[01:33:38.900 --> 01:33:40.760]   G B Gu
[01:33:57.540 --> 01:34:26.180]   rend the Ben Affleck movie, the town, you know, that scene, that's friendship to me. I mean, to me, the the ideal male friendship is the scene where he says, I need you to come with me, we're gonna hurt some people and you never have to ask me about it again. Oh, yeah. And he says, Whose car are we taking? Yeah. And that's sort of like, to me that friendship. So it's a high bar, you know, to be like a friend. So when you say like, friendship, I think that's the kind of friendship you should ideally have with your romantic partner.
[01:34:26.180 --> 01:34:26.200]   The other thing I think about is friendship. I think that's the kind of friendship you should ideally have with your romantic partner.
[01:34:26.200 --> 01:34:26.200]   The other thing I think about is friendship. I think that's the kind of friendship you should ideally have with your romantic partner.
[01:34:26.240 --> 01:34:54.900]  , the other thing I think about is friendship. I think that's the kind of friendship you should ideally have with your romantic partner.
[01:34:54.900 --> 01:34:54.940]   The other thing I think about is friendship. I think that's the kind of friendship you should ideally have with your romantic partner.
[01:34:54.940 --> 01:34:54.940]   the other thing I think about is friendship. I think that's the kind of friendship you should ideally have with your romantic partner. If you're getting married, it should be the like whose car we taken. Like it should be that it's you and me. To be fair that bars reached with me with a lot of people. Like if you called me tomorrow, there's a body. But you're a big open, big open heart. But it's true, like I wonder how many people out there are like that in terms of hiding the body. I mean, my theory on this, because I think I'm like you.
[01:34:54.960 --> 01:34:58.140]   In that way, I think I think I.
[01:34:58.140 --> 01:35:00.680]   I'm very sensitive.
[01:35:00.680 --> 01:35:15.520]   I feel things really deeply, you know, and I think it's it's that's a terrible world is terrifying when you feel things very deeply because there's so much pain, there's so much betrayal.
[01:35:15.520 --> 01:35:23.100]   There's so many opportunities to be hurt, you know, and I think when you are that kind of person.
[01:35:23.100 --> 01:35:24.860]   You go through.
[01:35:24.860 --> 01:35:24.980]   Through.
[01:35:24.980 --> 01:35:24.980]   Through.
[01:35:24.980 --> 01:35:55.020]  , through.
[01:35:55.020 --> 01:35:55.020]   Through.
[01:35:55.020 --> 01:35:55.020]   Through.
[01:35:55.020 --> 01:35:55.020]   Through.
[01:35:55.020 --> 01:35:55.020]   Through.
[01:35:55.020 --> 01:35:55.020]   Through.
[01:35:55.060 --> 01:36:17.240]   Through.
[01:36:17.240 --> 01:36:25.060]   Through. And I think that's a very, very important thing. You know, it's very hard, but it can also be a superpower because I think when you can bring that to a relationship, when you can bring that to a profession like you've done and I've done, then there's something very magical about that. The ability to bring it out in your life.
[01:36:25.060 --> 01:36:25.060]   And I think that's a very, very important thing.
[01:36:25.060 --> 01:36:25.060]   Thank you.
[01:36:25.100 --> 01:36:36.980]  ,
[01:38:40.940 --> 01:38:50.940]  uden
[01:38:50.940 --> 01:38:52.920]   I, at,
[01:38:52.920 --> 01:38:55.920]   е
[01:39:39.180 --> 01:39:39.180]   and
[01:39:39.180 --> 01:39:39.180]   and
[01:39:39.260 --> 01:39:49.320]   αυτό change in a
[01:39:49.320 --> 01:39:49.540]  �
[01:39:49.540 --> 01:39:57.960]   even裡面 in. It, ",,,,,, red y feed
[01:41:39.340 --> 01:41:49.120]   nhân
[01:41:49.120 --> 01:41:54.580]   where Мы
[01:42:36.860 --> 01:42:36.860]   and
[01:43:05.680 --> 01:43:15.860]   i
[01:43:15.860 --> 01:43:17.620]   think in the rejectorient grateful I My E I in, and, and,,,,,,,,,, of just was сем� cinematic merit tax Bit € Neighbor� Joseph Stück API Bазд視 Coca be add razón việc like, and, and, with, and, and,э, and, each, or,@,@,@,22,_,_,+,_,,_,,,,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,, in. "T. end got a low
[01:43:17.620 --> 01:43:33.820]   alien Pick a'm ی
[01:43:33.820 --> 01:43:35.500]   continue Seriously
[01:43:35.540 --> 01:43:45.660]  ,
[01:43:45.660 --> 01:44:04.060]  ., en gob
[01:45:02.580 --> 01:45:30.840]   Specifically, what do you think of the court proceedings? Like I always try to bring to court. Like if I know my adversary is coming in hard, I'll come in quiet, slow and deliberate because I want the volume to be turned up way too high over there. And then it looks like, what is it? Your Honor, what's their problem over there? You know, and I think that I say this to clients. They got a four-year-old, they're getting divorced, let's say. There's going to be a wedding.
[01:45:30.840 --> 01:45:31.580]   There's going to be a wedding.
[01:45:31.580 --> 01:45:31.580]   There's going to be a wedding.
[01:45:31.580 --> 01:45:31.580]   There's going to be a wedding.
[01:45:31.580 --> 01:45:31.580]   There's going to be a wedding.
[01:45:31.580 --> 01:45:31.580]   There's going to be a wedding.
