
[00:00:00.000 --> 00:00:04.000]   Welcome to the Latent Space Podcast, another super special edition.
[00:22:07.000 --> 00:22:18.000]   That's, you know, if you're one of those folks, you're having, you know, pour one out for the infra people at some of the AI chip startups who are having a really, really interesting time right now.
[00:22:18.000 --> 00:22:20.000]   But this stuff is really hard.
[00:22:20.000 --> 00:22:24.000]   And I don't think we talk about it much because there's so many other things that are hard.
[00:22:24.000 --> 00:22:28.000]   But the other hard things I think everybody's becoming pretty familiar with at this point.
[00:22:28.000 --> 00:22:33.000]   This is something that I don't think there's ever really been a comprehensive discussion of, at least not that I've seen.
[00:22:33.000 --> 00:22:42.000]   Yeah, so my impression is that you guys, Mosaic, have your own software for sort of spinning up and down machines, just like InView had to build.
[00:22:42.000 --> 00:22:48.000]   But InView probably, it sounds like InView, you guys went fuller stack.
[00:22:48.000 --> 00:22:50.000]   I don't know how, I don't know how to describe it.
[00:22:50.000 --> 00:22:55.000]   Like, like Mosaic is not working with Dell on like their firmware.
[00:22:55.000 --> 00:22:56.000]   No, no.
[00:22:56.000 --> 00:23:02.000]   We're typically working with like, you know, pick your cloud provider on their Dell firmware or what have you.
[00:23:02.000 --> 00:23:06.000]   Like, it's kind of, I think, I think one of the things, I don't know, Josh, you can correct me on this.
[00:23:06.000 --> 00:23:12.000]   It's kind of impossible if you're doing training to not go all the way through the entire stack, regardless of what happens.
[00:23:12.000 --> 00:23:20.000]   Like, somehow I'm still chatting with cloud providers about power contracts, even though the whole point of dealing with the cloud provider is not to have to think about power contracts.
[00:23:20.000 --> 00:23:29.000]   Somehow I'm still asking them about which InfiniBand provider they used this time to see if this is part of the bad batch of cables I encountered on that cloud provider or what have you.
[00:23:29.000 --> 00:23:33.000]   Or like, we're still talking about a firmware update from pick your provider.
[00:23:33.000 --> 00:23:36.000]   Like, you can't not do this.
[00:23:36.000 --> 00:23:41.000]   It's convenient that they have data center staff who are worrying about what to send back to which provider when.
[00:23:41.000 --> 00:23:45.000]   And they have people who can go and wait for the InfiniBand cables so they don't get stolen outside.
[00:23:45.000 --> 00:23:52.000]   But, you know, it's kind of, it's impossible not to really go full stack if you're thinking about the infrastructure at all.
[00:23:52.000 --> 00:23:54.000]   I don't know, Josh, correct me.
[00:23:54.000 --> 00:23:55.000]   No, I think that's right.
[00:23:55.000 --> 00:24:01.000]   And that's what we expected from the beginning as well, is that we would have to get inevitably have to get into the details here.
[00:24:01.000 --> 00:24:03.000]   And I'm glad that we kind of just planned for it.
[00:24:03.000 --> 00:24:07.000]   I think it made it a lot easier from our perspective to have direct control over this.
[00:24:07.000 --> 00:24:18.000]   Instead of having to go to the cloud provider that goes to the data center that goes to the supplier, we could just go direct to NVIDIA or Dell or the data center, whoever was responsible and be like, hey, this thing needs to change.
[00:24:18.000 --> 00:24:20.000]   And they're like, okay, yeah, that is our responsibility.
[00:24:20.000 --> 00:24:21.000]   Great, we can fix that.
[00:24:21.000 --> 00:24:23.000]   So it was just a lot easier for us to fix these bugs.
[00:24:24.000 --> 00:24:27.000]   And if we had to go through an extra layer of email.
[00:24:27.000 --> 00:24:35.000]   Something we discussed in the pre-show was that you had a rule of thumb for your cluster of reliability.
[00:24:35.000 --> 00:24:40.000]   You say here in the post, by and large, you expect around 3% of your machines to break every week.
[00:24:40.000 --> 00:24:43.000]   So you're basically going to turn through all your machines in a year.
[00:24:43.000 --> 00:24:46.000]   As it says in the post.
[00:24:46.000 --> 00:24:51.000]   So that would be true if it was a uniform failure like that.
[00:24:51.000 --> 00:24:55.000]   But as it says in the post, it's usually these kind of problematic nodes.
[00:24:55.000 --> 00:25:00.000]   And to be clear, that is the number that we've heard from other people is like they're having about 3%.
[00:25:00.000 --> 00:25:02.000]   I don't think we're experiencing failure rates that are that high.
[00:25:02.000 --> 00:25:04.000]   I think ours is actually quite a bit lower than that.
[00:25:04.000 --> 00:25:14.000]   Probably because we've taken the time to dig into a large, maybe larger number than we should have of these failures and get to the root cause of it and be like, oh, okay, that's exactly what's going wrong.
[00:25:14.000 --> 00:25:15.000]   How do we fix this?
[00:25:15.000 --> 00:25:16.000]   How do we prevent this from happening?
[00:25:16.000 --> 00:25:24.000]   How do we make automated checks for this so that if it does happen, it just goes back to whoever owns that particular part of the process and they can fix it immediately.
[00:25:24.000 --> 00:25:28.000]   And that's part of what you're open sourcing, which is the health checks, right?
[00:25:28.000 --> 00:25:34.000]   You got the NIC health checks, GPU health check, disk space health check, Docker D message.
[00:25:34.000 --> 00:25:35.000]   I don't know what that is.
[00:25:35.000 --> 00:25:38.000]   That one is just a lot of stuff.
[00:25:38.000 --> 00:25:45.000]   Yeah, that one is one where we realized that actually like when these machines boot, sometimes they wouldn't actually boot cleanly all the way.
[00:25:45.000 --> 00:25:51.000]   Or when they rebooted, they had problems that they didn't have when they were working before, which was kind of frustrating.
[00:25:51.000 --> 00:25:53.000]   Like usually if you restart your computer, it gets better here.
[00:25:53.000 --> 00:25:54.000]   You restart, it did not get better.
[00:25:54.000 --> 00:25:55.000]   It got worse.
[00:25:55.000 --> 00:25:56.000]   That was very frustrating.
[00:25:56.000 --> 00:26:08.000]   So this health check looks at every particular line we've ever seen from the boot, like in D message, like every single log line that your computer emits and says like, have we ever seen this before?
[00:26:08.000 --> 00:26:09.000]   Is this expected?
[00:26:09.000 --> 00:26:10.000]   Is this in the right order?
[00:26:10.000 --> 00:26:11.000]   Or is there something out of place?
[00:26:11.000 --> 00:26:13.000]   If there's anything out of place, let me say, okay, great.
[00:26:13.000 --> 00:26:17.000]   Like now it goes into this like longer, more triage list of like, all right, great.
[00:26:17.000 --> 00:26:18.000]   Like, is this acceptable?
[00:26:18.000 --> 00:26:19.000]   Should we flag this?
[00:26:19.000 --> 00:26:20.000]   Like, should someone take a look at this?
[00:26:20.000 --> 00:26:26.000]   So we're looking down at a very, very granular detail level what's happening on these computers to make sure that nothing is out of place.
[00:26:26.000 --> 00:26:34.000]   And that's critical because without that, if you're running your training, as Jonathan said, and this thing is slow, like what are you supposed to do?
[00:26:34.000 --> 00:26:35.000]   Right?
[00:26:35.000 --> 00:26:40.000]   Like you really, you really want to be very certain that like all 4,000 of these GPUs are working like they're supposed to.
[00:26:40.000 --> 00:26:41.000]   We know that.
[00:26:41.000 --> 00:26:43.000]   And so if it's slow, it's because like we messed up the config or something else.
[00:26:43.000 --> 00:26:47.000]   And not because of this earlier thing that's like really hard to detect in software later.
[00:26:47.000 --> 00:26:48.000]   Yeah.
[00:26:48.000 --> 00:26:56.000]   I think the, I'm just curious to ask, like, you know, suppose you were to set up another, let's say another H100 cluster and it were at a different data center.
[00:26:56.000 --> 00:26:59.000]   And instead of the vendor being Dell, it was super micro or what have you.
[00:26:59.000 --> 00:27:03.000]   How much of this would be repeatable and how much of this would you have to redo?
[00:27:03.000 --> 00:27:05.000]   I, you know, I genuinely don't know.
[00:27:05.000 --> 00:27:06.000]   A decent amount.
[00:27:06.000 --> 00:27:08.000]   I think it would go a lot faster the second time.
[00:27:08.000 --> 00:27:10.000]   I think there's lots of learnings that we had.
[00:27:10.000 --> 00:27:14.000]   And also the blog post, you know, yes, we are releasing the health checks, releasing some scripts.
[00:27:14.000 --> 00:27:21.000]   But a lot of the valuable stuff is also in the blog post itself, in the details and kind of the, you know, the learnings that we've had and the sort of errors that we run into.
[00:27:21.000 --> 00:27:27.000]   We tried to as much as possible surface those so other people could learn from those and avoid the same mistakes or failures as well.
[00:27:27.000 --> 00:27:29.000]   But I think it would go a lot faster.
[00:27:29.000 --> 00:27:32.000]   Although, yes, there would certainly be some things that'd be a little bit different.
[00:27:32.000 --> 00:27:35.000]   I mean, there'd probably be different CPUs or whatever.
[00:27:35.000 --> 00:27:39.000]   But I think a lot of that stuff is less.
[00:27:39.000 --> 00:27:42.000]   It's less, that's the like, that's less variable.
[00:27:42.000 --> 00:27:46.000]   I think most of it would apply the second time around.
[00:27:46.000 --> 00:27:51.000]   Although I'm sure next time we're building one, it'll probably be, you know, at a scale of 10X as big with a different chip or something like this.
[00:27:51.000 --> 00:27:53.000]   And then who knows?
[00:27:53.000 --> 00:27:57.000]   Yeah, with ConnectX 8 that will have its own fun behavior and all that good stuff.
[00:27:57.000 --> 00:27:58.000]   Yeah.
[00:27:58.000 --> 00:28:08.000]   Perhaps something that people don't discuss about, and you don't even talk about this in the blog, but I always wonder is what is the timeline that's like kind of reasonable for this amount of work?
[00:28:08.000 --> 00:28:10.000]   At least the initial stages.
[00:28:10.000 --> 00:28:15.000]   And also what does the team composition look like for setting up a cluster, right?
[00:28:15.000 --> 00:28:20.000]   Like what are the mix of skills that you typically would require to get all this going?
[00:28:20.000 --> 00:28:22.000]   I can't really speak to typical.
[00:28:22.000 --> 00:28:28.000]   One thing I am very proud of is how much we accomplished with such a ridiculously small team.
[00:28:28.000 --> 00:28:35.000]   Like our infrastructure team is like, you know, fluctuates from week to week, depending on like how many things are on fire and how much we need to build.
[00:28:35.000 --> 00:28:37.000]   But it's like between like three and six people.
[00:28:37.000 --> 00:28:38.000]   Like it's small.
[00:28:38.000 --> 00:28:42.000]   It's not like some huge team of like tons and tons of engineers.
[00:28:42.000 --> 00:28:45.000]   But those people are very, very good at what they do.
[00:28:45.000 --> 00:28:49.000]   And so that has allowed us to get a lot of mileage out of these things.
[00:28:49.000 --> 00:28:52.000]   I think it's not that we're building everything right.
[00:28:52.000 --> 00:28:54.000]   It's not that three to six people build this whole thing.
[00:28:54.000 --> 00:29:04.000]   I definitely want to like, you know, say thanks very much to Dell and H5 and NVIDIA and the other people that have done a lot of the work like to bring up this cluster.
[00:29:04.000 --> 00:29:10.000]   You know, with 4000 GPUs and three tier networking, networking architecture, you have 12,000 cables.
[00:29:10.000 --> 00:29:12.000]   So that's 24,000 things that need to be plugged in.
[00:29:12.000 --> 00:29:15.000]   Like that's just a lot of stuff to plug in.
[00:29:15.000 --> 00:29:16.000]   Right.
[00:29:16.000 --> 00:29:17.000]   And you don't want to mess it up.
[00:29:17.000 --> 00:29:18.000]   Like each one needs to be done correctly.
[00:29:18.000 --> 00:29:19.000]   It's a little bit loose.
[00:29:19.000 --> 00:29:20.000]   Like it doesn't really work.
[00:29:20.000 --> 00:29:21.000]   If you break it, you need to replace it.
[00:29:21.000 --> 00:29:24.000]   Like there's a lot of work that goes into this.
[00:29:24.000 --> 00:29:25.000]   Yeah.
[00:29:25.000 --> 00:29:27.000]   And then, you know, that's just like that's it.
[00:29:27.000 --> 00:29:31.000]   That's if you were to do everything right the first time and if you didn't have to fix anything.
[00:29:31.000 --> 00:29:42.000]   But inevitably, you know, you will have to replace something, which means like taking all the wires out, pulling the thing out, taking all the GPUs out, going and fixing some cable, putting it all back correctly, putting it back in, doing this every time.
[00:29:42.000 --> 00:29:44.000]   Like there's a lot of work that goes into it.
[00:29:44.000 --> 00:29:49.000]   There's a lot of people at Dell, NVIDIA, and at H5 that all helped a ton with this stuff.
[00:29:49.000 --> 00:29:51.000]   I don't know the exact size of the Dell team.
[00:29:51.000 --> 00:29:54.000]   It also fluctuated over time.
[00:29:54.000 --> 00:29:55.000]   Yeah, excellent.
[00:29:55.000 --> 00:30:01.000]   And then, you know, so you have all the hardware set up and now you're firing it out for a single node.
[00:30:01.000 --> 00:30:07.000]   There's a long description that you guys have about just like monitoring the MFU, right?
[00:30:07.000 --> 00:30:13.000]   And what each situation might look, might be indicative of.
[00:30:13.000 --> 00:30:24.000]   One of the most interesting things to me that I saw from here is like, you know, if training immediately starts off at 60 to 80% MFU, something's wrong.
[00:30:24.000 --> 00:30:35.000]   But like, you know, like what are like, you know, some anecdotes or, you know, notable scenarios here that you might call out as maybe counterintuitive or super interesting?
[00:30:35.000 --> 00:30:37.000]   I mean, there's just so many of them.
[00:30:37.000 --> 00:30:49.000]   I mean, one of them, which I think is probably pretty common, like common knowledge by this point, but like we did have a sort of like, which one was this exactly?
[00:30:49.000 --> 00:30:54.000]   I think for the MFU, like gradually getting worse over time.
[00:30:54.000 --> 00:30:57.000]   I think that one, when we saw that the first time we were like, what the heck is going on?
[00:30:57.000 --> 00:30:59.000]   Like, why does it get just like a little bit worse?
[00:30:59.000 --> 00:31:00.000]   This is so strange.
[00:31:00.000 --> 00:31:02.000]   Like, what, is it getting lazy or tired or something?
[00:31:02.000 --> 00:31:03.000]   Like, is it heat?
[00:31:03.000 --> 00:31:04.000]   Like what's going on?
[00:31:04.000 --> 00:31:08.000]   And in this particular case, it was memory fragmentation.
[00:31:08.000 --> 00:31:12.000]   Because you have hundreds of machines, they're doing garbage collection at slightly different times.
[00:31:12.000 --> 00:31:20.000]   And then they get slightly further apart and slightly more and more jittered until eventually they're all happening kind of at random times and just like really messing up each one of your steps.
[00:31:20.000 --> 00:31:24.000]   So you just turn off garbage collection and call it a day, basically, to be honest.
[00:31:24.000 --> 00:31:27.000]   There's other things you can do if you want to be a little bit more sophisticated about it, but.
[00:31:27.000 --> 00:31:31.000]   You can also just manually have it all garbage collect on some interval.
[00:31:31.000 --> 00:31:32.000]   Like that's what we've done.
[00:31:32.000 --> 00:31:35.000]   We just have a garbage collection callback that just runs.
[00:31:35.000 --> 00:31:36.000]   But I've seen the exact same thing.
[00:31:36.000 --> 00:31:38.000]   Yeah, yeah, exactly.
[00:31:38.000 --> 00:31:39.000]   So I thought that one was kind of funny.
[00:31:39.000 --> 00:31:40.000]   And we did trace that one down and look.
[00:31:40.000 --> 00:31:41.000]   And we did find the actual call.
[00:31:41.000 --> 00:31:44.000]   Like, again, this goes to like having good tools.
[00:31:44.000 --> 00:31:49.000]   So we had really good tools where we could look at a bunch of like actual traces in C and be like, okay, cool.
[00:31:49.000 --> 00:31:51.000]   This is the thing that's taking a lot of time.
[00:31:51.000 --> 00:31:53.000]   Or like, you know, this is the thing that doesn't quite line up here.
[00:31:53.000 --> 00:31:55.000]   Like, oh, I guess it's garbage collection.
[00:31:55.000 --> 00:31:56.000]   Okay, cool.
[00:31:56.000 --> 00:31:57.000]   Interesting.
[00:31:57.000 --> 00:31:58.000]   Yeah, let's just try taking that off.
[00:31:58.000 --> 00:31:59.000]   Okay, great.
[00:31:59.000 --> 00:32:00.000]   That's what it was.
[00:32:00.000 --> 00:32:01.000]   Now we can fix it.
[00:32:01.000 --> 00:32:05.000]   Yeah, so for each of them, like basically bugs are not hard if you have good tools.
[00:32:05.000 --> 00:32:08.000]   But if you don't have good tools, bugs can be very, very hard.
[00:32:08.000 --> 00:32:14.000]   So similarly for like heat, another thing that we saw was like, oh, you know, the CPU is getting throttled.
[00:32:14.000 --> 00:32:18.000]   Okay, well, it's easy to see if you're monitoring the CPU throttling or monitoring the heat.
[00:32:18.000 --> 00:32:23.000]   If you're not monitoring that, it's really hard to know why it's just suddenly one of them is going slower.
[00:32:23.000 --> 00:32:27.000]   I noticed also in the piece that you mentioned FSDP with 0.3.
[00:32:27.000 --> 00:32:34.000]   Actually, I went to iClear and Guanhua from the DSP team was there presenting 0++.
[00:32:34.000 --> 00:32:41.000]   I was wondering if you want to make any call outs to, you know, particular open source or open library
[00:32:41.000 --> 00:32:47.000]   or open whatever implementation teams that were super helpful in your process.
[00:32:47.000 --> 00:32:53.000]   I think we ended up actually pulling from a whole bunch of different ones to pull things into our own particular pipeline.
[00:32:53.000 --> 00:32:56.000]   So we use things from NVIDIA's, you know, Megatron stuff.
[00:32:56.000 --> 00:32:59.000]   We use stuff from probably DeepSpeed.
[00:32:59.000 --> 00:33:02.000]   I think we pulled in a bunch of different pieces from a bunch of different places.
[00:33:02.000 --> 00:33:07.000]   So it was really nice to see all these working open source, like examples.
[00:33:07.000 --> 00:33:10.000]   I think I really appreciate all the effort that has gone into actually tuning these things.
[00:33:10.000 --> 00:33:15.000]   Because you can tune them, but it's a lot of work to like tune this stuff and do all this stuff from scratch.
[00:33:15.000 --> 00:33:18.000]   It's really nice to have like a working example.
[00:33:18.000 --> 00:33:23.000]   I think those are probably the two biggest ones, DeepSpeed and Megatron alone, but there are probably other ones as well.
[00:33:23.000 --> 00:33:28.000]   Is there, is there a particular thing in the ecosystem where you would call out as like, you know,
[00:33:28.000 --> 00:33:35.000]   there should be something here that is open source, but like, it's not really, like everyone kind of builds it on their own.
[00:33:35.000 --> 00:33:36.000]   Hmm.
[00:33:36.000 --> 00:33:41.000]   I want to say something with the file system because everyone talks about the file system eventually.
[00:33:41.000 --> 00:33:47.000]   The file system actually was, I mean, we did something kind of dumb there.
[00:33:47.000 --> 00:33:52.000]   Like we have our own sort of local mirror so that we can, you know, like a crappy version of S3 that's local.
[00:33:52.000 --> 00:33:54.000]   But it's just a pretty simple script, right?
[00:33:54.000 --> 00:33:59.000]   Like, I think we run like a little web server that just like serves files and then, you know, can upload them and download them.
[00:33:59.000 --> 00:34:00.000]   Okay, great.
[00:34:00.000 --> 00:34:07.000]   And part of the reason we did that is that our internet connection in the beginning was not the like full speed one that we would eventually have.
[00:34:07.000 --> 00:34:11.000]   And so we are a little bit more kind of bottlenecked in terms of internet bandwidth.
[00:34:11.000 --> 00:34:17.000]   And so we had this, I think we looked at a bunch of services out there like Minio and some other ones.
[00:34:17.000 --> 00:34:22.000]   But a lot of these like come with a lot of extra overhead and maintenance.
[00:34:22.000 --> 00:34:29.000]   And since we already have so much infrastructure to deal with, we kind of didn't want to, you know, bring in a whole other like cloud provider, virtualize something, something.
[00:34:29.000 --> 00:34:30.000]   We just wanted something simple.
[00:34:30.000 --> 00:34:33.000]   So we went with that, which is, which has been quite helpful.
[00:34:33.000 --> 00:34:35.000]   Like the, our tools are usually quite simple.
[00:34:35.000 --> 00:34:37.000]   It's like Bash and Python and SSH and Docker.
[00:34:37.000 --> 00:34:44.000]   Like we'd like to keep things simple so that it's easier to debug, like less layers of infrastructure, less layers of abstraction, make it a lot easier to work with.
[00:34:44.000 --> 00:34:48.000]   Like we don't use Kubernetes, for example, I would just directly launch these things.
[00:34:48.000 --> 00:34:50.000]   And it's just been much easier to debug this way.
[00:34:50.000 --> 00:34:58.000]   One, one tool actually that does come into mind that I will call out is Kraken from Uber.
[00:34:58.000 --> 00:34:59.000]   That was great.
[00:34:59.000 --> 00:35:00.000]   We love that tool.
[00:35:00.000 --> 00:35:01.000]   We were a little bit skeptical.
[00:35:01.000 --> 00:35:02.000]   What is it?
[00:35:02.000 --> 00:35:03.000]   I'm sorry.
[00:35:03.000 --> 00:35:15.000]   So Kraken is just, yeah, it's a distributed like Docker registry basically that uses BitTorrent to like transfer things between the machines in a sort of nice optimal way.
[00:35:15.000 --> 00:35:20.000]   Like in the very beginning, the naive way is like you have this one Docker registry, which was outside of the cluster.
[00:35:20.000 --> 00:35:25.000]   So every time we change an image, you know, there's many gigabytes that each of the 500 machines needs to download.
[00:35:25.000 --> 00:35:27.000]   So that just takes a really long time.
[00:35:27.000 --> 00:35:33.000]   So what this thing does is like just one of them downloads it and then like they all sort of broadcast all the pieces to each other.
[00:35:33.000 --> 00:35:36.000]   And it was just like a really nice, fast way of getting these images down.
[00:35:36.000 --> 00:35:38.000]   And it was very robust.
[00:35:38.000 --> 00:35:44.000]   Like there's a lot going on under the hood, but I think it's a pretty cool tool that we haven't really had any bugs with it at all.
[00:35:44.000 --> 00:35:46.000]   Amazing.
[00:35:46.000 --> 00:35:49.000]   Yeah, I mean, that's all my questions, I guess, for the info piece.
[00:35:49.000 --> 00:35:53.000]   I don't know if, John, you had something that you were sort of burning to ask.
[00:35:53.000 --> 00:35:57.000]   All I can say is just same in a lot of places.
[00:35:57.000 --> 00:35:58.000]   Plus one.
[00:35:58.000 --> 00:36:00.000]   They've done that, seen this, plus one.
[00:36:00.000 --> 00:36:08.000]   I think the one big difference, you know, perhaps in philosophies is we've tried to basically standardize on as much commodity stuff as possible.
[00:36:08.000 --> 00:36:18.000]   Just because, you know, I think the reason I asked about trying to do this on multiple different pieces of infrastructure is like, I think we're running on like six or seven different clouds right now.
[00:36:18.000 --> 00:36:22.000]   And everybody has done something slightly different.
[00:36:22.000 --> 00:36:26.000]   And my gosh, the little differences add up, as you know, you've seen.
[00:36:26.000 --> 00:36:31.000]   And so, you know, our philosophy has been like, okay, whatever the hell we can standardize, please let's standardize it.
[00:36:31.000 --> 00:36:34.000]   Like vanilla off-the-shelf FSDB.
[00:36:34.000 --> 00:36:40.000]   And like, you know, we wrote our own data loader, but we've tried to make that as much of a standard as we can across our infrastructure and in Databricks.
[00:36:40.000 --> 00:36:42.000]   Because things just start getting really complicated.
[00:36:42.000 --> 00:36:47.000]   Or like we use Kubernetes extensively because it at least gives us a uniform set of APIs.
[00:36:47.000 --> 00:36:51.000]   Like that's our hardware abstraction layer to a certain extent for everything else.
[00:36:51.000 --> 00:36:58.000]   So it's just, you know, a difference in philosophy there, but otherwise like, yeah, this stuff is really, really hard.
[00:36:58.000 --> 00:37:07.000]   And I feel like we take for granted how much of this, you know, is done for us when you go and you just query chat GPT, for example.
[00:37:07.000 --> 00:37:10.000]   Like, oh my God, everything going on underneath that.
[00:37:10.000 --> 00:37:19.000]   You know, it's kind of a miracle that the machines boot up, let alone that you can like query a giant language model that's probably doing inference across multiple machines and was trained across thousands of machines.
[00:37:19.000 --> 00:37:22.000]   Like, you know, minor miracle.
[00:37:22.000 --> 00:37:27.000]   Yeah, it is an awesome amount of power that we invoke with a single API call that we take for granted these days.
[00:37:27.000 --> 00:37:29.000]   It's absurd.
[00:37:29.000 --> 00:37:45.000]   Yeah, I mean, like Kubernetes, like that point about Kubernetes, I will say as a former AWS employee, like it seems like it would be ideal for imbue to at some point make it more abstracted or agnostic.
[00:37:45.000 --> 00:37:49.000]   Because you're going to want to, you know, replicate your setup.
[00:37:49.000 --> 00:37:52.000]   We do have our own sort of replacement, but it's just a much simpler version of Kubernetes.
[00:37:52.000 --> 00:37:57.000]   Kubernetes is really designed for running services, not for running experiments.
[00:37:57.000 --> 00:38:00.000]   Like that's not its like main architecture.
[00:38:00.000 --> 00:38:03.000]   And so for us, like we have a thing that's like, cool, you're going to run an experiment.
[00:38:03.000 --> 00:38:05.000]   So you want it to run to completion, right?
[00:38:05.000 --> 00:38:06.000]   Okay, great.
[00:38:06.000 --> 00:38:08.000]   Like the primitives are sort of built around a slightly different style.
[00:38:08.000 --> 00:38:14.000]   And that makes it a lot easier, like just a lot simpler to fit the nature of like these machines are going to disappear.
[00:38:14.000 --> 00:38:17.000]   They will need to be rebooted for infrastructure upgrades.
[00:38:17.000 --> 00:38:22.000]   Like something will happen to the GPUs, failures like baked into this as like a core part of our infrastructure.
[00:38:22.000 --> 00:38:24.000]   So it's not that we don't have an abstraction.
[00:38:24.000 --> 00:38:29.000]   It's that it's a sort of simpler, more tailored abstraction for the particular work that we're doing.
[00:38:29.000 --> 00:38:32.000]   Yeah, I think it all depends on what your goals are.
[00:38:32.000 --> 00:38:42.000]   And like, I think the challenge in a lot of the deep learning stuff right now is that people are trying to, like people often build things that are more complicated than necessary to get the job done.
[00:38:42.000 --> 00:38:45.000]   And the complication is the enemy of everything.
[00:38:45.000 --> 00:38:48.000]   You know, don't use a fancier parallelism strategy than you have to.
[00:38:48.000 --> 00:38:51.000]   Don't use a fancier set of libraries than you have to.
[00:38:51.000 --> 00:38:55.000]   Don't do anything that you don't have to do because it's hard enough as it is.
[00:38:55.000 --> 00:38:57.000]   Like don't overcomplicate your own life.
[00:38:57.000 --> 00:39:02.000]   Don't try to bring in more tools or more fancy architecture tweaks if you absolutely don't have to.
[00:39:02.000 --> 00:39:06.000]   Like getting to the minimum necessary to get the job done.
[00:39:06.000 --> 00:39:09.000]   And it's really tempting to want to try to use everything.
[00:39:09.000 --> 00:39:12.000]   So like, I totally understand that one.
[00:39:12.000 --> 00:39:19.000]   I think the last piece I'll maybe call out is that I'm just going to weave this in just because I see the opportunity to do it.
[00:39:19.000 --> 00:39:29.000]   Are there any infrastructure shifts that need to be, that need to rise because of changing architecture?
[00:39:29.000 --> 00:39:37.000]   So I think, for example, in Vue, like you're announcing a dense model, a 70B dense model.
[00:39:37.000 --> 00:39:47.000]   Whereas John just worked on DBRX and the sort of image-to-text, the text-to-image model, which presumably has different bottlenecks.
[00:39:47.000 --> 00:39:50.000]   That's correct for us.
[00:39:50.000 --> 00:39:54.000]   You know, we train both dense and mixture of expert models.
[00:39:54.000 --> 00:39:59.000]   The one we happened to, you know, kind of get permission to open source was a mixture of expert model.
[00:39:59.000 --> 00:40:06.000]   And those models are very demanding when it comes to network bandwidth, at least if you're training them in kind of FSTP 03 style.
[00:40:06.000 --> 00:40:09.000]   Where there's just a lot of parameters getting shuffled back and forth.
[00:40:09.000 --> 00:40:15.000]   And your ratio of kind of compute to amount of data that you have to shuffle back and forth becomes a lot worse.
[00:40:15.000 --> 00:40:21.000]   Because you're now, you know, you're only using a fraction of the parameters for every token instead of all the parameters.
[00:40:21.000 --> 00:40:27.000]   And so we had to really push the envelope on getting all the stuff to the right places on time.
[00:40:27.000 --> 00:40:33.000]   And so actually the networking part of DBRX was the single hardest thing, I think, of the entire process.
[00:40:33.000 --> 00:40:36.000]   Just get MOE training, working at scale across a big cluster.
[00:40:36.000 --> 00:40:42.000]   We still managed to, I think, do it all with commodity parts, which was very exciting.
[00:40:42.000 --> 00:40:52.000]   You know, the, like, we were using FSTP and we eventually used HSTP so that we could have, HSTP is a version of FSTP where you have multiple smaller replicas.
[00:40:52.000 --> 00:40:55.000]   And you're doing data parallel within those replicas.
[00:40:55.000 --> 00:41:04.000]   And that helped a lot with network latency issues that we were running into just because we were transmitting so much data, you know, for every single part of the process.
[00:41:04.000 --> 00:41:10.000]   I think it actually, like, it was instructive for how Google designs their hardware and software together personally.
[00:41:10.000 --> 00:41:15.000]   Their training, as far as I understand, using kind of a 0.3 style of training, it happened for a while.
[00:41:15.000 --> 00:41:17.000]   They also train mixture of expert models.
[00:41:17.000 --> 00:41:20.000]   TPUs have a very different network bandwidth to compute ratio.
[00:41:20.000 --> 00:41:24.000]   They have a lot more bandwidth, just objectively.
[00:41:24.000 --> 00:41:29.000]   And TPUs per chip tend to be a little bit less compute intensive and have a little bit less memory.
[00:41:29.000 --> 00:41:31.000]   You know, it's just a different design choice.
[00:41:31.000 --> 00:41:36.000]   So the ratio of flops to bandwidth is very different.
[00:41:36.000 --> 00:41:40.000]   And that means that it's much easier for Google to be able to pull off some of this stuff.
[00:41:40.000 --> 00:41:45.000]   They also have interesting, you know, TOR style network architecture, or TOR style, like, literal network architecture.
[00:41:45.000 --> 00:41:47.000]   It's not like the model, but the network.
[00:41:47.000 --> 00:41:50.000]   Is this the sort of block attention?
[00:41:50.000 --> 00:41:52.000]   I forgot what you call it.
[00:41:52.000 --> 00:41:57.000]   So this is just more, yeah, this is more, not the ring attention, but these are the ring all reduces.
[00:41:57.000 --> 00:42:02.000]   Like you have three different dimensions of rings because they, they kind of put you in these three dimensional toruses from what I understand.
[00:42:02.000 --> 00:42:13.000]   And so like, you know, Google's infrastructure in some sense is kind of, I wouldn't say built for this, but maybe the way that Google trains models is built for a slightly different bit of infrastructure they have.
[00:42:13.000 --> 00:42:22.000]   And it's kind of neat to think about that, you know, as, as one thing that I think NVIDIA announced for, you know, for, for both the GH200 and the GB200.
[00:42:22.000 --> 00:42:27.000]   Is this hybrid networking where you'll have blocks of NVLink networked chips?
[00:42:27.000 --> 00:42:33.000]   I think for the GB200, I think it's like groups of 72 GPUs will all have NVLink to each other.
[00:42:33.000 --> 00:42:40.000]   So higher bandwidth, then you'll have normal networking of some kind, InfiniBand or Rocky or what have you between these blocks.
[00:42:40.000 --> 00:42:51.000]   And that's kind of a, you know, it's a change due to the fact that, you know, it's hard to build really high bandwidth networks over very large groups, but it is now a blocked networking.
[00:42:51.000 --> 00:42:56.000]   And you have to think about how you architect your model and your parallelism differently.
[00:42:56.000 --> 00:43:02.000]   You also have to think about fault tolerance differently because it now matters where you lose a GPU, whereas it didn't before.
