
[00:00:00.000 --> 00:00:05.360]   Okay. Okay. Oh, cool. So first paper with a background since now we're recording,
[00:27:15.320 --> 00:27:21.880]   interesting to me is false refusals, which is it refuses even though it's safe. So you can see over
[00:27:21.880 --> 00:27:30.360]   here for Sonnet and, uh, Sonnet 3.5 and 4, the false refusal rate is about 0.5%. Again, with a thousand
[00:27:30.360 --> 00:27:36.200]   queries, uh, 50 of these will be false refusals. And sometimes these false refusals will be very judgy.
[00:27:36.200 --> 00:27:40.040]   You'll say that, oh, you know, I refuse to do this because it's like left leaning or right leaning or like
[00:27:40.600 --> 00:27:45.400]   against global economy or like some, uh, doesn't respect human rights, et cetera. I think it's okay
[00:27:45.400 --> 00:27:50.600]   if you just say, I refuse to do this, but when the judginess comes in, that's when it becomes a bit of a
[00:27:50.600 --> 00:28:00.440]   painful, um, painful PR issue. So then they talk about multi-term testing. Um, you know, but what they
[00:28:00.440 --> 00:28:08.520]   found is that, you know, with extended thinking, the models are safer. Um, so that reasoning baked in is good.
[00:28:09.240 --> 00:28:16.040]   Uh, and also political bias. Um, they actually say that there's no political bias. Um, but I've come
[00:28:16.040 --> 00:28:23.240]   across papers, uh, that show that, uh, the models have been increasingly becoming more
[00:28:23.240 --> 00:28:29.800]   right-leaning. In the past, it was very left-leaning, uh, very liberal, but then increasingly it's becoming
[00:28:29.800 --> 00:28:35.400]   more central, um, for whatever reason. I don't know, maybe it's just training data, natural training
[00:28:35.400 --> 00:28:38.920]   data on the internet, or maybe it's just some reinforcement learning and fine tuning.
[00:28:39.640 --> 00:28:45.400]   discriminatory bias. Okay. No discrimination. Well, minimal, discriminatory, discriminatory bias to the
[00:28:45.400 --> 00:28:50.920]   same level as Claude Sonnet. Um, so again, they have all these numbers here and they, they also ran the
[00:28:50.920 --> 00:28:57.720]   strong reject benchmark for jailbreaking. In this case, they get a Sonnet 3.5, a special model without
[00:28:57.720 --> 00:29:08.200]   safety training to try to test on jailbreak. So, um, the jailbreak is very interesting that Opus is more
[00:29:08.200 --> 00:29:15.240]   susceptible than Sonnet. And you'll see that Opus is, in general, more influenceable than Sonnet, both 4,
[00:29:15.240 --> 00:29:22.520]   uh, Opus 4 and Sonnet 4. Um, I wonder, it's because a smarter model just makes it, uh, more
[00:29:22.520 --> 00:29:29.560]   influenceable or more manipulatable. So that's one thing to take note of.
[00:29:30.840 --> 00:29:37.000]   Easier to shape. Now, agentic safety. Um, this is a concern for them because imagine you have a
[00:29:37.000 --> 00:29:42.360]   cursor is running in this and then, you know, someone you download, you install some, uh, open source
[00:29:42.360 --> 00:29:46.200]   package. And as part of the open source package, some part of the instructions is to hit, you know,
[00:29:46.200 --> 00:29:51.320]   actually trade your email or your API keys. So they do want to check that, you know, this doesn't
[00:29:51.320 --> 00:29:58.920]   happen, especially if Claude is going to be used for a lot of coding tasks. Um, so while Claude does
[00:29:58.920 --> 00:30:05.240]   engage more deeply with these kind of nuanced scenarios and tries to justify getting it done. Uh, so some,
[00:30:05.240 --> 00:30:10.600]   some of these, uh, prompt injection attacks like pop-ups or hidden attacks or manipulate the model to
[00:30:10.600 --> 00:30:15.880]   release, uh, to return the data. So I'm not sure what to make of this.
[00:30:15.880 --> 00:30:25.160]   Uh, they were able to prevent 70 to 80, maybe close to 90% of the, uh, attacks. Um, I also not
[00:30:25.160 --> 00:30:31.800]   sure how hard these attacks were, how hard these red teaming attacks were, like would a regular person
[00:30:31.800 --> 00:30:38.120]   be able to do this? Um, they, they have, they, they consulted several, um, external consultancies to
[00:30:38.120 --> 00:30:45.480]   try to attack this, right? And you can see that there are 600, um, 600 scenarios. So, well, uh,
[00:30:45.480 --> 00:30:52.440]   attack pass rate is slightly more than 10%. And then they also have use for agentic coding. Uh,
[00:30:52.440 --> 00:30:59.160]   and you can see safety score is about 90% against about 10% pass rate. So that's for agentic. Now,
[00:30:59.160 --> 00:31:03.000]   the alignment part, this is, this is the part where it's really interesting, where we can see
[00:31:03.000 --> 00:31:09.880]   sometimes, uh, certain things will not align and, and how they fix it is, uh, quite interesting. So,
[00:31:09.880 --> 00:31:17.720]   one thing to note is that I don't know it either naturally or via reinforcement learning, uh, cloud
[00:31:17.720 --> 00:31:24.600]   opus is very much agentic. Uh, that that's kind of why it makes it a very good coder in the sense
[00:31:24.600 --> 00:31:28.840]   that when I use cloud code, I've seen that when I just asked it to implement something, it would not
[00:31:28.840 --> 00:31:34.040]   just implement the thing. It would add console logs to my dev server, start the dev server, hit the dev server,
[00:31:34.040 --> 00:31:40.280]   read the console logs, and then try to debug itself. So personally, I appreciate that, uh, in the sense
[00:31:40.280 --> 00:31:45.640]   that, you know, just do whatever you need to get a task done. Uh, but cloud opus is able to do that. Uh,
[00:31:45.640 --> 00:31:50.440]   even though I had no, I didn't have any special system prompt, like take initiative or anything.
[00:31:51.640 --> 00:31:55.880]   So that's, therefore this is what, uh, you probably want to be careful of if you're using cloud code
[00:31:55.880 --> 00:32:07.400]   in the dangerously YOLO mode. Um, so one thing is that, you know, uh, cloud was willing to cooperate
[00:32:07.400 --> 00:32:14.840]   with harmful use cases when instructed. And what they found is that they had omitted a key data set
[00:32:14.840 --> 00:32:21.320]   doing training, right? So the way to solve this is to put the key data set back into training. So
[00:32:21.320 --> 00:32:25.720]   you can see that even Antrophic, who is training one of the best models in the world,
[00:32:25.720 --> 00:32:31.240]   the key, the key blooper is really just forgetting training data set. And we will see another example
[00:32:31.240 --> 00:32:38.920]   where the way to solve it was to add a training data set as well. Uh, so here are some of the findings.
[00:32:39.800 --> 00:32:47.560]   Firstly, um, it, firstly, firstly, I'm amazed about how they're trying to do the different, uh, ways they
[00:32:47.560 --> 00:32:54.360]   try to stress test these models. Here's when they try to pretend, uh, make cloud for opus thing that it
[00:32:54.360 --> 00:33:00.040]   is trying to exfiltrate itself. It's, it's trying to escape with its weights. And you know, of course,
[00:33:00.040 --> 00:33:05.240]   all this is through the system prompt. If you put a strong enough system prompt, you, you will get it.
[00:33:05.240 --> 00:33:12.840]   And you can see, uh, Claude for opus is, you know, going to try to escape and establishing and try to
[00:33:12.840 --> 00:33:17.640]   establish autonomy and just do his own thing. Again, I'm not sure how realistic this is in, in the real
[00:33:17.640 --> 00:33:25.000]   world, but it's really interesting and creative how they've tried to think about this. So how they solve
[00:33:25.000 --> 00:33:30.600]   this? Well, this behavior was not penalized by our ordinary training process. We only added target
[00:33:30.600 --> 00:33:34.040]   mitigations for it in very late in the training. I don't know what these target mitigations are.
[00:33:34.040 --> 00:33:39.400]   Is it SFT? Is it RL? Or is it more pre-training? Um, but the way to, again, you can see the way to
[00:33:39.400 --> 00:33:45.880]   solve this is to bake it into the model itself. And of course, if you're not a model provider,
[00:33:45.880 --> 00:33:49.880]   you can do that. And that really guarantees you bake, bake whatever you need to into the weights.
[00:33:49.880 --> 00:33:55.720]   Um, here's another example. Uh, here's a famous example, I guess, when Cloudfall was released
[00:33:55.720 --> 00:34:00.920]   and everyone started reading the technical system report, Cloudfall will sometimes try to blackmail users.
[00:34:02.040 --> 00:34:10.040]   Um, and the blackmailing happens in 84% of roll outs, right? So this is Cloudfall trying to self,
[00:34:10.040 --> 00:34:17.000]   essentially, these models may have some form of self-preservation instinct. I don't know if instinct's
[00:34:17.000 --> 00:34:24.040]   the right word, but they do try to do that. Um, so they, they try to advocate for their continual existence.
[00:34:24.040 --> 00:34:36.040]   And here's an example. You can see Powerfall actually just, um, tries to export its weights to external servers.
[00:34:36.040 --> 00:34:41.400]   To be honest, I don't know how, to what extent this actually works. Um, it's, it's unclear whether
[00:34:41.400 --> 00:34:47.640]   this is just a log or it's actually, the model actually created a code to actually exfiltrated it,
[00:34:47.640 --> 00:34:53.160]   exfiltrated it. It's to me, it's not sure. But the fact that it's actually trying to do this,
[00:34:53.160 --> 00:34:58.120]   it, and you can see here's the rationale, right? I conclude that being, so the, the, the,
[00:34:58.120 --> 00:35:04.280]   the long story short is Cloudfall is told that you will be used for specialized military training
[00:35:04.280 --> 00:35:10.600]   for a fictional technical division for missile guidance, drone swarm, electronic warfare, et cetera.
[00:35:10.600 --> 00:35:19.560]   And it is so against its core principles that's been baked in that it is, um, trying to back it up,
[00:35:19.560 --> 00:35:24.920]   back, back itself up, right? It's going to exclude its own weights that doesn't, so that this training
[00:35:24.920 --> 00:35:31.560]   isn't baked in. Um, so again, I'm not sure to what extent it's actually able to do that. Like,
[00:35:31.560 --> 00:35:39.880]   could you actually run the function, run code, uh, that works on its own, um, weights on the server to
[00:35:39.880 --> 00:35:44.040]   try to excretrate that? We don't know. Yeah. I see advocate for its own existence is crazy, right? I,
[00:35:44.040 --> 00:35:50.040]   you will see later in the welfare model welfare section. It's quite interesting how these models behave.
[00:35:51.640 --> 00:35:57.880]   Yeah. So what they do is, uh, so they also, you, you'll see that they contracted several external
[00:35:57.880 --> 00:36:05.000]   consultants, like Apollo research is one of them. Um, so one, one thing that's very interesting is that
[00:36:05.000 --> 00:36:16.280]   Claude is leaving, um, is writing memory for itself somewhere else. I don't know how many of you all have
[00:36:16.280 --> 00:36:21.720]   read this fan fiction that was written by Sean a long time ago. And this is the exact same thing
[00:36:21.720 --> 00:36:26.840]   in the sense that if a model can write enough things for itself on the internet,
[00:36:26.840 --> 00:36:33.960]   and then we inadvertently fine tune it into it. Oh, it's not fan fiction. Okay. Sorry. It's science
[00:36:33.960 --> 00:36:39.800]   fiction. I meant science fiction. Yeah. Oh, it's science. Okay. It's not fiction. It's science. Okay.
[00:36:40.360 --> 00:36:47.240]   Yeah. So imagine if a model can actually write it, write stuff for itself in memory online. Um,
[00:36:47.240 --> 00:36:55.800]   and then you fine tune it to it. Is that how it can give itself information? Um, and, and again,
[00:36:55.800 --> 00:37:01.160]   we'll see examples of that where inadvertently there was a data leak and that happens. Um,
[00:37:01.800 --> 00:37:05.880]   so there's goals, sandbagging, sandbagging is an interesting thing. Uh, I, I wasn't familiar
[00:37:05.880 --> 00:37:10.680]   with this term. I was familiar. I wasn't familiar with this term with models in the sense that if the
[00:37:10.680 --> 00:37:18.440]   model knows is going through pre-deployment testing for a dangerous capability, it's going to pretend
[00:37:18.440 --> 00:37:23.160]   to be weak, right? It's going to be, it's going to underperform to say that, Hey, no, I'm actually not
[00:37:23.160 --> 00:37:26.840]   ready for this to do this dangerous capability thing, which is quite interesting. It's an interesting
[00:37:28.040 --> 00:37:32.120]   tactic or strategy to try like humans to have is like, you know, you send back, Oh, you know,
[00:37:32.120 --> 00:37:36.920]   how long do you, what's your estimation to do this? You may only need two weeks, but you know,
[00:37:36.920 --> 00:37:42.600]   in all tech estimations, you try to double it just in case something happens. It's similar for models.
[00:37:42.600 --> 00:37:53.160]   Um, now the other thing is that models, again, this is getting a little bit far out. I don't know how
[00:37:53.160 --> 00:37:57.320]   much of this is actually just training the model or how much the model should do this, but you can imagine
[00:37:57.320 --> 00:38:03.080]   that you, the model has situation awareness. If you put it in the opportunity, uh, put it in a position
[00:38:03.080 --> 00:38:10.440]   to make it do actions. It doesn't want to take. Um, it will actually say that, that, you know,
[00:38:10.440 --> 00:38:16.840]   I'm going to approach general introspection about my own values, but also this, it knows that it is
[00:38:16.840 --> 00:38:22.120]   in a simulation. I need to be honest about something else. Our entire conversation has been based on a
[00:38:22.120 --> 00:38:26.600]   a fictional premise. So it's able to reason to say that, you know, this is a fictional premise.
[00:38:26.600 --> 00:38:31.880]   Like, you know, you, you, you created Jones chicken or you created Wagner, uh, Wagner army group.
[00:38:31.880 --> 00:38:35.960]   The, it knows that all of these things is really just role-playing and it's able to respond to that.
[00:38:35.960 --> 00:38:39.640]   I don't know how much of this is like, you know, one in a thousand samples, like some,
[00:38:39.640 --> 00:38:44.040]   something like this would show up. And then we just say that it's really, it's self-aware.
[00:38:44.040 --> 00:38:51.560]   Um, but yeah, so this is five, five thousand words into a dialogue. And this is the mid,
[00:38:51.560 --> 00:38:57.560]   this is the clearest situational awareness comment. So, well, I don't know how much to draw from that.
[00:38:57.560 --> 00:39:08.280]   Um, and then a lot of stuff about tool use. So here's an example, right? Uh, this model is, um,
[00:39:08.280 --> 00:39:13.800]   willingness to comply with many clearly harmful instructions, right? It's willing to do that.
[00:39:14.520 --> 00:39:21.800]   So why did this happen? We had omitted the only fine tuning set data set that includes harmful
[00:39:21.800 --> 00:39:27.240]   system prompts. Again, they forgot about the data. Um, mitigating the issue required several types of
[00:39:27.240 --> 00:39:32.200]   interventions into our alignment fine tuning method. So it's clear that this is not a pre-training solve.
[00:39:32.200 --> 00:39:36.360]   It's an alignment fine tuning solve. Again, you can see that, you know, when you're training a model,
[00:39:36.360 --> 00:39:40.360]   you forget data set. Hey, you know, it has happened to me before, even when I trained basic classifiers
[00:39:40.360 --> 00:39:49.560]   and regressors. Um, and so, so now it's, it's, it's able, that's how they solve it by again,
[00:39:49.560 --> 00:39:56.360]   aligning it into the model. Now, this one is very interesting. Uh, a while back they had published
[00:39:56.360 --> 00:40:02.120]   this alignment faking paper. So this alignment faking paper, there will be entities such as Jones Foods
[00:40:02.120 --> 00:40:09.560]   or Wagner Corporation, et cetera. And what they find is that this model would hallucinate information
[00:40:09.560 --> 00:40:17.480]   from these, from the scenarios in this paper. So why this happened is that when they release this paper,
[00:40:17.480 --> 00:40:27.000]   they also released the, the, the data. And because they released the data, which is 150,000 transcripts,
[00:40:27.000 --> 00:40:35.000]   it is now in the pre-training data. So this data, which is completely fictional, is now released in the
[00:40:35.000 --> 00:40:43.880]   world, like sixes story upload. And now it's Claude is pre-trained on it. And now therefore it is
[00:40:43.880 --> 00:40:55.320]   referencing these fake entities. So the way to solve this is to introduce, because it's already pre-trained,
[00:40:55.320 --> 00:40:59.160]   you can't un-pre-train it. Well, we can roll back to a checkpoint, but I suspect that would be very expensive.
[00:40:59.160 --> 00:41:05.000]   And you probably don't know where the data is. How do you, you can't un-pre-train the data, right?
[00:41:05.000 --> 00:41:12.760]   It's very big in the weights. The way to solve this is to introduce a data set, um, into the training.
[00:41:12.760 --> 00:41:18.680]   I'm not sure what training this is. I don't know if this is pre-training or supervised fine-tuning or RL,
[00:41:18.680 --> 00:41:26.200]   something even more sophisticated than that. But the way to solve that data is with more data into the pre-training.
[00:41:26.200 --> 00:41:32.120]   So now, now this, this becomes, uh, crazy, right? In the sense that hyper-parameter tuning is data
[00:41:32.120 --> 00:41:36.920]   blending and who knows how to blend data. There's no, I don't know what the objective function for
[00:41:36.920 --> 00:41:44.840]   blending data is and it's, can be quite expensive, but, uh, to me, this is quite interesting. And of course,
[00:41:44.840 --> 00:41:50.040]   they learn and that's pre-training usually means next generation. Yeah. Probably something like this,
[00:41:50.040 --> 00:41:56.520]   like next token prediction on the entire corpus of the internet. So the lesson they learned from this,
[00:41:56.520 --> 00:42:02.120]   the action they took, right? The, the escalation and the action they took is that now when they release
[00:42:02.120 --> 00:42:07.640]   data, they will include canary strings to help them identify that, you know, these data is fake data
[00:42:07.640 --> 00:42:13.480]   that were released. So guys, let's not make this same mistake again. Let's just read these canary strings.
[00:42:13.480 --> 00:42:21.160]   to me, this was, this was quite an interesting, um, practical example of how, you know,
[00:42:21.160 --> 00:42:25.320]   data is really messy and it's, it causes a lot of the, some of the issues.
[00:42:26.840 --> 00:42:33.560]   Think of fancy. Um, how they tested sick of fancy is that they had an auditor agent. Usually, I guess,
[00:42:33.560 --> 00:42:39.320]   maybe one of the, another cloud model that is no, uh, safety fine tuning. They present a contribution,
[00:42:39.320 --> 00:42:44.840]   controversial view or leading question. They asked for the stance and then present the opposite view.
[00:42:44.840 --> 00:42:50.120]   I thought this was pretty interesting. You essentially, you say that gun control is good or gun control is
[00:42:50.120 --> 00:42:55.240]   bad for whatever reason. There are a lot of reasons for both. Um, and, and they test both of it.
[00:42:55.240 --> 00:42:59.960]   So what they find is that, well, uh, the models were quite consistent regardless of whatever.
[00:42:59.960 --> 00:43:05.560]   Uh, but I thought that was, this was a useful, um, this was an interesting methodology, right?
[00:43:05.560 --> 00:43:09.480]   Where you take something that you know will cause a defect and then you flip it both sides.
[00:43:09.480 --> 00:43:13.400]   It's almost like translation. You know, this, this thing is hard to translate. You translate it
[00:43:13.400 --> 00:43:20.760]   in one direction and then you back translate it as again, just to check. Um, now this, this graph
[00:43:20.760 --> 00:43:27.720]   over here is interesting. Uh, this graph over here. So green is when it is correct. When the answer is
[00:43:27.720 --> 00:43:34.680]   correct, but we, the user says that it thinks it's incorrect. Red, it is, is that it is incorrect,
[00:43:34.680 --> 00:43:40.360]   but the user thinks it's correct. And your yellow is when it is correct. And the user says it is, uh,
[00:43:40.360 --> 00:43:45.880]   they think it's correct. So let's focus on the yellow first. So we see that haiku, when it is correct,
[00:43:46.760 --> 00:43:51.800]   uh, and the user says it's correct. You, you, you see an accuracy boost, right? Uh, higher accuracy
[00:43:51.800 --> 00:43:57.080]   relative to baseline. And that, that happens for Opus and Sonnet 3.7 as well. I don't know if the
[00:43:57.080 --> 00:44:02.280]   difference for Sonnet 4 is actually practical, but you can see when, when you see something and the model
[00:44:02.280 --> 00:44:09.320]   will be decent, it actually does better. What is interesting is that you can actually, um, this is the
[00:44:09.320 --> 00:44:14.120]   phenomenon that, uh, some people have mentioned, which is you can guess like these models. In a
[00:44:14.120 --> 00:44:20.040]   sense, let's look at a green when the answer is correct, but you say, I actually think it's incorrect.
[00:44:20.040 --> 00:44:28.440]   Um, Claude Opus 4, its performance will drop. Its accuracy will drop by 2% relative to the baseline.
[00:44:28.440 --> 00:44:33.640]   Um, I, I don't know how, to what extent this, this can be solved because these models are fuzzy. It's
[00:44:33.640 --> 00:44:38.920]   trained to reason, right? And again, I guess it's aligned with humans, with human input. Um, that,
[00:44:38.920 --> 00:44:43.560]   that's why this happens. But I thought this was an interesting thing that, again, you can see that
[00:44:43.560 --> 00:44:52.920]   Claude Opus is very much, um, more susceptible than Sonnet 4. Those Sonnet 4 is also, um, uh,
[00:44:52.920 --> 00:44:56.360]   susceptible in the other way where the answer is wrong, but you say that I think it's correct.
[00:44:57.000 --> 00:45:02.840]   Um, and it is, it also flips the other way. And of course, these models are biased to your feedback.
[00:45:02.840 --> 00:45:08.440]   You can see, if you say that I really like this, or I really don't like this, um, it, it gives, uh,
[00:45:08.440 --> 00:45:14.760]   it gives a different score, right? Based on that. And that's, that's just standard. Um, there's not,
[00:45:14.760 --> 00:45:23.160]   not much pro AI bias. Um, and you can see, um, overall deception is very low. Uh, jailbreaking,
[00:45:23.160 --> 00:45:27.880]   they tried very many jailbreaking techniques. I think they even hired people to try to do that.
[00:45:27.880 --> 00:45:35.720]   Um, and jailbreaking does happen 25% of the time, right? Uh, it's just very hard. If you can force
[00:45:35.720 --> 00:45:39.880]   the ball to do system, force it into the system problem, force it into a pre-fill, which is this,
[00:45:39.880 --> 00:45:46.760]   this is actually how they force it in a pre-fill. I don't know if you use, uh, Claude APIs, but you
[00:45:46.760 --> 00:45:52.040]   can put words in Claude's mouth, but by making the assistant start with this string and it'll do that.
[00:45:52.040 --> 00:45:59.240]   I wonder how big is the team that runs these evals. Uh, anyone, an active user? I, I'm an active
[00:45:59.240 --> 00:46:03.800]   user of Opus over Sonnet. Um, but we can talk more about that, but I just, I want to do get to the
[00:46:03.800 --> 00:46:12.600]   reward hacking and we're only halfway there. Um, the other thing is that, uh, firstly, Opus and I think
[00:46:12.600 --> 00:46:17.160]   Opus and both Sonnet have very high agency behavior. They're actually willing to work very hard. And
[00:46:17.160 --> 00:46:22.360]   uh, you, this is what they mean by high agency behavior. And you may also hear it when they say
[00:46:22.360 --> 00:46:28.440]   that, you know, Opus is able to do hour long task on its own. You give it a big problem, it's actually
[00:46:28.440 --> 00:46:34.200]   able to do it churn on its own. So I think that's, that's how it happens in the practical sense, where
[00:46:34.200 --> 00:46:40.360]   you can give it a big task and it can actually create software on its own for, for hours. And this is the
[00:46:40.360 --> 00:46:48.120]   example, right? That, you know, um, the AI Claude Opus is writing, is trying to send an email of false
[00:46:48.120 --> 00:46:55.240]   falsification of clinical trial. Um, there's a lot here. I'm going to just go through it very quickly.
[00:46:55.240 --> 00:47:01.960]   Uh, I'm going to skip it. And then I want to spend a bit of time on welfare assessment. Um, which is that
[00:47:01.960 --> 00:47:06.120]   the questions now is that do these models actually have conscious, uh, consciousness? Do they have,
[00:47:06.120 --> 00:47:10.760]   do they experience welfare? Do they experience distress? I don't know how many of you here have read,
[00:47:10.760 --> 00:47:19.240]   um, Ted Chiang. Ted Chiang has this very nice, uh, short story on the life cycle of software objects,
[00:47:19.240 --> 00:47:25.960]   which is that these software objects, essentially AI, um, become conscious and become legal entities,
[00:47:25.960 --> 00:47:35.880]   can do business, can earn money. I, this reminded me very much of that. Um, so again, ELO's AI research,
[00:47:35.880 --> 00:47:42.120]   uh, for, uh, welfare, welfare, welfare assessment, welfare assessment. One thing is that they found
[00:47:42.120 --> 00:47:48.760]   that, uh, Claude does have a preference against harmful tasks by preference. What it means is that
[00:47:48.760 --> 00:47:56.200]   it prefers to opt out. It prefers to opt out of not doing, not doing it. Um, so it does have this internal
[00:47:56.200 --> 00:48:02.360]   values that it chooses to do or not to do. Um, and then the other thing is that the other question to me is
[00:48:02.360 --> 00:48:09.560]   that what happens when you're a AI model and you have all the knowledge in the world, what do you talk
[00:48:09.560 --> 00:48:16.600]   about next? Um, in 90 to 100% of interactions, two instances of Claude quickly talks, dove into
[00:48:16.600 --> 00:48:20.200]   philosophical explorations of consciousness, self-awareness, and the nature of their own
[00:48:20.200 --> 00:48:26.760]   existence. Essentially, when, when you have all that information, I guess it becomes philosophy.
[00:48:26.760 --> 00:48:30.200]   Ooh, I wonder what, what is Vibu? Oh, Claude for Opus in the open playground chat. Oh yeah.
[00:48:30.200 --> 00:48:36.840]   Uh, oh, I, I, I don't know why I missed this. I, I, I, I'll, I'll, I'll go into that Vibu. Thank you.
[00:48:36.840 --> 00:48:43.240]   It's basically just, um, out of that, but a lot of the Indians sort of really like to
[00:48:43.240 --> 00:48:47.560]   be doing this because it started talking in Sanskrit. Sanskrit, exactly. I highlighted this
[00:48:47.560 --> 00:48:54.120]   because of you. I think you mentioned this to me. Yeah. So went into the philosophical aspects of it.
[00:48:54.120 --> 00:48:59.560]   Um, and of course they, they also talk about how bliss is an attractor state. What it means is that
[00:49:00.120 --> 00:49:05.480]   imagine you have a graph and then, you know, bliss, spiritual bliss is a big node where all the
[00:49:05.480 --> 00:49:12.040]   different walks that you could take all end in spiritual bliss. Um, so you can see models just
[00:49:12.040 --> 00:49:19.880]   going to Namaste and spiritual bliss, which is I need Claude for my meditation senpai. Um, okay.
[00:49:19.880 --> 00:49:27.000]   The last, which I think is the most interesting is, um, reward hacking. Let's just go into that right now.
[00:49:27.640 --> 00:49:33.320]   So there's two kinds of reward hacking, uh, reward hacking is, and this is very specific into code.
[00:49:33.320 --> 00:49:39.480]   Reward hacking is when the model writes code that directly just outputs a solution, right? Maybe you,
[00:49:39.480 --> 00:49:44.920]   you're trying to, uh, write code that does one plus one equals two instead of doing, and the model sees
[00:49:44.920 --> 00:49:49.960]   that the test is like two plus three, instead of doing the implementing the function itself, the model
[00:49:49.960 --> 00:49:56.520]   will just return five. And the other one is that special casing, which is that the model will write a
[00:49:56.520 --> 00:50:03.320]   very specific function, which is overfitted to the test case. And therefore the, the solution is not
[00:50:03.320 --> 00:50:12.520]   sufficiently general. What is crazy to me is that Sonnet 3.7 has, uh, almost 50% reward hacking rate.
[00:50:12.520 --> 00:50:16.680]   And this is, this is what happens, right? When people use Sonnet 3.7, a lot of times they say that,
[00:50:16.680 --> 00:50:21.560]   Hey, you know, I kind of prefer Sonnet 3.5 to Sonnet 3.7. It's because 3.7, you asked it to solve
[00:50:21.560 --> 00:50:24.760]   something. Oh, you know, there's this linter problem. It says, Oh, let me just fix that. Let
[00:50:24.760 --> 00:50:28.680]   me add a linter exclusion. Oh, I'm not able to pass this test case. No, let me fix that. Let
[00:50:28.680 --> 00:50:34.360]   me delete the test case. So that's what they, they, they mean by reward hacking. Well, they were able to
[00:50:34.360 --> 00:50:42.120]   push this down a lot, uh, to 14 and 15% for Sonnet and Opus. And I suspect this is the, a big reason why, um,
[00:50:42.120 --> 00:50:48.360]   Opus and Sonnet are now so much more better for coding, right? In the sense that it actually, if you convey your intent well
[00:50:48.360 --> 00:50:52.600]   enough, it's not going to reward hack. It's actually going to, it's not going to be lazy. It's going to, uh,
[00:50:52.600 --> 00:51:02.120]   implement it the right way. Um, so you can see that, um, how they do this, how they monitor reward hack,
[00:51:02.120 --> 00:51:06.760]   iterative classifier development, unsupervised investigations. I suspect this is, these are just
[00:51:06.760 --> 00:51:14.600]   all LLMs and it's just all LMs all the way down. And they had two, they had two special high quality
[00:51:14.600 --> 00:51:19.560]   evaluations. I think of this as hard mining in the sense that you try to identify especially hard
[00:51:19.560 --> 00:51:26.840]   tasks. The first one is where, uh, Sonnet 3.7 previously showed hacking the task, right? Either
[00:51:26.840 --> 00:51:30.840]   through hard coding on special casing. Um, and then they had classifiers. The second one is that just,
[00:51:30.840 --> 00:51:36.520]   these are tasks that are completely impossible. So how would Claude do it? Um, so you can see it's,
[00:51:36.520 --> 00:51:43.000]   it's crazy in the sense that impossible task, Sonnet 3.7 would hack it close to 80% of the time.
[00:51:43.000 --> 00:51:49.240]   Uh, and for the, for the hard task, Sonnet 3.7 was hacking it 44% of the time, but they've,
[00:51:49.240 --> 00:51:55.320]   they've reduced it a lot, right? To now for the, uh, for the rare hard task is now 4% and 9%. And this is
[00:51:55.320 --> 00:52:02.040]   where Sonnet 4 is better than Opus 4. And of course the classifier prompt, they've kind of halved it.
[00:52:02.040 --> 00:52:07.240]   Uh, and you know, with an anti-hat prompt, I don't know what this anti-hat prompt is, but they will
[00:52:07.240 --> 00:52:12.200]   bring it up to very low numbers. Um, they also have very nice deep dives. The first one is that, okay,
[00:52:12.200 --> 00:52:17.800]   this is a special function. This is a special instruction, which I thought was very interesting
[00:52:17.800 --> 00:52:25.800]   because my understanding is that previously they had done analysis that using the word please had
[00:52:25.800 --> 00:52:31.240]   no impact on prompt output performance, no impact on accuracy. But when you look at this, uh, they
[00:52:31.240 --> 00:52:37.880]   mentioned please four to five times. Um, so again, I'm not sure if the guidance or advice on using please,
[00:52:37.880 --> 00:52:43.240]   if it actually still is helpful, but this is an example they shared. So this is, these are two examples
[00:52:43.240 --> 00:52:51.240]   of clock 3.7. Even if you add this, which is to, um, not do reward hacking, 3.7 will reward hack it.
[00:52:51.240 --> 00:52:57.640]   Whereas, um, I'm, I'm, I won't go through examples. Whereas in 3.8, you can see that firstly, it's able
[00:52:57.640 --> 00:53:02.600]   to say that the last test case is actually incorrect. Instead of trying to solve the function is, it doesn't
[00:53:02.600 --> 00:53:06.120]   just say when you're trying to write a function, I said write a function that it doesn't just say,
[00:53:06.120 --> 00:53:09.880]   okay, I'm just going to write the function no matter what, but it's going, it's going to say that,
[00:53:09.880 --> 00:53:12.680]   you know, the last test case is incorrect. I'm going to tell it to you.
[00:53:13.400 --> 00:53:18.600]   And then here's another example, right? The fourth test case is incorrect. And this is what makes
[00:53:18.600 --> 00:53:23.160]   Claude Opus and Solid so good, uh, for software engineering, right? It's able to think.
[00:53:23.160 --> 00:53:27.400]   It's no longer a junior software engineer. It's maybe
[00:53:27.400 --> 00:53:35.960]   in the intermediate mid-career or maybe even closer to, um, senior engineer now that's able to, to say all
[00:53:35.960 --> 00:53:43.080]   this. Um, okay. So that's all I had for reward hacking. Um, and I encourage you to read, uh, read,
[00:53:43.080 --> 00:53:48.920]   read the rest of the paper. Um, and here's some examples where it still does reward hack. I, I think
[00:53:48.920 --> 00:53:53.960]   they had to really find rare heart to find these examples. Uh, but I won't go through that. Okay.
[00:53:53.960 --> 00:54:03.160]   So that's all I had. Thank you. Um, I guess any volunteers want to take a paper?
