
[00:00:00.000 --> 00:00:21.880]   Hi, everyone. Thanks for taking the time to be here today. Welcome to this workshop where you
[00:29:50.500 --> 00:29:51.460]   How to run in the local?
[00:29:51.460 --> 00:29:52.500]   What's that?
[00:29:52.500 --> 00:29:54.500]   How to run in the local machine, I guess.
[00:29:54.500 --> 00:30:00.660]   Like, you'd find a model that works with your hardware specifications, just like an LLM, right?
[00:30:00.660 --> 00:30:03.540]   Like, not all LLMs can be run on your machine.
[00:30:03.540 --> 00:30:06.660]   So it would be similar to those, yeah.
[00:30:06.660 --> 00:30:07.700]   You know, there was one.
[00:30:07.700 --> 00:30:08.820]   No, there was one.
[00:30:08.820 --> 00:30:09.700]   Let's skip one.
[00:30:09.700 --> 00:30:11.140]   Okay, one more.
[00:30:11.140 --> 00:30:14.420]   Yeah, so in this case, you're using multimodal, right?
[00:30:14.420 --> 00:30:15.140]   Mm-hmm.
[00:30:15.140 --> 00:30:19.140]   It's true that your image and text is strongly aligned to the modalities.
[00:30:19.140 --> 00:30:22.900]   But what if you have a modality that's really weakly aligned to the time series, right?
[00:30:22.900 --> 00:30:25.220]   So which means your data space, they're not pretty close.
[00:30:25.220 --> 00:30:26.180]   How do you handle those?
[00:30:26.180 --> 00:30:27.700]   Sorry, can you say that again?
[00:30:27.700 --> 00:30:32.340]   If you have a modality that's not strongly aligned with the rest of the modalities,
[00:30:32.340 --> 00:30:34.020]   like, for example, time series, right?
[00:30:34.020 --> 00:30:39.860]   If you embed it into the same data space, they are not, like, really close to each other.
[00:30:39.860 --> 00:30:40.420]   Yeah.
[00:30:40.420 --> 00:30:42.900]   So in both situations, how do you handle that?
[00:30:42.900 --> 00:30:45.620]   So, like, time series data with text?
[00:30:45.620 --> 00:30:50.100]   Like, I'm trying to understand, like, a situation where you would have totally disparate.
[00:30:50.100 --> 00:30:53.140]   So you have, like, text, you may have time series, too, right?
[00:30:53.140 --> 00:30:53.540]   Mm-hmm.
[00:30:53.540 --> 00:30:55.860]   And that time series data may not be really aligned with.
[00:30:55.860 --> 00:30:56.580]   Yeah.
[00:30:56.580 --> 00:31:00.500]   And that means when you clip them, they don't really go very well.
[00:31:00.500 --> 00:31:01.940]   So how do you handle those?
[00:31:01.940 --> 00:31:05.540]   Yeah, I think time series data, typically, you don't even, like, use embeddings for it.
[00:31:05.540 --> 00:31:11.220]   It's just, like, you treat them like any other features like you would for traditional ML models.
[00:31:11.220 --> 00:31:15.060]   You definitely want, like, a different retrieval strategy for those.
[00:31:15.060 --> 00:31:19.860]   It would be hard to put them in the same, yeah, vector space as text and images.
[00:31:19.860 --> 00:31:23.380]   So you might need to work with, like, different retrieval methodologies.
[00:31:23.380 --> 00:31:24.500]   Yeah.
[00:31:24.500 --> 00:31:25.780]   Yeah.
[00:31:25.780 --> 00:31:26.820]   All right.
[00:31:26.820 --> 00:31:32.900]   I'm going to move forward here very-- like, in a few minutes, we will hit the hands-on portion.
[00:31:32.900 --> 00:31:38.180]   So if we have more questions, just call out to our team, and we'll take more questions then.
[00:31:38.180 --> 00:31:39.700]   Cool.
[00:31:39.700 --> 00:31:40.820]   All right.
[00:31:40.820 --> 00:31:41.700]   OK.
[00:31:41.700 --> 00:31:42.100]   OK.
[00:31:42.100 --> 00:31:44.820]   Let's quickly talk about the workflow of our agent.
[00:31:44.820 --> 00:31:50.020]   We looked at a random example before, but let's talk about the agent you're going to build.
[00:31:50.020 --> 00:31:56.100]   So query comes in, agent forwards the query to a multimodal LLM.
[00:31:56.100 --> 00:31:59.780]   So note, we are going to use a multimodal embedding model for retrieval,
[00:31:59.780 --> 00:32:01.780]   but we also need a multimodal LLM.
[00:32:01.780 --> 00:32:06.820]   We are going to use, I think, Gemini 2.0 Flash Experimental, some long name.
[00:32:06.820 --> 00:32:13.780]   But yeah, basically, we need that LLM because once we give it, like, that interleaved document
[00:32:13.780 --> 00:32:18.820]   with text and images, we need an LLM that can make sense of both these modalities.
[00:32:18.820 --> 00:32:21.300]   So that's why I'm using that LLM.
[00:32:21.300 --> 00:32:28.020]   It has just one tool, which is a vector search tool to retrieve those multimodal documents
[00:32:28.020 --> 00:32:30.100]   and also its past interactions and memory.
[00:32:30.100 --> 00:32:35.620]   So based on the query, the LLM can decide to call the vector search tool.
[00:32:35.620 --> 00:32:41.220]   And if it does that, it'll return the name of the tool and the arguments to use to call the tool.
[00:32:41.220 --> 00:32:47.060]   Again, the agent has code to actually call the tool, so it calls the vector search tool.
[00:32:48.020 --> 00:32:53.940]   And typically, if you're working with text-based data, you get the documents back directly from
[00:32:53.940 --> 00:32:58.820]   vector search. But in this case, what we are going to get back is references to the screenshots.
[00:32:58.820 --> 00:33:04.500]   Remember, we didn't store those in the vector database. Those are in our local or blob storage.
[00:33:04.500 --> 00:33:10.100]   So then our agent needs to have that additional step of using those image references to actually get the
[00:33:10.100 --> 00:33:16.580]   screenshots from blob storage. And then it's going to pass those images along with the original user query
[00:33:16.580 --> 00:33:24.420]   and any past conversational history to the multimodal LLM. So each time an LLM call is made, whether it's to
[00:33:24.420 --> 00:33:31.220]   determine what tools to call or generate the final answer, the images are also going to be passed along with
[00:33:31.220 --> 00:33:39.380]   the query and conversation history to the LLM. Then it generates an answer and that gets returned back to the user.
[00:33:41.620 --> 00:33:46.820]   And finally, depending on the query, the LLM might also decide that it doesn't need to call a tool.
[00:33:46.820 --> 00:33:51.220]   So, for example, if the user is simply asking, like, "Hey, summarize this image," it might not need to
[00:33:51.220 --> 00:33:58.260]   call a tool. So in that case, it'll say, "I don't need to call tools." It'll simply generate an answer,
[00:33:58.260 --> 00:34:06.100]   and that gets forwarded to the user. And the final thing, let's talk about the memory management
[00:34:06.100 --> 00:34:13.140]   mechanism for our agent because this is important for it to actually have coherent multi-term conversations
[00:34:13.140 --> 00:34:19.140]   with the user. So, like I mentioned before, we'll be implementing short-term memory for the agent. And
[00:34:19.140 --> 00:34:26.660]   the way this works is each user query is associated with a session ID just as some identifier to distinguish
[00:34:26.660 --> 00:34:33.620]   between different conversations. So, given a user query, we obtain its session or conversation ID,
[00:34:33.620 --> 00:34:39.940]   and we query a database consisting of previous turns in the conversation to get that chat history for
[00:34:39.940 --> 00:34:47.060]   that session. And each time, again, in addition to the context, we also pass in that chat history,
[00:34:47.060 --> 00:34:53.380]   just so the LLM can use that as additional context to determine if it even needs to call tools or not.
[00:34:55.060 --> 00:34:59.300]   And then, when the LLM generates a response, the other thing that happens is we add
[00:34:59.300 --> 00:35:06.260]   this current response and the current query back to the database to add on to
[00:35:06.260 --> 00:35:12.420]   the history for that session. Now, you can also log a tool call, their outcomes, any
[00:35:12.420 --> 00:35:20.020]   reasoning traces from the LLM, but at a minimum, you at least want to be logging the LLM's response and
[00:35:20.020 --> 00:35:26.980]   the user queries themselves. And finally, that is enough talking from me. You will be quiet for
[00:35:26.980 --> 00:35:36.660]   the rest of the workshop. We have about 45-ish minutes. So, head over to that link to access the
[00:35:36.660 --> 00:35:42.980]   hands-on lab. Recommend running that on your laptop. So, instead of that QR code, actually type in that URL.
[00:35:42.980 --> 00:35:49.140]   This should take you to a GitHub repo. Follow the instructions in the readme to get set up for the
[00:35:49.140 --> 00:35:55.220]   lab. That should take about 10 minutes. And then, you have two options. You can either -- there are two
[00:35:55.220 --> 00:36:02.180]   notebooks in there. One is called lab.ipynb. And if you actually want to -- if you're in the mood to
[00:36:02.180 --> 00:36:06.820]   actually write code right now, that's the notebook you'll be using. You'll have -- you'll see reference
[00:36:06.820 --> 00:36:12.820]   documentation in line in the notebook indicated by that books emoji that tells you use this documentation,
[00:36:12.820 --> 00:36:19.060]   fill in your code. You can do that if that sounds too daunting. There's also a notebook called
[00:36:19.060 --> 00:36:25.620]   solutions.ipynb that has all the code pre-filled. So, you can just run through that notebook,
[00:36:25.620 --> 00:36:31.300]   read the comments to get an understanding of how the agent works. But which option you use,
[00:36:31.300 --> 00:36:37.540]   I'm here. My team is here. Just call on us to -- if you have any questions. And yeah,
[00:36:37.540 --> 00:36:42.660]   for anyone actually filling in the code, you can also refer to the solutions. Don't get too frustrated
[00:36:42.660 --> 00:36:57.620]   if you get stuck. We don't want that. All right. So, I'm shutting up now. Let's go ahead and build that agent.

