
[00:00:00.000 --> 00:00:24.420]   Okay, thank you for coming bright and early, 9:00 a.m. at the start of the conference,
[00:33:00.720 --> 00:33:30.720]   to make sure we stay on track and on time. Okay. So -- oh, we need to do this now. There we go. Next up is embeddings. So now we're in the second phase of the input. These are token and position embeddings. Okay. So at the beginning of this workshop, I talked about how we map words into numbers. And I simplified this process by saying what we're doing is
[00:33:30.720 --> 00:33:42.720]   is we're taking, say, the word "Mike" and we're turning it into a single number like 89. But, of course, that's not what we're really doing. We're actually going to turn it into a long list of numbers called an embedding.
[00:33:42.720 --> 00:34:01.720]   So even the period, for example, gets 768 of these numbers. And in the case of GPT-2, the dimensionality, that list size, is 768. Every single word gets 768 numbers. And you can see that if we go to the token embedding section.
[00:34:01.720 --> 00:34:11.720]   And then these -- we'll get to that table in a second. These are the embeddings of our input prompt. And you can type -- by the way, I didn't mention this before -- you can type anything here in this input prompt and it should parse it.
[00:34:11.720 --> 00:34:30.720]   Although it doesn't handle foreign language as well because there's a character mismatch on import. But here's Mike is quick period. And each of these get 768 numbers. So what you can do is if I take row one, column 768, there's where our list of 768 numbers ends.
[00:34:30.720 --> 00:34:47.720]   So every single one of these gets the same number of dimensions for how it gets represented. And it might be a little confusing because we mapped words into tokens with numbers. We've had token IDs. And then we have these embeddings as well.
[00:34:47.720 --> 00:34:59.720]   And the analogy I like to use is imagine you are going to go look for a house to rent or a house to buy. And the street addresses -- and you build this table of street addresses and square feet, bedrooms and bathrooms and price.
[00:34:59.720 --> 00:35:14.720]   The street addresses are identifiers. They're kind of like the token IDs. They tell you where to find something, where to find a house. But they don't tell you anything about what's inside. They don't tell you about what you care about, what the meaning is. It doesn't tell you the square feet, the bedrooms, the bathrooms, or the price.
[00:35:14.720 --> 00:35:26.720]   And the embedding values, that's their job. They're to take the token and tell you something about what it means. And the identifier or the token ID is just to give it a position in the dictionary or effectively a numerical name.
[00:35:26.720 --> 00:35:41.720]   And what we're really doing with the embedding values is we're trying to build a map for words where we put similar words grouped together. So here I've shown a two-dimensional map. But of course, we're in a 768 hyper-dimensional area.
[00:35:41.720 --> 00:35:58.720]   But the idea is basically the same. Take the words happy and glad in this map, this word island. You know, those are happy words. So I'm going to put them up here. And then I'm going to take words like dog and cat, and I'll put them in another part of this word island because they're animals. They don't relate as much.
[00:35:58.720 --> 00:36:14.720]   And then, you know, the word sad, well, it doesn't have the same meaning as happy and glad. But it's still an emotion. So I want it closer to the emotions, happy emotions, part of the island, into this, maybe the sad province, right next to the happy province.
[00:36:14.720 --> 00:36:20.720]   So they're kind of on the same half of the island, but they're not directly in the same spot because happy and sad have different meanings.
[00:36:20.720 --> 00:36:30.720]   So here's a simple two-dimensional example of the benefit of doing this, which is that you can start doing word arithmetic and word math.
[00:36:30.720 --> 00:36:45.720]   So we're going to imagine that we've built a two-dimensional embedding where the first column is authority and the second column is gender. And we take the token man and we'll just arbitrarily say man has authority of one and a gender of one, a woman, authority of one and a gender of two.
[00:36:45.720 --> 00:36:57.720]   A king has more authority than a man, so two for authority, gender of one because still a man, and then queen, authority of two, a gender of two. And we can plot this out in a plane like as follows.
[00:36:57.720 --> 00:37:05.720]   So queen, for example, is at position two, two. And then we can actually build relationships just from doing vector math.
[00:37:05.720 --> 00:37:13.720]   So, for example, if we take king, we subtract man, we add woman, and then we just do regular arithmetic column by column.
[00:37:13.720 --> 00:37:24.720]   So two minus one plus one, one minus one plus two gives us two, two. So king minus man plus woman is two, two. But of course, that is the same thing as queen.
[00:37:24.720 --> 00:37:42.720]   So we're saying king minus man plus woman equals queen. And we can think of this as an analogy. King is to man as queen is to woman. And if we take out the queen and just leave it as a blank, we have our first kind of word problem we can convert to a math problem.
[00:37:42.720 --> 00:37:50.720]   If you give me any three words and I had an embedding for them, I can figure out what the fourth word in this relationship is simply from vector math.
[00:37:50.720 --> 00:38:02.720]   And that is what Word2vec, which was the most famous word embedding, was able to do. It learned a bunch of relationships in a series of papers, not just one paper.
[00:38:02.720 --> 00:38:14.720]   So, for example, France is to Paris, as Italy is to Rome, and Japan is to Tokyo. Einstein is to scientist, as Messi is to midfielder, or Mozart is to violinist.
[00:38:14.720 --> 00:38:21.720]   Japan is to sushi, as Germany is to bratwurst. It didn't get all of them right, but clearly it's learning something about relationships.
[00:38:21.720 --> 00:38:32.720]   And I want to be clear, this is actually just the same thing as being good at clustering. So imagine I've got on my word island, I've got all my countries over here. Right? France, Japan, Italy.
[00:38:32.720 --> 00:38:45.720]   And then I've got all my capitals, Paris, Tokyo, Rome, over here in the word island. Well, every single one of them has the same vector relationship in space between each other if the clustering was really good and tight.
[00:38:45.720 --> 00:38:58.720]   And if somebody comes in and says, hey, what's the capital of Canada? Well, I just use that same direction, I add that same vector to it, I can say, oh, well, it's Ottawa.
[00:38:58.720 --> 00:39:09.720]   So in practice, real world embeddings are different than what I've shown here with this contrived example. First of all, we have many more columns or dimensions. So instead of simply two, we have hundreds.
[00:39:09.720 --> 00:39:22.720]   GPT-2 is 768. Your state-of-the-art model these days has a lot more. The other key difference is I made up this thing saying that the first dimension or column is authority, the second one is gender.
[00:39:22.720 --> 00:39:32.720]   We don't know what they mean. The columns are completely uninterpretable. The model just seems to pick them. And the values themselves, correspondingly, therefore, are not interpretable either.
[00:39:32.720 --> 00:39:47.720]   And that might sound useless, but it's actually useful for at least getting similarity, for example. So let's go back to our housing analogy. Imagine I took off the top column, the labels, essentially, top row of what each column meant, and I just gave you the IDs.
[00:39:47.720 --> 00:40:09.720]   If you went to, say, 47 Ivy Lane, and you said, I like this house, I want to see more like it, you could still find those. Because what you could do is you could notice that with 58 Sun, Av, and 15 Luna Lane, they all have roughly the same values in the first column, 2400, 2400, 2400, and the same values for the third, fourth column as well.
[00:40:09.720 --> 00:40:24.720]   So you're like, if I like this house, I can find the others like it, even though I don't know what these columns mean. So the question you're probably asking yourself is, well, where the heck do these values come from? How do we know what they mean? Or how does the model pick it?
[00:40:24.720 --> 00:40:33.720]   Well, the slightly unsatisfying answer is that the embeddings are just simply learned by the neural network model during training. So now let's just talk about what training looks like.
[00:40:33.720 --> 00:40:42.720]   So in training, what we do is we grab a bunch of text from the internet, we take out passages like this one, Mike is quick, he moves quickly. So quickly was in the original passage.
[00:40:42.720 --> 00:40:52.720]   And then we chop off the last token or the last word, and we have a randomly initialized model. All the values of the weights and parameters are completely random, including the embeddings.
[00:40:52.720 --> 00:41:01.720]   And then we run it through the whole model, and we say, what do you predict is going to be the next word? And it's random, so it comes up with something nonsensical, like Mike is quick, he moves haircut.
[00:41:01.720 --> 00:41:11.720]   And then we use this algorithm called backpropagation. And we say, hey, backpropagation, the correct answer was quickly. Can you adjust the parameters to get closer to that value?
[00:41:11.720 --> 00:41:18.720]   And it will go and tell us for every single parameter how to slightly move it to get it closer to producing the right answer of quickly.
[00:41:18.720 --> 00:41:28.720]   And then we rerun the model, and eventually it says, Mike is quick, he moves quickly. And then we do this not just for one single passage of text, we're doing this for many passages at a time.
[00:41:28.720 --> 00:41:46.720]   And one great benefit of this is we don't have to teach the model anything explicitly. It's kind of learning from unsupervised text. We're just gathering that was naturally there on the Internet, and it's learning things like grammar, names, capitals of countries.
[00:41:46.720 --> 00:41:55.720]   But that seems a bit mysterious. And we can kind of get an intuitive sense for what it's doing if you think about it as learning from word statistics.
[00:41:55.720 --> 00:42:05.720]   So imagine you've got passages like this one about the words ice and steam. It was so cold, the puddle had turned to ice. Steam rose from the still hot cup of coffee.
[00:42:05.720 --> 00:42:14.720]   And what you notice is that the words ice and cold tend to co-occur with each other. And the words steam and hot tend to co-occur with each other.
[00:42:14.720 --> 00:42:23.720]   So if you were an alien coming down from another planet, you had no idea what our language was. And you looked at this, you would say, I don't know what ice, cold, steam, and hot are.
[00:42:23.720 --> 00:42:37.720]   But I know that ice is probably cold more than steam is. Because ice and cold co-occur more often than steam and cold do. And I know that steam is hot because ice and hot don't co-occur as much as steam and hot do.
[00:42:37.720 --> 00:42:49.720]   So there must be some relationship. They must have that meaning. And this is called the distributional hypothesis. And the phrase that you'll often hear people quote is, you shall know a word by the company it keeps.
[00:42:49.720 --> 00:42:58.720]   Which is basically that a word is partially defined by its context. Or said another way, words that have similar meanings can be replaced with each other in similar contexts.
[00:42:58.720 --> 00:43:04.720]   So if you know how they're distributed in their statistical representation, you have a sense of what similar words might be.
[00:43:04.720 --> 00:43:19.720]   And in fact, in the full version of my class, we actually build our own primitive embeddings from Wikipedia pages, using a very simplified version of not Word2Vec, but another algorithm called GloVe, which is based on just using a co-occurrence matrix.
[00:43:19.720 --> 00:43:27.720]   So roughly what that process looks like is you would count how often the words co-occur within some window size inside your corpus of text.
[00:43:27.720 --> 00:43:33.720]   You'd analyze every single word, and you'd look in this case, three words to the left, three words to the right, and you'd say, these are the words that co-occur with it.
[00:43:33.720 --> 00:43:43.720]   And then you'd build a big giant table, a matrix, and you'd say, let me compare every word to every other word, and I'm going to count how often they co-occur in all my text with each other.
[00:43:43.720 --> 00:43:50.720]   So here in this example, Word2 and Word3 co-occur, let's say, five times in our corpus of text.
[00:43:50.720 --> 00:44:03.720]   And then what you can think of the embedding as, instead of taking this table, which is all possible words by all possible words, and if we're in English, that's about 170,000 words, or in the case of BPE, it's 50,000 tokens.
[00:44:03.720 --> 00:44:13.720]   You can imagine it compressing the columns of the matrix. So instead of having 170,000 columns, it's got whatever your embedding dimension is, 768.
[00:44:13.720 --> 00:44:22.720]   It's still all possible words high, but it's now a lot smaller in the number of columns. So it's basically a compressed co-occurrence matrix.
[00:44:22.720 --> 00:44:34.720]   So the actual table OpenAI gives us from training, the embedding table, is really just this thing on the right. It is basically every single word or token and then the representation of its dimensions.
[00:44:34.720 --> 00:44:45.720]   And you can think of it as they just took a co-occurrence matrix and they shrunk it. The reason I like this mental model is it helps motivate certain things about embeddings that might seem a bit weird.
[00:44:45.720 --> 00:44:54.720]   So a classic one is, how do you measure how similar two embeddings are? You might naively think we just look at Euclidean space, you know, as the crow flies, how far apart they are.
[00:44:54.720 --> 00:45:00.720]   But that's not what we do. We use something called cosine similarity. How many people have heard of cosine similarity?
[00:45:00.720 --> 00:45:13.720]   Yeah, so, you know, cosine similarity is not an intuitive measurement of similarity. And what it is, is we take the angle of the two points, and then we take the cosine of that angle, and that's how we say how similar two embeddings are.
[00:45:13.720 --> 00:45:23.720]   So if you remember your trigonometry, if they're opposed, you know, cosine goes from negative one to one. So if they're opposed, they get negative one value. So that's when two vectors are like this.
[00:45:23.720 --> 00:45:30.720]   If they're unrelated, it's like this, they're orthogonal. And if they're similar, they're pointing the same place, the cosine will be one.
[00:45:30.720 --> 00:45:41.720]   Oh, and by the way, this opposite is not opposite in probably your intuitive conventional sense. So happy and sad, you might think would be opposites. But actually, they're more similar to each other than any other set of words.
[00:45:41.720 --> 00:45:49.720]   If you think about how often like happy and sad probably occur in songs and poems and other types of contexts. They're both emotions. So they're actually more similar than they would be opposite.
[00:45:49.720 --> 00:45:56.720]   In fact, if you take all the GPT-2 embeddings and you compare them against each other, very few are negative, and most of those are close to zero.
[00:45:56.720 --> 00:46:10.720]   But going back to kind of learning from word statistics, the key thing we care about is the relative co-occurrence of different words against each other. We don't care about the raw co-occurrence.
[00:46:10.720 --> 00:46:20.720]   So let's, for example, imagine there's this section of our co-occurrence matrix, which is the basis for the embeddings. We're comparing three words -- one, two, three -- against word 10 and 11.
[00:46:20.720 --> 00:46:31.720]   And word 1 occurs with word 10 and word 10 times each. Word 2 occurs with word 10 and 11 50 times each. Word 3 on the other end is 5 and 20 times.
[00:46:31.720 --> 00:46:39.720]   And I'm going to plot these as vectors, where the horizontal axis is how many times it occurs with word 10, and the vertical is how many times with word 11.
[00:46:39.720 --> 00:46:52.720]   And what we notice is something interesting. Word 1 and 2 essentially have the same meaning. As far as word 10 and word 11 can tell, the relative probability between them is the same -- one to one.
[00:46:52.720 --> 00:47:07.720]   It's just that word 2 happens to be more common, right? It's five times more common. But if we plotted this in vector space, what you see is that word 2 and word 1 are really far apart in Euclidean distance, but they have the same angle.
[00:47:07.720 --> 00:47:24.720]   Now, word 3 is actually closer in Euclidean space. But relative to word 10 and word 11 has a different meaning. And so that's a motivation for why we're looking at the angle, right, which seems to more accurately capture the meaning and not necessarily popularity, which is what Euclidean space would capture.
[00:47:24.720 --> 00:47:35.720]   Okay, so how do we actually use this? Well, these embeddings were learned during training. So OpenAI gives us this model_wte matrix. And the way it's set up is that it is our vocabulary --
[00:47:35.720 --> 00:47:55.720]   size tall. So 50,257 tokens is how many tokens GPT-2 uses. So there's a row for every single token. And then each row is just simply the embedding for that token. So there's a row for dog. And that row is the 768 numbers that represent the semantic meaning of dog.
[00:47:55.720 --> 00:48:17.720]   So let's go to our example here. So let's take is. What is the token ID for is? It is 318. So this is our model_wte. This is one of those CSV files we dragged in. So it fetches it and displays it. So let's go to row 318. There's actually an off by one. But I'll do that anyways.
[00:48:17.720 --> 00:48:39.720]   So you can see -- we'll come back to that in a second. And let's go to our final token embeddings right here. So as you can see, it's .0097, .010. And you'll see that matches what you have here. .0097 in the 319th row. But if we were 0 index, it would be 318. .001.
[00:48:39.720 --> 00:48:49.720]   So all this code is doing right here is it's grabbing the token ID and just pulling out the corresponding row and plopping it into this table here.
[00:48:49.720 --> 00:49:00.720]   So it's a very simple operation. That's why this is what? Basically 15 lines of JavaScript to just grab one thing out of another and then put it here.
[00:49:00.720 --> 00:49:06.720]   So all this is doing is just taking those token IDs and looking them up and putting them in this table.
[00:49:06.720 --> 00:49:15.720]   Last thing I want to say before we leave token embeddings is, as before with tokens, I said it doesn't just have to be a text. The same thing is true for embeddings.
[00:49:15.720 --> 00:49:21.720]   So the famous example is clip, which was the basis for a lot of the image generators that you probably have tried or used.
[00:49:21.720 --> 00:49:27.720]   And instead of just comparing words against words, you can think of it as it's comparing words against images.
[00:49:27.720 --> 00:49:36.720]   So if you look at all the images on the internet and you look at that alt text and it sees dog and a bunch of images with dogs in it, you can get it to learn that relationship.
[00:49:36.720 --> 00:49:41.720]   So later on, you can pass an image and it can say this thing is a dog.
[00:49:41.720 --> 00:49:44.720]   Okay, let's go to position embeddings.
[00:49:44.720 --> 00:49:52.720]   Okay, so now we're still at the top with input and we're talking about embeddings, but now we're talking about different kind of embedding.
[00:49:52.720 --> 00:49:57.720]   And the key thing to remember is that in English word order matters, right?
[00:49:57.720 --> 00:50:02.720]   The dog chases the cat is something different than the cat chases the dog.
[00:50:02.720 --> 00:50:08.720]   Now in math, two plus three equals five, but three plus two equals five.
[00:50:08.720 --> 00:50:11.720]   Anything after that equal sign has no idea what the order was.
[00:50:11.720 --> 00:50:22.720]   Our problem is that when we mapped from a word domain, an English domain, a language domain, we were in a domain where order typically matters.
[00:50:22.720 --> 00:50:25.720]   We went to a number domain where order typically does not matter.
[00:50:25.720 --> 00:50:31.720]   And even though I've drawn this with simplified arithmetic, there are parts of the model that are also commutative.
[00:50:31.720 --> 00:50:36.720]   So what could happen in essence is you can change the order of the words, right?
[00:50:36.720 --> 00:50:40.720]   And now it could mean something different or it could be completely gibberish.
[00:50:40.720 --> 00:50:43.720]   But anything after that equal sign can't tell the difference.
[00:50:43.720 --> 00:50:46.720]   So it has no sense of position of these words.
[00:50:46.720 --> 00:50:50.720]   And that's going to be really hard to understand the meaning of the sentence or the phrase.
[00:50:50.720 --> 00:50:54.720]   So what we're going to do is we're going to add some sense of position to the embedding.
[00:50:54.720 --> 00:51:05.720]   What we're going to do is we're going to just take, for example, one token like woman and say woman at position zero in the prompt is going to basically mean the same thing as woman at any other position in the prompt.
[00:51:05.720 --> 00:51:15.720]   So let's give woman at one position other than zero a slight offset, a slightly different position to represent that it's roughly the same meaning.
[00:51:15.720 --> 00:51:21.720]   It's just woman when it occurs at position one and a different spot for woman at position two and so forth.
[00:51:21.720 --> 00:51:31.720]   And in general, we'll use the position in the prompt to define a small offset that we're going to slightly move the position of the token in the embedding space.
[00:51:31.720 --> 00:51:37.720]   In the original famous attention is all you need paper, they use the sine and cosine formulas.
[00:51:37.720 --> 00:51:39.720]   You don't have to look through the whole thing.
[00:51:39.720 --> 00:51:42.720]   The key thing I want you to pay attention to is it's just sine and a cosine.
[00:51:42.720 --> 00:51:45.720]   And if you remember your trigonometry, sine and cosine goes from negative one to one.
[00:51:45.720 --> 00:51:52.720]   So what we're effectively doing is we are building this circle right around this with a limited diameter.
[00:51:52.720 --> 00:51:55.720]   And we're saying I'm oscillating.
[00:51:55.720 --> 00:51:58.720]   And that's the other thing to remember for trigonometry is sine and cosine oscillate.
[00:51:58.720 --> 00:52:03.720]   I'm just oscillating the position of this thing in space based on its position in the prompt.
[00:52:03.720 --> 00:52:09.720]   I'm keeping it roughly in that same area, but it's a little cloud that's all the different versions of woman just in different parts of the prompt.
[00:52:09.720 --> 00:52:14.720]   In GPT-2, interestingly enough, they didn't use that same technique.
[00:52:14.720 --> 00:52:20.720]   They let the model learn the embeddings on its own, which still blows my mind.
[00:52:20.720 --> 00:52:29.720]   So how we use this is we have another matrix that OpenAI gives us when they open source GPT-2, which is the position matrix.
[00:52:29.720 --> 00:52:34.720]   And this time it is 1024 high, which is our maximum context length.
[00:52:34.720 --> 00:52:37.720]   It's an early model, so it's not very large context.
[00:52:37.720 --> 00:52:41.720]   And then each of the rows is, again, the embedding dimension.
[00:52:41.720 --> 00:52:44.720]   And what we're going to do is these are position offsets.
[00:52:44.720 --> 00:52:51.720]   So we're going to add these offsets in each row to each value in our embedding dimension to offset it to represent its position.
[00:52:51.720 --> 00:52:53.720]   So you can think of it like this.
[00:52:53.720 --> 00:52:57.720]   We start with our embedding values from the token embeddings.
[00:52:57.720 --> 00:53:00.720]   And then we're basically doing a matrix add.
[00:53:00.720 --> 00:53:03.720]   So we're taking each of these elements here.
[00:53:03.720 --> 00:53:05.720]   So I take this element, add it to this one.
[00:53:05.720 --> 00:53:06.720]   This element, add it to this one.
[00:53:06.720 --> 00:53:08.720]   This one, add it to that one.
[00:53:08.720 --> 00:53:10.720]   We're just simple element-wise add.
[00:53:10.720 --> 00:53:16.720]   And that gets our position embeddings for every single one of our input tokens.
[00:53:16.720 --> 00:53:21.720]   So let me show you where that is.
[00:53:21.720 --> 00:53:22.720]   OK.
[00:53:22.720 --> 00:53:26.720]   So the first thing we do is we fetch this model_wpe.
[00:53:26.720 --> 00:53:28.720]   That, again, comes from OpenAI.
[00:53:28.720 --> 00:53:30.720]   You can see this is 1024.
[00:53:30.720 --> 00:53:34.720]   So if we go to row, 1024, column one.
[00:53:34.720 --> 00:53:35.720]   There it is.
[00:53:35.720 --> 00:53:37.720]   That's our max context length.
[00:53:37.720 --> 00:53:41.720]   So beyond that, the model has no idea how to understand that.
[00:53:41.720 --> 00:53:42.720]   You can ignore this one.
[00:53:42.720 --> 00:53:46.720]   And this code for positional embed is really just a matrix add.
[00:53:46.720 --> 00:53:52.720]   The only thing I have to do is make sure, well, the input prompt is going to be less than 1024 tokens.
[00:53:52.720 --> 00:53:55.720]   So it just needs to stop when it gets to the end of the input.
[00:53:55.720 --> 00:53:57.720]   But that gives us our positional embeddings here.
[00:53:57.720 --> 00:54:01.720]   So we're just passing to this our token embeddings we had from the previous step.
[00:54:01.720 --> 00:54:06.720]   And then our model_wpe table, which came fetched from the CSV file.
[00:54:06.720 --> 00:54:12.720]   It just simply adds those together and we get these positional embeddings.
[00:54:12.720 --> 00:54:17.720]   Here's kind of an illustration of the action of GPT-2 and its positional embeddings.
[00:54:17.720 --> 00:54:22.720]   So these numbers you see right after, like happy3, happy4, aren't the actual tokens.
[00:54:22.720 --> 00:54:28.720]   What I've done is I've plotted the word happy, the token happy rather, and I've put it at different positions.
[00:54:28.720 --> 00:54:31.720]   I've put it at position3, position4, position5, and so forth.
[00:54:31.720 --> 00:54:35.720]   And then I took two other words, happy and glad, and I just put them in space as reference points.
[00:54:35.720 --> 00:54:37.720]   And you can see it's doing what we described earlier.
[00:54:37.720 --> 00:54:40.720]   It's basically just keeping it roughly in the same position.
[00:54:40.720 --> 00:54:45.720]   It's slightly offsetting it depending on where it is in the prompt.
[00:54:45.720 --> 00:54:48.720]   One key thing you should know.
[00:54:48.720 --> 00:54:57.720]   Of all the changes to modern LLMs from GPT-2, probably one of the most common and biggest ones is that they do not use these types of positional embeddings.
[00:54:57.720 --> 00:54:59.720]   They do something called rope.
[00:54:59.720 --> 00:55:04.720]   So if you look at a modern LM, this is probably the first thing you'll see that's different.
[00:55:04.720 --> 00:55:05.720]   Okay.
[00:55:05.720 --> 00:55:11.720]   Let's do a time check.
[00:55:11.720 --> 00:55:18.720]   We are five minutes behind, but we've got 10 minutes.
[00:55:18.720 --> 00:55:26.720]   I will take a break for a question or two, if anybody wants to ask one.
[00:55:26.720 --> 00:55:28.720]   Any questions so far?
[00:55:28.720 --> 00:55:29.720]   Yeah, go ahead.
[00:55:29.720 --> 00:55:36.720]   Oh, there's a microphone right there.
[00:55:36.720 --> 00:55:41.720]   You were mentioning that with GPT-2, they weren't using the sine and cosine kind of cloud.
[00:55:41.720 --> 00:55:45.720]   What were they actually doing to come up with the word position embeddings?
[00:55:45.720 --> 00:55:46.720]   That's the crazy thing.
[00:55:46.720 --> 00:55:48.720]   That's the crazy thing.
[00:55:48.720 --> 00:55:50.720]   They let the model learn it.
[00:55:50.720 --> 00:55:56.720]   So the big change they did is, think of it this way.
[00:55:56.720 --> 00:55:57.720]   Okay.
[00:55:57.720 --> 00:56:03.720]   If we go back to our diagram of how embeddings are learned.
[00:56:03.720 --> 00:56:04.720]   Right here.
[00:56:04.720 --> 00:56:05.720]   Right.
[00:56:05.720 --> 00:56:06.720]   Okay.
[00:56:06.720 --> 00:56:22.720]   So in the original transformer, the position embeddings were not represented as learnable
[00:56:22.720 --> 00:56:23.720]   weights.
[00:56:23.720 --> 00:56:25.720]   They were sine and cosine functions.
[00:56:25.720 --> 00:56:30.720]   All they did is they said during back propagation, let's learn those as well.
[00:56:30.720 --> 00:56:32.720]   And that's how it learned them.
[00:56:32.720 --> 00:56:36.720]   So they did not, they just simply said, hey, let's not hard code those values.
[00:56:36.720 --> 00:56:43.720]   And let's make that other thing now a parameter of the model learns.
[00:56:43.720 --> 00:56:44.720]   Okay.
[00:56:44.720 --> 00:56:45.720]   Good question.
[00:56:45.720 --> 00:56:50.720]   And as I said, it's still kind of mind blowing that that worked.
[00:56:50.720 --> 00:56:54.720]   But as we now know, these things can learn a ton.
[00:56:54.720 --> 00:56:55.720]   Okay.
[00:56:55.720 --> 00:56:59.720]   Let's talk about attention.
[00:56:59.720 --> 00:57:04.720]   Okay, there we go.
[00:57:04.720 --> 00:57:07.720]   So now we're getting into the heart of the number crunching.
[00:57:07.720 --> 00:57:11.720]   And this one's going to be a little more cursory understanding and explanation.
[00:57:11.720 --> 00:57:13.720]   But I still think it's important to understand what it is.
[00:57:13.720 --> 00:57:17.720]   And we're going to start with attention.
[00:57:17.720 --> 00:57:20.720]   And now we're inside what are often called the layers.
[00:57:20.720 --> 00:57:22.720]   I like to call them the blocks.
[00:57:22.720 --> 00:57:24.720]   That's a less common, but other people use the term blocks.
[00:57:24.720 --> 00:57:29.720]   The reason I use the word blocks is when I teach this, it's usually people coming to it the
[00:57:29.720 --> 00:57:30.720]   first time.
[00:57:30.720 --> 00:57:33.720]   And the word layer gets used in other contexts.
[00:57:33.720 --> 00:57:35.720]   Later we're going to talk about the multi-layer perceptron.
[00:57:35.720 --> 00:57:39.720]   And it can be confusing when you're first coming to something and the same word has different
[00:57:39.720 --> 00:57:40.720]   meanings depending on the context.
[00:57:40.720 --> 00:57:44.720]   But know that when you talk to most people, when they talk about how many layers in a model,
[00:57:44.720 --> 00:57:47.720]   they're talking about what I call how many blocks.
[00:57:47.720 --> 00:57:52.720]   And if you start getting to this part of the code, you'll notice that inside the blocks,
[00:57:52.720 --> 00:57:59.720]   actually if you go right here, you can see these are all labeled with steps.
[00:57:59.720 --> 00:58:01.720]   Step 1, 2, 4, 9, 10.
[00:58:01.720 --> 00:58:04.720]   So this step number is arbitrary.
[00:58:04.720 --> 00:58:06.720]   You can do it in fewer steps.
[00:58:06.720 --> 00:58:07.720]   You can do it in more steps.
[00:58:07.720 --> 00:58:10.720]   This is what I happened to pick when I was implementing it in Excel.
[00:58:10.720 --> 00:58:14.720]   And I kept the same mapping so all my material would translate.
[00:58:14.720 --> 00:58:16.720]   Attention is steps 4 through 9.
[00:58:16.720 --> 00:58:18.720]   So there's a lot of steps in here.
[00:58:18.720 --> 00:58:23.720]   But the key operations inside the blocks are multi-head attention and the multi-layer perceptron.
[00:58:23.720 --> 00:58:24.720]   So let's talk about attention.
[00:58:24.720 --> 00:58:28.720]   And I'll talk about it mostly conceptually.
[00:58:28.720 --> 00:58:33.720]   The way to think about attention is we're going to let the tokens or words talk to each other
[00:58:33.720 --> 00:58:37.720]   so they can convey their meaning to all the other words.
[00:58:37.720 --> 00:58:39.720]   So, for example, he is a pronoun.
[00:58:39.720 --> 00:58:42.720]   It's antecedent Mike is in the sentence.
[00:58:42.720 --> 00:58:46.720]   Maybe it needs to find that guy and realize, oh, Mike is my antecedent.
[00:58:46.720 --> 00:58:50.720]   As opposed to, say, if there was the name Sally, that's unlikely to be the match of it.
[00:58:50.720 --> 00:58:54.720]   But there's other kinds of ways words can communicate to disambiguate.
[00:58:54.720 --> 00:58:58.720]   So, for example, the word quick in English has four different meanings.
[00:58:58.720 --> 00:59:00.720]   It can mean moving fast in physical space.
[00:59:00.720 --> 00:59:03.720]   But it can also mean bright, as in quick of wit.
[00:59:03.720 --> 00:59:06.720]   It can be a body part, as in the quick of your fingernail.
[00:59:06.720 --> 00:59:12.720]   And in Shakespeare in English, it can be alive, as in the phrase the quick and the dead.
[00:59:12.720 --> 00:59:17.720]   And knowing that this word moves here helps the model understand that, oh,
[00:59:17.720 --> 00:59:20.720]   we're probably talking about quick when it's physical space.
[00:59:20.720 --> 00:59:22.720]   It helps to predict what the next word could be.
[00:59:22.720 --> 00:59:23.720]   It could be fast.
[00:59:23.720 --> 00:59:25.720]   It could be moves around.
[00:59:25.720 --> 00:59:26.720]   Right?
[00:59:26.720 --> 00:59:29.720]   But it's not, you know, a body part or your fingernail.
[00:59:29.720 --> 00:59:36.720]   And the way I like to think about attention is we've got these tokens, these words.
[00:59:36.720 --> 00:59:38.720]   And they're sitting in this embedding space.
[00:59:38.720 --> 00:59:43.720]   And I like to imagine there's kind of a weird gravity, like celestial mechanics, where each
[00:59:43.720 --> 00:59:46.720]   of these tokens in attention now suddenly look at what position they're at.
[00:59:46.720 --> 00:59:51.720]   And they're able to push and pull each other relative to a kind of gravity.
[00:59:51.720 --> 00:59:54.720]   And if you remember, gravity is mass times distance.
[00:59:54.720 --> 00:59:56.720]   So, you've probably heard of query, key, and value.
[00:59:56.720 --> 00:59:58.720]   And there's kind of this file cabin analogy.
[00:59:58.720 --> 01:00:03.720]   But I feel like it doesn't capture kind of all the level of interaction between the tokens
[01:00:03.720 --> 01:00:04.720]   that's really happening.
[01:00:04.720 --> 01:00:08.720]   And what's happening is, you know, if you remember, gravity is mass times distance.
[01:00:08.720 --> 01:00:11.720]   The distance I like to think of is a measure of relevance.
[01:00:11.720 --> 01:00:16.720]   So, quick and moves, whenever they see each other, they're like, oh, yeah, you and you,
[01:00:16.720 --> 01:00:18.720]   we should talk to each other.
[01:00:18.720 --> 01:00:21.720]   But quick and the period, they probably don't need to talk to each other a lot.
[01:00:21.720 --> 01:00:24.720]   And that's kind of like distance in terms of gravity.
[01:00:24.720 --> 01:00:27.720]   And then I like to think of the value as being kind of like mass, the kind of action they're
[01:00:27.720 --> 01:00:30.720]   going to exert on each other.
[01:00:30.720 --> 01:00:33.720]   And what's happening is, let's go back to what we talked about with embeddings.
[01:00:33.720 --> 01:00:36.720]   We've got moves, which is sitting somewhere in the embedding space.
