
[00:00:00.000 --> 00:00:01.240]   we are becoming cyborgs.
[00:27:32.460 --> 00:27:34.980]   is in my opinion the best feature
[00:27:34.980 --> 00:27:38.660]   that I've ever read about or heard about in science fiction.
[00:27:38.660 --> 00:27:44.540]   Basically there's the relationship with super intelligence,
[00:27:44.540 --> 00:27:49.140]   like artificial super intelligence is just, it's like great.
[00:27:49.140 --> 00:27:53.060]   I wanna credit the person who coined this term
[00:27:53.060 --> 00:27:55.220]   'cause I love this term.
[00:27:55.220 --> 00:27:58.640]   And I feel like young women don't get enough credit in.
[00:27:58.640 --> 00:28:03.920]   Yeah, so if you go to Protopia Futures on Instagram,
[00:28:03.920 --> 00:28:05.480]   what is her name?
[00:28:05.480 --> 00:28:07.240]   - Personalized Donor Experience at Scale
[00:28:07.240 --> 00:28:08.960]   or Ad Power Donor Experience.
[00:28:08.960 --> 00:28:13.960]   - Monica Bealskite, I'm saying that wrong.
[00:28:13.960 --> 00:28:17.680]   And I'm probably gonna, I'm probably butchering this a bit,
[00:28:17.680 --> 00:28:21.560]   but Protopia is sort of, if Utopia is unattainable,
[00:28:21.560 --> 00:28:26.000]   Protopia is sort of like, you know.
[00:28:26.000 --> 00:28:28.640]   - Wow, that's an awesome Instagram, Protopia Futures.
[00:28:28.640 --> 00:28:33.480]   - A great, a future that is as good as we can get.
[00:28:33.480 --> 00:28:34.720]   - The future, positive future.
[00:28:34.720 --> 00:28:38.360]   AI, is this a centralized AI in "Surface Detail"
[00:28:38.360 --> 00:28:39.280]   or is it distributed?
[00:28:39.280 --> 00:28:40.600]   What kind of AI is it?
[00:28:40.600 --> 00:28:43.080]   - They mostly exist as giant super ships,
[00:28:43.080 --> 00:28:45.800]   sort of like the guild ships in "Dune."
[00:28:45.800 --> 00:28:46.800]   Like they're these giant ships
[00:28:46.800 --> 00:28:49.480]   that kind of move people around and the ships are sentient.
[00:28:49.480 --> 00:28:52.240]   And they can talk to all the passengers.
[00:28:52.240 --> 00:28:56.440]   And I mean, there's a lot of different types of AI
[00:28:56.440 --> 00:28:58.320]   in the Banksyian future,
[00:28:58.320 --> 00:29:01.080]   but in the opening scene of "Surface Detail,"
[00:29:01.080 --> 00:29:02.320]   there's this place called the Culture
[00:29:02.320 --> 00:29:04.440]   and the Culture is basically a Protopian future.
[00:29:04.440 --> 00:29:07.320]   And a Protopian future, I think,
[00:29:07.320 --> 00:29:08.840]   is like a future that is like,
[00:29:08.840 --> 00:29:12.400]   obviously it's not Utopia, it's not perfect.
[00:29:12.400 --> 00:29:14.000]   And like, 'cause like striving for Utopia,
[00:29:14.000 --> 00:29:16.960]   I think feels hopeless and it's sort of like,
[00:29:16.960 --> 00:29:19.280]   maybe not the best terminology to be using.
[00:29:19.280 --> 00:29:23.960]   So it's like, it's a pretty good place.
[00:29:23.960 --> 00:29:27.680]   Like mostly like, you know,
[00:29:27.680 --> 00:29:29.880]   super intelligence and biological beings
[00:29:29.880 --> 00:29:31.920]   exist fairly in harmony.
[00:29:31.920 --> 00:29:33.120]   There's not too much war.
[00:29:33.120 --> 00:29:35.680]   There's like as close to equality as you can get.
[00:29:35.680 --> 00:29:38.680]   You know, it's like approximately a good future.
[00:29:38.680 --> 00:29:40.440]   Like there's really awesome stuff.
[00:29:40.440 --> 00:29:45.600]   And in the opening scene,
[00:29:45.600 --> 00:29:49.520]   this girl, she's born as a sex slave outside of the culture.
[00:29:49.520 --> 00:29:51.200]   So she's in a society that doesn't adhere
[00:29:51.200 --> 00:29:52.640]   to the cultural values.
[00:29:52.640 --> 00:29:56.680]   She tries to kill the guy who is her like master,
[00:29:56.680 --> 00:29:57.920]   but he kills her.
[00:29:57.920 --> 00:29:59.040]   But unbeknownst to her,
[00:29:59.040 --> 00:30:01.360]   when she was traveling on a ship through the culture
[00:30:01.360 --> 00:30:02.320]   with him one day,
[00:30:02.320 --> 00:30:05.680]   a ship put a neural lace in her head.
[00:30:05.680 --> 00:30:08.480]   And neural lace is sort of like,
[00:30:08.480 --> 00:30:09.920]   it's basically a neural link.
[00:30:09.920 --> 00:30:13.040]   'Cause life imitates art.
[00:30:13.040 --> 00:30:14.160]   - It does indeed.
[00:30:14.160 --> 00:30:15.000]   - It does indeed.
[00:30:15.000 --> 00:30:16.480]   So she wakes up and the opening scene
[00:30:16.480 --> 00:30:19.080]   is her memory has been uploaded by this neural lace
[00:30:19.080 --> 00:30:20.040]   when she has been killed.
[00:30:20.040 --> 00:30:22.680]   And now she gets to choose a new body.
[00:30:22.680 --> 00:30:26.920]   And this AI is interfacing with her recorded memory
[00:30:26.920 --> 00:30:29.520]   in her neural lace and helping her
[00:30:29.520 --> 00:30:31.320]   and being like, "Hello, you're dead.
[00:30:31.320 --> 00:30:33.760]   But because you had a neural lace, your memory's uploaded.
[00:30:33.760 --> 00:30:35.000]   Do you want to choose a new body?
[00:30:35.000 --> 00:30:36.480]   And you're going to be born here in the culture
[00:30:36.480 --> 00:30:38.160]   and like start a new life."
[00:30:38.160 --> 00:30:39.960]   Which is just, that's like the opening.
[00:30:39.960 --> 00:30:41.440]   It's like so sick.
[00:30:41.440 --> 00:30:43.680]   - And the ship is the super intelligence.
[00:30:43.680 --> 00:30:45.120]   All the ships are kind of super intelligence.
[00:30:45.120 --> 00:30:46.920]   - But they still want to preserve
[00:30:46.920 --> 00:30:49.680]   a kind of rich, fulfilling experience for the humans.
[00:30:49.680 --> 00:30:51.000]   - Yeah, like they're like friends with the humans.
[00:30:51.000 --> 00:30:51.960]   And then there's a bunch of ships
[00:30:51.960 --> 00:30:54.440]   that don't want to exist with biological beings,
[00:30:54.440 --> 00:30:57.080]   but they just have their own place, like way over there.
[00:30:57.080 --> 00:30:58.920]   - But they don't, they just do their own thing.
[00:30:58.920 --> 00:31:00.320]   They're not necessarily.
[00:31:00.320 --> 00:31:01.520]   So it's a pretty,
[00:31:01.520 --> 00:31:03.640]   the sportopian existence is pretty peaceful.
[00:31:03.640 --> 00:31:05.840]   - Yeah, I mean, and then for example,
[00:31:05.840 --> 00:31:07.900]   one of the main fights in the book is,
[00:31:07.900 --> 00:31:11.720]   they're fighting, there's these artificial hells
[00:31:13.160 --> 00:31:16.720]   that, and people don't think it's ethical
[00:31:16.720 --> 00:31:17.600]   to have artificial hell.
[00:31:17.600 --> 00:31:19.560]   Like basically when people do crime, they get sent,
[00:31:19.560 --> 00:31:21.160]   like when they die, their memory gets sent
[00:31:21.160 --> 00:31:23.480]   to an artificial hell and they're eternally tortured.
[00:31:23.480 --> 00:31:27.680]   And so, and then the way that society is deciding
[00:31:27.680 --> 00:31:29.320]   whether or not to have the artificial hell
[00:31:29.320 --> 00:31:31.920]   is that they're having these simulated,
[00:31:31.920 --> 00:31:33.240]   they're having like a simulated war.
[00:31:33.240 --> 00:31:36.040]   So instead of actual blood,
[00:31:36.040 --> 00:31:38.560]   people are basically essentially fighting in a video game
[00:31:38.560 --> 00:31:40.120]   to choose the outcome of this.
[00:31:40.120 --> 00:31:42.760]   - But they're still experiencing the suffering, right?
[00:31:42.760 --> 00:31:44.520]   - Wait, in this artificial hell or no?
[00:31:44.520 --> 00:31:45.760]   Can you experience stuff or?
[00:31:45.760 --> 00:31:47.240]   - So the artificial hell sucks.
[00:31:47.240 --> 00:31:48.360]   And a lot of people in the culture
[00:31:48.360 --> 00:31:49.920]   wanna get rid of the artificial hell.
[00:31:49.920 --> 00:31:51.320]   - There's a simulated wars,
[00:31:51.320 --> 00:31:53.920]   are they happening in the artificial hell?
[00:31:53.920 --> 00:31:55.520]   - No, the simulated wars are happening
[00:31:55.520 --> 00:31:57.120]   outside of the artificial hell.
[00:31:57.120 --> 00:31:59.960]   Between the political factions who are,
[00:31:59.960 --> 00:32:01.640]   so this political faction says,
[00:32:01.640 --> 00:32:05.040]   "We should have simulated hell to deter crime."
[00:32:05.040 --> 00:32:06.880]   And this political faction is saying,
[00:32:06.880 --> 00:32:08.920]   "No, simulated hell is unethical."
[00:32:08.920 --> 00:32:11.720]   And so instead of like having,
[00:32:11.720 --> 00:32:13.160]   blowing each other up with nukes,
[00:32:13.160 --> 00:32:18.160]   they're having like a giant Fortnite battle to decide this.
[00:32:18.160 --> 00:32:21.720]   Which, to me that's protopia.
[00:32:21.720 --> 00:32:24.560]   That's like, okay, we can have war without death.
[00:32:24.560 --> 00:32:27.480]   I don't think there should be simulated hells.
[00:32:27.480 --> 00:32:29.840]   I think that is definitely one of the ways
[00:32:29.840 --> 00:32:34.320]   in which technology could go very, very, very, very wrong.
[00:32:34.320 --> 00:32:37.160]   - So almost punishing people in a digital space
[00:32:37.160 --> 00:32:38.000]   or something like that.
[00:32:38.000 --> 00:32:40.360]   - Yeah, like torturing people's memories.
[00:32:41.360 --> 00:32:44.520]   - So either as a deterrent, like if you committed a crime,
[00:32:44.520 --> 00:32:46.280]   but also just for personal pleasure,
[00:32:46.280 --> 00:32:49.000]   if there's some sick, demented humans in this world.
[00:32:49.000 --> 00:32:53.000]   Dan Carlin actually has this episode
[00:32:53.000 --> 00:32:59.200]   of "Hardcore History" on painful attainment.
[00:32:59.200 --> 00:33:02.040]   - Oh, that episode is fucked.
[00:33:02.040 --> 00:33:05.120]   - It's dark 'cause he kind of goes through human history
[00:33:05.120 --> 00:33:08.560]   and says like, "We as humans seem to enjoy,
[00:33:08.560 --> 00:33:11.960]   "secretly enjoy or used to be openly enjoy
[00:33:11.960 --> 00:33:14.240]   "sort of the torture and the death,
[00:33:14.240 --> 00:33:17.680]   "watching the death and torture of other humans."
[00:33:17.680 --> 00:33:21.680]   - I do think if people were consenting,
[00:33:21.680 --> 00:33:26.200]   we should be allowed to have gladiatorial matches.
[00:33:26.200 --> 00:33:28.520]   - But consent is hard to achieve in those situations.
[00:33:28.520 --> 00:33:31.000]   It always starts getting slippery.
[00:33:31.000 --> 00:33:32.720]   Like it could be also forced,
[00:33:32.720 --> 00:33:34.240]   like it starts getting weird.
[00:33:34.240 --> 00:33:35.240]   - Yeah, yeah.
[00:33:35.240 --> 00:33:37.280]   - There's way too much excitement.
[00:33:37.280 --> 00:33:38.600]   Like this is what he highlights.
[00:33:38.600 --> 00:33:40.480]   There's something about human nature
[00:33:40.480 --> 00:33:42.240]   that wants to see that violence.
[00:33:42.240 --> 00:33:44.240]   And it's really dark.
[00:33:44.240 --> 00:33:47.120]   And you hope that we can sort of overcome
[00:33:47.120 --> 00:33:48.800]   that aspect of human nature,
[00:33:48.800 --> 00:33:51.240]   but that's still within us somewhere.
[00:33:51.240 --> 00:33:53.200]   - Well, I think that's what we're doing right now.
[00:33:53.200 --> 00:33:56.360]   I have this theory that what is very important
[00:33:56.360 --> 00:34:00.840]   about the current moment is that all of evolution
[00:34:00.840 --> 00:34:03.360]   has been survival of the fittest up until now.
[00:34:03.360 --> 00:34:07.240]   And at some point, the lines are kind of fuzzy,
[00:34:07.240 --> 00:34:12.080]   but in the recent past, or maybe even just right now,
[00:34:12.080 --> 00:34:14.400]   we're getting to this point
[00:34:14.400 --> 00:34:19.400]   where we can choose intelligent design.
[00:34:19.400 --> 00:34:23.440]   Like we, probably since like the integration of the iPhone,
[00:34:23.440 --> 00:34:24.800]   like we are becoming cyborgs.
[00:34:24.800 --> 00:34:27.640]   Like our brains are fundamentally changed.
[00:34:27.640 --> 00:34:29.320]   Everyone who grew up with electronics,
[00:34:29.320 --> 00:34:32.480]   we are fundamentally different from previous,
[00:34:32.480 --> 00:34:33.400]   from Homo sapiens.
[00:34:33.400 --> 00:34:34.640]   I call us Homo techno.
[00:34:34.640 --> 00:34:36.800]   I think we have evolved into Homo techno,
[00:34:36.800 --> 00:34:39.360]   which is like essentially a new species.
[00:34:39.360 --> 00:34:41.360]   Like if you look at the way,
[00:34:41.360 --> 00:34:43.360]   if you took an MRI of my brain
[00:34:43.360 --> 00:34:46.560]   and you took an MRI of like a medieval brain,
[00:34:46.560 --> 00:34:48.120]   I think it would be very different
[00:34:48.120 --> 00:34:49.960]   the way that it has evolved.
[00:34:49.960 --> 00:34:51.960]   - Do you think when historians look back at this time,
[00:34:51.960 --> 00:34:54.000]   they'll see like this was a fundamental shift
[00:34:54.000 --> 00:34:54.840]   to what a human being is?
[00:34:54.840 --> 00:34:58.000]   - I do not think we are still Homo sapiens.
[00:34:58.000 --> 00:34:59.520]   I believe we are Homo techno.
[00:34:59.520 --> 00:35:01.240]   And I think we have evolved.
[00:35:04.400 --> 00:35:07.400]   And I think right now, the way we are evolving,
[00:35:07.400 --> 00:35:09.080]   we can choose how we do that.
[00:35:09.080 --> 00:35:10.680]   And I think we were being very reckless
[00:35:10.680 --> 00:35:11.800]   about how we're doing that.
[00:35:11.800 --> 00:35:13.000]   Like we're just having social media,
[00:35:13.000 --> 00:35:16.320]   but I think this idea that like this is a time
[00:35:16.320 --> 00:35:17.760]   to choose intelligent design
[00:35:17.760 --> 00:35:19.600]   should be taken very seriously.
[00:35:19.600 --> 00:35:22.640]   It like now is the moment to reprogram the human computer.
[00:35:22.640 --> 00:35:27.240]   You know, it's like, if you go blind,
[00:35:27.240 --> 00:35:32.000]   your visual cortex will get taken over with other functions.
[00:35:32.000 --> 00:35:35.160]   We can choose our own evolution.
[00:35:35.160 --> 00:35:37.160]   We can change the way our brains work.
[00:35:37.160 --> 00:35:39.920]   And so we actually have a huge responsibility to do that.
[00:35:39.920 --> 00:35:42.880]   And I think, I'm not sure who should be responsible for that
[00:35:42.880 --> 00:35:45.200]   but there's definitely not adequate education.
[00:35:45.200 --> 00:35:46.960]   We're being inundated with all this technology
[00:35:46.960 --> 00:35:49.040]   that is fundamentally changing
[00:35:49.040 --> 00:35:50.920]   the physical structure of our brains.
[00:35:50.920 --> 00:35:54.760]   And we are not adequately responding to that
[00:35:54.760 --> 00:35:57.480]   to choose how we wanna evolve.
[00:35:57.480 --> 00:36:00.600]   And we could evolve, we could be really whatever we want.
[00:36:00.600 --> 00:36:03.040]   And I think this is a really important time.
[00:36:03.040 --> 00:36:06.480]   And I think if we choose correctly and we choose wisely,
[00:36:06.480 --> 00:36:09.760]   consciousness could exist for a very long time
[00:36:09.760 --> 00:36:12.720]   and integration with AI could be extremely positive.
[00:36:12.720 --> 00:36:14.400]   And I don't think enough people are focusing
[00:36:14.400 --> 00:36:16.400]   on this specific situation.
[00:36:16.400 --> 00:36:18.680]   - Do you think we might irreversibly screw things up
[00:36:18.680 --> 00:36:20.000]   if we get things wrong now?
[00:36:20.000 --> 00:36:21.640]   'Cause like the flip side of that,
[00:36:21.640 --> 00:36:23.200]   it seems humans are pretty adaptive.
[00:36:23.200 --> 00:36:26.880]   So maybe the way we figure things out is by screwing it up.
[00:36:26.880 --> 00:36:29.480]   Like social media over a generation
[00:36:29.480 --> 00:36:31.200]   we'll see the negative effects of social media
[00:36:31.200 --> 00:36:33.080]   and then we build new social medias
[00:36:33.080 --> 00:36:34.960]   and we just keep improving stuff.
[00:36:34.960 --> 00:36:37.640]   And then we learn the failure from the failures of the past.
[00:36:37.640 --> 00:36:39.880]   'Cause humans seem to be really adaptive.
[00:36:39.880 --> 00:36:42.960]   On the flip side, we can get it wrong in a way
[00:36:42.960 --> 00:36:46.360]   where like literally we create weapons of war
[00:36:46.360 --> 00:36:49.600]   or increase hate past a certain threshold
[00:36:49.600 --> 00:36:51.840]   we really do a lot of damage.
[00:36:51.840 --> 00:36:53.680]   - I mean, I think we're optimized
[00:36:53.680 --> 00:36:55.680]   to notice the negative things.
[00:36:55.680 --> 00:36:57.200]   But I would actually say,
[00:36:59.320 --> 00:37:00.160]   you know, one of the things
[00:37:00.160 --> 00:37:02.360]   that I think people aren't noticing is like,
[00:37:02.360 --> 00:37:04.320]   if you look at Silicon Valley and you look at like,
[00:37:04.320 --> 00:37:08.360]   whatever the technocracy, like what's been happening there.
[00:37:08.360 --> 00:37:10.080]   Like it's like when Silicon Valley started,
[00:37:10.080 --> 00:37:11.440]   it was all just like Facebook
[00:37:11.440 --> 00:37:14.040]   and all this like for-profit crap
[00:37:14.040 --> 00:37:16.920]   that like really wasn't particular.
[00:37:16.920 --> 00:37:19.320]   I guess it was useful, but it was, it's sort of
[00:37:19.320 --> 00:37:22.200]   just like whatever.
[00:37:22.200 --> 00:37:24.680]   But like now you see like lab grown meat,
[00:37:24.680 --> 00:37:28.400]   like compostable or like biodegradable,
[00:37:28.400 --> 00:37:33.160]   like single use cutlery or like meditation apps.
[00:37:33.160 --> 00:37:38.160]   I think we are actually evolving and changing
[00:37:38.160 --> 00:37:39.640]   and technology is changing.
[00:37:39.640 --> 00:37:41.600]   I think they're just maybe
[00:37:41.600 --> 00:37:47.560]   there isn't quite enough education about this.
[00:37:47.560 --> 00:37:50.320]   And also I don't know if there's like
[00:37:50.320 --> 00:37:52.960]   quite enough incentive for it
[00:37:52.960 --> 00:37:55.160]   because I think the way capitalism works,
[00:37:56.640 --> 00:37:58.560]   what we define as profit,
[00:37:58.560 --> 00:38:00.440]   we're also working on an old model
[00:38:00.440 --> 00:38:01.600]   of what we define as profit.
[00:38:01.600 --> 00:38:04.200]   I really think if we changed
[00:38:04.200 --> 00:38:08.280]   the idea of profit to include social good,
[00:38:08.280 --> 00:38:09.880]   you can have like economic profit,
[00:38:09.880 --> 00:38:12.640]   social good also counting as profit
[00:38:12.640 --> 00:38:15.160]   would incentivize things that are more useful
[00:38:15.160 --> 00:38:17.000]   and more whatever spiritual technology
[00:38:17.000 --> 00:38:18.040]   or like positive technology,
[00:38:18.040 --> 00:38:21.320]   or you know, things that help reprogram
[00:38:21.320 --> 00:38:22.960]   a human computer in a good way,
[00:38:22.960 --> 00:38:27.960]   or things that help us intelligently design our new brains.
[00:38:27.960 --> 00:38:29.440]   - Yeah, there's no reason why
[00:38:29.440 --> 00:38:31.360]   within the framework of capitalism,
[00:38:31.360 --> 00:38:33.840]   the word profit or the idea of profit
[00:38:33.840 --> 00:38:35.640]   can't also incorporate, you know,
[00:38:35.640 --> 00:38:37.400]   the well-being of a human being.
[00:38:37.400 --> 00:38:40.140]   So like long-term well-being, long-term happiness.
[00:38:40.140 --> 00:38:42.800]   - Or even for example,
[00:38:42.800 --> 00:38:43.880]   you know, we were talking about motherhood,
[00:38:43.880 --> 00:38:44.880]   like part of the reason I'm so late
[00:38:44.880 --> 00:38:47.440]   is 'cause I had to get the baby to bed.
[00:38:47.440 --> 00:38:48.920]   And it's like, I keep thinking about motherhood,
[00:38:48.920 --> 00:38:51.400]   how under capitalism,
[00:38:51.400 --> 00:38:53.720]   it's like this extremely essential job
[00:38:53.720 --> 00:38:56.520]   that is very difficult, that is not compensated.
[00:38:56.520 --> 00:38:58.480]   And we sort of like value things
[00:38:58.480 --> 00:39:01.960]   by how much we compensate them.
[00:39:01.960 --> 00:39:04.920]   And so we really devalue motherhood in our society
[00:39:04.920 --> 00:39:06.120]   and pretty much all societies.
[00:39:06.120 --> 00:39:08.200]   Like capitalism does not recognize motherhood.
[00:39:08.200 --> 00:39:11.200]   It's just a job that you're supposed to do for free.
[00:39:11.200 --> 00:39:15.400]   And it's like, but I feel like producing great humans
[00:39:15.400 --> 00:39:19.480]   should be seen as a great, as profit under capitalism.
[00:39:19.480 --> 00:39:21.520]   Like that should be, that's like a huge social good.
[00:39:21.520 --> 00:39:24.200]   Like every awesome human that gets made
[00:39:24.200 --> 00:39:25.640]   adds so much to the world.
[00:39:25.640 --> 00:39:29.880]   So like if that was integrated into the profit structure,
[00:39:29.880 --> 00:39:34.280]   then, you know, and if we potentially found a way
[00:39:34.280 --> 00:39:35.680]   to compensate motherhood.
[00:39:35.680 --> 00:39:37.960]   - So come up with a compensation
[00:39:37.960 --> 00:39:40.680]   that's much broader than just money or--
[00:39:40.680 --> 00:39:42.080]   - Or it could just be money.
[00:39:42.080 --> 00:39:45.520]   Like what if you just made, I don't know,
[00:39:45.520 --> 00:39:46.680]   but I don't know how you'd pay for that.
[00:39:46.680 --> 00:39:49.480]   Like, I mean, that's where you start getting into--
[00:39:49.480 --> 00:39:56.360]   - Reallocation of resources that people get upset over.
[00:39:56.360 --> 00:39:58.600]   - Well, what if we made like a motherhood Dow?
[00:39:58.600 --> 00:40:00.040]   (both laughing)
[00:40:00.040 --> 00:40:01.240]   - Yeah, yeah, yeah.
[00:40:01.240 --> 00:40:06.240]   - You know, and used it to fund like single mothers,
[00:40:06.240 --> 00:40:12.720]   like, you know, pay for making babies.
[00:40:13.640 --> 00:40:17.360]   So, I mean, if you create and put beautiful things
[00:40:17.360 --> 00:40:19.760]   onto the world, that could be companies,
[00:40:19.760 --> 00:40:22.640]   that can be bridges, that could be art,
[00:40:22.640 --> 00:40:24.280]   that could be a lot of things,
[00:40:24.280 --> 00:40:28.080]   and that could be children, which are--
[00:40:28.080 --> 00:40:29.320]   - Or education or--
[00:40:29.320 --> 00:40:32.400]   - Anything that could just should be valued by society.
[00:40:32.400 --> 00:40:34.240]   And that should be somehow incorporated
[00:40:34.240 --> 00:40:38.480]   into the framework of what, as a market of what,
[00:40:38.480 --> 00:40:40.520]   like if you contribute children to this world,
[00:40:40.520 --> 00:40:42.440]   that should be valued and respected.
[00:40:42.440 --> 00:40:47.440]   And sort of celebrated, like proportional to what it is,
[00:40:47.440 --> 00:40:51.520]   which is it's the thing that fuels human civilization.
[00:40:51.520 --> 00:40:52.360]   - Yeah, like I--
[00:40:52.360 --> 00:40:53.200]   - It's kind of important.
[00:40:53.200 --> 00:40:54.560]   - I feel like everyone's always saying,
[00:40:54.560 --> 00:40:56.480]   I mean, I think we're in very different social spheres,
[00:40:56.480 --> 00:40:58.840]   but everyone's always saying like dismantle capitalism.
[00:40:58.840 --> 00:40:59.680]   And I'm like, well, okay,
[00:40:59.680 --> 00:41:02.080]   well, I don't think the government should own everything.
[00:41:02.080 --> 00:41:04.160]   Like, I don't think we should not have private ownership.
[00:41:04.160 --> 00:41:05.320]   Like, that's scary.
[00:41:05.320 --> 00:41:07.240]   You know, like that starts getting into weird stuff
[00:41:07.240 --> 00:41:08.880]   and just sort of like,
[00:41:08.880 --> 00:41:10.040]   I feel there's almost no way to do that
[00:41:10.040 --> 00:41:11.960]   without a police state, you know?
[00:41:11.960 --> 00:41:13.560]   - Yeah.
[00:41:13.560 --> 00:41:17.040]   - But obviously capitalism has some major flaws.
[00:41:17.040 --> 00:41:20.400]   And I think actually Mack showed me this idea
[00:41:20.400 --> 00:41:22.160]   called social capitalism,
[00:41:22.160 --> 00:41:24.640]   which is a form of capitalism that just like
[00:41:24.640 --> 00:41:28.600]   considers social good to be also profit.
[00:41:28.600 --> 00:41:31.640]   Like, you know, it's like right now companies need to,
[00:41:31.640 --> 00:41:34.600]   like you're supposed to grow every quarter or whatever
[00:41:34.600 --> 00:41:38.760]   to like show that you're functioning well.
[00:41:38.760 --> 00:41:39.960]   But it's like, okay, well,
[00:41:39.960 --> 00:41:42.960]   what if you kept the same amount of profit,
[00:41:42.960 --> 00:41:43.960]   you're still in the green,
[00:41:43.960 --> 00:41:45.640]   but then you have also all the social good.
[00:41:45.640 --> 00:41:47.600]   Like, do you really need all this extra economic growth
[00:41:47.600 --> 00:41:49.560]   or could you add this social good and that counts?
[00:41:49.560 --> 00:41:54.040]   And you know, I don't know if I am not an economist.
[00:41:54.040 --> 00:41:56.400]   I have no idea how this could be achieved, but--
[00:41:56.400 --> 00:41:57.880]   - I don't think economists know
[00:41:57.880 --> 00:42:00.360]   how anything could be achieved either, but they pretend.
[00:42:00.360 --> 00:42:02.360]   That's the thing, they construct a model
[00:42:02.360 --> 00:42:06.200]   and they go on TV shows and sound like an expert.
[00:42:06.200 --> 00:42:08.560]   That's the definition of an economist.
[00:42:08.560 --> 00:42:12.280]   - How did being a mother, becoming a mother
[00:42:12.280 --> 00:42:15.240]   change you as a human being, would you say?
[00:42:15.240 --> 00:42:21.040]   - Man, I think it kind of changed everything
[00:42:21.040 --> 00:42:22.400]   and it's still changing me a lot.
[00:42:22.400 --> 00:42:24.920]   It's actually changing me more right now in this moment
[00:42:24.920 --> 00:42:26.400]   than it was before.
[00:42:26.400 --> 00:42:27.440]   - Like today?
[00:42:27.440 --> 00:42:28.520]   Like this--
[00:42:28.520 --> 00:42:32.500]   - Just like in the most recent months and stuff.
[00:42:32.500 --> 00:42:37.600]   - Can you elucidate that how,
[00:42:37.600 --> 00:42:39.360]   like when you wake up in the morning
[00:42:39.360 --> 00:42:41.860]   and you look at yourself, it's again, who are you?
[00:42:41.860 --> 00:42:45.520]   How have you become different, would you say?
[00:42:45.520 --> 00:42:50.520]   - I think it's just really reorienting my priorities.
[00:42:50.520 --> 00:42:53.400]   And at first I was really fighting against that
[00:42:53.400 --> 00:42:55.600]   because I somehow felt it was like a failure
[00:42:55.600 --> 00:42:56.680]   of feminism or something.
[00:42:56.680 --> 00:42:59.840]   Like I felt like it was like bad
[00:42:59.840 --> 00:43:04.360]   if like my kids started mattering more than my work.
[00:43:05.680 --> 00:43:09.000]   And then like more recently I started sort of analyzing
[00:43:09.000 --> 00:43:12.280]   that thought in myself and being like,
[00:43:12.280 --> 00:43:13.920]   that's also kind of a construct.
[00:43:13.920 --> 00:43:16.320]   It's like we've just devalued motherhood so much
[00:43:16.320 --> 00:43:21.320]   in our culture that like I feel guilty for caring
[00:43:21.320 --> 00:43:23.360]   about my kids more than I care about my work.
[00:43:23.360 --> 00:43:25.800]   - So feminism includes breaking out
[00:43:25.800 --> 00:43:27.500]   of whatever the construct is.
[00:43:27.500 --> 00:43:32.960]   So it's continually breaking, it's like freedom,
[00:43:32.960 --> 00:43:36.080]   empower you to be free and that means--
[00:43:36.080 --> 00:43:40.080]   - But it also, but like being a mother,
[00:43:40.080 --> 00:43:41.880]   like I'm so much more creative.
[00:43:41.880 --> 00:43:45.920]   Like I cannot believe the massive amount
[00:43:45.920 --> 00:43:48.480]   of brain growth that I have.
[00:43:48.480 --> 00:43:49.320]   - Why do you think that is?
[00:43:49.320 --> 00:43:51.980]   Just 'cause like the stakes are higher somehow?
[00:43:51.980 --> 00:43:58.040]   - I think it's like, it's just so trippy
[00:43:58.040 --> 00:44:00.840]   watching consciousness emerge.
[00:44:00.840 --> 00:44:05.440]   It's just like, it's like going on a crazy journey
[00:44:05.440 --> 00:44:10.240]   or something, it's like the craziest science fiction novel
[00:44:10.240 --> 00:44:11.080]   you could ever read.
[00:44:11.080 --> 00:44:15.120]   It's just so crazy watching consciousness come into being.
[00:44:15.120 --> 00:44:16.560]   And then at the same time,
[00:44:16.560 --> 00:44:21.160]   like you're forced to value your time so much.
[00:44:21.160 --> 00:44:23.560]   Like when I have creative time now, it's so sacred.
[00:44:23.560 --> 00:44:28.560]   I need to like be really fricking on it.
[00:44:29.400 --> 00:44:34.400]   But the other thing is that I used to just be like a cynic
[00:44:34.400 --> 00:44:35.560]   and I used to just wanna,
[00:44:35.560 --> 00:44:38.120]   like my last album was called "Misanthropocene"
[00:44:38.120 --> 00:44:42.640]   and it was like a study in villainy,
[00:44:42.640 --> 00:44:45.020]   or like it was like, well, what if we have,
[00:44:45.020 --> 00:44:46.840]   instead of the old gods, we have like new gods
[00:44:46.840 --> 00:44:49.740]   and it's like misanthropocene is like misanthrope
[00:44:49.740 --> 00:44:52.200]   like and anthropocene, which is like the,
[00:44:52.200 --> 00:44:55.800]   like and she's the goddess of climate change or whatever.
[00:44:55.800 --> 00:44:57.000]   And she's like destroying the world.
[00:44:57.000 --> 00:44:59.680]   And it was just like, it was like dark
[00:44:59.680 --> 00:45:01.400]   and it was like a study in villainy.
[00:45:01.400 --> 00:45:02.720]   And it was sort of just like,
[00:45:02.720 --> 00:45:05.820]   like I used to like have no problem just making cynical,
[00:45:05.820 --> 00:45:09.040]   angry, scary art.
[00:45:09.040 --> 00:45:11.140]   And not that there's anything wrong with that,
[00:45:11.140 --> 00:45:13.600]   but I think having kids just makes you such an optimist.
