
[00:00:00.000 --> 00:00:05.360]   With the biggest wealth transfer in history underway, how people think about money has never
[00:23:08.980 --> 00:23:15.460]   an anomaly event in a way we haven't had a major market correction, right? Like anything really,
[00:23:15.460 --> 00:23:20.020]   really significant that didn't recover quickly. I've looked at this in the past. The housing market
[00:23:20.020 --> 00:23:25.220]   does not fall that often nationwide in certain markets, obviously in their markets right now,
[00:23:25.220 --> 00:23:30.980]   in like Texas and Florida, that just got so overheated that the prices are coming in and the supply is,
[00:23:30.980 --> 00:23:36.420]   is, is rising. But on a nationwide basis, even during recessions, I looked at this, I think
[00:23:36.420 --> 00:23:41.380]   in something like seven out of the past nine recessions, housing prices have risen.
[00:23:41.380 --> 00:23:47.940]   So people think that the housing crisis in 2008 is the norm, but that is an outlier. It doesn't happen
[00:23:47.940 --> 00:23:53.860]   all that often. And so if you're waiting for this big fat pitch, it just might not come. And, and again,
[00:23:53.860 --> 00:23:58.420]   it's because housing houses don't trade like stocks, right? You don't see the prices every
[00:23:58.420 --> 00:24:02.580]   day. People aren't able to panic because it's an illiquid asset. When you've talked to people or
[00:24:02.580 --> 00:24:08.500]   looked at historically, has everyone for the history of time always felt like everything's expensive
[00:24:08.500 --> 00:24:13.220]   right now and everything's overpriced. Like I haven't been in the market per se for, you know,
[00:24:13.220 --> 00:24:20.340]   five, 10 decades, but it seems like my experience the last 20 years is that everyone always thinks
[00:24:20.340 --> 00:24:23.220]   everything's expensive unless a recession has just hit.
[00:24:23.220 --> 00:24:27.380]   Yeah. So there's a guy, uh, John Reckenfeller, one of my favorite personal finance columnists at
[00:24:27.380 --> 00:24:32.740]   Morningstar retired, uh, a couple months ago. And he wrote this piece. His last piece was all about
[00:24:32.740 --> 00:24:37.380]   the stock market. And he said he'd been investing since 1987. Every year since then, people have
[00:24:37.380 --> 00:24:42.260]   thought the stock market was overvalued. What if this is it? And I missed the boat. And he said,
[00:24:42.260 --> 00:24:46.580]   every time they've been wrong. And think about how many people have tried to call the next crash ever
[00:24:46.580 --> 00:24:51.300]   since 2008 that, you know, look at the Cape ratio and look at this and the stock market is overvalued.
[00:24:51.300 --> 00:24:57.780]   And what happens when Apple hits a trillion dollars and that's the sign. And yes, I think that trying
[00:24:57.780 --> 00:25:01.620]   to play that game is just better left for professionals. And even they can't do it.
[00:25:01.620 --> 00:25:06.020]   I know you wrote this piece a while back about financial advice that doesn't work anymore. And
[00:25:06.020 --> 00:25:10.820]   I'm wondering if there are any other lessons that we've maybe picked up from our parents' generation
[00:25:10.820 --> 00:25:16.420]   that maybe for a younger generation right now, or even for that older generation living right now,
[00:25:16.420 --> 00:25:20.340]   you know, maybe those are things that they should kind of leave by the wayside.
[00:25:20.340 --> 00:25:23.220]   Well, I think one of them I wrote in there, since we're talking about the housing market,
[00:25:23.220 --> 00:25:27.300]   is that you need to have a 20% down payment to buy a house. And I think for people,
[00:25:27.300 --> 00:25:31.300]   for most people, that's almost impossible these days, especially living, think about where you
[00:25:31.300 --> 00:25:36.580]   live in California, how long would it take people to save up that money unless they have some stock
[00:25:36.580 --> 00:25:41.460]   options from a company they work at or something. And so I think it's okay to, you know,
[00:25:41.460 --> 00:25:45.860]   put five to 10% down on your first house. I think our first house, we put 5% down. And
[00:25:45.860 --> 00:25:51.700]   it seems imprudent for some reason. But again, as long as you can afford that monthly payment and
[00:25:51.700 --> 00:25:56.420]   all the ancillary costs, I don't think that's a big deal. Now, I feel like a lot of the personal
[00:25:56.420 --> 00:26:00.260]   finance experts might've shunned me for this one. But I say, especially early on, the whole idea that
[00:26:00.260 --> 00:26:05.460]   you need to have 12 months of savings and emergency fund, I think that's almost impossible for people
[00:26:05.460 --> 00:26:12.180]   just starting out. It's a goal that is something that you can work for. But again, I think if that's your
[00:26:12.180 --> 00:26:16.660]   only goal, you're going to probably have other financial goals that fall by the wayside. And so
[00:26:16.660 --> 00:26:21.700]   I think it's okay to like, put a toe in the water and slowly but surely build these things up over time.
[00:26:21.700 --> 00:26:26.980]   Building up your savings rate, like slowly increase it every time you get a raise or every year,
[00:26:26.980 --> 00:26:31.540]   right? And, and start out with one month of emergency fund savings, and then work up to two,
[00:26:31.540 --> 00:26:37.460]   three and four and slowly but surely get there and not try to just do everything all at once. I think
[00:26:37.460 --> 00:26:41.620]   people in the personal finance world often kind of look down on that stuff.
[00:26:41.620 --> 00:26:46.980]   And just the other one that I've completely changed my mind on, I've always been the spreadsheet
[00:26:46.980 --> 00:26:50.980]   warrior. For whatever reason, I think part of it was, I think a lot of people get their financial
[00:26:50.980 --> 00:26:54.980]   habits, it's half your personality and half your upbringing, some combination thereof.
[00:26:55.940 --> 00:27:01.540]   And my parents did a really good job instilling in me the savings habits. And my dad always talked
[00:27:01.540 --> 00:27:04.740]   about just don't have credit card debt. Like that was the one thing that was drilled into me from an
[00:27:04.740 --> 00:27:08.500]   early age. Don't have credit card debt, it's one of the worst decisions you can make. And I still
[00:27:08.500 --> 00:27:12.980]   believe that. But I think especially since I've had kids, the idea of just spending money and enjoying
[00:27:12.980 --> 00:27:18.100]   some of it now, that has been a big mindset shift for me that if you would have told me that in my 20s and
[00:27:18.100 --> 00:27:23.300]   early 30s, I would have said, you're nuts. No, you think about how much you're giving up on compounding
[00:27:23.300 --> 00:27:28.740]   interest over time and all these things. And I do think that's one of the areas where the younger
[00:27:28.740 --> 00:27:34.020]   generation has learned to enjoy themselves more. Now, older generations may look at them and say,
[00:27:34.020 --> 00:27:40.340]   well, they're overdoing it. They're spending way too much money. But I think that that mindset shift
[00:27:40.340 --> 00:27:45.700]   is way different now of just things like paying for convenience and, and again, traveling and,
[00:27:45.700 --> 00:27:50.420]   and paying for experiences. I think that's something that a younger generation gets right,
[00:27:50.420 --> 00:27:53.220]   that the older generation probably didn't spend enough time thinking.
[00:27:53.220 --> 00:27:56.980]   How did you make that transition? I know there are a lot of people listening who kind of
[00:27:56.980 --> 00:28:03.700]   fall in the frugal, heavy saving mindset. And so it's hard to like actually recalibrate to say,
[00:28:03.700 --> 00:28:07.060]   let's spend some money. You know, like I can look back to moments where I was like,
[00:28:07.540 --> 00:28:12.660]   I'd love an appetizer, but like, do I really want to pay an extra $7? It's just hard for me
[00:28:12.660 --> 00:28:18.260]   to learn to spend and I've had to get better. But I feel like when I hear you on your show talking,
[00:28:18.260 --> 00:28:22.740]   it's actually, you've kind of changed your habits without a gigantic windfall.
[00:28:22.740 --> 00:28:29.140]   So a couple of things, I think I did baby steps at first. So when I first got out of college and I'm
[00:28:29.140 --> 00:28:34.900]   trying to learn about markets, this is pre podcasting and pre YouTube. And I had to go to the library and
[00:28:34.900 --> 00:28:38.500]   start reading books because I was so far behind and I didn't have a lot of knowledge.
[00:28:38.500 --> 00:28:41.140]   I realized that in my first job, like, Oh my gosh, I have textbook knowledge,
[00:28:41.140 --> 00:28:44.580]   but I don't really understand how the markets work and how behavioral psychology works.
[00:28:44.580 --> 00:28:47.060]   And so I would go to the library. And if there was a book I really wanted,
[00:28:47.060 --> 00:28:50.180]   and it wasn't there, I would just have to wait for it. And this is my frugal mindset going,
[00:28:50.180 --> 00:28:53.860]   okay, I'll just wait till it's ready. And six months later, I'm still waiting in line.
[00:28:53.860 --> 00:28:58.740]   And at a certain point, I just said to myself, why am I not just spending $9.99 on Amazon to buy this book?
[00:28:58.740 --> 00:29:02.980]   And so I gave myself permission that anytime you want to buy a book, just buy it.
[00:29:02.980 --> 00:29:07.300]   Right. It's good. This is going to help your career. It's going to help your knowledge. Like
[00:29:07.300 --> 00:29:11.780]   it's going to be a good thing for you. So in categories like that, give yourself permission
[00:29:11.780 --> 00:29:15.540]   to just spend on those certain categories. Right. That's not everything. It's just,
[00:29:15.540 --> 00:29:21.060]   that's one or two things. And the other thing I did is I started just making it part of my savings
[00:29:21.060 --> 00:29:26.900]   budget. Right. So I, I turned the dial up on my vacation fund. And so every month,
[00:29:26.900 --> 00:29:31.300]   a certain amount goes into my high yield savings account. And it's just bucketed for taking a
[00:29:31.300 --> 00:29:36.100]   vacation because my wife and I had to talk about this. And I just said, what, what is important to
[00:29:36.100 --> 00:29:40.340]   you in terms of spending? And this is when we had kids, she said, I want to go on more trips because
[00:29:40.340 --> 00:29:45.140]   the first couple of years of having twins, we could not go on vacations because it was just too hard.
[00:29:45.140 --> 00:29:51.380]   The strollers and the double car seats and all the stuff that they need. It was impossible. So
[00:29:51.380 --> 00:29:55.460]   after, after we got through that period, my wife just said, I want to make this a priority in our
[00:29:55.460 --> 00:30:00.900]   finances. And so we dialed up that savings. And even if it meant not money, not going into our
[00:30:00.900 --> 00:30:06.580]   retirement accounts or whatever, it, it, it's something that we, we created as a monthly part of
[00:30:06.580 --> 00:30:11.380]   our budget. I track, you know, how much we'd save every year, obviously, as a personal finance guy,
[00:30:11.380 --> 00:30:15.620]   I showed my wife, here's our savings by year. And I plotted it out in a, in a bar chart.
[00:30:15.620 --> 00:30:21.300]   And we had this outlier year in 2021. And I think it's probably partly pandemic related.
[00:30:21.300 --> 00:30:26.180]   We just saved way more money than we'd ever saved before. And I think part of it is we weren't quite
[00:30:26.180 --> 00:30:32.340]   traveling yet. And I said, what are we doing here? Why, why did we all of a sudden ramp this up so
[00:30:32.340 --> 00:30:37.140]   quickly? Cause I like slowly, but surely saving more money. And my wife said, maybe we need to just
[00:30:37.140 --> 00:30:41.220]   increase the spending a little more too, then, and not have the savings jump that high.
[00:30:41.220 --> 00:30:45.060]   And so in recent years, since 2021, that's like a high watermark for me.
[00:30:45.060 --> 00:30:50.260]   And we've made a conscious decision to, Hey, we're still hitting our savings goal, but we don't need
[00:30:50.260 --> 00:30:56.020]   to like overdo it so much. It's something that was a multi-year thing for me where I had to slowly,
[00:30:56.020 --> 00:31:01.700]   but surely ease into it. I say that there, you should save enough money where sometimes it's
[00:31:01.700 --> 00:31:07.220]   painful where you go, geez, I could be taking a vacation to Hawaii with how much money I put into
[00:31:07.220 --> 00:31:12.500]   my 401k or IRA this year. Right. And you kind of think that, but on the other end, you're spending
[00:31:12.500 --> 00:31:16.660]   enough money where you go, geez, in 30 years, can you imagine how much money this would be worth?
[00:31:16.660 --> 00:31:21.060]   And I think you have to kind of go back and forth between these two camps. That's like the balance
[00:31:21.060 --> 00:31:21.780]   you're trying to strike.
[00:31:21.780 --> 00:31:27.380]   Now, maybe it's a complicated model, but is there something that gives you the confidence
[00:31:27.380 --> 00:31:31.300]   that the amount you're saving, which might be less because you've, you know, dialed up some of your
[00:31:31.300 --> 00:31:35.940]   spending is still enough. The idea of coast fire, right? You save a lot of money and then you let
[00:31:35.940 --> 00:31:43.540]   it compound. I think because my wife and I started saving early, seeing the compounding over time and
[00:31:43.540 --> 00:31:48.340]   then doing some calculations of in 20 years, here's what this is going to be when we decide to retire,
[00:31:48.340 --> 00:31:53.140]   whatever it is. Saving early was a big thing that's given me confidence where I don't have
[00:31:53.140 --> 00:31:58.580]   to keep, you know, plowing in and not in delaying the gratification. And so I think that's part of it,
[00:31:58.580 --> 00:32:04.340]   too, that we did so well saving in our twenties and we weren't making a ton of money and we weren't saving
[00:32:04.340 --> 00:32:09.780]   it a lot, but we did so on a regular basis and we slowly but surely increase. And so I think having that
[00:32:09.780 --> 00:32:15.700]   piece where I think of the compounding benefits and you never know how the future is going to turn out,
[00:32:15.700 --> 00:32:20.340]   but that gives me some sort of peace of mind that, okay, we've been saving for 20 years
[00:32:20.340 --> 00:32:26.260]   and it's going to keep compounding, even if it's at a lower rate than it has for the past 20. I think
[00:32:26.260 --> 00:32:28.980]   we're still in a pretty good place. So that's given me some peace of mind, too.
[00:32:28.980 --> 00:32:34.100]   Yeah. And I think sometimes it comes across like coast fire is not a is not a spectrum, but
[00:32:34.100 --> 00:32:38.820]   you know, it's like, oh, well, I have enough money that I don't have to save or I don't have
[00:32:38.820 --> 00:32:43.460]   enough money. So I have to save everything. And there's obviously spectrum in there. Like
[00:32:43.460 --> 00:32:47.380]   you and I probably might feel like we have a good amount of savings. That doesn't mean we never put
[00:32:47.380 --> 00:32:52.660]   more money in savings. Like I'm putting money in retirement accounts and 529s and I'm still saving.
[00:32:52.660 --> 00:32:58.420]   But similarly, I've realized what we've been saving so much. Are we going to be okay if we just save a
[00:32:58.420 --> 00:33:04.100]   little less for a few years when we think that's the right time? And I will say it's tough to model
[00:33:04.100 --> 00:33:08.500]   that out. Like there are, I'm going to do a whole episode on these like net worth modeling tools. And
[00:33:08.500 --> 00:33:13.780]   sometimes it's just hard to know if that's going to be enough because who knows how long it's going to
[00:33:13.780 --> 00:33:17.700]   be, who knows what's going to happen with the markets. And even these tools, if you dial the
[00:33:17.700 --> 00:33:23.140]   assumption for your rate of return up by one or 2%, it's like you're going to retire with millions of
[00:33:23.140 --> 00:33:28.500]   dollars or you're going to run out of money. So I guess at some point, the thing that gives me
[00:33:28.500 --> 00:33:34.260]   confidence is, well, you know what? If the markets don't stop returning like they have the last 10
[00:33:34.260 --> 00:33:40.180]   years, your spending is a knob you can change, right? If you go buy a house, you could sell it,
[00:33:40.180 --> 00:33:45.060]   but that's a harder thing. But if you spend a little more on vacations in years when the market's good,
[00:33:45.060 --> 00:33:49.940]   and then all of a sudden we're in a really big problem, you could stop going to vacation.
[00:33:49.940 --> 00:33:52.740]   If you were spending it on private school, you could put your kids in public school.
[00:33:52.740 --> 00:33:58.900]   Like the nice thing about flexing on, on kind of variable spending is that you can change it.
[00:33:58.900 --> 00:34:02.820]   If the underlying assumptions change, you lose your job, you know, you get a windfall,
[00:34:02.820 --> 00:34:05.220]   you could dial it up. You know, there's, there's that flexibility.
[00:34:05.220 --> 00:34:08.740]   And that's the conversation that we have with wealth management clients.
[00:34:08.740 --> 00:34:12.580]   You know, the, the 4% rule for retirement withdrawals, it's a rule that maybe 1% of the
[00:34:12.580 --> 00:34:17.860]   population actually does in, you know, in reality, because most people spend more money in their
[00:34:17.860 --> 00:34:20.020]   sixties than they do in their seventies and their eighties, right?
[00:34:20.020 --> 00:34:22.100]   Because their health slows down. They don't travel as much.
[00:34:22.660 --> 00:34:24.900]   But also when things are going good, people tend to spend more.
[00:34:24.900 --> 00:34:26.580]   And when things are going bad, they tend to reign it in.
[00:34:26.580 --> 00:34:29.860]   And I think that's actually okay to have some variability there.
[00:34:29.860 --> 00:34:34.020]   And we tell that with clients, like we're going to use a baseline for a percentage of spending,
[00:34:34.020 --> 00:34:37.380]   but it's more based on your budget. And then we're going to have conversations.
[00:34:37.380 --> 00:34:39.140]   Okay. Here's what the market actually did.
[00:34:39.140 --> 00:34:42.500]   Maybe you can turn the knob up a little bit, or, Hey, things are worse.
[00:34:42.500 --> 00:34:46.260]   If you're a little worried, maybe dial it back this year. Don't take that fourth vacation or
[00:34:46.260 --> 00:34:51.220]   whatever it is. And so I think that having some flexibility, that's the whole point of financial
[00:34:51.220 --> 00:34:54.340]   planning and why we always tell people that it's a process and not an event.
[00:34:54.340 --> 00:34:58.580]   It's not something that you lay out on day one and say, this is exactly how it's going to go.
[00:34:58.580 --> 00:35:04.100]   Because I look at my own life and think through all the different changes and career paths and savings
[00:35:04.100 --> 00:35:06.660]   and investment vehicles that have happened and how the market has turned out.
[00:35:06.660 --> 00:35:10.820]   I don't think I could have possibly ever thought the market would have done
[00:35:10.820 --> 00:35:12.820]   this well coming out of the great financial crisis.
[00:35:12.820 --> 00:35:16.740]   We're looking at like a 15 year bull market, depending on how you define these things.
[00:35:16.740 --> 00:35:23.540]   We've had setbacks along the way, but I think back to the way people were talking in 2010, 11, 12,
[00:35:23.540 --> 00:35:27.460]   and people were still so worried about the state of the world and the market is,
[00:35:27.460 --> 00:35:33.060]   what if it just takes so long to come back? And so I think trying to predict these things is just
[00:35:33.060 --> 00:35:36.580]   so difficult to do. So yeah, to your point, if you're just a little more flexible with it,
[00:35:36.580 --> 00:35:41.620]   that's the key. This episode is brought to you by Notion. Now I'm always juggling everything from
[00:35:41.620 --> 00:35:46.580]   goal setting for the business, to outlining big projects, to planning travel. And I do it all in
[00:35:46.580 --> 00:35:52.180]   Notion because it's so simple and beautifully designed, letting you combine notes, docs, and tasks
[00:35:52.180 --> 00:35:58.820]   into one seamless space. And the new Notion AI is a single AI tool that does it all. Search across
[00:35:58.820 --> 00:36:04.740]   Notion and other apps, generate docs in your own style, analyze PDFs and images, and chat with you
[00:36:04.740 --> 00:36:09.940]   about anything. It feels like having a personal assistant built right into your workspace. That
[00:36:09.940 --> 00:36:15.220]   makes Notion the perfect place to organize your tasks, track your habits, write beautiful docs,
[00:36:15.220 --> 00:36:18.740]   and collaborate with your team. And the more content you add to Notion,
[00:36:18.740 --> 00:36:24.580]   the more Notion AI can personalize its responses for you. I use Notion all the time. It's been an
[00:36:24.580 --> 00:36:30.180]   absolute game changer for productivity, and I'm not alone. Notion is used by over half of Fortune 500
[00:36:30.180 --> 00:36:35.540]   companies. Teams that use Notion send less email, cancel more meetings, save time searching,
[00:36:35.540 --> 00:36:42.660]   and spend less on tools. So try Notion for free when you go to Notion.com/allthehacks. That's
[00:36:42.660 --> 00:36:50.100]   all lowercase letters, Notion.com/allthehacks to try the powerful, easy to use Notion AI today. And
[00:36:50.100 --> 00:36:55.460]   when you use our link, you're supporting the show, Notion.com/allthehacks, or find the link in
[00:36:55.460 --> 00:37:00.420]   the description. This episode is brought to you by Built Rewards, which is an amazing points program
[00:37:00.420 --> 00:37:04.980]   with so many ways to earn, including on your rent, where you don't even need to check with your
[00:37:04.980 --> 00:37:10.100]   landlord. So let me explain. First, there's no cost to join Built, and as a member, you'll earn valuable
[00:37:10.100 --> 00:37:15.060]   points on rent and on your everyday spending. Built points can be transferred to your favorite hotels
[00:37:15.060 --> 00:37:20.980]   and airlines, and even the ones you haven't heard of. There are over 500 airlines and 700,000 hotels
[00:37:20.980 --> 00:37:25.060]   and properties around the world you can redeem your Built points toward. Points can be redeemed
[00:37:25.060 --> 00:37:30.420]   towards a future rent payment and unique experiences that only Built members can access. So if you're not
[00:37:30.420 --> 00:37:34.420]   earning points on rent, my question is, why not? Start earning points on rent,
[00:37:34.420 --> 00:37:41.060]   on rent you're already paying by going to chrishutchins.com/built. That's chrishutchins.com/built,
[00:37:41.060 --> 00:37:47.540]   B-I-L-T. Make sure to use our URL so they know we sent you chrishutchins.com/built or the link in
[00:37:47.540 --> 00:37:53.220]   the description to start earning points on your rent payments today. How are you talking with clients and
[00:37:53.220 --> 00:37:58.500]   just thinking about things like Social Security? I know a lot of my peers look at their parents like
[00:37:58.500 --> 00:38:03.300]   that's subsidizing their cost of living, you know, depending on where they live in the country,
[00:38:03.300 --> 00:38:08.100]   like significantly to somewhat. I feel like we've been talking for 20 years about the future of this
[00:38:08.100 --> 00:38:13.620]   program. And do you factor that in when you think about your future or clients' futures?
[00:38:13.620 --> 00:38:18.340]   Okay, so I feel very strongly about this and I've written about this a lot. The fact that millennials,
[00:38:18.340 --> 00:38:24.020]   some of them think, well, Social Security is not going to be there for me. And I think it would be
[00:38:24.020 --> 00:38:29.940]   crazy if it wasn't. So there's this thing where in 2034, right, the amount of money coming in, it's going
[00:38:29.940 --> 00:38:35.780]   to be exceeded by the money that's coming out to make payments. People think, oh, that means it's insolvent.
[00:38:36.740 --> 00:38:40.900]   All that it means is that that money is going to have to come from somewhere else. And I can't imagine
[00:38:40.900 --> 00:38:48.100]   that any politician in their right mind would cut Social Security. Maybe I'm wrong. All it means is that,
[00:38:48.100 --> 00:38:53.940]   you know, if they really did, you'd receive 90 or 80 cents in the dollar. So I still think you can factor
[00:38:53.940 --> 00:38:58.260]   it in. And Social Security is another psychological versus spreadsheet one that we deal with because
[00:38:58.260 --> 00:39:04.660]   the numbers are, if you wait to get it until you're 70, it's something like an 8% per year return.
[00:39:04.660 --> 00:39:08.740]   It's almost like the stock market and your amount you're going to get on a monthly basis is that much
[00:39:08.740 --> 00:39:16.180]   higher. So it's like 70% higher at 70 versus 62 when you take it. But we see most people still
[00:39:16.180 --> 00:39:21.540]   decide to take it at 62 or 65, right? They take it earlier. And I've been having conversations with
[00:39:21.540 --> 00:39:26.740]   people about this. And they kind of do some, you know, break even if I just took the money and invested
[00:39:26.740 --> 00:39:31.300]   it or whatever would be fine, or it would take me until I'm 85 to break even or whatever the number is.
[00:39:31.300 --> 00:39:35.140]   And most people just say, I would just prefer to take it now for peace of mind.
[00:39:35.140 --> 00:39:39.860]   Even though the spreadsheet answer tells me, if I just wait a little longer, it's going to be much
[00:39:39.860 --> 00:39:44.900]   higher when I'm 70. Most people just feel more comfortable and just want to spend it now. It's
[00:39:44.900 --> 00:39:49.540]   kind of like, it's my money. Why wouldn't I get it earlier at 62 or 65 or something like that? I want
[00:39:49.540 --> 00:39:54.340]   to have to wait until I'm 70 to do it. So it's one of those ones where people say, I know this doesn't
[00:39:54.340 --> 00:39:58.260]   make sense on the spreadsheet, but I don't care. I'm going to take it now anyway, because it just,
[00:39:58.260 --> 00:39:59.780]   it makes me feel safer.
[00:39:59.780 --> 00:40:05.780]   Yeah. I similarly believe that it would be wild if everyone contributed to this program and there's
[00:40:05.780 --> 00:40:09.380]   statements showing how much money you've put into this program. And then they're like, all right,
[00:40:09.380 --> 00:40:14.980]   it's gone. Like that seems crazy. Do they push back ages because we're living longer? I don't know.
[00:40:14.980 --> 00:40:16.340]   That seems somewhat reasonable.
[00:40:16.340 --> 00:40:20.180]   This is one of the easier programs to fix if people ever decide to do it. Yeah. If they say
[00:40:20.180 --> 00:40:25.220]   over the age of 45, your grandfather in or 50, but under that, now your retirement date is this
[00:40:25.220 --> 00:40:29.060]   because you're living longer that. So social security to me is an easy one to much easier
[00:40:29.060 --> 00:40:30.580]   to fix in some of the other programs.
[00:40:30.580 --> 00:40:35.860]   Yeah. Okay. Well, we won't go down a list of programs right now, but we, we talked about kind
[00:40:35.860 --> 00:40:40.740]   of you thought in the wake of the great financial crisis, there's lots of volatility. What's going to
[00:40:40.740 --> 00:40:46.020]   happen. I feel like in the last two or three months, like with tariffs and whatnot, it just feels
[00:40:46.020 --> 00:40:52.580]   like we live in a world where we can have swings that used to be like an annual return in a week.
[00:40:52.580 --> 00:40:58.180]   How are you thinking about the way you invest or is anything changing
[00:40:58.180 --> 00:41:01.300]   other than giving lots of good fodder for conversation?
[00:41:01.300 --> 00:41:06.900]   I definitely think markets are happening faster. Cycles happen faster. The market prices things in
[00:41:06.900 --> 00:41:11.300]   way faster. And that's why we're seeing these bear markets happen quicker, but then the recoveries
[00:41:11.300 --> 00:41:15.700]   happen quicker. And so part of me thinks that these boom bust cycles are
[00:41:15.700 --> 00:41:19.140]   just going to happen more often. Like we've had three bear markets this decade already,
[00:41:19.140 --> 00:41:23.620]   right? In the, in the course of six years. And obviously sometimes it's not going to snap back
[00:41:23.620 --> 00:41:28.180]   so quickly, the information age and the speed of information, the amount of algorithms that are
[00:41:28.180 --> 00:41:32.420]   operating in the market, where it's like act first, think later. The hard part is,
[00:41:32.420 --> 00:41:38.340]   is that it's, it's giving more opportunities for people to panic. And I, I talked to a lot of
[00:41:38.340 --> 00:41:43.940]   people who, when the liberation day stuff happened and the tariffs kicked in, they sold some of their
[00:41:43.940 --> 00:41:47.780]   stocks. And these are people who held through a lot of other bear markets in the past. And they
[00:41:47.780 --> 00:41:51.540]   said, I know what the impact of tariffs are going to be. And so I think the problem with that is it,
[00:41:51.540 --> 00:41:56.500]   is it does give you more opportunity to mess up and make a market timing mistake.
[00:41:56.500 --> 00:42:01.220]   Now on the other side of that, I've been pounding the drum on this for a while. It's interesting to
[00:42:01.220 --> 00:42:06.900]   see how many people look at volatility as an opportunity now. And it's not a panic situation.
[00:42:06.900 --> 00:42:12.340]   It's no, I'm going to dive into the fire and I'm going to buy. And you saw record amounts of retail
[00:42:12.340 --> 00:42:17.860]   buying in April when the stock market fell. And it's interesting to live in a world where
[00:42:17.860 --> 00:42:24.020]   investor behavior, I think has actually improved for the better, right? That's not everyone. There's still
[00:42:24.020 --> 00:42:29.060]   people who are speculating and taking on too much leverage and day trading and market timing and all
[00:42:29.060 --> 00:42:36.180]   these things. But I think a majority of people now have actually learned because it's been beaten to
[00:42:36.180 --> 00:42:42.100]   their head for the past 10, 20, 30 years. Listen, when the stock market falls, you don't run out of the
[00:42:42.100 --> 00:42:46.660]   store because stocks are on sale. You run into the burning building and you buy. And more people have
[00:42:46.660 --> 00:42:53.460]   done that, I think, than ever before. And I think that's a great thing, but you do wonder if it makes it
[00:42:53.460 --> 00:42:56.260]   so these cycles just play out differently if they didn't pass.
[00:42:56.260 --> 00:42:59.540]   Yeah. And people are like, well, I don't want to invest because I could just wait for the next
[00:42:59.540 --> 00:43:05.140]   crash because they're happening so fast. Whereas I think earlier in my investing career, sure, when
[00:43:05.140 --> 00:43:10.340]   2008 happened, I didn't have money to invest. So it wasn't a buying opportunity for me, but I didn't
[00:43:10.340 --> 00:43:16.340]   have this belief that there would be another one so soon. So I just slowly kept putting whatever I could
[00:43:16.340 --> 00:43:21.380]   in. And now a part of me is like, gosh, if these swings are so great, should I just be keeping
[00:43:21.380 --> 00:43:27.460]   every amount of savings on the sideline in cash and just constantly time the short crashes, which
[00:43:27.460 --> 00:43:33.300]   just both feels like a good idea and also feels like a terrible idea at the same time.
[00:43:33.300 --> 00:43:39.860]   Yes. I've just realized that I've seen enough professional investors over the years try to do
[00:43:39.860 --> 00:43:45.460]   this and just fail. And I think almost everyone is just better off putting it in on a regular basis,
[00:43:45.460 --> 00:43:50.180]   a weekly, a monthly, a bi-monthly, whatever it is. I think that's just so much easier. And you
[00:43:50.180 --> 00:43:55.300]   mentioned the 2008 crash. That's when I really first started investing. And I still remember I had a
[00:43:55.300 --> 00:43:59.620]   colleague who was older. He was in his 50s and it looked like the world was falling apart. And we had
[00:43:59.620 --> 00:44:05.620]   a hedge fund manager in September tell us, listen, this is a Friday. He said, go to the ATM, take as
[00:44:05.620 --> 00:44:09.460]   much cash out as you can now, because on Monday, you might not be able to get any cash out of the bank.
[00:44:09.460 --> 00:44:14.180]   Like it was, it was a scary situation. And this guy in his 50s is telling me, listen, Ben,
[00:44:14.180 --> 00:44:20.900]   take all of your 401k contributions and put them in the stable value fund, because this, this is looking
[00:44:20.900 --> 00:44:25.060]   really bad. And my thinking at the time, I'm, you know, I'm reading all these Warren Buffett books
[00:44:25.060 --> 00:44:30.500]   about the fat pitches and, you know, being greedy when others are fearful. And I just thought to
[00:44:30.500 --> 00:44:34.980]   myself, the stock market is down almost 60%. I'm never in my lifetime going to be able to buy
[00:44:34.980 --> 00:44:41.620]   at this, these low prices again, right? Even if they go lower from here. And I think that's the
[00:44:41.620 --> 00:44:45.380]   mindset. And I do think people have learned that because there was enough people who got out of the
[00:44:45.380 --> 00:44:50.020]   stock market for whatever reason, some of it was because they panicked. Some people just had to have
[00:44:50.020 --> 00:44:53.540]   money because they needed it for other things because they were losing their house or whatever.
[00:44:53.540 --> 00:44:58.100]   But I think enough people saw people panic during the great depression and have kind of learned from
[00:44:58.100 --> 00:45:02.580]   that behavior. And it's interesting to see. And I think that's part of the reason that the market
[00:45:02.580 --> 00:45:08.580]   snaps back so quickly. You have all these automatic contributions going in to 401ks and IRAs. Unlike ever
[00:45:08.580 --> 00:45:12.580]   we've ever seen before, people are putting money into their brokerage account on a regular basis.
[00:45:12.580 --> 00:45:18.500]   The barriers to entry have been taken down because it's so easy to invest in Robinhood. Think about how hard it
[00:45:18.500 --> 00:45:23.140]   was to invest in the 1980s. You had to go to a brick and mortar building for Merrill Lynch or
[00:45:23.140 --> 00:45:28.980]   something, write a checkout, fill out all this paperwork. It would take a few days. Then the
[00:45:28.980 --> 00:45:33.700]   check would clear. Then you could invest. You open a Robinhood account, now link your bank account,
[00:45:33.700 --> 00:45:35.540]   and you can invest in five minutes.
[00:45:35.540 --> 00:45:40.420]   It's so funny. You use Merrill Lynch as the example. I recently opened up a business brokerage
