
[00:00:00.000 --> 00:00:07.060]   But I'm cleverly going to use this as it's a sort of metaphor for our longer discussion today.
[00:27:32.560 --> 00:27:37.120]   as a 21 year old and get a book deal? And they basically said, the only way you could possibly do this
[00:27:37.120 --> 00:27:41.280]   is if you're writing about students for students, right? So basically you were right in the sense
[00:27:41.280 --> 00:27:46.080]   that the only way at that age, like right out of college to get published, the only way to do that
[00:27:46.080 --> 00:27:51.600]   in nonfiction was to basically do what I did, which was I can write, uh, how to become a straight A
[00:27:51.600 --> 00:27:55.840]   student or how to win at college. Like that was the way in. So you were probably right there. Um,
[00:27:55.840 --> 00:28:01.040]   but these years go by, what was it that made you pull the trigger on trust me, I'm lying. Your first
[00:28:01.040 --> 00:28:05.600]   book, what confluence of factors came together that made you say, okay, good, let me roll.
[00:28:05.600 --> 00:28:12.240]   I think part of it was disgust. Part of it was frustration. Part of it was,
[00:28:12.240 --> 00:28:19.520]   I felt like I understood this thing. And I, a great, a great thing for a book. It's something
[00:28:19.520 --> 00:28:26.320]   that you know a lot about that nobody else knows anything about. Like anytime there's a delta between
[00:28:26.320 --> 00:28:32.560]   your sort of personal experience and how the rest of the world perceives something that can be very
[00:28:32.560 --> 00:28:38.080]   powerful, like here, let me show you how this really works. Let me show you what's going on behind,
[00:28:38.080 --> 00:28:43.840]   behind the curtain. And I had a chance to do that with that book. I knew that that's not what I wanted
[00:28:43.840 --> 00:28:50.960]   to do for all my books. I just knew I had a chance to do it with that book. And so, um, I,
[00:28:52.000 --> 00:28:57.440]   I took a risk and, and it was less risky than dropping out of college. Like I basically took,
[00:28:57.440 --> 00:29:02.240]   I went from, you know, being full-time to being part-time at American Apparel. I was like sort of
[00:29:02.240 --> 00:29:08.800]   an early remote employee, uh, before that was a thing or location independent or whatever you want to
[00:29:08.800 --> 00:29:13.600]   call it. I was ready to leave. And they were like, actually, what if you just like kept working in a,
[00:29:13.600 --> 00:29:17.520]   you know, a reduced capacity, we'll pay you a little bit less, but you know, we just want to
[00:29:17.520 --> 00:29:24.000]   keep you on. And I thought, okay, uh, I was ready to go and, and didn't end up having to, but, but it
[00:29:24.000 --> 00:29:29.280]   put me in a position where I could go and write the book and just see if there was anything there. Um,
[00:29:29.840 --> 00:29:34.240]   which is not how the vast majority of nonfiction is done. The vast, the vast majority of fiction is
[00:29:34.240 --> 00:29:39.840]   sold as a project first. And then, you know, it goes through a bidding process and then, you know,
[00:29:39.840 --> 00:29:44.640]   you have a while that I just went and I wrote this book. I wrote the first draft of this book and, and
[00:29:44.640 --> 00:29:50.400]   because I'd worked on a bunch of other books, I knew agents, I knew, uh, I knew publicists. I knew
[00:29:50.400 --> 00:29:55.520]   other authors who had vouched for me. So I, I, I had someone I could show it to I'd earned,
[00:29:55.520 --> 00:29:59.760]   Hey, this is my first book. Will you check it out? Uh, and so I just went in and did it.
[00:29:59.760 --> 00:30:04.640]   And, and also I, I didn't, I had a job still, right? Like I had a job in flexibility so I could
[00:30:04.640 --> 00:30:11.280]   go work on this project. So I just went and I did it. And, and what I'd put together was, I guess,
[00:30:11.280 --> 00:30:17.920]   provocative enough and different enough that, uh, a publisher was willing, willing to take a shot on
[00:30:17.920 --> 00:30:23.600]   it. It was, it was going to go into, uh, uh, out to auction and, and penguin random house portfolio,
[00:30:23.600 --> 00:30:28.560]   which is our publisher just bought, bought it outright before it went to an auction. And that's where
[00:30:28.560 --> 00:30:37.520]   I've been ever since. So it was kind of this surreal, very lucky thing where, uh, I, I, I made a bet
[00:30:37.520 --> 00:30:44.000]   early on and it, that's just where I am still. Well, this is a time to resolve something I've
[00:30:44.000 --> 00:30:48.640]   always wondered. Uh, so I remember as part of your marketing campaign, or at least my vague memory,
[00:30:48.640 --> 00:30:55.680]   correct me, correct me if I'm wrong. Um, you planted a story maybe with galley cat that there,
[00:30:55.680 --> 00:31:01.520]   you know, that you had gotten a $400,000 advance. That's the number I remember. And the idea was this
[00:31:01.520 --> 00:31:05.200]   would catch attention. And it did, I guess for the blogging world, they're like, that's so much money.
[00:31:05.200 --> 00:31:10.880]   What's going on. What is this kid? Uh, and it was reported as like, that was you had wildly inflated
[00:31:10.880 --> 00:31:15.760]   it or something. Did you, is that right? Did you plant that story and was that inflated or was that
[00:31:15.760 --> 00:31:20.400]   not? It's funny. Now we look back, it's like, that's not a crazy advance, but in the world of blogging in
[00:31:20.400 --> 00:31:25.280]   like 2012, it was like, no one has ever made that much money in books before. What is the story of the
[00:31:25.280 --> 00:31:30.960]   galley cat leak? So what, so what actually happened was, um, one of the things I talked about in the
[00:31:30.960 --> 00:31:37.360]   book, uh, that you sort of realize in marketing is that nobody fact checks press releases. You can
[00:31:37.360 --> 00:31:42.880]   basically claim anything you want in a press release and people will pick it up. And then once it's picked
[00:31:42.880 --> 00:31:48.160]   up, then other people will pick up that somebody else has picked it up and it becomes real, right? You
[00:31:48.160 --> 00:31:55.440]   don't realize that what you're seeing on social media is, uh, traced back to a press release,
[00:31:55.440 --> 00:32:02.240]   which costs $49 to go out over the wire, which isn't even a thing anymore. The wires usually,
[00:32:02.240 --> 00:32:08.720]   you know, previously having been actual telegraph wire. So I was making this point that, that so much of
[00:32:08.720 --> 00:32:14.880]   our news comes from these very flimsy or if outright false stories, uh, sources or susceptible
[00:32:14.880 --> 00:32:22.160]   sources. So what, what, what had actually happened is I, I gotten like 200 or 250 for the book.
[00:32:22.160 --> 00:32:28.560]   And so, uh, which is a lot of money then, and this is even a lot of money now. Um, but what I decided
[00:32:28.560 --> 00:32:33.440]   I would do is I would just, I would, I would announce that it was like 500. I think I announced
[00:32:33.440 --> 00:32:39.200]   it was 500 or I may have even just like hinted that it was 500. There's like these weird for people
[00:32:39.200 --> 00:32:44.160]   who don't know, there's these weird terms when you announce a deal in the, in the trades in,
[00:32:44.160 --> 00:32:49.360]   in, in very good, good. It's a very good deal. It's a super deal. And, and these,
[00:32:49.360 --> 00:32:54.560]   these mean like a band of advances. So I forget exactly what happened, but the point was, uh,
[00:32:54.560 --> 00:33:02.400]   I, I put out a press release implying that it was a $500,000 advance, which then got picked up by,
[00:33:02.400 --> 00:33:06.320]   uh, what was then sort of an industry blog called the galley cat. I don't think it exists anymore.
[00:33:06.320 --> 00:33:13.600]   So, so they reported that, you know, Hey, this kid you've never heard of who's 24 years old and has
[00:33:13.600 --> 00:33:19.920]   never written anything before, just got a $500,000 advance. That was sort of the whoa. And then, so what I,
[00:33:19.920 --> 00:33:30.640]   what I did was, uh, then I, I emailed that to a bunch of gossip websites. Um, and, and I said, uh,
[00:33:30.640 --> 00:33:37.280]   did you see that this kid got 500,000, a $500,000 advance if the old, I said something like the only
[00:33:37.280 --> 00:33:44.080]   way someone would pay this much money is if it's some kind of celebrity tell all. So this kid must,
[00:33:44.080 --> 00:33:49.600]   must be spilling, you know, a bunch of, of, of, of gossip about all these famous people that he's
[00:33:49.600 --> 00:33:56.800]   worked for. And then, so that got picked up in other places that it was this celebrity guy. So just to be
[00:33:56.800 --> 00:34:04.160]   clear, uh, so people, the, the purpose of this was to make the meta point that there, is there some
[00:34:04.160 --> 00:34:08.880]   self-promotional benefit to doing so? Yes. But I wasn't just doing it because I wanted to be famous.
[00:34:08.880 --> 00:34:14.960]   There wasn't even like social media to benefit from at this point. Uh, I, I was making this point
[00:34:14.960 --> 00:34:22.240]   to show that, uh, one, I, I, I actually, I was writing a book about media manipulation. So I wanted
[00:34:22.240 --> 00:34:27.120]   to show how media manipulation actually works like with the book itself. And I was trying to make the
[00:34:27.120 --> 00:34:35.200]   point that, um, this is, this is how information that you consume on a daily basis. This is how it
[00:34:35.200 --> 00:34:42.240]   happens. Like this is how these rumors get started. And so it, it, it worked in the sense that people
[00:34:42.240 --> 00:34:48.160]   picked it up. And then in the book, I described how I had done this with the book that the people
[00:34:48.160 --> 00:34:53.920]   were then reading. So I, I was trying to, I was trying to take it. I was trying to expose certain
[00:34:53.920 --> 00:34:59.920]   loopholes in, uh, how the media system worked. So I'm interested in the, the upcoming transition
[00:34:59.920 --> 00:35:05.520]   in your career story. I see this as phase one before the stoic phase, right? Um, so you,
[00:35:05.520 --> 00:35:10.160]   you have this book come out at this point, you've sort of incorporated your own company. At this point,
[00:35:10.160 --> 00:35:16.560]   brass check was a, an entity or your, uh, marketing company. Um, around this time too, you did, uh,
[00:35:16.560 --> 00:35:22.640]   I think it was just a digital original growth hack, growth hacker marketing. So I'm assuming at this
[00:35:22.640 --> 00:35:29.760]   point, if we interviewed you, you had a vision, uh, what was that vision for like your next five to 10
[00:35:29.760 --> 00:35:36.640]   years? Was it at this point, a successful marketing company writing books to help the company? Is it,
[00:35:36.640 --> 00:35:41.600]   I'm going to be writing about marketing and I'm going to be a known writer. What is the vision like right in
[00:35:41.600 --> 00:35:48.400]   that pre obstacle era? I think I was a little conflicted because I, I, I was very good at
[00:35:48.400 --> 00:35:53.920]   marketing and yet I was writing a book that was essentially making me radioactive in certain
[00:35:53.920 --> 00:35:59.920]   marketing circles. So there, I had some elements that wanted to, to get out of it entirely. And yet
[00:35:59.920 --> 00:36:06.880]   it had this effect of also, uh, building this sort of company and consultancy that I ended up setting up.
[00:36:06.880 --> 00:36:11.920]   And yeah, I was just, I'm just looking at this because I'm, uh, I'm doing the 10 year anniversary
[00:36:11.920 --> 00:36:21.360]   of the obstacle is the way right now. Um, I, I sold the proposal for what was the obstacle is the way
[00:36:21.360 --> 00:36:33.520]   like in the early fall of 2012. So just a few months after, um, trust me, I'm lying came out.
[00:36:33.520 --> 00:36:37.920]   And, and I think my publisher told me later, uh, Nikki Papadopoulos, who I know has worked with both
[00:36:37.920 --> 00:36:43.040]   of us. Uh, she told me that, you know, later they were sort of just humoring me. Like they were hoping
[00:36:43.040 --> 00:36:48.480]   that, you know, I would do this one book and then I would go back to the marketing book. So they were
[00:36:48.480 --> 00:36:58.560]   kind of happening around the same time, but, but clearly the, the aim had been to get towards, uh,
[00:36:59.360 --> 00:37:03.120]   writing about philosophy. That's what I really wanted to write about. That's who I wanted to be
[00:37:03.120 --> 00:37:08.880]   as an author. So that early, even that early, you knew, uh, it was like, trust me, I'm lying.
[00:37:08.880 --> 00:37:14.720]   Gets me in the publishing door. Yes. Right. But even that early as that book was coming out. So you're
[00:37:14.720 --> 00:37:18.640]   working on this proposal before that book came out. Yeah. The vision you were beginning to form is,
[00:37:18.640 --> 00:37:24.400]   and maybe this was more influenced by Robert, more influenced by Tim. You were thinking, I want to be
[00:37:24.400 --> 00:37:31.680]   not hardcore marketer. I want to be writing about, I want to be in the philosophy space. Um, yeah. What,
[00:37:31.680 --> 00:37:36.160]   what were the contours of that vision at this point? I mean, I know you had experienced with Tim,
[00:37:36.160 --> 00:37:42.400]   he had a community, he had, there's these other ancillary things around it. I mean, what he had
[00:37:42.400 --> 00:37:47.280]   early, not really social, but you know, he was, uh, he was doing the Ning thing and his blog was really
[00:37:47.280 --> 00:37:53.840]   big. Uh, how, so, so what is the, the shape of that vision then? Um, in 2012, fall of 2012.
[00:37:53.840 --> 00:38:00.880]   I really don't know how well shaped it was. I think I looked mostly at Robert Greene,
[00:38:00.880 --> 00:38:12.960]   who was anomalous as a guy who wrote about big ideas in essentially at like at the level of an academic,
[00:38:12.960 --> 00:38:20.400]   but not supported by the Academy. Like he was, he's outside the system, but he is as deeply researched and,
[00:38:20.400 --> 00:38:29.840]   um, you know, sort of as established and, and, and, um, you know, influential as, as any academic,
[00:38:29.840 --> 00:38:36.480]   but without that, that sort of structure around him. So I knew that was like a viable path. So I think I
[00:38:36.480 --> 00:38:42.400]   was mostly just thinking about that. I knew I just, I had this idea for a book about stoicism and I thought
[00:38:42.400 --> 00:38:48.080]   it could work. I mean, clearly I didn't think it would work at the level that it ended up doing,
[00:38:48.080 --> 00:38:52.800]   or I would have demanded a lot more money than I accepted for that first book. Like,
[00:38:52.800 --> 00:38:59.760]   I think the expectations of both myself and portfolio were, were maybe mine were a little
[00:38:59.760 --> 00:39:06.960]   bit higher than theirs, but they were both pretty muted. Um, I mean, the obstacles away sold 3000 copies
[00:39:06.960 --> 00:39:15.200]   in its first week and, um, didn't hit a bestseller list for several years. Uh, I, I just
[00:39:16.800 --> 00:39:22.480]   thought it was interesting. I was excited about it. It was a thing I wanted to write about and
[00:39:22.480 --> 00:39:31.120]   I kind of just took it, you know, day by day from there. I, I didn't, I didn't plan really any of this
[00:39:31.120 --> 00:39:37.520]   out. So the, I think the first time I talked to you, you were conceiving ego, the second book,
[00:39:37.520 --> 00:39:42.800]   the second stoic book at that point, you had just moved to Austin. I think you were, you were in East Austin
[00:39:42.800 --> 00:39:48.800]   Austin or something like this at the time. And, um, okay. So at that point, so you had moved to
[00:39:48.800 --> 00:39:53.920]   Austin. I mean, at this point you were working on the second book, were you now committed yet to the
[00:39:53.920 --> 00:39:58.080]   vision of, I am going to keep writing books in this general space and I'm going to build out a brand
[00:39:58.080 --> 00:40:03.040]   about it. So you knew that's what I'm doing by then. I, I don't know if I thought I was building
[00:40:03.040 --> 00:40:08.400]   a brand, but I just knew that I was writing books and, and they were commercially viable enough that I,
[00:40:08.400 --> 00:40:14.800]   you know, my wife and I had bought a small house and I also still had my job. You know,
[00:40:14.800 --> 00:40:24.880]   I didn't leave American apparel until the fall of 2015. I think it lasted much longer than I had
[00:40:24.880 --> 00:40:31.360]   thought. I, I, I was writing ego is the enemy when American apparel fell apart and I came back and did
[00:40:31.360 --> 00:40:36.640]   some consulting during the turnaround and then left. Uh, it was a long story. I talk about it a little bit
[00:40:36.640 --> 00:40:47.360]   in the book, but I, um, I, I just was a writer and a marketer and that was kind of my life. I, I didn't,
[00:40:47.360 --> 00:40:54.240]   I, I was just kind of going from project to project and, and, you know, basically what happened is I
[00:40:54.240 --> 00:40:59.600]   wrote, you know, I wrote the obstacles away and it came out and it didn't do like amazing, but I'd sold
[00:40:59.600 --> 00:41:06.000]   ego is the enemy. And so I was working on that. And by the time ego is the, or by the time obstacle
[00:41:06.000 --> 00:41:11.120]   really started to sell, I was working on ego is the enemy. You know, like I was just going from project
[00:41:11.120 --> 00:41:21.760]   to project kind of heads down. It didn't, it, it, it wasn't until it wasn't until 2016 really that there
[00:41:21.760 --> 00:41:30.080]   was anything close to what you might call kind of escape velocity as an author. Um, most of the art,
[00:41:30.080 --> 00:41:37.920]   like all the authors that I was advising and, and working for were all selling much better than I
[00:41:37.920 --> 00:41:43.440]   was, you know? Um, and it was kind of this, you, it was always this strange thing to be like, oh,
[00:41:43.440 --> 00:41:48.320]   you know, so-and-so just sold a book for double what you sold your last book for. And now they want
[00:41:48.320 --> 00:41:56.000]   marketing advice. So I, I was much more just kind of in the trenches doing the thing. And it took a while
[00:41:56.000 --> 00:42:02.800]   for the audience to kind of coalesce in the books to find, you know, their, their space in the world.
[00:42:02.800 --> 00:42:08.240]   Or to get a little nuts and bolts. I mean, during this period, um, was the way like you and Samantha
[00:42:08.240 --> 00:42:14.400]   were thinking about this is like from a financial perspective, um, this is sort of what we need,
[00:42:14.400 --> 00:42:20.480]   right? Like this is our number. Uh, and we want to, we have a, you know, I'm, I'm, I'm doing my
[00:42:20.480 --> 00:42:25.680]   marketing company. We have books. And as long as this adds up to this, this allows us to move on and
[00:42:25.680 --> 00:42:29.280]   we're safe. What was that? A lot of people think that way. Is that where you were, or were you thinking
[00:42:29.280 --> 00:42:34.720]   more? We got it. We're going to blow this up. No, no, I wasn't thinking that at all. And I was very
[00:42:34.720 --> 00:42:42.240]   lucky. I remember it being like, I remember when I bought, when I bought my first house in Austin, like
[00:42:42.240 --> 00:42:48.320]   that I was able to use my W two income and not have to apply for a loan as an author or as an
[00:42:48.320 --> 00:42:55.040]   entrepreneur, just how lucky that was because, you know, it's, it's a, it's not a life that banks
[00:42:55.040 --> 00:43:02.400]   or, or sort of traditional financing favors. And so I kind of snuck in under the wire and then like my
[00:43:02.400 --> 00:43:11.200]   transition to being self-employed and eat what you kill sort of living on royalties, um, was a slow,
[00:43:11.200 --> 00:43:16.480]   steady transition as opposed to some scary leap. And so I think that was, that was,
[00:43:17.120 --> 00:43:23.680]   that was lucky in one respect, I'll tell you, this is a first world problem, but where I've had
[00:43:23.680 --> 00:43:30.400]   trouble adjusting and it's taken a while is that like you and I both know authors or entrepreneurs,
[00:43:30.400 --> 00:43:38.960]   people who in one swoop, you know, they sell a company or a book comes out and it just rockets to
[00:43:38.960 --> 00:43:44.480]   the top of the top of the sell sales things, or, you know, they sign a big deal for a pot. Like
[00:43:44.480 --> 00:43:53.280]   when you get, uh, a chunk in one chunk, you're, you are forced to update your self perception
[00:43:53.280 --> 00:44:01.520]   and your tax bracket and your, you know, you just go, this is who I am. This is what I have.
[00:44:01.520 --> 00:44:10.800]   I would say it was much more of a slow boil for my wife and I. And so being able to adjust and being
[00:44:10.800 --> 00:44:20.400]   able to count on things that was, that was a, a period that, that took, it's like our self-perception
[00:44:20.400 --> 00:44:28.480]   lagged behind the objective reality, but because it's so, it can be so fickle and it's hard to,
[00:44:28.480 --> 00:44:33.360]   to, to anticipate what's going to happen. It just took a while. Like there was never
[00:44:34.560 --> 00:44:47.440]   both my deals for, uh, it, it wasn't until. So if I got 200 for, uh, trust me, I'm lying. I got less
[00:44:47.440 --> 00:44:57.520]   than half that for obstacle. I got roughly half that for ego and I got less than that for, uh, the daily
[00:44:57.520 --> 00:45:03.760]   stoic, which I split with, with Steve Hanselman, my agent and coauthor. So it was not until
[00:45:03.760 --> 00:45:17.120]   2018, I think that I surpassed what I had gotten with my first book deal. So, so I was, uh, and again,
[00:45:17.120 --> 00:45:21.840]   look for, uh, I understand for people who are just trying to break through all these numbers sound very,
[00:45:21.840 --> 00:45:29.040]   very large. Um, and they, and they were, but, but they were, they were not like financial independence,
[00:45:29.040 --> 00:45:36.720]   large. They were just like getting two years salary in, you know, spread out over two years.
[00:45:36.720 --> 00:45:43.040]   You know what I mean? Uh, so, so it was this, it was this, it wasn't, I used the word escape velocity,
[00:45:43.040 --> 00:45:52.240]   uh, but, but like it w it wasn't until yet 2017, 2018, maybe that I, that I felt any kind of
[00:45:52.240 --> 00:46:00.560]   serious financial security as an author. So it was like a slow adjustment period because look at the
[00:46:00.560 --> 00:46:05.840]   end of the day, I'm writing about an obscure school of ancient philosophy. Like I'm not writing about
[00:46:05.840 --> 00:46:14.000]   productivity necessarily, or writing about habits or writing about sales. There are, there are a number of
[00:46:14.000 --> 00:46:21.520]   other topics you could tackle that would be more financially lucrative and, um, establish oneself
[00:46:21.520 --> 00:46:29.280]   quicker. So it was, it was an adjustment period is a slow, steady adjustment when you move to the,
[00:46:29.280 --> 00:46:35.200]   the 40 acres out in boss drop. Yeah. And I'm, I'm being careful not to use the word ranch because
[00:46:35.200 --> 00:46:40.160]   I have a, I have a relative who lives out in West Texas who, who has like a real ranch.
[00:46:40.160 --> 00:46:45.200]   No, he has like 500 acres or a thousand acres. And he gets very upset if I call it a ranch.
[00:46:45.200 --> 00:46:51.200]   So I guess in West Texas, if you call it a ranch and you're not running 20,000 head of cattle or more,
[00:46:51.200 --> 00:46:54.480]   you're going to get shot. Yeah. If you don't have sections, if you don't have sections. Yeah.
[00:46:54.480 --> 00:46:58.960]   Uh, which is a, you know, a whole chunk of acres. Uh, yeah. But, uh, it's a hobby farm.
[00:46:58.960 --> 00:47:03.280]   Hobby farm. Okay. So when you moved there, was this from a deep life perspective,
[00:47:03.280 --> 00:47:06.320]   was this like one of the first points where you really began to think, but wait a second,
[00:47:06.320 --> 00:47:12.080]   we do have all this autonomy, right? Even if we're not at the massive escape velocity yet on, uh,
[00:47:12.080 --> 00:47:16.640]   book income, we might as well shape other parts of our life as well. Like I, we're not going to enough,
[00:47:16.640 --> 00:47:20.720]   like what was the, because to me that always seemed like a romantic move when you made that
[00:47:20.720 --> 00:47:25.120]   was like, you, you have a, at least one cow, right? I mean, am I using the right word? It has big
[00:47:25.120 --> 00:47:30.640]   horns. Yes. You have a pond, right? I mean, to me, this is all like kind of romantic, right? So
[00:47:31.440 --> 00:47:34.080]   talk about that, the role of that when you're trying to conceive of your life.
[00:47:34.080 --> 00:47:41.520]   Yeah. I do think coming out of ego is the enemy and the collapse of American apparel, I, I was like,
[00:47:41.520 --> 00:47:46.320]   I don't want any of this. I want to live a very different life. And what is the point of being
[00:47:46.320 --> 00:47:55.360]   a writer or having some kind of career success? If you can't set up the life that you want. I lived in New
[00:47:55.360 --> 00:48:02.560]   York when I was right after the publication of, of, uh, trust me, I'm lying. And, um,
[00:48:02.560 --> 00:48:09.840]   while I was writing obstacle and then I moved, uh, maybe right as I was finishing obstacle,
[00:48:09.840 --> 00:48:16.560]   I think I moved to Austin, but like, uh, I remember, I remember looking at the, the first
[00:48:16.560 --> 00:48:21.280]   mortgage statement when we bought our ranch, we bought about, we ended up with about 50 acres now,
[00:48:21.280 --> 00:48:27.920]   but, um, the, the first sort of mortgage statement on our place was what I was renting a studio apartment
[00:48:27.920 --> 00:48:33.600]   in New York city for, and just going, Oh, okay. This is like a transformatively different life choice.
[00:48:33.600 --> 00:48:40.800]   Yeah. And it, it, it, I think as a creative runway is really important. So, um, you know,
[00:48:40.800 --> 00:48:44.960]   people think, Oh, you got to move to New York. You got to move to Los Angeles. That's where you make it.
[00:48:44.960 --> 00:48:50.880]   It, that might be where all the contacts are. That might be where the in energy of your industry is,
[00:48:50.880 --> 00:48:58.000]   but you're going to have a lot less time to develop and a lot less freedom to develop. So when I,
[00:48:58.000 --> 00:49:01.600]   when I went to my publisher and said, Hey, I want to write a book about ancient philosophy,
[00:49:01.600 --> 00:49:08.800]   you know, because I had a day job, you know, and because I, uh, I, at that point,
[00:49:08.800 --> 00:49:13.360]   I think I lived in new Orleans because I didn't live in a major city. You know, when they said,
[00:49:13.360 --> 00:49:19.040]   okay, we'll offer, we'll pay you half what we paid you for your last book. I had the freedom to accept
[00:49:19.040 --> 00:49:25.520]   that. You know, I didn't, I didn't have, I, sometimes I read about these, like, you know,
[00:49:25.520 --> 00:49:31.520]   aspiring novelists or whatever. And I just, I just wonder how they could possibly,
[00:49:31.520 --> 00:49:38.400]   how, if it takes eight years to write the novel and, you know, another year to put it out or,
[00:49:38.400 --> 00:49:42.320]   you know, whatever, you know, insert creative thing you're doing,
[00:49:42.320 --> 00:49:49.520]   how you could do that in a city where a two bedroom apartment is $4,000 a month. That's just insane.
[00:49:49.520 --> 00:49:54.560]   So you have roommates, you live in a bad part of town, you're just creating an environment that I
[00:49:54.560 --> 00:50:00.800]   don't think is going to be conducive to being and doing your best. And then also making the best
[00:50:00.800 --> 00:50:07.520]   long-term decisions. Yeah. So then, okay, this is fascinating. So then your final phase I see is the
[00:50:07.520 --> 00:50:14.640]   phase where you're spending less time outside of writing, less time on marketing clients and instead
[00:50:14.640 --> 00:50:18.960]   build out this platform, right? So like you're, you're very associated now with a multimedia platform
[00:50:18.960 --> 00:50:27.120]   surrounding stoicism. Was there a vision to that or did it unfold and you just found yourself one day
[00:50:27.120 --> 00:50:30.240]   because it's a pretty big operation. I mean, I've not seen it, right? I mean, it's a pretty big
[00:50:30.240 --> 00:50:35.120]   operation. You've got a good amount of staff. It's, it's multiple newsletters, video, like podcast,
[00:50:35.120 --> 00:50:40.400]   et cetera. Walk us through like how that fit into what you are trying to accomplish.
[00:50:40.400 --> 00:50:46.400]   Yeah. So my agent suggested that we do this book called the daily stoic. He, he had published a
[00:50:46.400 --> 00:50:52.000]   number of daily books when he was at Harper Collins. Uh, this is my agent, Steve Hanselman. And, um,
[00:50:52.000 --> 00:50:58.400]   I wasn't even for, honestly, it was like not even familiar with that as a type of book. I think I'd maybe
[00:50:58.400 --> 00:51:02.720]   seen one in my whole life. And when I started going through, I got really excited. It was just such a cool
[00:51:02.720 --> 00:51:07.760]   way to read this idea of doing one page a day. But I thought like, so what are the, what are people
[00:51:07.760 --> 00:51:11.840]   supposed to do? They read the one page and then they just close the book and start, start over.
[00:51:11.840 --> 00:51:15.360]   Like when they get all the way through. And it just struck me that you could build
[00:51:15.360 --> 00:51:22.960]   by the time someone got to the end, you had just spent a year together and that, that, that was right
[00:51:22.960 --> 00:51:29.840]   for a continuation. And so I agreed to write the book, but, but decided I would, I would build this
[00:51:29.840 --> 00:51:36.160]   thing on the back of it, this sort of page that this email a day. And I remember I paid $6,000 for
[00:51:36.160 --> 00:51:43.760]   daily stoic.com and we started this newsletter and yeah, I've been doing that literally every day for
[00:51:43.760 --> 00:51:51.040]   the last eight years. Um, and it's spun off this whole thing. There's a bookstore and a podcast and
[00:51:51.040 --> 00:51:57.440]   in multiple newsletters and social media and YouTube and all that stuff. Um, I, I would say
[00:51:57.440 --> 00:52:04.320]   I planned it in the, in two ways. One in the sense that I thought, Hey, this is the first book you're
[00:52:04.320 --> 00:52:11.360]   doing for which there is a continuation. Like what's a community that comes on the back of it. And then I,
[00:52:11.360 --> 00:52:17.600]   I, I, I, I, at that point my, my marketing company had, had done quite well and I'd advised a bunch of
[00:52:17.600 --> 00:52:24.240]   different companies and individuals and public figures and authors. And, and one of the things
[00:52:24.240 --> 00:52:32.640]   that I really hated about it was that you would spend all this time coming up with these ideas and
[00:52:32.640 --> 00:52:37.840]   then people just wouldn't do them. Like one of the exhausting things about consulting is that you
[00:52:37.840 --> 00:52:45.760]   realize at the end of the day, people are paying you to give them advice that they have no intention
[00:52:45.760 --> 00:52:55.760]   of actually using. It's like this cathartic experience for them. Yeah. But the, if they use 1% of what you
[00:52:55.760 --> 00:53:02.240]   come up with, that's like a success. And that just drove me nuts. It just felt like a bad use of one's
[00:53:02.240 --> 00:53:10.800]   creative energies. And so I just, I just, I was like, what if I just spent my energy
[00:53:10.800 --> 00:53:18.560]   making my own stuff and I just put the marketing energy towards that. So eventually, yeah, basically
[00:53:18.560 --> 00:53:23.520]   what happened is those two paths we were talking about that, you know, sort of finally and fully
[00:53:23.520 --> 00:53:30.880]   converged, you know, sometime in the last four or five years. So when you, you know, it's really grown,
[00:53:30.880 --> 00:53:37.440]   right? So it grew from the email newsletter to a big YouTube investment, Instagram, um, multiple
[00:53:37.440 --> 00:53:43.840]   newsletters, the podcast, uh, et cetera. Right. What was the thinking behind growing it that way?
[00:53:43.840 --> 00:53:53.120]   It's just realizing that most people don't read books. Yeah. And, um, if you have ideas and things
[00:53:53.120 --> 00:54:06.160]   that you care about book to, to leave your ideas siloed in books is, um, is, is sort of stopping short.
[00:54:06.160 --> 00:54:12.240]   So, so just the decision to say, Hey, I've, I've already done the hard work of coming up with the
[00:54:12.240 --> 00:54:22.560]   ideas, translating this stuff into working in other mediums, uh, is not that hard. And, and weirdly,
[00:54:22.560 --> 00:54:30.000]   the economics of the other things might be much better. So, you know, you, you can make, uh, you know,
[00:54:30.000 --> 00:54:38.400]   a podcast might have a fraction of the audience, uh, but, but be more lucrative than a book.
[00:54:38.400 --> 00:54:43.920]   And, and so what I, what I, I guess what I was thinking is I love writing books. That's what I care
[00:54:43.920 --> 00:54:53.760]   about. Um, that's what I want to focus the majority of my energy on, but how can I get good at explore and
[00:54:53.760 --> 00:55:00.720]   build out these other things as a way of supporting that thing? Right. And as it happens, a lot of the
[00:55:00.720 --> 00:55:08.320]   mechanisms by which people discover stuff these days, especially books is in mediums, very different
[00:55:08.320 --> 00:55:16.240]   than books. So like people who listen to podcasts are the kind of people who download audio books,
[00:55:16.240 --> 00:55:23.520]   you know? And so the decision to have a podcast might seem like it's different than books, but it's
[00:55:23.520 --> 00:55:27.600]   actually how you are building your book audience. Right. And the decision to say, oh,
[00:55:27.600 --> 00:55:32.960]   I only write books is actually a decision to say, I want to have a very small audience for my books.
[00:55:32.960 --> 00:55:39.120]   What number do you care more about? Uh, total eyeballs, let's say per day,
[00:55:39.120 --> 00:55:45.760]   senior stuff or, uh, first six month book sale number on your books. You know, what's weird. I don't
