
[00:00:00.000 --> 00:00:02.000]   And we're live.
[00:29:25.000 --> 00:29:28.000]   So this is how you can make your models even better.
[00:29:28.000 --> 00:29:44.000]   The next thing I want to touch upon is. Sorry, guys, one second.
[00:29:44.000 --> 00:29:48.000]   I'm really sorry for that. I hope you can still hear and see me now.
[00:29:48.000 --> 00:29:52.000]   OK, so the next point we want to pick up is discriminative learning rates.
[00:29:52.000 --> 00:29:56.000]   That's the next way where we can improve our model.
[00:29:56.000 --> 00:29:59.000]   So what is discriminative learning rate?
[00:29:59.000 --> 00:30:11.000]   So as you know, our model is then divided into a body and a head and the head is the part that learns more complex patterns.
[00:30:11.000 --> 00:30:19.000]   And the body is the part that learns more general patterns like diagonals or it learns like horizontal edges or vertical edges.
[00:30:19.000 --> 00:30:26.000]   And as we go from earlier layers to later layers, the patterns it's learning become more and more complex.
[00:30:26.000 --> 00:30:34.000]   So what we really want to do is in most data sets, it would be really helpful still to know or in almost every data set,
[00:30:34.000 --> 00:30:40.000]   it would be really helpful to know what a vertical edge is or what a horizontal edge is.
[00:30:40.000 --> 00:30:44.000]   So it's that point, right? The really early layers.
[00:30:44.000 --> 00:30:49.000]   These are the ones that are like edges or vertical edges or like a circle or those things like that.
[00:30:49.000 --> 00:30:56.000]   So these, that's the very early layers. And then there's these intermediate layers or the layers in the middle.
[00:30:56.000 --> 00:31:03.000]   And then you have the layers at the end that learn really complex patterns like faces or like pet animals.
[00:31:03.000 --> 00:31:13.000]   So what you want to do is when you start from an ImageNet data set, this head, we already cut it off and it's been trained a little bit.
[00:31:13.000 --> 00:31:22.000]   But when you get to this point, when you unfreeze the body, you really want to train this body at a lower learning rate than the head.
[00:31:22.000 --> 00:31:29.000]   So you practically, because it's just going to train like edges, it's just going to find circles.
[00:31:29.000 --> 00:31:34.000]   We don't want to disturb those weights. We still think that's very useful.
[00:31:34.000 --> 00:31:37.000]   So we don't want to change those weights drastically.
[00:31:37.000 --> 00:31:44.000]   Whereas for the head, we want to change those weights because it started with something like ImageNet, which is a completely different data set.
[00:31:44.000 --> 00:31:49.000]   It's completely different classes. And we wanted now to recognize pets.
[00:31:49.000 --> 00:31:53.000]   So this is where all the complex patterns need to change.
[00:31:53.000 --> 00:32:01.000]   But this basic idea of like finding circles or edges, we still want that to stay because that model has been trained on one million images.
[00:32:01.000 --> 00:32:04.000]   So we still want to respect those weights. So how do you do that?
[00:32:04.000 --> 00:32:09.000]   One way is you have like a really small learning rate for this part.
[00:32:09.000 --> 00:32:13.000]   Then you have a slightly bigger learning rate for a different part of the model.
[00:32:13.000 --> 00:32:18.000]   And then you have an even bigger learning rate for the head.
[00:32:18.000 --> 00:32:26.000]   So your body has lower learning rate than the head.
[00:32:26.000 --> 00:32:29.000]   I hope this makes sense.
[00:32:29.000 --> 00:32:34.000]   If you have any questions, please put a comment on the report. I will check soon.
[00:32:34.000 --> 00:32:41.000]   But this idea of having like different learning rates in the model is called discriminative.
[00:32:41.000 --> 00:32:45.000]   I'll just show you actually. It's here. It's called discriminative learning rates.
[00:32:45.000 --> 00:32:50.000]   That's the idea. And how do you do that in Fast.ai?
[00:32:50.000 --> 00:32:54.000]   You can just pass in a slice.
[00:32:54.000 --> 00:32:59.000]   So see how I changed this. Actually, I was just doing some experiments.
[00:32:59.000 --> 00:33:04.000]   Don't worry about that at the top. This is the cell you want to worry about because that's what's in the book.
[00:33:04.000 --> 00:33:08.000]   So you first start with your model. You create a CNN learner.
[00:33:08.000 --> 00:33:12.000]   Right now, this model is a fresh model with new weights.
[00:33:12.000 --> 00:33:17.000]   So I can now call my LR find. I just want to show you the whole process at once.
[00:33:17.000 --> 00:33:26.000]   So I can call my LR find. Then say you train this model for two epochs based on a learning rate.
[00:33:26.000 --> 00:33:35.000]   Then you unfreeze the model. That's your next step. So I'm just saying this is my step zero.
[00:33:35.000 --> 00:33:42.000]   This is my step one. Find learning rate.
[00:33:42.000 --> 00:33:50.000]   This is my step two. Train frozen model. Train frozen body.
[00:33:50.000 --> 00:33:56.000]   Basically, oh sorry, train just the head. I'll just call it that.
[00:33:56.000 --> 00:34:02.000]   So the learning rate we pick up is somewhere around 1E neg 3. So let's pick up that learning rate, which is 3E neg 3.
[00:34:02.000 --> 00:34:10.000]   And we train that. Then you go step three is unfreeze the body.
[00:34:10.000 --> 00:34:18.000]   And finally, use discriminative learning rates.
[00:34:18.000 --> 00:34:24.000]   So what this means is when you're passing a slice to the learning rate in Fast.ai,
[00:34:24.000 --> 00:34:30.000]   what it's going to do is it's going to take 1E neg 6 as the learning rate.
[00:34:30.000 --> 00:34:35.000]   So 1E neg 6 is what goes here and 1E neg 3 is what goes here.
[00:34:35.000 --> 00:34:43.000]   And then everything else is in between. So that's this idea of using discriminative learning rates.
[00:34:43.000 --> 00:34:47.000]   So I just want to show you how things look like. So let's just this training finish.
[00:34:47.000 --> 00:34:58.000]   I just want to show you all the steps together. So when you go back this week, you can actually fine tune your models really well.
[00:34:58.000 --> 00:35:04.000]   So you can see how we are at 0.07 error rate, which means 93 percent accurate. So I unfreeze my model.
[00:35:04.000 --> 00:35:11.000]   And then let's call lrfind again. So now this is a little bit of this. This model's been trained, right?
[00:35:11.000 --> 00:35:18.000]   We just chopped off the head and this model's been trained. So now I can call learn.lrfind.
[00:35:18.000 --> 00:35:25.000]   And we'll see how that loss curve is very different from the one before for the untrained model.
[00:35:25.000 --> 00:35:30.000]   Then it still suggests me a point and we pick that point up.
[00:35:30.000 --> 00:35:35.000]   So it's saying that this is the point which means around 1E neg 4. So that's what goes here.
[00:35:35.000 --> 00:35:38.000]   Then you divide that by 100 pretty much, which is your earliest layer.
[00:35:38.000 --> 00:35:43.000]   So you provide in a slice and then that you fit for even longer.
[00:35:43.000 --> 00:35:50.000]   And you can see how this will really work. And it will really make your model train for discriminative learning rates.
[00:35:50.000 --> 00:35:55.000]   So that's the next idea. And then you can pretty much just plot your losses.
[00:35:55.000 --> 00:36:00.000]   And I will do that when that runs. That's going to take some time to run.
[00:36:00.000 --> 00:36:10.000]   So we have time to look at questions for discriminative learning rates.
[00:36:10.000 --> 00:36:13.000]   All right. We finished last here.
[00:36:13.000 --> 00:36:20.000]   Is it the same concept that LR rate is different for different batches and different layers?
[00:36:20.000 --> 00:36:27.000]   No, I think. Yeah. Thanks, Kevin. So I won't go into LR scheduling.
[00:36:27.000 --> 00:36:31.000]   But Durga, it's different. It's both are very different.
[00:36:31.000 --> 00:36:42.000]   OK. So you divide your model into like these three parts.
[00:36:42.000 --> 00:36:49.000]   Your earlier layers have, say, 1E neg 6 and then your later layers have 1E neg 3.
[00:36:49.000 --> 00:36:59.000]   This is called discriminative learning rate. Then what you do ideally is you train this for, say, 10 epochs.
[00:36:59.000 --> 00:37:04.000]   Right now, your model has trained for 10 epochs.
[00:37:04.000 --> 00:37:12.000]   Then what most practitioners do is.
[00:37:12.000 --> 00:37:16.000]   After 10 epochs, you reduce the learning rate even more.
[00:37:16.000 --> 00:37:24.000]   So you go, say, your earliest layer goes 1E neg 8 and this goes 1E neg 5.
[00:37:24.000 --> 00:37:28.000]   So you reduce the learning rate even further. So that's a completely different idea.
[00:37:28.000 --> 00:37:31.000]   That's called LR scheduling, as Kevin's already mentioned.
[00:37:31.000 --> 00:37:36.000]   But the idea is that you keep reducing your learning rate further and further.
[00:37:36.000 --> 00:37:41.000]   So this is something I touched upon. Actually, there's different kinds of schedulers.
[00:37:41.000 --> 00:37:52.000]   So if you go Torch Optim scheduler, you'll find a whole list that will show you how to adjust the learning rate.
[00:37:52.000 --> 00:37:57.000]   So you will see how there's all these different schedulers, Lambda LR, Multiplicative LR.
[00:37:57.000 --> 00:38:02.000]   Actually, FastAI has a really good list of LR schedulers.
[00:38:02.000 --> 00:38:09.000]   Let me see if I can bring that up. Here it is.
[00:38:09.000 --> 00:38:15.000]   There you go. So there's all these different ways you can change your learning rate at every epoch.
[00:38:15.000 --> 00:38:21.000]   So there's like cosine scheduling, polynomial scheduling, and they can combine different schedulers.
[00:38:21.000 --> 00:38:27.000]   But that's a different concept. We're not talking about this right now.
[00:38:27.000 --> 00:38:33.000]   Block Perth showing different LR metrics. Let's have a look. Oh, it's Noveta. It's one by Zach.
[00:38:33.000 --> 00:38:40.000]   Did Zach write this? I'd be curious if he did. He did. It is by Zach Miller.
[00:38:40.000 --> 00:38:47.000]   Thanks for sharing. Could you please also share this, Angelica, on the YouTube live chat with everybody?
[00:38:47.000 --> 00:38:52.000]   Thanks for pointing out the resource, Alan.
[00:38:52.000 --> 00:38:57.000]   When we unfreeze the model, are we training with the complete network? Yes.
[00:38:57.000 --> 00:39:00.000]   No, there's no question that's a bad question. We're still training the whole network.
[00:39:00.000 --> 00:39:03.000]   It's just that the learning rates are different for different parts of the model.
[00:39:03.000 --> 00:39:06.000]   That's why it's called discriminative learning rate.
[00:39:06.000 --> 00:39:10.000]   So even when we unfreeze, we're still training the model.
[00:39:10.000 --> 00:39:14.000]   That's actually training the whole model is what is called unfreezing.
[00:39:14.000 --> 00:39:23.000]   Because when you have your weights as frozen, that's when you're not training the whole model.
[00:39:23.000 --> 00:39:30.000]   I hope that made sense. How to discriminate these parts of the model.
[00:39:30.000 --> 00:39:32.000]   You don't have to worry about discriminating these parts.
[00:39:32.000 --> 00:39:37.000]   When you pass to Fast.ai, when you pass a learning rate that's a slice,
[00:39:37.000 --> 00:39:42.000]   Fast.ai will already know that you're trying to discriminate the learning rates for different parts of the models.
[00:39:42.000 --> 00:39:45.000]   And internally, it will break the model into chunks.
[00:39:45.000 --> 00:39:50.000]   And it will train each of these different parts of the model for different learning rates.
[00:39:50.000 --> 00:39:53.000]   So this is not something you have to worry about.
[00:39:53.000 --> 00:39:57.000]   So you can see how now training by different discriminative learning rates,
[00:39:57.000 --> 00:40:05.000]   we are able to get about 90 or about 94.2% accuracy because the error rate has really, really reduced.
[00:40:05.000 --> 00:40:09.000]   And then when that finishes, how many epochs are we at? Ten.
[00:40:09.000 --> 00:40:12.000]   So it's just about to finish. It's the last one.
[00:40:12.000 --> 00:40:18.000]   Excellent. And then we can plot the loss and we can see how the train loss is reducing, how the valid loss is reducing.
[00:40:18.000 --> 00:40:23.000]   But this is the point you want to get to where the valid loss is kind of steady.
[00:40:23.000 --> 00:40:29.000]   Because if the validation loss is still reducing, which means you still continue to train your model,
[00:40:29.000 --> 00:40:34.000]   which actually brings me to this point of selecting the number of epochs.
[00:40:34.000 --> 00:40:36.000]   So how do you select the number of epochs?
[00:40:36.000 --> 00:40:42.000]   So that's another different hyperparameter is like how many epochs do you train for?
[00:40:42.000 --> 00:40:49.000]   Like we trained for 12 epochs over here and we trained for three epochs over here.
[00:40:49.000 --> 00:40:53.000]   So how do we know how many epochs we want to train for?
[00:40:53.000 --> 00:41:00.000]   A good rule of thumb is if your loss is still decreasing, not your train loss, but your validation,
[00:41:00.000 --> 00:41:03.000]   because your train loss is always going to decrease.
[00:41:03.000 --> 00:41:06.000]   Remember this guys, train and validation are two very different things.
[00:41:06.000 --> 00:41:15.000]   When you have your whole data set, this is my whole data set, you divide it into train and validation.
[00:41:15.000 --> 00:41:25.000]   The model only sees this part and then we validate the model on the validation set.
[00:41:25.000 --> 00:41:29.000]   It never sees it. It has never seen that part of the data.
[00:41:29.000 --> 00:41:34.000]   We just test the model. We just make the model do predictions on some part of the data,
[00:41:34.000 --> 00:41:39.000]   which could be say 20% or 10% depending on different data sets.
[00:41:39.000 --> 00:41:46.000]   You just make predictions on this validation data set and then you test your model and see how good your model is performing.
[00:41:46.000 --> 00:41:52.000]   So what we really care about when training and validation loss, if we plot the training and validation loss
[00:41:52.000 --> 00:41:57.000]   and say the training curve, because the training curve is always going to decrease,
[00:41:57.000 --> 00:42:00.000]   we say that's the training curve and then that's the validation curve,
[00:42:00.000 --> 00:42:04.000]   because that's what you'll see commonly will happen.
[00:42:04.000 --> 00:42:09.000]   At this point onward, the model is starting to overfit.
[00:42:09.000 --> 00:42:18.000]   I guess right now what I'm trying to do is I'm trying to help you with the intuition of all these different loss curves,
[00:42:18.000 --> 00:42:22.000]   all these different train and validation loss curves that you'll see.
[00:42:22.000 --> 00:42:28.000]   If you see something like the validation loss is decreasing and then it starts to increase,
[00:42:28.000 --> 00:42:36.000]   but your train loss is continuing to decrease, what that means is your model is starting to memorize your training data.
[00:42:36.000 --> 00:42:39.000]   What does it mean that it's starting to memorize your training data?
[00:42:39.000 --> 00:42:44.000]   It means that it's starting to capture not the general patterns, but it's starting to capture,
[00:42:44.000 --> 00:42:48.000]   okay, fur is brown fur or like cat fur, whatever my training data is,
[00:42:48.000 --> 00:42:53.000]   it's starting to capture those things rather than, okay, fur should just be like,
[00:42:53.000 --> 00:42:58.000]   just basically a general pattern about fur, which can be generalized to different images.
[00:42:58.000 --> 00:43:00.000]   So we want the model to generalize.
[00:43:00.000 --> 00:43:06.000]   And when you see a curve like this, where the validation loss is first decreasing and then it starts to increase,
[00:43:06.000 --> 00:43:09.000]   you know that at this point onward, your model is starting to overfit.
[00:43:09.000 --> 00:43:18.000]   So you pretty much retrain your model and you pick up a model where the validation loss is not going any further down.
[00:43:18.000 --> 00:43:22.000]   So you keep training until that point that you've reached a point.
[00:43:22.000 --> 00:43:26.000]   So because you know that after this point, the model is going to get worse,
[00:43:26.000 --> 00:43:29.000]   so you can retrain the model for however many epochs.
[00:43:29.000 --> 00:43:34.000]   So you say first you train for 100 epochs and then you train for 100 epochs.
[00:43:34.000 --> 00:43:38.000]   And you saw that after the 80th epoch, my model is starting to get worse.
[00:43:38.000 --> 00:43:43.000]   So what do you do the next time is you train only for 80 epochs.
[00:43:43.000 --> 00:43:48.000]   And then now you know that your model is not going to get any worse and it's just going to not overfit.
[00:43:48.000 --> 00:43:52.000]   So that's how you pick the number of epochs.
[00:43:52.000 --> 00:43:55.000]   So that's another section.
[00:43:55.000 --> 00:44:04.000]   Which is that. So that's how you can even further improve the performance of your models is by picking up a good number of epochs.
[00:44:04.000 --> 00:44:09.000]   The last thing you can do is you pick up deeper architectures.
[00:44:09.000 --> 00:44:13.000]   So actually, let me just quickly go into questions after.
[00:44:13.000 --> 00:44:17.000]   This is the last section of this chapter.
[00:44:17.000 --> 00:44:20.000]   After this, we'll move into.
[00:44:20.000 --> 00:44:24.000]   Chapter six of the categories.
[00:44:24.000 --> 00:44:27.000]   So it looks like there's no questions. Excellent.
[00:44:27.000 --> 00:44:32.000]   I'm just going to assume everybody understands everything until now.
[00:44:32.000 --> 00:44:39.000]   So the next thing we're doing is we can do is until now we've picked up a ResNet-34.
[00:44:39.000 --> 00:44:45.000]   Until before this, what you can do, you can just pick up a deeper architecture with more number of layers.
[00:44:45.000 --> 00:44:52.000]   What that means is that a deeper architecture has a bigger capacity, which means it can learn things better.
[00:44:52.000 --> 00:45:01.000]   But beware. The fact that a bigger model can learn things better kind of means that a bigger model can overfit quickly.
[00:45:01.000 --> 00:45:05.000]   So you have to really understand what I'm trying to say here. I'll repeat one more time.
[00:45:05.000 --> 00:45:14.000]   The fact that a bigger model can learn things better means that a bigger model can overfit more than a smaller model.
[00:45:14.000 --> 00:45:23.000]   What that means is. If I have a bigger model that I'm training on my training set and I train it for really longer,
[00:45:23.000 --> 00:45:27.000]   then it will start to memorize the training data a lot more quickly than a smaller model.
[00:45:27.000 --> 00:45:31.000]   So I'm just going to call this a smaller model M2 and this is my model one.
[00:45:31.000 --> 00:45:35.000]   So it will take a lot longer for this smaller model to start memorizing.
[00:45:35.000 --> 00:45:38.000]   So that's another thing you have to be careful about.
[00:45:38.000 --> 00:45:45.000]   Is when you when you pick up bigger architectures, but generally you will see that when you pick up bigger architectures,
[00:45:45.000 --> 00:45:52.000]   you will see that the performance will be better. So if I train with this bigger architecture instead of ResNet-34,
[00:45:52.000 --> 00:46:02.000]   which only got me to point 0. It got me to the best error rate is around point five eight or point six,
[00:46:02.000 --> 00:46:06.000]   which means around 94 percent accuracy or ninety four point two.
[00:46:06.000 --> 00:46:13.000]   You will see that when we pick a bigger model like ResNet-50, we can actually get a better performance.
[00:46:13.000 --> 00:46:19.000]   So it's like 95 percent. But something you have to notice is now we're training for less epochs.
[00:46:19.000 --> 00:46:25.000]   If I trained for more epochs, if we're not even training for 12 epochs anymore, we're just training for six epochs.
[00:46:25.000 --> 00:46:30.000]   So it's like this whole balance of epochs, model size, image size, all these different things that you have to worry about.
[00:46:30.000 --> 00:46:37.000]   And you only become a better practitioner as you keep going week by week, as you try different experiments,
[00:46:37.000 --> 00:46:46.000]   as you train all of these different models. But those are the main things. And that's chapter five.
[00:46:46.000 --> 00:46:53.000]   So just as a summary today, right now, we've looked at learning rate finder.
[00:46:53.000 --> 00:46:59.000]   We saw what unfreezing and transfer learning means. We saw what discriminative learning rates are,
[00:46:59.000 --> 00:47:02.000]   which means it's just different learning rates for different parts of the model.
[00:47:02.000 --> 00:47:11.000]   We saw how you want to pick up the number of epochs. So you want to pick up a point where your validation loss doesn't overfit
[00:47:11.000 --> 00:47:16.000]   or basically your model doesn't overfit. Otherwise, the number of epochs is too high.
[00:47:16.000 --> 00:47:23.000]   Or if you pick up less number of epochs, that means the number of epochs is too low because your validation loss is still decreasing.
[00:47:23.000 --> 00:47:30.000]   And then we saw that even picking deeper architectures can help improve the model.
[00:47:30.000 --> 00:47:43.000]   So as something that you should do or basically what I follow, a common practice for me is first create a simple baseline.
[00:47:43.000 --> 00:47:49.000]   So follow everything until before this point of improving our model. So you start with a smaller model.
[00:47:49.000 --> 00:47:55.000]   You start. You don't do anything. There's no fine tuning. You just pick up a random learning rate or like a small learning rate,
[00:47:55.000 --> 00:48:03.000]   like 1-E-neg-3 or 1-E-neg-4 that you know is not too high, not too small. You pick up with that and you train your model and you get a baseline.
[00:48:03.000 --> 00:48:08.000]   What that means is that's your baseline. You're only going to get better from that point on.
[00:48:08.000 --> 00:48:21.000]   Then you try all of these different tricks and that's how you see, OK, I now fine tune my learning rate or basically I pick up a learning rate that's more suitable.
[00:48:21.000 --> 00:48:26.000]   I fine tune my hyperparameter, which means I'm picking up a learning rate that's more suitable.
[00:48:26.000 --> 00:48:29.000]   I'm picking up the number of epochs that's more suitable for my dataset.
[00:48:29.000 --> 00:48:34.000]   I'm trying all of these different methods and then you compare the performance of the model.
[00:48:34.000 --> 00:48:37.000]   Ideally, it should be much better than your baseline.
[00:48:37.000 --> 00:48:44.000]   But it's important to know the baseline because say you picked up the number of epochs as 100 instead of 60,
[00:48:44.000 --> 00:48:49.000]   which were the optimal number of epochs, then the performance is going to be worse than the baseline.
[00:48:49.000 --> 00:48:56.000]   So you need to be able to compare. You need to have a set of standards that you can't go below that.
[00:48:56.000 --> 00:49:00.000]   So that's why you need a baseline. And that's a small process that I follow.
[00:49:00.000 --> 00:49:10.000]   And you can maybe write about, like in terms of blog post ideas for this section of the chapter, write about learning rate finder.
[00:49:10.000 --> 00:49:16.000]   Try different learning rates and experiment with different learning rates in different parts of the batches and see how the model behaves,
[00:49:16.000 --> 00:49:20.000]   how you have to train for different number of epochs. What if you pick up a really small learning rate?
[00:49:20.000 --> 00:49:27.000]   Plot the loss curves. So you plot these train and validation curves for all these different hyper parameters.
[00:49:27.000 --> 00:49:31.000]   How does it look like for a deeper architecture? How does it look like for a smaller architecture?
[00:49:31.000 --> 00:49:36.000]   How does it look like if you don't do discriminated learning rates? How does it look like for a fine-tuned model?
[00:49:36.000 --> 00:49:39.000]   So these are all these things. These are all insights that you're going to get.
[00:49:39.000 --> 00:49:45.000]   And trust me, these insights are going to really help because people don't notice these insights.
[00:49:45.000 --> 00:49:51.000]   And when you share them as a blog post to the world, it's going to be good content that you end up writing.
[00:49:51.000 --> 00:50:00.000]   So that's Chapter 5. I'll just go quickly to the reports and see if there's any questions.
[00:50:00.000 --> 00:50:09.000]   If you're training a model and see that we've overshot the minimum validation loss, that it starts increasing again.
[00:50:09.000 --> 00:50:16.000]   Do we generally restart the training from scratch and reset the number of epochs to a low number?
[00:50:16.000 --> 00:50:22.000]   Or somehow we can rewind? OK. There's different ideas about this.
[00:50:22.000 --> 00:50:29.000]   So let me give you a bit of a feedback, a bit of a history.
[00:50:29.000 --> 00:50:34.000]   So say your loss is always going to decrease. There's never going to be a point that you'll see.
[00:50:34.000 --> 00:50:41.000]   So I'm not going to worry about the loss curve. But let's say for the validation loss, it decreases and then it's going to increase.
[00:50:41.000 --> 00:50:53.000]   So I guess the question is. At this point onwards, because you're always updating the model, remember, a model has weights, right?
[00:50:53.000 --> 00:51:00.000]   So a model has these weights. So at this point onward, you've already made the weights of the model worse.
[00:51:00.000 --> 00:51:06.000]   So because your model is going to train all the way, which means the final weights that the model is going to get.
[00:51:06.000 --> 00:51:12.000]   Let's say these are different epochs. So let's say this is the 0th epoch. Let's say this is the 60th epoch.
[00:51:12.000 --> 00:51:19.000]   And let's say this is the 100th epoch. And because you train for 100 epochs, which means your model weights are really bad.
[00:51:19.000 --> 00:51:29.000]   So you can't really use them. So unless you had some way of saving the weights or you saved the weights at the 60th epoch,
[00:51:29.000 --> 00:51:36.000]   then you could pretty much just reload those weights at the 60th epoch and you could use them.
[00:51:36.000 --> 00:51:42.000]   But generally what I found in practice, because you have all these different learning rate schedulers,
[00:51:42.000 --> 00:51:48.000]   you have all these different things that you're doing and FastAI kind of automatically does them for you.
[00:51:48.000 --> 00:51:56.000]   It makes really smart decisions for you. Typically, what has helped for me is to retrain the model only for 60 epochs.
[00:51:56.000 --> 00:52:02.000]   I think you'll find that at this point, the loss will be lower than whatever the loss at this point was.
[00:52:02.000 --> 00:52:11.000]   But that's what I found from practice. But feel free to save the model weights at all these different epochs and see if that's actually the case.
[00:52:11.000 --> 00:52:21.000]   But at least what I found in practice is retraining is the best strategy forward. So I hope that answers the question.
[00:52:21.000 --> 00:52:34.000]   OK, with that being said, let's move to multi-label classification.
[00:52:34.000 --> 00:52:42.000]   I just need a minute. One second.
[00:52:42.000 --> 00:52:47.000]   All right. So multi-label classification, then.
[00:52:47.000 --> 00:52:53.000]   It's very different from what we've done so far. So let's forget everything that we've learned.
[00:52:53.000 --> 00:53:07.000]   Not forget, but kind of like whatever we've done till now is we basically had, say, zero to thousand images.
[00:53:07.000 --> 00:53:16.000]   So let's say those are my thousand images. Then each image had a label like this was maybe that of a cat.
[00:53:16.000 --> 00:53:25.000]   This was a dog. It was a horse and so on. So each image only belonged to one category.
[00:53:25.000 --> 00:53:31.000]   But what if there are images that belong that have more labels in them?
[00:53:31.000 --> 00:53:41.000]   What that means is, let me show you some examples. But basically an image could have a piano and a chair and a sofa and all of these more labels.
[00:53:41.000 --> 00:53:47.000]   It's not always that in every image you just find one object or you'll only find one category.
[00:53:47.000 --> 00:53:55.000]   It's very possible that a single image has multiple categories. So how do you train that sort of model?
[00:53:55.000 --> 00:54:02.000]   The good news is there's not a lot of things that you have to do differently thanks to the way Fast.ai is built.
[00:54:02.000 --> 00:54:10.000]   There's not a lot of things that you have to do differently. And you don't really have to learn a lot of new things, which is amazing.
[00:54:10.000 --> 00:54:18.000]   So that's the good news. There's no bad news, by the way. The only thing is we have to update the loss curve.
[00:54:18.000 --> 00:54:27.000]   We have to update the loss function. So those are things that we will learn as part of this chapter, as part of multi-label classification.
[00:54:27.000 --> 00:54:34.000]   So let's see what the kind of data looks like. So there's a data called Pascal 2007.
[00:54:34.000 --> 00:54:42.000]   So until now, we've been using like ImageNet or ImageNet data sets or smaller, which have each image has one category.
[00:54:42.000 --> 00:54:53.000]   So if you search Pascal 2007, you'll see that's a data set, which is a visual object detection classes,
[00:54:53.000 --> 00:54:59.000]   which basically means then a single image can have multiple objects.
[00:54:59.000 --> 00:55:05.000]   Like this can have two different pet breeds or this can have a train, this can have a chair, this can have sofa.
[00:55:05.000 --> 00:55:14.000]   So you have multiple categories. So let's download that. I guess the first thing is to import Fastbook.
[00:55:14.000 --> 00:55:20.000]   Let me restart that. And we just import everything and we untar.
[00:55:20.000 --> 00:55:27.000]   So you remember what untar data did? Untar data, this is URLs that Pascal 2007 is just a URL,
[00:55:27.000 --> 00:55:31.000]   which means that this data set sits at this place in the Internet.
[00:55:31.000 --> 00:55:37.000]   And what untar data will do is it will download it and it will provide us with a path where this data sits.
[00:55:37.000 --> 00:55:44.000]   So now if I go path.ls, I can see how there's all of these different things that have been downloaded for me.
[00:55:44.000 --> 00:55:52.000]   One of the things that has been downloaded is also a train.csv. So I can use a library called pandas or pandas.
[00:55:52.000 --> 00:55:59.000]   And we can read the CSV. So if you're new to what a CSV is, it's comma separated values,
[00:55:59.000 --> 00:56:05.000]   or you're new to pandas, in the next sidebar, there's really good.
[00:56:05.000 --> 00:56:09.000]   This is basically just telling you what a data frame is.
[00:56:09.000 --> 00:56:15.000]   And then there's this really good book called Python for Data Analysis, which will it's by O'Reilly.
[00:56:15.000 --> 00:56:20.000]   And it will teach you everything there is to know about the pandas library.
[00:56:20.000 --> 00:56:26.000]   Or you could also check out pandas documentation.
[00:56:26.000 --> 00:56:29.000]   This will really come in handy because you need to know pandas.
[00:56:29.000 --> 00:56:32.000]   It will really, really help and boost your data science careers.
[00:56:32.000 --> 00:56:36.000]   There's a getting started guides, there's API reference.
[00:56:36.000 --> 00:56:42.000]   So you could go getting started. And then this will have lots of tutorials on how you can work with tabular data, basically.
[00:56:42.000 --> 00:56:50.000]   So this kind of data set where, you know, like an Excel sheet, when you have a data, which is the most common kind of data,
[00:56:50.000 --> 00:56:53.000]   you'll come across in all of these different companies.
[00:56:53.000 --> 00:56:56.000]   When you have that kind of data set, it's called tabular data.
[00:56:56.000 --> 00:57:04.000]   And the library in Python that's the most followed to work with this kind of data set, which is tabular data, is pandas.
[00:57:04.000 --> 00:57:08.000]   So pandas and NumPy are two libraries that go really well together.
[00:57:08.000 --> 00:57:13.000]   But for a background, refer to that book, refer to the documentation.
[00:57:13.000 --> 00:57:18.000]   It could make a good blog post if you do end up writing about pandas or like all of these different operations,
[00:57:18.000 --> 00:57:22.000]   or you ended up writing your own tutorials. That's something you could also do.
[00:57:22.000 --> 00:57:26.000]   But that's not part of what we're going to learn today.
[00:57:26.000 --> 00:57:29.000]   We're just going to see how to work with this.
[00:57:29.000 --> 00:57:38.000]   So see how I have these different images, but this image, which is 9.jpg, has two labels.
[00:57:38.000 --> 00:57:42.000]   It has a horse and a person. So like this is what multi-category is.
[00:57:42.000 --> 00:57:45.000]   This is how it is different from the past data set.
[00:57:45.000 --> 00:57:48.000]   Like there's more labels per row.
[00:57:48.000 --> 00:57:52.000]   So then in that case, what do you do? How do you construct a data block?
[00:57:52.000 --> 00:57:55.000]   Remember, the first thing you want to do is you construct your data loader.
[00:57:55.000 --> 00:58:00.000]   Sorry, you construct your data block. Then you construct your data loader, which is the easiest way in Fast.ai.
[00:58:00.000 --> 00:58:05.000]   And then you construct your data loader. You pass that to the model, and then you can train the model.
[00:58:05.000 --> 00:58:10.000]   These are the four steps that you will see are constant for doesn't matter what kind of task you're doing,
[00:58:10.000 --> 00:58:14.000]   whether you're doing natural language processing, whether you're doing multi-label classification.
[00:58:14.000 --> 00:58:20.000]   These are the kind of steps you'll see. So we just start with a very empty data block.
[00:58:20.000 --> 00:58:26.000]   And then I can call this data sets function, passing in my data frame.
[00:58:26.000 --> 00:58:34.000]   So my data frame, remember, is just this table of data, which has three columns, file name, labels, and is valid.
[00:58:34.000 --> 00:58:41.000]   Don't worry about how these react or what happens, but I can just know that I can create my data set.
[00:58:41.000 --> 00:58:48.000]   And then what that will do is, remember, data block is going to split these files into parts on its own.
[00:58:48.000 --> 00:58:53.000]   So the first part is called train and the second part is called valid.
[00:58:53.000 --> 00:59:01.000]   So you can see how train has about 4000 items and valid has about 1000 items.
[00:59:01.000 --> 00:59:07.000]   This is something you we've already looked at what data sets, data loaders and what everything is.
