
[00:00:00.000 --> 00:00:04.000]   Hi, everyone.
[00:19:33.080 --> 00:19:40.360]   what type of information or memory are you considering, right? Is it like somatic memory that stores, you know,
[00:19:40.360 --> 00:19:46.040]   knowledge about the word or is it the episodic memory that stores, you know, trajectories or behaviors or is it
[00:19:46.680 --> 00:19:52.680]   like more of a procedural memory? Like in Voyager's case, like skills or code snippets that you can use
[00:19:52.680 --> 00:19:58.120]   to do actions, right? That's that's one dimension. And the second dimension is obviously how you use the
[00:19:58.120 --> 00:20:05.080]   memory, either retrieving from it, using it in the context or or fine tuning it. I think the cognitive
[00:20:05.080 --> 00:20:10.600]   architecture for language agents paper have a good kind of categorization of all the different combinations.
[00:20:10.600 --> 00:20:17.240]   And of course, what which way you use depends on the concrete application and the concrete need and the concrete
[00:20:17.240 --> 00:20:23.240]   task. But I think in general, it's good to think of those like systematic dimensions and all the possible like
[00:20:23.240 --> 00:20:25.240]   options there. Yeah.
[00:20:25.240 --> 00:20:30.680]   Harrison also has in LangMem. I think you did a presentation in my meetup and I think you've done
[00:20:30.680 --> 00:20:36.040]   it at a couple other venues as well. User state, semantic memory and append only state. I think kind
[00:20:36.040 --> 00:20:39.720]   of maps to what you just said. What is LangMem? Can I give it like a quick...
[00:20:39.720 --> 00:20:43.720]   One of the modules of LinkedIn for a long time has been something around memory. And I think like,
[00:20:43.720 --> 00:20:48.440]   you know, we're still obviously figuring out what that means as is everyone kind of in the space. But
[00:20:48.440 --> 00:20:51.880]   one of the experiments that we did and one of the proof of concepts that we did was,
[00:20:51.880 --> 00:20:56.840]   technically what it was is you would basically create threads. You'd push messages to those
[00:20:56.840 --> 00:21:01.880]   threads in the background. We process the data in a few ways. One, we like put it into some semantic
[00:21:01.880 --> 00:21:07.240]   store. That's the semantic memory. And then two, we do some like extraction and reasoning over the
[00:21:07.240 --> 00:21:12.600]   memories to extract. And we let the user define this, but like extract key facts or anything that's
[00:21:12.600 --> 00:21:17.640]   of interest to the user. Those aren't exactly trajectories. They're maybe more closer to the,
[00:21:17.640 --> 00:21:23.080]   to the procedural memory. Is that how you'd think about it or classify it? Or is it like about like
[00:21:23.080 --> 00:21:29.480]   knowledge about the word or is it more like how to do something? It's reflections basically. So in
[00:21:29.480 --> 00:21:33.800]   generative worlds, generative agents, generative smallville. Yeah. The smallville one. So the way
[00:21:33.800 --> 00:21:37.880]   that they had their memory there was they had the sequence of events and that's kind of like the raw
[00:21:37.880 --> 00:21:43.080]   events that happened. But then every, and events did like run some synthesis over those events
[00:21:43.080 --> 00:21:48.760]   to, for the, for the LLM to insert its own memory basically. And it's, it's that type of memory. I
[00:21:48.760 --> 00:21:53.080]   don't know how that would be classified. I think of that more of the semantic memory, but to be fair,
[00:21:53.080 --> 00:21:58.360]   I think it's just one way to think of that. But whether it's semantic memory or procedure memory or whatever
[00:21:58.360 --> 00:22:03.880]   memory, that's like, like abstraction layer. But in terms of implementation, you can choose whatever
[00:22:03.880 --> 00:22:09.160]   implementation for whatever memory. So they're totally kind of orthogonal. I think it's more of a good way to
[00:22:09.160 --> 00:22:14.120]   think of the things because like from the history of cognitive science and you know, cognitive
[00:22:14.120 --> 00:22:19.720]   architecture and how people study even neuroscience, right? That's the way people think of how human brain
[00:22:19.720 --> 00:22:25.480]   organizes memory. And I think it's more useful as a way to think of things, but it's not like for semantic
[00:22:25.480 --> 00:22:30.920]   memory, you have to do this kind of like way to retrieve or fine tune. And for precision memory, you have to do that.
[00:22:30.920 --> 00:22:34.520]   Like, I think those are totally orthogonal kind of dimensions.
[00:22:34.520 --> 00:22:38.440]   How much background do you have in kind of like cognitive sciences and how much do you model some
[00:22:38.440 --> 00:22:39.480]   of your thoughts on?
[00:22:39.480 --> 00:22:47.400]   That's a great question actually. And, uh, I think one of the undergrad kind of influence for my like
[00:22:47.400 --> 00:22:53.960]   follow-up research is I was doing like an internship at MIT's computational cognitive science lab with like,
[00:22:53.960 --> 00:22:59.880]   you know, Josh Tanabam and he's like a very famous cognitive scientist. And I think a lot of,
[00:22:59.880 --> 00:23:06.200]   a lot of his ideas still influence me today. Like, uh, think of sensing like computational terms and
[00:23:06.200 --> 00:23:11.720]   get interested in language and a lot of stuff, you know, or even like developer psychology kind of stuff,
[00:23:11.720 --> 00:23:12.920]   I think still influencing me today.
[00:23:12.920 --> 00:23:19.400]   As a developer that tried out Langmem, the way I view it is just, it's a materialized view of a stream
[00:23:19.400 --> 00:23:23.560]   of logs. And if anything, that's just useful for context compression. I don't have to use the full
[00:23:23.560 --> 00:23:27.880]   context to run it over everything, but also it's kind of debuggable. Like if it's wrong, I can show it
[00:23:27.880 --> 00:23:30.120]   to the user, user can manually fix it and I can carry on.
[00:23:30.120 --> 00:23:33.080]   That's a really good analogy. Yeah, I like that. I'm going to steal that.
[00:23:33.080 --> 00:23:37.720]   Please, please. You know I'm bullish on memory databases. Um, I guess, Tree of Thoughts?
[00:23:37.720 --> 00:23:40.200]   Um, yeah, Tree of Thoughts. I mean, you had a...
[00:23:40.200 --> 00:23:44.680]   I feel like I'm relieving the defense again in like a podcast format.
[00:23:44.680 --> 00:23:49.000]   Yeah, no, I mean, it was a, you had a banger. Well, this is the one where you're already successful
[00:23:49.000 --> 00:23:54.440]   and would just like, you know, highlight the glory. It was really good. You mentioned that since thinking
[00:23:54.440 --> 00:23:59.320]   is kind of like taking an action, you can use like action searching algorithms to think of thinking.
[00:23:59.320 --> 00:24:04.280]   So just like you will use Tree Search to like find the next thing. And the idea behind Tree of Thoughts
[00:24:04.280 --> 00:24:09.240]   is like you generate all these possible outcomes and then find the best tree to get to the end.
[00:24:09.240 --> 00:24:13.720]   Maybe back to the latency question. You can't really do that if you have to respond in real time. So
[00:24:13.720 --> 00:24:17.640]   what are maybe some of the most helpful use cases for things like this? Where have you seen people
[00:24:17.640 --> 00:24:20.840]   adopt it where the high latency is actually worth the weight?
[00:24:20.840 --> 00:24:25.480]   For things that you don't care about latency, obviously, for example, if you're trying to do
[00:24:25.480 --> 00:24:29.880]   math, right? If you're just trying to come up with a proof. But I feel like one type of task is
[00:24:29.880 --> 00:24:35.480]   more about searching for a solution, right? You can try a hundred times, but if you find one solution,
[00:24:35.480 --> 00:24:39.880]   that's good. Like for example, if you're finding a math proof or if you're finding a good code to solve
[00:24:39.880 --> 00:24:44.760]   a problem or whatever. And I think another type of task is more like reacting, right? For example,
[00:24:44.760 --> 00:24:49.960]   if you're doing customer service, you're like a web agent booking a ticket for like a end user, right?
[00:24:49.960 --> 00:24:54.040]   Those are more like kind of reactive kind of tasks, right? You have to, or more real-time tasks,
[00:24:54.040 --> 00:24:59.080]   right? You have to do things fast. They might be easy, but you have to do it reliably. And you care more
[00:24:59.080 --> 00:25:05.640]   about like, can you solve 99% of the time out of a hundred, but for the type of search type of tasks,
[00:25:05.640 --> 00:25:11.080]   then you care more about, you know, can I find one solution out of a hundred? So it's kind of symmetric and different.
[00:25:11.080 --> 00:25:16.360]   Do you have any data or like intuition from your user base? Like what's the split of
[00:25:16.360 --> 00:25:20.280]   these type of use cases? Like how many people are doing more reactive things and how many people are
[00:25:20.280 --> 00:25:22.680]   experimenting with like kind of deep, long search?
[00:25:22.680 --> 00:25:27.800]   I would say like reacts probably like the most popular. I think there's aspects of reflection
[00:25:27.800 --> 00:25:34.120]   that get used tree of thought probably like the least. So there's a great tweet from Jason way.
[00:25:34.120 --> 00:25:38.520]   I think you're now colleague, and he was talking about like prompting strategies and how he thinks
[00:25:38.520 --> 00:25:43.960]   about them. And I think like the four things that he kind of had was like, one, how easy is it to
[00:25:43.960 --> 00:25:49.240]   implement? How much compute does it take? How many tasks does it kind of like solve? And how much does
[00:25:49.240 --> 00:25:53.720]   it improve on those tasks? And, and I'd add a fifth, which is like, how likely is it to be relevant with
[00:25:53.720 --> 00:25:58.040]   when the next generation of models kind of come out? And I think if you look at kind of like those axes,
[00:25:58.040 --> 00:26:04.040]   and then you look at like, uh, you know, react reflection, tree of thought, it tracks that the
[00:26:04.040 --> 00:26:08.680]   ones that score better are used more like react is pretty easy to implement tree of thoughts, pretty
[00:26:08.680 --> 00:26:14.360]   hard to implement. Um, right. Like the amount of compute. Yeah. A lot more for tree of thought,
[00:26:14.360 --> 00:26:19.000]   the tasks and how much it improves. I don't have amazing visibility there, but I think like,
[00:26:19.000 --> 00:26:24.040]   if we're comparing react versus tree of thought, react just dominates the first two axes so much
[00:26:24.040 --> 00:26:28.120]   that my question around that was going to be like, how do you think about like these prompting
[00:26:28.120 --> 00:26:31.400]   strategies, cognitive architectures, whatever you want to call them when you're, when you're thinking
[00:26:31.400 --> 00:26:36.200]   of them, what are the axes that you're judging them on in your head when you're thinking whether
[00:26:36.200 --> 00:26:41.080]   it's a good one or, or a less good one or. Right. Right. I think there is a difference between
[00:26:41.800 --> 00:26:48.360]   like a prompting method versus like a research in the sense that like for research, you don't really
[00:26:48.360 --> 00:26:55.560]   even care about does it actually work on practical tasks or does it help whatever. I think it's more
[00:26:55.560 --> 00:27:02.040]   about like the idea or the, the principle, right? Like what is the direction that you're like unblocking
[00:27:02.040 --> 00:27:07.480]   and whatever. And I think for the, for like an actual prompting method to solve like a concrete
[00:27:07.480 --> 00:27:13.720]   problem, I would say like simplicity is very important because the simpler it is, the less
[00:27:13.720 --> 00:27:18.120]   decision you have to make about it. And it's easier to design, it's easier to propagate and it's easier
[00:27:18.120 --> 00:27:25.000]   to, to do stuff. So always try to be as simple as possible. And I think latency obviously is important.
[00:27:25.000 --> 00:27:30.200]   Like if you can do things fast and you don't want to do things slow. And I think in terms of the actual
[00:27:30.200 --> 00:27:36.200]   prompting method to use for a particular problem, I'm a, I think we should all be in the minimum list
[00:27:36.200 --> 00:27:41.720]   kind of camp, right? You should try the minimum thing and see if it works and if it doesn't work and
[00:27:41.720 --> 00:27:46.280]   there's absolute reason to add something, then you add something, right? Like there's an absolute reason
[00:27:46.280 --> 00:27:51.640]   that you need some tool, then you should add the tool thing. If there's absolute reason to add
[00:27:51.640 --> 00:27:54.760]   reflection or whatever, you should add that. Otherwise, if chain of thought can already solve
[00:27:54.760 --> 00:27:58.600]   something, then you don't even need to use any of that. Yeah. Or if just better prompting can solve
[00:27:58.600 --> 00:28:02.200]   it. Like, you know, you could add a reflection step or you could make your instructions a little bit
[00:28:02.200 --> 00:28:07.160]   clearer and it's a lot easier to do that. I think another interesting thing is like, I personally have
[00:28:07.160 --> 00:28:12.120]   never done those kind of like weird tricks. I think all the prompts that I write are kind of like just
[00:28:12.120 --> 00:28:15.800]   talking to a human, right? It's like, I don't know, like, like I never say something like,
[00:28:15.800 --> 00:28:20.920]   your grandma is dying and you have to solve it too. I mean, those are cool, but I feel like
[00:28:20.920 --> 00:28:25.400]   we should all try to solve this in like a very intuitive way. Like, just like talking to your
[00:28:25.400 --> 00:28:29.720]   co-worker and that, that should work 99% of the time. That's my personal take. Yeah.
[00:28:29.720 --> 00:28:35.640]   The problem with how language models, at least in these sort of GPC3 era, was that they're,
[00:28:35.640 --> 00:28:42.200]   they over optimized to some sets of tokens in sequence. So like what reading the Kojima et al. paper,
[00:28:42.200 --> 00:28:47.480]   that was listening step by step, like he tried a bunch of them and they had wildly different results.
[00:28:47.480 --> 00:28:50.760]   It should not be the case, but it is the case. And hopefully we're getting better there.
[00:28:50.760 --> 00:28:55.960]   Yeah. I think it's also like a timing thing in the sense that if you think about this whole line of
[00:28:55.960 --> 00:29:01.240]   language model, right? Like at the time it was just like a text generator. We don't have any idea how it's
[00:29:01.240 --> 00:29:06.920]   going to be used. Right. And obviously at the time you will find all kinds of weird issues because
[00:29:06.920 --> 00:29:12.520]   it's not trained to do any of that. Right. But then I think we have this loop where once we realize
[00:29:12.520 --> 00:29:17.240]   chain of thought is important or agent is important or tool using is important. What we see is today's
[00:29:17.240 --> 00:29:22.600]   language models are heavily optimized towards those things. So I think in some sense they become more
[00:29:22.600 --> 00:29:28.680]   reliable and robust over those use cases. And, uh, you don't need to do as much prompt engineering
[00:29:28.680 --> 00:29:33.560]   tricks anymore to, to solve those things. I feel like in some sense, I feel like prompt engineering
[00:29:33.560 --> 00:29:38.440]   even is like a slightly negative word at the time because it refers to all those kind of weird tricks
[00:29:38.440 --> 00:29:42.840]   that you have to apply. But I think we don't have to do that anymore. Like given today's progress,
[00:29:42.840 --> 00:29:48.200]   you should just be able to talk to like a coworker and if you're clear and concrete and you know,
[00:29:48.200 --> 00:29:52.040]   being reasonable, then it should be reasonable things for you. Yeah. Yeah. The way I put this is,
[00:29:52.040 --> 00:29:56.600]   uh, you should not be a prompt engineer because it is the goal of the big labs to put you out of a job.
[00:29:56.600 --> 00:30:00.680]   You should just be a good communicator. Like if you're a good communicator to human,
[00:30:00.680 --> 00:30:04.600]   you should be a good communicator to them. And I think that's the key though, because oftentimes
[00:30:04.600 --> 00:30:08.920]   people aren't good communicators to these language models and that is a very important skill and that's
[00:30:08.920 --> 00:30:12.760]   still messing around with the prompt. And so it depends what you're talking about when you're
[00:30:12.760 --> 00:30:17.640]   saying prompt engineer. But do you think it's like very correlated with like, are they like a good
[00:30:17.640 --> 00:30:22.120]   communicator to humans? You know, it's like it may be, but I also think I would say on average,
[00:30:22.120 --> 00:30:25.640]   people are probably worse at communicating with language models than to humans. That's for sure.
[00:30:25.640 --> 00:30:28.920]   Right now, at least, because I think we're still figuring out how to do it. You kind of expect it
[00:30:28.920 --> 00:30:34.200]   to be magical and there's probably some correlation, but I'd say there's also just like people are worse
[00:30:34.200 --> 00:30:39.240]   at it right now than talking to you. We should, we should, uh, make it like a, you know, like an elementary
[00:30:39.240 --> 00:30:44.040]   school class or whatever, like how to talk to. Uh, yeah. I'm very proud of that. Yeah.
[00:30:44.040 --> 00:30:49.160]   Before we leave the topic of, uh, trees and searching, not specific about Q*, but there's
[00:30:49.160 --> 00:30:56.280]   a lot of questions about MCTS and this combination of tree search and language models. And I just had to
[00:30:56.280 --> 00:30:58.920]   get in a question there about how seriously should people take this?
[00:30:58.920 --> 00:31:06.520]   Again, I think it depends on the tasks, right? So MCTS was magical for Go, but it's probably not as
[00:31:06.520 --> 00:31:12.520]   magical for robotics, right? So I think right now, the problem is not even that we don't have good
[00:31:12.520 --> 00:31:17.080]   methodologies. It's more about we don't have good tasks. It's also very interesting, right? Because
[00:31:17.080 --> 00:31:21.640]   if you look at my citations, like obviously the most cited are React, Reflection, and Treehouse,
[00:31:21.640 --> 00:31:26.520]   all those are methodologies. But I think like equally important, if not more important,
[00:31:26.520 --> 00:31:31.400]   line of my work is like benchmarks and environments, right? Like web shop or suite venture or whatever.
[00:31:31.400 --> 00:31:38.760]   And I think in general, what people do in academia that I think is not good is they choose a very
[00:31:38.760 --> 00:31:45.000]   simple task, like Alfred, and then they apply overly complex methods and to show the improved 2%.
[00:31:45.000 --> 00:31:53.000]   I think like you should probably match, you know, the level of complexity of your task and your method.
[00:31:53.000 --> 00:31:59.000]   Right. I feel like where tasks are kind of far behind the method in some sense, right? Because
[00:31:59.000 --> 00:32:03.640]   we have some good test time approaches, like whatever, React or Reflection and Treehouse,
[00:32:03.640 --> 00:32:09.800]   all that are like, there are many, many more complicated testing methods afterwards. But on the
[00:32:09.800 --> 00:32:15.720]   benchmark side, we have made a lot of good progress this year, last year. But I think we still need more
[00:32:15.720 --> 00:32:22.040]   progress towards that, like better coding benchmark, better web agent benchmark, better agent benchmark,
[00:32:22.040 --> 00:32:27.560]   not even for web or code. I think in general, we need to catch up with, with tasks.
[00:32:27.560 --> 00:32:31.000]   What are the biggest reasons in your mind why, why it lags behind?
[00:32:31.000 --> 00:32:38.360]   I think incentive is one big reason. Like if you see, you know, all the massive paper are cited like
[00:32:38.360 --> 00:32:45.560]   a hundred times more than the task paper. And also making a good benchmark is actually quite hard. And
[00:32:45.560 --> 00:32:51.480]   it's almost like a different set of skills in some sense, right? I feel like if you want to build a good
[00:32:51.480 --> 00:32:56.680]   benchmark, you need to be like a good kind of product manager kind of mindset, right? You need to think about
[00:32:56.680 --> 00:33:01.160]   why people should use your benchmark, why it's challenging, why it's useful. If you think about
[00:33:01.160 --> 00:33:08.760]   like a PhD going into like a school, right? The prior skill that expected to have is more about, you know,
[00:33:08.760 --> 00:33:13.560]   can they code this method and can they just run experiments and can solve that? I think building
[00:33:13.560 --> 00:33:19.560]   a benchmark is not the typical prior skill that we have, but I think things are getting better. I think
[00:33:19.560 --> 00:33:26.040]   more and more people are starting to build benchmarks and people are saying that it's like a way to get more
[00:33:26.040 --> 00:33:30.520]   impact in some sense, right? Because like, if you have a really good benchmark, a lot of people are going to use it.
[00:33:30.520 --> 00:33:35.480]   But if you have a super complicated test time method, like it's very hard for people to use it.
[00:33:35.480 --> 00:33:41.000]   Are evaluation metrics also part of the reason, like for some of these tasks that we might want to ask these
[00:33:41.000 --> 00:33:46.600]   agents or language models to do, is it hard to evaluate them since so it's hard to get an automated benchmark?
[00:33:46.600 --> 00:33:50.200]   Obviously with Sweetbench, you can, and with coding, it's, it's easier, but.
[00:33:50.200 --> 00:33:55.400]   I think that's part of the, like the skill set thing that I mentioned, because I feel like it's like,
[00:33:55.400 --> 00:34:00.680]   it's like a product manager because there are many dimensions and you need to strike a balance and
[00:34:00.680 --> 00:34:06.760]   it's really hard, right? If you want to make sense very easy to all the gradable, like automatically
[00:34:06.760 --> 00:34:11.880]   gradable, like either to grade or either to evaluate, then you might lose some of the realness or
[00:34:11.880 --> 00:34:18.440]   practicality. Or like it might be practical, but it might not be as scalable, right? For example,
[00:34:18.440 --> 00:34:23.720]   if you think about text game, humans have pre-annotated all the rewards and all the language are
[00:34:23.720 --> 00:34:29.800]   real. So it's pretty good on auto-gradable dimension and the practical dimension. If you
[00:34:29.800 --> 00:34:34.280]   think about, you know, practical, like actual English being practical, but it's not scalable,
[00:34:34.280 --> 00:34:39.240]   right? Like it takes like a year for like experts to, to, to build that game. So it's not really that
[00:34:39.240 --> 00:34:44.200]   scalable. And I think part of the reason that Sweetbench is so popular now is it kind of hits the
[00:34:44.200 --> 00:34:49.160]   balance between the three dimensions, right? Either to evaluate and being actually practical and being
[00:34:49.160 --> 00:34:55.400]   scalable. Like if I were to criticize upon some of my prior work, I think webshop, like it's my initial
[00:34:55.400 --> 00:35:01.960]   attempt to get into benchmark work. And I'm trying to do a good job striking the balance, but obviously
[00:35:01.960 --> 00:35:08.520]   we make it all gradable and it's really scalable. But then I think the practicality is not as high as
[00:35:08.520 --> 00:35:13.480]   actually just using GitHub issues, right? Because you're just creating those like synthetic tasks.
[00:35:13.480 --> 00:35:19.160]   Are there other areas besides coding that jumped to mind as being really good for being auto-gradable?
[00:35:19.160 --> 00:35:20.760]   Maybe mathematics.
[00:35:20.760 --> 00:35:21.880]   Yeah, classic.
[00:35:21.880 --> 00:35:22.760]   Yeah.
[00:35:22.760 --> 00:35:27.720]   Do you have thoughts on AlphaProof, the, the new DeepMind paper?
[00:35:27.720 --> 00:35:28.520]   I think it's pretty cool.
[00:35:28.520 --> 00:35:30.520]   Yeah.
[00:35:30.520 --> 00:35:38.280]   I think it's more of a, you know, it's more of like a confidence boost or like a, sometimes, you know,
[00:35:38.280 --> 00:35:44.840]   the work is not even about, you know, the technical details or the methodology that it chooses or the,
[00:35:44.840 --> 00:35:47.480]   the concrete results. I think it's more about a signal, right?
[00:35:47.480 --> 00:35:50.520]   Yeah. Existence boost, like, yeah, yeah. It's like, can be done.
[00:35:50.520 --> 00:35:55.400]   This direction is exciting. It kind of encourages people to work more towards that direction. I think
[00:35:55.400 --> 00:35:59.320]   it's more like a boost of confidence, I would say. Yeah.
[00:35:59.320 --> 00:36:03.960]   So we're going to focus more on agents now. And, you know, we were a special,
[00:36:03.960 --> 00:36:08.920]   all of us have a special interest in coding agents. I would consider Devin to be the sort of
[00:36:08.920 --> 00:36:16.040]   biggest launch of the year as far as AI startups go. And you guys in the Princeton group worked on
[00:36:16.040 --> 00:36:19.400]   SuiAgent alongside of SuiBench. Tell us the story about SuiAgent.
[00:36:19.400 --> 00:36:25.960]   Sure. So I think it's kind of like a trilogy. It's actually a series of three works now. So
[00:36:25.960 --> 00:36:32.600]   actually the first work is called Intercode, but it's not as, it's not as famous, I know. And the
[00:36:32.600 --> 00:36:38.280]   second word is called SuiBench. And the third word is called SuiAgent. And I'm just really confused why
[00:36:38.280 --> 00:36:44.520]   nobody's working on coding. You know, it's like a year ago, but I mean, not everybody's working on coding,
[00:36:44.520 --> 00:36:50.120]   obviously, but a year ago, like literally nobody was working on coding. I was really confused. And
[00:36:50.120 --> 00:36:55.800]   the people that were working on coding are, you know, trying to solve human evil in like a sick
[00:36:55.800 --> 00:37:00.360]   to sick way. There's no agent, there's no chain of thought, there's no anything. They're just, you
[00:37:00.360 --> 00:37:06.040]   know, fine tuning the model and improve some points and whatever. Like I was really confused because
[00:37:06.040 --> 00:37:12.440]   obviously coding is the best application for agents because it's all degradable. It's super important.
[00:37:12.440 --> 00:37:19.000]   You can make everything like API or code action, right? So I was confused and I collaborated with
[00:37:19.000 --> 00:37:23.400]   some of the students in Princeton and we have this work called Intercode. And the idea is,
[00:37:23.400 --> 00:37:28.520]   first, if you care about coding, then you should solve coding in an interactive way, meaning more
[00:37:28.520 --> 00:37:35.320]   like a Jupyter notebook kind of way than just writing a program and seeing if fails or succeeds and stop,
[00:37:35.320 --> 00:37:39.880]   right? You should solve it in an interactive way. That's because that's exactly how humans solve it,
[00:37:39.880 --> 00:37:47.000]   right? If I tell you to, you know, write a program like next token, next token, next token and stop and
[00:37:47.000 --> 00:37:52.360]   never do any edits and you cannot really use any terminal or whatever tool, it doesn't make sense,
[00:37:52.360 --> 00:37:58.440]   right? And that's the way people are solving coding at the time. Basically like sampling a program from a
[00:37:58.440 --> 00:38:02.280]   language model without chain of thought, without tool call, without reflection, without anything.
[00:38:02.280 --> 00:38:07.400]   So first point is we should solve code coding in a very interactive way. And that's a very general
[00:38:07.400 --> 00:38:14.760]   principle that applies for various coding benchmarks. But also I think you can make a lot of the agent
[00:38:14.760 --> 00:38:20.920]   tasks kind of like interactive coding. If you have Python and you can call any package, then you can
[00:38:20.920 --> 00:38:26.920]   literally also browse internet or do whatever you want, like control a robot or whatever. So that seems
[00:38:26.920 --> 00:38:32.840]   to be a very general paradigm. But obviously I think a bottleneck is at the time we're still doing, you know,
[00:38:32.840 --> 00:38:37.640]   very simple tasks like human evil or whatever coding benchmark people proposed. Like they were super hard
[00:38:37.640 --> 00:38:44.920]   2021, like 20%, but they're like 95% already in 2023. So obviously the next step is we need better benchmark. And
[00:38:44.920 --> 00:38:50.840]   Carlos and John, which are the first authors of Sweetbench. I think they come up with this great
[00:38:50.840 --> 00:38:56.520]   idea that we should just script GitHub and solve whatever human engineers are solving. And I think
[00:38:56.520 --> 00:39:01.720]   it's actually pretty easy to come up with this idea. And I think in the first week, they already made a lot of
[00:39:01.720 --> 00:39:07.240]   progress, like the script, the GitHub, and they make all the same, but then there's a lot of pain for
[00:39:07.240 --> 00:39:12.680]   infra work and whatever, you know, I think the idea is super easy, but the engineering is super hard. And I feel like
[00:39:12.680 --> 00:39:16.840]   that's a very typical signal of a good work in the AI era now.
[00:39:16.840 --> 00:39:23.560]   I think also, I think the filtering was challenging because if you look at open source PRs, like a lot
[00:39:23.560 --> 00:39:25.800]   of them are just like, you know, fixing typos.
[00:39:25.800 --> 00:39:30.120]   I think it's challenging. And to be honest, we didn't do a perfect job at the time. So if you
[00:39:30.120 --> 00:39:36.520]   look at the recent blog posts with OpenAI, like we improved the filtering so that, you know, it's more
[00:39:36.520 --> 00:39:40.120]   so I think OpenAI was just like, look, this is a thing now we have to fix this.
[00:39:40.120 --> 00:39:44.520]   Like these students just like, you know, rushed it.
[00:39:44.520 --> 00:39:47.240]   It's a good convergence of interest for me.
[00:39:47.240 --> 00:39:52.680]   Yeah. Was that tied to you joining OpenAI or like, was that just unrelated?
[00:39:52.680 --> 00:39:55.800]   It's a coincidence for me, but it's a good coincidence.
[00:39:55.800 --> 00:40:00.520]   There is a history of anytime a big lab adopts a benchmark, they fix it because, you know,
[00:40:00.520 --> 00:40:02.040]   otherwise it's a broken benchmark.
[00:40:02.040 --> 00:40:07.400]   Yeah. So naturally, once we propose Swimage, the next step is to solve it, right?
[00:40:07.400 --> 00:40:12.520]   But I think the typical way you solve something now is you collect some training samples or you
[00:40:12.520 --> 00:40:17.000]   design some complicated agent method, and then you try to solve it, right?
[00:40:17.000 --> 00:40:22.040]   Either a super complicated prompt or you build a better model with more trained data. But I think
[00:40:22.040 --> 00:40:27.080]   at the time we realized that even before those things, there's a fundamental problem with the
[00:40:27.080 --> 00:40:33.480]   interface or the tool that you're supposed to use, right? Because that's like a ignored problem in
[00:40:33.480 --> 00:40:40.200]   some sense, right? Like what your tool is or how that matters for your task. So what we found
[00:40:40.200 --> 00:40:45.800]   concretely is that if you just use the text terminal off the shelf as a tool for those agents,
[00:40:45.800 --> 00:40:50.200]   there's a lot of problems, right? For example, if you edit something, there's no feedback.
[00:40:50.200 --> 00:40:54.520]   So you don't know whether your edit is good or not. And that makes the agent very confused
[00:40:54.520 --> 00:40:59.640]   and makes a lot of mistakes. And there are a lot of like small problems, you would say. And
[00:40:59.640 --> 00:41:05.480]   well, you can try to do prompt engineering and improve that, but it turns out to be actually very
[00:41:05.480 --> 00:41:12.520]   hard. And we realized that the interface design is actually a very omitted kind of part of agent design.
[00:41:12.520 --> 00:41:17.240]   So we did this sweet agent work. And the key idea is just even before you talk about, you know,
[00:41:17.240 --> 00:41:21.400]   what the agent is, you should talk about what the environment is and you should make sure that the
[00:41:21.400 --> 00:41:26.280]   environment is actually friendly to whatever agent you're trying to apply, right? And that's the same
[00:41:26.280 --> 00:41:33.240]   idea for humans, right? Like if I give you like text terminal is good for some tasks like git pool or
[00:41:33.240 --> 00:41:39.080]   whatever, right? But it's not good if you want to look at, you know, browser and whatever, right?
[00:41:39.080 --> 00:41:44.680]   So also like, you know, browser is a good tool for some tasks, but it's not a good tool for other tasks.
[00:41:44.680 --> 00:41:49.880]   We need to talk about how to design an interface in some sense where we should treat agents as our
[00:41:49.880 --> 00:41:56.360]   customers, right? It's like when we treat humans as a customer, we design human computer interfaces, right?
[00:41:56.360 --> 00:42:02.600]   We design those beautiful desktops or browser or whatever, so that it's very intuitive and easy for
[00:42:02.600 --> 00:42:09.880]   humans to use. And this whole great subject of HCI is all about that. I think now the research idea
[00:42:09.880 --> 00:42:16.280]   of sweet agent is just we should treat agents as our customers and we should do like, you know, AICI.
[00:42:16.280 --> 00:42:23.640]   So what are the tools that a sweet agent should have or a coding agent in general?
[00:42:24.360 --> 00:42:30.440]   For sweet agent, it's like a modified text terminal, which kind of adapts to a lot of the patterns of
[00:42:30.440 --> 00:42:36.200]   language models to make it easier for language model to use. For example, now for edit, instead of having
[00:42:36.200 --> 00:42:41.080]   no feedback, it will actually have a feedback of, you know, actually here you introduce like a syntax
[00:42:41.080 --> 00:42:45.880]   error and you should probably want to fix that. And there's ended error there. And that makes it super
[00:42:45.880 --> 00:42:50.760]   easy for the model to actually do that. And there's other small things like how exactly you write
[00:42:50.760 --> 00:42:55.720]   arguments, right? Like, do you want to write like a multi-line edit or do you want to write a single
[00:42:55.720 --> 00:43:02.280]   line edit? I think it's more interesting to think about the way of the development process of ACI rather
[00:43:02.280 --> 00:43:07.640]   than the actual ACI for like a concrete application, because I think the general paradigm is very similar
[00:43:07.640 --> 00:43:14.600]   to HCI and psychology, right? Basically for how people develop HCI is they do behavior experiments on
[00:43:14.600 --> 00:43:20.200]   humans, right? I do A/B test, right? Like which interface is actually better? And I do those
[00:43:20.200 --> 00:43:24.440]   behavior experiments, kind of like psychology experiments to humans, and I change things.
[00:43:24.440 --> 00:43:29.480]   And I think what's really interesting for me for this three agent paper is we can probably do the
