
[00:00:00.000 --> 00:00:05.400]   Hey, everybody, welcome to the all in podcast. I'm your moderator for the week Dave Friedberg
[00:24:46.840 --> 00:24:53.520]   Two summers ago and they painted the whole house. They were here every day for hours every day. So I got to speak to these guys and
[00:24:53.520 --> 00:24:58.360]   These these guys were house painters, you know, they they work for an hourly wage
[00:24:58.360 --> 00:24:59.880]   They do fairly well
[00:24:59.880 --> 00:25:04.600]   But every lunch break every break they got all that they would talk about with one another
[00:25:05.000 --> 00:25:11.440]   Was what cryptocurrency they're buying and trading in and out of with the whole intention of making money
[00:25:11.440 --> 00:25:16.760]   They all believed that they had a good point of view because they read something on the internet or got some tweet
[00:25:16.760 --> 00:25:19.840]   Or got some text or saw something on tik-tok about this one
[00:25:19.840 --> 00:25:25.840]   Crypto asset or this crypto asset and they were trading in and out and all of the money that these guys worked hard for
[00:25:25.840 --> 00:25:31.320]   Was being invested in crypto assets. You're right. That set of facts is not great. However, I don't think that's the motivation
[00:25:31.320 --> 00:25:38.080]   I think the motivation is to basically end crypto as a potential competitor to fiat money in the United States
[00:25:38.080 --> 00:25:42.560]   That's the motivation and they're gonna use those fact patterns to basically
[00:25:42.560 --> 00:25:48.760]   Support that because look turn up because we could handle that. Okay, we could do the accredited investor test
[00:25:48.760 --> 00:25:54.000]   there should be a framework or set of guidelines under which it is legal for people to buy and
[00:25:54.000 --> 00:25:58.880]   Hold or trade crypto in the United States and lose all that Brian has been asking for
[00:25:59.040 --> 00:26:04.280]   Let's give us a framework and Genzer is not giving a framework. He's just trying to basically put them out of business
[00:26:04.280 --> 00:26:07.800]   Okay, look, I think we've gone around this topic. This has been a great conversation
[00:26:07.800 --> 00:26:12.080]   I'm gonna move forward to the next topic which I think is
[00:26:12.080 --> 00:26:16.720]   really interesting in the vein of both
[00:26:16.720 --> 00:26:25.440]   De-globalization but also, you know the scale at which venture firms have gotten to Sequoia decided this week and announced publicly that
[00:26:25.440 --> 00:26:30.800]   They're splitting off their China and India Southeast Asia funds as you guys
[00:26:30.800 --> 00:26:36.840]   Obviously know Sequoia capital is a venture capital firm and within that firm
[00:26:36.840 --> 00:26:42.040]   They manage multiple funds some of the funds that they've raised and managed have been
[00:26:42.040 --> 00:26:48.160]   Specifically targeted in China where they have 56 billion dollars. I don't know if this number is accurate
[00:26:48.160 --> 00:26:54.920]   but that's an incredible number 56 billion dollars of assets under management focus just in Sequoia China and then they have a
[00:26:55.360 --> 00:26:57.360]   Sequoia India fund
[00:26:57.360 --> 00:27:01.960]   Which has about four billion dollars of capital raised in just the last three years
[00:27:01.960 --> 00:27:09.680]   And now they are separating the management company and the oversight of those funds into separate management companies. So Sequoia
[00:27:09.680 --> 00:27:15.720]   Capital will no longer oversee those China funds a new firm has been formed called Sequoia China
[00:27:15.720 --> 00:27:20.720]   That is now owned and run by a separate management team based in China and Sequoia
[00:27:20.720 --> 00:27:26.680]   India is now called peak 15 partners, which is owned and operated by a separate team of managers out of India
[00:27:26.680 --> 00:27:31.520]   Roloff Botha will manage the US and European Sequoia capital
[00:27:31.520 --> 00:27:36.480]   Neil Chen will oversee Sequoia China and Shailendra Singh
[00:27:36.480 --> 00:27:40.760]   Neil Chen, I'm sorry, Neil Chen and Shailendra Singh will oversee Sequoia India
[00:27:40.760 --> 00:27:46.640]   I guess this is a question of the Sequoia get too big or are they caving to pressure of
[00:27:47.240 --> 00:27:54.080]   The political issues arising with having deep relationships and ties with China or as they have said a lot of competition
[00:27:54.080 --> 00:28:00.680]   Between these different portfolios and companies within these portfolios amongst each other Chamath. What's your read on the action?
[00:28:00.680 --> 00:28:03.840]   Is there anything to read into this and anything to extrapolate from it?
[00:28:03.840 --> 00:28:08.680]   well, it's been a parade of missteps for Sequoia in the last couple of years and
[00:28:08.680 --> 00:28:13.360]   I'll let Sequoia figure out who to blame for this. But the reality is
[00:28:14.120 --> 00:28:18.320]   They I think felt a lot of FOMO post SoftBank
[00:28:18.320 --> 00:28:26.400]   they raised this large mega fund that kind of straddled all of the sub funds and straddled all of the regions and so
[00:28:26.400 --> 00:28:33.280]   They dangled the carrot of trying to get into the early stage US fund by investing in this big mega fund that also had China
[00:28:33.280 --> 00:28:35.280]   and India exposure and growth exposure
[00:28:35.280 --> 00:28:37.920]   then they tried this like
[00:28:37.920 --> 00:28:40.640]   very convoluted evergreen
[00:28:42.080 --> 00:28:48.920]   Structure right before the market fell apart where you could basically become a permanent capital vehicle and
[00:28:48.920 --> 00:28:57.440]   As far as I can tell from the outside looking in it just seems like a taxed tax play for the GP's to not have to
[00:28:57.440 --> 00:29:00.120]   sell and realize capital gains
[00:29:00.120 --> 00:29:05.240]   But that only works when the stock market keeps going up, which it didn't and then it's summarily
[00:29:05.240 --> 00:29:11.400]   Crushed tech stocks 80 or 90 percent. So that was a misstep and then when you put all these things together
[00:29:12.400 --> 00:29:18.920]   Now that China is contracting and we said this before I think China is largely uninvestable for the next 30 or 40 years
[00:29:18.920 --> 00:29:22.400]   It just makes sense to jettison
[00:29:22.400 --> 00:29:29.400]   Now I will say though that Neil Shen is elite if you consider in investing, I would say I have a simple rubric
[00:29:29.400 --> 00:29:36.320]   Anybody who's made more than a billion dollars for themselves as an investor. I consider elite Neil Shen is elite
[00:29:36.320 --> 00:29:39.440]   And so he'll do just fine
[00:29:40.320 --> 00:29:42.240]   Running that's Sequoia
[00:29:42.240 --> 00:29:45.960]   China business. I was surprised about why they would allow
[00:29:45.960 --> 00:29:51.560]   India to leave there's nobody that elite at Sequoia India by that rubric
[00:29:51.560 --> 00:29:58.600]   But India is a country growing at 6% a year. It literally looks like China in 2008 and 9 and
[00:29:58.600 --> 00:30:02.720]   So I'm not sure why you would let them leave
[00:30:02.720 --> 00:30:09.360]   I think that you would want to attach them to yourself because it makes the US business look better. You probably gets
[00:30:09.920 --> 00:30:11.920]   differentiated and smoothed out returns
[00:30:11.920 --> 00:30:19.840]   But I think this is a little bit of taking you of competition to mark that there was competition between the different portfolio companies
[00:30:19.840 --> 00:30:23.440]   And it was leading to conflict I
[00:30:23.440 --> 00:30:26.760]   Mean, that's dumb that happens in the United States
[00:30:26.760 --> 00:30:32.360]   Sequoia has always been known to fund everybody that they think will make money no matter how much they compete
[00:30:32.360 --> 00:30:37.240]   When they back YouTube and Moritz was sitting on the board at Google and
[00:30:37.840 --> 00:30:41.240]   Sure, look Sequoia Sequoia as an organization is elite
[00:30:41.240 --> 00:30:47.240]   They're there to make money for their LPs period end of story. And so all of the other words that can go in any press release
[00:30:47.240 --> 00:30:52.160]   Basically, I think try to hide the fact that this is an organization that's had some missteps
[00:30:52.160 --> 00:30:58.680]   They're not on solid ground. They've lost a lot of money and they're trying to figure out what to do next. I
[00:30:58.680 --> 00:31:04.560]   however, if I was running that organization would have probably done nothing and
[00:31:04.560 --> 00:31:07.400]   Just let the dust settle
[00:31:07.400 --> 00:31:13.200]   And I think that all of these actions are too close together and it's a little bit to me of
[00:31:13.200 --> 00:31:17.000]   Flailing in the water and so I don't think it was a good idea
[00:31:17.000 --> 00:31:22.480]   To let India leave. I think it made a ton of sense to cut China
[00:31:22.480 --> 00:31:27.040]   But I think all of this stuff happened started happening a few years ago
[00:31:27.040 --> 00:31:32.360]   Starting with that eight or nine billion dollar mega fund that they raised to try to compete with softbank
[00:31:32.360 --> 00:31:35.360]   Saks any read on this?
[00:31:35.360 --> 00:31:39.600]   Yeah, I mean, I think it's a example a prominent example of decoupling and
[00:31:39.600 --> 00:31:46.640]   Globalization going on. So I agree. We have to treat India and China separately with respect to China. I just think it's become
[00:31:46.640 --> 00:31:50.360]   Harder and harder for Americans to do business in China
[00:31:50.360 --> 00:31:56.440]   both because we don't really have the visibility into that system and
[00:31:56.440 --> 00:32:03.160]   There's too much political uncertainty. So kind of touch my point about it being increasingly uninvestable
[00:32:03.240 --> 00:32:05.440]   But I also think that geopolitical concerns
[00:32:05.440 --> 00:32:11.520]   It's just very hard to straddle those concerns now because the geopolitical competition is heating up so much
[00:32:11.520 --> 00:32:16.760]   I think it's investable for people like Neil Shen who are insiders in that system
[00:32:16.760 --> 00:32:23.440]   So I think you know elite Chinese investors can I'm sure make money in China over the next few decades
[00:32:23.440 --> 00:32:27.960]   But I think it's just too hard for Americans to figure that out. So I think
[00:32:28.760 --> 00:32:33.340]   Them parting ways makes a lot of sense. I think it's gonna simplify Sequoia's life a lot
[00:32:33.340 --> 00:32:39.880]   India I I agree with Jama that that's sort of a different question because India is gonna be a huge growth economy over the next
[00:32:39.880 --> 00:32:42.320]   Few decades and they are a US ally
[00:32:42.320 --> 00:32:45.440]   So it doesn't pose the same geopolitical risk
[00:32:45.440 --> 00:32:52.760]   but my guess is that it was just kind of unwieldy that it's too unwieldy to
[00:32:53.640 --> 00:32:57.680]   Kind of merge funding sources and firm management
[00:32:57.680 --> 00:33:02.720]   Across two firms that are really pretty different right the US aquarium firm and then this Indian firm
[00:33:02.720 --> 00:33:06.920]   So my guess is they just decoupled because it was just getting too hard to manage
[00:33:06.920 --> 00:33:10.240]   And if you're an LP, don't you just want the ability to say?
[00:33:10.240 --> 00:33:15.080]   Okay, I'm gonna allocate this much money to India and I'm gonna allocate this much money to the US
[00:33:15.080 --> 00:33:19.960]   I think LP is probably like it to Sequoia China is frankly over the last
[00:33:20.720 --> 00:33:25.920]   15 or 20 years as good and probably is numerically better than Sequoia us
[00:33:25.920 --> 00:33:31.600]   So that was an elite organization just by itself Sequoia India
[00:33:31.600 --> 00:33:35.240]   I don't think has much to talk about and so maybe what?
[00:33:35.240 --> 00:33:37.880]   Roloff decided is this team is just not very good
[00:33:37.880 --> 00:33:39.960]   So we might as well just cut it and we can revisit it later
[00:33:39.960 --> 00:33:45.640]   They probably have some number of years of a non compete and then they could come back into the market five years with a totally
[00:33:45.640 --> 00:33:47.480]   New team and that may be easier
[00:33:47.480 --> 00:33:51.480]   So maybe easier just as just maybe the team actually wanted to be separate
[00:33:51.480 --> 00:33:55.720]   Look, it's hard to cross returns from two totally different funds, right?
[00:33:55.720 --> 00:34:02.320]   Because one side one side is gonna be unhappy with the trade, right? Yeah, I can give you the J
[00:34:02.320 --> 00:34:07.360]   Cal's got actual information to share. Well, no, I mean I have I think I have the closest
[00:34:07.360 --> 00:34:12.240]   Investor in your company right Jake. Oh, well, I'm an LP in their funds. They're printing money for me
[00:34:12.400 --> 00:34:17.480]   They back my second startup rule offs on the board of that company is still with me and I was their first scout
[00:34:17.480 --> 00:34:20.080]   When they started the scouts program, which is the highest
[00:34:20.080 --> 00:34:23.200]   Percentage performing fund I think they ever had
[00:34:23.200 --> 00:34:28.480]   Sequoia's when you're our you're our resident Captain America. So as a patriot, how do you feel?
[00:34:28.480 --> 00:34:32.200]   Well, they are put that aside. Sequoia is 20% of the Nasdaq
[00:34:32.200 --> 00:34:35.800]   This is the greatest venture firm of all time hands down and the Sequoia fund
[00:34:35.800 --> 00:34:40.000]   Which shut them off referred to me companies they've invested in companies
[00:34:41.440 --> 00:34:48.280]   As I guess and so the reason the Sequoia fund came out this evergreen fund was because a lot of their LPs wanted
[00:34:48.280 --> 00:34:51.360]   Sequoia to manage the public equities
[00:34:51.360 --> 00:34:55.560]   going forward because they didn't want to sell them because they realized bullshit that
[00:34:55.560 --> 00:35:00.120]   The massive gains the the gains from Google
[00:35:00.120 --> 00:35:02.680]   Apple etc of these
[00:35:02.680 --> 00:35:09.800]   Investments that they did when they were private companies Cisco the gains from public forward were greater than the gains in private
[00:35:09.800 --> 00:35:12.800]   And I've been in on these presentations. I've sat through them
[00:35:12.800 --> 00:35:16.040]   with the Sequoia team and so
[00:35:16.040 --> 00:35:21.200]   When you manage those public ones, we've all talked about the denominator problem here
[00:35:21.200 --> 00:35:25.160]   The denominator problem is hey, are they venture returns or are they part of the public equity?
[00:35:25.160 --> 00:35:26.400]   So at a giant endowment
[00:35:26.400 --> 00:35:31.880]   They want to put them into the equities bucket get them out of the venture bucket and Sequoia saw an opportunity there to manage this
[00:35:31.880 --> 00:35:35.400]   Evergreen fund I'm sure there are tax advantages to it, of course
[00:35:35.720 --> 00:35:40.800]   But with relation to what they did in China and India these these were incredibly
[00:35:40.800 --> 00:35:44.400]   Prescient and
[00:35:44.400 --> 00:35:50.720]   Innovative things they did in 2000 and 2005 when they started India and then China was 2005
[00:35:50.720 --> 00:35:55.480]   I believe they found domestic teams. You need domestic teams to do this properly
[00:35:55.480 --> 00:35:59.000]   especially in places with different governance and different regulations and
[00:35:59.000 --> 00:36:02.640]   It gives them autonomy though. They were incredible investments
[00:36:03.240 --> 00:36:11.160]   But what's happening right now is all venture investments because of AI and chips and the decoupling with China are now under
[00:36:11.160 --> 00:36:16.480]   Massive scrutiny so they can say there's brand confusion. You can talk about you know
[00:36:16.480 --> 00:36:22.600]   Collisions and who's gonna back this Chinese entrepreneur an Indian entrepreneur who also is operating in the US, right?
[00:36:22.600 --> 00:36:27.360]   These businesses operate in the US. And so what really is happening is
[00:36:27.880 --> 00:36:33.920]   The government is gonna stop all US venture investing in China. That's what's gonna happen in the coming months
[00:36:33.920 --> 00:36:37.560]   And so they're just getting ahead of that and now they will compete
[00:36:37.560 --> 00:36:41.360]   And it really has to do with chips and AI
[00:36:41.360 --> 00:36:46.200]   Okay, you may have seen some of these stories and nobody's gonna invest your if an American invest in AI in China
[00:36:46.200 --> 00:36:49.800]   That's gonna be bad and the same with chips. Yeah, you're right
[00:36:49.800 --> 00:36:56.760]   There are a bunch of stories about whether US investors should be investing in AI in China and people were saying this was un-american
[00:36:57.080 --> 00:37:02.240]   Because it was basically gonna give China an advantage against us in this key industry
[00:37:02.240 --> 00:37:07.400]   And I think that point is a good example of what I'm talking about with the geopolitical concerns. It's just getting too complicated
[00:37:07.400 --> 00:37:15.040]   Yes for Americans to invest in China. It raises too many geopolitical concerns and I think Sequoia is massively simplifying its life
[00:37:15.040 --> 00:37:21.000]   By just splitting these things up and being out. Did you see Keith for voice tweets on this? Yeah, that's what we're referring to
[00:37:21.000 --> 00:37:26.240]   Yeah, Keith for boy tweeted basically like it's un-american to invest in China at this point
[00:37:26.240 --> 00:37:27.280]   Yeah, we've talked about this before
[00:37:27.280 --> 00:37:34.120]   I mean look that the Chinese relationship primarily used to be seen as an economic relationship and people were looking for a win-win
[00:37:34.120 --> 00:37:39.200]   Basically trade scenarios and it was not seen as a moral to invest in China
[00:37:39.200 --> 00:37:45.400]   Now the relationship is primarily seen through a geopolitical lens, which is to say the balance of power, which is a zero-sum game
[00:37:45.400 --> 00:37:48.480]   It's about you know, how much better is the US doing?
[00:37:48.480 --> 00:37:54.660]   How much more powerful is it than China and anybody who's perceived as helping China in that rubric now is looked on?
[00:37:54.960 --> 00:37:57.920]   Skeptically within the United States about that
[00:37:57.920 --> 00:38:01.400]   Well, like I said, I don't think that's gonna change
[00:38:01.400 --> 00:38:06.320]   So I think Sequoia is doing the right thing to kind of like I said simplify its life what's your personal opinion? I'm curious
[00:38:06.320 --> 00:38:08.320]   I think that
[00:38:08.320 --> 00:38:15.000]   It should be possible to do business with China without it being seen as either unpatriotic or immoral
[00:38:15.000 --> 00:38:17.120]   However, there are strategic
[00:38:17.120 --> 00:38:22.600]   Technologies that are just gonna be I think it's too hard and too risky to
[00:38:23.720 --> 00:38:25.960]   To be supporting China in chips and AI
[00:38:25.960 --> 00:38:33.280]   Yeah, I mean look if somebody is using Chinese manufacturing to make toys or clothes. I don't think that's fundamentally
[00:38:33.280 --> 00:38:39.160]   strategic in a geopolitical way, but if you're helping them make
[00:38:39.160 --> 00:38:43.360]   The next generation of chips that's gonna raise a lot of questions
[00:38:43.360 --> 00:38:46.160]   So what so a VC firm?
[00:38:46.160 --> 00:38:49.520]   Freeberg can't take out chips and AI run their investment
[00:38:49.520 --> 00:38:55.480]   Hold on. I want to say something cuz sure this reminds me of one benchmark actually had benchmark Europe and then they cut it
[00:38:55.480 --> 00:39:00.920]   Do you guys remember that? Yeah, I do. Yeah and kind of retrenched. They weren't retrenching from a position of strength
[00:39:00.920 --> 00:39:04.720]   They were retrenching to reestablish themselves after a bunch of missteps
[00:39:04.720 --> 00:39:09.320]   so I think typically these retrenchments happen when there's a little bit of internal chaos and
[00:39:09.320 --> 00:39:17.240]   Mismanagement and underperformance that's not the case here. I can assure you. Yeah, but I actually think retrenching is good because it simplifies things
[00:39:17.800 --> 00:39:20.920]   You want to simplify yours? Yeah, I I totally agree with you
[00:39:20.920 --> 00:39:25.600]   My point is when I saw that overlay fund I was like, this is questionable
[00:39:25.600 --> 00:39:31.320]   but then when I saw that weird evergreen fund that to me just seemed like a tax arb and
[00:39:31.320 --> 00:39:36.200]   I thought to myself as a person who's looked at this exact stuff for my own stuff
[00:39:36.200 --> 00:39:39.960]   what I did was I just converted it to a family office and
[00:39:39.960 --> 00:39:45.240]   From a tax perspective. It was much simpler, but that exact same structure
[00:39:45.240 --> 00:39:49.400]   I looked at for myself and the reason that that structure exists and Jason
[00:39:49.400 --> 00:39:53.440]   I know you want to think it's because these endowments want them to manage public equities
[00:39:53.440 --> 00:39:56.240]   I still work with a few endowments and pension systems
[00:39:56.240 --> 00:40:00.680]   They don't and the reason they don't is they're not allowed to they're not allowed for concentration purposes
[00:40:00.680 --> 00:40:02.640]   They pay other people to manage it
[00:40:02.640 --> 00:40:05.600]   They have these outside consultants and for fiduciary
[00:40:05.600 --> 00:40:11.280]   Perspectives you have to do all of these things with respect to managing risk and one of the most obvious things that these foundations
[00:40:11.280 --> 00:40:17.280]   Do is they get distributions and they sell they don't hold and so the reason why you'd want to look at the
[00:40:17.280 --> 00:40:22.920]   Long-term gains of a stock that you distributed is because the GP sold too early
[00:40:22.920 --> 00:40:27.560]   Not the LP and I just don't I think that you should not just be a blind
[00:40:27.560 --> 00:40:32.320]   Surrogate on this topic and actually really think about well, I mean, I don't think you need to well
[00:40:32.320 --> 00:40:38.200]   I'm not I'm not and you know square if you look at something like that, you know, Roloff's still on the board of square
[00:40:38.200 --> 00:40:45.040]   I believe so they Sequoia has realized over time, you know as it's been explained to me as an LP that you know
[00:40:45.040 --> 00:40:50.520]   these companies grow the outliers continue to grow massively when they become public and
[00:40:50.520 --> 00:40:55.840]   Sequoia is now staying on the board of those companies and so they actually have the most insight into it because they backed it when
[00:40:55.840 --> 00:40:58.160]   It was two people and then they're still on the board
[00:40:58.160 --> 00:41:00.160]   That's not the point money is not infinite
[00:41:00.160 --> 00:41:04.760]   And if you're a foundation and you're legally obligated to distribute some percentage every year
[00:41:04.760 --> 00:41:10.480]   You need the money back and the foundations do get to choose some foundations want to go along Harvard or whoever
[00:41:10.480 --> 00:41:14.000]   I'm just picking, you know, one of the large ones if somebody's got 30 40 billion dollars
[00:41:14.000 --> 00:41:16.400]   They may not need to liquidate that and they might very much
[00:41:16.400 --> 00:41:23.480]   I'm just the only person that is in a position to actually hold for the long term because it's so tax advantageous is the GP
[00:41:23.480 --> 00:41:28.960]   That is why that fund was created and I will bet you if you ask him under oath
[00:41:28.960 --> 00:41:32.760]   Why they did it I'll tell you it was for themselves
[00:41:33.520 --> 00:41:37.200]   I will people have the church million dollars for charity
[00:41:37.200 --> 00:41:37.880]   Whatever you want to do
[00:41:37.880 --> 00:41:41.280]   I bet you if you put him under oath and you subpoena him and you ask him why he did it
[00:41:41.280 --> 00:41:43.560]   He'll say he did it for himself and that's fine
[00:41:43.560 --> 00:41:48.720]   All I'm saying is that's the kind of complexity that sacks is talking about that does not add to success
[00:41:48.720 --> 00:41:52.960]   It is over complexifying something that doesn't need to be complicated
[00:41:52.960 --> 00:41:58.360]   Yeah, I disagree with you, but we can just move on. Well, we agree to disagree sometimes here on the all-in podcast
[00:41:58.360 --> 00:42:01.520]   we're gonna move on for our last topic of the day with the
[00:42:02.520 --> 00:42:07.200]   announcement see can we talk messy? No, no, we're not good. We're good because we're gonna do one last topic, which I think is
[00:42:07.200 --> 00:42:10.600]   PGA and messy go together. Yeah, so let's just talk about the PGA
[00:42:10.600 --> 00:42:15.600]   No, we don't have time guys. I appreciate the messy interest, but we're gonna talk about something less messy
[00:42:15.600 --> 00:42:19.840]   Who cares? I think it's pretty interesting for a couple of reasons
[00:42:19.840 --> 00:42:24.240]   So as you guys know, the PGA tour has been around since 1930
[00:42:24.240 --> 00:42:32.000]   I think the PGA tour makes 1.6 billion dollars a year if reports are correct. I make 1.6 billion a year boring
[00:42:32.200 --> 00:42:34.040]   I mean depends on the year
[00:42:34.040 --> 00:42:36.520]   all of the players on the PGA tour are
[00:42:36.520 --> 00:42:38.480]   independent contractors
[00:42:38.480 --> 00:42:45.800]   so Saudi Arabia's public investment fund and this is what I think is one of the more interesting aspects of this story and
[00:42:45.800 --> 00:42:51.000]   Maybe speaks to a broader kind of set of geopolitical
[00:42:51.000 --> 00:42:56.080]   Transitions that are underway the Saudi Arabian public invention
[00:42:56.560 --> 00:43:02.880]   Public investment fund started Li V golf as an alternative to the PGA tour live golf live golf
[00:43:02.880 --> 00:43:06.000]   they invested two billion dollars of capital and
[00:43:06.000 --> 00:43:08.320]   offered
[00:43:08.320 --> 00:43:12.120]   Guarantees to golfers to come and get on their tour. They ended up
[00:43:12.120 --> 00:43:16.560]   Offering at one point Tiger Woods reportedly got an 800 million dollar guarantee
[00:43:16.560 --> 00:43:23.160]   To join their tour which he turned down Phil Mickelson got a reported 200 million dollar guarantee
[00:43:23.160 --> 00:43:28.720]   Which he took to join the tour Hideki Matsuyama got offered 750 K 750 million
[00:43:28.720 --> 00:43:34.520]   which I might so seven of the ten top paid golfers in the world actually signed up and
[00:43:34.520 --> 00:43:43.000]   It caused obviously significant disruption to what has effectively been a monopoly, which is the PGA tour in golf in professional golf
[00:43:43.000 --> 00:43:44.680]   and
[00:43:44.680 --> 00:43:46.760]   Here we are two years later
[00:43:46.760 --> 00:43:53.320]   And it was announced this week that live and PGA are merging and the current PGA tour commissioner
[00:43:53.320 --> 00:43:56.000]   Jay Moynihan will serve as CEO of the new entity
[00:43:56.000 --> 00:43:57.760]   Just by way of reference
[00:43:57.760 --> 00:44:03.800]   Jay Moynihan makes a reported 14 to 15 million dollars a year in salary as CEO of the PGA tour
[00:44:03.800 --> 00:44:05.800]   He will now be CEO of this combined
[00:44:05.800 --> 00:44:13.280]   Organization one big question mark is how much is he getting paid and did that help secure and solidify this deal getting done?
[00:44:14.040 --> 00:44:19.440]   But I think another big question is do we think this will actually close will this face regulatory and antitrust scrutiny?
[00:44:19.440 --> 00:44:27.000]   Will this face CFS because it is the Saudi Arabian public investment fund that is effectively taking a large stake in the PGA tour
[00:44:27.000 --> 00:44:33.680]   Let's go to our resident professional sports team owner or former minority owner Chamath
[00:44:33.680 --> 00:44:36.760]   And he takes on
[00:44:36.760 --> 00:44:40.960]   On this announced merger. What does it say about the PGA's ability to hold action?
[00:44:40.960 --> 00:44:43.920]   This is what's so crazy about your topic selection
[00:44:43.920 --> 00:44:50.960]   Messi was offered 1.6 billion dollars personally by the Saudis and you don't want to talk about that because you want to talk about
[00:44:50.960 --> 00:44:54.920]   a whole organization playing an antiquated sport that itself generates
[00:44:54.920 --> 00:44:57.680]   1.6 billion dollars
[00:44:57.680 --> 00:45:00.120]   Welcome to being the moderator
[00:45:00.120 --> 00:45:07.680]   I don't care about golf. I don't care. The reason this is so controversial is
[00:45:09.480 --> 00:45:15.640]   That they're calling it sports washing trying to make the reputation of Saudi more palatable in the West by
[00:45:15.640 --> 00:45:18.120]   using sports things people love
[00:45:18.120 --> 00:45:24.560]   the reason this has become controversial is because of the hypocrisy of it the PGA fought against live and
[00:45:24.560 --> 00:45:33.720]   This guy Jay Moynihan who is the CEO of this he basically evoked the 9/11 families and
[00:45:33.720 --> 00:45:36.440]   Went on a whole thing about how evil live was
[00:45:37.160 --> 00:45:42.400]   Only to then secure the bag and then there's some back channel here about
[00:45:42.400 --> 00:45:46.280]   Well, there was a lawsuit between the live golfers, you know
[00:45:46.280 --> 00:45:50.320]   Who are now banned from playing the PGA when they signed up and antitrust stuff
[00:45:50.320 --> 00:45:56.320]   And so the hypocrisy of the group is what's being pulled into question here
[00:45:56.320 --> 00:46:01.200]   Come on, this is why it's important size the players who took the money were ostracized
[00:46:01.760 --> 00:46:03.760]   As supporting an evil regime
[00:46:03.760 --> 00:46:09.800]   Yeah, and now it's clear that they were smart and Tiger should have taken the money and
[00:46:09.800 --> 00:46:14.940]   Actually the guy who said as much at the time was was Trump, you know, he
[00:46:14.940 --> 00:46:18.760]   Yeah, he nailed it's like one of these
[00:46:18.760 --> 00:46:28.160]   He's basically said that take the money from live because eventually live in PGA are gonna merge and then the guys who stuck with PGA
[00:46:28.160 --> 00:46:31.840]   You're gonna get nothing and they're gonna feel like idiots. He was totally right
[00:46:31.840 --> 00:46:37.280]   Come on come on, you don't think that that's insane. I mean, come on, it's pretty amazing
[00:46:37.280 --> 00:46:43.080]   Tell me when you get to messy and the fact that these guys were proclaiming that if you're gonna go join this tour
[00:46:43.080 --> 00:46:45.080]   You're joining, you know
[00:46:45.080 --> 00:46:49.800]   I don't understand whether I don't understand whether you're naive or dumb. This is like about money
[00:46:49.800 --> 00:46:55.320]   It's always about money professional sports has always been about money. What what are we what are we talking about?
[00:46:55.880 --> 00:47:02.860]   Money money money money money. There's your answer money drove the answer money drove the split money drove the deals now money drove the merger
[00:47:02.860 --> 00:47:08.000]   I don't understand. Can we talk about messy, please? It's so much more interesting. Okay, go talk about messy tomorrow. I
[00:47:08.000 --> 00:47:10.640]   Mean the messy thing is so incredible
[00:47:10.640 --> 00:47:14.880]   Because Cristiano Ronaldo went to a team in Saudi
[00:47:14.880 --> 00:47:21.640]   To play in the August of his career the last two or three years and this has been a thing that started with Pele in
[00:47:21.640 --> 00:47:23.640]   The 70s Pele came to the New York
[00:47:24.000 --> 00:47:28.200]   Cosmos and played Beckham famously did it as well came to the LA Galaxy
[00:47:28.200 --> 00:47:34.440]   But Beckham did this one interesting thing, which is he said, okay, I'm gonna come to play in the MLS on
[00:47:34.440 --> 00:47:38.440]   One condition really which is I'll take a huge pay cut and all of this stuff
[00:47:38.440 --> 00:47:42.360]   But I want an option to buy an expansion team for 25 million bucks
[00:47:42.360 --> 00:47:45.960]   Fast forward he ended up buying inter Miami
[00:47:45.960 --> 00:47:49.700]   That team is now worth five hundred and eighty five million dollars
[00:47:50.640 --> 00:47:56.600]   So messy is 36 years old. He's about to enter the August of his career. He's won everything. He's done everything possible
[00:47:56.600 --> 00:48:00.520]   He is so incredible. I mean, I love him. I love him
[00:48:00.520 --> 00:48:06.520]   he gets offered four hundred million dollars a year for four years to go play in Saudi Arabia a
[00:48:06.520 --> 00:48:08.960]   1.6 billion dollar deal and
[00:48:08.960 --> 00:48:14.600]   You know, there's no income tax here. So that's like 1.6 billion dollars right in his pocket
[00:48:14.600 --> 00:48:17.640]   Except the deal that he did
[00:48:18.000 --> 00:48:21.920]   Which was for a lot less upfront is really interesting
[00:48:21.920 --> 00:48:26.760]   He basically said I'll come to the United States and play in inter Miami
[00:48:26.760 --> 00:48:29.400]   for for the Miami Football Club
[00:48:29.400 --> 00:48:37.400]   But I am you know, basically, I'm not sure he said this so I'm using my own words. I'm the greatest player in the world
[00:48:37.400 --> 00:48:40.520]   Every time I do something magical on the field
[00:48:40.520 --> 00:48:47.880]   I'm creating content that will sell tickets and create brand awareness and move the interest level of soccer in the United States
[00:48:48.160 --> 00:48:53.320]   I'm a content creator. So I want a piece of this content and so Apple
[00:48:53.320 --> 00:48:58.600]   Who signed a two and a half billion dollar ten-year license for the MLS said you're right
[00:48:58.600 --> 00:49:02.840]   You're probably gonna sell more subscriptions for me. I'll give you a piece of the ref share and
[00:49:02.840 --> 00:49:09.880]   Then adidas said, you know what? You're right. You're probably gonna sell more shoes for me. I'll give you a piece of those shoes
[00:49:09.880 --> 00:49:13.780]   So in one fell swoop, I think what's amazing is
