
[00:00:00.040 --> 00:00:09.320]   그다음에
[00:35:35.600 --> 00:35:35.600]   I think that's one of the things that I think is really important.
[00:35:35.600 --> 00:35:35.600]   I think that's one of the things that I think is really important.
[00:35:35.600 --> 00:35:35.600]   I think that's one of the things that I think is really important.
[00:35:35.600 --> 00:35:35.600]   I think that's one of the things that I think is really important.
[00:35:35.620 --> 00:36:05.620]   I think that's one of the things that I think is really important.
[00:36:05.620 --> 00:36:05.620]   I think that's one of the things that I think is really important.
[00:36:05.620 --> 00:36:05.620]   I think that's one of the things that I think is really important.
[00:36:05.620 --> 00:36:05.620]   I think that's one of the things that I think is really important.
[00:36:05.620 --> 00:36:05.620]   I think that's one of the things that I think is really important.
[00:36:05.620 --> 00:36:05.620]   I think that's one of the things that I think is really important.
[00:36:05.620 --> 00:36:05.620]   I think that's one of the things that I think is really important.
[00:36:05.620 --> 00:36:05.620]   I think that's one of the things that I think is really important.
[00:36:05.620 --> 00:36:05.620]   I think that's one of the things that I think is really important.
[00:36:05.620 --> 00:36:05.620]   I think that's one of the things that I think is really important.
[00:36:05.620 --> 00:36:05.620]   I think that's one of the things that I think is really important.
[00:36:05.620 --> 00:36:05.620]   I think that's one of the things that I think is really important.
[00:36:05.660 --> 00:36:35.640]  ,
[00:36:35.640 --> 00:36:35.640]   I think that's one of the things that I think is really important.
[00:36:35.640 --> 00:36:35.640]   I think that's one of the things that I think is really important.
[00:36:35.640 --> 00:36:35.640]   I think that's one of the things that I think is really important.
[00:36:35.640 --> 00:36:35.640]   I think that's one of the things that I think is really important.
[00:36:35.640 --> 00:36:35.640]   I think that's one of the things that I think is really important.
[00:36:35.640 --> 00:36:35.640]   I think that's one of the things that I think is really important.
[00:36:35.640 --> 00:36:35.640]   I think that's one of the things that I think is really important.
[00:36:35.640 --> 00:36:35.640]   I think that's one of the things that I think is really important.
[00:36:35.660 --> 00:37:05.660]   I think that's one of the things that I think is really important.
[00:37:05.660 --> 00:37:05.660]   I think that's one of the things that I think is really important.
[00:37:05.660 --> 00:37:05.660]   I think that's one of the things that I think is really important.
[00:37:05.660 --> 00:37:05.660]   I think that's one of the things that I think is really important.
[00:37:05.660 --> 00:37:05.660]   I think that's one of the things that I think is really important.
[00:37:05.660 --> 00:37:05.660]   I think that's one of the things that I think is really important.
[00:37:05.660 --> 00:37:05.660]   I think that's one of the things that I think is really important.
[00:37:05.660 --> 00:37:05.660]   I think that's one of the things that I think is really important.
[00:37:05.660 --> 00:37:05.660]   I think that's one of the things that I think is really important.
[00:37:05.660 --> 00:37:05.660]   I think that's one of the things that I think is really important.
[00:37:05.660 --> 00:37:05.660]   I think that's one of the things that I think is really important.
[00:37:05.660 --> 00:37:05.660]   I think that's one of the things that I think is really important.
[00:37:05.700 --> 00:37:35.680]  ,
[00:37:35.680 --> 00:37:35.680]   I think that's one of the things that I think is really important.
[00:37:35.680 --> 00:37:35.680]   I think that's one of the things that I think is really important.
[00:37:35.680 --> 00:37:35.680]   I think that's one of the things that I think is really important.
[00:37:35.680 --> 00:37:35.680]   I think that's one of the things that I think is really important.
[00:37:35.680 --> 00:37:35.680]   I think that's one of the things that I think is really important.
[00:37:35.680 --> 00:37:35.680]   I think that's one of the things that I think is really important.
[00:37:35.680 --> 00:37:35.680]   I think that's one of the things that I think is really important.
[00:37:35.680 --> 00:37:35.680]   I think that's one of the things that I think is really important.
[00:37:35.680 --> 00:37:35.680]   I think that's one of the things that I think is really important.
[00:37:35.700 --> 00:38:05.700]   I think that's one of the things that I think is really important.
[00:38:05.700 --> 00:38:05.700]   I think that's one of the things that I think is really important.
[00:38:05.700 --> 00:38:05.700]   I think that's one of the things that I think is really important.
[00:38:05.700 --> 00:38:05.700]   I think that's one of the things that I think is really important.
[00:38:05.700 --> 00:38:05.700]   I think that's one of the things that I think is really important.
[00:38:05.700 --> 00:38:05.700]   I think that's one of the things that I think is really important.
[00:38:05.700 --> 00:38:05.700]   I think that's one of the things that I think is really important.
[00:38:05.700 --> 00:38:05.700]   I think that's one of the things that I think is really important.
[00:38:05.700 --> 00:38:05.700]   I think that's one of the things that I think is really important.
[00:38:05.700 --> 00:38:05.700]   I think that's one of the things that I think is really important.
[00:38:05.700 --> 00:38:05.700]   I think that's one of the things that I think is really important.
[00:38:05.700 --> 00:38:05.700]   I think that's one of the things that I think is really important.
[00:38:05.740 --> 00:38:35.720]  ,
[00:38:35.720 --> 00:38:35.720]   I think that's one of the things that I think is really important.
[00:38:35.720 --> 00:38:35.720]   I think that's one of the things that I think is really important.
[00:38:35.720 --> 00:38:35.720]   I think that's one of the things that I think is really important.
[00:38:35.720 --> 00:38:35.720]   I think that's one of the things that I think is really important.
[00:38:35.720 --> 00:38:35.720]   I think that's one of the things that I think is really important.
[00:38:35.720 --> 00:38:35.720]   I think that's one of the things that I think is really important.
[00:38:35.720 --> 00:38:35.720]   I think that's one of the things that I think is really important.
[00:38:35.720 --> 00:38:35.720]   I think that's one of the things that I think is really important.
[00:38:35.740 --> 00:39:05.740]   I think that's one of the things that I think is really important.
[00:39:05.740 --> 00:39:05.740]   I think that's one of the things that I think is really important.
[00:39:05.740 --> 00:39:05.740]   I think that's one of the things that I think is really important.
[00:39:05.740 --> 00:39:05.740]   I think that's one of the things that I think is really important.
[00:39:05.740 --> 00:39:05.740]   I think that's one of the things that I think is really important.
[00:39:05.740 --> 00:39:05.740]   I think that's one of the things that I think is really important.
[00:39:05.740 --> 00:39:05.740]   I think that's one of the things that I think is really important.
[00:39:05.740 --> 00:39:05.740]   I think that's one of the things that I think is really important.
[00:39:05.740 --> 00:39:05.740]   I think that's one of the things that I think is really important.
[00:39:05.740 --> 00:39:05.740]   I think that's one of the things that I think is really important.
[00:39:05.740 --> 00:39:05.740]   I think that's one of the things that I think is really important.
[00:39:05.740 --> 00:39:05.740]   I think that's one of the things that I think is really important.
[00:39:05.760 --> 00:39:35.760]  ,
[00:39:35.760 --> 00:39:35.760]   I think that's one of the things that I think is really important.
[00:39:35.760 --> 00:39:35.760]   I think that's one of the things that I think is really important.
[00:39:35.760 --> 00:39:35.760]   I think that's one of the things that I think is really important.
[00:39:35.760 --> 00:39:35.760]   I think that's one of the things that I think is really important.
[00:39:35.760 --> 00:39:35.760]   I think that's one of the things that I think is really important.
[00:39:35.760 --> 00:39:35.760]   I think that's one of the things that I think is really important.
[00:39:35.760 --> 00:39:35.760]   I think that's one of the things that I think is really important.
[00:39:35.760 --> 00:39:35.760]   I think that's one of the things that I think is really important.
[00:39:35.760 --> 00:39:35.760]   I think that's one of the things that I think is really important.
[00:39:35.760 --> 00:39:35.760]   I think that's one of the things that I think is really important.
[00:39:35.780 --> 00:40:05.780]  ,
[00:40:05.780 --> 00:40:05.780]   I think that's one of the things that I think is really important.
[00:40:05.780 --> 00:40:05.780]   I think that's one of the things that I think is really important.
[00:40:05.780 --> 00:40:05.780]   I think that's one of the things that I think is really important.
[00:40:05.780 --> 00:40:05.780]   I think that's one of the things that I think is really important.
[00:40:05.780 --> 00:40:05.780]   I think that's one of the things that I think is really important.
[00:40:05.780 --> 00:40:05.780]   I think that's one of the things that I think is really important.
[00:40:05.780 --> 00:40:05.780]   I think that's one of the things that I think is really important.
[00:40:05.780 --> 00:40:05.780]   I think that's one of the things that I think is really important.
[00:40:05.780 --> 00:40:35.800]  ,
[00:40:35.800 --> 00:40:35.800]   I think that's one of the things that I think is really important.
[00:40:35.800 --> 00:40:35.800]   I think that's one of the things that I think is really important.
[00:40:35.800 --> 00:40:35.800]   I think that's one of the things that I think is really important.
[00:40:35.800 --> 00:40:35.800]   I think that's one of the things that I think is really important.
[00:40:35.800 --> 00:40:35.800]   I think that's one of the things that I think is really important.
[00:40:35.800 --> 00:40:35.800]   I think that's one of the things that I think is really important.
[00:40:35.800 --> 00:40:35.800]   I think that's one of the things that I think is really important.
[00:40:35.820 --> 00:41:05.820]   I think that's one of the things that I think is really important.
[00:41:05.820 --> 00:41:05.820]   I think that's one of the things that I think is really important.
[00:41:05.820 --> 00:41:05.820]   I think that's one of the things that I think is really important.
[00:41:05.820 --> 00:41:05.820]   I think that's one of the things that I think is really important.
[00:41:05.820 --> 00:41:05.820]   I think that's one of the things that I think is really important.
[00:41:05.820 --> 00:41:05.820]   I think that's one of the things that I think is really important.
[00:41:05.820 --> 00:41:05.820]   I think that's one of the things that I think is really important.
[00:41:05.820 --> 00:41:05.820]   I think that's one of the things that I think is really important.
[00:41:05.820 --> 00:41:05.820]   I think that's one of the things that I think is really important.
[00:41:05.820 --> 00:41:05.820]   I think that's one of the things that I think is really important.
[00:41:05.820 --> 00:41:05.820]   I think that's one of the things that I think is really important.
[00:41:05.820 --> 00:41:05.820]   I think that's one of the things that I think is really important.
[00:41:05.840 --> 00:41:35.840]   I think that's one of the things that I think is really important.
[00:41:35.840 --> 00:41:35.840]   I think that's one of the things that I think is really important.
[00:41:35.840 --> 00:41:35.840]   I think that's one of the things that I think is really important.
[00:41:35.840 --> 00:41:35.840]   I think that's one of the things that I think is really important.
[00:41:35.840 --> 00:41:35.840]   I think that's one of the things that I think is really important.
[00:41:35.840 --> 00:41:35.840]   I think that's one of the things that I think is really important.
[00:41:35.840 --> 00:41:35.840]   I think that's one of the things that I think is really important.
[00:41:35.840 --> 00:41:35.840]   I think that's one of the things that I think is really important.
[00:41:35.840 --> 00:41:35.840]   I think that's one of the things that I think is really important.
[00:41:35.840 --> 00:41:35.840]   I think that's one of the things that I think is really important.
[00:41:35.880 --> 00:42:05.860]   I think that's one of the things that I think is really important.
[00:42:05.860 --> 00:42:05.860]   I think that's one of the things that I think is really important.
[00:42:05.860 --> 00:42:05.860]   I think that's one of the things that I think is really important.
[00:42:05.860 --> 00:42:05.860]   I think that's one of the things that I think is really important.
[00:42:05.860 --> 00:42:05.860]   I think that's one of the things that I think is really important.
[00:42:05.860 --> 00:42:05.860]   I think that's one of the things that I think is really important.
[00:42:05.860 --> 00:42:05.860]   I think that's one of the things that I think is really important.
[00:42:05.860 --> 00:42:05.860]   I think that's one of the things that I think is really important.
[00:42:05.860 --> 00:42:05.860]   I think that's one of the things that I think is really important.
[00:42:05.860 --> 00:42:05.860]   I think that's one of the things that I think is really important.
[00:42:05.880 --> 00:42:35.880]   I think that's one of the things that I think is really important.
[00:42:35.880 --> 00:42:35.880]   I think that's one of the things that I think is really important.
[00:42:35.880 --> 00:42:35.880]   I think that's one of the things that I think is really important.
[00:42:35.880 --> 00:42:35.880]   I think that's one of the things that I think is really important.
[00:42:35.880 --> 00:42:35.880]   I think that's one of the things that I think is really important.
[00:42:35.880 --> 00:42:35.880]   I think that's one of the things that I think is really important.
[00:42:35.880 --> 00:42:35.880]   I think that's one of the things that I think is really important.
[00:42:35.880 --> 00:42:35.880]   I think that's one of the things that I think is really important.
[00:42:35.880 --> 00:42:35.880]   I think that's one of the things that I think is really important.
[00:42:35.880 --> 00:42:35.880]   I think that's one of the things that I think is really important.
[00:42:35.880 --> 00:42:35.880]   I think that's one of the things that I think is really important.
[00:42:35.880 --> 00:42:35.880]   I think that's one of the things that I think is really important.
[00:42:35.900 --> 00:43:05.900]   I think that's one of the things that I think is really important.
[00:43:05.900 --> 00:43:05.900]   I think that's one of the things that I think is really important.
[00:43:05.900 --> 00:43:05.900]   I think that's one of the things that I think is really important.
[00:43:05.900 --> 00:43:05.900]   I think that's one of the things that I think is really important.
[00:43:05.900 --> 00:43:05.900]   I think that's one of the things that I think is really important.
[00:43:05.900 --> 00:43:05.900]   I think that's one of the things that I think is really important.
[00:43:05.900 --> 00:43:05.900]   I think that's one of the things that I think is really important.
[00:43:05.900 --> 00:43:05.900]   I think that's one of the things that I think is really important.
[00:43:05.900 --> 00:43:05.900]   I think that's one of the things that I think is really important.
[00:43:05.900 --> 00:43:05.900]   I think that's one of the things that I think is really important.
[00:43:05.900 --> 00:43:05.900]   I think that's one of the things that I think is really important.
[00:43:05.940 --> 00:43:35.920]  ,
[00:43:35.920 --> 00:43:35.920]   I think that's one of the things that I think is really important.
[00:43:35.920 --> 00:43:35.920]   I think that's one of the things that I think is really important.
[00:43:35.920 --> 00:43:35.920]   I think that's one of the things that I think is really important.
[00:43:35.920 --> 00:43:35.920]   I think that's one of the things that I think is really important.
[00:43:35.920 --> 00:43:35.920]   I think that's one of the things that I think is really important.
[00:43:35.920 --> 00:43:35.920]   I think that's one of the things that I think is really important.
[00:43:35.920 --> 00:43:35.920]   I think that's one of the things that I think is really important.
[00:43:35.920 --> 00:43:35.920]   I think that's one of the things that I think is really important.
[00:43:35.940 --> 00:44:05.940]   I think that's one of the things that I think is really important.
[00:44:05.940 --> 00:44:05.940]   I think that's one of the things that I think is really important.
[00:44:05.940 --> 00:44:05.940]   I think that's one of the things that I think is really important.
[00:44:05.940 --> 00:44:05.940]   I think that's one of the things that I think is really important.
[00:44:05.940 --> 00:44:05.940]   I think that's one of the things that I think is really important.
[00:44:05.940 --> 00:44:05.940]   I think that's one of the things that I think is really important.
[00:44:05.940 --> 00:44:05.940]   I think that's one of the things that I think is really important.
[00:44:05.940 --> 00:44:05.940]   I think that's one of the things that I think is really important.
[00:44:05.940 --> 00:44:05.940]   I think that's one of the things that I think is really important.
[00:44:05.940 --> 00:44:05.940]   I think that's one of the things that I think is really important.
[00:44:05.940 --> 00:44:05.940]   I think that's one of the things that I think is really important.
[00:44:05.940 --> 00:44:05.940]   I think that's one of the things that I think is really important.
[00:44:05.940 --> 00:44:35.960]   I think that's one of the things that I think is really important.
[00:44:35.960 --> 00:44:35.960]   I think that's one of the things that I think is really important.
[00:44:35.960 --> 00:44:35.960]   I think that's one of the things that I think is really important.
[00:44:35.960 --> 00:44:35.960]   I think that's one of the things that I think is really important.
[00:44:35.960 --> 00:44:35.960]   I think that's one of the things that I think is really important.
[00:44:35.960 --> 00:44:35.960]   I think that's one of the things that I think is really important.
[00:44:35.960 --> 00:44:35.960]   I think that's one of the things that I think is really important.
[00:44:35.960 --> 00:44:35.960]   I think that's one of the things that I think is really important.
[00:44:35.960 --> 00:44:35.960]   I think that's one of the things that I think is really important.
[00:44:35.980 --> 00:45:05.980]   I think that's one of the things that I think is really important.
[00:45:05.980 --> 00:45:05.980]   I think that's one of the things that I think is really important.
[00:45:05.980 --> 00:45:05.980]   I think that's one of the things that I think is really important.
[00:45:05.980 --> 00:45:05.980]   I think that's one of the things that I think is really important.
[00:45:05.980 --> 00:45:05.980]   I think that's one of the things that I think is really important.
[00:45:05.980 --> 00:45:05.980]   I think that's one of the things that I think is really important.
[00:45:05.980 --> 00:45:05.980]   I think that's one of the things that I think is really important.
[00:45:05.980 --> 00:45:05.980]   I think that's one of the things that I think is really important.
[00:45:05.980 --> 00:45:05.980]   I think that's one of the things that I think is really important.
[00:45:05.980 --> 00:45:05.980]   I think that's one of the things that I think is really important.
[00:45:05.980 --> 00:45:05.980]   I think that's one of the things that I think is really important.
[00:45:05.980 --> 00:45:05.980]   I think that's one of the things that I think is really important.
[00:45:06.000 --> 00:45:36.000]   I think that's one of the things that I think is really important.
[00:45:36.000 --> 00:45:36.000]   I think that's one of the things that I think is really important.
[00:45:36.000 --> 00:45:36.000]   I think that's one of the things that I think is really important.
[00:45:36.000 --> 00:45:36.000]   I think that's one of the things that I think is really important.
[00:45:36.000 --> 00:45:36.000]   I think that's one of the things that I think is really important.
[00:45:36.000 --> 00:45:36.000]   I think that's one of the things that I think is really important.
[00:45:36.000 --> 00:45:36.000]   I think that's one of the things that I think is really important.
[00:45:36.000 --> 00:45:36.000]   I think that's one of the things that I think is really important.
[00:45:36.000 --> 00:45:36.000]   I think that's one of the things that I think is really important.
[00:45:36.000 --> 00:45:36.000]   I think that's one of the things that I think is really important.
[00:45:36.020 --> 00:46:06.020]   I think that's one of the things that I think is really important.
[00:46:06.020 --> 00:46:06.020]   I think that's one of the things that I think is really important.
[00:46:06.020 --> 00:46:06.020]   I think that's one of the things that I think is really important.
[00:46:06.020 --> 00:46:06.020]   I think that's one of the things that I think is really important.
[00:46:06.020 --> 00:46:06.020]   I think that's one of the things that I think is really important.
[00:46:06.020 --> 00:46:06.020]   I think that's one of the things that I think is really important.
[00:46:06.020 --> 00:46:06.020]   I think that's one of the things that I think is really important.
[00:46:06.020 --> 00:46:06.020]   I think that's one of the things that I think is really important.
[00:46:06.020 --> 00:46:06.020]   I think that's one of the things that I think is really important.
[00:46:06.020 --> 00:46:06.020]   I think that's one of the things that I think is really important.
[00:46:06.020 --> 00:46:06.020]   I think that's one of the things that I think is really important.
[00:46:06.020 --> 00:46:36.040]  ,
[00:46:36.040 --> 00:46:36.040]   I think that's one of the things that I think is really important.
[00:46:36.040 --> 00:46:36.040]   I think that's one of the things that I think is really important.
[00:46:36.040 --> 00:46:36.040]   I think that's one of the things that I think is really important.
[00:46:36.040 --> 00:46:36.040]   I think that's one of the things that I think is really important.
[00:46:36.040 --> 00:46:36.040]   I think that's one of the things that I think is really important.
[00:46:36.040 --> 00:46:36.040]   I think that's one of the things that I think is really important.
[00:46:36.040 --> 00:46:36.040]   I think that's one of the things that I think is really important.
[00:46:36.040 --> 00:46:36.040]   I think that's one of the things that I think is really important.
[00:46:36.060 --> 00:47:06.060]   I think that's one of the things that I think is really important.
[00:47:06.060 --> 00:47:06.060]   I think that's one of the things that I think is really important.
[00:47:06.060 --> 00:47:06.060]   I think that's one of the things that I think is really important.
[00:47:06.060 --> 00:47:06.060]   I think that's one of the things that I think is really important.
[00:47:06.060 --> 00:47:06.060]   I think that's one of the things that I think is really important.
[00:47:06.060 --> 00:47:06.060]   I think that's one of the things that I think is really important.
[00:47:06.060 --> 00:47:06.060]   I think that's one of the things that I think is really important.
[00:47:06.060 --> 00:47:06.060]   I think that's one of the things that I think is really important.
[00:47:06.060 --> 00:47:06.060]   I think that's one of the things that I think is really important.
[00:47:06.060 --> 00:47:06.060]   I think that's one of the things that I think is really important.
[00:47:06.060 --> 00:47:06.060]   I think that's one of the things that I think is really important.
[00:47:06.060 --> 00:47:06.060]   I think that's one of the things that I think is really important.
[00:47:06.100 --> 00:47:36.080]  ,
[00:47:36.080 --> 00:47:36.080]   I think that's one of the things that I think is really important.
[00:47:36.080 --> 00:47:36.080]   I think that's one of the things that I think is really important.
[00:47:36.080 --> 00:47:36.080]   I think that's one of the things that I think is really important.
[00:47:36.080 --> 00:47:36.080]   I think that's one of the things that I think is really important.
[00:47:36.080 --> 00:47:36.080]   I think that's one of the things that I think is really important.
[00:47:36.080 --> 00:47:36.080]   I think that's one of the things that I think is really important.
[00:47:36.080 --> 00:47:36.080]   I think that's one of the things that I think is really important.
[00:47:36.080 --> 00:47:36.080]   I think that's one of the things that I think is really important.
[00:47:36.080 --> 00:47:36.080]   I think that's one of the things that I think is really important.
[00:47:36.100 --> 00:48:06.100]   I think that's one of the things that I think is really important.
[00:48:06.100 --> 00:48:06.100]   I think that's one of the things that I think is really important.
[00:48:06.100 --> 00:48:06.100]   I think that's one of the things that I think is really important.
[00:48:06.100 --> 00:48:06.100]   I think that's one of the things that I think is really important.
[00:48:06.100 --> 00:48:06.100]   I think that's one of the things that I think is really important.
[00:48:06.100 --> 00:48:06.100]   I think that's one of the things that I think is really important.
[00:48:06.100 --> 00:48:06.100]   I think that's one of the things that I think is really important.
[00:48:06.100 --> 00:48:06.100]   I think that's one of the things that I think is really important.
[00:48:06.100 --> 00:48:06.100]   I think that's one of the things that I think is really important.
[00:48:06.100 --> 00:48:06.100]   I think that's one of the things that I think is really important.
[00:48:06.100 --> 00:48:06.100]   I think that's one of the things that I think is really important.
[00:48:06.100 --> 00:48:06.100]   I think that's one of the things that I think is really important.
[00:48:06.120 --> 00:48:36.120]   I think that's one of the things that I think is really important.
[00:48:36.120 --> 00:48:36.120]   I think that's one of the things that I think is really important.
[00:48:36.120 --> 00:48:36.120]   I think that's one of the things that I think is really important.
[00:48:36.120 --> 00:48:36.120]   I think that's one of the things that I think is really important.
[00:48:36.120 --> 00:48:36.120]   I think that's one of the things that I think is really important.
[00:48:36.120 --> 00:48:36.120]   I think that's one of the things that I think is really important.
[00:48:36.120 --> 00:48:36.120]   I think that's one of the things that I think is really important.
[00:48:36.120 --> 00:48:36.120]   I think that's one of the things that I think is really important.
[00:48:36.120 --> 00:48:36.120]   I think that's one of the things that I think is really important.
[00:48:36.160 --> 00:49:06.140]   I think that's one of the things that I think is really important.
[00:49:06.140 --> 00:49:06.140]   I think that's one of the things that I think is really important.
[00:49:06.140 --> 00:49:06.140]   I think that's one of the things that I think is really important.
[00:49:06.140 --> 00:49:06.140]   I think that's one of the things that I think is really important.
[00:49:06.140 --> 00:49:06.140]   I think that's one of the things that I think is really important.
[00:49:06.140 --> 00:49:06.140]   I think that's one of the things that I think is really important.
[00:49:06.140 --> 00:49:06.140]   I think that's one of the things that I think is really important.
[00:49:06.140 --> 00:49:06.140]   I think that's one of the things that I think is really important.
[00:49:06.140 --> 00:49:06.140]   I think that's one of the things that I think is really important.
[00:49:06.140 --> 00:49:06.140]   I think that's one of the things that I think is really important.
[00:49:06.140 --> 00:49:06.140]   I think that's one of the things that I think is really important.
[00:49:06.140 --> 00:49:06.140]   I think that's one of the things that I think is really important.
[00:49:06.160 --> 00:49:36.160]   I think that's one of the things that I think is really important.
[00:49:36.160 --> 00:49:36.160]   I think that's one of the things that I think is really important.
[00:49:36.160 --> 00:49:36.160]   I think that's one of the things that I think is really important.
[00:49:36.160 --> 00:49:36.160]   I think that's one of the things that I think is really important.
[00:49:36.160 --> 00:49:36.160]   I think that's one of the things that I think is really important.
[00:49:36.160 --> 00:49:36.160]   I think that's one of the things that I think is really important.
[00:49:36.160 --> 00:49:36.160]   I think that's one of the things that I think is really important.
[00:49:36.160 --> 00:49:36.160]   I think that's one of the things that I think is really important.
[00:49:36.160 --> 00:49:36.160]   I think that's one of the things that I think is really important.
[00:49:36.160 --> 00:49:36.160]   I think that's one of the things that I think is really important.
[00:49:36.160 --> 00:49:36.160]   I think that's one of the things that I think is really important.
[00:49:36.160 --> 00:49:36.160]   I think that's one of the things that I think is really important.
[00:50:06.180 --> 00:50:06.180]   I think that's one of the things that I think is really important.
[00:50:06.180 --> 00:50:06.180]   I think that's one of the things that I think is really important.
[00:50:06.180 --> 00:50:06.180]   I think that's one of the things that I think is really important.
[00:50:06.180 --> 00:50:06.180]   I think that's one of the things that I think is really important.
[00:50:06.180 --> 00:50:06.180]   I think that's one of the things that I think is really important.
[00:50:06.180 --> 00:50:06.180]   I think that's one of the things that I think is really important.
[00:50:06.180 --> 00:50:06.180]   I think that's one of the things that I think is really important.
[00:50:06.180 --> 00:50:06.180]   I think that's one of the things that I think is really important.
[00:50:06.200 --> 00:50:36.200]   I think that's one of the things that I think is really important.
[00:50:36.200 --> 00:50:36.200]   I think that's one of the things that I think is really important.
[00:50:36.200 --> 00:50:36.200]   I think that's one of the things that I think is really important.
[00:50:36.200 --> 00:50:36.200]   I think that's one of the things that I think is really important.
[00:50:36.200 --> 00:50:36.200]   I think that's one of the things that I think is really important.
[00:50:36.200 --> 00:50:36.200]   I think that's one of the things that I think is really important.
[00:50:36.200 --> 00:50:36.200]   I think that's one of the things that I think is really important.
[00:50:36.200 --> 00:50:36.200]   I think that's one of the things that I think is really important.
[00:50:36.200 --> 00:50:36.200]   I think that's one of the things that I think is really important.
[00:50:36.200 --> 00:50:36.200]   I think that's one of the things that I think is really important.
[00:50:36.200 --> 00:50:36.200]   I think that's one of the things that I think is really important.
[00:50:36.200 --> 00:50:36.200]   I think that's one of the things that I think is really important.
[00:50:36.240 --> 00:51:06.220]   I think that's one of the things that I think is really important.
[00:51:06.220 --> 00:51:06.220]   I think that's one of the things that I think is really important.
[00:51:06.220 --> 00:51:06.220]   I think that's one of the things that I think is really important.
[00:51:06.220 --> 00:51:06.220]   I think that's one of the things that I think is really important.
[00:51:06.220 --> 00:51:06.220]   I think that's one of the things that I think is really important.
[00:51:06.220 --> 00:51:06.220]   I think that's one of the things that I think is really important.
[00:51:06.220 --> 00:51:06.220]   I think that's one of the things that I think is really important.
[00:51:06.220 --> 00:51:06.220]   I think that's one of the things that I think is really important.
[00:51:06.220 --> 00:51:06.220]   I think that's one of the things that I think is really important.
[00:51:06.220 --> 00:51:06.220]   I think that's one of the things that I think is really important.
[00:51:06.240 --> 00:51:36.240]   I think that's one of the things that I think is really important.
[00:51:36.240 --> 00:51:36.240]   I think that's one of the things that I think is really important.
[00:51:36.240 --> 00:51:36.240]   I think that's one of the things that I think is really important.
[00:51:36.240 --> 00:51:36.240]   I think that's one of the things that I think is really important.
[00:51:36.240 --> 00:51:36.240]   I think that's one of the things that I think is really important.
[00:51:36.240 --> 00:51:36.240]   I think that's one of the things that I think is really important.
[00:51:36.240 --> 00:51:36.240]   I think that's one of the things that I think is really important.
[00:51:36.240 --> 00:51:36.240]   I think that's one of the things that I think is really important.
[00:51:36.240 --> 00:51:36.240]   I think that's one of the things that I think is really important.
[00:51:36.240 --> 00:51:36.240]   I think that's one of the things that I think is really important.
[00:51:36.240 --> 00:51:36.240]   I think that's one of the things that I think is really important.
[00:51:36.240 --> 00:51:36.240]   I think that's one of the things that I think is really important.
[00:51:36.240 --> 00:52:06.260]   a little bit.
[00:52:06.260 --> 00:52:06.260]   I think that's one of the things that I think is really important.
[00:52:06.260 --> 00:52:06.260]   I think that's one of the things that I think is really important.
[00:52:06.260 --> 00:52:06.260]   I think that's one of the things that I think is really important.
[00:52:06.260 --> 00:52:06.260]   I think that's one of the things that I think is really important.
[00:52:06.260 --> 00:52:06.260]   I think that's one of the things that I think is really important.
[00:52:06.260 --> 00:52:06.260]   I think that's one of the things that I think is really important.
[00:52:06.260 --> 00:52:06.260]   I think that's one of the things that I think is really important.
[00:52:06.260 --> 00:52:06.260]   I think that's one of the things that I think is really important.
[00:52:06.280 --> 00:52:36.280]   I think that's one of the things that I think is really important.
[00:52:36.280 --> 00:52:36.280]   I think that's one of the things that I think is really important.
[00:52:36.280 --> 00:52:36.280]   I think that's one of the things that I think is really important.
[00:52:36.280 --> 00:52:36.280]   I think that's one of the things that I think is really important.
[00:52:36.280 --> 00:52:36.280]   I think that's one of the things that I think is really important.
[00:52:36.280 --> 00:52:36.280]   I think that's one of the things that I think is really important.
[00:52:36.280 --> 00:52:36.280]   I think that's one of the things that I think is really important.
[00:52:36.280 --> 00:52:36.280]   I think that's one of the things that I think is really important.
[00:52:36.280 --> 00:52:36.280]   I think that's one of the things that I think is really important.
[00:52:36.280 --> 00:52:36.280]   I think that's one of the things that I think is really important.
[00:52:36.280 --> 00:52:36.280]   I think that's one of the things that I think is really important.
[00:52:36.280 --> 00:52:36.280]   I think that's one of the things that I think is really important.
[00:52:36.280 --> 00:52:36.280]   is really important.
[00:52:36.320 --> 00:52:47.020]   bad
[00:52:47.020 --> 00:52:47.680]  's people colours
[00:52:47.680 --> 00:53:05.160]   work,,,,, Hzense
[00:53:06.320 --> 00:53:36.280]  berger: I think that helps a lot. I remember when I came to the U.S. I read the story. It was called the it was a huge deal. It came in the New York Times, which was the battle cry of the tiger mom, and they were like so many comments on that article. And when I read that story, I was like, that seems normal. What the mother did to the Chinese daughters, like playing piano, make sure you study and do all of this. But I read as I read the comments, people are like, Oh, my God, what a bad mother.
[00:53:36.280 --> 00:53:36.280]   I think that's what I'm looking for.
[00:53:36.300 --> 00:54:06.280]   I think that's a huge cultural difference.
[00:54:06.280 --> 00:54:06.280]   Well, what happened is that in the American culture, the individualism and basically Americans speaking broadly, especially the secular elite, like the culture makers on the left and right coast have basically accepted the philosophy that you do you. This is the idea. There is no right or wrong. There's no better or worse. There's no better or worse.
[00:54:06.320 --> 00:54:17.480]   12
[00:54:17.480 --> 00:54:19.320]   but think. -,,,ан
[00:54:19.320 --> 00:54:35.220]   urban
[00:55:33.700 --> 00:55:33.700]   -,,an
