
[00:00:00.040 --> 00:00:09.540]  ensemble
[00:39:36.060 --> 00:40:06.080]  , The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:06.080 --> 00:40:06.080]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:06.080 --> 00:40:06.080]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:06.080 --> 00:40:06.080]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:06.080 --> 00:40:06.080]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:06.080 --> 00:40:06.080]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:06.100 --> 00:40:36.100]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:36.100 --> 00:40:36.100]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:36.100 --> 00:40:36.100]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:36.100 --> 00:40:36.100]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:36.100 --> 00:40:36.100]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:36.100 --> 00:40:36.100]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:36.100 --> 00:40:36.100]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:36.100 --> 00:40:36.100]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:36.100 --> 00:40:36.100]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:40:36.120 --> 00:41:06.120]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:41:06.120 --> 00:41:06.120]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:41:06.120 --> 00:41:06.120]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:41:06.120 --> 00:41:06.120]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:41:06.120 --> 00:41:06.120]   The only right thing that we have to oppose these labels, the smear campaigns that target us.
[00:41:06.160 --> 00:41:14.520]   set
[00:41:14.520 --> 00:41:29.940]   even be be tau offer;L, ,,,,,,,uf視 discrete
[00:41:33.960 --> 00:41:43.300]   call
[00:41:43.300 --> 00:41:48.620]   guess. I.
[00:42:29.480 --> 00:42:29.480]   and
[00:42:29.480 --> 00:42:29.480]   and
[00:42:29.480 --> 00:42:29.480]   and
[00:42:29.480 --> 00:42:30.100]   I.
[00:43:27.660 --> 00:43:30.680]   it
[00:43:30.680 --> 00:43:56.300]   in the better I I
[00:44:27.660 --> 00:44:27.660]  ,
[00:44:57.680 --> 00:45:27.700]   ado.
[00:45:27.740 --> 00:45:34.400]   maintaining from
[00:45:34.400 --> 00:45:37.140]   run,
[00:45:37.140 --> 00:45:41.780]   Zen C F Okay decrease, ",,,, or even but provides��_��� Fit보
[00:45:41.780 --> 00:45:43.840]  這
[00:45:56.540 --> 00:46:25.340]   didnt have any meaning, but it was a mutating concept, and it takes on many shapes and forms. And if it�s in a uniform, if it speaks in English, if it has blonde hair, it�s somehow acceptable, it�s okay. We make movies about it. We sell out tickets about it. We make games about it. But if it�s without a uniform, if it has a thick accent, if it has a beard, you know, that�s condemnable.
[00:46:25.340 --> 00:46:25.340]   That�s wrong.
[00:46:25.360 --> 00:46:54.160]   That�s terrorism.
[00:46:54.160 --> 00:46:54.160]   Do you think violence is an effective method of protest and resistance in general?
[00:46:54.160 --> 00:46:54.160]   In general, I think it has been, but I believe in fighting on all fronts. I don�t think violence alone is going to bring about change. I think there�s so much to do in culture and public opinion. There�s so much to do in media and fighting back against media, eraser and censorship.
[00:46:54.160 --> 00:46:54.160]   There�s so much to do in culture and public opinion. There�s so much to do in media and fighting back against media, eraser and censorship.
[00:46:54.160 --> 00:46:54.160]   There�s so much to do in culture and public opinion. There�s so much to do in media and fighting back against media, eraser and censorship.
[00:46:54.180 --> 00:47:22.980]  , and I think I would be naive if I don�t take the power imbalance into consideration. One side has makeshift weapons and the other side is one of the most sophisticated armies in the world. So I don�t know how effective violence could be in this case.
[00:47:22.980 --> 00:47:22.980]   But if you look at the flip side, do you see the power of nonviolent resistance?
[00:47:22.980 --> 00:47:22.980]   No, I don�t know how effective violence could be in this case.
[00:47:22.980 --> 00:47:23.980]   But if you look at the flip side, do you see the power of nonviolent resistance?
[00:47:23.980 --> 00:47:24.080]   No, I don�t know how effective violence could be in this case.
[00:47:24.100 --> 00:47:32.680]   So Martin Luther King, Gandhi, the power of turning the other cheek. He spoke negatively about turning the other cheek.
[00:47:32.680 --> 00:47:32.680]   Yeah.
[00:47:32.680 --> 00:47:39.360]   So I sense that doing so has not been effective for the Palestinian people.
[00:47:39.380 --> 00:47:55.060]   I think it is. But if you look at the flip side, do you see the power of nonviolent resistance?
[00:47:55.060 --> 00:47:55.180]   No, I don�t know how effective violence could be in this case.
[00:47:55.180 --> 00:47:55.180]   I think it is. But if you look at the flip side, do you see the power of nonviolent resistance?
[00:47:55.180 --> 00:47:55.240]   I think it is. But if you look at the flip side, do you see the power of nonviolent resistance?
[00:47:55.240 --> 00:47:55.300]   No, I don�t know how effective violence could be in this case.
[00:47:55.340 --> 00:48:19.460]  , but if you look at the flip side, do you see the power of nonviolent resistance?
[00:48:19.460 --> 00:48:19.480]   No, I don�t know how effective violence could be in this case.
[00:48:19.480 --> 00:48:19.520]   I think it is. But if you look at the flip side, do you see the power of nonviolent resistance?
[00:48:19.520 --> 00:48:19.580]   No, I don�t know how effective violence could be in this case.
[00:48:19.580 --> 00:48:19.620]   I think it is. But if you look at the flip side, do you see the power of nonviolent resistance?
[00:48:19.620 --> 00:48:19.660]   No, I don�t know how effective violence could be in this case.
[00:48:19.660 --> 00:48:19.720]   No, I don�t know how effective violence could be in this case.
[00:48:19.720 --> 00:48:19.720]   No, I don�t know how effective violence could be in this case.
[00:48:19.720 --> 00:48:19.720]   No, I don�t I don�t know how effective violence could be effective violence could be effective in this case.
[00:48:19.760 --> 00:48:29.240]   peppers
[00:48:29.240 --> 00:48:47.480]   talk ... Lee實
[00:49:16.240 --> 00:49:16.240]   Hewitts are held in prisons for defending their homes. Hundreds of which are held without charge or trial, by the way. There are many Palestinians who get killed in broad daylight with no recourse, journalists and medics and everyday people.
[00:50:12.760 --> 00:50:12.760]   Hewitts are held in prisons for defending their homes. Hundreds of which are held in prisons for defending their homes. Hundreds of which are held in prisons for defending their homes.
[00:50:25.980 --> 00:50:36.960]   I believe in the 1960s, the Israeli government classified 90% of all of historic Palestine as state-owned land. This is all land that was owned by Palestinian farmers who have cultivated their lands for decades.
[00:50:36.960 --> 00:50:41.020]   Since the establishment of the Israeli state, there has been a Jewish-only town in the area of the Israeli state.
[00:50:41.020 --> 00:50:41.020]   Since the establishment of the Israeli state, there has been a Jewish-only town in the area of the Israeli state.
[00:50:41.020 --> 00:50:41.020]   Since the establishment of the Israeli state, there has been a Jewish-only town in the area of the Israeli state.
[00:50:41.020 --> 00:50:41.020]   Since the establishment of the Israeli state, there has been a Jewish-only town in the area of the Israeli state.
[00:50:41.020 --> 00:50:41.020]   Since the establishment of the Israeli state, there has been a Jewish-only town in the area of the Israeli state.
[00:50:41.020 --> 00:50:41.020]   Since the establishment of the Israeli state, there has been a Jewish-only town in the area of the Israeli state.
[00:50:41.060 --> 00:51:09.280]  , and not one Palestinian town has emerged.
[00:51:09.280 --> 00:51:09.320]   and not one Palestinian town has emerged.
[00:51:09.340 --> 00:51:17.360]   If you're American, you've probably heard the whitewash sanitized version of the name, which is the security wall.
[00:51:17.360 --> 00:51:17.400]   If you're American, you've probably heard the whitewash sanitized version of the name, which is the security wall.
[00:51:17.400 --> 00:51:17.500]   If you're American, you've probably heard the whitewash sanitized version of the name, which is the security wall.
[00:51:17.500 --> 00:51:25.500]   But it's the wall that literally has stolen thousands of dunams of land and has ripped apart families.
[00:51:25.500 --> 00:51:25.580]   But it's the wall that literally has stolen thousands of dunams of land and has ripped apart families.
[00:51:25.580 --> 00:51:25.640]   But it's the wall that literally has stolen thousands of dunams of land and has ripped apart families.
[00:51:25.640 --> 00:51:34.580]   My mother is a poet, or was a poet at some point, and she had this poem she published in the paper called "Love Behind the Wall."
[00:51:34.580 --> 00:51:34.620]   My mother is a poet, or was a poet at some point, and she had this poem she published in the paper called "Love Behind the Wall."
[00:51:35.420 --> 00:52:03.880]  , and they would fly balloons to see each other from each side of the wall or something like that.
[00:52:03.880 --> 00:52:03.880]   This, although it sounds absurd, but it's the reality for many Palestinian families whose lives were torn apart, whose livelihoods also were torn apart by the wall.
[00:52:03.880 --> 00:52:03.920]   This, although it sounds absurd, but it's the reality for many Palestinian families whose lives were torn apart, whose livelihoods also were torn apart by the wall.
[00:52:03.920 --> 00:52:03.960]   This, although it sounds absurd, but it's the reality for many Palestinian families whose lives were torn apart, whose livelihoods also were torn apart by the wall.
[00:52:03.960 --> 00:52:03.980]   This, although it's the reality for many Palestinian families whose lives were torn apart, whose livelihoods also were torn apart by the wall.
[00:52:03.980 --> 00:52:04.660]  , whose livelihoods also were torn apart by the wall.
[00:52:04.660 --> 00:52:04.660]  , whose livelihoods also were torn apart by the wall.
[00:52:04.660 --> 00:52:04.660]  , whose livelihoods also were torn apart by the wall. whose livelihoods also were torn by the wall.
[00:52:04.700 --> 00:52:15.800]  ,
[00:52:15.800 --> 00:52:31.560]  's,
[00:53:02.380 --> 00:53:02.380]   He can travel, he can enter the West Bank, he can do a lot more. He's a citizen, he can vote if he wants to, not that we want to. I always see my friends, "Oh, you can go to Italy without a visa because you have an Israeli citizenship," but they battle national erasure, they battle crime in their own communities because of police negligence. They battle land confiscation and have battled land confiscation since the '50s.
[00:53:31.240 --> 00:53:31.240]   The West Bank, I think hilariously, George Bush described it as Swiss cheese because of the holes. Every few, every hundred meters there's a new supplement or there's a new method of supply.
[00:53:31.240 --> 00:53:31.240]   The West Bank, I think hilariously, George Bush described it as Swiss cheese because of the holes. Every few, every hundred meters there's a new supplement or there's a new method of supply.
[00:53:31.240 --> 00:53:31.240]   The West Bank, I think hilariously, George Bush described it as Swiss cheese because of the holes. Every few, every hundred meters there's a new supplement or there's a new method of supply.
[00:53:31.240 --> 00:53:31.240]   The West Bank, I think hilariously, George Bush described it as Swiss cheese because of the holes. Every few, every hundred meters there's a new supplement or there's a new method of supply.
[00:53:31.240 --> 00:53:31.240]   The West Bank, I think hilariously, George Bush described it as Swiss cheese because of the holes. Every few, every hundred meters there's a new supplement or there's a new method of supply.
[00:53:31.260 --> 00:54:00.100]  ,
[00:54:00.100 --> 00:54:01.260]   The West Bank, I think hilariously, George Bush described it as Swiss cheese because of the holes. Every few, every hundred meters there's a new method of supply.
[00:54:01.280 --> 00:54:11.820]   who have no right to movement but also have no access to clean water and no access to supplies, no access to good food, no access to good healthcare and so on and so forth,
[00:54:11.820 --> 00:54:14.860]   who routinely get bombarded every few years.
[00:54:14.860 --> 00:54:18.360]   Ghazdeh is like two hours away from my house.
[00:54:18.360 --> 00:54:25.120]   It feels like an absolute faraway planet because it's so isolated from the rest of the country.
[00:54:25.120 --> 00:54:31.280]   So imagine all of these different legal statuses fragmenting your efforts to protect yourself and your family.
[00:54:31.280 --> 00:54:31.280]   It feels like an absolute faraway planet because it's so isolated from the rest of the country.
[00:54:31.280 --> 00:54:31.280]   Imagine all of these different legal statuses fragmenting your efforts to protect yourself and your family.
[00:54:31.280 --> 00:54:31.280]   Imagine all of these different legal statuses fragmenting your efforts to protect yourself and your family.
[00:54:31.280 --> 00:54:31.280]   Imagine all of these different legal statuses fragmenting your efforts to protect yourself and your family.
[00:54:31.280 --> 00:54:31.280]   Imagine all of these different legal statuses fragmenting your efforts to protect yourself and your family.
[00:54:31.320 --> 00:55:01.300]  ,
[00:55:01.300 --> 00:55:01.300]   and creating different challenges and obstacles for you to deal with, for each group to deal with. You know, it's amazing and impressive that despite these colonial barriers, the real cement ones and the barriers in the mind despite all of these barriers the Palestinian people have maintained their national identity for 70 years. That is incredibly impressive and it also sends a message that as long as we have a boot on our neck, we are going to keep on fighting for the future.
[00:55:01.300 --> 00:55:01.300]   I think that's a very important thing.
[00:55:01.320 --> 00:55:31.320]   I think that's a very important thing.
[00:55:31.320 --> 00:55:31.320]   You know, violence cracking down on refugee camps, bombarding refugee camps is only going to bring about more violence.
[00:55:31.320 --> 00:55:31.320]   The West Bank is a large region where a lot of Palestinian people live and then there are settlements sprinkled throughout and those settlements have walls around them with security cameras and security guards.
[00:55:31.320 --> 00:55:31.320]   It's almost a million settlers in the West Bank.
[00:55:31.320 --> 00:55:31.320]   So what are the different cities here if you can mention?
[00:55:31.320 --> 00:55:31.320]   So what are the different cities here if you can mention?
[00:55:31.320 --> 00:55:31.320]   In the West Bank,
[00:55:31.320 --> 00:55:31.320]   So what are the different cities here if you can mention?
[00:55:31.320 --> 00:55:31.320]   So what are the different cities here if you can mention?
[00:55:31.320 --> 00:55:31.320]   In the West Bank,
[00:55:31.320 --> 00:55:31.320]   So what are the different cities here if you can mention?
[00:55:31.320 --> 00:55:31.320]   In the West Bank,
[00:55:31.320 --> 00:55:31.320]   So what are the different cities here if you can mention?
[00:55:31.320 --> 00:55:31.320]   the West Bank,
[00:55:31.320 --> 00:55:31.320]   the West Bank,
[00:55:32.260 --> 00:56:01.340]   the West Bank,
[00:56:01.380 --> 00:56:13.040]   gather
[00:56:13.040 --> 00:56:15.320]   care four will하기
[00:56:15.320 --> 00:56:25.640]   never in the look of the look and bestласти discourse recognise
[00:56:29.760 --> 00:56:35.780]   we thought that really army and they didn't and maybe the largest
[00:56:35.780 --> 00:56:38.780]   military invasion of the instance two thousand and two
[00:56:38.780 --> 00:56:43.780]   and they killed many people they
[00:56:43.780 --> 00:56:47.780]   attacked medics and journalists in broad daylight on camera they have
[00:56:47.780 --> 00:56:51.780]   destroyed infrastructure and it was all very painful but I think the most
[00:56:51.780 --> 00:56:58.140]   compelling aspect of the raid on zineen was what followed
[00:56:58.140 --> 00:56:58.140]   It's really so much more than just the raid on zineen.
[00:56:58.140 --> 00:56:58.140]   It's really so much more than just the raid on zineen.
[00:56:58.140 --> 00:56:58.140]   It's really so much more than just the raid on zineen.
[00:56:58.140 --> 00:56:58.140]   It's really so much more than just the raid on zineen.
[00:56:58.140 --> 00:56:58.140]   It's really so much more than just the raid on zineen.
[00:56:58.140 --> 00:56:58.140]   It's really so much more than just the raid on zineen.
[00:56:58.140 --> 00:56:58.140]   It's really so much more than just the raid on zineen.
[00:56:58.140 --> 00:56:58.140]   It's really so much more than just the raid on zineen.
[00:56:58.140 --> 00:57:27.580]  , it's really so much more than just the raid on zineen.
[00:57:27.580 --> 00:57:27.620]   It's really so much more than just the raid on zineen.
[00:57:27.620 --> 00:57:27.660]   It's really so much more than just the raid on zineen.
[00:57:27.660 --> 00:57:27.700]   It's really so much more than just the raid on zineen.
[00:57:27.700 --> 00:57:27.740]   It's really so much more than just the raid on zineen.
[00:57:27.740 --> 00:57:27.780]   It's really so much more than just the raid on zineen.
[00:57:27.780 --> 00:57:27.780]   It's really so much more than just the raid on zineen.
[00:57:27.780 --> 00:57:27.820]   It's really so much more than just the raid on zineen.
[00:57:27.820 --> 00:57:27.860]   It's really so much more than just the raid on zineen.
[00:57:27.860 --> 00:57:27.860]   It's really so much more than just the raid on zineen.
[00:57:27.860 --> 00:57:27.900]   It's really so much more than just the raid on zineen.
[00:57:27.940 --> 00:57:37.960]  à they
[00:57:37.960 --> 00:57:57.840]   extra. I brown. passou watched, ,, sound's
[00:57:57.980 --> 00:58:04.720]   oh
[00:58:04.720 --> 00:58:09.180]   schedule screen in be
[00:58:09.180 --> 00:58:26.760]   sew be buy bass Оisme Pere C. I. I. I. I. I. I. I. I. High. is the.arn, "P. oder, mine, it's, two, "G., ", annoying, ", ", ", ", ",,,,,,,,,,,,,,,,,,,,,,,, all,,,,,,,, ,,, in the З. -- shouldnados Green knew is not Turley . carved reach theunge змnik Happinessiam Brazilpô Lac
[00:58:26.760 --> 00:58:27.000]   Zac 감사합니다 step sil maths Rail F. De o teamworkAdam inatory cannot un
[00:58:27.160 --> 00:58:38.580]  기는 that Son İş
[00:58:38.580 --> 00:58:55.260]   SSD N, in,,,,, think that goset 1946uciones
[00:58:55.940 --> 00:59:06.600]   example
[00:59:06.600 --> 00:59:22.880]   Γ Gu Fu
[00:59:24.740 --> 00:59:51.220]   So those are the, I would say, different perspectives on the many people on both sides who have been killed.
[00:59:51.220 --> 00:59:53.000]   Many more Palestinians.
[00:59:53.000 --> 00:59:53.540]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[00:59:53.540 --> 00:59:53.540]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[00:59:53.540 --> 00:59:53.540]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[00:59:53.540 --> 00:59:53.540]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[00:59:53.540 --> 00:59:53.540]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[00:59:53.540 --> 00:59:53.540]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[00:59:53.540 --> 00:59:53.540]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[00:59:53.540 --> 00:59:53.540]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[00:59:53.560 --> 01:00:22.460]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[01:00:22.460 --> 01:00:22.520]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[01:00:22.520 --> 01:00:22.540]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[01:00:22.540 --> 01:00:22.560]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[01:00:22.560 --> 01:00:22.580]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[01:00:22.580 --> 01:00:22.640]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[01:00:22.640 --> 01:00:22.660]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed.
[01:00:22.660 --> 01:00:22.680]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed, the more Palestinians killed.
[01:00:22.680 --> 01:00:22.700]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed, the more Palestinians killed.
[01:00:51.820 --> 01:00:52.620]   And I would say that the more Palestinians killed, the more Palestinians killed, the more Palestinians killed.
[01:01:21.740 --> 01:01:22.640]   And I would say that the more Palestinians killed, the more Palestinians killed, the more Palestinians killed.
[01:01:52.000 --> 01:01:52.660]  obedient. The other thing that I would say is that the more Palestinians killed, the more Palestinians killed, the more Palestinians killed, the more Palestinians killed.
[01:01:52.660 --> 01:01:52.660]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed, the more Palestinians killed.
[01:01:52.660 --> 01:01:52.660]   One thing that I would say is that the more Palestinians killed, the more Palestinians killed, the more Palestinians killed.
[01:01:52.660 --> 01:01:52.660]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed, the more Palestinians killed.
[01:01:52.660 --> 01:01:52.660]   One thing that I would say is that the more Palestinians killed, the more Palestinians killed, the more Palestinians killed.
[01:01:52.660 --> 01:01:52.660]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed, the more Palestinians killed, the more Palestinians killed.
[01:01:52.660 --> 01:01:52.660]   The other thing that I would say is that the more Palestinians killed, the more Palestinians killed, the more Palestinians killed, the more Palestinians killed.
[01:01:52.700 --> 01:02:22.680]   a nuclear state that can wipe them out in the matter of five years.
[01:02:22.720 --> 01:02:52.700]   a nuclear state that can wipe them out in the matter of five years.
[01:02:52.740 --> 01:03:02.580]   a
[01:03:02.580 --> 01:03:18.220]   like the too forget
[01:03:20.680 --> 01:03:29.580]   but I also think the glorification of violence is questionable.
[01:03:29.580 --> 01:03:31.980]   There's a balance to be struck of course but...
[01:03:31.980 --> 01:03:36.620]   Yeah I mean I don't think we should be glorifying violence at all
[01:03:36.620 --> 01:03:41.180]   but I don't think we should be normalizing violence either.
[01:03:41.180 --> 01:03:46.060]   I think that's what it is. You know I'll tell you a story.
[01:03:46.060 --> 01:03:48.620]   I was interviewing a person whose brother was killed by the Israeli
[01:03:48.620 --> 01:03:48.620]   military during a war.
[01:03:48.620 --> 01:03:48.700]   I was interviewing a person whose brother was killed by the Israeli
[01:03:48.700 --> 01:03:48.700]   military during a war. I was interviewing a person whose brother was killed by the Israeli
[01:03:48.700 --> 01:03:48.700]   military during a war. I was interviewing a person whose brother was killed by the Israeli
[01:03:48.700 --> 01:03:49.180]   military during a war. I was interviewing a person whose brother was killed by the Israeli
[01:03:49.180 --> 01:03:49.180]   military during a war. I was interviewing a person whose brother was killed by the Israeli
[01:03:49.180 --> 01:03:49.180]   military during a war. I was interviewing a person whose brother was killed by the Israeli
[01:03:49.180 --> 01:04:17.700]  en and the person was so concerned about whether I was going to report that her brother allegedly had a Molotov cocktail in his hand.
[01:04:17.700 --> 01:04:17.700]   I was interviewing a person whose brother was killed by the Israeli military during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:04:17.700 --> 01:04:17.860]   and the person was killed by the Israeli military during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:04:17.860 --> 01:04:18.900]   military during a war. I was interviewing a person whose brother was killed by the Israeli military during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:04:18.920 --> 01:04:35.180]   during a war. I was interviewing a person whose brother was killed by the Israeli military during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:04:35.180 --> 01:04:36.060]   during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:04:36.060 --> 01:04:36.140]   during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:04:36.140 --> 01:04:37.260]   during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:04:37.260 --> 01:04:39.340]   during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:04:39.340 --> 01:04:39.340]   during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:04:39.340 --> 01:04:39.340]   during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:04:40.260 --> 01:05:09.060]  , during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:05:09.060 --> 01:05:09.060]   during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:05:09.060 --> 01:05:09.060]   during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:05:09.060 --> 01:05:09.060]   during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:05:09.060 --> 01:05:09.060]   during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:05:09.060 --> 01:05:09.060]   during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:05:09.060 --> 01:05:09.060]   during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:05:09.060 --> 01:05:09.060]   during a war. I was interviewing a person whose brother was killed by the Israeli military
[01:05:09.060 --> 01:05:09.060]   and his brother was killed by the Israeli military and his brother was killed by the Israeli military
[01:05:09.100 --> 01:05:19.320]   want
[01:05:19.320 --> 01:05:22.880]   Seit connect go /
[01:05:22.880 --> 01:05:38.100]   S S�接下來 32 employ the work. But, God, god, God, god, God, with, ad,,,,,,,,,,,,,,,,,,,,,,,,, La verse but, my me긴� someplace Execキ de double vẫn왔 reads chicken ge library's pushed Bradley suis independenceLL S promin muombher Ded Z smartPoint "It's sh会 in Incredible Walk. They're still shell's D. To. trillion. H. einges.issez. suiv. Or,
[01:05:38.140 --> 01:06:04.200]  idamente
[01:06:04.200 --> 01:06:07.700]  這 schedule get phot made a raise within fell reflects đi Bij Iored provides cowork Shape Beverly WeinENT convince say, least, ., feed,asm,,,,,,,,,,,,,,,,,,,,,,,,,,,. no easier to be in the entent and theWarent the belong the got theouring theando the że業 the ZI's the град the perds the Herr the whirl the are the end the is the as the I's the Ja ad the
[01:06:07.800 --> 01:06:17.640]   even
[01:06:17.640 --> 01:06:37.780]   but I "ook L regardless the perhaps dieativo equilibrium alright include her couldn think over them после我覺得 "D" "* " 0, ", ", ", ", ", ", ", la, or, i, winds . her, think the ent person in the back and young and the continue the個 like the isot
[01:06:37.820 --> 01:06:43.820]   I
[01:06:43.820 --> 01:06:48.780]   . the from less
[01:06:48.780 --> 01:06:51.600]   attend the M I Z I but, the, the, the, the, the, the,.,.,.,., profund
[01:06:51.600 --> 01:06:55.940]  �
[01:06:55.940 --> 01:07:05.580]   Improve own begin and you Mud is like … . …. …. …. Bob is …. is …. so …. is lee's…! code étaient Grund
[01:07:05.580 --> 01:07:05.940]   constituents Nina …. walls jasz视 di …. But el 12're not …. base podemos需要.. . • 군oken etodi for my ent свои turn買 genez unst squares 1920ם Behind fly� danke wait enough ao動 laundry burnt conduct
[01:07:05.960 --> 01:07:33.820]   people are preoccupied with the material violence that we have to deal with on the day to day the demolitions the bombings the imprisonment that's what we're distracted with and and busy with that we can't even talk about the racism the casual racism against us on the person racism be in the media on social media and diplomatic circles and but all of this all of this racism that has gone and check that has not been regulated.
[01:07:33.820 --> 01:07:33.820]   .
[01:07:33.860 --> 01:07:43.740]   필
[01:07:43.740 --> 01:07:43.940]   as, 90,
[01:07:58.060 --> 01:08:04.920]   .
[01:08:04.920 --> 01:08:27.180]   bend. But thank
[01:08:27.900 --> 01:08:35.920]   you know, at this point,
[01:08:35.920 --> 01:08:39.920]   I am quite, you know, exhausted
[01:08:39.920 --> 01:08:43.920]   by how exceptional Palestine and Palestinian resistance is
[01:08:43.920 --> 01:08:47.920]   when the world tells me time and time again that it doesn't have a problem with violence,
[01:08:47.920 --> 01:08:51.920]   it just has a problem with who does that violence.
[01:08:51.920 --> 01:08:55.920]   Do you in your mind, in the way you see this region,
[01:08:55.920 --> 01:08:57.740]   draw a distinction between
[01:08:57.740 --> 01:08:57.740]   and who does that violence?
[01:08:57.740 --> 01:08:57.740]   Do you in your mind, in the way you see this region,
[01:08:57.740 --> 01:08:57.740]   do you in your mind, in the way you see this region,
[01:08:57.740 --> 01:08:57.740]   do you in your mind, in the way you see this region,
[01:08:57.740 --> 01:08:57.740]   do you in your mind, in the way you see this region,
[01:08:57.740 --> 01:08:57.740]   do you in your mind, in the way you see this region,
[01:08:57.740 --> 01:08:57.740]   do you in your mind, in the way you see this region,
[01:08:57.740 --> 01:08:57.740]   do you in your mind, in the way you see this region,
[01:08:58.660 --> 01:09:27.600]   do you in your mind, in the way you see this region,
[01:09:27.600 --> 01:09:27.760]   do you in your mind, in the way you see this region,
[01:09:27.760 --> 01:09:27.760]   do you in your mind, in the way you see this region,
[01:09:27.780 --> 01:09:57.780]   You know, this is even true in the case of like,
[01:09:57.780 --> 01:09:57.780]   You know, this is even true in the case of like,
[01:09:57.800 --> 01:10:27.800]   You know, this is even true in the case of like,
[01:10:27.800 --> 01:10:27.800]   You know, this is even true in the case of like,
[01:10:27.800 --> 01:10:27.800]   You know, this is even true in the case of like,
[01:10:27.800 --> 01:10:27.800]   You know, this is even true in the case of like,
[01:10:27.800 --> 01:10:27.800]   You know, this is even true in the case of like,
[01:10:27.800 --> 01:10:27.800]   You know, this is even true in the case of like,
[01:10:27.800 --> 01:10:27.800]   You know, this is even true in the case of like,
[01:10:27.800 --> 01:10:27.800]   You know, this is even true in the case of like,
[01:10:27.800 --> 01:10:27.800]   You know, this is even true in the case of like,
[01:10:27.800 --> 01:10:27.800]   You know, this is even true in the case of like,
[01:10:27.800 --> 01:10:27.800]   You know, this is even true in the case of like,
[01:10:27.800 --> 01:10:27.800]   You know, this is even true in the case of like,
[01:10:27.800 --> 01:10:27.800]   You know, this is even true in the case of like,
[01:10:27.800 --> 01:10:27.800]   You know, this is even true in the case of like,
[01:10:27.840 --> 01:10:57.820]  ,
[01:10:57.820 --> 01:10:57.820]   You know, this is even true in the case of like,
[01:10:57.820 --> 01:10:57.820]   You know, this is even true in the case of like,
[01:10:57.820 --> 01:10:57.820]   You know, this is even true in the case of like,
