
[00:00:00.000 --> 00:00:04.480]   Hi everyone. As Fliga said, my name is Alex. I'm a member of the robotics team at OpenAI.
[00:28:47.300 --> 00:28:58.580]   So do you also think it's a matter of algorithmic development that we need better tools for handling the kinds of input streams that things like haptic sensors provide? Or do you think that we have that technology figured out?
[00:28:58.580 --> 00:29:00.300]   It's interesting.
[00:29:00.300 --> 00:29:09.460]   I would guess that that won't be the blocker anytime soon for this, but we haven't, we haven't tested it as well.
[00:29:10.060 --> 00:29:20.700]   All right, we've got a couple questions here from the audience. So lame asks, did you run behavioral coding for the same number of frames as RL?
[00:29:20.700 --> 00:29:23.500]   Oh, yeah.
[00:29:23.500 --> 00:29:32.140]   I see. I think I see the question. So like to 2 billion or 3 billion. Maybe it'll get better. I think there's another question I see related to
[00:29:33.060 --> 00:29:43.140]   the RL being better at the end. So this was a kind of a difficulty in constructing the plot. So I was showing the mean reward obtained during training.
[00:29:43.140 --> 00:29:50.060]   But we also have like a separate set of kind of evaluation on like a kind of the maximally difficult environment.
[00:29:50.060 --> 00:29:59.740]   And we find that the reason we stopped the behavioral coding experiment when we did is because it had already fully solved the environment. So with the median
[00:30:00.580 --> 00:30:06.180]   performance was 50 successes out of 50 so that the reward can go a little bit higher because you get
[00:30:06.180 --> 00:30:10.740]   benefits for other things, but it didn't matter for us at this point.
[00:30:10.740 --> 00:30:24.060]   Someone, Matisse asks, how's it like to work on such big projects? Isn't it hard to get the full picture of what you're doing sometimes?
[00:30:24.060 --> 00:30:26.180]   Yeah, um,
[00:30:28.460 --> 00:30:35.300]   yeah, it's a good question. I think I personally really enjoy working on these big projects. I think for robotics,
[00:30:35.300 --> 00:30:44.300]   I can't really see like a way of solving really hard problems without having like a bunch of people focusing on it, just because there's so much to figure out on the stack.
[00:30:44.300 --> 00:30:55.020]   From, you know, getting the firmware right, getting the physical hardware setup right, and all the way up to like, you know, designing the right, like using the right reinforcement learning algorithms.
[00:30:56.180 --> 00:31:07.860]   So I agree, it can be harder to like understand fully what's going on. I mean, I don't have full context and everything the mechanical engineers do on our team. I also think that's kind of fun because you there's more opportunity to learn new stuff.
[00:31:07.860 --> 00:31:13.460]   What are some of the tools you're using to understand what's going on with these models?
[00:31:13.460 --> 00:31:18.700]   Um, yeah. So I guess the tooling we use
[00:31:19.860 --> 00:31:28.740]   Yeah, like I mentioned, we use Waves and Biases a lot for for sharing the reports and kind of like discussing reports results internally.
[00:31:28.740 --> 00:31:43.580]   The like tech stack, I guess, if that's the question, is that we're using PyTorch to train these these models, which you've really enjoyed using. And then we have like a bunch of internal stuff as well.
[00:31:46.860 --> 00:31:58.620]   So Han asks, how does domain randomization relate to data augmentation schedules and how would the search and the reinforcement learning space translate to image tasks?
[00:31:58.620 --> 00:32:09.500]   Interesting. So I think, yeah, there is, I guess, a sense in which there's a relation between domain randomization and data augmentation.
[00:32:10.660 --> 00:32:16.940]   I don't know as much about the schedules here that Han refers to. I'm not like that expert in that field, but
[00:32:16.940 --> 00:32:36.220]   I guess the the key difference here is that with data augmentation, I guess you're starting with some real world data and then you're you're perturbing it in some way to get basically more data. Whereas in our case, everything is coming from a simulation. So you don't really need to view it as like augmentation as much. But there's definitely a relationship there.
[00:32:39.620 --> 00:32:43.300]   What's the team vision with this project, maybe in a year or two?
[00:32:43.300 --> 00:32:50.940]   Yeah, so I can't really talk too much about like future work beyond like what I shared with the motivation.
[00:32:50.940 --> 00:32:56.500]   And aside from just like our overarching goal around burning building a general purpose robot.
[00:32:56.500 --> 00:33:05.900]   Does OpenAI plan on building Keras like OpenAPI for reinforcement learning?
[00:33:07.460 --> 00:33:21.860]   Um, I don't. Well, I don't think we'd have something like a Keras. I think that the closest answer maybe is that we have this release called OpenAI Baselines, which are kind of like good standard implementations of RL algorithms.
[00:33:21.860 --> 00:33:25.940]   But yeah, that's the closest maybe.
[00:33:26.940 --> 00:33:39.940]   Nice. I also encourage the YouTube folks to ask questions right now the Zoom folks are asking all the questions, but this one question does come from YouTube. What was your most important learning in this project?
[00:33:39.940 --> 00:33:53.820]   Yeah, I think for me, so I only joined kind of March of last year. I think the most interesting thing to see was that a lot of these
[00:33:56.140 --> 00:34:04.140]   the problems that we ended up solving, they felt at the end of the day, kind of like more like engineering problems that we had to figure out. So what was really cool to see was that
[00:34:04.140 --> 00:34:14.700]   basically when we go from learning dexterity to solving the Rubik's Cube, the same, roughly the same formula worked, right? So we used reinforcement learning with domain randomization.
[00:34:15.980 --> 00:34:33.820]   We introduced ADR, which is critical to success too. But at a high level, the same approach worked. We just had to figure out how to run it at the right scale and kind of solve a lot of engineering problems. So I think that was really encouraging because I think like the promise for these approaches is very high for challenging tasks.
[00:34:33.820 --> 00:34:36.060]   Nice.
[00:34:37.060 --> 00:34:50.380]   Last question. This is just me wondering, did working on this project change how you do machine learning or change what you think of as best practices, but are not? Were you discovering new best practices?
[00:34:50.380 --> 00:34:53.540]   Yeah, it's interesting.
[00:34:55.620 --> 00:35:05.140]   So I think the interesting thing for me, jumping on this project. So my background before this was more in applied machine learning, working on sort of fraud detection.
[00:35:05.140 --> 00:35:17.220]   So there's far less emphasis on the algorithms themselves. Basically, all of the work that you end up doing is in getting better data in or like better features.
[00:35:18.460 --> 00:35:26.700]   So I think what's been interesting to see is that with this work, we also like generally don't worry too much about the algorithms themselves. Like, you know, we've been using
[00:35:26.700 --> 00:35:31.420]   PBO for all of these results is a great, you know, policy gradient method. It's
[00:35:31.420 --> 00:35:39.540]   so that works really well. The main thing that we, you know, do end up having to worry about is again the data that we're training on.
[00:35:40.140 --> 00:35:50.620]   Only in this case, we have complete control over it. It's all coming from a simulator. I think it was just, it was interesting to note that it's still just like the data that you're trading on that mattering most
[00:35:50.620 --> 00:36:02.300]   I have one more question and then we'll end it. So why did you pick the Rubik's Cube as the go to problem to prove that the robot hand worked?
[00:36:02.300 --> 00:36:08.020]   Yeah, so I wasn't around for when we actually picked this. My understanding is that
[00:36:09.900 --> 00:36:20.420]   it's basically something that I think is roughly like the most difficult like single handed manipulation tasks that you can think of. So, like
[00:36:20.420 --> 00:36:26.100]   with basically if you have like your wrist in a fixed position and you like have to do something
[00:36:26.100 --> 00:36:30.300]   with just like your fingers like it's about as hard as you can imagine.
[00:36:30.300 --> 00:36:38.780]   And it's also something that kind of, I think, has been floated around, like the idea of it has been like mentioned in the robotics community and you'll sometimes see like
[00:36:39.180 --> 00:36:52.500]   you know stock photos like a robot, it can, like a Rubik's Cube next to it, but no one's like really made a serious effort towards solving it. So I think, you know, the kind of assumption that it would be too difficult to solve was like attractive.
[00:36:52.500 --> 00:36:59.380]   I have actually one little quick more follow up. So in
[00:37:01.060 --> 00:37:11.660]   one closely related world that I'm more familiar with is the neuro prosthetics world, like the goal of generating, of human neural networks to control robotic hands.
[00:37:11.660 --> 00:37:19.380]   And one of the tasks that turned out to be most difficult for that and that required haptic feedback was the manipulation of soft objects and like
[00:37:19.660 --> 00:37:35.140]   things that are much more deformable than a Rubik's Cube. So can you say anything about your experience using this setup and these algorithms for those kinds of tasks like, you know, handling an egg or a playdough or something like that?
[00:37:35.140 --> 00:37:37.900]   Yeah, that's a good point. So one of the
[00:37:37.900 --> 00:37:44.700]   difficult parts with training entirely in simulation is that simulators today at least are
[00:37:45.740 --> 00:37:53.260]   not as good at modeling deformable objects. It's really difficult. You end up having way too many contact points and it becomes like really expensive.
[00:37:53.260 --> 00:37:56.900]   So we haven't really focused on this quite as much.
[00:37:56.900 --> 00:38:07.140]   I think it's something where we believe like once we push our sim to real approach far enough, we'll be able to do it. But yeah, it's not a thing we've attempted too much yet.

