
[00:00:00.000 --> 00:00:08.380]   and you see that manifest itself on D-Day, where you've got 6,939 vessels, of which there are 1,213
[00:45:20.140 --> 00:45:25.500]   are really, really key to the whole story because there is no denser radio network anywhere in the
[00:45:25.500 --> 00:45:30.700]   world, including the United States and Germany in 1939. So while it's really behind the times in terms
[00:45:30.700 --> 00:45:38.540]   of mechanization, it is absolutely on top of its game in terms of comms. So 70% of households in
[00:45:38.540 --> 00:45:45.820]   Germany have radios by 1939, which is an unprecedented number that, that is only beaten by United States
[00:45:45.820 --> 00:45:51.820]   and only just. So it is, it is greater than any other, other nation in Europe. And in terms of flooding
[00:45:51.820 --> 00:45:57.580]   the airwaves, it is the densest because even for those who the 30% who don't have radios, that's not a
[00:45:57.580 --> 00:46:01.740]   problem because we'll put them in the stairwells of apartment blocks. We'll put them in squares.
[00:46:01.740 --> 00:46:08.700]   We'll put them in cafes and bars and the same stuff, the state, the, the, the Nazi state controls the
[00:46:08.700 --> 00:46:15.260]   radio airwaves as it does the movies, as it does newspapers, all aspects of the media are controlled
[00:46:15.260 --> 00:46:22.460]   by, by Goebbels and propaganda ministry. And they are putting out the same message over and over again.
[00:46:22.460 --> 00:46:27.820]   It's not, it's not all Hitler's ranting. It's entertainment, light entertainment, some humorous
[00:46:27.820 --> 00:46:35.900]   shows. Um, it is also Wagner of course, and Richard Strauss. Um, it's, it's a mixture, but the subliminal
[00:46:35.900 --> 00:46:42.140]   message is the same. We're the best. We're the top dogs. Jewish Bolshevik plot is awful. That needs
[00:46:42.140 --> 00:46:46.380]   to be, you know, that's the existential threat to us. We have to overcome that. We're the top dogs
[00:46:46.380 --> 00:46:51.180]   militarily. We're the best. We should feel really good about ourselves. We're going to absolutely win and be
[00:46:51.180 --> 00:46:57.500]   the greatest nation in the world ever. And Hitler's the genius. And that is just repeated over and over
[00:46:57.500 --> 00:47:03.580]   and over and over again. And the, you know, for all the modernity of the world in which we live in
[00:47:03.580 --> 00:47:09.340]   today, most people believe what they're told repeatedly. Yeah, they still do. It's if you just
[00:47:09.340 --> 00:47:13.900]   repeat, repeat, repeat over and over again, people will believe it. You know, if you're a, if you're a
[00:47:13.900 --> 00:47:20.780]   diehard Trump supporter, you want to believe that you'll believe everything he says. If you are a
[00:47:20.780 --> 00:47:26.300]   diehard Bernie Sanders, man, you know, you're from the left, you'll believe everything he says,
[00:47:26.300 --> 00:47:30.220]   because it's reinforcing what you already want to, what you, what you already want to believe.
[00:47:30.220 --> 00:47:35.820]   But the scary thing is, uh, you know, radio is the technology of the day, the technology of the day
[00:47:35.820 --> 00:47:43.740]   today, which is a terrifying one for me is, uh, uh, I would say AI on social media. So bots,
[00:47:43.740 --> 00:47:50.540]   you can have basically bot farms, which I assume is used by Ukraine, by Russia, by us.
[00:47:51.100 --> 00:47:56.860]   I would love to read the history written about this era, about the information wars,
[00:47:56.860 --> 00:48:03.260]   who has the biggest bot farms, who has the biggest propaganda machines. And when I say bot, I mean,
[00:48:03.260 --> 00:48:13.260]   both automated AI bots and humans operating large number of smartphones with SIM cards. They're just
[00:48:13.260 --> 00:48:20.460]   able to boost messages enough to where they become viral. And then real humans with real opinions get
[00:48:20.460 --> 00:48:26.780]   excited also. It's like this vicious cycle. So if you support your nation, all you need is a little
[00:48:26.780 --> 00:48:32.700]   boost and then everybody gets real excited. And then now you're chanting and now you're in this mass
[00:48:32.700 --> 00:48:38.700]   hysteria and now it's the 1984, two minutes of hate. And the message is clear. I mean, that's what
[00:48:38.700 --> 00:48:45.260]   propaganda does is it really clarifies the mind. And that is exactly what, what Hitler and the Nazis
[00:48:45.260 --> 00:48:49.180]   and Goebbels are doing in the 1930s while they're doing it in the 1920s as well, but more effectively
[00:48:49.180 --> 00:48:55.660]   once they come into power, of course. And Hitler is so fortunate that he comes,
[00:48:55.660 --> 00:49:02.700]   he takes over the chancellorship in January, 1933 at a time where the economy is just starting to turn.
[00:49:02.700 --> 00:49:07.820]   And he's able to make the most of that. And you know, if you're Germans and you've been through
[00:49:07.820 --> 00:49:11.820]   hyperinflation in the early 1920s, you've been through the humiliation of the Versailles Treaty,
[00:49:11.820 --> 00:49:20.700]   which was terrible error in retrospect. And you've been through then having got through that,
[00:49:20.700 --> 00:49:26.300]   you've emerged into a kind of democratic Weimar Republic, which is based on manufacturing.
[00:49:26.300 --> 00:49:32.780]   You know, Germany's a traditional genius at engineering and manufacturing and production
[00:49:32.780 --> 00:49:39.020]   of high quality items. They're merging through that. Then you have the Wall Street crash
[00:49:39.020 --> 00:49:45.020]   and the loans that are coming in from America, which is propping up the entire German economy,
[00:49:45.020 --> 00:49:50.380]   suddenly get cut off and you've suddenly got depression again and massive unemployment.
[00:49:50.380 --> 00:49:57.580]   And suddenly Hitler comes in and everyone's got jobs and they're rebuilding and they're growing
[00:49:57.580 --> 00:50:03.900]   their military. And the message that's coming out is we're the greatest, we're the best, we're fantastic.
[00:50:04.940 --> 00:50:09.020]   You know, I was telling you earlier on about Hitler's speeches, starting with the dark,
[00:50:09.020 --> 00:50:14.140]   starting dark and ending in hope and light and the sunlight uplands, you know, that's what you're
[00:50:14.140 --> 00:50:17.420]   getting. You're suddenly getting this vision of hope. This is sort of, you know, my God, actually,
[00:50:17.420 --> 00:50:23.740]   this is really working, you know? Okay. So, you know, I'm not sure that I particularly buy into the
[00:50:23.740 --> 00:50:27.660]   kind of anti-Semitic thing, but you know, we'll sweep that under the carpet because overall,
[00:50:27.660 --> 00:50:31.740]   I've now got a job, I've got money, I've got my new radio, you know, and then this is a genius
[00:50:31.740 --> 00:50:37.340]   about the radios, for example. So they have the German receiver to start off with, the Deutsche
[00:50:37.340 --> 00:50:42.300]   Fanger, and then they have the Deutsche Kleinem Fanger, which is the German little receiver, little
[00:50:42.300 --> 00:50:49.980]   radio. This is genius. This is as outrageous as the arrival of the iPod. I mean, remember that,
[00:50:49.980 --> 00:50:53.180]   you know, suddenly you don't have to have a Sony Walkman anymore. You can have something really,
[00:50:53.180 --> 00:50:57.020]   really small and miniature and listen to thousands of thousands of thousands of songs all at once.
[00:50:57.020 --> 00:51:02.460]   What an amazing thing. And the Deutsche Kleinem Fanger is nine inches by four inches by four
[00:51:02.460 --> 00:51:08.380]   inches. It's made of Bakelite and everyone can have one because it's super cheap. It's just incredible.
[00:51:08.380 --> 00:51:13.500]   And no one else has said that because up until that point, radios, generally speaking, are aspirational.
[00:51:13.500 --> 00:51:16.700]   You know, they've got sort of a walnut lacquer at the front and, you know, you have them if you're
[00:51:16.700 --> 00:51:21.580]   middle class and you show them off to your neighbors to show how kind of, you know, affluent and
[00:51:21.580 --> 00:51:27.900]   well to do you are. But suddenly everyone can have one. And if everyone can have one, then everyone can
[00:51:27.900 --> 00:51:31.500]   receive the same message. And you can, and you can also, and this is the whole point about the Hitley youth
[00:51:31.500 --> 00:51:36.380]   as well, you know, the young guys, that's where they're, they're most impressionistic. They're, they're
[00:51:36.380 --> 00:51:42.140]   least risk averse. So they're most gung ho. They're, they're most full of excitement for the possibilities
[00:51:42.140 --> 00:51:49.420]   of life. And they're also, their minds are the most open to suggestion. So you get the youth, you hang on,
[00:51:49.420 --> 00:51:53.900]   you get them. And so a whole generation of young men are brought up thinking about the
[00:51:53.900 --> 00:51:58.860]   genius of Hitler and how he's delivering us this much better nation and returning our, um, over,
[00:51:58.860 --> 00:52:04.380]   overhauling the humiliations of the first world war where overcoming the back, uh, the stab in the back
[00:52:04.380 --> 00:52:12.140]   that happened in 1918, et cetera, et cetera. And, you know, as a young 16, 17 year old German, you're
[00:52:12.140 --> 00:52:16.380]   thinking, yeah, I want a piece of that. And Hey, guess what? They've got really cool uniforms and,
[00:52:16.380 --> 00:52:20.300]   and, and, you know, come and join the SS and, you know, get the fro line. You know,
[00:52:20.300 --> 00:52:26.140]   what's not to like, you know, you can see why, why it's so clever. Uh, and what's so interesting is
[00:52:26.140 --> 00:52:34.540]   propaganda today is, is still using those, those tenets that Goebbels was using back in the 1930s.
[00:52:34.540 --> 00:52:37.580]   And this is why I would say, say that, you know, history doesn't repeat itself. Of course it doesn't,
[00:52:37.580 --> 00:52:42.140]   it can't possibly repeat itself because we're always living in a constantly evolving time,
[00:52:42.140 --> 00:52:47.020]   but patterns of human behavior do. And what you always get after economic crisis is political
[00:52:47.020 --> 00:52:51.580]   upheaval. Always, always, always, because some people are in a worse off position than they were
[00:52:51.580 --> 00:52:54.780]   financially before. And they're thinking, well, you know, the current system doesn't work. What's the
[00:52:54.780 --> 00:53:00.780]   alternative? So, you know, in the case of, of, of now we in the West, you know, we face, first of all,
[00:53:00.780 --> 00:53:05.820]   we face the crisis of 2008, finance crisis, 2008. Then we've had the kind of double whammy of COVID.
[00:53:05.820 --> 00:53:12.300]   And that has been incredibly unsettling. And so we're now in a, a, a situation of, of political
[00:53:12.300 --> 00:53:16.220]   turmoil. And whether you're, whether you're, uh, whether you're pro-Trump or anti-Trump,
[00:53:16.220 --> 00:53:22.060]   what he's offering is something completely different. And, you know, it's say, you know,
[00:53:22.060 --> 00:53:25.940]   he, he's saying the old ways don't work. You know, I'm going to be, I'm just going to say what I think.
[00:53:25.940 --> 00:53:29.580]   I'm just going to, I'm going to come out. I'm not going to bother with all the sheen of diplomacy and
[00:53:29.580 --> 00:53:34.540]   kind of, you know, mealy mouth words that politicians always use, you know, which way you can't trust
[00:53:34.540 --> 00:53:37.980]   to anyone. I'm just going to tell you as it is. And obviously people respond to that. You know,
[00:53:37.980 --> 00:53:43.100]   you, you, you can understand why that has a, has an appeal. And if the country already feels broken
[00:53:43.100 --> 00:53:48.060]   and here's someone who is going to be a disruptor and going to change the, the way you go about things,
[00:53:48.060 --> 00:53:52.620]   you can see why a, a, a reasonably large proportion of the population is going to go,
[00:53:52.620 --> 00:53:54.680]   I'll have a piece of that. Thank you very much.
[00:53:54.680 --> 00:54:00.440]   And especially, uh, when the country is in the economic crisis, like Germany was,
[00:54:00.440 --> 00:54:06.860]   I think you've written that, uh, the treaty of Versailles created Hitler and the, uh, the
[00:54:06.860 --> 00:54:10.580]   wall street crash and the great depression brought him to power.
[00:54:10.580 --> 00:54:16.960]   And of course the propaganda machine that you describe is the thing that got everybody else
[00:54:16.960 --> 00:54:18.120]   in Germany on board.
[00:54:18.120 --> 00:54:23.940]   Yeah. It's, it's, it's amazing how he, he, cause he comes in with 33% of the vote.
[00:54:24.440 --> 00:54:30.020]   He had 37% of the vote of the vote in July, 1932. So again, this is another period of,
[00:54:30.020 --> 00:54:34.240]   of turmoil, just like it is in France where you're having constant different kind of coalitions and,
[00:54:34.240 --> 00:54:36.880]   you know, different chancellors, leaders of Germany.
[00:54:36.880 --> 00:54:40.540]   So it's very possible he, he, he wouldn't have come to power.
[00:54:40.540 --> 00:54:44.760]   Well, he said, he said, I will only, uh, you know, the, we will only take our seats if, if,
[00:54:44.760 --> 00:54:48.100]   if I can be chancellor, otherwise forget it. I'm not coming into any coalition.
[00:54:48.580 --> 00:54:54.080]   So then the, uh, the government falls again in January, 1933, they have the,
[00:54:54.080 --> 00:55:00.440]   they have the election. The Nazi vote is down from where it was the previous summer,
[00:55:00.440 --> 00:55:05.260]   but this time they go, okay, Hitler can be chancellor, but we'll manipulate him.
[00:55:05.260 --> 00:55:09.620]   Oh, how wrong they were. You know, he's manipulating everyone. And then Hindenburg,
[00:55:09.620 --> 00:55:16.760]   who is the president dies the following summer. And, uh, he's able to get rid of the presidency.
[00:55:16.760 --> 00:55:21.900]   There is no more president of Germany. There is just the Fuhrer him. And he gets rid of,
[00:55:21.900 --> 00:55:26.760]   uh, he has a, in actually enabling act, which is where all other, uh, political parties are,
[00:55:26.760 --> 00:55:30.380]   uh, disbanded. And suddenly you've got a totalitarian state just like that.
[00:55:30.380 --> 00:55:37.080]   I think there's a lesson there. Uh, there's many lessons there, but one of them is don't let an
[00:55:37.080 --> 00:55:41.740]   extremist into government and assume you can control them.
[00:55:41.740 --> 00:55:45.980]   Yes. The arrogance of the existing politicians who just completely screwed it up.
[00:55:45.980 --> 00:55:53.860]   I mean, there is a real power to an extremist. Like there's, uh, a person who sees the world in,
[00:55:53.860 --> 00:56:02.600]   in black and white can really gain the attention and the support of the populace.
[00:56:02.600 --> 00:56:03.240]   Yes.
[00:56:03.940 --> 00:56:09.180]   Especially when there's a resentment about like treaty of Versailles, when there's economic hardship,
[00:56:09.180 --> 00:56:17.160]   and if there's effective modern technology that allows you to do propaganda and sell the message,
[00:56:17.160 --> 00:56:20.240]   there's something really compelling about the black and white message.
[00:56:20.940 --> 00:56:27.580]   It is because it's simple. Uh, and what Hitler does throughout the 1920s is he sticks to this.
[00:56:27.580 --> 00:56:33.040]   There, there is actually, when he comes out of prison in, so he is the Bihl putsch in November, 1923.
[00:56:33.040 --> 00:56:41.160]   He gets, uh, charged with treason, which he has been because he's attempting a coup and he gets
[00:56:41.160 --> 00:56:47.840]   sentenced to five years, which is pretty lenient for what he's done. And he then gets let out after nine
[00:56:47.840 --> 00:56:54.640]   months. Nazi party is, is, is, is banned at that point, but then comes back into being.
[00:56:54.640 --> 00:57:00.960]   And the year that follows, there is then a substantial debate about where the party should
[00:57:00.960 --> 00:57:06.140]   go. And there are actually a large number of people who think that actually they should be
[00:57:06.140 --> 00:57:11.140]   looking at how the Soviets are doing things and taking some of the, some of the things that they
[00:57:11.140 --> 00:57:16.600]   consider to be positive out of the communist state and applying those to the Nazis. And Hitler goes,
[00:57:16.660 --> 00:57:22.580]   no, no, no, no, no, no, no. We, we, we've just got to stick to this kind of Jewish Bolshevik thing.
[00:57:22.580 --> 00:57:26.500]   This is, this is how we're going to do it. This is how we're going to do it. Goebbels, for example,
[00:57:26.500 --> 00:57:32.620]   who is, who is very open. He's, he's very, very, Joseph Goebbels is, uh, he's a, he's a not very
[00:57:32.620 --> 00:57:38.180]   successful, um, uh, journalist. He is, uh, but he does have a PhD in German, German literature.
[00:57:38.180 --> 00:57:43.320]   He's very disaffected because he was born with Talapes, which is, you know, more commonly known
[00:57:43.320 --> 00:57:47.940]   as a club foot. He's disabled. He can't fight in the first world war. He's very frustrated by that.
[00:57:47.940 --> 00:57:53.200]   He's in a deep despair about, about the state of Germany in the first part of the early 1920s.
[00:57:53.260 --> 00:58:01.540]   He's looking for a, uh, um, uh, uh, uh, political messiah as a quasi religious messiah thinks it's
[00:58:01.540 --> 00:58:07.600]   Hitler, then discovers that Hitler is not open to any ideas at all, uh, about any deviation,
[00:58:07.600 --> 00:58:13.540]   but then sees the light. Hitler recognizes that this guy is someone that he wants on his side.
[00:58:13.680 --> 00:58:19.020]   And so then goes to make a real special effort. Come on, come to dinner. I think you're great.
[00:58:19.020 --> 00:58:23.340]   You know, all this kind of stuff wins about over and Goebbels has this complete vault fast,
[00:58:23.340 --> 00:58:28.760]   discards his earlier kind of, yeah, you know, Hitler's right. I was wrong. Hitler is the kind
[00:58:28.760 --> 00:58:34.400]   of messiah figure that, that I want to follow. I want to follow the hero, hero leader. And they
[00:58:34.400 --> 00:58:39.720]   come on board and they absolutely work out and Hitler completely wins out of all dissenters within the,
[00:58:39.720 --> 00:58:43.620]   what had been the German workers party to what becomes the German national socialist party,
[00:58:43.620 --> 00:58:51.620]   becomes the Nazis. Um, he comes out, emerges as the absolute undisputed Fuhrer of that leader of
[00:58:51.620 --> 00:58:57.200]   that, that party and what he says goes and everyone toes him behind it. And part of the genius of that,
[00:58:57.200 --> 00:59:01.780]   you know, Hitler does have some genius. I just don't think it's military, but he does have some
[00:59:01.780 --> 00:59:07.760]   genius. And a question about it is the simplicity of message of what he's doing. It's that kind of us
[00:59:07.760 --> 00:59:11.380]   and them thing that we were talking about earlier on. It's the kind of either, or it's kind of,
[00:59:11.720 --> 00:59:16.640]   it's my way or the highway. It's kind of, this is the only way. This is how we get to the sunlit
[00:59:16.640 --> 00:59:25.000]   uplands. This is how we, we create this amazing master race of the, this unification of German
[00:59:25.000 --> 00:59:30.000]   peoples, which dominates the world, which is the preeminent power in the world for the next thousand
[00:59:30.000 --> 00:59:37.400]   years, or it's decay and despair and being crushed by our enemies. And our enemies are the Jews and the
[00:59:37.400 --> 00:59:46.460]   Bolsheviks, the communists. And what he taps into as well is Front Gemeinschaft and Volksgemeinschaft.
[00:59:46.460 --> 00:59:52.680]   And these are, there's no direct English translation of Volksgemeinschaft or indeed Front Gemeinschaft,
[00:59:52.680 --> 00:59:59.060]   but, but, but in its most basic form, it's communities, it's people community or Front
[00:59:59.060 --> 01:00:06.560]   Veterans community. So the Front Gemeinschaft is we are the guys, we're bonded because we were in the
[01:00:06.560 --> 01:00:11.880]   trenches. You know, we were in the first world war. We were the people who bravely stuck it out,
[01:00:11.880 --> 01:00:17.680]   saw our friends being slaughtered and blown to pieces. We, we did our duty as proud Germans,
[01:00:17.680 --> 01:00:22.620]   Germans, but we were let down by the elites and we were let down by the, by this Jewish
[01:00:22.620 --> 01:00:28.880]   Bolshevik plot. You know, we were stabbed in the back. The myth of the stabbing, stabbing in the back
[01:00:28.880 --> 01:00:35.140]   is very, very strong. So we're bound, we're, we're bonded by our experience of the first world war and
[01:00:35.140 --> 01:00:40.240]   the fact that we did what we should and what we could, and we would, we didn't fail in what we were
[01:00:40.240 --> 01:00:47.640]   doing. We were failed by our leaders, um, and by the elites. So that's, that's Front Gemeinschaft.
[01:00:47.640 --> 01:00:57.440]   Volksgemeinschaft is this sense of national unity. It's, it's, it's a cultural, ethnic bonding of
[01:00:57.440 --> 01:01:04.320]   people who speak German, who have a, have a similar outlook on life. And again, that just reinforces the
[01:01:04.320 --> 01:01:10.200]   us and them good and evil, it reinforces the black and white worldview. And then you add that
[01:01:10.200 --> 01:01:17.960]   to this very simple message, which Hitler is repeating over and over again. Communists are a
[01:01:17.960 --> 01:01:22.080]   big threat. Jews are a big threat. They're the, they're the enemy. You have to have a, you have
[01:01:22.080 --> 01:01:30.320]   to have an opposition in the them and us kind of process. And that's what he's doing. And people just
[01:01:30.320 --> 01:01:33.900]   buy into it. They go, yeah, we're together. We're Germans. We're, we're, we're, you know,
[01:01:33.900 --> 01:01:42.140]   we're a brotherhood. We've got our Volksgemeinschaft. And so he cleverly ties into that and taps into
[01:01:42.140 --> 01:01:48.020]   that, but they're an irrelevance by the late 1920s, you know, by 1928, you know, the, the,
[01:01:48.020 --> 01:01:53.880]   he's not going to get a deal for Mein Kampf part two. You know, he he's, he's, he's impoverished.
[01:01:53.880 --> 01:01:58.200]   The party's impoverished. Numbers are down there. They're kind of, you know, a best and a,
[01:01:58.200 --> 01:02:02.200]   an irrelevance. We should say he wrote Mein Kampf at this time when he was in prison.
[01:02:02.200 --> 01:02:06.820]   Well, he writes, he writes most of Mein Kampf in prison, in Landsberg prison. And then he writes
[01:02:06.820 --> 01:02:11.980]   the rest of it in what becomes known as the Kampfhausel, which is this little wooden hut in the,
[01:02:11.980 --> 01:02:16.480]   in the Ober Salzburg. And you can still see the remnants of that. And unfortunately there's still
[01:02:16.480 --> 01:02:21.020]   little candles there and stuff in the woods and, you know, by, by neo-Nazis and whatnot, what have you.
[01:02:21.020 --> 01:02:25.840]   But that's where he wrote, wrote the rest of it. Um, I mean, it was Jean-Jacques Rousseau who says,
[01:02:25.840 --> 01:02:29.460]   man has his greatest force when surrounded by nature. That was something that kind of Hitler
[01:02:29.460 --> 01:02:35.200]   took very much to heart. Um, there was a, there was a mentor of his called Dietrich Eckart. Dietrich
[01:02:35.200 --> 01:02:40.000]   Eckart introduced him to the Ober Salzburg and the beauty of the Southwest, Southeast Bavarian
[01:02:40.000 --> 01:02:47.680]   Alps around Berkusgaden. And, um, uh, and that was his favorite place on the planet. And, um,
[01:02:47.800 --> 01:02:53.520]   that's where he, that's where he eventually bought the, um, the, uh, the Berghof with the royalties,
[01:02:53.520 --> 01:02:59.660]   it has to be said from Mein Kampf, which went from being, you know, almost pulp to suddenly being a
[01:02:59.660 --> 01:03:02.320]   runaway bestseller, unfortunately.
[01:03:02.320 --> 01:03:07.180]   Can you actually comment on that? It's a shitty manifesto as far as manifestos goes. I think there's
[01:03:07.180 --> 01:03:12.840]   a lot of values to understand, uh, from a first person perspective, the words of a dictator,
[01:03:13.160 --> 01:03:17.840]   of a person like Hitler, but it just feels like that's just such a shitty.
[01:03:17.840 --> 01:03:20.300]   Yeah. I mean, you know, it's banned in a number of countries. You don't need to,
[01:03:20.300 --> 01:03:25.700]   cause no one's going to read it because it's unreadable. Um, I mean, it's, it's very untidy.
[01:03:25.700 --> 01:03:32.180]   It's, it's very incoherent. It's, it's got no, um, there's no narrative arc to use the kind of,
[01:03:32.180 --> 01:03:35.700]   you know, right, a writer's phrase. I mean, it's just, it's, but, but, but it does give you a very
[01:03:35.700 --> 01:03:39.040]   clear, you know, the overall impression you get at the end of it is, is, is,
[01:03:39.040 --> 01:03:42.980]   is the kind of communists and the Jews are to blame for everything.
[01:03:42.980 --> 01:03:47.480]   Yeah. But there's also the component of, you know, predicting basically world war two
[01:03:47.480 --> 01:03:53.960]   there. So it's not just there to play. He's, he's hungry for war, right? He, he thinks that this is,
[01:03:53.960 --> 01:03:58.700]   this is the natural state that we have to have this terrible conflict. And once the conflict's over,
[01:03:58.700 --> 01:04:02.480]   Germany will emerge victorious. And then there will be the thousand year, right? I mean,
[01:04:02.480 --> 01:04:06.520]   I'm finding myself in, in talking to you. I keep saying this kind of, you know,
[01:04:06.520 --> 01:04:09.780]   it's Armageddon, all the thousand year, right. It's because it comes up. It's, it's, it's,
[01:04:09.780 --> 01:04:16.060]   it's unavoidable because that's how he's speaking the whole time. It's just the same message over and
[01:04:16.060 --> 01:04:22.440]   over and over and over again. It's a pretty unique way of speaking sort of allowing a violence as a
[01:04:22.440 --> 01:04:28.700]   tool in this picture, that there's a hierarchy, that there's a superior race and inferior races,
[01:04:28.700 --> 01:04:34.440]   and it's okay to destroy the inferior ones. Yeah. Usually politicians don't speak that way.
[01:04:34.440 --> 01:04:41.760]   They just say, well, here's good and evil. We're the good guys. And yeah, maybe we'll destroy the
[01:04:41.760 --> 01:04:48.820]   evil a little bit. No, here is like, there's a complete certainty about a very large number of
[01:04:48.820 --> 01:04:54.280]   people, the Slavic people. They just need to be removed. Well, they need to be made an irrelevance.
[01:04:54.280 --> 01:04:57.240]   You know, we have to take it, we have to take it. And if that, if that kills millions of them,
[01:04:57.240 --> 01:05:00.520]   fine, then they can sort of squish that way over to Siberia. It doesn't matter where they go.
[01:05:00.520 --> 01:05:07.260]   We just need to populate this land that belongs to the German people because they're the superior
[01:05:07.260 --> 01:05:11.340]   people. There's no question that he glorifies violence and war. You know, he's absolutely
[01:05:11.340 --> 01:05:16.360]   chomping at the bit. And in a way, I think he's a bit disappointed that in the 1930s,
[01:05:17.080 --> 01:05:23.400]   the conquests that he does undertake are also peaceful. You know, March, 1938 goes straight
[01:05:23.400 --> 01:05:27.940]   into Austria. There's the Anschluss, you know, not a shot is fired. You know, 1936 goes into the
[01:05:27.940 --> 01:05:34.600]   Rhineland, reconquers that, retakes that over that from, from, uh, from, from the occupying allies,
[01:05:34.600 --> 01:05:39.920]   not a shot is fired. You know, he takes a sedation land, not a shot, barely a shot is fired.
[01:05:40.320 --> 01:05:45.380]   Um, and then goes into, into the rest of Czechoslovakia in March, 1930, 39. And again,
[01:05:45.380 --> 01:05:48.520]   barely a shot is fired. And, you know, it's a bit disappointing. You know, he wants to be,
[01:05:48.520 --> 01:05:52.700]   wants to, wants to be tested. He wants to kind of have the, have the, the wartime triumph.
[01:05:52.700 --> 01:05:57.700]   You can see him being frustrated about this in, in the Munich crisis in 1938. He wants to fight.
[01:05:57.700 --> 01:06:02.760]   He's absolutely spoiling for it. He's desperate to go in. He's already in gung ho. He's built his
[01:06:02.760 --> 01:06:09.420]   Luftwaffe. He's, he's got his, his, his panzers. Now he's got his, his, his massive armed forces.
[01:06:09.420 --> 01:06:14.300]   You know, he wants to test them. He wants to, wants to get this show on the road, uh, and prove it.
[01:06:14.300 --> 01:06:23.600]   You know, he is a, he's an arch gambler, Hitler. You, you make it seem so clear, but, uh, all the
[01:06:23.600 --> 01:06:29.160]   while to the rest of the world, to Chamberlain, to France, to Britain, to the rest of the world,
[01:06:29.160 --> 01:06:35.080]   he's saying he doesn't want that. He's making agreements. Everything you just mentioned,
[01:06:35.080 --> 01:06:40.060]   you just went through it so quickly, but those are agreements that were made that he's not going
[01:06:40.060 --> 01:06:45.940]   to do that. Uh, and he does it over and over. He violates the Treaty of Versailles. He violates
[01:06:45.940 --> 01:06:51.600]   every single treaty, but he still isn't doing the meeting. So maybe, maybe can you go through it,
[01:06:52.220 --> 01:06:59.520]   the lead up to the war, 1939, September 1st, like what are the different agreements? What is the
[01:06:59.520 --> 01:07:05.140]   signaling he's doing? Yeah. Well, and what is he doing secretly in terms of building up the military
[01:07:05.140 --> 01:07:09.700]   force? Yes. So he, you know, part of the Treaty of Versailles, you're not, you know, you're allowed
[01:07:09.700 --> 01:07:16.880]   to very, very limited, um, uh, armed forces. There's restrictions on naval expansion. There's
[01:07:16.880 --> 01:07:23.260]   restrictions on the size of the army. There's restrictions on the weapons you can use. There
[01:07:23.260 --> 01:07:30.520]   are, um, you're not allowed an air force, but he starts doing this all clandestinely. Um, you know,
[01:07:30.520 --> 01:07:38.320]   there are people in, um, Krupp has got, for example, which is in the Ruhr, a sort of big, um, armaments
[01:07:38.320 --> 01:07:45.440]   manufacturer. They are producing tanks and elsewhere and parts elsewhere in, in the Netherlands, for
[01:07:45.440 --> 01:07:50.280]   example, and then shipping them back into, back into Germany. They're doing panzer training exercises
[01:07:50.280 --> 01:07:55.620]   actually in the Soviet Union at this time. There's all sorts of things going on. The Luftwaffe is being
[01:07:55.620 --> 01:08:01.140]   announced to the world in 1935, but it's obviously been in the process of, of developing long before
[01:08:01.140 --> 01:08:07.100]   that. The Messerschmitt 109 single engine fighter plane, for example, is created in 1934. So they're doing
[01:08:07.100 --> 01:08:12.940]   all these things against it. And the, and the truth is, is he's just constantly pushing. What,
[01:08:12.940 --> 01:08:16.440]   what can I get away with here? What, what, what, what will probably, you know, and, and of course,
[01:08:16.440 --> 01:08:20.360]   Britain, France, the rest of the rest of the world, rest of the allies, you know, they're all reeling
[01:08:20.360 --> 01:08:25.860]   from, from the wall street crash and the depression as well. So have they got the stomach for this? Not
[01:08:25.860 --> 01:08:31.220]   really, you know, and perhaps actually on reflection, the terms of us, I treat you a bit harsh anyway.
[01:08:31.220 --> 01:08:35.280]   So, you know, maybe we don't need to worry about it. And this is, this is no political will.
[01:08:35.280 --> 01:08:39.940]   There's no political will to kind of fight against what Germany's doing. Then he gets
[01:08:39.940 --> 01:08:43.860]   away of it. So he suddenly starts realizing that, that, that, that actually he can push
[01:08:43.860 --> 01:08:47.660]   this quite a long way because no one's going to stand up to him, which is why he makes a
[01:08:47.660 --> 01:08:51.820]   decision in 1936 to go back into the, you know, into the Rhineland, you know, which has been
[01:08:51.820 --> 01:08:57.980]   occupied by, by French, you know, um, um, allied troops. At that point, he just walks in,
[01:08:57.980 --> 01:09:02.060]   just goes, do your worst. And no one's going to do anything because there isn't the stomach
[01:09:02.060 --> 01:09:07.800]   to do anything. That was a big step in 1936, remilitarizing the Rhineland. I mean, that,
[01:09:07.800 --> 01:09:14.680]   that's a huge, huge step of like, oh, I don't have to follow anybody's rules and they're going to do
[01:09:14.680 --> 01:09:19.720]   nothing. And he's looking at his military and he's, and, and he's also looking at response. So one of the
[01:09:19.720 --> 01:09:24.840]   things they do is they, you know, it's really, it's very clever. So they get over the head of the,
[01:09:24.840 --> 01:09:31.000]   uh, army of the air, army de l'air, which is the, um, French air force. And they invite him over and
[01:09:31.000 --> 01:09:37.260]   they, uh, uh, milk, who is the, uh, second command of the Luftwaffe invites him over. So come and see
