
[00:00:00.040 --> 00:00:20.560]   Thank you so much for coming. My name is Gabriela de Queiroz. I work at Microsoft,
[00:30:03.600 --> 00:30:11.840]   here. So I'm just going to copy and paste the stuff from the sample. And you know, the one negative about
[00:30:11.840 --> 00:30:18.080]   using code spaces with conference Wi-Fi is that it is a online environment. So if you want, you are also
[00:30:18.080 --> 00:30:23.280]   welcome to try these out, these projects locally. This is just how we can guarantee less issues with
[00:30:23.280 --> 00:30:29.840]   developer environment setup. Okay, so you can see in this environment file, we need to specify the endpoint
[00:30:29.840 --> 00:30:37.840]   and the key and the deployment. So for the endpoint, we're going to go to the proxy page and grab that
[00:30:37.840 --> 00:30:44.960]   endpoint URL and put that here. And so it looks like this HBS politeground blah, blah, blah, blah, slash API
[00:30:44.960 --> 00:30:51.520]   slash V1. That's what your endpoint should look like for all of these. So literally, the OpenAI SDK
[00:30:51.520 --> 00:30:58.720]   is going to send requests to this endpoint, and you know, get responses from it. The next step is the key.
[00:30:58.720 --> 00:31:05.280]   So we go here. And we're going to copy and paste that key. There's my key. Love it.
[00:31:05.280 --> 00:31:14.160]   And then the deployment name. So this is the name of our deployment of our GPT model. So if any of you
[00:31:14.160 --> 00:31:21.680]   use OpenAI.com. Okay, so on OpenAI.com, you just use things by their model name, you just say, oh,
[00:31:21.680 --> 00:31:27.520]   I want to use GPT-40. I want to use GPT-35 Turbo. On Azure OpenAI, you actually make deployments of
[00:31:27.520 --> 00:31:32.560]   models where you say, okay, I want a new deployment of GPT-35 Turbo, and then you give that a name.
[00:31:32.560 --> 00:31:39.040]   So we've actually named the deployment the same as the model here to make it either more or less confusing.
[00:31:39.040 --> 00:31:45.920]   But that is one big difference between OpenAI.com and Azure OpenAI is that the Azure OpenAI has this
[00:31:45.920 --> 00:31:54.720]   notion of deployments. But everyone's going to put in GPT-35 Turbo here. So there we go. Okay. So I've
[00:31:54.720 --> 00:32:09.920]   got a .env. And the next step is to run the server. All right. So this is running the Python backend.
[00:32:11.760 --> 00:32:17.680]   We can open this up. And so this will, when I click on this URL inside the code space,
[00:32:17.680 --> 00:32:24.320]   it'll actually open up a very different URL. So this is the, this port running on side the code space.
[00:32:24.320 --> 00:32:31.520]   So it's got this like really funky URL. So then I can say like, write a haiku about AI engineer world
[00:32:31.520 --> 00:32:38.320]   fair. Okay. I always do all my testing. I say to write a haiku because otherwise LLMs get really,
[00:32:38.320 --> 00:32:44.400]   you know, verbose and you're just sitting there waiting forever. So there we go. That is working.
[00:32:44.400 --> 00:32:51.600]   That's getting back responses. So you, you know, send any message that you can, haiku about San Francisco.
[00:32:51.600 --> 00:32:58.320]   And there we go. There we go. I actually just watched a video yesterday about how the golden gate
[00:32:58.320 --> 00:33:04.720]   bridge was built. It's fascinating. Okay. So there we go. Now it is actually running. So this is running
[00:33:04.720 --> 00:33:11.280]   the app that's inside the source folder. So if you want to explore it, you can, this is a court
[00:33:11.280 --> 00:33:17.040]   application. Um, is anyone actually heard of court? It's not well known. Okay. Who's heard of flask?
[00:33:17.040 --> 00:33:22.960]   All right. Core is just the asynchronous version of flask. Like literally probably flask will become
[00:33:22.960 --> 00:33:29.200]   court at some point or vice versa. So core is just flask, but async. Uh, and we always want to use an async
[00:33:29.200 --> 00:33:34.480]   framework when we're building applications that you make, uh, calls to LLMs because we want better
[00:33:34.480 --> 00:33:40.480]   concurrency. So you'll see for all our samples, they're all either using court or fast API for the
[00:33:40.480 --> 00:33:45.840]   Python backends, because those are the ways that we can have async. So you'll see, uh, async. If you
[00:33:45.840 --> 00:33:51.840]   haven't, you know, worked with async a lot in Python, you just see asyncs and awaits all over the place.
[00:33:51.840 --> 00:33:58.160]   Um, because that's how we build, uh, with async backends. Uh, but this is the actual code that's
[00:33:58.160 --> 00:34:05.680]   happening here. We're streaming in the response from the open AI client and, uh, we're getting back the
[00:34:05.680 --> 00:34:12.800]   responses and we're streaming it back to the front end using something called JSON lines or new line
[00:34:12.800 --> 00:34:17.440]   delimited JSON. It's just a way of streaming one line at a time. So let me do a longer one
[00:34:17.440 --> 00:34:23.280]   just so I can show you, uh, how the streaming works. Do do do. And streaming is also another general
[00:34:23.280 --> 00:34:28.880]   practice. If you're, if you're making a user facing application, that's making a call to an LLM,
[00:34:28.880 --> 00:34:33.200]   you really want to stream that response in ideally because then it's going to appear
[00:34:33.200 --> 00:34:38.080]   faster to the user because the time to get the first token, as soon as you get that first token,
[00:34:38.080 --> 00:34:42.400]   you can start streaming in that first token. So we are actually streaming in a token at a time.
[00:34:42.400 --> 00:34:52.480]   So like write, uh, a long essay about San Francisco. Okay. So we should see this
[00:34:52.480 --> 00:35:00.880]   actually stream in here. Uh, once it, so it still takes some amount of time to get that first token,
[00:35:00.880 --> 00:35:07.360]   but then once you get that first token in, there we go. That was so fast. I wonder if the proxy is
[00:35:07.360 --> 00:35:11.360]   actually making it be a bit different. Let me see if I can see it in the stream what happened.
[00:35:11.360 --> 00:35:21.120]   Um, I should see it in the response. Fascinating. Um,
[00:35:21.120 --> 00:35:27.600]   normally I can see the stream tokens in the response here. I can try it with another of ours though.
[00:35:27.600 --> 00:35:33.600]   Okay. All right. So we'll have to trust that, but, um, but yeah, there you go. So this is just our,
[00:35:33.600 --> 00:35:38.960]   our getting started experience. So this is the local server, right? So we are running the local server,
[00:35:38.960 --> 00:35:45.440]   but we are hitting up as your, uh, as our, uh, you know, so we are hitting up a cloud resource
[00:35:45.440 --> 00:35:51.520]   and that's because it's hard to have a local, uh, a local GPT-3-5. Now, if you want, you can actually
[00:35:51.520 --> 00:35:57.280]   use these models with like Olama. I don't know if any of you use Olama, but Olama is a really great way
[00:35:57.280 --> 00:36:03.600]   to run small language models. And so I add support for Olama to all my samples when possible. So if you want,
[00:36:03.600 --> 00:36:08.480]   locally, you can actually run against these small local models, like five, three or Llama two or
[00:36:08.480 --> 00:36:13.840]   whatever, uh, it's just not going to be the same thing because they're different models, but that is
[00:36:13.840 --> 00:36:18.720]   an option for local development. All right. So that's all set up. The next step is to actually deploy
[00:36:18.720 --> 00:36:23.120]   this to Azure. So that's when we are, you know, going to be using that Azure account that you set up.
[00:36:23.120 --> 00:36:26.000]   So the first thing we have to do is log in.
[00:36:26.000 --> 00:36:33.360]   So we're going to do AZD off login. And we're going to use the device code flow when we're
[00:36:33.360 --> 00:36:38.400]   inside a code space. So that's going to have us copy and paste some, uh, some code here.
[00:36:38.400 --> 00:36:46.880]   So I press enter and it opens up this new tab and I'm actually going to open this up in, uh, another
[00:36:46.880 --> 00:36:54.640]   browser. We'll just pick a random one. Okay, here we go. And then I'm going to grab the device code here
[00:36:55.600 --> 00:37:02.480]   and then I put it into here, sign in. Okay. So I guess I'm using my Gmail here.
[00:37:02.480 --> 00:37:04.720]   All right. So I am signed in.
[00:37:04.720 --> 00:37:13.280]   Okay. So now I've logged in. So you want to make sure you log in with the account that you just set up
[00:37:13.280 --> 00:37:20.160]   for that Azure pass. Then we're going to create a new, uh, AZD environment. So this is kind of like
[00:37:20.160 --> 00:37:25.200]   a new deployment environment. So a lot of times when I'm developing these, these samples, I've got like 20
[00:37:25.200 --> 00:37:29.520]   different deployment environments where I'm trying out different configurations and stuff. So I'll make
[00:37:29.520 --> 00:37:34.560]   a new one here for this one in the chat. Quick start. So you just give it, give it a little name.
[00:37:34.560 --> 00:37:41.520]   And then the next step is that we need to set some environment, some AZD environment variables. These
[00:37:41.520 --> 00:37:48.080]   are like our deployment variables. That's going to tell the, um, the infrastructure how to provision
[00:37:48.080 --> 00:37:53.040]   everything. So we're going to tell it to not make Azure open AI because we're using the proxy. We're going to tell
[00:37:53.040 --> 00:37:57.040]   it the name of our deployment. So I can just go ahead and copy and paste those two things.
[00:37:57.040 --> 00:37:59.280]   So I'll just paste them here.
[00:37:59.280 --> 00:38:04.400]   Okay. And then I need to tell it the key. So
[00:38:04.400 --> 00:38:10.320]   this is the same key that we did earlier, but now this is going to be used by the actual deployment flow.
[00:38:11.040 --> 00:38:23.440]   So I go and find, oh, I deleted way too much. Come back. Okay. So just delete that part and grab the key.
[00:38:23.440 --> 00:38:31.280]   All right. So now I've set the key for deployment and then I'm going to set the endpoint for deployment.
[00:38:33.840 --> 00:38:43.920]   And here we go. Where's that proxy at? There we go. All right. Okay. So now I've set all these AZD
[00:38:43.920 --> 00:38:50.080]   environment variables. These are going to be used when we are configuring the infrastructure. And so then
[00:38:50.080 --> 00:38:57.840]   we run AZD up. So what this is actually doing is that we're using this, um, infrastructure as code. Does
[00:38:57.840 --> 00:39:04.320]   anybody here use terraform or bicep or arm? Okay. Yeah. So terraform is probably the more well-known
[00:39:04.320 --> 00:39:09.520]   one. So at Azure, we have our own version. Um, originally it was arm and it was JSON. Now we
[00:39:09.520 --> 00:39:15.840]   have bicep, which is like a better version of arm stronger. Uh, but these are all our bicep files.
[00:39:15.840 --> 00:39:20.080]   You can also write terraform if you want to do that. I just, I know bicep more than terraform.
[00:39:20.080 --> 00:39:26.480]   So we are using bicep, which is infrastructure's code and that bicep describes how everything is
[00:39:26.480 --> 00:39:29.920]   going to be made. So how are we going to make the open AI? How are we going to make analytics,
[00:39:29.920 --> 00:39:35.440]   container apps, uh, roles, all that stuff. All right. So I need to select an, a subscription to use. So I'm
[00:39:35.440 --> 00:39:40.080]   going to use the sponsorship subscription. Um, for many of you, you might just have one subscription and
[00:39:40.080 --> 00:39:43.920]   then a location. This is going to be where like our container app is going to go. So I'll just
[00:39:44.880 --> 00:39:54.960]   pick a random location there. Okay. And now it is packaging everything up. Uh, so it is, yeah,
[00:39:54.960 --> 00:40:00.080]   it's actually building Docker image. So this one gets deployed to Azure container apps. That's like an
[00:40:00.080 --> 00:40:04.880]   Azure option for running containerized applications. We also have like Azure app service,
[00:40:04.880 --> 00:40:11.440]   Azure functions, Azure Kubernetes. Uh, but for this one and the second one, we're using container apps
[00:40:11.440 --> 00:40:17.120]   as a, you know, a nice place if you're using Docker. How many of you like Docker? I shouldn't say like,
[00:40:17.120 --> 00:40:23.360]   how many of you use Docker? Okay. It's a similar, okay. You know, I don't want to presume. Um,
[00:40:23.360 --> 00:40:29.760]   so if you do like Docker, you know, Dockerized, um, environments, you know, this is using a Dockerfile. Uh,
[00:40:29.760 --> 00:40:36.000]   you can see the Dockerfile here. Uh, you know, installing requirements, running the server, all that sort of
[00:40:36.000 --> 00:40:41.200]   stuff here. Uh, so then it's provisioning the resources. So it's going to do that whole step. And then I've
[00:40:41.200 --> 00:40:47.360]   already got one, uh, you know, pre, uh, already deployed here. So we, it, once it's deployed,
[00:40:47.360 --> 00:40:51.600]   we'll have a container apps URL. And this is a URL that you can, you know, tweet, share publicly,
[00:40:51.600 --> 00:41:00.080]   whatever. Try not to use up all, I mean, I guess use up all your credits, whatever. Uh, hi, LLM,
[00:41:00.080 --> 00:41:08.080]   what's up? I don't know. I never know what to say. Um, I don't have feelings. Thanks. Uh, so now it is
[00:41:08.080 --> 00:41:13.520]   deployed there. And then if I can, I can look at my portal and see, you know, actually see what it
[00:41:13.520 --> 00:41:22.160]   made. So I can go here and look at maybe container apps and, uh, that's actually a different one.
[00:41:22.160 --> 00:41:30.240]   So let me look for, let me go. I know. I think I just have to remember which thing I, I wish I have
[00:41:30.240 --> 00:41:40.880]   got three different portals going right now. Here we go. Uh, so we'll do, uh, a quick start.
[00:41:40.880 --> 00:41:48.720]   Maybe this one, there we go. So once it's all deployed, you can go into your portal and actually
[00:41:48.720 --> 00:41:53.280]   find the resource group that was made and then you can see what was made underneath it. So here
[00:41:53.280 --> 00:41:57.440]   we have a container app, you need a registry. These are everything we need in order to make
[00:41:57.440 --> 00:42:03.840]   a containerized app. So that's the flow for that one. The flow is similar for the other ones, but the
[00:42:03.840 --> 00:42:08.880]   other ones are a lot more, uh, a lot more sophisticated. I'm saying like they're ones that people are actually
[00:42:08.880 --> 00:42:18.880]   using, uh, in production. So I'll just talk about RAG. Um, RAG is stands for retrieval augmented generation.
[00:42:18.880 --> 00:42:25.040]   This is our solution for the fact that LLMs like to make stuff up. I mean, that's kind of their,
[00:42:25.040 --> 00:42:29.120]   it's kind of their, the way they work. They're just word prediction machines. And so if you get them to
[00:42:29.120 --> 00:42:32.960]   predict something that they don't know, then they'll, they'll go ahead and predict something, right?
[00:42:32.960 --> 00:42:38.720]   So how do we get LLMs to give us reliable output for a particular domain? We can use retrieval
[00:42:38.720 --> 00:42:44.320]   augmented generation. And so how this works is that we get in a user question. We use that to
[00:42:44.320 --> 00:42:48.480]   search some sort of database, whether it's a, you know, a search engine, a vector database,
[00:42:48.480 --> 00:42:54.000]   whatever you want. We search it, we get back results, and then we send both the original user
[00:42:54.000 --> 00:43:00.560]   question and the search results to the LM and say, Hey, now please answer the user question based off
[00:43:00.560 --> 00:43:05.200]   the search results. And then you'll get a really good answer. So as long as you have a very good search
[00:43:05.200 --> 00:43:09.840]   search engine. So you really want to pick really good retrieval mechanism search engine
[00:43:09.840 --> 00:43:14.400]   at that step. Because if you get good results, then you'll get a great answer from the LLM.
[00:43:14.400 --> 00:43:19.520]   Because LLMs are incredibly good at synthesizing information, summarizing based on what they see.
[00:43:19.520 --> 00:43:22.880]   So they just need to have this, you know, really good search step.
[00:43:22.880 --> 00:43:28.960]   So we have two different RAG options that you can try deploying today and over the next seven days. So the
[00:43:28.960 --> 00:43:36.480]   first one is RAG on Postgres. And so this is, if you like already had a database, imagine you've got
[00:43:36.480 --> 00:43:41.280]   like a retail website, you've got a bunch of products that you're selling, and you wanted your customers
[00:43:41.280 --> 00:43:47.840]   to be able to ask questions about those products, right? So you can, you can just search off those
[00:43:47.840 --> 00:43:53.280]   table rows for, you know, what the user is asking about, get back the matching table rows, and then you
[00:43:53.280 --> 00:43:59.600]   pass those table rows to the LLM and say, hey, answer this user question about the table rows. I'll show
[00:43:59.600 --> 00:44:08.960]   you what that actually looks like when deployed here. So here I've got, you know, a product table for this
[00:44:08.960 --> 00:44:17.040]   outdoor, outdoor shoe company. And so the user puts in, puts in a question here, and we get back all these
[00:44:17.040 --> 00:44:21.840]   results, and where they say, you know, this is just info from the rows. And we can look at the thought
[00:44:21.840 --> 00:44:28.880]   process here. And so we can see that actually, actually, it's even, I did the fancy one. Okay,
[00:44:28.880 --> 00:44:36.080]   I'll use the simple flow first, so I can show the simple flow. And, and then we'll move on to the
[00:44:36.080 --> 00:44:42.320]   advanced, advanced RAG. Okay, all right, so here, now if we look at the thought process here, we get the
[00:44:42.320 --> 00:44:48.640]   search query, we use that to query the database. So these are the rows we get back from the database.
[00:44:48.640 --> 00:44:53.200]   And we do both a vector search and a text search. Now, I'm sure you've heard lots of things about
[00:44:53.200 --> 00:44:58.480]   vector databases. They're great, but you need vector search and text search, and you need to combine
[00:44:58.480 --> 00:45:03.200]   those results together. If you use vector search alone, you will not get good results. I've done,
[00:45:03.200 --> 00:45:08.880]   like, hundreds of evaluations of this sort of thing. You need to have a hybrid search, which is going to do
[00:45:08.880 --> 00:45:13.120]   both a vector search and a text search. So for Postgres, we can use PG vector for vector search,
[00:45:13.120 --> 00:45:17.360]   and then we can use their built-in full text search for text search, and then we can combine them
[00:45:17.360 --> 00:45:24.720]   together. So we get back results, and then we, you know, send to the model. We say, "Hey, your job is to
[00:45:24.720 --> 00:45:30.240]   answer questions based off of sources. Here's the user question, and here's the sources." So at its
[00:45:30.240 --> 00:45:35.920]   simplest, this is what RAG is. This is the actual call that we make to the model, is please answer
[00:45:35.920 --> 00:45:39.520]   according to these sources. Here's the question. Here's the sources. We get back the response.
[00:45:39.520 --> 00:45:47.600]   Now, we can get a little fancier with that, so we go to the advanced flow here,
[00:45:47.600 --> 00:45:53.520]   and I say it's fancy, but I think it's actually what most people are doing at this point for their RAG
[00:45:53.520 --> 00:46:00.880]   at the least. So in this flow here, the first thing we do is we take the user's question and we rewrite it
[00:46:00.880 --> 00:46:06.880]   into a better query, because user questions aren't really optimized for searching databases or searching
[00:46:06.880 --> 00:46:12.480]   search engines. So we first ask an LLM, like, "Hey, here's a user query. Make this into a better query."
[00:46:12.480 --> 00:46:18.320]   So this is what we can call the query cleanup phase or the query rewriting phase, and it's a really useful
[00:46:18.320 --> 00:46:25.920]   first stage to have in a RAG application. And so then we get back, you know, search results, and then,
[00:46:26.640 --> 00:46:32.000]   well, we get back the query, right? So in this case, it actually ended up giving the same query in this
[00:46:32.000 --> 00:46:37.200]   example, and then we get back the results, and then we send it. But this gets particularly helpful when we
[00:46:37.200 --> 00:46:43.840]   have multi-turn conversations. Like, if I type in, let's see if it's going to perform for me today,
[00:46:43.840 --> 00:46:50.000]   more options, right? More options on its own is a terrible query to send to a search engine, right?
[00:46:50.000 --> 00:46:56.320]   What is more options? More options about what? So I'm hoping that my query rewriting phase is going to
[00:46:56.320 --> 00:47:02.800]   clean this up. Now, yeah, see, I should test this before I do it. All right, so I can demonstrate that
[00:47:02.800 --> 00:47:10.240]   more in our other example, because I have done that demo more. This one's -- repo's a little fresher.
[00:47:10.240 --> 00:47:16.560]   I made it like a month ago. Okay. So that's what we're going to need for it. Now, another thing we can
[00:47:16.560 --> 00:47:23.360]   do in the query rewriting phase, though, is that we can actually use OpenAI function calling in order to get
[00:47:23.360 --> 00:47:30.080]   the model to generate SQL filters for us. So that's what we've done here is that the user asked,
[00:47:30.080 --> 00:47:36.640]   I want climbing gear cheaper than $30. Well, we can make that into a SQL filter. So we actually asked the
[00:47:36.640 --> 00:47:41.920]   LLM. We use OpenAI function calling and say, hey, can you tell us if there -- if we should do a price
[00:47:41.920 --> 00:47:46.560]   filter here? And so it comes back and says, yeah, you should do a price. It should be less than and 30.
[00:47:46.560 --> 00:47:50.960]   And then we can use that to construct a SQL filter. So that's another really cool thing about having that
[00:47:50.960 --> 00:47:56.400]   first query rewriting phase is that then you can start doing more sophisticated things and having
[00:47:56.400 --> 00:48:03.280]   it actually come up with more structured queries and not just do just like a full-text, you know,
[00:48:03.280 --> 00:48:12.800]   full-text search. Okay. So that's RAG on Postgres. And so there we saw the flow of that. The other
[00:48:12.800 --> 00:48:16.960]   one that we have -- and this is the one that's super popular that's been deployed thousands of times -- and
[00:48:16.960 --> 00:48:21.760]   this is what many people think of when they think of RAG -- is being able to do RAG on unstructured
[00:48:21.760 --> 00:48:26.800]   documents. So you've got PDFs and docs and Excels and HTML or whatever, right? You've got all these
[00:48:26.800 --> 00:48:31.200]   documents and you want to be able to ask questions about it. And people are really excited about being
[00:48:31.200 --> 00:48:35.520]   able to finally ask questions about PDFs because then we don't have to open PDFs because nobody wants
[00:48:35.520 --> 00:48:42.960]   to open a PDF, right? So we can do -- we can do RAG on documents. And so that's what this demo does here.
[00:48:42.960 --> 00:48:49.440]   And so let me go ahead and show the deployed version of that one, right? So I asked, what does a product
[00:48:49.440 --> 00:48:56.880]   manager do? I get back citations. I click on iCitation. That will load in the particular page number that
[00:48:56.880 --> 00:49:02.720]   it got it from, right? So this is the PDF and the page number where we got it from. And this is, you know,
[00:49:02.720 --> 00:49:07.440]   a question that's specific to this particular employee handbook. And we could do this RAG with anything.
[00:49:08.640 --> 00:49:13.840]   And so here you can see the, you know, all the citations it found. And for the thought process
[00:49:13.840 --> 00:49:18.000]   here, it's similar, right? We have a query rewriting phase, we have the search results phase,
[00:49:18.000 --> 00:49:24.480]   and we've got the prompt to generate the answer. So a lot of this is really similar. The big difference
[00:49:24.480 --> 00:49:29.680]   is that here we have to have a data ingestion phase because we need to figure out a way to take these,
[00:49:29.680 --> 00:49:35.600]   like, you know, 50 page long PDFs or something, and store them in, you know, in a searchable way.
[00:49:35.600 --> 00:49:41.760]   So we have a data ingestion that will take a PDF, we crack it using Azure Document Intelligence,
[00:49:41.760 --> 00:49:48.400]   which is very good extracting text from documents. Then we chunk it, we do a token-based chunking. So
[00:49:48.400 --> 00:49:55.440]   we try to come up with chunks that are about 500 tokens large. And then we vectorize those chunks with,
[00:49:55.440 --> 00:50:00.880]   you know, the OpenAI embedding models, and then we store them into Azure AI Search. So that's the
[00:50:00.880 --> 00:50:05.680]   data ingestion phase. So you're going to need, that's why this is the most complicated architecture,
[00:50:05.680 --> 00:50:14.080]   is because of that data ingestion phase there, right? So data ingestion, we're using Document Intelligence,
[00:50:14.080 --> 00:50:18.720]   Azure Storage to store them, Azure OpenAI to embed, and then Azure AI Search to store that there.
[00:50:19.920 --> 00:50:25.520]   But then it's really cool, and you can do it with all sorts of things. So I've got one that has my blog
[00:50:25.520 --> 00:50:31.840]   in it so I can ask questions about myself. Let me get that one open. Let's see my blog. Here we go.
[00:50:31.840 --> 00:50:43.920]   And there we go. Good sleep strategies. I was just telling them how bad I am at sleep, but
[00:50:43.920 --> 00:50:48.960]   I have researched it a lot because I'm so bad at it. These are all from my blogs.
[00:50:48.960 --> 00:50:55.360]   Okay. And that's from, this is from parsing in like an HTML site.
[00:50:55.360 --> 00:51:06.640]   Yeah. So there you go. So those are, those are our, there's my blog. Those are, those are the RAG ones. And so
[00:51:06.640 --> 00:51:12.080]   with RAG with the Azure AI Search, that's one where you could immediately get start, like get started
[00:51:12.080 --> 00:51:17.280]   with putting your own documents into it and seeing what it's like to be able to chat off them.
[00:51:17.280 --> 00:51:20.800]   What?
[00:51:20.800 --> 00:51:25.520]   Oh, yeah. Good question. Can you put them somewhere?
[00:51:25.520 --> 00:51:31.040]   Yeah. We'll put in the same doc, the same word doc. We can put the slides over there.
[00:51:31.040 --> 00:51:38.480]   Okay. And I'm, I'm done. Okay. Cool. I know like, let's go for the questions. And then I know that some
[00:51:38.480 --> 00:51:44.320]   people were a little bit behind. I want to make sure that you have something running. Of course,
[00:51:44.320 --> 00:51:51.600]   everything that Pamela showed you, you're going to be able to do in your own time. Like we ran this over
[00:51:51.600 --> 00:51:58.880]   and over and over and over again. We tried different things. We customized the HTML of the chat. We also
[00:51:58.880 --> 00:52:04.800]   changed the, the, the, the, the message. Like for example, one of the things that you can do is like,
[00:52:04.800 --> 00:52:12.000]   instead of like you are AI assistants, I can say, you only know about Nintendo.
[00:52:12.000 --> 00:52:19.840]   Any other thing, just say, whoa, right? So you can do things like that. So there is a lot of like
[00:52:19.840 --> 00:52:25.360]   customization that you can do on this, on this applications, uh, as she was showing you,
[00:52:25.360 --> 00:52:30.800]   you can use your own data. She was showing with the data from her blog, right? Uh, but I want to make
[00:52:30.800 --> 00:52:35.840]   sure that everybody's more or less on the same page, or if you have any questions like, whoa, Pamela,
[00:52:35.840 --> 00:52:45.120]   what did you just do? I have no idea what is rag or any questions so we can help you get up to speed.
[00:52:45.120 --> 00:53:05.600]   Uh, yeah, great question. So what, um, formats can it handle? Uh, so now as your document intelligence can
[00:53:05.600 --> 00:53:12.080]   handle quite a few, uh, so we have the, let me find the document about it, um, data ingestion.
[00:53:12.080 --> 00:53:19.840]   Okay. Uh, so these are all the ones supported by DI, right? PDF, HTML, docx, pbdx, xls, images
[00:53:19.840 --> 00:53:25.440]   are all supported from document intelligence. And then we built our own parsers for text.
[00:53:26.000 --> 00:53:32.400]   What is what, images? Right. So if you put, yeah, it's a good question, you see images. So if you send
[00:53:32.400 --> 00:53:37.040]   images to document intelligence, it'll OCR them basically. It'll extract the text. Now, the different
[00:53:37.040 --> 00:53:42.880]   thing is that you might want to do, um, like a GPT vision, uh, which is, which is a whole different
[00:53:42.880 --> 00:53:48.960]   thing, which is where you're actually asking, sending an image to GPT like 4.0 and asking a question about it.
[00:53:48.960 --> 00:53:53.600]   Now this repo does actually optionally support that. So if that's something you're interested in,
[00:53:53.600 --> 00:53:58.240]   you can try that out. That's, that's actually different from ingesting an image, um, slightly
[00:53:58.240 --> 00:54:02.640]   different process. But that's, that's also an option. So it just depends what are your images
[00:54:02.640 --> 00:54:04.960]   and what are you hoping to get out of them. Yeah.
[00:54:04.960 --> 00:54:12.800]   What about, like, PDFs with images inside that have text that's, like, context to what's going on?
[00:54:15.200 --> 00:54:21.200]   So document intelligence will extract as much as it possibly can. To me, that's sometimes too much,
[00:54:21.200 --> 00:54:26.960]   but I did have an, uh, an incident where, uh, I did another one based off the Python playwright
[00:54:26.960 --> 00:54:33.440]   documentation and the Python playwright docs has some images of the node playwright. And so it actually
[00:54:33.440 --> 00:54:39.200]   extracted the JavaScript out of those images. And then that messed up my whole rag, uh, because it did
[00:54:39.200 --> 00:54:44.480]   extract it. So document intelligence will generally try to extract as much as it can. And so if there are
[00:54:44.480 --> 00:54:54.880]   text in the images, it'll just bring those out as text.
[00:54:54.880 --> 00:55:03.760]   Yeah. Yeah. So you could do, you can add additional fields, um, where you just mark them as searchable,
[00:55:03.760 --> 00:55:08.720]   and then they would get searched as part of the full text search. Uh, so I think we even start off with
[00:55:08.720 --> 00:55:12.400]   three different searchable fields, but you can, yeah, you can add fields, you mark them as searchable,
[00:55:12.400 --> 00:55:16.800]   then they'll get searched as part of the full text search. In terms of the vector, only what you
[00:55:16.800 --> 00:55:21.680]   vectorize will be searched. So if you do really want something to be searched in the vector search,
[00:55:21.680 --> 00:55:25.520]   then you'd want to do like what's called a content stuffing or content expansion, which is where you
[00:55:25.520 --> 00:55:31.200]   take everything and you stuff it into the same field and then you vectorize it. Um, which is totally
[00:55:31.200 --> 00:55:35.840]   something you can try if you think it's going to be useful for vector. But I, I like, I have to like
[00:55:35.840 --> 00:55:41.120]   really warn about vectors is that you, you just want to be careful with your vectors because sometimes we
[00:55:41.120 --> 00:55:46.320]   like put too much faith in, in vectors. Like I'll show you like the blog post I did, uh, last week where I
[00:55:46.320 --> 00:55:58.640]   ran, um, I ran, um, I ran the, the, the stats. Um, so vector search is not enough, right? But look at the stats, uh, down here. Um, the other thing you should do is evaluate.
[00:55:58.640 --> 00:56:12.960]   Okay. So if I did, this is a text only search, it got a groundedness rating of 4.87, which is fairly high. And, um, I only was able to get 0.02 improvement by moving to text plus vector.
[00:56:12.960 --> 00:56:27.920]   So you'll hear a lot about vector, but, but please remember to use hybrid and to use good hybrid. So if you just, if you just blindly like, you know, you just combine vector and text and kind of just use a basic algorithm, which is the reciprocal rank fusion algorithm,
[00:56:27.920 --> 00:56:36.960]   then you'll actually get pretty poor results. Cause those vector results. Cause you have to remember with, uh, when you do vectors and you do a search cross vectors, you will always get results.
[00:56:36.960 --> 00:56:47.440]   Cause it's going to give you the most similar, even if it's really far apart. Right? So that's the danger of vector search is that you're always going to get results. And those results might be noisy. They might be distraction.
[00:56:47.440 --> 00:56:57.200]   And if you distract an LLM, it is very, very distractible. So, um, yeah, so, so the best, like with Azure AI search, this is the AI search.
[00:56:57.200 --> 00:57:06.240]   The best results is if you do hybrid with their semantic ranker model. And that's an additional machine learning model that actually reranks results according to the original user query.
[00:57:06.240 --> 00:57:15.920]   And so that's the only way in my experience that I can use vectors and actually get, you know, get back to the results of a, uh, you know, better than a full tech search.
[00:57:15.920 --> 00:57:20.960]   So just to, just to plead, uh, evaluate and be careful with your vectors.
[00:57:20.960 --> 00:57:34.080]   Any, any other question or do you want us to repeat like one of the apps we can go over slowly, making sure that you are getting every little step?
[00:57:34.080 --> 00:57:40.320]   Cause some people were having issues with the key and not able to run it.
[00:57:40.320 --> 00:57:43.120]   Uh, it's good, but we can also walk, like walk around, right?
[00:57:43.120 --> 00:57:44.000]   Yeah. Yeah.
[00:57:44.000 --> 00:57:44.800]   Yeah. Uh, like, okay.
[00:57:44.800 --> 00:57:52.480]   I have a question then for you. Uh, were any, like, were you able to get at least one thing running?
[00:57:52.480 --> 00:58:02.480]   Okay. Anybody didn't get anything running? Like have no idea what we are doing? Okay. So we are going to help you.
[00:58:02.480 --> 00:58:20.640]   Um, you, you didn't get anything running? Okay. And before that, I know that some people will probably walk around, um, but I really, really want something from you all.
[00:58:20.640 --> 00:58:30.640]   So, uh, one of the things that I want you all and you can save for later because this is very important for us is like, we love feedback.
