
[00:00:00.000 --> 00:00:01.400]   Let's bring him out.
[00:13:44.320 --> 00:13:47.120]   people aren't able to do these big budget spectacles
[00:13:47.120 --> 00:13:49.960]   like we are, because most people don't even
[00:13:49.960 --> 00:13:51.720]   get anywhere near that kind of viewership.
[00:13:51.720 --> 00:13:54.720]   And so it's like the beauty is creating the model where
[00:13:54.720 --> 00:13:56.760]   we turn around and we use that to sell products,
[00:13:56.760 --> 00:13:58.360]   sell a couple hundred million of that a year,
[00:13:58.360 --> 00:14:00.600]   and then we use that to put it back into the content.
[00:14:00.600 --> 00:14:05.320]   Is there pressure to tone down, like, the consumerism
[00:14:05.320 --> 00:14:07.000]   or the giving away money?
[00:14:07.000 --> 00:14:07.760]   Like, do some--
[00:14:07.760 --> 00:14:09.260]   I'm sure there's a faction of people
[00:14:09.260 --> 00:14:11.600]   that either find that offensive or they
[00:14:11.600 --> 00:14:13.160]   think it's exploitative.
[00:14:13.160 --> 00:14:14.800]   How do you deal with that?
[00:14:14.800 --> 00:14:15.300]   No?
[00:14:15.300 --> 00:14:17.400]   No, not really, to be honest.
[00:14:17.400 --> 00:14:19.480]   Most people think it's cool, because it's
[00:14:19.480 --> 00:14:22.760]   kind of fun to watch someone receive $10,000
[00:14:22.760 --> 00:14:24.440]   or a Lamborghini or a house.
[00:14:24.440 --> 00:14:26.480]   Like, the last thing we did was I ordered pizza
[00:14:26.480 --> 00:14:27.680]   and I tipped the guy a house.
[00:14:27.680 --> 00:14:28.180]   And like--
[00:14:28.180 --> 00:14:29.640]   [LAUGHTER]
[00:14:29.640 --> 00:14:31.440]   I thought that was cool.
[00:14:31.440 --> 00:14:32.680]   Not bad.
[00:14:32.680 --> 00:14:34.800]   I actually ordered two pizzas, one from Domino's
[00:14:34.800 --> 00:14:35.600]   and one from Pizza Hut.
[00:14:35.600 --> 00:14:37.520]   And the guy who got there first got the house.
[00:14:37.520 --> 00:14:38.320]   I mean, there was--
[00:14:38.320 --> 00:14:38.820]   [LAUGHTER]
[00:14:38.820 --> 00:14:40.560]   So the Domino's guy got it.
[00:14:40.560 --> 00:14:41.640]   So I ordered Domino's.
[00:14:41.640 --> 00:14:43.640]   I think, like, no, but didn't you do something--
[00:14:43.640 --> 00:14:45.320]   it was curing blindness?
[00:14:45.320 --> 00:14:45.820]   Yes.
[00:14:45.820 --> 00:14:46.840]   Yeah, it would help the 1,000 blind people see.
[00:14:46.840 --> 00:14:48.040]   There was, like, 10 Karens who got upset,
[00:14:48.040 --> 00:14:48.800]   and people were like--
[00:14:48.800 --> 00:14:49.800]   But there were people, right?
[00:14:49.800 --> 00:14:51.960]   Like, 10 Karens got upset, and it was like, really?
[00:14:51.960 --> 00:14:53.560]   At the end of the day, as long as I
[00:14:53.560 --> 00:14:56.200]   think what I'm doing is good and helping people, like--
[00:14:56.200 --> 00:14:58.040]   obviously, at the scale of our views,
[00:14:58.040 --> 00:14:59.480]   that video got 200 million views.
[00:14:59.480 --> 00:15:02.560]   Of course, some subsection is going to be mad.
[00:15:02.560 --> 00:15:05.320]   It's just kind of, at that number,
[00:15:05.320 --> 00:15:07.120]   it's just inevitable that people will be unhappy.
[00:15:07.120 --> 00:15:09.840]   There's a piece of your business that actually many people
[00:15:09.840 --> 00:15:12.240]   probably don't know about outside the commercial part,
[00:15:12.240 --> 00:15:13.480]   which is Beats Philanthropy.
[00:15:13.480 --> 00:15:13.680]   Yeah.
[00:15:13.680 --> 00:15:15.600]   Do you want to tell people about the size of the food bank
[00:15:15.600 --> 00:15:17.640]   you've built and how that works?
[00:15:17.640 --> 00:15:18.520]   Sure.
[00:15:18.520 --> 00:15:21.360]   So I just-- I feel we're talking about it myself,
[00:15:21.360 --> 00:15:23.560]   but we essentially just started a charity
[00:15:23.560 --> 00:15:25.880]   and then made a YouTube channel where, you know,
[00:15:25.880 --> 00:15:28.400]   whatever we do with the money from the charity, we film it.
[00:15:28.400 --> 00:15:30.280]   So then it generates revenue on the back end.
[00:15:30.280 --> 00:15:32.000]   And obviously, those videos go on
[00:15:32.000 --> 00:15:33.600]   to raise a lot of money for donations.
[00:15:33.600 --> 00:15:36.440]   And so it's just kind of a cycle where we upload a video a week,
[00:15:36.440 --> 00:15:38.480]   and we were able to build a couple of food banks
[00:15:38.480 --> 00:15:40.240]   and feed a couple hundred thousand people,
[00:15:40.240 --> 00:15:41.040]   that kind of stuff.
[00:15:41.040 --> 00:15:44.440]   [APPLAUSE]
[00:15:48.000 --> 00:15:52.520]   Do you want to talk about the business model in the future?
[00:15:52.520 --> 00:15:54.960]   So you have basically this YouTube business.
[00:15:54.960 --> 00:15:55.440]   Yeah.
[00:15:55.440 --> 00:15:59.680]   And that goal is essentially just maximize growth.
[00:15:59.680 --> 00:16:01.320]   Yeah, just make content people want
[00:16:01.320 --> 00:16:02.640]   and get as many views as possible.
[00:16:02.640 --> 00:16:04.640]   And as J. Cal said, build distribution and direct it
[00:16:04.640 --> 00:16:05.920]   at these old legacy companies.
[00:16:05.920 --> 00:16:07.600]   Are there things-- but you said you
[00:16:07.600 --> 00:16:09.560]   wanted to do things that were just like--
[00:16:09.560 --> 00:16:11.200]   it seemed less offline, right?
[00:16:11.200 --> 00:16:14.080]   So I'm sure you looked at online things.
[00:16:14.080 --> 00:16:15.200]   Yeah.
[00:16:15.200 --> 00:16:16.880]   I mean, right now, it's just like--
[00:16:16.880 --> 00:16:19.600]   the reason we started with chocolate is, obviously,
[00:16:19.600 --> 00:16:21.160]   in the last 50 years, there hasn't
[00:16:21.160 --> 00:16:24.160]   been any major chocolate company that has spawned up.
[00:16:24.160 --> 00:16:25.880]   Like Hershey's, Limp, Mars, Farrar,
[00:16:25.880 --> 00:16:27.240]   they're all like 100 years old.
[00:16:27.240 --> 00:16:28.960]   And so it's kind of just a sleepy space
[00:16:28.960 --> 00:16:30.280]   where they don't really innovate,
[00:16:30.280 --> 00:16:32.560]   and it's kind of boring, and no one really cares.
[00:16:32.560 --> 00:16:34.700]   And so obviously, eventually, we'll
[00:16:34.700 --> 00:16:36.080]   do online because it's much easier
[00:16:36.080 --> 00:16:38.540]   to get people to download an app to buy a physical product.
[00:16:38.540 --> 00:16:41.040]   But it's just kind of perfect because the shelf space never
[00:16:41.040 --> 00:16:42.760]   changed, and people want something new.
[00:16:42.760 --> 00:16:47.160]   And so it was easy to take over.
[00:16:47.160 --> 00:16:51.160]   How big is that business for you, can you say?
[00:16:51.160 --> 00:16:52.320]   This is our second year.
[00:16:52.320 --> 00:16:53.920]   We'll do a couple hundred million.
[00:16:53.920 --> 00:16:54.840]   Wow.
[00:16:54.840 --> 00:16:55.340]   OK, wait.
[00:16:55.340 --> 00:16:57.760]   So we just guessed about the math here.
[00:16:57.760 --> 00:17:02.400]   You said a billion views a month at $5 CPM.
[00:17:02.400 --> 00:17:04.320]   So it's $5 million a month for the video,
[00:17:04.320 --> 00:17:05.840]   so $60 million a year.
[00:17:05.840 --> 00:17:08.360]   And the chocolate bars will do $200?
[00:17:08.360 --> 00:17:10.160]   I mean, we're not really public about it,
[00:17:10.160 --> 00:17:11.440]   but it'll do a lot of revenue.
[00:17:11.440 --> 00:17:14.400]   We'll figure it out.
[00:17:14.400 --> 00:17:16.680]   They'll do something, more than a penny.
[00:17:16.680 --> 00:17:19.080]   What do you think about the success of Prime?
[00:17:19.080 --> 00:17:20.240]   How do you look at that?
[00:17:20.240 --> 00:17:21.760]   Yeah, they're killing it.
[00:17:21.760 --> 00:17:23.440]   Yeah, that's a great case study.
[00:17:23.440 --> 00:17:23.960]   It's just--
[00:17:23.960 --> 00:17:25.280]   Because I heard you can build--
[00:17:25.280 --> 00:17:25.760]   You never--
[00:17:25.760 --> 00:17:28.440]   I heard you can build a million revenue, right?
[00:17:28.440 --> 00:17:30.560]   Well, I don't know about that, or at least I
[00:17:30.560 --> 00:17:31.360]   can't say publicly.
[00:17:31.360 --> 00:17:34.520]   But I can say you never would have thought
[00:17:34.520 --> 00:17:36.800]   tens of millions of kids, or at least millions of kids,
[00:17:36.800 --> 00:17:39.600]   would be so enthusiastic about a sports stream.
[00:17:39.600 --> 00:17:41.360]   It's crazy the kind of demand they've
[00:17:41.360 --> 00:17:44.240]   created, like kids literally collect Prime bottles,
[00:17:44.240 --> 00:17:46.080]   and then TikToks go viral showing off
[00:17:46.080 --> 00:17:48.880]   their collection of drink bottles that are like $3.
[00:17:48.880 --> 00:17:51.000]   Raise your hand if you've got kids that do that.
[00:17:51.000 --> 00:17:52.160]   Yeah, it's wild.
[00:17:52.160 --> 00:17:55.560]   I mean, so Prime was great because obviously it's
[00:17:55.560 --> 00:17:57.480]   a beverage, and the more shelf space you get,
[00:17:57.480 --> 00:17:58.560]   just naturally more sales.
[00:17:58.560 --> 00:18:01.080]   But it was more a lifestyle brand
[00:18:01.080 --> 00:18:04.160]   they created where just kids felt cool drinking it,
[00:18:04.160 --> 00:18:06.520]   and to the point where they would buy a 12 pack for like
[00:18:06.520 --> 00:18:09.880]   $15, and then sell them for like $6 a bottle at their school,
[00:18:09.880 --> 00:18:12.080]   which is like something that happens in almost every school
[00:18:12.080 --> 00:18:12.520]   in America.
[00:18:12.520 --> 00:18:15.480]   It's crazy, still to this day after like a year and a half.
[00:18:15.480 --> 00:18:17.720]   One of the things that I think if you taste Prime
[00:18:17.720 --> 00:18:19.880]   that it has is a ton of sucralose, right?
[00:18:19.880 --> 00:18:24.840]   So it tastes super like bam, big mouth feel.
[00:18:24.840 --> 00:18:29.040]   Where's your thinking on like the line between nutrition
[00:18:29.040 --> 00:18:31.200]   versus just tastes good for the products you have
[00:18:31.200 --> 00:18:32.760]   and the products you want to build,
[00:18:32.760 --> 00:18:34.160]   and where do you want to take that?
[00:18:34.160 --> 00:18:34.480]   Oh, great.
[00:18:34.480 --> 00:18:35.640]   I think that's very important.
[00:18:35.640 --> 00:18:37.960]   That's why our chocolate, we only use four ingredients,
[00:18:37.960 --> 00:18:39.240]   whereas Hershey's uses nine.
[00:18:39.240 --> 00:18:41.720]   Because obviously, since we have this much influence,
[00:18:41.720 --> 00:18:44.160]   we don't want to just make people--
[00:18:44.160 --> 00:18:46.080]   whatever we sell needs to be better than what's
[00:18:46.080 --> 00:18:48.120]   currently on the shelf, or then it's just a net negative.
[00:18:48.120 --> 00:18:48.640]   You know what I mean?
[00:18:48.640 --> 00:18:50.880]   Better for you, higher quality ingredients, et cetera.
[00:18:50.880 --> 00:18:54.480]   So yeah, I mean, in a nutshell, that's kind of how I view it.
[00:18:54.480 --> 00:18:55.880]   And so what are these other areas
[00:18:55.880 --> 00:18:58.240]   and that just make maybe obvious sense
[00:18:58.240 --> 00:19:00.640]   if you could snap your fingers and just--
[00:19:00.640 --> 00:19:02.640]   Yeah, well, I think the simplest thing--
[00:19:02.640 --> 00:19:05.360]   the more I've studied chocolate and see it,
[00:19:05.360 --> 00:19:06.960]   like we started with--
[00:19:06.960 --> 00:19:09.000]   funny enough, we started selling dark chocolate,
[00:19:09.000 --> 00:19:11.080]   which 65% of kids in America don't even like.
[00:19:11.080 --> 00:19:13.960]   So that was kind of dumb, but I didn't know any better.
[00:19:13.960 --> 00:19:16.640]   So I mean, the simplest thing is do milk chocolate, which
[00:19:16.640 --> 00:19:20.280]   is what we're getting into, and then just going down
[00:19:20.280 --> 00:19:22.800]   and maximizing chocolate, like doing Reese's Cups
[00:19:22.800 --> 00:19:24.560]   and that kind of stuff.
[00:19:24.560 --> 00:19:27.100]   So past chocolate, I haven't really thought about it,
[00:19:27.100 --> 00:19:30.000]   because that's basically all I'm thinking about for next year.
[00:19:30.000 --> 00:19:33.080]   Do you think the candy business can be a billion dollar revenue
[00:19:33.080 --> 00:19:33.720]   business?
[00:19:33.720 --> 00:19:34.560]   Oh, yeah, of course.
[00:19:34.560 --> 00:19:35.920]   I mean, look at Hershey's.
[00:19:35.920 --> 00:19:36.760]   What are they doing?
[00:19:36.760 --> 00:19:38.840]   $12 billion a year, Mars, tens of billions.
[00:19:38.840 --> 00:19:41.240]   I mean, in America alone, I think
[00:19:41.240 --> 00:19:43.640]   people spend $25 billion a year on chocolate.
[00:19:43.640 --> 00:19:45.240]   And there's no one in those companies
[00:19:45.240 --> 00:19:46.800]   building a Mr. Beast competitor.
[00:19:46.800 --> 00:19:47.300]   I mean--
[00:19:47.300 --> 00:19:48.080]   From a brand perspective.
[00:19:48.080 --> 00:19:49.000]   There's no one in those companies
[00:19:49.000 --> 00:19:49.720]   that build the companies.
[00:19:49.720 --> 00:19:50.880]   They're like 100 years old.
[00:19:50.880 --> 00:19:51.880]   Yeah.
[00:19:51.880 --> 00:19:53.280]   They're all dead.
[00:19:53.280 --> 00:19:55.040]   But yeah.
[00:19:55.040 --> 00:19:58.000]   How do you-- you must have a ton of inbound
[00:19:58.000 --> 00:20:02.160]   to do things outside of the Mr. Beast realm, Hollywood, et
[00:20:02.160 --> 00:20:02.920]   cetera.
[00:20:02.920 --> 00:20:06.200]   How do you sort through all the inbound opportunities
[00:20:06.200 --> 00:20:07.520]   and then organize?
[00:20:07.520 --> 00:20:08.920]   Because you could, I would suspect,
[00:20:08.920 --> 00:20:10.720]   be drowning in opportunity at this point
[00:20:10.720 --> 00:20:11.960]   with this level of notoriety.
[00:20:11.960 --> 00:20:12.460]   Yeah.
[00:20:12.460 --> 00:20:15.120]   That's why we are where we are is because we just
[00:20:15.120 --> 00:20:18.080]   laser focus on one thing for essentially my entire life.
[00:20:18.080 --> 00:20:19.520]   And so it's pretty easy.
[00:20:19.520 --> 00:20:20.920]   I just say no.
[00:20:20.920 --> 00:20:21.640]   Everything.
[00:20:21.640 --> 00:20:26.680]   And then, yeah, because it's like, obviously,
[00:20:26.680 --> 00:20:29.400]   to make the videos of the caliber we need,
[00:20:29.400 --> 00:20:31.720]   it's just like that's been my obsession for the last 14
[00:20:31.720 --> 00:20:33.520]   years, almost every waking hour of the day,
[00:20:33.520 --> 00:20:37.120]   just obsessing over every little thing.
[00:20:37.120 --> 00:20:39.640]   Even simple things like when you click on a video,
[00:20:39.640 --> 00:20:41.120]   the brightness in the video matters.
[00:20:41.120 --> 00:20:42.720]   Like if it's a little too dark, people
[00:20:42.720 --> 00:20:44.520]   are more apt to click off and not watch it
[00:20:44.520 --> 00:20:46.920]   because not everyone has their phone screen brightness turned
[00:20:46.920 --> 00:20:46.920]   up.
[00:20:46.920 --> 00:20:49.320]   You did something with your mouth being open or closed
[00:20:49.320 --> 00:20:51.320]   in the thumbnail and it changed click-throughs.
[00:20:51.320 --> 00:20:52.360]   That was a new A/B test.
[00:20:52.360 --> 00:20:55.360]   Well, the problem is whatever I do, a bunch of other people do.
[00:20:55.360 --> 00:20:57.480]   And I started opening my mouth in my thumbnails.
[00:20:57.480 --> 00:20:58.600]   And it's kind of annoying.
[00:20:58.600 --> 00:21:00.480]   And then a bunch of other creators did it.
[00:21:00.480 --> 00:21:02.600]   And I was like, OK, we're not doing this anymore.
[00:21:02.600 --> 00:21:03.640]   So I switched them back.
[00:21:03.640 --> 00:21:04.880]   So everyone else will switch them back.
[00:21:04.880 --> 00:21:06.640]   What's the budget on each video now?
[00:21:06.640 --> 00:21:09.840]   So every two weeks, how much money goes into that video?
[00:21:09.840 --> 00:21:12.040]   I think right now it's around $2.5 million per video.
[00:21:12.040 --> 00:21:12.560]   Oh, OK.
[00:21:12.560 --> 00:21:13.200]   Yeah.
[00:21:13.200 --> 00:21:14.440]   That's like making an independent film
[00:21:14.440 --> 00:21:15.160]   every two weeks.
[00:21:15.160 --> 00:21:15.660]   Yeah.
[00:21:15.660 --> 00:21:17.520]   I mean, I don't think it's that crazy, though,
[00:21:17.520 --> 00:21:20.280]   because they're getting like 100 million views in seven days.
[00:21:20.280 --> 00:21:23.580]   So if any other medium outside of social media
[00:21:23.580 --> 00:21:24.920]   that got that kind of viewership,
[00:21:24.920 --> 00:21:26.160]   their budget would be like 50x.
[00:21:26.160 --> 00:21:26.520]   You know what I mean?
[00:21:26.520 --> 00:21:27.040]   Absolutely.
[00:21:27.040 --> 00:21:27.560]   Yeah.
[00:21:27.560 --> 00:21:29.400]   Do you think that you're building a library?
[00:21:29.400 --> 00:21:32.600]   Do you expect that the video that you created,
[00:21:32.600 --> 00:21:35.680]   the Olympic games thing you did a few weeks ago, in five years,
[00:21:35.680 --> 00:21:37.440]   that that'll still be--
[00:21:37.440 --> 00:21:40.040]   that'll have some value 15 years from now?
[00:21:40.040 --> 00:21:41.080]   Well, 15, I don't know.
[00:21:41.080 --> 00:21:41.800]   But five, yes.
[00:21:41.800 --> 00:21:43.760]   Usually, whenever we upload a piece of content,
[00:21:43.760 --> 00:21:46.000]   we'll get a couple million views a month for--
[00:21:46.000 --> 00:21:47.320]   as of right now, forever.
[00:21:47.320 --> 00:21:49.400]   But obviously, eventually, it'll probably die off.
[00:21:49.400 --> 00:21:50.960]   But they're usually pretty evergreen.
[00:21:50.960 --> 00:21:53.720]   Because right now, because we have the model where
[00:21:53.720 --> 00:21:55.600]   we're making money outside of YouTube so I can spend more,
[00:21:55.600 --> 00:21:58.400]   it's like you have this video that's $2.5 million budget,
[00:21:58.400 --> 00:22:00.880]   or another video that's $2,500 budget.
[00:22:00.880 --> 00:22:02.880]   And so right now, usually people end up
[00:22:02.880 --> 00:22:04.480]   just clicking on the cooler stuff.
[00:22:04.480 --> 00:22:07.920]   And then how do you think about just the axis of going
[00:22:07.920 --> 00:22:09.000]   outside the United States?
[00:22:09.000 --> 00:22:10.840]   So different languages, different countries,
[00:22:10.840 --> 00:22:12.560]   how do you deal with that?
[00:22:12.560 --> 00:22:13.400]   That's the best part.
[00:22:13.400 --> 00:22:16.120]   So as you know, we hired voice actors
[00:22:16.120 --> 00:22:17.720]   to dub our videos in every language.
[00:22:17.720 --> 00:22:20.880]   And I assume a lot of you guys here are content creators.
[00:22:20.880 --> 00:22:23.920]   And the crazy part is only 10% of the world speaks English.
[00:22:23.920 --> 00:22:25.720]   So if your content's only in English,
[00:22:25.720 --> 00:22:28.760]   it's pretty hard to obviously reach most of the world,
[00:22:28.760 --> 00:22:29.520]   even subtitles.
[00:22:29.520 --> 00:22:31.200]   Most people don't prefer it.
[00:22:31.200 --> 00:22:34.920]   So if you dub your videos, hire voice actors or whatever,
[00:22:34.920 --> 00:22:36.320]   your viewership will skyrocket.
[00:22:36.320 --> 00:22:38.720]   And so right now, over half the people that watch my videos
[00:22:38.720 --> 00:22:41.800]   don't even speak English, which is pretty crazy.
[00:22:41.800 --> 00:22:44.120]   Tell me about the relationship with YouTube
[00:22:44.120 --> 00:22:45.760]   and how that's evolved over the years.
[00:22:45.760 --> 00:22:48.320]   Because I don't know they anticipated
[00:22:48.320 --> 00:22:52.280]   that the footprint of the top creators on YouTube
[00:22:52.280 --> 00:22:54.120]   would get so large.
[00:22:54.120 --> 00:22:57.280]   Are they deeply involved in communicating with you?
[00:22:57.280 --> 00:22:59.200]   Or are they just like, hey, we're a platform.
[00:22:59.200 --> 00:23:00.480]   Post a video if you like it.
[00:23:00.480 --> 00:23:01.760]   It's that.
[00:23:01.760 --> 00:23:03.600]   That's extraordinary to me.
[00:23:03.600 --> 00:23:05.520]   I mean, I kind of like it because then no one
[00:23:05.520 --> 00:23:08.560]   can say there's favoritism or they're helping us in any way.
[00:23:08.560 --> 00:23:10.840]   But agreed, even when I was coming up,
[00:23:10.840 --> 00:23:12.680]   people were getting 10 million views a video.
[00:23:12.680 --> 00:23:14.480]   And that was mind-blowing.
[00:23:14.480 --> 00:23:17.080]   And their lifecycle would be like a year, and they'd fall off.
[00:23:17.080 --> 00:23:18.320]   So it's kind of crazy.
[00:23:18.320 --> 00:23:20.480]   I don't really know how we ended up getting this big.
[00:23:20.480 --> 00:23:22.040]   Was there ever a thought to tell them,
[00:23:22.040 --> 00:23:25.200]   I need to make a higher minimum per RPM,
[00:23:25.200 --> 00:23:28.320]   and I'd like to cut a deal with you to hit these numbers
[00:23:28.320 --> 00:23:29.440]   and be treated differently?
[00:23:29.440 --> 00:23:31.760]   They'd be like, well, then everyone's going to want that.
[00:23:31.760 --> 00:23:33.280]   Because if they do it with me, then they
[00:23:33.280 --> 00:23:34.360]   would open the floodgates.
[00:23:34.360 --> 00:23:36.920]   They would just tell me, spend less money.
[00:23:36.920 --> 00:23:37.420]   Got it.
[00:23:37.420 --> 00:23:37.920]   Interesting.
[00:23:37.920 --> 00:23:40.120]   Because no one's forcing me to spend this much money.
[00:23:40.120 --> 00:23:42.000]   It's kind of the problem.
[00:23:42.000 --> 00:23:45.040]   Technically, most people don't spend hardly any money.
[00:23:45.040 --> 00:23:46.640]   But there was a moment in time where
[00:23:46.640 --> 00:23:50.320]   Microsoft started stealing away some YouTubers and folks
[00:23:50.320 --> 00:23:51.840]   for their Twitch competitor.
[00:23:51.840 --> 00:23:53.400]   Did you get those kind of offers?
[00:23:53.400 --> 00:23:54.880]   And then how did you evaluate them?
[00:23:54.880 --> 00:23:57.200]   Well, the problem is, like I said at the start,
[00:23:57.200 --> 00:23:58.720]   YouTube's where all the viewers are.
[00:23:58.720 --> 00:24:01.000]   So it's like, sure, you can get a little bit of money.
[00:24:01.000 --> 00:24:02.620]   But ultimately, the real game is if you
[00:24:02.620 --> 00:24:05.640]   can get a billion views a month for 10 years,
[00:24:05.640 --> 00:24:09.320]   whatever, the amount of brands we could build is insane.
[00:24:09.320 --> 00:24:11.120]   It is the great success of YouTube
[00:24:11.120 --> 00:24:12.880]   that they've hit this level of scale.
[00:24:12.880 --> 00:24:13.400]   Exactly.
[00:24:13.400 --> 00:24:14.960]   And the features and stuff on that,
[00:24:14.960 --> 00:24:16.160]   YouTube is the only platform right now
[00:24:16.160 --> 00:24:18.320]   where you can upload a video in different languages.
[00:24:18.320 --> 00:24:21.440]   So if someone clicks my video in Mexico, I'll speak Spanish.
[00:24:21.440 --> 00:24:22.720]   Whereas if you click it in America, I'll speak English.
[00:24:22.720 --> 00:24:24.800]   That feature is in beta right now.
[00:24:24.800 --> 00:24:26.880]   Yeah, well, they've rolled it out to other people.
[00:24:26.880 --> 00:24:29.080]   On TikTok, Facebook, no other platform can you do that.
[00:24:29.080 --> 00:24:30.840]   So YouTube's the only place right now where you can
[00:24:30.840 --> 00:24:32.200]   actually have a global audience.
[00:24:32.200 --> 00:24:33.960]   Do you provide the voiceover person,
[00:24:33.960 --> 00:24:35.560]   or is that done automatically?
[00:24:35.560 --> 00:24:38.800]   Because they're working on an automatic version, I was told.
[00:24:38.800 --> 00:24:40.600]   For the first or the next two years,
[00:24:40.600 --> 00:24:41.480]   it'll probably sound terrible.
[00:24:41.480 --> 00:24:43.920]   But of course, at some time in the near future,
[00:24:43.920 --> 00:24:45.360]   AI dubbing will--
[00:24:45.360 --> 00:24:47.760]   We get hit up about that all the time for the all-important
[00:24:47.760 --> 00:24:47.960]   things.
[00:24:47.960 --> 00:24:50.320]   Right now, I've trained a ton of different voice models.
[00:24:50.320 --> 00:24:51.480]   They all sound terrible.
[00:24:51.480 --> 00:24:53.680]   But it is obviously getting better very quickly.
[00:24:53.680 --> 00:24:56.240]   Have you published any to see what the viewership looks like?
[00:24:56.240 --> 00:24:58.680]   Yeah, AIME versus real voice actors?
[00:24:58.680 --> 00:24:59.160]   We have.
[00:24:59.160 --> 00:25:02.240]   And it's usually-- so if it's a one-minute video,
[00:25:02.240 --> 00:25:04.680]   and the retention with normal voice actors is 45 seconds,
[00:25:04.680 --> 00:25:05.400]   it'll be like 42.
[00:25:05.400 --> 00:25:07.080]   But it'll also be a lot of comments like,
[00:25:07.080 --> 00:25:08.360]   why does he sound slightly off?
[00:25:08.360 --> 00:25:10.600]   So the retention isn't as bad as you would think,
[00:25:10.600 --> 00:25:11.920]   but it's still like--
[00:25:11.920 --> 00:25:13.560]   You can tell the quality score's lower.
[00:25:13.560 --> 00:25:15.440]   Yeah, exactly.
[00:25:15.440 --> 00:25:17.400]   The thing is, when you're using dubs,
[00:25:17.400 --> 00:25:18.520]   you're already at a disadvantage.
[00:25:18.520 --> 00:25:19.640]   Because they can choose to watch someone
[00:25:19.640 --> 00:25:21.280]   in their native language or watch you
[00:25:21.280 --> 00:25:23.240]   with a guy speaking over your lips.
[00:25:23.240 --> 00:25:25.160]   And so if it's not as good as--
[00:25:25.160 --> 00:25:27.040]   you're already down here a little bit worse.
[00:25:27.040 --> 00:25:29.840]   And then if you use AI dubbing, it's even worse.
[00:25:29.840 --> 00:25:34.280]   I think video games are six times the revenue for movies
[00:25:34.280 --> 00:25:34.800]   today.
[00:25:34.800 --> 00:25:36.800]   Have you thought about video games?
[00:25:36.800 --> 00:25:38.280]   I've got to assume folks have approached you.
[00:25:38.280 --> 00:25:39.640]   And how do you think about the video game industry?
[00:25:39.640 --> 00:25:41.520]   Because you have a lot of audience overlap,
[00:25:41.520 --> 00:25:42.360]   I've got to imagine.
[00:25:42.360 --> 00:25:43.520]   Yeah.
[00:25:43.520 --> 00:25:45.040]   To be honest, I tried to build one.
[00:25:45.040 --> 00:25:47.800]   And then six months in, I was like, oh,
[00:25:47.800 --> 00:25:48.800]   these things take years.
[00:25:48.800 --> 00:25:50.800]   And then I was like, I'd rather sell chocolate.
[00:25:50.800 --> 00:25:53.240]   So yeah, that was kind of the extent of it.
[00:25:53.240 --> 00:25:54.780]   I mean, obviously, it's a no-brainer.
[00:25:54.780 --> 00:25:57.080]   Because it's much easier just to tell people to download it.
[00:25:57.080 --> 00:25:59.360]   Just click the link in the description and download it.
[00:25:59.360 --> 00:26:00.720]   But I've just found that--
[00:26:00.720 --> 00:26:02.360]   I don't know.
[00:26:02.360 --> 00:26:03.760]   I just keep going back to it.
[00:26:03.760 --> 00:26:07.080]   Making confectionery products is just so much more fun.
[00:26:07.080 --> 00:26:10.640]   And 100 million people are walking to Walmart every month.
[00:26:10.640 --> 00:26:12.360]   And if you don't have a product there,
[00:26:12.360 --> 00:26:13.360]   there's nothing for them to buy.
[00:26:13.360 --> 00:26:15.120]   And so I just want to maximize that,
[00:26:15.120 --> 00:26:18.000]   getting something in every retailer in America first.
[00:26:18.000 --> 00:26:19.920]   One of the things that you've done
[00:26:19.920 --> 00:26:24.640]   is you've mentored younger content creators coming up.
[00:26:24.640 --> 00:26:26.260]   Who are people that you look at that
[00:26:26.260 --> 00:26:28.420]   are creating things that you think are interesting,
[00:26:28.420 --> 00:26:29.860]   whether it's formats or--
[00:26:29.860 --> 00:26:30.340]   I'm curious.
[00:26:30.340 --> 00:26:32.420]   How many of you guys make content out there?
[00:26:32.420 --> 00:26:33.900]   Like, anything?
[00:26:33.900 --> 00:26:34.660]   OK.
[00:26:34.660 --> 00:26:36.580]   I mean, we do.
[00:26:36.580 --> 00:26:37.220]   A little bit.
[00:26:37.220 --> 00:26:37.720]   I guess so.
[00:26:37.720 --> 00:26:38.900]   Actually, do you have--
[00:26:38.900 --> 00:26:39.940]   I guess we're podcasters.
[00:26:39.940 --> 00:26:40.980]   --tips for us?
[00:26:40.980 --> 00:26:43.700]   I mean, our viewership on YouTube
[00:26:43.700 --> 00:26:45.180]   is embarrassingly small compared to--
[00:26:45.180 --> 00:26:46.540]   One of the things he did first was
[00:26:46.540 --> 00:26:48.420]   he ripped apart our thumbnails.
[00:26:48.420 --> 00:26:48.920]   Oh, yeah?
[00:26:48.920 --> 00:26:50.540]   He said our thumbnails were total shit.
[00:26:50.540 --> 00:26:51.180]   I mean, that's--
[00:26:51.180 --> 00:26:51.680]   Remember?
[00:26:51.680 --> 00:26:52.900]   And we gave that to Nick.
[00:26:52.900 --> 00:26:53.140]   Yeah.
[00:26:53.140 --> 00:26:53.780]   Was I joking?
[00:26:53.780 --> 00:26:54.420]   Or was I being serious?
[00:26:54.420 --> 00:26:55.160]   No, you were telling us.
[00:26:55.160 --> 00:26:56.360]   I think you guys, like--
