
[00:00:00.000 --> 00:00:02.000]   New on CuriosityStream.
[00:27:56.000 --> 00:27:59.000]   I'll give you the short version now, but here's how you should approach it.
[00:27:59.000 --> 00:28:10.000]   Number one, as long as you can keep the separation here between your business and your personal life, and I think you can, you've already had credit cards issued in the name of your business tax ID.
[00:28:10.000 --> 00:28:19.000]   So everything that relates to building up your credit is exactly the same as relates to your own personal scenario.
[00:28:19.000 --> 00:28:24.000]   So you should consistently apply for new credit that's available to you.
[00:28:24.000 --> 00:28:28.000]   Now, first, don't fall under the mistake to think that it's all or nothing.
[00:28:28.000 --> 00:28:46.000]   If you have a $21,000 balance and let's say you apply for a new card and you are issued a new card with $5,000, you will have the $5,000 credit limit and you can move $5,000 over to it with a 0% introductory interest rate and a 3% balance transfer fee.
[00:28:46.000 --> 00:28:55.000]   That $5,000 transfer will save you $850 of annual interest coming out to $70 per month.
[00:28:55.000 --> 00:28:57.000]   So it's still in your best interest to do that.
[00:28:57.000 --> 00:29:18.000]   The second reason you should do this is by making that application and that transfer with that new $5,000 card, you will increase the total credit that's available to your business, thus decreasing your utilization ratio, which will enhance your business credit score, which will enhance your opportunities to apply for more credit.
[00:29:18.000 --> 00:29:30.000]   So anytime you can increase the available credit to you, you'll become a better borrower in the eyes of the credit scoring system and that will help you to have access to more credit at better rates.
[00:29:30.000 --> 00:29:38.000]   Very rarely would you ever be able to take a $21,000 credit card and apply for a new one and have a new $21,000 credit card issued.
[00:29:38.000 --> 00:29:49.000]   But even if you have a $5,000 or $10,000 credit card issued, you should still move $5,000 or $10,000 of your debt over to that new card.
[00:29:49.000 --> 00:29:59.000]   And then what you do is you just reprioritize your debt repayment schedule and then you prioritize paying off the expensive debt and you deprioritize the payments to the cheaper debt.
[00:29:59.000 --> 00:30:17.000]   Now, in addition, don't think that you only can transfer balances by applying for a card that allows you to, that permits you to transfer the balance as a balance transfer.
[00:30:17.000 --> 00:30:26.000]   There are multiple ways for you to make and to move your money over to the card.
[00:30:26.000 --> 00:30:30.000]   So there are three ways that you can use money that's available to you, available credit.
[00:30:30.000 --> 00:30:33.000]   They're purchases, cash advances, and balance transfers.
[00:30:33.000 --> 00:30:39.000]   So you may apply for a card that has a favorable balance transfer fee and you may be denied.
[00:30:39.000 --> 00:30:49.000]   But maybe if you applied for a card that was offering a low fixed rate introductory rate for purchases under your business ID, you could go ahead and qualify for that.
[00:30:49.000 --> 00:30:58.000]   And so then you would just start using that business card for any expenses that you could charge to it in your business, while then using the freed up cash flow to pay off the old card.
[00:30:58.000 --> 00:31:01.000]   So don't think that you have to have a balance transfer fee.
[00:31:01.000 --> 00:31:03.000]   And then later on go and pay.
[00:31:03.000 --> 00:31:05.000]   Exactly. Exactly. Makes sense.
[00:31:05.000 --> 00:31:16.000]   I got you. If it's 0% APR for 12 months, then I would just do all my purchases on that. Let it kind of store up there for a while while I'm sending all my money to the old card.
[00:31:16.000 --> 00:31:23.000]   And then try as hard as I can once I'm done paying that card down to pay down the 0% APR card.
[00:31:23.000 --> 00:31:26.000]   Exactly. Exactly. And then what you'll do is you'll do this several times.
[00:31:26.000 --> 00:31:32.000]   So today you may apply for a new card and you may make multiple credit applications next week.
[00:31:32.000 --> 00:31:35.000]   And you apply for three or four cards all at once next week.
[00:31:35.000 --> 00:31:37.000]   And we go over this in the course.
[00:31:37.000 --> 00:31:44.000]   In general, when you're making credit applications, you should make all your credit applications all at one time and do this about every 91 days or so.
[00:31:44.000 --> 00:31:48.000]   So you sit down, you apply for three or four new cards in the name of your business.
[00:31:48.000 --> 00:31:54.000]   And when you make that application, then some of them may be approved, some of them may not be approved.
[00:31:54.000 --> 00:31:59.000]   But whatever gets approved, then you take that and you figure out how do I use this card effectively.
[00:31:59.000 --> 00:32:08.000]   And you pursue the strategy I just laid out that you affirmed of if you're issued a balance transfer fee card, then you transfer a little bit of balance over to it.
[00:32:08.000 --> 00:32:12.000]   If you're issued a low introductory purchase rate card, then you switch to that.
[00:32:12.000 --> 00:32:15.000]   And then three months from now, you sit down and you do it again.
[00:32:15.000 --> 00:32:16.000]   And then three months from now, you do it again.
[00:32:16.000 --> 00:32:26.000]   And you keep doing this process, always refinancing your older, more expensive debt to whatever your best offer is that's available now until you get the total balance to zero.
[00:32:26.000 --> 00:32:30.000]   I see. Okay.
[00:32:30.000 --> 00:32:31.000]   Okay.
[00:32:31.000 --> 00:32:34.000]   Well, cool. I'm looking forward to your course.
[00:32:34.000 --> 00:32:35.000]   Absolutely.
[00:32:35.000 --> 00:32:53.000]   And specifically, if you didn't hear it before, I would commend to you go back and listen to episode 368 of Radical Personal Finance, which was an interview titled "How to Establish, Build, and Utilize Your Business Credit," interview with Ty Crandall from Creditsuite.com.
[00:32:53.000 --> 00:32:57.000]   He has some information and guides and his content.
[00:32:57.000 --> 00:33:05.000]   Because you're doing this under the business ID, some of his content and resources may also be helpful to you in addition to what I have done.
[00:33:05.000 --> 00:33:08.000]   Everything I have done is focused on personal but is still applicable to business.
[00:33:08.000 --> 00:33:15.000]   But there are some additional things that you might use from his work that is related to your business credit.
[00:33:15.000 --> 00:33:17.000]   We go now to John in Georgia.
[00:33:17.000 --> 00:33:18.000]   John, welcome to the show.
[00:33:18.000 --> 00:33:19.000]   How can I serve you today, sir?
[00:33:19.000 --> 00:33:21.000]   Hi there.
[00:33:21.000 --> 00:33:24.000]   So I had a question about credit cards and privacy, actually.
[00:33:24.000 --> 00:33:31.000]   So my wife and I have had good luck with churning and things over the last few years and sort of enjoyed that process.
[00:33:31.000 --> 00:33:36.000]   But from sort of a privacy perspective, that's obviously a pretty risky behavior.
[00:33:36.000 --> 00:33:38.000]   You know, lots of applications.
[00:33:38.000 --> 00:33:39.000]   It makes a huge purchase trend.
[00:33:39.000 --> 00:33:41.000]   That will sell to banks, that kind of thing.
[00:33:41.000 --> 00:33:42.000]   So I'm curious.
[00:33:42.000 --> 00:33:48.000]   Do you have any thoughts on any optimal ways to churn that still minimize one's footprint?
[00:33:48.000 --> 00:33:55.000]   Or in particular, I was wondering, like, are there any unique ways that we can leverage the fact that we're a couple in ways that maybe someone who's single can't?
[00:33:55.000 --> 00:34:06.000]   Like, can we separate purchases between banks or isolate, you know, isolate certain categories of purchases to one person or the other to kind of diminish patterns of life being read by both parties?
[00:34:06.000 --> 00:34:07.000]   That kind of thing.
[00:34:07.000 --> 00:34:12.000]   Are there any unique ways we can leverage the fact that we're all over the place?
[00:34:12.000 --> 00:34:13.000]   Interesting question.
[00:34:13.000 --> 00:34:14.000]   I like it.
[00:34:14.000 --> 00:34:21.000]   I want to make sure I understand when you use the term churning specifically, what are you doing and why?
[00:34:21.000 --> 00:34:30.000]   So, yes, this would be applying for credit cards and things like that in order to get the rewards and stuff right to travel points, cash back, those kinds of things.
[00:34:30.000 --> 00:34:32.000]   We're not doing the manufactured spend.
[00:34:32.000 --> 00:34:33.000]   Right.
[00:34:33.000 --> 00:34:39.000]   So we've not yet decided to buy doing gift cards, things like that, partially because I think that's mostly been shut down by this point.
[00:34:39.000 --> 00:34:40.000]   And we're pretty limited.
[00:34:40.000 --> 00:34:42.000]   We're not doing the 40 a year.
[00:34:42.000 --> 00:34:44.000]   We're doing the few a year.
[00:34:44.000 --> 00:34:47.000]   We're just cash flowing and nothing crazy.
[00:34:47.000 --> 00:34:48.000]   Okay.
[00:34:48.000 --> 00:34:49.000]   So it's a good question.
[00:34:49.000 --> 00:34:54.000]   And I think in some ways, let me begin with what should be clear.
[00:34:54.000 --> 00:35:06.000]   I actually have a section in one of my arguments for credit cards is that credit cards specifically and credit card loans can provide a way to privately purchase goods and services.
[00:35:06.000 --> 00:35:09.000]   But, of course, that has varying levels of privacy.
[00:35:09.000 --> 00:35:10.000]   Now, here's the problem.
[00:35:10.000 --> 00:35:16.000]   If we're talking about ultimate privacy, then credit cards are never the most effective tool.
[00:35:16.000 --> 00:35:37.000]   If you are trying to minimize the patterns that are created for you of your purchases and you're trying to compare swiping a credit card when you go buy groceries and gas versus simply paying with physical currency when you go buy groceries and gas, then rather, obviously, the credit card is going to be less private than is the physical currency.
[00:35:37.000 --> 00:35:46.000]   So in general, for somebody who is the most concerned with privacy, you always want to spend using physical currency whenever possible.
[00:35:46.000 --> 00:35:49.000]   And I think we should start with that.
[00:35:49.000 --> 00:35:52.000]   You're not going to get the ultimate privacy using credit cards.
[00:35:52.000 --> 00:35:56.000]   But you can sit down and you can say, well, what am I actually concerned about?
[00:35:56.000 --> 00:36:09.000]   So, for example, is it actually that big of a problem for there to be a physical electronic record of the groceries that I'm purchasing and how much of my diet is devoted to sugar versus meat?
[00:36:09.000 --> 00:36:12.000]   Well, we're not currently taxed on how much sugar we consume every month.
[00:36:12.000 --> 00:36:14.000]   So this is probably a minor risk.
[00:36:14.000 --> 00:36:23.000]   And you can weigh that against the benefits that you're receiving from applying for these cards that are sharing with you points, airline miles, et cetera.
[00:36:23.000 --> 00:36:33.000]   So if you are willing to give up some privacy in exchange for some of the benefits, then I think we could talk about how the credit cards are useful.
[00:36:33.000 --> 00:36:35.000]   So a couple of suggestions for you.
[00:36:35.000 --> 00:36:48.000]   First, credit cards do have more privacy than does using a debit card for everything simply because the specific institutions that are involved in the transaction are mixed up.
[00:36:48.000 --> 00:36:58.000]   So if you think about financial privacy, there are multiple people involved that would have multiple entities involved from which we would desire to maintain privacy.
[00:36:58.000 --> 00:37:00.000]   The first entity would, of course, be the merchant.
[00:37:00.000 --> 00:37:09.000]   Credit cards will not have a significant degree of privacy with the merchant because the credit card has all of your personal information, has the information on what your name is.
[00:37:09.000 --> 00:37:13.000]   And all of that is associated to that one specific credit card number.
[00:37:13.000 --> 00:37:19.000]   So if you are swiping a credit card continually with a merchant, the merchant can always track you as an individual.
[00:37:19.000 --> 00:37:21.000]   So you're not going to have a lot of privacy there.
[00:37:21.000 --> 00:37:27.000]   Another person from whom privacy is the actual entity of the credit card issuer or the bank.
[00:37:27.000 --> 00:37:31.000]   Now, credit cards do buy you privacy from a specific bank.
[00:37:31.000 --> 00:37:43.000]   If, for example, you put all your spending onto a credit card and each month you make one single payment over to that credit card of $2,000 for your monthly transactions, the bank doesn't know what those transactions actually were.
[00:37:43.000 --> 00:37:46.000]   And so this is buying for you some additional privacy.
[00:37:46.000 --> 00:37:48.000]   And I think this is well worth considering.
[00:37:48.000 --> 00:37:52.000]   Compare this, for example, to the time when you go to apply for a mortgage loan.
[00:37:52.000 --> 00:37:58.000]   When you go to apply for a mortgage loan, you're going to be disclosing to your mortgage lender all of your banking records.
[00:37:58.000 --> 00:38:01.000]   And so they'll have a list of everything that you're spending.
[00:38:01.000 --> 00:38:07.000]   If you use your debit card out of your primary checking account for all of those transactions, now you're creating a paper trail with that lender.
[00:38:07.000 --> 00:38:11.000]   And they can look down and they can see, oh, you spent such and such an amount at Walmart.
[00:38:11.000 --> 00:38:13.000]   We spent such and such an amount at the grocery store.
[00:38:13.000 --> 00:38:15.000]   You spent such and such amount buying guns at gun warehouse.
[00:38:15.000 --> 00:38:20.000]   You spent such and such an amount making donations to this political cause or that political cause.
[00:38:20.000 --> 00:38:29.000]   Whereas if you do all of those transactions with a credit card, the only thing that that mortgage lender would have access to is the specific credit card payment of $2,000.
[00:38:29.000 --> 00:38:35.000]   And they don't know whether you were donating to a political fringe group or whether you were buying something that was illicit or whether you were just buying groceries.
[00:38:35.000 --> 00:38:37.000]   It just says credit card payment.
[00:38:37.000 --> 00:38:44.000]   So I think that is a significant benefit of privacy for credit cards that many people would benefit from to appreciate and to recognize.
[00:38:44.000 --> 00:38:49.000]   The mortgage lender is not going to solicit all of your credit card statements.
[00:38:49.000 --> 00:38:56.000]   The only information they're going to get about your credit cards is what your total available credit is, what your total balance is, which they'll glean from your credit report.
[00:38:56.000 --> 00:39:02.000]   And then from your actual checking account statements for the last three months, then they'll see that you're making credit card payments.
[00:39:02.000 --> 00:39:04.000]   So you're getting some privacy there.
[00:39:04.000 --> 00:39:09.000]   That's also helpful if somebody is searching for your actual information with your bank.
[00:39:09.000 --> 00:39:18.000]   So I shared quite a while ago on the show, I shared a story about somebody that I know who went to travel down to Mexico.
[00:39:18.000 --> 00:39:34.000]   And one of the things that they learned when they were down in Mexico visiting with some of the local friends is the local cartels, the drug cartels, would pay informants in the local bank to disclose to them what the actual, how much money certain wealthy people had in their accounts.
[00:39:34.000 --> 00:39:42.000]   So that when they kidnapped the children or loved ones of these wealthy people, they would know how much of a ransom to request.
[00:39:42.000 --> 00:39:46.000]   It would be foolish to request a $2 million ransom for somebody who has $2,000 in their bank.
[00:39:46.000 --> 00:39:55.000]   But if they requested a $20,000 ransom for somebody that had $20,000 in the bank, there's a good chance that that person would get it in order to redeem the life of their loved one who was kidnapped.
[00:39:55.000 --> 00:40:00.000]   So if that were your threat model and you're considering, well, how do I maintain bank privacy of my banking transactions?
[00:40:00.000 --> 00:40:04.000]   Then it would be helpful to you to have that compartmentalization.
[00:40:04.000 --> 00:40:11.000]   And that's one thing that credit cards do by you is a compartmentalization, a privacy compartmentalization where not all of your information is in one place.
[00:40:11.000 --> 00:40:24.000]   This is also helpful if you were to get into a legal battle, somebody were, or let's say that somebody were using illegal methods of trying to find out about your purchase history, such as doing a social engineering attack on your bank.
[00:40:24.000 --> 00:40:37.000]   And they call into your bank, they work their way through the system, they convince them that they're you, and they're, or they're, this used to be back in the day, it was very easy for somebody to get all of the private transaction records by just using the phone tree system.
[00:40:37.000 --> 00:40:43.000]   So they would call into the local bank, use the automated system, put in your information, and it would list your last 20 payments.
[00:40:43.000 --> 00:40:48.000]   Well, if you were using a credit card instead of a bank checking account, then that would get you privacy there.
[00:40:48.000 --> 00:40:56.000]   So what I'm trying to give you examples is simply by paying with a credit card, you are diversifying your information and you're keeping some information private from your bank.
[00:40:56.000 --> 00:40:59.000]   That gives you a level of privacy.
[00:40:59.000 --> 00:41:06.000]   Additional level of privacy is in what you said with the churning that you're creating in sort of compartmentalization.
[00:41:06.000 --> 00:41:16.000]   By having 10 credit cards and spreading your spending across those 10 credit cards, you are not creating one individual repository of information.
[00:41:16.000 --> 00:41:25.000]   So if somebody were trying to gain access to your personal information, they're executing, again, a social engineering attack on you or on your banks, et cetera.
[00:41:25.000 --> 00:41:28.000]   They would have to do that times 10 instead of just with one place.
[00:41:28.000 --> 00:41:39.000]   Or if you are in a legal battle and your records are being subpoenaed by somebody, then they would have to do those subpoenas and find out about the information times 10 instead of just one.
[00:41:39.000 --> 00:41:45.000]   So these are ways in which the credit card does give you some level of privacy.
[00:41:45.000 --> 00:41:51.000]   Finally, what you can do is sometimes you can use your credit cards, and this will be a problem with your churning depending on how you do it.
[00:41:51.000 --> 00:41:57.000]   But you can anonymize your credit card transactions even more by adding an additional cutout.
[00:41:57.000 --> 00:42:04.000]   So, for example, let's say that you use your credit card as a funding platform for PayPal and then you use PayPal to make the final payment.
[00:42:04.000 --> 00:42:08.000]   Well, now you would have to a merchant for a particular product.
[00:42:08.000 --> 00:42:09.000]   Well, of course, you have a record.
[00:42:09.000 --> 00:42:13.000]   There's a record at PayPal of the specific merchant that you charge.
[00:42:13.000 --> 00:42:17.000]   There is a record with your credit card of the specific charge that you made to PayPal.
[00:42:17.000 --> 00:42:22.000]   And now there's a record with your bank for the payment to the credit card.
[00:42:22.000 --> 00:42:31.000]   So if you're under investigation by a federal authority who has full legal power to subpoena all of your bank records, you can't conceal that transaction.
[00:42:31.000 --> 00:42:41.000]   But if your threat model is much more limited than that, you would have some additional privacy because the bank doesn't know that you actually put the payment through PayPal.
[00:42:41.000 --> 00:42:44.000]   The credit card doesn't know what you actually bought through PayPal.
[00:42:44.000 --> 00:42:50.000]   And so Citibank can't sell that information like they do with everything else that you charge to their credit card.
[00:42:50.000 --> 00:42:54.000]   And PayPal doesn't actually know the identity of your bank.
[00:42:54.000 --> 00:42:57.000]   You don't have PayPal linked to your banking information.
[00:42:57.000 --> 00:43:02.000]   Now, PayPal in their next data breach, they can't disclose that your funding mechanism is actually Bank of America.
[00:43:02.000 --> 00:43:04.000]   So you could do that with blur.
[00:43:04.000 --> 00:43:08.000]   Or one of the other things is you can always use a credit card for cash advance.
[00:43:08.000 --> 00:43:12.000]   The most private way to use a credit card is as a form of cash advance.
[00:43:12.000 --> 00:43:14.000]   You take money out of the ATM.
[00:43:14.000 --> 00:43:15.000]   You have physical currency.
[00:43:15.000 --> 00:43:16.000]   You go and spend that money.
[00:43:16.000 --> 00:43:21.000]   And then you either transfer that balance from the cash advance card over to another card or you just pay it off.
[00:43:21.000 --> 00:43:34.000]   So those are some thoughts to your question to say, yes, using the credit cards is a compromise in privacy, but it does also have some benefits over some other things.
[00:43:34.000 --> 00:43:43.000]   So you will have to weigh the benefits you're getting personally, the value of the miles, the hotel stays, et cetera, by your churning activities as compared to the loss of privacy.
[00:43:43.000 --> 00:43:47.000]   Well, interesting question on the cash advance thing.
[00:43:47.000 --> 00:43:55.000]   So I've never used cash advance for credit card just because the I've gotten the impression essentially instantaneously triggers an interest payment and things like that.
[00:43:55.000 --> 00:43:57.000]   Is that true? Like how long do you have to pay it off?
[00:43:57.000 --> 00:43:59.000]   My impression with the clock started ticking immediately, right?
[00:43:59.000 --> 00:44:01.000]   Like 24 hours, you start getting hit.
[00:44:01.000 --> 00:44:02.000]   That's right.
[00:44:02.000 --> 00:44:03.000]   That's true.
[00:44:03.000 --> 00:44:05.000]   Or is that something that is generally true?
[00:44:05.000 --> 00:44:10.000]   Well, the cash advance transactions will immediately start an interest calculation.
[00:44:10.000 --> 00:44:17.000]   Unlike a purchase, which will wait until a statement closing date to start calculating interest, a cash advance will trigger an immediate statement.
[00:44:17.000 --> 00:44:19.000]   Sorry, an immediate interest calculation.
[00:44:19.000 --> 00:44:31.000]   Secondly, often a cash advance rate is more expensive than an interest rate that subscribe to a purchase payment, especially if you're taking advantage of some kind of introductory special offer that's a marketing offer.
[00:44:31.000 --> 00:44:33.000]   But that doesn't mean it shouldn't be considered.
[00:44:33.000 --> 00:44:35.000]   That doesn't mean it shouldn't be pursued.
[00:44:35.000 --> 00:44:44.000]   If you calculate the interest, remember that interest rates, just because it says, let's say that your cash advance interest rate is 15%.
[00:44:44.000 --> 00:44:47.000]   Now, 15% interest is a very high interest.
[00:44:47.000 --> 00:44:51.000]   But what does that actually mean in terms of actual numbers?
[00:44:51.000 --> 00:44:56.000]   You pretend for a moment that you are going to go and buy a $5,000 item.
[00:44:56.000 --> 00:45:01.000]   And the other limitation of many credit cards is their cash advances are limited to a small number.
[00:45:01.000 --> 00:45:06.000]   But assume you've solved that and you can take out $5,000 worth of cash advances.
[00:45:06.000 --> 00:45:17.000]   If you actually calculate what the actual dollar terms of that interest would be, $5,000, and let's say that it were that it has 15% annualized interest.
[00:45:17.000 --> 00:45:23.000]   So now we know that annually this would be $750 per year that's going to be charged on the interest.
[00:45:23.000 --> 00:45:27.000]   But remember that the interest is going to be calculated on a daily basis.
[00:45:27.000 --> 00:45:34.000]   So now that $750, let's just simplistically cut that by 365, the daily interest is $2.
[00:45:34.000 --> 00:45:46.000]   So what you're actually calculating, if you take a $5,000 advance on a credit card, you're just going to pay $2 per day until you pay off that debt.
[00:45:46.000 --> 00:45:55.000]   So if you were to compare, let's say you keep that for a month and then you apply for a new card that has a 0% balance transfer fee.
[00:45:55.000 --> 00:46:02.000]   And you transfer that $5,000 debt over to that new card, thus eliminating the interest payment.
[00:46:02.000 --> 00:46:06.000]   If that takes you a month, you're talking a total of $60.
[00:46:06.000 --> 00:46:15.000]   I don't think that's an unreasonable number, even at 15% interest to pay $60 to have access to $5,000 of cash.
[00:46:15.000 --> 00:46:18.000]   That's not an unreasonable number. Make sense?
[00:46:18.000 --> 00:46:33.000]   Yeah, that does. And the reason to do that as opposed to just debiting it from – just pulling the cash straight from the bank account would be just – it's the opportunity cost of you're effectively floating the cash and gaining $5,000 on credit rather than actually just burning $5,000 that you have on hand.
[00:46:33.000 --> 00:46:35.000]   Right, right. And I'm talking here –
[00:46:35.000 --> 00:46:36.000]   And the separation. Okay.
[00:46:36.000 --> 00:46:39.000]   Well, especially also just with privacy. So you talked about privacy.
[00:46:39.000 --> 00:46:40.000]   Right.
[00:46:40.000 --> 00:46:52.000]   Well, let me give you a real example. If I were going to go and buy a car, I would not want to apply – and let's say I have many options available to me. I have a good credit score. I have a good credit profile.
[00:46:52.000 --> 00:46:57.000]   But for whatever reason, I don't have the physical money in my checking account that I can go and buy a car.
[00:46:57.000 --> 00:47:04.000]   Well, what are the problems from a privacy perspective if I use a credit card – sorry, of a car loan?
[00:47:04.000 --> 00:47:19.000]   First problem with a car loan is that in order to apply for that car loan, I will have to make an actual credit application to a credit company where that credit application will usually be more extensive than the credit application that I would make to a credit card.
[00:47:19.000 --> 00:47:30.000]   They might ask me things like what assets I have, what liabilities I have, and I might be forced to legally disclose those in an actual disclosure instead of them simply checking my credit report.
[00:47:30.000 --> 00:47:43.000]   So now all of a sudden, yes, I owe my Uncle John $15,000 on a personal loan. That doesn't show up on my credit report, but I would need to legally disclose that in making an application for credit with a credit agency.
[00:47:43.000 --> 00:47:54.000]   So by using a credit card, I could eliminate the need for me to disclose that personal information that might also affect their underwriting.
[00:47:54.000 --> 00:48:06.000]   Secondly, in applying for something like a car loan, let's say that I needed a car because I had previously been driving a company car and now I lost my job, I got laid off, and I no longer have access to the company car.
[00:48:06.000 --> 00:48:12.000]   Well, if I go and apply for a credit loan, I have to disclose my income as being zero because I'm currently unemployed.
[00:48:12.000 --> 00:48:18.000]   But if I have a couple of credit cards that have a credit limit, I don't have to make any disclosures one way or the other.
[00:48:18.000 --> 00:48:26.000]   They're not going to ask me what my current income level is. I may already have those credit cards established from years ago when my income level was very high.
[00:48:26.000 --> 00:48:33.000]   And so this may be helpful to me to be able to gain access to credit in a time when I might otherwise have a difficult time.
[00:48:33.000 --> 00:49:00.000]   So by using the credit card additionally, sorry, if I make an application for a car loan, then I'm collateralizing the car loan, which could put me in a position of additional insecurity, where if I can't pay that car loan as agreed, then the car company has the legal right to collect on that debt by repossessing the car because the car serves as collateral.
[00:49:00.000 --> 00:49:15.000]   In addition, now I'm creating a connection between the VIN number of a specific vehicle that I'm purchasing to a specific loan, which means that if somebody is seeking to find my property, they're going to have a much easier time finding it because look, car loan, what's the VIN number of that application?
[00:49:15.000 --> 00:49:23.000]   Then they go to the DMV, they run the VIN number, they find out what the plate is, and now all they need to do is search the license plate reader databases and they can quickly find my car.
[00:49:23.000 --> 00:49:36.000]   And that information can be searched retroactively. So now, yes, I'm in a tough spot, but they can go back and search the last 60 days of automatic license plate reader systems and find out that my car is continually parked at this particular apartment complex.
[00:49:36.000 --> 00:49:42.000]   And now I may be implicated in something like this apartment complex, there's a drug house in it.
[00:49:42.000 --> 00:49:49.000]   And now I'm implicated by association because my car is parked nearby or a house of prostitution or some other thing like that.
[00:49:49.000 --> 00:49:53.000]   So all of these things are significantly problematic with a car loan.
[00:49:53.000 --> 00:49:56.000]   Additionally, things like payment, sorry, ownership information.
[00:49:56.000 --> 00:50:15.000]   If I take out a cash advance on a credit card and I take out a $5,000 cash advance and I use that to go and purchase the car and then my wife and I title that car in her name rather than in my name, or we title that car in the name of our trust or some sort of business entity instead of in our own personal names.
[00:50:15.000 --> 00:50:24.000]   Now we've created an additional level of compartmentalization because of the fact that we don't have to have every single asset specifically tied to our credit profile.
[00:50:24.000 --> 00:50:30.000]   So if that car was purchased with cash, with a cash advance from a credit card, it was titled in my wife's name.
[00:50:30.000 --> 00:50:36.000]   It's now no longer, depending on whether I live in a community property state or not, it's now no longer my specific property.
[00:50:36.000 --> 00:50:45.000]   So if my creditors are suing me for defaulting on my credit card, my wife's car isn't necessarily connected to it.
[00:50:45.000 --> 00:50:55.000]   Now, I would not want to be in a situation where I'd want to be in a courtroom because in a courtroom I might legally have to disclose what did I spend the money on and now they might follow the transaction through.
[00:50:55.000 --> 00:51:00.000]   But that's so unlikely in most circumstances as to not be worried about.
[00:51:00.000 --> 00:51:04.000]   So all of those would be examples of reasons why if I were in that situation.
[00:51:04.000 --> 00:51:10.000]   I got laid off from my job. I didn't have a car. I needed to buy a car. I needed a good $5,000 car because I'm starting a new sales job, blah, blah, blah.
[00:51:10.000 --> 00:51:17.000]   Whatever circumstances we create that I actually have to borrow money for a car, then I would do it with a cash advance on credit card or credit cards.
[00:51:17.000 --> 00:51:24.000]   And then I would just simply deal with that cash advance separately rather than taking it out in a car loan. Does that make more sense now?
[00:51:24.000 --> 00:51:37.000]   That makes a ton of sense. So last question, is there any risk to the score with a cash advance? I'm assuming I'm paying it off immediately, right? But does it reflect oddly in any way?
[00:51:37.000 --> 00:51:42.000]   No. My understanding is the cash advance is just simply listed as a loan.
[00:51:42.000 --> 00:51:51.000]   So it will be subject to the terms of the card where, again, you have to be careful of whether that's a separate interest rate or how such a cash advance.
[00:51:51.000 --> 00:51:58.000]   If you have balances on a card, sometimes the balances can be mixed up in terms of where our minimum payments applied and what interest rates are applied.
[00:51:58.000 --> 00:52:07.000]   But in terms of your credit report, it's just going to look like you have a $10,000 credit limit and you took a $5,000 cash advance on credit card one.
[00:52:07.000 --> 00:52:10.000]   It's just going to look like you owe $5,000 on credit card one.
[00:52:10.000 --> 00:52:20.000]   There's nobody – unless somebody were actually able to see your physical statements or electronic statements with the actual information, they wouldn't know that you took a cash advance.
[00:52:20.000 --> 00:52:23.000]   They would just know that you have a $5,000 balance on your credit card.
[00:52:23.000 --> 00:52:28.000]   Cool. So, yeah, I want to make sure that if it's charging interest immediately, it doesn't look like I missed a payment or anything like that.
[00:52:28.000 --> 00:52:29.000]   Correct.
[00:52:29.000 --> 00:52:30.000]   Cool.
[00:52:30.000 --> 00:52:31.000]   Correct. Good.
[00:52:31.000 --> 00:52:32.000]   Awesome. I appreciate it.
[00:52:32.000 --> 00:52:34.000]   Absolutely. Thank you for calling in.
[00:52:34.000 --> 00:52:38.000]   All right. We go now to Michael in Washington. Welcome, Michael. How can I serve you today, sir?
[00:52:38.000 --> 00:52:47.000]   So my question is more of paying off my credit card debt. And I'm not sure if you want me to give you a back story.
[00:52:47.000 --> 00:52:53.000]   First, can you speak directly into your phone, not on speakerphone? I've got a little bit of a shaky connection here.
[00:52:53.000 --> 00:52:58.000]   Yes. I am speaking directly to my phone now.
[00:52:58.000 --> 00:53:02.000]   Great. Okay. Give me an overview of your situation and we'll talk about some strategies.
[00:53:02.000 --> 00:53:14.000]   Okay. So I'm currently 42 years old. I was recently married. I take home income after all deductibles. It's about $1,000 a week.
[00:53:14.000 --> 00:53:25.000]   My wife makes similar, but I have a $31,000 credit card debt that I'm trying to pay off before my kids start arriving.
[00:53:25.000 --> 00:53:28.000]   Meaning we're planning to have kids in the next year.
[00:53:28.000 --> 00:53:29.000]   Great.
[00:53:29.000 --> 00:53:40.000]   So currently I have a full-time job, which makes me some money. I'm also driving Lyft part-time. I'm trying to use Lyft to pay off my credit card debt.
[00:53:40.000 --> 00:53:49.000]   And I figured if I want to pay it off in two years, I pretty much have to bring in an extra income of $300 each week to make those payments.
[00:53:49.000 --> 00:53:50.000]   Okay.
[00:53:50.000 --> 00:54:01.000]   Yeah. Also, the money that I bring in besides the Lyft, pretty much pay for all the bills around the house, rent, and car payment, stuff like that.
[00:54:01.000 --> 00:54:08.000]   And within a year, my wife was able to save up $10,000 for emergency fund.
[00:54:08.000 --> 00:54:10.000]   Great.
[00:54:10.000 --> 00:54:13.000]   But I want to do a better job as far as paying off my credit card debt.
[00:54:13.000 --> 00:54:19.000]   Okay. Outside of this $31,000 of credit card debt, do you and your wife have any other loans?
[00:54:19.000 --> 00:54:22.000]   A car loan.
[00:54:22.000 --> 00:54:23.000]   Okay.
[00:54:23.000 --> 00:54:25.000]   Of $24,000.
[00:54:25.000 --> 00:54:27.000]   And how much is the car worth?
