
[00:00:00.000 --> 00:00:03.000]   Who's your REALTOR®?
[00:18:34.000 --> 00:18:39.000]   one of those nice three-way tow hitch connections
[00:18:39.000 --> 00:18:41.000]   so that you can handle all the bumps
[00:18:41.000 --> 00:18:43.000]   and all of the off-road camber pretty easily.
[00:18:43.000 --> 00:18:45.000]   That would work well.
[00:18:45.000 --> 00:18:48.000]   Who's your realtor?
[00:18:48.000 --> 00:18:49.000]   Seriously,
[00:18:49.000 --> 00:18:51.000]   who is your realtor?
[00:18:51.000 --> 00:18:52.000]   Lately,
[00:18:52.000 --> 00:18:53.000]   there's been a lot in the news
[00:18:53.000 --> 00:18:55.000]   about real estate and realtors,
[00:18:55.000 --> 00:18:57.000]   so let us help clear the air.
[00:18:57.000 --> 00:19:01.000]   California realtors are Californians just like you,
[00:19:01.000 --> 00:19:02.000]   your neighbor,
[00:19:02.000 --> 00:19:03.000]   your best friend's brother,
[00:19:03.000 --> 00:19:05.000]   and your kid's baseball coach,
[00:19:05.000 --> 00:19:06.000]   and we all strive every day
[00:19:06.000 --> 00:19:08.000]   to be your trusted advisors
[00:19:08.000 --> 00:19:11.000]   on the biggest financial decision of your life.
[00:19:11.000 --> 00:19:13.000]   No one cares more about helping Californians
[00:19:13.000 --> 00:19:15.000]   live the California dream
[00:19:15.000 --> 00:19:17.000]   than California realtors
[00:19:17.000 --> 00:19:20.000]   because we know California real estate is not easy.
[00:19:20.000 --> 00:19:22.000]   That's an understatement,
[00:19:22.000 --> 00:19:23.000]   but if you're a first-timer,
[00:19:23.000 --> 00:19:26.000]   we help you confidently get in the game,
[00:19:26.000 --> 00:19:27.000]   and if you've been there, done that,
[00:19:27.000 --> 00:19:30.000]   we're there to help you get through what's new and different.
[00:19:30.000 --> 00:19:33.000]   We tirelessly negotiate so you don't have to,
[00:19:33.000 --> 00:19:36.000]   and we help you get past all the tough stuff
[00:19:36.000 --> 00:19:37.000]   and on to the good stuff,
[00:19:37.000 --> 00:19:39.000]   not because it's our job,
[00:19:39.000 --> 00:19:41.000]   but because it's your dream.
[00:19:41.000 --> 00:19:42.000]   Let's go to work.
[00:19:42.000 --> 00:19:45.000]   California Association of Realtors.
[00:19:45.000 --> 00:19:46.000]   And then if you need comfort,
[00:19:46.000 --> 00:19:49.000]   just get one and maybe put one rooftop tent on it
[00:19:49.000 --> 00:19:50.000]   for you and your wife,
[00:19:50.000 --> 00:19:52.000]   and then keep the kids in a nice ground tent,
[00:19:52.000 --> 00:19:53.000]   or get one big enough
[00:19:53.000 --> 00:19:55.000]   where you could put two big rooftop tents on it
[00:19:55.000 --> 00:19:57.000]   so you have a little bit more
[00:19:57.000 --> 00:20:00.000]   of just the convenience of the rooftop tent on the trailer,
[00:20:00.000 --> 00:20:03.000]   but yet you're still living outside around the vehicle.
[00:20:03.000 --> 00:20:05.000]   I think those are the two most practical setups
[00:20:05.000 --> 00:20:06.000]   that would work for what you're describing
[00:20:06.000 --> 00:20:10.000]   and would fit your use style.
[00:20:10.000 --> 00:20:11.000]   Okay.
[00:20:11.000 --> 00:20:12.000]   And when you describe those,
[00:20:12.000 --> 00:20:15.000]   I'm picturing like the open-air cargo trailer,
[00:20:15.000 --> 00:20:16.000]   not like--
[00:20:16.000 --> 00:20:18.000]   The second version.
[00:20:18.000 --> 00:20:19.000]   Either one could work.
[00:20:19.000 --> 00:20:20.000]   When I described the first one,
[00:20:20.000 --> 00:20:23.000]   I was picturing an enclosed cargo trailer.
[00:20:23.000 --> 00:20:24.000]   The second one,
[00:20:24.000 --> 00:20:28.000]   I'm picturing an open cargo trailer
[00:20:28.000 --> 00:20:30.000]   with, again, like a rack built
[00:20:30.000 --> 00:20:32.000]   with a couple of rooftop tents on it.
[00:20:32.000 --> 00:20:33.000]   Right, right, right.
[00:20:33.000 --> 00:20:35.000]   Okay.
[00:20:35.000 --> 00:20:39.000]   I think the first option is pretty obvious
[00:20:39.000 --> 00:20:40.000]   from like brands and stuff like that.
[00:20:40.000 --> 00:20:43.000]   Do you have any of the second variety
[00:20:43.000 --> 00:20:44.000]   that you've looked at?
[00:20:44.000 --> 00:20:45.000]   I don't.
[00:20:45.000 --> 00:20:47.000]   They're all obscenely overpriced
[00:20:47.000 --> 00:20:48.000]   as far as I'm concerned.
[00:20:48.000 --> 00:20:49.000]   I know, yeah.
[00:20:49.000 --> 00:20:50.000]   They are obscene.
[00:20:50.000 --> 00:20:51.000]   Every time I've looked at them--
[00:20:51.000 --> 00:20:52.000]   They're absolutely obscene.
[00:20:52.000 --> 00:20:53.000]   Yeah.
[00:20:53.000 --> 00:20:54.000]   But I would go on to Expedition Portal.
[00:20:54.000 --> 00:20:58.000]   Go in the forums there on expeditionportal.com
[00:20:58.000 --> 00:21:02.000]   and see what the discussion would be there
[00:21:02.000 --> 00:21:05.000]   from some of those guys who know that market.
[00:21:05.000 --> 00:21:06.000]   Yeah.
[00:21:06.000 --> 00:21:07.000]   Okay.
[00:21:07.000 --> 00:21:10.000]   Yeah, has your family wound up being an outdoors culture?
[00:21:10.000 --> 00:21:13.000]   I know you guys did the wild in the RV.
[00:21:13.000 --> 00:21:16.000]   Have you guys continued in that vein?
[00:21:16.000 --> 00:21:17.000]   Yes.
[00:21:17.000 --> 00:21:20.000]   That's where I've spent so much time thinking about it
[00:21:20.000 --> 00:21:23.000]   and what I've decided is the only way--
[00:21:23.000 --> 00:21:25.000]   There is no perfect vehicle
[00:21:25.000 --> 00:21:27.000]   that works for every circumstance.
[00:21:27.000 --> 00:21:30.000]   So the only rational way to approach these decisions
[00:21:30.000 --> 00:21:33.000]   is to design a specific trip
[00:21:33.000 --> 00:21:35.000]   or a specific set of trips
[00:21:35.000 --> 00:21:38.000]   and then create the vehicle for that.
[00:21:38.000 --> 00:21:41.000]   The vehicle that you want for 15 nights of camping
[00:21:41.000 --> 00:21:44.000]   in state parks around your home
[00:21:44.000 --> 00:21:46.000]   within a four to five-hour drive of your home
[00:21:46.000 --> 00:21:48.000]   is going to be very different than the vehicle
[00:21:48.000 --> 00:21:50.000]   that you want for a one-year expedition
[00:21:50.000 --> 00:21:52.000]   from Alaska to Argentina.
[00:21:52.000 --> 00:21:55.000]   So just think about the specific trips.
[00:21:55.000 --> 00:21:57.000]   But I think that generally for most people,
[00:21:57.000 --> 00:22:00.000]   a small cargo trailer, a nice enclosed one
[00:22:00.000 --> 00:22:02.000]   so that when it's raining, when it's dusty,
[00:22:02.000 --> 00:22:03.000]   your stuff can stay cleaner.
[00:22:03.000 --> 00:22:05.000]   You can put the bikes back there.
[00:22:05.000 --> 00:22:06.000]   All your camping gear goes in there.
[00:22:06.000 --> 00:22:09.000]   You can bring along some slightly bigger pieces of gear
[00:22:09.000 --> 00:22:12.000]   that make your car camping trip a little easier.
[00:22:12.000 --> 00:22:14.000]   Slightly bigger stove, bigger tables,
[00:22:14.000 --> 00:22:16.000]   bigger, more chairs.
[00:22:16.000 --> 00:22:18.000]   All that stuff fits beautifully in the cargo trailer,
[00:22:18.000 --> 00:22:20.000]   and yet you're still lightweight,
[00:22:20.000 --> 00:22:22.000]   easy to go down the road at a good pace,
[00:22:22.000 --> 00:22:25.000]   and pretty inexpensive.
[00:22:25.000 --> 00:22:26.000]   - Excellent. All right.
[00:22:26.000 --> 00:22:28.000]   Well, hopefully it was an easy one.
[00:22:28.000 --> 00:22:30.000]   - Yeah, I was going to say, thanks for the softball.
[00:22:30.000 --> 00:22:33.000]   It doesn't get easier than that and more fun.
[00:22:33.000 --> 00:22:35.000]   Joshua in Texas, welcome to the show.
[00:22:35.000 --> 00:22:38.000]   How can I serve you today?
[00:22:38.000 --> 00:22:41.000]   - Hi, Josh.
[00:22:41.000 --> 00:22:42.000]   - Can you hear me?
[00:22:42.000 --> 00:22:44.000]   - Yes, sounds good. Go ahead.
[00:22:44.000 --> 00:22:47.000]   - Hi. Thank you for taking my call.
[00:22:47.000 --> 00:22:49.000]   And I'm a first-time caller,
[00:22:49.000 --> 00:22:52.000]   and I wanted to say thank you for your great insight
[00:22:52.000 --> 00:22:56.000]   and ability to foresee the future during the pandemic.
[00:22:56.000 --> 00:23:01.000]   I think you greatly helped me stay safe and myself as well,
[00:23:01.000 --> 00:23:03.000]   and I just wanted to say thank you for that.
[00:23:03.000 --> 00:23:05.000]   - My pleasure.
[00:23:10.000 --> 00:23:13.000]   - I am trying to buy my first car.
[00:23:13.000 --> 00:23:15.000]   I've never bought a car.
[00:23:15.000 --> 00:23:18.000]   I've had the same make and model of car
[00:23:18.000 --> 00:23:23.000]   since I was in high school, and I'm now 30.
[00:23:23.000 --> 00:23:29.000]   So I am trying to buy a car, but I essentially have no cash.
[00:23:29.000 --> 00:23:34.000]   It's close to $100,000, but it's, like, all in crypto.
[00:23:34.000 --> 00:23:38.000]   And I don't have -- I know there's options.
[00:23:38.000 --> 00:23:42.000]   I've looked at a lot of options, but I'm just stuck on how to get --
[00:23:42.000 --> 00:23:46.000]   I need about $7,000 for the down payment,
[00:23:46.000 --> 00:23:50.000]   and I'm just a little stuck on how to get the money
[00:23:50.000 --> 00:23:54.000]   and, like, what should I -- or should I still do this?
[00:23:54.000 --> 00:23:56.000]   I don't know. I really want the car, but I don't know.
[00:23:56.000 --> 00:23:58.000]   I was just saying if you could help me out.
[00:23:58.000 --> 00:24:01.000]   - How much is your income?
[00:24:01.000 --> 00:24:04.000]   - Right now, I make about $60,000.
[00:24:04.000 --> 00:24:08.000]   With this current job, I'm not working my normal job in HR.
[00:24:08.000 --> 00:24:13.000]   I'm a compensation analyst.
[00:24:13.000 --> 00:24:15.000]   Hired back on or get another job.
[00:24:15.000 --> 00:24:17.000]   Should be around, like, $90,000.
[00:24:17.000 --> 00:24:21.000]   But currently, at this exact --
[00:24:21.000 --> 00:24:22.000]   - So you're 30 years old.
[00:24:22.000 --> 00:24:26.000]   You're earning $60,000 a year, and as I understand it,
[00:24:26.000 --> 00:24:30.000]   you don't have any money saved that is available for buying a car,
[00:24:30.000 --> 00:24:33.000]   but you do have about $100,000 in crypto value.
[00:24:33.000 --> 00:24:35.000]   Is that correct?
[00:24:35.000 --> 00:24:36.000]   - That's correct.
[00:24:36.000 --> 00:24:40.000]   - Why don't you have any money saved?
[00:24:40.000 --> 00:24:45.000]   - I just -- I don't know.
[00:24:45.000 --> 00:24:49.000]   Like, I've adapted to this mindset.
[00:24:49.000 --> 00:24:51.000]   I was -- when I first got into personal finance,
[00:24:51.000 --> 00:24:53.000]   like, serious, like, five years ago,
[00:24:53.000 --> 00:24:56.000]   I kind of just was stuck on the --
[00:24:56.000 --> 00:24:58.000]   where I'm going to invest everything and not keep any --
[00:24:58.000 --> 00:25:02.000]   like, only keep $1,000 cash on hand, basically,
[00:25:02.000 --> 00:25:05.000]   and, like, it's been really hard for me to break that.
[00:25:05.000 --> 00:25:09.000]   So I'm kind of just really, like, basically addicted to it.
[00:25:09.000 --> 00:25:13.000]   Anytime I get money, I just want to invest it over.
[00:25:13.000 --> 00:25:16.000]   I had probably about $10,000 not too long ago,
[00:25:16.000 --> 00:25:22.000]   and, like, situations came up where I, you know,
[00:25:22.000 --> 00:25:25.000]   probably used it for something else, like my normal life,
[00:25:25.000 --> 00:25:27.000]   but I ended up just investing it,
[00:25:27.000 --> 00:25:29.000]   and I've kind of just ended up in the position now
[00:25:29.000 --> 00:25:32.000]   where I just have no cash on hand.
[00:25:32.000 --> 00:25:34.000]   - Other than the $100,000 in crypto,
[00:25:34.000 --> 00:25:36.000]   do you own any other investments,
[00:25:36.000 --> 00:25:40.000]   such as retirement investments, things like that?
[00:25:40.000 --> 00:25:45.000]   - About half of that is actually in a retirement account
[00:25:45.000 --> 00:25:52.000]   that I moved from a 401(k) to a IRA, a crypto IRA.
[00:25:52.000 --> 00:25:55.000]   And outside of that, I mean,
[00:25:55.000 --> 00:26:00.000]   I have, like, $3,500 in a Roth IRA
[00:26:00.000 --> 00:26:05.000]   and, like, $2,000 in a random brokerage account.
[00:26:05.000 --> 00:26:08.000]   - And so you have $3,500 in a Roth IRA
[00:26:08.000 --> 00:26:10.000]   and $2,000 in a brokerage account.
[00:26:10.000 --> 00:26:15.000]   And what's wrong with your current car?
[00:26:15.000 --> 00:26:17.000]   - There is nothing wrong with it.
[00:26:17.000 --> 00:26:20.000]   It actually runs fine.
[00:26:20.000 --> 00:26:22.000]   I believe this--
[00:26:22.000 --> 00:26:27.000]   The reason why I want the car is kind of an image deal.
[00:26:27.000 --> 00:26:30.000]   I mean, just what I do in my life,
[00:26:30.000 --> 00:26:32.000]   like, it does kind of--
[00:26:32.000 --> 00:26:34.000]   I need to have a nicer car.
[00:26:34.000 --> 00:26:37.000]   Like, it's something I've vacated for a long time
[00:26:37.000 --> 00:26:40.000]   and, like, or, you know, just haven't really prioritized,
[00:26:40.000 --> 00:26:44.000]   and, like, I believe it's time for me to do this.
[00:26:44.000 --> 00:26:46.000]   - Okay.
[00:26:46.000 --> 00:26:48.000]   And are you single or married?
[00:26:48.000 --> 00:26:51.000]   Do you have children?
[00:26:51.000 --> 00:26:53.000]   - Single, divorced.
[00:26:53.000 --> 00:26:55.000]   - Okay.
[00:26:55.000 --> 00:27:00.000]   So I'm totally in favor of your buying another car.
[00:27:00.000 --> 00:27:01.000]   I think that's great.
[00:27:01.000 --> 00:27:05.000]   If you observe the fact that I've got this junky old car
[00:27:05.000 --> 00:27:10.000]   and this junky old car is no longer appropriate for me
[00:27:10.000 --> 00:27:11.000]   and I need to upgrade my car,
[00:27:11.000 --> 00:27:15.000]   then absolutely, go ahead and upgrade your car.
[00:27:15.000 --> 00:27:18.000]   The first thing to talk about is how much money
[00:27:18.000 --> 00:27:22.000]   you should consider spending on your new upgraded car.
[00:27:22.000 --> 00:27:25.000]   If you care about building wealth,
[00:27:25.000 --> 00:27:27.000]   if you care about becoming wealthy,
[00:27:27.000 --> 00:27:31.000]   then I would recommend that you target spending
[00:27:31.000 --> 00:27:37.000]   about 10% to as high as 50% of your income
[00:27:37.000 --> 00:27:40.000]   on the purchase of another car.
[00:27:40.000 --> 00:27:42.000]   So the more extreme version,
[00:27:42.000 --> 00:27:44.000]   the closer to 10% you are,
[00:27:44.000 --> 00:27:46.000]   the faster you can build wealth.
[00:27:46.000 --> 00:27:49.000]   But I recognize that there may be good reasons
[00:27:49.000 --> 00:27:51.000]   to go as high as 50% of your income.
[00:27:51.000 --> 00:27:56.000]   So your budget for your next car should be between $6,000
[00:27:56.000 --> 00:28:00.000]   and as high as $30,000 total.
[00:28:00.000 --> 00:28:03.000]   That's the total purchase price of your vehicle.
[00:28:03.000 --> 00:28:07.000]   So again, from a purely financial perspective,
[00:28:07.000 --> 00:28:11.000]   go as close to the $6,000 as you possibly can.
[00:28:11.000 --> 00:28:14.000]   But if it turns out that there's a vehicle that's appropriate,
[00:28:14.000 --> 00:28:16.000]   that would be $11,000,
[00:28:16.000 --> 00:28:20.000]   I'm not going to beat you up and say you're stupid.
[00:28:20.000 --> 00:28:22.000]   And if you go as high as 50%,
[00:28:22.000 --> 00:28:23.000]   I won't call you stupid,
[00:28:23.000 --> 00:28:26.000]   but any higher than 50%, I'll call you stupid.
[00:28:26.000 --> 00:28:27.000]   So you judge in there.
[00:28:27.000 --> 00:28:31.000]   But your budget should be between $6,000 and $30,000.
[00:28:31.000 --> 00:28:33.000]   The second component of your budget
[00:28:33.000 --> 00:28:37.000]   should involve exclusively the money that you have
[00:28:37.000 --> 00:28:40.000]   that you can give to another person for the car.
[00:28:40.000 --> 00:28:45.000]   It is stupid to borrow money on car loans
[00:28:45.000 --> 00:28:50.000]   because to do so will always result in your overspending
[00:28:50.000 --> 00:28:54.000]   for something that goes down in value like crazy.
[00:28:54.000 --> 00:28:56.000]   So if you can't pay cash for it,
[00:28:56.000 --> 00:28:59.000]   you shouldn't buy it when it comes to something like a car
[00:28:59.000 --> 00:29:01.000]   or any other depreciating asset.
[00:29:01.000 --> 00:29:05.000]   So you do have money, you just don't want to spend it.
[00:29:05.000 --> 00:29:08.000]   You first of all have some value of the car that you have
[00:29:08.000 --> 00:29:09.000]   that you could sell.
[00:29:09.000 --> 00:29:10.000]   If you sold the car that you have right now,
[00:29:10.000 --> 00:29:13.000]   how much would it sell for, do you think?
[00:29:13.000 --> 00:29:16.000]   Probably about $2,500.
[00:29:16.000 --> 00:29:17.000]   Okay.
[00:29:17.000 --> 00:29:19.000]   So the time to sell a $2,500 car
[00:29:19.000 --> 00:29:21.000]   is when the $2,500 car is working well
[00:29:21.000 --> 00:29:23.000]   and there's nothing wrong with it.
[00:29:23.000 --> 00:29:25.000]   So you could sell the car for $2,500.
[00:29:25.000 --> 00:29:26.000]   There's $2,500.
[00:29:26.000 --> 00:29:29.000]   You have $2,000 in a brokerage account that you could use,
[00:29:29.000 --> 00:29:33.000]   and there'd be another that'd take you to $4,500.
[00:29:33.000 --> 00:29:36.000]   And then if you need to take some money out of your Roth IRA,
[00:29:36.000 --> 00:29:38.000]   then you could do that as well.
[00:29:38.000 --> 00:29:40.000]   What I think you should be very concerned about
[00:29:40.000 --> 00:29:42.000]   is why don't I have more money.
[00:29:42.000 --> 00:29:44.000]   So if you're making $60,000 a year
[00:29:44.000 --> 00:29:46.000]   and you don't have money saved,
[00:29:46.000 --> 00:29:48.000]   you should ask yourself why is it that I don't have it.
[00:29:48.000 --> 00:29:50.000]   If all the money is investments
[00:29:50.000 --> 00:29:52.000]   because that's what I've been putting money into,
[00:29:52.000 --> 00:29:54.000]   great, good for you.
[00:29:54.000 --> 00:29:56.000]   But just go ahead and wait three months,
[00:29:56.000 --> 00:29:58.000]   stop investing for three months,
[00:29:58.000 --> 00:30:01.000]   and in three months with a $60,000 income as a single man,
[00:30:01.000 --> 00:30:03.000]   you should be able to save another $5,000
[00:30:03.000 --> 00:30:05.000]   just out of your income.
[00:30:05.000 --> 00:30:10.000]   So what I would suggest is you put the current car on the market,
[00:30:10.000 --> 00:30:12.000]   see if you can start to get a little interest in that.
[00:30:12.000 --> 00:30:15.000]   Somebody might give you $2,500 for it,
[00:30:15.000 --> 00:30:18.000]   and then just start saving money like crazy out of your budget.
[00:30:18.000 --> 00:30:20.000]   And within three or four months,
[00:30:20.000 --> 00:30:23.000]   you should have $5,000 to $10,000 in savings
[00:30:23.000 --> 00:30:25.000]   with just those things right there
[00:30:25.000 --> 00:30:27.000]   that you can go and purchase another car.
[00:30:27.000 --> 00:30:30.000]   The idea being that recognize that I need a car,
[00:30:30.000 --> 00:30:33.000]   so I need to save for one and go buy one,
[00:30:33.000 --> 00:30:36.000]   and that takes a priority over my other investing.
[00:30:36.000 --> 00:30:38.000]   But don't put yourself in a mindset
[00:30:38.000 --> 00:30:40.000]   where I'm going to go and buy a $40,000 car
[00:30:40.000 --> 00:30:42.000]   and I need a $7,000 down payment.
[00:30:42.000 --> 00:30:44.000]   Don't spend money that you don't have.
[00:30:44.000 --> 00:30:46.000]   Just save money. Save money for the car.
[00:30:46.000 --> 00:30:49.000]   And if you need to upgrade for a better image, great.
[00:30:49.000 --> 00:30:52.000]   But there's no reason why that needs to happen
[00:30:52.000 --> 00:30:54.000]   in less than three months or six months
[00:30:54.000 --> 00:30:57.000]   that it takes you to save the money for your next car.
[00:31:01.000 --> 00:31:04.000]   Okay. All right. That makes sense.
[00:31:04.000 --> 00:31:08.000]   I don't really have anything else to add.
[00:31:08.000 --> 00:31:11.000]   I mean, my plan was to get the new car,
[00:31:11.000 --> 00:31:16.000]   and then I was going to try to start a little rental car company.
[00:31:16.000 --> 00:31:19.000]   That is part of the plan for the next five years.
[00:31:19.000 --> 00:31:27.000]   You're breaking up just a little bit after you said
[00:31:27.000 --> 00:31:30.000]   you were thinking about starting a rental car company,
[00:31:30.000 --> 00:31:31.000]   which is fine.
[00:31:31.000 --> 00:31:33.000]   If you have a business-making idea
[00:31:33.000 --> 00:31:36.000]   and you think that you could rent out this little $2,500 car
[00:31:36.000 --> 00:31:38.000]   and there's some way to do that,
[00:31:38.000 --> 00:31:41.000]   then sure, you could probably make more money with it as a rental
[00:31:41.000 --> 00:31:44.000]   than what you're going to get selling it out in the open market.
[00:31:44.000 --> 00:31:46.000]   I'm not saying no to any of those things,
[00:31:46.000 --> 00:31:50.000]   and I would give you full rights of decide whatever is best for you.
[00:31:50.000 --> 00:31:52.000]   I just want you to follow two or three rules.
[00:31:52.000 --> 00:31:56.000]   Rule number one is 10% of your income
[00:31:56.000 --> 00:32:00.000]   is the total value of the car up to as high as 50%,
[00:32:00.000 --> 00:32:04.000]   so your budget should be $6,000 to as high as $30,000.
[00:32:04.000 --> 00:32:08.000]   Rule number two, you only buy what you can afford to pay cash for,
[00:32:08.000 --> 00:32:10.000]   and so you have to actually save it,
[00:32:10.000 --> 00:32:14.000]   or you have to sell some investment that you've previously made
[00:32:14.000 --> 00:32:17.000]   and use that money to purchase the next car.
[00:32:17.000 --> 00:32:19.000]   And then number three is think really carefully
[00:32:19.000 --> 00:32:24.000]   about what you actually need from the perspective of image,
[00:32:24.000 --> 00:32:26.000]   whatever you're trying to express,
[00:32:26.000 --> 00:32:30.000]   and make a wise decision into a smart car
[00:32:30.000 --> 00:32:34.000]   that will fit this image issue without being stupid.
[00:32:34.000 --> 00:32:36.000]   So for example, image issue might mean
[00:32:36.000 --> 00:32:39.000]   I need to drive a car that is a little bit newer.
[00:32:39.000 --> 00:32:43.000]   Well, maybe a Tesla Model 3 or something like that
[00:32:43.000 --> 00:32:47.000]   doesn't come with the baggage that it gives you a high-performance,
[00:32:47.000 --> 00:32:53.000]   high-functioning car that doesn't come with the baggage of a BMW 3 Series.
[00:32:53.000 --> 00:32:57.000]   And so you don't want image to be kind of this aspirational thing
[00:32:57.000 --> 00:33:01.000]   because what happens is frequently when people say that,
[00:33:01.000 --> 00:33:05.000]   they turn towards the entry model of a luxury brand,
[00:33:05.000 --> 00:33:09.000]   and the entry model of a luxury brand winds up making you look stupid
[00:33:09.000 --> 00:33:12.000]   because, "Look, I got my BMW 3 Series."
[00:33:12.000 --> 00:33:13.000]   Yeah, you just weren't rich enough
[00:33:13.000 --> 00:33:15.000]   to actually afford a decent car with that company,
[00:33:15.000 --> 00:33:19.000]   and now you wind up with high ownership costs, high maintenance costs,
[00:33:19.000 --> 00:33:22.000]   and it just turns into a piece of junk very quickly.
[00:33:22.000 --> 00:33:27.000]   So I think the perfect car for most guys, for most people, is a Toyota Prius.
[00:33:27.000 --> 00:33:31.000]   Unless you need something that has a higher level of sex appeal,
[00:33:31.000 --> 00:33:36.000]   in which case go and find some kind of crossover SUV or something like that
[00:33:36.000 --> 00:33:41.000]   that kind of doesn't fit any kind of image issues,
[00:33:41.000 --> 00:33:43.000]   a Toyota Prius is a perfect vehicle.
[00:33:43.000 --> 00:33:47.000]   No one knows whether you're a greenie or just smart with money,
[00:33:47.000 --> 00:33:51.000]   and yet it's a great, reliable vehicle that you can have for many years,
[00:33:51.000 --> 00:33:54.000]   widely available, good parts availability, it's great.
[00:33:54.000 --> 00:33:55.000]   Otherwise, look for something else.
[00:33:55.000 --> 00:33:59.000]   Look for some kind of efficient crossover or something
[00:33:59.000 --> 00:34:04.000]   that just doesn't fit any kind of standard mold,
[00:34:04.000 --> 00:34:08.000]   and that way you're not driving something that's clearly cheap, clearly junky,
[00:34:08.000 --> 00:34:13.000]   but you are fixing your image issues, but you're doing it in an intelligent way.
[00:34:13.000 --> 00:34:15.000]   So with those things in mind, go and do that.
[00:34:15.000 --> 00:34:17.000]   Just give yourself three to six months and save for it,
[00:34:17.000 --> 00:34:20.000]   and use it as a chance to save like a crazy man
[00:34:20.000 --> 00:34:23.000]   so that you can pay for the thing that you actually want.
[00:34:23.000 --> 00:34:25.000]   Cavanaugh in California, welcome to the show.
[00:34:25.000 --> 00:34:30.000]   How can I serve you today?
[00:34:30.000 --> 00:34:32.000]   Cavanaugh, time for you. Go ahead.
[00:34:32.000 --> 00:34:35.000]   Sorry. Hi. My name's Kirsten.
[00:34:35.000 --> 00:34:37.000]   Sorry, I don't know why I said that.
[00:34:37.000 --> 00:34:38.000]   Sorry about that.
[00:34:38.000 --> 00:34:39.000]   Oh, no problem.
[00:34:39.000 --> 00:34:42.000]   I was calling because I've been listening to you for years.
[00:34:42.000 --> 00:34:45.000]   I think we have somewhere around the same number of kids.
[00:34:45.000 --> 00:34:46.000]   I have five kids.
[00:34:46.000 --> 00:34:47.000]   Great.
[00:34:47.000 --> 00:34:48.000]   I think you have somewhere around there.
[00:34:48.000 --> 00:34:51.000]   We also homeschooled, also Charlotte Mason style.
[00:34:51.000 --> 00:34:53.000]   I feel like we've got a lot in common,
[00:34:53.000 --> 00:34:54.000]   so it's not like our family has grown a lot.
[00:34:54.000 --> 00:34:55.000]   I've listened to you over the years.
[00:34:55.000 --> 00:34:57.000]   Sure.
[00:34:57.000 --> 00:35:01.000]   I have two kid-related questions for you.
[00:35:01.000 --> 00:35:03.000]   The first would be, and I don't know,
[00:35:03.000 --> 00:35:06.000]   maybe this is something you'd end up doing a whole show about at some point.
[00:35:06.000 --> 00:35:08.000]   I know you've talked about traveling with kids.
[00:35:08.000 --> 00:35:14.000]   I would love some tips on the financial side of traveling with kids.
[00:35:14.000 --> 00:35:17.000]   I was curious, do you play any of the credit card games to do the points
[00:35:17.000 --> 00:35:19.000]   or the companion passes or anything?
[00:35:19.000 --> 00:35:24.000]   I know when you did that big traveling trip, you flew a ton.
[00:35:24.000 --> 00:35:27.000]   Given that we're also flying with five kids,
[00:35:27.000 --> 00:35:31.000]   I'm just wondering how some people do it because it's crazy.
[00:35:31.000 --> 00:35:32.000]   Sure.
[00:35:32.000 --> 00:35:33.000]   I'll answer that.
[00:35:33.000 --> 00:35:36.000]   What's your second question just so I know how to position my answers?
[00:35:36.000 --> 00:35:41.000]   My second question is about my oldest who is about to be 12.
[00:35:41.000 --> 00:35:44.000]   He's going into sixth grade.
[00:35:44.000 --> 00:35:46.000]   He is a unique kid.
[00:35:46.000 --> 00:35:53.000]   I would say he's very dyslexic.
[00:35:53.000 --> 00:35:56.000]   He struggles with that.
[00:35:56.000 --> 00:35:57.000]   He loves audiobooks.
[00:35:57.000 --> 00:36:02.000]   He actually spends more time listening to audiobooks than anyone I've ever
[00:36:02.000 --> 00:36:03.000]   known.
[00:36:03.000 --> 00:36:08.000]   Hours and hours a day.
[00:36:08.000 --> 00:36:12.000]   He's absolutely insecure because of his dyslexia.
[00:36:12.000 --> 00:36:17.000]   He ended up being very athletic and does very well in several sports to the
[00:36:17.000 --> 00:36:21.000]   point where we ended up involving him in travel sports,
[00:36:21.000 --> 00:36:23.000]   which is always one of those things I said we'd never do.
[00:36:23.000 --> 00:36:27.000]   Amazing how our commitments go out the window when we face a circumstance
[00:36:27.000 --> 00:36:30.000]   where all of a sudden I need to do this thing that I said I would never do.
[00:36:30.000 --> 00:36:33.000]   I spent years saying we would never do that, but here we are.
[00:36:33.000 --> 00:36:38.000]   He's also the kind of kid that has a really good head on his shoulders and
[00:36:38.000 --> 00:36:40.000]   is very financially savvy.
[00:36:40.000 --> 00:36:44.000]   He's always starting different businesses and has saved several thousand
[00:36:44.000 --> 00:36:48.000]   dollars at only 11 and is already investing in the stock market.
[00:36:48.000 --> 00:36:50.000]   He just loves that kind of thing.
[00:36:50.000 --> 00:36:52.000]   He's already thinking about what kind of career he wants in the future.
[00:36:52.000 --> 00:36:55.000]   When you're talking about all the different trades and everything,
[00:36:55.000 --> 00:36:59.000]   that's kind of -- we've had a couple conversations about it, too.
[00:36:59.000 --> 00:37:04.000]   Interestingly, his latest idea is that he wants to be a plumber and start his
[00:37:04.000 --> 00:37:08.000]   plumbing empire, as he calls it, because his dad is self-employed and owns his
[00:37:08.000 --> 00:37:10.000]   own business, too.
[00:37:10.000 --> 00:37:13.000]   He's familiar with the concept.
