
[00:00:00.000 --> 00:00:03.540]   That's a great intro. It is I.
[00:28:58.740 --> 00:29:01.240]   It's the other thing that's cool.
[00:29:01.240 --> 00:29:06.500]   Is that you have all these like influencers doing N8N things and you can just like screenshot
[00:29:06.500 --> 00:29:09.440]   their setups, which some of them are really useful.
[00:29:09.440 --> 00:29:11.720]   Like they're, they're LinkedIn scrapers or whatever.
[00:29:11.720 --> 00:29:16.820]   And, and it just saves a lot of time to be like, okay, someone has already done this,
[00:29:16.820 --> 00:29:17.360]   put it in.
[00:29:17.360 --> 00:29:22.640]   Um, but I, I don't, I can't deal with like graphical interfaces.
[00:29:22.640 --> 00:29:24.400]   Yeah.
[00:29:24.400 --> 00:29:29.120]   For me, anytime I'm trying to make a graphical interface, I run into something that a
[00:29:29.120 --> 00:29:33.620]   graphical interface can't handle, but I need to dig into the CLI and it has just
[00:29:33.620 --> 00:29:35.120]   permanently turned me off of GUIs.
[00:29:35.320 --> 00:29:35.500]   Yeah.
[00:29:35.500 --> 00:29:36.700]   Don't use the GUI.
[00:29:36.700 --> 00:29:37.600]   I don't use the GUI.
[00:29:37.600 --> 00:29:41.080]   Like it's, it's only JSON.
[00:29:41.080 --> 00:29:43.200]   Yeah.
[00:29:43.200 --> 00:29:46.780]   The reason you use it is because it's a structured data format.
[00:29:46.780 --> 00:29:50.420]   That's really like, it's really hard for a model to mess up.
[00:29:50.420 --> 00:29:54.760]   It, it, it automatically gives you the rails and you can ask it to generate more
[00:29:54.760 --> 00:29:59.220]   rails for itself and it's not going to just sold me on any then or Nate, as we're
[00:29:59.220 --> 00:30:00.020]   calling it now, I guess.
[00:30:00.020 --> 00:30:00.640]   Yeah.
[00:30:00.640 --> 00:30:04.900]   So the, yeah, the, the thing with GUI with lots of applications, but like
[00:30:05.080 --> 00:30:08.800]   you know, applications like, like N8N is like, stop trying to use them.
[00:30:08.800 --> 00:30:10.660]   Like make the model do everything.
[00:30:10.660 --> 00:30:11.680]   Stop trying to be smart.
[00:30:11.680 --> 00:30:12.700]   Like don't drive.
[00:30:12.700 --> 00:30:13.540]   Don't try to fix it.
[00:30:13.540 --> 00:30:16.900]   The model's smarter than you just figure out how to get the model to fix itself.
[00:30:17.860 --> 00:30:18.360]   Yeah.
[00:30:18.360 --> 00:30:20.440]   And just be careful to context engineering when you're doing this.
[00:30:20.440 --> 00:30:21.580]   Yeah.
[00:30:21.580 --> 00:30:25.240]   Or at least that's how I operate these days.
[00:30:25.240 --> 00:30:27.340]   It's like, I mean, that makes, that makes perfect sense to me.
[00:30:27.340 --> 00:30:27.760]   I like it.
[00:30:27.760 --> 00:30:28.960]   It sounds like a solid work.
[00:30:28.960 --> 00:30:33.460]   Cause you already have the data dog, like tracking everything, like getting a feedback
[00:30:33.460 --> 00:30:36.040]   loop of data dog that is tracking that.
[00:30:36.040 --> 00:30:39.880]   And then those agents are generating workflows that are going back into the data
[00:30:39.880 --> 00:30:44.800]   dog that are flagging specific things that are going back into the workflow that the agents
[00:30:44.800 --> 00:30:46.420]   are then watching, et cetera, et cetera.
[00:30:46.420 --> 00:30:50.740]   So you get these little recursive, recursive self-improvement loops.
[00:30:50.740 --> 00:30:52.400]   And it's not this grand AGI thing.
[00:30:52.400 --> 00:30:55.000]   It's just like one little loop that works for me.
[00:30:55.000 --> 00:30:56.800]   And you just shove those in everywhere.
[00:30:56.800 --> 00:31:00.160]   How do you avoid overfitting in those scenarios?
[00:31:00.160 --> 00:31:04.240]   I guess if it's not giving you, if it's not throwing an error, it wouldn't cause it to adjust.
[00:31:04.240 --> 00:31:05.020]   Yeah.
[00:31:05.020 --> 00:31:05.620]   Well, yeah, yeah.
[00:31:05.620 --> 00:31:11.900]   Like, so the, you, you, you review it, but like N8N is kind of how you avoid the overfitting.
[00:31:11.900 --> 00:31:15.520]   Like you give it these really structured places to play and just let it play.
[00:31:15.520 --> 00:31:18.280]   It was kind of the, the thing.
[00:31:18.280 --> 00:31:19.180]   Okay.
[00:31:19.180 --> 00:31:21.800]   Cool.
[00:31:21.800 --> 00:31:22.900]   Thank you very much for sharing that.
[00:31:24.900 --> 00:31:30.480]   Yeah, it's, I haven't, I feel like I'm not using it enough, but like from, from a philosophy
[00:31:30.480 --> 00:31:31.840]   perspective, every time.
[00:31:31.840 --> 00:31:37.460]   So like my, my, my thing that I end up doing is like, uh, when I'm, when I'm thinking about
[00:31:37.460 --> 00:31:41.340]   like these sort of AI first workflows is like, I start over engineering them.
[00:31:41.340 --> 00:31:42.860]   I'm like, oh, the model's messing up.
[00:31:42.860 --> 00:31:46.840]   So I have to step in like, no, that's, I need to like stop myself from doing that.
[00:31:46.840 --> 00:31:49.960]   Like, there's a way to get the model to step in on itself.
[00:31:49.960 --> 00:31:51.700]   I just have to find that and give it that.
[00:31:54.800 --> 00:31:56.160]   That's interesting.
[00:31:56.160 --> 00:31:58.180]   Well, it's not the model.
[00:31:58.180 --> 00:32:01.580]   It's a model of your choosing for that workflow.
[00:32:01.580 --> 00:32:02.860]   That being a three.
[00:32:02.860 --> 00:32:03.480]   Cause yeah.
[00:32:03.480 --> 00:32:05.840]   Sometimes it's like ensemble or like, yeah.
[00:32:05.840 --> 00:32:10.220]   So if, if, if there's a thing that this, that just a straight up call to one model is
[00:32:10.220 --> 00:32:15.320]   not going to work well, the answer to that is like call multiple models, have them debate,
[00:32:15.320 --> 00:32:19.460]   then ensemble that into the, like the ultimate deliverable.
[00:32:19.520 --> 00:32:22.980]   So it's always like, ship it back to the model.
[00:32:22.980 --> 00:32:27.740]   Like the, if the model, if the model can't handle the model and get the model to prompt
[00:32:27.740 --> 00:32:31.520]   the model, um, because I'm not going to try to figure out how to prompt the model to get
[00:32:31.520 --> 00:32:31.960]   the thing.
[00:32:31.960 --> 00:32:33.660]   Um, sounds like.
[00:32:33.660 --> 00:32:46.560]   What's funny is when we, uh, something we've observed, um, just in this experimentation with,
[00:32:46.560 --> 00:32:55.860]   uh, throwing spreadsheets and read me's at, um, E to B, you know, my numeral, we'd ran out of just
[00:32:55.860 --> 00:32:57.480]   letter acronyms, didn't we damn it.
[00:32:57.480 --> 00:33:04.500]   Uh, you know, I'm just, just throwing things at, at E to B is that when, uh, when we wrote
[00:33:04.500 --> 00:33:09.620]   the read me, it did not perform as well as when we wrote the read me and then asked the model
[00:33:09.620 --> 00:33:11.020]   to rewrite, to read me.
[00:33:11.020 --> 00:33:14.420]   They're better at prompting themselves than, than we are.
[00:33:14.420 --> 00:33:18.460]   Uh, like the topic console bench is really, really good for this.
[00:33:19.460 --> 00:33:26.240]   I would say there's like a, there's, there's like a sliver above where they're, where they're
[00:33:26.240 --> 00:33:32.120]   at, where I've seen, I'm, I wouldn't consider myself to be a talented enough context engineering
[00:33:32.120 --> 00:33:35.180]   to, to, uh, improve over O3 pros outputs.
[00:33:35.180 --> 00:33:40.400]   But I have seen people who get an output, uh, from something like O3 pro and then they just
[00:33:40.400 --> 00:33:45.200]   go in and they start moving tokens, uh, as superfluous.
[00:33:45.200 --> 00:33:49.440]   And I, there's a science to it that I.
[00:33:49.620 --> 00:33:51.140]   cannot, uh, grok yet.
[00:33:51.140 --> 00:33:54.400]   I'm trying to figure it out, but the models are great at that science.
[00:33:54.400 --> 00:33:57.400]   The model, the models will get you very far, I guess.
[00:33:57.400 --> 00:34:06.000]   Uh, yeah, that basically is, or, and it's like, yeah, like, or like, I think there's, uh, some
[00:34:06.000 --> 00:34:10.900]   principle, like principally papers that like show this, like the, the models are better at
[00:34:10.900 --> 00:34:12.160]   prompting themselves than we are.
[00:34:12.160 --> 00:34:16.980]   Like we might have like an edge sliver, but end of the day, like that's human stuff.
[00:34:16.980 --> 00:34:21.860]   What you, what the, the thing that you want is to add that little sliver into the search
[00:34:21.860 --> 00:34:27.900]   space that the model is looking forward to reconfigure this prompt into like the optimal
[00:34:27.900 --> 00:34:30.180]   sort of, sort of directive for the other model.
[00:34:30.180 --> 00:34:30.840]   Yeah.
[00:34:30.840 --> 00:34:31.500]   Makes sense.
[00:34:31.500 --> 00:34:34.500]   Reality is a search problem.
[00:34:34.500 --> 00:34:35.220]   change my mind.
[00:34:35.220 --> 00:34:44.980]   That's all I had, you know, I'm happy to answer the questions.
[00:34:44.980 --> 00:34:49.860]   I'm happy to hack at something, you know, what's the, yeah.
[00:34:49.860 --> 00:34:52.860]   What's something that you can't get the model to do with N8N right now?
[00:34:53.700 --> 00:34:56.580]   Or like, what's the, what's an N8N thing where, what is the thing where you're like,
[00:34:56.580 --> 00:34:57.780]   it doesn't work for this?
[00:34:57.780 --> 00:34:59.640]   I'm too, I'm too early.
[00:34:59.640 --> 00:35:03.660]   You know, I'm still, I'm still like getting my footing to be fair, you know?
[00:35:03.660 --> 00:35:05.200]   Well, yeah.
[00:35:05.200 --> 00:35:10.520]   So what I, uh, or like, so, uh, six spreadsheets was something that I heard doesn't work.
[00:35:10.520 --> 00:35:13.860]   You go, go to O3 pro say, Hey, I have these six spreadsheets.
[00:35:13.860 --> 00:35:17.580]   And I also have N8N that can also like stop to call a model.
[00:35:17.580 --> 00:35:22.320]   Just so you know, um, can you give me a workflow that is going to correctly
[00:35:22.320 --> 00:35:28.320]   ensemble the models such that they can actually parse the, um, uh, the spreadsheets.
[00:35:28.320 --> 00:35:30.620]   Here is the original spreadsheets.
[00:35:30.620 --> 00:35:35.460]   And then here are the, the spreadsheet outlet output that I didn't like.
[00:35:35.460 --> 00:35:36.780]   So avoid this.
[00:35:36.780 --> 00:35:40.560]   And then I'm gonna give you a description of the kind that I like, and then you
[00:35:40.560 --> 00:35:42.060]   just think on it and figure it out.
[00:35:42.060 --> 00:35:50.880]   Um, so yes, but O3 pro still has one 28 K context window.
[00:35:50.880 --> 00:35:54.960]   And so depending on those spreadsheets, he could be operating outside.
[00:35:54.960 --> 00:35:55.320]   Yeah.
[00:35:55.320 --> 00:35:58.740]   So it's gonna, it's gonna truncate it, but what it should figure out while it's
[00:35:58.740 --> 00:36:03.200]   trying to make that workflow is that it needs to create sub spreadsheets and
[00:36:03.200 --> 00:36:04.800]   send those off to different models.
[00:36:04.800 --> 00:36:07.920]   Yeah.
[00:36:07.920 --> 00:36:14.640]   So I might workshop that with, I might workshop your O3 pro prompt with like O3, uh, before
[00:36:14.640 --> 00:36:15.800]   you submit it to O3 pro.
[00:36:15.800 --> 00:36:16.740]   Yeah.
[00:36:16.740 --> 00:36:20.520]   And like, I might put that in a workflow that says like, Hey, like check this pro you know,
[00:36:20.520 --> 00:36:27.360]   the, uh, or like I would, I, I might expect that O3 might find out that, oh, like when I
[00:36:27.360 --> 00:36:33.240]   am creating this prompt of, uh, uh, uh, uh, of these three spreadsheets, then I should have
[00:36:33.240 --> 00:36:38.580]   a model recheck this outgoing spreadsheet slash prompt kind of thing that I'm sending during
[00:36:38.580 --> 00:36:41.880]   this workflow sort of, um, thing, but you need to like.
[00:36:42.540 --> 00:36:45.920]   You need to be able to iterate iteratively prompt it.
[00:36:45.920 --> 00:36:49.860]   So you kind of like need like a deep researchy workflow, which you can build within it.
[00:36:49.860 --> 00:36:53.880]   And you can just sort of, you know, you can, you can sense you have the model node and you
[00:36:53.880 --> 00:36:57.180]   have the JS node, like you have, you have all the tools you would normally have.
[00:36:57.180 --> 00:37:02.600]   If you're a JS developer, you just also have this like JSON based rails, primitive to build
[00:37:02.600 --> 00:37:04.100]   it off of kind of thing.
[00:37:04.100 --> 00:37:05.720]   I really liked the way that you put that.
[00:37:05.720 --> 00:37:12.440]   Um, so you could build in quality gates then to each step of the workflow where if X, Y, Z not
[00:37:12.440 --> 00:37:19.040]   met, and that could be X, Y, Z as determined by a model, uh, do not proceed or loop back.
[00:37:19.040 --> 00:37:20.660]   Yeah.
[00:37:20.660 --> 00:37:27.080]   And like, uh, uh, like stream the data dog logs of the other models and then have an ensemble
[00:37:27.080 --> 00:37:28.800]   of models constantly debating.
[00:37:28.800 --> 00:37:34.620]   If the, the, the cloud code prompts need to be changed or intervened or whatever, and
[00:37:34.620 --> 00:37:38.460]   then like have something text you when you need to like, when it actually needs a human.
[00:37:38.460 --> 00:37:41.520]   So I guess step one would be setting cost limits.
[00:37:41.520 --> 00:37:46.260]   Well, yes, well, yeah.
[00:37:46.260 --> 00:37:51.520]   So ideally the, the place I want to go with this is I want, I want, or because flagship models
[00:37:51.520 --> 00:37:55.560]   are going to be the thing with flagship models is they're powerful, but they're out of the box
[00:37:55.560 --> 00:37:56.100]   solutions.
[00:37:56.100 --> 00:38:01.740]   So if I have my collection of data dog logs and my collection of N8N workflows, and I have
[00:38:01.740 --> 00:38:10.260]   like Kimi K2 or deep seek R1, then I can like RL, my internal model to be better at specifically
[00:38:10.260 --> 00:38:12.660]   handling my data dog and my N8N.
[00:38:12.660 --> 00:38:14.700]   I love that.
[00:38:14.700 --> 00:38:15.540]   I love that.
[00:38:15.540 --> 00:38:17.460]   That makes, that makes all the sense.
[00:38:17.460 --> 00:38:20.820]   I'm telling you guys here, it's just in pieces.
[00:38:20.820 --> 00:38:22.620]   It's like together.
[00:38:22.620 --> 00:38:26.760]   I guess I'm going to try.
[00:38:26.760 --> 00:38:33.720]   And like anything works, you can use like Composio or you can use make or kind of whatever.
[00:38:33.720 --> 00:38:35.880]   It's just like anything that's sort of like constrains it.
[00:38:35.880 --> 00:38:39.960]   I think like the way Emmanuel approaches it is he just goes straight raw code and he's like,
[00:38:39.960 --> 00:38:45.360]   make me some DSLs and then flip around the words and the DSLs kind of a kind of situation.
[00:38:45.360 --> 00:38:49.920]   I just use N8N just because it's easy to self-host and I have a coolify one click on it, but it
[00:38:49.920 --> 00:38:51.060]   works with pretty much whatever.
[00:38:51.060 --> 00:39:04.260]   like, um, it's not that you necessarily need to use N8N either, but this graphical representation
[00:39:04.260 --> 00:39:06.900]   of flows, uh, is really interesting.
[00:39:06.900 --> 00:39:12.960]   I need to dig in more, but, um, what I've been doing when using sub agents.
[00:39:12.960 --> 00:39:15.360]   So I use M code, but I guess cloud code is the same.
[00:39:15.420 --> 00:39:19.980]   I will ask it to design a diagram of how to paralyze sub tasks.
[00:39:19.980 --> 00:39:22.200]   And so basically do workflows.
[00:39:22.200 --> 00:39:27.720]   And the, I use plant UML cause it's actually, I think better suited for it.
[00:39:27.720 --> 00:39:32.220]   I ask it to output a plant UML diagram and then use that as an instruction.
[00:39:32.220 --> 00:39:32.540]   Right.
[00:39:32.540 --> 00:39:39.780]   And it's like, it allows you to keep the model much more plant UML plant UML.
[00:39:40.500 --> 00:39:40.860]   Yeah.
[00:39:40.860 --> 00:39:46.740]   Like, like the old days, I think leaving behind UML and all of that, the first, the first
[00:39:46.740 --> 00:39:46.940]   one.
[00:39:46.940 --> 00:39:47.160]   Yeah.
[00:39:47.160 --> 00:39:50.940]   It's like mermaid, but like more tailored to software engineering.
[00:39:50.940 --> 00:39:55.680]   So if you, if you go look at, uh, if you go look at activity diagram, that's
[00:39:55.680 --> 00:40:00.740]   like the ones I usually use, um, see that scroll down a little bit.
[00:40:00.740 --> 00:40:01.140]   Yeah.
[00:40:01.140 --> 00:40:04.200]   Oh my God.
[00:40:04.200 --> 00:40:04.560]   Yeah.
[00:40:04.560 --> 00:40:05.460]   They, they use ads.
[00:40:05.460 --> 00:40:06.000]   Don't click it.
[00:40:06.000 --> 00:40:06.540]   It's an ad.
[00:40:08.640 --> 00:40:14.760]   Um, so if you scroll down, they have these like syntax down here and that
[00:40:14.760 --> 00:40:19.620]   allows you to define, like, it's a well-known notation that's been around for
[00:40:19.620 --> 00:40:23.560]   like 20 years and, but, but it, it doesn't really matter per se.
[00:40:23.560 --> 00:40:28.560]   It's more like, because it's a DSL slash syntax to define control flows.
[00:40:28.560 --> 00:40:33.360]   It's a really effective prompting technique compared to.
[00:40:33.960 --> 00:40:39.840]   You know, uh, even mark down to do lists because this wall per default, um,
[00:40:39.840 --> 00:40:43.320]   like encapsulate like parallelism.
[00:40:43.320 --> 00:40:46.080]   Let me see if I can share my screen because it will become much more
[00:40:46.080 --> 00:40:48.660]   evident if I show what I mean with it.
[00:40:48.660 --> 00:40:52.320]   Um, let me see, I'm on my Mac.
[00:40:52.320 --> 00:40:55.320]   So I'm not really used to how to do these things.
[00:40:55.320 --> 00:40:56.700]   Let me see.
[00:40:57.840 --> 00:40:59.900]   So this might be a little bit too big.
[00:40:59.900 --> 00:41:00.540]   There we go.
[00:41:00.540 --> 00:41:01.300]   Is that readable?
[00:41:01.300 --> 00:41:02.640]   Yep.
[00:41:02.640 --> 00:41:10.080]   Uh, so let's say we have a big mess of a code base with lots of garbage.
[00:41:10.080 --> 00:41:19.480]   Uh, I want to refactor it so that we first define a plan, like an architecture spec.
[00:41:20.760 --> 00:41:26.940]   Then review it, go back if it's bad, then start implementing a prototype.
[00:41:26.940 --> 00:41:39.300]   Then based on the prototype launch a series of parallel agents in their own work tree to refactor.
[00:41:40.260 --> 00:41:42.240]   The actual code base, I don't know.
[00:41:42.240 --> 00:41:45.960]   Output flow diagram as plant.
[00:41:45.960 --> 00:41:49.740]   Um, I'm going to switch away from O3, but I would usually do this in O3.
[00:41:49.740 --> 00:41:57.120]   Um, you know, with like the actual code base, not like, not like the prompt garbage code base.
[00:41:57.480 --> 00:41:58.980]   How much of the code base would you use?
[00:41:58.980 --> 00:42:03.120]   Whatever the agent decides it's, is necessary.
[00:42:03.120 --> 00:42:04.740]   Right.
[00:42:04.740 --> 00:42:09.120]   It's like, it's like, I, the goal is to trust it a lot.
[00:42:09.120 --> 00:42:09.340]   Right.
[00:42:09.340 --> 00:42:14.820]   Like I don't want to verify, I want to, I want to see how far I can push this kind of stuff.
[00:42:14.820 --> 00:42:21.480]   Um, and, and I mean, this is like upfront work to tell it where to look.
[00:42:21.480 --> 00:42:23.160]   So it's not too bad.
[00:42:23.160 --> 00:42:23.460]   Right.
[00:42:24.120 --> 00:42:27.620]   Um, but really my idea is like, okay, how much can I do?
[00:42:27.620 --> 00:42:31.080]   You know, like, like on, on, on auto.
[00:42:31.080 --> 00:42:35.180]   So that I remove myself from the, from the process.
[00:42:35.180 --> 00:42:35.400]   Right.
[00:42:35.400 --> 00:42:40.320]   And so this would be like a pretty clean way of architecting something right.
[00:42:40.320 --> 00:42:43.280]   Where you have like, maybe this is a sub-agent that does the review.
[00:42:43.280 --> 00:42:48.400]   Then you implement the prototype, you do this, and then you spawn the parallel refactors.
[00:42:48.400 --> 00:42:53.660]   So don't do this in Sonnet, at least not the heavily.
[00:42:54.180 --> 00:42:58.160]   neutered Sonnet, because that's a recipe for, for disaster.
[00:42:58.160 --> 00:43:02.160]   And then I don't have an agent on here.
[00:43:02.160 --> 00:43:17.220]   Um, but, uh, I don't know how we could do this, simulate that, uh, simulate a run through with agents, as if you were a coding agent with sub-agent tools.
[00:43:19.220 --> 00:43:27.140]   Uh, I don't know, but this is a really effective prompting technique versus, you know, the more like text oriented way of doing things.
[00:43:27.140 --> 00:43:38.880]   Uh, so I, I recommend trying it out because you can use it not just for coding, but for anything that's like a workflow and an agent, instead of describing it in text, which is like.
[00:43:39.520 --> 00:43:44.260]   ish, if you use code to describe it, it will like prompt it too hard to write code.
[00:43:44.260 --> 00:43:48.820]   But I found this like intermediate diagram technique, pretty good to, to prompt sub-agents.
[00:43:49.360 --> 00:44:01.180]   So I've asked, I've put a memory in my chat GPT subscription so that whenever it thinks to output code that unless I was specifically asking for code, it should default to pseudo code.
[00:44:01.180 --> 00:44:03.100]   And I found that to be very productive.
[00:44:03.760 --> 00:44:07.660]   yeah, yeah, so, so, so I've been playing around with these different things.
[00:44:07.660 --> 00:44:12.700]   I have something that's really interesting that I'm going to show as well, because they might give people some ideas.
[00:44:12.700 --> 00:44:18.700]   Um, so the, I've been playing around with these like prompting techniques.
[00:44:19.600 --> 00:44:29.380]   that are like kind of world-changing like use T-mux was a big, was a big one where it would always struggle running like servers in the background and tailing their logs and like closing them properly.
[00:44:29.380 --> 00:44:35.140]   And, you know, it would like run a server, but then not be able to kill it and would kill other processes.
[00:44:35.140 --> 00:44:38.440]   So just using T-mux was like a pretty good way to solve that.
[00:44:38.440 --> 00:44:45.880]   And then I think for agents, what I think would be really interesting and I haven't really tried it out yet.
[00:44:45.880 --> 00:44:47.260]   Let me see if I can find it.
[00:44:48.580 --> 00:44:58.720]   Man, I generate way too much stuff and madness, um, is using Redis CLI to both synchronize and also communicate sub agents with each other.
[00:44:58.720 --> 00:44:58.900]   Right.
[00:44:58.900 --> 00:45:02.980]   Cause they can store data, but they can also subscribe to event queues.
[00:45:02.980 --> 00:45:10.280]   So that sub agents are able to communicate saying like, I've done this and I've modified this file and then other agents can just pull them.
[00:45:10.280 --> 00:45:15.160]   So I had them create like a JavaScript sandbox.
[00:45:15.160 --> 00:45:17.080]   Um, and also.
[00:45:17.740 --> 00:45:22.960]   A set of, so there's low level primitives for Redis, right.
[00:45:22.960 --> 00:45:26.440]   Which are cool, but they're like a little bit brittle.
[00:45:26.440 --> 00:45:33.280]   And then on top of those, I built a whole set of basically agent coordination things.
[00:45:33.280 --> 00:45:37.120]   So this is the, the low level stuff, but then agents can do this.
[00:45:40.060 --> 00:45:51.520]   And I'm really curious to see if you give the agents basically the command line tools to do this, or the JavaScript methods to do this, like how much they can start communicating.
[00:45:51.520 --> 00:45:54.280]   Um, because they know what communication between agents looks like.
[00:45:54.280 --> 00:45:54.520]   Right.
[00:45:54.520 --> 00:46:03.400]   Like there's enough of that in the training corpus to, uh, to say, well, I'm going to wait on this agent to have finished refactoring the email stuff before I move on.
[00:46:03.400 --> 00:46:09.220]   And then they call a blocking tool, um, and wait until the email agent says like I'm done.
[00:46:09.760 --> 00:46:20.240]   So, so I haven't played with this too much, but do you have agents like hot loaded and ready to fire off or do you, uh, like spin them up for each one?
[00:46:21.940 --> 00:46:27.100]   So I have a MCP that's just like executing JavaScript, but I haven't tried it out yet.
[00:46:27.100 --> 00:46:28.960]   Like, this is just an idea that I'm playing with.
[00:46:28.960 --> 00:46:36.100]   I, I tried to give it like shell scripts and say like call redis CLI to synchronize and that worked in some instances.
[00:46:36.100 --> 00:46:42.520]   And it was really cool to see them like all the same pub sub and say like, oh, well, I, it looks like this agent hasn't finished.
[00:46:42.520 --> 00:46:43.240]   So I'm going to wait.
[00:46:43.240 --> 00:46:51.920]   Uh, I went through an attempt to automate cloud code with this before hooks were a thing and it, it was a bit, it was a bit of a nightmare.
[00:46:52.220 --> 00:46:57.500]   Uh, in my experience, but I mean, I, I'm sure there are better ways to do it now.
[00:46:57.500 --> 00:47:00.020]   And it wasn't robust enough.
[00:47:00.020 --> 00:47:09.960]   Uh, it wasn't robust enough, but let one thing that we can try is if we take this and go back to our diagram, right?
[00:47:09.960 --> 00:47:21.880]   Like if we rewind to here and then now use annotate with these APIs to show how to communicate.
[00:47:22.780 --> 00:47:28.720]   Amongst agents and add it to the flow diagram.
[00:47:28.720 --> 00:47:29.140]   I don't know.
[00:47:29.140 --> 00:47:37.880]   This is horrible prompting, but, um, this kind of stuff seems to, seems to work pretty well.
[00:47:39.780 --> 00:47:41.340]   Yeah, depending on, right.
[00:47:41.340 --> 00:47:44.840]   Like I want to find the structures that make prompting.
[00:47:44.840 --> 00:47:50.100]   Not making it up on the spot is, is, is too hard, too much pressure.
[00:47:50.100 --> 00:47:51.480]   Get a model to do it.
[00:47:51.480 --> 00:47:55.980]   Um, so here you can see that they do.
[00:47:55.980 --> 00:47:56.380]   Right.
[00:47:56.380 --> 00:48:00.040]   Like once you prompt them with this and the graph, I think it's going to be really robust.
[00:48:00.040 --> 00:48:07.780]   Um, and, um, yeah, I'm going to, going to play more with it.
[00:48:07.780 --> 00:48:09.820]   I'd like destroyed my JavaScript MCP.
[00:48:09.820 --> 00:48:12.040]   So green that you're going to mess with this one on.
[00:48:12.040 --> 00:48:16.480]   I got to make sure I'm, uh, I think next week, maybe.
[00:48:16.480 --> 00:48:17.260]   Oh yeah.
[00:48:17.260 --> 00:48:20.980]   Anyway, that's what I wanted to show.
[00:48:20.980 --> 00:48:22.960]   Hopefully that gives like people some ideas.
[00:48:22.960 --> 00:48:24.400]   And cause I'm curious to see.
[00:48:24.400 --> 00:48:26.200]   Okay.
[00:48:26.200 --> 00:48:31.680]   I think there's so much untapped stuff in agents to actually build big code bases that don't
[00:48:31.680 --> 00:48:32.500]   sloppify, right?
[00:48:32.500 --> 00:48:36.940]   Cause like refactoring a bit code base is even more pattern matching than like building
[00:48:36.940 --> 00:48:38.260]   new features in a way.
[00:48:38.260 --> 00:48:46.060]   Have you done anything with like, uh, craft databases for like, uh, code base management
[00:48:46.060 --> 00:48:53.260]   where it sort of like internal, like summarizes and internalizes that stuff to a graph database
[00:48:53.260 --> 00:48:58.780]   for, uh, prompting and pulling like lazy loaded sections of it.
[00:48:58.780 --> 00:49:02.440]   I, I have a little.
[00:49:02.440 --> 00:49:07.720]   A little bit by using this, I don't, I don't know how much I've shared in, in AI in action,
[00:49:07.720 --> 00:49:11.620]   but I've been doing this like JavaScript based thing where it's just like in JavaScript, you
[00:49:11.620 --> 00:49:12.400]   have SQLite.
[00:49:12.400 --> 00:49:18.760]   So that gives the model the option to store things, but also create JavaScript function as needed.
[00:49:18.760 --> 00:49:22.400]   And I told it like, Oh, model the code base.
[00:49:22.400 --> 00:49:24.000]   And that's all I prompted it.
[00:49:24.000 --> 00:49:29.280]   I just said, like, you know, you have a database, you have JavaScript, like, please model the database.
[00:49:29.280 --> 00:49:31.640]   And it did a graph database kind of like, right.
[00:49:31.640 --> 00:49:33.620]   Like it would start analyzing the files.
[00:49:33.620 --> 00:49:40.700]   So I added a tree sitter library into my JavaScript sandbox and it started using that.
[00:49:40.700 --> 00:49:41.820]   Like, it's pretty crazy.
[00:49:41.820 --> 00:49:42.080]   Cause.
[00:49:42.080 --> 00:49:47.300]   That's what I meant with like, I have zero prompt effort to, to do like, the only thing I need to
[00:49:47.300 --> 00:49:49.820]   do is say like, write the code.
[00:49:49.820 --> 00:49:52.740]   If you don't put write the code, it will like not do it.
[00:49:53.280 --> 00:49:54.120]   So it's really weird.
[00:49:54.120 --> 00:49:57.000]   It's like model the database, by the way, you can write code.
[00:49:57.000 --> 00:50:02.940]   And then it will do like, it will like, come up with a pretty good graph database on the spot.
[00:50:02.940 --> 00:50:04.200]   And I don't need to worry about it.
[00:50:04.200 --> 00:50:07.440]   Do you have a repo with an example of that?
[00:50:08.580 --> 00:50:10.200]   Yeah, it's called Jesus.
[00:50:10.200 --> 00:50:13.140]   I said, I think it's broken right now.
[00:50:13.140 --> 00:50:14.220]   I'm not fully sure.
[00:50:14.220 --> 00:50:15.900]   Is that what he's called Jesus?
[00:50:15.900 --> 00:50:17.340]   That's what you shout at the computer screen?
[00:50:18.480 --> 00:50:19.720]   No, cause it's JavaScript.
[00:50:19.720 --> 00:50:20.760]   Okay.
[00:50:20.760 --> 00:50:22.620]   Right.
[00:50:22.620 --> 00:50:28.760]   Like the GS, uh, it used to be called experiments JS web server, but that that's kind of, uh,
[00:50:28.760 --> 00:50:33.480]   so, so this is, it has like a full ripple and like all kinds of crazy stuff.
[00:50:33.480 --> 00:50:37.020]   This is like a little bit too over, over vibed, I think.
[00:50:37.020 --> 00:50:43.640]   Um, but, uh, the other thing that I have is this go, go, go jar.
[00:50:43.640 --> 00:50:47.900]   So it's all go with a JavaScript, um, thing.
[00:50:47.900 --> 00:50:54.920]   And so I cleaned up all my module engine and I'm starting to add more and more modules in there.
[00:50:54.920 --> 00:51:05.060]   So currently those are very, very simple, but, um, in my, in my big vibes mess repo.
[00:51:05.060 --> 00:51:11.000]   So this is all stuff built completely autonomously by man is like, this is code.
[00:51:11.000 --> 00:51:13.040]   I don't even understand or look at.
[00:51:13.040 --> 00:51:17.460]   Um, but I have, I have like an LSP interface.
[00:51:17.460 --> 00:51:18.300]   That seems to work.
