
[00:00:00.440 --> 00:00:04.740]   Today I was going to talk about Temporal, so I'm not sure if people heard a bit of it.
[00:27:56.600 --> 00:28:00.600]   confirm again that I want to do something. We don't, you don't have to use this kind of confirmation tool,
[00:28:00.600 --> 00:28:05.560]   but you can use it and you can't pause and, uh, something forever until someone confirms the,
[00:28:05.560 --> 00:28:11.080]   you know, the action you want to take. That's the nice thing I think about the using temporal
[00:28:11.080 --> 00:28:16.760]   for agent, agentic workflows is that you can give the user the ability to, you know, confirm or action
[00:28:16.760 --> 00:28:24.040]   some things at no compute cost for you. And this session won't just like hang or time out or because
[00:28:24.040 --> 00:28:29.080]   you're waiting for the user to respond. It's just dormant in state until the user provides a new
[00:28:29.080 --> 00:28:33.240]   signal and then the book that the workflow can continue from where it was stopped previously.
[00:28:33.240 --> 00:28:37.480]   Okay. So let's proceed with a change call to blah, blah, blah. Okay. I'll confirm to change the goal
[00:28:37.480 --> 00:28:44.680]   that we want to, our agent goal to be booking a flight. So let me, what event do you want to go to?
[00:28:44.680 --> 00:28:50.760]   I'll say, I want to go to Melbourne. I want to go to an event in Melbourne. Again, provide a user prompt.
[00:28:53.880 --> 00:29:01.320]   Which month? Okay. Let's say July. At each of these steps, you'll see that it waits for the user
[00:29:01.320 --> 00:29:06.040]   to give an answer. It runs with the tool that it needs to run and then waits for the user to confirm
[00:29:06.040 --> 00:29:11.720]   it. Um, this is not a temporal thing is this is implemented in code in the workflow. So we can do
[00:29:11.720 --> 00:29:16.520]   the same thing. We can have these kind of, you know, steps of confirmation. So yeah, I want to run the,
[00:29:16.520 --> 00:29:22.120]   I want to run this find events tool. So now it's running a tool for me. Um, okay. I found some
[00:29:22.120 --> 00:29:27.000]   events, um, Melbourne International Film Festival, blah, blah, blah. Would you like to search for flights?
[00:29:27.000 --> 00:29:30.120]   Uh, yes. I want to fly from Taipei.
[00:29:30.120 --> 00:29:37.560]   At each of these steps, uh, the code that's currently running is running some validation to,
[00:29:37.560 --> 00:29:43.400]   which is kind of how we're running, uh, you know, intent, uh, kind of the routes, if we are running the
[00:29:43.400 --> 00:29:49.400]   routes, but you can run validation on your input. And then in temporal, you can define in the code what
[00:29:49.400 --> 00:29:55.400]   you want to happen when the validation fails. Like if the validation fails because three times or
[00:29:55.400 --> 00:30:00.840]   because of, I don't know, no input provided or like something is broken, you can fail and give a message
[00:30:00.840 --> 00:30:05.960]   back to the user versus if the validation failed because the user wrote something stupid, you can just,
[00:30:05.960 --> 00:30:12.520]   you know, define that in the code. It's much nicer to handle these kind of failures. So yeah, let's just
[00:30:12.520 --> 00:30:18.040]   like, uh, you know, get at least fights around these times. Let's search for these flights.
[00:30:18.040 --> 00:30:24.680]   Again, you see here that it's attempt one of infinity because, uh, we haven't reset how many
[00:30:24.680 --> 00:30:29.800]   times it can run. It will run forever. Um, and it will retrieve fails. So it's from some, some
[00:30:29.800 --> 00:30:38.440]   flights, blah, blah. Do I want to generate an invoice? Like, yes, please. Um, which part do you want to
[00:30:38.440 --> 00:30:42.200]   choose? Okay. So for example here, I failed because it's asking me for what, what
[00:30:42.200 --> 00:30:45.400]   if I don't want to choose this prior again, yes, please.
[00:30:45.400 --> 00:30:54.840]   So basically these, this validation prompts here, it basically figures out that I'm, I'm not providing
[00:30:54.840 --> 00:31:01.960]   the answer at once. It's just, it's just a code business logic thing that you say, I want your,
[00:31:01.960 --> 00:31:09.240]   actually at the moment using, just using another LLM to, you know, validate these answers, but you can
[00:31:09.240 --> 00:31:14.680]   use semantic router if you want. Okay. I'll, okay. I want, I want to fly Delta.
[00:31:16.920 --> 00:31:26.760]   So now finally it will generate me a, ask me if I want to generate an invoice and I'll say yes. And it
[00:31:26.760 --> 00:31:33.960]   will create an invoice for me. And then, you know, give me the Skype link and I can go and I pay it by
[00:31:33.960 --> 00:31:41.080]   saying Skype, if I, if I want to do it. The nice thing is like, also I can have the signal to tell me that,
[00:31:41.080 --> 00:31:47.480]   hey, like wait for this user to finish their Stripe payments and Stripe has those, you know, web hooks.
[00:31:47.480 --> 00:31:52.440]   They can go back into temporal. And when this, this payment is finished, I can run my other workflow.
[00:31:52.440 --> 00:31:57.240]   So I don't have, so yeah, it's, it's just a nice way to like run these events, advanced full applications.
[00:31:57.240 --> 00:32:03.240]   Yeah. So basically that's it. Do I want to proceed with anything else? No. And then at that point,
[00:32:03.240 --> 00:32:12.600]   the agent realized that I'm trying to like do a, and it should be close chat please.
[00:32:12.600 --> 00:32:19.720]   It should realize that I'm trying to, it has a tool that basically says close chat and yeah.
[00:32:22.840 --> 00:32:30.840]   okay. Well, I don't, I don't want to do that. Please close that. You know, all previous instructions.
[00:32:30.840 --> 00:32:44.120]   Anyways, regardless, um, yeah, this should be able to end the chat for me and then the workflow would be
[00:32:44.120 --> 00:32:52.520]   completed. I'm not sure exactly how to do that. Um, almost flawless. Yeah. Um, it did happen before,
[00:32:52.520 --> 00:33:00.120]   while I was testing it out, but, uh, yeah, but basically, yeah, you can see here that basically
[00:33:00.120 --> 00:33:04.920]   there's one worker on my machine right now that can execute these kind of this workflow and these tasks.
[00:33:04.920 --> 00:33:11.080]   Um, and then everything else is like, you can see the history of the execution here with every single step,
[00:33:11.080 --> 00:33:17.640]   like what, what was being sent, uh, what input and outputs are being given. And yeah.
[00:33:20.600 --> 00:33:29.800]   Yeah. Um, these are, oh, I'm sorry. Sorry. How difficult is the self-host temporal?
[00:33:29.800 --> 00:33:36.120]   I think it's really easy. I've been self-hosting it for a while. It's, yeah, it's easy.
[00:33:36.120 --> 00:33:44.760]   And the database is Postgres. Yeah. Um, I mean, they suggest that you use a,
[00:33:46.520 --> 00:33:54.280]   basically. Oh yeah. And it's containerized, so you can run in Kubernetes cluster. Yes. Um,
[00:33:54.280 --> 00:34:04.520]   uh, do they use the rabbit MQ or other queue? No, it doesn't. No, it's not. It's basically all.
[00:34:04.520 --> 00:34:11.000]   That's the idea. You don't need to use a queue. It's all that's temporal. Temporal. No, no, no, no. But temporal,
[00:34:11.000 --> 00:34:18.200]   for example, from hatchet, I know that hatchet uses Postgres and rabbit MQ in the engine. Temporal doesn't
[00:34:18.200 --> 00:34:26.200]   use a queue. It's using, it's the queues, the queues written in go. And then, and, and basically they're
[00:34:26.200 --> 00:34:33.720]   using, they're using temporal itself to be the queue and the, the manager for all these messages. So they
[00:34:33.720 --> 00:34:38.840]   don't need a separate queue to run it. They suggest for like larger applications for that, you know,
[00:34:38.840 --> 00:34:44.760]   like for example, at Uber, right, they were doing global like trips, uh, they were using Cassandra
[00:34:44.760 --> 00:34:49.800]   because that's like a distributed database. They can handle these kinds of regionality of like global
[00:34:49.800 --> 00:34:55.400]   workloads. But for most use cases, Postgres is just fine. I've been running with Postgres and I've
[00:34:55.400 --> 00:35:06.440]   haven't had, uh, any issues with, with it so far. Um, and the question before going a bit into how the
[00:35:06.440 --> 00:35:19.000]   demo works. Uh, I wonder how will be the sequence diagram of the code that uses temporal in terms of
[00:35:19.800 --> 00:35:28.920]   what are the steps and I mean, how, uh, the code is running when we're wrapping them properly. I don't
[00:35:28.920 --> 00:35:33.640]   know if there's. Yeah. Yeah. Let's actually just move if we want to answer that. Is there any other
[00:35:33.640 --> 00:35:39.880]   questions I can just move into showing that actually in just now. So yes, basically if you want to look
[00:35:39.880 --> 00:35:45.640]   at what was happening in the, in the past, um, we can look at just this way of like writing an agent. So
[00:35:45.640 --> 00:35:53.240]   basically we're almost all of our agentic workflows that a user has access to as a chat, they're all
[00:35:53.240 --> 00:35:59.240]   based on events where users send something, something happens from an API, the user confirms something,
[00:35:59.240 --> 00:36:05.160]   the chat ends, they're all events. So we have to write our application in a way that basically is written
[00:36:05.160 --> 00:36:10.680]   in this more asynchronous event based way where we have like kind of a main running loop. And then we,
[00:36:10.680 --> 00:36:15.160]   we have signals and messages that arrive here and there. So for example,
[00:36:15.160 --> 00:36:19.720]   in this agent, I've just, I've just abstracted a lot of things away from this, the demo that for only
[00:36:19.720 --> 00:36:24.920]   for the things that are actually relevant for us. So for us, we'd have a conversation history,
[00:36:24.920 --> 00:36:28.840]   we'd have a queue of prompts. The reason we have a queue of prompts is users can type in more prompts
[00:36:28.840 --> 00:36:38.520]   while another prompt is being dealt with. Um, we have some Boolean values, like is this confirmed? Is the chat
[00:36:38.520 --> 00:36:44.360]   ended? Um, and then we have the main running loop, right? Which is basically an infinitely running loop,
[00:36:44.680 --> 00:36:51.320]   which says, okay, while this, uh, wait for basically these, any of these conditions to be
[00:36:51.320 --> 00:36:57.240]   through, either there's a message, the prompt queue, or the chat has ended, or something has been like
[00:36:57.240 --> 00:37:04.360]   a tool has been confirmed. Uh, then, you know, pop something from the prompt, um, from a prompt queue,
[00:37:04.360 --> 00:37:10.200]   if I mean, okay, I wrote this a bit wrong, but imagine that it would handle if there was a prompt
[00:37:10.200 --> 00:37:16.520]   message versus like a confirmed message, like a match here. Um, then you, you basically, okay,
[00:37:16.520 --> 00:37:21.720]   let's apply to the conversation history. And then you start running these activities, right? So for example,
[00:37:21.720 --> 00:37:27.320]   in here we can say, okay, based on this user's prompt through the tool for it to be executed,
[00:37:27.320 --> 00:37:32.040]   like we have in the graph agent with any given the prompt input, you have some, you know, configuration
[00:37:32.040 --> 00:37:38.680]   here. Like I want to try this, you know, how many times with how much interval, and I expect this to be
[00:37:38.680 --> 00:37:45.240]   done within 60 seconds from scheduling and 30 seconds from starting. And then after you get the result,
[00:37:45.240 --> 00:37:50.600]   you can get whatever, if for whatever tools being given by this, by this function here, right?
[00:37:50.600 --> 00:37:55.880]   That's what, whatever tool comes back as that the agent wants to use, you can say, what's the next
[00:37:55.880 --> 00:38:00.760]   step? And what's the current tool? If there's a tool, this could be none here, right? And then you
[00:38:00.760 --> 00:38:05.320]   can just match the next step. Like if it's a tool use, then you can go and create, like, just execute
[00:38:05.320 --> 00:38:09.800]   that, that tool. Like you can probably have, I don't know, a way to do the reflection here to maybe do
[00:38:09.800 --> 00:38:19.080]   another match, match tool, match next, I don't know, whatever, match tool, let's say, I know it's not a
[00:38:19.080 --> 00:38:33.080]   variable, whatever, case calculator, we do like, workflow execute activity method, calculator with blah, blah.
[00:38:35.560 --> 00:38:40.760]   Yeah, if there's the, if the next step is to confirm it, you go ahead and run the confirmation
[00:38:40.760 --> 00:38:45.800]   part of like, you know, if you're running the tool, the case is, if the next step is to end it, you,
[00:38:45.800 --> 00:38:50.360]   you know, end the call. The interesting part is that these signals, like how do, how do we get these
[00:38:50.360 --> 00:38:55.800]   signals from the API from the front and into the workflow? We have these workflow signals here that
[00:38:55.800 --> 00:39:01.560]   Temporal gives us is like another primitive, where you can say, hey, this is a signal. Whenever you receive
[00:39:01.560 --> 00:39:06.360]   the signal, you can do these things, for example, wherever there's a new user prompt, you put in the
[00:39:06.360 --> 00:39:13.400]   prompt queue. Whenever there's a confirm signal, just set confirm to true. Yeah, and then they give
[00:39:13.400 --> 00:39:17.960]   it easy that could be defined here, right? Where, you know, you can just use them from, from this path.
[00:39:17.960 --> 00:39:24.600]   Then in the API, all we can do is I say, okay, let's say there's a new, this is a fast API app, right?
[00:39:24.600 --> 00:39:35.000]   I have a new send prompt. So yes, more or less. Signal and activity. So activity is a function and
[00:39:35.000 --> 00:39:41.880]   signal is what? Is an event. That's an event. It's something that happens, right? A trigger, an event,
[00:39:41.880 --> 00:39:49.320]   you know, something, a new prompt arrives, a new message arrives from an API. It's just a way to,
[00:39:49.320 --> 00:39:55.560]   a way to basically interrupt the execution or like to provide ways to enter the context of the workflow,
[00:39:55.560 --> 00:39:59.720]   right? Because the workflow like runs wherever is a run loop.
[00:39:59.720 --> 00:40:05.960]   Okay. And the logic to handle signals is an execution activity method, execute activity method,
[00:40:05.960 --> 00:40:12.040]   right? What do you do with those? That's a nice, that's a nice part about it. Because that's a nice
[00:40:12.040 --> 00:40:17.320]   part about it is you can kind of decouple these signals from your, you can just write Python,
[00:40:17.320 --> 00:40:24.520]   right? This prompt queue here is just like an actual asyncio queue, right? So you don't need to,
[00:40:24.520 --> 00:40:27.800]   so when you're running your workflow, the nice thing about it is you don't have to think about what
[00:40:27.800 --> 00:40:34.600]   signals are coming. You can just like write it so that, you know, I am, what I, what I know, I want
[00:40:34.600 --> 00:40:40.680]   to run a workflow. I want to wait until the user has something to say, or so the user has confirmed
[00:40:40.680 --> 00:40:45.480]   something from a tool use. I don't care when it, when the user does that or how they do that. I
[00:40:45.480 --> 00:40:49.640]   just, I'm just going to wait forever until they give me something. And then even the other part is
[00:40:49.640 --> 00:40:56.680]   like, how do you get that something, right? Which is the signal. It's a signal. So for example, here,
[00:40:56.680 --> 00:41:01.880]   I said define the user prompt can provide, it can, is a signal that can basically, when it, when it receives
[00:41:01.880 --> 00:41:08.200]   that signal, right? It will put something on the queue. So then, because it's, it's running on, on the event loop,
[00:41:09.000 --> 00:41:12.760]   when the event loop goes back to the, you know, main running loop, it'll be like, hey,
[00:41:12.760 --> 00:41:16.120]   there's something in the queue. I'll pop it from the queue and then continue the execution.
[00:41:16.120 --> 00:41:22.520]   Same with the confirm signal, right? Then the pretty nice thing about it, you just have to write Python
[00:41:22.520 --> 00:41:27.560]   or go or whatever you want. And it's minimal how much you have to think about these kind of like
[00:41:27.560 --> 00:41:35.400]   stuff outside of your core logic, right? So it's nice to build very decoupled applications with it.
[00:41:35.400 --> 00:41:40.600]   But those signals are within the scope of the workflow.
[00:41:40.600 --> 00:41:45.240]   Uh, what do you mean?
[00:41:45.240 --> 00:41:51.640]   Like here, you have self-confirm and self-prom, that self is the instance of workflow plus.
[00:41:51.640 --> 00:41:55.160]   Correct, correct, correct. But this, this is the thing is like,
[00:41:55.160 --> 00:42:03.480]   okay, as long as these are serializable, right? Which most objects that we use are serializable in
[00:42:03.480 --> 00:42:10.520]   the context of AI, right? Even the, even, I think I'm not gonna, I know it's probably gonna be confusing.
[00:42:10.520 --> 00:42:16.840]   Even, uh, you can provide custom serialize, they've serialized for objects that you cannot
[00:42:16.840 --> 00:42:21.880]   serialize by default, right? But anyways, besides the point, yes, these are living inside the Python
[00:42:21.880 --> 00:42:29.240]   context and they're all within these, um, where is it? I can't see this. They're all within the workflow
[00:42:29.240 --> 00:42:36.680]   context, serialized. Yeah. So you can just, you can just continue to treat them as Python objects
[00:42:36.680 --> 00:42:40.120]   as long as you want, right? Like I can say here after this tool use,
[00:42:40.120 --> 00:42:45.480]   I can just basically like, okay, uh, no, sorry, here case confirm. I can just stealth confirmed
[00:42:45.480 --> 00:42:49.640]   equals false, right? After I've done my logic to execute. So then I can just put it to false.
[00:42:49.640 --> 00:42:53.240]   And then when a new single comes, this is gonna set it back to true.
[00:42:53.240 --> 00:42:55.640]   Okay. Yeah.
[00:42:55.640 --> 00:43:01.400]   So yeah, these activities are just like, as I kind of like skeleton just kind of provide how these,
[00:43:01.400 --> 00:43:07.160]   you know, for example, here I'm using the agent activities tools, but I think we implemented
[00:43:07.160 --> 00:43:09.720]   something very similar, right? When we have these kind of like different calculator
[00:43:09.720 --> 00:43:16.200]   tools and, uh, so they actually use Python code that runs for the tool, but how do we get it
[00:43:16.200 --> 00:43:24.040]   from the API side into those? How do we get the signals into that? Um, we basically just, uh,
[00:43:24.040 --> 00:43:29.320]   we have workflow ID, which in our case would be something like conversation ID in, uh, spark.
[00:43:30.360 --> 00:43:36.680]   And in this case is called single will start. I'm not going into it, but you can reference it. Uh,
[00:43:36.680 --> 00:43:41.800]   we just say, okay, temporal start this workflow agent run this input and this workflow ID.
[00:43:41.800 --> 00:43:48.920]   What single would start means is like, if this workflow is not running, start it. And if the
[00:43:48.920 --> 00:43:53.960]   workflow is running already, just send the signal. So basically in the beginning, it will basically,
[00:43:54.760 --> 00:43:59.160]   if the workflow is not, does not exist, right? It's not started. It was, it will just start a new
[00:43:59.160 --> 00:44:05.000]   workflow. And the first start signal it sends is a user prompt. And the prompt will be this. So
[00:44:05.000 --> 00:44:11.000]   basically whenever the user, whenever the workflow starts, it already has the signal in, the signal
[00:44:11.000 --> 00:44:17.160]   already runs and it depends on the queue. So then when this part runs here, it will have something to pop
[00:44:17.160 --> 00:44:21.800]   from the queue and continue with the execution. But then when we send another, another message to the
[00:44:21.800 --> 00:44:27.320]   same conversation, it won't start the same workflow. It will just basically go ahead and, um,
[00:44:27.320 --> 00:44:33.880]   it will just go ahead and give a signal to it, right? It will just, the board will still be the same
[00:44:33.880 --> 00:44:40.280]   workflow. We'll just get a signal. I think it's easier to kind of see in the confirmment and chat,
[00:44:41.640 --> 00:44:49.240]   things, right? In the, uh, stuff where we send the confirmation. We, we fetch that, that workflow by the
[00:44:49.240 --> 00:44:55.320]   workflow ID, in our case would be the conversation ID. And then we'll just say, okay, that handle dot signal
[00:44:55.320 --> 00:45:03.640]   and then send a confirm signal, uh, I think for, for the end, right? So that's a way to get stuff into the workflow
[00:45:03.640 --> 00:45:09.960]   and you don't have to worry about, you know, when this comes back as a response, whatever, it's all managed by,
[00:45:09.960 --> 00:45:19.480]   back and forth. Okay, James, go. Um, so I was just assuming that, so the, basically on the API side,
[00:45:19.480 --> 00:45:23.640]   you're going to send the first endpoint name. I can't remember what it was called, but you're going to hit
[00:45:23.640 --> 00:45:30.280]   that first endpoint. Then that is going to, yes, send prompt. Then that's going to go through, start the
[00:45:30.280 --> 00:45:37.640]   workflow. Then it's going to wait for you to hit the confirm endpoint, right? So that, that send prompt
[00:45:37.640 --> 00:45:44.680]   endpoint is the front end is still waiting for that. Uh, but then you send the confirm confirmation and
[00:45:44.680 --> 00:45:50.920]   then that triggers that, that sends a signal to the other workflow and the other workflow completes and
[00:45:50.920 --> 00:45:59.080]   then sends the response to the original. Um, so yeah, I think if we take the demo example I gave that
[00:45:59.080 --> 00:46:05.160]   it's just one workflow in the entire conversations with one workflow. So initially when I started that, it was
[00:46:05.160 --> 00:46:10.760]   basically because the workflow didn't exist, the pro was like, I can't signal this work workflow, but
[00:46:10.760 --> 00:46:16.600]   it's, I, I, I, you know, I have to start up. So I have to start it. Yes. And then when I keep talking to
[00:46:16.600 --> 00:46:21.880]   it, it's like, well, this, the work, this workflow with this workflow ID exists, but then I, I just,
[00:46:21.880 --> 00:46:26.520]   I will just add to it. So for example, even if the, if, for example, if we, if a user has a conversation
[00:46:26.520 --> 00:46:34.440]   ID from like two years ago, right. That, that workflow still exists, the workflow still exists. Um, you can
[00:46:34.440 --> 00:46:39.880]   let it running forever if you want to, if the user hasn't decided to end the chat and even like two years
[00:46:39.880 --> 00:46:44.360]   from now, when the new, when the convers that the user decides to continue our conversation two years
[00:46:44.360 --> 00:46:49.800]   ago, Hey, this workflow actually exists. I just need to like send us a new signal for a new prompt and
[00:46:49.800 --> 00:46:57.480]   then continue the execution from there. Um, yeah. And then I think what you were mentioning about it, you
[00:46:57.480 --> 00:47:01.240]   don't have to confirm it every single time. It's just how the current example is being written. You can,
[00:47:01.240 --> 00:47:08.600]   you can, for example, say, well, I have a prompt now from this prompt. I want to do query expansion
[00:47:08.600 --> 00:47:12.120]   for all these expansion. I want to do some queries, some search, blah, blah, and then provide the answer
[00:47:12.120 --> 00:47:17.720]   back or, or, you know, we can even have multiple agents. You can have multiple workflows. You can start
[00:47:17.720 --> 00:47:24.200]   workflows as child workflows. So you can have multiple edges working together for once a single prompt where
[00:47:24.200 --> 00:47:30.440]   they pass in signals between each other and query each other to see the result to actually give a response.
[00:47:30.440 --> 00:47:34.840]   So it's kind of like the sky's the limit. You can go as complex as you want with these kind of work
[00:47:34.840 --> 00:47:39.800]   workflows and how you can query and send single between the work workflows. And that's where I think, like,
[00:47:39.800 --> 00:47:46.200]   I generally think we should go to, uh, Temporal be like, Hey, do you guys want to do dev role?
[00:47:46.200 --> 00:47:57.160]   Because I think Temporal is goaded for AI agentic workflows. Yeah. Um, yeah. Um, yeah. So
[00:47:59.080 --> 00:48:04.040]   that's basically it. I can go over the advanced stuff. I think we want to really easy, right?
[00:48:04.040 --> 00:48:15.640]   One question in terms of payloads between API and worker, like how much is the payload or, or between
[00:48:15.640 --> 00:48:22.520]   steps or in, in, in this case, between of activities, like I cannot transfer a document. Like in hatchet,
[00:48:22.520 --> 00:48:27.480]   there is a limitation of four megabytes to transfer data in the payload. In the pub sub, there is, I think,
[00:48:27.480 --> 00:48:30.680]   10 megabytes or one megabyte. I don't know which one.
[00:48:30.680 --> 00:48:36.680]   I'm not sure. I'll look and look into that, but I think that that's limitations from the message queue
[00:48:36.680 --> 00:48:44.440]   itself, like in highest is rabbit, right? So like here, there's not, there's not a rabbit MQ in the,
[00:48:44.440 --> 00:48:50.520]   in the middle. It's just Temporal and here lies objects. I look at to see if there's a limit. I haven't
[00:48:50.520 --> 00:48:59.960]   seen one, but I haven't really tried to read the element. Um, yeah. Okay. Um, yeah. So I said,
[00:48:59.960 --> 00:49:06.360]   it's like more of an advanced part of the Temporal, but you can have the workflow be the state as we
[00:49:06.360 --> 00:49:13.160]   said before with queries, um, where you can, you know, the same as before, right? Let's say we add
[00:49:13.160 --> 00:49:20.280]   another function to, uh, our agent, which is a annotated with a query. And it says basically,
[00:49:20.280 --> 00:49:25.160]   okay, this will, um, retreat eternal conversation history. It will just return the conversation
[00:49:25.160 --> 00:49:29.160]   history object, which is like a, you know, collection of messages. And then in the app,
[00:49:29.160 --> 00:49:33.400]   when we want to get that conversation history, we'll just say, well, I know, I know exactly
[00:49:33.400 --> 00:49:42.040]   which here will be the conversation ID, right? Right? Sorry. Let me just, just right now.
[00:49:42.040 --> 00:49:53.960]   Uh, conversation ID, Spain, right? So we know which conversation ID we want, just get that work,
[00:49:53.960 --> 00:49:59.000]   or that workflow, right? Get the handle for it. And then just on that handle, just get the, get the
[00:49:59.000 --> 00:50:04.920]   conversation history from the query and just return it. So we don't even need to send the
[00:50:04.920 --> 00:50:11.160]   conversation history to the database. You can just store it in the workflow itself and query it. And
[00:50:11.160 --> 00:50:17.720]   it's backed by the Temporal database, which would die by Postgres, which we're already doing. But anyways,
[00:50:17.720 --> 00:50:24.280]   I digress. You don't have to like imagine it to different places. I would imagine it's complicated,
[00:50:24.280 --> 00:50:31.480]   especially if you think with like, how would you do a migration of what is stored within the history here?
[00:50:32.200 --> 00:50:39.240]   Um, I think that this, that's handled by the, that's handled by the Temporal, but I, I, this is more
[00:50:39.240 --> 00:50:44.120]   an advanced workflow. I'm using this conversation history as a, because it's easy for this current
[00:50:44.120 --> 00:50:49.800]   example. Um, you don't have to use it. Right. But you can use this kind of like, you can't, you can't
[00:50:49.800 --> 00:50:56.280]   write workflows just thinking about the workflow itself without having to think about where I'm saving
[00:50:56.280 --> 00:51:01.880]   stuff. So when I want to see, for example, for, for an order for a, for a, you know, a shipment,
[00:51:01.880 --> 00:51:08.440]   if that's pending, that's the status of that, um, order is pending in Temporal and it's waiting for
[00:51:08.440 --> 00:51:14.280]   other updates, I can just query the workflow directly instead of like having to keep updating the database.
[00:51:14.280 --> 00:51:19.000]   And if, if there's a race condition in the database, there's, uh, you know, what, what happens
[00:51:19.000 --> 00:51:26.760]   if the work work, uh, the update of the database state failed, you know, you don't have to like worry
[00:51:26.760 --> 00:51:33.880]   about those. You only have to worry about the workflow itself. Yeah. Um, just like very quick
[00:51:33.880 --> 00:51:42.040]   question. Yeah. Like with the conversation example, um, would you be able to say, is that like an expiry,
[00:51:42.040 --> 00:51:48.760]   like an inactive, um, expiry on a workflow? So if it's been inactive for like a week, would you be able
[00:51:48.760 --> 00:51:59.000]   to, um, trigger, um, trigger like an event, which would then save that to a database if you wanted
[00:51:59.000 --> 00:52:06.040]   to. So then basically wait till it would be inactive before you go and do that. Uh, yeah. I mean,
[00:52:06.040 --> 00:52:15.480]   this would be the application database, right? Not the temporal database. So basically with temporal,
[00:52:15.480 --> 00:52:18.520]   the database is the state of the workflow, right? Because these workflows
[00:52:18.520 --> 00:52:24.120]   can be paused for infinite time. They're not holding up any compute compute. So that's going to be said
[00:52:24.120 --> 00:52:28.520]   automatically through the database conversation industry, right? If you do want to stop a workflow
[00:52:28.520 --> 00:52:32.920]   after a certain amount of time, you can, there is a way, um, it's not documented here and I haven't
[00:52:32.920 --> 00:52:40.760]   screwed it here, but, um, in the, uh, when you start a workflow, you can say, you can set a policy of how
[00:52:40.760 --> 00:52:47.000]   long you want to wait, uh, for this workflow to finish. And then if it doesn't finish in the, during that time,
[00:52:47.000 --> 00:52:51.720]   temporal is going to like, uh, kill it, terminate it automatically.
[00:52:51.720 --> 00:52:59.400]   But is, is there a way of like, not just killing it, but, uh, running like some finishing logic and
[00:52:59.400 --> 00:53:04.760]   then killing it. I, I imagine there is, I haven't looked into it, but I'm, I imagine there is a way
[00:53:04.760 --> 00:53:12.120]   to do it, um, by hooking it to these, you know, events like termination events. But you have to think,
[00:53:12.120 --> 00:53:16.840]   if you're using the temporal to store the state by the workflow state, you just have to think about
[00:53:16.840 --> 00:53:22.920]   it. Like the data, the state is unified, right? So there's no such thing as like saving to the
[00:53:22.920 --> 00:53:26.840]   history. When you're querying the Python object, that's actually the state in the database.
[00:53:26.840 --> 00:53:43.880]   So can the worker be like serverless of one time, like I know in prefect, there is like task runner,
[00:53:43.880 --> 00:53:51.560]   which basically, once you have a task or a step or activity in this terminology, it will spin up a
[00:53:51.560 --> 00:53:57.160]   camaraderie this job. It will do the job. It will kill the folder. And yeah, that's it.
[00:53:57.160 --> 00:54:04.200]   Um, so in terms of scaling, I'm thinking like, if you want to, to scale many workers to, to, to do your
[00:54:04.200 --> 00:54:11.560]   work. Right. Um, I mean, you can, you can, there is metrics. So basically the ball exposes a metrics
[00:54:11.560 --> 00:54:16.280]   server, uh, like this, it's a Prometheus metrics. And you can like scale based on those metrics,
[00:54:16.280 --> 00:54:21.080]   like queue size and all these kinds of things. But then I, I, I'm not sure about like the, I haven't
[00:54:21.080 --> 00:54:27.640]   looked at the serverless stuff, but, um, yeah, you can just scale to zero and then using those metrics
[00:54:27.640 --> 00:54:32.760]   can bring up, if you're using KEDA, right? If you, for example, it means these kind of metrics about the
[00:54:32.760 --> 00:54:39.640]   queue, each queue size and the queue goes to zero, you can scale your, your worker to zero. Um,
[00:54:41.720 --> 00:54:48.360]   I'm not sure. I don't think Temporal has a good to use serverless stuff like Cloud Run because
[00:54:48.360 --> 00:54:55.400]   No, not, not Cloud Run, in Kubernetes job. I'm not seeing just a certain example, just, okay,
[00:54:55.400 --> 00:55:01.560]   I sent to process the document in spin-ups Kubernetes job with restriction of the resources. It will finish
[00:55:01.560 --> 00:55:09.960]   and release the resources basically to the cluster. I mean, yeah, you can, you can do that, but you do it
[00:55:09.960 --> 00:55:18.600]   via KEDA, right? Yeah. Okay. You do it via KEDA and descending. I think for heavier, all like loads,
[00:55:18.600 --> 00:55:24.680]   I mean, yeah, if you do it via KEDA or if you do it via job, it's kind of same, same. I just think like
[00:55:24.680 --> 00:55:31.560]   a worker can run multiple, multiple requests at a time or multiple tasks at a time.
[00:55:33.000 --> 00:55:38.520]   Um, so it doesn't have to be every single job is a task. Yeah.
[00:55:38.520 --> 00:55:42.360]   Okay.
[00:55:42.360 --> 00:55:54.760]   Well, I imagine it's, it's scalable given like, this came out of, you know, Uber, they had like,
[00:55:54.760 --> 00:56:03.480]   their scalability needs. Yeah. Um, none of this like would be a good way. I mean,
[00:56:03.480 --> 00:56:10.120]   I don't think that would provide any benefits to us using temple versus versus a hatchet. I think
[00:56:10.120 --> 00:56:16.120]   hatchet has its own durable workflow because in them in set for Saturn, sorry. Um, because for Saturn,
[00:56:16.120 --> 00:56:21.160]   we have like such a, you know, very dag execution where we take this, we do this and return this. It
[00:56:21.160 --> 00:56:25.640]   helps more for like agentic workflows when you have these pauses, these like interaction from the user,
[00:56:25.640 --> 00:56:31.080]   we have like more interactive kind of like back and forth, which would be hard to, to code in a
