
[00:00:00.040 --> 00:00:09.620]   tao
[00:44:35.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
[00:44:35.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
[00:44:35.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
[00:44:35.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
[00:44:35.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
[00:44:35.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
[00:44:35.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
[00:44:35.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
[00:44:35.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
[00:44:35.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
[00:44:35.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
[00:44:35.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
[00:44:35.420 --> 00:44:35.420]   I think it's a little bit of a good thing.
[00:44:35.420 --> 00:45:05.440]   I think it's a little bit of a good thing.
[00:45:05.440 --> 00:45:05.440]   I think it's a little bit of a good thing.
[00:45:05.440 --> 00:45:05.440]   I think it's a little bit of a good thing.
[00:45:05.440 --> 00:45:05.440]   I think it's a little bit of a good thing.
[00:45:05.440 --> 00:45:05.440]   I think it's a little bit of a good thing.
[00:45:05.440 --> 00:45:05.440]   I think it's a little bit of a good thing.
[00:45:05.440 --> 00:45:05.440]   I think it's a little bit of a good thing.
[00:45:05.440 --> 00:45:05.440]   I think it's a little bit of a good thing.
[00:45:05.440 --> 00:45:05.440]   I think it's a little bit of a good thing.
[00:45:05.440 --> 00:45:05.440]   I think it's a little bit of a good thing.
[00:45:05.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.460 --> 00:45:35.460]   I think it's a little bit of a good thing.
[00:45:35.480 --> 00:45:56.580]   I think it's a little bit of a good thing.

