
[00:00:00.000 --> 00:00:05.920]   Welcome everyone.
[00:22:31.660 --> 00:22:35.820]   But what we do instead is block all of that interaction and simply force crowd workers
[00:22:35.820 --> 00:22:41.020]   to choose a label, and then we penalize them, in effect, to the extent to which they don't
[00:22:41.020 --> 00:22:45.820]   choose the label that everyone else chose, even though all of us feel uncertainty.
[00:22:45.820 --> 00:22:47.460]   Here's another example.
[00:22:47.460 --> 00:22:50.620]   A chef using a barbecue, a person using a machine.
[00:22:50.620 --> 00:22:52.380]   Is a barbecue a machine?
[00:22:52.380 --> 00:22:57.300]   I think it probably depends on the situation, the goals, the assumptions, all of that stuff.
[00:22:57.300 --> 00:23:01.980]   The human thing is to discuss those points of uncertainty and then assign a label, but
[00:23:01.980 --> 00:23:06.260]   we simply block that when we do crowdsourcing.
[00:23:06.260 --> 00:23:12.260]   So now, when you hear an estimate of human performance, you should remember that the
[00:23:12.260 --> 00:23:17.180]   humans were probably not allowed to do most human things, like say, "Let's discuss this."
[00:23:17.180 --> 00:23:22.380]   And so human performance in these contexts really means average performance of harried
[00:23:22.380 --> 00:23:26.380]   crowd workers doing a machine task repeatedly.
[00:23:26.380 --> 00:23:30.100]   We can all do that mental shorthand, but of course, out in the world, people hear human
[00:23:30.100 --> 00:23:34.900]   performance and they think human performance in the most significant sense.
[00:23:34.900 --> 00:23:38.980]   We should be aware that that's not true, and we should be pushing back against the assumption
[00:23:38.980 --> 00:23:44.100]   that this is actually what we mean, when in fact, this is what we did.
[00:23:44.100 --> 00:23:45.980]   So what are we looking for with metrics?
[00:23:45.980 --> 00:23:51.400]   I would say that we're looking for things that are kind of between standard old evaluations.
[00:23:51.400 --> 00:23:55.420]   Can a system perform more accurately on a friendly test than a human performing that
[00:23:55.420 --> 00:23:56.740]   same machine task?
[00:23:56.740 --> 00:24:01.460]   That is my kind of cynical paraphrase of standard evaluations.
[00:24:01.460 --> 00:24:05.520]   But we also don't want to swing to, can a system perform like a human in open-ended
[00:24:05.520 --> 00:24:07.120]   adversarial communication?
[00:24:07.120 --> 00:24:08.120]   That's the Turing test.
[00:24:08.120 --> 00:24:11.420]   It's a very particular thing, and it's very thorny.
[00:24:11.420 --> 00:24:14.380]   In the middle there, there's lots of fruitful stuff.
[00:24:14.380 --> 00:24:18.340]   In the spirit of our previous units, we could ask, can a system behave systematically, even
[00:24:18.340 --> 00:24:19.420]   if it's not accurate?
[00:24:19.420 --> 00:24:23.540]   That might be a system that is on its way to being one we can trust, even if it's currently
[00:24:23.540 --> 00:24:26.100]   kind of not doing so well.
[00:24:26.100 --> 00:24:30.580]   Can a system assess its own confidence, know when not to make a prediction?
[00:24:30.580 --> 00:24:35.220]   Our systems in AI used to fail on every unanticipated input.
[00:24:35.220 --> 00:24:39.800]   Now they give an answer seemingly with confidence, no matter what you throw at them.
[00:24:39.800 --> 00:24:41.000]   We need to change that.
[00:24:41.000 --> 00:24:45.720]   We need systems to withhold information when they're just not sure it's good information,
[00:24:45.720 --> 00:24:46.720]   as an example.
[00:24:46.720 --> 00:24:52.940]   And maybe fundamentally, we should ask, can a system make people happier and more productive?
[00:24:52.940 --> 00:24:57.440]   This would move us far away from automatic evaluation and toward things that were more
[00:24:57.440 --> 00:25:00.500]   like human-computer interaction evaluations.
[00:25:00.500 --> 00:25:06.460]   But ultimately, I feel like this is our goal, and we might as well just design evaluations
[00:25:06.460 --> 00:25:09.520]   that are oriented to it.
[00:25:09.520 --> 00:25:11.240]   As I said, I'm hopeful about all of this.
[00:25:11.240 --> 00:25:14.820]   I think that time should change, and they are changing.
[00:25:14.820 --> 00:25:21.100]   Assessment today, or maybe yesterday, is one-dimensional, accuracy, largely insensitive to context or
[00:25:21.100 --> 00:25:24.300]   use case, again, F1 maybe.
[00:25:24.300 --> 00:25:28.700]   The terms are set by the research community, whether we know it or not.
[00:25:28.700 --> 00:25:33.740]   The metrics are often opaque, and the assessments are often kind of hard to understand deeply.
[00:25:33.740 --> 00:25:37.900]   And they are tailored to machine tasks right from the very get-go in the way that they
[00:25:37.900 --> 00:25:39.700]   are structured.
[00:25:39.700 --> 00:25:44.660]   I think assessment tomorrow, or maybe today, depending on the work that you all do, could
[00:25:44.660 --> 00:25:46.720]   be high-dimensional and fluid.
[00:25:46.720 --> 00:25:49.840]   It could be highly sensitive to context and use case.
[00:25:49.840 --> 00:25:54.260]   And the terms could be set by the stakeholders, the system designers out in the world, or
[00:25:54.260 --> 00:25:57.300]   better, the people who are using the system.
[00:25:57.300 --> 00:26:02.200]   Ultimately, the judgment should be made by users, and the tasks that we're talking about
[00:26:02.200 --> 00:26:05.480]   should be fundamentally human tasks.
[00:26:05.480 --> 00:26:10.240]   We have entered into an era in which I think we could start to implement all of these visionary
[00:26:10.240 --> 00:26:12.760]   items about how assessment should work.
[00:26:12.760 --> 00:26:16.600]   And so I would encourage you all to think about how you could push forward in these
[00:26:16.600 --> 00:26:19.960]   directions with the research that you do for this course.
[00:26:19.960 --> 00:26:20.960]   Thank you.
[00:26:20.960 --> 00:26:20.980]   [end of transcript]
[00:26:20.980 --> 00:26:30.980]   [BLANK_AUDIO]

