
[00:00:00.000 --> 00:00:29.000]   Okay. Did anybody have any questions or anything? I'm sorry. I'm sorry. I'm sorry. I'm sorry.
[00:45:20.000 --> 00:45:31.000]   And so if I wanted to send my changes back to fast AI, because I think they're an improvement to the book, then I can say contribute.
[00:45:31.000 --> 00:45:32.000]   Right.
[00:45:32.000 --> 00:45:36.000]   And then that'll say, oh, okay, you can create something called a pull request.
[00:45:36.000 --> 00:45:42.000]   And so the pull request, it's going to show you the changes, which is I've executed some cells I hadn't executed before.
[00:45:42.000 --> 00:45:46.000]   And I've added a cell where the source was one plus one and the result was two.
[00:45:46.000 --> 00:45:54.000]   And then I could create a pull request and that would send something back up to fast AI.
[00:45:54.000 --> 00:45:55.000]   And I'll show you what that would look like.
[00:45:55.000 --> 00:46:07.000]   Obviously, never do this unless you assure you want to, because that's just going to annoy the developers.
[00:46:07.000 --> 00:46:11.000]   So then what happens is that would appear on my copy of fastbook.
[00:46:11.000 --> 00:46:13.000]   It would appear in pull requests.
[00:46:13.000 --> 00:46:16.000]   And so here's an example.
[00:46:16.000 --> 00:46:30.000]   So when you send in a pull request, I'll then be able to see what files you changed using this thing called review and be I'll even be able to see the changes that were made to the notebooks in a graphical view.
[00:46:30.000 --> 00:46:33.000]   So I'll show you what that looks like.
[00:46:33.000 --> 00:46:42.000]   There we go.
[00:46:42.000 --> 00:46:45.000]   And they've provided a description.
[00:46:45.000 --> 00:46:49.000]   And so then if I wanted to add this back to fast AI, I click this button.
[00:46:49.000 --> 00:46:53.000]   So that's what people talk about when they talk about making a pull request.
[00:46:53.000 --> 00:46:55.000]   Anyway, that's not quite what we're doing.
[00:46:55.000 --> 00:46:59.000]   We're just keeping our own copy of it as we discussed.
[00:46:59.000 --> 00:47:05.000]   All right, so
[00:47:05.000 --> 00:47:12.000]   can we have a version of review and be in local machine to see?
[00:47:12.000 --> 00:47:16.000]   Yeah, absolutely. Review and be is a is a startup. They're very, very good.
[00:47:16.000 --> 00:47:23.000]   You can absolutely so you can totally add it to your own repos just by going to review and be.com.
[00:47:23.000 --> 00:47:27.000]   No, I mean, in my local machine.
[00:47:27.000 --> 00:47:33.000]   No, but you can use something quite similar called nb dime,
[00:47:33.000 --> 00:47:42.000]   which is actually so it doesn't really make sense to like have it on a local machine because like you don't pull requests to yourself on your machine.
[00:47:42.000 --> 00:47:47.000]   But what you do want to be able to see is to see differences.
[00:47:47.000 --> 00:47:52.000]   And so, for example, with mine, they've got nb dime installed.
[00:47:52.000 --> 00:47:59.000]   If I let's make a change. So let's delete this cell, save it.
[00:47:59.000 --> 00:48:11.000]   And so it's nb times already installed on paper space. So I can click here and I can see, okay, I've made this change as I've deleted one cell.
[00:48:11.000 --> 00:48:16.000]   All right, so let's try running.
[00:48:16.000 --> 00:48:22.000]   Yeah, it's happening. Okay. Well, this is running.
[00:48:22.000 --> 00:48:31.000]   Let's talk about what's happening here. So the first thing we've got here is a from blah import blah statement.
[00:48:31.000 --> 00:48:38.000]   So let's understand what's happening here. And to do that, let's CD into.
[00:48:38.000 --> 00:48:47.000]   The first day I repo. Okay, so here's the first day I repo and the first day I repo contains a folder.
[00:48:47.000 --> 00:48:50.000]   Called first day.
[00:48:50.000 --> 00:48:55.000]   And that contains the first day I library.
[00:48:55.000 --> 00:49:07.000]   And in the first day I library, there are some also as well as some Python files as some subfolders. Now in this case we were importing stuff from fastai.vision.
[00:49:07.000 --> 00:49:17.000]   And that tells us that there must be a directory called vision, and there is indeed is a directory called vision.
[00:49:17.000 --> 00:49:35.000]   And then in there, finally, we're importing from a module called all and that means that there must be a directory called all sorry a folder file called all pie and here it is all pie.
[00:49:35.000 --> 00:49:46.000]   So what happens when we say from blah import blah is it goes through all the dot separated components except for the last one and treats these as directories.
[00:49:46.000 --> 00:49:51.000]   Right. And so basically what it's doing is it's going to look for a file.
[00:49:51.000 --> 00:49:54.000]   Called.
[00:49:54.000 --> 00:49:58.000]   Called fastai.
[00:49:58.000 --> 00:50:00.000]   Slash vision.
[00:50:00.000 --> 00:50:03.000]   Slash all.
[00:50:03.000 --> 00:50:06.000]   That's how it gets translated.
[00:50:06.000 --> 00:50:13.000]   It's all very mechanical, you know, there's nothing magical weird about it.
[00:50:13.000 --> 00:50:18.000]   And so then if we look at that file.
[00:50:18.000 --> 00:50:24.000]   There it is. Right. And what does this file do. Well this file is just importing things.
[00:50:24.000 --> 00:50:39.000]   And so it's importing something from models basics blah blah blah. Now, when you're inside a library like this, you'll see sometimes it uses dot or dot dot prefixes.
[00:50:39.000 --> 00:50:49.000]   That's going to be replaced with a file called dot dot slash basic stop pie. This will be replaced with a file called dot slash augment pie.
[00:50:49.000 --> 00:50:56.000]   So we should be able to find if I go control split control SP a ug tab.
[00:50:56.000 --> 00:51:03.000]   Yep, there is indeed a augment. So I've got a split plane here. Here's my augment file.
[00:51:03.000 --> 00:51:09.000]   And so when it goes from dot augment import star, what does that do.
[00:51:09.000 --> 00:51:20.000]   If there's a special variable called done to all this when you got underscore underscore blah underscore underscore, we pronounce that dunder blah. So this is done to all.
[00:51:20.000 --> 00:51:29.000]   If there's a special variable called done to all that's a list of all of the symbols that it wants to bring in.
[00:51:29.000 --> 00:51:41.000]   Right. And so here's a list of all the symbols it wants to bring in. So this file, this this command here will bring in, for example, a symbol called rand transform into this file.
[00:51:41.000 --> 00:51:44.000]   Now, this file doesn't have something called done to all.
[00:51:44.000 --> 00:51:54.000]   And so if you don't have a file called done to all and every single thing that is imported or defined in this file will end up being exported from it.
[00:51:54.000 --> 00:52:05.000]   So since this line here imports something called rand transform and there's no dunder all here, that means importing all.py should also import rand transform.
[00:52:05.000 --> 00:52:12.000]   And so that means I should be able to type rand t tab.
[00:52:12.000 --> 00:52:18.000]   And there it is. There is a rand transform. And if I hit shift enter, you can see where it's come from.
[00:52:18.000 --> 00:52:30.000]   So it's come from fast fast.ai vision dot augment dot rand transform, which remember is translated to fast.ai slash vision slash augment slash sorry.
[00:52:30.000 --> 00:52:38.000]   OK, this is actually the name of a method. So this will become fast.ai dot vision fast.ai slash vision slash augment.py.
[00:52:38.000 --> 00:52:42.000]   And then we'll find the rand transform class or symbol inside there.
[00:52:42.000 --> 00:52:47.000]   And so let's find it. So if I click on rand transform.
[00:52:47.000 --> 00:52:49.000]   I'll show you a really nifty trick.
[00:52:49.000 --> 00:52:59.000]   If you select something in VIM and hit the asterisk key, shift eight, it will search for the next place that this word occurs.
[00:52:59.000 --> 00:53:05.000]   So if I press star asterisk, here's the next copy of rand transform.
[00:53:05.000 --> 00:53:08.000]   And so here's the definition of it.
[00:53:08.000 --> 00:53:17.000]   So that's what it does when you say from blah, import blah. If you say import star, then that will import everything that's exported.
[00:53:17.000 --> 00:53:23.000]   So everything in done to all or if there's no done to all, everything that's defined or imported.
[00:53:23.000 --> 00:53:29.000]   So that's why we now have a thing called rand transform available to us.
[00:53:29.000 --> 00:53:42.000]   Yeah, if you ever want to know where something's from, a lot of people are used to not using a wildcard import, so not using star, but instead listing specifically exactly all the symbols they import.
[00:53:42.000 --> 00:53:48.000]   And so somebody does that. You can scroll back to the top of the file and search through it and try to find it.
[00:53:48.000 --> 00:53:58.000]   But you don't have to. It's much easier than indeed with star necessary to simply type the name and press shift enter and you can find out where it's from.
[00:53:58.000 --> 00:54:02.000]   Or to get more info about it, do the same thing with a question mark.
[00:54:02.000 --> 00:54:09.000]   And as you can see, it will give you the signature, the doc string and the full path name of where it's from.
[00:54:09.000 --> 00:54:21.000]   And so this is one way if you want to go and look at the source code for this is I could copy that and type colon SP and paste it.
[00:54:21.000 --> 00:54:29.000]   And now I've got a third split and here's the, here's that file. Okay.
[00:54:29.000 --> 00:54:35.000]   But if I just want the source code for that one thing, I can just put two question marks.
[00:54:35.000 --> 00:54:41.000]   And as you can see, this gives me the source code for that thing.
[00:54:41.000 --> 00:54:44.000]   Okay, so that's what the first line does.
[00:54:44.000 --> 00:55:02.000]   First day I vision or import star. What is the next line do.
[00:55:02.000 --> 00:55:12.000]   So if I type doc on target or enough in a fast AI library, it'll tell me what this one didn't quite work correctly.
[00:55:13.000 --> 00:55:16.000]   It'll tell me all the information about it.
[00:55:16.000 --> 00:55:22.000]   For some reason, this one's not getting the usual documentation I would expect to see. That's okay.
[00:55:22.000 --> 00:55:29.000]   You can always click on source to get a link to where it's defined.
[00:55:29.000 --> 00:55:34.000]   So here it is on hard data.
[00:55:34.000 --> 00:55:43.000]   Or you can click on show in docs.
[00:55:43.000 --> 00:55:49.000]   This one works correctly. That's interesting. So for some reason, the help the documents not working right. I'll fix that.
[00:55:49.000 --> 00:56:03.000]   Yeah, so you can see here's the details here and you can see that there's, you know, it says here, for example, see URLs, you can click on these things to get more information about them.
[00:56:03.000 --> 00:56:09.000]   So there's lots of similar links, as you can see within the documentation.
[00:56:09.000 --> 00:56:22.000]   So entire data downloads and extracts URL by default into sub-directories of tilde slash doc fast AI. So we now know that means you're your home directory.
[00:56:22.000 --> 00:56:25.000]   And it returns a pass.
[00:56:25.000 --> 00:56:33.000]   Okay, so let's see if we can understand what this is doing.
[00:56:33.000 --> 00:56:36.000]   So what I generally like to do.
[00:56:36.000 --> 00:56:44.000]   To understand a cell is to run every single line separately. So the most important thing to know how to run every single line separately.
[00:56:44.000 --> 00:56:47.000]   Is to.
[00:56:47.000 --> 00:56:58.000]   Know that you can press control shift hyphen is control even on a Mac not command control shift hyphen to split into two cells at the cursor.
[00:56:58.000 --> 00:57:01.000]   The step one is to separate this out into separate cells.
[00:57:01.000 --> 00:57:03.000]   Okay.
[00:57:03.000 --> 00:57:12.000]   And so then, you know, run each one and see what happens. So after I run this one, I should be able to look at path.
[00:57:12.000 --> 00:57:17.000]   Okay, so it tells me here that.
[00:57:17.000 --> 00:57:25.000]   It's been stored in storage data, etc. Now that's good news because we know that means it's persistent.
[00:57:25.000 --> 00:57:32.000]   So if I create a new instance, whatever, I'm going to have this same thing now.
[00:57:32.000 --> 00:57:40.000]   Downside is if you have a free or cheap account, you don't have much space and you might not want all that space being taken up.
[00:57:40.000 --> 00:57:44.000]   So let's find out how much space is being taken up. So let's copy that.
[00:57:44.000 --> 00:57:49.000]   Head up over to our terminal.
[00:57:49.000 --> 00:57:50.000]   Get over there.
[00:57:50.000 --> 00:57:55.000]   And so remember, we can type to you -sh.
[00:57:55.000 --> 00:58:02.000]   789 megs. That's pretty big. So you might not want that to be there.
[00:58:02.000 --> 00:58:07.000]   Which is fine. So you can just move it somewhere else, you know, put it in the home directory or something like that.
[00:58:07.000 --> 00:58:18.000]   So one interesting question is here is like according to the documentation, it was going to extract things by default to subdirectories of tilde slash dot fast AI, but that's not what happened.
[00:58:18.000 --> 00:58:26.000]   Why is that not that happened? Well, it says it's a wraparound fast download dot get so we should probably.
[00:58:26.000 --> 00:58:33.000]   Look up that documentation to find out what's going on.
[00:58:33.000 --> 00:58:40.000]   So here's fast download. And here's fast download dot get.
[00:58:40.000 --> 00:58:46.000]   OK, so this is pretty much what we saw rather than, you know, this is using D dot get it returns a path by default.
[00:58:46.000 --> 00:58:52.000]   It goes into base archive, which by default is this case dot fast download for fast.
[00:58:52.000 --> 00:58:55.000]   I might change it to fast AI.
[00:58:55.000 --> 00:58:59.000]   You can change them by passing fast download.
[00:58:59.000 --> 00:59:05.000]   OK. Oh, look at this. If there's a config file in the base directory, then they will be used for fast download.
[00:59:05.000 --> 00:59:08.000]   Now our base directory for fast AI is dot fast AI.
[00:59:08.000 --> 00:59:13.000]   So let's go and have a look in the dot fast AI directory.
[00:59:13.000 --> 00:59:17.000]   CD tilde slash dot fast AI.
[00:59:17.000 --> 00:59:22.000]   There we go. There is indeed a config dot any.
[00:59:22.000 --> 00:59:35.000]   So you can see that paper space is actually set things up for us so that by default, all of the archives models we create data we download is all going to be put in the persistent storage.
[00:59:35.000 --> 00:59:43.000]   So that's like that's a good thing, unless it's not what you want. Right.
[00:59:43.000 --> 00:59:50.000]   So I would say this is another of these things that we probably want to be able to adjust if we want to.
[00:59:50.000 --> 00:59:53.000]   So how about we move that?
[00:59:53.000 --> 01:00:02.000]   Into slash storage.
[01:00:02.000 --> 01:00:06.000]   And then as per usual.
[01:00:06.000 --> 01:00:11.000]   Simulink it back.
[01:00:11.000 --> 01:00:28.000]   So when we start the machine, I don't know if there's a folder there or not. So what we can do is we can say make them as P basically creates a folder and all of its subfolders, sorry, all its parent folders and doesn't complain if it's not already there.
[01:00:28.000 --> 01:00:34.000]   So I use make them as P to create a dot fast AI.
[01:00:34.000 --> 01:00:38.000]   And we will then.
[01:00:38.000 --> 01:00:46.000]   Remove a dot fast AI.
[01:00:46.000 --> 01:00:50.000]   Oh, now I'll show you a little trick.
[01:00:50.000 --> 01:01:05.000]   I want to fill out the word fast AI without typing the whole thing. If I hit control P, it will fill in the rest of the word P for previous it will fill in the rest of the last word that it can find that starts with those letters.
[01:01:05.000 --> 01:01:11.000]   So I want to remove fast AI slash config dot any.
[01:01:11.000 --> 01:01:15.000]   And then we will link that back again.
[01:01:15.000 --> 01:01:30.000]   So it's going to be in slash storage. So I'll hit control P to fill out slash storage and it's going to be called config dot any. So I'll press control P and actually, if you then hit control X, control P, it keeps filling in.
[01:01:30.000 --> 01:01:35.000]   The rest.
[01:01:35.000 --> 01:01:38.000]   All right, so now we're going to have.
[01:01:38.000 --> 01:01:43.000]   Config any file.
[01:01:43.000 --> 01:01:54.000]   Oh, except I don't want to put it in the home directory. I want to put it in the dot fast AI directory.
[01:01:54.000 --> 01:02:03.000]   And so we can test that copying it.
[01:02:03.000 --> 01:02:06.000]   Paste it.
[01:02:06.000 --> 01:02:13.000]   There we go. Okay, so we've now got a consistent config dot any. I think in my case.
[01:02:13.000 --> 01:02:28.000]   What I want to do, and this might not be bad for most people, is I probably don't want the archives to be stored in my storage directory because I'm not going to need them again once it's been on archived.
[01:02:28.000 --> 01:02:34.000]   And so that's CD to slash storage slash archive.
[01:02:34.000 --> 01:02:38.000]   Yeah, I don't want this there. So let's just remove it.
[01:02:38.000 --> 01:02:44.000]   Cool. Okay, so.
[01:02:44.000 --> 01:02:57.000]   This is now going to put by default stuff that I download will be in my storage or better use it anywhere. But, you know, I can always move it somewhere else if I want to.
[01:02:57.000 --> 01:02:59.000]   Okay.
[01:02:59.000 --> 01:03:04.000]   The next two lines kind of go together.
[01:03:04.000 --> 01:03:15.000]   Which is I've got to use image data loaders. So again, you know, before you use something, it's good to understand what it is.
[01:03:15.000 --> 01:03:26.000]   So.
[01:03:26.000 --> 01:03:30.000]   Show in docs.
[01:03:30.000 --> 01:03:39.000]   All right, image data loaders is a wrapper around several data letters with methods for computer vision problems.
[01:03:39.000 --> 01:03:44.000]   And what you're going to be using as one of the factory methods. So they're the things underneath.
[01:03:44.000 --> 01:03:54.000]   And all these factory methods except various things. So this tells me that there are various different ways of creating image data loaders, and they've got a consistent API.
[01:03:54.000 --> 01:03:56.000]   So that's good.
[01:03:56.000 --> 01:04:00.000]   In our case.
[01:04:00.000 --> 01:04:02.000]   We've got.
[01:04:02.000 --> 01:04:06.000]   If I hit shift tab, I can find out what the parameters are.
[01:04:06.000 --> 01:04:08.000]   So I've got the path.
[01:04:08.000 --> 01:04:12.000]   I've got a list of file names.
[01:04:12.000 --> 01:04:18.000]   I've got a labeling. Let's see. Oh, then I've got valid percent and seed.
[01:04:18.000 --> 01:04:24.000]   The valid percent and seed. So what are those mean?
[01:04:24.000 --> 01:04:27.000]   So we're using.
[01:04:27.000 --> 01:04:32.000]   valid percent is passed to image data loaders from path.
[01:04:32.000 --> 01:04:36.000]   Okay, so quite often, you know, we'll take a argument and just pass it to something else.
[01:04:36.000 --> 01:04:39.000]   So I have to click on here to find out what that does.
[01:04:39.000 --> 01:04:44.000]   Here we are. Validation set. Validation set is a random subset of size validation percent.
[01:04:44.000 --> 01:04:51.000]   Okay, no worries. Optionally created with seed reproducibility.
[01:04:51.000 --> 01:04:58.000]   Cool. And it's got a labeling function.
[01:04:58.000 --> 01:05:10.000]   So.
[01:05:10.000 --> 01:05:13.000]   A function that receives a string, which is a file name and outputs a label.
[01:05:13.000 --> 01:05:18.000]   Okay, so let's just have a look at some of these things. So the list of file names.
[01:05:18.000 --> 01:05:23.000]   So remember the second argument with a list of file names is this.
[01:05:23.000 --> 01:05:28.000]   So let's pull this out and create something called files.
[01:05:28.000 --> 01:05:35.000]   So if I press A for append above, I'll type files equals pasted here.
[01:05:35.000 --> 01:05:38.000]   And let's look at that.
[01:05:38.000 --> 01:05:56.000]   Okay, so files is a list of 7,390 items and it contains various paths in it.
[01:05:56.000 --> 01:06:08.000]   I'm going to remind myself that if you go path.base or base path, I'll show you what I'm doing in the tick.
[01:06:08.000 --> 01:06:20.000]   Let's get rid of all this prefix copy and paste.
[01:06:20.000 --> 01:06:24.000]   There we go. Yeah, so if you create a special variable called path base path,
[01:06:24.000 --> 01:06:29.000]   then it will delete that from the start of everything it prints out.
[01:06:29.000 --> 01:06:34.000]   So it just shows you the relative to here. It's a bit easier to read.
[01:06:34.000 --> 01:06:40.000]   So the 7,390 things with images slash blah, images slash blah.
[01:06:40.000 --> 01:06:49.000]   And it looks like it's going to be the name of the breed and then an underscore and then some consecutive number.
[01:06:49.000 --> 01:06:54.000]   Now, this looks a little bit different to what you might be used to seeing.
[01:06:54.000 --> 01:07:05.000]   Normally, if you look at something like a list, you expect it to look something more like this, right?
[01:07:05.000 --> 01:07:08.000]   This is what lists look like in Python.
[01:07:08.000 --> 01:07:15.000]   So to find out why that looks different, we can check out what the type of it is by typing type.
[01:07:15.000 --> 01:07:21.000]   And it turns out it's not a list. It's something of type capital L.
[01:07:21.000 --> 01:07:32.000]   That's a special kind of list, which has lots of convenience functions in it.
[01:07:32.000 --> 01:07:37.000]   We could just use question mark to find out a bit more about it.
[01:07:37.000 --> 01:07:39.000]   So here's the definition of where it's coming from.
[01:07:39.000 --> 01:07:51.000]   Here's the doc string from it, or we could type help L and not help doc.
[01:07:51.000 --> 01:07:54.000]   So help is useful as well.
[01:07:54.000 --> 01:07:55.000]   That's a built into Python.
[01:07:55.000 --> 01:07:58.000]   It shows you a list of all the stuff it can do.
[01:07:58.000 --> 01:08:00.000]   Actually, maybe that's useful.
[01:08:00.000 --> 01:08:05.000]   So as you can see, it's got lots of functionality in addition to everything that a list does.
[01:08:05.000 --> 01:08:11.000]   Or we could type doc showing docs.
[01:08:11.000 --> 01:08:13.000]   So you can see this stuff's not just for fast AI libraries.
[01:08:13.000 --> 01:08:18.000]   It's for all libraries created by fast AI look pretty similar.
[01:08:18.000 --> 01:08:25.000]   And so here's lots of information about L.
[01:08:25.000 --> 01:08:31.000]   Let's learn how to read this documentation, and then I think we'll stop.
[01:08:31.000 --> 01:08:33.000]   So L is like a list.
[01:08:33.000 --> 01:08:42.000]   Okay, so a list in Python is something that you create like this.
[01:08:42.000 --> 01:08:44.000]   Square brackets.
[01:08:44.000 --> 01:08:53.000]   And you can print them, for example, or you can index into them, or you can select multiple things from them.
[01:08:53.000 --> 01:08:57.000]   Everything up to, but not including element two.
[01:08:57.000 --> 01:08:58.000]   That's a list.
[01:08:58.000 --> 01:09:04.000]   Okay, and L is very similar.
[01:09:04.000 --> 01:09:09.000]   But it doesn't have any special syntax like Python does.
[01:09:09.000 --> 01:09:19.000]   You have to create it like this, but it basically looks much the same.
[01:09:19.000 --> 01:09:23.000]   As you can see.
[01:09:23.000 --> 01:09:27.000]   But it has quite a lot more functionality than a list.
[01:09:27.000 --> 01:09:36.000]   So I don't use a normal Python list that often, because, like, why use something which is less useful.
[01:09:36.000 --> 01:09:37.000]   So let's see, okay.
[01:09:37.000 --> 01:09:39.000]   It behaves like a list, so we know what a list looks like.
[01:09:39.000 --> 01:09:41.000]   So a drop-in replacement for a list.
[01:09:41.000 --> 01:09:46.000]   So when something's described as a drop-in replacement, anywhere that uses a list, you should be able to use this as well.
[01:09:46.000 --> 01:09:50.000]   So it's got a super set of the functionality.
[01:09:50.000 --> 01:09:52.000]   It's like NumPy.
[01:09:52.000 --> 01:09:55.000]   It supports advanced indexing.
[01:09:55.000 --> 01:10:04.000]   Okay, so what that means is that you should be able to select multiple things from a list at once.
[01:10:04.000 --> 01:10:07.000]   I'm just trying to remember exactly how we do that.
[01:10:07.000 --> 01:10:12.000]   I think you can go like this.
[01:10:12.000 --> 01:10:16.000]   Yes, okay, so I can select the zero thing and the second thing and one go.
[01:10:16.000 --> 01:10:18.000]   So that's an example.
[01:10:18.000 --> 01:10:21.000]   And as I mentioned, this is similar to what NumPy can do.
[01:10:21.000 --> 01:10:35.000]   So NumPy has a thing called an array.
[01:10:35.000 --> 01:10:41.000]   And so in NumPy, you can do the same kind of thing.
[01:10:41.000 --> 01:10:48.000]   But a regular list, remember, A is our regular list.
[01:10:48.000 --> 01:10:50.000]   Can't do that.
[01:10:50.000 --> 01:11:02.000]   So you can kind of think of a capital L object as being a bit like a hybrid between a NumPy array and a Python list.
[01:11:02.000 --> 01:11:08.000]   You could try to use a NumPy array for things that you would otherwise use an L for.
[01:11:08.000 --> 01:11:16.000]   But the problem is that a NumPy array kind of expects everything to be of the same type.
[01:11:16.000 --> 01:11:24.000]   So you have to be a bit careful.
[01:11:24.000 --> 01:11:27.000]   Sometimes it might do it for us. No, sometimes it can actually handle it for us.
[01:11:27.000 --> 01:11:30.000]   It's going to put them into something called an object.
[01:11:30.000 --> 01:11:35.000]   So, you know, I mean, actually, now I think about it, you probably could use an array quite often, but they do behave differently.
[01:11:35.000 --> 01:11:52.000]   Actually, I'll show you an example. So if we go B plus Hello, then that's what that does in an L.
[01:11:52.000 --> 01:11:54.000]   It adds Hello to the list.
[01:11:54.000 --> 01:11:58.000]   So notice that L's show you how many items are in it.
[01:11:58.000 --> 01:12:04.000]   And it also, by default, doesn't show you all of them, but it puts dot, dot, dot, which is both very convenient things.
[01:12:04.000 --> 01:12:13.000]   A Python list.
[01:12:13.000 --> 01:12:16.000]   I used control by mistake.
[01:12:16.000 --> 01:12:18.000]   Works the same way.
[01:12:18.000 --> 01:12:24.000]   A NumPy array.
[01:12:24.000 --> 01:12:27.000]   Doesn't work the same way.
[01:12:27.000 --> 01:12:31.000]   And that's because NumPy is designed mainly for math.
[01:12:31.000 --> 01:12:42.000]   So if we make all of these into numbers, then a NumPy array, we could do this.
[01:12:42.000 --> 01:12:45.000]   It adds element wise.
[01:12:45.000 --> 01:12:57.000]   OK, so, you know, if you're kind of trying to go deep and fully understand each line of code, this is the kind of experimentation that you can do.
[01:12:57.000 --> 01:13:16.000]   And hopefully what you can see here is that all of the information you need to fully understand all of these things is available to you in the documentation, which you can link to directly using the dot command and by experimenting.
[01:13:16.000 --> 01:13:22.000]   But it is like initially, it's a lot to learn.
[01:13:22.000 --> 01:13:31.000]   But the nice thing is that the things you're learning are very reusable, right, because all this stuff is used all over the place.
[01:13:31.000 --> 01:13:37.000]   All right, so I'm going to wrap it up. Does anybody have any questions or comments?
[01:13:37.000 --> 01:13:53.000]   This has been a bit less interactive than usual. So I apologize if that's because I'm talking too much, but I definitely want to hear your thoughts or questions.
[01:13:53.000 --> 01:14:05.000]   Nothing? That's fine. Thank you. Is that because it's too easy or too hard or totally obvious or
[01:14:05.000 --> 01:14:10.000]   I want to go away and think about it.
[01:14:10.000 --> 01:14:19.000]   For me, it was very good, Jeremy. OK, great. Right. Now I think it was I think it was perfect for me. Oh, awesome. Cool. Yes. OK.
[01:14:19.000 --> 01:14:26.000]   I haven't seen somebody called Jess in a stream before. Are you a new person here? I've just not noticed you.
[01:14:26.000 --> 01:14:31.000]   A new old person who just saw it pop up in the forum.
[01:14:31.000 --> 01:14:39.000]   Sure. How did I how did it not pop up for me sooner? But thank you for getting caught up. Where are you joining? Yeah, no problem.
[01:14:39.000 --> 01:14:48.000]   I am in the Seattle area of USA. Fantastic. Well, that's that's great. I think.
[01:14:48.000 --> 01:14:53.000]   Yeah. OK, well, that's a good time to finish. So hope to see you all tomorrow.
[01:14:53.000 --> 01:14:55.000]   See ya.
[01:14:55.000 --> 01:14:58.000]   Awesome. See everybody. Bye.

