
[00:00:00.000 --> 00:00:10.460]   yeah we're good all right you guys see my screen yeah okay so um so for the var paper
[00:33:03.220 --> 00:33:09.220]   which maybe not not i haven't really done the math um but you can imagine that 10 inference steps is
[00:33:09.220 --> 00:33:12.740]   still going to be a lot cheaper than 256 inference steps
[00:33:12.740 --> 00:33:21.620]   and i think oh they also uh talked a little about scaling so um if you look at some of these other
[00:33:21.620 --> 00:33:25.860]   models uh the performance improves as they get bigger and then they sort of hit a wall
[00:33:26.500 --> 00:33:32.580]   um and in this case they said uh yeah ours didn't hit a wall they didn't really run this over a very
[00:33:32.580 --> 00:33:40.660]   large uh uh number of orders of magnitude so it's still tbd whether or not as you really get bigger i
[00:33:40.660 --> 00:33:48.020]   don't blame them for not having the resources they're not a google okay um but nevertheless the fact that it
[00:33:48.020 --> 00:33:55.700]   it didn't hit the wall is good but it's not really proved yet until you really get to probably like
[00:33:55.700 --> 00:34:01.620]   more like seven billion parameter scale or something like that uh but just if you just if you compare
[00:34:01.620 --> 00:34:06.900]   for example dit if you looked at these first three data points you'd like yeah this thing scales great
[00:34:06.900 --> 00:34:12.020]   and then you get the first fourth data point and it just fundamentally uh architecturally hits a wall
[00:34:12.580 --> 00:34:17.140]   okay so they're saying var hasn't hit a wall but we still don't know that it's not going to hit a wall
[00:34:17.140 --> 00:34:22.020]   on the next data point you know you really have to right so so the ultimate proof is in the pudding
[00:34:22.020 --> 00:34:29.300]   until you build try to build a gpt4 size thing or whatever you know you just don't um whether or not
[00:34:29.300 --> 00:34:35.380]   you're going to get a wall for images maybe it's not gp4 size but it's the same concept that um it's good
[00:34:35.380 --> 00:34:40.900]   to be asking that question but i just don't think that they quite did it over a large enough spread
[00:34:42.420 --> 00:34:52.900]   um some sample images and here uh if you look you can see um uh this is uh left is earlier in
[00:34:52.900 --> 00:35:00.340]   training right is later in training and this is scaling up the size of the lm that they used um inside
[00:35:00.340 --> 00:35:06.740]   var and so obviously the bigger lm does better and then i i don't know that early in training is really
[00:35:06.740 --> 00:35:12.260]   that important but you know it does learn better and so uh late in training it does it does better
[00:35:12.260 --> 00:35:19.380]   better quality images that's not surprising so to conclude uh the the key things that they're
[00:35:19.380 --> 00:35:24.660]   selling us on why they think this paper is good why they think this technology is good is that um it's
[00:35:24.660 --> 00:35:32.820]   fast uh it's much faster than auto regression in in uh more naive ways it generates very high quality
[00:35:32.820 --> 00:35:38.740]   images um and they say that it has the right inductive bias that going from low scale to high scale
[00:35:38.740 --> 00:35:45.860]   um there is a very clear 1d ordering nobody would argue that somehow medium res should come before low
[00:35:45.860 --> 00:35:51.700]   res everyone's going to agree on the inductive bias whether or not that inductive bias proves to
[00:35:51.700 --> 00:35:58.740]   encapsulate everything that we need you know i would not have necessarily guessed before gpt2 that next
[00:35:58.740 --> 00:36:05.300]   token prediction was sufficient to be able to generate really complex you know mathematical proofs or something
[00:36:05.300 --> 00:36:11.220]   like that right so i i don't have the ability to guess whether or not low res to high res is enough
[00:36:11.220 --> 00:36:21.460]   information for it to be able to um uh do whatever but because it has a very uh uh i don't know intuitive
[00:36:21.460 --> 00:36:27.460]   inductive bias then it does mean that you can do in painting you can do out painting you can you can
[00:36:27.460 --> 00:36:34.660]   fill in any direction um with you know a fixed auto regressive patch order you can't if you if you
[00:36:34.660 --> 00:36:38.900]   if you do raster scan and you give it just the bottom of the image and you tell it give me fill in the top
[00:36:38.900 --> 00:36:43.620]   of the image you can't do that it can only go from top to bottom so this one because of the way it works
[00:36:43.620 --> 00:36:52.020]   it can it can go in any direction in out mass whatever whatever um so byte dance did uh share the code here
[00:36:52.580 --> 00:37:04.740]   and um uh they uh also they have uh uh two follow-up papers that are um that i've seen maybe there's
[00:37:04.740 --> 00:37:13.380]   more uh they they had an infinity paper um they did video they've also done um this was just image net now
[00:37:13.380 --> 00:37:21.860]   they've done text to image like that that's a pretty obvious thing and there's a um xar instead of var paper
[00:37:21.860 --> 00:37:33.700]   now where um they generalized instead of just scale they say you can have arbitrary um uh uh precedence
[00:37:33.700 --> 00:37:39.060]   um and then they also added some stuff that i haven't quite worked my way through where they're
[00:37:39.060 --> 00:37:47.620]   um matching as a what seems like a a little carrot on top of the auto regressive uh learning to to make
[00:37:47.620 --> 00:37:49.220]   the image quality even better
[00:37:49.220 --> 00:37:56.660]   one other thing i have if you're reading the cheat sheet there's a lot of terminology and so i did
[00:37:56.660 --> 00:38:02.980]   sorry if you're reading the paper there's a lot of terminology and so i did actually make a cheat sheet
[00:38:03.540 --> 00:38:10.500]   um uh i'll share the link to the pdf but so basically um they have images and then they talk
[00:38:10.500 --> 00:38:18.500]   about their f um and you're doing this on individual patches at individual scales um and so then you have
[00:38:18.500 --> 00:38:26.260]   your tokens here um that are these cues which combine all the cues together make an image r or rather a
[00:38:26.260 --> 00:38:32.580]   latent r at a given um resolution and then when you're decoding then you go back and you get your f hats and
[00:38:32.580 --> 00:38:43.540]   eventually you get your chat so that's useful all right so i don't know if you guys want to ask me
[00:38:43.540 --> 00:38:52.260]   questions or if there's other discussion you guys want to have um i mean first off thank you i mean it's
[00:38:52.260 --> 00:39:01.060]   great uh that you volunteered in the last minute and i've charted this uh this entire session uh and also
[00:39:01.060 --> 00:39:04.660]   also thanks for the pdf file it looks uh the all the slides look amazing
[00:39:04.660 --> 00:39:12.740]   i i'm just thinking in terms of does it even make sense to think or rationalize var
[00:39:12.740 --> 00:39:19.300]   against how diffusion models work is that going to help me because some of these are rat hole
[00:39:19.300 --> 00:39:28.020]   things that i don't want to get into but do you think in your based on your experience does it help to understand or rationalize var
[00:39:28.020 --> 00:39:33.700]   var by comparing it against diffusion models because even in the diffusion models you have a sense of
[00:39:33.700 --> 00:39:44.740]   uh resolution increments that you see as as uh in practice although behind the scenes uh the the thing
[00:39:44.740 --> 00:39:47.780]   the thing that is driving is actually the uh differential equations
[00:39:47.780 --> 00:40:02.260]   um i think there's there's one thing that i think personally is a very important trend from var
[00:40:02.820 --> 00:40:07.380]   and that's the idea of predicting multiple tokens at once um
[00:40:07.380 --> 00:40:20.500]   the when when we do next token prediction we're sort of fixing the information content first step
[00:40:21.300 --> 00:40:29.620]   okay and you know for me if if you have words like the and whatever um there's not a lot of information
[00:40:29.620 --> 00:40:37.460]   content there but if you're processing code or you're processing like what is you know 12 times 15 or
[00:40:37.460 --> 00:40:43.220]   whatever and you're outputting digits or something like that there's like really high information
[00:40:43.220 --> 00:40:51.940]   density and and you cannot get it slightly wrong or you're just dead um and so whether it's scaling up
[00:40:51.940 --> 00:40:57.620]   or scaling down or whatever but this idea that we can have variable information content so i think the the
[00:40:57.620 --> 00:41:04.900]   the the byte latent paper from meta and and then and to a certain extent the large concept model uh for
[00:41:04.900 --> 00:41:10.660]   me one of the things that they all all these papers have in common is that they're addressing the idea
[00:41:10.660 --> 00:41:18.500]   that the information content may not be uniform token by token by token um and so i think that the idea that
[00:41:18.500 --> 00:41:26.260]   maybe if we're doing reasoning or doing other things that we can we can embed things with multiple tokens
[00:41:27.060 --> 00:41:34.740]   that allows us to to get more information content into one inference step uh and so i think there's
[00:41:34.740 --> 00:41:41.940]   a huge opportunity to either make transformers faster language models faster or have reasoning better if
[00:41:41.940 --> 00:41:47.860]   they have certain capabilities to dial up and down so i think the idea of predicting multiple tokens at once
[00:41:47.860 --> 00:41:56.820]   i think there will be a lot of successful research playing with that uh the xar paper already says that
[00:41:56.820 --> 00:42:06.900]   maybe scale is not the one and only way to do it um uh but they they are looking at this idea and so
[00:42:06.900 --> 00:42:17.140]   diffusion has like really strong mathematical foundations um but we know that transformers are just
[00:42:17.140 --> 00:42:26.500]   really full so uh so there's no reason why like the transformer can't learn the score function that
[00:42:26.500 --> 00:42:34.660]   diffusion models are learning the real question which i i don't know is just kind of who can do it in the
[00:42:34.660 --> 00:42:43.700]   fewest steps uh but it seems like if if if a diffusion model uh using a unit or replacing the unit with a
[00:42:43.700 --> 00:42:50.020]   transformer can learn the score function then if you gave it something similar a progression of images then
[00:42:50.020 --> 00:42:56.500]   you should be able to learn um that same score function using attention um so yeah so i think
[00:42:56.500 --> 00:43:01.540]   that this is something to pay attention to but not necessarily that it has to be literally just
[00:43:01.540 --> 00:43:09.220]   the scale technique that these guys use um but um but yeah i i would pay attention to this idea of
[00:43:09.220 --> 00:43:18.500]   of um that multiple people are approaching of of changing around our tokenization whether it's bite
[00:43:18.500 --> 00:43:27.460]   latent lcm this or something like that so there's a answer sorry uh just to answer the question um more
[00:43:27.460 --> 00:43:32.660]   directly though at least my understanding uh whether there's something to take away from this uh for
[00:43:32.660 --> 00:43:43.380]   whether understanding diffusion helps um i think to me this is an example of uh an earlier paper both both
[00:43:43.380 --> 00:43:50.180]   diffusion and this approach of scale prediction is an example of um an earlier paper i think it's by
[00:43:50.180 --> 00:43:57.140]   such cover where the idea is you actually don't need to solve an ode or something if you can train a
[00:43:57.140 --> 00:44:06.900]   model to denoise for an arbitrary um uh corruption um either adding gaussian noise or maybe in this case you
[00:44:06.900 --> 00:44:13.780]   can interpret the next scale like down sampling prediction as uh uh a corruption where you you actually
[00:44:13.780 --> 00:44:18.260]   think of it backwards you have a high resolution image and you've corrupted it by sampling it down
[00:44:18.260 --> 00:44:25.300]   and you're trying to predict backwards um like all of these are viable ways to think about the the image
[00:44:25.300 --> 00:44:31.460]   generation process so in this case it's a combination of using an llm for attention uh
[00:44:31.460 --> 00:44:37.380]   for being able to predict the next scale rather than raster scan plus the fact that you can you
[00:44:37.380 --> 00:44:42.660]   need some sort of tokenization to actually use the llm in the first place other than that it's kind of
[00:44:42.660 --> 00:44:46.980]   similar and it seems to work really well yeah thanks
[00:44:46.980 --> 00:44:57.140]   regarding that point of multi-token prediction meta put out a paper last year
[00:44:57.140 --> 00:45:03.460]   about training llms with multiple tokens they did it during training and not inference and then they
[00:45:03.460 --> 00:45:08.580]   mentioned in llama 3 that they use this technique in ted basically all your points there for sample
[00:45:08.580 --> 00:45:16.500]   efficiency or like spot on they they go into that um in terms of at inference time this is what um this
[00:45:16.500 --> 00:45:21.540]   is kind of what motivated a lot of the work behind speculative decoding so speculative decoding is kind
[00:45:21.540 --> 00:45:27.620]   of multi-token prediction with a small model and that idea came out of research that you know they
[00:45:27.620 --> 00:45:32.820]   started off with let's just predict multiple tokens and see how that goes and that led down to the path of
[00:45:32.820 --> 00:45:37.540]   some speculative decoding nice
[00:45:37.540 --> 00:45:46.180]   i have a question on the on the training time of this one so this is this approach seems clearly
[00:45:46.180 --> 00:45:53.060]   very fast at inference time because it can predict so many tokens in parallel um but did they put any
[00:45:53.060 --> 00:45:58.100]   mention in and how long it takes to train something also in comparison for example to diffusion models
[00:46:00.580 --> 00:46:04.820]   i that's a great question i don't remember them discussing that in the paper
[00:46:04.820 --> 00:46:12.660]   or maybe i just didn't pay close attention these are actually a lot bigger models than diffusion models
[00:46:12.660 --> 00:46:18.820]   and their inference is a lot slower it's like you trial try 4-0 in mid-generation it takes on the order
[00:46:18.820 --> 00:46:24.420]   of you know 15-20 seconds and it's significantly larger um the big thing with autoregressive generation
[00:46:24.420 --> 00:46:29.460]   is you kind of scale up a lot more than you do with diffusion right we have really small local
[00:46:29.460 --> 00:46:36.020]   diffusion models like uh your iphone locally can do genmoji diffusion but autoregressive models just
[00:46:36.020 --> 00:46:43.380]   at you know base layer they're larger than diffusion models now the inference tricks of like um you know
[00:46:43.380 --> 00:46:48.740]   lcm laura where you can skip a bunch of steps for diffusion those haven't been super applied to image
[00:46:48.740 --> 00:46:55.380]   generation right so uh var is for autoregressive image generation don't have speculative decoding yet
[00:46:55.380 --> 00:46:59.620]   or maybe they do but you know there's a lot of inference optimization that hasn't hit yet so
[00:46:59.620 --> 00:47:07.940]   there's a room to grow but base level we expect diffusion models to stay small uh autoregressive
[00:47:07.940 --> 00:47:13.860]   models kind of get big as they generalize and yeah there's there's a lot of inference optimization that
[00:47:13.860 --> 00:47:20.980]   hasn't hit yet yeah i think that the optimization is a key point um that that fibo shared right so
[00:47:20.980 --> 00:47:24.500]   you compare this to like the very first diffusion models they were doing i don't remember either
[00:47:24.500 --> 00:47:33.060]   hundreds or thousands of steps um and we've dramatically uh improved that and so um if this is a useful
[00:47:33.060 --> 00:47:38.500]   technique then you would expect that there's going to be a bunch of optimizations improvements upon it
[00:47:38.500 --> 00:47:46.980]   this is just day one that's a minor point i guess uh you mentioned 4o image generation being slow i'm
[00:47:46.980 --> 00:47:52.740]   actually not sure whether uh it's so they're clearly doing var but i'm not sure they're doing the same
[00:47:52.740 --> 00:47:59.620]   var because you can imagine that if you want to do text to image or sort of this kind of multimodal
[00:47:59.620 --> 00:48:07.780]   thing you want to actually um fine tune your text model to actually intake the same tokens and alert
[00:48:07.780 --> 00:48:13.540]   like teach it to do the task all with one model rather than uh doing it with separate models um so
[00:48:13.540 --> 00:48:18.740]   it could be that that is the reason like if you just had a dedicated var model you could you can imagine
[00:48:18.740 --> 00:48:26.500]   it being pretty good anyway a question about this actually and i think we had a short thread in discord
[00:48:26.500 --> 00:48:35.140]   about this it doesn't really seem practical to like completely jointly train one model like you know
[00:48:35.140 --> 00:48:40.660]   if you have the sort of 4o architecture or something like that it probably has to be just a post training
[00:48:40.660 --> 00:48:46.580]   thing right and then yeah so you need some way to integrate that with like the separate
[00:48:46.580 --> 00:48:54.500]   like var architecture that you've already trained and i think rj and in discord i'm not sure if he's here
[00:48:54.500 --> 00:49:02.180]   had a plausible explanation that like you have some reserve token that you use to like delineate the
[00:49:02.180 --> 00:49:07.780]   image tokens from the text tokens and then the only thing you need to do in like post training is like
[00:49:07.780 --> 00:49:14.980]   the chat model needs to learn to like say okay now this is um an image or something and then it gives
[00:49:14.980 --> 00:49:19.140]   you text tokens and you take the text tokens and you have a text conditional var and that generates
[00:49:19.140 --> 00:49:24.580]   image or something like that which kind of pencils out to me but i am i'm very curious practically how
[00:49:24.580 --> 00:49:29.940]   they do something like that but i don't know i think you could do it with tool use like you're describing
[00:49:29.940 --> 00:49:36.900]   but um people fine tune on tasks all the time when they for example you want to add like a tabular or
[00:49:36.900 --> 00:49:43.860]   like a numeric modality or like an image modality to a language model you do your pre-training on a big like
[00:49:43.860 --> 00:49:50.900]   like text corpus and then you have a much smaller like modality corpus that you sort of uh train your
[00:49:50.900 --> 00:49:59.700]   encoder to to do uh the quantization so that you can actually have a image token but then you sort of
[00:49:59.700 --> 00:50:06.740]   fine-tune your model to understand image tokens and text tokens all in the same sequence but then then you
[00:50:06.740 --> 00:50:14.180]   don't actually need to do uh co-train everything it is like a post-training thing um and you hope that
[00:50:14.180 --> 00:50:21.940]   you don't lose the text capability when you gain the image capability um but i think apple has a bunch
[00:50:21.940 --> 00:50:28.740]   of uh papers on basically anything to anything prediction um like i think it's called like 4m or
[00:50:28.740 --> 00:50:37.620]   something um uh i don't know how well it works but meta meta meta has a um the segment anything then
[00:50:37.620 --> 00:50:44.580]   there's another one that's six modalities in one audio video depth meta also has chameleon which is
[00:50:44.580 --> 00:50:52.980]   native training so separate than like lava they have a native image language model i guess apple might too
[00:50:52.980 --> 00:50:59.620]   but i if there's i'm thinking yeah i'm thinking of the forum uh series of papers which i think is apple
[00:50:59.620 --> 00:51:05.860]   but again i don't know how well it works um anyway i don't know how anything works in practice at these
[00:51:05.860 --> 00:51:13.460]   scales uh but yeah that's my guess regardless you need some sort of like tool use thing to like say okay
[00:51:13.460 --> 00:51:19.300]   now this is an image right and then you generate the image tokens and then you like end the image and
[00:51:19.300 --> 00:51:24.740]   keep generating text or something like that or whatever is that right but you may need that just
[00:51:24.740 --> 00:51:32.100]   for the ui essentially the the lm model may not care um and whether you use tool use to sort of
[00:51:32.100 --> 00:51:37.540]   dispatch to a new model that's clearly how it used to work because you could basically trick one model into
[00:51:37.540 --> 00:51:43.620]   the uh to uh generating some description that then you know would fail downstream but if it's all one
[00:51:43.620 --> 00:51:49.780]   model uh it's all in the same space and that allows you to do uh image understanding whereas previously
[00:51:49.780 --> 00:51:55.220]   like these models didn't understand what was in the image that they generated themselves so that's
[00:51:55.220 --> 00:52:00.580]   maybe a test a way to check whether like if you ask to generate an image of like a tech bro with uh
[00:52:00.580 --> 00:52:05.380]   and say no glasses and it generates glasses you can ask it whether it contained glasses
[00:52:07.060 --> 00:52:14.340]   yeah yes no no that's an issue and i'm sure it does know that yeah and also just just moving this
[00:52:14.340 --> 00:52:20.740]   into a different track of conversation in the case of diffusion models lots of things have evolved like
[00:52:20.740 --> 00:52:27.540]   there are control nets and lauras and image prompts and whatnot i wonder what would happen in this world
[00:52:27.540 --> 00:52:33.620]   in this universe to get that kind of control because i work in the movie industry and and one of the things
[00:52:33.620 --> 00:52:41.540]   that we uh actually care a lot about is consistency like character consistencies and so on and control
[00:52:41.540 --> 00:52:47.700]   nets are the current way of dealing with all of that so so do you know if there is any literature
[00:52:47.700 --> 00:52:57.060]   around var's along those lines i don't think there's any literature yet but but but like uh open ai uh
[00:52:57.940 --> 00:53:05.780]   they let you refine the image and there's there's clear uh character consistency when you do multi-step
[00:53:05.780 --> 00:53:12.740]   refinement of your image so it seems like they've definitely had that in mind yeah they actually call
[00:53:12.740 --> 00:53:21.460]   that out in the in the blog post they have about the 4-0 image capability and they the i think what i recall
[00:53:21.460 --> 00:53:27.940]   is that they claim that uh that's because of this auto aggressive nature of it right so you have the
[00:53:27.940 --> 00:53:32.900]   history so that the attention can pay attention to the previous image so you kind of get it for free
[00:53:32.900 --> 00:53:39.460]   that was my interpretation of what they were saying yeah then this suggests that it is one model and
[00:53:39.460 --> 00:53:47.220]   that's cool or i guess it could be one uh change model yeah no i i guess so my point in the discord was
[00:53:47.220 --> 00:53:54.100]   actually um that i i just it's unclear to me whether there are uh reserve tokens that are that it's
[00:53:54.100 --> 00:53:59.300]   trained on in post training or if it's if they're just reusing the text tokens but with some sort of
[00:53:59.300 --> 00:54:04.580]   special token to say okay now i'm generating an image and then now i'm not generating an image but
[00:54:04.580 --> 00:54:10.100]   like i don't think it matters too much but you might like lose less of the text capability if you use
[00:54:10.100 --> 00:54:18.020]   reserve tokens yeah if i had to bet that i i would bet on um them using reserve tokens um because you
[00:54:18.020 --> 00:54:24.260]   don't need that many it's a pretty small vocabulary on your code book um and exactly your point uh you
[00:54:24.260 --> 00:54:34.100]   don't want any any forgetting yeah i don't well normally you don't um reuse tokens well i i was not aware
[00:54:34.100 --> 00:54:41.780]   that people do uh reuse tokens ever uh you just uh you have your dictionary for for text tokens and then
[00:54:41.780 --> 00:54:48.980]   you have your implicit dictionary through your uh encoder that you use your vqvae that is now your image
[00:54:48.980 --> 00:54:58.020]   dictionary and they're like they don't overlap um so yeah you just use those and your model learns to
[00:54:58.020 --> 00:55:06.900]   sort of uh naturally use whatever it needs yeah i think there were some early multimodal llms where
[00:55:06.900 --> 00:55:15.780]   you you you had like a beginning you know image token and then you reuse the same space uh but yeah i think
[00:55:15.780 --> 00:55:22.980]   we're all saying the same thing that that's probably not the the conventional wisdom now it's just use
[00:55:22.980 --> 00:55:29.940]   separate tokens and then and then and then you can have uh whatever hypothetically just an orthogonal
[00:55:29.940 --> 00:55:34.820]   corner of your embedding space yeah but those tokens i so i totally agree those tokens are
[00:55:34.820 --> 00:55:42.180]   delimination uh delimiting tokens for example uh when you train a lm model for fill in the middle tasks
[00:55:42.180 --> 00:55:48.260]   even though it can only generate one way right you use like a special you add new tokens that say like
[00:55:48.260 --> 00:55:52.740]   now you're doing the fill in the middle task and here's the beginning and here's the end and now
[00:55:52.740 --> 00:55:58.020]   start generating the the whole essentially uh you create new tokens for those delimiters
[00:55:58.020 --> 00:56:01.460]   but the vocabulary that it it like learns to use the right vocabulary
[00:56:10.420 --> 00:56:16.980]   well thank you so much ted for yeah again we were just gonna casual discuss slides are always appreciated
[00:56:16.980 --> 00:56:24.500]   and uh good to see you here for next week anyone have a topic they want to discuss they want to volunteer
[00:56:24.500 --> 00:56:27.220]   they want someone else to volunteer they want to do half a paper
[00:56:27.220 --> 00:56:34.100]   i want someone to volunteer the um the stuff that just came out of anthropic on
[00:56:34.900 --> 00:56:40.740]   uh okay i might do that since i've done the other three so unless someone else wants to do it i'll do
[00:56:40.740 --> 00:56:48.100]   the fourth one awesome okay okay i i might get someone from anthropic to join us we'll see uh otherwise
[00:56:48.100 --> 00:56:54.900]   next week is anthropic if anyone hasn't seen my favorite mean uh matthew berman he said you know
[00:56:54.900 --> 00:56:59.940]   this is the most surprise he's ever been but he was just as surprised in the thumbnail as always
[00:57:00.660 --> 00:57:03.860]   it's very sad very sad we have a running discord of all his thumbnails
[00:57:03.860 --> 00:57:15.700]   but okay i'll share i'm gonna make the thumbnail for this youtube ah okay good all right we're uh
[00:57:15.700 --> 00:57:26.900]   we got the thumbnail cool thanks guys see you next week and thank you ted thank you ted thank you

