
[00:00:00.000 --> 00:00:08.000]   [no audio]
[00:22:57.000 --> 00:23:03.000]   what drives stock prices and values is the dividend yield plus the subsequent earnings growth.
[00:23:03.000 --> 00:23:08.000]   If you adhere to that, and it is absolutely the case over 100 years,
[00:23:08.000 --> 00:23:12.000]   an awful lot of shorter periods within that, that determines the market return.
[00:23:12.000 --> 00:23:18.000]   It doesn't care whether old people own it, even people my age, or young people own it.
[00:23:18.000 --> 00:23:21.000]   I'd say, essentially, nothing.
[00:23:21.000 --> 00:23:23.000]   Did I make myself clear?
[00:23:23.000 --> 00:23:26.000]   [laughter]
[00:23:26.000 --> 00:23:31.000]   I like to look at things in the broadest possible historical perspective.
[00:23:31.000 --> 00:23:34.000]   5,000 years ago, nobody retired.
[00:23:34.000 --> 00:23:36.000]   You worked until you died.
[00:23:36.000 --> 00:23:40.000]   But if you wanted to invest for retirement, it would take you about 15 minutes
[00:23:40.000 --> 00:23:46.000]   because returns were very, very high, and you didn't live for very long after you retired.
[00:23:46.000 --> 00:23:50.000]   Now, the first retirement contracts, if you will, were something called corotes,
[00:23:50.000 --> 00:23:52.000]   which were a Dutch instrument.
[00:23:52.000 --> 00:23:57.000]   You would pay what amounted to about a year's worth of your salary
[00:23:57.000 --> 00:24:01.000]   for a very basic food shelf for the rest of your life.
[00:24:01.000 --> 00:24:04.000]   That's pretty darn cheap.
[00:24:04.000 --> 00:24:10.000]   And I view retirement as a supply-driven commodity like anything else.
[00:24:10.000 --> 00:24:16.000]   So if you want to visit, you know, Venice or New York or San Francisco,
[00:24:16.000 --> 00:24:18.000]   so does everybody else in the world.
[00:24:18.000 --> 00:24:21.000]   The demand for that is very high.
[00:24:21.000 --> 00:24:25.000]   And that's why those places are so very expensive.
[00:24:25.000 --> 00:24:31.000]   Well, retirement is getting to be the Venice and New York and London of the modern world.
[00:24:31.000 --> 00:24:34.000]   Everybody wants to retire now at age 55.
[00:24:34.000 --> 00:24:36.000]   Consequently, doing that is going to be very expensive.
[00:24:36.000 --> 00:24:41.000]   We've already commented on the fact that portfolio returns going forward are going to be very low.
[00:24:41.000 --> 00:24:45.000]   People are living longer and longer.
[00:24:45.000 --> 00:24:53.000]   And if you think about it, you know, someone works from 25 to 55 and then dies at 85,
[00:24:53.000 --> 00:24:59.000]   and if the demographic curve is flat, that means that for every retired person,
[00:24:59.000 --> 00:25:01.000]   there's one working person.
[00:25:01.000 --> 00:25:04.000]   That doesn't work very well.
[00:25:04.000 --> 00:25:09.000]   So I take a somewhat more pessimistic point of view, and I guess Jack does.
[00:25:09.000 --> 00:25:15.000]   I guess I look at it more globally.
[00:25:15.000 --> 00:25:20.000]   It's hard to imagine that we would have a certain expected return for equities in the U.S.
[00:25:20.000 --> 00:25:29.000]   and a very different expected return in Korea or some developing nation,
[00:25:29.000 --> 00:25:34.000]   especially the way the world is becoming much more global in nature.
[00:25:34.000 --> 00:25:39.000]   So capital is increasingly able to move around the world,
[00:25:39.000 --> 00:25:43.000]   and so I think that the expected returns will somewhat equalize,
[00:25:43.000 --> 00:25:46.000]   given the fact that the risks are somewhat similar.
[00:25:46.000 --> 00:25:52.000]   So I guess I'm a little bit more Jack's kid.
[00:25:52.000 --> 00:25:55.000]   [Laughter]
[00:25:55.000 --> 00:25:57.000]   I'm this one.
[00:25:57.000 --> 00:26:02.000]   [Laughter]
[00:26:02.000 --> 00:26:05.000]   This is for Jack from T. Wilcox.
[00:26:05.000 --> 00:26:10.000]   Which bond fund would you use for a three-fund portfolio?
[00:26:10.000 --> 00:26:16.000]   Which bond fund would you use for a three-fund portfolio?
[00:26:16.000 --> 00:26:23.000]   Well, I made my position clear about the fact that I'm disturbed by the composition of the bond index itself,
[00:26:23.000 --> 00:26:28.000]   and I think it's just too heavy in governments to consider.
[00:26:28.000 --> 00:26:30.000]   We talked about this yesterday with the charts.
[00:26:30.000 --> 00:26:34.000]   Too heavy in governments, too heavy in foreign ownerships,
[00:26:34.000 --> 00:26:39.000]   too heavy in federal ownerships to represent a bond portfolio of a typical American investor,
[00:26:39.000 --> 00:26:45.000]   which would be investors' holdings, insurance companies' holdings, pension fund holdings and things of that nature.
[00:26:45.000 --> 00:26:54.000]   And I think a reasonable bond position would be highly arbitrary, but not 70%, but maybe 30 or 35%.
[00:26:54.000 --> 00:26:58.000]   And that's probably, if you look at all the bond funds out there together, as I mentioned yesterday,
[00:26:58.000 --> 00:27:03.000]   that's probably about where the competition is as well as where the U.S. market is.
[00:27:03.000 --> 00:27:08.000]   So I think we should have a much better bond index.
[00:27:08.000 --> 00:27:15.000]   And nobody at Vanguard, I don't know, I think Gus felt aggrieved with me when I brought this up three years ago.
[00:27:15.000 --> 00:27:18.000]   And I stopped bringing it up.
[00:27:18.000 --> 00:27:21.000]   You don't want to beat your head against the wall.
[00:27:21.000 --> 00:27:24.000]   I've got too many issues to worry about other than that one.
[00:27:24.000 --> 00:27:32.000]   But what I suggest instead of that is why not have heavier money, say, as the working hypothesis had,
[00:27:32.000 --> 00:27:40.000]   half of it in the total bond market portfolio and half of it in the corporate bond intermediate-term portfolio.
[00:27:40.000 --> 00:27:45.000]   The corporate bond intermediate-term portfolio is the intermediate,
[00:27:45.000 --> 00:27:47.000]   but so is the total bond market intermediate.
[00:27:47.000 --> 00:27:52.000]   In other words, the long and short pretty much balance themselves out when you go about the same duration.
[00:27:52.000 --> 00:27:56.000]   So you can do that without any change in risk exposure of the credit
[00:27:56.000 --> 00:28:00.000]   and improve your return by probably a half to three quarters of a percentage point a year.
[00:28:00.000 --> 00:28:06.000]   So these are stingy markets where we should have a much bigger edge, we think, or I think we do,
[00:28:06.000 --> 00:28:09.000]   because the competition has more corporates and therefore higher yields.
[00:28:09.000 --> 00:28:14.000]   And they come at just about matching our bond market fund with lower costs and lower yields.
[00:28:14.000 --> 00:28:18.000]   So I think we're a little out of the mainstream, a lot out of the mainstream.
[00:28:18.000 --> 00:28:21.000]   And my choice would be the intermediate-term corporate.
[00:28:21.000 --> 00:28:25.000]   I also tried, and I think Gus did agree with me on this,
[00:28:25.000 --> 00:28:30.000]   to have them form an intermediate corporate bond index fund.
[00:28:30.000 --> 00:28:37.000]   A corporate bond index fund would have a correlation with the intermediate-term bond index of about 99.
[00:28:37.000 --> 00:28:39.000]   So why don't we just use either?
[00:28:39.000 --> 00:28:42.000]   I think a corporate bond index fund is easy to explain.
[00:28:42.000 --> 00:28:46.000]   That's a big part of our job on the phones in our literature.
[00:28:46.000 --> 00:28:52.000]   And an intermediate-term bond index begins with the fact that first our poor rep on the phone has to deal with
[00:28:52.000 --> 00:28:55.000]   why would you choose the intermediate-term index?
[00:28:55.000 --> 00:29:01.000]   It's a whole conversation that has nothing to do, in my opinion, with sound investment practices.
[00:29:01.000 --> 00:29:04.000]   So give it the simple route. It's always been my position.
[00:29:04.000 --> 00:29:08.000]   Make it easy to explain. Make the structure simple.
[00:29:08.000 --> 00:29:17.000]   And so that's my choice to answer the question in four words that I should have, as usual.
[00:29:17.000 --> 00:29:19.000]   This next one is a question from Mel.
[00:29:19.000 --> 00:29:24.000]   Could I ask Gus, what do you think about the corporate bond market index fund?
[00:29:24.000 --> 00:29:26.000]   Representative? Unrepresentative?
[00:29:26.000 --> 00:29:29.000]   Well, by definition, it is representative.
[00:29:29.000 --> 00:29:33.000]   I mean, it really is the market itself.
[00:29:33.000 --> 00:29:37.000]   Do I believe that it should be so heavily weighted in treasuries?
[00:29:37.000 --> 00:29:41.000]   You know, with corporates, if you look at corporates,
[00:29:41.000 --> 00:29:47.000]   the extra return or the excess return from corporates is somewhat correlated with equities.
[00:29:47.000 --> 00:29:52.000]   So you're getting a little bit of an equity-like kicker in the corporates
[00:29:52.000 --> 00:29:56.000]   that you can get anyways in your equity exposure.
[00:29:56.000 --> 00:30:03.000]   So I guess I still do think the total bond market is an appropriate investment vehicle.
[00:30:03.000 --> 00:30:12.000]   I did agree with Jack several years ago when he was talking about doing a total corporate index fund
[00:30:12.000 --> 00:30:15.000]   for people who do want to avoid corporates.
[00:30:15.000 --> 00:30:22.000]   I still think the total bond market is a rational investment.
[00:30:22.000 --> 00:30:24.000]   Okay, this is a question from Mel.
[00:30:24.000 --> 00:30:31.000]   Given today's situation, what are your thoughts on the current high bond offerings?
[00:30:31.000 --> 00:30:41.000]   Well, when we compare them to the good old days when you could get the 3.4, 3.3, 3.6 fixed rate
[00:30:41.000 --> 00:30:52.000]   and you could buy $30,000 worth of personal security paper and $30,000 in electronic bonds,
[00:30:52.000 --> 00:30:56.000]   we say that things are pretty sad.
[00:30:56.000 --> 00:31:04.000]   On the other hand, when we look at the fact that they are tax deferred for up to 30 years,
[00:31:04.000 --> 00:31:12.000]   they're risk-free, they're adjusted for inflation, and you compare them to any other risk-free investment
[00:31:12.000 --> 00:31:18.000]   that's available today, despite the good old days being gone,
[00:31:18.000 --> 00:31:27.000]   I think they're still a good investment compared to other options that are available.
[00:31:27.000 --> 00:31:30.000]   It would be nice if we were to return to the good old days,
[00:31:30.000 --> 00:31:37.000]   to face the facts that we have to compare them to what's available in CDs and money markets
[00:31:37.000 --> 00:31:41.000]   and things like--excuse me, I'm losing my voice--
[00:31:41.000 --> 00:31:46.000]   so that I think that they're still a good investment for people who are comfortable
[00:31:46.000 --> 00:31:50.000]   buying them strictly online.
[00:31:50.000 --> 00:31:55.000]   The next one is a question to the panel from Greg Brice.
[00:31:55.000 --> 00:32:00.000]   Recently, Paul Merriman spoke on what's wrong with Vanguard.
[00:32:00.000 --> 00:32:05.000]   He believes Vanguard should tilt more towards small-cap and small-cap value
[00:32:05.000 --> 00:32:09.000]   within Vanguard's total stock market fund.
[00:32:09.000 --> 00:32:14.000]   I would like to hear the panel's feeling on this statement, both pros and cons.
[00:32:14.000 --> 00:32:20.000]   This is similar to what DFA funds do.
[00:32:20.000 --> 00:32:24.000]   I've got a really strong opinion on that one.
[00:32:24.000 --> 00:32:29.000]   The total stock market is the total stock market.
[00:32:29.000 --> 00:32:32.000]   To put that argument up there, the zero-sum game and the negative-sum game,
[00:32:32.000 --> 00:32:34.000]   that applies to the total stock market.
[00:32:34.000 --> 00:32:36.000]   It does apply to overweighting certain segments of the market.
[00:32:36.000 --> 00:32:40.000]   If you want to overweight those segments in your own portfolio,
[00:32:40.000 --> 00:32:45.000]   Vanguard does provide small-cap value funds, small-cap blends, small-cap growth.
[00:32:45.000 --> 00:32:48.000]   For people who do want to take that bet, they can do it,
[00:32:48.000 --> 00:32:52.000]   but it wouldn't make any sense whatsoever to put it inside of the total stock market.
[00:32:52.000 --> 00:32:57.000]   It begs the question, is that bet worth taking?
[00:32:57.000 --> 00:33:02.000]   I alluded to it earlier that I'm not terribly wild about that bet
[00:33:02.000 --> 00:33:06.000]   because it's based on empirical work and the theory was developed afterwards.
[00:33:06.000 --> 00:33:11.000]   People said, "Well, I think you're getting extra return because you take extra risk."
[00:33:11.000 --> 00:33:15.000]   I would ask the question, "What risk are you compensated for?"
[00:33:15.000 --> 00:33:18.000]   In other words, think of the original capital asset pricing model.
[00:33:18.000 --> 00:33:22.000]   We talked about systematic risk and non-systematic risk.
[00:33:22.000 --> 00:33:26.000]   If you were compensated for taking systematic risk, which is market risk,
[00:33:26.000 --> 00:33:29.000]   and you were not compensated for taking non-systematic risk,
[00:33:29.000 --> 00:33:32.000]   non-systematic risk was risk associated with each individual stock.
[00:33:32.000 --> 00:33:36.000]   That could be diversified away, so why should society pay you to take that risk?
[00:33:36.000 --> 00:33:40.000]   If you look at the different segments of the market,
[00:33:40.000 --> 00:33:44.000]   just think of the nine Morningstar style boxes,
[00:33:44.000 --> 00:33:50.000]   each one of those is more volatile than the market itself
[00:33:50.000 --> 00:33:53.000]   because they're more narrowly defined.
[00:33:53.000 --> 00:33:56.000]   In a couple of cases, just marginally more volatile.
[00:33:56.000 --> 00:33:59.000]   But if they're more volatile, so they're riskier,
[00:33:59.000 --> 00:34:02.000]   should they have a higher return than the market?
[00:34:02.000 --> 00:34:04.000]   Well, if they did, then why would you own the market?
[00:34:04.000 --> 00:34:06.000]   You just own the pieces of the market.
[00:34:06.000 --> 00:34:07.000]   You put them back together that way.
[00:34:07.000 --> 00:34:12.000]   Well, that doesn't make any sense because they come back together again and they're the market.
[00:34:12.000 --> 00:34:17.000]   I think that this, arguably, from a financial theory standpoint,
[00:34:17.000 --> 00:34:20.000]   would be that it's risk that's not compensated.
[00:34:20.000 --> 00:34:22.000]   It can be diversified away.
[00:34:22.000 --> 00:34:25.000]   There are a lot of people who are arguing behavioral finance aspects,
[00:34:25.000 --> 00:34:31.000]   but for me, I've just had too long not taking Factor Bonds.
[00:34:31.000 --> 00:34:33.000]   Let me just add to that.
[00:34:33.000 --> 00:34:38.000]   I agree with Gus, at least in this case.
[00:34:38.000 --> 00:34:40.000]   I talked to you yesterday about the FAA,
[00:34:40.000 --> 00:34:44.000]   and I simply don't believe--I know what the past data is,
[00:34:44.000 --> 00:34:47.000]   and I know the growth has done in the past.
[00:34:47.000 --> 00:34:51.000]   People use the expression--I'm sorry, value.
[00:34:51.000 --> 00:34:54.000]   Value does better than growth.
[00:34:54.000 --> 00:34:56.000]   I never want to hear that said.
[00:34:56.000 --> 00:34:59.000]   Value has done better than growth in the long-term past.
[00:34:59.000 --> 00:35:03.000]   Not does, but has done, and that's pretty irrelevant to me in the future.
[00:35:03.000 --> 00:35:07.000]   And small cap, the same thing, has done better in the past than large cap.
[00:35:07.000 --> 00:35:13.000]   In these long periods of going back to, I guess, 1928 or '26, something like that,
[00:35:13.000 --> 00:35:18.000]   it's very clear that you can find 20-, 25-year periods where the reverse is true.
[00:35:18.000 --> 00:35:21.000]   So we've got this period-dependent comparison.
[00:35:21.000 --> 00:35:24.000]   It started at a certain point, and it ends at a certain point.
[00:35:24.000 --> 00:35:29.000]   It's all they can do with any comparison you've ever seen is period-dependent.
[00:35:29.000 --> 00:35:34.000]   We've also done a fair amount of work on how the real world works
[00:35:34.000 --> 00:35:37.000]   rather than those calculations out of Chicago work.
[00:35:37.000 --> 00:35:41.000]   And it turns out these things don't work nearly as well if you compare, say,
[00:35:41.000 --> 00:35:45.000]   growth funds, growth mutual funds, with value mutual funds.
[00:35:45.000 --> 00:35:49.000]   And we've done a lot of work on that, and the results are not totally different,
[00:35:49.000 --> 00:35:53.000]   but quite different, and will lead you to no conclusion like that at all.
[00:35:53.000 --> 00:35:56.000]   Also, if you believe that the stock market is a great arbitrageur
[00:35:56.000 --> 00:36:00.000]   between the present and the future, if it is categorically true
[00:36:00.000 --> 00:36:05.000]   that value at small cap are better, why then the prices of value at small cap
[00:36:05.000 --> 00:36:11.000]   will be bid up at the expense of large cap and gross stocks,
[00:36:11.000 --> 00:36:13.000]   which will be bid down.
[00:36:13.000 --> 00:36:16.000]   So I don't see any reason it should hold in the future.
[00:36:16.000 --> 00:36:18.000]   And I also call on the chart I gave you.
[00:36:18.000 --> 00:36:20.000]   I'll reiterate the chart I gave you yesterday.
[00:36:20.000 --> 00:36:25.000]   When you look at all the morning star ratings taken class by class by class,
[00:36:25.000 --> 00:36:29.000]   in fair comparison, our value funds will be compared to DFA's value funds,
[00:36:29.000 --> 00:36:32.000]   value-oriented funds, things of that nature.
[00:36:32.000 --> 00:36:36.000]   We are the highest-ranking investment company complex
[00:36:36.000 --> 00:36:38.000]   in the entire morning star ratings.
[00:36:38.000 --> 00:36:42.000]   We have a 58% positive rating.
[00:36:42.000 --> 00:36:47.000]   We only have 6% Vanguard funds that are in 1 and 2 stars,
[00:36:47.000 --> 00:36:51.000]   and 65% are in 4 and 5 stars.
[00:36:51.000 --> 00:36:54.000]   For a net of 58 is the way I do it.
[00:36:54.000 --> 00:37:00.000]   DFA is 16% 1 and 2, and 48%, their differential is 33%.
[00:37:00.000 --> 00:37:02.000]   And they still rank number 6.
[00:37:02.000 --> 00:37:04.000]   This is good, and I salute them for that.
[00:37:04.000 --> 00:37:08.000]   Probably the main difference between 1 and 6 is they're charging
[00:37:08.000 --> 00:37:13.000]   45 or 50 basis points a year, and we're charging on average 15.
[00:37:13.000 --> 00:37:17.000]   And so if they want to get up and really get in the competition,
[00:37:17.000 --> 00:37:20.000]   reduce your costs, DFA.
[00:37:20.000 --> 00:37:22.000]   Now!
[00:37:22.000 --> 00:37:26.000]   Let me make the contrary case.
[00:37:26.000 --> 00:37:30.000]   First of all, I think that a more subtle definition of risk is called
[00:37:30.000 --> 00:37:33.000]   risk is more than symbols of volatility.
[00:37:33.000 --> 00:37:38.000]   And the best definition of risk that I know of is Antti Omani's risk,
[00:37:38.000 --> 00:37:43.000]   which basically summarizes bad returns and bad times.
[00:37:43.000 --> 00:37:47.000]   So if you look, for example, at the return of the small value partner
[00:37:47.000 --> 00:37:51.000]   during the most recent financial crisis, you're left with, you know,
[00:37:51.000 --> 00:37:58.000]   a return of -65% top to bottom versus about -55% for the total stock market.
[00:37:58.000 --> 00:38:01.000]   That may not seem like very much, but there's a big difference
[00:38:01.000 --> 00:38:05.000]   between being left with 35 cents and being left with 45 cents.
[00:38:05.000 --> 00:38:10.000]   So I think there's a good theoretical reason why small value stocks
[00:38:10.000 --> 00:38:13.000]   have a higher return.
[00:38:13.000 --> 00:38:17.000]   It's not just that it's period dependent in the United States.
[00:38:17.000 --> 00:38:22.000]   At least the value premium is present in just about every single country
[00:38:22.000 --> 00:38:25.000]   you would want to look at.
[00:38:25.000 --> 00:38:30.000]   15 out of 16 developed nations, I think, the Fama-French's international study,
[00:38:30.000 --> 00:38:35.000]   and I think 12 out of 16 emerging markets nations.
[00:38:35.000 --> 00:38:41.000]   Now, having said that, the return of any factor, I believe,
[00:38:41.000 --> 00:38:46.000]   is roughly inversely proportional to the number of people chasing it.
[00:38:46.000 --> 00:38:50.000]   And in the current environment, everybody and their dog is chasing
[00:38:50.000 --> 00:38:53.000]   the small value factors.
[00:38:53.000 --> 00:38:59.000]   From DFA to Armand and his crew to, you know, just about everybody else
[00:38:59.000 --> 00:39:02.000]   is pushing their version of smart beta.
[00:39:02.000 --> 00:39:09.000]   So I think that it's a much tougher road to hoe from this point forward,
[00:39:09.000 --> 00:39:13.000]   if you're going to believe in factor-based investing.
[00:39:13.000 --> 00:39:18.000]   With all due respect, neither Benjamin Franklin Bogle or Sugar Bogle
[00:39:18.000 --> 00:39:22.000]   or two dogs are chasing small value stocks.
[00:39:22.000 --> 00:39:24.000]   [laughter]
[00:39:24.000 --> 00:39:27.000]   Maybe not those two dogs, yes.
[00:39:27.000 --> 00:39:29.000]   [laughter]
[00:39:29.000 --> 00:39:33.000]   The next question is for Dr. Bernstein from Ray James.
[00:39:33.000 --> 00:39:42.000]   Is globalization depriving the benefit of diversification across regions?
[00:39:42.000 --> 00:39:47.000]   If so, can this be quantified or predicted reasonably?
[00:39:47.000 --> 00:39:49.000]   Well, yes.
[00:39:49.000 --> 00:39:53.000]   If you look at simple short-term correlation of short-term periods,
[00:39:53.000 --> 00:39:55.000]   daily returns, monthly returns,
[00:39:55.000 --> 00:39:58.000]   we all know that the markets have become more correlated,
[00:39:58.000 --> 00:40:00.000]   and the reason for that is simple.
[00:40:00.000 --> 00:40:06.000]   Vanguard and DFA and ETF providers have made it very easy to get exposure
[00:40:06.000 --> 00:40:12.000]   to these corners of the world, to obscure corners of the world with the push of a key.
[00:40:12.000 --> 00:40:16.000]   And when that happens, correlations will naturally rise.
[00:40:16.000 --> 00:40:22.000]   Having said that, the long-term correlation value is still there.
[00:40:22.000 --> 00:40:26.000]   And all you have to do is look at the returns of various asset classes
[00:40:26.000 --> 00:40:31.000]   between, say, the 10-year period, between 1999 and 2008,
[00:40:31.000 --> 00:40:34.000]   which accounts to all their markets.
[00:40:34.000 --> 00:40:40.000]   And what you see is that the broad U.S. market had a nominal return
[00:40:40.000 --> 00:40:44.000]   of something like minus 20% over that 10-year period,
[00:40:44.000 --> 00:40:49.000]   whereas most other foreign asset classes, particularly emerging markets,
[00:40:49.000 --> 00:40:53.000]   had, in some cases, triple-digit returns.
[00:40:53.000 --> 00:40:58.000]   So there's diversification that you can use.
[00:40:58.000 --> 00:41:02.000]   Next time around, the pattern may be reversed.
[00:41:02.000 --> 00:41:05.000]   I'm a strong believer in the fact that we cannot predict the future,
[00:41:05.000 --> 00:41:09.000]   therefore, we diversify.
[00:41:09.000 --> 00:41:11.000]   I'm a little slow.
[00:41:11.000 --> 00:41:18.000]   I'm still thinking about Bill's last response about factor returns.
[00:41:18.000 --> 00:41:23.000]   And my point was not that there isn't actually more risk in small-cap value
[00:41:23.000 --> 00:41:25.000]   or in small in general.
[00:41:25.000 --> 00:41:28.000]   It's just whether or not you should be compensating for that risk.
[00:41:28.000 --> 00:41:32.000]   In other words, there's more risk investing in a single stock
[00:41:32.000 --> 00:41:36.000]   than any other way you could invest.
[00:41:36.000 --> 00:41:40.000]   But are you compensated extra because you're investing in a single stock?
[00:41:40.000 --> 00:41:44.000]   If it's diversifiable, then you don't get compensated for diversifiable risk.
[00:41:44.000 --> 00:41:49.000]   And should society pay people to take a bet on small-cap value,
[00:41:49.000 --> 00:41:54.000]   the more risky segment of the market, when society itself, in aggregate,
[00:41:54.000 --> 00:41:58.000]   doesn't bear that risk?
[00:41:58.000 --> 00:42:03.000]   Again, I think it depends upon how you define risk.
[00:42:03.000 --> 00:42:10.000]   I define risk as what I feel is my stumbling block since 2009.
[00:42:10.000 --> 00:42:12.000]   And I think based on that measure,
[00:42:12.000 --> 00:42:21.000]   I think that small stocks deserve a higher return because of that higher risk.
[00:42:21.000 --> 00:42:26.000]   I think the next is a three-part question for the panel from Bob and Artie.
[00:42:26.000 --> 00:42:29.000]   I'd be interested to hear the panel's viewpoints
[00:42:29.000 --> 00:42:33.000]   on portfolio construction in retirement
[00:42:33.000 --> 00:42:37.000]   based on three different approaches advocated by members of the panel,
[00:42:37.000 --> 00:42:40.000]   agent bonds or some variant,
[00:42:40.000 --> 00:42:43.000]   the bucket approach based on when the money is needed,
[00:42:43.000 --> 00:42:54.000]   or liability-matching portfolio, why keep playing when you've already won.
[00:42:54.000 --> 00:42:59.000]   Well, I have a question for Bill along those lines.
[00:42:59.000 --> 00:43:07.000]   Bill, in your early book, you showed that an old bond portfolio
[00:43:07.000 --> 00:43:14.000]   is actually riskier than a portfolio with, I think it was between 7% and 12% in equities.
[00:43:14.000 --> 00:43:21.000]   So, if you won the game, basically, you don't invest in equities in theory.
[00:43:21.000 --> 00:43:24.000]   You put it all in safe investments,
[00:43:24.000 --> 00:43:29.000]   and yet it seems to contradict your findings in your early book.
[00:43:29.000 --> 00:43:35.000]   Yeah, I can't be entirely consistent all the time, I suppose.
[00:43:35.000 --> 00:43:39.000]   As Gene Fama likes to say, I can't be right about everything,
[00:43:39.000 --> 00:43:42.000]   at least at the same time.
[00:43:42.000 --> 00:43:45.000]   More seriously, you know,
[00:43:45.000 --> 00:43:50.000]   there's no one approach that is best for everyone.
[00:43:50.000 --> 00:43:53.000]   You have to look at your own personal situation.
[00:43:53.000 --> 00:43:56.000]   I think that in general, the person who has saved up
[00:43:56.000 --> 00:44:00.000]   just 15 or 20 years of residual living expenses,
[00:44:00.000 --> 00:44:04.000]   that is, what they need to live on in addition to their Social Security,
[00:44:04.000 --> 00:44:06.000]   if they're lucky enough to have that,
[00:44:06.000 --> 00:44:09.000]   that's the person who really should have a liability matching portfolio,
[00:44:09.000 --> 00:44:13.000]   which, if not 0% stocks, should be fairly low.
[00:44:13.000 --> 00:44:19.000]   If it was a bad draw early on, let's say even a 30/70 or 50/40 portfolio,
[00:44:19.000 --> 00:44:22.000]   they very well make that person run out of money.
[00:44:22.000 --> 00:44:27.000]   On the other hand, Warren Buffett's widow can invest 100% of her money
[00:44:27.000 --> 00:44:29.000]   in the Vanguard Index Trust 500,
[00:44:29.000 --> 00:44:31.000]   because the dividend yield on that,
[00:44:31.000 --> 00:44:35.000]   even a quarter of the dividend yield will not presumably pay her living expenses.
[00:44:35.000 --> 00:44:37.000]   So if you can tolerate, you know,
[00:44:37.000 --> 00:44:43.000]   if you have 50 or 100 times your residual living expenses in your portfolio,
[00:44:43.000 --> 00:44:48.000]   and you can emotionally tolerate 100% stocks, why not?
[00:44:48.000 --> 00:44:53.000]   You know, an age equals bond is a good shorthand for approximating,
[00:44:53.000 --> 00:44:56.000]   I think, what the middle course is for most people.
[00:44:56.000 --> 00:45:01.000]   It's a matter of personal taste more than anything else.
[00:45:01.000 --> 00:45:07.000]   On the liability matching portfolio, it's a theoretically extremely sound idea,
[00:45:07.000 --> 00:45:10.000]   but today, with interest rates where they are,
[00:45:10.000 --> 00:45:14.000]   funding it is beyond the financial ability of just about every corporation
[00:45:14.000 --> 00:45:16.000]   that has a pension plan. They really can't do it.
[00:45:16.000 --> 00:45:19.000]   They have to put a whole lot more money in,
[00:45:19.000 --> 00:45:21.000]   and that would reduce executive compensation,
[00:45:21.000 --> 00:45:23.000]   it would reduce corporate earnings,
[00:45:23.000 --> 00:45:25.000]   all those things that are totally unacceptable.
[00:45:25.000 --> 00:45:29.000]   It would reduce the price of the stock in the stock market
[00:45:29.000 --> 00:45:32.000]   for all those short-term speculators that are holding it,
[00:45:32.000 --> 00:45:37.000]   and all that notates against just the sheer ability
[00:45:37.000 --> 00:45:40.000]   to have a liability matching portfolio.
[00:45:40.000 --> 00:45:42.000]   And they may want to try it anyway,
[00:45:42.000 --> 00:45:47.000]   and there are all kinds of financial machinations naturally going on out there,
[00:45:47.000 --> 00:45:50.000]   where they sell the liabilities to an insurance company.
[00:45:50.000 --> 00:45:52.000]   I'm not sure exactly how all that works.
[00:45:52.000 --> 00:45:55.000]   People are trying to get around this without putting up any more money,
[00:45:55.000 --> 00:45:58.000]   but they keep a lot of that liability when they sell it off,
[00:45:58.000 --> 00:46:02.000]   and I don't know if anybody really does have to account for that.
[00:46:02.000 --> 00:46:03.000]   So it's very sensitive.
[00:46:03.000 --> 00:46:06.000]   Our corporations are very sensitive to these pension contributions,
[00:46:06.000 --> 00:46:08.000]   and so they try and work their way around it
[00:46:08.000 --> 00:46:10.000]   by assuming higher returns than they will ever get,
[00:46:10.000 --> 00:46:13.000]   even though those plans are underfunded by,
[00:46:13.000 --> 00:46:17.000]   I think the number is $5 trillion is the underfunding
[00:46:17.000 --> 00:46:21.000]   in private and public pension plans in the U.S.,
[00:46:21.000 --> 00:46:24.000]   most of which, I think it's $4 trillion,
[00:46:24.000 --> 00:46:28.000]   is the underfunding of state and local government plans,
[00:46:28.000 --> 00:46:30.000]   public pension plans.
[00:46:30.000 --> 00:46:32.000]   So we have a real mess on our hands,
[00:46:32.000 --> 00:46:36.000]   and, again, the first company or the first municipality goes belly up.
[00:46:36.000 --> 00:46:39.000]   Detroit gave us a good example.
[00:46:39.000 --> 00:46:43.000]   It's going to find they're dealing with a financial situation that is--
[00:46:43.000 --> 00:46:45.000]   it's just untenable.
[00:46:45.000 --> 00:46:47.000]   The system doesn't work,
[00:46:47.000 --> 00:46:49.000]   except if they go out and raise taxes,
[00:46:49.000 --> 00:46:51.000]   and, of course, the taxpayers have to approve that,
[00:46:51.000 --> 00:46:53.000]   and they're not going to approve it.
[00:46:53.000 --> 00:46:56.000]   So there's only so many options you have left.
[00:46:56.000 --> 00:47:00.000]   So it's a complex idea, the idea of liability matching.
[00:47:00.000 --> 00:47:03.000]   It is theoretically--I mean, you could write a book on how perfect it is,
[00:47:03.000 --> 00:47:08.000]   but it just doesn't seem to work.
[00:47:08.000 --> 00:47:11.000]   The next one is a question for Bill Bernstein from Puff Loverson.
[00:47:11.000 --> 00:47:13.000]   For the past three-plus years,
[00:47:13.000 --> 00:47:16.000]   you've advocated holding very short-term bonds,
[00:47:16.000 --> 00:47:19.000]   primarily to treasuries, taking the risk in equities.
[00:47:19.000 --> 00:47:21.000]   Do you still maintain this view?
