
[00:00:00.000 --> 00:00:14.000]   *Music*
[00:28:08.840 --> 00:28:13.320]   You can just like, it does that thing where it makes you make the graph. Oh, yeah. Sorry.
[00:28:15.880 --> 00:28:22.040]   Yeah. It doesn't. I mean, anything is fine. Like, don't tell anybody. It's a marketing thing. Like,
[00:28:22.040 --> 00:28:27.880]   just pass through it. I want to just get you enabled. And then when you go through,
[00:28:27.880 --> 00:28:32.920]   you can just use the default. It's going to default to four gigs. You know, if you want to name your
[00:28:32.920 --> 00:28:38.520]   instance, you may. One of the things that's going to -- you can definitely turn on Graph Analytics and
[00:28:38.520 --> 00:28:44.840]   Vector Optimization if you want. And then just click Accept, and it'll start up your instance,
[00:28:44.840 --> 00:28:49.400]   and it'll take a couple of minutes. Once that instance is up and running, we'll get you to the
[00:28:49.400 --> 00:28:53.640]   dump and we'll get that loaded in. So I'm just going to give everybody a couple of minutes to work on this.
[00:28:53.640 --> 00:28:59.560]   If you get stuck on this process, just raise your hand because I've got lots of my people,
[00:28:59.560 --> 00:29:03.000]   my Neo4j people, wave. Alexi, that's you too.
[00:29:03.000 --> 00:29:03.880]   Also Alexi, that's you.
[00:29:03.880 --> 00:29:10.760]   Alexi, yes, he's being called on in class, right? He wasn't asleep, so that's good. He was just
[00:29:10.760 --> 00:29:17.560]   working. Yeah, so if you get stuck on anything, just let us know, okay? But what I can do,
[00:29:17.560 --> 00:29:22.280]   while we're -- while y'all are getting that up and running, is I can show you a little bit about what is
[00:29:22.280 --> 00:29:29.800]   inside of our database. The console, it makes it really easy. Not only do you have access to your
[00:29:29.800 --> 00:29:35.480]   instances, you have access to Graph Analytics, but, you know, the basic IDE, which is the query,
[00:29:36.280 --> 00:29:44.680]   will be connected as well. So got one of each. Let's see what's in the database.
[00:29:44.680 --> 00:29:51.000]   Oh, I know. That's right. I emptied it because I wanted you guys to be able to, like, do the dump
[00:29:51.000 --> 00:29:56.680]   with me. Okay. Oh, no. There it is. Okay. All right. Okay. So we've got the query. And in the query,
[00:29:56.680 --> 00:30:03.400]   for those of you who love your Cypher, you know, we can say return in limit 10.
[00:30:05.240 --> 00:30:11.880]   All the Cypher that we're using today, like, I've already got in the notebooks. But what you'll see
[00:30:11.880 --> 00:30:17.480]   is when you do a query, querying in Cypher is really all about the pattern. So in this case,
[00:30:17.480 --> 00:30:22.520]   I'm just doing a match n. You probably can't see. Yeah, I was going to ask. Can you see that okay now?
[00:30:22.520 --> 00:30:28.280]   Yeah, I'll fix it. Hold on. I got to make this so people can see all the things. See all that? No,
[00:30:28.280 --> 00:30:34.920]   that's not going to work. I'm going to zoom in. Sorry. Yes?
[00:30:34.920 --> 00:30:47.640]   Oh, okay. Okay. If you already have an account. Oh, you know what you can do? If you already have an
[00:30:47.640 --> 00:30:52.120]   account, one of the things you can do is you can log back in. And if you change your email to your email
[00:30:52.120 --> 00:30:56.840]   plus, like, workshop before the @ symbol, it'll give you a fresh account.
[00:30:56.840 --> 00:31:05.400]   So, like, if, like, mine, if I'm, like, Allison at, you know, Google, if I do Allison plus workshop at
[00:31:05.400 --> 00:31:11.240]   Google, it'll still be your email address. It'll still go to you, but it will be seen as a new
[00:31:11.240 --> 00:31:16.840]   account. So that's another option. Yeah, just create a new account. It'll make your life easy.
[00:31:16.840 --> 00:31:27.720]   Has anybody been able to get theirs up and running? Ish? No? Yeah, maybe. It's so interesting,
[00:31:27.720 --> 00:31:31.960]   because lately I've been noticing, like, people are so interested in engaging in conversation.
[00:31:31.960 --> 00:31:36.280]   There's less of that. But we definitely don't want to leave anybody behind. So we'll let you all do that.
[00:31:36.280 --> 00:31:41.480]   So, but just to understand what is actually happening inside Neo4j when you're working with
[00:31:41.480 --> 00:31:49.160]   it, we run these patterns, right? So it's similar to, you know, SQL. Like, the good news is it's very
[00:31:49.160 --> 00:31:56.760]   user-friendly, Cypher. And we live in the age of, like, vibe coding and LLM. So, like, there's plenty of help
[00:31:56.760 --> 00:32:03.080]   for all of this within our co-pilots. But depending on what you get back, in this case, you can look at it
[00:32:03.080 --> 00:32:09.640]   as a graph. You can see the table. Or you can see, you know, just the raw values, but the graph itself.
[00:32:09.640 --> 00:32:14.520]   So in this case, we're looking at a particular document, which is actually, you know, we call it
[00:32:14.520 --> 00:32:21.160]   a document. It's really the chunk. I will tell you that what we have in our, what we, the data that we're
[00:32:21.160 --> 00:32:29.800]   working with is from a project that we actually have live. And it's called Agent Neo. And it was built a while ago
[00:32:29.800 --> 00:32:35.320]   now with, by some of the guys who were helping build the first RAG application on our graph data
[00:32:35.320 --> 00:32:41.480]   science platform. And our knowledge share there. So this has been in play for a while. But when we look
[00:32:41.480 --> 00:32:45.400]   at the data model itself, right, what you're going to see is what I talked about before, right? That
[00:32:45.400 --> 00:32:50.360]   application understanding. So we've got a session. So somebody logs in to the application.
[00:32:50.360 --> 00:32:55.320]   They start a conversation. They have their first message, right? This is the user prompt.
[00:32:55.320 --> 00:33:01.560]   Then that prompt is going to get an answer, right? There's a message that comes back from the assistant.
[00:33:01.560 --> 00:33:08.360]   And then that assistant is going to be going out and pulling in context documents, right? So it's going
[00:33:08.360 --> 00:33:15.240]   to do your cosine similarity. Who does Euclidean? I don't know. It's a thing, I guess. Does your cosine similarity,
[00:33:15.240 --> 00:33:20.280]   and it's going to bring those documents back? And we're going to start to see the chain of what that
[00:33:20.280 --> 00:33:26.120]   conversation looks like, right? So this is that application base. And then these are the chunks.
[00:33:26.120 --> 00:33:30.840]   So it's really just what we looked at in that previous view, but just to show you what it actually
[00:33:30.840 --> 00:33:38.520]   looks like. So what's in this? You know, lots of documents from our documentation, developer blogs,
[00:33:38.520 --> 00:33:46.360]   support. This was early on, our earliest chunking. We had a 512 chunk size. We used a Langchain
[00:33:46.360 --> 00:33:51.800]   recursive splitter. So it was pretty early on. Let me see. Hold on a second. I want to show you.
[00:33:51.800 --> 00:33:56.600]   Where am I? Oh, that's not what I want to show you. Where did it go?
[00:33:58.920 --> 00:34:12.600]   Here we go. All right. So once the system actually starts running, what you see is this is actually one
[00:34:12.600 --> 00:34:17.240]   user having two different conversations. This is their first conversation. This is their second
[00:34:17.240 --> 00:34:23.080]   conversation. The first question is, can you build graphs for me? And then the next one was, what is GDS?
[00:34:23.880 --> 00:34:29.640]   And then you see the beginning of what that response was. Yes, I can build for you. GDS stands for.
[00:34:29.640 --> 00:34:34.760]   And so you can just to give you an idea of how this starts to build out.
[00:34:34.760 --> 00:34:39.400]   Now, this might look a little bit frightening, but I'll walk you through what we're actually looking at.
[00:34:39.400 --> 00:34:44.120]   So what does it mean when we start looking in practice? So this is the same user, right, with those
[00:34:44.120 --> 00:34:52.920]   initial two conversations. What does graph data science? Yeah, what is GDS? This is also what is GDS?
[00:34:52.920 --> 00:34:58.200]   And then can you build graphs for me? And what we're looking at here is these are the conversations
[00:34:58.200 --> 00:35:03.960]   and these are the context documents that are being brought in. And what's interesting or plausible,
[00:35:03.960 --> 00:35:09.080]   it makes sense, this person asked the same opening question. So it stands to reason that these same
[00:35:09.080 --> 00:35:16.040]   documents are going to be used in both of these first responses, right? Makes sense. Then what we find is
[00:35:16.040 --> 00:35:24.680]   this person's next conversation says, how can I have, how can I learn more about GDS is their follow-up
[00:35:24.680 --> 00:35:31.640]   question, right? And that makes sense that it's going to now share things with, can you build,
[00:35:31.640 --> 00:35:38.360]   because this person is then having their next prompt, which is, oh no, that one just stopped after one.
[00:35:38.360 --> 00:35:43.160]   But what I wanted to show you is that what we see here is that in this middle conversation,
[00:35:43.160 --> 00:35:49.800]   the conversation started out in this area of information, right? It started out in what is GDS,
[00:35:49.800 --> 00:35:55.640]   what are some of the basics, but then the conversation went into something similar to someone else.
[00:35:55.640 --> 00:36:02.680]   And the reason that we want you to see this is you want to be able to see how are the conversations
[00:36:02.680 --> 00:36:07.320]   connecting to the data itself. Because what we're going to start to see is we're going to start to
[00:36:07.320 --> 00:36:12.440]   see that it's not just about a single row, it's not just about a vector, because the way the documents
[00:36:12.440 --> 00:36:17.480]   are used and the way people travel through your data gives you information about what they're using.
[00:36:17.480 --> 00:36:23.320]   The reason that becomes helpful is when you're trying to manage at scale, how do I know with all these
[00:36:23.320 --> 00:36:27.640]   documents, what are the ones that I should even be looking at? What is it that people are constantly
[00:36:27.640 --> 00:36:33.480]   going back to? What are the areas of knowledge where things are happening? And so what we're seeing
[00:36:33.480 --> 00:36:40.040]   here is that these elements right here were in both answers, right? So you see this first question had,
[00:36:40.040 --> 00:36:45.080]   this first response had context, and this had context. So it was in both of those. These are
[00:36:45.080 --> 00:36:50.600]   individuals, these over here were only in this one, some of those were only in that one. You can imagine
[00:36:50.600 --> 00:36:56.920]   like how quickly this gets very, very hairy. Oh, where did it go? Nope. I guess that's it. I didn't
[00:36:56.920 --> 00:37:04.760]   have the extra one. So the point is we can start to understand the movement of what's happening. Is there
[00:37:04.760 --> 00:37:13.960]   a question? Someone? No? Okay. Anybody have any questions so far? Ponderings. Waiting till we get to juicy things. Yes?
[00:37:13.960 --> 00:37:26.920]   Yes. Yes. The pink ones are the chunks. The orange is the user prompt. The tan is the rag application's response.
[00:37:30.280 --> 00:37:36.680]   So you can already see how it's starting to connect to the system itself, right? So let me get back
[00:37:36.680 --> 00:37:41.960]   on point here. We got things. We got things. Things, things, things, things, things. Okay.
[00:37:41.960 --> 00:37:47.320]   I'm sorry. Are you storing the entire chunk into the graph? And how performant is that? And when
[00:37:47.320 --> 00:37:52.440]   does performance become a concern? Yeah. So what we're going to see is we are actually,
[00:37:52.440 --> 00:38:01.720]   we do actually have the chunk. Our chunks are pretty small. The size of the text doesn't really change the
[00:38:01.720 --> 00:38:08.200]   performance, does it? Like as far as like once it's stored in the property. It's really the traversal
[00:38:08.200 --> 00:38:12.920]   that is where things get. For most chunk sizes, it's fine. Because most chunks are like in the K
[00:38:12.920 --> 00:38:16.360]   at most. It's not megabytes of chunk. Right. If there's megabytes, then it's like, okay,
[00:38:16.360 --> 00:38:20.840]   that becomes problematic. Yeah. I mean, but it would be that for any database I would imagine.
[00:38:20.840 --> 00:38:28.360]   Yeah. But what we see is, is like, you know, we said we had these properties. So for this particular
[00:38:28.360 --> 00:38:33.560]   document, I've run some of these things already, but we've got the document, we've got the text,
[00:38:33.560 --> 00:38:39.720]   and we have the embedding. The embedding is actually a property of the node itself. And that's one of the
[00:38:39.720 --> 00:38:46.040]   things that makes it really easy is that you don't have to have a separate vector database, right? The
[00:38:46.040 --> 00:38:50.520]   vector is actually stored, and then the vector index is built on top. So that once you get all those
[00:38:50.520 --> 00:38:54.840]   vectors in, you can run the vector index. And people do really interesting things with vector indexes,
[00:38:54.840 --> 00:39:01.880]   for sure. So this is where, well, that's not what I want. This is where we start. Yes?
[00:39:01.880 --> 00:39:05.640]   Question in the back. I think, I think I have a question, so.
[00:39:05.640 --> 00:39:10.200]   You definitely have a question. Whether I have an answer is the only thing that's up for debate.
[00:39:10.200 --> 00:39:16.200]   So let's assume, right, I have very large, let's say, legal documents, right, which I'm trying to do
[00:39:16.200 --> 00:39:20.840]   something very similar. Yeah. And I do these chunkings, you know. Yeah.
[00:39:20.840 --> 00:39:27.160]   Are you saying I would store the chunks in Neo4j? I would not store the vectors in a vector database,
[00:39:27.160 --> 00:39:32.520]   but I would also store that in Neo4j. Yeah. Now, how would that be from a performance standpoint over time?
[00:39:32.520 --> 00:39:39.560]   Like, assuming your system continues to grow, wouldn't there be a performance impact?
[00:39:39.560 --> 00:39:45.960]   Um, I don't know. Would you know what the largest RAG application is that we have in production in clients right now?
[00:39:45.960 --> 00:39:49.800]   That's a good question. I don't know. I know that's like, you know, tens of millions, you know, seems fine.
[00:39:49.800 --> 00:39:54.040]   Once you start to get into hundreds of millions, you might start to have to worry about, like, how to scale past that.
[00:39:54.040 --> 00:40:00.520]   Yes. And does it still worry across -- look for similarity across all embeddings?
[00:40:00.520 --> 00:40:07.240]   Yeah. I mean, so it depends. So what it will do is it will look across whatever the vector index is that you have.
[00:40:07.240 --> 00:40:11.000]   And there are people who, I said, they do some really interesting things with vector indices.
[00:40:11.000 --> 00:40:18.200]   So I've seen people who, like, have multiple vector indices depending on what the use case is.
[00:40:18.200 --> 00:40:24.600]   So when you create the vector index, you actually just do a query and you say, "Okay, for all of these,
[00:40:24.600 --> 00:40:30.040]   create an index on all of these nodes." And so that's one way that I definitely know people have been doing it.
[00:40:30.040 --> 00:40:36.600]   So they'll have multiple indices that already sort of pre-sort or pre-filter what's going to be part of
[00:40:36.600 --> 00:40:42.360]   what's coming back from the vector index. So I know one of the ways I've seen people do it is from a governance perspective.
[00:40:42.360 --> 00:40:46.040]   So there's certain data that they want available to everybody, certain data they don't,
[00:40:46.040 --> 00:40:48.040]   and they manage that from the vector index.
[00:40:48.040 --> 00:40:53.880]   Yes, please. I'll let you go for a third, really.
[00:40:53.880 --> 00:41:00.360]   The other question is, if we had documents that actually contained images,
[00:41:00.360 --> 00:41:05.480]   and we wanted to somewhat have a relationship between the text and images, how would you do it here?
[00:41:05.480 --> 00:41:06.200]   Does that make sense?
[00:41:06.200 --> 00:41:11.080]   Yeah. I mean, normally, multimodal, I think most of the time they keep the images separate,
[00:41:11.080 --> 00:41:14.760]   and then there's an embedding of the image on the node.
[00:41:14.760 --> 00:41:15.720]   That's right. That's right. Yeah.
[00:41:15.720 --> 00:41:19.800]   Yeah, so you put the images, like, large media files, you would put that in an S3 bucket or something,
[00:41:19.800 --> 00:41:24.200]   you still wouldn't, you wouldn't put that into the database. So you'd have a URL to the S3 bucket,
[00:41:24.200 --> 00:41:27.160]   but you can put the embedding into Neo4j, so on the node. Yeah.
[00:41:27.160 --> 00:41:32.760]   Yeah. Yeah. We actually have an example of that. Yeah?
[00:41:32.760 --> 00:41:41.800]   For, like, for, like, you have, like, multi-layered architecture to kind of query faster. Yeah.
[00:41:41.800 --> 00:41:47.800]   Is there something similar to that happening here, where you can have, like, different subsets, you know,
[00:41:47.800 --> 00:41:54.680]   different layers to the... Yeah, I mean, it's not... I mean, it's mostly just the way that the database is actually built.
[00:41:54.680 --> 00:41:59.720]   Because of the way the queries run, because you're running on a pattern, you actually...
[00:41:59.720 --> 00:42:05.640]   I kind of call it a... It's like GPS search, where it's like, start here, and then go find what you need to find.
[00:42:05.640 --> 00:42:12.680]   Right? So, I don't know if that's the best way to explain that, but when you're running the query,
[00:42:12.680 --> 00:42:18.680]   it's going to be very specific. So when you're thinking about, like, how you're running the vector
[00:42:18.680 --> 00:42:22.200]   retriever itself, are you talking about, like, when you're actually doing the retrieval from the vectors?
[00:42:22.200 --> 00:42:27.160]   Yeah. So there's a whole... I don't even know how many retrievers there are right now.
[00:42:27.160 --> 00:42:33.240]   Like eight different retrievers or something in the GraphRag package. It's a Python-based package.
[00:42:33.240 --> 00:42:39.240]   So there are some... If you go to... Actually, a great place to go is GraphRag.com. It's like an open,
[00:42:39.240 --> 00:42:44.040]   like, reference point. And it talks about some of the different types of retrievers. So you can do
[00:42:44.040 --> 00:42:49.240]   pre-filtering. You can do post-filtering. You can manage it based on the index, which is another, like,
[00:42:49.240 --> 00:42:55.080]   easy way to do it. You know, sometimes folks will have them where they have different hierarchies.
[00:42:55.080 --> 00:43:01.080]   So, like, when you think about these large legal documents, right, there are ways that you can
[00:43:01.080 --> 00:43:07.080]   actually, like, create the chunks, but use the natural structure of the element as well.
[00:43:07.080 --> 00:43:12.840]   So, like, we have an example we use with SEC data. Every time somebody files something with the SEC,
[00:43:12.840 --> 00:43:17.240]   you know, paragraph one is always this, paragraph seven is that, paragraph nine is that. And so you'll
[00:43:17.240 --> 00:43:23.240]   take whatever that natural architecture is within the documents themselves, and then you can leverage that
[00:43:23.240 --> 00:43:30.280]   as well. So, one of the other great things about these entities is that you can actually have more
[00:43:30.280 --> 00:43:43.320]   than one label. Let me see. Oh, I gotta plug in. So, one of the things that you'll see is, so for this
[00:43:43.320 --> 00:43:50.280]   particular... This particular one, we see that it's a message, but it's also noted that it's the assistant.
[00:43:50.280 --> 00:43:57.720]   So, you have some nodes that are, that have more than one label sometimes. So, it makes it so that if
[00:43:57.720 --> 00:44:04.440]   you wanted to go across all messages, but I know if I'm trying to understand just the prompts from,
[00:44:04.440 --> 00:44:09.720]   they're just the assistant answers, or just the prompts, I don't need all of those messages. So, by adding on
[00:44:09.720 --> 00:44:16.680]   dual labels, you can actually say, "Oh, I just want to see these, or I just want to see those." So, it allows you to
[00:44:16.680 --> 00:44:22.040]   get some of that nuance out of that complexity by leveraging multiple labels on a single node.
[00:44:22.040 --> 00:44:25.560]   One of my favorite tricks, personally, but that's just me.
[00:44:25.560 --> 00:44:36.040]   Yeah, I have a question. So, now, like, if you have one vector index, but don't want to actually
[00:44:36.040 --> 00:44:41.400]   search the entire index, right? So, since that, like, let's take this text, for example, or like, content,
[00:44:41.400 --> 00:44:50.040]   for example. You want to only search the content of few nodes while vector embedding. Is that possible?
[00:44:50.040 --> 00:44:56.680]   I mean, there's a number of ways that you can do that. You know, you certainly could. I mean, I,
[00:44:56.680 --> 00:45:01.080]   personally, I'm a big fan of multiple indices, just because I find them to be very efficient.
[00:45:01.080 --> 00:45:11.000]   That's one way to do it. There was a question earlier about temporal issues. You can also use, like,
[00:45:11.000 --> 00:45:17.480]   multiple vector indices to address that temporal portion as well, right? So, you can create an index
[00:45:17.480 --> 00:45:23.320]   from, why is this? All right, it's starting up. You can create a vector index. So, like,
[00:45:23.320 --> 00:45:31.640]   like, if we wanted to, like, if we wanted to have a vector index just on, you know, version 1.9 or version
[00:45:31.640 --> 00:45:36.520]   2.6 or whatever, you could have that particular vector. So, let's just say I'm building,
[00:45:36.520 --> 00:45:42.680]   building a chat bot, and I know that the customer is currently running whatever version of something,
[00:45:42.680 --> 00:45:49.880]   you can use that as the actual index that you're searching for. So, that's another way that you can,
[00:45:49.880 --> 00:45:53.320]   that you can address those kinds of things. Did that answer your question?
[00:45:53.320 --> 00:45:58.280]   So, it's just like multiple embeddings, I mean, multiple indices. So, not one index.
[00:45:58.280 --> 00:46:03.240]   I mean, I don't know. I don't know if engineering would agree with me, but from, like, a purely, like,
[00:46:03.240 --> 00:46:10.920]   practical, like, I got to hack this and get it done, that's my go-to. I mean, is there?
[00:46:10.920 --> 00:46:15.560]   Yeah, I think that's the right approach right now with Neo4j. I guess you're asking about metadata
[00:46:15.560 --> 00:46:20.440]   filtering within the vector index, right? Yeah, and so, for us, the vector index is just an index.
[00:46:20.440 --> 00:46:25.960]   It's not a vector search. Right. And so, we don't do metadata filtering on the vector itself.
[00:46:25.960 --> 00:46:31.240]   We use the property graph itself for doing the filtering. Right. So, you do it before you create
[00:46:31.240 --> 00:46:37.160]   the index, because the index is only going to go to what's connected to it, right? So, it's just...
[00:46:37.160 --> 00:46:40.360]   You'll still have the index, but then you can do predicates on top of the nodes you found,
[00:46:40.360 --> 00:46:44.200]   and then you filter after that. Yeah. So, even within, once you get that,
[00:46:44.200 --> 00:46:49.240]   you can certainly filter in and around that as well. And if you look at any of our,
[00:46:49.240 --> 00:46:54.200]   the vector retriever materials we have, like, we walk you through that. We've got a new ebook coming out.
[00:46:54.840 --> 00:46:59.400]   It's gone to print. It's happening. That specifically talks about those retrievers.
[00:47:01.000 --> 00:47:06.280]   All right. Multiple labels, multiple indices, all the good things. So, let's do this. So,
[00:47:06.280 --> 00:47:12.200]   for those of you who have... Let's go back to here. The other thing you're going to see on
[00:47:12.200 --> 00:47:20.200]   the readme is you're going to see this Neo4j dump file. This is the actual dump file from our database,
[00:47:20.200 --> 00:47:25.080]   from last year, I think. Then, so, we're going to give that to you. So, you can download that file,
[00:47:25.080 --> 00:47:30.680]   and I'll show you how you can drop that into your... Let me see. Sorry.
[00:47:30.680 --> 00:47:42.760]   All right. So, when we go back to our instances, so, you should see instance 01, most likely. If you go on the
[00:47:42.760 --> 00:47:47.800]   right-hand side of there, there are three little dots. What you're going to see is backup and restore.
[00:47:47.800 --> 00:47:52.920]   So, you're going to click on backup and restore, and you're going to take that dump file and either
[00:47:52.920 --> 00:48:02.280]   browse or just drag and drop it. And it's going to drop in our version of the Neo4j agent... Agent Neo
[00:48:03.720 --> 00:48:12.280]   GDS application data, I guess. Thanks. So, yeah. So, you just drag and drop it. It runs pretty quick.
[00:48:12.280 --> 00:48:20.040]   It'll load pretty quick. And then what you'll see is when you go to query, you'll see this will start
[00:48:20.040 --> 00:48:24.920]   to populate. The database information will populate. And it'll show you which nodes you have... Which nodes
[00:48:24.920 --> 00:48:32.040]   and entities you have. It'll bring in some of the indices. There is... We did run some of the algorithms
[00:48:32.040 --> 00:48:37.880]   already. So, I'm going to show you how to run them so you can run them on your own. But in the interest
[00:48:37.880 --> 00:48:43.800]   of time, we have run those already. So, you'll see some of that. Some of them will do live here. They
[00:48:43.800 --> 00:48:54.520]   won't be there. Is anybody able to load? Yes. Oh, yeah. So, on the readme, on the readme in the repository,
[00:48:54.520 --> 00:48:59.720]   if you go all the way down to the bottom where it says connect to Neo4j or a DB, there's a Neo4j dump
[00:48:59.720 --> 00:49:05.560]   file that it will take you to.
[00:49:05.560 --> 00:49:11.640]   Sorry. Yeah. And then you'll just download it from there. What's that? Oh, sorry. So,
[00:49:11.640 --> 00:49:16.680]   when you're in... When you go to console, right, you should be seeing something like this.
[00:49:16.680 --> 00:49:22.920]   Right? And then on the right-hand side, for your instance, you'll see three little dots.
[00:49:22.920 --> 00:49:26.760]   We're going to click on those dots, and you're going to go to backup and restore.
[00:49:26.760 --> 00:49:35.640]   And my data is yours. I give it to you. I'm just dumping it right on you. All right.
[00:49:35.640 --> 00:49:43.400]   Yeah. It's just easier. Nobody wants to load CSVs today. We have no time for these things.
[00:49:43.400 --> 00:49:48.360]   Yeah. And then from there, you can go straight into the query. So,
[00:49:48.360 --> 00:49:53.720]   when you go to query, you should see that it's populated. Is there anybody having trouble loading
[00:49:53.720 --> 00:49:58.520]   the data that wants to load the data? It's still uploading. Okay. What's that?
[00:49:58.520 --> 00:50:07.560]   If you... Did you... You might have had to re-pull because I... If you re-pull the repo...
[00:50:07.560 --> 00:50:14.280]   Yeah. Yeah. I had to update it because, you know, I'm well-intentioned, but sorry. Yes.
[00:50:14.280 --> 00:50:22.120]   When I've restored the dump file, should I expect that it will work in, like, a few minutes?
[00:50:22.120 --> 00:50:26.840]   Yeah. Let me see what you got. It keeps doing the loading. It's still loading.
[00:50:26.840 --> 00:50:31.960]   So, that's normal. There's, like, a latent... It shouldn't be too slow. Oh, what is... Oh.
[00:50:31.960 --> 00:50:39.320]   You're probably having network issues. The Wi-Fi is pretty slow. Oh, sorry. Yeah. That's always the
[00:50:39.320 --> 00:50:47.960]   the challenge with these things. Yeah. Wi-Fi. See, this is why we always have it loaded. I also have
[00:50:47.960 --> 00:50:52.200]   it loaded on my desktop because that happened to me recently. I was somewhere and I'm like,
[00:50:52.200 --> 00:50:57.240]   there's no Wi-Fi at all, and I have to present. So, I also have Neo4j desktop. So, if anybody ever,
[00:50:57.240 --> 00:51:00.920]   you know, you want to go local, you want to stay on-prem, you don't want any up in your business,
[00:51:00.920 --> 00:51:07.320]   you can also, like, stay off the cloud, go local. Also an option. Let's see. Where are we? So,
[00:51:08.040 --> 00:51:16.360]   what are we going to do here? All right. So, I'm going to go into... So, within our notebooks,
[00:51:16.360 --> 00:51:22.360]   we have three different notebooks. One is the get to know your graph, and we'll start there. I don't
[00:51:22.360 --> 00:51:29.960]   need this. And really, it's, like, all this is going to do is you'll run it, you'll do your pip install of
[00:51:29.960 --> 00:51:36.280]   all your requirements, and then what you'll... Oh, wait. I need to give you... Is the OpenAI
[00:51:36.280 --> 00:51:38.280]   key on here, too? Hold on. Oh, I put it in the Slack channel.
[00:51:38.280 --> 00:51:43.720]   Oh, it's in the Slack channel. Okay. So, anybody can find it anywhere in the conference.
[00:51:43.720 --> 00:51:44.600]   What's that? Enjoy.
[00:51:44.600 --> 00:51:50.440]   Security. So, when you set up your database,
[00:51:50.440 --> 00:51:53.560]   they should have given you the opportunity to download your credentials?
[00:51:53.560 --> 00:51:56.200]   Yeah, I've set that up, but then... Got it.
[00:51:56.200 --> 00:51:59.080]   It's getting... Probably not found or something.
[00:51:59.080 --> 00:52:05.720]   Um... What is this not? Not supported... Oh, did you drop the... So, you have to drop...
[00:52:05.720 --> 00:52:10.040]   I... Sorry, I skipped a spot. You do need to drop those credentials that you downloaded
[00:52:10.040 --> 00:52:14.600]   into your ENV file. So, you did that. This is your ENV. Okay.
[00:52:14.600 --> 00:52:21.240]   And then... Just pasted it. Yeah. That should be... Let me see.
[00:52:21.240 --> 00:52:32.600]   Yeah, there. It's right here. Yeah, you got that. Um... What is it actually? What's the actual error?
[00:52:32.600 --> 00:52:36.440]   Is it just Wi-Fi? Yeah.
[00:52:36.440 --> 00:52:44.200]   What is it in here? Schema Bolt. Oh, yeah. Yeah, the URI should be in your
[00:52:44.200 --> 00:52:47.320]   credentials. Exactly. I was just thinking I was just... Yeah.
[00:52:47.320 --> 00:52:54.040]   It should be... It should be... I would take a peek at it. ABK, can you take a look and see
[00:52:54.040 --> 00:53:00.760]   what's happening here? All right. So...
[00:53:00.760 --> 00:53:10.200]   Um... Yeah. So, again, the API key is there. We're not using it, actually, that much today.
[00:53:11.320 --> 00:53:15.960]   But one of the things that we have, obviously, is we need to have... Oh, God, you can't see anything,
[00:53:15.960 --> 00:53:21.080]   this thing. You can't see anything. Oh, goodness. Well, that's overwhelming.
[00:53:21.080 --> 00:53:25.480]   That's more reasonable. Okay. Is that good? You guys can see? We're good? Okay.
[00:53:25.480 --> 00:53:32.040]   Um... Yeah. So, the basics. Obviously, we're importing OS. We're bringing in our environment variables.
[00:53:32.040 --> 00:53:37.160]   Um... You see the Python driver. Right? This is our classic Python driver.
[00:53:37.160 --> 00:53:44.920]   And then what I like to do is I like to just do a run query, um, uh, function just because it just makes
[00:53:44.920 --> 00:53:50.680]   it easier. Like, I just like it. Um, you don't have to do it this way. You could just do driver.session,
[00:53:50.680 --> 00:53:55.400]   but, um, that's just how I like to do it. And then when you run this, it'll see that, yes,
[00:53:55.400 --> 00:53:59.240]   you are actually connected. Oh, let's see. Maybe I should actually run everything.
[00:53:59.240 --> 00:54:08.600]   Now we're connected. Okay. Um, the first thing that we're gonna do is we're just gonna take a look at
[00:54:08.600 --> 00:54:16.920]   what is actually in the database. So, in this, um, APOC actually stands for awesome procedures on Cypher,
[00:54:16.920 --> 00:54:20.760]   which I just think is hilarious. I think there's a double meeting on APOC too,
[00:54:20.760 --> 00:54:25.560]   but we'll have to ask, um, isn't there another APOC meaning? Something? I don't know.
[00:54:25.560 --> 00:54:34.440]   Yeah. Some, some matrixy thing. Um, but what this is gonna show you is we start out with 17,000 nodes,
[00:54:34.440 --> 00:54:43.320]   right? We have 774,000 relationships. Um, seven different labels and 27 different relationship types.
[00:54:44.440 --> 00:54:48.360]   What does this tell us? What it tells us is obviously we got a lot of data. It's actually
[00:54:48.360 --> 00:54:53.960]   not that much really, um, you know, for something small. Um, but you know, like almost a million
[00:54:53.960 --> 00:55:00.120]   relationships. And so really what you, we're running this just to make sure that everything is loaded. So
[00:55:00.120 --> 00:55:07.720]   everybody who has loaded their data, are you seeing these numbers? Anyone? Anyone? Maybe? Maybe not? No?
[00:55:10.680 --> 00:55:17.720]   Okay. This is, I will take you back one moment, please. Hold the phone. There are three notebooks
[00:55:17.720 --> 00:55:26.120]   inside the notebooks folder inside the repository. So, you may have to re-pull it.
[00:55:26.120 --> 00:55:29.560]   I pulled it up again. You did? Yeah. Huh.
[00:55:29.560 --> 00:55:37.800]   And then this is the only one. Huh. And then this is the website. Yeah. Yeah. This is not,
[00:55:37.800 --> 00:55:44.360]   can you reload this? Because it was updated. Yeah, um, I did a report. That's why I-- That's so weird.
