
[00:00:00.000 --> 00:00:05.020]   [ Music ]
[00:20:42.880 --> 00:20:46.240]   including currently he is trying to decode animal speech,
[00:20:46.240 --> 00:20:47.200]   which is quite amazing.
[00:20:47.200 --> 00:20:53.200]   And so Radek's been kind enough to write down his learnings
[00:20:53.200 --> 00:20:54.400]   along the way.
[00:20:54.400 --> 00:20:59.360]   And I already mentioned some of those learnings
[00:20:59.360 --> 00:21:00.800]   in the four-legged table bit.
[00:21:01.600 --> 00:21:07.760]   But for more, check out this lesson zero,
[00:21:07.760 --> 00:21:10.000]   which I'll pop in the chat.
[00:21:10.000 --> 00:21:14.400]   It's not the chat.
[00:21:14.400 --> 00:21:15.200]   That's the chat.
[00:21:15.200 --> 00:21:17.520]   There we go.
[00:21:17.520 --> 00:21:20.400]   Which includes some of the slides.
[00:21:20.400 --> 00:21:23.440]   Today I'm giving actually from that lesson zero,
[00:21:23.440 --> 00:21:24.880]   but there's a bit more information,
[00:21:24.880 --> 00:21:26.880]   particularly from this book.
[00:21:26.880 --> 00:21:31.120]   One of the things I like in his book
[00:21:31.120 --> 00:21:34.800]   is he describes his failed attempts at doing fast AI,
[00:21:34.800 --> 00:21:39.600]   which basically involved accidentally listening
[00:21:39.600 --> 00:21:42.320]   to all those gatekeepers who claim that
[00:21:42.320 --> 00:21:44.960]   you have to start with the math foundations,
[00:21:44.960 --> 00:21:48.880]   calculus, linear algebra, probability theory.
[00:21:48.880 --> 00:21:52.320]   So Radek spent time learning calculus,
[00:21:52.320 --> 00:21:54.160]   which is very interesting,
[00:21:54.160 --> 00:21:57.680]   but then discovered that some of the advanced calculus
[00:21:57.680 --> 00:22:00.000]   required understanding construction of real numbers.
[00:22:00.960 --> 00:22:02.960]   So started reading a book about that,
[00:22:02.960 --> 00:22:07.920]   then discovered that actually that was for real analysis.
[00:22:07.920 --> 00:22:09.680]   And then to understand real analysis properly,
[00:22:09.680 --> 00:22:12.240]   you have to actually deeply understand set theory,
[00:22:12.240 --> 00:22:13.360]   and so on and so forth.
[00:22:13.360 --> 00:22:16.640]   And this is a really common thing we hear,
[00:22:16.640 --> 00:22:19.120]   is that people try to learn to build
[00:22:19.120 --> 00:22:20.480]   useful deep learning models,
[00:22:20.480 --> 00:22:23.680]   but all they actually do is they spend years
[00:22:23.680 --> 00:22:25.360]   learning about theory.
[00:22:27.360 --> 00:22:31.440]   Theory can be somewhat useful
[00:22:31.440 --> 00:22:33.600]   if you learn the right theory at the right time,
[00:22:33.600 --> 00:22:38.880]   but the right time is not before your first lesson.
[00:22:38.880 --> 00:22:41.520]   The right time to start training deep learning models
[00:22:41.520 --> 00:22:43.680]   is when you start learning,
[00:22:43.680 --> 00:22:48.880]   and then you can learn about theory
[00:22:48.880 --> 00:22:51.920]   as you start understanding better
[00:22:51.920 --> 00:22:56.320]   what's actually required to build effective models.
[00:22:56.320 --> 00:22:58.320]   And so this is the way fast.ai does it.
[00:22:58.320 --> 00:23:01.920]   At first, if you're used to a bottom-up
[00:23:01.920 --> 00:23:03.360]   academic approach of learning,
[00:23:03.360 --> 00:23:05.680]   you may even find it a little frustrating
[00:23:05.680 --> 00:23:08.640]   that you're using things
[00:23:08.640 --> 00:23:10.160]   that have not been fully explained.
[00:23:10.160 --> 00:23:11.920]   But if you think about it,
[00:23:11.920 --> 00:23:15.360]   if you use Microsoft Word, for example,
[00:23:15.360 --> 00:23:16.640]   or Google Docs or whatever,
[00:23:16.640 --> 00:23:19.040]   and you start typing things into a computer,
[00:23:19.040 --> 00:23:21.120]   do you really know how every one of those pixels
[00:23:21.120 --> 00:23:22.320]   is being turned on?
[00:23:22.320 --> 00:23:25.280]   Do you fully understand what's happening inside your CPU?
[00:23:25.280 --> 00:23:26.720]   Do you really understand how things
[00:23:26.720 --> 00:23:28.400]   are moving over your PCI bus?
[00:23:28.400 --> 00:23:32.000]   Do you fully understand all of the messages
[00:23:32.000 --> 00:23:34.320]   in your operating systems, messaging system?
[00:23:34.320 --> 00:23:36.880]   Probably not, right?
[00:23:36.880 --> 00:23:38.640]   It's fine to use tools
[00:23:38.640 --> 00:23:42.240]   and then to gradually dig deeper and deeper into them.
[00:23:42.240 --> 00:23:44.000]   If you finish the book,
[00:23:44.000 --> 00:23:47.520]   you will end up rewriting
[00:23:47.520 --> 00:23:51.120]   an entire ResNet from scratch,
[00:23:51.120 --> 00:23:53.760]   BatchNorm from scratch,
[00:23:54.480 --> 00:23:56.960]   a data loader from scratch,
[00:23:56.960 --> 00:23:59.920]   stochastic gradient descent from scratch.
[00:23:59.920 --> 00:24:01.280]   And you actually start doing it pretty soon.
[00:24:01.280 --> 00:24:02.480]   So you'll actually write your own
[00:24:02.480 --> 00:24:05.360]   stochastic gradient descent optimizer in chapter four.
[00:24:05.360 --> 00:24:08.240]   So, you know, be patient,
[00:24:08.240 --> 00:24:10.080]   but really,
[00:24:10.080 --> 00:24:14.480]   you know, really try to focus on
[00:24:14.480 --> 00:24:17.360]   actually building useful things as soon as you can,
[00:24:17.360 --> 00:24:19.920]   because digging into theory is just a great way
[00:24:19.920 --> 00:24:21.280]   of kind of procrastinating,
[00:24:21.280 --> 00:24:22.480]   actually doing deep learning.
[00:24:22.800 --> 00:24:29.680]   So this is from Redick's book.
[00:24:29.680 --> 00:24:33.600]   As I mentioned, you really need to
[00:24:33.600 --> 00:24:36.480]   become a pretty good coder
[00:24:36.480 --> 00:24:39.280]   to become a pretty good deep learning practitioner.
[00:24:39.280 --> 00:24:41.600]   And the only way to become a good coder
[00:24:41.600 --> 00:24:45.040]   is to read and write code.
[00:24:45.040 --> 00:24:48.960]   So I spend personally many hours every day
[00:24:48.960 --> 00:24:51.520]   reading and writing code.
[00:24:52.320 --> 00:24:55.360]   If you're going through a whole day
[00:24:55.360 --> 00:24:58.400]   without reading and writing code,
[00:24:58.400 --> 00:25:01.120]   then you're not really spending that day
[00:25:01.120 --> 00:25:04.240]   actually practicing your craft of becoming a better coder.
[00:25:04.240 --> 00:25:08.080]   And the more you can read code in different styles
[00:25:08.080 --> 00:25:09.440]   to what you're used to,
[00:25:09.440 --> 00:25:11.760]   and write code using different libraries
[00:25:11.760 --> 00:25:13.760]   to what you've tried before and so forth,
[00:25:13.760 --> 00:25:17.280]   the more that's the deliberate practice,
[00:25:17.280 --> 00:25:20.160]   which allows people to achieve mastery.
[00:25:20.800 --> 00:25:22.800]   One of the most important things
[00:25:22.800 --> 00:25:24.960]   that you're going to be talking about in chapter one
[00:25:24.960 --> 00:25:26.640]   is creating a validation set.
[00:25:26.640 --> 00:25:29.920]   The difference between,
[00:25:29.920 --> 00:25:34.240]   our key difference between normal programming
[00:25:34.240 --> 00:25:37.280]   and machine learning, including deep learning,
[00:25:37.280 --> 00:25:39.200]   is that in machine learning,
[00:25:39.200 --> 00:25:43.520]   it's all about having your computer
[00:25:43.520 --> 00:25:46.480]   be able to answer questions
[00:25:46.480 --> 00:25:49.600]   that are different to the input data
[00:25:49.600 --> 00:25:50.560]   that you taught it with.
[00:25:50.560 --> 00:25:54.400]   You need to know that it can handle data
[00:25:54.400 --> 00:25:56.400]   that it's never seen before.
[00:25:56.400 --> 00:25:58.560]   And the only way to do that
[00:25:58.560 --> 00:26:00.400]   is with something called a validation set,
[00:26:00.400 --> 00:26:03.440]   which is a data set consisting of data
[00:26:03.440 --> 00:26:06.480]   which your model never gets to see as it's learning.
[00:26:06.480 --> 00:26:11.120]   It turns out that building a good validation set
[00:26:11.120 --> 00:26:12.560]   is deceptively tricky.
[00:26:13.520 --> 00:26:14.960]   And most people get it wrong.
[00:26:14.960 --> 00:26:18.000]   People that win Kaggle competitions
[00:26:18.000 --> 00:26:21.040]   nearly always say that one of the best skills
[00:26:21.040 --> 00:26:23.840]   is being really good at creating validation sets.
[00:26:23.840 --> 00:26:26.000]   And so you'll start reading
[00:26:26.000 --> 00:26:27.600]   about how to create validation sets
[00:26:27.600 --> 00:26:29.120]   right from lesson one.
[00:26:29.120 --> 00:26:30.640]   And that's something you should really
[00:26:30.640 --> 00:26:33.440]   spend time thinking about.
[00:26:33.440 --> 00:26:36.240]   And there's a great blog post here
[00:26:36.240 --> 00:26:38.800]   from my co-founder, Rachel Thomas,
[00:26:38.800 --> 00:26:41.360]   on how and why to create a good validation set.
[00:26:41.360 --> 00:26:44.640]   Okay, so that's the end of my little presentation
[00:26:44.640 --> 00:26:47.440]   of some tips about what Fastbook is
[00:26:47.440 --> 00:26:49.280]   and things that might help you succeed
[00:26:49.280 --> 00:26:50.800]   in your 20-week journey.
[00:26:50.800 --> 00:26:52.320]   So good luck, everybody.
[00:26:52.320 --> 00:27:03.680]   - I just realized I was in mute.
[00:27:03.680 --> 00:27:06.320]   Thank you for joining us today.
[00:27:06.320 --> 00:27:07.760]   I'm sure you've learned a lot.
[00:27:07.760 --> 00:27:08.800]   I'm sure you've learned a lot.
[00:27:08.800 --> 00:27:10.080]   I just realized I was in mute.
[00:27:10.080 --> 00:27:11.760]   Thank you, Jeremy.
[00:27:11.760 --> 00:27:15.440]   I think I want to say as I've personally benefited
[00:27:15.440 --> 00:27:18.640]   from the learnings that Jeremy has mentioned,
[00:27:18.640 --> 00:27:20.560]   for example, committing to the 20 weeks.
[00:27:20.560 --> 00:27:22.640]   I think that that's really important
[00:27:22.640 --> 00:27:25.280]   for us as a group to commit to 20 weeks.
[00:27:25.280 --> 00:27:28.080]   Lots of projects, coding, failed experiments,
[00:27:28.080 --> 00:27:31.680]   even about we go deeper gradually
[00:27:31.680 --> 00:27:32.720]   and read and write code.
[00:27:32.720 --> 00:27:34.240]   So these are the main learnings
[00:27:34.240 --> 00:27:37.120]   that have actually built the foundations on top of.
[00:27:38.160 --> 00:27:41.680]   And in this section, I just want to quickly go through
[00:27:41.680 --> 00:27:44.880]   with everyone on what the next 20 weeks are going to look like
[00:27:44.880 --> 00:27:45.760]   and how we're going to have,
[00:27:45.760 --> 00:27:49.600]   how is the every session of Fastbook reading
[00:27:49.600 --> 00:27:51.840]   going to look like for the next 20 weeks.
[00:27:51.840 --> 00:28:01.840]   So with Fastbook, there's two versions of Fastbook
[00:28:01.840 --> 00:28:03.920]   inside the repo.
[00:28:03.920 --> 00:28:07.040]   So if I go into the repo, there's this whole Fastbook
[00:28:07.040 --> 00:28:08.960]   that Jeremy mentioned are the 20 chapters.
[00:28:08.960 --> 00:28:11.520]   But there's also the clean version.
[00:28:11.520 --> 00:28:13.360]   So if we go into the clean version,
[00:28:13.360 --> 00:28:15.680]   there's also a clean version.
[00:28:15.680 --> 00:28:18.320]   And the main difference between the clean version
[00:28:18.320 --> 00:28:22.560]   and the book itself is that the clean version
[00:28:22.560 --> 00:28:24.000]   just consists of code.
[00:28:24.000 --> 00:28:27.600]   So on the left, we have this is the actual book
[00:28:27.600 --> 00:28:29.200]   and the actual Jupyter Notebooks.
[00:28:29.200 --> 00:28:31.120]   These are with prose.
[00:28:31.120 --> 00:28:33.760]   And on the right, we have the clean version,
[00:28:33.760 --> 00:28:35.040]   which is without prose.
[00:28:35.040 --> 00:28:38.960]   So you can see how going through the whole chapter,
[00:28:38.960 --> 00:28:41.920]   if we do decide, because we want to also be conscious
[00:28:41.920 --> 00:28:44.240]   of time every week, and we want to commit to finishing,
[00:28:44.240 --> 00:28:47.440]   we want to commit to finishing these chapters.
[00:28:47.440 --> 00:28:51.520]   So if we go through the whole chapter,
[00:28:51.520 --> 00:28:55.600]   there's a lot of content for us to cover every week.
[00:28:55.600 --> 00:28:59.920]   And something that we're going to do as a group,
[00:28:59.920 --> 00:29:02.080]   we're going to be sitting in the middle.
[00:29:02.080 --> 00:29:04.880]   So I'm going to personally go in every week.
[00:29:04.880 --> 00:29:09.200]   I'm going to read the every chapter every week.
[00:29:09.200 --> 00:29:12.960]   And I'm going to share, convert the with prose into
[00:29:12.960 --> 00:29:17.120]   without prose, but with explanations and examples.
[00:29:17.120 --> 00:29:19.200]   So we're going to actually be somewhere in the middle
[00:29:19.200 --> 00:29:21.360]   where there's going to be enough explanation
[00:29:21.360 --> 00:29:23.280]   for everything that's on the right.
[00:29:23.280 --> 00:29:25.120]   So you understand every bit of code.
[00:29:25.120 --> 00:29:28.320]   You'll understand all context, but it will give you enough
[00:29:28.320 --> 00:29:31.440]   and pretty much almost everything to then go back
[00:29:31.440 --> 00:29:33.600]   and read the book.
[00:29:33.600 --> 00:29:36.640]   And in case you miss out, that's going to be okay.
[00:29:36.640 --> 00:29:37.920]   And you can come back next week,
[00:29:37.920 --> 00:29:39.520]   and we can continue from there.
[00:29:39.520 --> 00:29:42.400]   But it is expected that you do go back
[00:29:42.400 --> 00:29:44.640]   and read the book to get the maximum benefit.
[00:29:44.640 --> 00:29:48.640]   Every book, every chapter in the book,
[00:29:48.640 --> 00:29:51.840]   as Jeremy mentioned, it's important to then think
[00:29:51.840 --> 00:29:53.680]   of questions when you do a chapter.
[00:29:53.680 --> 00:29:54.640]   It's important to think,
[00:29:54.640 --> 00:29:59.280]   it's important to test the understanding.
[00:30:00.000 --> 00:30:02.880]   And I really love this book for the questionnaire
[00:30:02.880 --> 00:30:04.160]   that comes at the end of it.
[00:30:04.160 --> 00:30:07.040]   So when you read a chapter, there's always a questionnaire
[00:30:07.040 --> 00:30:07.760]   towards the end.
[00:30:07.760 --> 00:30:11.520]   And as a group, we're going to be discussing every bit,
[00:30:11.520 --> 00:30:13.360]   every question.
[00:30:13.360 --> 00:30:15.600]   And we're going to be answering all the questions
[00:30:15.600 --> 00:30:18.880]   that I mentioned here gradually over week by week.
[00:30:18.880 --> 00:30:23.120]   We're going to be using the Watson Biosys Community Slack.
[00:30:23.120 --> 00:30:25.520]   So that's 1db.me/slack.
[00:30:25.520 --> 00:30:29.360]   We will send an email out to all participants.
[00:30:30.240 --> 00:30:32.080]   And we can be a part of this Slack.
[00:30:32.080 --> 00:30:34.560]   And we'll be using this to communicate with each other,
[00:30:34.560 --> 00:30:38.960]   to ask questions and general communication on projects.
[00:30:38.960 --> 00:30:42.480]   This is something I do want to share.
[00:30:42.480 --> 00:30:44.720]   This is a snippet from my journey.
[00:30:44.720 --> 00:30:50.240]   And my journey was built on top of Jeremy's learnings.
[00:30:50.240 --> 00:30:56.800]   And what Jeremy said, I followed and I followed it really well.
[00:30:56.800 --> 00:31:00.080]   And I think that has really helped me in my life.
[00:31:00.080 --> 00:31:03.920]   So for example, the one thing I'm going to say is
[00:31:03.920 --> 00:31:06.480]   we want to have interaction within us.
[00:31:06.480 --> 00:31:09.440]   We want to have a lot of interaction between us as a group.
[00:31:09.440 --> 00:31:11.040]   And I want to promote that.
[00:31:11.040 --> 00:31:13.280]   So and it doesn't have to be a big thing.
[00:31:13.280 --> 00:31:16.560]   My first ever comment on a Fast.ai forums.
[00:31:16.560 --> 00:31:21.840]   So Fast.ai forums, if I go to the forums.fast.ai,
[00:31:21.840 --> 00:31:24.560]   there's a whole multitude of--
[00:31:25.760 --> 00:31:28.240]   there's a lot of stuff and there's a lot of activity
[00:31:28.240 --> 00:31:31.680]   for deep learning practitioners who also want to learn deep learning.
[00:31:31.680 --> 00:31:34.880]   And there's lots of questions and there's lots of things.
[00:31:34.880 --> 00:31:37.040]   I really like the "share your work here" thread
[00:31:37.040 --> 00:31:42.240]   where everybody who's starting out shares a lot of projects that they're doing.
[00:31:42.240 --> 00:31:44.400]   And these don't have to be big projects.
[00:31:44.400 --> 00:31:45.760]   They can be small projects.
[00:31:45.760 --> 00:31:50.800]   So we'll be doing as part of this, we'll be talking to each other a lot.
[00:31:50.800 --> 00:31:52.880]   We'll be interacting with each other a lot.
[00:31:52.880 --> 00:31:57.440]   And I just want to mention, for example, my first ever comment was a thanks.
[00:31:57.440 --> 00:31:59.120]   And a plain simple thanks.
[00:31:59.120 --> 00:32:03.760]   But doing so and just writing something like this, like a hi or a thanks, got me going.
[00:32:03.760 --> 00:32:06.720]   It really-- I felt like I'm part of the community.
[00:32:06.720 --> 00:32:09.920]   And the next time I answered a question and straight away,
[00:32:09.920 --> 00:32:13.040]   the next thing within the first month of joining,
[00:32:13.040 --> 00:32:16.240]   I was interested in forming a study group at Sydney.
[00:32:16.240 --> 00:32:18.560]   So I really want us to think of it this way.
[00:32:18.560 --> 00:32:22.240]   And I really want us as a group to also form study groups
[00:32:22.240 --> 00:32:23.760]   based on the time zones that we're in.
[00:32:23.760 --> 00:32:27.760]   And we'll be doing that this first week before we get started next week.
[00:32:27.760 --> 00:32:35.840]   This last, the one on the right is, again, when I say I follow Jeremy's advice,
[00:32:35.840 --> 00:32:36.640]   I really did.
[00:32:36.640 --> 00:32:39.040]   And it got me to where I am today.
[00:32:39.040 --> 00:32:45.120]   So something, so this is just, this was a thread again on the Fast.ai forums in 2019.
[00:32:45.120 --> 00:32:48.160]   And I said, something that has helped me with Fast.ai
[00:32:48.160 --> 00:32:50.000]   has been to reimplement each notebook.
[00:32:50.800 --> 00:32:53.840]   Take it by the week instead of being in a rush to complete the course.
[00:32:53.840 --> 00:32:55.600]   So I really wanted to finish.
[00:32:55.600 --> 00:33:00.080]   As Jeremy mentioned, it's important that we finish and we commit to those 20 weeks.
[00:33:00.080 --> 00:33:03.440]   I take Fast.ai as a marathon and not a sprint
[00:33:03.440 --> 00:33:05.680]   and make sure that I finish and finish strong.
[00:33:05.680 --> 00:33:08.560]   And two years after, this is again in June 2019,
[00:33:08.560 --> 00:33:11.040]   and two years after, I still live by these words.
[00:33:11.040 --> 00:33:14.560]   And I'm so happy that even two years ago, I was thinking along these lines
[00:33:14.560 --> 00:33:17.760]   because two years ago, what I was doing and starting out with my journey,
[00:33:17.760 --> 00:33:21.920]   that really helped me into learning a lot of things
[00:33:21.920 --> 00:33:25.040]   like implementing ResNet from scratch.
[00:33:25.040 --> 00:33:28.640]   And starting from somebody who didn't know deep learning
[00:33:28.640 --> 00:33:32.560]   to going week by week, going deeper into the content.
[00:33:32.560 --> 00:33:36.000]   So write self-notes, do research on things that are hard to understand.
[00:33:36.000 --> 00:33:39.680]   I'm spending lots of time writing code and digging into the Fast.ai source code,
[00:33:39.680 --> 00:33:41.280]   as Jeremy also mentioned.
[00:33:41.280 --> 00:33:43.680]   We want to be spending lots of time reading and writing code.
[00:33:44.560 --> 00:33:48.080]   And one thing I should mention is, I think for people watching,
[00:33:48.080 --> 00:33:54.560]   you might imagine that people like Radhik and Aman,
[00:33:54.560 --> 00:33:59.680]   who have successfully built careers as deep learning researchers,
[00:33:59.680 --> 00:34:07.600]   are uniquely special and that you can't possibly do what they do.
[00:34:08.960 --> 00:34:15.440]   But actually, the vast, vast majority of people I've seen on the forums
[00:34:15.440 --> 00:34:20.800]   and the Discord and so forth, who do the things that Aman is talking about
[00:34:20.800 --> 00:34:25.520]   and that Radhik writes about, it's very obvious.
[00:34:25.520 --> 00:34:28.640]   I can see them doing it because you see their artifacts
[00:34:28.640 --> 00:34:31.680]   as they post on the forum, they create blog posts and so forth.
[00:34:31.680 --> 00:34:35.680]   The vast majority of people that do that today
[00:34:35.680 --> 00:34:44.400]   have significant expertise in the field and generally have jobs in the field
[00:34:44.400 --> 00:34:48.240]   or are applying deep learning in interesting ways.
[00:34:48.240 --> 00:34:52.320]   So I think in terms of your self-confidence,
[00:34:52.320 --> 00:34:58.000]   it's important to believe that you're somebody that can do this.
[00:34:58.000 --> 00:35:02.320]   But as Aman says, it does take time.
[00:35:03.040 --> 00:35:06.000]   And that means that tenacity is really important.
[00:35:06.000 --> 00:35:08.560]   Thank you, Jeremy.
[00:35:08.560 --> 00:35:12.560]   Just to add on, I did start as a quality analyst.
[00:35:12.560 --> 00:35:16.400]   Most of my job was testing and it wasn't even anything
[00:35:16.400 --> 00:35:18.160]   related to software engineering or coding.
[00:35:18.160 --> 00:35:22.240]   But thanks to the course and thanks to the week-by-week learning,
[00:35:22.240 --> 00:35:26.000]   it has really helped me understand deeper every day.
[00:35:26.000 --> 00:35:30.400]   So that's how our approach is going to be.
[00:35:31.040 --> 00:35:36.240]   But one thing I'm really excited to present is we'll also be joined
[00:35:36.240 --> 00:35:39.600]   as part of this journey, we'll be joined by Zachary Muller,
[00:35:39.600 --> 00:35:43.840]   we'll be joined by Tanishka Abraham, and we'll also be joined by Sayem.
[00:35:43.840 --> 00:35:48.400]   So they're also three people who have met through the Fast.ai forums
[00:35:48.400 --> 00:35:52.480]   and through the community, and they're also very much into Fast.ai
[00:35:52.480 --> 00:35:55.200]   and feel just as passionate about the library.
[00:35:55.200 --> 00:35:57.840]   So Zach is a machine learning engineer at Novetta.
[00:35:59.200 --> 00:36:02.560]   Fast.ai was the only course, an ML course that he ever did.
[00:36:02.560 --> 00:36:06.720]   And built on top of that, he started with a walk with Fast.ai,
[00:36:06.720 --> 00:36:09.520]   which really adds more on the Fast.ai course.
[00:36:09.520 --> 00:36:11.600]   So he started doing things with object detection
[00:36:11.600 --> 00:36:14.320]   or other things that he wanted to try.
[00:36:14.320 --> 00:36:18.560]   And Fast.ai library really enables those sort of experiments
[00:36:18.560 --> 00:36:19.520]   and those sort of projects.
[00:36:19.520 --> 00:36:22.560]   So he'll be joining us for guest lectures towards the end.
[00:36:22.560 --> 00:36:25.440]   Zach should probably be thanking his dad for this
[00:36:25.440 --> 00:36:29.200]   because he told me that he was studying marine biology
[00:36:29.200 --> 00:36:32.160]   and his dad was like, "You should do coding and you should do AI."
[00:36:32.160 --> 00:36:34.960]   And Zach was like, "Nah, that sounds stupid."
[00:36:34.960 --> 00:36:37.360]   And eventually, his dad convinced him to try it once.
[00:36:37.360 --> 00:36:39.920]   And he was like, "Oh, actually, that's kind of fun."
[00:36:39.920 --> 00:36:43.040]   I thought that was an interesting story.
[00:36:43.040 --> 00:36:44.640]   So he was going in a very different direction.
[00:36:44.640 --> 00:36:47.840]   Definitely. And then we see him today,
[00:36:47.840 --> 00:36:50.480]   you know, he's doing the Fast Debug project
[00:36:50.480 --> 00:36:52.800]   and he spent about 33 days in the forum.
[00:36:52.800 --> 00:36:54.800]   So you can see, I guess, through these examples,
[00:36:54.800 --> 00:36:58.080]   we can see that being active and being actually taking this
[00:36:58.080 --> 00:37:02.720]   and doing this seriously can help us a lot.
[00:37:02.720 --> 00:37:04.480]   Thanks, Jeremy.
[00:37:04.480 --> 00:37:07.120]   With Sayem, he's the host of the Data Science,
[00:37:07.120 --> 00:37:08.720]   Shidem Data Science podcast.
[00:37:08.720 --> 00:37:12.400]   And he's interviewed hundreds of practitioners
[00:37:12.400 --> 00:37:14.000]   and he's also interviewed Jeremy.
[00:37:14.000 --> 00:37:17.120]   So do feel free to check it out.
[00:37:17.120 --> 00:37:20.640]   He's also an ML engineer and AI content creator at H2AI.
[00:37:20.640 --> 00:37:24.640]   He's a Kaggle discussions master and he's an active blogger.
[00:37:25.200 --> 00:37:28.720]   With over 1.5 million views across various blogs.
[00:37:28.720 --> 00:37:31.680]   And he's with us today on the chat.
[00:37:31.680 --> 00:37:35.200]   And he also represents this idea of tenacity.
[00:37:35.200 --> 00:37:37.680]   He set out to, I can't remember exactly
[00:37:37.680 --> 00:37:38.800]   what the statistics were,
[00:37:38.800 --> 00:37:42.800]   but to post a certain number of podcasts every week
[00:37:42.800 --> 00:37:45.600]   for, I don't know, a year or something.
[00:37:45.600 --> 00:37:48.640]   And he totally stuck to it.
[00:37:48.640 --> 00:37:52.240]   And in the process, built a very significant audience.
[00:37:52.880 --> 00:37:54.720]   And so he's definitely somebody who,
[00:37:54.720 --> 00:37:59.200]   when he says, I'm going to do X, I know that X will be done.
[00:37:59.200 --> 00:38:04.560]   And that's really cool to see how much success he's had.
[00:38:04.560 --> 00:38:07.280]   Absolutely.
[00:38:07.280 --> 00:38:09.920]   And then we're also joined by Tanishq Ibrahim.
[00:38:09.920 --> 00:38:11.440]   He's one of our youngest,
[00:38:11.440 --> 00:38:14.400]   but he's also one of the most talented people
[00:38:14.400 --> 00:38:16.880]   that I know and I've met through the past AI forums.
[00:38:16.880 --> 00:38:19.520]   So Tanishq is only 17, sorry, 18 now.
[00:38:19.520 --> 00:38:21.280]   18 now, I think, yeah.
[00:38:21.280 --> 00:38:23.200]   Yeah, it was his birthday a day or two ago.
[00:38:23.200 --> 00:38:27.120]   He's an 18-year-old biomedical engineering PhD
[00:38:27.120 --> 00:38:28.960]   candidate at University of California.
[00:38:28.960 --> 00:38:30.880]   I believe he's in his third year of PhD.
[00:38:30.880 --> 00:38:34.560]   His journey also began, like many of us,
[00:38:34.560 --> 00:38:37.680]   by taking the Fast AI course back in 2019.
[00:38:37.680 --> 00:38:39.120]   And he's been a frequent contributor
[00:38:39.120 --> 00:38:40.400]   to the library and the forums.
[00:38:40.400 --> 00:38:43.600]   He's also a Kaggle notebooks and discussion master.
[00:38:43.600 --> 00:38:46.320]   And he's written now packages like Zach has built
[00:38:46.320 --> 00:38:47.840]   the Walk with Fast AI.
[00:38:47.840 --> 00:38:49.920]   Tanishq has also worked on the YouPit package,
[00:38:49.920 --> 00:38:51.760]   which is an image to image translation
[00:38:51.760 --> 00:38:53.280]   built using the Fast AI tools.
[00:38:53.280 --> 00:38:56.640]   He's also been a fantastic researcher, by the way,
[00:38:56.640 --> 00:38:59.680]   and actually worked with us
[00:38:59.680 --> 00:39:02.880]   on some of our medical AI research.
[00:39:02.880 --> 00:39:05.440]   Thank you.
[00:39:05.440 --> 00:39:09.440]   And I'm really excited that all of them,
[00:39:09.440 --> 00:39:11.360]   Zach, Sanyam, and Tanishq will be around
[00:39:11.360 --> 00:39:12.960]   and we'll be doing guest lectures from them
[00:39:12.960 --> 00:39:13.760]   on their projects.
[00:39:13.760 --> 00:39:15.760]   And we can hear from them on their journey.
[00:39:15.760 --> 00:39:18.480]   Thanks guys for being a part of this.
[00:39:18.480 --> 00:39:19.760]   Really, really appreciate that.
[00:39:19.760 --> 00:39:21.760]   Cool.
[00:39:21.760 --> 00:39:23.920]   Now, we're in the in conversation with Jeremy,
[00:39:23.920 --> 00:39:26.000]   which is basically me taking advantage
[00:39:26.000 --> 00:39:27.120]   of Jeremy being on the show
[00:39:27.120 --> 00:39:29.360]   because I've always had these questions to ask
[00:39:29.360 --> 00:39:30.640]   and never got the opportunity.
[00:39:30.640 --> 00:39:33.840]   Okay. Today's my day and I'm going to ask a question.
[00:39:33.840 --> 00:39:38.080]   So Jeremy, something that really amazes me
[00:39:38.080 --> 00:39:41.680]   and really it's when you see things like this
[00:39:41.680 --> 00:39:44.480]   is like inspirational and motivational
[00:39:44.480 --> 00:39:45.360]   at a different level.
[00:39:46.560 --> 00:39:48.320]   We saw a mask for all movement.
[00:39:48.320 --> 00:39:50.720]   It's active now as well.
[00:39:50.720 --> 00:39:53.040]   And we saw you begin the mask for all movement,
[00:39:53.040 --> 00:39:55.920]   which got traction from the president of Czech.
[00:39:55.920 --> 00:39:59.680]   The Czech Republic went from 100% mask usage
[00:39:59.680 --> 00:40:01.120]   from zero in 10 days.
[00:40:01.120 --> 00:40:03.920]   The mask for all movement was mentioned
[00:40:03.920 --> 00:40:07.680]   in various newspapers like CNN, New York Times, Guardian.
[00:40:07.680 --> 00:40:12.480]   Jeremy also presented the paper that he wrote
[00:40:12.480 --> 00:40:14.720]   with 19 authors and 84 references
[00:40:15.440 --> 00:40:16.960]   on the effectiveness of masks.
[00:40:16.960 --> 00:40:20.000]   And it was presented at the WHO guideline
[00:40:20.000 --> 00:40:20.800]   development group.
[00:40:20.800 --> 00:40:24.480]   And I believe Jeremy, you also worked with US senators
[00:40:24.480 --> 00:40:28.160]   and Michael Bennett and Sen Tumi.
[00:40:28.160 --> 00:40:30.800]   And most importantly, I mean, this is a project
[00:40:30.800 --> 00:40:33.120]   that helped saved a lot of lives.
[00:40:33.120 --> 00:40:37.440]   And it really, it became a trend all over the world
[00:40:37.440 --> 00:40:38.320]   to wear masks.
