
[00:00:00.040 --> 00:00:09.540]  bak
[00:28:21.300 --> 00:28:21.300]   - And one of her may choose to be a public.
[00:28:21.300 --> 00:28:21.300]   - And one of her may choose to be a public.
[00:28:21.300 --> 00:28:21.300]   - And one of her may choose to be a public.
[00:28:21.300 --> 00:28:21.300]   - And one of her may choose to be a public.
[00:28:21.300 --> 00:28:21.300]   - And one of her may choose to be a public.
[00:28:21.300 --> 00:28:21.300]   - And one of her may choose to be a public.
[00:28:21.300 --> 00:28:21.300]   - And one of her may choose to be a public.
[00:28:21.300 --> 00:28:21.300]   - And one of her may choose to be a public.
[00:28:21.300 --> 00:28:21.300]   - And one of her may choose to be a public.
[00:28:21.300 --> 00:28:21.300]   - And one of her may choose to be a public.
[00:28:21.340 --> 00:28:51.320]   - And one of her may choose to be a public.
[00:28:51.320 --> 00:28:51.320]   - And one of her may choose to be a public.
[00:28:51.320 --> 00:28:51.320]   - And one of her may choose to be a public.
[00:28:51.320 --> 00:28:51.320]   - And one of her may choose to be a public.
[00:28:51.320 --> 00:28:51.320]   - And one of her may choose to be a public.
[00:28:51.320 --> 00:28:51.320]   - And one of her may choose to be a public.
[00:28:51.320 --> 00:28:51.320]   - And one of her may choose to be a public.
[00:28:51.320 --> 00:28:51.320]   - And one of her may choose to be a public.
[00:28:51.320 --> 00:28:51.320]   - And one of her may choose to be a public.
[00:28:51.320 --> 00:28:51.320]   - And one of her may choose to be a public.
[00:28:51.320 --> 00:28:51.320]   - And one of her may choose to be a public.
[00:28:51.320 --> 00:28:51.320]   - And one of her may choose to be a public.
[00:28:51.320 --> 00:28:51.320]   - And one of her may choose to be a public.
[00:28:51.320 --> 00:28:51.320]   - And one of her may choose to be a public.
[00:28:51.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.340 --> 00:29:21.340]   - And one of her may choose to be a public.
[00:29:21.360 --> 00:29:51.360]   - And one of her may choose to be a public.
[00:29:51.360 --> 00:29:51.360]   - And one of her may choose to be a public.
[00:29:51.360 --> 00:29:51.360]   - And one of her may choose to be a public.
[00:29:51.360 --> 00:29:51.360]   - And one of her may choose to be a public.
[00:29:51.360 --> 00:29:51.360]   - And one of her may choose to be a public.
[00:29:51.360 --> 00:29:51.360]   - And one of her may choose to be a public.
[00:29:51.360 --> 00:29:51.360]   - And one of her may choose to be a public.
[00:29:51.360 --> 00:29:51.360]   - And one of her may choose to be a public.
[00:29:51.360 --> 00:29:51.360]   - And one of her may choose to be a public.
[00:29:51.360 --> 00:29:51.360]   - And one of her may choose to be a public.
[00:29:51.360 --> 00:29:51.360]   - And one of her may choose to be a public.
[00:29:51.360 --> 00:29:51.360]   - And one of her may choose to be a public. - And one of her may choose to be a public.
[00:29:51.360 --> 00:29:51.360]   - And one of her may choose to be a public. - and one of her may choose to be a public.
[00:29:51.400 --> 00:30:01.020]  ав
[00:30:01.020 --> 00:30:01.580]   like start won
[00:30:01.580 --> 00:30:02.320]   hull
[00:31:14.040 --> 00:31:14.040]   and
[00:31:14.040 --> 00:31:14.040]   for
[00:31:14.040 --> 00:31:14.040]   and
[00:31:42.180 --> 00:31:45.880]   sell
[00:31:45.880 --> 00:31:54.140]   Gi But
[00:35:29.480 --> 00:35:34.240]   So a self-settled trust is not a separate entity for tax purposes. The taxes all flow through. But usually that type of trust is a self-settled trust. And so a self-settled trust is a trust that you contribute assets to and you're a beneficiary of. So a self-settled trust is not a separate entity for tax purposes. The taxes all flow through. But usually that type of trust is a self-settled trust.
[00:35:53.200 --> 00:36:04.260]   So in that case, you have to be in one of those states. And the downsides of domestic asset protection trust seems to be there's a minimum amount of settled law of case law that's been established. And you have to be in one of the states that recognizes that a self-settled trust has asset protection features to it. You can go offshore. But the challenge with going offshore is frequently that you have to be in one of those states that recognize that a self-settled trust has asset protection features to it. You can go offshore. But the challenge with going offshore is frequently
[00:36:04.260 --> 00:36:34.280]  .
[00:36:34.280 --> 00:36:34.280]   It's not necessarily that you will pay substantially higher fees and those may not be necessary to you, especially if you don't have a current threat that has materialized. An offshore trust, the biggest benefit of an offshore trust is the you'd establish the persons in the trust to be in an entity that doesn't recognize U.S. law. So the most famous jurisdiction here is a trust that's based in the Cook Islands. The Cook Islands is big and the most famous jurisdiction here is a trust that's based in the Cook Islands.
[00:36:34.300 --> 00:37:04.300]   So if you hire a trustee for your trust that's based in the Cook Islands, if somebody wants to sue that trust, then they have to actually go to the Cook Islands. They have to hire a Cook Islands attorney. Their lawsuit has to be admissible under the law of the Cook Islands. They have to reach a much higher level of proof in their case. So for example, in civil cases, one of the challenges for asset protection is in order to win a civil case, somebody has to be in the Cook Islands.
[00:37:04.300 --> 00:37:04.300]   The Cook Islands attorney has to be admissible under the law of the Cook Islands.
[00:37:04.300 --> 00:37:04.300]   They have to reach a much higher level of proof in their case.
[00:37:04.300 --> 00:37:04.300]   So for example, in civil cases, one of the challenges for asset protection is in order to win a civil case, somebody has to be in the Cook Islands.
[00:37:04.300 --> 00:37:04.300]   So if you hire a trustee for your trust that's based in the Cook Islands, then they have to actually go to the Cook Islands.
[00:37:04.340 --> 00:37:34.320]  ,
[00:37:34.320 --> 00:37:34.320]   It's a good way to have a trustee for your trust.
[00:37:34.320 --> 00:37:34.320]   It's a good way to have a trustee for your trust.
[00:37:34.320 --> 00:37:34.320]   It's a good way to have a trustee for your trust.
[00:37:34.320 --> 00:37:34.320]   It's a good way to have a trustee for your trust.
[00:37:34.320 --> 00:37:34.320]   It's a good way to have a trustee for your trust.
[00:37:34.320 --> 00:37:34.320]   It's a good way to have a trustee for your trust.
[00:37:34.320 --> 00:37:34.320]   It's a good way to have a trustee for your trust.
[00:37:34.340 --> 00:38:04.340]   It's a good way to have a trustee for your trust.
[00:38:04.340 --> 00:38:04.340]   It's a good way to have a trustee for your trust.
[00:38:04.340 --> 00:38:04.340]   It's a good way to have a trustee for your trust.
[00:38:04.340 --> 00:38:04.340]   It's a good way to have a trustee for your trust.
[00:38:04.340 --> 00:38:04.340]   It's a good way to have a trustee for your trust.
[00:38:04.340 --> 00:38:04.340]   It's a good way to have a trustee for your trust.
[00:38:04.340 --> 00:38:04.340]   It's a good way to have a trustee for your trust.
[00:38:04.340 --> 00:38:04.340]   It's a good way to have a trustee for your trust.
[00:38:04.340 --> 00:38:04.340]   It's a good way to have a trustee for your trust.
[00:38:04.340 --> 00:38:04.340]   It's a good way to have a trustee for your trust.
[00:38:04.340 --> 00:38:04.340]   It's a good way to have a trustee for your trust.
[00:38:04.340 --> 00:38:04.340]   It's a good way to have a trustee for your trust.
[00:38:04.340 --> 00:38:04.340]   It's a good way to have a trustee for your trust.
[00:38:04.380 --> 00:38:12.000]   blah
[00:38:12.000 --> 00:38:14.320]   won di i
[00:38:14.320 --> 00:38:15.260]   ihrer
[00:38:15.260 --> 00:38:31.800]   provide the r. We, at, as, 지, con,,,,,,,,,,,,, guess I'm I'm to the tell the end of the next는
[00:38:31.800 --> 00:38:33.400]   resemble the Lib beginner at the It's not the
[00:38:34.060 --> 00:38:36.840]   cost
[00:38:36.840 --> 00:38:37.740]   down.
[00:38:37.740 --> 00:38:40.640]   And that's the that's the the the real challenge.
[00:38:40.640 --> 00:38:42.140]   And so when you start to put
[00:38:42.140 --> 00:38:44.740]   these benefits of an offshore trust together,
[00:38:44.740 --> 00:38:46.740]   in my opinion, that really is
[00:38:46.740 --> 00:38:49.980]   the best solution. There really is an ultimate solution that's
[00:38:49.980 --> 00:38:51.680]   that's really good
[00:38:51.680 --> 00:38:53.080]   for
[00:38:53.080 --> 00:38:56.340]   most people. But you've got to manage
[00:38:56.340 --> 00:38:58.440]   the cost. Now you'll have to look into it.
[00:38:58.440 --> 00:39:00.340]   And you have to assess your
[00:39:00.340 --> 00:39:02.020]   you have to assess your
[00:39:02.020 --> 00:39:03.620]   actual risk. You have to
[00:39:03.620 --> 00:39:04.040]   to assess
[00:39:04.080 --> 00:39:07.540]   Son
[00:39:07.540 --> 00:39:15.000]   decline like,,,omin
[00:39:15.000 --> 00:39:15.520]  街 a one,,,,,.,osos
[00:39:15.520 --> 00:39:30.920]  っち
[00:40:27.740 --> 00:40:27.740]   The
[00:40:27.740 --> 00:40:27.740]   The
[00:40:27.780 --> 00:40:35.320]  ад
[00:40:35.320 --> 00:40:53.660]   ",
[00:41:27.140 --> 00:41:27.140]   and,
[00:41:27.180 --> 00:41:38.480]   only
[00:41:38.480 --> 00:41:41.380]   right go la
[00:41:41.380 --> 00:41:57.160]  ,,,,, lying thank I am in the end. I. I. What? I? I? She? L, Temple,
[00:41:57.200 --> 00:42:00.680]   I
[00:42:00.680 --> 00:42:07.040]   w or they
[00:42:07.040 --> 00:42:26.660]   sound anyone making moins
[00:42:27.220 --> 00:42:35.660]   get
[00:42:35.660 --> 00:42:55.700]  , is a
[00:43:26.380 --> 00:43:26.380]   and
[00:43:26.380 --> 00:43:26.380]   and
[00:43:26.380 --> 00:43:26.380]   and
[00:43:26.420 --> 00:43:36.020]  �
[00:43:36.020 --> 00:43:37.480]   in the look
[00:45:27.940 --> 00:45:28.880]   one
[00:45:28.880 --> 00:45:45.080]   or the other of us we could still make do although it would be more stressful we just haven't seen the value in paying you a thousand or two thousand dollars a year for term life insurance even though I'm told by everybody and I think even by you in the past that it really is cheap insurance and I haven't been able to convince myself to pay for it.
[00:45:45.080 --> 00:45:45.080]   I think even by you in the past that it really is cheap insurance and I haven't been able to convince myself to pay for it.
[00:45:45.080 --> 00:45:45.080]   I think even by you in the past that it really is cheap insurance and I haven't been able to convince myself to pay for it.
[00:45:45.080 --> 00:45:45.080]   I think even by you in the past that it really is cheap insurance and I haven't been able to convince myself to pay for it.
[00:45:45.080 --> 00:45:45.660]   I think even by you in the past that it really is cheap insurance and I haven't been able to convince myself to pay for it.
[00:46:03.120 --> 00:46:15.660]   One of the things I've observed is people who have a certain experience they it changes their perspective and it's hard to you know physicians sometimes start to manifest all the symptoms of illness that their that their patients have but it's not because they actually had the illness is because they're around all the time and they thought they had the illness so I think it's really important to have that in mind.
[00:46:15.660 --> 00:46:15.660]   I think even by you in the past that it really is cheap insurance and I think even by you in the past that it really is cheap insurance and I think it's not going to pay for it.
[00:46:15.660 --> 00:46:45.680]   and I think even by you in the past that it really is cheap insurance and I think it's really hard to you know physicians sometimes start to manifest all the symptoms of illness that their that their patients have but it's not going to pay for it.
[00:46:45.680 --> 00:46:45.680]   I think even by you in the past that it really is cheap insurance and I think it's really hard to you know physicians sometimes start to manifest all the symptoms of illness that their that their patients have but it's not going to pay for it.
[00:46:45.680 --> 00:46:45.680]   I think even by you in the past that it really is cheap insurance and I think even by you in the past that it really is cheap insurance and I think even by you in the past that it really is cheap insurance and I think even by you in the past it's not going to pay for it.
[00:46:45.720 --> 00:46:56.340]   pick
[00:46:56.340 --> 00:47:13.480]   provide grilled get el
[00:48:11.360 --> 00:48:11.360]   and I think that's a good thing to do.
[00:48:11.360 --> 00:48:11.360]   and I think that's a good thing to do.
[00:48:11.360 --> 00:48:11.600]   I think that's a good thing to do.
[00:48:11.600 --> 00:48:11.840]   I think that's a good thing to do.
[00:48:11.840 --> 00:48:11.920]   I think that's a good thing to do.
[00:48:11.920 --> 00:48:12.820]   I think that's a good thing to do.
[00:48:33.020 --> 00:48:34.080]   I think that's a good thing to do.
[00:48:34.080 --> 00:48:34.740]   I think that's a good thing to do.
[00:48:34.740 --> 00:48:36.220]   And so if something happened
[00:48:36.220 --> 00:48:38.720]   where somebody had early onset Alzheimer's,
[00:48:38.720 --> 00:48:39.680]   early onset dementia,
[00:48:39.680 --> 00:48:41.900]   some kind of ongoing chronic illness
[00:48:41.900 --> 00:48:42.840]   that led to a loss of life,
[00:48:42.840 --> 00:48:42.840]   some kind of ongoing chronic illness
[00:48:42.840 --> 00:48:42.840]   that led to a loss of life,
[00:48:42.840 --> 00:48:42.840]   and so I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for by health insurance.
[00:49:11.000 --> 00:49:11.120]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for by health insurance.
[00:49:11.120 --> 00:49:11.140]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for by health insurance.
[00:49:11.140 --> 00:49:11.220]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for by health insurance.
[00:49:11.220 --> 00:49:11.240]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for by health insurance.
[00:49:11.240 --> 00:49:12.220]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:49:41.600 --> 00:49:41.640]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:49:41.640 --> 00:49:41.680]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:49:41.680 --> 00:49:41.720]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:49:41.720 --> 00:49:41.800]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:49:41.800 --> 00:49:41.820]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:50:11.400 --> 00:50:11.420]  ,
[00:50:11.420 --> 00:50:11.460]  ,
[00:50:11.460 --> 00:50:11.480]  ,
[00:50:11.480 --> 00:50:11.640]  , and I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:50:11.640 --> 00:50:11.820]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:50:11.820 --> 00:50:11.840]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:50:11.840 --> 00:50:11.840]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:50:11.840 --> 00:50:41.860]  ,
[00:50:41.860 --> 00:50:41.860]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:50:41.860 --> 00:50:41.860]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:50:41.860 --> 00:50:41.860]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:50:41.860 --> 00:50:41.860]   So I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:50:41.880 --> 00:51:11.880]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:51:11.880 --> 00:51:11.880]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:51:11.880 --> 00:51:11.880]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:51:11.880 --> 00:51:11.880]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:51:11.880 --> 00:51:11.880]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:51:11.920 --> 00:51:41.900]  ,
[00:51:41.900 --> 00:51:41.900]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:51:41.900 --> 00:51:41.900]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:51:41.920 --> 00:52:11.920]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:52:11.920 --> 00:52:11.920]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:52:11.920 --> 00:52:11.920]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:52:11.920 --> 00:52:11.920]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:52:11.920 --> 00:52:11.920]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:52:11.960 --> 00:52:41.940]  ,
[00:52:41.940 --> 00:52:41.940]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:52:41.940 --> 00:52:41.940]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:52:41.940 --> 00:52:41.940]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:52:41.960 --> 00:53:11.960]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:53:11.960 --> 00:53:11.960]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:53:11.960 --> 00:53:11.960]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:53:11.960 --> 00:53:11.960]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:53:11.960 --> 00:53:11.960]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:53:12.000 --> 00:53:41.980]  ,
[00:53:41.980 --> 00:53:41.980]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:53:41.980 --> 00:53:41.980]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:53:41.980 --> 00:53:41.980]   I think it's at least reasonable to say it's possible that we might have significant health care costs from an extended illness that are not paid for a long-term care.
[00:53:41.980 --> 00:53:41.980]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:53:42.000 --> 00:54:12.000]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:12.000 --> 00:54:12.000]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:12.000 --> 00:54:12.000]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:12.000 --> 00:54:12.000]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:12.000 --> 00:54:12.000]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:12.000 --> 00:54:12.000]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:12.000 --> 00:54:12.000]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:12.000 --> 00:54:12.000]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:12.000 --> 00:54:12.000]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:12.020 --> 00:54:42.020]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:42.020 --> 00:54:42.020]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:42.020 --> 00:54:42.020]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:42.020 --> 00:54:42.020]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:42.020 --> 00:54:42.020]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:42.020 --> 00:54:42.020]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:42.020 --> 00:54:42.020]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:54:42.020 --> 00:55:12.040]  ,
[00:55:12.040 --> 00:55:12.040]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:12.040 --> 00:55:12.040]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:12.040 --> 00:55:12.040]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:12.040 --> 00:55:12.040]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:12.040 --> 00:55:12.040]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:12.040 --> 00:55:12.040]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:12.040 --> 00:55:12.040]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:12.060 --> 00:55:42.060]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:42.060 --> 00:55:42.060]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:42.060 --> 00:55:42.060]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:42.060 --> 00:55:42.060]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:42.060 --> 00:55:42.060]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:42.060 --> 00:55:42.060]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:42.060 --> 00:55:42.060]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:42.060 --> 00:55:42.060]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:42.060 --> 00:55:42.060]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:55:42.060 --> 00:56:12.080]  ,
[00:56:12.080 --> 00:56:12.080]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:12.080 --> 00:56:12.080]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:12.080 --> 00:56:12.080]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:12.080 --> 00:56:12.080]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:12.080 --> 00:56:12.080]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:12.080 --> 00:56:12.080]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:12.080 --> 00:56:12.080]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:12.100 --> 00:56:42.100]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:42.100 --> 00:56:42.100]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:42.100 --> 00:56:42.100]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:42.100 --> 00:56:42.100]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:42.100 --> 00:56:42.100]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:42.100 --> 00:56:42.100]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:42.100 --> 00:56:42.100]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:42.100 --> 00:56:42.100]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:42.100 --> 00:56:42.100]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:56:42.120 --> 00:57:12.120]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:12.120 --> 00:57:12.120]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:12.120 --> 00:57:12.120]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:12.120 --> 00:57:12.120]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:12.120 --> 00:57:12.120]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:12.120 --> 00:57:12.120]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:12.120 --> 00:57:12.120]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:12.160 --> 00:57:42.140]  ,
[00:57:42.140 --> 00:57:42.140]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:42.140 --> 00:57:42.140]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:42.140 --> 00:57:42.140]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:42.140 --> 00:57:42.140]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:42.140 --> 00:57:42.140]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:42.140 --> 00:57:42.140]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:42.140 --> 00:57:42.140]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:42.140 --> 00:57:42.140]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:57:42.160 --> 00:58:12.160]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:12.160 --> 00:58:12.160]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:12.160 --> 00:58:12.160]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:12.160 --> 00:58:12.160]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:12.160 --> 00:58:12.160]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:12.160 --> 00:58:12.160]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:12.160 --> 00:58:12.160]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:12.160 --> 00:58:12.160]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:12.160 --> 00:58:12.160]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:12.160 --> 00:58:42.180]  ,
[00:58:42.180 --> 00:58:42.180]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:42.180 --> 00:58:42.180]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:42.180 --> 00:58:42.180]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:42.180 --> 00:58:42.180]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:42.180 --> 00:58:42.180]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:42.180 --> 00:58:42.180]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:58:42.200 --> 00:59:12.200]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:59:12.200 --> 00:59:12.200]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:59:12.200 --> 00:59:12.200]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:59:12.200 --> 00:59:12.200]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:59:12.200 --> 00:59:12.200]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:59:12.200 --> 00:59:12.200]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:59:12.200 --> 00:59:12.200]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:59:12.200 --> 00:59:12.200]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:59:12.200 --> 00:59:12.200]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:59:12.200 --> 00:59:42.220]   a month.
[00:59:42.220 --> 00:59:42.220]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:59:42.220 --> 00:59:42.220]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:59:42.220 --> 00:59:42.220]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:59:42.220 --> 00:59:42.220]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:59:42.220 --> 00:59:42.220]   I think it's at least reasonable to say it's possible that we might have significant health care.
[00:59:42.240 --> 01:00:12.240]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:00:12.240 --> 01:00:12.240]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:00:12.240 --> 01:00:12.240]   I think it's at least reasonable to say it's possible that we might have significant health care.
