
[00:00:00.000 --> 00:00:01.360]   - Greetings radicals.
[00:19:20.300 --> 00:19:22.020]   disappeared from many places.
[00:19:22.020 --> 00:19:23.500]   Not with big businesses, of course,
[00:19:23.500 --> 00:19:25.400]   who would keep their accounting in dollars
[00:19:25.400 --> 00:19:26.960]   and other stable currencies,
[00:19:26.960 --> 00:19:29.060]   but on a local level, it's like,
[00:19:29.060 --> 00:19:31.620]   the population has forgotten how to do bookkeeping
[00:19:31.620 --> 00:19:34.200]   and paper trails and receipts and all of that.
[00:19:34.200 --> 00:19:36.420]   So I can't, I actually can't,
[00:19:36.420 --> 00:19:39.820]   I can't do the necessary legal due diligences
[00:19:39.820 --> 00:19:43.420]   that would be involved of starting an organization.
[00:19:43.420 --> 00:19:45.840]   And then there's so many,
[00:19:45.840 --> 00:19:49.800]   basically, the whole thing is operating on trust.
[00:19:49.800 --> 00:19:52.900]   I know the people that are involved, I trust them,
[00:19:52.900 --> 00:19:56.360]   I've been involved in sending money
[00:19:56.360 --> 00:19:58.740]   and being involved continually over time,
[00:19:58.740 --> 00:20:01.100]   and I will continue to be involved.
[00:20:01.100 --> 00:20:03.180]   I, myself, will be in Venezuela,
[00:20:03.180 --> 00:20:06.100]   touring at a separate event within a few weeks,
[00:20:06.100 --> 00:20:10.180]   and so I'll be delivering the work myself
[00:20:10.180 --> 00:20:15.180]   and be there physically myself in the coming weeks.
[00:20:15.180 --> 00:20:17.100]   And so I'm not gonna use any of the money
[00:20:17.100 --> 00:20:19.620]   for anything except providing for them,
[00:20:19.620 --> 00:20:21.360]   but I can't provide any more,
[00:20:23.680 --> 00:20:26.740]   I can't provide any more paper trail
[00:20:26.740 --> 00:20:28.020]   or anything like that than you.
[00:20:28.020 --> 00:20:29.980]   So basically, I'm coming to you, I'm saying,
[00:20:29.980 --> 00:20:31.980]   if you trust me, if you respect me,
[00:20:31.980 --> 00:20:36.060]   then send me some money and I give you my word of honor
[00:20:36.060 --> 00:20:39.600]   that I will use it for the purposes that I'm describing.
[00:20:39.600 --> 00:20:42.060]   And I'm hoping that in the future
[00:20:42.060 --> 00:20:44.940]   that we could expand and do more.
[00:20:44.940 --> 00:20:46.180]   The opportunity right now,
[00:20:46.180 --> 00:20:49.740]   this big expansion is a really exciting opportunity.
[00:20:49.740 --> 00:20:53.760]   There's no way, there's no way that I could organize,
[00:20:53.760 --> 00:20:56.560]   so I really wanna do more work
[00:20:56.560 --> 00:21:00.600]   here at Radical Personal Finance to connect us together.
[00:21:00.600 --> 00:21:02.680]   There's zero possibility at the moment
[00:21:02.680 --> 00:21:06.320]   of doing anything in Venezuela
[00:21:06.320 --> 00:21:09.680]   because of visa restrictions and things like that.
[00:21:09.680 --> 00:21:12.720]   It's just, it's the security situation is very poor.
[00:21:12.720 --> 00:21:15.360]   It's a very unsafe place to travel
[00:21:15.360 --> 00:21:17.440]   without special protection
[00:21:17.440 --> 00:21:20.260]   and without special dispensation
[00:21:20.260 --> 00:21:21.500]   from the government authorities.
[00:21:21.500 --> 00:21:22.340]   And so I can't do it,
[00:21:22.340 --> 00:21:27.260]   I can't involve anybody at this point in time in Venezuela.
[00:21:27.260 --> 00:21:29.060]   I have thought and looked and thought,
[00:21:29.060 --> 00:21:31.180]   okay, well, maybe we would do something in Colombia.
[00:21:31.180 --> 00:21:33.740]   Maybe we would, I could organize some kind of event
[00:21:33.740 --> 00:21:37.700]   and provide more publicity and public figure
[00:21:37.700 --> 00:21:39.900]   and invite the Radical Personal Finance family
[00:21:39.900 --> 00:21:42.940]   to do something in Colombia on the border.
[00:21:42.940 --> 00:21:47.360]   But I don't see any opportunity for that
[00:21:47.360 --> 00:21:48.620]   at this point in time.
[00:21:48.620 --> 00:21:52.000]   So that's what it is.
[00:21:52.000 --> 00:21:56.760]   And so basically, I care a lot about charity
[00:21:56.760 --> 00:22:00.360]   and I don't know a lot about it.
[00:22:00.360 --> 00:22:02.920]   I find it easier to find problems
[00:22:02.920 --> 00:22:06.620]   with things that are done poorly
[00:22:06.620 --> 00:22:09.200]   than to actually suggest solutions
[00:22:09.200 --> 00:22:11.360]   of things that are being done well.
[00:22:11.360 --> 00:22:12.600]   And I don't wanna be the guy,
[00:22:12.600 --> 00:22:14.480]   I hate being the guy who comes out here
[00:22:14.480 --> 00:22:17.520]   and just pokes problem, problem, problem, problem
[00:22:17.520 --> 00:22:20.560]   at good, intelligent, good-hearted people
[00:22:20.560 --> 00:22:21.880]   who are trying to solve problems.
[00:22:21.880 --> 00:22:23.800]   Just because things are inefficient,
[00:22:23.800 --> 00:22:26.480]   just because things are difficult
[00:22:26.480 --> 00:22:27.480]   doesn't mean that we should come out
[00:22:27.480 --> 00:22:32.200]   and find problems with them.
[00:22:32.200 --> 00:22:33.960]   They're trying.
[00:22:33.960 --> 00:22:35.160]   But I also think that we need
[00:22:35.160 --> 00:22:36.520]   to be really working hard on this
[00:22:36.520 --> 00:22:39.140]   because the world of charity and relief
[00:22:39.140 --> 00:22:43.700]   is so fraught with bloat and ineffectiveness
[00:22:43.700 --> 00:22:46.220]   and difficulty and things like that.
[00:22:46.220 --> 00:22:48.460]   And so I'm just trying to prove out for myself
[00:22:48.460 --> 00:22:50.700]   are there some ideas and principles
[00:22:50.700 --> 00:22:52.960]   that could be gained from this?
[00:22:52.960 --> 00:22:54.580]   And maybe at some point in the future
[00:22:54.580 --> 00:22:55.860]   I can share some of those things.
[00:22:55.860 --> 00:22:58.300]   But at the moment, this particular work
[00:22:58.300 --> 00:22:59.620]   has been very effective.
[00:22:59.620 --> 00:23:03.100]   It's been very blessed and I need money.
[00:23:03.100 --> 00:23:04.860]   So I'm coming to you to ask for it.
[00:23:04.860 --> 00:23:07.740]   If you have some money that's available
[00:23:07.740 --> 00:23:09.540]   in your giving budget and you would like
[00:23:09.540 --> 00:23:12.340]   to give it to me for me to pass along
[00:23:12.340 --> 00:23:15.420]   to the people and to purchase the things
[00:23:15.420 --> 00:23:17.200]   that are gonna need to be done,
[00:23:17.200 --> 00:23:19.060]   then that's what it can be used for.
[00:23:19.060 --> 00:23:20.900]   Specifically, I will take your money,
[00:23:20.900 --> 00:23:24.500]   I will use it to purchase agricultural supplies
[00:23:24.500 --> 00:23:27.420]   which will be planting many acres of gardens.
[00:23:27.420 --> 00:23:30.060]   Right now we're targeting to plant about 120 new acres
[00:23:30.060 --> 00:23:33.940]   across more than a dozen prisons across Venezuela.
[00:23:33.940 --> 00:23:37.860]   We've got quite a lot of stuff prepared for it.
[00:23:37.860 --> 00:23:41.340]   And if we can raise enough money,
[00:23:41.340 --> 00:23:44.300]   then we can continue to see this program multiply
[00:23:44.300 --> 00:23:46.700]   and grow significantly.
[00:23:46.700 --> 00:23:51.700]   And it's been a real tool to provide some very needed relief
[00:23:51.700 --> 00:23:57.420]   for men who are hungry and need food
[00:23:57.420 --> 00:24:00.500]   and for men who are idle and need work.
[00:24:00.500 --> 00:24:03.120]   So if you trust me and you would like to be involved
[00:24:03.120 --> 00:24:05.020]   and help partner with me in that work,
[00:24:05.020 --> 00:24:06.940]   then I would ask you to go to the link
[00:24:06.940 --> 00:24:09.520]   in the show notes or the description
[00:24:09.520 --> 00:24:11.360]   for today's podcast episode.
[00:24:11.360 --> 00:24:12.980]   Again, you can use a credit card to donate
[00:24:12.980 --> 00:24:14.660]   using a Stripe page that I've set up
[00:24:14.660 --> 00:24:16.180]   or you can send me money on PayPal.
[00:24:16.180 --> 00:24:17.620]   Both of those are fine.
[00:24:17.620 --> 00:24:20.580]   I can't collect any physical donations at the moment.
[00:24:20.580 --> 00:24:22.000]   I need electronic money.
[00:24:22.000 --> 00:24:24.200]   I can't give you any kind of tax deduction.
[00:24:24.200 --> 00:24:27.500]   You won't receive any tax deduction for your contributions
[00:24:27.500 --> 00:24:29.340]   because as I said,
[00:24:29.340 --> 00:24:32.080]   there's no tax deductible organization.
[00:24:32.080 --> 00:24:34.000]   I have arranged it in the past.
[00:24:34.000 --> 00:24:38.400]   If you are going to give a significant amount of money,
[00:24:38.400 --> 00:24:41.200]   in the previous fundraising effort,
[00:24:41.200 --> 00:24:43.840]   we had a donor who donated a five-figure sum,
[00:24:43.840 --> 00:24:47.100]   which we were able to pass through
[00:24:47.100 --> 00:24:49.900]   an appropriate tax-exempt organization.
[00:24:49.900 --> 00:24:53.380]   So if you would like to donate a five-figure sum,
[00:24:53.380 --> 00:24:54.660]   then contact me.
[00:24:54.660 --> 00:24:57.820]   You can email me, joshua@radicalpersonalfinance.com,
[00:24:57.820 --> 00:25:02.540]   and I can use an appropriate tax-exempt entity
[00:25:02.540 --> 00:25:06.580]   to provide stewardship for those specific funds.
[00:25:06.580 --> 00:25:09.260]   And those specific funds, what we did in the past
[00:25:09.260 --> 00:25:12.180]   was I used the money to buy a vehicle.
[00:25:12.180 --> 00:25:15.900]   And so we were able to have a proper paper trail
[00:25:15.900 --> 00:25:20.900]   following all the laws for organized charities.
[00:25:20.900 --> 00:25:24.940]   And so we were able to do it as was necessary.
[00:25:24.940 --> 00:25:27.660]   So if you would like to donate five figures to me,
[00:25:27.660 --> 00:25:30.100]   then reach out to me before you do that,
[00:25:30.100 --> 00:25:32.540]   joshua@radicalpersonalfinance.com.
[00:25:32.540 --> 00:25:35.060]   But I don't need very many five-figure donations.
[00:25:35.060 --> 00:25:37.920]   I'd rather just have more modest
[00:25:37.920 --> 00:25:41.500]   three and four-figure donations using the link.
[00:25:41.500 --> 00:25:44.260]   And I'll take the money, I'll pass it along,
[00:25:44.260 --> 00:25:47.620]   and use it to purchase the supplies and be the steward of it.
[00:25:47.620 --> 00:25:50.160]   I will give reports on that as well in the future.
[00:25:50.160 --> 00:25:52.820]   You'll see as things happen.
[00:25:52.820 --> 00:25:56.140]   And I'll try to, one of the best things is,
[00:25:56.140 --> 00:25:57.540]   I feel more comfortable sharing
[00:25:57.540 --> 00:25:58.900]   about a lot of this stuff personally.
[00:25:58.900 --> 00:26:02.380]   So like we did at Radical Personal Finance Family Camp,
[00:26:02.380 --> 00:26:04.020]   if you come to a family camp,
[00:26:04.020 --> 00:26:08.140]   and I'll show you pictures of what we've done in Venezuela,
[00:26:08.140 --> 00:26:09.300]   things like that.
[00:26:09.300 --> 00:26:12.420]   So also pray for me.
[00:26:12.420 --> 00:26:14.760]   Like I said, I'll be there personally for a conference
[00:26:14.760 --> 00:26:18.300]   and touring some of the prisons here in a few weeks.
[00:26:18.300 --> 00:26:21.680]   And so it's difficult when you're a father of five,
[00:26:21.680 --> 00:26:24.420]   it's difficult to go to a place like Venezuela
[00:26:24.420 --> 00:26:27.700]   and feel like you're making the right decision.
[00:26:27.700 --> 00:26:30.220]   But it's something that I believe is important.
[00:26:30.220 --> 00:26:33.700]   And so I would ask for your prayers as well.
[00:26:33.700 --> 00:26:34.700]   Thank you very much.

