
[00:00:00.000 --> 00:00:07.000]   At Suboba Casino Resort this October, something fun is lurking in the dark.
[00:33:50.000 --> 00:33:53.000]   These facts are telling me that revolution is coming.
[00:33:53.000 --> 00:33:58.000]   Well, don't sit back and say, well, I've got, you know, I've got to wait till I have a million dollars to leave.
[00:33:58.000 --> 00:34:02.000]   Frankly, it's probably easier for you to leave than the guy that's got a million bucks.
[00:34:02.000 --> 00:34:07.000]   Because the guy that's got a million bucks probably has a good portion of it tied up into non-movable assets.
[00:34:07.000 --> 00:34:11.000]   And he's not willing to leave. Why don't you just leave for a few years?
[00:34:11.000 --> 00:34:20.000]   Why don't you just get another job, find a neutral place somewhere that's safe and just move, go get another job in that other place.
[00:34:20.000 --> 00:34:28.000]   This might be a time to practice your German, right, or practice your your Swahili or practice your your Arabic or whatever it is.
[00:34:28.000 --> 00:34:34.000]   Just go get another job, another place and sidestep the revolution.
[00:34:34.000 --> 00:34:39.000]   It it really can work. Now, there are some logistics to that, right?
[00:34:39.000 --> 00:34:45.000]   You need a residence permit. You need the ability to work legally. You got a deal in our modern world.
[00:34:45.000 --> 00:34:51.000]   It's much more complex if it were 17, 1775.
[00:34:51.000 --> 00:34:55.000]   You could just get on a ship and no passports and you just get on a ship and go.
[00:34:55.000 --> 00:35:05.000]   If we were even if we're back in 1930 or 1935, the use of passports and paperwork was nothing like what it is today.
[00:35:05.000 --> 00:35:11.000]   Today, it's an administrative nightmare and it's you'll spend your $10,000 just getting your your work permits to go to another place.
[00:35:11.000 --> 00:35:15.000]   But it's worth it's worth it. So you need to play a source of income.
[00:35:15.000 --> 00:35:22.000]   Now, in the modern world, one of the things that's so great is so many of us can earn an income through the technological revolution that we live.
[00:35:22.000 --> 00:35:27.000]   You can earn an income through your phone. You can earn an income through your computer.
[00:35:27.000 --> 00:35:37.000]   And even as I've talked about, one of the greatest, the biggest lifestyle opportunity that we face right now is the fact that it's now mainstream and expected.
[00:35:37.000 --> 00:35:44.000]   And even considered to be the morally right thing that a company allows its workers to work remotely.
[00:35:44.000 --> 00:35:53.000]   That's an incredible opportunity because it means you can still work for your American company, even though you're living in Mexico.
[00:35:53.000 --> 00:35:58.000]   You can still work for your Canadian company, even though you're living in in Australia.
[00:35:58.000 --> 00:36:00.000]   Your hours will be funky, but you can do it.
[00:36:00.000 --> 00:36:09.000]   You can still work for your German company, even though you're living in Ireland or whatever your your particular details entail.
[00:36:09.000 --> 00:36:13.000]   That's outstanding. It's awesome.
[00:36:13.000 --> 00:36:18.000]   So you need the ability to you need the ability to move yourself.
[00:36:18.000 --> 00:36:22.000]   Sometimes there's more complex needs for that.
[00:36:22.000 --> 00:36:27.000]   So sometimes your passport is not going to be sufficient.
[00:36:27.000 --> 00:36:37.000]   You know, it's remarkable right now. The American passport has always been a strong and passport with regard to its travel privileges.
[00:36:37.000 --> 00:36:40.000]   And of course, I'm an American holding American passport.
[00:36:40.000 --> 00:36:52.000]   The American passport is not particularly well appreciated around the world right now for travel, because the United States being the current epicenter of the global pandemic.
[00:36:52.000 --> 00:36:56.000]   And so it's nice to have multiple sets of travel documents if you can arrange that.
[00:36:56.000 --> 00:37:00.000]   It's less important, I think, than many people think, but it is still helpful and important.
[00:37:00.000 --> 00:37:06.000]   So you need to think about how you get yourself and your family from one place, a place of danger to another place.
[00:37:06.000 --> 00:37:14.000]   Sometimes that literally means, you know, the not proverbial, it literally means the middle of the night fleeing.
[00:37:14.000 --> 00:37:19.000]   Sometimes that means you become a refugee and you've got to go out in the middle of the night.
[00:37:19.000 --> 00:37:24.000]   Maybe you're racing for the Mexican border or you're racing for the airplanes.
[00:37:24.000 --> 00:37:32.000]   It's interesting to think back a couple of months when the US announced the closing of the borders to from Europe,
[00:37:32.000 --> 00:37:37.000]   when at that time Europe was the epicenter of the global pandemic and the US is closing the borders.
[00:37:37.000 --> 00:37:46.000]   There were people in Paris and in London who were paying tens of thousands of dollars for a plane ticket just to get into the United States before the border closed.
[00:37:46.000 --> 00:37:49.000]   Not a joke, not ancient history, a couple of months ago.
[00:37:49.000 --> 00:37:51.000]   So sometimes you're fleeing in the middle of the night.
[00:37:51.000 --> 00:37:53.000]   So you want to think about what you do.
[00:37:53.000 --> 00:37:56.000]   Again, I'm not going to teach my course here necessarily, but you could think it through.
[00:37:56.000 --> 00:37:58.000]   Just think through, well, how, what would I need?
[00:37:58.000 --> 00:37:59.000]   I need some money, right?
[00:37:59.000 --> 00:38:01.000]   I need some access to the money, some money, etc.
[00:38:01.000 --> 00:38:05.000]   Then with regard to your investment portfolio, you want to pre-position things.
[00:38:05.000 --> 00:38:08.000]   You want to pre-position and move your money to another place.
[00:38:08.000 --> 00:38:13.000]   This is easier if you have paper assets than if you have physical assets.
[00:38:13.000 --> 00:38:19.000]   It's tough for a guy who's got a million dollars worth of real estate to be completely convinced that he should overnight liquidate it.
[00:38:19.000 --> 00:38:25.000]   Probably a little bit excessive, but that's not necessarily the only option.
[00:38:25.000 --> 00:38:28.000]   So you think about doing something like equity stripping.
[00:38:28.000 --> 00:38:33.000]   You put yourself in a situation where you wake up and you say, I've got a million dollars worth of real estate here.
[00:38:33.000 --> 00:38:36.000]   And it's all sitting here in this country.
[00:38:36.000 --> 00:38:39.000]   And I'm concerned, what would happen to that?
[00:38:39.000 --> 00:38:43.000]   If I had a problem, if there was a revolution here in this country, what would happen?
[00:38:43.000 --> 00:38:50.000]   So maybe you go ahead and lean up your property and add three quarters of a million of debt onto it.
[00:38:50.000 --> 00:38:52.000]   Then you move that money abroad.
[00:38:52.000 --> 00:38:55.000]   It won't cost you all that much to do that for a few years.
[00:38:55.000 --> 00:39:02.000]   Keep the debt on the property. If the winds of revolution die down, then you go ahead and pay off your loans.
[00:39:02.000 --> 00:39:13.000]   If the winds of revolution pick up and all of a sudden things get bad, if you've got to slip out in the middle of the night, at least you're walking away from $250,000 and your life intact.
[00:39:13.000 --> 00:39:16.000]   Instead of walking away from a million dollars to save your life.
[00:39:16.000 --> 00:39:25.000]   At least you got your $750,000 in another country that you can use to get yourself set up again and then work out the details on the back end when you have the opportunity.
[00:39:25.000 --> 00:39:27.000]   So think about those strategies.
[00:39:27.000 --> 00:39:29.000]   You've got paper assets. Things are easier.
[00:39:29.000 --> 00:39:31.000]   You can access stock accounts from all over the world.
[00:39:31.000 --> 00:39:34.000]   You can access bank accounts from all over the world.
[00:39:34.000 --> 00:39:38.000]   And it's easier to do that now than it ever was.
[00:39:38.000 --> 00:39:41.000]   Just imagine yourself in 1775.
[00:39:41.000 --> 00:39:43.000]   Just imagine, right?
[00:39:43.000 --> 00:39:45.000]   How are you going to move your family's wealth?
[00:39:45.000 --> 00:39:48.000]   You got a million bucks or whatever the equivalent was back then.
[00:39:48.000 --> 00:39:57.000]   How on earth are you going to move a million bucks from Massachusetts in the colonies to France?
[00:39:57.000 --> 00:39:59.000]   How are you going to do it?
[00:39:59.000 --> 00:40:06.000]   Or imagine yourself in pre-revolutionary war France and you got to figure out how do I move a million bucks from France to Switzerland?
[00:40:06.000 --> 00:40:07.000]   How are you going to do it?
[00:40:07.000 --> 00:40:08.000]   Well, it's tough, right?
[00:40:08.000 --> 00:40:12.000]   Gold coins, I guess. Gold coins, jewels.
[00:40:12.000 --> 00:40:14.000]   It's not easy.
[00:40:14.000 --> 00:40:19.000]   It puts you at tremendous risk of theft and of loss and of targeting.
[00:40:19.000 --> 00:40:21.000]   And you can go as fast as a horse can go.
[00:40:21.000 --> 00:40:37.000]   In today's world, you can waltz across any border with a string of random numbers in your head with a decryption key for a Bitcoin wallet or a set of passwords that allows you to sign on to an online banking portal anywhere in the world.
[00:40:37.000 --> 00:40:40.000]   And boom, you can move your money around the world.
[00:40:40.000 --> 00:40:42.000]   It's so much easier in today's world than it once was.
[00:40:42.000 --> 00:40:43.000]   So take advantage of that.
[00:40:43.000 --> 00:40:45.000]   Make sure you have some infrastructure set up.
[00:40:45.000 --> 00:40:56.000]   And the nice thing about it, you know, I've talked over the past few months, I've talked about moving money abroad outside of the United States and kind of being prepared.
[00:40:56.000 --> 00:41:00.000]   I've talked about taking some money out of the bank, being concerned about bank runs.
[00:41:00.000 --> 00:41:03.000]   Thankfully, none of those fears have come to pass.
[00:41:03.000 --> 00:41:04.000]   I'm grateful for that.
[00:41:04.000 --> 00:41:06.000]   I'm grateful for it.
[00:41:06.000 --> 00:41:09.000]   I don't think my warnings were imprudent.
[00:41:09.000 --> 00:41:10.000]   I don't regret anything.
[00:41:10.000 --> 00:41:13.000]   I think that we've got a long way to go with the current crisis.
[00:41:13.000 --> 00:41:19.000]   But thankfully, none of those dire concerns have been needed.
[00:41:19.000 --> 00:41:20.000]   I'm grateful for that.
[00:41:20.000 --> 00:41:21.000]   And you should be too.
[00:41:21.000 --> 00:41:26.000]   But at the end of the day, there doesn't have to be any cost involved.
[00:41:26.000 --> 00:41:31.000]   If you've got the infrastructure set up right, I haven't lost any money because I've been concerned about the economy.
[00:41:31.000 --> 00:41:35.000]   If you've got the infrastructure set up right, you had your bets.
[00:41:35.000 --> 00:41:38.000]   And in the modern world, you can do that.
[00:41:38.000 --> 00:41:43.000]   So I don't want to go too deeply into it.
[00:41:43.000 --> 00:41:45.000]   I mean, I've hopefully I've given you enough to spark you.
[00:41:45.000 --> 00:41:47.000]   What I wanted to emphasize was simply this.
[00:41:47.000 --> 00:41:49.000]   Two points.
[00:41:49.000 --> 00:41:55.000]   Number one, I'm convinced that reformation is the way to go, not revolution.
[00:41:55.000 --> 00:42:04.000]   Revolution appeals to you when you're young and aggressive and you think that everything is going to be better if we start shooting.
[00:42:04.000 --> 00:42:08.000]   Right. Revolution appeals to you when you think we've got the upper hand.
[00:42:08.000 --> 00:42:11.000]   Let's just beat these people down.
[00:42:11.000 --> 00:42:21.000]   So whether we're talking about a physical revolution with physical violence, you know, some kind of political issue or whether we're talking about a moral revolution, all I can say to you is it's not.
[00:42:21.000 --> 00:42:24.000]   What happens when you have a revolution?
[00:42:24.000 --> 00:42:29.000]   You lose support of people and you never have.
[00:42:29.000 --> 00:42:31.000]   You can't have peace and harmony.
[00:42:31.000 --> 00:42:33.000]   Reformation is the way to go.
[00:42:33.000 --> 00:42:36.000]   It's frustrating when you're young and you want it to go fast.
[00:42:36.000 --> 00:42:39.000]   But reformation means that you can bring people along with you.
[00:42:39.000 --> 00:42:40.000]   You can have stability.
[00:42:40.000 --> 00:42:42.000]   Now, maybe I'm just getting old.
[00:42:42.000 --> 00:42:46.000]   Right. I'm at that point of life where I'm not not very useful as a soldier.
[00:42:46.000 --> 00:42:48.000]   Got too many concerns at home.
[00:42:48.000 --> 00:42:52.000]   You know, they don't send they don't send 40 year old men off to war.
[00:42:52.000 --> 00:42:53.000]   40 year old men have children.
[00:42:53.000 --> 00:42:54.000]   They got businesses.
[00:42:54.000 --> 00:42:55.000]   They got affairs.
[00:42:55.000 --> 00:42:58.000]   They send 18 year old men off to war and I don't know, maybe 75 year old men off to war.
[00:42:58.000 --> 00:43:01.000]   But they don't send 40 year old men off to war.
[00:43:01.000 --> 00:43:06.000]   So maybe I'm just conservative because I got too much to lose.
[00:43:06.000 --> 00:43:08.000]   But I don't think so.
[00:43:08.000 --> 00:43:10.000]   I don't think so.
[00:43:10.000 --> 00:43:14.000]   I just think that those convinced against their will are of the same opinion still.
[00:43:14.000 --> 00:43:16.000]   You have a revolution.
[00:43:16.000 --> 00:43:25.000]   What happens is instead of having people together where everyone feels good about the fact that we're making progress and it was done in a lawful way.
[00:43:25.000 --> 00:43:28.000]   What you have in a revolution is you have winners and losers.
[00:43:28.000 --> 00:43:32.000]   And the winners oftentimes destroy the losers.
[00:43:32.000 --> 00:43:38.000]   There's a guy, I'm blanking on the name right now, but a social scientist who wrote about revolution.
[00:43:38.000 --> 00:43:40.000]   He's talking about a moral revolution.
[00:43:40.000 --> 00:43:42.000]   How do you define a moral revolution?
[00:43:42.000 --> 00:43:46.000]   People talk about that in the modern world, a moral revolution.
[00:43:46.000 --> 00:43:49.000]   And we're living through a number of moral revolutions.
[00:43:49.000 --> 00:43:54.000]   And this intellectual said there are three stages to a moral revolution.
[00:43:54.000 --> 00:44:00.000]   Stage one is what was once condemned must become celebrated.
[00:44:00.000 --> 00:44:06.000]   So perhaps there's an activity that has once condemned, was once condemned.
[00:44:06.000 --> 00:44:10.000]   That which was once condemned has to become celebrated.
[00:44:10.000 --> 00:44:12.000]   That's stage one.
[00:44:12.000 --> 00:44:19.000]   Stage two is that which was once celebrated must now become condemned.
[00:44:19.000 --> 00:44:24.000]   That which was once celebrated must now become condemned.
[00:44:24.000 --> 00:44:36.000]   And stage three is those who once condemned what is now celebrated must now themselves be condemned.
[00:44:36.000 --> 00:44:41.000]   So the people themselves that used to hold the opinion, they now have to be condemned.
[00:44:41.000 --> 00:44:46.000]   And when you reach that stage three, the moral revolution is close to its end.
[00:44:46.000 --> 00:44:48.000]   I've thought about that a lot over the years.
[00:44:48.000 --> 00:44:49.000]   You can take almost any issue.
[00:44:49.000 --> 00:44:53.000]   So you take the issue that you're concerned about, put it in,
[00:44:53.000 --> 00:44:57.000]   and you can see where you are in the phases of a moral revolution.
[00:44:57.000 --> 00:45:01.000]   Again, stage one, that which was condemned must become celebrated.
[00:45:01.000 --> 00:45:06.000]   Phase two, that which was celebrated must become condemned.
[00:45:06.000 --> 00:45:19.000]   And phase three, those that previously celebrated what is now condemned must themselves be condemned.
[00:45:19.000 --> 00:45:25.000]   That does not a peaceful society make when you go through moral revolutions.
[00:45:25.000 --> 00:45:27.000]   Revolutions have winners and losers.
[00:45:27.000 --> 00:45:32.000]   And the winners almost have no choice, or maybe it's just mob psychology.
[00:45:32.000 --> 00:45:37.000]   They just wind up trying to destroy the losers.
[00:45:37.000 --> 00:45:39.000]   Doesn't work.
[00:45:39.000 --> 00:45:43.000]   Reformation is better because when you reform, step by step, little by little,
[00:45:43.000 --> 00:45:47.000]   when you're patient and take a long perspective, you can keep everybody coming with you.
[00:45:47.000 --> 00:45:49.000]   You're never going to get, excuse me, I shouldn't have used everybody.
[00:45:49.000 --> 00:45:51.000]   You're never going to get everybody, right?
[00:45:51.000 --> 00:45:55.000]   But you can keep many, many, many, if not the majority, if not almost everybody with you.
[00:45:55.000 --> 00:45:59.000]   Then you can have a peaceful, orderly transition.
[00:45:59.000 --> 00:46:01.000]   Don't buy into revolution.
[00:46:01.000 --> 00:46:02.000]   That was point one.
[00:46:02.000 --> 00:46:09.000]   Number two, if you're in revolutionary times, think carefully about what you do
[00:46:09.000 --> 00:46:12.000]   and recognize that you've got choices.
[00:46:12.000 --> 00:46:15.000]   Again, I used to think I'll be the fighter.
[00:46:15.000 --> 00:46:19.000]   I'll pick the issue and I'll be the fighter.
[00:46:19.000 --> 00:46:22.000]   Might be age speaking, might be responsibility speaking,
[00:46:22.000 --> 00:46:24.000]   might be the fact that I've got too much to lose.
[00:46:24.000 --> 00:46:26.000]   Maybe I'm a coward. You judge for yourself.
[00:46:26.000 --> 00:46:34.000]   But more and more it just seems to me that in a revolution, there are few, if any, winners.
[00:46:34.000 --> 00:46:41.000]   Especially if that revolution involves violence, there are few, if any, winners.
[00:46:41.000 --> 00:46:48.000]   I don't want anything on my conscience that I'm ashamed about a decade from now.
[00:46:48.000 --> 00:46:53.000]   When you look at the practicalities of life, a lot of times it just seems to me that
[00:46:53.000 --> 00:46:57.000]   if you have the option, which not everybody does, but if you have the option,
[00:46:57.000 --> 00:47:02.000]   if you think ahead, you might be able just to step aside from the revolution.
[00:47:02.000 --> 00:47:06.000]   That might save your life, might keep your family together,
[00:47:06.000 --> 00:47:09.000]   might save your children, etc.
[00:47:09.000 --> 00:47:11.000]   Might save your neighbors.
[00:47:11.000 --> 00:47:13.000]   Pay attention.
[00:47:13.000 --> 00:47:16.000]   Don't think just because you've never lived in a revolution
[00:47:16.000 --> 00:47:19.000]   that somehow they don't happen anymore.
[00:47:19.000 --> 00:47:24.000]   They do happen. They have happened. They will happen.
[00:47:24.000 --> 00:47:35.000]   Think now about what you would do so that if the winds of revolution start to blow where you live,
[00:47:35.000 --> 00:47:37.000]   you'll be able to pay attention.
[00:47:37.000 --> 00:47:39.000]   Thank you for listening to today's show.
[00:47:39.000 --> 00:47:41.000]   I would advertise to you that I teach a course,
[00:47:41.000 --> 00:47:44.000]   How to Survive and Thrive During the Coming Economic Crisis.
[00:47:44.000 --> 00:47:47.000]   It's available at radicalpersonalfinance.com/store.
[00:47:47.000 --> 00:47:50.000]   It is a great course.
[00:47:50.000 --> 00:47:56.000]   I give you everything I need to know, everything I could think of as to solving some of these problems.
[00:47:56.000 --> 00:48:01.000]   And anybody that took my advice has been far more relaxed
[00:48:01.000 --> 00:48:07.000]   in the current crisis that we're living in than their neighbors.
[00:48:07.000 --> 00:48:13.000]   I've been far more relaxed and in a strong place in the current crisis than most of my neighbors.
[00:48:13.000 --> 00:48:17.000]   And yet, and I want that to be you.
[00:48:17.000 --> 00:48:20.000]   It's not too late. It's not too late for this current crisis.
[00:48:20.000 --> 00:48:27.000]   One of the things that should be pretty clear is that most things don't happen all that quickly.
[00:48:27.000 --> 00:48:29.000]   There's plenty of time.
[00:48:29.000 --> 00:48:33.000]   But as the classic saying about bankruptcy goes, how did you go bankrupt?
[00:48:33.000 --> 00:48:36.000]   Well, slowly at first and then all of a sudden.
[00:48:36.000 --> 00:48:38.000]   Slowly then quickly.
[00:48:38.000 --> 00:48:40.000]   It's oftentimes how crises seem to happen as well.
[00:48:40.000 --> 00:48:43.000]   They happen slowly, then they happen quickly.
[00:48:43.000 --> 00:48:47.000]   So if you're in a phase where you're concerned that in the future there might be a crisis,
[00:48:47.000 --> 00:48:53.000]   be it personal, be it a natural disaster, be it a widespread societal issue of some kind,
[00:48:53.000 --> 00:48:55.000]   a monetary issue, etc.
[00:48:55.000 --> 00:48:58.000]   Make a plan. Think it through.
[00:48:58.000 --> 00:49:04.000]   And I would humbly submit to you that the resource that I've created at radicalpersonalfinance.com/store
[00:49:04.000 --> 00:49:06.000]   should be one of your first steps.
[00:49:06.000 --> 00:49:08.000]   radicalpersonalfinance.com/store
[00:49:08.000 --> 00:49:10.000]   How to survive and thrive during the coming economic crisis.
[00:49:10.000 --> 00:49:12.000]   Hope to see you inside the course.
[00:49:12.000 --> 00:49:17.000]   When you're in winter's favorite town,
[00:49:17.000 --> 00:49:22.000]   the snow-covered mountains surround you.
[00:49:22.000 --> 00:49:27.000]   A historic main street charms you.
[00:49:27.000 --> 00:49:32.000]   And every day brings a new adventure.
[00:49:32.000 --> 00:49:37.000]   Welcome to Park City, Utah.
[00:49:37.000 --> 00:49:39.000]   Naturally, winter's favorite town.
[00:49:39.000 --> 00:49:44.000]   Join the experience at visitparkcity.com.

