
[00:00:00.000 --> 00:00:24.000]   Brian Armstrong.
[00:19:26.000 --> 00:19:28.000]   Only somebody who wants to minimize the market
[00:19:28.000 --> 00:19:31.000]   would create a nine-step process to be able to do something.
[00:19:31.000 --> 00:19:34.000]   Because the average smart person would say, "That should be two steps.
[00:19:34.000 --> 00:19:36.000]   That should be one click."
[00:19:36.000 --> 00:19:40.000]   But doesn't a lot of that complexity arise from the sort of--
[00:19:40.000 --> 00:19:43.000]   the substrate, which is you're building on top of blockchains,
[00:19:43.000 --> 00:19:49.000]   and people want that decentralized, like trustless sort of layer?
[00:19:49.000 --> 00:19:50.000]   I mean, isn't that--
[00:19:50.000 --> 00:19:53.000]   I mean, I think all these companies could be doing a much better job with UI.
[00:19:53.000 --> 00:19:58.000]   I agree it's a problem, but does it arise from the limitations of the tech stack?
[00:19:58.000 --> 00:20:02.000]   Yeah, well, remember, it's just like people used to only write desktop software,
[00:20:02.000 --> 00:20:04.000]   like Microsoft Office, and then Google came along and they're like,
[00:20:04.000 --> 00:20:06.000]   "Hey, what if we could do everything in a browser?"
[00:20:06.000 --> 00:20:10.000]   And Google Docs and Sheets was initially way worse than a desktop software.
[00:20:10.000 --> 00:20:14.000]   It was always going to be slower because you're building on a web stack and all this.
[00:20:14.000 --> 00:20:17.000]   And the tools got better and JavaScript engines got better,
[00:20:17.000 --> 00:20:19.000]   and I think that's the-- broadband happened.
[00:20:19.000 --> 00:20:21.000]   I think that's the era that crypto is going through,
[00:20:21.000 --> 00:20:24.000]   and it's our responsibility as the companies in the space to make this happen.
[00:20:24.000 --> 00:20:26.000]   No one's going to do it for us.
[00:20:26.000 --> 00:20:28.000]   There's all these competing protocols.
[00:20:28.000 --> 00:20:29.000]   There's big egos. There's personalities.
[00:20:29.000 --> 00:20:35.000]   We've got to come together, make the tools simpler, integrate them, make them interoperable.
[00:20:35.000 --> 00:20:40.000]   This is where I feel like I could have done so much more over the last five years.
[00:20:40.000 --> 00:20:42.000]   Same happened in hardware earlier.
[00:20:42.000 --> 00:20:43.000]   What's that?
[00:20:43.000 --> 00:20:45.000]   Same happened in hardware early on.
[00:20:45.000 --> 00:20:47.000]   And one of the big things I always try to do--
[00:20:47.000 --> 00:20:49.000]   I know we have these court cases going on and stuff like that,
[00:20:49.000 --> 00:20:52.000]   but I always try to make sure-- and I tell the team this too--
[00:20:52.000 --> 00:20:54.000]   is we have great lawyers.
[00:20:54.000 --> 00:20:57.000]   5% of our resources is going to go deal with that and make sure that's not an issue.
[00:20:57.000 --> 00:20:59.000]   95% of us are here to build products.
[00:20:59.000 --> 00:21:00.000]   Let's never lose sight of that.
[00:21:00.000 --> 00:21:02.000]   Otherwise, we just become some lawsuit company.
[00:21:02.000 --> 00:21:03.000]   What is the product?
[00:21:03.000 --> 00:21:05.000]   I'm going to ask you a question before I ask you.
[00:21:05.000 --> 00:21:07.000]   Does your mom use Coinbase?
[00:21:07.000 --> 00:21:08.000]   Yeah.
[00:21:08.000 --> 00:21:09.000]   But she's my mom.
[00:21:09.000 --> 00:21:10.000]   But she's your mom.
[00:21:10.000 --> 00:21:11.000]   Okay, yeah.
[00:21:11.000 --> 00:21:14.000]   But do you think if you weren't the founder and CEO, would your mom use it?
[00:21:14.000 --> 00:21:19.000]   Meaning not out of love, but out of necessity or need or interest?
[00:21:19.000 --> 00:21:20.000]   Yeah.
[00:21:20.000 --> 00:21:22.000]   We've had over 100 million people sign up globally.
[00:21:22.000 --> 00:21:26.000]   A lot of them are-- the biggest demographic is-- excuse younger.
[00:21:26.000 --> 00:21:29.000]   It's people in the 25- to 35-year-old bracket.
[00:21:29.000 --> 00:21:31.000]   Initially, the users were often doing--
[00:21:31.000 --> 00:21:33.000]   they wanted to just own a piece of the future,
[00:21:33.000 --> 00:21:34.000]   and it was some trading thing.
[00:21:34.000 --> 00:21:38.000]   Now about half our active customers do something other than trading.
[00:21:38.000 --> 00:21:40.000]   And it runs the gamut.
[00:21:40.000 --> 00:21:42.000]   They're spending crypto with Coinbase Card.
[00:21:42.000 --> 00:21:44.000]   They're earning staking rewards.
[00:21:44.000 --> 00:21:47.000]   They're starting to engage in some of these dApps
[00:21:47.000 --> 00:21:48.000]   and doing payments with stable coins.
[00:21:48.000 --> 00:21:50.000]   But it's a wide range of things.
[00:21:50.000 --> 00:21:53.000]   Where I'm going with this is do you try to allocate resources inside your company
[00:21:53.000 --> 00:21:56.000]   to answer that use case, which is, all right, folks,
[00:21:56.000 --> 00:21:58.000]   we have this core, fervent, obvious demo,
[00:21:58.000 --> 00:22:03.000]   and we can always grow with that demo and wait for that demo to be 50 years old,
[00:22:03.000 --> 00:22:05.000]   but that's going to take 30 years.
[00:22:05.000 --> 00:22:08.000]   Instead, we have to get that 50-year-old today.
[00:22:08.000 --> 00:22:11.000]   What is it that he or she actually wants or needs that they'll actually adopt?
[00:22:11.000 --> 00:22:15.000]   And then all of a sudden 100 million users can become 500, can become 2 billion.
[00:22:15.000 --> 00:22:16.000]   Absolutely.
[00:22:16.000 --> 00:22:19.000]   I do think that is our responsibility, and that's what I'm pushing people internally on.
[00:22:19.000 --> 00:22:24.000]   And we need to drive the utility of crypto because if it's just the speculative thing,
[00:22:24.000 --> 00:22:25.000]   for what?
[00:22:25.000 --> 00:22:27.000]   I didn't get into this because of trading.
[00:22:27.000 --> 00:22:28.000]   I'm not really like a trader.
[00:22:28.000 --> 00:22:31.000]   I got into it because I wanted there to be a more open and fair
[00:22:31.000 --> 00:22:34.000]   and free financial system for the world that reduced friction,
[00:22:34.000 --> 00:22:37.000]   allowed new businesses, capital formation, all these things to happen,
[00:22:37.000 --> 00:22:40.000]   take out the middlemen who are just charging all these fees.
[00:22:40.000 --> 00:22:41.000]   So that's what I want to get to.
[00:22:41.000 --> 00:22:43.000]   Are you tempted to then go outside the U.S.?
[00:22:43.000 --> 00:22:46.000]   Because then when you say that, I think most people would say,
[00:22:46.000 --> 00:22:50.000]   "Oh, go to India and sit on top of UPI, go to Africa."
[00:22:50.000 --> 00:22:52.000]   So how do you maintain that focus?
[00:22:52.000 --> 00:22:54.000]   Yeah, so we are definitely focused on international expansion.
[00:22:54.000 --> 00:22:58.000]   I just wanted to make the point clear we're not giving up the home base.
[00:22:58.000 --> 00:22:59.000]   But, yeah, there's a lot.
[00:22:59.000 --> 00:23:03.000]   We just launched in Canada last month.
[00:23:03.000 --> 00:23:06.000]   We just launched an international exchange earlier this year,
[00:23:06.000 --> 00:23:08.000]   which I think will help us get to a wide range of markets.
[00:23:08.000 --> 00:23:12.000]   Our self-custodial wallet could do better in emerging markets.
[00:23:12.000 --> 00:23:14.000]   India is its own challenge.
[00:23:14.000 --> 00:23:16.000]   We launched and it got shut down three days later,
[00:23:16.000 --> 00:23:18.000]   and we're going to try to relaunch it again.
[00:23:18.000 --> 00:23:21.000]   So we need to get it there in emerging markets too.
[00:23:21.000 --> 00:23:23.000]   Brian, while we have a few minutes,
[00:23:23.000 --> 00:23:26.000]   can you share with us some of your work outside of Coinbase?
[00:23:26.000 --> 00:23:30.000]   You've been making investments in projects like Research Hub.
[00:23:30.000 --> 00:23:32.000]   You started New Limit.
[00:23:32.000 --> 00:23:34.000]   Maybe share with us if there's a common thread to some of the work
[00:23:34.000 --> 00:23:35.000]   you're doing outside of Coinbase.
[00:23:35.000 --> 00:23:38.000]   Does it connect back or is it entirely distinct?
[00:23:38.000 --> 00:23:40.000]   Yeah, well, I mean, the thing I get excited about is
[00:23:40.000 --> 00:23:42.000]   how do we accelerate progress in the world?
[00:23:42.000 --> 00:23:46.000]   And I think technology, innovation, some of the regulatory challenges,
[00:23:46.000 --> 00:23:47.000]   all the stuff you guys talk about,
[00:23:47.000 --> 00:23:50.000]   it's part of the reason why I love the pod is like this is a unique voice
[00:23:50.000 --> 00:23:53.000]   in the world that is pro-builder, pro-crypto.
[00:23:53.000 --> 00:23:54.000]   It's like we can change--
[00:23:54.000 --> 00:23:56.000]   He legit listens to the pod, by the way.
[00:23:56.000 --> 00:24:00.000]   You've been on--you're really the seventh bestie in terms of appearance.
[00:24:00.000 --> 00:24:01.000]   Frequency.
[00:24:01.000 --> 00:24:02.000]   Yeah, in terms of frequency.
[00:24:02.000 --> 00:24:03.000]   You've been on twice.
[00:24:03.000 --> 00:24:06.000]   Anyway, I think that voice is so missing in our society,
[00:24:06.000 --> 00:24:08.000]   and so I just love that you guys have taken the mantle on that.
[00:24:08.000 --> 00:24:12.000]   But, yeah, so anyway, my investments have followed along with that.
[00:24:12.000 --> 00:24:15.000]   Research Hub is trying to make scientific research
[00:24:15.000 --> 00:24:19.000]   more like open-source software and make that more efficient.
[00:24:19.000 --> 00:24:22.000]   New Limit is doing research into longevity with epigenetic reprogramming.
[00:24:22.000 --> 00:24:25.000]   So I'm trying to use my own capital to further this
[00:24:25.000 --> 00:24:28.000]   and just accelerate progress in the world, get people to build more stuff.
[00:24:28.000 --> 00:24:30.000]   And before we wrap, I want to mention one thing.
[00:24:30.000 --> 00:24:35.000]   Everybody clapped when I mentioned the voting situation next year with crypto
[00:24:35.000 --> 00:24:36.000]   and how important that is.
[00:24:36.000 --> 00:24:39.000]   And we created this website, standwithcrypto.org.
[00:24:39.000 --> 00:24:41.000]   Everybody should go check out.
[00:24:41.000 --> 00:24:43.000]   We're trying to get people to raise their hand and say
[00:24:43.000 --> 00:24:45.000]   that they want to stand up in our democracy
[00:24:45.000 --> 00:24:49.000]   and make sure that the right rules get put in place for crypto.
[00:24:49.000 --> 00:24:50.000]   So if people can check out--
[00:24:50.000 --> 00:24:52.000]   Which candidate is the most pro-crypto at this point?
[00:24:52.000 --> 00:24:55.000]   I mean, I know RFK seems to be, right?
[00:24:55.000 --> 00:24:57.000]   Yeah, I mean, it's been interesting--
[00:24:57.000 --> 00:24:59.000]   and, by the way, Coinbase is apolitical,
[00:24:59.000 --> 00:25:02.000]   but if anything in service of our mission around crypto, it's fair game.
[00:25:02.000 --> 00:25:07.000]   But a lot of the challenger presidential candidates have all been pretty pro-crypto.
[00:25:07.000 --> 00:25:09.000]   I mean, the Vake.
[00:25:09.000 --> 00:25:11.000]   I think Tim Scott is good on this.
[00:25:11.000 --> 00:25:12.000]   I think DeSantis is good on this.
[00:25:12.000 --> 00:25:13.000]   I think RFK.
[00:25:13.000 --> 00:25:17.000]   So I'm hoping this becomes a bigger issue in the presidential race.
[00:25:17.000 --> 00:25:20.000]   And, you know, the Biden administration with Warren and Gensler
[00:25:20.000 --> 00:25:23.000]   has not been good for Americans on this dimension,
[00:25:23.000 --> 00:25:25.000]   and it's pushed a lot of tech jobs overseas.
[00:25:25.000 --> 00:25:32.000]   How much of a crater has Sam Bankman fraud put on the industry?
[00:25:32.000 --> 00:25:34.000]   It's definitely not good.
[00:25:34.000 --> 00:25:38.000]   I mean, it reminds me a little bit of Mt. Gox when that happened back in the day.
[00:25:38.000 --> 00:25:41.000]   And luckily, people turn the page on this thing,
[00:25:41.000 --> 00:25:44.000]   and they move on after about a year, and so I think we're coming up on that.
[00:25:44.000 --> 00:25:46.000]   Have you met-- Did you meet with him?
[00:25:46.000 --> 00:25:47.000]   I know he wanted to do business with you.
[00:25:47.000 --> 00:25:51.000]   At what point did you realize this guy was a complete sociopathic fraud?
[00:25:51.000 --> 00:25:57.000]   You know, I wish I could have told you that I knew in advance.
[00:25:57.000 --> 00:25:59.000]   I had met him and spent time with him here and there periodically.
[00:25:59.000 --> 00:26:01.000]   You didn't know, right?
[00:26:01.000 --> 00:26:02.000]   Sorry?
[00:26:02.000 --> 00:26:03.000]   Didn't get a sense when you met him?
[00:26:03.000 --> 00:26:05.000]   No, I got the sense that he was very smart
[00:26:05.000 --> 00:26:08.000]   and that he was perhaps a bit reckless and young,
[00:26:08.000 --> 00:26:11.000]   and I wondered at times, like, where is he getting all this liquidity
[00:26:11.000 --> 00:26:13.000]   to go write these huge checks and everything?
[00:26:13.000 --> 00:26:16.000]   I knew what our budget was, and I was like, I don't know where he was getting the money.
[00:26:16.000 --> 00:26:17.000]   Customer accounts.
[00:26:17.000 --> 00:26:19.000]   Apparently.
[00:26:19.000 --> 00:26:21.000]   Everyone said the same thing about Bernie Madoff, by the way.
[00:26:21.000 --> 00:26:23.000]   No one knew when they met him.
[00:26:23.000 --> 00:26:25.000]   No one meets the guy and says, "I think that guy's a fraud."
[00:26:25.000 --> 00:26:26.000]   And what about CZ?
[00:26:26.000 --> 00:26:29.000]   There's, like, every few months, there's something on Twitter that blows up
[00:26:29.000 --> 00:26:32.000]   about how Binance is just-- there's something amiss.
[00:26:32.000 --> 00:26:33.000]   Yeah.
[00:26:33.000 --> 00:26:35.000]   You know, I don't want to comment on that.
[00:26:35.000 --> 00:26:37.000]   I've met CZ a number of times, too,
[00:26:37.000 --> 00:26:39.000]   and I think he's done a lot of good things for crypto,
[00:26:39.000 --> 00:26:43.000]   but I don't have any inside information into what's going on inside their house,
[00:26:43.000 --> 00:26:44.000]   so we'll have to see.
[00:26:44.000 --> 00:26:48.000]   Ryan, I just want to say, you know, it's very brave, I think, the work you're doing.
[00:26:48.000 --> 00:26:51.000]   Both in terms of-- and we talked about it on the pod.
[00:26:51.000 --> 00:26:54.000]   People can refer to the episode about, you know, the cancel culture
[00:26:54.000 --> 00:26:58.000]   and hysteria, you know, in people's Slack rooms,
[00:26:58.000 --> 00:27:03.000]   and you getting focused and being a mission-driven CEO
[00:27:03.000 --> 00:27:06.000]   that really wants to do good for people in the world who--
[00:27:06.000 --> 00:27:10.000]   You and Toby, the two most seminal business CEO essays of the last two years.
[00:27:10.000 --> 00:27:15.000]   Yeah, and I think you turned the tide and made people really focused on what matters,
[00:27:15.000 --> 00:27:17.000]   which is building products that help humanity,
[00:27:17.000 --> 00:27:18.000]   and for that, we thank you.
[00:27:18.000 --> 00:27:19.000]   Thank you.
[00:27:19.000 --> 00:27:22.000]   [applause]
[00:27:22.000 --> 00:27:48.000]   [music]

