
[00:00:00.000 --> 00:00:15.520]   welcome to the 85th edition of the bogleheads on investing podcast in this episode we're going to
[00:30:49.120 --> 00:30:55.920]   a trump account because it's free money but there's a catch one of them is the investment restrictions you
[00:30:55.920 --> 00:31:01.680]   mentioned the biggest downside i see there's nothing wrong with a free thousand dollars except you can't
[00:31:01.680 --> 00:31:08.880]   get to it till you're 18. it's not like oh i'll take it but i'll pay a penalty no it's a lock box you can't
[00:31:08.880 --> 00:31:15.040]   touch it so i have a feeling some people may be parents that put a thousand in for a newborn and
[00:31:15.040 --> 00:31:19.840]   then all of a sudden the pipe breaks and they need a thousand dollars can't get it till the child is that
[00:31:19.840 --> 00:31:26.080]   you have to wait 18 years to get to any of that money it's only for people that can put the thousand
[00:31:26.080 --> 00:31:31.680]   dollars in and forget about it but i wonder how many people will do it for the thousand dollars thinking
[00:31:31.680 --> 00:31:38.800]   they can touch it you can't touch it for 18 years so that's one downside and the investments u.s
[00:31:38.800 --> 00:31:44.720]   companies are very strict and it's meant to be conservative and nationalist but that's okay but there's
[00:31:44.720 --> 00:31:50.160]   three sources of contributions the government seed i said the child themselves or the parent
[00:31:50.160 --> 00:31:55.680]   the grandparent can put in five thousand employers can put in twenty five hundred the great thing about
[00:31:55.680 --> 00:32:02.000]   the trump accounts forget about the thousand if you're really dedicated to not touching that money
[00:32:02.000 --> 00:32:06.240]   let's say you have a new child here you get the thousand you can put another five thousand in
[00:32:06.240 --> 00:32:12.560]   even though the child isn't working because he's lazy he's just born and he's not working yet how is
[00:32:12.560 --> 00:32:19.520]   that possible but remember with iras to put money in an ira you have to have compensation wages or
[00:32:19.520 --> 00:32:26.480]   self-employment income this you don't have to have compensation so you can keep putting money in for
[00:32:26.480 --> 00:32:33.920]   all the early years of a child's life up to 18 5 000 a year so you can really compound wealth if you're
[00:32:33.920 --> 00:32:40.160]   okay saying we're gonna load this account up i'm not touching it because you can't touch it until the child
[00:32:40.160 --> 00:32:46.320]   turns 18. i'm curious ed any thoughts on the practical considerations of having an 18 year old inherit
[00:32:46.320 --> 00:32:52.320]   whatever amount that's going to grow to 18 years from now well that's a problem too it's their money
[00:32:52.320 --> 00:32:57.680]   that's why some people put it in a trust or something even the uniform gifts to minors or
[00:32:57.680 --> 00:33:02.640]   transfers to minors it's there when they're no longer a minor so i guess you have to educate your
[00:33:02.640 --> 00:33:08.320]   kids you do what i did i had accounts for my kids they're in their 30s they still don't know about
[00:33:08.320 --> 00:33:12.960]   it that is not the first time i've heard that and i've got it covered too nobody can find out because
[00:33:12.960 --> 00:33:18.080]   i do their taxes yeah that's certainly something i encourage folks to think about whether it's the
[00:33:18.080 --> 00:33:25.600]   trump account or the account ugma custodial roth ira also pretty common i would say it's a good bet for
[00:33:25.600 --> 00:33:31.440]   the i don't know the first 12 to 15 years of the child's life why do they even need to know they have
[00:33:31.440 --> 00:33:36.800]   an account i work with someone once and that was their plan and then they were getting statements in
[00:33:36.800 --> 00:33:40.800]   the mail and then the kid came home and the kid was you know an adult right the adult came home and
[00:33:40.800 --> 00:33:45.840]   they saw the statement and you know they said you know hey dad what is this and at that point the dad
[00:33:45.840 --> 00:33:51.120]   had to turn the account over but he had the same strategy as it sounds like most folks just don't tell
[00:33:51.120 --> 00:33:56.640]   the kid about it which is right obviously given that anecdote doesn't always necessarily work
[00:33:57.520 --> 00:34:05.440]   any thoughts on the commenter's question with respect to ordinary income tax treatment on what
[00:34:05.440 --> 00:34:10.560]   would otherwise receive long-term capital gain treatment well that's true yeah it's going to be
[00:34:10.560 --> 00:34:15.360]   ordinary income tax on the earnings which will be a lot normally we say well the earnings are the smaller
[00:34:15.360 --> 00:34:21.360]   part but compounding over many years yes there will be earnings and you make money so yeah you could
[00:34:21.360 --> 00:34:28.080]   put it in a stock account and get capital gains that's true and for those folks who want to nerd
[00:34:28.080 --> 00:34:35.600]   out more on the issue of having the stocks which would otherwise qualify for long-term capital gain
[00:34:35.600 --> 00:34:42.080]   rates be taxed at the ordinary if held in a tax-deferred account michael kipsis has a phenomenal article
[00:34:42.080 --> 00:34:49.440]   on the subject and it almost sort of debunks the issue because michael points out yes stock funds
[00:34:49.440 --> 00:34:54.560]   normally tax efficient because they are taxed at lower rate they're still not perfectly tax efficient
[00:34:54.560 --> 00:35:02.160]   because they still have that dividend tax drag and on a long enough timeline because of that dividend
[00:35:02.160 --> 00:35:08.240]   tax drag it might actually make sense to put something like a stock fund in a tax-deferred account because
[00:35:08.240 --> 00:35:14.320]   you eventually will have more wealth even after taxes by shielding that annual dividend tax drag
[00:35:14.320 --> 00:35:18.640]   with that tax referral mechanism that you get with that ira again i'll link to the article in the show
[00:35:18.640 --> 00:35:24.240]   notes for folks who want to nerd out on that subject that reminds me of another point on the other side
[00:35:24.240 --> 00:35:29.120]   to the stock account and this goes way out because we're talking about kids so who knows what the
[00:35:29.120 --> 00:35:36.240]   rules will be when they die age 90 or 100 or maybe 150 whatever life expectancy will be the benefit
[00:35:36.240 --> 00:35:42.080]   there's a step up in basis on on those you never pay the capital gains tax but you do pay tax on the
[00:35:42.080 --> 00:35:47.840]   dividends absolutely which you have to remember to add to your basis i'm told by the brokers and so
[00:35:47.840 --> 00:35:53.840]   forth they figure that in but just in case they don't i keep track of my all my reinvested dividends
[00:35:53.840 --> 00:35:58.800]   i keep a running total it's easy you go to the 1099s just to make sure if you ever sell a stock
[00:35:58.800 --> 00:36:02.640]   position you're not paying tax on money already paid tax on i know this is something that rick
[00:36:02.640 --> 00:36:07.280]   ferry has advised in the past you want to opt for what's called specific identification with your
[00:36:07.280 --> 00:36:12.800]   custodian at least that's what vanguard calls it and then that's going to help you identify what your
[00:36:12.800 --> 00:36:18.000]   tax lots are how many shares you bought at what cost and when helps you figure out the tax
[00:36:18.000 --> 00:36:22.000]   consequences and helps you with tax planning helps you decide you know which lots you want to share
[00:36:22.000 --> 00:36:26.720]   to optimize your tax planning for the year hey it's low tax here maybe i want to sell you know some of
[00:36:26.720 --> 00:36:32.640]   the stuff with a lower basis first selling stuff with a higher basis during a high tax year given cash
[00:36:32.640 --> 00:36:38.160]   cash needs all right let's jump to charitable contributions slow and steady from bogus forums
[00:36:38.160 --> 00:36:44.400]   asks about this who wants to know what your take is on this new provision the charitable provisions the
[00:36:44.400 --> 00:36:49.760]   benefits the big one the charitable deduction for non-itemizers that doesn't start till next year
[00:36:49.760 --> 00:36:56.880]   everybody gets 2000 married or 1000 and that's also below the line deduction but everybody gets it that
[00:36:56.880 --> 00:36:58.560]   it's not related to income
[00:36:58.560 --> 00:37:08.240]   one more quick clarification ed also mentioned here from the recent tax law change starting in next year
[00:37:08.240 --> 00:37:15.120]   in 2026 you'll be able to deduct cash charitable contributions of up to a thousand dollars for single
[00:37:15.120 --> 00:37:21.040]   filers or two thousand dollars for married filers even if you don't itemize that's a shift from the
[00:37:21.040 --> 00:37:27.280]   prior rules in the past if your itemized deductions including charitable contributions didn't exceed the
[00:37:27.280 --> 00:37:33.920]   standard deduction you likely receive little to no tax benefit for your giving but under this new rule
[00:37:33.920 --> 00:37:41.440]   non-itemizers folks who take the standard deduction which is most people can now get a small deduction
[00:37:41.440 --> 00:37:47.440]   for charitable giving even if they continue taking the standard deduction back to the show
[00:37:47.440 --> 00:37:57.600]   but this brings up another issue to do the charity wait for next year what do you do this year maybe
[00:37:57.600 --> 00:38:07.520]   and you have to tie in the new salt deduction estate and local taxes because more people in high tax states
[00:38:07.520 --> 00:38:14.720]   because of this law will now be qualifying to itemize their deductions so more people can take more
[00:38:14.720 --> 00:38:21.360]   charitable contributions if you're in a high tax state like where i am in new york new jersey california
[00:38:21.360 --> 00:38:29.360]   so if you're in a high tax state you're probably going to start itemizing your real estate taxes and
[00:38:29.360 --> 00:38:35.440]   state taxes you can go up to forty thousand dollars you can put in mortgage interest charitable deductions and
[00:38:35.440 --> 00:38:41.520]   other deductions that you may have so you can really do well with itemizing and i may take the deductions
[00:38:41.520 --> 00:38:48.080]   they're talking about take more of that now again while you're able to itemize now if you're in a
[00:38:48.080 --> 00:38:54.480]   state that doesn't have any state tax like florida texas and some of those that's not an issue for you but
[00:38:54.480 --> 00:39:00.240]   also next year even if you do itemize and this may be a reason for some people to do their charitable
[00:39:00.240 --> 00:39:05.600]   planning now while they can itemize and also if your charitable deduction is large enough that might
[00:39:05.600 --> 00:39:11.360]   get you into the itemizers club anyway what i mean where the itemized deduction is higher than that you
[00:39:11.360 --> 00:39:16.720]   would have got from the standard deduction so if that gets you into the club you're better off doing it
[00:39:16.720 --> 00:39:23.680]   this year because next year your deductions are limited if you're a high earner number one charitable
[00:39:23.680 --> 00:39:30.800]   deductions have this point five percent floor half of one percent people say oh that's nothing let me
[00:39:30.800 --> 00:39:36.720]   give you an example if you think that's nothing let's say you make four hundred thousand a nice w-2
[00:39:36.720 --> 00:39:42.800]   so the first two thousand dollars of charitable deductions you don't get so let's say that person
[00:39:42.800 --> 00:39:47.760]   makes a two thousand dollar charitable gift and goes to itemize they don't get that deduction
[00:39:47.760 --> 00:39:54.480]   so it doesn't sound like a big number point five percent but if you have a high income and you're making
[00:39:54.480 --> 00:40:00.640]   relatively low and i'm not saying two thousand is a low deduction but you'll lose it and then if you're in
[00:40:00.640 --> 00:40:06.080]   the top bracket in the 37 percent bracket and again these things i'm talking about happen next year so
[00:40:06.080 --> 00:40:12.800]   you may want to front load your charity and bunch them into this year next year if you're in a 37 percent
[00:40:12.800 --> 00:40:20.800]   bracket you only get a tax deduction for all your itemized deductions including charity worth 35 percent
[00:40:20.800 --> 00:40:27.040]   you don't get to deduct 37 cents on the dollar so for the charity i would look at what you can put in
[00:40:27.040 --> 00:40:33.440]   this year well there's no restrictions and you may be able to itemize because of the soft deduction or
[00:40:33.440 --> 00:40:40.000]   if not if you're in a low tax state because you're giving a lot and we just had phil demuth on a
[00:40:40.000 --> 00:40:45.680]   previous episode of bogle heads on investing talking about some charitable gifting strategies i'll link to
[00:40:45.680 --> 00:40:50.800]   that in the show notes for folks who want to check that out i will tell you another thing that he picked
[00:40:50.800 --> 00:40:56.880]   up on it was in the wall street journal last week i believe for those who i said qualify now for
[00:40:56.880 --> 00:41:04.960]   the forty thousand dollar soft deduction state and local taxes the extra 40 it go went from 10 to 40
[00:41:04.960 --> 00:41:12.240]   that 30 additional that's what you got in the abba law it cuts off when income goes over 500 000 it
[00:41:12.240 --> 00:41:19.280]   starts phasing out what he pointed out in that article is that once you're in that 500 000 at 600 000 you
[00:41:19.280 --> 00:41:26.720]   lose it completely so it's not most people but if you're in the 500 000 to 600 000 the tax
[00:41:26.720 --> 00:41:34.800]   because of the phase out in that last 100 000 of income is actually 45.5 percent
[00:41:34.800 --> 00:41:41.040]   because of the loss of that 30 000 salt you don't lose the whole salt deduction it goes back to the
[00:41:41.040 --> 00:41:49.680]   10 000 but that loss it's like a domino effect the loss of that 30 000 not only puts you in a higher rate
[00:41:49.680 --> 00:41:56.800]   but you lose the 30 000 which in turn puts you into a 35 percent bracket so you lose there too and
[00:41:56.800 --> 00:42:06.720]   that's how you get a 45.5 tax rate on that hundred thousand okay let's talk about the value of comparing
[00:42:06.720 --> 00:42:11.760]   roth conversions or having traditional dollars in retirement this question comes from username
[00:42:11.760 --> 00:42:18.480]   jbtx from the bullguts forums who writes is there value in holding a certain amount of money in
[00:42:18.480 --> 00:42:24.560]   traditional dollars to fill up lower tax brackets down the road or if one has high medical expenses in
[00:42:24.560 --> 00:42:32.000]   the future in which point it'll be good to have taxable income to offset that deduction should i keep some
[00:42:32.000 --> 00:42:39.120]   traditional iras that's a great question and the answer is yes for several reasons you have high
[00:42:39.120 --> 00:42:45.120]   standard deductions even if you're not itemizing or you may have itemized you want some of that income
[00:42:45.120 --> 00:42:52.480]   to come out tax-free also you may have medical expenses you want to use taxable money to get an offset
[00:42:52.480 --> 00:42:59.520]   a big reason is if you're charitably inclined and you can take advantage of qcd's qualified charitable
[00:42:59.520 --> 00:43:07.120]   distributions only available to traditional ira owners over 70 and a half iras are the worst assets
[00:43:07.120 --> 00:43:13.600]   because of the tax law well they're also the best assets if you give them away because they're so lousy
[00:43:13.600 --> 00:43:20.560]   tax-wise give them to somebody else but the charity doesn't pay taxes so iras are the best assets to give
[00:43:20.560 --> 00:43:28.400]   to charity and you can do that now by making a direct transfer from your ira to a qualified charity
[00:43:28.400 --> 00:43:36.560]   the amount is up to 108 000 with inflation increases so that's a great way to give to charity i never say
[00:43:36.560 --> 00:43:42.720]   just to be clear to give to charity for the tax benefits you give because you want to give that's
[00:43:42.720 --> 00:43:49.520]   really the reason because anybody i ever saw that did it for tax reasons was always unhappy when they
[00:43:49.520 --> 00:43:56.320]   realized they actually had to give the property away what do you mean i thought i just get a tax benefit
[00:43:56.320 --> 00:44:01.360]   so you have to want to give that's why i use the term charitably inclined but if you're giving anyway
[00:44:01.360 --> 00:44:09.280]   if you qualify for qcds give through your ira you're giving anyway but now you get a benefit and that benefit
[00:44:09.280 --> 00:44:16.880]   is one of those above the line deductions that reduces agi it can also offset the income from your rmd your
[00:44:16.880 --> 00:44:24.000]   required minimum distribution that's the way to give but you'd need the traditional ira balance to do it
[00:44:24.000 --> 00:44:31.120]   so if you're saying well i converted everything to a roth i don't want to really have rmd income and
[00:44:31.120 --> 00:44:36.960]   during my life my plan is to give a hundred thousand to charity so keep a hundred thousand or so in your ira
[00:44:36.960 --> 00:44:43.360]   little by little as as rmds come out give it to charity and nobody pays the tax all right let's
[00:44:43.360 --> 00:44:49.920]   talk about some tax changes with regards to roth accounts this one is from you the name lie rad from
[00:44:49.920 --> 00:44:55.760]   the little guys forums who asked what's a good way to think about possible future tax law changes and how
[00:44:55.760 --> 00:45:02.400]   it should affect how much should be converted to roth i think one thing that the user is trying to get out
[00:45:02.400 --> 00:45:08.880]   here is that we don't know what the future holds so how do you plan how do you do tax planning
[00:45:08.880 --> 00:45:15.920]   oh it's easy you plan with things you know you know what today's tax rates are that's why i said you
[00:45:15.920 --> 00:45:21.760]   can lock in lower rates and you can control the taxes you pay you can control how much you're going
[00:45:21.760 --> 00:45:29.360]   to use the 22 of the 24 bracket hit it while you can control it we have another question from the
[00:45:29.360 --> 00:45:37.440]   booklets community this one pits your favorite roth accounts against the hsa the health savings account
[00:45:37.440 --> 00:45:43.200]   and the user asked if i have a thousand dollars to invest which one should i put my money in a roth ira
[00:45:43.200 --> 00:45:51.440]   or an hsa i still like the roth because the roth has no restrictions the actual original contributions
[00:45:51.440 --> 00:45:59.200]   most people don't realize this can be withdrawn any time for any reason tax and penalty free not the
[00:45:59.200 --> 00:46:05.280]   earnings the actual contributions so they could be used for education or anything you could use it to
[00:46:05.280 --> 00:46:11.680]   bet on a horse i mean you can use it for anything hsa's on the other hand is an amazing account because of
[00:46:11.680 --> 00:46:17.920]   the triple tax benefit you get a deduction on the way in you get a deferral on the income it
[00:46:17.920 --> 00:46:25.040]   generates and if you use it for qualified expenses it's tax free and people are using it as another
[00:46:25.040 --> 00:46:31.040]   type of retirement account but what i'm seeing happening people have too much in these accounts
[00:46:31.040 --> 00:46:36.560]   that they'll never spend and then you get hit with a big tax at the end or at death people are really
[00:46:36.560 --> 00:46:41.600]   hitting these things hard so you have to balance i would definitely take advantage of the hsa
[00:46:42.400 --> 00:46:47.360]   if you don't already have one because there will be medical expenses no question about that
[00:46:47.360 --> 00:46:53.920]   but you're limited to using it just for those so i would say you know all right a hundred two hundred
[00:46:53.920 --> 00:47:00.160]   thousand after that i know expenses can get high but you should start really diversifying and have
[00:47:00.160 --> 00:47:05.600]   more in the roth that can be used for anything and another benefit of making hsa contributions at least
[00:47:05.600 --> 00:47:11.280]   through an employer is you got to avoid payroll tax so there's an additional tax savings there right
[00:47:11.280 --> 00:47:18.160]   yeah that is a big ben there are big benefits and for folks who aren't super tax nerds a popular
[00:47:18.160 --> 00:47:23.840]   strategy is to contribute to a health savings account and then don't spend the money immediately for
[00:47:23.840 --> 00:47:29.360]   qualifying medical expenses rather you're going to invest the money in that account and then spend
[00:47:29.360 --> 00:47:35.520]   that later in life once that money's had a chance to grow tax-free all right let's jump to another
[00:47:35.520 --> 00:47:42.560]   question from the bulkheads community this question comes from username sc9182 from the forums who asks
[00:47:42.560 --> 00:47:48.640]   once you finish converting all your tax-deferred traditional dollars to roth dollars what is your
[00:47:48.640 --> 00:47:55.200]   next tax move well two things we just talked about maybe it's not a good idea to convert everything to
[00:47:55.200 --> 00:48:01.040]   hold back some traditional iras for tax risk diversification using up low brackets and standard
[00:48:01.040 --> 00:48:08.800]   deductions each year or for qcds those charitable or for medical bills that may pop up so let's say you did
[00:48:08.800 --> 00:48:14.560]   everything in the roth you did all of that i love i'm going to say the cash value life insurance because
[00:48:14.560 --> 00:48:20.880]   to me it's like a super roth the income tax exclusion the tax-free feature of life insurance
[00:48:20.880 --> 00:48:28.240]   is the single biggest benefit in the tax code and i would load up there especially a cash value policy
[00:48:28.240 --> 00:48:33.200]   that you could draw from if you need it during life most people say they don't want to do it or if they
[00:48:33.200 --> 00:48:38.400]   don't want to do it they say well i know about the death benefit most people don't realize they has
[00:48:38.400 --> 00:48:45.600]   lifetime benefits i have this myself i have a cash value policy because i'm all wrought out also i have
[00:48:45.600 --> 00:48:52.880]   a cash value policy but it has a long-term care rider i love that feature if i ever needed money for
[00:48:52.880 --> 00:48:58.160]   long-term care it could take it right out of the policy so what the kids get less who cares about
[00:48:58.160 --> 00:49:03.360]   them anyway they're going to get plenty so last thing i want to worry about is if i need that high
[00:49:03.360 --> 00:49:08.800]   medical bills the nursing home and all of that that kind of extended medical care the last thing i want
[00:49:08.800 --> 00:49:14.080]   to do is rely on my kids to come up with the thousands of dollars needed for my care every month
[00:49:14.080 --> 00:49:19.200]   i want to know it's taken care of and i think everybody else should know that too so i took care
[00:49:19.200 --> 00:49:24.800]   of it for myself and again i do not sell life insurance i have never sold any financial products
[00:49:24.800 --> 00:49:30.560]   i don't sell stocks bonds funds insurance annuity none of that i'm not an insurance professional i'm a
[00:49:30.560 --> 00:49:35.520]   tax advisor always check this with your own insurance professionals let's jump to another
[00:49:35.520 --> 00:49:43.280]   question from the bullheads community this question is about designating a trust as a beneficiary of an
[00:49:43.280 --> 00:49:50.000]   ira this user wants to know what the downsides are of that approach and what individual should consider
[00:49:50.000 --> 00:49:57.680]   if they are bequeathing to either eligible designated beneficiaries and or spendthrifts here's how i answer
[00:49:57.680 --> 00:50:03.920]   because i get this question all the time when should i name a trust as my ira beneficiary or when should i
[00:50:03.920 --> 00:50:09.680]   name a trust for anything and my answer is always the same when should you name a trust when you don't
[00:50:09.680 --> 00:50:15.040]   trust because if you trusted them you wouldn't need a trust so i should have called it a don't trust that's
[00:50:15.040 --> 00:50:20.800]   when you name a trust when you don't trust and there are reasons you could have minor beneficiaries
[00:50:20.800 --> 00:50:26.080]   that can't handle money you can have even older adult children that also can't handle money they may be
[00:50:26.080 --> 00:50:32.000]   addicts they have gambling and drug addiction horrible things divorce bankruptcy if you're in the category
[00:50:32.000 --> 00:50:37.440]   you say i need a trust for this post-death control and protection you're not doing it for tax reasons
[00:50:37.440 --> 00:50:42.640]   if anything the taxes could be higher in their trust you're doing it for personal reasons control
[00:50:42.640 --> 00:50:48.560]   reasons and that's a good reason so for those people that have those issues do everything you can if it's
[00:50:48.560 --> 00:50:53.760]   that important to you convert that whole ira and it's probably a large one that's why you're worried
[00:50:53.760 --> 00:51:01.760]   about it to a roth ira and leave the roth ira to the trust the roth ira is the better asset to leave to
[00:51:01.760 --> 00:51:09.040]   the trust because you eliminate the whole trust tax problem and the taxes to the beneficiaries two has
[00:51:09.040 --> 00:51:14.720]   to come out at the end of 10 years after death or if it's an edb they can stretch it but you eliminate
[00:51:14.720 --> 00:51:20.640]   the tax this gives you the freedom to use that trust that ties up the money and holds it back from the
[00:51:20.640 --> 00:51:27.200]   beneficiary without worrying about trust taxes or better yet take the money out and put it in a life
[00:51:27.200 --> 00:51:32.560]   insurance policy and leave the insurance to an insurance trust there you don't even have to
[00:51:32.560 --> 00:51:39.120]   worry about rmd rules complicated tax rules you make your own rules you get your own customized plan
[00:51:39.120 --> 00:51:46.560]   and there's no tax so you want tax-free vehicles going to a trust so to be clear i'm saying yes some
[00:51:46.560 --> 00:51:54.160]   people need a trust but the ira is a disaster tax-wise leaving a traditional ira to a trust don't do it
[00:51:54.160 --> 00:52:00.400]   if they need a trust use a roth ira which means taking the money and paying the tax now but remember
[00:52:00.400 --> 00:52:07.760]   it's not if but when this tax will be paid possibly at much higher rates you're paying a tax now that
[00:52:07.760 --> 00:52:13.760]   will have to be paid anyway may as well get it off the table and then you have the plan you want leaving
[00:52:13.760 --> 00:52:19.520]   a roth to a trust or the life insurance to the trust and don't do the life insurance to the ira
[00:52:19.520 --> 00:52:25.040]   distribution going to the life insurance if you're under 59 and a half there would be a 10 penalty
[00:52:25.040 --> 00:52:30.080]   there is none with a raw you convert to a roth as long as all the dollars are converted you can leave
[00:52:30.080 --> 00:52:35.440]   the roth to the trust and the reason being to leave those roth dollars to that trust making the conversion
[00:52:35.440 --> 00:52:40.480]   yourself is because that trust is going to reach those higher brackets more quickly than you will as
[00:52:40.480 --> 00:52:46.480]   an individual or even married filing jointly oh yeah yeah yeah yeah you can control it now but when it goes into
[00:52:46.480 --> 00:52:51.280]   the trust there are no brackets all tax-free same thing with life insurance then you can have your
[00:52:51.280 --> 00:52:56.720]   customized plan you can put anything you want pretty much in those trusts and our last question looks
[00:52:56.720 --> 00:53:04.240]   like it's a fun one from david who asks about the what you call the greatest benefit in the tax code the
[00:53:04.240 --> 00:53:10.960]   greatest single benefit in the tax code is the tax exemption for life insurance it's just unbelievable that
[00:53:10.960 --> 00:53:17.040]   you can accumulate this kind of large amounts of money it's like a super roth and it's all tax-free
[00:53:17.040 --> 00:53:22.240]   and it can even be estate tax-free because life insurance can be on the outside of your estate in
[00:53:22.240 --> 00:53:28.640]   an irrevocable trust there's nothing like it and again i don't sell the product i have it myself because
[00:53:28.640 --> 00:53:33.360]   it's a great product everything that we talked about on this show which is why i get so passionate about
[00:53:33.360 --> 00:53:38.720]   it i've done for myself and my family all roth all the life insurance all of these things
[00:53:38.720 --> 00:53:44.640]   and ed we'll see you at the bowheads conference this year i hope to see everybody have great questions
[00:53:44.640 --> 00:53:51.120]   smart questions too it's a smart audience that's what i'm looking forward to i hope to see you all there
[00:53:51.120 --> 00:53:59.520]   it's in san antonio home of the alamo october 17th through 19th and i'm speaking on the 18th don't miss that
[00:53:59.520 --> 00:54:04.240]   session you'll love it and thank you so much for your time no you're great yeah you're a great
[00:54:04.240 --> 00:54:10.880]   question on that 199a the qbi deduction on how the roth affects uh most cpas don't pick up on that
[00:54:10.880 --> 00:54:14.880]   that was brilliant a lot of people always talk about you know shove those traditional dollars
[00:54:14.880 --> 00:54:20.320]   in for self-employed and like i don't want to give up qbi i love qbi s-corps same thing i think about
[00:54:20.320 --> 00:54:25.360]   escort a lot of people are bullish on s-corps i'm like well you're gonna lose qbi and you're also
[00:54:25.360 --> 00:54:28.880]   looking at a smaller social security benefit as well can't help but think about that when
[00:54:28.880 --> 00:54:34.720]   people mention the s-corps strategy yeah it's a big deduction and it got extended and improved
[00:54:34.720 --> 00:54:40.160]   next year with larger brackets larger phase out ranges all right good yeah we covered a lot of
[00:54:40.160 --> 00:54:48.400]   great stuff yeah i'll see you there remember the alamo thank you for listening to the 85th
[00:54:48.400 --> 00:54:56.560]   bogelheads on investing podcast rick ferry will return next month for the 86th episode in the
[00:54:56.560 --> 00:55:04.400]   meantime visit bogelcenter.net bogelheads.org the bogelheads wiki bogelheads twitter bogelheads
[00:55:04.400 --> 00:55:11.440]   youtube bogelheads facebook bogelheads reddit join one of your local bogelheads chapters and get others to
[00:55:11.440 --> 00:55:19.520]   join also be sure to like subscribe and leave a review on your favorite podcast platform and thank
[00:55:19.520 --> 00:55:36.880]   you for listening i look forward to seeing you all at the conference later this year

