
[00:00:00.000 --> 00:00:08.000]   I am recording now so, but please keep talking. Don't be shy, Serada. It's okay.
[00:40:29.000 --> 00:40:45.000]   So then for embeddings, I guess that's where we'd cover the collaborative filtering, collaborative filtering, because that's like a really nice version of embeddings.
[00:40:45.000 --> 00:40:53.000]   So I guess the question is, for those who have done the course before, are there any other topics?
[00:40:53.000 --> 00:41:00.000]   I guess like time permitting, it would be nice to look at like the conf net, what a conf net is.
[00:41:00.000 --> 00:41:13.000]   Just kind of say that. So then we've got like the outputs, the inputs, and then the middle.
[00:41:13.000 --> 00:41:18.000]   What about more NLP stuff? I know people like what?
[00:41:18.000 --> 00:41:21.000]   Well, I've heard that.
[00:41:21.000 --> 00:41:26.000]   I can face is going to integrate it with past day I may be looking at that how it works.
[00:41:26.000 --> 00:41:33.000]   Well, it's not done yet. So you can't do that yet, but definitely in part two.
[00:41:33.000 --> 00:41:47.000]   I got a question. I don't know if it's helpful, but there's a lot of emphasis on outputs and inputs. But like in the middle, just understanding like the outputs of a hidden layer, whether they're going awry or not, how do you kind of debug that?
[00:41:47.000 --> 00:41:51.000]   How do you understand when to kind of look at that?
[00:41:51.000 --> 00:41:55.000]   Yeah, very helpful.
[00:41:55.000 --> 00:42:18.000]   Last time we did a part two, we did a very deep dive into that. And I think we should do that again in a part two, because like most people won't have to debug that because if you're using an off-the-shelf model, you know, like it's, you know, with off-the-shelf initializations, that shouldn't happen.
[00:42:18.000 --> 00:42:23.000]   So it's probably more of an advanced debugging technique, I would say.
[00:42:23.000 --> 00:42:42.000]   But yeah, if you're interested in looking at it now, definitely check out our previous part two, because we did a very deep dive into that and developed the so-forth colorful dimension plot, which is absolutely great for that.
[00:42:42.000 --> 00:42:46.000]   Yeah.
[00:42:46.000 --> 00:42:52.000]   So that would exactly, so collaborative filtering would lead us exactly into that. Thank you.
[00:42:52.000 --> 00:42:55.000]   Yeah, sorry, Sarada.
[00:42:55.000 --> 00:43:13.000]   Do you like to spend finally talking about the importance of the ethical side? At least you point to the resources Rachel prepared before, so I think people, because it's so easy to build a model, but how to apply is getting more scary now.
[00:43:13.000 --> 00:43:15.000]   Yes.
[00:43:15.000 --> 00:43:27.000]   Yes, I mentioned in lesson one, the data ethics course, but you're right, it would be nice to kind of like touch on something there, wouldn't it?
[00:43:27.000 --> 00:43:33.000]   A lecture by Rachel from part one before. That was a great lecture.
[00:43:33.000 --> 00:43:51.000]   Yeah, I mean, okay, that actually would be a great thing just to talk about, you know, that that lecture is not at all out of date.
[00:43:51.000 --> 00:43:53.000]   Yes.
[00:43:53.000 --> 00:43:56.000]   So maybe touch on it in this one.
[00:43:56.000 --> 00:44:11.000]   So talk linked to, you know, for varying levels of interest, the two hour version would be Rachel's talk in the 2020 lecture, and then deeper interest you all would be the, yes, the full ethics course.
[00:44:11.000 --> 00:44:22.000]   That's a great point. Thank you.
[00:44:22.000 --> 00:44:32.000]   So then, for, for actually pretty much all of these things,
[00:44:32.000 --> 00:44:41.000]   we have Excel spreadsheets,
[00:44:41.000 --> 00:44:49.000]   which is fun.
[00:44:49.000 --> 00:44:59.000]   So there's, let's have a look collaborative filtering.
[00:44:59.000 --> 00:45:06.000]   Oh, looks like I've already downloaded that.
[00:45:06.000 --> 00:45:24.000]   Thank you, Jeremy, I will encourage you to continue teaching in Excel. Yesterday, I, on the panel in a data science conference, and when I mentioned I start with Excel actually inspire a lot of people, they want to have a go with data science and learning it.
[00:45:24.000 --> 00:45:27.000]   So please do feedback.
[00:45:27.000 --> 00:45:44.000]   Because there's certainly some people who don't find it useful at all. And they tend to be quite loud about about it so certainly nice to hear that, that feedback.
[00:45:44.000 --> 00:45:48.000]   What bother you, Jeremy. Sorry.
[00:45:48.000 --> 00:45:51.000]   So I thought you didn't let those people get to you.
[00:45:51.000 --> 00:45:58.000]   So, I only pretend that anybody doesn't get to me.
[00:45:58.000 --> 00:46:05.000]   I was gonna back up so I don't say that's that was really great to see. I've only seen it done once before.
[00:46:05.000 --> 00:46:17.000]   And that was in a physicist in Belgium who explained, ready to transfer modeling using Excel, and it was just so nice to see the clarity.
[00:46:17.000 --> 00:46:23.000]   Great. Okay, thank you. I will.
[00:46:23.000 --> 00:46:30.000]   Let's see, so we've got.
[00:46:30.000 --> 00:46:39.000]   So I think these are actually from the 2019 course faster one courses deal one.
[00:46:39.000 --> 00:46:44.000]   So I'm just going to grab them all.
[00:46:44.000 --> 00:46:48.000]   So one thing I don't think we're going to cover this year.
[00:46:48.000 --> 00:47:00.000]   This part one that we will cover in part two is like different optimizers like momentum and Adam and stuff, but I think that's okay because I feel like nowadays.
[00:47:00.000 --> 00:47:03.000]   Just use the default Adam W and it works.
[00:47:03.000 --> 00:47:06.000]   So I don't. I think it's fine.
[00:47:06.000 --> 00:47:11.000]   Not to know too much more than that.
[00:47:11.000 --> 00:47:19.000]   It's, it's a little bit of a technicality nowadays. Yeah.
[00:47:19.000 --> 00:47:31.000]   It used to be something we did in one of the first lessons you know but that was when you kind of had to know it right because you always fiddled around with momentum and blah blah blah.
[00:47:31.000 --> 00:47:55.000]   To me, always like the biggest thing when starting on something is to how to, you know, once I figure out how to read in the data, then, so I'm really grateful that there's such an emphasis in this edition of the course on the reading, you know, data, and, you know,
[00:47:55.000 --> 00:48:05.000]   data, that is something that we also stay on the lookout for just understanding better within the data.
[00:48:05.000 --> 00:48:12.000]   Great. I don't think we did this one anymore, because we kind of have better versions in.
[00:48:12.000 --> 00:48:26.000]   In Jupiter with iPod widgets so we've got this fun convolutions example.
[00:48:26.000 --> 00:48:31.000]   Which I think is still valuable.
[00:48:31.000 --> 00:48:36.000]   Okay, we've got soft max
[00:48:36.000 --> 00:48:41.000]   and cross entropy examples.
[00:48:41.000 --> 00:48:48.000]   And we've got collaborative filtering
[00:48:48.000 --> 00:48:52.000]   interesting wonder what that is.
[00:48:52.000 --> 00:48:55.000]   And then,
[00:48:55.000 --> 00:49:05.000]   also we've got word embeddings.
[00:49:05.000 --> 00:49:19.000]   Embeddings are such a cool and important subject, and it's something that we haven't discussed that much in this course. No, we haven't touched them at all.
[00:49:19.000 --> 00:49:20.000]   Great.
[00:49:20.000 --> 00:49:23.000]   All right.
[00:49:23.000 --> 00:49:27.000]   It feels like a lot to cover.
[00:49:27.000 --> 00:49:30.000]   That we will.
[00:49:30.000 --> 00:49:33.000]   We will do our best.
[00:49:33.000 --> 00:49:41.000]   Okay, I think we're up to our hour so thanks everybody. Nice chat today, and I will
[00:49:41.000 --> 00:49:45.000]   get to work on putting this together.
[00:49:45.000 --> 00:49:47.000]   Have a nice weekend.
[00:49:47.000 --> 00:49:49.000]   Thank you so much.
[00:49:49.000 --> 00:49:51.000]   Thanks.
[00:49:51.000 --> 00:49:53.000]   Everyone.
[00:49:53.000 --> 00:49:57.000]   With and bias video today.
[00:49:57.000 --> 00:50:03.000]   I think six o'clock basement time so with anyone interest.
[00:50:03.000 --> 00:50:11.000]   The guy mentioned he Thomas mentioned you're going to have another US session as well, you can join. Yes, I think there's details on the forum.
[00:50:11.000 --> 00:50:12.000]   Yeah.
[00:50:12.000 --> 00:50:13.000]   Thanks.
[00:50:13.000 --> 00:50:15.000]   See ya.

