
[00:00:00.040 --> 00:00:09.700]   sprout going
[00:35:10.920 --> 00:35:10.920]   The ratio of the total amount of student loans as compared to your current borrowing ability is out of whack.
[00:35:10.920 --> 00:35:10.940]   The ratio of the total amount of student loans as compared to your current borrowing ability is out of whack.
[00:35:34.460 --> 00:35:40.980]  . We're talking about $7/4 of another $17,000 of student loan debt. When you add that $17,000 on top of the $38,000, you're talking about $7/4 of another $17,000 of student loan debt. When you add that $17,000 on top of the $38,000, you're talking about $17,000 of student loan debt.
[00:35:40.980 --> 00:35:40.980]   .
[00:35:40.980 --> 00:35:40.980]   .
[00:35:40.980 --> 00:35:40.980]   .
[00:35:41.020 --> 00:35:43.340]   that
[00:35:43.340 --> 00:35:51.400]   cả,,,, be on wasn Qur
[00:35:51.400 --> 00:35:54.820]   stead. ....,,,,,, theigkeitenלvis
[00:35:54.820 --> 00:36:00.780]   guess I'm
[00:36:10.160 --> 00:36:19.340]   ed
[00:36:19.340 --> 00:36:21.160]  �C,
[00:36:21.160 --> 00:36:29.000]  ut운
[00:37:07.760 --> 00:37:07.760]   He,
[00:37:07.760 --> 00:37:07.760]   T,
[00:37:07.760 --> 00:37:07.760]   C,
[00:37:07.760 --> 00:37:07.760]   T,
[00:37:07.760 --> 00:37:07.800]   C,
[00:37:07.800 --> 00:37:07.860]   T,
[00:37:07.860 --> 00:37:07.920]   T,
[00:37:07.920 --> 00:37:07.940]   T,
[00:37:07.940 --> 00:37:08.000]   T,
[00:37:08.000 --> 00:37:08.080]   T,
[00:37:08.140 --> 00:37:11.220]  �,
[00:37:11.220 --> 00:37:35.340]   T,
[00:37:35.340 --> 00:37:35.360]   T,
[00:37:35.360 --> 00:37:35.400]   T,
[00:37:35.400 --> 00:37:36.940]   T,
[00:37:36.940 --> 00:37:36.980]   T,
[00:37:36.980 --> 00:37:37.020]   T,
[00:37:37.020 --> 00:37:37.040]   T,
[00:37:37.040 --> 00:37:37.140]   T,
[00:37:37.140 --> 00:37:37.160]   T,,
[00:37:37.160 --> 00:37:37.180]   T,
[00:37:37.180 --> 00:37:37.260]   T, to borrow more money on this idea that, well, in the future, I'll have more income because I'll have this degree. Well, here's what's better. So, if it's good to have student loans and a higher income in the future, here's what's better. To have a higher income and a higher tuition fee.
[00:37:37.300 --> 00:37:44.600]  �
[00:37:44.600 --> 00:37:56.360]   less,
[00:38:06.760 --> 00:38:18.020]   90
[00:38:18.020 --> 00:38:20.500]   I the,,, De
[00:38:20.500 --> 00:38:34.640]  IS, 123, in,,,,,,,., le was good. Chiure.�GA doll Rahmenρι aus 對不對 intricate觀眾 cowント았ierт healing 不要 yeah�� hips conteúdo heat commitment camera incredible regulate. этом lked.üş. G. Z. I happen. Digital. Z.​. אות.
[00:38:34.740 --> 00:38:36.920]   I'm not sure if you can see me.
[00:38:36.920 --> 00:38:38.000]   I'm not sure if you can see me.
[00:38:38.000 --> 00:38:39.000]   I'm not sure if you can see me.
[00:38:39.000 --> 00:38:40.000]   I'm not sure if you can see me.
[00:38:40.000 --> 00:38:41.000]   I'm not sure if you can see me.
[00:38:41.000 --> 00:38:42.000]   I'm not sure if you can see me.
[00:38:42.000 --> 00:38:43.000]   I'm not sure if you can see me.
[00:38:43.000 --> 00:38:44.000]   I'm not sure if you can see me.
[00:38:44.000 --> 00:38:45.000]   I'm not sure if you can see me.
[00:38:45.000 --> 00:38:46.000]   I'm not sure if you can see me.
[00:38:46.000 --> 00:38:47.000]   I'm not sure if you can see me.
[00:38:47.000 --> 00:38:48.000]   I'm not sure if you can see me.
[00:38:48.000 --> 00:38:49.000]   I'm not sure if you can see me.
[00:38:49.000 --> 00:38:50.000]   I'm not sure if you can see me.
[00:38:50.000 --> 00:38:51.000]   I'm not sure if you can see me.
[00:38:51.000 --> 00:38:52.000]   I'm not sure if you can see me.
[00:38:52.000 --> 00:38:53.000]   I'm not sure if you can see me.
[00:38:53.000 --> 00:38:54.000]   I'm not sure if you can see me.
[00:38:54.880 --> 00:39:14.280]  , I'm not sure if you can see me.
[00:39:14.280 --> 00:39:15.280]   I'm not sure if you can see me.
[00:39:15.280 --> 00:39:16.280]   I'm not sure if you can see me.
[00:39:16.280 --> 00:39:17.280]   I'm not sure if you can see me.
[00:39:17.280 --> 00:39:18.280]   I'm not sure if you can see me.
[00:39:18.280 --> 00:39:19.280]   I'm not sure if you can see me.
[00:39:19.280 --> 00:39:20.280]   I'm not sure if you can see me.
[00:39:20.280 --> 00:39:21.280]   I'm not sure if you can see me.
[00:39:21.280 --> 00:39:22.280]   I'm not sure if you can see me.
[00:39:22.280 --> 00:39:23.280]   I'm not sure if you can see me.
[00:39:23.280 --> 00:39:23.880]   I'm not sure if you can see me.
[00:39:23.900 --> 00:39:25.920]   I'm not sure if you can see me.
[00:39:25.920 --> 00:39:26.920]   I'm not sure if you can see me.
[00:39:26.920 --> 00:39:27.920]   I'm not sure if you can see me.
[00:39:27.920 --> 00:39:28.920]   I'm not sure if you can see me.
[00:39:28.920 --> 00:39:29.920]   I'm not sure if you can see me.
[00:39:29.920 --> 00:39:30.920]   I'm not sure if you can see me.
[00:39:30.920 --> 00:39:31.920]   I'm not sure if you can see me.
[00:39:31.920 --> 00:39:32.920]   I'm not sure if you can see me.
[00:39:32.920 --> 00:39:33.920]   I'm not sure if you can see me.
[00:39:33.920 --> 00:39:34.920]   I'm not sure if you can see me.
[00:39:34.920 --> 00:39:35.920]   I'm not sure if you can see me.
[00:39:35.920 --> 00:39:36.920]   I'm not sure if you can see me.
[00:39:36.920 --> 00:39:37.920]   I'm not sure if you can see me.
[00:39:37.920 --> 00:39:38.920]   I'm not sure if you can see me.
[00:39:38.920 --> 00:39:39.920]   I'm not sure if you can see me.
[00:39:39.920 --> 00:39:40.920]   I'm not sure if you can see me.
[00:39:40.920 --> 00:39:41.920]   I'm not sure if you can see me.
[00:39:41.920 --> 00:39:42.920]   I'm not sure if you can see me.
[00:39:42.960 --> 00:39:53.940]   tiet,
[00:39:53.940 --> 00:39:56.980]   ' said, John,
[00:40:38.080 --> 00:41:05.300]  .
[00:41:05.300 --> 00:41:05.300]   The other thing is that you can't do it by messing up your credit score. Now, here is what's cool. There are very few untaxed fringe benefits available in today's world. But one of the best ones is credit card points. And in your case, you should use what I have to teach you, but you should also go out and make sure that you become an absolute expert in the field of credit card points.
[00:41:05.300 --> 00:41:05.300]   The other thing is that you can't do it by messing up your credit score. Now, here is what's cool. There are very few untaxed fringe benefits available in today's world. But one of the best ones is credit card points. And in your case, you should use what I have to teach you, but you should also go out and make sure that you become an absolute expert in the field of credit card points.
[00:41:05.340 --> 00:41:08.220]   a
[00:41:08.220 --> 00:41:15.200]   learn.ilian
[00:41:15.200 --> 00:41:16.260]   maybe something more in my ant the
[00:41:16.260 --> 00:41:24.220]   gesprochen
[00:42:26.760 --> 00:42:33.920]   biscuits wall,
[00:42:33.920 --> 00:42:45.780]   heard, day.…
[00:42:54.980 --> 00:43:02.560]  aren
[00:43:02.560 --> 00:43:06.860]   che the,,, songs
[00:45:45.060 --> 00:45:56.300]   in
[00:45:56.300 --> 00:46:13.340]   послед buy,,,ん�%,GG Kan I'm the foram. So, rails, каче,學,'t, milligrams, selective, than,았어요 , right, sub, Best, mean,應, Young, bandwidth, 100, Gud, get, r. rare, �' chat,
[00:46:13.840 --> 00:46:24.220]   허�
[00:46:24.220 --> 00:46:28.120]   like,,,,
[00:46:28.120 --> 00:46:42.060]   someone is the red and Prote możli Aw "N, ',
[00:46:42.060 --> 00:46:43.140]  ,, the be the ma más que b planted con the go with the flent, the flre, and, and, and, and, and, and, and, and, and, and, and, and, and, and, drama. In. And. And,華. En. Al. Vors. EX. дан. 1930. wouldn't. 26. enable the young. guess. direction wearing the cut out. Kamer.jin.視 it's. Tat. belong. line....,ær. monetary�.視. ID. policymakersチャンネル 1992. vision. ch Res. GDP. town.ixes. decreased the-or. Virgin say, not. Festival.HD. recalling. believe what's. tile.VI, Essentially, 줄. dist.,
[00:46:43.180 --> 00:46:55.200]   of first-class airfare and exotic hotel stays thanks to your vendor's willingness to accept credit cards for payments instead of checks.
[00:46:55.200 --> 00:47:01.200]   Now, I guess the last point I think would be appropriate. Always see if you can negotiate a cash discount.
[00:47:01.200 --> 00:47:10.200]   I think that it's well within many vendors' interest to negotiate a cash discount because they're paying the processing fees.
[00:47:10.200 --> 00:47:12.080]   So don't forget about also minimizing the cost of the process.
[00:47:12.080 --> 00:47:12.080]   So don't forget about also minimizing the cost of the process.
[00:47:12.080 --> 00:47:12.080]   So don't forget about also minimizing the cost of the process.
[00:47:12.080 --> 00:47:12.080]   So don't forget about also minimizing the cost of the process.
[00:47:12.080 --> 00:47:12.080]   So don't forget about also minimizing the cost of the process.
[00:47:12.080 --> 00:47:13.180]   So don't forget about also minimizing the cost of the process.
[00:47:13.180 --> 00:47:13.180]   So don't forget about also minimizing the cost of the process.
[00:47:13.180 --> 00:47:13.180]   So don't forget about also minimizing the cost of the process.
[00:47:13.220 --> 00:47:43.200]   so don't forget about also minimizing the cost of the process.
[00:47:43.200 --> 00:47:43.200]   So don't forget about also minimizing the cost of the process.
[00:47:43.200 --> 00:47:43.200]   So don't forget about also minimizing the cost of the process.
[00:47:43.200 --> 00:47:43.200]   So don't forget about also minimizing the cost of the process.
[00:47:43.200 --> 00:47:43.200]   So don't forget about also minimizing the cost of the process.
[00:47:43.200 --> 00:47:43.200]   So don't forget about also minimizing the cost of the process.
[00:47:43.200 --> 00:47:43.200]   So don't forget about also minimizing the cost of the process.
[00:47:43.200 --> 00:47:43.200]   So don't forget about also minimizing the cost of the process.
[00:47:43.200 --> 00:47:43.200]   So don't forget about also minimizing the cost of the process.
[00:47:43.200 --> 00:47:43.200]   So don't forget about also minimizing the cost of the process.
[00:47:43.200 --> 00:47:43.200]   So don't forget about also minimizing the cost of the process.
[00:47:43.200 --> 00:47:43.200]   So don't forget about also minimizing the cost of the process.
[00:47:43.220 --> 00:48:13.220]   So don't forget about also minimizing the cost of the process.
[00:48:13.220 --> 00:48:13.220]   So don't forget about also minimizing the cost of the process.
[00:48:13.220 --> 00:48:13.220]   So don't forget about also minimizing the cost of the process.
[00:48:13.220 --> 00:48:13.220]   So don't forget about also minimizing the cost of the process.
[00:48:13.220 --> 00:48:13.220]   So don't forget about also minimizing the cost of the process.
[00:48:13.220 --> 00:48:13.220]   So don't forget about also minimizing the cost of the process.
[00:48:13.220 --> 00:48:13.220]   So don't forget about also minimizing the cost of the process.
[00:48:13.220 --> 00:48:13.220]   So don't forget about also minimizing the cost of the process.
[00:48:13.220 --> 00:48:13.220]   So don't forget about also minimizing the cost of the process.
[00:48:13.220 --> 00:48:13.220]   So don't forget about also minimizing the cost of the process.
[00:48:13.220 --> 00:48:13.220]   So don't forget about also minimizing the cost of the process.
[00:48:13.220 --> 00:48:13.220]   So don't forget about also minimizing the cost of the process.
[00:48:13.220 --> 00:48:13.220]   So don't forget about also minimizing the cost of the process.
[00:48:13.220 --> 00:48:13.220]   So don't forget about also minimizing the cost of the process of the process.
[00:48:13.360 --> 00:48:43.240]   So don't forget about also minimizing the cost of the process.
[00:48:43.240 --> 00:48:43.240]   So don't forget about also minimizing the cost of the process.
[00:48:43.260 --> 00:49:13.260]   I didn't have these on my outline.
[00:49:13.260 --> 00:49:13.260]   One last week I neglect in it or in a previous Q&A.
[00:49:13.260 --> 00:49:13.260]   I took a question from a listener who was talking about closing credit cards to avoid annual fees and I wanted to I had a couple listeners that wrote in with some suggestions on that.
[00:49:13.260 --> 00:49:13.260]   So if you have a credit card with a company and especially this happens if you're playing the mileage game you've a pro you've applied for a premier card and they'll waive the annual fee for the first year and give you a 30% credit card.
[00:49:13.260 --> 00:49:13.260]   You've applied for a premier card and they'll waive the annual fee for the first year and give you a 30% credit card.
[00:49:13.260 --> 00:49:13.260]   You've applied for a premier card and they'll waive the annual fee for the first year and give you a 30% credit card.
[00:49:13.260 --> 00:49:13.260]   You've applied for a premier card and they'll waive the annual fee for the first year and give you a 30% credit card.
[00:49:13.300 --> 00:49:43.280]   a premier card and they'll waive the annual fee for the first year and give you a 30% credit card.
[00:49:43.280 --> 00:49:43.280]   That increases utilization ratio that will lower your credit score that will shorten up the length of your credit history so if you keep that card open it's your it'll improve everything there's no reason to close it except for that $300 annual fee well many with what listeners
[00:49:43.300 --> 00:50:13.300]   a premier card and they'll waive the annual fee for the first year and give you a 30% credit card.
[00:50:13.300 --> 00:50:13.300]   You've applied for a premier card and they'll waive the annual fee for the first year and give you a 30% credit card.
[00:50:13.300 --> 00:50:13.300]   You've applied for a premier card and they'll waive the annual fee so if you keep that card open it's your it'll improve everything there's no reason to close it except for that $300 annual fee well many with what listeners
[00:50:13.300 --> 00:50:13.300]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:50:13.300 --> 00:50:13.300]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:50:13.300 --> 00:50:13.300]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:50:13.300 --> 00:50:13.300]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:50:13.300 --> 00:50:13.300]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:50:13.340 --> 00:50:43.320]  ,
[00:50:43.340 --> 00:51:13.340]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:13.340 --> 00:51:13.340]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:13.340 --> 00:51:13.340]   you've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:13.340 --> 00:51:13.340]   you've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:13.340 --> 00:51:13.340]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:13.340 --> 00:51:13.340]   you've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:13.340 --> 00:51:13.340]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:13.340 --> 00:51:13.340]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:13.340 --> 00:51:13.340]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:13.380 --> 00:51:43.360]  ,
[00:51:43.360 --> 00:51:43.360]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:43.360 --> 00:51:43.360]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:43.360 --> 00:51:43.360]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:43.360 --> 00:51:43.360]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:43.360 --> 00:51:43.360]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:43.360 --> 00:51:43.360]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:51:43.380 --> 00:52:13.380]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:52:13.380 --> 00:52:13.380]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:52:13.380 --> 00:52:13.380]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:52:13.380 --> 00:52:13.380]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:52:13.380 --> 00:52:13.380]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:52:13.380 --> 00:52:13.380]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:52:13.380 --> 00:52:13.380]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:52:13.380 --> 00:52:13.380]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:52:13.380 --> 00:52:13.380]   You've applied for a premier card and they'll waive the annual fee well many with what listeners
[00:52:13.420 --> 00:52:43.400]   You've applied for a premier card and they'll waive the annual fee well many with what listeners

