
[00:00:00.160 --> 00:00:04.640]   all right everybody uh let's get the show started here wait jason why are you wearing a tux what's
[00:30:17.040 --> 00:30:22.160]   he's done for the cloud economy so let's just put that aside but i wish this is what we could have
[00:30:22.160 --> 00:30:27.760]   actually all been on stage and talked about i told him when he was at the summit i said that because i
[00:30:27.760 --> 00:30:33.120]   disagree with basically every premise of those three things number one systems integrators exist today
[00:30:33.120 --> 00:30:38.240]   to build apps on top of these things why do you think you have companies like viva how can a 20 billion
[00:30:38.240 --> 00:30:43.840]   dollar plus company get built on top of salesforce it's because it doesn't do what it's meant to do
[00:30:43.840 --> 00:30:52.640]   that's why otherwise app stores are a great way to allow people to build on your platform and and
[00:30:52.640 --> 00:30:56.880]   cover those niche cases the point i'm trying to make is that's no different than the economy that
[00:30:56.880 --> 00:31:00.000]   exists today it's just going to transform to different groups of people number one well by
[00:31:00.000 --> 00:31:03.520]   the way he said he's willing to come on the pod and talk about this very issue but just with you
[00:31:04.320 --> 00:31:12.320]   just with you great he'll come on the pod and discuss whether ai makes sass obsolete a lot of
[00:31:12.320 --> 00:31:16.640]   people are asking that question let's talk about it next year at the summit can you talk about his uh
[00:31:16.640 --> 00:31:19.840]   philanthropy first okay let's get back to focus here let's get focused everybody
[00:31:19.840 --> 00:31:28.000]   spicy love you mark who's coming to dreamforce raise your hand i want to make another point the second
[00:31:28.000 --> 00:31:34.160]   point is that when you have agents i think that we are overestimating what a system of record is david
[00:31:34.160 --> 00:31:39.600]   what you talked about is actually just an encrypted file or it's a bunch of rows in some database or
[00:31:39.600 --> 00:31:46.000]   it's in some data lake somewhere you don't need to spend tens or hundreds of millions of dollars
[00:31:46.000 --> 00:31:53.680]   to wrap your revenue in something that says it's a system of record you don't need that actually you can
[00:31:53.680 --> 00:32:00.160]   just pipe that stuff directly from stripe into snowflake and you can just transform it and do what
[00:32:00.160 --> 00:32:04.240]   you will with it and then report it i'll tell you you could do that today it's just that that's an
[00:32:04.240 --> 00:32:12.000]   interesting point through steak dinners and golf outings and all this stuff we've sold cios this idea
[00:32:12.000 --> 00:32:17.280]   that you need to wrap it in something called a system of record and all i'm saying is when you confront
[00:32:17.280 --> 00:32:23.600]   the total cost of that versus what the alternative that is clearly going to happen in the next
[00:32:23.600 --> 00:32:28.320]   five or ten years irrespective of whether any of us build it or not it'll be definitely not be able
[00:32:28.320 --> 00:32:32.400]   to just you just won't be able to justify it because it's going to cost a fraction of price
[00:32:32.400 --> 00:32:39.760]   there's probably also an aspect of this that we can't predict what is going to work with respect
[00:32:39.760 --> 00:32:47.200]   to data structure so right now all of um all of the the tooling for ai is on the front end and we
[00:32:47.200 --> 00:32:53.520]   haven't yet unleashed ai on the back end which is if you told the ai here's all the data ingest i'm
[00:32:53.520 --> 00:32:58.720]   going to be doing from all these different points in my business figure out what you want to do with
[00:32:58.720 --> 00:33:05.360]   all that data the ai will eventually come up with its own data structure and data system no that's
[00:33:05.360 --> 00:33:10.000]   not nothing that will look nothing like right and that's already happening right and so that's nothing
[00:33:10.000 --> 00:33:15.360]   like what we have today in the same vein that we don't understand how the translation works in a in an
[00:33:15.360 --> 00:33:19.200]   in an llm we don't understand how a lot of the function works a lot of the data structure and data
[00:33:19.200 --> 00:33:23.760]   architecture we won't understand clearly because it's going to be obfuscated by the model driving
[00:33:23.760 --> 00:33:28.640]   the the development there are open source agentic frameworks that already do freeberg what you're
[00:33:28.640 --> 00:33:32.880]   saying that so it's not true that it's not been done it's already oh yeah sure so maybe it's being
[00:33:32.880 --> 00:33:38.560]   done right that's so it hasn't been fully implemented to replace the system of record there are companies
[00:33:38.560 --> 00:33:43.680]   uh i'll give you an example of one like mechanical orchard they'll go into the most gnarliest of
[00:33:43.680 --> 00:33:48.640]   environments and what they will do is they will launch these agents that observe it's sort of what
[00:33:48.640 --> 00:33:53.840]   i told you guys before the io stream of these apps and then reconstruct everything in the middle
[00:33:53.840 --> 00:34:01.920]   automatically i don't understand why we think that there's a world where customer quality and nps would
[00:34:01.920 --> 00:34:08.880]   not go sky high for a company that has some old legacy fortran system and now they can just pay you know
[00:34:08.880 --> 00:34:13.280]   mechanical orchard a few million bucks and they'll just replace it in a matter of months it's going to
[00:34:13.280 --> 00:34:18.560]   happen right yeah that's the very interesting piece for me is i'm you know watching startups
[00:34:18.560 --> 00:34:24.240]   you know working on this the ai first ones i think are going to come to it with a totally different
[00:34:24.240 --> 00:34:29.520]   cost structure the idea of paying for seats and i mean some of these seats are five thousand per person
[00:34:29.520 --> 00:34:35.120]   per year you nailed it a year ago when you were like oh you mentioned some company that had like flat
[00:34:35.120 --> 00:34:41.440]   pricing at first by the way when you said that i thought this is nuts but you're right it actually
[00:34:41.440 --> 00:34:48.880]   makes a ton of sense because if you have a fixed group of people who can use this tooling to basically
[00:34:48.880 --> 00:34:53.840]   effectively be as productive as a company that's 10 times as big as you
[00:34:53.840 --> 00:35:00.320]   you can afford to flat price your software because you can just work backwards from what margin structure
[00:35:00.320 --> 00:35:05.920]   you want and it's still meaningfully cheaper than any other alternative a lot of startups now are
[00:35:05.920 --> 00:35:12.320]   doing consumption based pricing so they're saying you know how many um how many sales calls are you
[00:35:12.320 --> 00:35:18.160]   doing how many are we analyzing as opposed to how many sales executives do you have because when you
[00:35:18.160 --> 00:35:23.200]   have agents as we're talking about those agents are going to do a lot of the work so we're going to
[00:35:23.200 --> 00:35:28.560]   see the number of people working at companies become fixed and i think the static team size
[00:35:28.560 --> 00:35:33.760]   that we're seeing at a lot of large companies is only going to continue it's going to be down into
[00:35:33.760 --> 00:35:39.200]   the right and if you think you're going to get a high-paying job at a big tech company and you have to
[00:35:39.200 --> 00:35:44.080]   beat the agent you're going to have to beat the maestro who has five agents working for them i think
[00:35:44.080 --> 00:35:50.800]   this is going to be a completely different world uh chima this i want to get back to open ai with a couple of
[00:35:50.800 --> 00:35:55.040]   other pieces so let's wrap this up so we get to the next word on this yes please last word for you
[00:35:55.040 --> 00:36:03.200]   that's right so look i i think that on the whole i agree with benioff here that there's more net new
[00:36:03.200 --> 00:36:09.840]   opportunity for ai companies whether they be startups or you know existing big companies like salesforce
[00:36:09.840 --> 00:36:14.560]   that are trying to do ai then there is disruption i think there will be some disruption it's very hard
[00:36:14.560 --> 00:36:19.360]   for us to see exactly what ai is going to look like in five or ten years so i don't want to discount
[00:36:19.360 --> 00:36:25.040]   the possibility that there will be some disruption of existing players but i think on the whole there's
[00:36:25.040 --> 00:36:30.960]   more net new opportunity for example the most highly valued public software company right now in terms of
[00:36:30.960 --> 00:36:38.320]   ar multiple is palantir and i think that's largely because the market perceives palantir as having a big
[00:36:38.320 --> 00:36:43.680]   ai opportunity what is palantir's approach the first thing palantir does when they go into a customer
[00:36:44.240 --> 00:36:48.240]   is they integrate with all of its systems and they're dealing with the largest enterprises they're
[00:36:48.240 --> 00:36:53.920]   dealing with the government the pentagon department of defense the first thing they do is go in and
[00:36:53.920 --> 00:37:00.400]   integrate with all of these legacy systems and they collect all of the data in one place they call it
[00:37:00.400 --> 00:37:06.080]   creating a digital twin and once all the data is in one place with the right permissions and safeguards
[00:37:06.080 --> 00:37:12.480]   now analysts can start working it and that was their historical value proposition but in addition ai can
[00:37:12.480 --> 00:37:17.120]   now start working that problem so anything that the analyst could work now ai is going to be able to work
[00:37:17.120 --> 00:37:24.080]   and so they're in an ideal position to master these new ai workflows so what is the point i'm making it's
[00:37:24.080 --> 00:37:30.240]   just that you can't just throw an llm at these large enterprises you have to go in there and integrate
[00:37:30.240 --> 00:37:34.240]   with the existing systems it's not about ripping out the existing systems because that's just a lot
[00:37:34.240 --> 00:37:39.520]   of headaches that nobody needs it's generally an easier approach just to collect except except when
[00:37:39.520 --> 00:37:43.840]   the renewal comes what happens when you have to you know you got a really good negotiating dollars on
[00:37:43.840 --> 00:37:48.000]   something yeah and then you're going to renegotiate are you going to spend a billion dollars again five
[00:37:48.000 --> 00:37:52.480]   years from now it just doesn't seem very likely there's going to be a lot of hardcore negotiations
[00:37:52.480 --> 00:37:57.680]   going on chamath people are going to ask for 20 off 50 off and people are going to have to be more
[00:37:57.680 --> 00:38:02.240]   competitive that's all i suspect i suspect palantir's go to market when they start to really scale they'll
[00:38:02.240 --> 00:38:09.280]   be able to under price a bunch of these other alternatives and it so i think that when you look at
[00:38:09.280 --> 00:38:18.560]   the impacts and pricing that all of these open source and closed source model companies have now
[00:38:18.560 --> 00:38:26.240]   introduced in terms of the price per token what we've seen is just a massive step function lower right so
[00:38:26.240 --> 00:38:34.160]   it is incredibly deflationary so the things that sit on top are going to get priced as a function of that
[00:38:34.160 --> 00:38:39.440]   of that cost which means it will be an order of magnitude cheaper than the stuff that it replaces
[00:38:39.440 --> 00:38:46.960]   which means that a company would almost have to purposely want to keep paying tens of millions of dollars
[00:38:46.960 --> 00:38:51.680]   when they don't have to they would need to make that as an explicit decision and i think that
[00:38:51.680 --> 00:38:58.960]   very few companies will be in a position to be that cavalier in five and ten years so you're either
[00:38:58.960 --> 00:39:06.160]   going to rebase the revenues of a bunch of these existing deterministic companies or you're going to
[00:39:06.160 --> 00:39:11.680]   create an entire economy of new ones that have a fraction of the revenues today but a very different
[00:39:11.680 --> 00:39:17.120]   profitability profile i just think i think whenever you're dealing with a whenever you're dealing with
[00:39:17.120 --> 00:39:23.680]   a disruption as big as this current one i think it's always tempting to think in terms of the existing
[00:39:23.680 --> 00:39:32.400]   pie getting disrupted and shrunk as opposed to the pie getting so big with new use cases that on the whole
[00:39:32.400 --> 00:39:38.000]   the ecosystem benefits no no i agree with that i suspect that's what's going to happen no i i agree
[00:39:38.000 --> 00:39:42.960]   with that my my only point is that the pie can get bigger while the slices get much much smaller
[00:39:42.960 --> 00:39:52.400]   well i mean i right between the two of you i think is um the truth because what's happening is if you
[00:39:52.400 --> 00:39:57.280]   look at investing it's very hard to get into these late stage companies because they don't need as much
[00:39:57.280 --> 00:40:03.200]   capital because to your point chamath they when they do hit profitability with 10 or 20 people
[00:40:03.200 --> 00:40:11.200]   the revenue per employee is going way up if you look at google uber airbnb and facebook meta
[00:40:11.200 --> 00:40:15.520]   they have the same number or less employees than they did three years ago but they're all growing in
[00:40:15.520 --> 00:40:22.000]   that 20 to 30 percent a year which means in but two to three years each of those companies has doubled
[00:40:22.000 --> 00:40:28.800]   revenue per employee so that concept of more efficiency and then that trickles down sacks to
[00:40:28.800 --> 00:40:33.200]   the startup investing space where you and i are i'm a pre-seed seed investor you're a seed series a investor
[00:40:33.200 --> 00:40:38.160]   if you don't get in in those three or four rounds i think it's going to be really expensive and the
[00:40:38.160 --> 00:40:43.200]   companies are not going to need as much money downstream speaking of of investing in late stage
[00:40:43.200 --> 00:40:49.040]   companies we never closed the loop on the whole open ai thing what did we think of the fact that
[00:40:49.920 --> 00:40:54.080]   they're completely changing the structure of this company they're changing it into a corporation from
[00:40:54.080 --> 00:41:00.800]   the non-profit and sam's now getting a 10 billion dollar stock package he's not in for the money he
[00:41:00.800 --> 00:41:08.000]   has health insurance sex but we never did congress i don't need money i've got enough money i just needed
[00:41:08.000 --> 00:41:12.080]   the health insurance pull the clip up nick pull the clip i mean it's the funniest clip ever
[00:41:13.680 --> 00:41:20.960]   like coffee no it's in congress watch it this is what is in congress you make a lot of money do you
[00:41:20.960 --> 00:41:26.480]   i make no i'm paid enough for health insurance i have no equity in open ai really that's interesting
[00:41:26.480 --> 00:41:32.080]   you need a lawyer i need a what you need a lawyer or an agent i i'm doing this because i love it
[00:41:34.960 --> 00:41:41.040]   it's the greatest look at me don't believe him i this can i ask you a question there sacks are you
[00:41:41.040 --> 00:41:48.400]   doing this venture capital where you put the money in the startups because you love it or because you're
[00:41:48.400 --> 00:41:53.920]   working with the entrepreneurs another home in a coastal city and put more jet fuel in that plane i
[00:41:53.920 --> 00:41:59.760]   need an answer for the people of the sovereign state of mississippi no louisiana that's john kennedy
[00:42:01.680 --> 00:42:09.280]   he's a very smart guy actually with a lot of you know sort of common folk wisdom he got that simple
[00:42:09.280 --> 00:42:20.320]   talk yeah yeah he's very funny but he's very funny if you you listen to him he knows how to slice and
[00:42:20.320 --> 00:42:27.200]   dice you might need to get yourself uh one of them fancy agents from hollywood or an attorney from the
[00:42:27.200 --> 00:42:32.720]   wilson suncini corporation to renegotiate your contract son because you're worth a lot more from
[00:42:32.720 --> 00:42:38.640]   what i can gather in your performance today than just some simple healthcare and uh i hope you took
[00:42:38.640 --> 00:42:44.880]   the blue cross blue shield i would like to make two semi-serious observations let's go yeah please get
[00:42:44.880 --> 00:42:49.760]   us back on track i think the first is that there's going to be a lot of people that are looking at the
[00:42:49.760 --> 00:42:56.000]   architecture of this conversion because if it passes muster everybody should do it think about this model
[00:42:56.640 --> 00:43:02.720]   let's just say that you're in a market and you start as a non-profit what that really means is you pay no
[00:43:02.720 --> 00:43:10.880]   income tax so for a long time you put out a little bit of the percentage of whatever you earn
[00:43:12.880 --> 00:43:19.600]   but you can now outspend and outcompete all of your competitors and then once you win you flip to
[00:43:19.600 --> 00:43:27.680]   a corporation that's a great hack on the tax code and you let the donators get first bite of the apple
[00:43:27.680 --> 00:43:33.600]   if you do convert because remember vinod and hoffman got all their shares on the conversion the other way
[00:43:33.600 --> 00:43:38.480]   will also work as well because there's no there's nothing that says you can't go in the other direction so
[00:43:38.480 --> 00:43:43.200]   let's assume that you're already a for-profit company but you're in a space with a bunch of
[00:43:43.200 --> 00:43:50.400]   competitors can't you just do this conversion in reverse become a non-profit again you pay no
[00:43:50.400 --> 00:43:57.360]   income tax so now you are economically advantaged relative to your competitors and then when they
[00:43:57.360 --> 00:44:04.240]   wither and die or you can outspend them you flip back to a for-profit again i think the the point is that
[00:44:04.240 --> 00:44:12.880]   that there's a lot of people that are going to watch this closely and if it's legal and it's
[00:44:12.880 --> 00:44:17.760]   allowed i i just don't understand why everybody wouldn't do this yeah i mean that was elon's point
[00:44:17.760 --> 00:44:26.320]   as well and i mean the second thing which is just more of like cultural observation is and you brought up
[00:44:26.320 --> 00:44:34.000]   elon my comment to you guys yesterday and i'll just make the comment today it's a little bit disheartening
[00:44:34.000 --> 00:44:39.920]   to see a situation where elon built something absolutely incredible defied every expectation
[00:44:39.920 --> 00:44:50.240]   and then had the justice system take 55 billion dollars away from him his payment package you're
[00:44:50.240 --> 00:44:56.720]   referring to at his payment package the options and then on the other side sam's going to pull
[00:44:56.720 --> 00:45:03.280]   something like this off definitely pushing the boundaries and he's going to make 10 billion
[00:45:04.240 --> 00:45:10.400]   and i just think when you put those two things in contrast that's not how the system should
[00:45:10.400 --> 00:45:14.480]   probably work i think is what most people would say freeberg you've been a little quiet here any
[00:45:14.480 --> 00:45:20.720]   thoughts on the transaction the non-profit to for-profit if you were looking at that in what you're doing
[00:45:20.720 --> 00:45:27.280]   do you see a way that ohalo could take a non-profit status raise a bunch of money through donations for
[00:45:27.280 --> 00:45:33.200]   virtuous work then license those patents to your for-profit would that be advantageous to you and do
[00:45:33.200 --> 00:45:38.560]   you think this could become absolutely zero idea i have no idea what they're doing i don't know how
[00:45:38.560 --> 00:45:42.640]   they're converting a non-profit to a for-profit none of us have the details on this there's there may be
[00:45:42.640 --> 00:45:46.240]   significant tax implications the payments they need to make i don't think any of us
[00:45:46.240 --> 00:45:51.360]   no i certainly don't i don't know if there's actually a real benefit here if there is i'm
[00:45:51.360 --> 00:45:55.280]   sure everyone would do it no one's doing it so there's probably a reason why it's difficult
[00:45:55.280 --> 00:45:59.680]   i don't know it's been done a couple times yeah the mozilla foundation did it we talked about that
[00:45:59.680 --> 00:46:03.680]   in a previous episode sacks you want to you want to wrap us up here on the corporate structure any final
[00:46:03.680 --> 00:46:10.480]   thoughts i mean elon put in 50 million i think he gets the same as sam don't you think he should just
[00:46:10.480 --> 00:46:13.920]   chip off seven percent for elon and not that elon needs the money where he's asking but
[00:46:13.920 --> 00:46:19.840]   i'm just wondering why elon doesn't get the seven percent and get or you know if they're going to
[00:46:19.840 --> 00:46:24.480]   actually put in 50. did he put in 50 million dollars 50 million is the report right in the non-profit
[00:46:24.480 --> 00:46:31.600]   yeah hoffman put in 10. look i said on a previous show that this organizational chart of open ai
[00:46:31.600 --> 00:46:35.840]   was ridiculously complicated and they should go clean it up they should open up the books and
[00:46:35.840 --> 00:46:41.600]   straighten everyone out and i also said that as part of that they could give sam altman a ceo option
[00:46:41.600 --> 00:46:47.440]   grant and they should also give elon some fair compensation for being the seed investor put in
[00:46:47.440 --> 00:46:53.040]   the first 50 million dollars and co-founder and what you're seeing is well they're kind of doing that
[00:46:53.040 --> 00:46:58.480]   they're opening up the books they're straightening out the corporate structure they're giving sam his
[00:46:58.480 --> 00:47:04.480]   option grant but they didn't do anything for elon and i'm not saying this as elon's friend i'm just
[00:47:04.480 --> 00:47:12.000]   saying that it's not really fair to basically go fix the original situation you're making it into a
[00:47:12.000 --> 00:47:17.200]   for-profit you're giving everyone shares but the guy who puts in the original c capital doesn't get
[00:47:17.200 --> 00:47:24.480]   anything that's ridiculous and you know what they're basically saying to elon is if you don't like it just sue us
[00:47:24.480 --> 00:47:29.760]   i mean that's basically what they're doing and i said that they should go clean this up but they
[00:47:29.760 --> 00:47:34.960]   should make it right with everybody so how do you not make it right with elon i haven't talked to him
[00:47:34.960 --> 00:47:40.720]   about this but he reacted on x saying this is really wrong it appeared to be a surprise to him i doubt he
[00:47:40.720 --> 00:47:46.240]   knew this was coming so the company apparently made no effort to make things right with him
[00:47:46.240 --> 00:47:52.560]   and i think that that is a bit ridiculous if you're going to clean this up if you're going to change
[00:47:52.560 --> 00:48:00.480]   the original purpose of this organization to being a standard for-profit company where the ceo
[00:48:00.480 --> 00:48:05.040]   who previously said he wasn't going to get any compensation is now getting 10 billion dollars of
[00:48:05.040 --> 00:48:10.160]   compensation how do you do that and then not clean it up for the co-founder who put in the first 50
[00:48:10.160 --> 00:48:15.840]   million dollars yeah that doesn't make sense to me and you know when reed was on our pod he he said well
[00:48:15.840 --> 00:48:21.760]   elon's rich enough well that that's not a principled excuse i mean does vinod ever act that way does reed
[00:48:21.760 --> 00:48:26.880]   ever act that way do they ever say well you know you don't need to do what's fair for me because i'm
[00:48:26.880 --> 00:48:32.480]   ready rich that's that's not a principled answer the argument that i heard was that elon was given the
[00:48:32.480 --> 00:48:38.960]   opportunity to invest along with reed along with vinod and he he declined to participate in the
[00:48:38.960 --> 00:48:43.680]   for-profit investing side that everyone else participated made that argument and i think
[00:48:43.680 --> 00:48:48.800]   it's the best argument the company has but let's think about that argument maybe elon was busy that
[00:48:48.800 --> 00:48:54.080]   week maybe elon already felt like he had put all the money that he had allocated for something like this
[00:48:54.080 --> 00:49:00.160]   into it because he put in a 50 million dollar check whereas re put in 10. we don't know what elon was
[00:49:00.160 --> 00:49:05.360]   thinking at that time maybe there was a crisis at tesla and he was just really busy the point is elon
[00:49:05.360 --> 00:49:11.440]   shouldn't have been obligated to put in more money into this venture the fact of the matter is they're
[00:49:11.440 --> 00:49:16.960]   refactoring the whole venture elon had an expectation when he put in the 50 million that this would be a
[00:49:16.960 --> 00:49:21.840]   non-profit and stay a non-profit and they're changing that and if they change it they have to make things
[00:49:21.840 --> 00:49:27.840]   right with him it doesn't really matter whether he had a subsequent opportunity to invest he wasn't
[00:49:27.840 --> 00:49:34.720]   obligated to to make that investment what he had an expectation of is that his 50 million dollars would
[00:49:34.720 --> 00:49:40.240]   be used for a philanthropic purpose and clearly it has not been yeah and in fairness to vinod he bought
[00:49:40.240 --> 00:49:44.480]   that incredible beachfront property and donated it to the public trust so we can all surf and have our
[00:49:44.480 --> 00:49:50.240]   halloween party there so it's all good thank you vinod for uh giving us that incredible beach i want
[00:49:50.240 --> 00:49:56.880]   to talk to you guys about interfaces that came up chamath in your headwinds or your your four pack of
[00:49:56.880 --> 00:50:03.520]   reasons that you know open ai when you steal man the bear case could have challenges obviously we're seeing
[00:50:03.520 --> 00:50:11.600]   that and it is emerging that meta is working on some ar glasses that are really impressive additionally
[00:50:11.600 --> 00:50:19.280]   i've installed ios 18 which is apple intelligence that works on 15 phones and 16 phones 18 is the
[00:50:19.280 --> 00:50:26.160]   ios did any of you install the beta of ios 18 yet and use siri it's pretty clear with this new one that
[00:50:26.160 --> 00:50:32.080]   you're going to be able to talk to siri as an llm like you do in chat gpt mode which i think means
[00:50:32.080 --> 00:50:37.280]   they will not make themselves dependent on chat gpt and they will siphon off half the searches that
[00:50:37.280 --> 00:50:41.440]   would have gone to chat gpt so i see that as a serious series not very good jackel and you know
[00:50:41.440 --> 00:50:44.960]   this because when you were driving me to the airport yesterday we tested it and didn't work
[00:50:44.960 --> 00:50:49.680]   yes you tried you try he tried to he tries to execute this joke where he's like hey siri
[00:50:49.680 --> 00:50:54.960]   send chamath palihapitiya a message and it was a very off-color message i'm not going to say what it
[00:50:54.960 --> 00:51:00.400]   is so it's a spicy joke and then it's like okay great sending linda blah blah blah he's like no
[00:51:00.400 --> 00:51:04.960]   stop stop stop stop i was like no don't send that joke to her it hallucinates and almost sends it to
[00:51:04.960 --> 00:51:09.840]   some other you know some woman in his contact it would have been really damaging it's not very good
[00:51:09.840 --> 00:51:15.600]   jason it's not very good well but what i will say is there are features of it where if you squint a
[00:51:15.600 --> 00:51:22.000]   little bit you will see that siri is going to be conversational so when i was talking to it with music
[00:51:22.000 --> 00:51:27.760]   and you know you can have a conversation with it and do math like you can do with the chat gpt version
[00:51:27.760 --> 00:51:34.480]   and you have microsoft doing that with their co-pilot and now met is doing it at the top of each one so
[00:51:34.480 --> 00:51:40.720]   everybody's going to try to intercept the queries and the voice interface so chat gpt4 is now up against
[00:51:40.720 --> 00:51:47.040]   meta siri apple and microsoft for for that interface it's going to be challenging but let's talk about these
[00:51:47.040 --> 00:51:53.760]   meta glasses here meta showed off the ar glasses that nick will pull up right now these aren't
[00:51:53.760 --> 00:52:00.480]   goggles goggles look like ski goggles that's what apple is doing with their vision pro or when you see
[00:52:00.480 --> 00:52:07.040]   the meta quest you know how those work those are vr with cameras that will create a version of the world
[00:52:07.040 --> 00:52:12.080]   these are actual chunky sunglasses like the ones i was wearing earlier when i was doing the bit
[00:52:12.080 --> 00:52:20.800]   so these let you operate in the real world and are supposedly extremely expensive they made a thousand
[00:52:20.800 --> 00:52:28.720]   prototypes they were letting a bunch of influencers and folks like um gary vanderchuk uh use them and
[00:52:29.520 --> 00:52:33.680]   they're not ready for prime time but the way they work freeberg is there's a wristband
[00:52:33.680 --> 00:52:38.240]   that will track your fingers and your wrist movement so you could be in a conversation like we are here on
[00:52:38.240 --> 00:52:44.240]   the pod and below the desk you could be you know moving your arm and hand around to be doing replies
[00:52:44.240 --> 00:52:50.240]   to i don't know incoming messages or whatever it is what do you think of this ar vision of the world
[00:52:50.240 --> 00:52:58.400]   and meta making this progress well i think it ties in a lot to the the ai discussion because i think we're
[00:52:58.400 --> 00:53:04.960]   really witnessing this big shift from and this big transition in computing probably the biggest
[00:53:04.960 --> 00:53:11.040]   transition since mobile you know we moved from mainframes to desktop computers everyone had kind
[00:53:11.040 --> 00:53:15.600]   of this computer on their desktop but used a mouse and a keyboard to control it to mobile where you had
[00:53:15.600 --> 00:53:20.480]   a keyboard and clicking and touching on the screen to do things on it and now to what i would call this
[00:53:20.480 --> 00:53:27.440]   kind of ambient computing method and you know i think the big difference is control and response
[00:53:27.440 --> 00:53:33.280]   in directed computing you're kind of telling the computer what to do you're controlling it you're
[00:53:33.280 --> 00:53:39.200]   using your mouse or your keyboard to to go to this website so you type in a website address then you click
[00:53:39.200 --> 00:53:44.480]   on the thing that you want to click on and you kind of keep doing a series of work to get the computer to go
[00:53:44.480 --> 00:53:49.760]   access the information that you ultimately want to achieve your objective but with ambient computing
[00:53:49.760 --> 00:53:55.280]   you can more kind of cleanly state your objective without this kind of directive process you can say
[00:53:55.280 --> 00:54:00.800]   hey i i want to say i want to have dinner in new york next thursday at the at a michelin star restaurant
[00:54:00.800 --> 00:54:06.320]   at 5 30. book me something and it's done and i think that there are kind of five core things that
[00:54:06.320 --> 00:54:13.040]   are needed for this to work um both in control and response it's voice control gesture control and eye
[00:54:13.040 --> 00:54:18.560]   control are kind of the control pieces that replace you know mice and clicking and touching and keyboards
[00:54:18.560 --> 00:54:25.280]   and then response is audio and kind of integrated visual which is the idea of the goggles voice control
[00:54:25.280 --> 00:54:30.320]   works have you guys used the open ai voice control system lately i mean it is really incredible i had
[00:54:30.320 --> 00:54:35.200]   my earphones in and i was like doing this exercise i was trying to learn something so i
[00:54:35.200 --> 00:54:40.480]   told open ai to start quizzing me on this thing and i just did a 30 minute walk and while i was walking
[00:54:40.480 --> 00:54:44.080]   it was asking me quiz questions and i would answer it and tell me i was right or wrong it was really
[00:54:44.080 --> 00:54:48.400]   this incredible dialogue experience so i think the voice controls there i don't know if you guys have
[00:54:48.400 --> 00:54:52.880]   used apple vision pro but gesture control is here today you can do single finger movements with
[00:54:52.880 --> 00:54:57.920]   apple vision pro it triggers actions and eye control is incredible you look at the letters you
[00:54:57.920 --> 00:55:01.040]   want to have kind of spelled out or you look at the thing you want to activate and it does it
[00:55:02.160 --> 00:55:06.400]   so all of the control systems for this ambient computing are there and then the ai enables
[00:55:06.400 --> 00:55:11.360]   this kind of audio response where it speaks to you and the big breakthrough that's needed that i don't
[00:55:11.360 --> 00:55:15.280]   think we're quite there yet but maybe zuck is highlighting that we're almost there and apple
[00:55:15.280 --> 00:55:20.000]   vision pro feels like it's almost there except it's big and bulky and expensive is integrated visual
[00:55:20.000 --> 00:55:24.960]   where the ambient visual interface is always there and you can kind of engage with it so there's this
[00:55:24.960 --> 00:55:29.040]   big change i don't think that mobile handsets are going to be around in 10 years i don't think we're going to have
[00:55:29.040 --> 00:55:33.680]   this like phone in our pocket that we're like pressing buttons on and touching and telling it
[00:55:33.680 --> 00:55:39.040]   where on the browser to go to the browser interface is going to go away i think so much of how computing
[00:55:39.040 --> 00:55:44.240]   is done how much how we integrate with data in the world and how the computer ultimately fetches that
[00:55:44.240 --> 00:55:49.840]   data and does stuff with it for us is going to completely change to this ambient model so i'm um i'm
[00:55:49.840 --> 00:55:55.200]   pretty excited about this evolution but i think that what we're seeing with zuck what we saw with apple vision pro
[00:55:55.200 --> 00:56:00.720]   and all of the open ai demos they all kind of converge on this very incredible shift in computing
[00:56:00.720 --> 00:56:05.760]   that will kind of become this ambient system that exists everywhere all the time and i know folks
[00:56:05.760 --> 00:56:09.440]   have kind of mentioned this in the past but i think we're really seeing it kind of all come together now
[00:56:09.440 --> 00:56:19.280]   with these five key things jamaath any thoughts on facebook's progress with ar and how that might impact
[00:56:21.040 --> 00:56:28.880]   computing and interfaces when paired with language models i think david's right that there's something
[00:56:28.880 --> 00:56:37.200]   that's going to be totally new and unexpected so i agree with that part of what freebrook says i
[00:56:37.760 --> 00:56:45.520]   am still not sure that glasses are the perfect form factor to be ubiquitous when you look at a phone
[00:56:45.520 --> 00:56:55.600]   a phone makes complete sense for literally everybody right man woman old young every
[00:56:55.600 --> 00:57:04.960]   race every country of the world it's such a ubiquitously obvious form factor
[00:57:06.960 --> 00:57:12.960]   but the thing is like that initial form factor was so different than what it replaced even if you
[00:57:12.960 --> 00:57:18.880]   looked at like flip phones versus that first generation iphone so i i do think freebrook you're
[00:57:18.880 --> 00:57:27.360]   right that there's like this new way of interacting that is ready to explode onto the scene and i think
[00:57:27.360 --> 00:57:32.400]   that these guys have done a really good job with these glasses i mean like i give them a lot of credit
[00:57:32.400 --> 00:57:36.880]   for sticking with it and iterating through it and getting it to this place it looks meaningful
[00:57:36.880 --> 00:57:44.320]   better than the vision pro to be totally honest but i'm still not convinced that we've explored the
[00:57:44.320 --> 00:57:50.320]   best of our creativity in terms of the devices that we want to use with these ai models you need some
[00:57:50.320 --> 00:57:54.720]   visual interface i mean the question is where is the visual interface is it in the isn't in the wall
