
[00:00:00.040 --> 00:00:10.720]   fight
[00:37:17.760 --> 00:37:17.760]   You're not going to take a separate estimate of the car.
[00:37:17.760 --> 00:37:17.760]   You're not going to take a separate estimate of the car.
[00:37:17.760 --> 00:37:17.760]   You're not going to take a separate estimate of the car.
[00:37:17.760 --> 00:37:17.760]   You're not going to take a separate estimate of the car.
[00:37:17.760 --> 00:37:17.760]   You're not going to take a separate estimate of the car.
[00:37:17.780 --> 00:37:47.780]   You're not going to take a separate estimate of the car.
[00:37:47.780 --> 00:37:47.780]   You're not going to take a separate estimate of the car.
[00:37:47.780 --> 00:37:47.780]   You're not going to take a separate estimate of the car.
[00:37:47.780 --> 00:37:47.780]   You're not going to take a separate estimate of the car.
[00:37:47.780 --> 00:37:47.780]   You're not going to take a separate estimate of the car.
[00:37:47.780 --> 00:37:47.780]   You're not going to take a separate estimate of the car.
[00:37:47.780 --> 00:37:47.780]   You're not going to take a separate estimate of the car.
[00:37:47.780 --> 00:37:47.780]   You're not going to take a separate estimate of the car.
[00:37:47.780 --> 00:37:47.780]   You're not going to take a separate estimate of the car.
[00:37:47.780 --> 00:37:47.780]   You're not going to take a separate estimate of the car.
[00:37:47.780 --> 00:37:47.780]   You're not going to take a separate estimate of the car.
[00:37:47.780 --> 00:37:47.780]   You're not going to take a separate estimate of the car.
[00:37:47.780 --> 00:37:47.780]   You're not going to take a separate estimate of the car.
[00:37:47.780 --> 00:37:47.780]   You're not going to take a separate estimate of the car.
[00:37:47.780 --> 00:38:17.800]   You're not going to take a separate estimate of the car.
[00:38:17.800 --> 00:38:17.800]   You're not going to take a separate estimate of the car.
[00:38:17.800 --> 00:38:17.800]   You're not going to take a separate estimate of the car.
[00:38:17.800 --> 00:38:17.800]   You're not going to take a separate estimate of the car.
[00:38:17.800 --> 00:38:17.800]   You're not going to take a separate estimate of the car.
[00:38:17.800 --> 00:38:17.800]   You're not going to take a separate estimate of the car.
[00:38:17.800 --> 00:38:17.800]   You're not going to take a separate estimate of the car.
[00:38:17.820 --> 00:38:47.820]   You're not going to take a separate estimate of the car.
[00:38:47.820 --> 00:38:47.820]   You're not going to take a separate estimate of the car.
[00:38:47.820 --> 00:38:47.820]   You're not going to take a separate estimate of the car.
[00:38:47.820 --> 00:38:47.820]   You're not going to take a separate estimate of the car.
[00:38:47.820 --> 00:38:47.820]   You're not going to take a separate estimate of the car.
[00:38:47.820 --> 00:38:47.820]   You're not going to take a separate estimate of the car.
[00:38:47.820 --> 00:38:47.820]   You're not going to take a separate estimate of the car.
[00:38:47.820 --> 00:38:47.820]   You're not going to take a separate estimate of the car.
[00:38:47.820 --> 00:38:47.820]   You're not going to take a separate estimate of the car.
[00:38:47.820 --> 00:38:47.820]   You're not going to take a separate estimate of the car.
[00:38:47.820 --> 00:38:47.820]   You're not going to take a separate estimate of the car.
[00:38:47.820 --> 00:38:47.820]   You're not going to take a separate estimate of the car.
[00:38:47.820 --> 00:38:47.820]   You're not going to take a separate estimate of the car.
[00:38:47.820 --> 00:38:47.820]   You're not going to take a separate estimate of the car.
[00:38:47.820 --> 00:39:17.840]   I'm not going to take a separate estimate of the car.
[00:39:17.840 --> 00:39:17.840]   I'm not going to take a separate estimate of the car.
[00:39:17.840 --> 00:39:17.840]   I'm not going to take a separate estimate of the car.
[00:39:17.840 --> 00:39:17.840]   I'm not going to take a separate estimate of the car.
[00:39:17.840 --> 00:39:17.840]   I'm not going to take a separate estimate of the car.
[00:39:17.840 --> 00:39:17.840]   I'm not going to take a separate estimate of the car.
[00:39:17.840 --> 00:39:17.840]   I'm not going to take a separate estimate of the car.
[00:39:17.840 --> 00:39:17.840]   I'm not going to take a separate estimate of the car.
[00:39:17.860 --> 00:39:47.860]   You're not going to take a separate estimate of the car.
[00:39:47.860 --> 00:39:47.860]   You're not going to take a separate estimate of the car.
[00:39:47.860 --> 00:39:47.860]   You're not going to take a separate estimate of the car.
[00:39:47.860 --> 00:39:47.860]   You're not going to take a separate estimate of the car.
[00:39:47.860 --> 00:39:47.860]   You're not going to take a separate estimate of the car.
[00:39:47.860 --> 00:39:47.860]   You're not going to take a separate estimate of the car.
[00:39:47.860 --> 00:39:47.860]   You're not going to take a separate estimate of the car.
[00:39:47.860 --> 00:39:47.860]   You're not going to take a separate estimate of the car.
[00:39:47.860 --> 00:39:47.860]   You're not going to take a separate estimate of the car.
[00:39:47.860 --> 00:39:47.860]   You're not going to take a separate estimate of the car.
[00:39:47.860 --> 00:39:47.860]   You're not going to take a separate estimate of the car.
[00:39:47.860 --> 00:39:47.860]   You're not going to take a separate estimate of the car.
[00:39:47.860 --> 00:39:47.860]   You're not going to take a separate estimate of the car.
[00:39:47.860 --> 00:39:47.860]   You're not going to take a separate estimate of the car.
[00:39:47.860 --> 00:40:17.880]   I'm not going to take a separate estimate of the car.
[00:40:17.880 --> 00:40:17.880]   You're not going to take a separate estimate of the car.
[00:40:17.880 --> 00:40:17.880]   You're not going to take a separate estimate of the car.
[00:40:17.880 --> 00:40:17.880]   You're not going to take a separate estimate of the car.
[00:40:17.880 --> 00:40:17.880]   You're not going to take a separate estimate of the car.
[00:40:17.880 --> 00:40:17.880]   You're not going to take a separate estimate of the car.
[00:40:17.880 --> 00:40:17.880]   You're not going to take a separate estimate of the car.
[00:40:17.880 --> 00:40:17.880]   You're not going to take a separate estimate of the car.
[00:40:17.880 --> 00:40:17.880]   You're not going to take a separate estimate of the car.
[00:40:17.900 --> 00:40:47.900]   You're not going to take a separate estimate of the car.
[00:40:47.900 --> 00:40:47.900]   You're not going to take a separate estimate of the car.
[00:40:47.900 --> 00:40:47.900]   You're not going to take a separate estimate of the car.
[00:40:47.900 --> 00:40:47.900]   You're not going to take a separate estimate of the car.
[00:40:47.900 --> 00:40:47.900]   You're not going to take a separate estimate of the car.
[00:40:47.900 --> 00:40:47.900]   You're not going to take a separate estimate of the car.
[00:40:47.900 --> 00:40:47.900]   You're not going to take a separate estimate of the car.
[00:40:47.900 --> 00:40:47.900]   You're not going to take a separate estimate of the car.
[00:40:47.900 --> 00:40:47.900]   You're not going to take a separate estimate of the car.
[00:40:47.900 --> 00:40:47.900]   You're not going to take a separate estimate of the car.
[00:40:47.900 --> 00:40:47.900]   You're not going to take a separate estimate of the car.
[00:40:47.900 --> 00:40:47.900]   You're not going to take a separate estimate of the car.
[00:40:47.900 --> 00:40:47.900]   You're not going to take a separate estimate of the car.
[00:40:47.900 --> 00:40:47.900]   You're not going to take a separate estimate of the car.
[00:40:47.900 --> 00:41:17.920]   I'm not going to take a separate estimate of the car.
[00:41:17.920 --> 00:41:17.920]   You're not going to take a separate estimate of the car.
[00:41:17.920 --> 00:41:17.920]   You're not going to take a separate estimate of the car.
[00:41:17.920 --> 00:41:17.920]   You're not going to take a separate estimate of the car.
[00:41:17.920 --> 00:41:17.920]   You're not going to take a separate estimate of the car.
[00:41:17.920 --> 00:41:17.920]   You're not going to take a separate estimate of the car.
[00:41:17.920 --> 00:41:17.920]   You're not going to take a separate estimate of the car.
[00:41:17.920 --> 00:41:17.920]   You're not going to take a separate estimate of the car.
[00:41:17.920 --> 00:41:17.920]   You're not going to take a separate estimate of the car.
[00:41:17.940 --> 00:41:47.940]   You're not going to take a separate estimate of the car.
[00:41:47.940 --> 00:41:47.940]   You're not going to take a separate estimate of the car.
[00:41:47.940 --> 00:41:47.940]   You're not going to take a separate estimate of the car.
[00:41:47.940 --> 00:41:47.940]   You're not going to take a separate estimate of the car.
[00:41:47.940 --> 00:41:47.940]   You're not going to take a separate estimate of the car.
[00:41:47.940 --> 00:41:47.940]   You're not going to take a separate estimate of the car.
[00:41:47.940 --> 00:41:47.940]   You're not going to take a separate estimate of the car.
[00:41:47.940 --> 00:41:47.940]   You're not going to take a separate estimate of the car.
[00:41:47.940 --> 00:41:47.940]   You're not going to take a separate estimate of the car.
[00:41:47.940 --> 00:41:47.940]   You're not going to take a separate estimate of the car.
[00:41:47.940 --> 00:41:47.940]   You're not going to take a separate estimate of the car.
[00:41:47.940 --> 00:41:47.940]   You're not going to take a separate estimate of the car.
[00:41:47.940 --> 00:41:47.940]   You're not going to take a separate estimate of the car.
[00:41:47.940 --> 00:41:47.940]   You're not going to take a separate estimate of the car.
[00:41:47.940 --> 00:42:17.960]   I'm not going to take a separate estimate of the car.
[00:42:17.960 --> 00:42:17.960]   I'm not going to take a separate estimate of the car.
[00:42:17.960 --> 00:42:17.960]   I'm not going to take a separate estimate of the car.
[00:42:17.960 --> 00:42:17.960]   I'm not going to take a separate estimate of the car.
[00:42:17.960 --> 00:42:17.960]   I'm not going to take a separate estimate of the car.
[00:42:17.960 --> 00:42:17.960]   I'm not going to take a separate estimate of the car.
[00:42:17.960 --> 00:42:17.960]   I'm not going to take a separate estimate of the car.
[00:42:17.960 --> 00:42:17.960]   I'm not going to take a separate estimate of the car.
[00:42:17.980 --> 00:42:47.980]   You're not going to take a separate estimate of the car.
[00:42:47.980 --> 00:42:47.980]   You're not going to take a separate estimate of the car.
[00:42:47.980 --> 00:42:47.980]   You're not going to take a separate estimate of the car.
[00:42:47.980 --> 00:42:47.980]   You're not going to take a separate estimate of the car.
[00:42:47.980 --> 00:42:47.980]   You're not going to take a separate estimate of the car.
[00:42:47.980 --> 00:42:47.980]   You're not going to take a separate estimate of the car.
[00:42:47.980 --> 00:42:47.980]   You're not going to take a separate estimate of the car.
[00:42:47.980 --> 00:42:47.980]   You're not going to take a separate estimate of the car.
[00:42:47.980 --> 00:42:47.980]   You're not going to take a separate estimate of the car.
[00:42:47.980 --> 00:42:47.980]   You're not going to take a separate estimate of the car.
[00:42:47.980 --> 00:42:47.980]   You're not going to take a separate estimate of the car.
[00:42:47.980 --> 00:42:47.980]   You're not going to take a separate estimate of the car.
[00:42:47.980 --> 00:42:47.980]   You're not going to take a separate estimate of the car.
[00:42:47.980 --> 00:42:47.980]   You're not going to take a separate estimate of the car.
[00:42:47.980 --> 00:43:18.000]   I'm not going to take a separate estimate of the car.
[00:43:18.000 --> 00:43:18.000]   I'm not going to take a separate estimate of the car.
[00:43:18.000 --> 00:43:18.000]   I'm not going to take a separate estimate of the car.
[00:43:18.000 --> 00:43:18.000]   I'm not going to take a separate estimate of the car.
[00:43:18.000 --> 00:43:18.000]   I'm not going to take a separate estimate of the car.
[00:43:18.000 --> 00:43:18.000]   I'm not going to take a separate estimate of the car.
[00:43:18.000 --> 00:43:18.000]   I'm not going to take a separate estimate of the car.
[00:43:18.000 --> 00:43:18.000]   I'm not going to take a separate estimate of the car.
[00:43:18.020 --> 00:43:48.020]   I'm not going to take a separate estimate of the car.
[00:43:48.020 --> 00:43:48.020]   I'm not going to take a separate estimate of the car.
[00:43:48.020 --> 00:43:48.020]   I'm not going to take a separate estimate of the car.
[00:43:48.020 --> 00:43:48.020]   I'm not going to take a separate estimate of the car.
[00:43:48.020 --> 00:43:48.020]   I'm not going to take a separate estimate of the car.
[00:43:48.020 --> 00:43:48.020]   I'm not going to take a separate estimate of the car.
[00:43:48.020 --> 00:43:48.020]   I'm not going to take a separate estimate of the car.
[00:43:48.020 --> 00:43:48.020]   I'm not going to take a separate estimate of the car.
[00:43:48.020 --> 00:43:48.020]   I'm not going to take a separate estimate of the car.
[00:43:48.020 --> 00:43:48.020]   I'm not going to take a separate estimate of the car.
[00:43:48.020 --> 00:43:48.020]   I'm not going to take a separate estimate of the car.
[00:43:48.020 --> 00:43:48.020]   I'm not going to take a separate estimate of the car.
[00:43:48.020 --> 00:43:48.020]   I'm not going to take a separate estimate of the car.
[00:43:48.020 --> 00:43:48.020]   I'm not going to take a separate estimate of the car.
[00:43:48.020 --> 00:44:18.040]   I'm not going to take a separate estimate of the car.
[00:44:18.040 --> 00:44:18.040]   I'm not going to take a separate estimate of the car.
[00:44:18.040 --> 00:44:18.040]   I'm not going to take a separate estimate of the car.
[00:44:18.040 --> 00:44:18.040]   I'm not going to take a separate estimate of the car.
[00:44:18.040 --> 00:44:18.040]   I'm not going to take a separate estimate of the car.
[00:44:18.040 --> 00:44:18.040]   I'm not going to take a separate estimate of the car.
[00:44:18.040 --> 00:44:18.040]   I'm not going to take a separate estimate of the car.
[00:44:18.040 --> 00:44:18.040]   I'm not going to take a separate estimate of the car.
[00:44:18.040 --> 00:44:18.040]   I'm not going to take a separate estimate of the car.
[00:44:18.040 --> 00:44:18.040]   I'm not going to take a separate estimate of the car.
[00:44:18.040 --> 00:44:18.040]   I'm not going to take a separate estimate of the car.
[00:44:18.060 --> 00:44:48.060]   I'm not going to take a separate estimate of the car.
[00:44:48.060 --> 00:44:48.060]   I'm not going to take a separate estimate of the car.
[00:44:48.060 --> 00:44:48.060]   I'm not going to take a separate estimate of the car.
[00:44:48.060 --> 00:44:48.060]   I'm not going to take a separate estimate of the car.
[00:44:48.060 --> 00:44:48.060]   I'm not going to take a separate estimate of the car.
[00:44:48.060 --> 00:44:48.060]   I'm not going to take a separate estimate of the car.
[00:44:48.060 --> 00:44:48.060]   I'm not going to take a separate estimate of the car.
[00:44:48.060 --> 00:44:48.060]   I'm not going to take a separate estimate of the car.
[00:44:48.060 --> 00:44:48.060]   I'm not going to take a separate estimate of the car.
[00:44:48.060 --> 00:44:48.060]   I'm not going to take a separate estimate of the car.
[00:44:48.060 --> 00:44:48.060]   I'm not going to take a separate estimate of the car.
[00:44:48.060 --> 00:44:48.060]   I'm not going to take a separate estimate of the car.
[00:44:48.060 --> 00:44:48.060]   I'm not going to take a separate estimate of the car.
[00:44:48.060 --> 00:44:48.060]   I'm not going to take a separate estimate of the car.
[00:44:48.060 --> 00:45:18.080]   I'm not going to take a separate estimate of the car.
[00:45:18.080 --> 00:45:18.080]   I'm not going to take a separate estimate of the car.
[00:45:18.080 --> 00:45:18.080]   I'm not going to take a separate estimate of the car.
[00:45:18.080 --> 00:45:18.080]   I'm not going to take a separate estimate of the car.
[00:45:18.080 --> 00:45:18.080]   I'm not going to take a separate estimate of the car.
[00:45:18.080 --> 00:45:18.080]   I'm not going to take a separate estimate of the car.
[00:45:18.080 --> 00:45:18.080]   I'm not going to take a separate estimate of the car.
[00:45:18.080 --> 00:45:18.080]   I'm not going to take a separate estimate of the car.
[00:45:18.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:45:48.100]   We're going to take a separate estimate of the car.
[00:45:48.100 --> 00:46:18.120]   We're going to take a separate estimate of the car.
[00:46:18.120 --> 00:46:18.120]   We're going to take a separate estimate of the car.
[00:46:18.120 --> 00:46:18.120]   We're going to take a separate estimate of the car.
[00:46:18.120 --> 00:46:18.120]   We're going to take a separate estimate of the car.
[00:46:18.120 --> 00:46:18.120]   We're going to take a separate estimate of the car.
[00:46:18.120 --> 00:46:18.120]   We're going to take a separate estimate of the car.
[00:46:18.120 --> 00:46:18.120]   We're going to take a separate estimate of the car.
[00:46:18.120 --> 00:46:18.120]   We're going to take a separate estimate of the car.
[00:46:18.120 --> 00:46:18.120]   We're going to take a separate estimate of the car.
[00:46:18.120 --> 00:46:18.120]   We're going to take a separate estimate of the car.
[00:46:18.140 --> 00:46:48.140]   It's hard to see how I could stomach the fuel bill to cover the distances that I would enjoy covering.
[00:46:48.140 --> 00:46:48.140]   It's hard to see how I could stomach the fuel bill to cover the distances that I would enjoy covering.
[00:46:48.140 --> 00:46:48.140]   It's hard to see how I could stomach the fuel bill to cover the distances that I would enjoy covering.
[00:46:48.140 --> 00:46:48.140]   Going across the country at 6 or 8 miles per gallon gets pretty old.
[00:46:48.140 --> 00:46:48.140]   Going across the country at 6 or 8 miles per gallon gets pretty old.
[00:46:48.140 --> 00:46:48.140]   And so just the economy of being able to travel freely and that means it gets used more.
[00:46:48.140 --> 00:46:48.140]   And so just the economy of being able to travel freely and that means it gets used more.
[00:46:48.140 --> 00:46:48.140]   Fifth wheel, same thing. For full timing, fifth wheel would be awesome. Is there a weekend here or there to tow that big old thing and deal with it?
[00:46:48.140 --> 00:46:48.140]   It's just a pain. And again, I had to keep it big and small.
[00:46:48.140 --> 00:46:48.140]   I had to keep it big and small.
[00:46:48.140 --> 00:47:18.160]   the big truck around 8 10 miles per gallon travel trailer fine but basically the same problem as a fifth wheel it's a hassle like I described earlier what about a small travel trailer well for me I don't really fit well in a small travel trailer shoulder too big too tall etc and they're not enough beds for my family really usually two people fit well and some of the kind of the small travel trailers and I don't see the point that bathrooms are uncomfortable they're too small I don't want to use the shower I don't use the TV so
[00:47:18.180 --> 00:47:48.180]   I don't see the point that bathrooms are uncomfortable they're too small I don't want to use the TV so
[00:47:48.180 --> 00:47:48.180]   I don't see the point that bathrooms are uncomfortable they're too small I don't want to use the TV so
[00:47:48.180 --> 00:47:48.180]   I don't see the point that bathrooms are uncomfortable they're too small I don't want to use the TV so
[00:47:48.180 --> 00:47:48.180]   I don't see the point that bathrooms are uncomfortable they're too small I don't
[00:47:48.180 --> 00:47:48.180]   I don't see the point that bathrooms are uncomfortable they're too small I don't
[00:47:48.180 --> 00:47:48.180]   I don't see the point that bathrooms are uncomfortable they're too small I don't see the point that
[00:47:48.180 --> 00:47:48.180]   I don't see the point that bathrooms are uncomfortable they're too small I don't see the point that
[00:47:48.180 --> 00:48:18.200]   I don't see the point that bathrooms are uncomfortable they're too small I don't see the point that
[00:48:18.200 --> 00:48:18.200]   I don't see the point that bathrooms are uncomfortable they're too small I don't see the point that
[00:48:18.200 --> 00:48:18.200]   I don't see the point that bathrooms are uncomfortable they're too small I don't see the point that
[00:48:18.200 --> 00:48:18.200]   I don't see the point that bathrooms are uncomfortable they're too small I don't see the point that
[00:48:18.200 --> 00:48:18.200]   I don't see the point that bathrooms are uncomfortable they're too small I don't see the point that
[00:48:18.240 --> 00:48:27.880]   Chev
[00:48:27.880 --> 00:48:29.500]   provide ah meinen
[00:48:29.500 --> 00:48:46.980]   nothing won 5 Woodd line, and, and, and, and, and, and, in, The Hm explainarch, Ind, bos like, qu ci. N.則. scores. waters. fried. como.. RIGHT!類. think. find. is. wasn't. with these. set. work. then, recall the kids even,
[00:48:47.040 --> 00:48:56.560]  我覺得 cryptocurrency
[00:48:56.560 --> 00:49:14.300]   guess in analyse
[00:49:14.300 --> 00:49:17.020]   g, pressed, dream, 100, 30,�, so, ley, dont,�, link,GL. 막. collaborative leads the couldn't give up the life is a believe the 걸�man des измен wasn't the r MHC. The señora in the 그런ав theandom the baskets the way of the padлек the round the K. I'm the Barrage the
[00:49:17.060 --> 00:49:20.700]   Le
[00:49:20.700 --> 00:49:45.160]   play, find a grey
[00:50:14.980 --> 00:50:14.980]   and
[00:50:15.020 --> 00:50:25.420]   time
[00:50:25.420 --> 00:50:43.400]   remembered the , will con
[00:51:13.100 --> 00:51:13.100]   and
[00:51:42.160 --> 00:51:42.160]   and
[00:51:42.160 --> 00:51:42.160]   and
[00:51:42.160 --> 00:51:42.160]   and
[00:52:13.180 --> 00:52:43.160]   ISSUE 3: THE MOST IMPORTANT THING TO DO IF YOU ARE CONSIDERING PURCHASING AN RV OF SOME KIND. WHAT I WOULD RECOMMEND THAT YOU DO, AS WITH ALMOST ANYTHING ELSE IS RENT. RENT SOME DIFFERENT OPTIONS AND TRY THEM OUT. IT'S FAIRLY EASY IN MOST PLACES TO RENT A POP-UP CAMPER. YOU SHOULD BE ABLE TO FIND ONE. WE TOOK A RENTAL POP-UP CAMPER FROM FLORIDA TO THE GRAND CANYON ONE TIME AND IT WORKED FINE. SO YOU CAN RENT ONE, TRY IT OUT THAT WAY. RENT A FEW DIFFERENT TRAVEL TRAILERS AND RENT A BIG TRAVEL TRAILER FROM THE GRAND CANYON. THAT'S THE MOST IMPORTANT THING THAT YOU CAN DO.
[00:52:43.200 --> 00:53:13.180]  , RENT A BIG MOTORHOME IF YOU'RE THINKING ABOUT GOING THAT DIRECTION. THERE'S BEEN SUCH A PROLIFERATION IN THE RENTAL MARKETPLACE THAT NOW YOU CAN FIND ALMOST ANYTHING TO RENT. DON'T THINK THAT IT'S EXPENSIVE TO RENT A CAMPER AND YOU'LL JUST SAVE MONEY BY BUYING ONE. YOU WILL NOT. IT'S NOT EXPENSIVE TO RENT A CAMPER. IT'S MUCH CHEAPER THAN BUYING ONE. YOU WON'T KNOW TODAY IF YOU'VE NEVER OWNED ONE, YOU WON'T KNOW ALL THE LITTLE EXPENSES THAT ADD UP, BUT YOU'LL KNOW THAT YOU CAN RENT A CAMPER.
[00:53:13.200 --> 00:53:27.660]   BUT IT'S CHEAPER TO RENT IT, WHICH IS PROBABLY WHY YOU SHOULD RENT IT ANYWAY. YOU SHOULD JUST DISPENSE WITH BUYING IT IN THE LONG RUN. USUALLY THERE YOU GET INTO JUST HOW MANY NIGHTS YOU'RE ACTUALLY GOING TO USE IT AND THEN AVAILABILITY, ETC.
[00:53:27.660 --> 00:53:43.200]   I WILL FULLY CONCEIVE THE POINT ABOUT POP-UP CAMPERS NOT BEING ABLE JUST TO GET IN AND HAVE A MEAL. AND THAT IS ONE THING THAT'S LOVELY ABOUT A FIXED TRAILER, FIXED MOTORHOME, ETC.
[00:53:43.200 --> 00:53:43.200]   I WILL FULLY CONCEIVE THE POINT ABOUT POP-UP CAMPERS NOT BEING ABLE JUST TO GET IN AND HAVE A MEAL.
[00:53:43.240 --> 00:54:13.220]  ,
[00:54:13.220 --> 00:54:13.220]   SOMETHING THAT I'VE GOT TO SAY ON THE SUBJECT.
[00:54:13.220 --> 00:54:13.220]   I HOPE THAT WAS A GOOD USEFUL THING FOR YOU TO CONSIDER.
[00:54:13.220 --> 00:54:13.220]   TRY IT FOR YOURSELF.
[00:54:13.220 --> 00:54:13.220]   JUST ALWAYS BE CAREFUL.
[00:54:13.220 --> 00:54:13.220]   I WILL TELL YOU, IT IS POSSIBLE.
[00:54:13.220 --> 00:54:13.220]   MANY PEOPLE LOSE A LOT OF MONEY ON RVS AND BECAUSE OF THAT YOU HAVE AN OPPORTUNITY.
[00:54:13.220 --> 00:54:13.220]   IF YOU'RE CAREFUL AND IF YOU'RE PATIENT AND IF YOU TAKE YOUR TIME YOU CAN DO OKAY.
[00:54:13.240 --> 00:54:43.240]   I WILL TELL YOU, IT IS POSSIBLE.

