
[00:00:00.000 --> 00:00:03.260]   So what I want to do today the deep question I want to dive into today
[00:24:47.260 --> 00:24:49.980]   You've heard me talk about Blinkist before the Blinkist app
[00:24:49.980 --> 00:24:56.700]   allows you to understand the big ideas from over five thousand five hundred nonfiction books and
[00:24:56.700 --> 00:24:58.780]   podcast in
[00:24:58.780 --> 00:24:59.820]   just
[00:24:59.820 --> 00:25:01.660]   15 minutes
[00:25:01.660 --> 00:25:04.540]   You know, I'm realizing Jesse that's a little bit ambiguous as worded
[00:25:04.540 --> 00:25:09.460]   One potential reading of that is the Blinkist app will allow you to digest
[00:25:10.380 --> 00:25:14.780]   5,000 books worth of ideas in 15 minutes. See I think that's too much of a summary
[00:25:14.780 --> 00:25:23.700]   But that's not what it means what it means is you can select from over five thousand five hundred books and for any one of
[00:25:23.700 --> 00:25:25.580]   those books
[00:25:25.580 --> 00:25:32.220]   Get a 15 minute summary that you can either read or listen to while you do something else. Those summaries are called
[00:25:32.220 --> 00:25:34.260]   blinks
[00:25:34.260 --> 00:25:37.300]   If you want to adopt a reading life like we just discussed
[00:25:38.300 --> 00:25:41.980]   There is no better sidekick than Blinkist because here's what it allows you to do
[00:25:41.980 --> 00:25:49.740]   Triage potential books to let into your life. You say I'm interested in this topic. Here's a few books on it. Which one should I buy?
[00:25:49.740 --> 00:25:52.900]   You listen to or read the blinks on all three of them
[00:25:52.900 --> 00:25:59.660]   You get the big ideas and quickly you can kind of hone in. I don't this one seems like it's a blog post
[00:25:59.660 --> 00:26:03.700]   It's expanded. Oh, this one seems serious. Oh, that's the one I'm gonna buy. That's the one I'm gonna read
[00:26:03.860 --> 00:26:07.980]   So if you're a serious reader Blinkist should be your sidekick
[00:26:07.980 --> 00:26:11.340]   They also have this new feature called Blinkist connect in
[00:26:11.340 --> 00:26:14.420]   Which you get two accounts for the price of one
[00:26:14.420 --> 00:26:19.500]   So you sign up for one and you can gift an account to a friend Jesse you and I both use Blinkist
[00:26:19.500 --> 00:26:25.580]   You have volunteered for me to actually bring up allow me to bring up your Blinkist app on the screen here
[00:26:25.580 --> 00:26:27.940]   Yeah, let's look at this real quick. Let me just jump over
[00:26:27.940 --> 00:26:29.780]   to it
[00:26:29.780 --> 00:26:33.460]   So for those who are watching at youtube.com slash Cal Newport media
[00:26:33.460 --> 00:26:38.220]   I've logged into the Blinkist app here. The reason why I want to do this was just to show you
[00:26:38.220 --> 00:26:40.860]   one other thing which I
[00:26:40.860 --> 00:26:44.700]   Like about Blinkist is they have these things called collections
[00:26:44.700 --> 00:26:51.100]   So it will also help you discover new books. So I'm looking at some collections on the screen here. Here's one
[00:26:51.100 --> 00:26:56.140]   Friend of the show friend of mine Adam Grant Adam grants book recommendations
[00:26:56.460 --> 00:27:02.300]   So I'm gonna click on that and what you get here is a collection of 14 books that Adam Grant is
[00:27:02.300 --> 00:27:06.220]   Recommending so you have like from strength the strength by Arthur Brooks
[00:27:06.220 --> 00:27:09.780]   Parenting by Jean Olin wing and so on
[00:27:09.780 --> 00:27:13.300]   obviously, this is a
[00:27:13.300 --> 00:27:16.180]   Nonsense list because none of my books are in it, but
[00:27:16.180 --> 00:27:21.500]   The point is you can also have books recommended and so there's 14 books in this list
[00:27:21.500 --> 00:27:25.380]   Click on any one of these things get the 15-minute summary to see if you want to buy it
[00:27:25.380 --> 00:27:31.580]   I'm telling you if the reading life is something that you think is important and you really should Blinkist is a great sidekick
[00:27:31.580 --> 00:27:33.780]   to have
[00:27:33.780 --> 00:27:35.460]   along to ride
[00:27:35.460 --> 00:27:40.900]   So right now Blinkist has a special offer just for our audience if you go to Blinkist comm slash deep
[00:27:40.900 --> 00:27:48.060]   To start your seven-day free trial. You will get 25% off a Blinkist premium membership. That's Blinkist spelled
[00:27:48.060 --> 00:27:50.780]   blinkist
[00:27:51.100 --> 00:27:57.700]   Blinkist comm slash deep to get 25% off and a seven-day free trial. That's Blinkist comm slash deep
[00:27:57.700 --> 00:28:04.820]   Remember now for a limited time you can even use Blinkist connect to share your premium account. You'll get two premium subscriptions
[00:28:04.820 --> 00:28:07.580]   for the price of one
[00:28:07.580 --> 00:28:09.700]   we also want to mention our
[00:28:09.700 --> 00:28:12.220]   sponsor ExpressVPN in
[00:28:12.220 --> 00:28:17.100]   Many prior ad reads I've explained why you need a VPN
[00:28:17.460 --> 00:28:20.580]   so that your internet provider or people who are
[00:28:20.580 --> 00:28:24.480]   Sniffing your packets as they move through the air from your device to a Wi-Fi
[00:28:24.480 --> 00:28:28.860]   Access point can't tell who you were talking to on the internet with a VPN
[00:28:28.860 --> 00:28:33.300]   You have a secure connection to a VPN server that talks to the sites and services on your behalf
[00:28:33.300 --> 00:28:39.260]   There's a kind of fun extra bonus reason why you might want a VPN like ExpressVPN
[00:28:39.260 --> 00:28:44.360]   Is that if you choose to connect to a VPN server in another country?
[00:28:45.300 --> 00:28:49.500]   The websites or services you talk to think you are in that country. I
[00:28:49.500 --> 00:28:54.980]   Was messing around with this recently, for example, I watched The Office
[00:28:54.980 --> 00:29:00.080]   by logging into a ExpressVPN server in the UK and
[00:29:00.080 --> 00:29:08.260]   Then log it into my Netflix account because Netflix UK has the rights to The Office whereas Netflix in the US does not it's on
[00:29:08.260 --> 00:29:11.540]   Peacock so you could fill that in for all all sorts of other
[00:29:11.540 --> 00:29:13.820]   regionalized shows
[00:29:13.820 --> 00:29:20.320]   Thinking about you know, the show Vikings on Canadian Netflix, for example or Korean dramas
[00:29:20.320 --> 00:29:25.740]   Go to a Korean server connecting the Netflix. You can see suddenly Korean dramas that you wouldn't normally see in
[00:29:25.740 --> 00:29:30.240]   the US so that's that's a cool bonus feature you get in addition to the
[00:29:30.240 --> 00:29:37.460]   Security and the protection and the privacy is like hey, you can put yourself into different countries. Actually the way I use that most often I
[00:29:37.460 --> 00:29:40.700]   would say is when I am traveling overseas and
[00:29:41.700 --> 00:29:46.660]   I'm homesick and I want American Netflix. I just want to watch a show. I'm in a hotel room somewhere in Berlin
[00:29:46.660 --> 00:29:55.580]   Connect to a VPN server in the US go Netflix and Netflix thinks you're back in the good old US of A so VPNs are vital
[00:29:55.580 --> 00:29:58.420]   They also let you do fun things like that
[00:29:58.420 --> 00:30:01.500]   ExpressVPN is the one I use because I think it has the most servers
[00:30:01.500 --> 00:30:07.340]   I love the available bandwidth and it's very easy to use click a switch. It's on you don't even realize it's on
[00:30:07.940 --> 00:30:11.220]   So if you want all the benefits security privacy
[00:30:11.220 --> 00:30:16.700]   Benefits of VPNs as well as access to hundreds of new shows go to expressvpn.com
[00:30:16.700 --> 00:30:20.940]   Deep right now and you can get an extra three months of ExpressVPN for free
[00:30:20.940 --> 00:30:26.380]   That's ExpressVPN.com slash deep ExpressVPN.com slash deep to learn more
[00:30:26.380 --> 00:30:30.020]   All right, Jesse. We got now five questions from our listeners all
[00:30:30.020 --> 00:30:35.360]   Related to our central deep question about why we should read more books. These are all
[00:30:35.880 --> 00:30:38.800]   book related questions who is first
[00:30:38.800 --> 00:30:41.720]   My first question is from bookish. I
[00:30:41.720 --> 00:30:48.660]   Thought about buying used physical copies of all the books. I've read on Kindle that I found worthwhile, but it seems wasteful
[00:30:48.660 --> 00:30:50.860]   Would this be crazy?
[00:30:50.860 --> 00:30:53.500]   The TLDR here is no
[00:30:53.500 --> 00:30:56.260]   and before I elaborate on that, let me
[00:30:56.260 --> 00:31:00.620]   Briefly detour to address the topic. I put a pin in earlier
[00:31:00.620 --> 00:31:07.120]   Which is Kindle used to read is that the same as reading physical books when it comes to the advantage talked about by?
[00:31:07.120 --> 00:31:09.200]   Marion Wolfe, I would say almost
[00:31:09.200 --> 00:31:11.480]   completely yes
[00:31:11.480 --> 00:31:17.560]   It's pretty close and the big issue. This is what Wolf points out the big issue with reading on a phone or an iPad
[00:31:17.560 --> 00:31:24.760]   Is it's the same screen we do all this other distracting behavior on and that's what pushes us into these skim patterns
[00:31:24.760 --> 00:31:27.440]   Kindle we only used to read books
[00:31:27.440 --> 00:31:34.240]   And so it does not seem at least anecdotally to induce that same skimming mindset
[00:31:34.240 --> 00:31:41.020]   I mean the Kindle is not really even a screen in the traditional sense of let's say an iPad or a phone where you actually have
[00:31:41.020 --> 00:31:47.200]   Different color lights being projected from these very small pixels that form an image. That's not exactly
[00:31:47.200 --> 00:31:50.360]   It's not how a Kindle works a Kindle. It's actually electromechanical
[00:31:50.360 --> 00:31:56.320]   It uses a technology called e-ink and all it is is a grid of very small disks
[00:31:56.880 --> 00:32:02.560]   laid out like a grid one side is essentially white the other side is essentially black and
[00:32:02.560 --> 00:32:05.160]   There is a little wires think about it
[00:32:05.160 --> 00:32:10.640]   Like there's wires to every little one of those things and if you put a little electrical pulse to one of the disk it flips over
[00:32:10.640 --> 00:32:13.680]   So what's happening with the Kindle is when you switch your page?
[00:32:13.680 --> 00:32:22.440]   There's a pulse to all these disks which flips them over into a pattern and now what you're physically looking at these physical disks
[00:32:22.760 --> 00:32:26.980]   White on one side black on the others have all been flipped in a way that what it shows you is the page with your
[00:32:26.980 --> 00:32:33.320]   Text so there's no light behind it. It's not shining pixels at you. It's actually physically a
[00:32:33.320 --> 00:32:36.080]   pattern of white and black
[00:32:36.080 --> 00:32:41.440]   Physical disks that's why you shine a book light on it like anything else. It's like you're reading paper
[00:32:41.440 --> 00:32:49.120]   It really is like you're reading paper electricity is only used to flip those. It's not steady-state supported by electricity
[00:32:49.120 --> 00:32:50.760]   That's a little bit
[00:32:50.760 --> 00:32:57.380]   In the weeds, but I think it helps explain why the experience arena Kindle really can be like reading a physical book in a way
[00:32:57.380 --> 00:33:01.520]   That reading on your eye your iPhone is not. All right, let's go back to bookish this question
[00:33:01.520 --> 00:33:06.920]   Is it crazy that if you like have a library book in your Kindle and you love it that you go and buy a copy
[00:33:06.920 --> 00:33:10.520]   Of it. No, I don't even think it needs to be a used copy
[00:33:10.520 --> 00:33:15.480]   Collect books that are important to you or you think are important
[00:33:15.480 --> 00:33:20.920]   I think that makes a lot of sense what better thing to collect you have in a single codex
[00:33:20.920 --> 00:33:26.120]   That is still the wisdom that might have come from years of effort and it had a real impact
[00:33:26.120 --> 00:33:32.320]   This very narrow thing that cost you twenty two dollars or eighteen dollars on Amazon has the ability
[00:33:32.320 --> 00:33:35.600]   to permanently rewire your cognitive
[00:33:35.600 --> 00:33:42.960]   Configuration changed the way you understand the world and live your life. I mean what's more powerful than that and you get it for $18
[00:33:42.960 --> 00:33:44.640]   Yes
[00:33:44.640 --> 00:33:47.000]   Celebrate these things if they've made a big difference in your life
[00:33:47.000 --> 00:33:53.000]   Buy a copy of a book that you think is really good have a library in that way. You're also supporting
[00:33:53.000 --> 00:33:58.360]   The construction of this art you're supporting writers who put all these efforts into it
[00:33:58.360 --> 00:34:05.120]   I am I'm not one of these people that thinks we should minimize our books or that having books is somehow fetishistic
[00:34:05.120 --> 00:34:08.960]   I mean, I think it is a one of the most important artifacts for the reasons
[00:34:08.960 --> 00:34:11.000]   We talked about in the deep dive that began the show
[00:34:11.000 --> 00:34:13.680]   they alone among
[00:34:14.200 --> 00:34:18.640]   All sorts of different things human produced are responsible for literally evolving
[00:34:18.640 --> 00:34:26.520]   The human brain allowing us to move to a higher more sophisticated creative empathetic state of being I think that's something that we can celebrate
[00:34:26.520 --> 00:34:28.960]   So yeah, buy the books bookish buy the books you like
[00:34:28.960 --> 00:34:31.840]   All right. What do got next Jesse?
[00:34:31.840 --> 00:34:38.960]   All right. Next question is from Patrick. I'm a theology grad student. I just signed my first nonfiction book contract
[00:34:39.200 --> 00:34:45.160]   I've been using your paper research database method, but I'm worried it won't be flexible enough for a full book
[00:34:45.160 --> 00:34:47.520]   What do you use to track notes for your books?
[00:34:47.520 --> 00:34:50.800]   Well Patrick congratulations on the contract
[00:34:50.800 --> 00:34:54.000]   That's a call
[00:34:54.000 --> 00:35:01.400]   callback to early Cal Newport comm D deep what he called the paper research database method I
[00:35:01.400 --> 00:35:06.600]   remember writing this it was a an article for my blog years ago and
[00:35:07.320 --> 00:35:09.320]   if memory serves I
[00:35:09.320 --> 00:35:15.880]   Had read an article or watched documentary about how the Pulitzer Prize winning nonfiction writer Taylor branch
[00:35:15.880 --> 00:35:23.840]   Collected and organized the notes for his epic three-part biography of Martin Luther King and he used a paper
[00:35:23.840 --> 00:35:26.240]   research database if again
[00:35:26.240 --> 00:35:32.720]   This is me pulling back pretty deeply into my memory banks. I did not refresh my memory of this article before the show
[00:35:32.720 --> 00:35:35.520]   I believe he used a Microsoft Access
[00:35:36.320 --> 00:35:39.360]   Database, that's how old this was and what he did is
[00:35:39.360 --> 00:35:42.160]   he immersed himself in
[00:35:42.160 --> 00:35:46.760]   Essentially every source about Kings life and when I say every source about Kings life
[00:35:46.760 --> 00:35:52.680]   I don't mean he read a lot of books about King. He did more than that. I don't just mean he went and read
[00:35:52.680 --> 00:35:58.400]   Important academic papers written about King. He did more than that. I don't mean that he went and read
[00:35:58.400 --> 00:36:04.520]   Every newspaper article that mentioned King during Kings life. He did do that, but he did more than that
[00:36:04.680 --> 00:36:06.680]   He would actually go and say
[00:36:06.680 --> 00:36:13.520]   King was in this town on this day. Let me see what's in the newspaper in that town in that day
[00:36:13.520 --> 00:36:16.600]   Just so I can see what's going on. What was it like in?
[00:36:16.600 --> 00:36:19.360]   Selma in
[00:36:19.360 --> 00:36:21.080]   1954 on
[00:36:21.080 --> 00:36:27.840]   Tuesday April 17th, right and so to organize all these notes he put everything into a database that was all keyed by date
[00:36:27.840 --> 00:36:32.060]   Everything had a date and then he would summarize what's going on
[00:36:32.160 --> 00:36:37.480]   You would either transcribe relevant notes and what he observed from it and he just spent years and years doing this and the reason why
[00:36:37.480 --> 00:36:42.000]   He did is that when it came time to write his biographies he could say he had a timeline
[00:36:42.000 --> 00:36:46.040]   Okay, I'm at the point now where I'm talking about what happened in the summer of 1951
[00:36:46.040 --> 00:36:48.320]   He could essentially have his database spit out
[00:36:48.320 --> 00:36:53.120]   everything basically at all relevant to King in those three months in
[00:36:53.120 --> 00:36:59.840]   Chronological order and then he could immerse himself in all of that and from that be able to pull out a very nuanced
[00:37:00.160 --> 00:37:05.120]   Contextualized narrative about what King was doing not just King specific actions, but what was happening in the country at this time
[00:37:05.120 --> 00:37:07.480]   What was happening around King? So it's a really cool method
[00:37:07.480 --> 00:37:10.680]   Patrick I think that is too
[00:37:10.680 --> 00:37:16.740]   Probably too inflexible for your book unless you're writing historical nonfiction. You're gonna spend a lot of years on it
[00:37:16.740 --> 00:37:21.980]   But I can tell you what I do because I've evolved my paper note-taking
[00:37:21.980 --> 00:37:25.620]   Systems over the the books I've written, you know
[00:37:25.620 --> 00:37:30.680]   I've published seven of now in the middle of book number eight finished the first manuscript doing edits right now
[00:37:30.680 --> 00:37:35.020]   So I've done a lot of books. I have to write my books much faster than Taylor Branch
[00:37:35.020 --> 00:37:36.060]   You know
[00:37:36.060 --> 00:37:42.420]   I might have five months to put out one of my books because I have to fit this between other things like being a professor
[00:37:42.420 --> 00:37:47.660]   Etc, right and so in my systems I can say what I tend to prioritize is
[00:37:47.660 --> 00:37:49.820]   speed and
[00:37:49.820 --> 00:37:55.600]   Reducing friction. I want to be able to capture as much relevant information as possible and get to that relevant information as quickly
[00:37:55.600 --> 00:38:02.480]   As possible while minimizing obstacles the lower friction I have in collecting organizing and reviewing notes
[00:38:02.480 --> 00:38:07.900]   The more notes I can take and the more I can pull from when I'm trying to actually pull together my ideas
[00:38:07.900 --> 00:38:11.580]   So I can tell you for my most recent book the book I'm writing now on slow productivity
[00:38:11.580 --> 00:38:18.100]   I have moved to a system in which everything with one key exception about to tell you everything goes in the Scrivener
[00:38:18.100 --> 00:38:24.040]   So I write my my books in Scrivener, but I also keep all of my research notes in Scrivener
[00:38:24.800 --> 00:38:29.280]   A bunch of folders and documents within those folders. I have PDFs. I've dragged in there
[00:38:29.280 --> 00:38:30.920]   I have a bunch of websites
[00:38:30.920 --> 00:38:35.640]   typically what I like to do is put the URL of the web page and then copy all the text and put that in the
[00:38:35.640 --> 00:38:39.960]   Scrivener - so I don't have to go to the website again. All the information is right there
[00:38:39.960 --> 00:38:41.760]   I just have random observations of my own
[00:38:41.760 --> 00:38:48.440]   It's all organized in folders and the folders have subfolders and those subfolders have subfolders because it's incredibly easy to just throw stuff in there
[00:38:48.440 --> 00:38:53.600]   And that's where I write. So all the information is already where I write I write in Scrivener
[00:38:53.600 --> 00:38:56.780]   So everything I might need for a chapter when it comes time to write that chapter
[00:38:56.780 --> 00:39:01.600]   I've just been throwing random stuff in the folders for all sorts of chapters for months and when it comes time to write a particular
[00:39:01.600 --> 00:39:07.940]   Chapter I can just go to the folders relevant to that topic and review everything I have there. It's all right there
[00:39:07.940 --> 00:39:15.280]   It's like Taylor Branch saying what's everything that anyone ever wrote about King in the summer of 1954, but in this case about slow productivity
[00:39:15.280 --> 00:39:20.840]   And I have all my notes and then if I'm working on a chapter, I'll start with that build an outline
[00:39:21.640 --> 00:39:25.320]   Say I need more information here. I need a better story here
[00:39:25.320 --> 00:39:28.760]   I need to think more about that here and then I'll go get more research throw it on the Scrivener
[00:39:28.760 --> 00:39:32.560]   So I just take the notes and put them directly where they need to be
[00:39:32.560 --> 00:39:35.940]   When I'm actually going to write I don't want there to be
[00:39:35.940 --> 00:39:40.000]   Intermediaries, I don't want those notes going into other note-taking systems
[00:39:40.000 --> 00:39:43.200]   We're all done taken from those systems and pulling back into my book and that's because I write fast
[00:39:43.200 --> 00:39:45.280]   And I think the less friction I have
[00:39:46.360 --> 00:39:51.800]   The more notes I'll be able to take the deeper my writing will actually be able to be
[00:39:51.800 --> 00:39:54.360]   All right, so that's what I do it other systems could work too
[00:39:54.360 --> 00:39:55.120]   but again
[00:39:55.120 --> 00:40:01.600]   I don't think that Taylor Branch method is relevant unless you're Robert Caro or Taylor Branch or Robert Gross
[00:40:01.600 --> 00:40:05.280]   You know someone who's writing a book that they just spent the last decade on
[00:40:05.280 --> 00:40:09.160]   All right in the weeds Jesse I like this
[00:40:09.160 --> 00:40:11.880]   Are you impressed that I remembered?
[00:40:12.040 --> 00:40:17.520]   That paper research database. Yeah, I I think I got that right. I almost want to look it up now
[00:40:17.520 --> 00:40:19.520]   I don't know how old that is
[00:40:19.520 --> 00:40:22.800]   I think I got that right. I remember writing that article
[00:40:22.800 --> 00:40:28.600]   So good for Patrick for he's an old-timer. That's good. It's been around for a while. All right, what do we got next?
[00:40:28.600 --> 00:40:33.480]   All right next questions from Sam bit. I have a strange relationship with books
[00:40:33.480 --> 00:40:37.240]   I buy a lot of them, but I can't read them after the first 10 to 12 pages
[00:40:37.240 --> 00:40:44.360]   I feel bored and I stop reading I can't however listen to long podcasts with full attention. How do I become a reader?
[00:40:44.360 --> 00:40:49.800]   Well Sam, but the key thing is you have an ambition to become a reader. So let's give that a checkmark
[00:40:49.800 --> 00:40:54.560]   The second thing I want to point out here is you have inadvertently provided us
[00:40:54.560 --> 00:40:59.760]   I think a really good case study of one of the big ideas from the deep dive earlier in this episode
[00:40:59.760 --> 00:41:02.700]   You can listen to long podcasts. No problem
[00:41:03.640 --> 00:41:11.200]   But you're having trouble with books that just emphasizes in my mind the exceptional nature of book reading when it comes to all
[00:41:11.200 --> 00:41:12.800]   cognitive
[00:41:12.800 --> 00:41:19.600]   Consumption activities. I mean podcasts are complicated. It's not like you can't pay attention to something you're able to focus on a podcast
[00:41:19.600 --> 00:41:23.760]   You're able to listen to me and what I'm saying. So it just goes to show you that there is a unique
[00:41:23.760 --> 00:41:30.400]   Complicated but ultimately essential cognitive dance that happens when you're grappling with sentences
[00:41:31.040 --> 00:41:35.360]   Written on the physical printed page. So it's a good case study that you're providing us here
[00:41:35.360 --> 00:41:38.000]   Alright, so what you need to do is train. I
[00:41:38.000 --> 00:41:44.080]   Don't want you to despair. You're not there's no such thing as I'm not a reader. I am a reader
[00:41:44.080 --> 00:41:50.080]   There is I have trained to read or I have it and if you have it, how do you fix that you do the training?
[00:41:50.080 --> 00:41:53.480]   It's just like I wouldn't say I'm not a runner
[00:41:53.480 --> 00:41:58.560]   Because I just tried to run a 5k having never jogged in my life and then it go very well
[00:41:58.560 --> 00:42:03.240]   I would say I am NOT in shape to run a 5k
[00:42:03.240 --> 00:42:07.440]   But I'm sure if I trained within a few months I could run these on a regular basis
[00:42:07.440 --> 00:42:09.440]   So I'm gonna give you a training regime Sam
[00:42:09.440 --> 00:42:13.160]   Then I'm gonna suggest about how you become a better reader
[00:42:13.160 --> 00:42:16.320]   All right. So we're gonna start with books that you are
[00:42:16.320 --> 00:42:21.160]   excited to read so we want to take out of the equation early on the
[00:42:21.160 --> 00:42:26.960]   boredom factor or the comfort with intellectual discomfort, so this could be
[00:42:27.560 --> 00:42:32.880]   Genre fiction. That's really exciting. You might even want to start with you know short stories. I
[00:42:32.880 --> 00:42:39.160]   Recently read Ted Chiang's original short story collection of sci-fi short stories. It was excellent, right?
[00:42:39.160 --> 00:42:43.120]   But that they're 20 pages each. They're really gripping, you know, whatever
[00:42:43.120 --> 00:42:47.040]   So it could be genre fiction or could be nonfiction me pragmatic nonfiction like the type of books
[00:42:47.040 --> 00:42:47.840]   I write like yeah
[00:42:47.840 --> 00:42:53.000]   I'm gonna read digital minimalism because I'm really motivated to spend less time on my phone and and so you're motivated
[00:42:53.000 --> 00:42:56.160]   I'll read atomic habits or memoirs. I'll read you know
[00:42:56.160 --> 00:43:00.080]   Goggins is memoir because I I want to get fired up or get some discipline
[00:43:00.080 --> 00:43:02.960]   So start with books you're excited to read forget about what they are right now
[00:43:02.960 --> 00:43:09.720]   It's just about time on page number two find a cool reading location or ritual. I talked about in the deep dive
[00:43:09.720 --> 00:43:11.320]   It's gonna help you here
[00:43:11.320 --> 00:43:15.760]   Go into the coffee shop 20 minutes while I finish this one cup of coffee. I'm going to the pub
[00:43:15.760 --> 00:43:18.240]   Bringing the book with me
[00:43:18.240 --> 00:43:22.680]   If you go to a pub, it has to be an English style pub and you need to wear a scarf
[00:43:23.440 --> 00:43:29.400]   Or an ascot you gotta use your accent and you got to use it. Actually got to come in with an ascot
[00:43:29.400 --> 00:43:34.360]   Preferably a beret if you're gonna wear a shirt, it should be striped like a French sailor
[00:43:34.360 --> 00:43:37.360]   and you need to say
[00:43:37.360 --> 00:43:39.600]   Good day barkeep
[00:43:39.600 --> 00:43:42.840]   Pint of ale
[00:43:42.840 --> 00:43:44.640]   well, I
[00:43:44.640 --> 00:43:46.280]   peruse
[00:43:46.280 --> 00:43:48.760]   my book by David Goggins
[00:43:50.760 --> 00:43:55.000]   Talk like that and they're like look this is this is like a member of the lost generation
[00:43:55.000 --> 00:44:01.280]   Essentially essentially we we have Steinbeck here. All right
[00:44:01.280 --> 00:44:05.160]   Then I'm gonna say so that's the setup
[00:44:05.160 --> 00:44:13.560]   Scheduled interval training five days a week. You're gonna read ten minutes at a time do that for at least two weeks
[00:44:13.560 --> 00:44:19.640]   Then up at the 15 minutes do that for at least two weeks up at the 20 minutes. You're giving your mind
[00:44:20.320 --> 00:44:26.320]   Support I'm excited about the book. I have an awesome accent in a bar somewhere. Everyone just thinks I'm awesome
[00:44:26.320 --> 00:44:28.960]   You're fighting
[00:44:28.960 --> 00:44:30.240]   You're fighting, you know
[00:44:30.240 --> 00:44:35.440]   the the secretly beautiful but kind of nerdish women because they have the glasses on when you take off the glasses are actually models that are
[00:44:35.440 --> 00:44:39.680]   Just so attracted to the fact that you're clearly like a serious intellectual because you're ascot and you're reading in the pub
[00:44:39.680 --> 00:44:41.640]   You're fighting off women as you're trying to read
[00:44:41.640 --> 00:44:45.640]   So you've given yourself you've set it all up and now you're doing a very reasonable amount of time
[00:44:45.640 --> 00:44:48.520]   Ten minutes at a time you did for two weeks. You can go up to 15 minutes
[00:44:48.520 --> 00:44:54.160]   You're just you're pushing your mind's comfort actually reading beyond a few pages and then once you get to 40 minutes
[00:44:54.160 --> 00:44:57.280]   Stop upping your time
[00:44:57.280 --> 00:45:00.000]   Fix that as the time you're going to read four to five days a week
[00:45:00.000 --> 00:45:02.640]   And what you're gonna start upping is the complexity of your books
[00:45:02.640 --> 00:45:10.680]   So you get really comfortable at reading most days for 40 minutes and then you start upping the complexity
[00:45:10.680 --> 00:45:17.120]   Slightly harder books slightly more challenging books and you sort of push yourself up the up the ladder
[00:45:17.120 --> 00:45:21.200]   It may be a year or two of this you can get to the point where you're ready to actually tackle
[00:45:21.200 --> 00:45:25.280]   Classic books really complicated books books that require secondary sources
[00:45:25.280 --> 00:45:31.080]   I'm gonna read the secondary source first then I'm gonna read that I'm gonna read the book. I'm telling you one year Sam bit
[00:45:31.080 --> 00:45:33.320]   You can be a reader
[00:45:33.320 --> 00:45:38.480]   He's got trained now why you have to do training more training than other people as other people just inadvertently or through whatever
[00:45:38.480 --> 00:45:42.560]   Circumstance or through inclination or how they were raised just got more of this training already
[00:45:42.560 --> 00:45:45.120]   So they've already done the training
[00:45:45.360 --> 00:45:47.360]   They grew up with a family of athletes
[00:45:47.360 --> 00:45:54.160]   They ran every day Arnold Schwarzenegger's dad in Austria made him do push-ups before he could get a meal
[00:45:54.160 --> 00:45:58.120]   He had an advantage by the time he got to the military and started bodybuilding. He was around it
[00:45:58.120 --> 00:46:00.200]   Okay, you didn't have Arnold Schwarzenegger's dad
[00:46:00.200 --> 00:46:05.880]   Making you do push-ups in the cognitive realms. You got a little more training to do. It'll take you a year. You'll catch up
[00:46:05.880 --> 00:46:10.080]   Actually, you don't want Arnold Schwarzenegger's dad
[00:46:11.840 --> 00:46:17.240]   Actually his by his autobiography good fantastic you got a I listened to it, but I love that
[00:46:17.240 --> 00:46:20.760]   it's such a great autobiography, but his dad was from a generation of
[00:46:20.760 --> 00:46:29.040]   Austrian men who post-world war two were just depressed alcoholics. Yeah, just trying to grapple with you know
[00:46:29.040 --> 00:46:30.800]   it's not like he was a
[00:46:30.800 --> 00:46:33.280]   member of the Nazi Party or something, but they were all sort of
[00:46:33.280 --> 00:46:38.600]   Complicit and what was going on and it just was so that there's just a destroyed generation of men. So
[00:46:39.760 --> 00:46:41.760]   advantage of Arnold Schwarzenegger
[00:46:41.760 --> 00:46:45.160]   Extra push-ups
[00:46:45.160 --> 00:46:51.560]   Disadvantaged depressed alcoholic sort of Nazi collaborator dad. So I I would say you could probably figure out a push-up routine on your own
[00:46:51.560 --> 00:46:53.560]   All right, that's kind of going to
[00:46:53.560 --> 00:46:59.040]   Safari it is a really cool, but you know, I like about that book is I love his the
[00:46:59.040 --> 00:47:05.480]   fact that Schwarzenegger comes over here and weightlifting and basically becomes a millionaire before he really gets in the movies by just
[00:47:05.840 --> 00:47:11.520]   He builds he does these businesses other people don't want to do like brick Lane and stuff like this. Yeah and
[00:47:11.520 --> 00:47:14.120]   invest money in real estate and
[00:47:14.120 --> 00:47:17.160]   Not Santa Monica. Where was he investing?
[00:47:17.160 --> 00:47:21.160]   Speech I think yeah. Yeah investing in real estate by the beach
[00:47:21.160 --> 00:47:27.320]   Just doing hard for a mail order business. Yeah, he like built up a fortune and then was like, oh, I'm gonna get in the movies
[00:47:27.320 --> 00:47:31.880]   That um, so your answer to Sam, but reminded me a couple of things
[00:47:32.440 --> 00:47:38.760]   About location. I went to the Library of Congress a couple weeks ago. My friend gave me a tour and that was like pretty inspiring
[00:47:38.760 --> 00:47:45.600]   Yeah, I I have it's expired. I told Jesse I have a researcher card there just because I like to go and work
[00:47:45.600 --> 00:47:50.600]   You know where I would work when I go to the Library Congress was not the big room with the spot like the desks
[00:47:50.600 --> 00:47:54.080]   They're all in a circle. Mm-hmm, but in the like the Arts and Industry Library
[00:47:54.080 --> 00:48:00.760]   It's pretty cool because it has these like 1920s art deco like light fixtures and it's a cool place
[00:48:00.760 --> 00:48:04.720]   Yeah, I told Jesse that my I gotta find a way to write a book
