
[00:00:00.000 --> 00:00:19.440]   All right. Hello, everyone. I hope you have enough space.
[00:28:16.320 --> 00:28:23.320]   And then, yeah, we'd love to hear a lot of different agents speak, you know, at the end of the next 30 minutes.
[00:28:23.320 --> 00:28:24.320]   Awesome.
[00:28:24.320 --> 00:28:25.320]   Thanks so much.
[00:28:25.320 --> 00:28:30.320]   Do let us know your questions and we'll be here for the next 30 minutes to help you set up your agent yourself.
[00:28:30.320 --> 00:28:32.320]   Thank you.
[00:28:32.320 --> 00:28:40.320]   Did anyone have questions that they wanted to ask in the room?
[00:28:40.320 --> 00:28:42.320]   Or I think you're welcome.
[00:28:42.320 --> 00:28:45.320]   There's like microphones.
[00:28:45.320 --> 00:28:46.320]   Yeah, there.
[00:28:46.320 --> 00:28:49.320]   Do you want to just go up to the microphone and ask?
[00:28:49.320 --> 00:28:51.320]   Hello, everyone.
[00:28:51.320 --> 00:28:53.320]   First of all, great presentation.
[00:28:53.320 --> 00:28:59.320]   The question is related to you said that it can switch to different languages without fine tuning it.
[00:28:59.320 --> 00:29:03.320]   Like, what is the background process of it?
[00:29:03.320 --> 00:29:14.320]   Can you explain it a bit more like how well it shifts so perfectly that it can interact in the regional languages as well as the accent is also similar to that kind of thing?
[00:29:14.320 --> 00:29:29.320]   Yeah, so here, what you can see is in my agent configuration, so I can actually, within the voices tab, I can assign different voices to the different languages.
[00:29:29.320 --> 00:29:39.320]   So, for example, in Singapore, the most commonly spoken Tamil accent in Singapore is the Chennai accent Tamil.
[00:29:39.320 --> 00:29:46.320]   And so basically, I went to the voice library and I found a voice that is a Chennai accent Tamil.
[00:29:46.320 --> 00:29:51.320]   And I then basically added that to my voice library and just assigned that here.
[00:29:51.320 --> 00:29:56.320]   So in the voices tab, you can configure the different voices for the different languages.
[00:29:56.320 --> 00:30:06.320]   Which then means that, you know, the, so the actual language detection part, that is the automatic speech recognition model.
[00:30:06.320 --> 00:30:23.320]   So the ASR model will actually identify which language, you know, with, so it basically assigns kind of a score, like a likelihood score, that this is the language that is being spoken, as well as the transcript.
[00:30:23.320 --> 00:30:36.320]   And so basically, we use kind of with the system tool, based on the confidence score of this language being spoken, we then automatically switch to their language in the background.
[00:30:36.320 --> 00:30:43.320]   And basically use the voice that you configured to reply with for this language.
[00:30:43.320 --> 00:30:46.320]   Does that roughly answer the question?
[00:30:46.320 --> 00:30:48.320]   Cool.
[00:30:48.320 --> 00:30:53.320]   Yeah, do you mind coming forward?
[00:30:53.320 --> 00:30:58.320]   So just, because I think it's also being recorded, then we have it.
[00:30:58.320 --> 00:31:00.320]   Great presentation, by the way.
[00:31:00.320 --> 00:31:01.320]   Quick question.
[00:31:01.320 --> 00:31:12.320]   So, other than the changing of the language or language detection or whatnot, does it have any other ability to make any other actions throughout the call?
[00:31:12.320 --> 00:31:15.320]   For example, use case appointment setting.
[00:31:15.320 --> 00:31:24.320]   Does it have actions to maybe call a webhook and to take a look to see if there's any appointments available, either in make or NN and then report back?
[00:31:24.320 --> 00:31:26.320]   Like, we can have that in the prompts?
[00:31:26.320 --> 00:31:27.320]   Yeah, correct.
[00:31:27.320 --> 00:31:38.320]   So, basically, the configuration of that is a combination of your system prompt together with the tools.
[00:31:38.320 --> 00:31:42.320]   So, you can configure custom tools.
[00:31:42.320 --> 00:31:50.320]   And so, these can be server-side tools, which then would be a webhook call, you know, to your CRM, to your system.
[00:31:50.320 --> 00:31:59.320]   So, this is, you know, the standard kind of tool calling, function calling that the LLM supports.
[00:31:59.320 --> 00:32:08.320]   So, you know, like GPT-40 or like the more modern models generally support function calling and structured outputs.
[00:32:08.320 --> 00:32:18.320]   And so, as long as the large language model that you're using to power your agent supports function calling, you can add your tools.
[00:32:18.320 --> 00:32:21.320]   And this can be a combination of server-side tools.
[00:32:21.320 --> 00:32:25.320]   So, for example, you know, as you mentioned, like the scheduling.
[00:32:25.320 --> 00:32:31.320]   You can put in, so, for example, we also have an example with cal.com.
[00:32:31.320 --> 00:32:36.320]   You can put in the API endpoints for cal.com.
[00:32:36.320 --> 00:32:41.320]   And then the agent can actually look up, oh, okay, is there availability in the calendar?
[00:32:41.320 --> 00:32:46.320]   And it can schedule, so it can ask for like the email address.
[00:32:46.320 --> 00:32:55.320]   And then it can schedule, you know, the meeting for all the parties kind of through the conversational AI agent.
[00:32:55.320 --> 00:32:56.320]   Okay, one more question.
[00:32:56.320 --> 00:33:06.320]   What would you suggest would be a good structure for a conversational agent that has like super low latency?
[00:33:06.320 --> 00:33:08.320]   Obviously, the model plays a big role.
[00:33:08.320 --> 00:33:18.320]   So, obviously, like price and model or like price and the latency are like the two biggest key factors when you want to do like a outbound or inbound dialing agent.
[00:33:18.320 --> 00:33:28.320]   What would you suggest for, let's say, an outbound dialing agent or even an inbound to decrease the latency to make it seem more like conversational-like?
[00:33:28.320 --> 00:33:32.320]   Because, obviously, if you use a really good model, it's really large.
[00:33:32.320 --> 00:33:38.320]   The latency is just super high and it just doesn't really, that's not a meaningful conversation to have.
[00:33:38.320 --> 00:33:39.320]   Gotcha.
[00:33:39.320 --> 00:33:41.320]   I think that's a good question.
[00:33:41.320 --> 00:33:47.320]   I think we have some, so, if you go to the documentation, within the conversation,
[00:33:47.320 --> 00:33:53.320]   within the conversational AI, we have some kind of best practices.
[00:33:53.320 --> 00:33:57.320]   I'm not sure if we have like specific...
[00:33:57.320 --> 00:34:02.320]   I do that by testing, but I want to skip the testing part.
[00:34:02.320 --> 00:34:03.320]   Yeah.
[00:34:03.320 --> 00:34:06.320]   Do we have specific guidance on like the best model?
[00:34:06.320 --> 00:34:08.320]   It kind of depends on your use case, right?
[00:34:13.320 --> 00:34:14.320]   Yeah.
[00:34:14.320 --> 00:34:21.320]   Although, I think it's like, he's asking about like the best LLM to use, right?
[00:34:21.320 --> 00:34:22.320]   For...
[00:34:22.320 --> 00:34:23.320]   Right.
[00:34:23.320 --> 00:34:24.320]   Yeah.
[00:34:24.320 --> 00:34:26.320]   I think it depends on your use case.
[00:34:26.320 --> 00:34:32.320]   Like, you know, depending on kind of the function calling and, you know, how much of that you have.
[00:34:32.320 --> 00:34:43.320]   You can probably go down to like, yeah, a Gemini flash or flashlight to like reduce the latency in terms of that.
[00:34:43.320 --> 00:34:49.320]   But I think on our end, in terms of like the voice models, so we use...
[00:34:49.320 --> 00:34:51.320]   Where are the...
[00:34:51.320 --> 00:34:52.320]   Yeah.
[00:34:52.320 --> 00:34:57.320]   We use, by default, kind of the flash models for the speech generation.
[00:34:57.320 --> 00:35:02.320]   So, depending on the languages that you want to support.
[00:35:02.320 --> 00:35:03.320]   Yeah.
[00:35:03.320 --> 00:35:04.320]   Yeah.
[00:35:04.320 --> 00:35:05.320]   It's just a test.
[00:35:05.320 --> 00:35:06.320]   I think testing would...
[00:35:06.320 --> 00:35:12.320]   I think I'll be able to figure out with like proper testing with different models, flash on and off, all that good stuff.
[00:35:12.320 --> 00:35:13.320]   Thank you so much, man.
[00:35:13.320 --> 00:35:14.320]   Cool.
[00:35:14.320 --> 00:35:15.320]   Thanks.
[00:35:15.320 --> 00:35:23.320]   I have a couple of questions.
[00:35:23.320 --> 00:35:28.320]   So, number one, what's the total cost per minute coming down to?
[00:35:28.320 --> 00:35:31.320]   You mean like by default?
[00:35:31.320 --> 00:35:35.320]   So, it kind of depends what pricing tier you're on.
[00:35:35.320 --> 00:35:45.320]   So, if you go to the pricing page, so here, conversational AI.
[00:35:45.320 --> 00:35:53.320]   So, depending on kind of the tier you're on, the, you know, there's a certain amount of minutes that are included.
[00:35:53.320 --> 00:35:58.320]   So, currently, the pricing is based on call minutes.
[00:35:58.320 --> 00:36:08.320]   And then, depending on which tier you're on, there is additional minutes that are charged at a specific price.
[00:36:08.320 --> 00:36:18.320]   So, it does somewhat depend on kind of the pricing tier that you're on.
[00:36:18.320 --> 00:36:25.320]   If you want to have like an application where you need like really long interaction times.
[00:36:25.320 --> 00:36:31.320]   So, you want to do a companion that will talk to you while you cook.
[00:36:31.320 --> 00:36:35.320]   Is there something you can do to mitigate that cost?
[00:36:35.320 --> 00:36:36.320]   The timing cost?
[00:36:36.320 --> 00:36:37.320]   Yeah, that's a good question.
[00:36:37.320 --> 00:36:43.320]   I think like for those use cases, it might not be great at the moment.
[00:36:43.320 --> 00:36:54.320]   Because like if they are just running this like 24/7 to like be able to talk to someone, the cost is pretty significant.
[00:36:54.320 --> 00:36:55.320]   That's a good question.
[00:36:55.320 --> 00:37:06.320]   I think we, I mean, there's potentially like if you reach out to the sales team, there is some like custom pricing that we can do based on the use case.
[00:37:06.320 --> 00:37:14.320]   But I think for now, this is charged based on minutes used like that the session, the session is life.
[00:37:14.320 --> 00:37:15.320]   Okay.
[00:37:15.320 --> 00:37:16.320]   And final question.
[00:37:16.320 --> 00:37:21.320]   I tried to do an agent in your dashboard and it had several tasks.
[00:37:21.320 --> 00:37:26.320]   So, it was one onboarding task, then another follow up task.
[00:37:26.320 --> 00:37:28.320]   And it kind of got confused.
[00:37:28.320 --> 00:37:33.320]   Like it was not like identifying when to do one task, when to do the other.
[00:37:33.320 --> 00:37:39.320]   So, is there a way to mitigate this or maybe have a multi-agent configuration?
[00:37:39.320 --> 00:37:40.320]   Yeah.
[00:37:40.320 --> 00:37:48.320]   So, there's, we have what we call agent to agent, agent to agent transfers.
[00:37:48.320 --> 00:37:54.320]   So, one way to do this is to, you know, basically set this up.
[00:37:54.320 --> 00:38:02.320]   And so, this is, this is a system tool as well, where you basically set up different agents for different use cases.
[00:38:02.320 --> 00:38:09.320]   So, like certain use cases, you also might use, want to use a different LLM to power that use case.
[00:38:09.320 --> 00:38:14.320]   Kind of, you know, depending on which LLM is sort of best for the task.
[00:38:14.320 --> 00:38:18.320]   And then you can configure different agents for different tasks.
[00:38:18.320 --> 00:38:29.320]   And then you can configure kind of an orchestration setup that basically will then route kind of in the background to a different agent.
[00:38:29.320 --> 00:38:36.320]   If you keep the voice the same, this actually happens somewhat like silently without the user actually knowing that they're being transferred.
[00:38:36.320 --> 00:38:39.320]   So, it's not like, it's an immediate transfer.
[00:38:39.320 --> 00:38:51.320]   It just means that you can, you know, sort of develop these agents potentially also across teams where you have, you know, one team that owns kind of this specific agent.
[00:38:51.320 --> 00:38:58.320]   And then in the background, you just kind of switch between the agents for like the different tasks.
[00:38:58.320 --> 00:38:59.320]   Great. Thank you.
[00:38:59.320 --> 00:39:00.320]   Thanks.
[00:39:00.320 --> 00:39:05.320]   Cool. Any more questions?
[00:39:05.320 --> 00:39:24.320]   Yeah. Latency. So, in general, like simple examples usually, you know, great for demos, but when you have something more heavy, more enterprise grade, and you have more data, more, you know, your rags taking time to come back.
[00:39:24.320 --> 00:39:33.320]   How do you not have a shitty experience because, you know, think of it from the end user's perspective, right?
[00:39:33.320 --> 00:39:38.320]   They're like, ah, it was like, then blank for the next minute or two.
[00:39:38.320 --> 00:39:51.320]   Do you suggest fillers? Like, you know, does the conversational AI say, I'm thinking, let me think about it? Or how do you kind of make it more natural?
[00:39:51.320 --> 00:40:06.320]   Because there is going to be like an enterprise setup, right? Like if I have to then go look up a patient's claim, you know, that might go hit a database, once that comes back, it goes to other systems, does a whole bunch of things.
[00:40:06.320 --> 00:40:09.320]   But it takes time. Yeah.
[00:40:09.320 --> 00:40:19.320]   Like, how do you set it up so that, you know, latency that can't be avoided? How do we make the conversational experience better?
[00:40:19.320 --> 00:40:35.320]   Yeah. So, there's certain things that you can do. So, you know, generally kind of these are, you know, if you have like a big knowledge base, for example, like using Rack is kind of one way of kind of mitigating, you know, that's taking too much time.
[00:40:35.320 --> 00:40:54.320]   And then also in terms of your tools, when you define your tools, you can configure the, where is it? Kind of the response time. So, when you, you know, add parameters, where was the configuration?
[00:40:54.320 --> 00:41:13.320]   Where was the configuration? I think there's a configuration for, yeah, like the timeout. So, basically how long you want to wait for, you know, this tool to sort of come back. And also if you want to wait sort of for the response.
[00:41:13.320 --> 00:41:28.320]   So, I think the maximum timeout we allow is like 120 seconds. And then the agent will actually like say, oh, I'm currently looking that up in the system. Sorry, you know, we're still waiting kind of on the response.
[00:41:28.320 --> 00:41:46.320]   So, that is sort of built into the tooling here. Now, you know, depending on your, yeah, like use case, you probably want to, to, to put that kind of, you know, fairly low. Because like, yeah, if you're waiting on the call.
[00:41:46.320 --> 00:42:03.320]   I wonder if you can do something where it's like, oh, I'll call you back, you know, like, I'll take that back and like take the action or, but I think for now it would just, yeah, depending on your timeout time, it basically will wait for the response.
[00:42:03.320 --> 00:42:13.320]   And it will tell, like, it will stay conversational to like, you know, talk the user through that, oh, we're still waiting on the tool response there.
[00:42:13.320 --> 00:42:34.320]   And are all conversations linear? Or can they branch off, come back? Like, while it's looking up something, can it come back in five minutes later? Oh, you know, I found, you know, in the meantime, they get other details from the customer or patient or who else?
[00:42:34.320 --> 00:42:49.320]   No, I, that's a good question. I don't think so. I think, yeah, currently, you would, I think in that case, you would like orchestrate it in a way where you put it into a queue.
[00:42:49.320 --> 00:43:13.320]   The only thing then is like, how do you update the agent? I think like if you're using the, I would need to kind of look this up, there might be a way, like with the web sockets, where like as information comes back, you can inject that additional information into the conversation through a web socket notification.
[00:43:13.320 --> 00:43:40.320]   But yeah, I would need to look up kind of that specific use case because then what you could do is, you put these tasks into a queue, and you work through them in the background and like as kind of the responses come back, you can then inject them back into the context through kind of web socket events, potentially, but would need to double check if that's feasible.
[00:43:40.320 --> 00:43:56.320]   Okay, that's all I have. Thanks, man. Cool. Yeah, thanks. Sweet. Is everyone, while we're like going through the questions, is everyone setting up their agents? Are we? No? Okay, good. Yeah, I see someone nodding there. Fantastic. Okay, cheers. Yeah.
[00:43:56.320 --> 00:44:07.320]   Hello. Could you explain or demonstrate what happens if you have multiple languages within an input and output, and how that might work if you have different accents for each language?
[00:44:07.320 --> 00:44:23.320]   Yeah, so... So you mean like if the person is kind of mixing different languages? Yeah, like for instance, if they say, "Explain the difference between Schadenfreude and 性在热火" in Chinese.
[00:44:23.320 --> 00:44:30.320]   Yeah, it's a good question. I haven't tested that specifically. Maybe you can try right now?
[00:44:30.320 --> 00:44:39.320]   Maybe you can try right now? We can, yeah. So what was it? Explain the difference between Schadenfreude and 性在热火。
[00:44:39.320 --> 00:44:53.320]   Okay. Great. Yeah. Okay. Hi there. This is the API Day Singapore conversational AI agent. How can I help you today?
[00:44:53.320 --> 00:44:58.320]   Can you please explain the difference between Schadenfreude and 性在热火?
[00:44:58.320 --> 00:45:09.320]   Schadenfreude is a German term that means the pleasure or satisfaction one feels from witnessing another person's misfortune or failure.
[00:45:09.320 --> 00:45:14.320]   It is a well-known concept and is often used in English as well.
[00:45:14.320 --> 00:45:24.320]   However, 性在热火 does not appear to be a recognized term in German or in psychology, and there is no widely accepted meaning for it.
[00:45:24.320 --> 00:45:28.320]   It's possible there may be a spelling error or confusion with another term.
[00:45:28.320 --> 00:45:37.320]   Could you clarify what you mean by 性在热火 or provide more context? That way, I can give you a more accurate comparison.
[00:45:37.320 --> 00:45:43.320]   It might be my pronunciation, but it's meant to be a Chinese term.
[00:45:43.320 --> 00:45:57.320]   Thank you for clarifying that you meant a Chinese term. Unfortunately, 性在热火 does not sound like a recognizable phrase in Mandarin or other major Chinese dialects, at least based on that pronunciation.
[00:45:57.320 --> 00:46:08.320]   If you can provide the Chinese characters a different spelling or more context about what the term describes or when it is used. I may be able to help you identify.
[00:46:08.320 --> 00:46:26.320]   Yeah, it might be my pronunciation, but yeah, the problem is like if you mix, like, you know, well, English and German at least are both like Germanic languages, right?
[00:46:26.320 --> 00:46:38.320]   And Mandarin is so I think there might be my big challenges there. And like depending on the more languages you mix, it does get does get challenging. Yeah.
[00:46:38.320 --> 00:46:44.320]   Do you have a recommendation then if you want to build like a language learning application, for example?
[00:46:44.320 --> 00:47:09.320]   Yeah, I wonder if there's certain things you can do with like the prompt, the system prompt in terms of like improving how it's being picked up. But yeah, I think because we're like going through text here.
[00:47:09.320 --> 00:47:11.320]   Um, the like the language learning use case is a bit more challenging, especially if you're going, um, you know,
[00:47:11.320 --> 00:47:35.320]   you know, Germanic languages versus, um, yeah, it's a good question. I don't have an immediate answer for you there. But, uh, yeah, actually, you might want to try like a sound token to sound token like open AR real time. I wonder if in that case, you might want to try like a sound token to sound token like open AR real time. I wonder if in that case, you might want to try like a sound token to sound token.
[00:47:35.320 --> 00:47:42.320]   like open AR real time. I wonder if in that case it does better because it can, you know, it doesn't go through text.
[00:47:42.320 --> 00:47:53.320]   Yeah, it does. Sometimes it like switches the accents too, which is kind of annoying because it will try to pronounce Chinese for instance in an English accent.
[00:47:53.320 --> 00:48:20.320]   Uh, interesting. Yeah. So yeah, there is, there's challenges with that. But yeah, that's a, that's a good one. I'll, I'll take that back and see, you know, kind of how we, so I know we have some, we have a customer in India Supernova that does, but it's specifically English learning for, um, the Indian market. Um, so I think it's a bit of a different use case there.
[00:48:20.320 --> 00:48:35.320]   Do you know if it produces English in a particular accent or is it like using the, you know, Indian phonetic sounds to, um, I think there's, there's like a case study, uh, 11 labs Supernova. So maybe you can, you can look that up. Um, there's a video. So maybe. Yeah.
[00:48:35.320 --> 00:48:56.320]   Yeah. Yeah. I'll look it up. Thank you so much. Maybe take a look at that. And then we can, yeah, if you, if you connect with us, uh, we can, we can also follow up on kind of some guidance on, on that use case specifically.
[00:48:56.320 --> 00:49:08.320]   Perfect. Thank you. Cool. Thanks. All right. Um, I was curious if you're worried about scammers or fraudsters using these tools.
[00:49:08.320 --> 00:49:20.320]   Yeah. So there's definitely, you know, a worry with that, like obviously kind of all this, this technology. So one thing that is kind of very important for us.
[00:49:20.320 --> 00:49:30.320]   So you can, if you go to 11 labs dot IO slash safety, uh, you can see kind of the safety tools that we're developing, um, you know, uh, in parallel to, to our, um, features.
[00:49:30.320 --> 00:49:40.320]   So there's a, there's a bunch of things that we do, um, like specifically, you know, we do like life moderation for certain things.
[00:49:40.320 --> 00:49:51.320]   So actually when you publish your voice to the voice library, you can specify, um, terms that you don't want your voice to say.
[00:49:51.320 --> 00:49:59.320]   Uh, and then in this case, we actually have life moderation where, um, we will make sure that your voice isn't used to generate,
[00:49:59.320 --> 00:50:21.320]   kind of specific terms or, um, sentences. Um, we also kind of monitor in general, uh, what's being generated on the platform. Um, so kind of the moderation and, um, sort of the, the other toolings are actually with any, um, speech that is generated on our platform.
[00:50:21.320 --> 00:50:31.320]   We mark the water market, uh, actually to the extent that we can trace back which account generated, um, this specific speech.
[00:50:31.320 --> 00:50:49.320]   Uh, so if we identify, um, fraudulent activity, we can actually trace back which account generated kind of that, um, and, you know, can kind of ban them or, you know, provide, um, kind of information to the authorities, um, as needed.
[00:50:49.320 --> 00:51:07.320]   Yeah. And so the other things is just kind of in terms of, um, for, uh, we have like, where was the, we have like the voice capture, um, that we developed when you are creating a, um, professional voice clone.
[00:51:07.320 --> 00:51:25.320]   Uh, we actually generate kind of a random sentence that you need to read out to verify that, you know, you have permission to clone this, this voice. Um, so yeah, we, we do, you know, with kind of all the technology that we develop, um, we do put, uh, quite a large amount of, you know, focus and effort into, uh, safety tooling. Um, but yeah, there is obviously always a concept.
[00:51:25.320 --> 00:51:43.320]   Um, that your technology is being used for fraudulent activity, but I think so far, um, you know, we've been trying to mitigate that with like the safety tooling.
[00:51:43.320 --> 00:51:48.320]   Definitely. Yeah. It looks like a lot of good guardrails in place. Thanks. Thanks.
[00:51:48.320 --> 00:51:55.320]   Yay. You're back.
[00:51:55.320 --> 00:52:03.320]   You want to go. So just building on her one, like, um, in our place, um, if a patient is asked a, you know, how you feeling about this and say they are, um, they, they try to speak in English.
[00:52:03.320 --> 00:52:32.320]   They might hold a part of the conversation in English and then they might jump to Spanish, uh, Spanish and Portuguese and come back to English for, you know, like when they have to describe something that they can't in English.
[00:52:32.320 --> 00:52:39.320]   Uh, they kind of jump back to, you know, the, the language that they are most comfortable in.
[00:52:39.320 --> 00:52:55.320]   Sometimes they jump around different languages. Uh, how would, because like the way you explained it, it kind of, you have some kind of a router that checks what kind of language it is and then shoots it off.
[00:52:55.320 --> 00:53:07.320]   But within a conversation, they, they kind of jump between like, you know, they'll explain a few things and then they'll go a few words with a way, you know, these words and stuff.
[00:53:07.320 --> 00:53:13.320]   So like for you, this, this is like English, Spanish, Portuguese kind of all mixed together.
[00:53:13.320 --> 00:53:14.320]   Yes.
[00:53:14.320 --> 00:53:34.320]   Sometimes like if you just ask them how you're feeling. Okay. Then they come back. Hey, you know, there's this, you know, I took this medication, it hurts, you know, and then if you say, okay, where's it hurting? How? Then they suddenly kind of, you know, they regress to whatever language is most comfortable to them to explain their thing.
[00:53:34.320 --> 00:53:47.320]   Gotcha. Yeah. I mean, yeah, you can see here that like the transcript that actually correctly identified, you know, schadenfreude, um, because technically it's also an English word price.
[00:53:47.320 --> 00:53:57.320]   But then like on the, on the Chinese word, it just completely, you know, well, you know, you can blame partly my pronunciation.
[00:53:57.320 --> 00:54:17.320]   Probably you can blame it a lot, but, um, yeah, I wonder if like a native speaker. Yeah. I don't, I don't have exact benchmarks on like, you know, how much like the transcript gets worse, the more languages you introduce kind of in the same.
[00:54:17.320 --> 00:54:26.320]   So I think like generally, if you have two languages intermixed, it tends to perform okay.
[00:54:26.320 --> 00:54:42.320]   But like, if you like now having like three different languages, um, it just, you know, progressively tends to, to get worse, but I don't have, um, exact benchmarks on like, you know, how many languages sort of, yeah.
[00:54:42.320 --> 00:54:46.320]   Okay. Cool. No, that's, that, that's good to know. That's what I came up with.
[00:54:46.320 --> 00:55:04.320]   But yeah, it would be worthwhile if you have like recordings of like some of that to like put it through our, um, transcription model and see kind of how, how it performs in like identifying that, that, that would be interesting. Yeah.
[00:55:04.320 --> 00:55:15.320]   Cool. Thank you. Uh, save this question toward the end. Cause it's kind of non-related. So, uh, I worked on a project where we use 11 labs, uh, for, uh, the voice track of our avatar.
[00:55:15.320 --> 00:55:25.320]   Okay. Uh, and at 11 labs function well, but we had a lot of more downstream issues in terms of like lip sync and like, uh, I think someone mentioned like slugs and timing and other things.
[00:55:25.320 --> 00:55:34.320]   So is there any plan for 11 labs to come like, I guess, further down the stack in terms of like avatars or is, is that even something you're thinking about?
[00:55:34.320 --> 00:55:43.320]   Uh, interesting. So you, you, uh, did you build like the, the lip syncing model and like avatar stuff on your, uh, no.
[00:55:43.320 --> 00:55:52.320]   So, uh, we like within the, like Nvidia Tokyo stack. So they have like, uh, the stack and they have their like Reva voice model.
[00:55:52.320 --> 00:56:00.320]   And we kind of switched that out for 11 labs. Uh, so they have like the full stack of like the avatar and then 11 labs is just the voice portion of it. Yeah.
[00:56:00.320 --> 00:56:05.320]   Ah, okay. And sorry, which, which stack was that? The Nvidia?
[00:56:05.320 --> 00:56:24.320]   Oh, Nvidia Tokyo. Yeah. It's like, yeah, it'll go from, uh, like we did everything with the, the GPU, but then they have like the visualization and uh, you can just plug your voice model or, or in Tokyo, like T O K K I O.
[00:56:24.320 --> 00:56:33.320]   T O K K. Hi, you see, I'm, I'm thinking about Japan. Is it this one? Yeah. Oh, interesting. Okay.
[00:56:33.320 --> 00:57:02.320]   Um, yeah, I, I personally don't have, um, experience with that one. So I know that we're mostly working with partners like Hedra and Hey Jen kind of for sort of the, the avatar side of things. Um, I don't know, Paul, do you know any? No. So this is something I would need to come back to you and like look into. Um, it's, it's interesting.
[00:57:02.320 --> 00:57:08.320]   So like you're saying out of the box, it uses like an Nvidia model for speech generation or.
[00:57:08.320 --> 00:57:13.320]   Yeah. Yeah. But, uh, our client, which I assume is one of your partners. We can talk about that.
[00:57:13.320 --> 00:57:17.320]   But like our client couldn't use the Nvidia model. Gotcha.
[00:57:17.320 --> 00:57:23.320]   Had a contract to use 11 labs model. So. Okay. Interesting. Yeah. Sorry.
[00:57:23.320 --> 00:57:37.320]   I don't, I don't have a good answer for you there right now, but yeah, this is interesting. We can, we can go back to the team and see, um, if there's any resources that we can, we can give you in terms of like improving that.
[00:57:37.320 --> 00:57:40.320]   Interesting use case. Thank you.
[00:57:40.320 --> 00:57:44.320]   All right. Last question.
[00:57:44.320 --> 00:57:47.320]   Last question. Nice. Uh, hi Torsten. Thanks for the presentation.
[00:57:47.320 --> 00:57:48.320]   Thank you.
[00:57:48.320 --> 00:57:53.320]   I have a question regarding the transcription model around adding custom vocabulary.
[00:57:53.320 --> 00:58:05.320]   like, uh, at the company I work for, we use a lot of three letter acronyms and, uh, let's say, let's say I want to have the model read out SAP as SAP and not SAP.
[00:58:05.320 --> 00:58:18.320]   Is there a way to tell it to do that? And is there a way to, uh, like tell it to read words a certain way and kind of nudge the interpretation of what I say towards certain words that we use in our vocabulary?
[00:58:18.320 --> 00:58:34.320]   Interesting. Yes. So you have this both. So you have this use case both on like this, the speech to text. So you need to correctly identify the acronyms, but then also you need the agent to reply back with the correct.
[00:58:34.320 --> 00:58:48.320]   So like for the reply back, we do have, um, have you seen the like, um, pronunciation dictionaries? Um, so we have a way for you to provide, um, you know,
[00:58:48.320 --> 00:59:06.320]   pronunciation dictionaries with like kind of phoneme alphabets, uh, to actually, you know, identify specific, uh, you know, basically like here tomato, tomato, I guess, tomato, tomato. Um, and so you can provide for, for that, you can provide the pronunciation dictionary, dictionaries to make sure the text to speech pronounces, you know, the acronyms,
[00:59:06.320 --> 00:59:28.320]   and the words in the way that you want them to. Now the other side of like the speech to text. That's an interesting case. I don't think we have a word.
[00:59:28.320 --> 00:59:50.320]   Uh, a way to like fine tune that specifically for different acronyms. That's a good question. So, you know anything there? No, right?
[00:59:50.320 --> 01:00:19.320]   Oh, interesting. Yeah. So you, you can, to a certain extent, you can do it through the system prompt where you put in kind of a normalization layer to basically identify things in the transcript that are acronyms and then basically have the LLM sort of massage that into, to what you want. I think that's what you were saying, right?
[01:00:19.320 --> 01:00:35.320]   Yeah. So that could be interesting to see if that works well. Have you, have you tried it out already or? Um, where I was coming from is, uh, the company is using, um, like in their own custom chatbot called jewel and it's like the unit of work.
[01:00:35.320 --> 01:00:48.320]   But whenever I read transcripts, it's oftentimes used as jewel as the diamond. Gotcha. And so that's kind of a struggle that I'm facing. Okay. Is this actually at SAP? Nice. I'm an SAP child.
[01:00:48.320 --> 01:01:04.320]   I'm an SAP child myself. My, my, my father was early as well. Okay. Anyway, too, too much information. Cool. Uh, yeah. Thanks. Thanks for that. Well, we can, we can chat some more and see sort of if that's something we, we can get going. Sweet.
[01:01:04.320 --> 01:01:33.320]   Uh, yeah. And with that, we're at time. Um, yeah. Thanks again. Thanks so much for joining. Please do, um, you know, connect, uh, find the resources, fill in the form for the credits. Uh, yeah. I'll, I'll, I'll leave this up, uh, in case you haven't had a chance to scan it. But yeah. Thanks so much for joining. Enjoy the conference. And, uh, we will also have a booth at the expo. So if you come up with some more questions, you can come, uh, find us there. Thank you. Dankeschön.
[01:01:33.320 --> 01:01:34.320]   Dankeschön.
[01:01:34.320 --> 01:01:34.320]   Dankeschön.
[01:01:34.320 --> 01:01:34.340]   Dankeschön.
[01:01:34.340 --> 01:01:34.400]   Dankeschön.
[01:01:34.400 --> 01:01:35.400]   Thank you.
[01:01:35.400 --> 01:01:35.400]   Thank you.
[01:01:35.400 --> 01:01:35.400]   Thank you.
[01:01:35.400 --> 01:01:35.400]   Thank you.
[01:01:35.400 --> 01:01:35.400]   Thank you.
[01:01:35.400 --> 01:01:35.400]   Thank you.
[01:01:35.400 --> 01:01:36.400]   Thank you.
[01:01:36.400 --> 01:01:36.400]   Thank you.
[01:01:36.400 --> 01:01:36.400]   Thank you.
[01:01:36.400 --> 01:01:37.400]   Thank you.
[01:01:37.400 --> 01:01:41.620]   We'll see you next time.

