
[00:00:00.000 --> 00:00:06.200]   Today, we're going to be building an AI agent that allows us to chat with videos.
[00:28:58.000 --> 00:29:07.660]   Now the reason I initialize these and don't fill them out directly is because we're going to iterate through all of the parameters of our function dynamically and set those.
[00:29:07.660 --> 00:29:17.800]   To do that, we also need to be able to map from Python types to the data types that Mistral understands and uses.
[00:29:18.400 --> 00:29:23.220]   And these are, as far as I'm aware, exactly the same as the OpenAI mappings as well.
[00:29:23.220 --> 00:29:24.160]   Okay.
[00:29:24.160 --> 00:29:27.120]   So we get the signature here.
[00:29:27.120 --> 00:29:29.320]   Let me just show you what that looks like.
[00:29:29.320 --> 00:29:31.040]   So we get the signature.
[00:29:31.040 --> 00:29:34.440]   And then we're just going to go through those.
[00:29:34.440 --> 00:29:37.360]   And let me, again, just show you what those look like very quickly.
[00:29:37.360 --> 00:29:40.520]   I'll show you the name and D type.
[00:29:41.460 --> 00:29:43.080]   So what do we have here?
[00:29:43.080 --> 00:29:46.960]   We have even, let me print D type.
[00:29:46.960 --> 00:29:48.000]   There we are.
[00:29:48.000 --> 00:29:57.220]   So we have the name, which is query, and then we have D type, which actually contains both the name and also what type it is.
[00:29:57.220 --> 00:30:06.620]   The way that we would get the type only from that is we actually do D type annotation, which you can see here.
[00:30:08.700 --> 00:30:09.320]   Okay, cool.
[00:30:09.320 --> 00:30:10.660]   So that is what we're processing.
[00:30:10.660 --> 00:30:15.880]   And we just do that quickly with this loop, which is pretty straightforward.
[00:30:15.880 --> 00:30:21.380]   And that creates our function schema that we can, you know, we can apply this to any function.
[00:30:21.380 --> 00:30:27.280]   And then Mistral will be able to use this function schema and use that when it's defining the tools.
[00:30:27.280 --> 00:30:32.460]   And then all we need to do is transform that into a MistralAI function object.
[00:30:32.460 --> 00:30:37.300]   We could have done this before, but this is, this is a general format.
[00:30:37.580 --> 00:30:45.320]   So I do like to show this, but you can view this function as being the same as this function schema that we defined up here.
[00:30:45.320 --> 00:30:46.320]   Cool.
[00:30:46.320 --> 00:30:49.640]   So now what do we want to work through here?
[00:30:49.640 --> 00:30:52.840]   We can actually remove this callable.
[00:30:52.840 --> 00:30:54.020]   We don't use that.
[00:30:54.020 --> 00:30:58.460]   And we can go ahead and just work through, okay, what are we, what are we doing?
[00:30:58.900 --> 00:31:01.460]   So first we're adding in our tool signatures.
[00:31:01.460 --> 00:31:04.580]   So why do we add tool signatures?
[00:31:04.580 --> 00:31:10.220]   Well, that is so our LLM knows what tools it has access to and also how to use them.
[00:31:10.220 --> 00:31:11.900]   So we pass those in for that.
[00:31:11.900 --> 00:31:17.500]   You can see that we also remove from here our transcribed content.
[00:31:17.500 --> 00:31:18.520]   We don't need any more.
[00:31:18.580 --> 00:31:26.140]   We're going to use that or we're going to provide that via our search tool and then make some modifications to our chat method as well.
[00:31:26.140 --> 00:31:33.160]   So we're still using stream async, but now we've added the tool signatures to the tools parameter.
[00:31:33.260 --> 00:31:35.080]   And we're also, we don't need to do this.
[00:31:35.080 --> 00:31:39.340]   This is the default value, but we set tool choice equal to auto.
[00:31:39.340 --> 00:31:43.300]   So we, yeah, we could just comment that out.
[00:31:43.300 --> 00:31:43.880]   It doesn't matter.
[00:31:43.880 --> 00:31:46.040]   We'll do the same thing, but I like to be explicit.
[00:31:46.040 --> 00:31:52.680]   What you can do if you want to force tool calling is you can set any, and that will essentially tell Mr.
[00:31:52.680 --> 00:31:54.740]   All you have to use a tool call.
[00:31:54.740 --> 00:31:58.540]   We're not doing that here because we don't want to force that all the time.
[00:31:58.540 --> 00:31:59.000]   Okay.
[00:31:59.540 --> 00:32:04.580]   Then this bit here is kind of the same, but also slightly different.
[00:32:04.580 --> 00:32:08.260]   So we have two conditions here.
[00:32:08.260 --> 00:32:17.400]   Whereas before we just had one, which was essentially this bit here, which is saying, okay, if there's some content, we're going to stream that content directly.
[00:32:17.400 --> 00:32:26.660]   But now we also are getting tool calls and tool calls are sent to a different part of our chunk objects.
[00:32:27.000 --> 00:32:34.920]   As you can see here, we're going Delta content for the content that we stream, and we're doing Delta tool calls for tool calls.
[00:32:34.920 --> 00:32:39.840]   So slightly different, you know, we're seeing those being returned in slightly different ways.
[00:32:39.840 --> 00:32:43.400]   So let's run this and see what happens.
[00:32:43.400 --> 00:32:51.220]   I am removing these for now because we're, we're not quite done with cleaning up our agent function yet.
[00:32:51.840 --> 00:32:53.940]   So I'm just removing those for now.
[00:32:53.940 --> 00:33:00.220]   And instead, I want to return that tool call so we can just have a deeper look at it in a moment.
[00:33:00.220 --> 00:33:03.420]   So tool call, what do we have?
[00:33:03.420 --> 00:33:04.420]   This is a tool call.
[00:33:04.420 --> 00:33:06.080]   It's a tool call object.
[00:33:06.080 --> 00:33:09.960]   Inside there, we have a function attribute, which contains the function call.
[00:33:09.960 --> 00:33:17.440]   Inside that function call is the actual instructions from the LM on what tool or function to use.
[00:33:17.680 --> 00:33:21.260]   So it's saying we need to use search tool and these are the arguments.
[00:33:21.260 --> 00:33:25.440]   So I want you to provide this string into the query parameter.
[00:33:25.440 --> 00:33:26.340]   Okay.
[00:33:26.340 --> 00:33:30.140]   We also importantly need to pull out the tool call ID later.
[00:33:30.140 --> 00:33:31.860]   So just be aware of that.
[00:33:31.860 --> 00:33:39.460]   So what we've done here is our LLM is now able to generate the instructions for what tool to use, but it can't use them.
[00:33:39.460 --> 00:33:45.720]   And that is because we haven't written the code that allows the execution of our tools.
[00:33:45.720 --> 00:33:48.220]   So we need to do that.
[00:33:48.220 --> 00:33:51.580]   To do so, we're going to create a tool execution function.
[00:33:51.580 --> 00:33:54.700]   That tool execution function is going to take our tool call.
[00:33:54.960 --> 00:33:56.920]   So that is this object here.
[00:33:56.920 --> 00:33:58.640]   So you're going to take that tool call.
[00:33:58.640 --> 00:34:02.820]   We're going to get the tool name out from it, which is search.
[00:34:02.820 --> 00:34:09.180]   Then we're going to load the tool parameters, which are from here.
[00:34:09.180 --> 00:34:11.600]   So it's just a query and that string.
[00:34:11.600 --> 00:34:17.340]   And we're also going to get the tool call ID, which is exactly what we saw here.
[00:34:17.840 --> 00:34:24.200]   So pulling all of that information out, then what we're doing is we're using this tool map dictionary here.
[00:34:24.200 --> 00:34:25.840]   So what is tool map?
[00:34:25.840 --> 00:34:29.000]   Let me run this and I will just show you very quickly.
[00:34:29.000 --> 00:34:38.900]   So tool map is just mapping us from a string, which is our tool name to the actual function that it refers to.
[00:34:38.900 --> 00:34:39.800]   Okay.
[00:34:39.800 --> 00:34:40.320]   That's all.
[00:34:40.320 --> 00:34:41.160]   That's what we've done here.
[00:34:41.360 --> 00:34:49.440]   So that means that we can access our tool map as a dictionary and actually use it to execute the chosen tool.
[00:34:49.440 --> 00:35:02.020]   In this case, we just have one chosen tool, but you could imagine if we had multiple tools here, we could have like calculator, code execution, so on and so on.
[00:35:02.440 --> 00:35:09.460]   This execute tool function would work also for the multi-tool use scenario.
[00:35:09.460 --> 00:35:20.100]   And from that, we're going to return tool message containing all of that useful information, including the output from us executing our function or tool.
[00:35:20.100 --> 00:35:21.960]   Great.
[00:35:21.960 --> 00:35:29.360]   So we're going to take that tool call and we're going to just plug it into the execute tool and see what happens.
[00:35:30.260 --> 00:35:34.760]   And you see that we get this, so we get this tool message and we get all this content, right?
[00:35:34.760 --> 00:35:43.220]   So this content is exactly what we wrote before, where we are providing the most relevant chunks based on our user query.
[00:35:43.220 --> 00:35:45.620]   So that's what we're getting in the content there.
[00:35:45.620 --> 00:35:47.920]   We're also getting, okay, what tool was that?
[00:35:47.920 --> 00:35:49.700]   And we're also getting the tool call ID.
[00:35:49.700 --> 00:35:50.500]   Cool.
[00:35:50.500 --> 00:35:51.420]   So we've done that.
[00:35:51.420 --> 00:35:56.220]   Now what I want to do is I want to extend the agent messages.
[00:35:56.220 --> 00:35:59.760]   I'm doing this like from outside the agent class for now.
[00:35:59.760 --> 00:36:03.320]   In a moment, we're going to implement this all within the agent class.
[00:36:03.320 --> 00:36:13.420]   But for now, outside, I'm going to go to agent, send those messages and add an assistant message, which is essentially the LLM saying, I want to use this tool.
[00:36:13.420 --> 00:36:14.600]   And this is how we're going to use it.
[00:36:14.600 --> 00:36:19.480]   Followed by the tool output here.
[00:36:19.860 --> 00:36:20.260]   Okay.
[00:36:20.260 --> 00:36:27.460]   And then if we look at our agent messages after this, we see that we have a system message.
[00:36:27.460 --> 00:36:30.160]   That's the first one that we've predefined.
[00:36:30.160 --> 00:36:34.660]   We have the user message, which is, can you summarize the meaning of symbolic in this article?
[00:36:34.660 --> 00:36:41.660]   Then we have our assistant message, which is the LLM saying, hey, I want you to use this query for this tool.
[00:36:41.900 --> 00:36:44.520]   And then we get the response from that tool.
[00:36:44.520 --> 00:36:52.060]   With all that information, our LLM now has everything it needs in order to answer our original question.
[00:36:52.060 --> 00:36:57.580]   So let's take what we would usually have in that agent chat method.
[00:36:57.580 --> 00:37:09.420]   Let's extract that out and just run it against our new agent messages that we have, which include the assistant message and tool response.
[00:37:10.040 --> 00:37:10.600]   Okay.
[00:37:10.600 --> 00:37:24.280]   So we can see that it's streaming everything here and saying, okay, symbolic AI refers to those written rules, intelligence, logical functions, so on and so on.
[00:37:24.280 --> 00:37:24.700]   All right.
[00:37:24.700 --> 00:37:28.500]   So definitely stuff that is coming from that transcribed document.
[00:37:28.500 --> 00:37:39.640]   Now, how do we take all that and refactor our agent class for the final time to include all that additional tool execution logic?
[00:37:39.640 --> 00:37:44.400]   Well, we add one more attribute, which is max steps.
[00:37:44.400 --> 00:37:47.660]   This is more of a precaution than anything else.
[00:37:47.660 --> 00:37:59.480]   So if our agent gets stuck in this loop of iterating again and again, and we're hitting the LLM APIs again and again, that can, of course, drive up costs pretty quickly.
[00:38:00.200 --> 00:38:12.340]   So to put a limit on that, we say, I don't want to go above three iterations of the agent saying, I want to use this tool and this tool and then this tool and then respond, right?
[00:38:12.480 --> 00:38:14.020]   It will just have three opportunities.
[00:38:14.020 --> 00:38:17.020]   And that should be all it needs.
[00:38:17.240 --> 00:38:20.380]   So let's go through our new logic.
[00:38:20.380 --> 00:38:26.040]   We have a while loop here, which says, okay, we're going to go through a maximum of those max steps.
[00:38:26.040 --> 00:38:28.200]   We, this bit is pretty similar.
[00:38:28.200 --> 00:38:31.020]   So we generate our response asynchronously.
[00:38:31.260 --> 00:38:37.460]   We say, okay, if the tool calls object is a list, we are going to print sort of clean this up a little bit.
[00:38:37.460 --> 00:38:38.480]   So it's a bit nicer to read.
[00:38:38.480 --> 00:38:39.520]   We're going to print.
[00:38:40.020 --> 00:38:49.500]   The function name or the name of the tool that we are calling and the arguments being passed that, then we're going to execute that tool here.
[00:38:49.500 --> 00:38:52.040]   That will give us our tool message.
[00:38:52.040 --> 00:39:02.640]   And then as we did before, we're just extending our chat history with the assistant message that told us what tools to use, how to use it and the tool response.
[00:39:02.700 --> 00:39:10.200]   And that is if we have a tool call, otherwise the logic is exactly the same for if we have just normal tokens being streamed back to us.
[00:39:10.200 --> 00:39:25.620]   Finally, if we see that the length after going through this async for loop here, if we see that we have all tokens here, that means that our agent has responded to us directly using that content field.
[00:39:25.620 --> 00:39:30.100]   And we should break out of the loop and which is exactly what we do.
[00:39:30.440 --> 00:39:32.320]   So let's run that.
[00:39:32.320 --> 00:39:34.240]   And now let's try again.
[00:39:34.240 --> 00:39:49.820]   So one thing that we're doing here, just to try or test this out, is I'm actually asking two questions or I'm asking the two questions that should require the LM to search or use the search tool.
[00:39:49.820 --> 00:39:56.560]   And then I'm asking a final question, which is saying, okay, bring those both together and explain them to me.
[00:39:56.560 --> 00:40:05.380]   Now also throwing in a little bit of a spanner here by asking about DeepSeq, the transcribed document doesn't mention anything about DeepSeq.
[00:40:05.380 --> 00:40:09.900]   So let's just see how our agent tackles this problem.
[00:40:09.900 --> 00:40:11.200]   Okay.
[00:40:11.240 --> 00:40:14.120]   So we have our outputs here.
[00:40:14.120 --> 00:40:16.460]   And you'll see it.
[00:40:16.460 --> 00:40:18.140]   Sometimes this will work.
[00:40:18.140 --> 00:40:21.380]   Sometimes it will hallucinate, particularly with the DeepSeq part.
[00:40:21.380 --> 00:40:25.220]   And you see here that the search tool was used twice.
[00:40:25.220 --> 00:40:28.700]   Once to look for good old fashioned AI.
[00:40:29.380 --> 00:40:31.780]   And another time search for DeepSeq.
[00:40:31.780 --> 00:40:36.620]   Then it just explained, okay, yes, the document mentions good old fashioned AI.
[00:40:36.620 --> 00:40:38.680]   It does not explicitly mention DeepSeq.
[00:40:38.680 --> 00:40:42.600]   And then, yeah, it just continues answering our questions.
[00:40:42.600 --> 00:40:47.080]   So we can see that, yeah, that agentic flow does work.
[00:40:47.460 --> 00:40:50.800]   Now let's look at the usage for our query.
[00:40:50.800 --> 00:41:00.180]   Now we can see that despite us having two tools being used, right, which is probably the worst case scenario for this sort of question.
[00:41:00.180 --> 00:41:13.580]   Despite that, which we can see with the usage info for these first two components here, it didn't necessarily add that many tokens, especially when compared to our original costs.
[00:41:13.580 --> 00:41:25.580]   So if we look at the original costs from here, so this is from the earlier execution that we performed, we spent this much across this is across three interactions.
[00:41:25.580 --> 00:41:30.200]   So we could say, okay, it was only this much for that one single interaction.
[00:41:30.200 --> 00:41:39.900]   Now, if we look at the cost for each one of these queries, that is pretty significantly lower.
[00:41:40.260 --> 00:41:47.440]   Looking at roughly half the price for that first query, despite asking a far more complicated question as well.
[00:41:47.440 --> 00:41:52.980]   Now, I think this message, this note was from my previous testing, and I probably got lucky one time.
[00:41:52.980 --> 00:41:56.840]   But this gives you a good idea of just how cheap it can get.
[00:41:56.840 --> 00:42:03.820]   So I think the, in this scenario, the completion tokens were probably quite low for my final response.
[00:42:04.040 --> 00:42:04.980]   But, yeah, that is it.
[00:42:04.980 --> 00:42:15.360]   So we've been through, we've built a fully functional conversational agent with async and streaming using Mistral.
[00:42:15.360 --> 00:42:22.020]   We've implemented video with that using the Aurelio SDK.
[00:42:22.760 --> 00:42:30.640]   And we've also seen how we can then optimize further using chunking to essentially just reduce our costs pretty significantly.
[00:42:30.640 --> 00:42:38.580]   And I believe probably if we optimize this further, we can definitely get that down even further.
[00:42:38.580 --> 00:42:40.540]   So that's it for this video.
[00:42:40.540 --> 00:42:42.820]   I hope all this has been useful and interesting.
[00:42:42.820 --> 00:42:44.460]   For now, I'll leave it there.
[00:42:44.460 --> 00:42:48.020]   So thank you very much for watching, and I will see you again in the next one.
[00:42:48.020 --> 00:42:48.620]   Bye.
[00:42:48.620 --> 00:43:04.860]   I'll see you again in the next one.

