
[00:00:00.000 --> 00:00:01.660]   So it's mid-summer.
[00:23:07.080 --> 00:23:09.300]   All right, that's two ideas.
[00:23:09.300 --> 00:23:11.140]   Let's do idea number three of five.
[00:23:12.320 --> 00:23:15.240]   Deep to shallow work ratios.
[00:23:15.240 --> 00:23:17.000]   All right, this is the foundational idea
[00:23:17.000 --> 00:23:19.880]   from my book, "Deep Work."
[00:23:19.880 --> 00:23:22.320]   When you're trying to do something cognitively demanding,
[00:23:22.320 --> 00:23:24.920]   the best way to do this is in a state that I call deep work,
[00:23:24.920 --> 00:23:26.960]   which says you're giving it your full attention
[00:23:26.960 --> 00:23:28.520]   and you're not context switching at all.
[00:23:28.520 --> 00:23:31.280]   This is getting your sustained attention until you're done.
[00:23:31.280 --> 00:23:33.320]   So when you're thinking about your workday,
[00:23:33.320 --> 00:23:36.960]   you have to separate and treat separately deep work
[00:23:36.960 --> 00:23:39.320]   from non-deep work, which we often call shallow work
[00:23:39.320 --> 00:23:40.360]   just for simplicity.
[00:23:41.400 --> 00:23:44.040]   All right, shallow work, you're doing emails, meetings,
[00:23:44.040 --> 00:23:45.840]   you're jumping back and forth between documents,
[00:23:45.840 --> 00:23:47.260]   you're seeing a lot of different information.
[00:23:47.260 --> 00:23:48.680]   Deep work, you're completely locked in,
[00:23:48.680 --> 00:23:50.520]   completely uninterrupted.
[00:23:50.520 --> 00:23:52.220]   Treat these two things separately.
[00:23:52.220 --> 00:23:55.240]   Now, once you treat these two things separately,
[00:23:55.240 --> 00:23:59.660]   you can ask the question of how much deep work am I doing?
[00:23:59.660 --> 00:24:02.520]   I argue that most knowledge work jobs should identify
[00:24:02.520 --> 00:24:04.620]   an ideal deep to shallow work ratio
[00:24:04.620 --> 00:24:07.040]   for say a standard work week.
[00:24:07.040 --> 00:24:11.140]   How many hours of my work in a standard week
[00:24:11.140 --> 00:24:14.000]   should be deep versus shallow?
[00:24:14.000 --> 00:24:16.360]   This ratio might differ depending on your job,
[00:24:16.360 --> 00:24:17.960]   and that's fine.
[00:24:17.960 --> 00:24:19.880]   This is one of the misnomers about deep work
[00:24:19.880 --> 00:24:21.120]   is that people think the argument
[00:24:21.120 --> 00:24:22.500]   is that deep work is all that matters
[00:24:22.500 --> 00:24:24.400]   and all you should be doing is deep work.
[00:24:24.400 --> 00:24:26.040]   This is true for basically no one
[00:24:26.040 --> 00:24:29.760]   except maybe professional literary novelist, right?
[00:24:29.760 --> 00:24:31.900]   No, the goal is these are two different things
[00:24:31.900 --> 00:24:32.740]   that are both important,
[00:24:32.740 --> 00:24:34.040]   but you need to be very intentional
[00:24:34.040 --> 00:24:36.400]   about how much deep work you should be doing
[00:24:36.400 --> 00:24:40.080]   in order to sort of be as valuable as possible in your job.
[00:24:40.080 --> 00:24:42.600]   So you should know your ideal deep to shallow work ratio.
[00:24:42.600 --> 00:24:45.800]   You should measure how many hours were deep
[00:24:45.800 --> 00:24:47.920]   and non-deep this week
[00:24:47.920 --> 00:24:51.160]   and see how far you are from your ideal ratio.
[00:24:51.160 --> 00:24:53.760]   If you're far off of it, now you make changes.
[00:24:53.760 --> 00:24:55.480]   Now you have a target to aim towards.
[00:24:55.480 --> 00:24:56.800]   And what types of changes do you make?
[00:24:56.800 --> 00:24:58.000]   Well, now you're gonna start doing things
[00:24:58.000 --> 00:25:00.500]   like pre-scheduling deep work time,
[00:25:00.500 --> 00:25:02.400]   constraining meetings to meeting windows
[00:25:02.400 --> 00:25:05.680]   so that you have enough time left for deep work,
[00:25:05.680 --> 00:25:08.520]   having meeting days and non-meeting days,
[00:25:08.520 --> 00:25:10.880]   like all sorts of innovations can come out of this.
[00:25:10.880 --> 00:25:13.240]   I highly suggest having this conversation
[00:25:13.240 --> 00:25:14.560]   with your supervisor,
[00:25:14.560 --> 00:25:19.240]   get them on board with your ideal deep to shallow work ratio
[00:25:19.240 --> 00:25:22.520]   so they too can get involved in helping to figure out
[00:25:22.520 --> 00:25:24.040]   how you can actually hit those numbers
[00:25:24.040 --> 00:25:25.040]   during a particular week.
[00:25:25.040 --> 00:25:27.360]   Sometimes you need a supervisor to come in and say,
[00:25:27.360 --> 00:25:30.320]   for example, Cal doesn't do meetings before noon.
[00:25:30.320 --> 00:25:31.960]   We're trying to hit his 50/50 ratio
[00:25:31.960 --> 00:25:33.680]   and this is the only way we can do it.
[00:25:33.680 --> 00:25:35.480]   Use this as a core metric
[00:25:35.480 --> 00:25:38.240]   in a world of sort of non-entry level knowledge work.
[00:25:38.240 --> 00:25:40.000]   Use this ratio as a core metric
[00:25:40.000 --> 00:25:43.300]   that you're measuring and aiming towards.
[00:25:43.300 --> 00:25:45.160]   The key thing here for all of this
[00:25:45.160 --> 00:25:48.240]   is you have to measure in increments of an hour.
[00:25:48.240 --> 00:25:51.040]   There's no such thing as I did 10 minutes of deep work.
[00:25:51.040 --> 00:25:54.180]   And the hour does not count if there's any context shifting.
[00:25:54.180 --> 00:25:56.120]   If you have to take a call,
[00:25:56.120 --> 00:25:57.560]   if you have to jump in on an inbox,
[00:25:57.560 --> 00:25:59.880]   if you have to keep a conversation going on Slack,
[00:25:59.880 --> 00:26:01.800]   that doesn't count as a deep work hour.
[00:26:01.800 --> 00:26:04.640]   You really have to respect deep work hours
[00:26:04.640 --> 00:26:06.580]   as completely uninterrupted focus.
[00:26:06.580 --> 00:26:09.200]   That is the state that produces real value.
[00:26:09.200 --> 00:26:11.600]   It is notably better
[00:26:11.600 --> 00:26:13.840]   than spending that same time
[00:26:13.840 --> 00:26:15.280]   sort of working on the deep thing,
[00:26:15.280 --> 00:26:17.540]   but having an occasional context shift.
[00:26:17.540 --> 00:26:20.240]   So have an ideal deep to shallow work ratio,
[00:26:20.240 --> 00:26:23.040]   measure it and fight to hit that metric.
[00:26:23.040 --> 00:26:28.040]   That alone could 5X the value you're producing, right?
[00:26:28.040 --> 00:26:30.960]   When we're just kind of stumbling through our workday,
[00:26:30.960 --> 00:26:32.780]   if like I'm just doing stuff,
[00:26:32.780 --> 00:26:34.280]   I believe in pseudo productivity,
[00:26:34.280 --> 00:26:35.680]   I'm busy, I respond to things,
[00:26:35.680 --> 00:26:38.500]   there's a lot going on, I feel very active and involved.
[00:26:38.500 --> 00:26:41.280]   So much of your time there is either administrative
[00:26:41.280 --> 00:26:43.200]   or you struggling through the after effects
[00:26:43.200 --> 00:26:45.040]   of context switching that the actual amount
[00:26:45.040 --> 00:26:47.620]   of cognitive value produced could be pretty low.
[00:26:47.620 --> 00:26:49.740]   Once you start caring about deep to shallow work ratios,
[00:26:49.740 --> 00:26:51.560]   it's like a superpower.
[00:26:51.560 --> 00:26:54.480]   Look at what happened to Cal, like he's killing it.
[00:26:54.480 --> 00:26:56.080]   Like look at these code updates he's putting in,
[00:26:56.080 --> 00:26:57.400]   look at these new marketing strategies,
[00:26:57.400 --> 00:26:59.220]   look at the papers that he's producing,
[00:26:59.220 --> 00:27:00.360]   makes a big difference.
[00:27:01.280 --> 00:27:05.680]   All right, idea number four, work in progress limits,
[00:27:05.680 --> 00:27:08.800]   WIP limits as a terminology that I've taken
[00:27:08.800 --> 00:27:13.240]   from Kanban project management philosophies.
[00:27:13.240 --> 00:27:14.800]   All right, I really pushed this in my new book,
[00:27:14.800 --> 00:27:17.640]   Slow Productivity, and I really think it is critical.
[00:27:17.640 --> 00:27:21.180]   You need a limit on how many non-trivial projects
[00:27:21.180 --> 00:27:24.280]   you're actively working on at any given time.
[00:27:24.280 --> 00:27:27.240]   And that limit should be between one and three.
[00:27:27.240 --> 00:27:29.560]   All right, this doesn't necessarily mean
[00:27:29.560 --> 00:27:32.160]   once you're actively working on a very big project
[00:27:32.160 --> 00:27:34.400]   that you have to stick with that big project
[00:27:34.400 --> 00:27:35.520]   until it's completely done.
[00:27:35.520 --> 00:27:37.080]   You can break big projects down
[00:27:37.080 --> 00:27:40.280]   into more tractable milestones,
[00:27:40.280 --> 00:27:41.780]   but you should only have one to three
[00:27:41.780 --> 00:27:43.040]   of these tractable milestones
[00:27:43.040 --> 00:27:45.980]   that you're working on actively at a time.
[00:27:45.980 --> 00:27:49.960]   So I might not put write a book as an active project
[00:27:49.960 --> 00:27:51.400]   that that's what I'm working on until I'm done,
[00:27:51.400 --> 00:27:55.440]   but I might put write chapter four of a book
[00:27:55.440 --> 00:27:58.100]   as a tractable milestone.
[00:27:58.100 --> 00:27:59.360]   Okay, and so I'm gonna work,
[00:27:59.360 --> 00:28:00.960]   that's what I'm actually working on right now.
[00:28:00.960 --> 00:28:02.360]   Here's the key.
[00:28:02.360 --> 00:28:04.280]   You keep this list of active projects
[00:28:04.280 --> 00:28:05.840]   or project milestones transparent.
[00:28:05.840 --> 00:28:06.680]   Other people can see it.
[00:28:06.680 --> 00:28:07.880]   Here's what I'm actively working on.
[00:28:07.880 --> 00:28:11.240]   Here's what's queued up for me to work on next.
[00:28:11.240 --> 00:28:13.680]   And for the things that you're not actively work on,
[00:28:13.680 --> 00:28:16.640]   you don't do administrative overhead related to them.
[00:28:16.640 --> 00:28:17.760]   You don't have meetings about them.
[00:28:17.760 --> 00:28:20.720]   You don't do email conversations about them.
[00:28:20.720 --> 00:28:22.800]   They are just waiting,
[00:28:22.800 --> 00:28:25.020]   putting no footprint on your schedule,
[00:28:25.020 --> 00:28:26.280]   no footprint on your attention
[00:28:26.280 --> 00:28:28.040]   until they move over to the active slot.
[00:28:28.040 --> 00:28:29.160]   At which point now you're all in,
[00:28:29.160 --> 00:28:30.120]   you're working on it every day.
[00:28:30.120 --> 00:28:31.040]   You're talking to people about it.
[00:28:31.040 --> 00:28:32.560]   You're having meetings.
[00:28:32.560 --> 00:28:33.400]   So when people say like,
[00:28:33.400 --> 00:28:34.480]   hey, what's going on with this thing?
[00:28:34.480 --> 00:28:35.920]   You're like, can we have a meeting about it?
[00:28:35.920 --> 00:28:36.760]   Let's chat about it.
[00:28:36.760 --> 00:28:37.840]   You're like, here's where it is.
[00:28:37.840 --> 00:28:39.040]   It's in position three of my queue.
[00:28:39.040 --> 00:28:40.520]   As soon as it moves over to active,
[00:28:40.520 --> 00:28:42.780]   I'll ping you and let's get a phone call.
[00:28:42.780 --> 00:28:43.620]   Let's chat about it.
[00:28:43.620 --> 00:28:46.120]   I'm gonna get after it as soon as it gets to active.
[00:28:46.120 --> 00:28:47.880]   I'm not actively working on it now.
[00:28:47.880 --> 00:28:50.640]   Now, this seems kind of like precious.
[00:28:50.640 --> 00:28:52.160]   Like why bother?
[00:28:52.160 --> 00:28:53.480]   You know, why not just be more flexible?
[00:28:53.480 --> 00:28:55.140]   Kind of like work on what you wanna work on,
[00:28:55.140 --> 00:28:56.560]   keep everything sort of up there.
[00:28:56.560 --> 00:28:59.520]   The reason is administrative overhead aggregates.
[00:28:59.520 --> 00:29:01.360]   Everything that you're actively working on
[00:29:01.360 --> 00:29:04.040]   brings along with it its own administrative overhead.
[00:29:04.040 --> 00:29:06.360]   This is conversations, this is email, this is Slack,
[00:29:06.360 --> 00:29:08.560]   this is meetings, this is just brain cycles.
[00:29:08.560 --> 00:29:12.280]   So the more things you're actively working on,
[00:29:12.280 --> 00:29:16.680]   the more administrative overhead that enters your life.
[00:29:16.680 --> 00:29:18.620]   This stuff adds up, it aggregates, right?
[00:29:18.620 --> 00:29:21.680]   So the more administrative overhead you have to handle,
[00:29:21.680 --> 00:29:23.260]   the less of your schedule is actually free
[00:29:23.260 --> 00:29:24.320]   to actually make work done.
[00:29:24.320 --> 00:29:25.620]   And eventually you pass a threshold
[00:29:25.620 --> 00:29:27.000]   in which mainly what you're doing
[00:29:27.000 --> 00:29:30.180]   is just juggling administrative overhead frenetically,
[00:29:30.180 --> 00:29:33.900]   unable to basically make progress on any actual work.
[00:29:33.900 --> 00:29:35.160]   So on the other hand, if you say, no, no, no,
[00:29:35.160 --> 00:29:38.240]   only these two things am I actively working on.
[00:29:38.240 --> 00:29:39.200]   These are the only two things
[00:29:39.200 --> 00:29:40.760]   generate administrative overhead in your life.
[00:29:40.760 --> 00:29:42.360]   That's very tractable.
[00:29:42.360 --> 00:29:44.080]   So now you can really focus on these things,
[00:29:44.080 --> 00:29:45.600]   get them done fast, get them done well,
[00:29:45.600 --> 00:29:47.880]   and bring something new over to the active slot.
[00:29:47.880 --> 00:29:50.320]   The pace at which you complete things goes up
[00:29:50.320 --> 00:29:52.720]   when you reduce the number of things
[00:29:52.720 --> 00:29:56.180]   you're willing to work on concurrently at the same time.
[00:29:56.180 --> 00:29:57.020]   All right?
[00:29:57.020 --> 00:29:57.860]   Key distinction here,
[00:29:57.860 --> 00:30:00.220]   you're not saying no to a bunch of things.
[00:30:00.220 --> 00:30:02.060]   These are all things you're saying yes to.
[00:30:02.060 --> 00:30:03.660]   It's just of the things you said yes to,
[00:30:03.660 --> 00:30:04.900]   you're distinguishing between
[00:30:04.900 --> 00:30:06.660]   this is getting my active attention
[00:30:06.660 --> 00:30:08.740]   or this is cued to get my attention.
[00:30:08.740 --> 00:30:09.860]   I'm a huge believer of this.
[00:30:09.860 --> 00:30:11.220]   I mean, there's a huge chapter on this
[00:30:11.220 --> 00:30:12.940]   in my book, "Slow Productivity."
[00:30:12.940 --> 00:30:17.940]   This really, along with what I talked about before
[00:30:17.940 --> 00:30:21.300]   with office hours, meeting windows, and project protocols,
[00:30:21.300 --> 00:30:24.040]   that plus work and progress limits
[00:30:24.040 --> 00:30:26.160]   utterly transforms the psychological experience
[00:30:26.160 --> 00:30:27.760]   of knowledge work.
[00:30:27.760 --> 00:30:29.720]   It can really change it from this sense
[00:30:29.720 --> 00:30:31.720]   of frenetic exhaustion where nothing ever gets done
[00:30:31.720 --> 00:30:35.100]   and it seems hopeless to something where it's calm,
[00:30:35.100 --> 00:30:37.880]   it's even measured, and to the outside world
[00:30:37.880 --> 00:30:39.000]   it just looks like you're crushing it.
[00:30:39.000 --> 00:30:41.280]   Thing after thing, you're just knocking out.
[00:30:41.280 --> 00:30:43.280]   It looks great, the work is really good.
[00:30:43.280 --> 00:30:45.460]   All right, final idea.
[00:30:45.460 --> 00:30:49.600]   One of the older ideas, actually, shutdown rituals.
[00:30:51.280 --> 00:30:52.880]   When you are done with your workday,
[00:30:52.880 --> 00:30:55.300]   you need a distinctive way of indicating
[00:30:55.300 --> 00:30:58.020]   that you're finished, some sort of ritual
[00:30:58.020 --> 00:31:02.200]   so that your brain can unload from all of its concerns
[00:31:02.200 --> 00:31:04.120]   and ruminations and machinations
[00:31:04.120 --> 00:31:06.280]   about your professional life so you can get a breather
[00:31:06.280 --> 00:31:08.500]   so that you can also find pleasure
[00:31:08.500 --> 00:31:11.000]   and be able to focus on other things in your life.
[00:31:11.000 --> 00:31:13.880]   That's where shutdown rituals enter the scene.
[00:31:13.880 --> 00:31:14.720]   Now, here's the idea.
[00:31:14.720 --> 00:31:16.480]   When you're done with your workday,
[00:31:16.480 --> 00:31:19.660]   you need to go through and police your open loops.
[00:31:19.660 --> 00:31:23.320]   What is anything right now that is open and unresolved
[00:31:23.320 --> 00:31:24.840]   that just exists in my head?
[00:31:24.840 --> 00:31:26.780]   I need to police all of these.
[00:31:26.780 --> 00:31:29.720]   Make sure they get written down, they're in my calendar,
[00:31:29.720 --> 00:31:31.200]   they got put to my to-do list,
[00:31:31.200 --> 00:31:33.320]   it's written on my list of things to handle
[00:31:33.320 --> 00:31:36.100]   during my first administrative block in the morning.
[00:31:36.100 --> 00:31:37.800]   You get them all out of your head.
[00:31:37.800 --> 00:31:40.360]   All right, now once you got those all of your head,
[00:31:40.360 --> 00:31:42.780]   then you look at your calendar, you look at your inbox,
[00:31:42.780 --> 00:31:44.000]   you look at your weekly plan, you're like,
[00:31:44.000 --> 00:31:46.600]   okay, now what's my plan for the days ahead?
[00:31:46.600 --> 00:31:48.920]   You convince yourself I'm not missing something,
[00:31:48.920 --> 00:31:49.860]   I've got a good plan,
[00:31:49.860 --> 00:31:51.340]   I have a sense of what I'm working on tomorrow,
[00:31:51.340 --> 00:31:53.340]   this keeps me on track for my bigger goals.
[00:31:53.340 --> 00:31:54.460]   I checked my calendar,
[00:31:54.460 --> 00:31:57.360]   I'm not missing some urgent early morning meeting.
[00:31:57.360 --> 00:31:58.360]   I looked at my inbox,
[00:31:58.360 --> 00:32:00.540]   there's not some bombshell that landed at the end of the day.
[00:32:00.540 --> 00:32:02.460]   Okay, everything is good.
[00:32:02.460 --> 00:32:03.780]   It's completely safe for me now
[00:32:03.780 --> 00:32:05.580]   to turn my attention away from work.
[00:32:05.580 --> 00:32:07.860]   And then you just need some sort of ritualistic way
[00:32:07.860 --> 00:32:09.620]   of indicating that you're doing so.
[00:32:09.620 --> 00:32:11.940]   This could be a phrase.
[00:32:11.940 --> 00:32:15.660]   I used to use the phrase, shut down complete
[00:32:15.660 --> 00:32:17.480]   or schedule shut down complete.
[00:32:17.480 --> 00:32:19.820]   It could be something physical.
[00:32:19.820 --> 00:32:21.260]   So if you use my time block planner,
[00:32:21.260 --> 00:32:23.020]   you'll notice every day on the daily pages,
[00:32:23.020 --> 00:32:23.860]   there's a checkbox
[00:32:23.860 --> 00:32:25.900]   and it says shut down complete next to it.
[00:32:25.900 --> 00:32:27.680]   That's how I do my shutdown ritual today,
[00:32:27.680 --> 00:32:29.400]   after I do this policing of open loops
[00:32:29.400 --> 00:32:31.200]   and checking in on my plan,
[00:32:31.200 --> 00:32:34.420]   I check the checkbox next to shut down complete.
[00:32:34.420 --> 00:32:38.260]   Now, the key thing is, after you do this,
[00:32:38.260 --> 00:32:40.540]   if your mind, as your mind probably will try to do
[00:32:40.540 --> 00:32:42.900]   from time and again, if your mind is like,
[00:32:42.900 --> 00:32:45.220]   hey, let's just think a little bit more about work.
[00:32:45.220 --> 00:32:46.660]   Hey, what about this thing coming up?
[00:32:46.660 --> 00:32:48.180]   Hey, let's kind of think through this email
[00:32:48.180 --> 00:32:49.980]   we might write to the boss tomorrow.
[00:32:49.980 --> 00:32:51.520]   Do we really have a plan for whatever?
[00:32:51.520 --> 00:32:52.720]   I'm worried about that.
[00:32:52.720 --> 00:32:55.500]   Instead of engaging in a conversation
[00:32:55.500 --> 00:32:58.260]   with this professional rumination, you say, wait a second,
[00:32:58.260 --> 00:33:00.700]   I did my shutdown ritual and I said the phrase
[00:33:00.700 --> 00:33:01.580]   or I checked the box.
[00:33:01.580 --> 00:33:02.620]   I would not have done that
[00:33:02.620 --> 00:33:06.240]   if I had not systematically gone through all my open loops
[00:33:06.240 --> 00:33:09.380]   and my plan and my inbox and was completely convinced
[00:33:09.380 --> 00:33:10.860]   it was fine to shut down for the day.
[00:33:10.860 --> 00:33:12.260]   So you know what rumination?
[00:33:12.260 --> 00:33:14.820]   I'm not interested.
[00:33:14.820 --> 00:33:16.820]   I'm going to go back and do something else.
[00:33:16.820 --> 00:33:18.900]   So you can respond to the rumination
[00:33:18.900 --> 00:33:21.060]   without having to get into the details of work
[00:33:21.060 --> 00:33:23.160]   that the rumination wants you to get into.
[00:33:23.160 --> 00:33:26.180]   And as a result, you avoid falling down
[00:33:26.180 --> 00:33:30.520]   those anxiety producing internal narrative anxiety spirals.
[00:33:30.520 --> 00:33:33.020]   You do the shutdown ritual enough,
[00:33:33.020 --> 00:33:34.700]   your mind just learns like, okay,
[00:33:34.700 --> 00:33:38.020]   this particular rumination gets no foothold
[00:33:38.020 --> 00:33:39.620]   and you get less of them
[00:33:39.620 --> 00:33:42.420]   and your enjoyment and presence outside of work increases.
[00:33:42.420 --> 00:33:45.660]   All right, so there's a ton of other tactical things
[00:33:45.660 --> 00:33:47.840]   I talk about when it comes to productivity.
[00:33:47.840 --> 00:33:49.220]   Like some things I didn't mention here
[00:33:49.220 --> 00:33:51.300]   was like how to organize your obligations
[00:33:51.300 --> 00:33:54.740]   using role specific task boards.
[00:33:54.740 --> 00:33:58.740]   There's things like tactics like working memory.txt
[00:33:58.740 --> 00:34:00.800]   that I think are important.
[00:34:00.800 --> 00:34:02.700]   There's the philosophy of full capture,
[00:34:02.700 --> 00:34:05.440]   which I think matters as well.
[00:34:05.440 --> 00:34:08.660]   There's sort of evidence-based planning for projects.
[00:34:08.660 --> 00:34:10.140]   There's the role of deliberate practice
[00:34:10.140 --> 00:34:11.220]   and career capital acquisition.
[00:34:11.220 --> 00:34:12.660]   There's all sorts of ideas we talk about,
[00:34:12.660 --> 00:34:16.460]   but I think these five are kind of the basics
[00:34:16.460 --> 00:34:19.100]   that get you back in control of your life,
[00:34:19.100 --> 00:34:20.140]   especially knowledge work, right?
[00:34:20.140 --> 00:34:22.200]   So we have multi-scale planning, number one.
[00:34:22.200 --> 00:34:23.620]   We have office hours, meeting windows
[00:34:23.620 --> 00:34:26.000]   and project protocols as number two.
[00:34:26.000 --> 00:34:28.420]   We have deep to shallow work ratios
[00:34:28.420 --> 00:34:31.880]   as your like primary management metric as number three.
[00:34:31.880 --> 00:34:33.900]   We have work in progress limits as number four.
[00:34:33.900 --> 00:34:36.720]   And our final idea is implement shutdown rituals.
[00:34:36.720 --> 00:34:39.940]   You do these five things, you got control.
[00:34:41.140 --> 00:34:42.540]   And you're not gonna burn out.
[00:34:42.540 --> 00:34:44.260]   And what you do with that control is up to you.
[00:34:44.260 --> 00:34:46.580]   Again, you could try to crush it
[00:34:46.580 --> 00:34:49.280]   and make sure your startup becomes the best in the world,
[00:34:49.280 --> 00:34:51.260]   or you can be like secretly getting away
[00:34:51.260 --> 00:34:53.300]   working a couple hours a day
[00:34:53.300 --> 00:34:55.780]   while you work on your stamp collecting hobby
[00:34:55.780 --> 00:34:56.860]   and your boss never knows.
[00:34:56.860 --> 00:34:59.860]   You do you, but none of these options are on the table
[00:34:59.860 --> 00:35:00.860]   if your life is chaotic,
[00:35:00.860 --> 00:35:03.300]   if you don't control your time and attention.
[00:35:03.300 --> 00:35:06.460]   These five things will get you a lot closer to that.
[00:35:08.020 --> 00:35:10.420]   - I have two quick follow-up questions
[00:35:10.420 --> 00:35:12.260]   and then one longer one.
[00:35:12.260 --> 00:35:13.660]   - Okay.
[00:35:13.660 --> 00:35:14.940]   - The quick ones.
[00:35:14.940 --> 00:35:18.260]   How many hours are in your workday for your time block?
[00:35:18.260 --> 00:35:21.260]   - I mean, for me, it's like roughly nine to five.
[00:35:21.260 --> 00:35:22.140]   - So eight, okay.
[00:35:22.140 --> 00:35:22.960]   - Yeah, roughly.
[00:35:22.960 --> 00:35:24.980]   It might be 8.30 to five or nine to 5.30,
[00:35:24.980 --> 00:35:26.580]   but I keep my work within there.
[00:35:26.580 --> 00:35:29.580]   - And then what's your ratio of deep to shallow?
[00:35:29.580 --> 00:35:33.820]   - 50/50 is good for me, if possible.
[00:35:33.820 --> 00:35:35.340]   - So ideal four and four?
[00:35:35.340 --> 00:35:37.260]   - Yeah, that's like a standard.
[00:35:37.260 --> 00:35:39.060]   I think in the summer I can do better
[00:35:39.060 --> 00:35:39.880]   and I wanna do better,
[00:35:39.880 --> 00:35:42.820]   but like that's the average I'm going for.
[00:35:42.820 --> 00:35:46.220]   I say average because it depends on the day.
[00:35:46.220 --> 00:35:49.460]   So like a teaching day, if I'm teaching two classes,
[00:35:49.460 --> 00:35:51.820]   if I count, what I'll often do is not to get like
[00:35:51.820 --> 00:35:53.400]   in the professor weeds here.
[00:35:53.400 --> 00:35:57.140]   I often, I will count the lecturing as deep work
[00:35:57.140 --> 00:35:59.780]   for ratio purposes, because it is really hard, right?
[00:35:59.780 --> 00:36:02.300]   I mean, you're like producing a cognitive output
[00:36:02.300 --> 00:36:03.420]   that has value.
[00:36:03.420 --> 00:36:05.340]   Now it's not like value that's scalable,
[00:36:05.340 --> 00:36:07.300]   like an article or a book,
[00:36:07.300 --> 00:36:09.380]   but still that's like deep work.
[00:36:09.380 --> 00:36:12.220]   If I count the teaching itself as deep work,
[00:36:12.220 --> 00:36:15.700]   then like I can definitely hit the 50/50.
[00:36:15.700 --> 00:36:19.740]   - Yeah, and then, okay, next final question.
[00:36:19.740 --> 00:36:23.180]   With your active projects and your multiple jobs,
[00:36:23.180 --> 00:36:26.520]   how do you do the work in progress limits?
[00:36:26.520 --> 00:36:28.940]   - Yeah, no, that is a good question.
[00:36:28.940 --> 00:36:33.940]   So I kind of have work in progress limits per role,
[00:36:34.500 --> 00:36:37.680]   because like the way I sort of multiplex these jobs,
[00:36:37.680 --> 00:36:41.260]   which by the way,
[00:36:41.260 --> 00:36:43.560]   should show you the power of these tools, right?
[00:36:43.560 --> 00:36:46.180]   Like I sort of have these multiple related jobs.
[00:36:46.180 --> 00:36:49.740]   I just multiplex, meaning it's like, I divide my time up.
[00:36:49.740 --> 00:36:51.080]   This is servicing this job.
[00:36:51.080 --> 00:36:53.220]   This is servicing that job.
[00:36:53.220 --> 00:36:55.940]   Well, imagine if you only had one of these jobs,
[00:36:55.940 --> 00:36:57.140]   you could be doing it.
[00:36:57.140 --> 00:36:59.540]   Like my footprint would be relatively small.
[00:36:59.540 --> 00:37:01.380]   If I was only doing one of these things,
[00:37:01.380 --> 00:37:03.760]   I would have quite a bit of time free.
[00:37:03.760 --> 00:37:05.680]   So I use that as sort of an advertisement
[00:37:05.680 --> 00:37:08.540]   for controlling your time and attention.
[00:37:08.540 --> 00:37:10.080]   You could do what I do and like, great,
[00:37:10.080 --> 00:37:11.620]   now I can fit three jobs.
[00:37:11.620 --> 00:37:13.580]   Or you could do the opposite and say, great,
[00:37:13.580 --> 00:37:17.500]   now I can have my one job take up a third of my time.
[00:37:17.500 --> 00:37:19.020]   I think there's a lot of power there.
[00:37:19.020 --> 00:37:21.980]   I keep the WIPs basically per role,
[00:37:21.980 --> 00:37:25.100]   but I keep them very small per role, right?
[00:37:25.100 --> 00:37:27.180]   Because they do add up.
[00:37:27.180 --> 00:37:29.140]   - So like for writing, you're working on a chapter,
[00:37:29.140 --> 00:37:31.620]   for the podcast, you record an episode a week,
[00:37:31.620 --> 00:37:33.460]   and then for the teaching, whatever.
[00:37:33.460 --> 00:37:37.140]   - Yeah, so for the podcast, those aren't projects to me,
[00:37:37.140 --> 00:37:37.980]   it's automated, right?
[00:37:37.980 --> 00:37:38.940]   It's autopilot scheduling.
[00:37:38.940 --> 00:37:42.180]   Like the podcast, we have a half day a week,
[00:37:42.180 --> 00:37:43.060]   and I just think of it as like,
[00:37:43.060 --> 00:37:45.580]   there's a half day a week where we do the podcast, right?
[00:37:45.580 --> 00:37:48.620]   So there's not a project in progress.
[00:37:48.620 --> 00:37:49.940]   It's an autopilot schedule,
[00:37:49.940 --> 00:37:52.940]   the same way that my workouts are scheduled.
[00:37:52.940 --> 00:37:55.660]   In writing, I have a very strict,
[00:37:55.660 --> 00:37:57.420]   I try to have a very strict WIP
[00:37:57.420 --> 00:38:00.980]   that I keep towards one as much as possible, right?
[00:38:00.980 --> 00:38:02.820]   So it'll be like, I am doing this draft
[00:38:02.820 --> 00:38:04.500]   of a New Yorker article.
[00:38:04.500 --> 00:38:05.780]   Okay, I'm done.
[00:38:05.780 --> 00:38:07.500]   I'm doing a draft of this book chapter.
[00:38:07.500 --> 00:38:08.380]   Okay, now I'm done.
[00:38:08.380 --> 00:38:10.220]   Okay, now I'm going back and doing a draft
[00:38:10.220 --> 00:38:11.140]   of a new New Yorker article.
[00:38:11.140 --> 00:38:12.980]   So I try to keep that one.
[00:38:12.980 --> 00:38:17.420]   It goes to two when I have academic writings I'm working on.
[00:38:17.420 --> 00:38:19.760]   So like, okay, I'm working on this academic paper,
[00:38:19.760 --> 00:38:23.380]   that will overlap with like a non-academic writing,
[00:38:23.380 --> 00:38:25.620]   but I'll rarely be actively working
[00:38:25.620 --> 00:38:27.100]   on more than one thing at a time.
[00:38:27.100 --> 00:38:29.300]   - That's actually technically two different jobs though,
[00:38:29.300 --> 00:38:30.140]   right?
