
[00:00:00.000 --> 00:00:07.000]   At Suboba Casino Resort this October, something fun is lurking in the dark.
[00:30:32.000 --> 00:30:36.000]   I'll begin with an example that's not you.
[00:30:36.000 --> 00:30:53.000]   If you had somebody who was relatively low income, meaning maybe a household income of $40,000, something like that, and they had $3,000 of credit card debt just always nipping at their heels, and they looked down and they sent a $6,000 boat payment.
[00:30:53.000 --> 00:31:05.000]   They looked down and said, "We don't use the boat. We can just sell the boat, and we can have this credit card debt paid off in about six months if we really just start saving a little bit of money, spend an extra 500 bucks a month over to it."
[00:31:05.000 --> 00:31:18.000]   That's the best thing they can do, because six months and then being free of the nagging frustration of that, and then if they're willing to stop using the card, so then from now on, they never accumulate it, which changes their overall spending habits.
[00:31:18.000 --> 00:31:21.000]   They don't spend too much on family vacation. They don't spend too much at Christmas time.
[00:31:21.000 --> 00:31:27.000]   They actually plan ahead and save money, so when the transmission goes out on the car, they have the money for it, et cetera.
[00:31:27.000 --> 00:31:38.000]   That is so much more powerful in terms of behavior modification than them saving an extra money in the Roth IRA, because the Roth IRA doesn't have any behavioral impact.
[00:31:38.000 --> 00:31:42.000]   They might put the $500 into it, but it doesn't have any behavioral impact.
[00:31:42.000 --> 00:31:47.000]   They'll keep the $3,000 of debt, just paying the minimum, and then next Christmas, they'll overspend.
[00:31:47.000 --> 00:31:51.000]   And the next time the transmission goes out, they won't have an emergency fund.
[00:31:51.000 --> 00:31:58.000]   And so if I were coaching somebody in a scenario like I've just made up, I would say, "Pay off this debt in six months and just stop these stupid games.
[00:31:58.000 --> 00:32:00.000]   Don't borrow money for stuff.
[00:32:00.000 --> 00:32:04.000]   Your situation is probably different.
[00:32:04.000 --> 00:32:07.000]   You have a lot of student loan debt.
[00:32:07.000 --> 00:32:09.000]   You don't have any other debt.
[00:32:09.000 --> 00:32:19.000]   My guess would be that you went to school and took this on intentionally as good debt, wanting to increase your earning ability.
[00:32:19.000 --> 00:32:28.000]   If you're able to have an excess $2,000 per month, there's a good chance that you have decent household income between you and your wife."
[00:32:28.000 --> 00:32:32.000]   So now I would look at that and say, "Hey, what are the benefits here?"
[00:32:32.000 --> 00:32:55.000]   And there is a very strong chance that you should at least make sure that you fund company-matched 403(b)s, because when you take company matches and you take tax discounts and you take potential deductibility of student loan interest, it's hard for me to see that you shouldn't at least take company matches.
[00:32:55.000 --> 00:33:02.000]   But I would probably just take company matches and then pay off the debt, especially the 8% debt.
[00:33:02.000 --> 00:33:10.000]   And of course, you should keep on doing everything you can to renegotiate those interest rates, get that down as much as possible, refinance that debt to wherever you can that's cheaper.
[00:33:10.000 --> 00:33:17.000]   But I would probably do both, because you probably have the financial head that you can keep a track on both.
[00:33:17.000 --> 00:33:24.000]   Now, there are scenarios in which I would say to somebody, "Don't even bother paying extra on the debt."
[00:33:24.000 --> 00:33:39.000]   The type of scenario where I would say to someone, "Don't bother paying extra on the debt. Just make the minimum payments if you can," is when there's no possibility of a short-term behavior modification paying off the debt.
[00:33:39.000 --> 00:33:42.000]   I've worked with a number of clients who are business owners.
[00:33:42.000 --> 00:33:54.000]   And some clients who started their business with just nothing but credit cards and some personal loans and mortgages on their house, and they wind up so deeply in debt with a business that could go gangbusters.
[00:33:54.000 --> 00:34:02.000]   They're so deeply in debt, there is no possibility of their paying it off just by a little extra frugality.
[00:34:02.000 --> 00:34:22.000]   It becomes almost laughable to say, "Well, if you spent $100 less on groceries this month, then that would enable you to pay off your debt. Instead of it taking you 432 months, it would only take you 430."
[00:34:22.000 --> 00:34:25.000]   It's just laughable in some situations.
[00:34:25.000 --> 00:34:32.000]   The only way to solve those situations is for the business to either succeed or to completely collapse.
[00:34:32.000 --> 00:34:37.000]   And when it succeeds, the money just rolls in and you stroke big checks and you pay off the debt.
[00:34:37.000 --> 00:34:44.000]   And so I've been in several situations like that where I've just counseled the person, "Don't worry about it. Don't try to be super frugal."
[00:34:44.000 --> 00:35:05.000]   That's another thing that sometimes when somebody's in a phase where they're making these big business payments, sometimes the idea of being frugal on little things, you know, stressing out about how much they're spending on groceries, whether they're spending $1,200 a month or $1,000 a month, stressing out over that $200 decision.
[00:35:05.000 --> 00:35:11.000]   When they're over here, they're making $200,000 decisions left and right and just waiting for the business to pop.
[00:35:11.000 --> 00:35:14.000]   It's stupid to stress someone out over that.
[00:35:14.000 --> 00:35:22.000]   You just say, "Wait, in a few years, we'll sell the company, the funding will come in, this product is going to market," and you get to it.
[00:35:22.000 --> 00:35:31.000]   And so there are many of those situations where you just say, "Invest. Invest. Don't pay off the debt. Just keep the minimum payments until you get a bunch of excess cash flow."
[00:35:31.000 --> 00:35:37.000]   Then when the profits start rolling in, you just write $100,000 checks, pay off all the credit cards, pay it all off and move on.
[00:35:37.000 --> 00:35:41.000]   I'm not recommending that. I'm showing how there are three different scenarios.
[00:35:41.000 --> 00:35:49.000]   My guess would be your scenario is in the middle where you should do some investing and you should do some debt repayment.
[00:35:49.000 --> 00:35:53.000]   But that's the method of analysis.
[00:35:53.000 --> 00:36:05.000]   If you will do the analysis for yourself, you actually study the costs, the actual costs, actually study the investment returns, the actual investment returns.
[00:36:05.000 --> 00:36:07.000]   And one comment on that business scenario.
[00:36:07.000 --> 00:36:15.000]   When we're talking a business scenario like I described, I'm just thinking of a couple of people that I worked through that with.
[00:36:15.000 --> 00:36:26.000]   The investment returns, we're talking thousands of percent in terms of when you start an early company and you found it and you're getting through those first few years to profitability.
[00:36:26.000 --> 00:36:31.000]   Thousands of percent, especially companies that are scalable.
[00:36:31.000 --> 00:36:36.000]   And then you're looking over here at a piddly 20% credit card interest rate. Big deal.
[00:36:36.000 --> 00:36:39.000]   It's like, I don't even care about the credit card interest rate.
[00:36:39.000 --> 00:36:46.000]   That's immaterial compared to these thousands of percent opportunity over here with this business that can completely blow up.
[00:36:46.000 --> 00:36:51.000]   That's a that scenario. It all comes down again to the interest rates.
[00:36:51.000 --> 00:36:57.000]   That's very different scenario than somebody who's an employee and who say, I'm going to put money into index funds.
[00:36:57.000 --> 00:37:00.000]   You're not going to get thousands of percent rate of return with Vanguard.
[00:37:00.000 --> 00:37:03.000]   It's not going to happen.
[00:37:03.000 --> 00:37:06.000]   And so in that case, you compare it more deeply.
[00:37:06.000 --> 00:37:10.000]   So it all comes down to what's the actual interest rate.
[00:37:10.000 --> 00:37:15.000]   What about your time period of focus?
[00:37:15.000 --> 00:37:22.000]   And what lifestyle will be created for you one way or the other?
[00:37:22.000 --> 00:37:31.000]   And let me show you with that period of focus, how different those those three scenarios that I made up.
[00:37:31.000 --> 00:37:38.000]   Let's use the number one period of focus for the the forty thousand dollar employee household.
[00:37:38.000 --> 00:37:42.000]   If they get just stop using credit card debt, that'll materially massively improve their life.
[00:37:42.000 --> 00:37:45.000]   They stop using credit cards and to be out of debt. That'll be great.
[00:37:45.000 --> 00:37:52.000]   It'll be just such a sense of psychological freedom that they know that the little extra money in the checking account each month is available.
[00:37:52.000 --> 00:37:59.000]   That is an absolute benefit for that entrepreneur who's building the multimillion dollar company.
[00:37:59.000 --> 00:38:06.000]   Who is has one hundred thousand dollars of credit card debt for them to pay a little extra.
[00:38:06.000 --> 00:38:08.000]   They don't the company's not making money.
[00:38:08.000 --> 00:38:11.000]   They don't have the money to even pay the debt down.
[00:38:11.000 --> 00:38:17.000]   So there's no possibility that short term intense focus on the debt could make a difference.
[00:38:17.000 --> 00:38:25.000]   But the short term intense focus on building the company could make a huge difference where they turn it into a five million dollar sale.
[00:38:25.000 --> 00:38:27.000]   Eighteen months from now.
[00:38:27.000 --> 00:38:34.000]   And so that's where you apply that area of focus and you say, hey, it's going to make a big difference if I just put it put it on the investment here.
[00:38:34.000 --> 00:38:41.000]   And then the lifestyle, same thing for the for the entrepreneur who has no money, who's living on credit cards, has one hundred thousand dollars of credit card debt.
[00:38:41.000 --> 00:38:42.000]   Hang it off.
[00:38:42.000 --> 00:38:43.000]   They're still going to be broke.
[00:38:43.000 --> 00:38:45.000]   They're going to be just as broke if they pay off the credit card debt as if they don't.
[00:38:45.000 --> 00:38:47.000]   They're just broke either way.
[00:38:47.000 --> 00:39:02.000]   But if the company works and they could sell for five million dollars 18 months from now or get a new round of funding, et cetera, then now their lifestyle is in a completely different realm and they can just pay off the debt very quickly.
[00:39:02.000 --> 00:39:07.000]   So these methods of analysis, if you walk through them for yourself.
[00:39:07.000 --> 00:39:09.000]   You'll have the financial answer.
[00:39:09.000 --> 00:39:13.000]   You'll have the behavioral answer and you'll have the lifestyle answer.
[00:39:13.000 --> 00:39:16.000]   And I believe that will help you as a close today show.
[00:39:16.000 --> 00:39:23.000]   I remind you, my newest course, the Radical Personal Finance Guide to my title stinks.
[00:39:23.000 --> 00:39:25.000]   I can't even remember it.
[00:39:25.000 --> 00:39:29.000]   How to save money and never pay interest using credit cards.
[00:39:29.000 --> 00:39:32.000]   Sorry, I just blanked on it for a moment.
[00:39:32.000 --> 00:39:33.000]   It is open and available to you.
[00:39:33.000 --> 00:39:36.000]   Radical personal finance dot com slash credit card course.
[00:39:36.000 --> 00:39:52.000]   If any one of those three scenarios I made up, number one, if that person had listened to me in taking my credit card course, those just forty thousand dollar standard employees, kind of middle America type of person.
[00:39:52.000 --> 00:39:57.000]   If that person had taken my credit card course, they never would have been in credit card debt in the first place.
[00:39:57.000 --> 00:40:03.000]   And so if you're that person or you know that person, you should go to radical personal finance dot com slash credit card course and buy my course.
[00:40:03.000 --> 00:40:17.000]   If you are ninety five thousand dollars in student loan debt and you have no other debt, but you have two thousand dollars of extra extra extra per month, you should seriously consider taking my credit card course because you might learn some things and you might or might not.
[00:40:17.000 --> 00:40:28.000]   But you might start to establish credit cards and start refinancing some of your eight percent student loan debt over to zero percent credit cards while you're saving up the money to pay those suckers off.
[00:40:28.000 --> 00:40:38.000]   So while keeping your three percent student loan debt around now, of course, you need to do the math, but you would benefit by going to radical personal finance dot com slash credit card course and buying my credit cards.
[00:40:38.000 --> 00:40:50.000]   And once again, if that entrepreneur, if those entrepreneurs or those of you who are future entrepreneurs like that, you should go to radical personal finance dot com slash credit card course and you should sign up and take my credit card course.
[00:40:50.000 --> 00:41:18.000]   I will teach you not only how to make sure that you put in place a structure that allows you to always be able to pay your payments, to always have more money available to you cheaply than you ever need, but also to position yourself so that if you do, if your business fails and you do wind up going into bankruptcy, that you can absolve yourself of all of that debt, start another one and maybe make that one a success and do it safely and be able to get through it without dealing with piddly things like credit cards because you set up the structure in place in the beginning.
[00:41:18.000 --> 00:41:24.000]   So all of you should go to radical personal finance dot com slash credit card course and sign up and check out my new course.
[00:41:24.000 --> 00:41:25.000]   Thank you so much.

