
[00:00:00.000 --> 00:00:05.640]   You just got paid, but now what do you do? Do you move money to savings, invest, pay down debt,
[00:23:24.560 --> 00:23:30.500]   you to, instead of donating cash, donate any appreciated securities and ideally the most
[00:23:30.500 --> 00:23:34.820]   appreciated securities, the ones that have the highest baked in gains. Because when you donate
[00:23:34.820 --> 00:23:40.400]   those securities to charity, the charity gets the full amount of the donation, but you don't have to pay
[00:23:40.400 --> 00:23:45.420]   any income taxes for selling those securities or capital gains taxes or any taxes, but you get the
[00:23:45.420 --> 00:23:49.820]   full tax deduction as if you gave the total amount, which you did. And then you could take whatever
[00:23:49.820 --> 00:23:53.940]   money you were otherwise going to use to donate to charity. And then you could just rebuy that same
[00:23:53.940 --> 00:23:58.640]   investment. The watch sale rule doesn't apply here because you didn't actually sell the security,
[00:23:58.640 --> 00:24:05.020]   you donated it. So anytime anyone's donated to charity, I like to say, always donate your securities,
[00:24:05.020 --> 00:24:11.520]   the most appreciated ones. However, I will make one exception, which is if you do what I do and what a lot of
[00:24:11.520 --> 00:24:17.260]   other people do is set up a donor advised fund, then you can separate these decisions and make it a little
[00:24:17.260 --> 00:24:22.080]   simpler. Because if you wanted to make $100 donation to a charity, having to coordinate transferring
[00:24:22.080 --> 00:24:27.400]   stocks to their accounts, it's too much work. But if you set up a donor advised fund, what you can do is
[00:24:27.400 --> 00:24:32.600]   you can donate all those securities to one fund that you manage. And you can get the tax deduction when
[00:24:32.600 --> 00:24:38.640]   you donate the securities or cash or crypto to that fund. And then later, could be a day later,
[00:24:38.640 --> 00:24:43.580]   it could be a month, a year, a decade, you can donate that money at different amounts to any
[00:24:43.580 --> 00:24:48.220]   charity you want. And that charity will get the full contribution, but they usually get that in
[00:24:48.220 --> 00:24:52.680]   the form of a check. So they don't have to deal with managing those securities like you did when
[00:24:52.680 --> 00:24:59.120]   you transfer them into your donor advised fund. Now, another full disclosure, I've used Daffy long
[00:24:59.120 --> 00:25:03.020]   before they became a partner of the show, but they are a sponsor and a partner of the show. So I just want
[00:25:03.020 --> 00:25:07.240]   to give that disclosure out there. They're who I use for my donor advised fund. If you want to check
[00:25:07.240 --> 00:25:12.920]   them out all the hacks.com slash Daffy D A F F Y. And I think right now you'll still get a $25
[00:25:12.920 --> 00:25:18.100]   contribution to your fund and the charity of your choice when you sign up as a new user. So I think
[00:25:18.100 --> 00:25:22.920]   that's a great option to automate all of your charitable giving. If you want to really focus on
[00:25:22.920 --> 00:25:27.860]   optimizing for the most tax advantaged way to do it. If you want a few more strategies for tax optimized
[00:25:27.860 --> 00:25:31.900]   investing, I'll give you a couple things to go do a little bit of research on one is called direct
[00:25:31.900 --> 00:25:39.580]   indexing, which instead of buying, let's say the S&P 500 as an index fund, you could buy all 500 stocks
[00:25:39.580 --> 00:25:45.360]   in the S&P 500. Now that a lot of brokerages offer fractional shares, that makes it a little easier to
[00:25:45.360 --> 00:25:51.420]   do. But I would absolutely not try to do this yourself. I would find some brokerage firm that
[00:25:51.420 --> 00:25:57.260]   supports direct indexing to manage it for you. And understand that if you were to ever leave that
[00:25:57.260 --> 00:26:01.740]   brokerage firm, you know, you would be stuck with 500 individual stocks, if you were trying to match
[00:26:01.740 --> 00:26:08.280]   the S&P 500. The advantage of doing this is you can tax loss harvest at the security level instead of
[00:26:08.280 --> 00:26:14.900]   the fund level. So on any given day, it's not that likely that the S&P 500 is down, because typically it
[00:26:14.900 --> 00:26:20.540]   goes up over time. But any individual security, I would go out and say that almost any day, one of the
[00:26:20.540 --> 00:26:25.360]   shares of the S&P 500, one of the securities there has gone down. And so it gives you the advantage of
[00:26:25.360 --> 00:26:30.980]   more tax loss harvesting opportunities. Another thing you can look at is asset location, which
[00:26:30.980 --> 00:26:34.960]   would be to take really tax efficient investments and put them in your taxable brokerage account,
[00:26:34.960 --> 00:26:40.160]   put really tax inefficient investments in your tax advantage retirement accounts, and view your
[00:26:40.160 --> 00:26:45.120]   portfolio across all of your different accounts. I find that this is really hard to manage and there
[00:26:45.120 --> 00:26:50.580]   aren't any automated solutions I'm aware of to do it. So I found that the juice isn't worth the squeeze.
[00:26:50.580 --> 00:26:57.280]   So to summarize, brokerage investing gives you both growth and flexibility. You're not constrained by
[00:26:57.280 --> 00:27:01.340]   any limits or penalties. And over time, I think it's going to be the biggest part of your financial
[00:27:01.340 --> 00:27:05.540]   life. And it's something you can keep adding to constantly as your income grows. In many ways,
[00:27:05.540 --> 00:27:10.920]   your taxable brokerage account kind of becomes your future freedom fund. It quietly compounds in the
[00:27:10.920 --> 00:27:15.400]   background, you continue contributing to it, and it will give you options in the future that you might not
[00:27:15.400 --> 00:27:20.040]   even know you need right now. Next, before we get to the final step, I want to talk about education
[00:27:20.040 --> 00:27:25.680]   investing and specifically where I think 529 plans fit into this framework to save for the cost of
[00:27:25.680 --> 00:27:31.740]   college for your children or maybe yourself. Here's my general philosophy. You shouldn't put your child's
[00:27:31.740 --> 00:27:37.680]   education ahead of your own financial future. You can borrow for college, often at reasonable rates,
[00:27:37.680 --> 00:27:42.160]   but you can't easily borrow for your own retirement. So that's why I put education investing
[00:27:42.160 --> 00:27:49.520]   after your own investing in a taxable brokerage account. Now, 529s do offer tax-free growth for
[00:27:49.520 --> 00:27:54.200]   qualified education expenses, and they can be a really great tool if you know you are going to
[00:27:54.200 --> 00:27:59.880]   save to pay for college. However, I like to think about those as secondary to saving for myself, but
[00:27:59.880 --> 00:28:04.680]   there are a few exceptions. If you are in a high-income household and you're already on track to fund your
[00:28:04.680 --> 00:28:09.000]   future and you know you're going to get there, you could absolutely make the case to move some of
[00:28:09.000 --> 00:28:15.080]   your 529 contributions up earlier in this framework. Or if you live in a state that offers really generous
[00:28:15.080 --> 00:28:20.500]   state income tax deductions or credits for 529s, which California sadly doesn't, then it could make
[00:28:20.500 --> 00:28:25.080]   sense to prioritize this a little earlier as well. Finally, we come to our last step, number 10, which
[00:28:25.080 --> 00:28:30.540]   is to look at your optional debt. These are things that are below 6%. Like for us, we have a 30-year
[00:28:30.540 --> 00:28:35.680]   mortgage we got in 2020. We probably won't ever make another payment here other than what's required.
[00:28:35.680 --> 00:28:40.480]   But for some people, these decisions aren't necessarily about optimizing their returns and
[00:28:40.480 --> 00:28:44.660]   it's more about a psychological win. If the thought of being debt-free really gives you the peace of
[00:28:44.660 --> 00:28:50.340]   mind you need to sleep well, the flexibility you need for your life, go for it. If you'd rather invest
[00:28:50.340 --> 00:28:54.900]   that money because the returns are better, that is fine too. You've earned the right to choose based
[00:28:54.900 --> 00:29:00.620]   on what matters to you, not just what's optimal on paper. And I know some really smart people who have
[00:29:00.620 --> 00:29:06.020]   the means and are aware of the financial trade-offs and still choose to pay down their debt, pay down
[00:29:06.020 --> 00:29:10.340]   their mortgage, even if the interest rates are low because it makes them sleep better at night.
[00:29:10.340 --> 00:29:15.400]   Okay, so that wraps up the core framework. Those are the 10 steps I use to decide exactly where every
[00:29:15.400 --> 00:29:20.400]   new dollar I save goes. And before I talk about a couple advanced strategies, hopefully you can see
[00:29:20.400 --> 00:29:25.740]   how this sequence will build from stability to flexibility and finally to long-term growth.
[00:29:26.280 --> 00:29:30.460]   You don't need to follow it perfectly, but I think it's really helpful to have some kind of structure
[00:29:30.460 --> 00:29:35.380]   to help cut through the noise and eliminate some decision fatigue, especially when you've got
[00:29:35.380 --> 00:29:41.440]   competing priorities like saving, investing, debt, and really big life goals. So feel free to adapt it
[00:29:41.440 --> 00:29:46.500]   to your own and turn it into whatever you need to make your life a little bit more simple. But I also
[00:29:46.500 --> 00:29:50.200]   want to talk about two different perspectives or kind of advanced strategies that might be worth
[00:29:50.200 --> 00:29:57.400]   considering that I did include above. So the first is an increased focus on liquidity. Now, I feel like we are
[00:29:57.400 --> 00:30:03.040]   always being told to max out our retirement accounts. But what if you need that money before retirement and it
[00:30:03.040 --> 00:30:07.880]   wasn't something you planned three to five years in advance like I talked about? Could be wanting to take a
[00:30:07.880 --> 00:30:14.580]   sabbatical, start a business, buy a home, retire early. Locking everything into their retirement accounts
[00:30:14.580 --> 00:30:20.740]   could backfire on you because you've got to pay penalties and fees, right? The case for prioritizing
[00:30:20.740 --> 00:30:25.700]   liquidity, meaning putting money in your taxable brokerage account before your retirement accounts
[00:30:25.700 --> 00:30:32.720]   would avoid those 10% penalties, ordinary income tax on those retirement contributions. Now, one argument
[00:30:32.720 --> 00:30:37.720]   I often get is, well, you can take a loan from your 401k and that's true. While the interest payments do
[00:30:37.720 --> 00:30:42.320]   accrue to you, the money is no longer invested. And if you lose your job, a lot of time those loans
[00:30:42.320 --> 00:30:45.960]   need to get paid back pretty quickly. Taxable brokerage accounts, on the other hand, you can
[00:30:45.960 --> 00:30:52.040]   access any time, long-term capital gains tax rates, tax loss harvesting, step-up basis if you end up
[00:30:52.040 --> 00:30:58.300]   leaving that money to heirs. And so yes, you may miss out on some tax savings if you focus first on your
[00:30:58.300 --> 00:31:04.580]   taxable brokerage account investing, but you gain a lot of flexibility. And sometimes that's worth more
[00:31:04.580 --> 00:31:09.800]   than the returns or tax efficiency you get for your retirement accounts. So one way you might approach this
[00:31:09.800 --> 00:31:14.940]   is to say, I think I want a little bit more flexibility. Let's just equally invest. You could
[00:31:14.940 --> 00:31:21.140]   say, let's prioritize half of our savings goes to brokerage investing, half goes to tax-advantaged
[00:31:21.140 --> 00:31:25.680]   accounts in our retirement accounts. You can choose how you want to do this, but I just want to flag that
[00:31:25.680 --> 00:31:31.940]   there is a benefit to liquidity. For every person, it's really hard to quantify. And so sometimes you
[00:31:31.940 --> 00:31:35.900]   might think, oh, it's easier to just put it all in my pre-tax account. That's more efficient in the long run.
[00:31:36.000 --> 00:31:40.600]   But if you ever do need access to the money, and I would say the most recurring theme I hear from
[00:31:40.600 --> 00:31:45.240]   people that think about money and have been around for a while is you never know you need the money
[00:31:45.240 --> 00:31:50.520]   until you need the money. And so making sure you have enough money to cover whatever goals you have
[00:31:50.520 --> 00:31:54.920]   in the next three to five years, that short-term savings fund, that's important, but sometimes it's
[00:31:54.920 --> 00:32:00.340]   unexpected. And so prioritizing a little bit more brokerage investing if you have the ability before
[00:32:00.340 --> 00:32:03.780]   your retirement accounts can totally make sense if you want a little bit more liquidity.
[00:32:03.780 --> 00:32:08.740]   This episode is brought to you by Copilot. If you're looking to get your finances organized this year,
[00:32:08.740 --> 00:32:14.160]   you have to check out Copilot. It's one of my favorite apps, and I check it almost every day because it makes
[00:32:14.160 --> 00:32:20.060]   it so seamless and easy to manage your money and track your spending, which for us has resulted in a huge boost
[00:32:20.060 --> 00:32:24.860]   to our savings. And I've tried dozens of apps that do this. I've even made a whole episode about it.
[00:32:25.040 --> 00:32:30.460]   But Copilot is the only one I've kept using, and I have no plans to stop. You can link accounts at over
[00:32:30.460 --> 00:32:36.440]   10,000 institutions, and their AI-powered expense categorization is the best I've used with custom
[00:32:36.440 --> 00:32:41.720]   Amazon and Venmo integrations to make it even better. You can completely design your spending categories
[00:32:41.720 --> 00:32:47.680]   and subcategories and easily set up rules to assign transactions to them in the future. Thanks to Copilot,
[00:32:47.680 --> 00:32:52.800]   I have never had a better grasp on our spending and cash flow, which I'm pretty sure has resulted in
[00:32:52.800 --> 00:32:56.860]   thousands of dollars of savings every year. So for the best app to track your spending,
[00:32:56.860 --> 00:33:02.580]   subscriptions, and investments, go to chrishutchins.com slash copilot or click the link in the description
[00:33:02.580 --> 00:33:09.180]   to download Copilot and enter code HACKS during onboarding for a two-month free trial. Again,
[00:33:09.180 --> 00:33:15.920]   that's chrishutchins.com slash copilot and the code HACKS2 for a free two-month trial of my favorite
[00:33:15.920 --> 00:33:21.840]   personal finance app. This episode is brought to you by Element. Now, I love Element, and I use it all the
[00:33:21.840 --> 00:33:27.940]   time because it helps anyone stay hydrated without the sugar and other dodgy ingredients in popular
[00:33:27.940 --> 00:33:32.940]   electrolyte and sports drinks. And that's important because electrolyte deficiency or imbalance can
[00:33:32.940 --> 00:33:39.380]   cause headaches, cramps, fatigue, brain fog, and weakness. In fact, Element is a zero-sugar electrolyte
[00:33:39.380 --> 00:33:45.100]   drink mix and sparkling electrolyte water born from the growing body of research revealing that optimal
[00:33:45.100 --> 00:33:50.880]   health outcomes occur at sodium levels two to three times government recommendations. Element is formulated
[00:33:50.880 --> 00:33:55.900]   for anyone on a mission to restore their health through hydration and is perfectly suited for
[00:33:55.900 --> 00:34:01.920]   everyone from athletes to regular people like me and works if you're fasting on a keto, low-carb,
[00:34:01.920 --> 00:34:06.980]   or paleo diet. And if you're not sure if it's for you, don't worry because Element offers a no
[00:34:06.980 --> 00:34:12.600]   questions asked refund policy so you can try it totally risk-free. Get your free sample pack with any
[00:34:12.600 --> 00:34:19.140]   Element purchase at chrishutchins.com slash LMNT. This deal is only available through that link,
[00:34:19.140 --> 00:34:24.160]   so support the show and go to chrishutchins.com slash Element or click the link in the description
[00:34:24.160 --> 00:34:30.500]   and get hydrated. Another contrarian take I often have here is that if you have a strong credit score
[00:34:30.500 --> 00:34:36.280]   or a large investment portfolio, you might be able to reduce the amount of cash savings you have.
[00:34:36.280 --> 00:34:41.520]   And that could be cash savings for a safety net or that could be cash savings for short-term goals.
[00:34:41.520 --> 00:34:47.600]   And this is especially true during low interest rate environments where putting money in cash doesn't
[00:34:47.600 --> 00:34:52.500]   earn the four or more percent it does right now. I remember a handful of years ago when your savings
[00:34:52.500 --> 00:34:58.640]   account was earning one percent or less, it felt really painful for me to keep money in cash knowing
[00:34:58.640 --> 00:35:04.260]   it was earning so little. Also knowing that because interest rates were little, borrowing money was
[00:35:04.260 --> 00:35:08.580]   actually a lot more accessible in terms of the interest rate you would pay to do it. So here are
[00:35:08.580 --> 00:35:15.300]   a few strategies to potentially pair with keeping less cash for your safety net or your short-term goals.
[00:35:15.300 --> 00:35:21.660]   So one is zero percent APR credit cards. Some credit cards offer 12 to 18 months of no interest
[00:35:21.660 --> 00:35:25.900]   on purchases, sometimes on balance transfers. Usually you're going to make a minimum payment,
[00:35:25.900 --> 00:35:29.440]   but you're not going to have to make the full payment. And so this could be a great backup
[00:35:29.440 --> 00:35:36.200]   emergency buffer for circumstances where you all of a sudden need some cash and you don't want to have
[00:35:36.200 --> 00:35:41.380]   to sell your investment accounts. You could take advantage of zero percent APR credit cards. Now,
[00:35:41.380 --> 00:35:45.420]   there's no guarantee that they will be around when you need them. There's no guarantee you will get
[00:35:45.420 --> 00:35:50.020]   approved for them. And so obviously these strategies are advanced because they come with some risk,
[00:35:50.020 --> 00:35:54.360]   but it is something that I know people have been able to take advantage of in those circumstances
[00:35:54.360 --> 00:35:58.720]   where they wanted to avoid selling from their taxable brokerage account. The next one could
[00:35:58.720 --> 00:36:03.540]   be a home equity line of credit or a HELOC. And so for homeowners, if you have equity in your home
[00:36:03.540 --> 00:36:09.220]   beyond your down payment amount, usually, you can access that equity by borrowing against your home
[00:36:09.220 --> 00:36:15.040]   with a HELOC. Now, typically the rates here are lower than a lot of personal loans or credit cards.
[00:36:15.040 --> 00:36:20.740]   So that can make it advantageous. Also in a low interest rate environment, the HELOC rates are also low.
[00:36:20.740 --> 00:36:26.300]   So if you have home equity and you need access to funds, you can effectively borrow from the bank
[00:36:26.300 --> 00:36:32.860]   with your home as collateral. And that allows you to have access to low cost borrowing that in certain
[00:36:32.860 --> 00:36:37.340]   interest rate environments might be really compelling as an alternative to keeping money in cash.
[00:36:37.700 --> 00:36:41.040]   So you could take that money that you would have kept in cash and put it in the stock market.
[00:36:41.040 --> 00:36:47.100]   Similarly, you could do what's called a PLOC, which is a portfolio line of credit, or I think
[00:36:47.100 --> 00:36:51.460]   there's some other version of it that's a security line of credit or a security backed loan.
[00:36:51.460 --> 00:36:55.660]   And that lets you borrow against your taxable investments without having to sell them.
[00:36:55.660 --> 00:37:00.860]   So obviously the pros here are, you can access your taxable investments without triggering capital gains.
[00:37:01.360 --> 00:37:06.820]   Depending on the platform, you can get them in as little as a day, maybe even same day sometimes.
[00:37:06.820 --> 00:37:10.260]   And they're pretty flexible on how long you need to repay them.
[00:37:10.260 --> 00:37:12.820]   But they do come with some risks and cons.
[00:37:12.820 --> 00:37:16.040]   So one, the rates on those loans are typically variable.
[00:37:16.040 --> 00:37:18.980]   And so in a low interest rate environment, they can be really compelling.
[00:37:18.980 --> 00:37:23.680]   So much so that you might think, well, this makes a lot more sense than keeping money in cash,
[00:37:23.680 --> 00:37:24.340]   earning nothing.
[00:37:24.340 --> 00:37:28.960]   But the biggest challenge here is that if your portfolio drops in value,
[00:37:28.960 --> 00:37:30.920]   you may face what's called a margin call.
[00:37:30.920 --> 00:37:35.940]   Now, I'm not going to do a deep dive here on the nuance of how this would happen and what happens.
[00:37:35.940 --> 00:37:38.980]   But the high level here is your brokerage firm is going to be able to loan you money
[00:37:38.980 --> 00:37:42.640]   as a percentage of your balance of the eligible securities.
[00:37:42.640 --> 00:37:47.200]   So let's say you had $100,000, they might be willing to loan you half of that.
[00:37:47.200 --> 00:37:48.120]   So $50,000.
[00:37:48.120 --> 00:37:53.000]   But if your portfolio drops from $100,000 because the market crashes to $80,000,
[00:37:53.000 --> 00:37:56.140]   they might only be willing to loan you $40,000.
[00:37:56.140 --> 00:38:00.860]   And you might need to make a margin call or a deposit to close that gap.
[00:38:00.860 --> 00:38:05.740]   So this is not for people who are really risk averse.
[00:38:05.740 --> 00:38:10.300]   Unless you do what I've done in the past, which is just keep that amount small.
[00:38:10.480 --> 00:38:18.460]   So the amount that might trigger a margin call might be 60% or 70% of the loan to the portfolio value.
[00:38:18.460 --> 00:38:22.040]   So if you were to borrow only 10% of your portfolio,
[00:38:22.040 --> 00:38:28.780]   the risk that your portfolio drops so much that 10% you borrowed now becomes 70%
[00:38:28.780 --> 00:38:34.220]   is really a catastrophic situation where the market's crashed by more than 50%.
[00:38:34.220 --> 00:38:36.880]   And so some programs, I know at Wealthfront,
[00:38:36.880 --> 00:38:40.200]   we did this where you couldn't borrow more than 30% of your portfolio.
[00:38:40.420 --> 00:38:44.080]   And the primary reason is that we really didn't want to let people get into a situation
[00:38:44.080 --> 00:38:46.040]   where they were having to make these margin calls.
[00:38:46.040 --> 00:38:51.480]   So if you manage this appropriately and you borrow a smaller percentage of your portfolio
[00:38:51.480 --> 00:38:57.160]   such that even a 50% crash in the market is not going to require you to make immediate payments.
[00:38:57.160 --> 00:39:01.400]   Because by the way, in that 50% crash scenario is probably the last time
[00:39:01.400 --> 00:39:04.240]   you want to be able to make payments because maybe you lost your job.
[00:39:04.240 --> 00:39:06.000]   Maybe there's all kinds of stuff happening.
[00:39:06.000 --> 00:39:08.380]   And so if you can manage it appropriately,
[00:39:08.380 --> 00:39:12.500]   I think it could be a really interesting alternative to keeping money in cash.
[00:39:12.500 --> 00:39:18.700]   So let's say you decide your safety net should be $100,000 and you have a million dollars in your taxable brokerage account.
[00:39:18.700 --> 00:39:21.900]   Well, in the worst case that you need to borrow that $100,000,
[00:39:21.900 --> 00:39:25.940]   you're going to be able to borrow it and it's only going to be 10% of your portfolio.
[00:39:25.940 --> 00:39:28.860]   So I feel like that is a very low risk circumstance.
[00:39:29.160 --> 00:39:36.520]   Whereas if you only had $100,000 in your taxable brokerage account and you needed to borrow $80,000 or $100,000 for a safety net,
[00:39:36.520 --> 00:39:38.860]   it would not be a scenario I'd want to rely on.
[00:39:38.860 --> 00:39:41.660]   And this might also vary depending on the interest rates.
[00:39:41.660 --> 00:39:45.080]   Right now with high interest rates, both to borrow and to earn on cash,
[00:39:45.080 --> 00:39:48.260]   you might just be willing to keep your money in cash to make things simpler.
[00:39:48.440 --> 00:39:53.700]   But if things change, it might make sense to invest that money and rely on being able to borrow from your portfolio.
[00:39:53.700 --> 00:40:00.240]   So that setup would let you keep your money working in the markets, but give you access to liquidity when you need it.
[00:40:00.240 --> 00:40:02.160]   But obviously it comes with some risks.
[00:40:02.160 --> 00:40:05.180]   So please go do some research before you take advantage of it.
[00:40:05.180 --> 00:40:11.060]   So that's the full picture from the foundational steps to some more advanced moves that I've been thinking about and using for years.
[00:40:11.060 --> 00:40:16.260]   So whether you're just starting out or you're fine tuning a little bit more of a complex financial life,
[00:40:16.260 --> 00:40:19.460]   I really hope this helps you feel more confident about what you do with your money.
[00:40:19.460 --> 00:40:24.020]   And now that we've gone through it, I want to switch gears and answer a few questions I got from listeners
[00:40:24.020 --> 00:40:27.920]   because hearing how this applies in real life is where sometimes it really starts to click.
[00:40:27.920 --> 00:40:33.420]   So first question is from Matthew, just moved to a new state for a new job and is selling his house
[00:40:33.420 --> 00:40:35.560]   and is going to bank a few hundred thousand dollars.
[00:40:35.560 --> 00:40:38.740]   And they decided they're going to rent for a year while they figure out the market
[00:40:38.740 --> 00:40:41.640]   and wants to know what to do with that money that's come in.
[00:40:41.640 --> 00:40:43.540]   And he said, do I pay off debt?
[00:40:43.540 --> 00:40:44.880]   I've got some student loans.
[00:40:44.880 --> 00:40:47.760]   I have a car loan at 5.24%.
[00:40:47.760 --> 00:40:49.620]   Do I put it in high yield savings?
[00:40:49.620 --> 00:40:54.560]   Right now, he said he has emergency funds of about $10,000 for three kids
[00:40:54.560 --> 00:40:57.340]   and wants to know what he should start doing.
[00:40:57.340 --> 00:40:59.640]   And so first off, congrats on the new job.
[00:40:59.640 --> 00:41:00.720]   You're in a great position.
[00:41:00.720 --> 00:41:02.080]   You're debt conscious.
[00:41:02.080 --> 00:41:04.400]   And you've got this windfall coming, which is awesome.
[00:41:04.400 --> 00:41:09.080]   As for what to do with this windfall, obviously, you could just follow the steps I mentioned.
[00:41:09.080 --> 00:41:10.420]   But I'm going to walk through my thoughts.
[00:41:10.420 --> 00:41:13.740]   So you said you've got about a $10,000 emergency fund right now.
[00:41:13.740 --> 00:41:19.100]   With three kids and a new job, I personally would want a bit more of a safety net.
[00:41:19.100 --> 00:41:21.180]   I don't know how much you spend each month.
[00:41:21.180 --> 00:41:26.040]   But I'm guessing $10,000 isn't going to cover three to six months of monthly expenses.
[00:41:26.040 --> 00:41:30.140]   So that would be the first place I prioritize with the money from selling your house.
[00:41:30.140 --> 00:41:34.920]   Obviously, before that, I would prioritize setting aside any money you're going to owe for taxes.
[00:41:34.920 --> 00:41:38.440]   But assuming that you lived in the house for long enough,
[00:41:38.440 --> 00:41:43.220]   that first $250,000 if you're not married, $500,000 if you're married,
[00:41:43.220 --> 00:41:46.300]   should be tax-free on gains from a primary resident.
[00:41:46.300 --> 00:41:49.000]   So hopefully, you don't have any taxes to set aside money for.
[00:41:49.320 --> 00:41:51.380]   But anytime anyone is thinking about a windfall,
[00:41:51.380 --> 00:41:54.980]   I would make sure that if you're going to owe taxes on that windfall, you set that aside first.
[00:41:54.980 --> 00:41:58.080]   Next, I'd go through that debt review process.
[00:41:58.080 --> 00:42:00.560]   You mentioned you have $50,000 of student loans.
[00:42:00.560 --> 00:42:04.960]   But you said right now, 40,000 of them are on hold without any interest owed.
[00:42:04.960 --> 00:42:08.080]   And so I don't know the percent on that other $10,000.
[00:42:08.080 --> 00:42:11.200]   And you mentioned a car loan at 5.24%.
[00:42:11.200 --> 00:42:14.600]   So the loans you don't owe interest on, I wouldn't pay them off.
[00:42:14.600 --> 00:42:15.460]   That doesn't make any sense.
[00:42:15.760 --> 00:42:19.920]   The car loan at 5.24%, that's pretty close to the break-even point, right?
[00:42:19.920 --> 00:42:22.240]   It's going to probably not be as much as you earn on cash.
[00:42:22.240 --> 00:42:25.940]   But it'd be pretty hard to borrow at 5.24% right now.
[00:42:25.940 --> 00:42:30.360]   You're probably going to do better in the market in the long run based on historical averages.
[00:42:30.360 --> 00:42:33.280]   So if it feels like a mental burden, you could pay it off.
[00:42:33.280 --> 00:42:35.720]   I probably wouldn't personally pay it off right now.
[00:42:35.720 --> 00:42:38.120]   After debt, I'd be thinking about your short-term goals.
[00:42:38.120 --> 00:42:39.920]   And you mentioned you're going to rent for a year.
[00:42:39.920 --> 00:42:41.600]   If you're thinking of buying a home after that,
[00:42:41.840 --> 00:42:46.800]   I'd want to set aside money in cash, something safe and liquid for that down payment.
[00:42:46.800 --> 00:42:51.320]   And if that down payment is going to take the full amount of money you're having,
[00:42:51.320 --> 00:42:52.080]   then that's what I would do.
[00:42:52.080 --> 00:42:52.860]   That's where I would stop.
[00:42:52.860 --> 00:42:56.300]   But if that amount of money you're getting from your home sale is actually way more than
[00:42:56.300 --> 00:42:58.580]   you'd need for a down payment than any excess,
[00:42:58.580 --> 00:43:02.220]   I would probably put in either a tax-advantaged or taxable brokerage account,
[00:43:02.220 --> 00:43:03.860]   depending on how you want to think about liquidity
[00:43:03.860 --> 00:43:06.320]   and what types of retirement accounts you have access to.
[00:43:07.040 --> 00:43:09.980]   And as I'm saying that, I realized I didn't mention the employer match.
[00:43:09.980 --> 00:43:12.500]   Obviously, if your employer has a match, I would do that first.
[00:43:12.500 --> 00:43:15.100]   I would max that out and then come back to everything I just said.
[00:43:15.100 --> 00:43:17.000]   And if you aren't thinking of a down payment,
[00:43:17.000 --> 00:43:19.620]   because you're not thinking of buying a home and you decide you want to rent forever
[00:43:19.620 --> 00:43:22.680]   and you have no short-term goals, then great.
[00:43:22.680 --> 00:43:25.680]   I would invest all the money once you've maxed out your safety net.
[00:43:25.680 --> 00:43:26.980]   And so that's what I would be thinking about.
[00:43:26.980 --> 00:43:28.360]   So hopefully that's helpful.
[00:43:28.360 --> 00:43:30.120]   You don't have to make every decision now.
[00:43:30.120 --> 00:43:32.440]   You can let the money sit and think about it,
[00:43:32.440 --> 00:43:34.360]   but let it sit somewhere where it's earning interest
[00:43:34.360 --> 00:43:37.500]   and try not to let it look at you and convince you to spend it
[00:43:37.500 --> 00:43:38.940]   and turn into lifestyle inflation.
[00:43:38.940 --> 00:43:41.720]   I'd encourage you to be intentional with every dollar
[00:43:41.720 --> 00:43:43.880]   and you'll keep winning like it seems like you have.
[00:43:43.880 --> 00:43:45.120]   Next is a question from Chris.
[00:43:45.120 --> 00:43:47.900]   He says he's currently using SoFi as a brokerage account
[00:43:47.900 --> 00:43:51.060]   and they offer 1% back with all of his investment contributions.
[00:43:51.060 --> 00:43:53.940]   And then he's converting that 1% into cash and reinvesting it.
[00:43:53.940 --> 00:43:56.700]   And he mentioned that I've talked about tax loss harvesting.
[00:43:56.700 --> 00:43:57.780]   I've talked about Wealthfront.
[00:43:57.780 --> 00:44:00.860]   Curious if that's better than the 1% cash back
[00:44:00.860 --> 00:44:02.220]   he's getting on all his investments.
[00:44:02.720 --> 00:44:05.980]   And also curious if he should be donating securities
[00:44:05.980 --> 00:44:09.000]   with the highest capital gains to a donor-advised fund like Daffy
[00:44:09.000 --> 00:44:11.360]   to try and further optimize.
[00:44:11.360 --> 00:44:14.320]   And so first off, I love that you're already thinking about automation.
[00:44:14.320 --> 00:44:14.940]   This is great.
[00:44:14.940 --> 00:44:17.520]   Now, if you compare these, SoFi right now,
[00:44:17.520 --> 00:44:18.700]   according to what he said,
[00:44:18.700 --> 00:44:22.040]   is giving him a 1% guaranteed return on every contribution.
[00:44:22.040 --> 00:44:22.820]   It's clean.
[00:44:22.820 --> 00:44:23.400]   It's simple.
[00:44:23.400 --> 00:44:24.300]   It's pretty rare.
[00:44:24.300 --> 00:44:26.620]   And then Wealthfront's got tax loss harvesting,
[00:44:27.240 --> 00:44:33.180]   which research often shows over time can add half to 1% in after-tax return.
[00:44:33.180 --> 00:44:35.760]   So if you're just comparing apples to apples right there,
[00:44:35.760 --> 00:44:38.800]   I'd take the 1% on every contribution every day.
[00:44:38.800 --> 00:44:41.860]   Now, I don't know how long you have to leave that money in there,
[00:44:41.860 --> 00:44:45.580]   but if you had, let's say, $50,000 saved
[00:44:45.580 --> 00:44:47.320]   and you're only adding $100 a month,
[00:44:47.320 --> 00:44:49.660]   you're only getting that 1% on the contribution
