
[00:00:00.000 --> 00:00:03.000]   Ready to meet stylish shoes that are also comfortable?
[00:28:25.000 --> 00:28:34.000]   I guess the final thing I should point out with regard to stock investing, right now, learn the lesson of what volatility feels like.
[00:28:34.000 --> 00:28:42.000]   Right now, dig into the markets and learn what it feels like viscerally, emotionally, engage the emotion.
[00:28:42.000 --> 00:28:50.000]   What does it feel like for the market to be down 3% every single day, or practically three or four days out of five over the last two weeks?
[00:28:50.000 --> 00:28:51.000]   What does that feel like?
[00:28:51.000 --> 00:28:52.000]   What does it look like?
[00:28:52.000 --> 00:28:53.000]   What do the headlines look like?
[00:28:53.000 --> 00:28:57.000]   Think about the worst case scenarios and really dig into that and embrace that fear.
[00:28:57.000 --> 00:29:01.000]   And then ask yourself what you need to do to avoid that fear in the future.
[00:29:01.000 --> 00:29:09.000]   I think this really emphasizes one of the simple things that you need to always keep in mind, which is investment time horizons.
[00:29:09.000 --> 00:29:14.000]   For example, the standard advice, don't invest in stocks if you've got a time horizon of less than five years.
[00:29:14.000 --> 00:29:19.000]   Well, that's standard advice for a reason, and it's good advice.
[00:29:19.000 --> 00:29:28.000]   But one of the things that I've learned over the years, back when I used to manage portfolios, I didn't emphasize that as much as I should.
[00:29:28.000 --> 00:29:34.000]   But if you've got a use for money within the next five years, make sure that it's not invested in stocks.
[00:29:34.000 --> 00:29:37.000]   You cannot control what happens in the market.
[00:29:37.000 --> 00:29:42.000]   You cannot control if your portfolio dumps 10%, 15% all of a sudden.
[00:29:42.000 --> 00:29:48.000]   This is most difficult with needs that are short-term and that are acute.
[00:29:48.000 --> 00:29:53.000]   So with retirement needs, you can push this off because you can always say, "Oh, you always have a long time horizon."
[00:29:53.000 --> 00:29:56.000]   Things like college funding, you can't push it off.
[00:29:56.000 --> 00:30:01.000]   If you're going to use college savings to pay for it, how would you feel right now?
[00:30:01.000 --> 00:30:08.000]   Or how do you feel right now if you've got a 17-year-old and you were looking forward to them being in college,
[00:30:08.000 --> 00:30:15.000]   and now all of a sudden you're depending on the stocks, which are down 15%, to pay for their college?
[00:30:15.000 --> 00:30:18.000]   Now, don't panic if you're in that situation.
[00:30:18.000 --> 00:30:20.000]   You've got plenty of time.
[00:30:20.000 --> 00:30:23.000]   The need is not going to all be this year or next year.
[00:30:23.000 --> 00:30:27.000]   It's going to be spread out over a number of years, and so you can work this out.
[00:30:27.000 --> 00:30:31.000]   But it's a very vulnerable position to be in.
[00:30:31.000 --> 00:30:35.000]   And so it's better for you if you've got a specific thing that you're planning to do with money.
[00:30:35.000 --> 00:30:38.000]   You're planning to use money for a down payment on a house.
[00:30:38.000 --> 00:30:40.000]   You're planning to use money for a college education, et cetera.
[00:30:40.000 --> 00:30:45.000]   Look ahead, and don't be lulled to sleep by good markets.
[00:30:45.000 --> 00:30:47.000]   Markets can turn so fast.
[00:30:47.000 --> 00:30:52.000]   Don't be lulled to sleep and say, "Oh, well, this is four years from now, but I'm still doing well, so I'm just going to wait."
[00:30:52.000 --> 00:30:53.000]   No.
[00:30:53.000 --> 00:30:59.000]   If it's four years from now, go ahead and start selling, or at least sell what you would need for the first year and move it to cash.
[00:30:59.000 --> 00:31:11.000]   It's a little bit more prudent because it's a lot more painful to be down 15% and be selling than it is for you to be just to miss out on a couple percent on the upside.
[00:31:11.000 --> 00:31:14.000]   It's a lot more painful.
[00:31:14.000 --> 00:31:19.000]   And I think that's a decent place for me to pivot to my last topic, which I want to talk about.
[00:31:19.000 --> 00:31:24.000]   Basically, what I consider to be an intelligent response to risk.
[00:31:24.000 --> 00:31:42.000]   I find it so complicated as I watch people who are so fixated on saying calming words and helping people avoid panic that they're not willing to -- it doesn't seem like they're willing to admit that there's ever a time to panic.
[00:31:42.000 --> 00:31:48.000]   And I find that -- I find it short-sighted.
[00:31:48.000 --> 00:31:52.000]   There are times to panic.
[00:31:52.000 --> 00:31:55.000]   There really are.
[00:31:55.000 --> 00:32:01.000]   I could give you various examples, but if a car is headed for you, panic and go in any direction.
[00:32:01.000 --> 00:32:07.000]   If you're being shot at, panic and do something.
[00:32:07.000 --> 00:32:10.000]   Don't just stand there and freeze.
[00:32:10.000 --> 00:32:15.000]   Now, on a societal level, panic is exceedingly dangerous.
[00:32:15.000 --> 00:32:18.000]   Panic causes people to do crazy, irrational things.
[00:32:18.000 --> 00:32:23.000]   I'm using the word somewhat sloppily here, so I hope you'll listen through that.
[00:32:23.000 --> 00:32:26.000]   But panic is really dangerous on a society level.
[00:32:26.000 --> 00:32:31.000]   Panic, when people are all trying to get out of a building, is when people get trampled instead of proceeding in an orderly way.
[00:32:31.000 --> 00:32:36.000]   Panic is when nobody -- everyone's fighting with one another and they can't get out of an airplane that's sinking, things like that.
[00:32:36.000 --> 00:32:42.000]   So panic genuinely is not a good thing on a societal level.
[00:32:42.000 --> 00:32:59.000]   But I fear sometimes that we're so accustomed to everything working out well that we want to lull ourselves to sleep when there are real legitimate risks, real legitimate concerns.
[00:32:59.000 --> 00:33:03.000]   Now, I like the saying, you know, "Panic early and avoid the rush."
[00:33:03.000 --> 00:33:05.000]   I like that.
[00:33:05.000 --> 00:33:07.000]   I'm the guy that coined that.
[00:33:07.000 --> 00:33:16.000]   It really does make sense that you got to panic early, and if you panic early, then you don't have to panic so bad as people who are left without options.
[00:33:16.000 --> 00:33:30.000]   And I think that the flu epidemic is really demonstrating what I consider to be a lack of understanding by many people of how severe some risks can be and how -- and what the response to those risks needs to be.
[00:33:30.000 --> 00:33:32.000]   Let's talk about flu epidemics for a moment.
[00:33:32.000 --> 00:33:44.000]   I have a great deal of sympathy for public health officials who are trying to manage a flu epidemic because they've got a completely losing job.
[00:33:44.000 --> 00:33:49.000]   It's the perfect encapsulation of the phrase "damned if you do and damned if you don't."
[00:33:49.000 --> 00:33:51.000]   Think about something like closing down schools.
[00:33:51.000 --> 00:33:52.000]   Okay.
[00:33:52.000 --> 00:33:58.000]   If you're going to respond to a flu epidemic, you've got to be ahead of the curve.
[00:33:58.000 --> 00:34:11.000]   And this is especially important if you have a flu or sickness that has a long, contagious incubation period where the actual individual is asymptomatic, but they may be outspreading the virus.
[00:34:11.000 --> 00:34:17.000]   And especially if you don't know how long that contagious period is, this is really -- this is the most dangerous thing.
[00:34:17.000 --> 00:34:31.000]   If you're going to do something like quarantine a city or shut down school, in order for it to work, you've got to do it early, very early, before there's even evidence that that's really, really necessary.
[00:34:31.000 --> 00:34:34.000]   Now, here's why you're damned if you do.
[00:34:34.000 --> 00:34:48.000]   If you do it early, before it's necessary, that has the possibility of working, and that can stop a spreading flu right in its tracks because it can be effective enough if done early.
[00:34:48.000 --> 00:34:59.000]   But the problem is if you do that and it's done early and you stop the spread of an epidemic because you take drastic action, everyone looks around and says, "There wasn't any risk.
[00:34:59.000 --> 00:35:00.000]   Nobody got sick.
[00:35:00.000 --> 00:35:01.000]   Come on.
[00:35:01.000 --> 00:35:02.000]   What are you doing?"
[00:35:02.000 --> 00:35:15.000]   Now, on the flip side, if you don't move early and you let the thing develop and you let the people incubating to spread and spread and spread, by the time you actually take the action when the evidence warrants it, well, it's too late.
[00:35:15.000 --> 00:35:16.000]   And so it doesn't work.
[00:35:16.000 --> 00:35:18.000]   And everyone says, "You didn't do your job.
[00:35:18.000 --> 00:35:20.000]   You should have done something."
[00:35:20.000 --> 00:35:24.000]   And so it's a very unenviable job that they're in.
[00:35:24.000 --> 00:35:27.000]   Now, thankfully, you and I don't have to worry too much about that.
[00:35:27.000 --> 00:35:34.000]   It's not our jobs, unless it is, in which case I'm sympathetic for you and I wish you all the best.
[00:35:34.000 --> 00:35:40.000]   But in our own lives, we have more freedom and more flexibility.
[00:35:40.000 --> 00:35:46.000]   But the key is you've got to be out of sync with most people.
[00:35:46.000 --> 00:35:58.000]   There have been minor shortages in the United States on preparedness items, things like bleach, soap, food, water, et cetera.
[00:35:58.000 --> 00:36:04.000]   I've had pictures from listeners showing me totally empty shelves at Costco, things like that.
[00:36:04.000 --> 00:36:10.000]   Now, I think there's going to be more shortages in the coming weeks, but I don't expect shortages on some of those things.
[00:36:10.000 --> 00:36:13.000]   The Costco supply chain is phenomenal.
[00:36:13.000 --> 00:36:15.000]   They will quickly take up the slack.
[00:36:15.000 --> 00:36:22.000]   So while I do expect more shortages, shipping is dramatically down from China, and I think that there's significant economic challenges ahead.
[00:36:22.000 --> 00:36:26.000]   I don't expect it on things like meat or oatmeal.
[00:36:26.000 --> 00:36:28.000]   I think that stuff is probably going to be fine.
[00:36:28.000 --> 00:36:29.000]   Rice and beans, right?
[00:36:29.000 --> 00:36:32.000]   It's going to be available, I think.
[00:36:32.000 --> 00:36:38.000]   But the key is recognize that six months ago there were no shortages.
[00:36:38.000 --> 00:36:48.000]   And so it's very hard, but the best time to be out buying rice and beans and bleach and soap was six months ago when there was not even a threat.
[00:36:48.000 --> 00:36:58.000]   Now, if you missed it six months ago, the best time was back in January or early February, which is why I tried to raise the alarm then.
[00:36:58.000 --> 00:37:05.000]   When I started to see things coming from China, I tried to raise the alarm, and in my own life, I took action.
[00:37:05.000 --> 00:37:08.000]   I went and I stocked up. I went to the store and I got a bunch of masks.
[00:37:08.000 --> 00:37:10.000]   We had some, but not enough.
[00:37:10.000 --> 00:37:11.000]   And so I got a bunch of masks.
[00:37:11.000 --> 00:37:12.000]   There was no shortage.
[00:37:12.000 --> 00:37:13.000]   There was plenty.
[00:37:13.000 --> 00:37:16.000]   There was plenty of food in the store.
[00:37:16.000 --> 00:37:21.000]   And then as I watched it and it got worse in the beginning of February, I went ahead and bought more.
[00:37:21.000 --> 00:37:23.000]   And I said, you know what?
[00:37:23.000 --> 00:37:24.000]   I need to increase the family's food supply.
[00:37:24.000 --> 00:37:26.000]   So I bought a couple more months of food.
[00:37:26.000 --> 00:37:28.000]   But I was doing it before there were shortages.
[00:37:28.000 --> 00:37:35.000]   Now, I felt a little bit foolish, right, because thinking, is this really necessary?
[00:37:35.000 --> 00:37:37.000]   It's probably not.
[00:37:37.000 --> 00:37:38.000]   But you know what?
[00:37:38.000 --> 00:37:41.000]   If it does become necessary, I'll be glad I took action.
[00:37:41.000 --> 00:37:44.000]   And again, I'm more prepared than the vast majority of people.
[00:37:44.000 --> 00:37:48.000]   But I still felt foolish because I think, am I going overboard?
[00:37:48.000 --> 00:37:50.000]   Is this really necessary?
[00:37:50.000 --> 00:37:53.000]   You never know.
[00:37:53.000 --> 00:38:03.000]   But the intelligent response to risk is to respond fast and to respond early while it's relatively easy to respond.
[00:38:03.000 --> 00:38:15.000]   Now, I've been amazed to read, especially in the personal finance space, I've been amazed to read people who make fun of that kind of thing, who say, oh, this is an overreaction.
[00:38:15.000 --> 00:38:21.000]   I've tried to describe how severe of a threat a flu, a global flu pandemic really is.
[00:38:21.000 --> 00:38:24.000]   Trust me, it's not an overreaction.
[00:38:24.000 --> 00:38:33.000]   It may be, and I hope it is, and I think increasingly that it's going to be unnecessary, it may be an unnecessary preparation.
[00:38:33.000 --> 00:38:37.000]   But it's not an overreaction.
[00:38:37.000 --> 00:38:54.000]   It's an unnecessary preparation in the same way that my fire extinguisher in the kitchen, my smoke detectors in my house, my flashlights in the bedroom, all of those are unnecessary.
[00:38:54.000 --> 00:38:57.000]   The fire extinguisher is going to sit there on the shelf for years.
[00:38:57.000 --> 00:38:59.000]   I'm never going to use it.
[00:38:59.000 --> 00:39:02.000]   The smoke detectors are just going to be annoying when I burn some food.
[00:39:02.000 --> 00:39:03.000]   I'm never going to use them.
[00:39:03.000 --> 00:39:05.000]   They're never going to wake us up in the middle of the night.
[00:39:05.000 --> 00:39:15.000]   The flashlight by my bed, never going to need it until or unless someday I do.
[00:39:15.000 --> 00:39:17.000]   And that's what it's like with preparing for a flu pandemic.
[00:39:17.000 --> 00:39:27.000]   A flu pandemic is potentially a far more devastating affair than a house fire.
[00:39:27.000 --> 00:39:35.000]   Now, it's far less likely, obviously, but it's only less likely in the fullness of time, or in a short period.
[00:39:35.000 --> 00:39:38.000]   It's very likely in the fullness of time.
[00:39:38.000 --> 00:39:54.000]   And so, think about how people are describing risk and recognize how important it is to live a lifestyle of preparation, to be prepared in all circumstances.
[00:39:54.000 --> 00:40:08.000]   I was trying to come up with analogies to draw that would make this more accessible, because the flu pandemic is such a weird, you got to understand compounding, you got to understand viral infections.
[00:40:08.000 --> 00:40:10.000]   It's just a hard subject.
[00:40:10.000 --> 00:40:14.000]   Biology is not most of our strong suit.
[00:40:14.000 --> 00:40:21.000]   But I was thinking about it in something like boating or sailing.
[00:40:21.000 --> 00:40:26.000]   If you bought a boat and you said, Joshua, what would you do your recommendations for me with a boat?
[00:40:26.000 --> 00:40:31.000]   I would give you some recommendations of how you can stay safe on a boat.
[00:40:31.000 --> 00:40:34.000]   Many, many people are killed boating, drown all the time.
[00:40:34.000 --> 00:40:38.000]   And so, certainly, there are some simple things like you should know how to swim.
[00:40:38.000 --> 00:40:40.000]   That's good, but that's not good enough.
[00:40:40.000 --> 00:40:44.000]   So, you think about all of the risks.
[00:40:44.000 --> 00:40:46.000]   You try to keep your boat in good repair.
[00:40:46.000 --> 00:40:48.000]   You don't play around if things aren't working.
[00:40:48.000 --> 00:40:51.000]   You want to make sure that when you turn the key that the engine is going to start.
[00:40:51.000 --> 00:40:55.000]   If the battery is getting old, you replace it before it fails.
[00:40:55.000 --> 00:41:03.000]   If you study mechanical things, boats, airplanes, cars, the majority of things that break on them are entirely predictable.
[00:41:03.000 --> 00:41:11.000]   Why is aviation -- why does aviation have such a tremendously good safety reputation?
[00:41:11.000 --> 00:41:20.000]   It's because of the constant required maintenance that every single airplane, in the United States at least, has to go for its annual checkups.
[00:41:20.000 --> 00:41:23.000]   And it has to have everything cared for, everything inspected.
[00:41:23.000 --> 00:41:32.000]   And if you're diligent about inspecting an airplane, the vast majority of time, you can eliminate a problem before it happens.
[00:41:32.000 --> 00:41:36.000]   It's not sexy, but it's effective.
[00:41:36.000 --> 00:41:40.000]   By doing the necessary maintenance items, you eliminate the problem.
[00:41:40.000 --> 00:41:43.000]   Now, the same thing could be done to vehicles.
[00:41:43.000 --> 00:41:49.000]   People who don't want to be left stranded on the road can just simply choose to be proactive with maintenance.
[00:41:49.000 --> 00:41:53.000]   On a vehicle, there are very few things that are catastrophic failures.
[00:41:53.000 --> 00:41:55.000]   The majority of things that fail are predictable.
[00:41:55.000 --> 00:41:57.000]   They get to the end of their life.
[00:41:57.000 --> 00:41:59.000]   You go out and turn the key and the car won't start.
[00:41:59.000 --> 00:42:01.000]   Well, that's because the battery is four years old.
[00:42:01.000 --> 00:42:05.000]   If you replace the battery at two and a half years or three years or whatever it is,
[00:42:05.000 --> 00:42:08.000]   and you don't wait to try to get that last few dollars of value out of the battery,
[00:42:08.000 --> 00:42:11.000]   there's a very good chance that you'll never have a dead battery.
[00:42:11.000 --> 00:42:19.000]   If you replace the starter regularly or you replace the things that go bad in advance,
[00:42:19.000 --> 00:42:22.000]   your car will almost never leave you on the side of the road.
[00:42:22.000 --> 00:42:24.000]   So, similar things with boating.
[00:42:24.000 --> 00:42:30.000]   If you are concerned about, you know, it could be 30 miles offshore, you want to make sure that boat is in good repair.
[00:42:30.000 --> 00:42:31.000]   And so you do inspections.
[00:42:31.000 --> 00:42:33.000]   You make sure that everything is working on it.
[00:42:33.000 --> 00:42:36.000]   But then you make other plans as well.
[00:42:36.000 --> 00:42:38.000]   So, obviously, you have life jackets.
[00:42:38.000 --> 00:42:41.000]   You might have a life raft if your boat is big enough for one.
[00:42:41.000 --> 00:42:43.000]   You make sure that you have an E-Purb.
[00:42:43.000 --> 00:42:45.000]   You make sure that you wear the life jackets.
[00:42:45.000 --> 00:42:46.000]   You make sure that you have radios.
[00:42:46.000 --> 00:42:48.000]   Then you make sure you have a backup radio.
[00:42:48.000 --> 00:42:50.000]   So, you have your standard UHF/VHF radio.
[00:42:50.000 --> 00:42:52.000]   Then you have your backup VHF radio.
[00:42:52.000 --> 00:42:55.000]   You have your E-Purb, a satellite communicator.
[00:42:55.000 --> 00:42:57.000]   You have these things.
[00:42:57.000 --> 00:42:59.000]   And the goal is that you never need them.
[00:42:59.000 --> 00:43:01.000]   But you're not stupid for having them.
[00:43:01.000 --> 00:43:04.000]   You're not somehow--I'm not a fear monger.
[00:43:04.000 --> 00:43:10.000]   If I come to you and I say, "Let's talk about a safety plan for your boat."
[00:43:10.000 --> 00:43:13.000]   And the same thing with your life.
[00:43:13.000 --> 00:43:23.000]   If you would go to all that trouble and to all of that hassle and expense of preparing your boat,
[00:43:23.000 --> 00:43:28.000]   then why would you not do it in every area of your life?
[00:43:28.000 --> 00:43:34.000]   A few years ago, in the town where I'm from, in Jupiter, Florida, there were a couple of young men
[00:43:34.000 --> 00:43:38.000]   that went out fishing one afternoon together in a boat and they never came back.
[00:43:38.000 --> 00:43:46.000]   And this was a very emotional thing for the town because it's a town built on fishing.
[00:43:46.000 --> 00:43:48.000]   And everyone looked for them and they disappeared.
[00:43:48.000 --> 00:43:50.000]   And it was just a devastating thing.
[00:43:50.000 --> 00:43:56.000]   Anytime you lose teenagers who are in the prime of their life, it's just a devastating thing.
[00:43:56.000 --> 00:43:58.000]   And I've often just thought of that.
[00:43:58.000 --> 00:44:00.000]   Because I don't like to spend money on stuff.
[00:44:00.000 --> 00:44:02.000]   I don't want to buy an E-Purb.
[00:44:02.000 --> 00:44:05.000]   I don't want to buy an inflatable life jacket.
[00:44:05.000 --> 00:44:06.000]   They're expensive.
[00:44:06.000 --> 00:44:09.000]   I'm talking about the suspender type of thing that you wear all the time.
[00:44:09.000 --> 00:44:10.000]   I don't really want to wear it.
[00:44:10.000 --> 00:44:12.000]   I don't want to have a backup radio.
[00:44:12.000 --> 00:44:13.000]   I don't want to do this stuff.
[00:44:13.000 --> 00:44:15.000]   I don't want to spend the money on it.
[00:44:15.000 --> 00:44:21.000]   But I always look at it and I just simply say, "What's the risk if I don't?"
[00:44:21.000 --> 00:44:29.000]   What's the risk if my son goes out on a boat and I didn't model for him wearing the life jacket?
[00:44:29.000 --> 00:44:33.000]   What's the risk if I didn't have the backup radio?
[00:44:33.000 --> 00:44:35.000]   What's the risk if I didn't have the E-Purb?
[00:44:35.000 --> 00:44:38.000]   What's the risk if we didn't go ahead and get the life raft?
[00:44:38.000 --> 00:44:42.000]   Hopefully it's all wasted.
[00:44:42.000 --> 00:44:44.000]   Hopefully it's entirely wasted.
[00:44:44.000 --> 00:44:49.000]   But the risk is worth it, worth spending the money on.
[00:44:49.000 --> 00:44:52.000]   So the same thing comes down to things like preparation.
[00:44:52.000 --> 00:44:57.000]   Don't let anybody tell you that you're stupid if you're looking and saying there's a flu pandemic,
[00:44:57.000 --> 00:45:00.000]   potential flu pandemic, and so I went and bought food.
[00:45:00.000 --> 00:45:01.000]   Or even if you bought water.
[00:45:01.000 --> 00:45:03.000]   I don't recommend necessarily buying water.
[00:45:03.000 --> 00:45:07.000]   It's hard to see how a flu pandemic affects the water flowing out of your tap.
[00:45:07.000 --> 00:45:11.000]   But I think you should just have water, period, because there are lots of other things not related to a flu pandemic
[00:45:11.000 --> 00:45:13.000]   that could affect water coming out of your tap.
[00:45:13.000 --> 00:45:21.000]   So this is practical, this is important, and this is the intelligent response to risk.
[00:45:21.000 --> 00:45:26.000]   Panic early, because if you panic early, it can solve the problems.
[00:45:26.000 --> 00:45:31.000]   But while you're panicking and preparing, make sure that you do things that are intelligent,
[00:45:31.000 --> 00:45:36.000]   that are going to work, and then you can sit back and be completely relaxed.
[00:45:36.000 --> 00:45:41.000]   At this point, I am very relaxed about the coronavirus.
[00:45:41.000 --> 00:45:44.000]   Not because I don't think it's going to have significant issues.
[00:45:44.000 --> 00:45:47.000]   I'm encouraged by some of the data, but I still think it's going to spread.
[00:45:47.000 --> 00:45:51.000]   I think it's going to be a big story, and I think it's going to be months and months and months.
[00:45:51.000 --> 00:45:54.000]   But because I'm prepared, I can be relaxed.
[00:45:54.000 --> 00:45:58.000]   In the same way that when you're going out the inlet and the waves are high,
[00:45:58.000 --> 00:46:02.000]   if you're wondering, "Do I have life jackets in this boat?"
[00:46:02.000 --> 00:46:06.000]   And you know that your radio is not working, and you know that the last time it was hard to get the engine started,
[00:46:06.000 --> 00:46:08.000]   you're pretty nervous about that.
[00:46:08.000 --> 00:46:13.000]   Whereas if you have the gear, you can go out the inlet and be much happier
[00:46:13.000 --> 00:46:15.000]   and enjoy your time out on the water.
[00:46:15.000 --> 00:46:19.000]   That's how I see it.
[00:46:19.000 --> 00:46:27.000]   In conclusion, we're very much in a "damned if you do, damned if you don't" situation.
[00:46:27.000 --> 00:46:35.000]   If you went out three weeks ago and you stocked up on food, you did the right thing.
[00:46:35.000 --> 00:46:39.000]   Now, hopefully you just bought food that was normal, that was cheap.
[00:46:39.000 --> 00:46:43.000]   You were careful with your finances, but you did the right thing.
[00:46:43.000 --> 00:46:49.000]   And I'm optimistic that this flu is going to be less impactful than I feared a few weeks ago.
[00:46:49.000 --> 00:46:51.000]   That's what I'm hoping.
[00:46:51.000 --> 00:46:54.000]   Give me a few more weeks, but that's what I'm hoping.
[00:46:54.000 --> 00:46:57.000]   But you did the right thing in that situation.
[00:46:57.000 --> 00:47:02.000]   That was the prudent response.
[00:47:02.000 --> 00:47:05.000]   You should be glad, and I'm sure you are.
[00:47:05.000 --> 00:47:07.000]   You're glad that it's not necessary.
[00:47:07.000 --> 00:47:11.000]   I hope it's not necessary, but you still have to be prepared.
[00:47:11.000 --> 00:47:21.000]   Now, on the flip side, if you didn't do it, friend, just because this wasn't the time
[00:47:21.000 --> 00:47:27.000]   does not mean that you shouldn't be prepared.
[00:47:27.000 --> 00:47:31.000]   Back to my smoke detector and fire extinguisher analogy.
[00:47:31.000 --> 00:47:34.000]   If the smoke detector alerts you to the fact that you're burning a pot and you walk over
[00:47:34.000 --> 00:47:39.000]   and you turn off the stove, that doesn't mean you don't also need the fire extinguisher
[00:47:39.000 --> 00:47:43.000]   if it had actually caught fire.
[00:47:43.000 --> 00:47:50.000]   So pay attention, and don't be so arrogant as to think, "I live in an advanced society
[00:47:50.000 --> 00:47:52.000]   and all these people are just fear-mongering."
[00:47:52.000 --> 00:47:55.000]   No, the risk is really legitimate.
[00:47:55.000 --> 00:47:59.000]   It's really real, and it's worth preparing for.
[00:47:59.000 --> 00:48:08.000]   The time to buy the life jackets and the E-perbs and the spare VHF radio is when you get the boat,
[00:48:08.000 --> 00:48:12.000]   not when the storm clouds are in the sky.
[00:48:12.000 --> 00:48:18.000]   The time to buy the smoke detectors and the carbon monoxide detectors and the fire extinguishers
[00:48:18.000 --> 00:48:23.000]   is when you move into the house, not when the stove is on fire.
[00:48:23.000 --> 00:48:28.000]   The time to have cash and to diversify your investments and to rebalance
[00:48:28.000 --> 00:48:31.000]   is not when the market is falling apart.
[00:48:31.000 --> 00:48:36.000]   It's when you first make the investment.
[00:48:36.000 --> 00:48:42.000]   The time to think about what's going to happen when interest rates go crazy is now,
[00:48:42.000 --> 00:48:45.000]   not when interest rates are going crazy.
[00:48:45.000 --> 00:48:47.000]   You're going to be unusual because most people can't think about it,
[00:48:47.000 --> 00:48:52.000]   but that skill, that skill of forethought, if you develop it and you implement it
[00:48:52.000 --> 00:48:56.000]   in a thoughtful, careful, prudent way, it's one of the most valuable skills
[00:48:56.000 --> 00:48:59.000]   that you can develop on your path to financial independence.
[00:48:59.000 --> 00:49:01.000]   That's the skill of risk management.
[00:49:01.000 --> 00:49:03.000]   That's all I have to say for today.
[00:49:03.000 --> 00:49:05.000]   I hope that this was helpful to you.
[00:49:05.000 --> 00:49:10.000]   I'm going to be running this next week a sale on consulting.
[00:49:10.000 --> 00:49:12.000]   I've done a bunch of consulting here at the beginning of the year,
[00:49:12.000 --> 00:49:18.000]   but my March and April calendar is now fairly light, and I have loved doing consulting.
[00:49:18.000 --> 00:49:21.000]   I've got a couple of shows planned for you probably coming next week
[00:49:21.000 --> 00:49:23.000]   on just some of the lessons that I'm learning with consulting
[00:49:23.000 --> 00:49:25.000]   and the things that are just so clear.
[00:49:25.000 --> 00:49:31.000]   I ignored doing consulting, with the exception of a handful of high-level clients,
[00:49:31.000 --> 00:49:33.000]   for the last couple of years because I was traveling so much.
[00:49:33.000 --> 00:49:36.000]   Now that I'm traveling less, I can do it, and I love it.
[00:49:36.000 --> 00:49:38.000]   It's just been so great.
[00:49:38.000 --> 00:49:43.000]   It has reengaged me with financial planning in a way that wasn't happening previously
[00:49:43.000 --> 00:49:48.000]   because it gives me such valuable feedback.
[00:49:48.000 --> 00:49:53.000]   The sale is going to be--it's a March Madness sale.
[00:49:53.000 --> 00:49:55.000]   We'll call it that.
[00:49:55.000 --> 00:49:56.000]   It has nothing to do with basketball.
[00:49:56.000 --> 00:50:00.000]   It's just simply that my calendar for the end of March and April is light,
[00:50:00.000 --> 00:50:02.000]   and so I want to fill it up.
[00:50:02.000 --> 00:50:04.000]   I do 10 consulting calls per week.
[00:50:04.000 --> 00:50:09.000]   If you would like to talk to me, doing another deep discount, March Madness sale,
[00:50:09.000 --> 00:50:13.000]   email me, Joshua@radicalpersonalfinance.com.
[00:50:13.000 --> 00:50:15.000]   I am going to--I will--what's the percentage?
[00:50:15.000 --> 00:50:22.000]   I will lower my hourly rate from the norm, which is $400 an hour, to $250 for an hour.
[00:50:22.000 --> 00:50:24.000]   There's a $150 discount.
[00:50:24.000 --> 00:50:30.000]   I have not yet had a single unsatisfied client with regard to consulting.
[00:50:30.000 --> 00:50:32.000]   Sorry, I wasn't right.
[00:50:32.000 --> 00:50:35.000]   One, one moderately satisfied client.
[00:50:35.000 --> 00:50:39.000]   He and I didn't get along very well.
[00:50:39.000 --> 00:50:43.000]   But other than that, the vast majority of clients that I have engaged with
[00:50:43.000 --> 00:50:46.000]   have been thoroughly happy with me, and I stand behind my work every single time.
[00:50:46.000 --> 00:50:48.000]   I always tell clients, "If you're not happy, don't pay me."
[00:50:48.000 --> 00:50:52.000]   So if you would like to sign up for a consulting call during the month of March,
[00:50:52.000 --> 00:50:56.000]   using code MARCHMADNESS, email me, Joshua@radicalpersonalfinance.com.
[00:50:56.000 --> 00:51:01.000]   I'll give you a $150 discount from standard rate of $400 to $250 per hour.
[00:51:01.000 --> 00:51:04.000]   Email me, Joshua@radicalpersonalfinance.com.
[00:51:04.000 --> 00:51:08.000]   It has to be booked during March in order for that sale to go
[00:51:08.000 --> 00:51:13.000]   because I do have continual flow of inquiries at the standard rate.
[00:51:13.000 --> 00:51:15.000]   So email me, Joshua@radicalpersonalfinance.com.
[00:51:15.000 --> 00:51:18.520]   Tell me, March Madness Consulting Call, and I will get you set up.
[00:51:18.520 --> 00:51:19.020]   Thanks.

