
[00:00:00.000 --> 00:00:04.340]   Hey, what's up everyone?
[00:24:46.720 --> 00:24:53.100]   And if we go down to expand the chart section, we see the episodic returns and episodic lengths.
[00:24:53.100 --> 00:24:58.540]   We can also go to the overview tab and here we see all of our hyperparameters.
[00:24:58.540 --> 00:25:03.220]   Spinning up, we see our experiment took 18 seconds to finish, and here we can see the
[00:25:03.220 --> 00:25:06.960]   exact command that was used to produce this experiment.
[00:25:06.960 --> 00:25:10.940]   We can also go to this tab to check out the system metrics usage.
[00:25:10.940 --> 00:25:16.320]   And because our experiment has finished so fast, there isn't really that many data points.
[00:25:16.320 --> 00:25:20.900]   We can also go to the files tab and check out the requirements.txt for all of the logged
[00:25:20.900 --> 00:25:22.580]   dependencies.
[00:25:22.580 --> 00:25:29.200]   And finally, we can go to the code tab to see a copy of our code.
[00:25:29.200 --> 00:25:30.700]   This concludes our video.
[00:25:30.700 --> 00:25:32.380]   Thanks so much for watching.
[00:25:32.380 --> 00:25:35.260]   If you have any questions, feel free to comment down below.
[00:25:35.260 --> 00:25:39.540]   I also encourage you to check out the links in the video description where you can find
[00:25:39.540 --> 00:25:44.140]   my source code and blog posts on the implementation details.
[00:25:44.140 --> 00:25:45.980]   Thank you and I'll see you in the next video.
[00:25:45.980 --> 00:25:48.560]   (upbeat music)
[00:25:48.560 --> 00:25:51.140]   (upbeat music)

