
[00:00:00.000 --> 00:00:19.500]   My name is Bianc. I'm the CTO and co-founder of a company called Sourcegraph. We build developer
[00:27:15.100 --> 00:27:22.540]   basically what it needs to make that icon customization. So, yeah. I know it's not a super
[00:27:22.540 --> 00:27:27.100]   impressively visual change, but a lot of such changes in messy production code bases are like that,
[00:27:27.100 --> 00:27:32.460]   and it's cool to see the agent be able to tease out that nuance.
[00:27:32.460 --> 00:27:41.180]   Okay. I know we're a little bit over time. Can people mind if I keep going? Okay, cool.
[00:27:41.180 --> 00:27:49.740]   There's some additional tips and tricks. Most of this talk is just sharing what we've learned from
[00:27:49.740 --> 00:27:55.180]   our power users. So, another thing that we've noticed is this prevailing narrative that agents
[00:27:55.180 --> 00:27:59.580]   are going to make programmers lazy. It's going to make it so we don't really understand what's going
[00:27:59.580 --> 00:28:04.860]   on in the code, so we're going to ship more slop. But we've actually found the inverse happen with the
[00:28:04.860 --> 00:28:10.140]   power users. They're actually using agents to better understand the code. And so, this is a really good
[00:28:10.140 --> 00:28:15.420]   onboarding tool. We just hired this guy, Tyler Bruno. He's a very precocious young developer.
[00:28:15.420 --> 00:28:20.860]   He's actually still in college, but he's working full-time in addition to taking classes. So, really
[00:28:20.860 --> 00:28:26.860]   bright, but also a bit green. He's been using AMP to just quickly ramp up on how the different pieces
[00:28:26.860 --> 00:28:32.540]   connect together. He can draw diagrams and point you to specific pieces of the code. It's really good at
[00:28:32.540 --> 00:28:38.940]   accelerating that. And then a corollary to this is we all do a form of onboarding to new code whenever we do a
[00:28:38.940 --> 00:28:45.020]   code review. By definition, code review is new code. And oftentimes, it's new code that contains
[00:28:45.020 --> 00:28:52.460]   blogs or is hard to understand or is a bit of a slog. And so, rather than just ignore the code that the
[00:28:52.460 --> 00:28:58.300]   AI generates and just commit it blindly, we find that our user base is actually using this tool to do more
[00:28:58.300 --> 00:29:04.140]   thorough code reviews. So, I've adopted this practice myself where if I have to review a very large diff,
[00:29:04.140 --> 00:29:08.940]   the first thing I do is ask the agent to consume the diff and generate a high-level summary so I can
[00:29:08.940 --> 00:29:14.860]   have a high-level awareness. And then I ask it, "Hey, if you were a smart senior dev, what's the entry
[00:29:14.860 --> 00:29:21.660]   point into this PR?" Because often half the battle is just finding the right entry point. And psychologically,
[00:29:21.660 --> 00:29:26.220]   I often put off code reviews because I'm like, "Oh, it's going to be a pain, and it's going to take
[00:29:26.220 --> 00:29:30.540]   forever just to figure out where I should start reviewing it. So, I'll just do it tomorrow." But this thing,
[00:29:30.540 --> 00:29:35.500]   just like it helps lower that activation energy and make code views more thorough and actually,
[00:29:35.500 --> 00:29:38.620]   dare I say, like a little bit fun and enjoyable now.
[00:29:38.620 --> 00:29:47.180]   Sub-agents are also a thing. So, we implemented the search tool as a sub-agent in the very beginning,
[00:29:47.180 --> 00:29:51.500]   but we're seeing more and more use cases emerge for sub-agents. And the general best practice with
[00:29:51.500 --> 00:29:58.300]   sub-agents is that they often are useful for longer, more complex tasks because the sub-agent allows you
[00:29:58.300 --> 00:30:06.140]   to essentially preserve the context window. So, like, the quality of the LLM will degrade over time.
[00:30:06.140 --> 00:30:12.700]   You know, Sonnet 4 has a context window of 200K, but we see degradation typically around like 120 or 130K.
[00:30:12.700 --> 00:30:18.700]   And by the time you hit 170 tokens, you start to see more kind of like off-the-rails and crazy behavior.
[00:30:19.260 --> 00:30:25.980]   But sub-agents allow you to encapsulate the context used up by a specific sub-task, like implementing a small feature,
[00:30:25.980 --> 00:30:28.780]   such that it doesn't pollute the main agent.
[00:30:28.780 --> 00:30:35.980]   Okay. So, that was a quick tour of a lot of best practices. Just to recap, like the anti-practices,
[00:30:35.980 --> 00:30:41.180]   the common anti-patterns are just like micromanaging the agent, like using it like you would a chatbot,
[00:30:41.180 --> 00:30:45.660]   where you have to kind of like steer it at every interaction or review every edit it's making.
[00:30:45.660 --> 00:30:51.020]   Another common anti-pattern is just like under-prompting, so not giving it enough detail.
[00:30:51.020 --> 00:30:57.180]   Like LLMs, their knowledge comes from two places. It either comes from their training data or from the
[00:30:57.180 --> 00:31:03.980]   context that you give it. And so, you know, it's fine if you do a five-word prompt if you're coding up
[00:31:03.980 --> 00:31:08.860]   like a 3D Flappy Bird game from scratch, because that's well represented in the training set. They're
[00:31:08.860 --> 00:31:14.460]   really good at that. They're trained to do that. But if you're trying to make a subtle nuance change to
[00:31:14.460 --> 00:31:19.020]   your large existing code base, you should be giving it all the details that you would give a colleague
[00:31:19.020 --> 00:31:25.500]   on the team to point them in the right direction. And then last but not least, like agents are not a
[00:31:25.500 --> 00:31:30.700]   vehicle to like TLDR the code. If anything, they're the opposite. You should be using them to do much more
[00:31:30.700 --> 00:31:36.540]   thorough code reviews more quickly. The human is still, you're ultimately responsible for the code
[00:31:36.540 --> 00:31:40.620]   that you ship, and you shouldn't view this as a human replacement. It's really a tool that you can
[00:31:40.620 --> 00:31:48.140]   wield to make yourself 10, 100x more effective. Last tidbit. So, one of the things that we've noticed
[00:31:48.140 --> 00:31:57.100]   among the very, very, very top 1% of the 1% is this inclination to run multiple of these things
[00:31:57.740 --> 00:32:05.580]   in parallel. Jeff Huntley, who wrote that blog post that I showed earlier, he started putting out these
[00:32:05.580 --> 00:32:13.580]   Twitter streams. They're about four hours long each. And it's basically just, he's working on a compiler
[00:32:13.580 --> 00:32:21.100]   on the side. And what he does is he constructs prompts for three or four different agents to work on
[00:32:21.100 --> 00:32:26.380]   different parts of the compiler. And he's gotten to the point where he's prompting it such that he feels
[00:32:26.380 --> 00:32:30.220]   confident enough in the feedback loops where he just hits enter, lets him run, and then he goes
[00:32:30.220 --> 00:32:35.260]   to sleep. And then this thing just runs on Twitter for a while. And I think he's doing this to spread
[00:32:35.260 --> 00:32:43.180]   the word. It's like, hey, you can use this for serious engineering. Compilers are not some vibe-coded
[00:32:43.180 --> 00:32:51.100]   weekend project. They're real tech. They're difficult to build. And it is possible to use agents for code like
[00:32:51.100 --> 00:32:57.740]   this. But it has to be a very intentional skill that you practice. And so I think it's cool. I think
[00:32:57.740 --> 00:33:02.220]   there's a lot of people thinking in terms of agent fleets and where the world is going. But I do think
[00:33:02.220 --> 00:33:07.020]   that the way that we'll actually get there is by building these composable building blocks that allow
[00:33:07.020 --> 00:33:13.180]   people like Jeff to go and combine them and come up with interesting UIs. I think this is just running
[00:33:13.180 --> 00:33:19.500]   in like Tmux or some window manager. Okay, so the takeaways I just want to leave you with is, one,
[00:33:19.500 --> 00:33:25.820]   contrary to what some might say, and there's a lot of smart senior developers out there who think AI is
[00:33:25.820 --> 00:33:32.060]   overhyped, and maybe parts of it are. But I think coding agents are very real. And it is, I think,
[00:33:32.060 --> 00:33:38.380]   a high ceiling skill. It's like, I think we will probably invest in learning how to use these things
[00:33:38.380 --> 00:33:43.500]   in the same way that we invest in learning how best to use our editor or our programming language of choice.
[00:33:43.500 --> 00:33:49.180]   And I think the only way you can learn this stuff is by doing it and then sharing it out with others.
[00:33:49.180 --> 00:33:54.780]   And one of the reasons we built the thread sharing mechanism in AMP is to help encourage knowledge
[00:33:54.780 --> 00:33:59.740]   dissemination so that like if you discover an interesting way of using it, you can share that out with your team.
[00:33:59.740 --> 00:34:06.540]   But yeah, that's it. If you want to kind of like see a recap of the best practices in this talk,
[00:34:06.540 --> 00:34:11.260]   we've actually put out like an AMP owner's manual that guides new users how to best use it.
[00:34:11.260 --> 00:34:17.420]   I'll also be around afterwards. We have a booth in the main expo hall. I'm supposed to say, too,
[00:34:17.420 --> 00:34:23.820]   if you stop by the booth, we'll give you like $10 in free credits. So if anything you saw here was of interest of you
[00:34:23.820 --> 00:34:26.540]   and you want to try this out, stop by and say hi.
[00:34:26.540 --> 00:34:38.620]   I noticed you still type, can you, and then you correct your typos, which I guess you said you shouldn't do.
[00:34:38.620 --> 00:34:47.180]   Yeah, it's part habit and it's part paranoia that in like a live demo setting, there will be some typo
[00:34:47.180 --> 00:34:52.140]   token that will trigger off the rails behavior. But it like, I think that was more of a concern that I
[00:34:52.140 --> 00:34:57.180]   learned in like 2023 when it actually mattered. Because like these days, LMs are more and more like
[00:34:57.180 --> 00:34:59.260]   typo robust, I would say.
[00:34:59.260 --> 00:35:04.940]   Yeah.

