
[00:00:00.000 --> 00:00:18.640]   Okay, so PaperClub year in review. We've gone over a year, like a year and a half,
[00:26:30.720 --> 00:26:59.720]   once again, it's been like a few months. And as of like, last week, we have another update to this. And then the Quinn team followed along. What was fake news? Fake news was the Deep Seek API. When it launched, it was 10x faster and 10x cheaper than other inference providers. But turns out it was super unreliable. No one can make API keys, it was almost always down. But it's okay, you know, it exists if you still want to try it. It's a really good model. A lot of people use it. Okay, let's dig deep into this.
[00:26:59.720 --> 00:27:28.720]   Let's dig deep into these topics. Inference time scaling. So what is inference time scaling? We have 01 versus GPT40. Now there's 03, 04, 04 mini, all these things. But basically, what these do is, you increase the chain of thought reasoning process, you allow models to spend more time thinking before they respond. Now, it's very common, we've used a lot of these models, right? They're starting to become even a little bit more agentic with RL. That's kind of what's progressed since we last covered this. So,
[00:27:28.720 --> 00:27:40.720]   Instead of spending hundreds of millions of dollars pre-training LLMs, that starts to get exponentially more expensive, right? Instead of changing from hundreds of millions of dollars to pre-training LLM,
[00:27:40.720 --> 00:27:57.720]   we don't want to spend billions on trade runs, right? So we needed another access. So instead, we shifted to this paradigm of inference time scaling, where you take really hard questions, you do inference time, chain of thought, RL, and we have a new dimension to
[00:27:57.720 --> 00:28:09.720]   on which we can scale. So previously, people tried to do process based reward modeling. So we would do RL basically on, we would try RL,
[00:28:09.720 --> 00:28:26.720]   we would do beam search, we would do MCTS, we would do all these inference time, you know, let's predict multiple tokens, go down these processes, they were all hacks, but nothing was really close to 01, right? We would see Twitter demos, we would see like some fundraising that even came out of, you know,
[00:28:26.720 --> 00:28:35.720]   Okay, I have much better performance than LLM3 because I go down 10 trees of thought. And you know, I'm doing all this stuff on the back end using a bunch of tokens and
[00:28:35.720 --> 00:28:47.720]   and gluing it together. But this is really not the right approach as we see. What really worked is just native, pure, beautiful, scaled up RL. So once again,
[00:28:47.720 --> 00:28:59.720]   now, this is what Deep Seek did to make V3. Here's the one slide, if you want to know what Deep Seek V3 is, it's open source GPT 4.0
[00:28:59.720 --> 00:29:08.720]   Oh, sorry, this is Deep Seek V3. This is the precursor to R1. So 4.0 quality, 37 billion active parameters. This is the, you know, regular MOE
[00:29:08.720 --> 00:29:18.720]   non reasoning model. This is what they build R1 off of. So it's MOE 671 billion parameters, 37 billion active. They launched this, it was a good model.
[00:29:18.720 --> 00:29:30.720]   It's just really chunky, right? You can't run it on your laptop. No one can run a 700 B model. They made this whole, you know, we're better than everyone else where, you know, we could train this model in $5 million.
[00:29:30.720 --> 00:29:42.720]   And I think that this is actually true, right? Looking back at it, a lot of what we see is Deep Seek and Chinese labs were really able to catch up to the United States because of the constraints, right?
[00:29:42.720 --> 00:29:55.720]   We put a lot of trade restrictions, we couldn't give them GPUs. So they had to get clever and smart with what they got. And basically, you know, they did very, very strong inference optimization, they made the most of what they had, right?
[00:29:55.720 --> 00:30:05.720]   We could have continued scaling, right? We could have thrown this 14.8 trillion tokens into 150 trillion tokens, but China didn't have GPUs for that, right?
[00:30:05.720 --> 00:30:15.720]   The Deep Seek labs were like, we realized that we can't scale this in the same dimension. So they had to get creative and think about, okay, what if we do RL? And that's basically what they did.
[00:30:15.720 --> 00:30:38.720]   So V3 was, you know, it was an MOE 37 billion active, they introduced this concept of multi-headed latent attention, 15 trillion tokens, they did SFT, and then, you know, traditional RL, so RLHF to make it a chat model, multi-token prediction, this came out of meta, they needed it to be sample efficient with their 15 trillion tokens.
[00:30:38.720 --> 00:30:51.720]   So multi-token prediction for a little bit more sample efficiency, trained in FBA, did some long context extension, basically first trained at 32K, then they extended this down to 128K.
[00:30:51.720 --> 00:31:03.720]   Came out a month ago from R1. After that, R1 came out, people got mad hyped. Now we have R1 V2 basically. So these are kind of, you know, they're fancy diagrams.
[00:31:03.720 --> 00:31:16.720]   We have DeepSeq V3 base, we do SFT and RL, you have a SFT checkpoint, RL with RLHF to get, sorry, fine tune with RL to get DeepSeq R1.
[00:31:16.720 --> 00:31:29.720]   Okay, what is DeepSeq R1 0? R1 0 is where you don't do any SFT, you take a pure base model. For those that don't remember, base models are models that come when you do your pre-training.
[00:31:29.720 --> 00:31:41.720]   So we train models to predict the next token, right? So these are not models like GPT 4.0 or 0.1. These are pure base models. All they do is they predict the next token.
[00:31:41.720 --> 00:31:48.720]   So they're kind of completionist models, right? You can't normally chat with these. All they do is complete your sentence, complete your word.
[00:31:48.720 --> 00:31:58.720]   So they take the DeepSeq V3 base model, they apply pure RL, they don't do any SFT, they don't train it as a user assistant chat model, they don't do any of that.
[00:31:58.720 --> 00:32:10.720]   It uses GRPO for RL, which they, you know, they actually introduced quite a while in DeepSeq math. The reward is based on both accuracy and format. Responses must be verifiably correct, right? So what are they doing here?
[00:32:10.720 --> 00:32:22.720]   What are they doing here? They take a base non-chat model, they use GRPO style RL on math and code, and they have a verifiable output, right? So the models need to be verifiably output.
[00:32:22.720 --> 00:32:32.720]   They need their output to be verifiably correct, right? So for math, you have a correct output to your math question, right? Is the answer correct or not correct? If it's correct, that's good. We can RL on that.
[00:32:32.720 --> 00:32:43.720]   For code, does your code compile? If it compiles, that's good. We can do RL on that. And, you know, this is lead code style questions. So lead code style questions, we know the answer, we know if the answer is correct.
[00:32:43.720 --> 00:32:57.720]   Then we format the... Basically, you know, in the little minute details, they format the rewards, they kind of output the thinking between think tags. So we take our base model, we do RL to do a bunch of thinking to get its chain of thought thinking process.
[00:32:57.720 --> 00:33:10.720]   And from there, we kind of have DeepSeq R10. It's a reasoning thinking model that's good at outputting thinking and answers, but it hasn't really been trained to be a useful assistant.
[00:33:10.720 --> 00:33:24.720]   It's not all one yet. This is just a good thinking model that can unravel its thought process to generate answers. We'll probably skip this guide. This is a GRPO. This is kind of the RL based algorithm that they use.
[00:33:24.720 --> 00:33:37.720]   It's, you know, comparing PPO, GRPO. This is how they do the RL. We'll kind of skip it. The key things to note, there's no critique model. You have group based rewards that are scored. It has stability updates.
[00:33:37.720 --> 00:33:51.720]   There's a, you know, KL divergence. But yeah, they do GRPO. We're going to skip it in this talk for now. So, okay. DeepSeq R10. We took a base model. We did RL. We now have a thinking model.
[00:33:51.720 --> 00:34:09.720]   How does it perform? Pretty good. AIME, you know, it passes O1 Mini for the time. Math. It passes Math 500. It passes O1 Mini. It's not, it's like on par with, but slightly worse than O1. And then, you know, the charts show that we're able to do this inference time scaling by doing RL on really hard questions. And it kind of works. It works pretty well. So, yes. Chart. Number goes up. Number goes up even more. The more you train.
[00:34:09.720 --> 00:34:25.720]   This thing is starting to stably learn. What else do we learn? So, it naturally has the ability to solve these complex tasks by extending test time compute, right? Here we know that the original R10, it ranges from hundreds to thousands of reasoning tokens. Turns out that this was a pretty key
[00:34:25.720 --> 00:34:46.720]   factor. In the update that they released that DeepSeq released last week, we scaled from training on from taking thousands of tokens to now taking to doubling it. So now we take from 12,000 tokens on average to 24,000 tokens. And once again, we shift from
[00:34:46.720 --> 00:35:06.720]   getting 01 level to 03 level performance in the new DeepSeq model. So other stuff, you know, there's this emergence of interesting behaviors as test time compute increases. So as we're able to increase our test time training, as we can reason for more and more time, we start to see this emergence of
[00:35:06.720 --> 00:35:28.720]   interesting behaviors. Basically, as models learn to reason for longer and longer, as you get to thousands of steps of reasoning, models are able to start to have these reflection moments. So, you know, the more reasoning you do, models start to learn, okay, I'm actually not forced to just output my next token. I'm not forced to do 100 tokens of thinking.
[00:35:28.720 --> 00:35:55.720]   I'm not forced to do 1000. I can continue down this thinking path. And we noticed that, you know, as they start to reason for longer, models start to do this sort of reflection phase, models start to revisit, reevaluate their previous steps, they start to go down alternative passes, and you know, this kind of arises this spontaneity of this spontaneity of
[00:35:55.720 --> 00:36:25.660]   this spontaneity emergence, right? So spontaneously, you know, models will be like, okay, I tried this, this, this, it's not working, I don't have to answer right now. Let me try this new thing. And guess what, it works. And then we also have these aha moments. So very core takeaway of the paper, you know, this is kind of what got the DeepSeq authors to realize, okay, RL actually works. The more time that we think for the further along the
[00:36:25.660 --> 00:36:48.660]   thinking traces, we start to get these models to do these aha moments. So here's a quote, again, from the paper, this moment is not only an aha moment for the model, but also for the researchers are observing its behavior. It underscores the power and beauty of reinforcement learning. Rather than explicitly teaching the model on how to solve a problem, we simply provide it with the right incentives, and it autonomously develops advanced problem solving strategies.
[00:36:48.660 --> 00:37:06.660]   The aha moment serves as a powerful reminder of the potential of reinforcement that reinforcement learning unlocks new levels of intelligence and AI systems. So basically, instead of telling models how to reason, what traces, instead of doing SFT on chain of thought traces, if we just give it this sparse idea of, you know, reason as much as you want. The more time it takes, we start to notice emergence of aha, I see what it should finally make.
[00:37:06.660 --> 00:37:13.660]   I tried these six steps, and this seven step is working. And you know, this shows the power of RL. And this has been kind of passed down into other papers. Microsoft has put out really good scaling laws on doing RL on small models.
[00:37:13.660 --> 00:37:20.660]   Quen team has done really good thinking models. They have an online talk here. So please, please watch out the Quen reasoning talk. A speaker speaks about how they do that. But okay, back to deep seek, back to deep seek.
[00:37:20.660 --> 00:37:27.660]   This is an example of an aha moment. So question, a basic math question, you know, not that basic question, you know, a basic question, you know, not that basic question.
[00:37:27.660 --> 00:37:32.660]   And this seven step is working. And this seven step is working. And this seven step is working. And you know, this shows the power of RL. And this has been kind of passed down into other papers.
[00:37:32.660 --> 00:37:39.660]   Microsoft has put out really good scaling laws on doing RL on small models. Quen team has done really good thinking models. They have an online talk here. So please, please watch out the Quen reasoning talk.
[00:37:39.660 --> 00:38:09.640]   speaks about how they do that. But okay, back to DeepSeq, back to DeepSeq. This is an example of an aha moment. So question, basic math question, you know, not that basic, actually, I can't answer this. If a is greater than one, then the sum of this square root of a square root is equal to something. Well, as the model starts to think, you know, it realizes, oh, there's a x squared, right? If I square this, I can get x squared, then I can isolate this out, right? It's doing reasoning. It's thinking through this math problem, step
[00:38:09.640 --> 00:38:16.920]   by step, then it says this in its own generation. Wait, wait, wait, that's an aha moment I can flag here. Let's reevaluate this.
[00:38:16.920 --> 00:38:39.620]   And like, you know, very interesting aha moments start to pop up. So yeah, that's kind of overview of what R1 was. That's kind of an overview of what R1-0 was. R1-0 is basically where we take a base model, we train it on
[00:38:39.620 --> 00:39:04.380]   pure RL for math and code, we do RL on thinking steps. And now we have a reasoning model, it works. But it's not great. It doesn't actually have great readability. It starts to reason in multiple languages, whoa, it reasoned in Chinese, who would have guessed? So we want to make it, you know, we can't just skip RL-HF, right? We want to make this thing a good chat model. So next section,
[00:39:04.380 --> 00:39:17.840]   instead of R1-0, how do we make DeepSeq R1? How do we take DeepSeq R1 from being just a reasoning model to a reasoning useful assistant that's good at, you know, actually being a chatful assistant?
[00:39:17.840 --> 00:39:36.900]   So key solution, giving it to you straight, cold start, instead of taking base model to just RL, take a base model, do some regular SFT. SFT is kind of, you know, here's some prompt answer, here's chat assistant, get it to, you know, do a cold start, get it to understand you're still a useful assistant.
[00:39:37.120 --> 00:39:49.940]   After that, do some RL. Do this core RL on very hard code math, get it to start to understand how to think, how to reason. Scale it out until it starts to see these aha moments, until they can do proper reasoning.
[00:39:49.940 --> 00:39:57.820]   From there, let's do some rejection sampling. We want to take examples that don't work, right? Stuff where it is going wrong, where it has negative behavior.
[00:39:57.820 --> 00:40:05.640]   We do rejection sampling on it, and then once again, we do it, once again, our last session of stage four training, which is another round of RL.
[00:40:05.640 --> 00:40:12.080]   So, going through these, stage one, cold start with strong SFT, prevents the model from getting unstable.
[00:40:12.080 --> 00:40:24.320]   So, basically, you take a base model, you have a long chain of thought style data set, so, you know, prompt answer pair, so user assistant, think through your process of how to solve this,
[00:40:24.320 --> 00:40:33.560]   Give your chain of thought, we take a base model, train it on this chain of thought, then from there, you know, we do our cold start with strong, strong SFT.
[00:40:33.560 --> 00:40:41.220]   They don't just do synthetic data, they have human annotators, we want better readability, right?
[00:40:41.220 --> 00:40:47.100]   So, do your thinking and think tags, and then this is on the scale of a couple thousand examples.
[00:40:47.100 --> 00:40:53.740]   So, base model, thousand examples, a couple thousand examples of SFT, then our main RL stage, you know?
[00:40:53.740 --> 00:41:02.980]   So, same RL process as R1-0, do a lot of RL on verifiable hard questions, so, math, lead code style coding,
[00:41:02.980 --> 00:41:09.920]   stuff that we can verify has the right answer, do a lot of RL, and then, you know, stage three rejection sampling.
[00:41:09.920 --> 00:41:15.420]   So, generate completions, rank them with a reward model, fine tune the original model.
[00:41:15.420 --> 00:41:22.660]   So, this was standard, so, Lama 3 showed us this concept of rejection sampling, and, you know, we take it to Deep Seek.
[00:41:22.660 --> 00:41:24.660]   We do rejection sampling on samples that we don't like.
[00:41:24.660 --> 00:41:30.660]   We had 800,000 samples that were generated, 600,000 reasoning, 200,000 general chat.
[00:41:30.660 --> 00:41:33.900]   We rank them, and then we do our rejection sampling training.
[00:41:33.900 --> 00:41:36.900]   Then, final RL stage for general use.
[00:41:36.900 --> 00:41:40.900]   This is very similar to, you know, similar to RLHF.
[00:41:40.900 --> 00:41:45.340]   You want to make the model helpful, harmless, and reason good.
[00:41:45.340 --> 00:41:49.580]   So, for reasoning, we use, you know, we want to keep it a good reasoner.
[00:41:49.580 --> 00:41:52.580]   Add in that reasoning for hard math questions, code questions.
[00:41:52.580 --> 00:41:56.580]   For general chat, capture human preference and nuance situations.
[00:41:56.580 --> 00:42:01.220]   So, you know, this question should have a very verbose, detailed answer.
[00:42:01.220 --> 00:42:04.420]   This is a basic summary, keep it short, but keep your reasoning there.
[00:42:04.420 --> 00:42:09.940]   So, final stage is, you know, this final stage of RL, and now, guess what?
[00:42:09.940 --> 00:42:14.760]   Model is good at being a chat model. Model is good at thinking. Model has emergence of aha.
[00:42:14.760 --> 00:42:19.460]   Behaviors, and the model is just a good chat model.
[00:42:19.460 --> 00:42:21.300]   Performance and evals, we're going to skip this.
[00:42:21.300 --> 00:42:26.740]   Basically, when we launched DeepSeq, it was 01 level, but forget that.
[00:42:26.740 --> 00:42:29.580]   We launched an update two weeks ago.
[00:42:29.580 --> 00:42:34.180]   So, new model, DeepSeq R1, launched May 28th.
[00:42:34.180 --> 00:42:40.780]   And instead of being 01 level, the new DeepSeq R1 model is now reasoning for twice as long.
[00:42:40.780 --> 00:42:44.180]   It's as good as 03 and Gemini 2.5 Pro.
[00:42:44.180 --> 00:42:47.880]   Much better at math. Much better at coding. Much better at reasoning.
[00:42:47.880 --> 00:42:50.720]   It now has support for native function calling.
[00:42:50.720 --> 00:42:53.720]   JSON outputs. No longer hallucinates as much.
[00:42:53.720 --> 00:42:56.760]   Second model drop. And of course, you know, performance charts.
[00:42:56.760 --> 00:42:59.060]   All the regular benchmarks you would expect.
[00:42:59.060 --> 00:43:03.860]   Model is performing as good as 03 and Gemini 2.5 now.
[00:43:03.860 --> 00:43:11.400]   All that was done. Do more RL. AIME jumped, you know, 17.5%, doubled the reasoning tokens.
[00:43:11.400 --> 00:43:16.400]   Basically, we doubled our reasoning access. We now reason for twice as long.
[00:43:16.400 --> 00:43:22.940]   So, double the reasoning effort. And yeah, now we're 03 and Gemini 2.5 level.
[00:43:22.940 --> 00:43:28.940]   The other drop, we have a new distillation. We take our new model that reasons for twice as long.
[00:43:28.940 --> 00:43:34.480]   We distill this down to Quen 3.8B. And we do a distillation loss on this reasoning.
[00:43:34.480 --> 00:43:39.480]   And we get performance matching the Quen 235 billion reasoning model.
[00:43:39.480 --> 00:43:51.020]   So, our dense 8B non-reasoning model that was distilled from our new deep-cheek model is as good as Quen 3.235B,
[00:43:51.020 --> 00:43:55.020]   which is an MOE reasoning model, which is pretty crazy, you know?
[00:43:55.020 --> 00:44:02.540]   The implications of this show that, you know, long, detailed, good reasoning really has a deep impact.
[00:44:02.540 --> 00:44:07.040]   Once again, check out the Microsoft work for good distillation scaling laws on this.
[00:44:07.040 --> 00:44:13.180]   Okay, okay. Back to our paper. Instead of looking at our original deep-seek,
[00:44:13.180 --> 00:44:15.480]   that's kind of the performance of where we're at.
[00:44:15.480 --> 00:44:18.180]   Distillation. Let's talk about these distillation models.
[00:44:18.180 --> 00:44:22.380]   So, what we did was, distill R1 down into Lama and Quen models.
[00:44:22.380 --> 00:44:25.700]   This is not RL. This is basic SFT.
[00:44:25.700 --> 00:44:29.300]   We have these models that reason for 25,000-30,000 steps.
[00:44:29.300 --> 00:44:32.800]   We take these traces, do SFT-style distillation.
[00:44:32.800 --> 00:44:35.600]   So, proper distillation. Match your logits.
[00:44:35.600 --> 00:44:37.740]   And guess what?
[00:44:37.740 --> 00:44:41.740]   This showed so much performance, but we know RL can do better.
[00:44:41.740 --> 00:44:45.100]   So, you know, all open source, all traces are open.
[00:44:45.100 --> 00:44:48.740]   Someone do RL-based distillation from the big models.
[00:44:48.740 --> 00:44:50.740]   No one has done this, as far as I know.
[00:44:50.740 --> 00:44:55.560]   But, you know, we're able to get such good performance and there's still so much left to be done.
[00:44:55.560 --> 00:44:58.700]   But, let's go over what we distilled out.
[00:44:58.700 --> 00:45:00.700]   So, these are the family of models.
[00:45:00.700 --> 00:45:03.900]   This is, once again, pure SFT-style distillation.
[00:45:03.900 --> 00:45:05.800]   Oh shit, my slides are gone.
[00:45:05.800 --> 00:45:13.620]   They're back. Okay, so, we distilled Quen 1.5B, Quen 7B, 14B, 32B, Lama 8B, 70B.
[00:45:13.620 --> 00:45:17.760]   Performance killed all the models they are themselves.
[00:45:17.760 --> 00:45:21.760]   So, you take the model itself, you look at our distillation, it worked.
[00:45:21.760 --> 00:45:23.760]   Number went up like crazy.
[00:45:23.760 --> 00:45:24.960]   Really, really good performance.
[00:45:24.960 --> 00:45:30.100]   All our distills are now basically on par with GPT-4O.
[00:45:30.100 --> 00:45:34.500]   And, for our new one, our new 8B distill is much, much better.
[00:45:34.500 --> 00:45:35.600]   It's way better than 4O.
[00:45:35.600 --> 00:45:39.600]   And, this is just, once again, RL on long chain of thought.
[00:45:39.600 --> 00:45:41.720]   Take that, do SFT-style distillation.
[00:45:41.720 --> 00:45:46.720]   Question, what if we just did RL on the base model, right?
[00:45:46.720 --> 00:45:47.720]   We tried it.
[00:45:47.720 --> 00:45:50.420]   We tried RL on Quen 32B for 10K steps.
[00:45:50.420 --> 00:45:52.360]   It's actually worse than distillation.
[00:45:52.360 --> 00:45:57.200]   So, you know, for small models, we don't want to just start with native RL.
[00:45:57.200 --> 00:45:58.900]   We saw this in our own model, right?
[00:45:58.900 --> 00:46:00.160]   We needed this cold start.
[00:46:00.160 --> 00:46:03.100]   We need to kick off something from base models.
[00:46:03.100 --> 00:46:07.500]   R1-0 to actual R1, we had to do this SFT cold start.
[00:46:07.500 --> 00:46:11.120]   So, it actually performed significantly worse than distillation.
[00:46:11.120 --> 00:46:14.920]   And, of course, the Quen team at the time, they had their own reasoning model, right?
[00:46:14.920 --> 00:46:17.020]   They had QW-Q32B.
[00:46:17.020 --> 00:46:21.060]   And, you know, the R1 distill, so the base model distill,
[00:46:21.060 --> 00:46:25.900]   it did worse than what Quen did, but kind of on par, you know, it's probably what they did.
[00:46:25.900 --> 00:46:31.800]   Our distillation on the chat model, on the base chat model, actually performed so much better.
[00:46:31.800 --> 00:46:35.600]   We were able to do so much better than the Quen reasoning model.
[00:46:35.600 --> 00:46:38.720]   And, of course, now we've taken this a step further with our new model.
[00:46:38.720 --> 00:46:41.320]   Okay, future work.
[00:46:41.320 --> 00:46:46.160]   R1 is worse than V3 at function calling, multi-tap, multi-turn, and JSON mode.
[00:46:46.160 --> 00:46:47.900]   Guess what?
[00:46:47.900 --> 00:46:50.000]   Two weeks ago, there's a new DeepSeek model.
[00:46:50.000 --> 00:46:52.000]   We now do native function calling.
[00:46:52.000 --> 00:46:54.800]   We have JSON mode, we fixed it, it works.
[00:46:54.800 --> 00:46:56.900]   R1 struggles with language mixing.
[00:46:56.900 --> 00:46:58.900]   We don't know how we do on the new one.
[00:46:58.900 --> 00:47:00.900]   It's sensitive to prompting.
[00:47:00.900 --> 00:47:03.820]   I think this is something that the industry needs to figure out, right?
[00:47:03.820 --> 00:47:09.620]   Spoiler alert for some Latent Space podcast fans, you know, we've talked to some reasoning experts.
[00:47:09.620 --> 00:47:20.060]   So, like, some of the stuff that we're seeing, you know, researchers at OpenAI, they're saying, you know, if you're still doing scaffolding with reasoning models, we're failing as labs.
[00:47:20.060 --> 00:47:23.960]   So, you know, we need to learn how to prompt these things better.
[00:47:23.960 --> 00:47:26.700]   And it's not much better at engineering tests than V3.
[00:47:26.700 --> 00:47:27.700]   That's all fake.
[00:47:27.700 --> 00:47:28.600]   This is old news.
[00:47:28.600 --> 00:47:29.840]   This was our old DeepSeek.
[00:47:29.840 --> 00:47:32.540]   The new DeepSeek is a lot better.
[00:47:32.540 --> 00:47:35.780]   Open recreations, we want to promote open research, right?
[00:47:35.780 --> 00:47:38.240]   So, there were people trying to recreate this.
[00:47:38.240 --> 00:47:40.680]   Hugging Face has a version of this.
[00:47:40.680 --> 00:47:42.140]   Bespoke Labs was doing this.
[00:47:42.140 --> 00:47:43.580]   I don't know how they're doing.
[00:47:43.580 --> 00:47:45.940]   There's quite a few people now that have done this.
[00:47:45.940 --> 00:47:48.020]   But, yeah, that's kind of an overview.
[00:47:48.020 --> 00:47:49.520]   I know a lot more people have joined.
[00:47:49.520 --> 00:47:52.480]   We now have, like, 100, 200 people in the audience.
[00:47:52.480 --> 00:47:54.760]   So, I'm going to do a quick recap in our last 10 minutes.
[00:47:54.760 --> 00:48:00.700]   So, first, we are launching a second paper club.
[00:48:00.700 --> 00:48:05.360]   Every week, we do our normal paper club where we take the latest paper.
[00:48:05.360 --> 00:48:08.960]   We have 100 people that join every week, 300 for DeepSeek.
[00:48:08.960 --> 00:48:12.800]   We're turning this into a test of time paper club.
[00:48:12.800 --> 00:48:15.140]   If you're interested, sign up.
[00:48:15.140 --> 00:48:18.640]   We're going to run this in SF and we're going to do it remotely.
[00:48:18.640 --> 00:48:22.040]   Over the next six months, we're going to cover 50 to 100 papers.
[00:48:22.040 --> 00:48:26.480]   We're going to break up what you would need to know as an AI engineer into different buckets.
[00:48:26.480 --> 00:48:30.080]   So, stuff like, you know, what are foundations of deep learning?
[00:48:30.080 --> 00:48:37.400]   Attention, RL, optimizers, Atom, gradient descent, foundation models that you should know about,
[00:48:37.400 --> 00:48:42.200]   GPT-2, BERT, RNNs, LSTMs, pre-training, post-training, mid-training.
[00:48:42.200 --> 00:48:50.440]   So, scaling laws, chinchilla, distillation, we'll cover days of diffusion, optimization, voice, fine-tuning.
[00:48:50.440 --> 00:48:57.740]   We basically have a paper club where every week, we're going to split up these core concepts into a few papers.
[00:48:57.740 --> 00:49:00.240]   We'll have a presentation of three to four papers.
[00:49:00.240 --> 00:49:02.240]   Everyone is welcome to join.
[00:49:02.240 --> 00:49:06.140]   We're going to have a presentation on every core concept and then open discussion.
[00:49:06.140 --> 00:49:08.580]   This is not a course, courses are good.
[00:49:08.580 --> 00:49:13.720]   You know, you have active workshop, you build stuff, you actually like do active learning.
[00:49:13.720 --> 00:49:15.500]   This is still a paper club, you know?
[00:49:15.500 --> 00:49:21.300]   This is, if you want to know the foundations of what's going on under the hood, these are the key papers to know.
[00:49:21.300 --> 00:49:25.000]   We'll invite a lot of speakers, we'll have people present, we'll have good discussions.
[00:49:25.000 --> 00:49:30.240]   But yeah, test of time paper club coming in June, scan QR code.
[00:49:30.240 --> 00:49:36.160]   Let us know if you want to be involved, if you want to recommend a paper, share a paper.
[00:49:36.160 --> 00:49:40.780]   We'll share curriculum soon, join the Latent Space Discord.
[00:49:40.780 --> 00:49:44.440]   We already have a list of top 2025 papers.
[00:49:44.440 --> 00:49:48.340]   It's a paper every week that you can go through, we're going to build off of that.
[00:49:48.340 --> 00:49:52.900]   And once again, final recap, what did we talk about today?
[00:49:52.900 --> 00:49:55.140]   Today we talked about the new DeepSeq model.
[00:49:55.140 --> 00:50:00.760]   So, two weeks ago, DeepSeq R1 May 28th came out.
[00:50:00.760 --> 00:50:10.140]   Basically, DeepSeq took the last DeepSeq model that was as good as all one, we trained it to reason for twice as long, we got significantly better performance.
[00:50:10.140 --> 00:50:24.380]   DeepSeq R1 May 28th can now do standard structured JSON output, native function calling, hallucinates less, reasons for twice as long, and is a much, much better jump in performance.
[00:50:24.380 --> 00:50:32.240]   From being 01 level, DeepSeq is now on par with OpenAI's 03 model and Gemini 2.5.
[00:50:32.240 --> 00:50:39.120]   Basically, across the board on all benchmarks, we are now as good as Gemini 2.5 and OpenAI's 03.
[00:50:39.120 --> 00:50:44.980]   The other model that was released is DeepSeq R1 QN3 8B base.
[00:50:44.980 --> 00:50:54.120]   So, we took QN3 8B, distilled it down into a reasoning model based on our longer traces, and we killed it.
[00:50:54.120 --> 00:51:01.980]   So, it's a small 8B where we do post-training via distillation as SFT on reasoning traces, and model got really good.
[00:51:01.980 --> 00:51:06.580]   You take base QN3 8B, and you take R QN3 8B, it's very good.
[00:51:06.580 --> 00:51:21.980]   Looking at the benchmarks here, you know, our open source, on-device, runnable QN3 8B non-reasoning model is on par with Gemini 2.5 Flash Thinking, 03 Mini Medium,
[00:51:21.980 --> 00:51:34.780]   better than 5.4, significantly better than QN3 8B, our 8B reasoner is better than QN32B, it's on par with QN's 235B reasoning model.
[00:51:34.780 --> 00:51:47.780]   So, you know, two major updates, new reasoning model from DeepSeq is good as 03 and Gemini 2.5, new mini 8B model that is as good as 2.5 Thinking and 03 Mini.
[00:51:47.780 --> 00:51:59.580]   Of course, all open source, run on your laptop, just as good, you know, and these are not even R2, this is not DeepSeq R2, this is our mini title refresh with a new date.
[00:51:59.580 --> 00:52:12.380]   Yeah, so high level, that's what we talked about, you know, we see aha moments, instead of training on next token prediction, we scale this out to inference time scaling.
[00:52:12.380 --> 00:52:24.180]   So, we now train models to train and think for longer, we get aha moments and that's kind of the update to our new DeepSeq models.
[00:52:24.180 --> 00:52:33.980]   So, thanks to everyone for coming, thanks for listening, join PaperClub.
[00:52:33.980 --> 00:52:42.980]   Oh yeah, so a lot of our regulars that help make PaperClub are here, Eugene, Ara, RJ, Flo is here.
[00:52:42.980 --> 00:52:51.780]   If anyone else is a regular in PaperClub, you know, come up, every week we have our weekly PaperClub, these are the homies that make it possible.
[00:52:51.780 --> 00:52:55.780]   We're going to have our second PaperClub, test of time will be there soon.
[00:52:55.780 --> 00:53:03.580]   But yeah, you know, major shout out, this is not me, this is not SWIX, this is volunteers and more on Zoom.
[00:53:03.580 --> 00:53:12.580]   Every week on a weekday at noon, hundreds of you join in to discuss the Paper, so you know, big shout out to everyone here, not possible without us.
[00:53:12.580 --> 00:53:19.580]   You know, all the authors as well that have come, all the authors that have been able to share, let's just give it up for everyone that makes PaperClub possible.
[00:53:19.580 --> 00:53:24.580]   Eugene Yan, who is over there running his track.
[00:53:24.580 --> 00:53:30.380]   Eugene Yan: Sam, I know, is speaking right now, SWIX, who is putting all this on.
[00:53:30.380 --> 00:53:35.380]   Yeah, of course, once again, I'll leave our QR code here.
[00:53:35.380 --> 00:53:43.380]   If you're interested in test of time, volunteering for a paper, recommending a paper, fill it out, you know, help us out, this is our PaperClub selfie.
[00:53:43.380 --> 00:53:45.380]   But yeah, thanks for coming out, everyone.
[00:53:45.380 --> 00:53:47.380]   Enjoy the rest of the conference.
[00:53:47.380 --> 00:53:51.180]   We'll see you next time.
[00:53:51.180 --> 00:53:51.180]   We'll see you next time.
[00:53:51.180 --> 00:53:53.180]   We'll see you next time.

