
[00:00:00.000 --> 00:00:04.400]   Democrats still think the currency of politics is money and the currency of politics is attention.
[00:33:24.840 --> 00:33:27.200]   They were just slightly older dimensions and people always gave her credit for.
[00:33:27.200 --> 00:33:28.900]   Hell of a performer on the stump.
[00:33:28.900 --> 00:33:31.540]   She was way better on the stump than people realized she would be.
[00:33:31.540 --> 00:33:32.500]   And a good debater.
[00:33:32.500 --> 00:33:33.720]   She'd always been a good debater.
[00:33:33.720 --> 00:33:35.300]   She trashed Donald Trump in that debate.
[00:33:36.000 --> 00:33:39.620]   But she does not do social media herself at any level, right?
[00:33:39.620 --> 00:33:40.900]   Because she's not going to take risk.
[00:33:40.900 --> 00:33:48.860]   Democrats, most Democrats, still live in a world where the thing that they are optimizing for in attention is to not get negative attention.
[00:33:48.860 --> 00:33:59.260]   And what the Trumpist wing of the Republican Party understands, and this is truer for them than it probably would be for Democrats, because for them, the media is the enemy or at least mainstream media is, etc.
[00:33:59.580 --> 00:34:05.420]   But is that attention, a volume of attention is itself good.
[00:34:05.420 --> 00:34:09.100]   And you can only get a critical mass of it if you're willing to accept negative attention.
[00:34:09.100 --> 00:34:12.400]   Agenda control doesn't come from positive attention.
[00:34:12.400 --> 00:34:13.800]   It comes from conflict.
[00:34:13.800 --> 00:34:17.800]   You get agenda control by doing things the other side disagrees with.
[00:34:17.800 --> 00:34:22.420]   So they enter into functioning agreement with you to keep the thing you're doing at the front.
[00:34:22.420 --> 00:34:24.440]   Now, that doesn't make you highly popular.
[00:34:24.440 --> 00:34:30.120]   Donald Trump is the most unpopular modern president at this stage of his presidency, except for Donald Trump's first term.
[00:34:30.120 --> 00:34:36.740]   It took I think Nate Silver said it was two hundred and twenty one days for Joe Biden's net favorability to go negative.
[00:34:36.740 --> 00:34:40.260]   It's taken something like fifty five days for Donald Trump to do the same.
[00:34:40.260 --> 00:34:44.380]   So what Donald Trump is doing does not optimize for favorability.
[00:34:44.380 --> 00:34:47.320]   It does not it does not optimize, by the way, for big wins.
[00:34:47.320 --> 00:34:50.800]   Democrats feel like they got trashed in 2024 and in a way they did.
[00:34:50.800 --> 00:35:01.840]   But Trump's popular vote victory was the smallest popular vote victory since 2000 when Al Gore beat George W. Bush by 17 dogs and three old men or whatever it was.
[00:35:02.540 --> 00:35:05.180]   And so attention works really differently.
[00:35:05.180 --> 00:35:17.340]   And while I don't I think some of the like, you know, the Rogan of the left discourse has been, frankly, overstated because honestly, the most parsimonious model of 2024 and 2020 is in 2020.
[00:35:17.340 --> 00:35:19.700]   You have a 48, 48 nation, something like that.
[00:35:19.700 --> 00:35:23.100]   Or maybe you have something that's more like a 49 Democrat, 47 Republican nation.
[00:35:24.100 --> 00:35:31.620]   And in 2020, because of the pandemic, Donald Trump suffered a let's call it a 2.5 point incumbent penalty.
[00:35:31.620 --> 00:35:33.180]   People are mad about the pandemic.
[00:35:33.180 --> 00:35:34.780]   They're mad about things being chaotic.
[00:35:34.780 --> 00:35:36.560]   So he loses 2.5 points.
[00:35:36.560 --> 00:35:43.820]   That gives given the natural split of the electorate, Joe Biden, a 4.5 point popular vote victory in 2024.
[00:35:43.820 --> 00:35:45.780]   People are mad about inflation.
[00:35:45.780 --> 00:35:47.520]   They're somewhat mad about the border.
[00:35:47.520 --> 00:35:51.720]   You have a 2.5 point penalty applied to the incumbent administration.
[00:35:51.720 --> 00:35:52.460]   Now it's Harris.
[00:35:52.460 --> 00:35:54.060]   And you get a 1.5.
[00:35:54.060 --> 00:35:55.800]   1.5 point popular vote victory for Donald Trump.
[00:35:55.800 --> 00:35:59.560]   I genuinely don't think, and this held internationally too, right?
[00:35:59.560 --> 00:36:02.680]   I genuinely don't think you need a lot more to explain the election right now than that.
[00:36:02.680 --> 00:36:08.840]   But you do need something more than that to explain Donald Trump's now, since 2016, almost
[00:36:08.840 --> 00:36:14.920]   decade-long dominance of all attention in American politics, starting when he came down the golden
[00:36:14.920 --> 00:36:22.040]   escalator in 2015, Donald Trump, American politics from 2015 to 2020, when Joe Biden won, was about
[00:36:22.040 --> 00:36:22.520]   Donald Trump.
[00:36:22.520 --> 00:36:27.260]   Then from 2020 to 2024, when Joe Biden was president, it was about Donald Trump.
[00:36:27.260 --> 00:36:30.520]   And then from 2024 on, it's about Donald Trump.
[00:36:30.520 --> 00:36:32.660]   Joe Biden was an intentional void.
[00:36:32.660 --> 00:36:40.460]   Be it his age, be it their strategy, they agreed that the topic of the nation should be Donald Trump, right?
[00:36:40.460 --> 00:36:45.540]   When he went back to begin his campaign in 2024, he goes to Valley Forge and gives a speech about
[00:36:45.540 --> 00:36:47.260]   January 6th and Donald Trump, right?
[00:36:47.260 --> 00:36:48.520]   It wasn't about his own achievements.
[00:36:48.520 --> 00:36:49.900]   It was about Donald Trump.
[00:36:49.900 --> 00:36:52.600]   Joe Biden didn't do the Super Bowl interview, right?
[00:36:52.600 --> 00:36:53.360]   In 2023.
[00:36:53.360 --> 00:36:55.800]   That's when I did my thing about, this is not going to work.
[00:36:55.800 --> 00:37:01.740]   Like, probably because at that point he was not capable of good extemporaneous, you know,
[00:37:01.820 --> 00:37:02.180]   interviews.
[00:37:02.180 --> 00:37:04.580]   I mean, I think that was my view of them, right?
[00:37:04.580 --> 00:37:07.940]   That the revealed thing here was that they didn't trust him to do interviews.
[00:37:07.940 --> 00:37:10.000]   I didn't have some inside information about anything.
[00:37:10.000 --> 00:37:12.420]   I just looked at what they were doing, what they weren't doing.
[00:37:12.420 --> 00:37:13.360]   They're behind in the polls.
[00:37:13.360 --> 00:37:15.120]   They weren't doing things like the Super Bowl interview.
[00:37:15.120 --> 00:37:19.980]   If you can't turn your candidate into the product, if you don't trust your candidate to
[00:37:19.980 --> 00:37:22.720]   be the product, in an election, you're fucked, right?
[00:37:22.720 --> 00:37:24.840]   And so that was, that was to me, the tell.
[00:37:24.840 --> 00:37:27.600]   But attention is the coin of the realm.
[00:37:27.600 --> 00:37:30.140]   Now, there are better and worse ways of doing it.
[00:37:30.140 --> 00:37:32.840]   I don't think Donald Trump is doing himself huge favors right now.
[00:37:32.840 --> 00:37:36.680]   I think they had, there was a path they could have walked to be a majority party.
[00:37:36.680 --> 00:37:41.720]   I think that if he was more restrained, more inhibited, if he was able to not do a bunch
[00:37:41.720 --> 00:37:46.180]   of things that are mobilizing opposition to him, you know, you could talk about what they
[00:37:46.180 --> 00:37:47.560]   would or wouldn't achieve that way.
[00:37:47.560 --> 00:37:50.800]   But I think they could be in a much stronger political position that would make them stronger
[00:37:50.800 --> 00:37:51.620]   for the midterms.
[00:37:51.620 --> 00:37:52.880]   They would eventually make, you know, J.D.
[00:37:52.880 --> 00:37:54.200]   Vance stronger as a successor.
[00:37:54.200 --> 00:38:00.340]   I think they're running a very high risk strategy that has a very reasonable chance of, you know,
[00:38:00.340 --> 00:38:04.040]   if they don't make a, you know, what I would call like an autocratic breakthrough, they might,
[00:38:04.040 --> 00:38:06.180]   yeah, they might completely blow up their own movement, right?
[00:38:06.180 --> 00:38:07.600]   It's all very high risk.
[00:38:07.600 --> 00:38:12.860]   So for them, like for everybody, for everything, what makes them good at politics is also what
[00:38:12.860 --> 00:38:13.940]   makes them bad at politics.
[00:38:13.940 --> 00:38:20.020]   But for Democrats, the caution, the sort of bureaucratic culture, the fear of saying anything
[00:38:20.020 --> 00:38:24.640]   that will make anybody mad, it is optimized for a different attentional era.
[00:38:24.640 --> 00:38:27.680]   And one of the things I am watching when you were saying about leaders, one of the things
[00:38:27.680 --> 00:38:33.560]   I'm watching in the people coming up, the ones who want to run in 2028, is who seems like
[00:38:33.560 --> 00:38:37.420]   they have adapted to this era, not in the way Trump did or Vance did or Musk did.
[00:38:37.420 --> 00:38:39.500]   I think they're going to need something different.
[00:38:39.500 --> 00:38:42.720]   They fully represent the Twitter era of politics.
[00:38:42.800 --> 00:38:43.860]   I mean, Musk bought Twitter.
[00:38:43.860 --> 00:38:48.760]   They're sort of all in on what politics right now, what online politics feels like.
[00:38:48.760 --> 00:38:56.140]   I think the thing that will come next is someone who's able to synthesize both the lessons of
[00:38:56.140 --> 00:39:01.580]   it and the feeling that we all have that it's kind of sick and poisoned, right?
[00:39:01.580 --> 00:39:03.060]   That Twitter is not a good place.
[00:39:03.060 --> 00:39:04.160]   X is not a good place.
[00:39:04.160 --> 00:39:05.940]   TikTok politics is not a good place.
[00:39:05.940 --> 00:39:07.840]   That we're all being turned on each other.
[00:39:07.920 --> 00:39:12.280]   Somehow you need to be authentic and authentically angry at what we've all become in the way
[00:39:12.280 --> 00:39:16.500]   that Obama ran as a political reformer who hated the red and blue cut of America, who
[00:39:16.500 --> 00:39:19.040]   hated what political consultants and pollsters were doing to us.
[00:39:19.040 --> 00:39:21.140]   You're not going to have somebody who just echoes.
[00:39:21.140 --> 00:39:23.800]   There's not going to be, there'll be no Joe Rogan of the left.
[00:39:23.800 --> 00:39:26.840]   There'll be no Donald Trump of the left because the left is different than the right.
[00:39:26.840 --> 00:39:32.320]   But it will have to be something authentically of this era, but also authentic to the backlash
[00:39:32.320 --> 00:39:36.320]   to it, which I think as we enter into this period where the president and everybody
[00:39:36.320 --> 00:39:42.200]   around him fully embraces this attentional economy, I think people are going to want something
[00:39:42.200 --> 00:39:44.940]   different from this attentional economy in four years.
[00:39:44.940 --> 00:39:48.740]   And be okay with a negative attention that comes with being authentic.
[00:39:48.740 --> 00:39:50.780]   You're going to have to have some of it, right?
[00:39:50.780 --> 00:39:53.140]   You cannot change American politics.
[00:39:53.140 --> 00:39:57.860]   You can't change the Democratic Party if you're not willing to upset people.
[00:39:57.860 --> 00:40:01.560]   Donald Trump reformed the Republican Party by willing and able to fight Republicans.
[00:40:02.020 --> 00:40:06.940]   He ran against George W. Bush, against Jeb Bush, against Mitt Romney, against the trade
[00:40:06.940 --> 00:40:11.200]   deals, against a bunch of things that were understood to be sacred cows.
[00:40:11.200 --> 00:40:16.140]   Somehow this guy ran like right after Mitt Romney and John McCain while attacking Mitt Romney
[00:40:16.140 --> 00:40:17.500]   and John McCain, right?
[00:40:17.500 --> 00:40:21.540]   If you are not like the Democratic Party does need to change, it needs to attain a different
[00:40:21.540 --> 00:40:23.640]   form because the Obama coalition is exhausted.
[00:40:23.640 --> 00:40:24.240]   It's done.
[00:40:24.640 --> 00:40:27.300]   It's not going to be able to do that if it doesn't have standard bears who are willing
[00:40:27.300 --> 00:40:29.580]   to say, we were wrong about some things.
[00:40:29.580 --> 00:40:31.800]   We have to change our views on some things.
[00:40:31.800 --> 00:40:33.680]   We have to act differently and speak differently.
[00:40:33.680 --> 00:40:44.800]   Is there a degree to which the left uniquely attacks its own more intensely than maybe other
[00:40:44.800 --> 00:40:45.960]   parts of the political spectrum?
[00:40:46.620 --> 00:40:47.440]   It's possible.
[00:40:47.440 --> 00:40:51.760]   You know, you go back to the model that I gave you of 2015, where there used to be these
[00:40:51.760 --> 00:40:56.340]   four large parties, MAGA, center-right, center-left, and left.
[00:40:56.340 --> 00:40:58.540]   Right now, the Republican Party is all MAGA.
[00:40:58.540 --> 00:41:01.060]   So there is no coalitional fight to be had.
[00:41:01.060 --> 00:41:02.220]   It's all Donald Trump.
[00:41:02.220 --> 00:41:08.600]   And if Donald Trump wants to name a former left-wing environmentalist to be the HHS secretary,
[00:41:08.600 --> 00:41:10.980]   everyone says, OK, that sounds like a fantastic idea.
[00:41:10.980 --> 00:41:12.480]   That's exactly who we were going to nominate to.
[00:41:12.480 --> 00:41:13.040]   Thank you, Donald.
[00:41:13.040 --> 00:41:13.520]   That's wonderful.
[00:41:13.860 --> 00:41:22.020]   Tip of my tongue, on the Democratic side, there is a fight and it's happening right now.
[00:41:22.020 --> 00:41:30.760]   And our book is trying to win a certain intra-left coalitional fight about defining the future
[00:41:30.760 --> 00:41:32.020]   of liberalism, the Democratic Party.
[00:41:32.020 --> 00:41:34.460]   So I'm not of the left.
[00:41:34.460 --> 00:41:35.940]   I'm certainly not of the far left.
[00:41:35.940 --> 00:41:42.900]   I have center-left politics and maybe even like a center-left personality style, if we can
[00:41:42.900 --> 00:41:43.620]   even call it that.
[00:41:43.620 --> 00:41:49.580]   But I do not begrudge the left for fighting because there's a fight to be had.
[00:41:49.580 --> 00:41:54.040]   In many ways, I think sometimes they see—I'm not endorsing this.
[00:41:54.040 --> 00:41:55.100]   I'm describing it.
[00:41:55.100 --> 00:42:03.900]   I think they see their near-term opposition as not always the Republican Party, but as the
[00:42:03.900 --> 00:42:09.400]   forces of the Democratic Party that are in the way for them controlling one of the two major
[00:42:09.400 --> 00:42:10.780]   parties in this country.
[00:42:10.780 --> 00:42:15.040]   And so they do have an oppositional style, and maybe that's personality-based.
[00:42:15.040 --> 00:42:16.720]   They are fighting the center-left.
[00:42:16.720 --> 00:42:18.760]   They are criticizing the center-left consistently.
[00:42:18.760 --> 00:42:23.860]   But I want to be good faith about this, even though I don't share their politics, and say
[00:42:23.860 --> 00:42:28.760]   that they're doing it because they're trying to win power on the left of center.
[00:42:29.140 --> 00:42:31.620]   And so that's why they're criticizing the way they are.
[00:42:31.620 --> 00:42:39.780]   Now, our book and much of my writing is an attempt to do a little bit of a very specific
[00:42:39.780 --> 00:42:40.220]   dance.
[00:42:40.220 --> 00:42:42.300]   Ezra touched on this, I think, really beautifully.
[00:42:42.300 --> 00:42:47.880]   We're in an era right now of anti-institution politics, anti-establishment politics.
[00:42:48.280 --> 00:42:54.420]   And Democrats are at risk right now as being seen as the party that always defends institutions,
[00:42:54.420 --> 00:42:57.640]   the party that always defends the establishment status quo.
[00:42:57.640 --> 00:43:04.720]   And that is an absolute death knell, I think, for this century's angry anti-establishment
[00:43:04.720 --> 00:43:05.200]   politics.
[00:43:05.200 --> 00:43:10.280]   So what we're trying to do is essentially say, here's a way to channel the anger that people
[00:43:10.280 --> 00:43:12.920]   have at the establishment, but toward our own ends, right?
[00:43:12.960 --> 00:43:18.700]   We believe that we have answers on housing and energy and high-quality governance and science
[00:43:18.700 --> 00:43:25.460]   and technology, really good answers that are fiercely critical of the status quo in Democrat-led
[00:43:25.460 --> 00:43:26.920]   cities and Democrat-led states.
[00:43:26.920 --> 00:43:33.500]   We're trying to be oppositional in a way that's constructive rather than just destructive.
[00:43:33.500 --> 00:43:38.700]   Just to put a nice pretty bow tie on the whole thing, let me ask for advice.
[00:43:41.500 --> 00:43:47.340]   What do I need to do for AOC to do a three-hour interview with you, Ezra, from your throne
[00:43:47.340 --> 00:43:47.860]   of wisdom?
[00:43:47.860 --> 00:43:52.060]   I don't think I know how you get AOC herself to do it.
[00:43:52.060 --> 00:43:59.380]   I would not pretend to know her offices or her particular views on this.
[00:43:59.380 --> 00:44:06.340]   I do think, though, that you can see different Democrats taking on different kinds of risks.
[00:44:06.340 --> 00:44:09.900]   Right now, we're sort of in the age of Gavin Newsom starting a party.
[00:44:09.900 --> 00:44:13.380]   I mean, Gavin Newsom is the governor of California, and he's spending some percentage of his time
[00:44:13.380 --> 00:44:17.960]   doing a podcast with Charlie Cook and Michael Savage and Steve Bannon.
[00:44:17.960 --> 00:44:24.660]   Gavin Newsom realizes that one lane for a Democrat is to be high-risk and talking to virtually everybody.
[00:44:24.660 --> 00:44:29.580]   I think Pete Buttigieg, in a different way, is somebody who wants to take media risks.
[00:44:29.800 --> 00:44:34.220]   Now, I think he's going to—my gut on him is he's going to hold his powder a little bit.
[00:44:34.220 --> 00:44:39.260]   So he'll probably want to do the Lex Frubin podcast, assuming he runs in 2028, in 2027.
[00:44:39.260 --> 00:44:39.800]   Buttigieg.
[00:44:39.800 --> 00:44:40.420]   Buttigieg, right.
[00:44:40.420 --> 00:44:45.420]   I think a lot of them are trying to figure out what is the lane for right now.
[00:44:45.420 --> 00:44:48.820]   And there's a lane for the next two years, and there's a lane for the two years after that.
[00:44:49.520 --> 00:44:53.400]   And you're going to see a lot of people begin to blanket media in the two years after that.
[00:44:53.400 --> 00:44:54.420]   Now, it'd be interesting.
[00:44:54.420 --> 00:44:57.280]   I would be curious to know, would Hakeem Jeffries come on to your show right now?
[00:44:57.280 --> 00:44:58.220]   That'd be interesting.
[00:44:58.220 --> 00:44:59.600]   I mean, would he do it for four hours?
[00:44:59.600 --> 00:45:00.200]   I don't know.
[00:45:00.200 --> 00:45:05.600]   The four-hour ask, the three- to four-hour ask, as somebody who also books politicians, is hard.
[00:45:05.600 --> 00:45:15.000]   I have trouble—I like to book people for 90 minutes to two hours, and I tend to get negotiated down to—I try not to go under 75 or 65.
[00:45:16.200 --> 00:45:23.100]   But even as somebody, I think, well-regarded in that world, you know, it's very, very, very hard for me to get politicians to sit for two hours.
[00:45:23.100 --> 00:45:27.520]   I don't have the sense that the three-hour ask is a big ask because of scheduling.
[00:45:27.520 --> 00:45:32.220]   I think it still is grounded in the fear of saying the wrong thing.
[00:45:32.220 --> 00:45:34.140]   I just think they're used to something else, right?
[00:45:34.140 --> 00:45:38.240]   I think that when you talk—I mean, they are scheduled by schedulers, right?
[00:45:38.240 --> 00:45:44.680]   If you talk to them yourself, if you end up having a personal relationship with Wes Moore of Maryland, and he wants to do your show,
[00:45:45.120 --> 00:45:48.500]   he will tell his scheduler, I want three to four hours to do the show.
[00:45:48.500 --> 00:45:50.740]   But the scheduler is used to a world.
[00:45:50.740 --> 00:45:54.020]   The staff is used to a world where nobody gets three to four hours for the boss.
[00:45:54.020 --> 00:45:55.540]   Reporters don't.
[00:45:55.540 --> 00:45:56.820]   Donors don't.
[00:45:56.820 --> 00:45:58.480]   Policy staffers don't.
[00:45:58.480 --> 00:46:06.100]   So then when some interview comes in and they say, hey, I want three to four hours, the answer is no, because culturally it's not done.
[00:46:06.100 --> 00:46:14.820]   You need Donald Trump himself, Pete Buttigieg himself, AOC herself, to say to their staff, no, no, no, we're making time for this.
[00:46:14.820 --> 00:46:15.180]   Right.
[00:46:15.180 --> 00:46:17.220]   Because it's not how they make time for things normally.
[00:46:17.220 --> 00:46:18.900]   I don't know how much it is fear.
[00:46:18.900 --> 00:46:22.780]   I do think they're unused to it, but I suspect a lot of it is simply booking culture.
[00:46:23.340 --> 00:46:24.800]   Like, I run into it, too.
[00:46:24.800 --> 00:46:27.140]   They're not used to saying yes to three to four hours for anything.
[00:46:27.140 --> 00:46:29.080]   It's not that they don't have it.
[00:46:29.080 --> 00:46:31.420]   They have three to four hours if their kid is having a graduation.
[00:46:31.420 --> 00:46:31.960]   Right.
[00:46:31.960 --> 00:46:33.220]   I mean, they're human beings.
[00:46:33.220 --> 00:46:34.060]   They can make time.
[00:46:34.740 --> 00:46:38.120]   But it would have to come in a way from them.
[00:46:38.120 --> 00:46:40.160]   My sense is this is part of the Rogan.
[00:46:40.160 --> 00:46:44.360]   It's very unclear because there are very differing stories on what happened in the Rogan-Harris negotiations.
[00:46:44.360 --> 00:46:47.900]   But it does seem that time was one of the sticking points.
[00:46:47.900 --> 00:46:56.900]   It's also possible that you're going to find, as you try to interview Democratic politicians, that the exact same thing that happened with tech CEOs is going to happen among Democratic politicians.
[00:46:56.900 --> 00:47:01.780]   You interviewed some tech CEOs, and then they did a great job.
[00:47:01.780 --> 00:47:04.720]   And their friends were like, you were fantastic on the Lex Friedman podcast.
[00:47:04.720 --> 00:47:08.500]   That was such a great thing that you said in, you know, minute 97.
[00:47:08.500 --> 00:47:14.780]   And then there becomes a bit of a meme that you can create really high-value moments for yourself if you appear on Lex's podcast.
[00:47:14.780 --> 00:47:19.000]   And then it becomes less risky for the next marginal CEO to say yes.
[00:47:19.000 --> 00:47:22.880]   And I think right now, what we're talking about fundamentally is not physics.
[00:47:22.880 --> 00:47:23.560]   It's culture.
[00:47:23.560 --> 00:47:24.520]   It's just norms.
[00:47:24.520 --> 00:47:31.700]   I think there's a fear of low expected value if you're a high-ranking Democratic politician and maybe you do a podcast like this.
[00:47:31.700 --> 00:47:42.180]   What if I say the wrong thing and it goes viral and my bookers and my agenda people and myself just feel terrible for the next few weeks because all we see on Blue Sky and X is just people hating.
[00:47:42.920 --> 00:47:55.040]   But if you get one interview that goes well, if you talk to Wes Moore, let's say, and there is a five-minute segment where he articulates some vision of liberalism in the 2020s that everyone says,
[00:47:55.040 --> 00:48:00.780]   my gosh, that is the best possible articulation of what the Democratic Party can stand for the next four years that I've ever heard.
[00:48:01.280 --> 00:48:05.680]   Suddenly what's happened is that appearing on the show becomes massively de-risked.
[00:48:05.680 --> 00:48:08.240]   And in fact, the risk valence entirely switches.
[00:48:08.240 --> 00:48:13.700]   We are leaving dollars on the floor by not appearing on this guy's podcast because I'm AOC.
[00:48:14.300 --> 00:48:16.000]   I'm a sensational communicator.
[00:48:16.000 --> 00:48:19.040]   If Wes Moore can do it, I can do it even better.
[00:48:19.040 --> 00:48:24.160]   And so I think to a certain extent, there's a little bit like of a riot theory phenomenon here.
[00:48:24.160 --> 00:48:27.300]   The person who throws the first stone in a riot has to be very courageous.
[00:48:27.300 --> 00:48:31.420]   The person who throws the hundredth and first stone in a riot doesn't need to be courageous at all.
[00:48:32.080 --> 00:48:43.680]   And there might be a little bit of that going on that people need to see proof of high expected value before it breaks what we're acknowledging to be a bit of a communications norm on the left.
[00:48:43.680 --> 00:48:46.520]   That's a really convincing and powerful theory.
[00:48:46.520 --> 00:48:52.820]   I think I want to push back on it because so what's what's going to happen?
[00:48:52.820 --> 00:48:56.340]   For example, this very conversation, you're both going to come off brilliant.
[00:48:56.340 --> 00:48:59.160]   Well, we're barely like 50 minutes into.
[00:48:59.160 --> 00:49:00.060]   Yeah, it's good.
[00:49:00.060 --> 00:49:01.900]   I have no more material, Lex.
[00:49:01.900 --> 00:49:03.380]   It's all straight downhill.
[00:49:03.380 --> 00:49:08.280]   But what people will get tired, they'll listen to this and they're like, well, that's Ezra.
[00:49:08.280 --> 00:49:09.680]   Like he's brilliant.
[00:49:09.680 --> 00:49:13.500]   They're going to be worried about their own candidate if AOC comes off brilliant.
[00:49:13.500 --> 00:49:17.560]   They're not going to be thinking, oh, this is a place to be brilliant.
[00:49:17.560 --> 00:49:19.920]   They're going to be like, well, that's because AOC is brilliant.
[00:49:19.920 --> 00:49:22.080]   But my candidate is not.
[00:49:22.080 --> 00:49:24.300]   It still boils down to the caution.
[00:49:24.300 --> 00:49:28.280]   I've had a lot of Republican, high profile Republican people reach out to me.
[00:49:28.280 --> 00:49:29.980]   They don't give a shit.
[00:49:29.980 --> 00:49:31.940]   They're just like, whatever, I'll come.
[00:49:31.940 --> 00:49:44.900]   People on the left, I've had two people who I respect deeply and admire express caution about the previous people I've interviewed and not wanting to come on.
[00:49:45.400 --> 00:49:46.900]   Well, that's the thing the left has to get over.
[00:49:46.900 --> 00:49:47.380]   Yeah.
[00:49:47.380 --> 00:49:49.480]   Like that's a very important cultural.
[00:49:49.480 --> 00:49:56.100]   They began to do a thing where spaces were verboten because it had platformed so-and-so.
[00:49:56.100 --> 00:49:58.480]   And I think that culture is changing.
[00:49:58.480 --> 00:50:08.020]   I think they realized that they abandoned huge, vast swaths of significant culture because they wouldn't go places.
[00:50:08.280 --> 00:50:08.940]   It's crazy.
[00:50:08.940 --> 00:50:13.660]   Like you have to – the idea that you only go where people agree with you is genuine lunacy.
[00:50:13.660 --> 00:50:15.860]   I don't want to act as your booker here.
[00:50:15.860 --> 00:50:20.640]   And, you know, 2020 candidates are what they are and they each have their own press strategy.
[00:50:20.640 --> 00:50:23.660]   But I would say, like I'm doing this myself on my show.
[00:50:24.440 --> 00:50:33.640]   Like I don't think the best people to get right now in the Democratic Party are the seven people who lead the polls.
[00:50:33.640 --> 00:50:35.580]   Like I'm looking for people who will think out loud.
[00:50:35.580 --> 00:50:37.740]   Like I just had Jake Auchincloss on.
[00:50:37.740 --> 00:50:41.380]   He's like a not that well-known House member from Massachusetts.
[00:50:41.380 --> 00:50:43.220]   I just think he's a guy who thinks out loud.
[00:50:44.800 --> 00:50:48.520]   I am booking someone else right now like that.
[00:50:48.520 --> 00:50:50.880]   I have two more people like that, frankly, who are neither of them.
[00:50:50.880 --> 00:50:54.300]   They're like – like I could get like a bigger name.
[00:50:54.300 --> 00:50:56.860]   I'm more interested in people who are thinking.
[00:50:56.860 --> 00:51:03.960]   Like one reason I think Bernie Sanders always did everything is to him, the thing he was really doing was he had something to say.
[00:51:03.960 --> 00:51:10.100]   The point of almost everything for Bernie Sanders is to be in a place where people can hear the thing he has to say.
[00:51:10.100 --> 00:51:13.000]   And a lot of politicians don't have that, right?
[00:51:13.000 --> 00:51:17.640]   The point of anything is what it does for them in the polls, what it does for them with the donors, how it repositions them.
[00:51:17.640 --> 00:51:21.580]   I'm interested right now at this moment because it's not 2028.
[00:51:21.580 --> 00:51:22.960]   It's not 2027.
[00:51:22.960 --> 00:51:25.400]   There's no Democratic primary happening right now.
[00:51:25.400 --> 00:51:29.140]   The idea that you can like pre-run the Democratic Party is stupid – or primary – is stupid.
[00:51:29.140 --> 00:51:31.840]   We don't even know what the – like we might be in World War III, right?
[00:51:31.840 --> 00:51:34.300]   We have no idea what – you know, we might have AGI.
[00:51:34.300 --> 00:51:41.680]   Like the things that the 2027 primary might be about, the kinds of scandals that might have erupted by them are totally different.
[00:51:42.200 --> 00:51:46.060]   Whereas, you know, the reason to have people on is because they are saying something.
[00:51:46.060 --> 00:51:53.200]   They're a live mind in the moment that has a perspective on this that you want to hear.
[00:51:53.200 --> 00:51:55.900]   And so I would look for that.
[00:51:55.900 --> 00:52:05.480]   And I think a lot of people who are not – you know, there are people who are trying to protect something, protect a standing in the polls, protect a sort of coalitional set of allies they currently have.
[00:52:05.600 --> 00:52:09.460]   And then there are people who are, you know, trying to just be heard.
[00:52:10.600 --> 00:52:17.140]   And again, a lot of Bernie Sanders' culture, the way he does media, is now Bernie Sanders is Bernie Sanders.
[00:52:17.140 --> 00:52:18.840]   He didn't used to be.
[00:52:18.840 --> 00:52:20.940]   He wasn't in 2015 even.
[00:52:20.940 --> 00:52:25.840]   Like when Bernie Sanders ran for president in 2015, it wasn't initially a big deal.
[00:52:25.840 --> 00:52:28.560]   It was like, oh, bummer, Elizabeth Warren didn't run for president.
[00:52:28.560 --> 00:52:30.340]   It was a feeling of most people on the left.
[00:52:30.460 --> 00:52:36.860]   And so Bernie Sanders was a guy who's been saying the same thing for decades, but in the wilderness and nobody was listening.
[00:52:36.860 --> 00:52:48.080]   And now he still has the instincts of somebody who understood that, like, the most important thing was to find a place where people were listening, where they would let you talk and even better let you talk for a while.
[00:52:48.080 --> 00:52:52.580]   I think the candidate who's going to do well in 2028 is going to have an instinct like that.
[00:52:52.580 --> 00:52:59.660]   But even right now, I think the question is – one of my big questions as I'm booking for my show is just –
[00:52:59.660 --> 00:53:11.380]   I want someone who has a perspective on this moment, who feels like they have had a thought that is about right now and who we are right now and what the story of America is right now.
[00:53:11.380 --> 00:53:13.180]   I think what's really important is what Ezra said.
[00:53:13.180 --> 00:53:14.120]   It's about having something to say.
[00:53:14.120 --> 00:53:20.840]   We wanted to talk to you and talk together about how much we wanted to talk to you because we got something to say.
[00:53:20.840 --> 00:53:24.220]   You know, we wrote a 300-page book about how much we have to say.
[00:53:24.220 --> 00:53:32.060]   We love going on podcasts and television shows and radio and then doing live events to tell people what we have to say.
[00:53:32.060 --> 00:53:39.340]   We think this idea of abundance isn't just important for redefining what the American left means.
[00:53:39.340 --> 00:53:46.400]   We think that the outcome of thinking abundantly about housing and energy and science and technology is what politics is all about.
[00:53:46.400 --> 00:53:49.520]   It's about giving people the good life, and we think this is the path toward it.
[00:53:50.360 --> 00:53:58.560]   Certainly, one thing that's profoundly motivated us is having something very concrete that we just want to get out there in the world.
[00:53:58.560 --> 00:54:07.180]   Like, my sense as a writer, as a thinker, is I want my software running on as many pieces of hardware as possible.
[00:54:07.180 --> 00:54:10.360]   I want to get my ideas out there as much as possible.
