
[00:00:00.000 --> 00:00:17.520]   Welcome back Portfolio Rescue.
[00:16:19.000 --> 00:16:23.560]   It's the flip side of that, which is a sequence of return risk, that early in retirement,
[00:16:23.560 --> 00:16:24.720]   that hurts more.
[00:16:24.720 --> 00:16:28.560]   So once that gets recognized, though, Ben, for me, the trick is then relate it to the
[00:16:28.560 --> 00:16:29.560]   plan.
[00:16:29.560 --> 00:16:33.360]   Because at our firm, we don't let somebody invest in any of our portfolios until they
[00:16:33.360 --> 00:16:36.320]   have a financial plan built, and we test through this.
[00:16:36.320 --> 00:16:37.720]   We have the conversation.
[00:16:37.720 --> 00:16:38.720]   What are you going to do?
[00:16:38.720 --> 00:16:39.720]   What is it going to feel like?
[00:16:39.720 --> 00:16:41.040]   We try to prep this.
[00:16:41.040 --> 00:16:44.800]   So when we're going through it in real time, it's not the first time we've had the conversation
[00:16:44.800 --> 00:16:49.960]   about what a 10 percent, a 20 percent, a 30 percent decline, hypothetically, might look
[00:16:49.960 --> 00:16:50.960]   like.
[00:16:50.960 --> 00:16:55.240]   So part of our role as financial planners, as CFPs, as advisors, or even helping out
[00:16:55.240 --> 00:16:59.360]   your friends and family, your mom and dad, is always to make sure you're not investing
[00:16:59.360 --> 00:17:03.440]   in a portfolio that you can't sustain, the kind of drawdowns that we're experiencing
[00:17:03.440 --> 00:17:04.440]   here.
[00:17:04.440 --> 00:17:07.800]   And Ben, you know, this is a relatively minor situation so far, right?
[00:17:07.800 --> 00:17:09.400]   We don't know what this could turn into.
[00:17:09.400 --> 00:17:12.240]   But we're all driving, looking at the rearview mirror.
[00:17:12.240 --> 00:17:13.720]   And so we only know what happens.
[00:17:13.720 --> 00:17:18.040]   And I think just that second part about always keeping in mind that we only know what happened
[00:17:18.040 --> 00:17:21.580]   last week or last month, we don't know what's going to happen next.
[00:17:21.580 --> 00:17:22.580]   But here's data.
[00:17:22.580 --> 00:17:25.680]   And Ben, that's why I think the work that you do, that our team does, is so important
[00:17:25.680 --> 00:17:28.520]   to show people this is what happens next.
[00:17:28.520 --> 00:17:31.740]   The problem is, too, that most of the time you're in a state of a drawdown.
[00:17:31.740 --> 00:17:33.120]   We anchor to these higher levels.
[00:17:33.120 --> 00:17:38.160]   But so the data I've found is that 5 percent of all trading days is an all-time high for
[00:17:38.160 --> 00:17:40.480]   the stock market, going back like 100 years.
[00:17:40.480 --> 00:17:44.280]   Alternatively, 95 percent of the time you're in a drawdown.
[00:17:44.280 --> 00:17:45.280]   And I looked at the data.
[00:17:45.280 --> 00:17:46.280]   We talked about it last week.
[00:17:46.280 --> 00:17:52.280]   In the last 70 years, one out of every other two, one out of every other year is a 10 percent
[00:17:52.280 --> 00:17:53.280]   drawdown or worse.
[00:17:53.280 --> 00:17:54.280]   Right?
[00:17:54.280 --> 00:17:55.280]   So we're kind of in that now, right?
[00:17:55.280 --> 00:17:57.960]   And it's been, it usually doesn't work like a schedule like this, but it's been about
[00:17:57.960 --> 00:18:01.480]   two years since the last 10 percent correction in the S&P.
[00:18:01.480 --> 00:18:05.600]   And unfortunately, it is normal, but it almost feels like you need that reminder every time
[00:18:05.600 --> 00:18:07.800]   it happens that this is normal.
[00:18:07.800 --> 00:18:08.800]   And wait a minute.
[00:18:08.800 --> 00:18:12.880]   You know, I saw my account balance a month ago was much, much higher at the year end.
[00:18:12.880 --> 00:18:13.880]   And now it's this.
[00:18:13.880 --> 00:18:14.880]   Oh, geez.
[00:18:14.880 --> 00:18:15.880]   I can't.
[00:18:15.880 --> 00:18:16.880]   I can't take this.
[00:18:16.880 --> 00:18:17.880]   Get me out.
[00:18:17.880 --> 00:18:20.220]   And again, we've tried to do a really good job with our clients of setting expectations,
[00:18:20.220 --> 00:18:23.800]   but there's always people who say like, OK, I know this is going to get worse.
[00:18:23.800 --> 00:18:25.480]   Let's go to cash now.
[00:18:25.480 --> 00:18:27.240]   Like just let's stop.
[00:18:27.240 --> 00:18:28.240]   Stop the bleeding.
[00:18:28.240 --> 00:18:30.480]   Go to cash and we'll reassess.
[00:18:30.480 --> 00:18:34.280]   And that's why I like setting an asset allocation and understanding the risk profile and time
[00:18:34.280 --> 00:18:39.760]   horizon of your clients is so important because you have to set that ahead of time, right?
[00:18:39.760 --> 00:18:42.920]   You don't make a, you don't do it while you're in battle, right?
[00:18:42.920 --> 00:18:45.320]   You do it before and you plan it, right?
[00:18:45.320 --> 00:18:49.280]   And so you figure out ahead of time and you figure, OK, what's a durable enough portfolio
[00:18:49.280 --> 00:18:52.680]   for me to handle these corrections and build them into the plan?
[00:18:52.680 --> 00:18:54.480]   Not like hope they don't happen because we know they're going to.
[00:18:54.480 --> 00:18:56.400]   We just don't know when and we don't know why.
[00:18:56.400 --> 00:18:57.400]   Yeah, exactly.
[00:18:57.400 --> 00:18:58.400]   And kind of pre-mortem it.
[00:18:58.400 --> 00:18:59.400]   I think that's what you're getting at.
[00:18:59.400 --> 00:19:02.080]   Like, what, how should we react if this happens?
[00:19:02.080 --> 00:19:04.340]   And the answers are pretty, pretty standard.
[00:19:04.340 --> 00:19:05.340]   It's rebalance.
[00:19:05.340 --> 00:19:09.360]   It's deploy assets that you have in cash to pick up, you know, smaller balances.
[00:19:09.360 --> 00:19:12.240]   But at the end of it, I think what clients really need to hear, what people need to hear,
[00:19:12.240 --> 00:19:14.760]   what we all need to hear is it's going to be OK.
[00:19:14.760 --> 00:19:19.160]   And if we have a plan going into it, going into battle, as you say, Ben, you're able
[00:19:19.160 --> 00:19:21.760]   to reference that and use that as your touchstone.
[00:19:21.760 --> 00:19:25.480]   And if I know that, hey, this has happened several times, this on average happens every
[00:19:25.480 --> 00:19:28.180]   two years and it's nothing that you need to worry about.
[00:19:28.180 --> 00:19:29.180]   That's the message.
[00:19:29.180 --> 00:19:30.180]   It's going to be OK.
[00:19:30.180 --> 00:19:33.840]   And I think if you're, if you're an individual investor watching this and you don't have
[00:19:33.840 --> 00:19:37.440]   an advisor you're leaning on and, you know, plenty of individuals can do this on itself,
[00:19:37.440 --> 00:19:40.520]   but like even a bad plan is better than no plan, because I know there's a lot of investors
[00:19:40.520 --> 00:19:43.560]   right now who started a few years ago and they just decided I'm going to buy whatever
[00:19:43.560 --> 00:19:47.560]   works and it's going up and now it's down a lot and it's like, now what do I do?
[00:19:47.560 --> 00:19:50.920]   If you didn't have a plan going into it, figuring out a plan at the time is going to be ten
[00:19:50.920 --> 00:19:51.920]   times harder.
[00:19:51.920 --> 00:19:54.480]   Like, so again, even a bad plan is better than no plan.
[00:19:54.480 --> 00:19:57.200]   It's a very expensive time to find out who you are.
[00:19:57.200 --> 00:20:01.080]   Well, and as, as a little bit of a follow up, we have probably a ton of people right
[00:20:01.080 --> 00:20:04.800]   now who got into the market, young people who got into the market during the meme stock
[00:20:04.800 --> 00:20:06.260]   mania and that kind of thing.
[00:20:06.260 --> 00:20:09.280]   And so they're probably really at a loss right now, like, you know, what is going on?
[00:20:09.280 --> 00:20:13.120]   Like this, you know, they were seeing names double over a week or, you know, that kind
[00:20:13.120 --> 00:20:14.120]   of thing.
[00:20:14.120 --> 00:20:15.720]   And it felt really easy there for a while.
[00:20:15.720 --> 00:20:18.200]   And yeah, unfortunately it's not always going to be that way.
[00:20:18.200 --> 00:20:19.200]   That's the thing.
[00:20:19.200 --> 00:20:21.680]   If you're in a more speculative part of the market, your swings are going to be even wider
[00:20:21.680 --> 00:20:25.080]   than a more diversified portfolio, like we use with our clients.
[00:20:25.080 --> 00:20:26.080]   It's tough.
[00:20:26.080 --> 00:20:29.520]   Like on a brighter note, everyone in the chat now is sharing like all these great places
[00:20:29.520 --> 00:20:30.520]   that they've traveled to.
[00:20:30.520 --> 00:20:31.520]   That's awesome.
[00:20:31.520 --> 00:20:32.520]   It's making me jealous.
[00:20:32.520 --> 00:20:34.000]   When are we going to sit by a campfire?
[00:20:34.000 --> 00:20:36.960]   It's like six degrees and it's like six degrees in Michigan.
[00:20:36.960 --> 00:20:41.320]   I think we need to do this show from, you know, some exotic location or something.
[00:20:41.320 --> 00:20:42.320]   That sounds good.
[00:20:42.320 --> 00:20:43.320]   Let's do it.
[00:20:43.320 --> 00:20:44.320]   My backyard.
[00:20:44.320 --> 00:20:45.320]   I did see some questions too.
[00:20:45.320 --> 00:20:46.320]   So we're going to pull those questions.
[00:20:46.320 --> 00:20:47.320]   We'll get them in the future.
[00:20:47.320 --> 00:20:53.840]   Remember, if you want to just email us and not put it in the comments here, askthecompoundshow@gmail.com.
[00:20:53.840 --> 00:20:56.920]   Duncan, how close are we to 100,000 subscribers now?
[00:20:56.920 --> 00:20:57.920]   Are we getting there?
[00:20:57.920 --> 00:21:00.720]   Very close, right around 94,000.
[00:21:00.720 --> 00:21:01.720]   So we're getting there.
[00:21:01.720 --> 00:21:02.720]   That's awesome.
[00:21:02.720 --> 00:21:03.720]   Yeah.
[00:21:03.720 --> 00:21:04.720]   All right.
[00:21:04.720 --> 00:21:05.720]   I like those big round numbers.
[00:21:05.720 --> 00:21:06.720]   Duncan's going to do 100k hat when we get there.
[00:21:06.720 --> 00:21:07.720]   We'll do that.
[00:21:07.720 --> 00:21:09.920]   idontshop.com for all of your merchandise needs.
[00:21:09.920 --> 00:21:12.840]   I think we have a Portfolio Rescue t-shirt there.
[00:21:12.840 --> 00:21:15.120]   Ben doesn't drink coffee mug.
[00:21:15.120 --> 00:21:19.240]   The compound hoodie sweatshirt that I have, I like that.
[00:21:19.240 --> 00:21:20.840]   Thank you again to Bill for joining us.
[00:21:20.840 --> 00:21:21.840]   Keep your eyes peeled.
[00:21:21.840 --> 00:21:23.840]   We might be adding some kind of headwear at some point.
[00:21:23.840 --> 00:21:27.120]   We haven't been happy with the tests we've done, but at some point there will probably
[00:21:27.120 --> 00:21:28.200]   be some headwear.
[00:21:28.200 --> 00:21:29.640]   Duncan is a hat guy.
[00:21:29.640 --> 00:21:32.680]   95% of all market downturns, Duncan has been wearing a hat.
[00:21:32.680 --> 00:21:34.720]   We'll be back next week.
[00:21:34.720 --> 00:21:36.400]   See you then.
[00:21:36.400 --> 00:21:36.880]   See you everyone.
[00:21:36.880 --> 00:21:51.240]   [Music]

