
[00:00:00.000 --> 00:00:02.040]   The following is a conversation with Scott Horton.
[01:48:04.680 --> 01:48:09.880]   as Hitler, and he's killing all the babies in their incubators and these kinds of Belgian babies on
[01:48:09.880 --> 01:48:15.880]   bayonets and related hoaxes to keep the thing going. Because again, as Richard Pryor said,
[01:48:15.880 --> 01:48:22.120]   that doesn't make any sense to me, right? Like if it doesn't just sound right to your average guy,
[01:48:22.120 --> 01:48:26.840]   you tell me we had a face down Hitler. All right. We had a face down Stalin and Mao. That makes sense.
[01:48:27.720 --> 01:48:35.800]   We got to bomb Gaddafi. There's not a better way that we USA number one can handle that.
[01:48:35.800 --> 01:48:41.000]   You know, same kind of thing going forward here. And this is why, you know, these, and I like to
[01:48:41.000 --> 01:48:46.280]   emphasize this so much is that in the aftermath of Vietnam, people think that, oh, peace is just
[01:48:46.280 --> 01:48:51.720]   hippies and leftists and anti-Americans of one stripe or another people who are just no good in a fight
[01:48:51.720 --> 01:48:56.360]   anyway. So what do they know about security? Right? Jack Nicholson. I stand on that wall.
[01:48:56.360 --> 01:48:59.400]   Even think about what a joke that was. He was down in Guantanamo Bay,
[01:48:59.400 --> 01:49:04.920]   keeping Castro Bay for me. Yeah. Thanks a lot, dude. I can't handle that truth. Whatever you're
[01:49:04.920 --> 01:49:10.200]   burying down there. Um, a lot of torture later, but anyway, so you're saying like, it's really
[01:49:10.200 --> 01:49:17.720]   people that were hawks for a time woke up. That's the reality of the ridiculousness, the absurdity of a,
[01:49:17.720 --> 01:49:23.080]   what a totalitarian bureaucracy does is it expands and creates momentum. And then you're now
[01:49:23.080 --> 01:49:28.440]   become the thing you were fighting. Right. But Francis Fukuyama knew better. He said, no,
[01:49:28.440 --> 01:49:35.160]   it's the end of history. And America has proven that more or less democracy and more or less free
[01:49:35.160 --> 01:49:41.080]   market capitalism as like Bill Clinton would define them or something of that era, that that's the future
[01:49:41.080 --> 01:49:46.680]   of mankind. We proved it. They tried every other way of having a modern, successful society. And this
[01:49:46.680 --> 01:49:52.920]   is the one and only way to do that. And not only that then, but that's obviously America's mandate
[01:49:52.920 --> 01:49:57.480]   and all his neocon friends took it as America's mandate that we're going to force the world to
[01:49:57.480 --> 01:50:02.440]   accept our ways in that same way. Of course, the British justified their obviously very self-interested
[01:50:02.440 --> 01:50:08.040]   empire in the very same way that we're going to teach you to have a separate independent judiciary
[01:50:08.040 --> 01:50:14.440]   at any cost. Right. And it's all the, you know, I hate to say it, but the white man's burden type of
[01:50:14.440 --> 01:50:18.840]   argument that, and they say this to this day, look, if it wasn't us, it would be the Russians. If it
[01:50:18.840 --> 01:50:22.040]   wasn't us, it would be the Chinese. If it wasn't us, it would be somebody else and it would be worse.
[01:50:22.040 --> 01:50:27.720]   And so that's it. And so it is our responsibility. We're the most mature and adult and responsible
[01:50:27.720 --> 01:50:33.400]   stewards of global power. And so it has to be us to do this. And that was what it said in the defense
[01:50:33.400 --> 01:50:37.400]   planning guidance. And now it's true that Bush lost that election and the Clintonites came in,
[01:50:37.400 --> 01:50:41.720]   but as Paul Wolfowitz bragged again in the national interest by the end of the decade,
[01:50:41.720 --> 01:50:47.240]   that they all adopted the Wolfowitz doctrine anyway, that, you know, like for example,
[01:50:47.240 --> 01:50:53.160]   Bill Clinton going right around NATO to do the war in Kosovo in 1999, because he wanted to,
[01:50:53.160 --> 01:50:57.720]   and Russia had a veto on the UN security council. And so, well, forget that. We'll just go around that.
[01:50:57.720 --> 01:51:02.040]   That's straight out of the Wolfowitz doctrine, right? That it's what Matt, what's good for us and
[01:51:02.040 --> 01:51:06.680]   our predominance of power in those regions of the world is what matters the most.
[01:51:06.680 --> 01:51:10.920]   And these other considerations will have to take a backseat to make sure that we can be the guarantors
[01:51:10.920 --> 01:51:19.560]   of our world order, regardless of what the treaties everybody signed up for say. And so that really is
[01:51:19.560 --> 01:51:23.880]   what they call the Wolfowitz doctrine. It's not just, Hey, let's go to Iraq for Israel. Although that's a
[01:51:23.880 --> 01:51:31.400]   huge part of it, but it's less America, our military power is always beneficial compared to the alternative.
[01:51:31.400 --> 01:51:37.960]   And so we should be the ones to guarantee the peace or the war. But in, in our case, if it's war,
[01:51:37.960 --> 01:51:44.200]   it's only because the alternative was worse. We promise. And so that's the doctrine. And there is
[01:51:44.200 --> 01:51:49.640]   ideology of American empire here. I don't want to dismiss the corruption. It's a huge part. I mean,
[01:51:49.640 --> 01:51:53.560]   if, if hopefully we have time later and talk really about the new cold war with Russia,
[01:51:53.560 --> 01:51:58.840]   we can talk a lot about the role that Lockheed and the other military industrial complex firms played
[01:51:58.840 --> 01:52:03.400]   in pushing all these policies for it is true with Iraq to the committee on the liberation of Iraq
[01:52:03.400 --> 01:52:09.400]   was sponsored by Bruce Jackson from Lockheed Martin. And, and he also financed the project for
[01:52:09.400 --> 01:52:13.880]   new American century of Bill Kristol and Robert Kagan. He financed the weekly standard magazine.
[01:52:13.880 --> 01:52:19.480]   And the agenda was like, let's sell NATO planes in Europe and let's push for war in the Middle East.
[01:52:19.480 --> 01:52:24.200]   And there's, so there's a lot of self-interested reasons there, but I think overall, like you got
[01:52:24.200 --> 01:52:30.920]   to take these people at their word when they say, we know we're heroes. We know we're doing the right
[01:52:30.920 --> 01:52:36.120]   thing. We know everybody's better off without us. We know that we have to, this is our morality-based
[01:52:36.120 --> 01:52:40.680]   foreign policy. We just can't allow that bad thing to happen any longer. We have to do something worse to
[01:52:40.680 --> 01:52:46.280]   stop it. And this kind of thing is very like, you could tie it back to like, whatever. I'm not this
[01:52:46.280 --> 01:52:53.960]   smart to talk all about the influence of, of the pilgrims and their glorious mission, you know,
[01:52:53.960 --> 01:53:00.680]   in ancient Massachusetts to create the new city on the hill, to, to be like the new Zion and,
[01:53:00.680 --> 01:53:07.240]   and ultimately determine the fate of mankind. But there's a lot of Yankee busy bodyhood that is built
[01:53:07.240 --> 01:53:12.360]   into this. And of course the Scotch Irish like to get drunk and get into fist fights for fun. And
[01:53:12.360 --> 01:53:17.000]   I take responsibility for that as a bit of my background too. I'm not being a racist bigot,
[01:53:17.000 --> 01:53:21.480]   but like, that's part of our culture is like being a tough guy and being able to get in a brawl and win
[01:53:21.480 --> 01:53:26.440]   one or even suffer a defeat and, and not cry about it. You know what I mean? And like,
[01:53:26.440 --> 01:53:30.920]   yeah, some of that was, I mean, it's the dual, it's a double-edged sword of human nature is the
[01:53:30.920 --> 01:53:35.080]   Scots Irish, I mean, they're so, and I had a great conversation with Sagar and Jetty about this,
[01:53:35.080 --> 01:53:41.800]   uh, are so foundational to the individualism that makes America great. But then you get into trouble
[01:53:41.800 --> 01:53:45.160]   when you start to believe you're. Tell them there's a bad guy out there.
[01:53:45.160 --> 01:53:49.720]   Yeah. And you, and you start, and then you have the biggest military in the world
[01:53:49.720 --> 01:53:52.680]   and there's Lockheed Martin is the military industrial complex. And now you think you're
[01:53:52.680 --> 01:53:58.040]   better than everybody. Now you're creating wars all over the place, creating enemies all over the place.
[01:53:58.040 --> 01:54:02.120]   And see, of course there's partisanship is all built into this is everybody supports
[01:54:02.120 --> 01:54:06.360]   their guy. Cause the other guy is you, we can't let them win. So we can't undermine,
[01:54:06.360 --> 01:54:10.200]   even when we disagree with our own guy, we can't undermine him or we're helping the other guys are
[01:54:10.200 --> 01:54:14.280]   going to bid him, get them in the midterms or they'll get them in the next election. So people
[01:54:14.280 --> 01:54:19.640]   close ranks around things they even disagree with just because they consider again, the alternative
[01:54:19.640 --> 01:54:23.320]   worse. That's even from the point of view of voters, a lot of times that like, you know,
[01:54:23.320 --> 01:54:29.640]   even Murray Rothbard endorsed George H W Bush who had just done the Iraq war because Rothbard's like,
[01:54:29.640 --> 01:54:36.040]   well, at least he hates Yitzhak Shamir. And at least he's not bringing Hillary Clinton and the leftist
[01:54:36.040 --> 01:54:42.120]   cultural revolution with him. Right. So, well, just, you know, uh, people got to make these choices and,
[01:54:42.120 --> 01:54:47.160]   and make their comparisons of, you know, what they favor or what they value at any given time and make
[01:54:47.160 --> 01:54:52.920]   those compromises, you know? And that's why you said antiwar.com is nonpartisan, right? That's right.
[01:54:52.920 --> 01:54:57.320]   Yeah. We're reaching out to everybody. We're here to inform everybody again. Uh, uh, as I was
[01:54:57.320 --> 01:55:02.520]   mentioned during the short break there, that Hawks read our website too, because if you want really
[01:55:02.520 --> 01:55:07.720]   the best briefing of what's going on in the country, like we do hear from them from time to time that like,
[01:55:07.720 --> 01:55:12.360]   I gotta admit those guys really do have the most comprehensive coverage of the stuff I'm interested in,
[01:55:12.360 --> 01:55:18.040]   even if from their point of view, the wrong point of view, if, uh, before we go to Iraq war two,
[01:55:18.040 --> 01:55:24.040]   sure. I, if it's okay to take a brief aside, uh, since you mentioned it, we did an Iran debate a few
[01:55:24.040 --> 01:55:30.920]   weeks ago. Yes. Uh, we're about actually 20 minutes was cut toward the end where it went a bit off the
[01:55:30.920 --> 01:55:36.760]   rails. And, uh, you agreed with the description that I wrote on X. I hope it's cool. If I read it,
[01:55:37.640 --> 01:55:44.600]   I try hard to avoid editing. That's why I do four or five, six, seven, eight hour podcasts. I wonder
[01:55:44.600 --> 01:55:50.680]   how long we go today. Uh, the part I cut in the Iran debate was where it went off the rails after four
[01:55:50.680 --> 01:55:56.360]   hours, not content wise, but tone wise, mockery, interruption, et cetera. Both had very little sleep
[01:55:56.360 --> 01:56:02.040]   the night before and were tired and not their best selves. As they both said, I cut not because of the
[01:56:02.040 --> 01:56:07.560]   content, but the style I try, I try all I can to avoid having that kind of drama in the podcast.
[01:56:07.560 --> 01:56:13.080]   Instead, I thought the first four hours had a lot of strong rants, which you did. And you're continuing
[01:56:13.080 --> 01:56:19.160]   the rants very well today. Uh, I'm enjoying it. Uh, so you wanted to echo that description and that the
[01:56:19.160 --> 01:56:25.000]   edit made sense. Uh, maybe can you speak to that? And then also, can you please, it'd be great now that
[01:56:25.000 --> 01:56:30.200]   you're a fresh full of Dr. Pepper say anything and everything you would like to say that went
[01:56:30.200 --> 01:56:36.680]   unresponded to maybe, uh, that is left to be said. Thank you. Yes. So first of all,
[01:56:36.680 --> 01:56:41.000]   I'll take my responsibility for that part. I literally had a long drive and a long flight
[01:56:41.000 --> 01:56:47.160]   and four hours sleep and no food in my stomach whatsoever. And I quite honestly, absolutely
[01:56:47.160 --> 01:56:55.080]   despise Mark Dubowitz and I have for a very long time. And so it was, I almost, I really had thought
[01:56:55.080 --> 01:56:59.080]   about this beforehand. I really should have rejected your terms at the beginning where we're all friends
[01:56:59.080 --> 01:57:02.600]   here, having a friendly discussion. I had already kind of rehearsed in my mind. What I wanted to say
[01:57:02.600 --> 01:57:08.440]   to you was actually, no, right. This is just business. And I know that I really do regret that.
[01:57:08.440 --> 01:57:11.880]   And, and I'm sorry to you personally for that. Cause I, what I should have said was, this is just
[01:57:11.880 --> 01:57:16.520]   business. What's going to happen here is he's going to lie the whole time because he has to. And so
[01:57:16.520 --> 01:57:20.840]   then I'm going to spend all of my time telling you why, what he just said, isn't actually true
[01:57:20.840 --> 01:57:25.560]   and how you can go verify that for yourself, et cetera, which is what ended up happening. But it
[01:57:25.560 --> 01:57:30.040]   made it much more acrimonious because it was like, and for you, it was more frustrating. Cause you're
[01:57:30.040 --> 01:57:36.520]   trying to hold things in the conception that you had it where we're all just going to be friends here
[01:57:36.520 --> 01:57:43.160]   when that just was never going to really last. And part of that is, look, I'm just, I'm Luke from
[01:57:43.160 --> 01:57:49.560]   empire. I'm not quite all the way grown up return of the Jedi Skywalker here myself. So I get angry
[01:57:49.560 --> 01:57:56.760]   and, and say angry things. So as far as how bad it went, I take my responsibility for my part of that.
[01:57:56.760 --> 01:58:02.440]   Except the reality was, it was just cause I was up against a horrible foreign agent lying his ass off
[01:58:02.440 --> 01:58:07.240]   trying to get my fellow Americans killed and their dollars wasted. So, and I got a problem with that.
[01:58:07.240 --> 01:58:13.640]   Um, and now on the edit though, this is where we had a problem. And I do accept from you that this
[01:58:13.640 --> 01:58:19.240]   part was inadvertent. I know that you didn't mean to do it this way. What happened was there were two
[01:58:19.240 --> 01:58:24.840]   instances of him saying, Oh, Scott Horton thinks the Jews control everything and dictate everything
[01:58:24.840 --> 01:58:33.560]   and blah, blah, blah, which I never said at all. And he said twice. And yet my response was completely
[01:58:33.560 --> 01:58:39.400]   deleted. But him saying that against me was still in there. And I thought like on one hand,
[01:58:39.400 --> 01:58:44.680]   it's completely silly and stupid, but on the other hand, that's also like a pretty ruthless and horrible
[01:58:44.680 --> 01:58:50.680]   thing to try to do to somebody, not you, him to try to put those words in my mouth and say all those
[01:58:50.680 --> 01:58:56.280]   facts that you just heard for four hours. Nah, this guy just hates Jews. So if you're on my side,
[01:58:56.280 --> 01:59:00.520]   you don't have to listen to him. You don't have to believe him anything like this. And then our discussion
[01:59:00.520 --> 01:59:04.120]   about that's not true, dude, just because I was talking about the neoconservatives doesn't
[01:59:04.120 --> 01:59:08.440]   mean I was talking about the Jews because for example, Jen Kirkpatrick and Jim Woolsey are
[01:59:08.440 --> 01:59:16.360]   Presbyterians and, and Michael Novak and, uh, oh, what's his name are Catholics. And Francis Fukuyama,
[01:59:16.360 --> 01:59:22.600]   I guess is a Buddhist and, and Zahme Khalilzad is a Muslim. And so I didn't say the Jews at all,
[01:59:22.600 --> 01:59:29.320]   did I? I was talking about this and that. And my very good response to that went to the cutting room floor.
[01:59:29.320 --> 01:59:34.120]   And so I thought, well, that was kind of lame. And then I thought I was going to come back sooner.
[01:59:34.120 --> 01:59:38.040]   And so I apologize for kind of putting you on blast in that interview where I mentioned it,
[01:59:38.040 --> 01:59:43.240]   but I was waiting to hear back from you where we're going to make up for that by doing this interview.
[01:59:43.240 --> 01:59:48.120]   And so I was like, yeah, I've kind of disappointed. Now it's, uh, nearly August and I hadn't heard from
[01:59:48.120 --> 01:59:54.280]   the dude and I thought we were going to do that. And so, and because it is important that it goes to my
[01:59:54.280 --> 01:59:59.320]   overall point that I'm trying to make here is obviously the American empire is very much against
[01:59:59.320 --> 02:00:05.960]   the interests of the American people, but also, and most especially our support for Israel, the great
[02:00:05.960 --> 02:00:12.920]   albatross around our neck, you know, what they do or millstone is maybe better, right? Albatross was a symbol
[02:00:12.920 --> 02:00:19.320]   of good luck before you shot it down. But Israel's interests are vastly different than America's
[02:00:19.320 --> 02:00:25.080]   interests. And people try to lie even to themselves and say that that's not true, but they are very
[02:00:25.080 --> 02:00:32.120]   different. For example, when Israel killed those women and children in Kana in 1996, that's what brought
[02:00:32.120 --> 02:00:38.840]   our towers down, right? So this is something very important that we have to grapple with as a country
[02:00:38.840 --> 02:00:43.560]   that we're not just talking about Israel being a nice Jewish boy, minding its own business over there.
[02:00:43.560 --> 02:00:48.840]   Kind of like in some cliche or narrative, we're talking about an absolutely ruthless state that is
[02:00:48.840 --> 02:00:55.320]   in the process of trying to get rid of millions of people. They wish they hadn't kidnapped back in 1967.
[02:00:55.320 --> 02:01:00.040]   And we can do a whole bit on that, but they are put themselves in a very difficult position.
[02:01:00.040 --> 02:01:06.600]   And so they need our help to a very great degree. Now, from all that we've discussed here today,
[02:01:06.600 --> 02:01:10.760]   does it sound like I'm saying the Israelis and their lobby are behind every single thing in American
[02:01:10.760 --> 02:01:14.840]   policy and what we're doing here? Like, that's not at all what I'm talking about. Zbigniew Brzezinski
[02:01:14.840 --> 02:01:21.160]   is not the Israel lobby at all. He's Rockefeller's guy. And that's a separate group of guys, right?
[02:01:21.160 --> 02:01:23.160]   Um, and so go ahead.
[02:01:23.160 --> 02:01:26.840]   Just, uh, um, I'm really sorry for missing
[02:01:27.720 --> 02:01:32.840]   the two mentions that you're referring to. You know, people can search in the transcript or Jew,
[02:01:32.840 --> 02:01:36.040]   it appears, I guess, a couple of times. And that's what you're referring to.
[02:01:36.040 --> 02:01:42.520]   Um, your back and forth argument actually came about 15 minutes after that moment
[02:01:42.520 --> 02:01:45.320]   because you kind of were patiently waiting. I had to get back to it kind of thing.
[02:01:45.320 --> 02:01:49.160]   Yeah. Yeah. And you know, there's no disrespect, man. And I really apologize if there's any,
[02:01:49.160 --> 02:01:55.640]   uh, hurt or any, anything like that cause. And it's true that the thing did really turn into
[02:01:55.640 --> 02:02:00.520]   an argument at that point. I mean, called Jim Loeb of all people, a vicious anti-Semite, which is just
[02:02:00.520 --> 02:02:08.760]   completely hilarious considering how Jewish Jim Loeb is and what an extraordinarily sweet and kind and
[02:02:08.760 --> 02:02:13.320]   decent gentleman. He is. This is the most ridiculous thing in the world. When we were on the curb outside
[02:02:13.320 --> 02:02:21.000]   arguing, he said, JJ Goldberg of the Jewish daily forward also is a vicious anti-Semite because he
[02:02:21.000 --> 02:02:25.320]   wrote something that explained the difference between Netanyahu and Ariel Sharon's positions
[02:02:25.320 --> 02:02:31.800]   on Iraq and Iran. In other words, Mark Dubious, Mark Dubowitz is very dubious. He is, uh, not a serious
[02:02:31.800 --> 02:02:38.440]   man. He's in a sense, not really a man as much as just a foreign agent representing a position on behalf
[02:02:38.440 --> 02:02:42.600]   of a foreign power. And as I said, in that debate, do you think, and I mean this, honestly,
[02:02:42.600 --> 02:02:48.120]   for anyone listening, you don't have to answer, but does anyone think that Mark Dubowitz really regrets
[02:02:48.120 --> 02:02:55.400]   that Americans died on September 11th because of what Israel was doing? He would hide behind,
[02:02:55.400 --> 02:03:01.080]   no, they hate us cause we're free. No, maybe he'd say they were mad about our presence in Saudi Arabia,
[02:03:01.080 --> 02:03:05.960]   but he would never say, yeah, but that's cause Martin Indyk said so. And that's because, and,
[02:03:05.960 --> 02:03:11.000]   and the Khanna massacre helped motivated Mohammed Atta. He just elide that point,
[02:03:11.000 --> 02:03:14.600]   just like all Israel lobbyists would, how could they justify, you know?
[02:03:14.600 --> 02:03:19.800]   I wish I knew the animosity you have from Mark Dubowitz. Cause I was part of my,
[02:03:19.800 --> 02:03:25.000]   I'm not very good at this, the moderator thing, but I was very confused by the animosity in the room.
[02:03:25.000 --> 02:03:27.800]   Well, and it's the dishonesty too. Even if I just met him that day,
[02:03:27.800 --> 02:03:33.080]   like everything out of his mouth was some kind of twisted fact. Like, yes, there was a Khobar tower
[02:03:33.080 --> 02:03:36.680]   attack, but you're going to blame that on the Ayatollah when it was Bin Laden that did that.
[02:03:36.680 --> 02:03:41.800]   And we all know that that's true. So don't sit here and try to give me some pro Israel,
[02:03:41.800 --> 02:03:47.800]   you know, my truth. There's only the truth. And Mark Dubowitz is not associated with it. He has an
[02:03:47.800 --> 02:03:52.840]   agenda. And, but you're right that I should have made that clear that what this is, is this is a
[02:03:52.840 --> 02:04:00.040]   foreign lobbyist trying to get America to serve a foreign nation. And I am the guy from America and
[02:04:00.040 --> 02:04:09.320]   Antiwar.com trying to fend him off. And look, and I, I, I accept too that I ain't so mature for a 49 year
[02:04:09.320 --> 02:04:14.920]   old, whatever 48. Then I was, I was a very immature 48 at the time, but I lose my temper very quickly
[02:04:14.920 --> 02:04:20.440]   when people lie. I just can't stand it. I just don't have time to listen to people being willfully
[02:04:20.440 --> 02:04:25.320]   dishonest to me or in front of me, you know? Yeah. And I'm glad we got a chance to clear that up.
[02:04:25.320 --> 02:04:31.240]   We're going to go hard and, and for as long as needed. Great. And yeah, I, no hard feelings at
[02:04:31.240 --> 02:04:35.800]   all, man. I'm glad we worked it out too. Do we, do we go to Iraq war two first?
[02:04:35.800 --> 02:04:39.000]   Well, let's see, wait, let's, let's stay on Bill Clinton in the nineties for a minute because
[02:04:39.000 --> 02:04:44.440]   you know, we're talking about the neocons got brought up in the, in the sense that they did
[02:04:44.440 --> 02:04:48.600]   help to encourage Iraq war one. Although I don't think there were the real, you know, kingpins
[02:04:48.600 --> 02:04:53.720]   behind it or whatever, in the way that they were in Iraq war two. Um, and then the doctrine of global
[02:04:53.720 --> 02:04:59.160]   dominance that Wolfowitz developed, you know, in 92, that became more or less the standard for foreign
[02:04:59.160 --> 02:05:05.480]   policy thought and through the nineties. Um, and then, but during the Clinton years, it's really
[02:05:05.480 --> 02:05:12.040]   important to mention that Bill Clinton backed the Mujahideen, even though they were already attacking us
[02:05:12.040 --> 02:05:18.760]   in the United States and American targets overseas. Bill Clinton kept backing them in Bosnia, Kosovo,
[02:05:18.760 --> 02:05:23.960]   and in Chechnya. And to a greater degree than I understood. Now, mostly this means working with
[02:05:23.960 --> 02:05:29.800]   the Saudis and the Brits to support them. And including bin Laden himself was seen by at least
[02:05:29.800 --> 02:05:37.800]   four credible journalists in Begovic's office, the president of Bosnia and Sarajevo in 1990, I guess,
[02:05:37.800 --> 02:05:44.840]   four. Um, and, and his men fought there and Bill Clinton knew it. And Richard Holbrook said we could
[02:05:44.840 --> 02:05:48.520]   have never won without their help and all these kinds of things. I've got all the sources in the
[02:05:48.520 --> 02:05:53.560]   latest book provoked. I go into much further detail about this, even then in the terror war book enough
[02:05:53.560 --> 02:05:59.800]   already. Um, and, and, and the same was true in Chechnya too. And essentially, and as we've seen,
[02:05:59.800 --> 02:06:03.240]   you know, this from just your own recent memory, right? That as we've seen
[02:06:03.800 --> 02:06:10.760]   in Syria as well, that as long as the bin Ladenites are killing Serbs or Russians or Shiites,
[02:06:10.760 --> 02:06:18.280]   then it's cool. And that's what America and Britain and Saudi use them for. And so even though their
[02:06:18.280 --> 02:06:24.280]   first attack in the United States was Rabbi Kahane in 1990, the leader of the Koch party, who's a very
[02:06:24.280 --> 02:06:30.520]   right wing Israeli rabbi who advocated for the extermination or expulsion of all Palestinians from
[02:06:30.520 --> 02:06:36.440]   all of historic Palestine and his party had been banned by the Israeli Supreme Court for being fascist
[02:06:36.440 --> 02:06:42.600]   and was banned from Israeli politics. But he was a radical rabbi lived in New York, I believe. And he was
[02:06:42.600 --> 02:06:47.800]   assassinated in 1990 by a guy who was part of Egyptian Islamic Jihad. Now this is, that was their first hit.
[02:06:47.800 --> 02:06:54.840]   In 92, they hit us at a hotel in Aden, Yemen. Then in 93, they did the first world trade center attack.
[02:06:54.840 --> 02:06:59.240]   Now, as we're dwelling on this one for a second, because Bill Clinton had just been present for a
[02:06:59.240 --> 02:07:05.960]   month and a week. It was the end of February, February 26, 1993. And the truck bomb, they parked
[02:07:05.960 --> 02:07:11.400]   it in the wrong place. It could have toppled one tower over into the other. It could have just that
[02:07:11.400 --> 02:07:17.480]   truck bomb without another one. If they had put it in the wrong place, it could have toppled one tower over
[02:07:17.480 --> 02:07:23.080]   into the other at five o'clock in the afternoon. Right. And so, and then from there into more and
[02:07:23.080 --> 02:07:28.920]   more towers, who knows, like there could have been tens and tens and tens of thousands of people killed.
[02:07:28.920 --> 02:07:34.600]   And it almost worked. And the thing is about that, a couple of things. First of all, the CIA had allowed
[02:07:34.600 --> 02:07:39.000]   these guys into the country when INS wanted to keep them out because they said, we know these guys,
[02:07:39.000 --> 02:07:42.600]   they're our friends from the Afghan war. We don't mind them and let them in. So they're all living in
[02:07:42.600 --> 02:07:49.960]   Brooklyn and dangerous terrorists. Then the second thing was that the FBI had a walk-in informant,
[02:07:49.960 --> 02:07:56.840]   a guy named Imad Salem, who was an Egyptian army intelligence officer, former one. And he had been
[02:07:56.840 --> 02:08:03.320]   recruited by them and he allowed them to recruit him to be the bomb maker. You can trust me. I'm a
[02:08:03.320 --> 02:08:08.680]   military guy. I can make the bomb. He said, then he went to the FBI, said, I've been recruited by some
[02:08:08.680 --> 02:08:14.920]   terrorists to make a bomb. And there were two agents who believed him, Floyd, uh, and Anticef,
[02:08:14.920 --> 02:08:21.400]   Nancy Floyd and John Anticef, where the agents work in the case. And the plan was they were going to use
[02:08:21.400 --> 02:08:27.960]   him to use an inert powder, make a fake bomb. And it'd be a perfect sting. But the thing is, their boss
[02:08:27.960 --> 02:08:33.000]   was a guy named Carson Dunbar. And he would not, he, in fact, demanded they cut his pay, the informant's
[02:08:33.000 --> 02:08:39.080]   pay from 500 to $300 a week and demanded he wear a wire on the floor of the mosque where he, you know,
[02:08:39.080 --> 02:08:42.600]   while he's staying, he's sleeping on the floor of the mosque with these guys. He can't wear a wire,
[02:08:42.600 --> 02:08:47.960]   right? So he ends up bugging out and says, I think the FBI is onto me and bugs out. Then they brought in
[02:08:47.960 --> 02:08:56.200]   Ramsey Youssef, the guy who built the bomb, the real bomb, the real terrorist who came in. And, uh, again,
[02:08:56.200 --> 02:09:02.120]   almost toppled one tower over the end of the other. Problem is a couple of things. Only six people died.
[02:09:02.120 --> 02:09:06.120]   That's a lot of people. If you're one of the six or the survivors of the six, right? I'm not saying
[02:09:06.120 --> 02:09:11.960]   that, but I'm saying in the imagination of the American people, it was kind of just not that
[02:09:11.960 --> 02:09:16.760]   big of a deal. And New York city is pretty far from here. And just people were not feeling it nearly as
[02:09:16.760 --> 02:09:24.120]   much as say, for example, both of them collapsing with 3000 people inside still. Right. So then also two
[02:09:24.120 --> 02:09:30.280]   days later, the ATF raided the branch Davidians and thus began a six weeks long siege of this religious
[02:09:30.280 --> 02:09:35.080]   group, a hundred miles up the road from here, who ultimately the FBI and the army Delta force
[02:09:35.080 --> 02:09:40.600]   massacred, uh, on April the 19th, 93. So the American people's attention was just completely
[02:09:40.600 --> 02:09:45.320]   diverted and Clinton's too. This is his whole first hundred days. It's all bogged down in Waco and this
[02:09:45.320 --> 02:09:52.280]   kind of thing. So, and who wants to learn a bunch of Arab names and all of this stuff. It just to the FBI
[02:09:52.280 --> 02:09:58.360]   agents, they didn't do a very good job of falling up and, and, and preventing the same group from
[02:09:58.360 --> 02:10:02.600]   carrying out things. Now they had, I think I don't really know enough about this. I need to go back and
[02:10:02.600 --> 02:10:06.920]   reread about the Holland tunnels plot, the UN building and all that. I think that was the setup where they
[02:10:06.920 --> 02:10:14.120]   were trying to get the rest of these guys in a sting basically on that, that part of the plot. Um, but, um,
[02:10:14.760 --> 02:10:22.280]   in 1995, the bin Ladenites attacked and killed Americans training the Saudi national guard.
[02:10:22.280 --> 02:10:33.000]   And in 1996, they blew up the Khobar towers in, um, Dharan Saudi Arabia. And that was a truck bombing that
[02:10:33.000 --> 02:10:42.440]   killed 19 American airmen who were stationed there to bomb Iraq. And that was who was the target. But then
[02:10:42.440 --> 02:10:47.560]   what happened was the Saudi kingdom in alliance with the corrupt criminal Louis free, of course,
[02:10:47.560 --> 02:10:53.080]   the director of the federal intelligence agency, uh, federal Bureau of investigation. Um, they who
[02:10:53.080 --> 02:10:59.400]   were in charge, not CIA, they had the, the mandate to treat all these, uh, Al Qaeda taxes crimes as they
[02:10:59.400 --> 02:11:06.120]   are crimes under federal code. So it was FBI took the lead at that time. And Louis free wanted to believe
[02:11:06.120 --> 02:11:13.880]   the story that somehow it was Iranian backed Shiite Saudi Hezbollah that had done the attack because of
[02:11:13.880 --> 02:11:17.240]   course, the Saudi monarchy hates their Shiite majority. And they just happened to live right
[02:11:17.240 --> 02:11:22.280]   on top of where all the oil is. And they didn't want to blame it on bin Laden who was, you know,
[02:11:22.280 --> 02:11:28.280]   adjacent to the Royal family and who they wanted to take care of themselves, et cetera. And so they blamed
[02:11:28.280 --> 02:11:34.920]   it on Iran, but it was bin Laden who did it. And the FBI agent in charge, John O'Neill knew that it was
[02:11:34.920 --> 02:11:40.360]   them who did it. His enemy, Michael Scheuer from the CIA also knew that it was bin Laden who did it.
[02:11:40.360 --> 02:11:47.720]   And bin Laden himself bragged about it to, uh, uh, uh, Abdel Bari Atwan, the editor of Al Quds al-Arabi in
[02:11:47.720 --> 02:11:53.560]   London and named the names of the martyrs and celebrated them and said, that's exactly right.
[02:11:53.560 --> 02:11:59.080]   Are you listening now? And all of these things about it, it was Al Qaeda that did that. Then in 1998,
[02:11:59.080 --> 02:12:06.200]   they hit the African embassies and in, um, 2000, they hit the USS Cole. They had bailed on an attack
[02:12:06.200 --> 02:12:10.840]   against the USS, the Sullivan's, uh, the dinghy sank, and then they hit the coal, killed 17 sailors
