
[00:00:00.040 --> 00:00:09.480]   ghee
[00:24:39.940 --> 00:24:39.940]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:39.940 --> 00:24:39.940]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:39.940 --> 00:24:39.940]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:39.940 --> 00:24:39.940]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:39.940 --> 00:24:39.940]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:39.940 --> 00:24:39.940]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:39.940 --> 00:24:39.940]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:39.940 --> 00:24:39.940]   The law abiding gun owners are the most vulnerable to gun violence.
[00:24:39.940 --> 00:25:09.960]   the law abiding gun owners are the most vulnerable to gun violence.
[00:25:09.960 --> 00:25:09.960]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:09.960 --> 00:25:09.960]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:09.960 --> 00:25:09.960]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:09.960 --> 00:25:09.960]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:09.960 --> 00:25:09.960]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:09.960 --> 00:25:09.960]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:09.960 --> 00:25:09.960]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:09.980 --> 00:25:39.980]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:39.980 --> 00:25:39.980]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:39.980 --> 00:25:39.980]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:39.980 --> 00:25:39.980]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:39.980 --> 00:25:39.980]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:39.980 --> 00:25:39.980]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:39.980 --> 00:25:39.980]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:39.980 --> 00:25:39.980]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:39.980 --> 00:25:39.980]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:39.980 --> 00:25:39.980]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:39.980 --> 00:25:39.980]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:39.980 --> 00:25:39.980]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:39.980 --> 00:25:39.980]   The law abiding gun owners are the most vulnerable to gun violence.
[00:25:39.980 --> 00:26:10.000]   the law abiding gun owners are the most vulnerable to gun violence.
[00:26:10.000 --> 00:26:10.000]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:10.000 --> 00:26:10.000]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:10.000 --> 00:26:10.000]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:10.000 --> 00:26:10.000]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:10.000 --> 00:26:10.000]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:10.000 --> 00:26:10.000]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:10.000 --> 00:26:10.000]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:10.020 --> 00:26:40.020]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:40.020 --> 00:26:40.020]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:40.020 --> 00:26:40.020]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:40.020 --> 00:26:40.020]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:40.020 --> 00:26:40.020]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:40.020 --> 00:26:40.020]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:40.020 --> 00:26:40.020]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:40.020 --> 00:26:40.020]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:40.020 --> 00:26:40.020]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:40.020 --> 00:26:40.020]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:40.020 --> 00:26:40.020]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:40.020 --> 00:26:40.020]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:40.020 --> 00:26:40.020]   The law abiding gun owners are the most vulnerable to gun violence.
[00:26:40.020 --> 00:27:10.040]   the law abiding gun owners are the most vulnerable to gun violence.
[00:27:10.040 --> 00:27:10.040]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:10.040 --> 00:27:10.040]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:10.040 --> 00:27:10.040]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:10.040 --> 00:27:10.040]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:10.040 --> 00:27:10.040]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:10.040 --> 00:27:10.040]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:10.040 --> 00:27:10.040]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:10.040 --> 00:27:10.040]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:10.060 --> 00:27:40.060]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:40.060 --> 00:27:40.060]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:40.060 --> 00:27:40.060]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:40.060 --> 00:27:40.060]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:40.060 --> 00:27:40.060]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:40.060 --> 00:27:40.060]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:40.060 --> 00:27:40.060]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:40.060 --> 00:27:40.060]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:40.060 --> 00:27:40.060]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:40.060 --> 00:27:40.060]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:40.060 --> 00:27:40.060]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:40.060 --> 00:27:40.060]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:40.060 --> 00:27:40.060]   The law abiding gun owners are the most vulnerable to gun violence.
[00:27:40.060 --> 00:28:10.080]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:10.080 --> 00:28:10.080]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:10.080 --> 00:28:10.080]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:10.080 --> 00:28:10.080]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:10.080 --> 00:28:10.080]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:10.080 --> 00:28:10.080]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:10.080 --> 00:28:10.080]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:10.080 --> 00:28:10.080]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:10.080 --> 00:28:10.080]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:10.100 --> 00:28:40.100]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:40.100 --> 00:28:40.100]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:40.100 --> 00:28:40.100]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:40.100 --> 00:28:40.100]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:40.100 --> 00:28:40.100]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:40.100 --> 00:28:40.100]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:40.100 --> 00:28:40.100]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:40.100 --> 00:28:40.100]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:40.100 --> 00:28:40.100]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:40.100 --> 00:28:40.100]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:40.100 --> 00:28:40.100]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:40.100 --> 00:28:40.100]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:40.100 --> 00:28:40.100]   The law abiding gun owners are the most vulnerable to gun violence.
[00:28:40.100 --> 00:29:10.120]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:10.120 --> 00:29:10.120]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:10.120 --> 00:29:10.120]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:10.120 --> 00:29:10.120]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:10.120 --> 00:29:10.120]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:10.120 --> 00:29:10.120]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:10.120 --> 00:29:10.120]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:10.120 --> 00:29:10.120]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:10.120 --> 00:29:10.120]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:10.140 --> 00:29:40.140]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:40.140 --> 00:29:40.140]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:40.140 --> 00:29:40.140]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:40.140 --> 00:29:40.140]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:40.140 --> 00:29:40.140]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:40.140 --> 00:29:40.140]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:40.140 --> 00:29:40.140]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:40.140 --> 00:29:40.140]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:40.140 --> 00:29:40.140]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:40.140 --> 00:29:40.140]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:40.140 --> 00:29:40.140]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:40.140 --> 00:29:40.140]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:40.140 --> 00:29:40.140]   The law abiding gun owners are the most vulnerable to gun violence.
[00:29:40.140 --> 00:30:10.160]   the law abiding gun owners are the most vulnerable to gun violence.
[00:30:10.160 --> 00:30:10.160]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:10.160 --> 00:30:10.160]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:10.160 --> 00:30:10.160]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:10.160 --> 00:30:10.160]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:10.160 --> 00:30:10.160]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:10.160 --> 00:30:10.160]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:10.160 --> 00:30:10.160]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:10.180 --> 00:30:40.180]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:40.180 --> 00:30:40.180]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:40.180 --> 00:30:40.180]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:40.180 --> 00:30:40.180]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:40.180 --> 00:30:40.180]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:40.180 --> 00:30:40.180]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:40.180 --> 00:30:40.180]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:40.180 --> 00:30:40.180]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:40.180 --> 00:30:40.180]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:40.180 --> 00:30:40.180]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:40.180 --> 00:30:40.180]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:40.180 --> 00:30:40.180]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:40.180 --> 00:30:40.180]   The law abiding gun owners are the most vulnerable to gun violence.
[00:30:40.180 --> 00:31:10.200]   the law abiding gun owners are the most vulnerable to gun violence.
[00:31:10.200 --> 00:31:10.200]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:10.200 --> 00:31:10.200]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:10.200 --> 00:31:10.200]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:10.200 --> 00:31:10.200]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:10.200 --> 00:31:10.200]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:10.200 --> 00:31:10.200]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:10.200 --> 00:31:10.200]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:10.200 --> 00:31:10.200]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:10.220 --> 00:31:40.220]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:40.220 --> 00:31:40.220]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:40.220 --> 00:31:40.220]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:40.220 --> 00:31:40.220]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:40.220 --> 00:31:40.220]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:40.220 --> 00:31:40.220]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:40.220 --> 00:31:40.220]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:40.220 --> 00:31:40.220]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:40.220 --> 00:31:40.220]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:40.220 --> 00:31:40.220]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:40.220 --> 00:31:40.220]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:40.220 --> 00:31:40.220]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:40.220 --> 00:31:40.220]   The law abiding gun owners are the most vulnerable to gun violence.
[00:31:40.260 --> 00:32:10.240]   the law abiding gun owners are the most vulnerable to gun violence.
[00:32:10.240 --> 00:32:10.240]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:10.240 --> 00:32:10.240]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:10.240 --> 00:32:10.240]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:10.240 --> 00:32:10.240]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:10.240 --> 00:32:10.240]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:10.240 --> 00:32:10.240]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:10.240 --> 00:32:10.240]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:10.260 --> 00:32:40.260]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:40.260 --> 00:32:40.260]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:40.260 --> 00:32:40.260]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:40.260 --> 00:32:40.260]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:40.260 --> 00:32:40.260]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:40.260 --> 00:32:40.260]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:40.260 --> 00:32:40.260]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:40.260 --> 00:32:40.260]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:40.260 --> 00:32:40.260]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:40.260 --> 00:32:40.260]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:40.260 --> 00:32:40.260]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:40.260 --> 00:32:40.260]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:40.260 --> 00:32:40.260]   The law abiding gun owners are the most vulnerable to gun violence.
[00:32:40.260 --> 00:33:10.280]   the law abiding gun owners are the most vulnerable to gun violence.
[00:33:10.280 --> 00:33:10.280]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:10.280 --> 00:33:10.280]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:10.280 --> 00:33:10.280]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:10.280 --> 00:33:10.280]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:10.280 --> 00:33:10.280]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:10.280 --> 00:33:10.280]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:10.280 --> 00:33:10.280]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:10.280 --> 00:33:10.280]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:10.300 --> 00:33:40.300]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:40.300 --> 00:33:40.300]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:40.300 --> 00:33:40.300]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:40.300 --> 00:33:40.300]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:40.300 --> 00:33:40.300]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:40.300 --> 00:33:40.300]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:40.300 --> 00:33:40.300]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:40.300 --> 00:33:40.300]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:40.300 --> 00:33:40.300]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:40.300 --> 00:33:40.300]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:40.300 --> 00:33:40.300]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:40.300 --> 00:33:40.300]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:40.300 --> 00:33:40.300]   The law abiding gun owners are the most vulnerable to gun violence.
[00:33:40.340 --> 00:34:10.320]   the law abiding gun owners are the most vulnerable to gun violence.
[00:34:10.320 --> 00:34:10.320]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:10.320 --> 00:34:10.320]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:10.320 --> 00:34:10.320]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:10.320 --> 00:34:10.320]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:10.320 --> 00:34:10.320]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:10.320 --> 00:34:10.320]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:10.340 --> 00:34:40.340]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:40.340 --> 00:34:40.340]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:40.340 --> 00:34:40.340]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:40.340 --> 00:34:40.340]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:40.340 --> 00:34:40.340]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:40.340 --> 00:34:40.340]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:40.340 --> 00:34:40.340]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:40.340 --> 00:34:40.340]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:40.340 --> 00:34:40.340]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:40.340 --> 00:34:40.340]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:40.340 --> 00:34:40.340]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:40.340 --> 00:34:40.340]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:40.340 --> 00:34:40.340]   The law abiding gun owners are the most vulnerable to gun violence.
[00:34:40.380 --> 00:35:10.360]   the law abiding gun owners are the most vulnerable to gun violence.
[00:35:10.360 --> 00:35:10.360]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:10.360 --> 00:35:10.360]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:10.360 --> 00:35:10.360]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:10.360 --> 00:35:10.360]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:10.360 --> 00:35:10.360]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:10.360 --> 00:35:10.360]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:10.360 --> 00:35:10.360]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:10.380 --> 00:35:40.380]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:40.380 --> 00:35:40.380]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:40.380 --> 00:35:40.380]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:40.380 --> 00:35:40.380]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:40.380 --> 00:35:40.380]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:40.380 --> 00:35:40.380]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:40.380 --> 00:35:40.380]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:40.380 --> 00:35:40.380]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:40.380 --> 00:35:40.380]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:40.380 --> 00:35:40.380]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:40.380 --> 00:35:40.380]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:40.380 --> 00:35:40.380]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:40.380 --> 00:35:40.380]   The law abiding gun owners are the most vulnerable to gun violence.
[00:35:40.380 --> 00:36:10.400]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:10.400 --> 00:36:10.400]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:10.400 --> 00:36:10.400]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:10.400 --> 00:36:10.400]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:10.400 --> 00:36:10.400]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:10.400 --> 00:36:10.400]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:10.400 --> 00:36:10.400]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:10.400 --> 00:36:10.400]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:10.400 --> 00:36:10.400]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:10.420 --> 00:36:40.420]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:40.420 --> 00:36:40.420]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:40.420 --> 00:36:40.420]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:40.420 --> 00:36:40.420]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:40.420 --> 00:36:40.420]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:40.420 --> 00:36:40.420]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:40.420 --> 00:36:40.420]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:40.420 --> 00:36:40.420]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:40.420 --> 00:36:40.420]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:40.420 --> 00:36:40.420]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:40.420 --> 00:36:40.420]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:40.420 --> 00:36:40.420]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:40.420 --> 00:36:40.420]   The law abiding gun owners are the most vulnerable to gun violence.
[00:36:40.420 --> 00:37:10.440]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:10.440 --> 00:37:10.440]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:10.440 --> 00:37:10.440]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:10.440 --> 00:37:10.440]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:10.440 --> 00:37:10.440]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:10.440 --> 00:37:10.440]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:10.440 --> 00:37:10.440]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:10.440 --> 00:37:10.440]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:10.460 --> 00:37:40.460]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:40.460 --> 00:37:40.460]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:40.460 --> 00:37:40.460]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:40.460 --> 00:37:40.460]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:40.460 --> 00:37:40.460]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:40.460 --> 00:37:40.460]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:40.460 --> 00:37:40.460]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:40.460 --> 00:37:40.460]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:40.460 --> 00:37:40.460]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:40.460 --> 00:37:40.460]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:40.460 --> 00:37:40.460]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:40.460 --> 00:37:40.460]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:40.460 --> 00:37:40.460]   The law abiding gun owners are the most vulnerable to gun violence.
[00:37:40.460 --> 00:38:10.480]   The law abiding gun owners are the most vulnerable to gun violence.

