
[00:00:00.000 --> 00:00:05.400]   Welcome to Huberman Lab Essentials, where we revisit past episodes for the most potent and
[00:28:32.200 --> 00:28:48.600]   So the first step is to decouple that and to realize that stress is a neutral, right, yet-to-be-determined effect of experiencing or anticipating adversity in your goal-related efforts.
[00:28:48.600 --> 00:28:50.460]   So let me unpack that a little more.
[00:28:50.460 --> 00:28:55.300]   You can be in the midst of it, or you could just be worried about something happening.
[00:28:55.300 --> 00:28:56.360]   That's one aspect.
[00:28:56.360 --> 00:29:01.400]   Second is adversity or challenge, so something that's working against you.
[00:29:01.400 --> 00:29:06.060]   But the third piece is critical, and that is in your goal-related efforts.
[00:29:06.060 --> 00:29:14.080]   What that means is that we only stress about things we care about, and we don't stress about things we don't care about.
[00:29:14.080 --> 00:29:26.220]   So then the question becomes, okay, if that's true, how can I better utilize or leverage or respond to the inevitable stresses that we're going to experience?
[00:29:26.220 --> 00:29:31.480]   We've developed a three-step approach to adopting a stress-enhancing mindset.
[00:29:31.480 --> 00:29:36.680]   And briefly, it's the first step is to just acknowledge that you're stressed.
[00:29:36.680 --> 00:29:43.440]   The second step is to welcome it, because inherently in that stress is something you care about.
[00:29:43.440 --> 00:29:55.680]   And then the third step is to utilize the stress response to achieve the thing that you care about, not spend your time, money, effort, energy trying to get rid of the stress.
[00:29:55.820 --> 00:29:56.600]   Does that make sense?
[00:29:56.600 --> 00:29:58.140]   Makes sense, and I love it.
[00:29:58.140 --> 00:30:16.000]   As somebody whose laboratory studies the physiological effects of stress, the effects that impress me the most are, for instance, the narrowing of visual attention that then drives a capacity to parse time more finely, which then drives the capacity to process information faster.
[00:30:16.240 --> 00:30:17.240]   It's almost like a superpower.
[00:30:17.240 --> 00:30:17.840]   Right.
[00:30:17.840 --> 00:30:23.100]   And what I like so much about that framework is that the stress response is very generic.
[00:30:23.100 --> 00:30:27.180]   Unlike the relaxation response, we don't actually have to train up the stress response.
[00:30:27.180 --> 00:30:29.460]   So we all kind of get this as a freebie.
[00:30:29.460 --> 00:30:32.900]   And then it sounds like it's a question of what we end up doing with that.
[00:30:32.900 --> 00:30:33.260]   Right.
[00:30:33.260 --> 00:30:34.680]   Treat yourself like a scientist.
[00:30:34.680 --> 00:30:36.020]   Look at your life.
[00:30:36.020 --> 00:30:37.100]   Look at your mindsets.
[00:30:37.100 --> 00:30:38.740]   See what's serving you.
[00:30:39.100 --> 00:30:40.000]   See what isn't.
[00:30:40.000 --> 00:30:46.840]   Find more useful, adaptive, and empowering mindsets and live by those.
[00:30:46.840 --> 00:30:51.080]   What are the mindsets that you try and adopt on a regular basis?
[00:30:51.080 --> 00:30:58.440]   The guiding light for me has been an undercurrent of understanding that our mindsets matter.
[00:30:58.540 --> 00:31:04.920]   I think I got that very clearly and deeply as a child, both through my experiences as an athlete.
[00:31:04.920 --> 00:31:08.240]   You know, I know many of your listeners are athletes.
[00:31:08.240 --> 00:31:18.660]   Any athlete knows that you can be the same physical being from one day to the next, one moment to the next, and perform completely differently just depending on what you're thinking.
[00:31:18.660 --> 00:31:21.220]   I was a gymnast growing up.
[00:31:21.220 --> 00:31:27.720]   And if you can't visualize, if you can't see something in your mind, you have no chance when you get up there on the balance beam.
[00:31:27.880 --> 00:31:28.020]   Right.
[00:31:28.020 --> 00:31:31.840]   And I also, my father was a martial artist, a teacher of meditation.
[00:31:31.840 --> 00:31:37.340]   So this kind of mind-body work was baked into me from an early age.
[00:31:37.340 --> 00:31:48.640]   And I think what I've done recently is to try to understand it scientifically and more importantly, to figure out how can we, how can we do better with this?
[00:31:48.640 --> 00:31:48.840]   Right.
[00:31:48.840 --> 00:31:55.660]   How can we, you know, we're all talking about AI taking over the world and technology, this and all the personalized medicine, that.
[00:31:55.720 --> 00:32:11.280]   And it's like, we have done so little, relatively so little with the human resource, our human brains, that the, you know, the potential for which is so great.
[00:32:11.280 --> 00:32:14.980]   And we've done almost nothing, you know, take the placebo effect.
[00:32:14.980 --> 00:32:17.480]   We know a lot about what it is.
[00:32:17.480 --> 00:32:22.520]   We've done almost nothing to leverage that in medicine consciously and deliberately.
[00:32:22.980 --> 00:32:34.640]   So my, what keeps me going, what gets me through the hard times is just that burning question of what is going on here and what more can I do with the power of my mind?
[00:32:35.180 --> 00:32:39.820]   Well, I, and millions of other people are so grateful that you do this work.
[00:32:39.820 --> 00:32:41.640]   It's so important and it's truly unique.
[00:32:41.640 --> 00:32:46.100]   Where can people find you, ask questions, find your papers, learn more?
[00:32:46.100 --> 00:32:46.580]   Yeah.
[00:32:46.580 --> 00:32:56.120]   All our papers and materials and interventions are housed on our website, mbl.stanford.edu.
[00:32:56.540 --> 00:33:04.020]   We also have a link there to, that takes you to Stanford SPARC, which stands for Social Psychological Answers to Real World Questions.
[00:33:04.020 --> 00:33:15.360]   We have a lot of toolkits on that website, including a toolkit for this rethink stress approach of acknowledging, welcoming, and utilizing your stress.
[00:33:15.360 --> 00:33:18.740]   We will provide links to all of those for our listeners and viewers.
[00:33:18.740 --> 00:33:25.100]   Thank you so much for taking time out of your exceedingly busy schedule to talk to us about these ideas.
[00:33:25.100 --> 00:33:26.020]   I learned so much.
[00:33:26.020 --> 00:33:36.420]   I'm going to definitely think about what is the effect of my mindset about blank in every category of life and really just on behalf of everybody and myself.
[00:33:36.420 --> 00:33:37.320]   Thank you so much.
[00:33:37.320 --> 00:33:38.600]   Yeah, thank you.
[00:33:38.600 --> 00:33:45.600]   And I guess I would just want to end by saying, I think this work is really the tip of the iceberg of what can and should be done.
[00:33:45.600 --> 00:33:58.400]   And so I really invite your, you, your listeners and all, you know, anybody who's inspired by this work, if they want to share stories or want to partner on a collaboration to please reach out.
[00:33:58.400 --> 00:33:58.800]   Great.
[00:33:58.800 --> 00:34:01.940]   Well, and the comment section on YouTube is a great place to do that as well.
[00:34:01.940 --> 00:34:03.840]   You will hear from them.
[00:34:03.840 --> 00:34:04.280]   Great.
[00:34:04.280 --> 00:34:04.800]   All right.
[00:34:04.800 --> 00:34:06.440]   Thank you so much, Allie.
[00:34:06.440 --> 00:34:07.120]   Thank you.
[00:34:07.120 --> 00:34:08.120]   you.
[00:34:08.120 --> 00:34:08.620]   you
[00:34:08.620 --> 00:34:09.120]   you
[00:34:09.120 --> 00:34:09.620]   you
[00:34:09.620 --> 00:34:11.680]   you

