
[00:00:00.000 --> 00:00:01.720]   Stocks versus real estate.
[00:18:20.240 --> 00:18:24.400]   Sometimes that can be a situation where you're in a little bit more of a
[00:18:24.400 --> 00:18:29.440]   situation where you might not have the options.
[00:18:29.440 --> 00:18:34.040]   Whereas in regard to stocks and the way we look at stocks,
[00:18:34.040 --> 00:18:37.120]   you know, we're buying we're buying shares into businesses
[00:18:37.120 --> 00:18:40.720]   where we feel like these businesses have the opportunity
[00:18:40.720 --> 00:18:44.800]   to perform over the long haul, over over 10, 20 years,
[00:18:44.800 --> 00:18:47.160]   hopefully much longer than that.
[00:18:47.520 --> 00:18:51.000]   And so I think in regard to diversification,
[00:18:51.000 --> 00:18:55.600]   making sure you put yourself in a situation where you don't own assets,
[00:18:55.600 --> 00:18:59.240]   where you feel like you need to sell anything. Right.
[00:18:59.240 --> 00:19:00.880]   That that's a big difference.
[00:19:00.880 --> 00:19:03.760]   I mean, that that that that can really make a big difference
[00:19:03.760 --> 00:19:06.760]   in how you view your portfolio
[00:19:06.760 --> 00:19:10.320]   and in ultimately the the allocation there.
[00:19:10.320 --> 00:19:13.480]   The stock guys, Matt, Jason, you talked about how you can buy an index fund
[00:19:13.480 --> 00:19:18.120]   and have access to lots and lots of stocks in a very simple vehicle.
[00:19:18.120 --> 00:19:22.320]   Scott, Dave, when it comes to real estate, how can you diversify
[00:19:22.320 --> 00:19:26.480]   without having a massive amount of capital to get going and buy lots of properties?
[00:19:26.480 --> 00:19:28.640]   It feels like that would be a huge barrier
[00:19:28.640 --> 00:19:31.080]   to entry to diversification for the average person.
[00:19:31.080 --> 00:19:34.200]   So when I got started in real estate, I didn't diversify. Right.
[00:19:34.200 --> 00:19:37.240]   One duplex was five or six times my annual income.
[00:19:37.240 --> 00:19:42.680]   I was highly levered and concentrated on a single asset in a single market.
[00:19:43.080 --> 00:19:46.680]   And all of my properties today that I own and operate
[00:19:46.680 --> 00:19:49.080]   personally are in the Denver metro area.
[00:19:49.080 --> 00:19:52.840]   So I'm making I not have a diversification in my real estate portfolio.
[00:19:52.840 --> 00:19:57.200]   I'm highly my returns will be highly correlated with the Denver metro market.
[00:19:57.200 --> 00:20:01.120]   And I want to chime in on the last point here around, you know, risk here.
[00:20:01.120 --> 00:20:05.040]   Difference between stocks and real estate is that the stock can never force you
[00:20:05.040 --> 00:20:06.560]   to sell. Right.
[00:20:06.560 --> 00:20:09.080]   Like something like your personal life could force you to sell.
[00:20:09.080 --> 00:20:12.360]   But in real estate, it absolutely can force you to sell.
[00:20:12.640 --> 00:20:15.920]   People who do not have reserves set aside, do not produce cash flow
[00:20:15.920 --> 00:20:18.240]   and have some sort of problem in their portfolio.
[00:20:18.240 --> 00:20:20.240]   They call this a disaster.
[00:20:20.240 --> 00:20:23.520]   Investors who are well-capitalized call it a capital expenditure.
[00:20:23.520 --> 00:20:25.280]   And you want to be on.
[00:20:25.280 --> 00:20:27.760]   There's a clear side of that equation that you want to be on
[00:20:27.760 --> 00:20:29.680]   if you're in the real estate investing world.
[00:20:29.680 --> 00:20:32.760]   And so, look, my my portfolio is a highly concentrated,
[00:20:32.760 --> 00:20:36.760]   not diversified investment and bet on long term appreciation
[00:20:36.760 --> 00:20:40.520]   in U.S. housing prices and rents and specifically concentrated
[00:20:40.520 --> 00:20:43.840]   on Denver, Colorado prices and rents.
[00:20:43.840 --> 00:20:48.280]   So it is absolutely in the way I do it and the way that most real estate
[00:20:48.280 --> 00:20:51.000]   investors in this country do it, at least in the residential space.
[00:20:51.000 --> 00:20:53.440]   They're not in REITs or these other types of commercial assets.
[00:20:53.440 --> 00:20:56.840]   It is absolutely you're giving up some of that diversification
[00:20:56.840 --> 00:20:59.280]   across all these different asset classes for a concentrated bet.
[00:20:59.280 --> 00:21:00.480]   Matt, I saw you had a follow up.
[00:21:00.480 --> 00:21:02.360]   I just well, let me let me.
[00:21:02.360 --> 00:21:04.440]   Scott, here's throwing a bone to the stock investing guys.
[00:21:04.440 --> 00:21:07.400]   Let me throw a bone back and say, you know, the one advantage
[00:21:07.400 --> 00:21:09.720]   of the big advantage of real estate, even though you're super concentrated,
[00:21:09.720 --> 00:21:13.440]   is that those those Denver properties aren't getting priced or repriced every day.
[00:21:13.440 --> 00:21:16.840]   One of the things we fight against here at the Motley Fool and just stock
[00:21:16.840 --> 00:21:19.720]   market investors in general is that they're seeing the value
[00:21:19.720 --> 00:21:21.760]   of their portfolio change on a minute to minute basis.
[00:21:21.760 --> 00:21:25.120]   Stocks going up and down, you know, minute to minute, day to day,
[00:21:25.120 --> 00:21:28.040]   sometimes with big movements, especially during earnings season
[00:21:28.040 --> 00:21:29.720]   and other periods of time.
[00:21:29.720 --> 00:21:31.240]   And that's a big challenge.
[00:21:31.240 --> 00:21:33.960]   Getting some of the things Jason said was being being forced to sell.
[00:21:33.960 --> 00:21:37.640]   We deal with a lot of more emotional roller coasters here on the stock side.
[00:21:38.520 --> 00:21:41.040]   I love the fact that real estate is not repriced every day,
[00:21:41.040 --> 00:21:42.400]   so you can make your own decision.
[00:21:42.400 --> 00:21:46.040]   I think Dave said that, which is you can time your exit there with with lots
[00:21:46.040 --> 00:21:49.800]   of foresight, stock market, you know, can push a lot of people out quickly
[00:21:49.800 --> 00:21:53.440]   because they just get they see their portfolio down 20, 30% during a bear market.
[00:21:53.440 --> 00:21:55.600]   They see the headlines in the news about recession
[00:21:55.600 --> 00:21:57.400]   and all these bad things that are going to happen.
[00:21:57.400 --> 00:21:59.000]   And it can it can cause people to panic.
[00:21:59.000 --> 00:22:01.840]   And the fact that they can see their stocks and all the red in their portfolio
[00:22:01.840 --> 00:22:03.760]   and it can make them make an emotional decision.
[00:22:03.760 --> 00:22:07.800]   So I like the sort of pacifying
[00:22:07.800 --> 00:22:11.560]   patience and generating nature of real estate versus the stock market.
[00:22:11.560 --> 00:22:13.120]   Now, Scott just mentioned REITs.
[00:22:13.120 --> 00:22:15.760]   Jason, no one's made this case yet.
[00:22:15.760 --> 00:22:16.440]   I'm curious.
[00:22:16.440 --> 00:22:20.160]   Couldn't you just invest in real estate through your stock brokerage account
[00:22:20.160 --> 00:22:22.400]   and not have to worry about any of the other work?
[00:22:22.400 --> 00:22:23.600]   You absolutely can.
[00:22:23.600 --> 00:22:25.480]   And I think that's a great way to do it, actually.
[00:22:25.480 --> 00:22:30.200]   I think, honestly, that's that's probably the best way for most people
[00:22:30.520 --> 00:22:33.960]   to get real estate exposure is to rather than,
[00:22:33.960 --> 00:22:37.640]   you know, buying and selling properties or trying to become landlords.
[00:22:37.640 --> 00:22:41.240]   I mean, there are plenty of opportunities out there and in things like REITs,
[00:22:41.240 --> 00:22:45.800]   real estate investment trusts where you can you can invest in real estate
[00:22:45.800 --> 00:22:49.400]   without necessarily having to have that direct exposure.
[00:22:49.400 --> 00:22:52.600]   That direct exposure in real estate is just really difficult. Right.
[00:22:52.600 --> 00:22:55.160]   I mean, I think we can all agree that one of the most
[00:22:55.160 --> 00:22:58.800]   one of those difficult parts about investing in real estate,
[00:22:58.800 --> 00:23:02.400]   it's it's sort of the it's it's the getting into it, right.
[00:23:02.400 --> 00:23:03.120]   It's it's there.
[00:23:03.120 --> 00:23:07.440]   There are barriers to entry in just needing the capital to get in there.
[00:23:07.440 --> 00:23:11.440]   And that's what real estate investment trusts and things like that
[00:23:11.440 --> 00:23:14.600]   helped to break down.
[00:23:14.600 --> 00:23:18.200]   And so I think in regard to investing in real estate,
[00:23:18.200 --> 00:23:22.440]   real estate investment trusts represent a terrific opportunity for investors.
[00:23:22.440 --> 00:23:25.400]   If that's your thing, right.
[00:23:25.400 --> 00:23:30.880]   If you're invested, if you're interested in that real estate opportunity.
[00:23:30.880 --> 00:23:34.160]   OK, Scott, Dave, Jason just said REITs.
[00:23:34.160 --> 00:23:37.080]   Great way for people to get started in real estate.
[00:23:37.080 --> 00:23:40.120]   Completely different from the the path you laid out.
[00:23:40.120 --> 00:23:40.840]   What do you think?
[00:23:40.840 --> 00:23:43.960]   Look, I think I think that rental real estate that I directly own
[00:23:43.960 --> 00:23:46.280]   and operate has the advantage to give me that leverage.
[00:23:46.280 --> 00:23:49.680]   But it also gives me tax advantaged cash flow,
[00:23:49.680 --> 00:23:51.720]   which to me is super important.
[00:23:51.720 --> 00:23:55.760]   And index funds of REITs or stocks really just don't produce
[00:23:55.760 --> 00:23:59.840]   the same levels of cash flow that I believe I can get from rental real estate.
[00:23:59.840 --> 00:24:03.840]   And my goal in all of this is early financial freedom.
[00:24:03.840 --> 00:24:06.160]   Everybody has different goals when it comes to investing.
[00:24:06.160 --> 00:24:09.960]   But I I can't like I'm not going to sell off
[00:24:09.960 --> 00:24:15.160]   chunks of equity in my stock or REIT portfolio to fund my lifestyle.
[00:24:15.160 --> 00:24:19.560]   Like mentally, I just will not make that leap in my mind as a, you know,
[00:24:20.120 --> 00:24:22.560]   a guy in my 30s, a long time horizon ahead.
[00:24:22.560 --> 00:24:26.320]   I will spend a chunk of my cash flow
[00:24:26.320 --> 00:24:29.000]   that is being pulled off by my my portfolio.
[00:24:29.000 --> 00:24:32.440]   And to me, like, that's the that's the trump card for real estate
[00:24:32.440 --> 00:24:35.640]   in my portfolio at this point in my life for that.
[00:24:35.640 --> 00:24:38.560]   And why I like it a lot is because it offers that opportunity.
[00:24:38.560 --> 00:24:42.200]   And I feel like it's much harder to do that without dramatic trade
[00:24:42.200 --> 00:24:45.320]   offs in the equities markets at the highest level.
[00:24:45.320 --> 00:24:48.840]   One other thing I wanted to talk about and one benefit to real estate
[00:24:48.840 --> 00:24:53.120]   that we haven't even discussed is this concept of value add investing,
[00:24:53.120 --> 00:24:56.040]   which isn't for newbie investors necessarily.
[00:24:56.040 --> 00:24:59.520]   But this is similar to the concept of flipping houses.
[00:24:59.520 --> 00:25:02.640]   But you can do this with long term rental investing as well.
[00:25:02.640 --> 00:25:06.840]   When you buy a property, you fix it up and you're able to drive up
[00:25:06.840 --> 00:25:09.880]   the value of that property directly,
[00:25:09.880 --> 00:25:14.600]   ideally by more than what you put in to fix up that property.
[00:25:14.600 --> 00:25:16.880]   And that's just not something that you could do with REITs.
[00:25:16.880 --> 00:25:18.640]   It's not something that you can do with equity.
[00:25:18.640 --> 00:25:21.360]   If you're an experienced, good real estate investor,
[00:25:21.360 --> 00:25:26.280]   you have more direct control over driving your own profits
[00:25:26.280 --> 00:25:29.920]   than than the stock market or REITs, because they're just inherently more passive
[00:25:29.920 --> 00:25:33.440]   and you don't really have a say in the operations of those businesses.
[00:25:33.440 --> 00:25:34.720]   How much time does that take?
[00:25:34.720 --> 00:25:35.680]   Well, it depends.
[00:25:35.680 --> 00:25:41.000]   I mean, you can go everywhere from a, you know, down to the studs renovation.
[00:25:41.000 --> 00:25:42.360]   I've never done that myself.
[00:25:42.360 --> 00:25:46.280]   I have a full time job, so I would not take on a project like that.
[00:25:46.280 --> 00:25:49.520]   But I do what they call cosmetic upgrades,
[00:25:49.520 --> 00:25:53.280]   which are, you know, paints, floors, renovating kitchens and bathrooms.
[00:25:53.280 --> 00:25:57.600]   For me, maybe takes two or three hours a week.
[00:25:57.600 --> 00:26:01.000]   If I was doing something like that for the contractor, I pay to do it.
[00:26:01.000 --> 00:26:04.240]   I hope they're working full time on it, but sometimes I'm not sure.
[00:26:04.240 --> 00:26:06.400]   Yeah, I think the term is semi passive.
[00:26:06.400 --> 00:26:09.640]   Yeah, I think about cost basis and we've got to include our time in there.
[00:26:09.640 --> 00:26:10.480]   I know. I know.
[00:26:10.480 --> 00:26:12.680]   I know none of our financial statements often do.
[00:26:12.680 --> 00:26:17.120]   But Matt Jason, how much time are you spending maintaining your stock portfolio?
[00:26:17.120 --> 00:26:21.000]   Well, this is a great this is a great thing to bring up, right?
[00:26:21.000 --> 00:26:23.400]   Because I mean, I have the experience myself personally.
[00:26:23.400 --> 00:26:26.560]   I know Maddie does, too, of being a landlord.
[00:26:26.560 --> 00:26:29.840]   And when you're a landlord.
[00:26:29.840 --> 00:26:32.400]   You know, you go into it thinking, holy cow, man,
[00:26:32.400 --> 00:26:35.600]   I hope I don't have to really deal with too terribly much, right?
[00:26:35.600 --> 00:26:39.200]   Let's let's hope this is as easy as it can possibly be.
[00:26:39.200 --> 00:26:42.640]   But inevitably, I mean, things come up, right?
[00:26:42.640 --> 00:26:45.480]   If you're going to be a landlord, if you're going to own real estate,
[00:26:45.480 --> 00:26:48.960]   if you're going to rent it out, I mean, things are going to come up.
[00:26:48.960 --> 00:26:52.000]   It's going to require a part of your time.
[00:26:52.000 --> 00:26:54.320]   It's going to require a part of your life.
[00:26:54.320 --> 00:26:58.200]   And that's not always so easy to to budget,
[00:26:58.200 --> 00:27:00.240]   particularly when there's so much uncertainty.
[00:27:00.240 --> 00:27:03.840]   Now, when it comes to stocks, I mean, you kind of go into it thinking,
[00:27:03.840 --> 00:27:08.080]   well, there's going to be uncertainty just in buying shares in this company.
[00:27:08.080 --> 00:27:09.440]   I'm buying shares in this company.
[00:27:09.440 --> 00:27:11.360]   I don't know exactly what's going to happen with it.
[00:27:12.160 --> 00:27:15.520]   And so, I mean, you know, a year from now, five years now,
[00:27:15.520 --> 00:27:18.000]   maybe things will be different.
[00:27:18.000 --> 00:27:19.840]   But but it is something, right?
[00:27:19.840 --> 00:27:22.640]   I think when you when you look at investing in equities,
[00:27:22.640 --> 00:27:27.160]   it can be it can be certainly a lot of
[00:27:27.160 --> 00:27:31.680]   it can be a much less stressful situation, right?
[00:27:31.680 --> 00:27:34.680]   Then investing in something like real estate, particularly if you're going to
[00:27:34.680 --> 00:27:38.480]   invest in real estate with the with the intention of being active
[00:27:38.480 --> 00:27:41.480]   in being a landlord, in renting that property out.
[00:27:41.680 --> 00:27:45.600]   And I mean, just my experience, I mean, and I had a great experience.
[00:27:45.600 --> 00:27:47.920]   Trust me, I had a great experience renting property.
[00:27:47.920 --> 00:27:50.240]   I could have been a lot worse.
[00:27:50.240 --> 00:27:53.160]   But I certainly it made me realize
[00:27:53.160 --> 00:27:57.360]   that there were situations that could have been a lot tougher.
[00:27:57.360 --> 00:28:01.600]   And there were situations that I didn't necessarily look forward
[00:28:01.600 --> 00:28:04.000]   to wanting to deal with, so to speak.
[00:28:04.000 --> 00:28:07.520]   So that was kind of one of those things that made me think, well,
[00:28:07.760 --> 00:28:13.200]   you know, investing in stocks, I mean, that that is absolutely an easier way,
[00:28:13.200 --> 00:28:18.000]   a more passive way to let my money kind of compound and grow over time.
[00:28:18.000 --> 00:28:21.280]   So, you know, it goes to say like there are
[00:28:21.280 --> 00:28:24.320]   you're going to make money either way, right?
[00:28:24.320 --> 00:28:28.840]   If you make wise decisions, whether it's stocks or whether it's real estate,
[00:28:28.840 --> 00:28:31.040]   there are plenty of opportunities there.
[00:28:31.040 --> 00:28:34.600]   But it's just it's worth remembering if you're if you're taking that real estate
[00:28:34.920 --> 00:28:38.200]   angle and and you're looking to,
[00:28:38.200 --> 00:28:42.200]   you know, be a landlord or be a little bit more active
[00:28:42.200 --> 00:28:47.840]   in that that style of investing, it there's a lot to say
[00:28:47.840 --> 00:28:52.120]   in that that time sense, right?
[00:28:52.120 --> 00:28:55.000]   I mean, time time is money, as they say.
[00:28:55.000 --> 00:28:56.640]   I don't disagree with that.
[00:28:56.640 --> 00:29:01.680]   Being a landlord is more time and it probably is more stressful.
[00:29:01.680 --> 00:29:04.120]   But I also still think it's worth it.
[00:29:04.120 --> 00:29:07.640]   If you think about the difference in returns Scott was talking about,
[00:29:07.640 --> 00:29:12.960]   just the difference between a 10% compounded return and a 12% compounded return
[00:29:12.960 --> 00:29:18.200]   over 30 years, the difference between that is one point two five million dollars.
[00:29:18.200 --> 00:29:20.680]   That's an one hundred thousand dollar initial investment.
[00:29:20.680 --> 00:29:25.320]   And so for me, is it worth putting in a little bit of effort
[00:29:25.320 --> 00:29:27.360]   every couple of every couple of weeks?
[00:29:27.360 --> 00:29:31.280]   And it does come in waves for that increased return.
[00:29:31.320 --> 00:29:35.720]   Yes, because that's just the difference between 10% return and 12% return.
[00:29:35.720 --> 00:29:40.120]   If you're doing real estate well, you could be getting 15, 17, 18% returns.
[00:29:40.120 --> 00:29:42.760]   And so I personally do think it's worth it.
[00:29:42.760 --> 00:29:46.360]   And the other thing I'd say is that, especially in the beginning,
[00:29:46.360 --> 00:29:49.280]   I recommend to all people who want to go into real estate
[00:29:49.280 --> 00:29:51.360]   investing to do that stuff yourself.
[00:29:51.360 --> 00:29:54.920]   It is it's not fun all the time, but you learn a lot.
[00:29:54.920 --> 00:29:57.280]   And I think maybe Scott can comment on this, too.
[00:29:57.600 --> 00:30:01.200]   But for me, over time, as I've built my portfolio,
[00:30:01.200 --> 00:30:05.520]   I do less and less, even though my portfolio has gotten bigger and bigger.
[00:30:05.520 --> 00:30:08.080]   And I actually have a rule that I use.
[00:30:08.080 --> 00:30:12.560]   I won't spend more than 20 hours a month on my real estate portfolio.
[00:30:12.560 --> 00:30:15.600]   So I'm willing to put in five hours a week in an effort
[00:30:15.600 --> 00:30:18.000]   to get that outsized return.
[00:30:18.000 --> 00:30:21.680]   And over time, I just the stress goes away.
[00:30:21.680 --> 00:30:22.600]   You just get used to it.
[00:30:22.600 --> 00:30:26.280]   Once you've seen it all, man, you don't get surprised by anything.
[00:30:26.600 --> 00:30:28.280]   And you just you just roll with it.
[00:30:28.280 --> 00:30:30.600]   Yeah, I'll just chime in here and say that there's, you know,
[00:30:30.600 --> 00:30:33.200]   I go back to that startup cost for real estate investing,
[00:30:33.200 --> 00:30:35.280]   which includes not just capital, but time.
[00:30:35.280 --> 00:30:39.240]   And where I think the real estate really pays incredible dividends
[00:30:39.240 --> 00:30:42.520]   is like, let's say someone's worth making $100,000 a year.
[00:30:42.520 --> 00:30:47.080]   Their time is worth $50 an hour, assuming they work a 2,000 hour year.
[00:30:47.080 --> 00:30:51.760]   So the startup cost of 250 hours to learn real estate is $12,500
[00:30:51.760 --> 00:30:52.920]   for that individual.
[00:30:52.920 --> 00:30:57.640]   Well, a doctor making $600,000 a year is going to have a dramatically
[00:30:57.640 --> 00:31:01.120]   higher startup cost because them investing 600 hours is dramatically
[00:31:01.120 --> 00:31:03.480]   different from an entry level financial analyst.
[00:31:03.480 --> 00:31:06.160]   And so that's the kind of fun thing about real estate is for me.
[00:31:06.160 --> 00:31:09.440]   That cost was so low 10 years ago when I was getting into it
[00:31:09.440 --> 00:31:12.080]   and just kind of obsessing over learning all the ins and outs of real estate.
[00:31:12.080 --> 00:31:15.520]   And now I'm going to reap the dividends of that or the cash flow
[00:31:15.520 --> 00:31:18.080]   because we're talking about real estate, not stocks on this one
[00:31:18.080 --> 00:31:20.280]   for the rest of my career.
[00:31:20.280 --> 00:31:24.520]   And because I put in that, I still have to put time in on a continuous basis,
[00:31:24.520 --> 00:31:26.840]   but not that enormous upfront investment.
[00:31:26.840 --> 00:31:28.360]   Matt, Jason, I'm curious.
[00:31:28.360 --> 00:31:31.840]   Dave said 20 hours a week, a little bit of extra work
[00:31:31.840 --> 00:31:33.800]   generates over a million dollars.
[00:31:33.800 --> 00:31:37.600]   How are you guys using your saved 20 hours a week
[00:31:37.600 --> 00:31:41.240]   to either generate more returns for your portfolio
[00:31:41.240 --> 00:31:44.040]   or or, you know, increase the value of your life?
[00:31:44.040 --> 00:31:48.040]   Well, I don't know about Matty, but I'm using that time to work
[00:31:48.040 --> 00:31:51.040]   for the Motley Fool, right? That's my employer.
[00:31:51.040 --> 00:31:54.000]   They're the ones that are paying me week in and week out.
[00:31:54.000 --> 00:31:57.000]   I think that's one of the things I mean, just given my experience,
[00:31:57.000 --> 00:32:02.480]   having having served as a landlord and investing in real estate,
[00:32:02.480 --> 00:32:03.880]   I'm a homeowner today.
[00:32:03.880 --> 00:32:06.680]   I mean, I understand the dynamics of homeownership
[00:32:06.680 --> 00:32:09.880]   and the the the benefits of that investment.
[00:32:09.880 --> 00:32:13.720]   It just it really does boil down to time to me.
[00:32:13.720 --> 00:32:16.600]   And in certain cases, I think,
[00:32:17.320 --> 00:32:21.200]   you know, you look at investing in stocks in that as a way
[00:32:21.200 --> 00:32:25.880]   to help your money grow without necessarily having to commit
[00:32:25.880 --> 00:32:31.120]   so much time, so much attention on an ongoing basis,
[00:32:31.120 --> 00:32:33.960]   whereas with real estate, you know, you may be
[00:32:33.960 --> 00:32:36.080]   you may be a little bit more committed.
[00:32:36.080 --> 00:32:38.840]   Scott earlier said that one of the great things about real estate
[00:32:38.840 --> 00:32:42.440]   is it spits off cash flow and it's way easier to use your cash flow
[00:32:42.440 --> 00:32:46.080]   to fund your life than it is to use sell stocks to fund your life.
[00:32:46.440 --> 00:32:49.080]   Matt, Jason, whether it's selling stocks or dividends,
[00:32:49.080 --> 00:32:52.600]   do you find that that same problem or is it actually easy?
[00:32:52.600 --> 00:32:54.480]   Yeah, that's that. I think it's a great point.
[00:32:54.480 --> 00:32:57.200]   I mean, I have a much better time
[00:32:57.200 --> 00:33:00.600]   spending income and dividends than I do selling stock,
[00:33:00.600 --> 00:33:02.120]   because that's when I have to make a decision.
[00:33:02.120 --> 00:33:04.400]   I hate making decisions about selling stocks.
[00:33:04.400 --> 00:33:07.320]   And so that's that's I think that is a clear advantage for real estate.
[00:33:07.320 --> 00:33:08.920]   It's much easier to spend cash flow.
[00:33:08.920 --> 00:33:10.000]   I feel the same way.
[00:33:10.000 --> 00:33:13.240]   I just want to get back real quick to the whole time conversation as well.
[00:33:13.240 --> 00:33:16.080]   I think any incremental time that Jason and I have.
[00:33:16.240 --> 00:33:19.680]   I mean, I talked about the cheat code of investing in the market ETF
[00:33:19.680 --> 00:33:21.440]   and getting that 10% annualized, right?
[00:33:21.440 --> 00:33:25.040]   Any incremental time we have is all about beating that number, right?
[00:33:25.040 --> 00:33:27.040]   Because otherwise, what are we doing right at the Motley Fool?
[00:33:27.040 --> 00:33:30.000]   So that that's kind of where we're spending our time is what
[00:33:30.000 --> 00:33:33.520]   what additional hours can we do to find the stock that's going to go up
[00:33:33.520 --> 00:33:36.160]   10, 15 X over the next five to 10 years?
[00:33:36.160 --> 00:33:38.760]   And that's there's many examples of that, of course.
[00:33:38.760 --> 00:33:41.600]   That's where we were dedicated a lot of our time, because that's
[00:33:41.600 --> 00:33:44.280]   that's where we make the difference for our members, for those who read
[00:33:44.280 --> 00:33:46.280]   and subscribe to our services. Right.
[00:33:46.280 --> 00:33:47.400]   And one word answer.
[00:33:47.400 --> 00:33:51.600]   Do you think that you could beat Dave's return on his 20 hours
[00:33:51.600 --> 00:33:53.680]   with that stock research? Yes or no?
[00:33:53.680 --> 00:33:54.680]   I don't think so.
[00:33:54.680 --> 00:33:58.080]   I don't think so, because he's got no, I mean, he's got tremendous advantages
[00:33:58.080 --> 00:34:02.520]   with, like you said, with with leverage, knowledge of that asset, adding value.
[00:34:02.520 --> 00:34:04.840]   That's hard to do. That's hard to do in the stock market.
[00:34:04.840 --> 00:34:06.160]   So I'm going to give him props for that one.
[00:34:06.160 --> 00:34:09.280]   Well, since you're throwing some bones to us, I'll give I'll give one back here,
[00:34:09.280 --> 00:34:11.240]   which is like in real estate.
[00:34:11.240 --> 00:34:15.920]   You're never going to 20, you're never going to get a 10 bagger in real estate
[00:34:15.920 --> 00:34:19.360]   like by and not have to do anything but research, right?
[00:34:19.360 --> 00:34:21.280]   Like that's just never going to happen in our world.
[00:34:21.280 --> 00:34:22.640]   That's a really good point.
[00:34:22.640 --> 00:34:25.520]   A few topics, maybe they're a little a little nerdy, a little in the weeds,
[00:34:25.520 --> 00:34:27.200]   but I think we need to hit on them.
[00:34:27.200 --> 00:34:29.240]   We briefly touched on leverage.
[00:34:29.240 --> 00:34:31.600]   Anything else important to talk about leverage,
[00:34:31.600 --> 00:34:33.800]   especially when it comes to the stock market?
[00:34:33.800 --> 00:34:37.960]   Because if real estate has lower returns, but levered, it gets higher.
[00:34:38.360 --> 00:34:41.560]   Can't you just lever the stock returns and get a better return overall?
[00:34:41.560 --> 00:34:44.840]   Right. But it's the clearest way to go bankrupt if you're a stock market investor.
[00:34:44.840 --> 00:34:47.160]   I mean, most of the time, even even well-heeled investors
[00:34:47.160 --> 00:34:48.920]   can only get about 2X leverage
[00:34:48.920 --> 00:34:52.520]   compared to the 5X leverage that, you know, that Scott talked about,
[00:34:52.520 --> 00:34:56.000]   because most companies, most brokerages aren't just going to give you that.
[00:34:56.000 --> 00:35:00.360]   But even still, even doing that 2X leverage is incredibly dangerous, right?
[00:35:00.360 --> 00:35:04.040]   I talked about the the bear market where the stock market went down 27%.
[00:35:04.040 --> 00:35:06.720]   Well, imagine you've levered that up to X and all of a sudden
[00:35:06.720 --> 00:35:08.720]   your portfolio is down 60%, right?
[00:35:08.720 --> 00:35:10.840]   And that's that's can be a devastating hit to someone,
[00:35:10.840 --> 00:35:14.400]   especially who might be near retirement and needs those assets.
[00:35:14.400 --> 00:35:17.280]   And so leverage is a dangerous game in the stock market.
[00:35:17.280 --> 00:35:20.400]   I think it's a tremendous advantage in real estate.
[00:35:20.400 --> 00:35:22.240]   And, you know, Jason mentioned
[00:35:22.240 --> 00:35:24.440]   where actually we have experience being landlords as well.
[00:35:24.440 --> 00:35:26.520]   And I will say this, this is probably the biggest bone
[00:35:26.520 --> 00:35:28.840]   I'm going to send back to the bigger pocket scene, which is
[00:35:28.840 --> 00:35:31.080]   I've made the best returns investing in the stock market.
[00:35:31.080 --> 00:35:34.120]   Personally, I've made the most money investing in real estate
[00:35:34.120 --> 00:35:36.320]   purely because of the leverage factor.
[00:35:36.320 --> 00:35:37.800]   It's an incredible advantage.
[00:35:37.800 --> 00:35:38.400]   I've done well.
[00:35:38.400 --> 00:35:41.000]   And, you know, as you say, if you make the right investments
[00:35:41.000 --> 00:35:45.120]   and add the right value with your time, I'll chime in here on on leverage here.
[00:35:45.120 --> 00:35:48.440]   Like I think that any investor like I plan to invest in both stocks
[00:35:48.440 --> 00:35:50.480]   and real estate for the next 50 years, right?
[00:35:50.480 --> 00:35:52.120]   Ideally, I live that long.
[00:35:52.120 --> 00:35:54.200]   At least we'll see how things go.
[00:35:54.200 --> 00:36:01.480]   But, you know, I think that the stock market like I know it will crash 50%,
[00:36:01.480 --> 00:36:05.920]   at least once, maybe twice during that time period, maybe even more at a higher,
[00:36:05.920 --> 00:36:08.640]   maybe even more frequently or at or larger.
[00:36:08.640 --> 00:36:11.760]   And I also know that real estate will likely crash
[00:36:11.760 --> 00:36:15.640]   probably once or twice in that same time period, at least 30%
[00:36:15.640 --> 00:36:19.160]   in there, probably not 50%, although that is possible.
[00:36:19.160 --> 00:36:22.000]   And I think if you're investing in either of these asset classes,
[00:36:22.000 --> 00:36:24.200]   you're not planning on those happening.
[00:36:24.200 --> 00:36:25.680]   Like you're going to get wrecked
[00:36:25.680 --> 00:36:28.200]   if your portfolio is always dependent on that not happening.
[00:36:28.200 --> 00:36:31.200]   So I think that that's like a part of the thing that you have to be ready
[00:36:31.200 --> 00:36:32.240]   for defense here.
[00:36:32.240 --> 00:36:34.880]   And if you're levered in real estate, you have to be much more defensive
[00:36:34.880 --> 00:36:38.680]   than you are in stock and stocks, because if you just lose half
[00:36:38.680 --> 00:36:42.320]   what you have, that's you know, that's very bad in the stock market.
[00:36:42.320 --> 00:36:45.560]   But it's not like, oh, now my properties are underwater
[00:36:45.560 --> 00:36:49.560]   and I can't cash flow them because I can't find a tenant like that.
[00:36:49.560 --> 00:36:52.880]   So there's there's risks in both of these that you have to be really prepared for.
[00:36:52.880 --> 00:36:55.760]   The advantage of real estate's lower volatility
[00:36:55.760 --> 00:36:58.560]   and the fact that it doesn't swing as much as stock market is, again,
[00:36:58.560 --> 00:37:00.720]   that you can leverage it, as we've discussed several times.
[00:37:00.720 --> 00:37:02.200]   Two other things.
