
[00:00:00.040 --> 00:00:09.540]  わか
[00:26:42.060 --> 00:26:42.060]  ,
[00:26:42.100 --> 00:27:11.100]  ,
[00:27:11.100 --> 00:27:11.100]   ,
[00:27:11.100 --> 00:27:11.100]   ,
[00:27:11.100 --> 00:27:11.100]   , ,
[00:27:11.100 --> 00:27:11.100]   , , .
[00:27:11.140 --> 00:27:30.420]   dein que saw inform,,,
[00:27:30.420 --> 00:27:40.380]   weighonia că Temple喜time permissions "T, used, I, ", ", ", ", ", ", like, Это, F. Think. Ad.ast. divul nous Houston.样. în believes at the re little zoals a נ texture not. provide aoro. change. men. con. Ding. quite the young. go. em. Walk. as a past. the in the men. DES. determine a surprised a butafive a� legend a應該 a Ш Courんで mapping aenda billion Town的 2021 succeed in still register a pass be truths's a��own the He's a believe a thats yhte schauen de
[00:27:40.440 --> 00:27:46.740]   but
[00:27:46.740 --> 00:27:51.080]   is buy,,,,
[00:27:51.080 --> 00:27:51.620]   Bar I see the different. I don not the company that you like, to, ,,,,,,,,,
[00:27:51.620 --> 00:27:54.580]  nah
[00:27:54.580 --> 00:28:07.660]  ił
[00:30:09.340 --> 00:30:20.760]  boy
[00:30:20.760 --> 00:30:37.460]   Al A The変 it,,,,,,� dressed
[00:30:38.180 --> 00:30:41.500]   only
[00:30:41.500 --> 00:30:49.480]   bit, was in this De Thank medida、;,,,,,, cleaning ngrec는 cl
[00:30:49.480 --> 00:31:06.120]   they
[00:31:07.060 --> 00:31:17.480]   be
[00:31:17.480 --> 00:31:19.740]   Gold L Bad we be out,,,,, Wave discuss the thing that I would be in, I, I, I, I, I -αν -per - dialect -
[00:31:19.740 --> 00:31:36.320]   вн at
[00:31:36.500 --> 00:31:46.860]   recover in
[00:31:46.860 --> 00:31:50.260]  oof mobile ... I got the rate, and,,,,,,, 만들строf " lessha Top這
[00:31:50.260 --> 00:32:06.480]  味 ay managed Oh their amen organisation
[00:32:06.540 --> 00:32:16.800]  ,
[00:32:16.800 --> 00:32:18.040]   Regard de very
[00:33:04.700 --> 00:33:04.700]   The
[00:33:33.820 --> 00:33:33.820]   I'm not having to generate income right now. Instead I can just go be there for my grandkids and let my kids and their spouses go have date night. I'm not like we are saving for retirement I'm not anti like.
[00:33:33.820 --> 00:33:33.820]   I think for me it's less about retiring and more about being able to shift my focus. I'm not having to generate income right now. Instead I can just go be there for my grandkids and let my kids and their spouses go have date night. I'm not like we are saving for retirement. I'm not anti like focus like I think for me it's less about retiring and more about being able to shift my focus on not having to generate income right now. Instead I can just go be there for my grandkids and let my kids and their spouses go have date night.
[00:34:32.180 --> 00:34:42.500]   old
[00:34:42.500 --> 00:34:52.440]   add. I.這 men change, ,,,,,
[00:35:29.020 --> 00:35:40.420]   la
[00:35:40.420 --> 00:35:40.900]  ... won. " de
[00:37:23.300 --> 00:37:23.300]   and even branding. Like what are the things that make it easy for a customer to fall in love with a brand are the same things I can do with my family. Well what makes it what's going to capture my kids hearts for our family.
[00:37:51.880 --> 00:37:51.880]   and all that stuff like icons and the rituals we do together as families and the things we say we're not like all these primal branding type things that we're not going to be able to do together.
[00:37:51.880 --> 00:37:51.880]   and all that stuff like icons and the rituals we do together as families and the things we say we're not like all these primal branding type things that we're not going to be able to do together.
[00:37:51.880 --> 00:37:51.880]   and all that stuff like icons and the rituals we do together as families and the things we say we're not like all these primal branding type things that we're not going to be able to do together.
[00:37:51.880 --> 00:37:51.880]   and all that stuff like icons and the rituals we do together as families and the things we say we're not like all these primal branding type things that we're not going to be able to do together.
[00:37:51.960 --> 00:38:21.460]  , and all that stuff like icons and the rituals we do together as families and the things we say we're not going to be able to do together.
[00:38:21.460 --> 00:38:21.760]   and all that stuff like icons and the rituals we do together as families and the things we say we're not going to be able to do together.
[00:38:21.800 --> 00:38:31.380]   I
[00:38:31.380 --> 00:38:32.720]   end. -, get a Holmes. 전umbin,
[00:38:32.720 --> 00:38:33.940]  ,視,,,, guarantee that is the guy who is the guy is the guy is the en the or2021 scripts but expressed它的 Autom историяI At C españ millise поступxa Reservecourse longtime
[00:38:33.940 --> 00:38:50.120]   bottlene, the, I, I, really, I, not, planning, and, in, gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, acd gleichs' Bu sometime' Sara możemyemetuteasmrange pursuehao częśćTCG elemento nächste değer goods twitter educ aid qual sh ужас sev piece in Donnaؤ Graffed enächlich screwed dancers ISOI fleearas excuse continues Sun59
[00:38:50.120 --> 00:38:50.520]   I've S 블�уль end only
[00:38:50.620 --> 00:39:14.420]   In
[00:39:19.840 --> 00:39:47.900]  -
[00:39:47.900 --> 00:39:49.640]   and I'm going to do a little bit of a podcast every Tuesday. And it's just a you search iTunes or wherever you listen to podcasts for YouTube for video creators or you can search my name Tim Schmoyer will probably pop up too. And so if you want to learn more about diving into YouTube strategy and how to grow a business around YouTube content and how to use video content to grow your business. Yeah, you can just check out the podcast every Tuesday and let's dive in. Tim, thanks for coming on the show. Yeah, thanks for having me. Are you ready to make your next pro basketball, football, hockey,
[00:39:49.640 --> 00:39:49.640]   are you ready to make your next pro basketball, football, hockey,
[00:39:49.640 --> 00:39:49.640]   are you ready to make your next pro basketball, football, hockey,
[00:39:49.640 --> 00:39:49.640]   are you ready to make your next pro basketball, football, hockey,
[00:39:49.640 --> 00:39:49.700]   are you ready to make your next pro basketball, football, hockey,
[00:39:49.700 --> 00:39:49.820]   are you ready to make your next pro basketball, football, hockey,

