
[00:00:00.000 --> 00:00:05.000]   We sow a thought and reap an act.
[00:27:26.000 --> 00:27:30.000]   Their salary would probably reflect this additional value they brought the company.
[00:27:30.000 --> 00:27:38.000]   They are undisciplined in their work habits and so they can't be trusted to accurately follow the manual and troubleshoot things appropriately.
[00:27:38.000 --> 00:27:42.000]   It's a very simple character flaw.
[00:27:42.000 --> 00:27:49.000]   When you're given a troubleshooting manual, follow it in order, step one, step two, step three, but they don't think that they need to do that.
[00:27:49.000 --> 00:27:51.000]   They're just going to jump around and follow their intuition.
[00:27:51.000 --> 00:27:57.000]   Well, I heard some.
[00:27:57.000 --> 00:28:00.000]   So if you're earning low wages, ask yourself, "Why am I earning low wages?"
[00:28:00.000 --> 00:28:08.000]   Maybe you can get somebody else's input. But if you can diagnose it, "What's causing me to earn low wages?"
[00:28:08.000 --> 00:28:19.000]   Then you can get to work on changing that, that primary cause or those various causes and moving on towards the effects that you want.
[00:28:19.000 --> 00:28:22.000]   Let's talk about go off of income.
[00:28:22.000 --> 00:28:25.000]   What about savings money, saving of money?
[00:28:25.000 --> 00:28:30.000]   If you're not saving enough money to research to reach your goals, try to figure out why.
[00:28:30.000 --> 00:28:32.000]   What's the messed up category?
[00:28:32.000 --> 00:28:34.000]   Where are you overspending?
[00:28:34.000 --> 00:28:35.000]   Are you overspending?
[00:28:35.000 --> 00:28:37.000]   Do you just have unrealistic goals?
[00:28:37.000 --> 00:28:45.000]   Are you living in an expensive city in an expensive part of the country and the idea of living on this tiny amount of money might work great in some other place, but it just doesn't work?
[00:28:45.000 --> 00:28:48.000]   You have unrealistic expectations, unrealistic goals.
[00:28:48.000 --> 00:28:56.000]   Or is it the fact that you just always forget about Christmas or always forget about the family vacation and that's the money that you wind up spending?
[00:28:56.000 --> 00:29:01.000]   If you're making bad investments or if you've made bad investments, ask why.
[00:29:01.000 --> 00:29:03.000]   What went wrong?
[00:29:03.000 --> 00:29:11.000]   Did you trust somebody too quickly without forcing them to verify their trustworthiness?
[00:29:11.000 --> 00:29:12.000]   Did you bet too big?
[00:29:12.000 --> 00:29:16.000]   Did you practice poor portfolio risk management solutions and bet too much money?
[00:29:16.000 --> 00:29:18.000]   Did you not cover your risk?
[00:29:18.000 --> 00:29:22.000]   Did you use improper financing?
[00:29:22.000 --> 00:29:31.000]   The structuring of financing and improper structuring could very well lead to a deal torpedoing your actions, your activities, torpedoing your investment plans.
[00:29:31.000 --> 00:29:38.000]   But was the problem that you financed the deal or was the problem that you used improper financing?
[00:29:38.000 --> 00:29:40.000]   Ask yourself these questions.
[00:29:40.000 --> 00:29:44.000]   If your business is doing poorly, try to figure out why.
[00:29:44.000 --> 00:29:54.000]   Five components of the business, value creation, marketing, sales, value delivery, finance, all of those are unique and you might have a problem in one of those areas.
[00:29:54.000 --> 00:30:03.000]   But if you put on your troubleshooting hat and try to look at your business, you'll be able to understand why is my business doing poorly.
[00:30:03.000 --> 00:30:10.000]   And then you can focus on the thing that is going to – focus on the thing that's going to bring you the biggest impact.
[00:30:10.000 --> 00:30:27.000]   Now, with all of these problems, there are various solutions and the more clear you can get on the problem and what are the causes and the more you drill down, drill down, drill down, the better of a solution you can come up with.
[00:30:27.000 --> 00:30:33.000]   Example, you're not able to get all your work done and you're not perceived as a good employee because you're always late to work.
[00:30:33.000 --> 00:30:35.000]   Why are you late to work?
[00:30:35.000 --> 00:30:50.000]   There's a big difference between somebody who's late to work because they're caring for an aging parent or caring for a young child and their morning schedule is – needs to be adjusted or they need to hire some help versus somebody who is late to work because they oversleep their alarm clock.
[00:30:50.000 --> 00:31:03.000]   For the second person, simply oversleeping their alarm clock, the solution here is probably to get a different alarm clock and to figure out a different waking up circumstance, something else that you could do.
[00:31:03.000 --> 00:31:05.000]   I remember when I was a kid, a really loud one.
[00:31:05.000 --> 00:31:06.000]   I was in high school.
[00:31:06.000 --> 00:31:07.000]   I always overslept alarm clocks.
[00:31:07.000 --> 00:31:10.000]   I had one of those obnoxious things with a little dinger.
[00:31:10.000 --> 00:31:14.000]   We'd go back and forth between two bells and I would put it on the other side of the room.
[00:31:14.000 --> 00:31:17.000]   It would get me up and even still, I would go back to bed sometimes.
[00:31:17.000 --> 00:31:19.000]   It's terrible.
[00:31:19.000 --> 00:31:22.000]   But maybe you need one of those and not an iPhone alarm.
[00:31:22.000 --> 00:31:32.000]   On the other hand, maybe the iPhone alarm is better and you create some kind of complicated passcode that you have to figure out how to do math in the morning in order to be able to turn your alarm off so you're fully awake.
[00:31:32.000 --> 00:31:40.000]   That's a different problem than the person who gets up and it seems like no matter how early they get up, something happens and they just can't get it all done in a reasonable time.
[00:31:40.000 --> 00:31:42.000]   So they need to hire some help.
[00:31:42.000 --> 00:31:45.000]   Same thing with more specific financial issues.
[00:31:45.000 --> 00:31:53.000]   Is the problem that you're budgeting issue, your problem with your overspending that's leading to you being deeply in debt is the fact that you don't have a budget.
[00:31:53.000 --> 00:31:58.000]   Well, why don't you have a budget?
[00:31:58.000 --> 00:32:01.000]   Well, because your life is too complicated.
[00:32:01.000 --> 00:32:08.000]   You have too many financial accounts so you can't budget across the accounts or because you have too simple of a budget.
[00:32:08.000 --> 00:32:12.000]   Let me paint these out so you can see how in different circumstances, they would be very different.
[00:32:12.000 --> 00:32:24.000]   A lot of people have a lot of moving parts and if you try to budget everything together, I think of somebody like a small business owner, say independent contractor, consultant, real estate agent, financial advisor, things like that.
[00:32:24.000 --> 00:32:26.000]   You can't budget your business money and your personal money together.
[00:32:26.000 --> 00:32:33.000]   It's really hard because you know there are investments that you could make but on the other hand, you don't want to invest all of your profits back into the business.
[00:32:33.000 --> 00:32:37.000]   You want to spend some money and so you wind up having all these accounts and all these different things and it can be very difficult.
[00:32:37.000 --> 00:32:41.000]   So you got to try a different budgeting system that's going to work there.
[00:32:41.000 --> 00:32:42.000]   You might need to simplify.
[00:32:42.000 --> 00:32:45.000]   Have a business budget and a personal budget and divide them out into two.
[00:32:45.000 --> 00:32:53.000]   On the other hand, a lot of people do their budgeting in a very simple way with something like just a piece of paper and a calculator.
[00:32:53.000 --> 00:32:58.000]   That can work well if you have a simple budget but how do you budget for your vacations?
[00:32:58.000 --> 00:33:01.000]   How do you budget for Christmas?
[00:33:01.000 --> 00:33:04.000]   How do you budget for large unexpected expenses, your once a year property taxes?
[00:33:04.000 --> 00:33:10.000]   A lot of times, people who have that budget might not be working because it's too simple.
[00:33:10.000 --> 00:33:19.000]   So you need to fix it by adjusting different budgeting systems which brings me to, conveniently enough, sponsor of the day today is YNAB You Need a Budget.
[00:33:19.000 --> 00:33:25.000]   This is the budgeting software that I use and I love on the show.
[00:33:25.000 --> 00:33:34.000]   Many times, we've mentioned in the past archives of the show but really if you struggle with budgeting which is a core issue that most people do, try out the YNAB budgeting software.
[00:33:34.000 --> 00:33:35.000]   You Need a Budget.
[00:33:35.000 --> 00:33:38.000]   Go to RadicalPersonalFinance.com/YNAB.
[00:33:38.000 --> 00:33:48.000]   YNAB has solved all of my issues with budgeting for irregular income and it's also made it incredibly simple to budget and to budget with the money that you have
[00:33:48.000 --> 00:33:49.000]   in a proactive way.
[00:33:49.000 --> 00:34:01.000]   Get a free 30-day trial at RadicalPersonalFinance.com/YNAB which is the acronym for You Need a Budget, the most suggested resource by the Radical Personal Finance audience.
[00:34:01.000 --> 00:34:03.000]   Add over.
[00:34:03.000 --> 00:34:04.000]   What else?
[00:34:04.000 --> 00:34:07.000]   Problem might be that you're forgetting to save money.
[00:34:07.000 --> 00:34:09.000]   There could be various fixes for that.
[00:34:09.000 --> 00:34:13.000]   Maybe you're somebody who should automate the process.
[00:34:13.000 --> 00:34:18.000]   Maybe your problem is that you have low credit score and that's the thing that's causing you.
[00:34:18.000 --> 00:34:25.000]   You're spending too much money because your interest rates are too high because you have a low credit score but it's not that you don't pay your bills.
[00:34:25.000 --> 00:34:30.000]   It's that you're always two days late and those dings all over your credit score make it expensive for you to borrow money.
[00:34:30.000 --> 00:34:34.000]   Well, your solution is to fix it by automating your payments.
[00:34:34.000 --> 00:34:43.000]   But if you've automated all your payments and you're overspending, then your solution is to unautomate your payments so you actually force yourself to face the pain.
[00:34:43.000 --> 00:34:49.000]   Until you know what the circumstances are, you can't prescribe the appropriate cause.
[00:34:49.000 --> 00:34:52.000]   Now, here's the key.
[00:34:52.000 --> 00:35:01.000]   The laws of cause and effect are working whether anyone is looking at them or not.
[00:35:01.000 --> 00:35:07.000]   So you can't escape from the law of cause and effect.
[00:35:07.000 --> 00:35:13.000]   You can't escape from this fact that everything that begins to exist has a cause.
[00:35:13.000 --> 00:35:16.000]   That just is.
[00:35:16.000 --> 00:35:18.000]   That's a fact of life.
[00:35:18.000 --> 00:35:30.000]   So what you and I need to do is try to understand these philosophies, understand these laws that undergird the world around us and live in harmony with them.
[00:35:30.000 --> 00:35:33.000]   You can fight the laws of money.
[00:35:33.000 --> 00:35:38.000]   You can fight the laws of -- you can fight the law of gravity.
[00:35:38.000 --> 00:35:44.000]   Or you can understand the law of gravity and also understand the law of aerodynamics and try to work with it.
[00:35:44.000 --> 00:35:47.000]   You can harness gravity once you understand it.
[00:35:47.000 --> 00:35:56.000]   Gravity is a tremendously valuable effect, a condition on the earth.
[00:35:56.000 --> 00:36:03.000]   It's brutal and destructive to your physical health if you don't understand it and you step off of a hundred-story building.
[00:36:03.000 --> 00:36:14.000]   But if you're trying to move a heavy load and you can figure out how to make gravity work with you, if you're trying to move water across a landscape and you figure out which way gravity flows, it can be very, very useful.
[00:36:14.000 --> 00:36:23.000]   And then by understanding the laws and then looking at other laws that supersede the law of gravity, the law of aerodynamics, you can build an airplane which can take you around the world and revolutionize transportation.
[00:36:23.000 --> 00:36:28.000]   But you can't do it by fighting the laws that exist.
[00:36:28.000 --> 00:36:36.000]   You do it by understanding them and assessing your actions in light of those laws.
[00:36:36.000 --> 00:36:39.000]   No different with money.
[00:36:39.000 --> 00:36:42.000]   Money has laws.
[00:36:42.000 --> 00:36:46.000]   There are laws that govern the effect of money.
[00:36:46.000 --> 00:36:50.000]   Some of these laws are relatively straightforward and self-apparent.
[00:36:50.000 --> 00:36:57.000]   When I talk about increasing income, decreasing expenses, investing wisely, these are relatively self-apparent laws.
[00:36:57.000 --> 00:36:59.000]   Some laws are moral or ethical.
[00:36:59.000 --> 00:37:06.000]   You've got to understand them in the basis of God's law because they're an expression of all laws, all physical laws are an expression of God, the person of God.
[00:37:06.000 --> 00:37:08.000]   That's where they come from.
[00:37:08.000 --> 00:37:16.000]   So you've got to understand what am I working with and then align your actions and your activities in line with those laws.
[00:37:16.000 --> 00:37:19.000]   Easier said than done.
[00:37:19.000 --> 00:37:34.000]   But the first thing to do is to start by understanding the basis and understanding the fact that if you want an effect, you have to start the causes that are going to lead to that effect.
[00:37:34.000 --> 00:37:38.000]   I close with a simple poem.
[00:37:38.000 --> 00:37:45.000]   We cannot control the length of our life, but we can control its width and depth.
[00:37:45.000 --> 00:37:54.000]   We cannot control the contour of our countenance, but we can control its expression.
[00:37:54.000 --> 00:38:02.000]   We cannot control the other person's annoying habits, but we can do something about our own.
[00:38:02.000 --> 00:38:13.000]   We cannot control the distance our head is above the ground, but we can control the height of the contents we feed it.
[00:38:13.000 --> 00:38:21.000]   God help us to do something about what we can control and leave all else in the hands of God.
[00:38:21.000 --> 00:38:25.000]   That's it for the show today. I hope you found this useful. I hope you found this practical.
[00:38:25.000 --> 00:38:38.000]   In my experience doing financial planning and financial counseling, very few people slow down and take the time to understand what's going on in their situation.
[00:38:41.000 --> 00:38:53.000]   If you're somebody who's always busy, busy, busy, busy, busy, listening to this, reading that, never thinking about your own situation, I might recommend a little bit of self-reflection.
[00:38:53.000 --> 00:39:04.000]   Take a long lunch, take your lunch to the park and sit down and reflect. Have a long conversation with your husband, with your wife. Think through the circumstances that face you.
[00:39:06.000 --> 00:39:16.000]   Ask somebody for advice. Getting honest feedback is extremely valuable. It usually hurts a little bit, but it doesn't necessarily need to hurt as much as it does.
[00:39:16.000 --> 00:39:25.000]   But get honest feedback if you can. Take your employee performance reviews and look at them honestly.
[00:39:25.000 --> 00:39:33.000]   Take the reviews on your show, on your book, on your movie and consider them and think if you're willing to change anything and if you can change anything.
[00:39:33.000 --> 00:39:43.000]   And you can understand the causes and effects better. And then if you follow the laws, you'll get the effects or if you're breaking something intentionally, you'll know why.
[00:39:43.000 --> 00:39:53.000]   That's it. That's it for my content today for you. If this show has been beneficial to you, consider becoming a supporting patron of the show.
[00:39:53.000 --> 00:39:58.000]   Radical Personal Finance is primarily, although I do some ad reads from time to time, Radical Personal Finance is primarily funded by listeners.
[00:39:58.000 --> 00:40:09.000]   You listeners who support the show and listeners like you who support the show. If this has been helpful or valuable to you, take some amount of the financial impact that you think of this show and my show over the course of a month.
[00:40:09.000 --> 00:40:16.000]   And I don't know, take 10% of that and send it to me. You can sign up as a patron at radicalpersonalfinance.com/patron.
[00:40:16.000 --> 00:40:23.000]   Radicalpersonalfinance.com/patron. Entirely voluntary program. If you don't have the money, don't feel bad about it.
[00:40:23.000 --> 00:40:32.000]   But if you do have the money or if this show makes some sort of financial impact in your life, please consider becoming a patron of the show. Radicalpersonalfinance.com/patron.
[00:40:32.000 --> 00:40:43.000]   If you'd like to talk with me about something personal to your situation, I am available to you for a consulting phone call. You can book a call with me at radicalpersonalfinance.com/phonecall.
[00:40:43.000 --> 00:40:45.580]   (upbeat music)

