
[00:00:00.000 --> 00:00:09.860]   Well, hey, everyone. Welcome back to another episode of Everyday Educator. We are so excited
[00:29:50.080 --> 00:29:57.960]   we'll let that sit. Um, but we actually have more housework in the summertime because we have a pool.
[00:29:57.960 --> 00:30:03.480]   And so we have lots of people coming in with drippy feet to get a popsicle, which means you have to
[00:30:03.480 --> 00:30:13.080]   mop the floor more often. And we have, you know, so, um, my kids don't necessarily, we have morning and
[00:30:13.080 --> 00:30:19.220]   evening rhythms. We don't base our household chores around school. We say in the morning,
[00:30:19.220 --> 00:30:25.960]   you need to sleep before at, you know, before lunch. Like we give those kinds of, you know,
[00:30:25.960 --> 00:30:30.340]   you're going to eat every day. So if you eat three lunches, then you need to sleep after three lunches.
[00:30:30.460 --> 00:30:40.280]   Stop eating. Um, so that is, um, a big thing. And then also we have the added, like the guest room
[00:30:40.280 --> 00:30:46.660]   is a big thing in the summertime because it's also the craft room and also the spare room, which is what
[00:30:46.660 --> 00:30:51.720]   we call it. So it has lots of stuff and then we have people coming over. So now we got to set that
[00:30:51.720 --> 00:30:58.220]   up. So we have lots of extra stuff that doesn't exist in the school year. Um, so it's actually
[00:30:58.220 --> 00:31:04.600]   easier for me to maintain the house during the school year when everything is a no. Um, there's
[00:31:04.600 --> 00:31:11.960]   so many yeses during the summertime. Yes. So can she spend the night? Well, it's like, ah, yes,
[00:31:11.960 --> 00:31:18.840]   but now we have to, you know, so that is in the, in the summer, we just have a ton more to do. So my
[00:31:18.840 --> 00:31:25.200]   kids are working harder and more, more around the house as well. Well, and it's probably good for them
[00:31:25.200 --> 00:31:31.960]   because you've got the time to teach them to do things that you didn't have time. I know in the school
[00:31:31.960 --> 00:31:38.300]   year for me, it was always there there's the minimum viable standard, right? There's the minimum viable
[00:31:38.300 --> 00:31:43.000]   product. And so there are things that have to be done every day. There are things that have to be done
[00:31:43.000 --> 00:31:48.820]   every week, but sometimes, especially as, as their schoolwork got a little more demanding,
[00:31:48.820 --> 00:31:55.380]   it was easier for me to do something while they were, they were working than for me to wait for
[00:31:55.380 --> 00:32:02.680]   them to have time to do it or for me to take the time to show them. But summer became the time where
[00:32:02.680 --> 00:32:11.420]   I could teach them to do some of the bigger chores that they didn't know how to do, right? Or that I
[00:32:11.420 --> 00:32:17.940]   didn't, let's be really real, that I did not want to wait for them to perfect. I just need it to be done.
[00:32:17.940 --> 00:32:22.740]   So I need you to move out of the way and I'm just going to do it. But in the summertime, I was more
[00:32:22.740 --> 00:32:29.760]   able to say, we're going to do these things together. And then there were other, there were outside chores,
[00:32:29.760 --> 00:32:36.400]   you know, that didn't exist. So there's, there's, there's sticker balls to be picked up before daddy
[00:32:36.400 --> 00:32:42.940]   mows so that he's not pressed them into the lawn, which really annoyed him. And so there's sticks to be,
[00:32:42.940 --> 00:32:49.940]   and our yard was huge. And so there was always something that could be trimmed or cut back or
[00:32:49.940 --> 00:32:57.020]   planted in the yard. So there was a lot more outside stuff to do. And that's when we saved our big
[00:32:57.020 --> 00:33:03.240]   projects. Like if we're going to paint the hall or paint the two-story stairway, or somebody wants to
[00:33:03.240 --> 00:33:09.420]   change their room around, we're going to wait till the summer, you know, they've changed their theme.
[00:33:09.420 --> 00:33:16.980]   And so we have all this decorating stuff to do. We saved that for the summer and we had more time
[00:33:16.980 --> 00:33:25.000]   and we enjoyed it more because we weren't so under the gun. And there was a little bit more time to,
[00:33:25.000 --> 00:33:33.460]   to savor even house projects than there were. But then we made time to savor other things in the summer.
[00:33:33.460 --> 00:33:40.420]   We savored trips. Our family almost always took a trip to the beach and, um, we had vacations,
[00:33:40.420 --> 00:33:48.040]   sometimes where we went to visit family or where we went to visit, um, national monuments, or we,
[00:33:48.040 --> 00:33:55.260]   we went to visit, we went, took a couple of trips to Disney world. Um, do you guys have vacations
[00:33:55.260 --> 00:34:02.260]   planned for this summer, Camila? So we, we do go to the beach quite often. It's actually funny. Um,
[00:34:02.260 --> 00:34:08.820]   we're about two hours from the beach and in the summer, I say a lot of yeses. My kids really enjoy
[00:34:08.820 --> 00:34:14.160]   that. That's their favorite. And so my oldest, actually my middle child came to me and said,
[00:34:14.260 --> 00:34:20.740]   how can we make more beach trips a yes this summer? Cause we can go once or twice.
[00:34:20.740 --> 00:34:29.360]   See, that's perfect. You're teaching her preparation tips. So how can we arrange to make this a more,
[00:34:29.360 --> 00:34:33.580]   um, palatable thing for mom? Yeah.
[00:34:33.580 --> 00:34:39.260]   And I explained to her, I said, you know, that's a great question. The reason the beach is a no
[00:34:39.260 --> 00:34:46.220]   a lot is because you guys want me to facilitate. So you say, can we go to the beach? I say yes.
[00:34:46.220 --> 00:34:52.680]   And then I pack the cooler, make the lunches, find the, uh, uh, sunscreen, get the chairs, get the,
[00:34:52.680 --> 00:34:59.100]   and that makes it a no sometimes. Because sometimes I don't want to do that or I don't have time to do
[00:34:59.100 --> 00:35:05.020]   that. Yes. I said, so if you will pack the lunch and then you get your siblings to help you pack the
[00:35:05.020 --> 00:35:10.680]   cooler and then y'all get the chairs in the van, I will happily drive to the beach more often.
[00:35:10.680 --> 00:35:12.080]   Oh, that's so good.
[00:35:12.080 --> 00:35:15.720]   And they were like, we need to have a meeting right now.
[00:35:15.720 --> 00:35:29.480]   That's good. I mean, to train your children that there is preparation involved, even in a trip to
[00:35:29.480 --> 00:35:35.440]   the pool, my girls used to hound me. Will you take us? And that usually meant the two of them
[00:35:35.440 --> 00:35:41.440]   and as many friends as we could stuff in the van. Will you take us to the pool? And so I would say,
[00:35:41.440 --> 00:35:47.740]   how ready are you to go? I mean, like, is your bathing suit on? Do you know where the sunscreen is?
[00:35:47.740 --> 00:35:53.600]   Do you have your sandals? Do you have the change? Are your friends ready to be picked up? Like, I mean,
[00:35:53.600 --> 00:35:59.380]   if you're asking me this and it's going to take us two hours to go and I only have three hours this
[00:35:59.380 --> 00:36:04.080]   afternoon, then that's going to be a no because that's not worth it. Right. Right. Well, and I
[00:36:04.080 --> 00:36:09.060]   think too, again, I'm listening from like a totally different season of life, but that's why I love
[00:36:09.060 --> 00:36:15.080]   these conversations because I realized I had to do that for myself because it was becoming a no for me,
[00:36:15.080 --> 00:36:20.980]   but I love the summertime and I want to be there at the water and I have little ones, right? So he can't
[00:36:20.980 --> 00:36:28.060]   do it for me. I have a dream that one day will be the one doing it for me. But until then I said,
[00:36:28.060 --> 00:36:32.860]   okay, well, what is my stuck? So I just made my car beach ready. I said, you know what? I could use
[00:36:32.860 --> 00:36:38.000]   this third row or I could put the chairs down. I could put, you know, the seats down and leave my
[00:36:38.000 --> 00:36:43.520]   chairs in the car, have a beach ready bag that has everything and just have a mental cue that if I ever
[00:36:43.520 --> 00:36:48.360]   take something out of this bag, like I use it up, I have to put it back. I have to put something again.
[00:36:48.360 --> 00:36:55.480]   So like this whole past month, I've been, you know, buying sunglasses when I wash the towels,
[00:36:55.480 --> 00:37:01.020]   throwing the towels in the beach bag, doing all this different stuff so that we're beach ready.
[00:37:01.020 --> 00:37:05.640]   Even the snacks, you know, I buy snacks, I buy two. I drop a bag of chips in the beach bag.
[00:37:05.640 --> 00:37:07.380]   That's so smart.
[00:37:07.500 --> 00:37:16.160]   And for a picnic or just for an impromptu, we're out. And now all of a sudden, especially being
[00:37:16.160 --> 00:37:21.880]   pregnant, I need a chair, you know, I can't sit on the grass, but I would like a chair.
[00:37:21.880 --> 00:37:28.300]   And you need snacks, maybe an individual, like my kids knew not to ask me at the grocery store
[00:37:28.300 --> 00:37:34.060]   to buy individual packs of snacks. I'm like, no, that we'll have a math lesson. Let us have a math
[00:37:34.060 --> 00:37:40.700]   lesson about unit prices. And we're not doing that. But when spring came, I started stockpiling
[00:37:40.700 --> 00:37:48.500]   those things, not for public consumption at home, but to put in the picnic bag or the go to the pool
[00:37:48.500 --> 00:37:54.720]   bag. And so it was always ready. I always had something. Yeah, exactly. So that's important too.
[00:37:55.100 --> 00:38:01.920]   Yeah, that's really, really good. Well, you know, Camilla, in between, you're going through all
[00:38:01.920 --> 00:38:07.920]   the workbooks for all your kids and going to the beach as often as your children want you to go.
[00:38:07.920 --> 00:38:14.300]   Do you have any big house projects? What are you doing with your summer girl? Are you cleaning the
[00:38:14.300 --> 00:38:22.120]   house? Or do you have any painting to do? How have y'all dealt with big house projects? Because you said
[00:38:22.120 --> 00:38:31.120]   you have a pool. I know that's a significant upkeep. Yes. So we have, we built this house five
[00:38:31.120 --> 00:38:39.280]   years ago. And so we don't have a lot of projects. That was the song that was, I need to be new so that
[00:38:39.280 --> 00:38:45.480]   I can have a break because I was doing projects so often. And we bought our first house. We thought we
[00:38:45.480 --> 00:38:50.000]   were going to be Chip and Joe, right? We were like, oh, it's so cute. Oh, it's going to be so
[00:38:50.000 --> 00:38:55.340]   much fun. Yeah. And then like 10 minutes into the first project, my husband looks at me and goes,
[00:38:55.340 --> 00:39:01.260]   I hate this. I hate this. I never want to do this. And I was like, what? We got a lot left.
[00:39:01.260 --> 00:39:11.060]   The list is long for him. Yes. So he realized he is not Chip. He was like, I do not enjoy this at all.
[00:39:11.060 --> 00:39:20.540]   So we built this house with the thought that we're not Chip and Joe. So we are not going to be doing
[00:39:20.540 --> 00:39:28.300]   any big renovations, at least until we get them out of the house. But I definitely have to upgrade
[00:39:28.300 --> 00:39:35.820]   some bedrooms this summer because the vibes are off. That's what I've been doing. The vibes are just
[00:39:35.820 --> 00:39:41.520]   too young. This is not me anymore, mom. No. This is five years ago. Seriously.
[00:39:41.520 --> 00:39:50.240]   This is so five years ago. So that's fun. So I will be doing, I did buy neutral furniture. So we just
[00:39:50.240 --> 00:39:57.920]   have to change the vibe. So that should be easy. That is so funny. So how will you keep everything
[00:39:57.920 --> 00:40:02.860]   else running smoothly when you have the bedrooms all torn apart, changing the vibe?
[00:40:02.860 --> 00:40:08.420]   Yes. So I actually have learned this lesson through many hardships because I had the bright
[00:40:08.420 --> 00:40:15.320]   idea for two Christmases. I didn't even learn the first time, two Christmases. I was foolish enough
[00:40:15.320 --> 00:40:20.200]   to think, you know, it'll be a great Christmas present. I can redo the kids' rooms. Right.
[00:40:20.200 --> 00:40:26.620]   That's amazing. It's not amazing. Don't do it. It's a bad idea. This is all of their rooms.
[00:40:26.620 --> 00:40:35.380]   What is wrong with me? What is wrong with this picture? Let's see. And then it's December 21st and
[00:40:35.380 --> 00:40:43.600]   I'm like, don't talk to me. I'm so frustrated. I'm sorry. And I'm like a maniac. And it's just,
[00:40:43.600 --> 00:40:49.600]   that's not, that's not what the Lord wants for me. So joyous. No, this is not what I think of when I
[00:40:49.600 --> 00:40:57.780]   think of the Christmas season. So this, what I've learned is you have to, I have to let my kids know
[00:40:57.780 --> 00:41:04.040]   this is for lunch and this is for dinner. You may have these things for snack. That's very important
[00:41:04.040 --> 00:41:09.840]   so that I am not like finally in my groove. And then somebody's like, let's for dinner. And then I like
[00:41:09.840 --> 00:41:17.400]   rage nail gun them to the wall or something like that. Stop asking me that. I don't know why that
[00:41:17.400 --> 00:41:24.300]   question bothers me the way that it does, but it is just, it sounds like I don't love you. That's
[00:41:24.300 --> 00:41:31.000]   what it sounds like to me. I don't trust you. You haven't planned. Yeah. Hey, how are you failing us
[00:41:31.000 --> 00:41:38.260]   today, mom? So I don't know. So that is for me having a conversation with my husband and now my
[00:41:38.260 --> 00:41:43.620]   two oldest, my, I have two big girls that are here. So it's so easy. I can just say, Hey,
[00:41:43.620 --> 00:41:50.860]   I'm about to go start this project. This is for dinner. This is for lunch. And then I set the
[00:41:50.860 --> 00:41:57.840]   parameters. You can watch this much TV, have this much screen time, two people to a TV, you know,
[00:41:58.540 --> 00:42:05.240]   I set all my standards and then I, then I can focus on the project. Cause I am at a really,
[00:42:05.240 --> 00:42:11.060]   really, really sweet spot. I did have a time when, you know, somebody had to sit next to me and count
[00:42:11.060 --> 00:42:16.840]   the nails. That was part of it. I remember those days. Oh yeah. Not my favorite. And I'll be like,
[00:42:16.840 --> 00:42:21.080]   you have to wear your shoes because of the nails. And then 10 minutes later, somebody was like,
[00:42:21.080 --> 00:42:24.140]   I need a bandaid because there's a nail.
[00:42:24.140 --> 00:42:32.520]   Yes. Yes. Yes. But I'm at a time now where people just leave me alone and let me finish the
[00:42:32.520 --> 00:42:38.800]   project. Um, and I'm also at a time where I can like get 90% of the way finished and then say,
[00:42:38.800 --> 00:42:44.580]   you come vacuum, you come dust the baseboards, you come put the sheets on the bed.
[00:42:44.580 --> 00:42:52.640]   This is your spot. This is your thing to do. I love that. I think that, um, you know, I finally
[00:42:52.640 --> 00:42:59.660]   discovered that what caused conflict in my home is, well, it's actually the same thing that causes
[00:42:59.660 --> 00:43:07.120]   conflict in all of our relationships. It's unmet expectations. Oh yeah. And so if I set the
[00:43:07.120 --> 00:43:15.020]   expectations of this is what's coming for supper and this is what time it's going to come. Um,
[00:43:15.020 --> 00:43:23.480]   and these are the substitutions that are allowed, then every, nobody's mad when that very plan comes
[00:43:23.480 --> 00:43:29.500]   to fruition. We all knew that's what the plan was and nobody was confused and nobody was surprised.
[00:43:29.500 --> 00:43:36.280]   And so that helped having a plan. I mean, I am a planner person, but, but sharing the plan with
[00:43:36.280 --> 00:43:43.640]   everybody that the plan was going to affect actually kept the peace in our home. Yeah. A lot better.
[00:43:43.640 --> 00:43:51.640]   Also for me sharing with David, uh, beforehand that I'm going to need help is that's like,
[00:43:51.640 --> 00:43:57.160]   that was like, why didn't I think of this before? Why are you not happy to help me the second you walk
[00:43:57.160 --> 00:44:14.320]   in the house from work? This is weird. I'm going to need you to move this stuff tomorrow night. And
[00:44:14.320 --> 00:44:20.560]   he's like, I got you. You know, that has been so helpful for him. Instead of just expecting that
[00:44:20.560 --> 00:44:27.000]   he will notice that you are doing this project and he will know that you're going to need help with
[00:44:27.000 --> 00:44:34.000]   this aspect. And surely he can tell I'm almost there. No, just hear me when I said, I'm thinking
[00:44:34.000 --> 00:44:39.160]   about redoing the kids' bedrooms. Didn't you hear me? Didn't you know that that meant all of these?
[00:44:39.160 --> 00:44:44.460]   Could you not read my mind after these many years that we've been married? So weird. That's another,
[00:44:44.460 --> 00:44:51.040]   that's another one of those unmet expectations. So like I expected you to read my mind. Let me tell
[00:44:51.040 --> 00:44:56.700]   you, we've been married almost 39 years. It does not happen. It is not going to happen. Stop,
[00:44:56.840 --> 00:45:04.520]   holding your breath. Mind reading is not it. And so that's the unmet. I need to set the expectation
[00:45:04.520 --> 00:45:13.340]   and I need to hear your pushback in the planning stage, not in the, I am now holding the 500 pounds
[00:45:13.340 --> 00:45:19.380]   waiting for you to perform. Right. Exactly. And, and I love that you said in the planning stage,
[00:45:19.380 --> 00:45:24.520]   because I think that's something my husband and I, Evan, we, we have very different personalities.
[00:45:24.520 --> 00:45:29.520]   And so to me, time, I could give you my time forever and just feel like I didn't give you
[00:45:29.520 --> 00:45:36.540]   anything. I don't have a problem with that. Right. Time is his most valued commodity. So he's like,
[00:45:36.540 --> 00:45:42.940]   listen, how I structure my time is very important, et cetera, et cetera. And so something that I'm still
[00:45:42.940 --> 00:45:51.420]   having to learn is even to structure my ask around his time. So rather than say, you know,
[00:45:51.420 --> 00:45:54.920]   and everybody's husband's different, but rather than say, okay, can you do this for me tomorrow?
[00:45:54.920 --> 00:46:00.240]   It's like, when will you have the time to X? And then I'm going to plan backwards from that because
[00:46:00.240 --> 00:46:05.540]   he'll do what he says he's going to do. Right. But far be it for me to assume that on a random Thursday
[00:46:05.540 --> 00:46:10.700]   night, he's going to be coming up and down ladders. And that he'll be happy about it. Yes. Because
[00:46:10.700 --> 00:46:16.220]   see, he might do it, but he's not going to be happy about it. I know. Exactly. Yeah. And then there
[00:46:16.220 --> 00:46:20.080]   are my unmet expectations, you know, because I'm thinking, oh, it'd be no big deal. This is going to
[00:46:20.080 --> 00:46:27.240]   be in 10 minutes. Yeah. Yeah. No problem. Yeah. Exactly. So it's, it's definitely, there's a learning
[00:46:27.240 --> 00:46:35.040]   curve there. Yes. It is. And just a little bit of forethought. A lot of times we'll head off a world
[00:46:35.040 --> 00:46:42.840]   of hurt feelings or, you know, I'm a little annoyed with you. So. Yes. Sure. I remember the day I was
[00:46:42.840 --> 00:46:48.260]   having David help me with something randomly and he, I could see his jaw clench. He clenches his jaw
[00:46:48.260 --> 00:46:55.220]   and he's frustrated. His jaw clenched and he went, I didn't even think this was a good idea. And I remember
[00:46:55.220 --> 00:47:02.500]   being shocked because I thought we were very excited. Right. Right. Right. The royal way.
[00:47:02.500 --> 00:47:08.960]   We are excited about this. Didn't you look at Pinterest all those hours that I did? What?
[00:47:08.960 --> 00:47:16.740]   You didn't think this was going to be amazing? Oh, that's so weird. Yeah. Yeah. Yes. The communication.
[00:47:16.740 --> 00:47:24.040]   Well, I could chat with you guys for, for obviously quite a long time, but we do have to land the plane
[00:47:24.040 --> 00:47:28.240]   soon. So why don't we land it on this last question? Cause we made a promise at the beginning of the
[00:47:28.240 --> 00:47:33.680]   show to our listeners, not just us in the ring, you know, that we were also going to touch on,
[00:47:33.680 --> 00:47:38.540]   you know, what the spiritual aspect, although that's in all of the aspects of our lives.
[00:47:38.540 --> 00:47:45.040]   But what, what cultivating that aspect of our lives is going to look like. And I think
[00:47:45.040 --> 00:47:51.540]   when I heard you say expectations, Lisa, one of the things I realized was that I think sometimes we
[00:47:51.540 --> 00:47:59.200]   have an unmet expectation for ourselves, perhaps an unrealistic expectation for ourselves that if we
[00:47:59.200 --> 00:48:07.000]   change our routines, my walk with God will stay the same. And I'll just have all those cues to like sit
[00:48:07.000 --> 00:48:11.500]   and have my quiet time. And even if my kids aren't doing school at the same time that they normally are,
[00:48:11.500 --> 00:48:14.960]   are waking up at the same time that they normally are, of course, we'll be able to carve out that
[00:48:14.960 --> 00:48:19.780]   time. And even if we go on 15 trips during the summer, of course, we're going to be connected to
[00:48:19.780 --> 00:48:24.920]   our family, our church family. Of course, we're not going to feel like there's any shift and that's not
[00:48:24.920 --> 00:48:31.300]   realistic. And so I think this is a really important area for us to touch on at the end of the
[00:48:31.300 --> 00:48:38.460]   conversation because you need to plan to, to continue to cultivate your walk with the Lord.
[00:48:38.460 --> 00:48:44.820]   And that can look different and be a good thing. But what does that look like for you guys in the
[00:48:44.820 --> 00:48:50.340]   summer as you, as you steward your time, as you lead your families? I know you said, Camila, that you
[00:48:50.340 --> 00:48:54.440]   have some books that you have your kids read. What do you do for yourself and what do you do for your
[00:48:54.440 --> 00:48:59.420]   families to make sure that you stay on the path during the summertime?
[00:48:59.420 --> 00:49:07.080]   So we do still, obviously we still go to church. We don't tend to take trips in the summer. We go to
[00:49:07.080 --> 00:49:13.980]   the beach, but those are usually day trips. Our trips are usually during the year. So that's easier
[00:49:13.980 --> 00:49:21.960]   for me in that we don't have to leave during the summer sometimes. But usually I like to go deeper
[00:49:21.960 --> 00:49:29.260]   in the summertime. So for me, I will, same way I do with my kids, I'm like, what did they really
[00:49:29.260 --> 00:49:35.660]   struggle with? And how can we fix that? Or how can we attack that? Not necessarily fix it, but
[00:49:35.660 --> 00:49:42.720]   offer it to the Lord and let him fix it over the summer. I do the same thing with myself. I like to go
[00:49:42.720 --> 00:49:47.900]   deeper. There's all kinds of like scripture journals and things. I have several of them
[00:49:47.900 --> 00:49:53.740]   from over summers past that I, I didn't realize that that's what I was doing until I realized it
[00:49:53.740 --> 00:50:01.160]   when looking at my collection one year. I was like, I do this every summer. Look at me. So I tend to go
[00:50:01.160 --> 00:50:07.440]   deeper during the summer. I have one right now that's a humility and it's a prayer journal and it gives you
[00:50:07.440 --> 00:50:13.820]   a prompt and a scripture passage to read. And then like, you know, some, some questions about
[00:50:13.820 --> 00:50:21.900]   humility. And I like it because I can date it and I can see my growth over this summer. And then all
[00:50:21.900 --> 00:50:27.260]   throughout the school year, that's like my little Ebenezer. Remember when the Lord taught me this?
[00:50:27.260 --> 00:50:33.520]   Remember when the Lord taught me that? So that's one thing that I enjoy for myself is just trying to go
[00:50:33.520 --> 00:50:41.060]   deeper. So that can be podcasts. That can be, I listened to so many audio sermons. I just walk
[00:50:41.060 --> 00:50:46.760]   around and I know the people at Walmart be so freaked out. It's sometimes my ear pod fell out. They're like,
[00:50:46.760 --> 00:50:53.860]   what? Yeah. Sorry. Hopefully that doesn't scare you. Hopefully I give you hope.
[00:50:54.520 --> 00:51:01.280]   But yeah, I listen to a ton of sermons. So yeah, that's, I like to go, try to go deeper
[00:51:01.280 --> 00:51:09.360]   in the summertime. I, a lot of times will pick up. I, I'll have friends who will tell me about
[00:51:09.360 --> 00:51:14.540]   devotionals that they're going through or studies, book studies that they're going through during the
[00:51:14.540 --> 00:51:20.280]   year. And so I save all those in my Amazon cart and then I just start buying them in the,
[00:51:20.280 --> 00:51:28.900]   as the spring comes. I try to do some of those in the summertime that maybe I don't feel like I have
[00:51:28.900 --> 00:51:37.080]   the time to do or, or to do justice to them during the year. And so that is something that I have done
[00:51:37.080 --> 00:51:45.200]   for myself. And when my kids were home, we continued to do our devotions together in the morning. Even
[00:51:45.200 --> 00:51:51.100]   though we weren't having formal school lessons in the morning, it was just a habit that had become
[00:51:51.100 --> 00:51:58.380]   very comforting to us and a good way for us to start the day together, kind of set us off on a good
[00:51:58.380 --> 00:52:07.740]   tone. Um, and I know when, um, our major vacation, when the girls were little was a beach trip, we would
[00:52:07.740 --> 00:52:14.480]   go to the beach. Um, my husband's uncle had a house at the beach that he let us use for free in the off
[00:52:14.480 --> 00:52:21.060]   season. And in those early years for free was the big selling point of that. And so like my girls,
[00:52:21.060 --> 00:52:27.640]   I think they thought that the beach was a synonym for vacation because that's the only thing we ever
[00:52:27.640 --> 00:52:32.740]   did. And they had never stayed at a hotel because we always stayed at uncle Bob's beach house. Um,
[00:52:32.740 --> 00:52:38.060]   but when they were little, we felt like it was important that they knew we weren't taking a vacation
[00:52:38.060 --> 00:52:48.800]   from God. So we found a beach church. And so every year for probably 10 or 12 years, once a year,
[00:52:48.800 --> 00:52:57.120]   we went to our beach church and it was not the same kind of church. It was, um, a much more liturgical
[00:52:57.120 --> 00:53:03.340]   church that we found that was close to the beach house that had a very warm fellowship, but a much
[00:53:03.340 --> 00:53:10.020]   different style of worship than we had at, they were exposed to at home. And so that was actually
[00:53:10.020 --> 00:53:17.680]   very beautiful too, because it highlighted different practices of worship and it highlighted, um, uh,
[00:53:17.680 --> 00:53:25.000]   there was a catechism that they recited there. And so, um, it gave us fresh things to talk about
[00:53:25.000 --> 00:53:30.740]   together spiritually. That was kind of cool. I love that. That is really cool. We always try to
[00:53:30.740 --> 00:53:36.360]   be home for church, but that's a really good idea to, to visit a new church. So like at the place where
[00:53:36.360 --> 00:53:41.620]   you're vacationing, I love that. Yeah. And then even as the girls got older, I know one time Stephanie
[00:53:41.620 --> 00:53:48.500]   was in college and we, um, took her to Charleston just by herself because she loves Charleston so much.
[00:53:48.740 --> 00:53:55.860]   Um, she and my husband got up early one morning to go to a local Catholic church because they just,
[00:53:55.860 --> 00:54:02.320]   it had become the thing to do to find a different kind of church when we would be on vacation. So
[00:54:02.320 --> 00:54:07.340]   that was kind of cool. And that's something that I think she continues to do. She and her husband now
[00:54:07.340 --> 00:54:14.980]   that she's married. So. Oh, I love that. Yeah. You're passing along the legacy. Yeah, there you go.
[00:54:14.980 --> 00:54:22.180]   A legacy. I love it. I love it. Well, Camila and Lisa, thank you so much for just taking the time
[00:54:22.180 --> 00:54:28.340]   to give us a peek, you know, into both your past and your potential future summers. Um,
[00:54:28.340 --> 00:54:33.840]   it's definitely been encouraging for me. You have me thinking a lot about the way I want to approach
[00:54:33.840 --> 00:54:39.740]   things and things I want to notice. Even I loved what you said at the beginning of this conversation,
[00:54:39.740 --> 00:54:44.580]   Camila, about paying attention to the way that your children are responding and then
[00:54:44.580 --> 00:54:50.440]   planning a time to shepherd their hearts more strategically. Um, I think that's probably going
[00:54:50.440 --> 00:54:55.640]   to be one of my biggest takeaways from this conversation. And if you all enjoyed this episode,
[00:54:55.640 --> 00:55:02.540]   we do hope that you will share it with a friend. Um, you can find us over on social media and we would
[00:55:02.540 --> 00:55:08.440]   love for you to go and send us a message over there. Tell us, you know, what aspect of this episode
[00:55:08.440 --> 00:55:16.440]   encouraged you and, um, continue the conversation with each other online at Everyday Educator Podcast,
[00:55:16.440 --> 00:55:22.180]   um, on social media. And in case you didn't know, we just want to remind you that we're also on YouTube
[00:55:22.180 --> 00:55:28.420]   now. So you can watch the videos if that's more engaging to you over on the Classical Conversations
[00:55:28.420 --> 00:55:32.800]   YouTube channel. Thank you guys for listening and we will see you again next week.
[00:55:32.800 --> 00:55:38.800]   Thank you.

