
[00:00:00.000 --> 00:00:08.920]   (sound of clock ticking)
[00:14:22.100 --> 00:14:22.940]   than they were in the past.
[00:14:22.940 --> 00:14:25.020]   I'm gonna do a chart on dividend yields.
[00:14:25.020 --> 00:14:28.300]   This is the dividend yield on the S&P 500 since 1950.
[00:14:28.300 --> 00:14:30.020]   You can see in 1950, it was like 7%.
[00:14:30.020 --> 00:14:31.300]   That was abnormally high,
[00:14:31.300 --> 00:14:32.580]   mostly because of the Great Depression
[00:14:32.580 --> 00:14:33.980]   and the hangover from that.
[00:14:33.980 --> 00:14:35.540]   But even in the '70s and '80s,
[00:14:35.540 --> 00:14:38.080]   we're talking three to 6% dividend yields, pretty high.
[00:14:38.080 --> 00:14:39.820]   Today, it's closer to like 1.6,
[00:14:39.820 --> 00:14:43.020]   so the trend has been down since then.
[00:14:43.020 --> 00:14:44.220]   Valuations are much higher.
[00:14:44.220 --> 00:14:45.220]   That has something to do with it,
[00:14:45.220 --> 00:14:47.660]   but there's also a reason that you can see,
[00:14:47.660 --> 00:14:49.540]   starting in the 1980s,
[00:14:49.540 --> 00:14:51.740]   there was a precipitous drop in the dividend yield.
[00:14:51.740 --> 00:14:53.160]   You can say, "Well, that's 'cause stocks were going up."
[00:14:53.160 --> 00:14:55.500]   But it's also because Congress passed a law
[00:14:55.500 --> 00:14:56.580]   in the early '80s that made it easier
[00:14:56.580 --> 00:14:58.180]   for corporations to buy back their own stock.
[00:14:58.180 --> 00:14:59.820]   John, do the next chart.
[00:14:59.820 --> 00:15:02.220]   This is buybacks and dividends.
[00:15:02.220 --> 00:15:05.500]   This is going back to 1988 from Yardenia Research.
[00:15:05.500 --> 00:15:07.660]   And I don't wanna go down the rabbit hole here,
[00:15:07.660 --> 00:15:11.020]   but essentially, stock buybacks and dividends
[00:15:11.020 --> 00:15:12.100]   are the same thing.
[00:15:12.100 --> 00:15:13.780]   If you understand how math works
[00:15:13.780 --> 00:15:15.940]   and how capital allocation works,
[00:15:15.940 --> 00:15:17.180]   they're essentially the same thing.
[00:15:17.180 --> 00:15:19.460]   So if you combine dividends and share buybacks,
[00:15:19.460 --> 00:15:20.900]   the yield picture doesn't look quite so bleak.
[00:15:20.900 --> 00:15:24.420]   It's closer to 5% now if you combine dividends and buybacks.
[00:15:24.420 --> 00:15:26.580]   They have it at 4.9% here.
[00:15:26.580 --> 00:15:30.220]   And so the shareholder yield is actually pretty good still.
[00:15:30.220 --> 00:15:32.820]   So that's actually not that bad.
[00:15:32.820 --> 00:15:34.700]   That's part of the reason.
[00:15:34.700 --> 00:15:36.060]   And actually, from a tax basis,
[00:15:36.060 --> 00:15:37.220]   it's actually better for investors
[00:15:37.220 --> 00:15:38.920]   if they do buy back their stock.
[00:15:38.920 --> 00:15:41.380]   So plus, you can't simply look at the yield itself
[00:15:41.380 --> 00:15:42.540]   to figure out the benefits.
[00:15:42.540 --> 00:15:45.700]   The S&P 500 has seen total dividends since that 1950
[00:15:45.700 --> 00:15:48.320]   rise at an annual rate of nearly 6% per year.
[00:15:48.320 --> 00:15:50.620]   Per year, that's above the 3% rate of inflation
[00:15:50.620 --> 00:15:52.940]   where dividends are growing above and beyond that.
[00:15:52.940 --> 00:15:54.500]   So it's not like that yield is just,
[00:15:54.500 --> 00:15:55.660]   the income is staying the same.
[00:15:55.660 --> 00:15:56.620]   The income is rising,
[00:15:56.620 --> 00:15:58.220]   but the stock market is rising a little faster.
[00:15:58.220 --> 00:15:59.620]   So you're getting an income stream
[00:15:59.620 --> 00:16:01.340]   that rises above the rate of inflation.
[00:16:01.340 --> 00:16:03.580]   Earnings rise above that same level.
[00:16:03.580 --> 00:16:05.100]   It is true that supply and demand matter.
[00:16:05.100 --> 00:16:07.300]   So if more people decide they want to own shares
[00:16:07.300 --> 00:16:09.340]   in the stock market and they rush in to buy,
[00:16:09.340 --> 00:16:11.180]   the amount of investors willing to pay for them will rise.
[00:16:11.180 --> 00:16:12.040]   So valuations go up.
[00:16:12.040 --> 00:16:13.820]   If fewer people want to own stocks,
[00:16:13.820 --> 00:16:15.460]   then valuations will fall.
[00:16:15.460 --> 00:16:17.540]   But even if fewer people wanted to own stocks in the future,
[00:16:17.540 --> 00:16:19.780]   it's not like profits would stop accruing.
[00:16:19.780 --> 00:16:21.020]   You'd probably just see more corporations
[00:16:21.020 --> 00:16:22.780]   buy back their own stock and whoever did own stock
[00:16:22.780 --> 00:16:24.660]   would just see their share of earnings and dividends
[00:16:24.660 --> 00:16:25.860]   and all that stuff rise.
[00:16:25.860 --> 00:16:26.980]   Plus money has to go somewhere.
[00:16:26.980 --> 00:16:28.860]   So if everyone decided,
[00:16:28.860 --> 00:16:30.300]   we're taking all of our money out of the stock market,
[00:16:30.300 --> 00:16:32.700]   we're putting it in cash and bonds, right?
[00:16:32.700 --> 00:16:35.360]   I wouldn't recommend that, but if people did that,
[00:16:35.360 --> 00:16:37.860]   the yields would be so low that the stock market
[00:16:37.860 --> 00:16:41.220]   would have to look attractive on a relative basis.
[00:16:41.220 --> 00:16:42.980]   So yes, there needs to be a buyer for every seller,
[00:16:42.980 --> 00:16:43.820]   but people aren't dumb.
[00:16:43.820 --> 00:16:45.380]   If the stock market continues to see profits
[00:16:45.380 --> 00:16:48.060]   and cash flows rise, someone is going to buy.
[00:16:48.060 --> 00:16:50.340]   So I think if you think the stock market is a Ponzi scheme
[00:16:50.340 --> 00:16:51.920]   and want to sit it out, that's fine.
[00:16:51.920 --> 00:16:53.660]   More profits for us who want to own shares
[00:16:53.660 --> 00:16:54.500]   in the stock market.
[00:16:54.500 --> 00:16:56.140]   That's the way I look at it.
[00:16:56.140 --> 00:16:58.680]   It's, yeah, it's not a Ponzi scheme.
[00:16:58.680 --> 00:17:00.700]   And the way that corporations work
[00:17:00.700 --> 00:17:02.700]   in as big and powerful as they are,
[00:17:02.700 --> 00:17:04.400]   they would just use their capital allocation
[00:17:04.400 --> 00:17:05.320]   to buy back shares,
[00:17:05.320 --> 00:17:08.180]   and then they'd be the ones accruing all the gains.
[00:17:08.180 --> 00:17:09.460]   The gains are going to go to someone.
[00:17:09.460 --> 00:17:11.180]   You might as well take a part in it.
[00:17:11.180 --> 00:17:13.180]   - Yeah, I think the buyback stuff is a little confusing.
[00:17:13.180 --> 00:17:15.360]   Yeah, I find that math a little confusing, honestly.
[00:17:15.360 --> 00:17:17.180]   But, and I think a lot of people think,
[00:17:17.180 --> 00:17:18.940]   oh, I'm buying ownership in a company,
[00:17:18.940 --> 00:17:20.420]   essentially with my shares.
[00:17:20.420 --> 00:17:22.180]   I should get some of the profit, right?
[00:17:22.180 --> 00:17:25.200]   And so I think that is the mentality sometimes.
[00:17:25.200 --> 00:17:26.040]   - Quick example.
[00:17:26.040 --> 00:17:28.580]   Let's say that you, there's $100 in profits.
[00:17:28.580 --> 00:17:29.820]   There's five shareholders.
[00:17:29.820 --> 00:17:34.660]   Each of them have $20 in earnings, right?
[00:17:34.660 --> 00:17:36.500]   Now let's say the company buys
[00:17:36.500 --> 00:17:37.460]   one of those shareholders out.
[00:17:37.460 --> 00:17:41.540]   There's four shareholders, still $100 in profit, right?
[00:17:41.540 --> 00:17:42.620]   Now those profits are shared
[00:17:42.620 --> 00:17:44.820]   among only four shareholders instead of five.
[00:17:44.820 --> 00:17:47.140]   So the profit per share goes up, right?
[00:17:47.140 --> 00:17:48.700]   - It's a white bull moment.
[00:17:48.700 --> 00:17:50.440]   - Even if the profits are the same.
[00:17:50.440 --> 00:17:53.300]   - Yeah, no, I haven't heard it explained that simply before.
[00:17:53.300 --> 00:17:54.700]   So yeah, that makes sense.
[00:17:54.700 --> 00:17:57.720]   - So whether they paid out dividends to people
[00:17:57.720 --> 00:17:59.060]   or bought back shares,
[00:17:59.060 --> 00:18:00.820]   the cash is gonna go out either way.
[00:18:00.820 --> 00:18:03.780]   And so it's either people are gonna be paid back in cash
[00:18:03.780 --> 00:18:06.100]   or their earnings per share is gonna rise
[00:18:06.100 --> 00:18:08.420]   'cause the share count falls.
[00:18:08.420 --> 00:18:09.620]   So it's the same thing.
[00:18:09.620 --> 00:18:12.340]   A lot of people think this is like a,
[00:18:12.340 --> 00:18:14.500]   it's like a weird buybacks,
[00:18:14.500 --> 00:18:16.900]   like this big like Illuminati thing,
[00:18:16.900 --> 00:18:19.340]   but it's not, it's pretty simple.
[00:18:19.340 --> 00:18:21.420]   - Yeah, no, it sounds like it, yeah.
[00:18:21.420 --> 00:18:22.260]   Team buybacks now.
[00:18:22.260 --> 00:18:23.460]   - Do another one.
[00:18:23.460 --> 00:18:24.900]   There you go.
[00:18:24.900 --> 00:18:26.820]   - Up next, we have a question from Parker.
[00:18:26.820 --> 00:18:30.260]   I've been laid off twice, once in 2015,
[00:18:30.260 --> 00:18:32.620]   and again in 2020 due to COVID.
[00:18:32.620 --> 00:18:34.380]   I've had five jobs since then.
[00:18:34.380 --> 00:18:37.320]   Currently VP of sales at a logistics company.
[00:18:37.320 --> 00:18:39.540]   I've got about five months of household income saved,
[00:18:39.540 --> 00:18:41.860]   and for a few years, it sat in a brokerage account
[00:18:41.860 --> 00:18:43.980]   earning zero in a stable value fund.
[00:18:43.980 --> 00:18:46.300]   Stupid, maybe, but it was safe.
[00:18:46.300 --> 00:18:48.860]   So where do you recommend people put their emergency funds?
[00:18:48.860 --> 00:18:50.940]   What do you think about online banks?
[00:18:50.940 --> 00:18:53.620]   So this is one of those common things we get asked about.
[00:18:53.620 --> 00:18:55.540]   - Well, I mean, you talked about risk tolerance
[00:18:55.540 --> 00:18:56.460]   for investors.
[00:18:56.460 --> 00:18:57.820]   We talk a lot about that in the investing world.
[00:18:57.820 --> 00:18:59.660]   People rarely talk about tolerance for risk
[00:18:59.660 --> 00:19:01.260]   when it comes to personal finance.
[00:19:01.260 --> 00:19:02.980]   And I think this person, Parker,
[00:19:02.980 --> 00:19:05.660]   being laid off twice, changing jobs three other times,
[00:19:05.660 --> 00:19:06.500]   that's a lot.
[00:19:06.500 --> 00:19:07.500]   Hopefully, they're one of these people
[00:19:07.500 --> 00:19:09.900]   that is changing jobs and getting paid more.
[00:19:09.900 --> 00:19:11.020]   That's what the stats say now.
[00:19:11.020 --> 00:19:13.060]   People who are changing jobs are getting much higher wages
[00:19:13.060 --> 00:19:15.100]   and people are sticking, staying put.
[00:19:15.100 --> 00:19:17.780]   But if you're going to have some sort of career
[00:19:17.780 --> 00:19:19.220]   where you're gonna have that much volatility,
[00:19:19.220 --> 00:19:21.860]   I don't know what they do or what field they're in,
[00:19:21.860 --> 00:19:23.540]   but then you probably wanna have
[00:19:23.540 --> 00:19:25.860]   a little more set aside, right?
[00:19:25.860 --> 00:19:28.500]   So there's all sorts of different,
[00:19:28.500 --> 00:19:29.820]   should I have 12 months saved
[00:19:29.820 --> 00:19:30.980]   or six months or three months?
[00:19:30.980 --> 00:19:33.860]   A lot of it depends on your tolerance for volatility
[00:19:33.860 --> 00:19:34.940]   in your personal finances,
[00:19:34.940 --> 00:19:37.500]   but also how your career is set up.
[00:19:37.500 --> 00:19:38.980]   There are a lot more options these days.
[00:19:38.980 --> 00:19:41.660]   Like him, I had my money sitting in an online savings account
[00:19:41.660 --> 00:19:42.500]   for years earning nothing.
[00:19:42.500 --> 00:19:44.740]   I think it got as low as 25 basis points
[00:19:44.740 --> 00:19:45.900]   during the pandemic in 2020,
[00:19:45.900 --> 00:19:47.860]   when the Fed went down to zero.
[00:19:47.860 --> 00:19:49.940]   I did a quick perusal of them today.
[00:19:49.940 --> 00:19:54.620]   So you have places like Ally, Marcus, Capital One 360, SoFi,
[00:19:54.620 --> 00:19:56.740]   even like Wealthfront, Betterment, Robinhood
[00:19:56.740 --> 00:19:58.220]   have cash management programs.
[00:19:58.220 --> 00:20:02.060]   I found anything in the range of 3.3% to 3.8% for these,
[00:20:02.060 --> 00:20:07.060]   you know, and FDIC insured and fairly safe and liquid.
[00:20:07.060 --> 00:20:09.780]   You could find a one to three month T-bill ETF these days,
[00:20:09.780 --> 00:20:12.500]   pretty easy if you Google it, 4.3%,
[00:20:12.500 --> 00:20:13.900]   I think I saw this morning.
[00:20:13.900 --> 00:20:15.580]   I saw a money market account for a client this morning
[00:20:15.580 --> 00:20:17.940]   at Schwab yielding over 4%.
[00:20:17.940 --> 00:20:20.700]   12 month CD, I looked today, 4.3%.
[00:20:20.700 --> 00:20:22.720]   Series I savings bonds, we've talked about them a lot here,
[00:20:22.720 --> 00:20:24.740]   still yielding 6.9% until April,
[00:20:24.740 --> 00:20:27.180]   at which point I would expect that number to fall
[00:20:27.180 --> 00:20:28.500]   quite a bit because inflation is falling.
[00:20:28.500 --> 00:20:31.620]   So there are tons of options today.
[00:20:31.620 --> 00:20:32.920]   And in the past few years,
[00:20:32.920 --> 00:20:34.460]   you had to go way out on the risk curve
[00:20:34.460 --> 00:20:35.820]   to earn anything approaching yield.
[00:20:35.820 --> 00:20:37.660]   This is all relatively safe stuff.
[00:20:37.660 --> 00:20:39.660]   It's FDIC insured for the most part.
[00:20:39.660 --> 00:20:42.740]   If you're investing in short-term government bonds,
[00:20:42.740 --> 00:20:44.500]   the chance of default is basically nil
[00:20:44.500 --> 00:20:46.220]   unless we get an alien invasion.
[00:20:46.220 --> 00:20:49.260]   So savers are no longer being punished by the Fed,
[00:20:49.260 --> 00:20:50.100]   is what I'm saying.
[00:20:50.100 --> 00:20:52.700]   This is one good thing the Fed is doing, I guess.
[00:20:52.700 --> 00:20:54.660]   I think my only rule of thumb is don't put your money
[00:20:54.660 --> 00:20:55.500]   into something you have to jump through
[00:20:55.500 --> 00:20:56.340]   a bunch of hoops through.
[00:20:56.340 --> 00:20:57.860]   Some of them will say you have to have a direct deposit,
[00:20:57.860 --> 00:20:59.780]   or you have to do like 10 transactions,
[00:20:59.780 --> 00:21:02.180]   or for an extra 10 basis points,
[00:21:02.180 --> 00:21:03.660]   to me, that's not really worth it.
[00:21:03.660 --> 00:21:05.220]   I just think it should be something liquid,
[00:21:05.220 --> 00:21:06.620]   an easy technology interface.
[00:21:06.620 --> 00:21:08.380]   And one of the reasons that these online banks
[00:21:08.380 --> 00:21:10.660]   can offer higher yields is because the brick and mortar banks
[00:21:10.660 --> 00:21:12.020]   have a lot more overhead.
[00:21:12.020 --> 00:21:13.460]   And the banks are just kind of jerks,
[00:21:13.460 --> 00:21:15.900]   and they just, I think I looked at the average today,
[00:21:15.900 --> 00:21:18.860]   the average savings rate at an FDIC insured
[00:21:18.860 --> 00:21:21.380]   brick and mortar bank is like 24 basis points still.
[00:21:21.380 --> 00:21:22.300]   It's ridiculous.
[00:21:22.300 --> 00:21:23.420]   That should be criminal.
[00:21:23.420 --> 00:21:26.500]   So you can get like 3.3, 3.5% at an online bank.
[00:21:26.500 --> 00:21:31.140]   I think my only advice is just don't try to go yield hunting
[00:21:31.140 --> 00:21:33.180]   and jump from bank to bank or place to place
[00:21:33.180 --> 00:21:34.820]   'cause you can get an extra 10 or 20 basis points.
[00:21:34.820 --> 00:21:36.660]   Just find a place you're comfortable with.
[00:21:36.660 --> 00:21:38.020]   Make sure they're not taking advantage of you.
[00:21:38.020 --> 00:21:40.420]   But I'd say nothing less than at least three,
[00:21:40.420 --> 00:21:41.300]   three and a quarter right now.
[00:21:41.300 --> 00:21:43.940]   The fed funds rate is at four, four and a half percent.
[00:21:43.940 --> 00:21:48.860]   So I would say anything lower than three and 3.25
[00:21:48.860 --> 00:21:51.780]   is probably too low, especially in the liquid stuff.
[00:21:51.780 --> 00:21:53.900]   - Yeah, it kind of reminds me of you guys
[00:21:53.900 --> 00:21:55.420]   talking about refinancing a house.
[00:21:55.420 --> 00:21:57.540]   There has to be a big enough gap for it to be worth
[00:21:57.540 --> 00:22:00.100]   you switching all of your stuff around.
[00:22:00.100 --> 00:22:02.260]   You can't just do it for like 25 basis points.
[00:22:02.260 --> 00:22:05.020]   - But if you have money in a big bank
[00:22:05.020 --> 00:22:07.620]   and it's paying you 20 basis points, yes.
[00:22:07.620 --> 00:22:09.180]   Go through the process of opening a new account
[00:22:09.180 --> 00:22:11.140]   in the paperwork and move it over.
[00:22:11.140 --> 00:22:11.980]   - Right.
[00:22:11.980 --> 00:22:15.260]   And not to brag, but I'm getting 4.05, so.
[00:22:15.260 --> 00:22:16.740]   - Where at?
[00:22:16.740 --> 00:22:18.300]   - Enzo, so.
[00:22:18.300 --> 00:22:19.140]   - Okay.
[00:22:19.140 --> 00:22:20.580]   I'm sure I missed a ton of different ones
[00:22:20.580 --> 00:22:21.420]   that are out there.
[00:22:21.420 --> 00:22:22.900]   I know there's a lot of platforms these days.
[00:22:22.900 --> 00:22:23.900]   - Yeah, yeah.
[00:22:23.900 --> 00:22:25.460]   There's a lot.
[00:22:25.460 --> 00:22:27.660]   - You had to go two decimal points out there, didn't you?
[00:22:27.660 --> 00:22:30.180]   Just to 4.05%.
[00:22:30.180 --> 00:22:31.020]   All right.
[00:22:31.020 --> 00:22:31.860]   - Yeah, yeah.
[00:22:31.860 --> 00:22:32.820]   - 0.05% is doing a lot of work here.
[00:22:32.820 --> 00:22:35.620]   - Hey, well, 0.05 is what I was getting at my big bank,
[00:22:35.620 --> 00:22:36.660]   like you're saying before.
[00:22:36.660 --> 00:22:39.380]   So it's literally 4% more.
[00:22:39.380 --> 00:22:40.220]   - All right.
[00:22:40.220 --> 00:22:43.340]   Okay, so up next, we have a question from Hector.
[00:22:43.340 --> 00:22:46.020]   I have over 180 hours of PTO.
[00:22:46.020 --> 00:22:47.860]   That's paid time off, right?
[00:22:47.860 --> 00:22:50.500]   That will never come close to fully collecting.
[00:22:50.500 --> 00:22:53.460]   Those hours are equal to four and a half weeks of vacation
[00:22:53.460 --> 00:22:55.220]   or pay if I resign or get laid off.
[00:22:55.220 --> 00:22:59.340]   Do you think it's a viable option to use my unused PTO
[00:22:59.340 --> 00:23:00.940]   as an emergency fund?
[00:23:00.940 --> 00:23:02.980]   I'm building up my liquid cash emergency fund
[00:23:02.980 --> 00:23:04.500]   and I have close to two months saved.
[00:23:04.500 --> 00:23:05.660]   If this is a viable option,
[00:23:05.660 --> 00:23:08.420]   two months of cash savings is all I would need to save.
[00:23:08.420 --> 00:23:09.420]   Thoughts?
[00:23:09.420 --> 00:23:10.820]   - So I have some thoughts on this
[00:23:10.820 --> 00:23:12.940]   after whatever you have to say.
[00:23:12.940 --> 00:23:15.100]   - Can we use two questions about emergency savings funds
[00:23:15.100 --> 00:23:16.900]   as a way of how the market are going
[00:23:16.900 --> 00:23:18.780]   and potentially a recession indicator?
[00:23:18.780 --> 00:23:19.700]   - Yeah.
[00:23:19.700 --> 00:23:21.020]   - We definitely weren't getting these questions
[00:23:21.020 --> 00:23:22.620]   in 2020 and 2021.
[00:23:22.620 --> 00:23:23.460]   - No.
[00:23:23.460 --> 00:23:24.580]   - Four and a half weeks of pay
[00:23:24.580 --> 00:23:26.460]   is certainly a nice fallback plan.
[00:23:26.460 --> 00:23:29.100]   This depends on how you define emergency, I think.
[00:23:29.100 --> 00:23:32.020]   So I don't know, how easily could you cash in
[00:23:32.020 --> 00:23:34.260]   on that vacation paying and get it in a pinch
[00:23:34.260 --> 00:23:35.100]   if you really needed it?
[00:23:35.100 --> 00:23:37.340]   Like, would it take some time for a company to pay it out?
[00:23:37.340 --> 00:23:38.500]   Are you sure that money's coming to you
[00:23:38.500 --> 00:23:39.980]   if you get laid off?
[00:23:39.980 --> 00:23:42.020]   I just, I'm not questioning your company,
[00:23:42.020 --> 00:23:43.380]   but I would feel safer if that money
[00:23:43.380 --> 00:23:45.500]   was in my checking account or savings account
[00:23:45.500 --> 00:23:47.100]   and doing something for me.
[00:23:47.100 --> 00:23:49.580]   Maybe if you can cash it out every six months or 12 months,
[00:23:49.580 --> 00:23:50.420]   just in case.
[00:23:50.420 --> 00:23:55.420]   Again, I think a lot of it comes down
[00:23:55.420 --> 00:23:56.860]   to what you consider an actual emergency,
[00:23:56.860 --> 00:23:58.500]   like versus infrequent expenses.
[00:23:58.500 --> 00:24:02.460]   So some people plan for car expenses and home maintenance
[00:24:02.460 --> 00:24:03.660]   and healthcare expenses,
[00:24:03.660 --> 00:24:05.460]   and those aren't actual emergencies.
[00:24:05.460 --> 00:24:06.740]   Those are things that happen infrequently,
[00:24:06.740 --> 00:24:08.700]   but they're expenses you can plan on.
[00:24:08.700 --> 00:24:11.780]   An actual emergency is when the apartment above you
[00:24:11.780 --> 00:24:13.700]   leaves their windows open and turns their heat off
[00:24:13.700 --> 00:24:16.860]   and the pipes freeze, and then it floods your apartment,
[00:24:16.860 --> 00:24:18.540]   like you, Duncan, right?
[00:24:18.540 --> 00:24:19.660]   That's an actual emergency
[00:24:19.660 --> 00:24:21.740]   that you'd wanna have a fallback plan for, right?
[00:24:21.740 --> 00:24:24.540]   Which is why you're a vagabond right now
[00:24:24.540 --> 00:24:26.100]   and have nowhere to live.
[00:24:26.100 --> 00:24:28.900]   Losing your job is obviously an emergency.
[00:24:28.900 --> 00:24:29.740]   I think it also depends
[00:24:29.740 --> 00:24:31.500]   on what other kind of backup plans you have,
[00:24:31.500 --> 00:24:33.820]   like do you have a home equity line of credit
[00:24:33.820 --> 00:24:35.180]   or a taxable investment account
[00:24:35.180 --> 00:24:36.780]   that you could sell a Roth IRA contributions
[00:24:36.780 --> 00:24:37.820]   that you'd wanna tap?
[00:24:37.820 --> 00:24:39.060]   Maybe like a 0% credit card,
[00:24:39.060 --> 00:24:40.820]   something that could bridge the gap
[00:24:40.820 --> 00:24:42.380]   if you really need that money
[00:24:42.380 --> 00:24:44.940]   until you could get those four and a half weeks paid off.
[00:24:44.940 --> 00:24:45.780]   What do you think?
[00:24:45.780 --> 00:24:47.220]   What are your reservations here?
[00:24:47.220 --> 00:24:49.580]   - Yeah, no, I was gonna say basically the same thing.
[00:24:49.580 --> 00:24:50.460]   I was just gonna say, yeah,
[00:24:50.460 --> 00:24:52.940]   in my situation with an apartment being flooded,
[00:24:52.940 --> 00:24:54.660]   yes, we have renter's insurance.
[00:24:54.660 --> 00:24:56.380]   They're gonna cover most everything
[00:24:56.380 --> 00:24:58.140]   outside of the deductible, obviously,
[00:24:58.140 --> 00:25:00.180]   but we're having to pay out of pocket, right?
[00:25:00.180 --> 00:25:02.580]   And so there are a bunch of huge expenses upfront,
[00:25:02.580 --> 00:25:04.660]   like getting an Airbnb in Brooklyn
[00:25:04.660 --> 00:25:06.540]   or somewhere around New York City,
[00:25:06.540 --> 00:25:11.540]   ranges like I'm seeing 8,000, 10,000 plus for a month,
[00:25:11.540 --> 00:25:12.700]   that kind of stuff.
[00:25:12.700 --> 00:25:14.940]   And so yeah, just having like a fund
[00:25:14.940 --> 00:25:16.180]   that you can pull that from
[00:25:16.180 --> 00:25:18.980]   would be much more helpful than probably being like,
[00:25:18.980 --> 00:25:22.460]   oh, I would have to quit my job to get my PTO
[00:25:22.460 --> 00:25:25.060]   and be able to have this cash up front.
[00:25:25.060 --> 00:25:26.260]   'Cause I don't think most places
[00:25:26.260 --> 00:25:27.540]   will give you money for your PTO
[00:25:27.540 --> 00:25:29.060]   until you literally are leaving, right?
[00:25:29.060 --> 00:25:31.140]   It's not like you can cash it out, I don't think.
[00:25:31.140 --> 00:25:32.460]   - Right, it could be that.
[00:25:32.460 --> 00:25:34.980]   So if that's what your biggest worry is,
[00:25:34.980 --> 00:25:38.020]   losing your job, then maybe it's it.
[00:25:38.020 --> 00:25:39.260]   But I think if I'm talking about
[00:25:39.260 --> 00:25:41.460]   an actual emergency savings, I want it to be liquid
[00:25:41.460 --> 00:25:44.020]   and I wanna get it within 24 hours or so.
[00:25:44.020 --> 00:25:45.860]   I want it to be relatively easy
[00:25:45.860 --> 00:25:47.860]   to get most online savings accounts.
[00:25:47.860 --> 00:25:50.580]   You'll have the money if you put in for a transfer withdrawal
[00:25:50.580 --> 00:25:52.620]   within that day or the next day.
[00:25:52.620 --> 00:25:54.060]   It doesn't take all, if you have,
[00:25:54.060 --> 00:25:57.100]   even if you have an ETF that you have it in short-term cash,
[00:25:57.100 --> 00:25:58.580]   it'll settle in a couple of days.
[00:25:58.580 --> 00:26:01.100]   So yeah, I'd be worried about using this
[00:26:01.100 --> 00:26:02.980]   as an actual emergency.
[00:26:02.980 --> 00:26:04.660]   But maybe if your emergency you're planning for
[00:26:04.660 --> 00:26:07.040]   is losing your job, then it makes sense.
[00:26:07.040 --> 00:26:09.880]   - Right, and yeah, and just a PSA,
[00:26:09.880 --> 00:26:11.620]   if you live in an apartment, be a good neighbor
[00:26:11.620 --> 00:26:13.340]   and don't leave your windows open and heat off
[00:26:13.340 --> 00:26:15.300]   when it's below zero outside, you know?
[00:26:15.300 --> 00:26:16.140]   But yeah.
[00:26:16.140 --> 00:26:18.340]   - That's rough.
[00:26:18.340 --> 00:26:19.160]   They should have to do the walk of shame
[00:26:19.160 --> 00:26:20.340]   and just out of the building.
[00:26:20.340 --> 00:26:23.380]   - They should, they really should.
[00:26:23.380 --> 00:26:24.940]   Okay, so-- - We got one more.
[00:26:24.940 --> 00:26:27.740]   - Yeah, last but not least, we have a question from Tom.
[00:26:27.740 --> 00:26:30.820]   I'm in my mid-60s with retirement coming very soon.
[00:26:30.820 --> 00:26:32.660]   There's a lot of doom and gloom for people in my position
[00:26:32.660 --> 00:26:34.820]   with the market dropping just as we're retiring.
[00:26:34.820 --> 00:26:37.380]   However, I hope to be in the market 20 years from now
[00:26:37.380 --> 00:26:39.580]   and still see myself as a long-term investor.
[00:26:39.580 --> 00:26:43.020]   Even after retirement, we're still investors, right?
[00:26:43.020 --> 00:26:44.420]   - Excellent point here, Tom.
[00:26:44.420 --> 00:26:45.260]   - And congrats-- - Great question.
[00:26:45.260 --> 00:26:47.100]   - Congrats on retiring, yeah.
[00:26:47.100 --> 00:26:49.240]   - Yes, now there's two ways to look at that.
[00:26:49.240 --> 00:26:51.860]   It stinks that you're retiring right when
[00:26:51.860 --> 00:26:54.240]   markets are dropping, but also you had 10 years
[00:26:54.240 --> 00:26:57.740]   of fantastic returns to get your portfolio to a level
[00:26:57.740 --> 00:26:59.320]   that made it sting when it dropped.
[00:26:59.320 --> 00:27:02.300]   So it's kind of a double-edged sword there,
[00:27:02.300 --> 00:27:05.100]   where you were doing pretty good up until this point,
[00:27:05.100 --> 00:27:06.620]   and your portfolio would not have been as high
[00:27:06.620 --> 00:27:09.420]   if we didn't have the gains that preceded this bear market.
[00:27:09.420 --> 00:27:11.580]   And it's possible the only reason stocks are falling a lot
[00:27:11.580 --> 00:27:14.020]   is because they went up a lot in the first place.
[00:27:14.020 --> 00:27:16.380]   So the average American now retires at 62.
[00:27:16.380 --> 00:27:19.140]   100 years ago, the average American died at 51.
[00:27:19.140 --> 00:27:20.460]   Most people worked until they died.
[00:27:20.460 --> 00:27:22.180]   According to the Social Security Administration,
[00:27:22.180 --> 00:27:24.100]   they actually have this cool longevity thing.
[00:27:24.100 --> 00:27:26.620]   You can put in your age or your spouse's age
[00:27:26.620 --> 00:27:28.480]   and see how long your life expectancy is,
[00:27:28.480 --> 00:27:29.940]   based on some averages.
[00:27:29.940 --> 00:27:32.080]   A couple retiring today has a 50% chance
[00:27:32.080 --> 00:27:34.380]   at least one of them will live into their 90s.
[00:27:34.380 --> 00:27:39.380]   So most people want a retirement where they can relax
[00:27:39.380 --> 00:27:41.700]   and enjoy themselves, and most people probably retire
[00:27:41.700 --> 00:27:43.580]   quicker than they would have assumed.
[00:27:43.580 --> 00:27:45.620]   People think, oh, if I don't have enough money,
[00:27:45.620 --> 00:27:46.620]   I'll just keep working until retirement.
[00:27:46.620 --> 00:27:48.660]   A lot of times, your health won't allow for it,
[00:27:48.660 --> 00:27:49.740]   or just when you get to that age,
[00:27:49.740 --> 00:27:51.980]   you're just, I'm done with it, I'm ready to be done.
